呪術士ギルドのヤヤケは冒険者に頼みごとがあるようだ。			呪術士ギルドのヤヤケは冒険者に頼みごとがあるようだ。			声を聞きし者							
最後に、新たな指示を頂戴しました。都市付近でゴーレムが目撃されるのを待つだけではなく、今後は、人里から離れた場所を捜索していきたいそうです。			最後に、新たな指示を頂戴しました。都市付近でゴーレムが目撃されるのを待つだけではなく、今後は、人里から離れた場所を捜索していきたいそうです。			破壊の責任							
……ところで、どうでしたか、ザイ・ア・ネルハーは。シャトト様に失礼な口を利いてはいなかったでしょうか？			……ところで、どうでしたか、ザイ・ア・ネルハーは。シャトト様に失礼な口を利いてはいなかったでしょうか？			破壊の責任							
何と答える？			何と答える？			破壊の責任							
シャトトを信頼すると決めたようだ			シャトトを信頼すると決めたようだ			破壊の責任							
ラライのことが大切なようだ			ラライのことが大切なようだ			破壊の責任							
それはよかった！あの強情っ張りも困ったものですよ……。まあ、シャトト様の偉大さに気づけたなら許してあげましょう。			それはよかった！あの強情っ張りも困ったものですよ……。まあ、シャトト様の偉大さに気づけたなら許してあげましょう。			破壊の責任							
…………は？　なにを気持ち悪いことを。あんな堅苦しい男に、大切になどされたくありません。それに私ではなく、シャトト様とのことを聞いたのですよ？			…………は？　なにを気持ち悪いことを。あんな堅苦しい男に、大切になどされたくありません。それに私ではなく、シャトト様とのことを聞いたのですよ？			破壊の責任							
もしも、あの男がまた失礼なことを言ったら教えてください。スリプルをかけて顔中に落書きしたうえで、丸焦げにしてやりますから！			もしも、あの男がまた失礼なことを言ったら教えてください。スリプルをかけて顔中に落書きしたうえで、丸焦げにしてやりますから！			破壊の責任							
あなたは引き続き、「星降りの刻」に向けて集中してくださいね。時間が許す限り、どうか修行を怠らぬように……。			あなたは引き続き、「星降りの刻」に向けて集中してくださいね。時間が許す限り、どうか修行を怠らぬように……。			破壊の責任							
ミルバネス礼拝堂のラライの元に、ふたたび手紙が届いたようだ。			ミルバネス礼拝堂のラライの元に、ふたたび手紙が届いたようだ。			強き破壊が生む惨劇							
ラライから、ドゾル・メロックから手紙があったと聞いた。ドゾル・メロックが、窮地に立たされているようだ。北部森林のアルダースプリングスへ向かい、ドゾル・メロックを探そう。			ラライから、ドゾル・メロックから手紙があったと聞いた。ドゾル・メロックが、窮地に立たされているようだ。北部森林のアルダースプリングスへ向かい、ドゾル・メロックを探そう。			強き破壊が生む惨劇							
ドゾル・メロックを取り囲んでいた「まつろわぬ魔道士」を討伐した。アルダースプリングスの「ドゾル・メロック」を救助しよう。			ドゾル・メロックを取り囲んでいた「まつろわぬ魔道士」を討伐した。アルダースプリングスの「ドゾル・メロック」を救助しよう。			強き破壊が生む惨劇							
「まつろわぬ魔道士」の構成員を討伐し、ドゾル・メロックを救助した。かけつけたザイ・ア・ネルハーは、ふたたび構成員が死んでしまったことを責めるが、その直後、構成員が「内側から焼かれていた」ことが判明。ドゾル・メロックは、彼らが、「シャトトの魔石」も持たずに、強力な黒魔法を使ったために、構成員たちは死んでしまったのではないかと意見を述べ、ザイ・ア・ネルハーは、己の誤解に気づき、冒険者に謝罪をして去っていった。ウルダハに戻り、ミルバネス礼拝堂の「ラライ」に報告しよう。			「まつろわぬ魔道士」の構成員を討伐し、ドゾル・メロックを救助した。かけつけたザイ・ア・ネルハーは、ふたたび構成員が死んでしまったことを責めるが、その直後、構成員が「内側から焼かれていた」ことが判明。ドゾル・メロックは、彼らが、「シャトトの魔石」も持たずに、強力な黒魔法を使ったために、構成員たちは死んでしまったのではないかと意見を述べ、ザイ・ア・ネルハーは、己の誤解に気づき、冒険者に謝罪をして去っていった。ウルダハに戻り、ミルバネス礼拝堂の「ラライ」に報告しよう。			強き破壊が生む惨劇							
ラライに報告をした。「まつろわぬ魔道士」が黒魔法を制御する知識を得られていないのなら、うまく勢力を拡大できていない可能性がある。「まつろわぬ魔道士」が焦って行動を起こすのを待ちつつ、力を蓄えておこう。※黒魔道士のレベルが58以上になると、ミルバネス礼拝堂のラライから、次の黒魔道士クエストを受注することができます。			ラライに報告をした。「まつろわぬ魔道士」が黒魔法を制御する知識を得られていないのなら、うまく勢力を拡大できていない可能性がある。「まつろわぬ魔道士」が焦って行動を起こすのを待ちつつ、力を蓄えておこう。※黒魔道士のレベルが58以上になると、ミルバネス礼拝堂のラライから、次の黒魔道士クエストを受注することができます。			強き破壊が生む惨劇							
アルダースプリングスでドゾル・メロックを探す			アルダースプリングスでドゾル・メロックを探す			強き破壊が生む惨劇							
ドゾル・メロックを救助する			ドゾル・メロックを救助する			強き破壊が生む惨劇							
ミルバネス礼拝堂のラライに報告			ミルバネス礼拝堂のラライに報告			強き破壊が生む惨劇							
大変です、Forename Surnameよ！私の元に、ふたたび手紙が届きました！			大変です、Forename Surnameよ！私の元に、ふたたび手紙が届きました！			強き破壊が生む惨劇							
「やばい！　命の危機！　アルダースプリングスに隠れてる。　Forenameに伝えてくれ！　どぞる」……。			「やばい！　命の危機！　アルダースプリングスに隠れてる。　Forenameに伝えてくれ！　どぞる」……。			強き破壊が生む惨劇							
……この汚い文字と、「どぞる」という言葉。			……この汚い文字と、「どぞる」という言葉。			強き破壊が生む惨劇							
私たちに助けを求めているのは、イクサル族の、ドゾル・メロックに違いありません！急いで救助に向かわねば……！			私たちに助けを求めているのは、イクサル族の、ドゾル・メロックに違いありません！急いで救助に向かわねば……！			強き破壊が生む惨劇							
……ザイ・ア・ネルハーにも伝えておくべきでしょうね。大丈夫、私はあなたが力を制御できていると信じています！			……ザイ・ア・ネルハーにも伝えておくべきでしょうね。大丈夫、私はあなたが力を制御できていると信じています！			強き破壊が生む惨劇							
あなたの戦いぶりを見せる、いい機会になるかもしれません。真の黒魔道士の戦いぶりを、ザイ・ア・ネルハーに見せつけてやりなさい！			あなたの戦いぶりを見せる、いい機会になるかもしれません。真の黒魔道士の戦いぶりを、ザイ・ア・ネルハーに見せつけてやりなさい！			強き破壊が生む惨劇							
黒魔道士Forename Surnameよ。「アルダースプリングス」に向かい、「ドゾル・メロック」を救うのです！			黒魔道士Forename Surnameよ。「アルダースプリングス」に向かい、「ドゾル・メロック」を救うのです！			強き破壊が生む惨劇							
黒魔道士Forename Surnameよ。「アルダースプリングス」に向かい、「ドゾル・メロック」を救うのです！			黒魔道士Forename Surnameよ。「アルダースプリングス」に向かい、「ドゾル・メロック」を救うのです！			強き破壊が生む惨劇							
助かったッァ、間一髪ってやつだぜッェ……。カザグ・チャーから伝言をもらってよおッォ、慌てて逃げ出したんだがッァ、見つかっちまってなッァ。			助かったッァ、間一髪ってやつだぜッェ……。カザグ・チャーから伝言をもらってよおッォ、慌てて逃げ出したんだがッァ、見つかっちまってなッァ。			強き破壊が生む惨劇							
連中はッァ、オレが同族の住処に近づけないことッォ、知ってやがったみたいだッァ。森に囲いこむようにッィ、追っかけてきやがってッェ……！			連中はッァ、オレが同族の住処に近づけないことッォ、知ってやがったみたいだッァ。森に囲いこむようにッィ、追っかけてきやがってッェ……！			強き破壊が生む惨劇							
結局は追い詰められてよッォ、仲間になることを断ったらッァ、このザマだッァ。面倒かけてッェ、すまなかったなッァ……。			結局は追い詰められてよッォ、仲間になることを断ったらッァ、このザマだッァ。面倒かけてッェ、すまなかったなッァ……。			強き破壊が生む惨劇							
クソッ、間に合わなかったか……！また、破壊の力を無闇にふるったな！			クソッ、間に合わなかったか……！また、破壊の力を無闇にふるったな！			強き破壊が生む惨劇							
君は、なにを考えているんだ……。このような無駄な殺生を、幾度くりかえせば……。			君は、なにを考えているんだ……。このような無駄な殺生を、幾度くりかえせば……。			強き破壊が生む惨劇							
……これは……どういうことだ？通常の魔法による外傷とは違う……！まるで「内側から焼かれている」みたいじゃないか！？			……これは……どういうことだ？通常の魔法による外傷とは違う……！まるで「内側から焼かれている」みたいじゃないか！？			強き破壊が生む惨劇							
こいつらの死因は、Forenameの黒魔法ではないのか……？			こいつらの死因は、Forenameの黒魔法ではないのか……？			強き破壊が生む惨劇							
この兄ちゃんはッァ、なにを言ってるんだッァ？こちとらッァ、ずっと逃亡生活だったんだからよッォ。わかったことがあるんならッァ、教えやがれッェ！			この兄ちゃんはッァ、なにを言ってるんだッァ？こちとらッァ、ずっと逃亡生活だったんだからよッォ。わかったことがあるんならッァ、教えやがれッェ！			強き破壊が生む惨劇							
なるほどッォ、その「ザルの書」を読んでッェ、ひいバアちゃんの境遇を知っていたからッァ、連中はッァ、オレを黒衣森に追い詰めたのかッァ。			なるほどッォ、その「ザルの書」を読んでッェ、ひいバアちゃんの境遇を知っていたからッァ、連中はッァ、オレを黒衣森に追い詰めたのかッァ。			強き破壊が生む惨劇							
……ところでッェ、この兄ちゃんの疑問だがよッォ。ずばりッィ、連中が死んじまったのはッァ、「シャトトの魔石」を持ってなかったからじゃねえかッァ？			……ところでッェ、この兄ちゃんの疑問だがよッォ。ずばりッィ、連中が死んじまったのはッァ、「シャトトの魔石」を持ってなかったからじゃねえかッァ？			強き破壊が生む惨劇							
……その「シャトトの魔石」というのはなんだ？			……その「シャトトの魔石」というのはなんだ？			強き破壊が生む惨劇							
「シャトトの魔石」こそッォ、このForenameがッァ、正統な黒魔道士である証さッァ。			「シャトトの魔石」こそッォ、このForenameがッァ、正統な黒魔道士である証さッァ。			強き破壊が生む惨劇							
多量の魔力を宿した魔石でよおッォ。その助けもなくッゥ、強力な黒魔法を使おうとしたってッェ、制御できるはずがねえッェ。			多量の魔力を宿した魔石でよおッォ。その助けもなくッゥ、強力な黒魔法を使おうとしたってッェ、制御できるはずがねえッェ。			強き破壊が生む惨劇							
だからッァ、連中は己のエーテルが燃えちまってッェ、内側から焼かれちまったんじゃねぇかッァ？			だからッァ、連中は己のエーテルが燃えちまってッェ、内側から焼かれちまったんじゃねぇかッァ？			強き破壊が生む惨劇							
「まつろわぬ魔道士」が死んでしまったのは、制御の方法を知らずに、強大な破壊の力を使ったから……。Forenameのせいじゃない…………？			「まつろわぬ魔道士」が死んでしまったのは、制御の方法を知らずに、強大な破壊の力を使ったから……。Forenameのせいじゃない…………？			強き破壊が生む惨劇							
なにか誤解があったならッァ、しっかり話し合うんだなッァ。オレはッァ、ここいらで退散するぜッェ。この恩はッァ、かならず返すからよッォ！			なにか誤解があったならッァ、しっかり話し合うんだなッァ。オレはッァ、ここいらで退散するぜッェ。この恩はッァ、かならず返すからよッォ！			強き破壊が生む惨劇							
……ドゾルの見解が本当だとしてもだ。君の黒魔法に対抗しようとして、連中が力を使いすぎてしまったことは事実……。			……ドゾルの見解が本当だとしてもだ。君の黒魔法に対抗しようとして、連中が力を使いすぎてしまったことは事実……。			強き破壊が生む惨劇							
君ひとりが黒魔法を制御できているからといって、事態が解決したわけではない。そのことは、しっかりと認識しておけ……。			君ひとりが黒魔法を制御できているからといって、事態が解決したわけではない。そのことは、しっかりと認識しておけ……。			強き破壊が生む惨劇							
君は、このことを「ラライ」に伝えるといいだろう。………………君を責めて、すまなかった。			君は、このことを「ラライ」に伝えるといいだろう。………………君を責めて、すまなかった。			強き破壊が生む惨劇							
Forename Surnameよ。ドゾル・メロックは無事でしたか……？			Forename Surnameよ。ドゾル・メロックは無事でしたか……？			強き破壊が生む惨劇							
……なるほど、そのようなことが。ザイ・ア・ネルハーも、これで、少しは丸くなればいいのですが。			……なるほど、そのようなことが。ザイ・ア・ネルハーも、これで、少しは丸くなればいいのですが。			強き破壊が生む惨劇							
しかし、「内側から焼かれていた」とは……。ドゾル・メロックの見解が正しいとするならば、「まつろわぬ魔道士」の情勢も読めてきますね……！			しかし、「内側から焼かれていた」とは……。ドゾル・メロックの見解が正しいとするならば、「まつろわぬ魔道士」の情勢も読めてきますね……！			強き破壊が生む惨劇							
なんと返答する？			なんと返答する？			強き破壊が生む惨劇							
君も気づいたのか……			君も気づいたのか……			強き破壊が生む惨劇							
どういうこと……？			どういうこと……？			強き破壊が生む惨劇							
……なんです、そのザイ・ア・ネルハーのような口調は。私も、凡庸な魔力で、必死に黒魔法の研鑽を積む者。彼らの考えは、私が一番想像できます……。			……なんです、そのザイ・ア・ネルハーのような口調は。私も、凡庸な魔力で、必死に黒魔法の研鑽を積む者。彼らの考えは、私が一番想像できます……。			強き破壊が生む惨劇							
あなたのように、黒魔法を不自由なく使いこなす者には、逆に気づきにくい点なのかもしれませんね……。			あなたのように、黒魔法を不自由なく使いこなす者には、逆に気づきにくい点なのかもしれませんね……。			強き破壊が生む惨劇							
おそらく敵の陣営は、そう人数を増やせていません。力を使いすぎただけで、術者が死んでしまうのでは、勢力を拡大させることなどできませんからね……。			おそらく敵の陣営は、そう人数を増やせていません。力を使いすぎただけで、術者が死んでしまうのでは、勢力を拡大させることなどできませんからね……。			強き破壊が生む惨劇							
だからこそ彼らは、「制御」の方法を求めている……！知識を有する獣人たちの前にばかり姿を現したのも、そういった目的があったからでしょう……。			だからこそ彼らは、「制御」の方法を求めている……！知識を有する獣人たちの前にばかり姿を現したのも、そういった目的があったからでしょう……。			強き破壊が生む惨劇							
しかし、あなたの活躍により、知識は得られぬまま……。「制御」の方法を知る術を失い、ウォルディーヴは、かなり焦っているに違いありません！			しかし、あなたの活躍により、知識は得られぬまま……。「制御」の方法を知る術を失い、ウォルディーヴは、かなり焦っているに違いありません！			強き破壊が生む惨劇							
「まつろわぬ魔道士」の足取りは途絶えてしまいましたが、根気比べでは、こちらに分があります。きっと、すぐに姿を現すでしょう！			「まつろわぬ魔道士」の足取りは途絶えてしまいましたが、根気比べでは、こちらに分があります。きっと、すぐに姿を現すでしょう！			強き破壊が生む惨劇							
今は下手に動かずに、敵が動き出すのを待つべきです！あなたはそれまで、力を蓄えておいてください。			今は下手に動かずに、敵が動き出すのを待つべきです！あなたはそれまで、力を蓄えておいてください。			強き破壊が生む惨劇							
ミルバネス礼拝堂のラライは、「星降りの刻」の関係者を集めたいようだ			ミルバネス礼拝堂のラライは、「星降りの刻」の関係者を集めたいようだ			魔石は求める							
シャトトは、皆と今後の方針を相談したいらしい。東ザナラーンのバーガンディ滝で「ラライ」と話そう。			シャトトは、皆と今後の方針を相談したいらしい。東ザナラーンのバーガンディ滝で「ラライ」と話そう。			魔石は求める							
自然発生したゴーレムの調査をすることになった。ギラバニア山岳地帯のアラガーナ付近で「シャトト」と合流しよう。			自然発生したゴーレムの調査をすることになった。ギラバニア山岳地帯のアラガーナ付近で「シャトト」と合流しよう。			魔石は求める							
手分けして暴走ゴーレムがいないか捜索することになった。アラガーナを更に西へ向かい、「指定地点」で見渡して、暴走したゴーレムが現れたら討伐しよう。			手分けして暴走ゴーレムがいないか捜索することになった。アラガーナを更に西へ向かい、「指定地点」で見渡して、暴走したゴーレムが現れたら討伐しよう。			魔石は求める							
現れたゴーレムを討伐した。アラガーナの西側にいる「シャトト」に報告しよう。			現れたゴーレムを討伐した。アラガーナの西側にいる「シャトト」に報告しよう。			魔石は求める							
ドラヴァニアに大量のゴーレムが集結しつつあるらしい。バーガンディ滝に戻って、「カザグ・チャー」と話そう。			ドラヴァニアに大量のゴーレムが集結しつつあるらしい。バーガンディ滝に戻って、「カザグ・チャー」と話そう。			魔石は求める							
暴走したゴーレムが共食いを繰り返して、個体数が減るのを待つことになった。ミルバネス礼拝堂の「ラライ」と話そう。			暴走したゴーレムが共食いを繰り返して、個体数が減るのを待つことになった。ミルバネス礼拝堂の「ラライ」と話そう。			魔石は求める							
ラライも、ゴーレムとの最終決戦の話を聞いたらしい。戦いに備え、破壊の力を磨いておこう。※黒魔道士のレベルが70以上になると、ミルバネス礼拝堂のラライから、次の黒魔道士クエストを受注することができます。			ラライも、ゴーレムとの最終決戦の話を聞いたらしい。戦いに備え、破壊の力を磨いておこう。※黒魔道士のレベルが70以上になると、ミルバネス礼拝堂のラライから、次の黒魔道士クエストを受注することができます。			魔石は求める							
バーガンディ滝のラライと話す			バーガンディ滝のラライと話す			魔石は求める							
アラガーナ付近のシャトトと合流			アラガーナ付近のシャトトと合流			魔石は求める							
指定地点で見渡し、ゴーレムに襲われたら討伐			指定地点で見渡し、ゴーレムに襲われたら討伐			魔石は求める							
シャトトに報告			シャトトに報告			魔石は求める							
バーガンディ滝のカザグ・チャーと話す			バーガンディ滝のカザグ・チャーと話す			魔石は求める							
ミルバネス礼拝堂のラライと話す			ミルバネス礼拝堂のラライと話す			魔石は求める							
Forename Surnameよ。どうやら、また相当に力をつけたようですね！			Forename Surnameよ。どうやら、また相当に力をつけたようですね！			魔石は求める							
先ほど、シャトト様のお声が頭に響きました。「星降りの刻」に対処すべく動いている者を集めてほしい、と。今後の方針について相談したいそうですよ。			先ほど、シャトト様のお声が頭に響きました。「星降りの刻」に対処すべく動いている者を集めてほしい、と。今後の方針について相談したいそうですよ。			魔石は求める							
すでに、ほかの者たちには声をかけてあります……。カザグ・チャーのところに集合と伝えてありますので、「バーガンディ滝」で落ち合いましょう。			すでに、ほかの者たちには声をかけてあります……。カザグ・チャーのところに集合と伝えてありますので、「バーガンディ滝」で落ち合いましょう。			魔石は求める							
シャトト様の所業、まさに怪力乱神。2300年の未来に、己の記憶を残すなど……。吾輩の理解を超えた神業也。			シャトト様の所業、まさに怪力乱神。2300年の未来に、己の記憶を残すなど……。吾輩の理解を超えた神業也。			魔石は求める							
黒魔法の開祖様とご対面かーッァ！！……緊張すんじゃねぇかよーーッォ！			黒魔法の開祖様とご対面かーッァ！！……緊張すんじゃねぇかよーーッォ！			魔石は求める							
僕ーは　もー　シャトト様とーはお話　しーたもんねー♪			僕ーは　もー　シャトト様とーはお話　しーたもんねー♪			魔石は求める							
シャトトのおかげで「星降りの刻」への対処も順調。今度は、こちらから打って出る番だな。			シャトトのおかげで「星降りの刻」への対処も順調。今度は、こちらから打って出る番だな。			魔石は求める							
それでは、シャトト様をお呼びします。皆々様、後はよろしくお願いしますよ……。			それでは、シャトト様をお呼びします。皆々様、後はよろしくお願いしますよ……。			魔石は求める							
……皆さんの奇縁は、ラライから聞きました。お力添え、本当にありがとうございます。			……皆さんの奇縁は、ラライから聞きました。お力添え、本当にありがとうございます。			魔石は求める							
エオルゼア同盟軍からも、いくつか、暴走ゴーレムとの交戦報告がきている……。君たちの力を借りるまでもない、雑魚だったようだがね。			エオルゼア同盟軍からも、いくつか、暴走ゴーレムとの交戦報告がきている……。君たちの力を借りるまでもない、雑魚だったようだがね。			魔石は求める							
それと、彗星について……。天体の観測を行っているアドネール占星台によると、彗星が最も接近する時期が、まもなく訪れるそうだ。			それと、彗星について……。天体の観測を行っているアドネール占星台によると、彗星が最も接近する時期が、まもなく訪れるそうだ。			魔石は求める							
その時期こそが「星降りの刻」……。そこを乗り切れば、彗星は再び母なる星を離れ、ゴーレムの暴走もおさまるはずです……！			その時期こそが「星降りの刻」……。そこを乗り切れば、彗星は再び母なる星を離れ、ゴーレムの暴走もおさまるはずです……！			魔石は求める							
幸い、これまで都市部付近で目撃された暴走ゴーレムは、破壊の力を持たぬ者でも、なんとか倒せる強さだったようです。おそらく、心核に使われた「魔石」が小さかったのでしょう。			幸い、これまで都市部付近で目撃された暴走ゴーレムは、破壊の力を持たぬ者でも、なんとか倒せる強さだったようです。おそらく、心核に使われた「魔石」が小さかったのでしょう。			魔石は求める							
なれば、次は、都市国家の目がおよばぬ辺境の調査。人里から離れた場所で、ゴーレムが暴走していないかを、調べさせてください。			なれば、次は、都市国家の目がおよばぬ辺境の調査。人里から離れた場所で、ゴーレムが暴走していないかを、調べさせてください。			魔石は求める							
よくわかんねえぞッォ……じゃないッィ、わかんねえですッゥ！そもそも、なんで人造人形であるゴーレムがッァ、人里離れた場所にいるんだよッォ……ですかッァ？			よくわかんねえぞッォ……じゃないッィ、わかんねえですッゥ！そもそも、なんで人造人形であるゴーレムがッァ、人里離れた場所にいるんだよッォ……ですかッァ？			魔石は求める							
あら、これまで相対したゴーレムがたまたま人造物だっただけ。「魔石」のように、強い魔力を帯びた品が鉱物や植物を取り込み、自然発生的に生まれるケースもあるのです。			あら、これまで相対したゴーレムがたまたま人造物だっただけ。「魔石」のように、強い魔力を帯びた品が鉱物や植物を取り込み、自然発生的に生まれるケースもあるのです。			魔石は求める							
この種の魔法生物は使命を持たないため、行動原理もバラバラ。それでも、核が通常のクリスタルであれば問題ありませんが、「魔石」を秘めている場合、暴走の危険がある……。			この種の魔法生物は使命を持たないため、行動原理もバラバラ。それでも、核が通常のクリスタルであれば問題ありませんが、「魔石」を秘めている場合、暴走の危険がある……。			魔石は求める							
そして、心核である「魔石」が大きいほど、活性化の影響も強い。つまり、より巨大な「魔石」を抱え込んでいる個体ほど、その強さは計り知れないということか……。			そして、心核である「魔石」が大きいほど、活性化の影響も強い。つまり、より巨大な「魔石」を抱え込んでいる個体ほど、その強さは計り知れないということか……。			魔石は求める							
それなら、今回僕は獣人たちと一緒に行動しよう。君たちなら、ふたりでも大丈夫だろうしね。			それなら、今回僕は獣人たちと一緒に行動しよう。君たちなら、ふたりでも大丈夫だろうしね。			魔石は求める							
ふたりには、東の方面を捜査してほしい。今のシャトトの話を聞いて、気になったことがあるんだ……。エオルゼア同盟軍から、ある報告が入っていてね。			ふたりには、東の方面を捜査してほしい。今のシャトトの話を聞いて、気になったことがあるんだ……。エオルゼア同盟軍から、ある報告が入っていてね。			魔石は求める							
ギラバニア山岳地帯の「アラガーナ」付近で、ゴーレム系の魔法生物らしき、「動く木」を見たそうなんだよ。遠方からの観測で、見間違いの可能性もあるらしいんだが。			ギラバニア山岳地帯の「アラガーナ」付近で、ゴーレム系の魔法生物らしき、「動く木」を見たそうなんだよ。遠方からの観測で、見間違いの可能性もあるらしいんだが。			魔石は求める							
自然発生したゴーレムは、元の自然物の形状が強く残ります。その者たちが見たのが、ゴーレムだった可能性は高いですね。わかりました、私たちで現地に赴いてみましょう。			自然発生したゴーレムは、元の自然物の形状が強く残ります。その者たちが見たのが、ゴーレムだった可能性は高いですね。わかりました、私たちで現地に赴いてみましょう。			魔石は求める							
それじゃ、連絡用にシャトトにリンクパールを渡しておこう。これを使えば、遠方でも連絡が取り合えるからね。			それじゃ、連絡用にシャトトにリンクパールを渡しておこう。これを使えば、遠方でも連絡が取り合えるからね。			魔石は求める							
君たちが東へ向かうなら、僕らは西方面かな……。こちらも何かあったら、すぐに連絡するよ。			君たちが東へ向かうなら、僕らは西方面かな……。こちらも何かあったら、すぐに連絡するよ。			魔石は求める							
リンクパール、ですか……。現代では、なんとも便利なものがあるんですね……。では、私たちも「アラガーナ」へ向かいましょう。			リンクパール、ですか……。現代では、なんとも便利なものがあるんですね……。では、私たちも「アラガーナ」へ向かいましょう。			魔石は求める							
……ふむう、湿地帯と化してしまったマハとは違い、この辺りは、私が生きていた頃と、大きな違いはありません。強いて言うなら、当時はもっと寂寥とした地でしたが。			……ふむう、湿地帯と化してしまったマハとは違い、この辺りは、私が生きていた頃と、大きな違いはありません。強いて言うなら、当時はもっと寂寥とした地でしたが。			魔石は求める							
……って、また無駄に思いを馳せてしまいましたね。いくら感慨にふけったところで、とうに死した私の本体には、いっさい還元されないのに。			……って、また無駄に思いを馳せてしまいましたね。いくら感慨にふけったところで、とうに死した私の本体には、いっさい還元されないのに。			魔石は求める							
さ、本来の使命を果たさねば！この辺りでは、ゴーレムの気配は感じません……。「アラガーナ」の更に西側を調べてみましょうか。			さ、本来の使命を果たさねば！この辺りでは、ゴーレムの気配は感じません……。「アラガーナ」の更に西側を調べてみましょうか。			魔石は求める							
……大丈夫、もう無茶も油断もしませんわ。貴方も、周囲を調べてもらえますか？			……大丈夫、もう無茶も油断もしませんわ。貴方も、周囲を調べてもらえますか？			魔石は求める							
おつかれ様です、私もご覧のとおりゴーレムに遭遇しましたよ。でも、このゴーレムたち……まさか……。			おつかれ様です、私もご覧のとおりゴーレムに遭遇しましたよ。でも、このゴーレムたち……まさか……。			魔石は求める							
Forename、今回遭遇したゴーレムですが、周囲に、小型の個体が活動を停止し転がっていました……。……おそらく、同種のゴーレムに襲われたのでしょう。			Forename、今回遭遇したゴーレムですが、周囲に、小型の個体が活動を停止し転がっていました……。……おそらく、同種のゴーレムに襲われたのでしょう。			魔石は求める							
そして、小型のゴーレムからは、心核である「魔石」が、えぐり出されていたのです……！もしや、ゴーレムたちは互いの心核を求め、共食いを……。			そして、小型のゴーレムからは、心核である「魔石」が、えぐり出されていたのです……！もしや、ゴーレムたちは互いの心核を求め、共食いを……。			魔石は求める							
……っと、少々お待ちください。ザイ・ア・ネルハーに渡されたリンクパールが……。			……っと、少々お待ちください。ザイ・ア・ネルハーに渡されたリンクパールが……。			魔石は求める							
……えっと、これで聞こえますか？そちらで、何かありま……って、何ですって！？			……えっと、これで聞こえますか？そちらで、何かありま……って、何ですって！？			魔石は求める							
…………ええ……わかりました、それが賢明ですね。一度退いて、態勢を整えましょう。			…………ええ……わかりました、それが賢明ですね。一度退いて、態勢を整えましょう。			魔石は求める							
……それと、ザイ・ア・ネルハーは、彗星の情報を聞いたという占星台へ向かってもらえますか。私も、そちらへ行きますので。			……それと、ザイ・ア・ネルハーは、彗星の情報を聞いたという占星台へ向かってもらえますか。私も、そちらへ行きますので。			魔石は求める							
……なんということでしょう。彼らが向かった、西方ドラヴァニアの地に、各地から、大量のゴーレムが集結しつつあるそうです！			……なんということでしょう。彼らが向かった、西方ドラヴァニアの地に、各地から、大量のゴーレムが集結しつつあるそうです！			魔石は求める							
何が起きているのかわかりませんが、私は、ゴーレムの大量集結の原因を探らねばなりません。とても、とても嫌な予感がしますわ……。			何が起きているのかわかりませんが、私は、ゴーレムの大量集結の原因を探らねばなりません。とても、とても嫌な予感がしますわ……。			魔石は求める							
気になることがあるので、お聞きのとおり、私は、ザイ・ア・ネルハーと占星台へ寄ってから戻ります。貴方は、先に「バーガンディ滝」へ！			気になることがあるので、お聞きのとおり、私は、ザイ・ア・ネルハーと占星台へ寄ってから戻ります。貴方は、先に「バーガンディ滝」へ！			魔石は求める							
おっそろしい数のッォ、ゴーレムだったぜッェ……。			おっそろしい数のッォ、ゴーレムだったぜッェ……。			魔石は求める							
ドラヴァニアにー　色んーな　ゴーレム　大集合だーよ！			ドラヴァニアにー　色んーな　ゴーレム　大集合だーよ！			魔石は求める							
此度の事態、まさしく涸轍鮒魚。大量に出現せしゴーレムに、我ら為す術なく……。どうやら敵は、同じ方向を目指しているようだったが……。			此度の事態、まさしく涸轍鮒魚。大量に出現せしゴーレムに、我ら為す術なく……。どうやら敵は、同じ方向を目指しているようだったが……。			魔石は求める							
(-？？？？-)奴らが目指す方向……その目的地がわかりました。霊峰ソーム・アルです……！			(-？？？？-)奴らが目指す方向……その目的地がわかりました。霊峰ソーム・アルです……！			魔石は求める							
先ほどギラバニアで、暴走ゴーレム同士が争い、「魔石」を求めて、共食いした形跡を発見しました。どうやら連中は、より強い「魔石」の力を求めているようです。			先ほどギラバニアで、暴走ゴーレム同士が争い、「魔石」を求めて、共食いした形跡を発見しました。どうやら連中は、より強い「魔石」の力を求めているようです。			魔石は求める							
互いの「魔石」を奪い合い、共食いを繰り返したゴーレムは、それだけで満足せず、更なる「魔石」の力を求めるでしょう……。			互いの「魔石」を奪い合い、共食いを繰り返したゴーレムは、それだけで満足せず、更なる「魔石」の力を求めるでしょう……。			魔石は求める							
そして、彼らの頭上では、「魔石」の大本である彗星が、徐々に近づきつつあります。ゴーレムたちが、それを求めるのは必定……。			そして、彼らの頭上では、「魔石」の大本である彗星が、徐々に近づきつつあります。ゴーレムたちが、それを求めるのは必定……。			魔石は求める							
……アドネール占星台で確認してきた。彗星が、少しずつ軌道を変えつつあるそうだ……。このエオルゼアに落下する軌道に……！			……アドネール占星台で確認してきた。彗星が、少しずつ軌道を変えつつあるそうだ……。このエオルゼアに落下する軌道に……！			魔石は求める							
