オールド・シャーレアンの小柄なグリーナーは、冒険者のことを探しているようだ。			オールド・シャーレアンの小柄なグリーナーは、冒険者のことを探しているようだ。			ギルドシップのモブハント（初級）							
刺激的だし、視覚的にも理解しやすい			刺激的だし、視覚的にも理解しやすい			体験学習のお手伝い							
えっ？あー……君、そこから説明しなきゃだめか？シャーレアンの子なら、この程度は常識なんだけど。			えっ？あー……君、そこから説明しなきゃだめか？シャーレアンの子なら、この程度は常識なんだけど。			体験学習のお手伝い							
いや、そうか……つまり、もっと幼い子でもわかるよう、さらに詳しく説明してあげたほうがいいっていう見解なんだね？この街の住人からは絶対に出ない貴重な意見だよ、ありがとう！			いや、そうか……つまり、もっと幼い子でもわかるよう、さらに詳しく説明してあげたほうがいいっていう見解なんだね？この街の住人からは絶対に出ない貴重な意見だよ、ありがとう！			体験学習のお手伝い							
おっ、嬉しいこと言ってくれるじゃないか……。少し安心したよ。			おっ、嬉しいこと言ってくれるじゃないか……。少し安心したよ。			体験学習のお手伝い							
まあ、実のところ、結晶化自体は常識でも、エーテルが物質界で「どのような作用で」結晶化するのかは、今なお学会で熱い議論が交わされているんだけどね。			まあ、実のところ、結晶化自体は常識でも、エーテルが物質界で「どのような作用で」結晶化するのかは、今なお学会で熱い議論が交わされているんだけどね。			体験学習のお手伝い							
だから実験のあとで、子供たちと、討論の機会を設けようと思ってる。「なぜ？」を自分で考えることが、学ぶことの本質だからさ。			だから実験のあとで、子供たちと、討論の機会を設けようと思ってる。「なぜ？」を自分で考えることが、学ぶことの本質だからさ。			体験学習のお手伝い							
いずれにせよ、協力してくれて助かったよ。お礼は……ああ、パスメランに預けてたんだった。歩かせちゃってすまないけれど、彼から受け取ってくれないか？			いずれにせよ、協力してくれて助かったよ。お礼は……ああ、パスメランに預けてたんだった。歩かせちゃってすまないけれど、彼から受け取ってくれないか？			体験学習のお手伝い							
おっと、実験は終わったのかい？協力ありがとう、結果は……あー、アンタの表情から、なんとなく察したよ。			おっと、実験は終わったのかい？協力ありがとう、結果は……あー、アンタの表情から、なんとなく察したよ。			体験学習のお手伝い							
じゃあこれ、お礼。……さーて、本番に向けて、講座の内容をもうちょっと見直そうかな。			じゃあこれ、お礼。……さーて、本番に向けて、講座の内容をもうちょっと見直そうかな。			体験学習のお手伝い							
特殊ルール： レベルアジャストシャーレアン魔法大学の気が弱そうな魔法大学生はすこぶる悩んでいる様子だ。			特殊ルール： レベルアジャストシャーレアン魔法大学の気が弱そうな魔法大学生はすこぶる悩んでいる様子だ。			未知なる生物を夢に求めて							
未知なる生物を探して同行させる			未知なる生物を探して同行させる			未知なる生物を夢に求めて							
未知なる生物を連れて気が弱そうな魔法大学生と話す			未知なる生物を連れて気が弱そうな魔法大学生と話す			未知なる生物を夢に求めて							
あなたのその出で立ち……冒険者さんですよね！急な質問で申し訳ないのですが、僕の足元にいるこの動物を、旅先で見たことはありませんか？			あなたのその出で立ち……冒険者さんですよね！急な質問で申し訳ないのですが、僕の足元にいるこの動物を、旅先で見たことはありませんか？			未知なる生物を夢に求めて							
ガウガウ、ガウガウガウガウ！			ガウガウ、ガウガウガウガウ！			未知なる生物を夢に求めて							
に、逃げてしまった……。いままであんなに素早く動いたことなんかなかったのに……。			に、逃げてしまった……。いままであんなに素早く動いたことなんかなかったのに……。			未知なる生物を夢に求めて							
すみません、あなたもびっくりしましたよね。あれは、自分が所属する研究室の教授宛てに、送られてきた生物なんですよ。			すみません、あなたもびっくりしましたよね。あれは、自分が所属する研究室の教授宛てに、送られてきた生物なんですよ。			未知なる生物を夢に求めて							
グリーナーのどなたかが、生態調査のために送ってきたんでしょうけど……正体がわからなくて、研究室内でも持て余していたんです。			グリーナーのどなたかが、生態調査のために送ってきたんでしょうけど……正体がわからなくて、研究室内でも持て余していたんです。			未知なる生物を夢に求めて							
何と言う？			何と言う？			未知なる生物を夢に求めて							
アレは危険だ			アレは危険だ			未知なる生物を夢に求めて							
ジャイアントビーバーだ			ジャイアントビーバーだ			未知なる生物を夢に求めて							
見たことも聞いたこともない生き物だ……			見たことも聞いたこともない生き物だ……			未知なる生物を夢に求めて							
ひええっ！強そうな冒険者さんが危険視するほどなんですか！？僕はなんて生物を逃がしてしまったんだ……！！			ひええっ！強そうな冒険者さんが危険視するほどなんですか！？僕はなんて生物を逃がしてしまったんだ……！！			未知なる生物を夢に求めて							
き、聞いたこともない名前です……！僕はもしかして、新種の大事な生物を、逃がしてしまったのでは……！？			き、聞いたこともない名前です……！僕はもしかして、新種の大事な生物を、逃がしてしまったのでは……！？			未知なる生物を夢に求めて							
な、なんと……経験豊富な冒険者さんが聞いたことすらない、稀少な生物を、逃がしてしまっただなんて……！			な、なんと……経験豊富な冒険者さんが聞いたことすらない、稀少な生物を、逃がしてしまっただなんて……！			未知なる生物を夢に求めて							
嗚呼、この失態が問題視されて、単位がもらえなかったら、またもや留年だ！それだけは絶対に避けなくちゃいけないのに……！			嗚呼、この失態が問題視されて、単位がもらえなかったら、またもや留年だ！それだけは絶対に避けなくちゃいけないのに……！			未知なる生物を夢に求めて							
冒険者さん、騒ぎが大きくなる前に、捕獲するのを手伝ってもらえませんか！？			冒険者さん、騒ぎが大きくなる前に、捕獲するのを手伝ってもらえませんか！？			未知なる生物を夢に求めて							
ありがとうございます！では逃げ去った「七賢人の庭」の方で、あの「未知なる生物」を探してください……！			ありがとうございます！では逃げ去った「七賢人の庭」の方で、あの「未知なる生物」を探してください……！			未知なる生物を夢に求めて							
あからさまに探しものをしていると、周りの人に怪しまれてしまいそうなので……僕は思索をしているふりをして、周囲を探してみます。			あからさまに探しものをしていると、周りの人に怪しまれてしまいそうなので……僕は思索をしているふりをして、周囲を探してみます。			未知なる生物を夢に求めて							
冒険者さんは逃げ去った「七賢人の庭」の方で、あの「未知なる生物」を探してください……！			冒険者さんは逃げ去った「七賢人の庭」の方で、あの「未知なる生物」を探してください……！			未知なる生物を夢に求めて							
毛むくじゃらの生物がいる……。			毛むくじゃらの生物がいる……。			未知なる生物を夢に求めて							
見覚えのある生物がいる……！			見覚えのある生物がいる……！			未知なる生物を夢に求めて							
ガウガウ！　ガウガウ！			ガウガウ！　ガウガウ！			未知なる生物を夢に求めて							
逃げ出した生物を見つけた……。持ち上げたり、懐に入れるのは嫌そうだが、先導すれば、ついてくるかもしれない……。			逃げ出した生物を見つけた……。持ち上げたり、懐に入れるのは嫌そうだが、先導すれば、ついてくるかもしれない……。			未知なる生物を夢に求めて							
「未知なる生物」は見つかりましたか……？			「未知なる生物」は見つかりましたか……？			未知なる生物を夢に求めて							
このクエストを進行させるには、未知なる生物が同行している状態で、さらに、プレイヤーの近くにいる必要があります。			このクエストを進行させるには、未知なる生物が同行している状態で、さらに、プレイヤーの近くにいる必要があります。			未知なる生物を夢に求めて							
同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			未知なる生物を夢に求めて							
何をする？			何をする？			未知なる生物を夢に求めて							
話す			話す			未知なる生物を夢に求めて							
同行状態を解除する			同行状態を解除する			未知なる生物を夢に求めて							
キャンセル			キャンセル			未知なる生物を夢に求めて							
ガウガウ！			ガウガウ！			未知なる生物を夢に求めて							
同行状態を解除します。本当によろしいですか？			同行状態を解除します。本当によろしいですか？			未知なる生物を夢に求めて							
ガウガウッ！			ガウガウッ！			未知なる生物を夢に求めて							
未知なる生物は、「七賢人の庭」へと戻るようだ……。			未知なる生物は、「七賢人の庭」へと戻るようだ……。			未知なる生物を夢に求めて							
ガウガウ！　ウウー！			ガウガウ！　ウウー！			未知なる生物を夢に求めて							
あ、あれぇ！？冒険者さんもこいつを見つけたんですか？さきほど、ノコノコとひとりで戻ってきたんですよ。			あ、あれぇ！？冒険者さんもこいつを見つけたんですか？さきほど、ノコノコとひとりで戻ってきたんですよ。			未知なる生物を夢に求めて							
おかしいなぁ……。荷物に入っていたのは1匹だったと思ったけど、僕が見逃していたのかな？			おかしいなぁ……。荷物に入っていたのは1匹だったと思ったけど、僕が見逃していたのかな？			未知なる生物を夢に求めて							
まぁ、多い分にはきっと困らないでしょう！さっそく教授に届けてきますね！			まぁ、多い分にはきっと困らないでしょう！さっそく教授に届けてきますね！			未知なる生物を夢に求めて							
喉から手が出るほどほしい単位も、冒険者さんのおかげで、きっと安泰です！ふっふっふ！　ありがとうございました！			喉から手が出るほどほしい単位も、冒険者さんのおかげで、きっと安泰です！ふっふっふ！　ありがとうございました！			未知なる生物を夢に求めて							
特殊ルール： レベルアジャストフェノメノン大講堂のフレゾワーヌは、何かを探しているようだ。			特殊ルール： レベルアジャストフェノメノン大講堂のフレゾワーヌは、何かを探しているようだ。			マイ・フェア・レディ							
ラストスタンド付近で凛々しい魔法人形を探す			ラストスタンド付近で凛々しい魔法人形を探す			マイ・フェア・レディ							
フレゾワーヌに凛々しい魔法人形を渡す			フレゾワーヌに凛々しい魔法人形を渡す			マイ・フェア・レディ							
ああ、お嬢様……いったい、どちらに行ってしまわれたの？			ああ、お嬢様……いったい、どちらに行ってしまわれたの？			マイ・フェア・レディ							
あら、これは失礼あそばせ。私は名門魔法大学でエーテル学を専攻しておりまして、研究の一環で、大切な魔法人形にお使いを指示しましたの……。			あら、これは失礼あそばせ。私は名門魔法大学でエーテル学を専攻しておりまして、研究の一環で、大切な魔法人形にお使いを指示しましたの……。			マイ・フェア・レディ							
ところが、なにかミスがあったのか……大切なお嬢様……ではなく魔法人形が、帰ってこないのです！どうか、どうか捜索に協力いただけませんか？			ところが、なにかミスがあったのか……大切なお嬢様……ではなく魔法人形が、帰ってこないのです！どうか、どうか捜索に協力いただけませんか？			マイ・フェア・レディ							
ああ、感謝しますわ！お使い先はラストスタンドですので、その付近で、気高くも「凛々しい魔法人形」をお探しになってくださいな！			ああ、感謝しますわ！お使い先はラストスタンドですので、その付近で、気高くも「凛々しい魔法人形」をお探しになってくださいな！			マイ・フェア・レディ							
お使い先はラストスタンドですので、その付近で、気高くも「凛々しい魔法人形」をお探しになってくださいな！			お使い先はラストスタンドですので、その付近で、気高くも「凛々しい魔法人形」をお探しになってくださいな！			マイ・フェア・レディ							
どこかで見た気がする姿の魔法人形を発見した。これが「凛々しい魔法人形」だろうか。フェノメノン大講堂の「フレゾワーヌ」に渡してみよう。			どこかで見た気がする姿の魔法人形を発見した。これが「凛々しい魔法人形」だろうか。フェノメノン大講堂の「フレゾワーヌ」に渡してみよう。			マイ・フェア・レディ							
お嬢様、いったいどこへ行ってしまいましたの……？			お嬢様、いったいどこへ行ってしまいましたの……？			マイ・フェア・レディ							
ああ……ああ、お嬢様！見つけてくださったのですね、ありがとうございます！凛々しいお顔に、傷などは……ついていないようですわね！			ああ……ああ、お嬢様！見つけてくださったのですね、ありがとうございます！凛々しいお顔に、傷などは……ついていないようですわね！			マイ・フェア・レディ							
これは、私が崇拝する、さるご令嬢を模した魔法人形。グリーナーを雇って手に入れたこの貴重品に、大魔道士クワンの著書を参考に、自律制御機構を実装しましたの！			これは、私が崇拝する、さるご令嬢を模した魔法人形。グリーナーを雇って手に入れたこの貴重品に、大魔道士クワンの著書を参考に、自律制御機構を実装しましたの！			マイ・フェア・レディ							
ハッ……もしや、これは設計ミスなのではなく、コーヒーを飲みすぎる私の体調を慮り、あえて「拒んだ」のでは？つまりは、感情の……愛の萌芽！			ハッ……もしや、これは設計ミスなのではなく、コーヒーを飲みすぎる私の体調を慮り、あえて「拒んだ」のでは？つまりは、感情の……愛の萌芽！			マイ・フェア・レディ							
ああ、こうしてはいられません……さらに研究を続けなくては！あなた様には、あらためてお礼を申し上げます。では、私はこれにて……！			ああ、こうしてはいられません……さらに研究を続けなくては！あなた様には、あらためてお礼を申し上げます。では、私はこれにて……！			マイ・フェア・レディ							
特殊ルール： レベルアジャストヌーメノン大書院のイシルスィスは、手を焼いているようだ。			特殊ルール： レベルアジャストヌーメノン大書院のイシルスィスは、手を焼いているようだ。			禁書回収ヌーメノン大書院							
凶暴な書籍に眠り草の粉末を使い入手			凶暴な書籍に眠り草の粉末を使い入手			禁書回収ヌーメノン大書院							
イシルスィスに回収された書籍を渡す			イシルスィスに回収された書籍を渡す			禁書回収ヌーメノン大書院							
あら、あなたは、最近ここに出入りしている冒険者さんですよね？よかった、お願いしたいことがあったんです。			あら、あなたは、最近ここに出入りしている冒険者さんですよね？よかった、お願いしたいことがあったんです。			禁書回収ヌーメノン大書院							
実は、先日グブラ幻想図書館から回収された、取り扱い注意の書籍を、学生が不用意に触れてしまって。盗難防止用の魔法が発動した結果……			実は、先日グブラ幻想図書館から回収された、取り扱い注意の書籍を、学生が不用意に触れてしまって。盗難防止用の魔法が発動した結果……			禁書回収ヌーメノン大書院							
その書籍が……暴れて逃げだしてしまったんです。			その書籍が……暴れて逃げだしてしまったんです。			禁書回収ヌーメノン大書院							
司書たちは、みな戦いが不得手なものですから、冒険者さんにお手伝いをお願いしたいのです。			司書たちは、みな戦いが不得手なものですから、冒険者さんにお手伝いをお願いしたいのです。			禁書回収ヌーメノン大書院							
逃げ回っている5冊の書籍を「眠り草の粉末」で鎮静化させ、回収していただけないでしょうか？			逃げ回っている5冊の書籍を「眠り草の粉末」で鎮静化させ、回収していただけないでしょうか？			禁書回収ヌーメノン大書院							
お手数をかけますが、よろしくお願いしますね。どうか、安全第一で。			お手数をかけますが、よろしくお願いしますね。どうか、安全第一で。			禁書回収ヌーメノン大書院							
逃げ回っている5冊の書籍を「眠り草の粉末」で鎮静化させ、回収していただけないでしょうか？			逃げ回っている5冊の書籍を「眠り草の粉末」で鎮静化させ、回収していただけないでしょうか？			禁書回収ヌーメノン大書院							
いまにも噛みついてきそうだ……。「眠り草の粉末」を使って、鎮静化させよう。			いまにも噛みついてきそうだ……。「眠り草の粉末」を使って、鎮静化させよう。			禁書回収ヌーメノン大書院							
無事に鎮静化できたようだ……！			無事に鎮静化できたようだ……！			禁書回収ヌーメノン大書院							
無事に鎮静化できたようだ……！なお、表紙には「禁書」と書かれている……。バンガ族の侍女と槍について記されているようだ……。			無事に鎮静化できたようだ……！なお、表紙には「禁書」と書かれている……。バンガ族の侍女と槍について記されているようだ……。			禁書回収ヌーメノン大書院							
書籍は回収できましたでしょうか？お怪我などされませんでしたか？			書籍は回収できましたでしょうか？お怪我などされませんでしたか？			禁書回収ヌーメノン大書院							
ええ、すべて揃っております！お手間をかけさせてしまいましたが、回収のほど、本当にありがとうございました。			ええ、すべて揃っております！お手間をかけさせてしまいましたが、回収のほど、本当にありがとうございました。			禁書回収ヌーメノン大書院							
それにしても、禁書まで逃げ出してしまうなんて。事件を起こした学生には、きちんと言い含めておかないと。			それにしても、禁書まで逃げ出してしまうなんて。事件を起こした学生には、きちんと言い含めておかないと。			禁書回収ヌーメノン大書院							
暴れまわった書籍は傷んでしまうことが多いのですよ。なので、この種の魔法がかけられた書物を取り扱うときには、眠り草の繊維が織り込まれた手袋を着用しなくてはいけません。			暴れまわった書籍は傷んでしまうことが多いのですよ。なので、この種の魔法がかけられた書物を取り扱うときには、眠り草の繊維が織り込まれた手袋を着用しなくてはいけません。			禁書回収ヌーメノン大書院							
そうでなくとも古書は、経年劣化でもろくなっていることも多いのです。不用意に触るなど言語道断ですよ、まったく。			そうでなくとも古書は、経年劣化でもろくなっていることも多いのです。不用意に触るなど言語道断ですよ、まったく。			禁書回収ヌーメノン大書院							
特殊ルール： レベルアジャストシャーレアン魔法大学のララフェル族の魔法大学生はなにやら意気込んでいるようだ。			特殊ルール： レベルアジャストシャーレアン魔法大学のララフェル族の魔法大学生はなにやら意気込んでいるようだ。			哲学者議会の新規議員服							
ララフェル族の魔法大学生と話す			ララフェル族の魔法大学生と話す			哲学者議会の新規議員服							
衣替状態で指定地点で「戦いに備える」をする			衣替状態で指定地点で「戦いに備える」をする			哲学者議会の新規議員服							
衣替状態でクリスタル入りの木箱を持ち上げる			衣替状態でクリスタル入りの木箱を持ち上げる			哲学者議会の新規議員服							
衣替状態でクリスタル入りの木箱をケケモに渡す			衣替状態でクリスタル入りの木箱をケケモに渡す			哲学者議会の新規議員服							
ララフェル族の魔法大学生と話す			ララフェル族の魔法大学生と話す			哲学者議会の新規議員服							
ララフェル族の魔法大学生と再度話す			ララフェル族の魔法大学生と再度話す			哲学者議会の新規議員服							
ねぇ、ちょっと……。キミは普段から身体を使っているだろう……？わかるよ、そこはかとなくアウトドアな佇まいを感じるからね。			ねぇ、ちょっと……。キミは普段から身体を使っているだろう……？わかるよ、そこはかとなくアウトドアな佇まいを感じるからね。			哲学者議会の新規議員服							
キミは知っているかい……？近くこの都で、哲学者議会の議員服のコンペティション、つまり競技会が開かれるのを……。			キミは知っているかい……？近くこの都で、哲学者議会の議員服のコンペティション、つまり競技会が開かれるのを……。			哲学者議会の新規議員服							
数年に一度更新される議員服に採用されれば、学生であっても一躍有名人になれることは間違いなしさ。ボクはその名誉にあずかりたいんだ……くひひ……。			数年に一度更新される議員服に採用されれば、学生であっても一躍有名人になれることは間違いなしさ。ボクはその名誉にあずかりたいんだ……くひひ……。			哲学者議会の新規議員服							
そんなボクが考えたコンセプトは「動ける議員服」！野外活動にも耐えられる全環境対応型の装束さ！			そんなボクが考えたコンセプトは「動ける議員服」！野外活動にも耐えられる全環境対応型の装束さ！			哲学者議会の新規議員服							
そこでアウトドアな佇まいのキミに、着心地なんかを試してほしいんだ。手伝ってくれるかい……？			そこでアウトドアな佇まいのキミに、着心地なんかを試してほしいんだ。手伝ってくれるかい……？			哲学者議会の新規議員服							
手伝う？			手伝う？			哲学者議会の新規議員服							
そうかい、それは助かるよ……。じゃあさっそく動きやすいところまで移動しようじゃないか。沈思の森まで来ておくれ……。			そうかい、それは助かるよ……。じゃあさっそく動きやすいところまで移動しようじゃないか。沈思の森まで来ておくれ……。			哲学者議会の新規議員服							
そうかい、それは残念だ……。また手すきの時にでも頼むよ……くひひ……。			そうかい、それは残念だ……。また手すきの時にでも頼むよ……くひひ……。			哲学者議会の新規議員服							
よし、ここでいいだろう。ではさっそく服を渡すから、これを着てもらって、伸縮性の審査から始めようじゃないか……。			よし、ここでいいだろう。ではさっそく服を渡すから、これを着てもらって、伸縮性の審査から始めようじゃないか……。			哲学者議会の新規議員服							
まずは大きな動きを見せてもらえると助かるよ……。そうだなぁ、「戦いに備える」ようなポーズはあるかい？			まずは大きな動きを見せてもらえると助かるよ……。そうだなぁ、「戦いに備える」ようなポーズはあるかい？			哲学者議会の新規議員服							
着こなしを整えるかい？それなら任せてくれ。			着こなしを整えるかい？それなら任せてくれ。			哲学者議会の新規議員服							
おや、議員服を脱いでしまったのかい？じゃあもう一度着用して、着心地を試してもらおう……。			おや、議員服を脱いでしまったのかい？じゃあもう一度着用して、着心地を試してもらおう……。			哲学者議会の新規議員服							
このクエストを進行させるには、衣替状態で目的を達成する必要があります。			このクエストを進行させるには、衣替状態で目的を達成する必要があります。			哲学者議会の新規議員服							
ララフェル族の魔法大学生は、議員服の伸縮性を確かめたいようだ。「指定地点」に向けてエモート「戦いに備える」をしよう。			ララフェル族の魔法大学生は、議員服の伸縮性を確かめたいようだ。「指定地点」に向けてエモート「戦いに備える」をしよう。			哲学者議会の新規議員服							
ふんふん、問題なく動けていそうだね……。くひひ……伸縮性は充分なようだ……！			ふんふん、問題なく動けていそうだね……。くひひ……伸縮性は充分なようだ……！			哲学者議会の新規議員服							
じゃあお次は……通気性を見たいから、少し汗をかいてもらいたいな。			じゃあお次は……通気性を見たいから、少し汗をかいてもらいたいな。			哲学者議会の新規議員服							
「クリスタル入りの木箱」を持ってひとっ走り、「ケケモ」氏のいる転送魔法研究所まで行ってきてほしい。少し遠いが、よろしく頼むよ……。			「クリスタル入りの木箱」を持ってひとっ走り、「ケケモ」氏のいる転送魔法研究所まで行ってきてほしい。少し遠いが、よろしく頼むよ……。			哲学者議会の新規議員服							
なにかご用でしょうか？			なにかご用でしょうか？			哲学者議会の新規議員服							
このクエストを進行させるには、衣替かつ運搬状態で目的を達成する必要があります。			このクエストを進行させるには、衣替かつ運搬状態で目的を達成する必要があります。			哲学者議会の新規議員服							
えっ！？哲学者議員のお方が、なにゆえ雑務などを……！？			えっ！？哲学者議員のお方が、なにゆえ雑務などを……！？			哲学者議会の新規議員服							
なんだ、びっくりしましたよ……。コンペティション応募用の議員服を試着しているなら、先に言ってくださいな……。			なんだ、びっくりしましたよ……。コンペティション応募用の議員服を試着しているなら、先に言ってくださいな……。			哲学者議会の新規議員服							
こちらはありがたく預かりますが、あなたに用を言いつけた学生にお伝えください。機能検証ついでに己の仕事を人に任せるのは感心しません、と。			こちらはありがたく預かりますが、あなたに用を言いつけた学生にお伝えください。機能検証ついでに己の仕事を人に任せるのは感心しません、と。			哲学者議会の新規議員服							
クリスタルはありがたく預かりますが、あなたに用を言いつけた学生にお伝えください。機能検証ついでに己の仕事を人に任せるのは感心しません、と。			クリスタルはありがたく預かりますが、あなたに用を言いつけた学生にお伝えください。機能検証ついでに己の仕事を人に任せるのは感心しません、と。			哲学者議会の新規議員服							
くひひ……おかえり……。箱は無事に届けられたかな……？			くひひ……おかえり……。箱は無事に届けられたかな……？			哲学者議会の新規議員服							
もう、あの人はいつも小言が多いなぁ。偉大なる功績の前に、些細なことじゃないか……。			もう、あの人はいつも小言が多いなぁ。偉大なる功績の前に、些細なことじゃないか……。			哲学者議会の新規議員服							
そんなことより大事なのは、その服の通気性だよ。見るところ蒸れた様子はないけれど、詳しく調べるために、脱いでもらえるかい？			そんなことより大事なのは、その服の通気性だよ。見るところ蒸れた様子はないけれど、詳しく調べるために、脱いでもらえるかい？			哲学者議会の新規議員服							
どうする？			どうする？			哲学者議会の新規議員服							
渋る			渋る			哲学者議会の新規議員服							
了承する			了承する			哲学者議会の新規議員服							
そんなに気に入っちゃったのかい？くひひ……嬉しいけどだめだよ、さあ脱いで。			そんなに気に入っちゃったのかい？くひひ……嬉しいけどだめだよ、さあ脱いで。			哲学者議会の新規議員服							
くひひ……ありがとう。じゃあさっそく脱いでもらえるかな？			くひひ……ありがとう。じゃあさっそく脱いでもらえるかな？			哲学者議会の新規議員服							
ふむ、機能的には問題がなかったようだね。あとは、審査員たちを震えさせるような斬新なデザインを、考えるだけということだな……。			ふむ、機能的には問題がなかったようだね。あとは、審査員たちを震えさせるような斬新なデザインを、考えるだけということだな……。			哲学者議会の新規議員服							
さて、キミには協力の謝礼をしないとね。荷物を置いてきてしまったから、「シャーレアン魔法大学」の教室で落ちあおうじゃないか……。			さて、キミには協力の謝礼をしないとね。荷物を置いてきてしまったから、「シャーレアン魔法大学」の教室で落ちあおうじゃないか……。			哲学者議会の新規議員服							
では、約束の謝礼だよ……。貧乏学生なもので、たくさんは渡せなくてすまないが……。			では、約束の謝礼だよ……。貧乏学生なもので、たくさんは渡せなくてすまないが……。			哲学者議会の新規議員服							
アイデア採用の名誉にあずかれた折には、報奨金の一部をキミにも渡すと約束しよう。くひひ……。			アイデア採用の名誉にあずかれた折には、報奨金の一部をキミにも渡すと約束しよう。くひひ……。			哲学者議会の新規議員服							
特殊ルール： レベルアジャストラストスタンドのディコンは、カフェの仕事に勤しんでいる。			特殊ルール： レベルアジャストラストスタンドのディコンは、カフェの仕事に勤しんでいる。			サンドイッチとプレッツェル							
ララフェル族の老紳士にラストスタンドのサンドイッチを渡す			ララフェル族の老紳士にラストスタンドのサンドイッチを渡す			サンドイッチとプレッツェル							
ディコンと話す			ディコンと話す			サンドイッチとプレッツェル							
よう、注文はお決まりかい？			よう、注文はお決まりかい？			サンドイッチとプレッツェル							
…………って、Forenameじゃねぇか。			…………って、Forenameじゃねぇか。			サンドイッチとプレッツェル							
アリゼー嬢ちゃんはフルシュノ様と仲直りできたようだな。クソ忙しいだろうに、わずかな時間を縫って、わざわざ俺に報告しにきてくれたよ。			アリゼー嬢ちゃんはフルシュノ様と仲直りできたようだな。クソ忙しいだろうに、わずかな時間を縫って、わざわざ俺に報告しにきてくれたよ。			サンドイッチとプレッツェル							
ああ、そうだ。ちょっといま立て込んでいて、配達の仕事を頼めねぇかな？もちろん報酬は支払うからさ。			ああ、そうだ。ちょっといま立て込んでいて、配達の仕事を頼めねぇかな？もちろん報酬は支払うからさ。			サンドイッチとプレッツェル							
「ラストスタンドのサンドイッチ」を、パフィン広場の「ララフェル族の老紳士」に届けてほしい。よろしく頼むぜ。			「ラストスタンドのサンドイッチ」を、パフィン広場の「ララフェル族の老紳士」に届けてほしい。よろしく頼むぜ。			サンドイッチとプレッツェル							
「ラストスタンドのサンドイッチ」を、パフィン広場の「ララフェル族の老紳士」に届けてほしい。よろしく頼むぜ。			「ラストスタンドのサンドイッチ」を、パフィン広場の「ララフェル族の老紳士」に届けてほしい。よろしく頼むぜ。			サンドイッチとプレッツェル							
おや、君は「暁の血盟」の……。どうしたんだい？　私に用かね？			おや、君は「暁の血盟」の……。どうしたんだい？　私に用かね？			サンドイッチとプレッツェル							
ああ、サンドイッチを届けてくれたのか。ありがとうね、この店のサンドイッチは絶品なんだ。息子も、ここのプレッツェルが大好きだった。			ああ、サンドイッチを届けてくれたのか。ありがとうね、この店のサンドイッチは絶品なんだ。息子も、ここのプレッツェルが大好きだった。			サンドイッチとプレッツェル							
……私は、若かりし頃、シャーレアン魔法大学の学生でね。同期のルイゾワと、互いに魔法学を志す者として意気投合し、日々研鑽しあう学生生活を送っていた。			……私は、若かりし頃、シャーレアン魔法大学の学生でね。同期のルイゾワと、互いに魔法学を志す者として意気投合し、日々研鑽しあう学生生活を送っていた。			サンドイッチとプレッツェル							
私は大学に残って研究を続けてね。結婚し、子どももできて、教授になって……もう長いこと、このオールド・シャーレアンに根を張っている。			私は大学に残って研究を続けてね。結婚し、子どももできて、教授になって……もう長いこと、このオールド・シャーレアンに根を張っている。			サンドイッチとプレッツェル							
かたやルイゾワは、各地を回りながら交友を続けてくれていた。そんな彼に子どもも懐いて、弟子になりたいと志願して……ついには賢人と称されるようになった。			かたやルイゾワは、各地を回りながら交友を続けてくれていた。そんな彼に子どもも懐いて、弟子になりたいと志願して……ついには賢人と称されるようになった。			サンドイッチとプレッツェル							
誇らしいと同時に、親としてずっと憂慮してもいた。ルイゾワと同じように、エオルゼアのために命を懸ける、その姿を……。			誇らしいと同時に、親としてずっと憂慮してもいた。ルイゾワと同じように、エオルゼアのために命を懸ける、その姿を……。			サンドイッチとプレッツェル							
だが、君の姿を見て確信したよ。君たち「暁の血盟」は信念を持って歩み続け、息子は、己が成すべきと考えたことに殉じたのだと。			だが、君の姿を見て確信したよ。君たち「暁の血盟」は信念を持って歩み続け、息子は、己が成すべきと考えたことに殉じたのだと。			サンドイッチとプレッツェル							
…………サンドイッチ、どうもありがとう。長く引きとめて悪かったね。			…………サンドイッチ、どうもありがとう。長く引きとめて悪かったね。			サンドイッチとプレッツェル							
それと最後に……最後まで息子と共に戦ってくれて、ありがとう。			それと最後に……最後まで息子と共に戦ってくれて、ありがとう。			サンドイッチとプレッツェル							
戻ったか、Forename。あのじいさんとは話せたか？			戻ったか、Forename。あのじいさんとは話せたか？			サンドイッチとプレッツェル							
じいさんはラストスタンドの常連でな。「暁の血盟」の面々がやってきたことを知って、すごく会いたがっていたんだ。			じいさんはラストスタンドの常連でな。「暁の血盟」の面々がやってきたことを知って、すごく会いたがっていたんだ。			サンドイッチとプレッツェル							
だから、配達にかこつけて、少し話をしてきてもらおうと思ってよ。			だから、配達にかこつけて、少し話をしてきてもらおうと思ってよ。			サンドイッチとプレッツェル							
協力してくれてありがとうな。さあ、まかないを用意したから、よかったらお前さんも食べていってくれ。			協力してくれてありがとうな。さあ、まかないを用意したから、よかったらお前さんも食べていってくれ。			サンドイッチとプレッツェル							
