プラ・エンニ茸窟のスール＝オールは、グランソンが出した答えを聞きたいようだ。			プラ・エンニ茸窟のスール＝オールは、グランソンが出した答えを聞きたいようだ。			いつか君が言った言葉							
「双頭狼の牙」は、とある旅の男から買い取った腕輪です。光の氾濫を機に滅んだフッブート王国ゆかりの品で、かなりの骨董的価値がありましてね。			「双頭狼の牙」は、とある旅の男から買い取った腕輪です。光の氾濫を機に滅んだフッブート王国ゆかりの品で、かなりの骨董的価値がありましてね。			追憶せしは……							
この都市の貴人がたに転売しようと、ライト村の彫金職人に修繕を依頼していたのですが……罪喰いの襲撃時のゴタゴタで紛失してしまったというのです。			この都市の貴人がたに転売しようと、ライト村の彫金職人に修繕を依頼していたのですが……罪喰いの襲撃時のゴタゴタで紛失してしまったというのです。			追憶せしは……							
あれほどの品となると、類似品すらなかなか見つからない。ようやく、知人の行商から、似た意匠の首飾りが、モルド・スークで売りに出ていたと聞きましてね。			あれほどの品となると、類似品すらなかなか見つからない。ようやく、知人の行商から、似た意匠の首飾りが、モルド・スークで売りに出ていたと聞きましてね。			追憶せしは……							
今度、商売のついでに確認してこようかと……。あなたも「双頭狼の牙」や、それに似た装飾品を見つけたら、ぜひ私のところへ……相応の報酬を支払いますよ？			今度、商売のついでに確認してこようかと……。あなたも「双頭狼の牙」や、それに似た装飾品を見つけたら、ぜひ私のところへ……相応の報酬を支払いますよ？			追憶せしは……							
件の男は、ユールモアの「キャバレー・ビーハイヴ」にいるらしい。何かわかったら、ここに戻ってきてくれ。			件の男は、ユールモアの「キャバレー・ビーハイヴ」にいるらしい。何かわかったら、ここに戻ってきてくれ。			追憶せしは……							
戻ったか、相棒。それじゃ、詳しい話を聞かせてくれ。			戻ったか、相棒。それじゃ、詳しい話を聞かせてくれ。			追憶せしは……							
……なるほど。古物商の男の話を聞く限りじゃ、あの野郎と「双頭狼の牙」の関係性はわからないまま、か。			……なるほど。古物商の男の話を聞く限りじゃ、あの野郎と「双頭狼の牙」の関係性はわからないまま、か。			追憶せしは……							
だが、よく似た意匠の首飾りが存在するという話は気になるな。もしかすると、ディカイオシュネーの情報に繋がるかもしれない。アム・アレーンの「モルド・スーク」に行ってみようぜ。			だが、よく似た意匠の首飾りが存在するという話は気になるな。もしかすると、ディカイオシュネーの情報に繋がるかもしれない。アム・アレーンの「モルド・スーク」に行ってみようぜ。			追憶せしは……							
ようやく、知人の行商から、似た意匠の首飾りが、モルド・スークで売りに出ていたと聞きましてね。今度、商売のついでに確認してこようかと……。			ようやく、知人の行商から、似た意匠の首飾りが、モルド・スークで売りに出ていたと聞きましてね。今度、商売のついでに確認してこようかと……。			追憶せしは……							
待っていたぜ、Forename。			待っていたぜ、Forename。			追憶せしは……							
ここモルド・スークは「捨てるものを拾う町」と、呼ばれるほどの場所だからな……。			ここモルド・スークは「捨てるものを拾う町」と、呼ばれるほどの場所だからな……。			追憶せしは……							
フッブート王国ゆかりの首飾りが、売買されていたとしても、不思議じゃあない。手分けして、それらしい品がないか聞き込みしようぜ。			フッブート王国ゆかりの首飾りが、売買されていたとしても、不思議じゃあない。手分けして、それらしい品がないか聞き込みしようぜ。			追憶せしは……							
やあやあ、何かお探しですかネ？			やあやあ、何かお探しですかネ？			追憶せしは……							
フッブート王国関連の首飾りネ……？			フッブート王国関連の首飾りネ……？			追憶せしは……							
うーん、ザンネン……聞いたこともないネ。そんなお宝があるなら、大穴を掘ってでも見つけたいヨ。			うーん、ザンネン……聞いたこともないネ。そんなお宝があるなら、大穴を掘ってでも見つけたいヨ。			追憶せしは……							
私に何か御用でしょうか？			私に何か御用でしょうか？			追憶せしは……							
フッブート王国にゆかりのある首飾りを探されている？			フッブート王国にゆかりのある首飾りを探されている？			追憶せしは……							
それなら、私の夫が持っている首飾りのことだと思います。先ほど、アンバーフィールドの方へ遺跡発掘に出かけたばかりです。急げば追いつけるかもしれませんよ。			それなら、私の夫が持っている首飾りのことだと思います。先ほど、アンバーフィールドの方へ遺跡発掘に出かけたばかりです。急げば追いつけるかもしれませんよ。			追憶せしは……							
ここなら、フッブート王国にゆかりのある首飾りの情報が聞けるかもな。手分けして聞き込みをしようぜ。			ここなら、フッブート王国にゆかりのある首飾りの情報が聞けるかもな。手分けして聞き込みをしようぜ。			追憶せしは……							
うーん、ザンネン……聞いたこともないネ。そんなお宝があるなら、大穴を掘ってでも見つけたいヨ。			うーん、ザンネン……聞いたこともないネ。そんなお宝があるなら、大穴を掘ってでも見つけたいヨ。			追憶せしは……							
夫は、アンバーフィールドの方へ遺跡発掘に出かけたばかりです。急げば追いつけるかもしれませんよ。			夫は、アンバーフィールドの方へ遺跡発掘に出かけたばかりです。急げば追いつけるかもしれませんよ。			追憶せしは……							
よう、どうだった？			よう、どうだった？			追憶せしは……							
首飾りを持つ人物を見つけたって？さすがは相棒だ。			首飾りを持つ人物を見つけたって？さすがは相棒だ。			追憶せしは……							
早速、そいつが向かったという、「アンバーフィールド」のあたりを手分けして探そうぜ！			早速、そいつが向かったという、「アンバーフィールド」のあたりを手分けして探そうぜ！			追憶せしは……							
(-？？？？-)ひ、ひいいいぃぃぃぃぃぃぃぃぃぃぃぃ！！！！			(-？？？？-)ひ、ひいいいぃぃぃぃぃぃぃぃぃぃぃぃ！！！！			追憶せしは……							
こ、殺さないでくれッ！俺には家族が……！！			こ、殺さないでくれッ！俺には家族が……！！			追憶せしは……							
あぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁ！！			あぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁ！！			追憶せしは……							
(-罪喰い化したスカベンジャー-)ヴァァァァァァァァァァァァァァァァァァァァァァ！！			(-罪喰い化したスカベンジャー-)ヴァァァァァァァァァァァァァァァァァァァァァァ！！			追憶せしは……							
オレはこのあたりを探してみる。お目当てのヤツが見つかり次第、合流しよう。			オレはこのあたりを探してみる。お目当てのヤツが見つかり次第、合流しよう。			追憶せしは……							
よう、相棒。こいつを見てくれ。首飾りの持ち主を探していたら、突然襲いかかってきやがった。			よう、相棒。こいつを見てくれ。首飾りの持ち主を探していたら、突然襲いかかってきやがった。			追憶せしは……							
ディカイオシュネーが、あの時のように、手当たり次第に生者を罪喰いに変えているとでも……？どこだ……あの野郎はどこにいる！？			ディカイオシュネーが、あの時のように、手当たり次第に生者を罪喰いに変えているとでも……？どこだ……あの野郎はどこにいる！？			追憶せしは……							
探していた男が、ディカイオシュネーに罪喰いにされちまって、おまけに、首飾りまで奪われただと！？			探していた男が、ディカイオシュネーに罪喰いにされちまって、おまけに、首飾りまで奪われただと！？			追憶せしは……							
クソッ！　オレはまた間に合わなかったのか！！あの悲劇を繰り返させないために、オレは強さを手に入れたはずなのに！！			クソッ！　オレはまた間に合わなかったのか！！あの悲劇を繰り返させないために、オレは強さを手に入れたはずなのに！！			追憶せしは……							
こんなんじゃ……ミリンダやライト村の人たちに会わせる顔がない……。			こんなんじゃ……ミリンダやライト村の人たちに会わせる顔がない……。			追憶せしは……							
だが、オレは諦めが悪いんでね……。どこへ隠れようが、絶対に見つけ出して殺してやるぞ、ディカイオシュネー！！			だが、オレは諦めが悪いんでね……。どこへ隠れようが、絶対に見つけ出して殺してやるぞ、ディカイオシュネー！！			追憶せしは……							
……まだ、残っている罪喰いがいるかもしれない。あたりを警戒しながら、モルド・スークに戻ろう。			……まだ、残っている罪喰いがいるかもしれない。あたりを警戒しながら、モルド・スークに戻ろう。			追憶せしは……							
久しぶりに……思い出しちまったよ。あの日、ミリンダを殺した時の感触をな……。			久しぶりに……思い出しちまったよ。あの日、ミリンダを殺した時の感触をな……。			追憶せしは……							
いろいろあったが、相棒が無事で何よりだ。この復讐を成し遂げるには、アンタの力が必要だからな。			いろいろあったが、相棒が無事で何よりだ。この復讐を成し遂げるには、アンタの力が必要だからな。			追憶せしは……							
ディカイオシュネーの追跡は振り出しに戻っちまったが……今はそれよりも、旦那を殺されちまった商人に、事の顛末を報告してやらなくちゃな。			ディカイオシュネーの追跡は振り出しに戻っちまったが……今はそれよりも、旦那を殺されちまった商人に、事の顛末を報告してやらなくちゃな。			追憶せしは……							
……その役目は、オレにやらせてくれ。愛した者を罪喰いにされたことがある身として、話ぐらいは聞いてやれるはずさ。			……その役目は、オレにやらせてくれ。愛した者を罪喰いにされたことがある身として、話ぐらいは聞いてやれるはずさ。			追憶せしは……							
ディカイオシュネーの足取りについては、後始末が終わってから、改めて検討してみるさ。ってことで、それまでは別行動だ……またな、相棒。			ディカイオシュネーの足取りについては、後始末が終わってから、改めて検討してみるさ。ってことで、それまでは別行動だ……またな、相棒。			追憶せしは……							
