七賢人の庭のネムジジは、冒険者のことを待ち構えていたようだ。			七賢人の庭のネムジジは、冒険者のことを待ち構えていたようだ。			「パンデモニウム」への警告							
ろくに力も持っていない、今の俺たちに恐れを感じるのか……？			ろくに力も持っていない、今の俺たちに恐れを感じるのか……？			「パンデモニウム」はその目を開く							
それはもう！はるか古の時代を生き、私たちにない知識を有している……。そんなお方を前にすれば、動悸も止まらないというものです。			それはもう！はるか古の時代を生き、私たちにない知識を有している……。そんなお方を前にすれば、動悸も止まらないというものです。			「パンデモニウム」はその目を開く							
……とはいえ、恐れてばかりもいられません。私たちの記した記録や資料は、おふたりにも共有しましょう。その知識と合わせれば、導き出せる答えもあるでしょうから。			……とはいえ、恐れてばかりもいられません。私たちの記した記録や資料は、おふたりにも共有しましょう。その知識と合わせれば、導き出せる答えもあるでしょうから。			「パンデモニウム」はその目を開く							
後方支援に徹するにも、情報は不可欠だ。もちろん、我らも必要と思われる「記憶」は伝える。			後方支援に徹するにも、情報は不可欠だ。もちろん、我らも必要と思われる「記憶」は伝える。			「パンデモニウム」はその目を開く							
特に、黒幕であるアテナについてだな……。あれほど飽くなき探究心を抱えた者を、私は知らない。			特に、黒幕であるアテナについてだな……。あれほど飽くなき探究心を抱えた者を、私は知らない。			「パンデモニウム」はその目を開く							
その願いは当時と変わらず。生命の神秘を理解するため、人を超えた存在……すなわち、「神」となることだろうな。			その願いは当時と変わらず。生命の神秘を理解するため、人を超えた存在……すなわち、「神」となることだろうな。			「パンデモニウム」はその目を開く							
アテナが定義していた「神」とは、魂を、自由に作り出すことができる存在のことだ。			アテナが定義していた「神」とは、魂を、自由に作り出すことができる存在のことだ。			「パンデモニウム」はその目を開く							
そのために、冥界……いや、この時代においては、星海と呼ばれる、この場所を居城に選んだのだろう。大量のエーテルという「材料」が、潤沢に手に入るからな。			そのために、冥界……いや、この時代においては、星海と呼ばれる、この場所を居城に選んだのだろう。大量のエーテルという「材料」が、潤沢に手に入るからな。			「パンデモニウム」はその目を開く							
生命の巡りを破壊してでも、実験を続けようだなんて、そこまで、欲望に溺れているのか……。			生命の巡りを破壊してでも、実験を続けようだなんて、そこまで、欲望に溺れているのか……。			「パンデモニウム」はその目を開く							
一瞬だったが、先ほどアテナを見ることができただろ？あの笑顔も、あの声も……全部幼い頃の「記憶」そのままだった。思わず懐かしさを感じたよ……。			一瞬だったが、先ほどアテナを見ることができただろ？あの笑顔も、あの声も……全部幼い頃の「記憶」そのままだった。思わず懐かしさを感じたよ……。			「パンデモニウム」はその目を開く							
なに！　だからといって、彼女に、手心を加えてほしいなどとは言わないさ。本物のエリクトニオスも、それは望まないだろうからな。			なに！　だからといって、彼女に、手心を加えてほしいなどとは言わないさ。本物のエリクトニオスも、それは望まないだろうからな。			「パンデモニウム」はその目を開く							
我らはここで、できうる限りの調査と情報収集を進めておく。パンデモニウムへの侵入と戦闘は、お前に託した。			我らはここで、できうる限りの調査と情報収集を進めておく。パンデモニウムへの侵入と戦闘は、お前に託した。			「パンデモニウム」はその目を開く							
それと、我らの記憶が封印されていたというクリスタルを、貸してはもらえぬか？役立つ情報が残されている可能性もあるのでな。			それと、我らの記憶が封印されていたというクリスタルを、貸してはもらえぬか？役立つ情報が残されている可能性もあるのでな。			「パンデモニウム」はその目を開く							
それじゃあ、いよいよパンデモニウム内部に侵入だな。Forename、改めて侵入ルートを確認しておこう。			それじゃあ、いよいよパンデモニウム内部に侵入だな。Forename、改めて侵入ルートを確認しておこう。			「パンデモニウム」はその目を開く							
……ひとつ、聞きたいことがある。			……ひとつ、聞きたいことがある。			「パンデモニウム」はその目を開く							
「聖石」という言葉に聞き覚えはあるか？			「聖石」という言葉に聞き覚えはあるか？			「パンデモニウム」はその目を開く							
え、ええ……そう呼ばれる物の記録はいくつかあります。イヴァリース伝説に登場するクリスタルですとか、あとは、アシエン・ラハ……			え、ええ……そう呼ばれる物の記録はいくつかあります。イヴァリース伝説に登場するクリスタルですとか、あとは、アシエン・ラハ……			「パンデモニウム」はその目を開く							
……あ、いえ。アシエンなる存在がもたらしたという「黒聖石サビク」。いずれも大きな力を秘めていたと言います。			……あ、いえ。アシエンなる存在がもたらしたという「黒聖石サビク」。いずれも大きな力を秘めていたと言います。			「パンデモニウム」はその目を開く							
そうか……この時代にも、存在していたか。			そうか……この時代にも、存在していたか。			「パンデモニウム」はその目を開く							
急に黙ってしまいました。このお顔で無言になられますと……緊張しますね。			急に黙ってしまいました。このお顔で無言になられますと……緊張しますね。			「パンデモニウム」はその目を開く							
そういえば、古代人は現生人類よりも大柄だったと聞きますが、ラハブレアさんもエリクトニオスさんも、身長は大差ないですね。これは再現体だからでしょうか？			そういえば、古代人は現生人類よりも大柄だったと聞きますが、ラハブレアさんもエリクトニオスさんも、身長は大差ないですね。これは再現体だからでしょうか？			「パンデモニウム」はその目を開く							
……思案の最中だ。お前は、お前の為すべきことを為せ。			……思案の最中だ。お前は、お前の為すべきことを為せ。			「パンデモニウム」はその目を開く							
見たところ、パンデモニウムの外観は、俺たちの時代にあったものと変わりがないようだ。			見たところ、パンデモニウムの外観は、俺たちの時代にあったものと変わりがないようだ。			「パンデモニウム」はその目を開く							
ただし、内部構造まで同じとは限らない。ひとまず正門前に降り立ち、安全を確保してくれないか？			ただし、内部構造まで同じとは限らない。ひとまず正門前に降り立ち、安全を確保してくれないか？			「パンデモニウム」はその目を開く							
そうすれば、俺やラハブレアも接近して、内部の様子を探ることができるからな。			そうすれば、俺やラハブレアも接近して、内部の様子を探ることができるからな。			「パンデモニウム」はその目を開く							
中央の転送陣からパンデモニウムに向かえるようだ。どうか、気をつけてくれ……！			中央の転送陣からパンデモニウムに向かえるようだ。どうか、気をつけてくれ……！			「パンデモニウム」はその目を開く							
(-？？？？-)君なら、ここまで来てくれると信じていたよ。			(-？？？？-)君なら、ここまで来てくれると信じていたよ。			「パンデモニウム」はその目を開く							
きっとまた、会える気がすると……私の言ったとおりだったろう？			きっとまた、会える気がすると……私の言ったとおりだったろう？			「パンデモニウム」はその目を開く							
Forename……。何故、私がここにいるのか……順を追って説明させてくれ。			Forename……。何故、私がここにいるのか……順を追って説明させてくれ。			「パンデモニウム」はその目を開く							
まず、私は本物のテミスではない。この空間にたゆたう魂から、アテナによって創造された……ラハブレアたちと同じ、記憶から生まれた影法師に過ぎない。			まず、私は本物のテミスではない。この空間にたゆたう魂から、アテナによって創造された……ラハブレアたちと同じ、記憶から生まれた影法師に過ぎない。			「パンデモニウム」はその目を開く							
だが、状況については理解しているつもりだ。ここが、はるか先の未来だということも含めてね。			だが、状況については理解しているつもりだ。ここが、はるか先の未来だということも含めてね。			「パンデモニウム」はその目を開く							
その手法は不明なものの、アテナがこの時代に復活。彼女を止めるため、君はこうしてパンデモニウムを訪れた……。そうだろう？			その手法は不明なものの、アテナがこの時代に復活。彼女を止めるため、君はこうしてパンデモニウムを訪れた……。そうだろう？			「パンデモニウム」はその目を開く							
よかった……そうでなければね。			よかった……そうでなければね。			「パンデモニウム」はその目を開く							
……残念ながら、今の私は創造主であるアテナによって、存在の有り様に、手を加えられているようなんだ。彼女の目的に沿うように、ね。			……残念ながら、今の私は創造主であるアテナによって、存在の有り様に、手を加えられているようなんだ。彼女の目的に沿うように、ね。			「パンデモニウム」はその目を開く							
君への助言程度なら、今も可能だろうが……戦いは避けられないと考えてもらいたい。			君への助言程度なら、今も可能だろうが……戦いは避けられないと考えてもらいたい。			「パンデモニウム」はその目を開く							
私は、影法師に過ぎないと言っただろう？だから、そんな顔をしないでくれ。			私は、影法師に過ぎないと言っただろう？だから、そんな顔をしないでくれ。			「パンデモニウム」はその目を開く							
何と言う？			何と言う？			「パンデモニウム」はその目を開く							
アグディスティスのように、呪縛を解いてみせる！			アグディスティスのように、呪縛を解いてみせる！			「パンデモニウム」はその目を開く							
また、エリディブスを倒すなんてごめんだ			また、エリディブスを倒すなんてごめんだ			「パンデモニウム」はその目を開く							
…………			…………			「パンデモニウム」はその目を開く							
ありがとう、その心遣いに感謝するが、倒し得たとて、望む結果になるかはわからないな。アテナの精神呪縛は、かなりの強度だからね……。			ありがとう、その心遣いに感謝するが、倒し得たとて、望む結果になるかはわからないな。アテナの精神呪縛は、かなりの強度だからね……。			「パンデモニウム」はその目を開く							
その反応の真意はわからないが……あいにく君が拒絶しようと、私は君の前に立ちはだかるよ。			その反応の真意はわからないが……あいにく君が拒絶しようと、私は君の前に立ちはだかるよ。			「パンデモニウム」はその目を開く							
ヘファイストスにも使われていたように、アテナの精神呪縛は、かなりの強度だからね……。			ヘファイストスにも使われていたように、アテナの精神呪縛は、かなりの強度だからね……。			「パンデモニウム」はその目を開く							
……さて、これから話すことを、よく聞いてくれ。			……さて、これから話すことを、よく聞いてくれ。			「パンデモニウム」はその目を開く							
アテナは、「神」に至るため、エリクトニオスに代わる素体を用意した。そしてさらに星海から魂を集めて、存在を補強しようとしている。			アテナは、「神」に至るため、エリクトニオスに代わる素体を用意した。そしてさらに星海から魂を集めて、存在を補強しようとしている。			「パンデモニウム」はその目を開く							
ただし、ツギハギだらけの魂では「神」に足るかどうか不透明だ。そこで、魂の薄さに反して、ヘファイストスを凌ぐ力を持つ、君の強さの秘密を解き明かそうとしている。			ただし、ツギハギだらけの魂では「神」に足るかどうか不透明だ。そこで、魂の薄さに反して、ヘファイストスを凌ぐ力を持つ、君の強さの秘密を解き明かそうとしている。			「パンデモニウム」はその目を開く							
この戦いは、そのためのもの……。彼女が監視する前で、こいつと戦ってもらいたい。			この戦いは、そのためのもの……。彼女が監視する前で、こいつと戦ってもらいたい。			「パンデモニウム」はその目を開く							
こ、これは、いったい何が起きているんです……？			こ、これは、いったい何が起きているんです……？			「パンデモニウム」はその目を開く							
まずは、つぶさに観測を……なんとしても内部に至る方法がないか、見極めるのだ。たとえ、どれほどの危険を孕んでいようともな。			まずは、つぶさに観測を……なんとしても内部に至る方法がないか、見極めるのだ。たとえ、どれほどの危険を孕んでいようともな。			「パンデモニウム」はその目を開く							
信じて待つことしかできないなんて……。頼んだぞ、Forename……。			信じて待つことしかできないなんて……。頼んだぞ、Forename……。			「パンデモニウム」はその目を開く							
パンデモニウム。生命を持たぬ建造物にも、魂を与える……。			パンデモニウム。生命を持たぬ建造物にも、魂を与える……。			「パンデモニウム」はその目を開く							
復活したアテナは、ラハブレアに殺された頃とは違う。完全なる魂の創造こそできなくとも、自在に操れるところまできているんだ。			復活したアテナは、ラハブレアに殺された頃とは違う。完全なる魂の創造こそできなくとも、自在に操れるところまできているんだ。			「パンデモニウム」はその目を開く							
でも大丈夫、君ならパンデモニウムだって倒せるさ。そして、その先に待つ私をも打ち倒し……			でも大丈夫、君ならパンデモニウムだって倒せるさ。そして、その先に待つ私をも打ち倒し……			「パンデモニウム」はその目を開く							
完全なる「神」へと至る前に、アテナを止めてくれ。			完全なる「神」へと至る前に、アテナを止めてくれ。			「パンデモニウム」はその目を開く							
これは、本当に現実の光景……？			これは、本当に現実の光景……？			「パンデモニウム」はその目を開く							
パンデモニウムが……すっぽりと覆われてます……。			パンデモニウムが……すっぽりと覆われてます……。			「パンデモニウム」はその目を開く							
……パンデモニウムそのものに魂を与えたというのか。あの空間に関する調査は、我々に任せて、お前は、パンデモニウムの排除に集中せよ。			……パンデモニウムそのものに魂を与えたというのか。あの空間に関する調査は、我々に任せて、お前は、パンデモニウムの排除に集中せよ。			「パンデモニウム」はその目を開く							
よかった、少なくともお前は行き来ができるのか。俺たちも通過可能か、調査を行っている。この先、何が起きるかわからないからな……。			よかった、少なくともお前は行き来ができるのか。俺たちも通過可能か、調査を行っている。この先、何が起きるかわからないからな……。			「パンデモニウム」はその目を開く							
見事な戦いだった。思わず、私も見惚れてしまったよ……。			見事な戦いだった。思わず、私も見惚れてしまったよ……。			「パンデモニウム」はその目を開く							
Forename、これは……！			Forename、これは……！			「パンデモニウム」はその目を開く							
パンデモニウムの最奥に至る「扉」を開いておいた。君の訪問を、待っているよ……。			パンデモニウムの最奥に至る「扉」を開いておいた。君の訪問を、待っているよ……。			「パンデモニウム」はその目を開く							
一帯を包む球体を観測した結果、俺たちも通過可能と判断し、飛び込んできたんだが……。			一帯を包む球体を観測した結果、俺たちも通過可能と判断し、飛び込んできたんだが……。			「パンデモニウム」はその目を開く							
今いたのは……テミスなんだな？			今いたのは……テミスなんだな？			「パンデモニウム」はその目を開く							
……聞かせてもらおう。いかなる事態が訪れたのかを。			……聞かせてもらおう。いかなる事態が訪れたのかを。			「パンデモニウム」はその目を開く							
……テミスが、敵になるのか。			……テミスが、敵になるのか。			「パンデモニウム」はその目を開く							
アテナが過去のパンデモニウムを観測していたと、そう推理したときに、思い至っておくべきだった。			アテナが過去のパンデモニウムを観測していたと、そう推理したときに、思い至っておくべきだった。			「パンデモニウム」はその目を開く							
テミス……エリディブスは、私とおなじ十四人委員会の一員。その座に値する、類まれなる見識と魔力を有する……。そのような稀有な存在に、アテナが興味を抱かないわけがない。			テミス……エリディブスは、私とおなじ十四人委員会の一員。その座に値する、類まれなる見識と魔力を有する……。そのような稀有な存在に、アテナが興味を抱かないわけがない。			「パンデモニウム」はその目を開く							
星海にたゆたうエリディブスの魂から、奴の記憶を盗み、我ら同様の再現体を生成……。そして、お得意の精神呪縛により、傀儡としたのだろう。			星海にたゆたうエリディブスの魂から、奴の記憶を盗み、我ら同様の再現体を生成……。そして、お得意の精神呪縛により、傀儡としたのだろう。			「パンデモニウム」はその目を開く							
……Forename、テミスは、「パンデモニウムに魂を宿した」と言っていたんだな？			……Forename、テミスは、「パンデモニウムに魂を宿した」と言っていたんだな？			「パンデモニウム」はその目を開く							
無機物にまで魂を与えてみせるとは……。アテナの研究が着々と進んでいることを実感させられるな。			無機物にまで魂を与えてみせるとは……。アテナの研究が着々と進んでいることを実感させられるな。			「パンデモニウム」はその目を開く							
だが、こちらも収穫がなかったわけじゃない。現代の情報を得たことで、アテナ復活の謎について推測できた。			だが、こちらも収穫がなかったわけじゃない。現代の情報を得たことで、アテナ復活の謎について推測できた。			「パンデモニウム」はその目を開く							
「黒聖石サビク」という名の結晶……それがすべての鍵だ。			「黒聖石サビク」という名の結晶……それがすべての鍵だ。			「パンデモニウム」はその目を開く							
研究員たちから、現代に至るまでの大まかな歴史を聞いた。世界が分断されて、一部の古代人がアシエンとなったこと、それによって引き起こされた、霊災という現象のこと……。			研究員たちから、現代に至るまでの大まかな歴史を聞いた。世界が分断されて、一部の古代人がアシエンとなったこと、それによって引き起こされた、霊災という現象のこと……。			「パンデモニウム」はその目を開く							
簡単には信じられない内容ばかりだったが……その中に、ラハブレアの記憶と一致する部分があった。それが、黒聖石サビクだ。			簡単には信じられない内容ばかりだったが……その中に、ラハブレアの記憶と一致する部分があった。それが、黒聖石サビクだ。			「パンデモニウム」はその目を開く							
……黒聖石サビク。絶大な威力を誇る魔法「アルテマ」が封印されていること以外、その内部を見通すことは誰も叶わなかったという、謎の結晶。			……黒聖石サビク。絶大な威力を誇る魔法「アルテマ」が封印されていること以外、その内部を見通すことは誰も叶わなかったという、謎の結晶。			「パンデモニウム」はその目を開く							
アシエンは戦いを煽るべく、ガレマールなる帝国の将に、この結晶をもたらした。結果、アルテマウェポンなる兵器が生み出されたという。			アシエンは戦いを煽るべく、ガレマールなる帝国の将に、この結晶をもたらした。結果、アルテマウェポンなる兵器が生み出されたという。			「パンデモニウム」はその目を開く							
アシエンなる者の正体については、推測することしかできない。			アシエンなる者の正体については、推測することしかできない。			「パンデモニウム」はその目を開く							
だが、お前なら、答えを知っているのではないか？アシエンとは、もしや世界分断後の……			だが、お前なら、答えを知っているのではないか？アシエンとは、もしや世界分断後の……			「パンデモニウム」はその目を開く							
いや、詮索は後回しにすべきだな……。今は黒聖石サビクについて、知っていることを話そう。			いや、詮索は後回しにすべきだな……。今は黒聖石サビクについて、知っていることを話そう。			「パンデモニウム」はその目を開く							
……もとを正せば、サビクは、ラハブレア院で、アテナが生み出した物なのだ。			……もとを正せば、サビクは、ラハブレア院で、アテナが生み出した物なのだ。			「パンデモニウム」はその目を開く							
パンデモニウムが建造されるよりも遥か前のこと。アテナは、自らが発見したという膨大な力を秘めた結晶を、ラハブレア院に持ち帰ってきた。			パンデモニウムが建造されるよりも遥か前のこと。アテナは、自らが発見したという膨大な力を秘めた結晶を、ラハブレア院に持ち帰ってきた。			「パンデモニウム」はその目を開く							
彼女は、それを「聖石」と呼び、熱心に研究し、やがてひとつの新物質を創り出すことになる。これこそ黒聖石サビクだ。			彼女は、それを「聖石」と呼び、熱心に研究し、やがてひとつの新物質を創り出すことになる。これこそ黒聖石サビクだ。			「パンデモニウム」はその目を開く							
何と言う？			何と言う？			「パンデモニウム」はその目を開く							
聖石とは何なんだ？			聖石とは何なんだ？			「パンデモニウム」はその目を開く							
アテナは、どこで聖石を手に入れた？			アテナは、どこで聖石を手に入れた？			「パンデモニウム」はその目を開く							
古代にも聖天使アルテマが現れていた……？			古代にも聖天使アルテマが現れていた……？			「パンデモニウム」はその目を開く							
星外から飛来した物質らしいと考えられていたが、それ以上の由来は定かではない。			星外から飛来した物質らしいと考えられていたが、それ以上の由来は定かではない。			「パンデモニウム」はその目を開く							
あいにく、アテナは聖石の出どころを決して口にしなかった。星外から飛来した物質らしいと考えられていたが、それ以上の由来は定かではない。			あいにく、アテナは聖石の出どころを決して口にしなかった。星外から飛来した物質らしいと考えられていたが、それ以上の由来は定かではない。			「パンデモニウム」はその目を開く							
その反応を見るに、この時代にも聖石が存在しているようだな。あいにく、アテナは聖石の出どころを決して口にしなかった。もしかしたら、そうした人外との接触があったのかもしれぬ。			その反応を見るに、この時代にも聖石が存在しているようだな。あいにく、アテナは聖石の出どころを決して口にしなかった。もしかしたら、そうした人外との接触があったのかもしれぬ。			「パンデモニウム」はその目を開く							
後になってわかったことだが、この「聖石」には、人の欲望を肥大化させる性質があってな。アテナが常軌を逸した行動に出たのも、それゆえなのだろう。			後になってわかったことだが、この「聖石」には、人の欲望を肥大化させる性質があってな。アテナが常軌を逸した行動に出たのも、それゆえなのだろう。			「パンデモニウム」はその目を開く							
だが、私がその危険な効力を知り、封印指定を施したのは、パンデモニウムでの凶行が起こった後……。遅すぎたのだよ……。			だが、私がその危険な効力を知り、封印指定を施したのは、パンデモニウムでの凶行が起こった後……。遅すぎたのだよ……。			「パンデモニウム」はその目を開く							
……その後、サビクはどうなったんだ？			……その後、サビクはどうなったんだ？			「パンデモニウム」はその目を開く							
アテナを手に掛けた後、彼女の研究室から押収した。			アテナを手に掛けた後、彼女の研究室から押収した。			「パンデモニウム」はその目を開く							
サビクには、高密度のエーテルが内包されていてな。それを用いることで「アルテマ」が放てることまでは確認したが、さらなる解析は不可能だったため、私自身が所持していたのだ。			サビクには、高密度のエーテルが内包されていてな。それを用いることで「アルテマ」が放てることまでは確認したが、さらなる解析は不可能だったため、私自身が所持していたのだ。			「パンデモニウム」はその目を開く							
だが……サビク内部に、何重もの遮蔽加工が行われたうえで、「アテナの記憶」も込められていたとしたら……。			だが……サビク内部に、何重もの遮蔽加工が行われたうえで、「アテナの記憶」も込められていたとしたら……。			「パンデモニウム」はその目を開く							
記憶のクリスタルから創造された我らのように、アテナも、記憶を核に復活し活動することが可能になるだろう。			記憶のクリスタルから創造された我らのように、アテナも、記憶を核に復活し活動することが可能になるだろう。			「パンデモニウム」はその目を開く							
それが、アテナ復活の秘密……。			それが、アテナ復活の秘密……。			「パンデモニウム」はその目を開く							
忌々しいことだ。アテナの記憶を、私自身が後生大事に持ち続けていたのだから。			忌々しいことだ。アテナの記憶を、私自身が後生大事に持ち続けていたのだから。			「パンデモニウム」はその目を開く							
万魔の産屋のラハブレアは、残る疑問を整理したいようだ。			万魔の産屋のラハブレアは、残る疑問を整理したいようだ。			影法師の望み							
アテナによる精神呪縛を解くためには、まずテミスを弱らせる必要がありそうだ。この先で冒険者を待っている「テミス」を打倒し、彼を救い出そう。※コンテンツファインダーから攻略に参加できます。			アテナによる精神呪縛を解くためには、まずテミスを弱らせる必要がありそうだ。この先で冒険者を待っている「テミス」を打倒し、彼を救い出そう。※コンテンツファインダーから攻略に参加できます。			影法師の望み							
「テミス」を討伐した。万魔の産屋に戻ろう。			「テミス」を討伐した。万魔の産屋に戻ろう。			影法師の望み							
テミスにエーテルを分け与えることで、彼を星海に繋ぎ止めることに成功した。万魔の産屋で「エリクトニオス」たちにも彼の帰還を伝えよう。			テミスにエーテルを分け与えることで、彼を星海に繋ぎ止めることに成功した。万魔の産屋で「エリクトニオス」たちにも彼の帰還を伝えよう。			影法師の望み							
テミスから、アテナについて話を聞いた。彼女はクローディエンのことを「エリクトニオス」と呼んでいたようだ……。			テミスから、アテナについて話を聞いた。彼女はクローディエンのことを「エリクトニオス」と呼んでいたようだ……。			影法師の望み							
「万魔殿パンデモニウム：天獄編3」を攻略			「万魔殿パンデモニウム：天獄編3」を攻略			影法師の望み							
エリクトニオスと話す			エリクトニオスと話す			影法師の望み							
パンデモニウムも、戦闘中に「アルテマ」を使ってきたそうだな。サビクに魔法を込めたのも、知識を得たアテナ自身だろうし、自ら生み出した存在に、この魔法を使わせることも容易なわけか。			パンデモニウムも、戦闘中に「アルテマ」を使ってきたそうだな。サビクに魔法を込めたのも、知識を得たアテナ自身だろうし、自ら生み出した存在に、この魔法を使わせることも容易なわけか。			影法師の望み							
……これでもう、アテナに関することで秘密は何もない。			……これでもう、アテナに関することで秘密は何もない。			影法師の望み							
次なる疑問は、彼女がサビクに記憶を残していたとして、どうやって現代で記憶が目覚めたかだな。この時代で、サビクが最後に目撃されたのはどこだ？			次なる疑問は、彼女がサビクに記憶を残していたとして、どうやって現代で記憶が目覚めたかだな。この時代で、サビクが最後に目撃されたのはどこだ？			影法師の望み							
何と言う？			何と言う？			影法師の望み							
アルテマウェポンとの戦いだ			アルテマウェポンとの戦いだ			影法師の望み							
アシエンが持っていたはず			アシエンが持っていたはず			影法師の望み							
研究員から伝え聞いた情報によれば、その戦いの折、アシエンなる存在も現場にいたそうだな。			研究員から伝え聞いた情報によれば、その戦いの折、アシエンなる存在も現場にいたそうだな。			影法師の望み							
研究員から伝え聞いた情報と一致しているな。サビクは、アルテマウェポンとの戦いで確認されたが、そこにはアシエンなる存在もいたという。			研究員から伝え聞いた情報と一致しているな。サビクは、アルテマウェポンとの戦いで確認されたが、そこにはアシエンなる存在もいたという。			影法師の望み							
そして、件のアシエンは逃げ延び、後に魔科学研究所なる場所で、お前に討たれたと……。			そして、件のアシエンは逃げ延び、後に魔科学研究所なる場所で、お前に討たれたと……。			影法師の望み							
魔科学研究所……！　さっき資料で見たぞ。星海の研究者クローディエンが、その地で失踪したはず。			魔科学研究所……！　さっき資料で見たぞ。星海の研究者クローディエンが、その地で失踪したはず。			影法師の望み							
彼は、記憶のクリスタルと似たエーテル波形を追い、現地に向かったというが……それはサビクの波形だったのだろう。クローディエンが、アテナを目覚めさせたのだ。			彼は、記憶のクリスタルと似たエーテル波形を追い、現地に向かったというが……それはサビクの波形だったのだろう。クローディエンが、アテナを目覚めさせたのだ。			影法師の望み							
……だが、その男にアテナを復活させる理由なんてないよな？もちろん精神呪縛を受けた可能性もあるが。			……だが、その男にアテナを復活させる理由なんてないよな？もちろん精神呪縛を受けた可能性もあるが。			影法師の望み							
……アテナに関する疑問は、まだまだ多い。			……アテナに関する疑問は、まだまだ多い。			影法師の望み							
記憶の存在でありながら、これほどの事態を引き起こした以上、アテナは、魔力を行使するための肉体を用意し纏っているはず。その肉体を、いったいどこから調達したのか……。			記憶の存在でありながら、これほどの事態を引き起こした以上、アテナは、魔力を行使するための肉体を用意し纏っているはず。その肉体を、いったいどこから調達したのか……。			影法師の望み							
それに加えて……。エリディブスの言葉を信じるなら、アテナは素体……すなわち神の原型をすでに用意しているらしい。			それに加えて……。エリディブスの言葉を信じるなら、アテナは素体……すなわち神の原型をすでに用意しているらしい。			影法師の望み							
しかし、連中の実験結果によれば、神の原型にできるのは、エリクトニオスだけだったはず。			しかし、連中の実験結果によれば、神の原型にできるのは、エリクトニオスだけだったはず。			影法師の望み							
言うまでもないことだが、本来のエリクトニオスは、もうこの世には存在していない。神の原型に相応しい肉体は、永久に失われているのだ。			言うまでもないことだが、本来のエリクトニオスは、もうこの世には存在していない。神の原型に相応しい肉体は、永久に失われているのだ。			影法師の望み							
……これ以上、推測を重ねていても仕方なさそうだな。情報が足りないなら、調査を続けるだけだ。			……これ以上、推測を重ねていても仕方なさそうだな。情報が足りないなら、調査を続けるだけだ。			影法師の望み							
Forename……この先には、あいつが……テミスが待っている。俺たちに敵対する存在として。			Forename……この先には、あいつが……テミスが待っている。俺たちに敵対する存在として。			影法師の望み							
あの「扉」の先に、エリディブスやアテナが存在する空間が、圧縮され、存在しているのだろう。			あの「扉」の先に、エリディブスやアテナが存在する空間が、圧縮され、存在しているのだろう。			影法師の望み							
……甘い考えかも知れないが、こう思うんだ。もとはテミスの記憶だというのなら、精神呪縛さえ解けば、きっと、俺たちに協力してくれるって。			……甘い考えかも知れないが、こう思うんだ。もとはテミスの記憶だというのなら、精神呪縛さえ解けば、きっと、俺たちに協力してくれるって。			影法師の望み							
俺が呪縛を受け、ヘファイストスの手に落ちたときも、お前は決して諦めず、救い出そうとしてくれた。			俺が呪縛を受け、ヘファイストスの手に落ちたときも、お前は決して諦めず、救い出そうとしてくれた。			影法師の望み							
記憶の存在ではあるが……テミスのことも、どうか救い出してはくれないか？呪縛による敵対なんて、あいつも望んでいないと思うんだ！			記憶の存在ではあるが……テミスのことも、どうか救い出してはくれないか？呪縛による敵対なんて、あいつも望んでいないと思うんだ！			影法師の望み							
その考え方は、理論的ではないが……敵の懐にいた者にしか得られない情報もある。倒さず引き込むことができれば、たしかに好都合だ。			その考え方は、理論的ではないが……敵の懐にいた者にしか得られない情報もある。倒さず引き込むことができれば、たしかに好都合だ。			影法師の望み							
アグディスティスも、消滅の間際、戦闘により力を削がれたことで、精神呪縛を脱した。同じように、正気を取り戻す可能性はあろう。			アグディスティスも、消滅の間際、戦闘により力を削がれたことで、精神呪縛を脱した。同じように、正気を取り戻す可能性はあろう。			影法師の望み							
とはいえ、エリディブスも、あくまで記憶だけの存在ということを忘れるな。戦闘用の肉体は与えられているだろうが、所詮それも仮初のもの。			とはいえ、エリディブスも、あくまで記憶だけの存在ということを忘れるな。戦闘用の肉体は与えられているだろうが、所詮それも仮初のもの。			影法師の望み							
弱った状態のまま、留まり続けるだけのエーテルが足りず、そのまま消滅してしまうことも十分にありえる……。奴の様子には、よく注意しておけ。			弱った状態のまま、留まり続けるだけのエーテルが足りず、そのまま消滅してしまうことも十分にありえる……。奴の様子には、よく注意しておけ。			影法師の望み							
星晶鏡と、いつまで行き来できるかわからない。俺たちもここに留まり、現代の情報が必要になったときだけ、あちらに戻るつもりだ。			星晶鏡と、いつまで行き来できるかわからない。俺たちもここに留まり、現代の情報が必要になったときだけ、あちらに戻るつもりだ。			影法師の望み							
記憶のクリスタルは、先ほどの研究員たちに渡しておいた。既知の情報以外、大した記憶も見通せなかったのでな。			記憶のクリスタルは、先ほどの研究員たちに渡しておいた。既知の情報以外、大した記憶も見通せなかったのでな。			影法師の望み							
しかし、この空間もまた興味深い。過去のパンデモニウムでも、支配権を持った者が、内部環境を操作できたが、同じことをやっているのか……。			しかし、この空間もまた興味深い。過去のパンデモニウムでも、支配権を持った者が、内部環境を操作できたが、同じことをやっているのか……。			影法師の望み							
ふふふ、ようやくわかったよ。アテナの精神呪縛は、対象者の感情を増幅するものだが……私のどんな欲望を利用したのか、ずっと疑問だったんだ。			ふふふ、ようやくわかったよ。アテナの精神呪縛は、対象者の感情を増幅するものだが……私のどんな欲望を利用したのか、ずっと疑問だったんだ。			影法師の望み							
