幻術士ギルドのエ・スミ・ヤンは冒険者に頼みがあるようだ。			幻術士ギルドのエ・スミ・ヤンは冒険者に頼みがあるようだ。			偉人の後継者							
……あら、それは？			……あら、それは？			私を否定するもの							
……なるほど、アラカさんが言っていた、「実験」の名残というところでしょう。			……なるほど、アラカさんが言っていた、「実験」の名残というところでしょう。			私を否定するもの							
これは、重要な物証となりそうです……。一部とはいえ、穢れたエーテルも残っているでしょうし、古の知識を受け継ぐ角尊なら、何かわかるかもしれません。			これは、重要な物証となりそうです……。一部とはいえ、穢れたエーテルも残っているでしょうし、古の知識を受け継ぐ角尊なら、何かわかるかもしれません。			私を否定するもの							
…………Forenameさん。角尊に協力を要請すべきでしょうか？あんな、何もしない人たちに……。			…………Forenameさん。角尊に協力を要請すべきでしょうか？あんな、何もしない人たちに……。			私を否定するもの							
なんと答える？			なんと答える？			私を否定するもの							
相談するべきだ			相談するべきだ			私を否定するもの							
意地を張っている場合じゃない			意地を張っている場合じゃない			私を否定するもの							
……そうですよね。私個人の疑念などは関係ありません。			……そうですよね。私個人の疑念などは関係ありません。			私を否定するもの							
黒衣森に戻りましょう……。今は、角尊様方の力が必要です……！			黒衣森に戻りましょう……。今は、角尊様方の力が必要です……！			私を否定するもの							
カストルム・オリエンスのシルフィーは、困っているようだ。			カストルム・オリエンスのシルフィーは、困っているようだ。			厳格なる角尊の掟							
シルフィーから、ガッティの指導に同行するよう依頼された。ギラバニア辺境地帯の「狩人の山小屋」に向かおう。			シルフィーから、ガッティの指導に同行するよう依頼された。ギラバニア辺境地帯の「狩人の山小屋」に向かおう。			厳格なる角尊の掟							
狩人の山小屋には、エ・スミ・ヤンが待ち受けていた。しかし、母娘は姿を消していた。母親の容体が悪化すると、再び妖異が現れる恐れがある。ギラバニア辺境地帯の北方で母娘を探そう。			狩人の山小屋には、エ・スミ・ヤンが待ち受けていた。しかし、母娘は姿を消していた。母親の容体が悪化すると、再び妖異が現れる恐れがある。ギラバニア辺境地帯の北方で母娘を探そう。			厳格なる角尊の掟							
妖異に襲われていた母娘を救助した。今後について話し合うため、ギラバニア辺境地帯の狩人の山小屋にいる「エ・スミ・ヤン」と話そう。			妖異に襲われていた母娘を救助した。今後について話し合うため、ギラバニア辺境地帯の狩人の山小屋にいる「エ・スミ・ヤン」と話そう。			厳格なる角尊の掟							
エ・スミ・ヤンと話した。冒険者の協力が信用され、ガッティが母とともに暮らしながらの修行が許可された。狩人の山小屋にいる「シルフィー」と話そう。			エ・スミ・ヤンと話した。冒険者の協力が信用され、ガッティが母とともに暮らしながらの修行が許可された。狩人の山小屋にいる「シルフィー」と話そう。			厳格なる角尊の掟							
シルフィーと話した。ガッティが魔力を制御できるようになり、末永く母と暮らせるようになるために、全力を尽くそう。※白魔道士のレベルが70以上になると、狩人の山小屋のシルフィーから、次の白魔道士クエストを受注することができます。			シルフィーと話した。ガッティが魔力を制御できるようになり、末永く母と暮らせるようになるために、全力を尽くそう。※白魔道士のレベルが70以上になると、狩人の山小屋のシルフィーから、次の白魔道士クエストを受注することができます。			厳格なる角尊の掟							
狩人の山小屋に向かう			狩人の山小屋に向かう			厳格なる角尊の掟							
ガッティたちを探す			ガッティたちを探す			厳格なる角尊の掟							
狩人の山小屋のエ・スミ・ヤンと話す			狩人の山小屋のエ・スミ・ヤンと話す			厳格なる角尊の掟							
狩人の山小屋のシルフィーと話す			狩人の山小屋のシルフィーと話す			厳格なる角尊の掟							
あ、Forename……。私、シルフィーとお勉強、がんばってるよ。あなたとも、お勉強したいな。			あ、Forename……。私、シルフィーとお勉強、がんばってるよ。あなたとも、お勉強したいな。			厳格なる角尊の掟							
Forename様、よく来てくれました。娘は、いつもあなたに会いたがっているんですよ。			Forename様、よく来てくれました。娘は、いつもあなたに会いたがっているんですよ。			厳格なる角尊の掟							
Forename……！来てくれて、ありがとう……。頑張ってはいるけれど、状況はあまり良くないの……。			Forename……！来てくれて、ありがとう……。頑張ってはいるけれど、状況はあまり良くないの……。			厳格なる角尊の掟							
サンチェさんには、毎日、幻術の癒しに加えて、特別に取り寄せた薬も飲んでもらっているわ。でも、症状は悪くなるばかり……。			サンチェさんには、毎日、幻術の癒しに加えて、特別に取り寄せた薬も飲んでもらっているわ。でも、症状は悪くなるばかり……。			厳格なる角尊の掟							
そのせいで、ガッティの不安も膨らみ続けていて、時折、取り乱しては妖異を引き寄せてしまうの。どうにか私の力で、妖異を追い払ってきたけど……。			そのせいで、ガッティの不安も膨らみ続けていて、時折、取り乱しては妖異を引き寄せてしまうの。どうにか私の力で、妖異を追い払ってきたけど……。			厳格なる角尊の掟							
あなたの顔を見れば、ガッティも落ち着くと思うの。これからガッティと魔法の勉強をするから、いっしょに「狩人の山小屋」まで来てくれる？			あなたの顔を見れば、ガッティも落ち着くと思うの。これからガッティと魔法の勉強をするから、いっしょに「狩人の山小屋」まで来てくれる？			厳格なる角尊の掟							
Forename……迷惑に巻き込んでしまって、ごめんなさい……。私が来たときには、もうエ・スミ様がいらっしゃったの。			Forename……迷惑に巻き込んでしまって、ごめんなさい……。私が来たときには、もうエ・スミ様がいらっしゃったの。			厳格なる角尊の掟							
シルフィー、憶えていますか？あなたに今回の調査を許可したとき、軽率な行動を禁じたことを。			シルフィー、憶えていますか？あなたに今回の調査を許可したとき、軽率な行動を禁じたことを。			厳格なる角尊の掟							
……もちろんです。今回の行動も、軽率だとは考えていません。しっかりと考えて、最善だと思う道を選びました……！			……もちろんです。今回の行動も、軽率だとは考えていません。しっかりと考えて、最善だと思う道を選びました……！			厳格なる角尊の掟							
なるほど、固い決意の上だと……。シルフィーが定期報告には記すことなく、特殊な薬を取り寄せていると聞き、調べてみれば……			なるほど、固い決意の上だと……。シルフィーが定期報告には記すことなく、特殊な薬を取り寄せていると聞き、調べてみれば……			厳格なる角尊の掟							
まさか角尊を匿っているとは、予想していませんでした。角尊は、生まれながらに強大な魔力を持つゆえに、それを制御できなければ、極めて危険な存在となります。			まさか角尊を匿っているとは、予想していませんでした。角尊は、生まれながらに強大な魔力を持つゆえに、それを制御できなければ、極めて危険な存在となります。			厳格なる角尊の掟							
しかも、魔力は成長とともに強まります。ゆくゆくは、より強力な妖異たちが集まりだすでしょう。これは母娘ばかりか、周辺地域全体の脅威となります。			しかも、魔力は成長とともに強まります。ゆくゆくは、より強力な妖異たちが集まりだすでしょう。これは母娘ばかりか、周辺地域全体の脅威となります。			厳格なる角尊の掟							
ガッティは、お母さんを心配するあまり、心を乱して、魔力の制御を失っていました。だからこそ、ふたりを引き離す方が危険だと考えたのです……！			ガッティは、お母さんを心配するあまり、心を乱して、魔力の制御を失っていました。だからこそ、ふたりを引き離す方が危険だと考えたのです……！			厳格なる角尊の掟							
シルフィー、あなたが頑固者だということを忘れていました。ですが、これはギルドマスターである私の責任でもあります。生まれたばかりの角尊を見逃していたのですから……。			シルフィー、あなたが頑固者だということを忘れていました。ですが、これはギルドマスターである私の責任でもあります。生まれたばかりの角尊を見逃していたのですから……。			厳格なる角尊の掟							
ガッティを、碩老樹瞑想窟に連れ帰るおつもりですか？			ガッティを、碩老樹瞑想窟に連れ帰るおつもりですか？			厳格なる角尊の掟							
当然です……と、言いたいところですが、私が到着したときには、すでに家はもぬけの殻でした。私の訪問を察知したのか、母娘で逃げ出したのでしょう。			当然です……と、言いたいところですが、私が到着したときには、すでに家はもぬけの殻でした。私の訪問を察知したのか、母娘で逃げ出したのでしょう。			厳格なる角尊の掟							
なんですって！？歩き回ったら、サンチェさんが危険です！お母さんは、心臓の病をかかえているんです……。			なんですって！？歩き回ったら、サンチェさんが危険です！お母さんは、心臓の病をかかえているんです……。			厳格なる角尊の掟							
では、一刻も早く探しださねばなりませんね。ガッティの精神が揺らぎ、妖異が集まってしまう前に……。彼女たちの行き先に、心当たりは？			では、一刻も早く探しださねばなりませんね。ガッティの精神が揺らぎ、妖異が集まってしまう前に……。彼女たちの行き先に、心当たりは？			厳格なる角尊の掟							
逃げるなら、地形的にベロジナ川を上るしかありません。北へ向かって、後を追いましょう！			逃げるなら、地形的にベロジナ川を上るしかありません。北へ向かって、後を追いましょう！			厳格なる角尊の掟							
ああ、Forename様……。軽い発作を起こしたせいで、ガッティが取り乱してしまい、妖異が……！			ああ、Forename様……。軽い発作を起こしたせいで、ガッティが取り乱してしまい、妖異が……！			厳格なる角尊の掟							
Forename、ありがと……。なんか、ザワザワ変な声が聞こえて……怖くなって、家から逃げ出したの……。			Forename、ありがと……。なんか、ザワザワ変な声が聞こえて……怖くなって、家から逃げ出したの……。			厳格なる角尊の掟							
あなたが、ガッティですね？無意識に精霊の声から、異変を察知し、行動を起こすとは……流石ですね。			あなたが、ガッティですね？無意識に精霊の声から、異変を察知し、行動を起こすとは……流石ですね。			厳格なる角尊の掟							
あ、あなたは、大道士エ・スミ様！？こんなところに、何の御用でしょうか……？			あ、あなたは、大道士エ・スミ様！？こんなところに、何の御用でしょうか……？			厳格なる角尊の掟							
その回答は、あなた自身がすでにお持ちでしょう……。幻術士ギルドに対する思いは複雑でしょうが、これだけは信じてくださいませんか？			その回答は、あなた自身がすでにお持ちでしょう……。幻術士ギルドに対する思いは複雑でしょうが、これだけは信じてくださいませんか？			厳格なる角尊の掟							
シルフィーとForenameは、あなたたちとの約束を守り抜いていました。どうか、ふたりを恨まないでやってください。			シルフィーとForenameは、あなたたちとの約束を守り抜いていました。どうか、ふたりを恨まないでやってください。			厳格なる角尊の掟							
ガッティの魔力が、隠しきれないほど強くなってしまったのです。今後については、家に戻ってから話し合いましょう。この件に関わるすべての者が、幸せになる方法を探すために。			ガッティの魔力が、隠しきれないほど強くなってしまったのです。今後については、家に戻ってから話し合いましょう。この件に関わるすべての者が、幸せになる方法を探すために。			厳格なる角尊の掟							
お母さん……大丈夫。変なザワザワは消えて、優しい声がするの。だからきっと、悪いことは起きないよ……。			お母さん……大丈夫。変なザワザワは消えて、優しい声がするの。だからきっと、悪いことは起きないよ……。			厳格なる角尊の掟							
ガッティが言うなら、迷う理由などございません。では、家へと戻りましょう。			ガッティが言うなら、迷う理由などございません。では、家へと戻りましょう。			厳格なる角尊の掟							
私と同じ角が生えてる人……初めて見た。それにね、大地と同じ感じがするの……。優しい気持ちになれるから、あの人も好き。			私と同じ角が生えてる人……初めて見た。それにね、大地と同じ感じがするの……。優しい気持ちになれるから、あの人も好き。			厳格なる角尊の掟							
エ・スミ様に治療していただいて、少し楽になりました。感謝していますが……ガッティを渡すつもりはありません。			エ・スミ様に治療していただいて、少し楽になりました。感謝していますが……ガッティを渡すつもりはありません。			厳格なる角尊の掟							
道中、エ・スミ様はガッティたちとずっと話していたわ。エ・スミ様によると、ガッティの魔力との向き合い方は、完全に自己流で、非常に危うい状態なんですって……。			道中、エ・スミ様はガッティたちとずっと話していたわ。エ・スミ様によると、ガッティの魔力との向き合い方は、完全に自己流で、非常に危うい状態なんですって……。			厳格なる角尊の掟							
道中に聞いた話によると、やはりガッティは、魔力の制御法を学んだ経験がなかったようです。			道中に聞いた話によると、やはりガッティは、魔力の制御法を学んだ経験がなかったようです。			厳格なる角尊の掟							
どうにか自己流で、抑えてはいたものの、成長するにつれ魔力は強まる一方ですからね……。ふとした精神の乱れで、容易に均衡が崩れるのでしょう。			どうにか自己流で、抑えてはいたものの、成長するにつれ魔力は強まる一方ですからね……。ふとした精神の乱れで、容易に均衡が崩れるのでしょう。			厳格なる角尊の掟							
だから、ここでガッティを指導しようと思ったんです。親を知らずに育つ普通の角尊と違い、ガッティにとって、お母さんは心の支え……無理に引き離すのは危険ですから。			だから、ここでガッティを指導しようと思ったんです。親を知らずに育つ普通の角尊と違い、ガッティにとって、お母さんは心の支え……無理に引き離すのは危険ですから。			厳格なる角尊の掟							
……私は、お母さんを亡くしたとき、心の中に大きな穴があいたようでした……。その経験があるからこそ、わかるんです！			……私は、お母さんを亡くしたとき、心の中に大きな穴があいたようでした……。その経験があるからこそ、わかるんです！			厳格なる角尊の掟							
Forename、あなたはどう思う？本当に、掟に従って母娘を引き離すべきなの！？			Forename、あなたはどう思う？本当に、掟に従って母娘を引き離すべきなの！？			厳格なる角尊の掟							
母娘を引き離すべきか？			母娘を引き離すべきか？			厳格なる角尊の掟							
この場合、母娘はいっしょにいるべき！			この場合、母娘はいっしょにいるべき！			厳格なる角尊の掟							
エ・スミ様に判断を任せよう			エ・スミ様に判断を任せよう			厳格なる角尊の掟							
Forenameも、シルフィーの味方ですか……。とはいえ、その判断には同意せざるをえませんね。			Forenameも、シルフィーの味方ですか……。とはいえ、その判断には同意せざるをえませんね。			厳格なる角尊の掟							
ええ、黒衣森にとっての最善を、私が決断すべきでしょう。……実は、私もシルフィーの言うとおりだとは思っています。			ええ、黒衣森にとっての最善を、私が決断すべきでしょう。……実は、私もシルフィーの言うとおりだとは思っています。			厳格なる角尊の掟							
ガッティの生立ちは、角尊の歴史の中でも非常に稀。今は、彼女と母上を引き離すことのほうが危険でしょう。			ガッティの生立ちは、角尊の歴史の中でも非常に稀。今は、彼女と母上を引き離すことのほうが危険でしょう。			厳格なる角尊の掟							
では……！？			では……！？			厳格なる角尊の掟							
……しかし、彼女と母上のことを思えばこそ、我々、幻術士ギルドの庇護下で、力の使い方を学ばねば、より大きな災いを呼ぶこととなりましょう。			……しかし、彼女と母上のことを思えばこそ、我々、幻術士ギルドの庇護下で、力の使い方を学ばねば、より大きな災いを呼ぶこととなりましょう。			厳格なる角尊の掟							
幻術士ギルドの一員として、シルフィー、あなたに命じます。幼き角尊ガッティを良き方向へ導くのです。			幻術士ギルドの一員として、シルフィー、あなたに命じます。幼き角尊ガッティを良き方向へ導くのです。			厳格なる角尊の掟							
あなたは幻術士ギルドの一員、これで戒律は守られる。その上で、Forenameに、感謝するのです。稀代の白魔道士がいればこそ、許しが出たものと知りなさい。			あなたは幻術士ギルドの一員、これで戒律は守られる。その上で、Forenameに、感謝するのです。稀代の白魔道士がいればこそ、許しが出たものと知りなさい。			厳格なる角尊の掟							
エ・スミ様……！私、一生懸命、頑張ります！幻術士ギルドの一員として！			エ・スミ様……！私、一生懸命、頑張ります！幻術士ギルドの一員として！			厳格なる角尊の掟							
ただし、いつまでも危うい状態を放置できません。期限を設け、それまでにガッティが魔力を制御できなければ、そのときは、私自らが彼女を迎えにあがりましょう。			ただし、いつまでも危うい状態を放置できません。期限を設け、それまでにガッティが魔力を制御できなければ、そのときは、私自らが彼女を迎えにあがりましょう。			厳格なる角尊の掟							
エ・スミ様……！ありがとうございます、ありがとうございます！			エ・スミ様……！ありがとうございます、ありがとうございます！			厳格なる角尊の掟							
ガッティ……あなたは、母思いの優しい子ですね……。しかし、母上を想うあまりに、己を失ってはなりませんよ。			ガッティ……あなたは、母思いの優しい子ですね……。しかし、母上を想うあまりに、己を失ってはなりませんよ。			厳格なる角尊の掟							
己を信じ、内なる魔力を従えてみせるのです。もう抱かれる赤子ではなく、ひとり立派に歩めると、そう示すことができれば、母上もお喜びになるでしょう。			己を信じ、内なる魔力を従えてみせるのです。もう抱かれる赤子ではなく、ひとり立派に歩めると、そう示すことができれば、母上もお喜びになるでしょう。			厳格なる角尊の掟							
はい、どんなに難しいお勉強もがんばります。お母さんにも、シルフィーにも、Forenameにも、喜んでもらいたいから……！			はい、どんなに難しいお勉強もがんばります。お母さんにも、シルフィーにも、Forenameにも、喜んでもらいたいから……！			厳格なる角尊の掟							
では、私は急ぎ幻術士ギルドへ戻り、シルフィーに伝えるべき指導法をしたためましょう。			では、私は急ぎ幻術士ギルドへ戻り、シルフィーに伝えるべき指導法をしたためましょう。			厳格なる角尊の掟							
Forename、私は、エ・スミ様をお見送りしてくる。そのまま、外で待ってるわね。			Forename、私は、エ・スミ様をお見送りしてくる。そのまま、外で待ってるわね。			厳格なる角尊の掟							
私、魔法のお勉強、たくさんする。お母さんの喜ぶ顔が、見たいから……！			私、魔法のお勉強、たくさんする。お母さんの喜ぶ顔が、見たいから……！			厳格なる角尊の掟							
エ・スミ様と初めてじっくりお話しましたが、物腰柔らかく、思ったよりも理解のあるお方でした。私たち母娘へのご配慮は、感謝してもしきれません。			エ・スミ様と初めてじっくりお話しましたが、物腰柔らかく、思ったよりも理解のあるお方でした。私たち母娘へのご配慮は、感謝してもしきれません。			厳格なる角尊の掟							
ふたりが、いっしょに暮らせるようになってよかった。あなたが、たくさん協力してくれたおかげね、ありがとう。			ふたりが、いっしょに暮らせるようになってよかった。あなたが、たくさん協力してくれたおかげね、ありがとう。			厳格なる角尊の掟							
でも、期限までにガッティが魔力を制御できなければ、お母さんと引き離されてしまう……。			でも、期限までにガッティが魔力を制御できなければ、お母さんと引き離されてしまう……。			厳格なる角尊の掟							
ガッティのお手本になれるように、お互い、自分自身の鍛錬も頑張りましょうね！			ガッティのお手本になれるように、お互い、自分自身の鍛錬も頑張りましょうね！			厳格なる角尊の掟							
（★未使用／削除★）			（★未使用／削除★）			厳格なる角尊の掟							
狩人の山小屋のシルフィーは、うろたえているようだ。			狩人の山小屋のシルフィーは、うろたえているようだ。			角尊の宝物							
ガッティの修行は順調だが、母親の容体が思わしくないという。母親の看病にあたるシルフィーに代わり、ギラバニア辺境地帯のカストルム・オリエンスにいる「酒保商人」から、「サンチェ用の薬」を受け取ろう。			ガッティの修行は順調だが、母親の容体が思わしくないという。母親の看病にあたるシルフィーに代わり、ギラバニア辺境地帯のカストルム・オリエンスにいる「酒保商人」から、「サンチェ用の薬」を受け取ろう。			角尊の宝物							
酒保商人からサンチェ用の薬を受け取った。狩人の山小屋の「シルフィー」と話そう。			酒保商人からサンチェ用の薬を受け取った。狩人の山小屋の「シルフィー」と話そう。			角尊の宝物							
シルフィーと話したが、たいそう慌てているようだ。彼女を落ち着かせるために、狩人の山小屋の「シルフィー」にエモート「なだめる」をしよう。			シルフィーと話したが、たいそう慌てているようだ。彼女を落ち着かせるために、狩人の山小屋の「シルフィー」にエモート「なだめる」をしよう。			角尊の宝物							
シルフィーをなだめた。シルフィーが、水汲みをして戻ってきたら、母娘の姿が消えていたという。母が常々行きたがっていた、ギラバニア辺境地帯の「流星の尾」で母娘を探そう。			シルフィーをなだめた。シルフィーが、水汲みをして戻ってきたら、母娘の姿が消えていたという。母が常々行きたがっていた、ギラバニア辺境地帯の「流星の尾」で母娘を探そう。			角尊の宝物							
母娘を発見し、ふたりを襲う妖異を討伐した。母が倒れたため、ガッティが錯乱しているようだ。流星の尾の「サンチェ」に、「サンチェ用の薬」を使おう。			母娘を発見し、ふたりを襲う妖異を討伐した。母が倒れたため、ガッティが錯乱しているようだ。流星の尾の「サンチェ」に、「サンチェ用の薬」を使おう。			角尊の宝物							
サンチェにサンチェ用の薬を使ったが、彼女は息を引き取った……。そこに、ガッティを狙うカマソッソが現れたが、冒険者たちがこれを討伐した。流星の尾の「ガッティ」と話そう。			サンチェにサンチェ用の薬を使ったが、彼女は息を引き取った……。そこに、ガッティを狙うカマソッソが現れたが、冒険者たちがこれを討伐した。流星の尾の「ガッティ」と話そう。			角尊の宝物							
ガッティと話した。ガッティは、母の願いを察して、自ら魔力に制限をかけていた。しかし、母の本心を知り、魔力の制限を外すことができた。本来の力を取り戻した角尊ガッティは、心の望むままに能力を発揮して、黒衣森の人々の幸福をもたらすだろう。※以下の条件を満たすと、キャンプ・トランキルのラヤ・オ・センナから、新たなジョブクエストを受注することができます。1.「漆黒のヴィランズ」のプレイ権を所有している。2.「メインクエスト：漆黒のヴィランズ」の、　「漆黒のヴィランズ」を完了する。3.HEALERロールの「ロールクエスト 漆黒編」を完了する。			ガッティと話した。ガッティは、母の願いを察して、自ら魔力に制限をかけていた。しかし、母の本心を知り、魔力の制限を外すことができた。本来の力を取り戻した角尊ガッティは、心の望むままに能力を発揮して、黒衣森の人々の幸福をもたらすだろう。※以下の条件を満たすと、キャンプ・トランキルのラヤ・オ・センナから、新たなジョブクエストを受注することができます。1.「漆黒のヴィランズ」のプレイ権を所有している。2.「メインクエスト：漆黒のヴィランズ」の、　「漆黒のヴィランズ」を完了する。3.HEALERロールの「ロールクエスト 漆黒編」を完了する。			角尊の宝物							
酒保商人からサンチェ用の薬を入手			酒保商人からサンチェ用の薬を入手			角尊の宝物							
シルフィーと話す			シルフィーと話す			角尊の宝物							
シルフィーに「なだめる」をする			シルフィーに「なだめる」をする			角尊の宝物							
母娘を探す			母娘を探す			角尊の宝物							
サンチェにサンチェ用の薬を使う			サンチェにサンチェ用の薬を使う			角尊の宝物							
ガッティと話す			ガッティと話す			角尊の宝物							
カマソッソを倒せ！			カマソッソを倒せ！			角尊の宝物							
ガッティの命			ガッティの命			角尊の宝物							
シルフィーを癒せ！			シルフィーを癒せ！			角尊の宝物							
カマソッソを倒せ！			カマソッソを倒せ！			角尊の宝物							
お勉強をがんばっているのに、お母さんの元気がないの……。もっともっと、がんばらないと……！			お勉強をがんばっているのに、お母さんの元気がないの……。もっともっと、がんばらないと……！			角尊の宝物							
Forename様……。猟に出れない日が……増えています……。もしものときは……娘をお願いします……。			Forename様……。猟に出れない日が……増えています……。もしものときは……娘をお願いします……。			角尊の宝物							
Forename、いいところに……。そっか、エ・スミ様が定めた刻限が迫っているから、様子を見にきてくれたのね？			Forename、いいところに……。そっか、エ・スミ様が定めた刻限が迫っているから、様子を見にきてくれたのね？			角尊の宝物							
ガッティの修行は、順調よ……。ただ、サンチェさんの容体が急変してしまって……。ガッティには内緒だけど、今日明日が山場かも……。			ガッティの修行は、順調よ……。ただ、サンチェさんの容体が急変してしまって……。ガッティには内緒だけど、今日明日が山場かも……。			角尊の宝物							
だから、修業を中断して、ガッティはお母さんについていてもらっているの。私は、治療に手を尽くしているところよ。			だから、修業を中断して、ガッティはお母さんについていてもらっているの。私は、治療に手を尽くしているところよ。			角尊の宝物							
手配した薬が、カストルム・オリエンスに届くんだけど、私は、治療に必要な清水を汲みにいきたいの。悪いけど、「酒保商人」から薬を受け取ってきてくれない？			手配した薬が、カストルム・オリエンスに届くんだけど、私は、治療に必要な清水を汲みにいきたいの。悪いけど、「酒保商人」から薬を受け取ってきてくれない？			角尊の宝物							
お母さん……しっかりして……目を開けて……。			お母さん……しっかりして……目を開けて……。			角尊の宝物							
うう……。			うう……。			角尊の宝物							
おや、シルフィー様の代理なのかい？注文してもらった薬は、ちゃんと調達できてるよ。			おや、シルフィー様の代理なのかい？注文してもらった薬は、ちゃんと調達できてるよ。			角尊の宝物							
しかし、こんな強い薬が必要だなんて、患者さんは、よっぽど具合が悪いんだろうね……。あっしも回復を祈ってるよ。			しかし、こんな強い薬が必要だなんて、患者さんは、よっぽど具合が悪いんだろうね……。あっしも回復を祈ってるよ。			角尊の宝物							
サンチェさん！？　ガッティ！？いたずらは、やめて！隠れてないで、出てきてよおおお！			サンチェさん！？　ガッティ！？いたずらは、やめて！隠れてないで、出てきてよおおお！			角尊の宝物							
シルフィーは、何やら取り乱しているようだ。シルフィーに「なだめる」をして、落ち着かせよう。			シルフィーは、何やら取り乱しているようだ。シルフィーに「なだめる」をして、落ち着かせよう。			角尊の宝物							
サンチェさん！？　ガッティ！？ねえ、隠れてないで出てきて！			サンチェさん！？　ガッティ！？ねえ、隠れてないで出てきて！			角尊の宝物							
シルフィーは、何やら取り乱しているようだ。シルフィーに「なだめる」をして、落ち着かせよう。			シルフィーは、何やら取り乱しているようだ。シルフィーに「なだめる」をして、落ち着かせよう。			角尊の宝物							
はっ、Forename！あ、ありがとう……焦っても仕方ないわね。こんなときほど、落ち着かなきゃ……。			はっ、Forename！あ、ありがとう……焦っても仕方ないわね。こんなときほど、落ち着かなきゃ……。			角尊の宝物							
戻ったら、ふたりが消えていて、帽子だけが落ちていたの。サンチェさんは、もう動けないはずなのに！いったい、どこに行ってしまったの……！？			戻ったら、ふたりが消えていて、帽子だけが落ちていたの。サンチェさんは、もう動けないはずなのに！いったい、どこに行ってしまったの……！？			角尊の宝物							
母娘はどこにいってしまったのか？			母娘はどこにいってしまったのか？			角尊の宝物							
また逃げたのでは？			また逃げたのでは？			角尊の宝物							
心当たりはないのか？			心当たりはないのか？			角尊の宝物							
逃げるって、いったい何から？ガッティの修行は、順調だったんだもの。あれから、妖異に襲われることだってなかったのよ？			逃げるって、いったい何から？ガッティの修行は、順調だったんだもの。あれから、妖異に襲われることだってなかったのよ？			角尊の宝物							
ガッティの修行は、順調だったのよ。逃げる必要はないし、いったいどうして……？			ガッティの修行は、順調だったのよ。逃げる必要はないし、いったいどうして……？			角尊の宝物							
もしかしたら……お母さんの希望かも！あの場所は、サンチェさんのお気に入りの場所らしくて、死ぬまでに、もう一度、美しい流星の尾を見たいって！			もしかしたら……お母さんの希望かも！あの場所は、サンチェさんのお気に入りの場所らしくて、死ぬまでに、もう一度、美しい流星の尾を見たいって！			角尊の宝物							
元気になったら毎日、行こうって励ましてたんだけど……ガッティが、お母さんの願いをかなえるために、連れだしたのかもしれないわ。			元気になったら毎日、行こうって励ましてたんだけど……ガッティが、お母さんの願いをかなえるために、連れだしたのかもしれないわ。			角尊の宝物							
私、急いでエ・スミ様を呼んでくる！あなたは、「流星の尾」に向かって、ふたりを探して！見つけたら、すぐにサンチェさんに薬を飲ませてあげて！			私、急いでエ・スミ様を呼んでくる！あなたは、「流星の尾」に向かって、ふたりを探して！見つけたら、すぐにサンチェさんに薬を飲ませてあげて！			角尊の宝物							
お母さん……いや……しっかりして……。			お母さん……いや……しっかりして……。			角尊の宝物							
うう……。			うう……。			角尊の宝物							
お母さん……いや……しっかりして……。私をひとりにしないで……。お願い、お母さんを助けて……。			お母さん……いや……しっかりして……。私をひとりにしないで……。お願い、お母さんを助けて……。			角尊の宝物							
うう……。			うう……。			角尊の宝物							
お母さん……いや……しっかりして……。私をひとりにしないで……。			お母さん……いや……しっかりして……。私をひとりにしないで……。			角尊の宝物							
うううう……。			うううう……。			角尊の宝物							
どうして……お薬が効かないの……！？お母さん……お母さん……目を開けて……開けてよッ！！			どうして……お薬が効かないの……！？お母さん……お母さん……目を開けて……開けてよッ！！			角尊の宝物							
はっ……だめ……自分を見失っちゃだめ……。			はっ……だめ……自分を見失っちゃだめ……。			角尊の宝物							
怖れを捨てて……風と……大地と……水を……感じる……。			怖れを捨てて……風と……大地と……水を……感じる……。			角尊の宝物							
自然を……精霊のささやきを受け入れなきゃ！			自然を……精霊のささやきを受け入れなきゃ！			角尊の宝物							
見事ですよ、ガッティ。短期間で魔力を制御できるようになりましたね……。			見事ですよ、ガッティ。短期間で魔力を制御できるようになりましたね……。			角尊の宝物							
Forename、シルフィー。よくやってくれました。			Forename、シルフィー。よくやってくれました。			角尊の宝物							
後は任せて。サンチェさんは、私たちが癒すわ……！			後は任せて。サンチェさんは、私たちが癒すわ……！			角尊の宝物							
……キレイ……。最期に、ここに来れてよかった……ありがとう。			……キレイ……。最期に、ここに来れてよかった……ありがとう。			角尊の宝物							
最期だなんて……言わないで……！私、がんばって幻術を覚えて、お母さんを治すから……！それで、毎日、一緒にここに来よう……お母さん！			最期だなんて……言わないで……！私、がんばって幻術を覚えて、お母さんを治すから……！それで、毎日、一緒にここに来よう……お母さん！			角尊の宝物							
Forename……サンチェさんをここまで持ちこたえさせてくれたのは、間違いなくあなたの力……。			Forename……サンチェさんをここまで持ちこたえさせてくれたのは、間違いなくあなたの力……。			角尊の宝物							
しかし、定められし命の刻限は、絶対……。幻術といえども、天命ばかりは変えることができません……。			しかし、定められし命の刻限は、絶対……。幻術といえども、天命ばかりは変えることができません……。			角尊の宝物							
ですが、あなたのおかげで、サンチェさんの言葉が、ガッティに届くのです……。			ですが、あなたのおかげで、サンチェさんの言葉が、ガッティに届くのです……。			角尊の宝物							
ガッティ、生まれてきてくれて……ありがとう……。あなたは、私の一番の宝物……。			ガッティ、生まれてきてくれて……ありがとう……。あなたは、私の一番の宝物……。			角尊の宝物							
