ラザハンの小さな少年は、頼みたいことがあるようだ。			ラザハンの小さな少年は、頼みたいことがあるようだ。			紳士の長い眠り							
冒険者さん、お手伝いに来てくれたんですね～。助かります～！			冒険者さん、お手伝いに来てくれたんですね～。助かります～！			自己流の捜査							
えーと、数はあってるよな……。			えーと、数はあってるよな……。			自己流の捜査							
足りない物はないかしら……。			足りない物はないかしら……。			自己流の捜査							
これは、これは……早くも、このヒルディブランドの活躍の場に駆けつけるとは、フッフッフ、おふたりとも私の熱心なファンですな！			これは、これは……早くも、このヒルディブランドの活躍の場に駆けつけるとは、フッフッフ、おふたりとも私の熱心なファンですな！			自己流の捜査							
コヨコヨさん、冒険者さんもお手伝いに来てくれましたよ～。			コヨコヨさん、冒険者さんもお手伝いに来てくれましたよ～。			自己流の捜査							
またキミが協力してくれるんだね、どうもありがとう！			またキミが協力してくれるんだね、どうもありがとう！			自己流の捜査							
何と言う？			何と言う？			自己流の捜査							
普通に喋った！？			普通に喋った！？			自己流の捜査							
会話ができるのか？			会話ができるのか？			自己流の捜査							
うん、この星の言葉を覚えたんだ。単純な言語構造だから、すぐに学習することができたよ。			うん、この星の言葉を覚えたんだ。単純な言語構造だから、すぐに学習することができたよ。			自己流の捜査							
お、恐るべし異星人の学習能力。我々は太刀打ちできるのだろうか……？			お、恐るべし異星人の学習能力。我々は太刀打ちできるのだろうか……？			自己流の捜査							
ところで、コヨコヨさんの仲間の行方を掴んだと聞きましたが、いったい、どうやって……？			ところで、コヨコヨさんの仲間の行方を掴んだと聞きましたが、いったい、どうやって……？			自己流の捜査							
事件屋の勘が、ビビっと働きましてな！この辺りに、お友達の気配をキャッチしたのですが……さすがに細かな位置までは、掴めません。			事件屋の勘が、ビビっと働きましてな！この辺りに、お友達の気配をキャッチしたのですが……さすがに細かな位置までは、掴めません。			自己流の捜査							
ここは捜査の基本、聞き込みが有効です。手分けして、コヨコヨ殿と特徴が一致する生物を見ていないか、目撃情報を集めますぞ！			ここは捜査の基本、聞き込みが有効です。手分けして、コヨコヨ殿と特徴が一致する生物を見ていないか、目撃情報を集めますぞ！			自己流の捜査							
こちらの、とってもお茶目な子と似た生物を、どこかで見かけてませんでしょうか……？			こちらの、とってもお茶目な子と似た生物を、どこかで見かけてませんでしょうか……？			自己流の捜査							
お茶目って何？　どういうこと……？			お茶目って何？　どういうこと……？			自己流の捜査							
スースー……ムニャムニャ……。			スースー……ムニャムニャ……。			自己流の捜査							
事件屋の勘だって……！？そんな、根拠の薄い感覚で見つかるのか……いや、やはり彼はチャネリングの能力を持っているのか？			事件屋の勘だって……！？そんな、根拠の薄い感覚で見つかるのか……いや、やはり彼はチャネリングの能力を持っているのか？			自己流の捜査							
あー、そういえば荷運びの途中に、そんな特徴をした珍しい生物を見たよ。			あー、そういえば荷運びの途中に、そんな特徴をした珍しい生物を見たよ。			自己流の捜査							
たしか「衆園の森」の西の方だったかな。ちょこまかと歩いていて……ありゃいったい何だったんだ？			たしか「衆園の森」の西の方だったかな。ちょこまかと歩いていて……ありゃいったい何だったんだ？			自己流の捜査							
見た見た、小さくてヘンテコな生物ね。ラザハンへ買い物に行った帰りに森で見かけたのよ。			見た見た、小さくてヘンテコな生物ね。ラザハンへ買い物に行った帰りに森で見かけたのよ。			自己流の捜査							
ヘンテコな生物は人に連れられていたんだけど、その男も普通じゃなくてね、顔色が悪くて異臭まで放っていたの。とにかく近づきがたかったわ。			ヘンテコな生物は人に連れられていたんだけど、その男も普通じゃなくてね、顔色が悪くて異臭まで放っていたの。とにかく近づきがたかったわ。			自己流の捜査							
荷運びの途中で、ちょこまか歩く見慣れない生物を見たよ。たしか「衆園の森」の西の方だったはずだ。			荷運びの途中で、ちょこまか歩く見慣れない生物を見たよ。たしか「衆園の森」の西の方だったはずだ。			自己流の捜査							
小さくてヘンテコな生物は、顔色が悪くて異臭を放つ男に連れられていたの。とにかく近づきがたかったわ。			小さくてヘンテコな生物は、顔色が悪くて異臭を放つ男に連れられていたの。とにかく近づきがたかったわ。			自己流の捜査							
トモダチの目撃情報、あった……？			トモダチの目撃情報、あった……？			自己流の捜査							
事件屋の勘というチャネリングの能力で、本当に探し出すことができたら……これまた、興味深い……実に興味深いぞ……。			事件屋の勘というチャネリングの能力で、本当に探し出すことができたら……これまた、興味深い……実に興味深いぞ……。			自己流の捜査							
冒険者殿も聞き込みを終えたようですな。			冒険者殿も聞き込みを終えたようですな。			自己流の捜査							
こちらが得た情報では、コヨコヨ殿に似た生物が、「衆園の森」の南方で目撃されたようでした。			こちらが得た情報では、コヨコヨ殿に似た生物が、「衆園の森」の南方で目撃されたようでした。			自己流の捜査							
ほう、そちらは森の西の方での目撃情報を聞いたと……。			ほう、そちらは森の西の方での目撃情報を聞いたと……。			自己流の捜査							
ふう、やっと情報を聞き出せました。私が聞いた話では、森の北で見たそうですよ。			ふう、やっと情報を聞き出せました。私が聞いた話では、森の北で見たそうですよ。			自己流の捜査							
うーむ、目撃された場所がまちまちですな。これはつまり……			うーむ、目撃された場所がまちまちですな。これはつまり……			自己流の捜査							
コヨコヨ殿のお友達がたくさんいる！			コヨコヨ殿のお友達がたくさんいる！			自己流の捜査							
ボクが探しているトモダチはひとりだよ……。			ボクが探しているトモダチはひとりだよ……。			自己流の捜査							
もしや、ドッペルゲンガー……ではなく、単に森の中を歩き回っていて、あちこちで目撃されていただけ、なのでしょうか？			もしや、ドッペルゲンガー……ではなく、単に森の中を歩き回っていて、あちこちで目撃されていただけ、なのでしょうか？			自己流の捜査							
だとしたら、みなで手分けして、森の中を広範囲に調べたほうが良さそうですね。			だとしたら、みなで手分けして、森の中を広範囲に調べたほうが良さそうですね。			自己流の捜査							
ふむ、それではさっそく……			ふむ、それではさっそく……			自己流の捜査							
(-？？？？-)ホーウ、みなさんお揃いのようで……。			(-？？？？-)ホーウ、みなさんお揃いのようで……。			自己流の捜査							
ち、父上！？なんでまた、こんなところに……？			ち、父上！？なんでまた、こんなところに……？			自己流の捜査							
身体を動かすことで、マンダヴィルウェポン製作の、インスピレーションを得ようと思いましてな……。星戦士団の調練場にて、一汗流していたのです。			身体を動かすことで、マンダヴィルウェポン製作の、インスピレーションを得ようと思いましてな……。星戦士団の調練場にて、一汗流していたのです。			自己流の捜査							
しかし、やはり木人が相手では手応えがありません。骨のある強敵との実戦を望みますが……			しかし、やはり木人が相手では手応えがありません。骨のある強敵との実戦を望みますが……			自己流の捜査							
ふむ。Forename殿やみなさんと行動を共にすれば、思わぬ強敵と巡り合えるかもしれませんな。			ふむ。Forename殿やみなさんと行動を共にすれば、思わぬ強敵と巡り合えるかもしれませんな。			自己流の捜査							
見たところ、引き続きコヨコヨ殿のお友達を探している様子。よろしければ、私もお手伝いさせてもらっても？			見たところ、引き続きコヨコヨ殿のお友達を探している様子。よろしければ、私もお手伝いさせてもらっても？			自己流の捜査							
もちろん、構いませんぞ。これから手分けして、森の中でお友達を捜索するところでした。			もちろん、構いませんぞ。これから手分けして、森の中でお友達を捜索するところでした。			自己流の捜査							
この里があるのは、森の東側ですから、残る三方向にわかれてみましょう。私はナシュと共に、南側を探してみますので……			この里があるのは、森の東側ですから、残る三方向にわかれてみましょう。私はナシュと共に、南側を探してみますので……			自己流の捜査							
冒険者殿はコヨコヨ殿と共に、西側をお願いできますかな？			冒険者殿はコヨコヨ殿と共に、西側をお願いできますかな？			自己流の捜査							
そして、デロリン殿は父上と、森の北側を捜索していただきたい。			そして、デロリン殿は父上と、森の北側を捜索していただきたい。			自己流の捜査							
デ、リ、オ、ン、です。承知しましたが、広い森の中ではお互いの声も届かない……対象を見つけたとき、どうやって報せましょう？			デ、リ、オ、ン、です。承知しましたが、広い森の中ではお互いの声も届かない……対象を見つけたとき、どうやって報せましょう？			自己流の捜査							
こういうときのために、リンクパールを用意してきました～！これで連絡を取り合いましょう～。			こういうときのために、リンクパールを用意してきました～！これで連絡を取り合いましょう～。			自己流の捜査							
リ、リンクパールですか……！？シャーレアンに会話を傍受されてしまいますよ？			リ、リンクパールですか……！？シャーレアンに会話を傍受されてしまいますよ？			自己流の捜査							
そうなんですか～？じゃあ、ゴッドベルト様に渡しておきますね～。			そうなんですか～？じゃあ、ゴッドベルト様に渡しておきますね～。			自己流の捜査							
さすがは我が助手、気が利きますな。それでは、各々でお友達の捜索を開始しましょう！			さすがは我が助手、気が利きますな。それでは、各々でお友達の捜索を開始しましょう！			自己流の捜査							
ボクたちは「衆園の森」の西の方だったね。それじゃあ、一緒にトモダチを探しに向かおう。			ボクたちは「衆園の森」の西の方だったね。それじゃあ、一緒にトモダチを探しに向かおう。			自己流の捜査							
何をする？			何をする？			自己流の捜査							
話す			話す			自己流の捜査							
同行状態を解除する			同行状態を解除する			自己流の捜査							
キャンセル			キャンセル			自己流の捜査							
用が済んだんだね。じゃあ、トモダチを探しにいこう。			用が済んだんだね。じゃあ、トモダチを探しにいこう。			自己流の捜査							
アーテリスは豊かな星だね。とっても住み心地がよさそうだ。			アーテリスは豊かな星だね。とっても住み心地がよさそうだ。			自己流の捜査							
「川」について話す			「川」について話す			自己流の捜査							
川が流れているね。この星はあらゆる場所が水に満ち溢れている。			川が流れているね。この星はあらゆる場所が水に満ち溢れている。			自己流の捜査							
広い宇宙を旅して、たくさんの惑星を探索してきたけど、水が豊富な星はごく僅かなんだ。アーテリスはとっても貴重な存在なんだよ。			広い宇宙を旅して、たくさんの惑星を探索してきたけど、水が豊富な星はごく僅かなんだ。アーテリスはとっても貴重な存在なんだよ。			自己流の捜査							
「岩」について話す			「岩」について話す			自己流の捜査							
この島にある岩は、ボクの母星のものによく似ている。故郷の岩盤は色鮮やかで、すっごく綺麗なんだ。			この島にある岩は、ボクの母星のものによく似ている。故郷の岩盤は色鮮やかで、すっごく綺麗なんだ。			自己流の捜査							
でも……。いや、何でもない、先を急ごう。			でも……。いや、何でもない、先を急ごう。			自己流の捜査							
同行状態を解除します。本当によろしいですか？			同行状態を解除します。本当によろしいですか？			自己流の捜査							
何か用があるの？わかった、ボクはパーラカの里で待ってるよ。			何か用があるの？わかった、ボクはパーラカの里で待ってるよ。			自己流の捜査							
このクエストを進行させるには、コヨコヨが同行している状態で、さらに、プレイヤーの近くにいる必要があります。			このクエストを進行させるには、コヨコヨが同行している状態で、さらに、プレイヤーの近くにいる必要があります。			自己流の捜査							
同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			自己流の捜査							
ここには、トモダチの姿は見当たらないね……。			ここには、トモダチの姿は見当たらないね……。			自己流の捜査							
ところで、あの黒くてモフモフしているのは、キミたちアーテリス人の仲間かい？			ところで、あの黒くてモフモフしているのは、キミたちアーテリス人の仲間かい？			自己流の捜査							
何と言う？			何と言う？			自己流の捜査							
あれは猿人だ			あれは猿人だ			自己流の捜査							
あれは人ではない			あれは人ではない			自己流の捜査							
ふーん、この星には多様な種がいるんだね。いくつかサンプルを集めて調査したけど、まだまだわからないことだらけだ。			ふーん、この星には多様な種がいるんだね。いくつかサンプルを集めて調査したけど、まだまだわからないことだらけだ。			自己流の捜査							
よし、この先の方を探してみよう。			よし、この先の方を探してみよう。			自己流の捜査							
ここにも、トモダチはいないみたいだ……。			ここにも、トモダチはいないみたいだ……。			自己流の捜査							
ところで、あの白いモフモフしているのこそ、キミたちの仲間だよね？			ところで、あの白いモフモフしているのこそ、キミたちの仲間だよね？			自己流の捜査							
何と言う？			何と言う？			自己流の捜査							
あれは猿だ			あれは猿だ			自己流の捜査							
あれも人ではない			あれも人ではない			自己流の捜査							
へー、あまり違いがわからないや。ボクからすると、どちらも同じに見えるよ。			へー、あまり違いがわからないや。ボクからすると、どちらも同じに見えるよ。			自己流の捜査							
まあいいや、さらに先を探してみよう。			まあいいや、さらに先を探してみよう。			自己流の捜査							
ダメだね、こっちの方にはトモダチはいないみたいだ……。			ダメだね、こっちの方にはトモダチはいないみたいだ……。			自己流の捜査							
探しているトモダチは、ボクの幼馴染でね。子どもの頃から、ずっと一緒に育ってきた。			探しているトモダチは、ボクの幼馴染でね。子どもの頃から、ずっと一緒に育ってきた。			自己流の捜査							
ふたりは共通の夢を持っていた。それは、広い宇宙を探索すること。			ふたりは共通の夢を持っていた。それは、広い宇宙を探索すること。			自己流の捜査							
お互い励ましあって努力を重ねた結果、夢は叶い、ボクたちは船を得て宇宙に飛び立ったんだ。			お互い励ましあって努力を重ねた結果、夢は叶い、ボクたちは船を得て宇宙に飛び立ったんだ。			自己流の捜査							
その矢先に、あんなことが起こるなんて……。			その矢先に、あんなことが起こるなんて……。			自己流の捜査							
ごめん、こっちの話だ。とにかく、ボクにとって大切なトモダチなんだよ。			ごめん、こっちの話だ。とにかく、ボクにとって大切なトモダチなんだよ。			自己流の捜査							
(-ナシュ・マカラッカ-)もしもし、冒険者さんですか～？こちら、ナシュです～。			(-ナシュ・マカラッカ-)もしもし、冒険者さんですか～？こちら、ナシュです～。			自己流の捜査							
(-ナシュ・マカラッカ-)お友達らしき姿を見つけたので、いますぐ、プルシャ寺院まで来てください～！			(-ナシュ・マカラッカ-)お友達らしき姿を見つけたので、いますぐ、プルシャ寺院まで来てください～！			自己流の捜査							
見つかったんだね！早く向かいたいから、ボクの宇宙船で運ぶよ！！			見つかったんだね！早く向かいたいから、ボクの宇宙船で運ぶよ！！			自己流の捜査							
一方  サベネア島  プルシャ寺院――			一方  サベネア島  プルシャ寺院――			自己流の捜査							
そこにいるのは、コヨコヨ殿のお友達ですな？さあ、出てきてください。			そこにいるのは、コヨコヨ殿のお友達ですな？さあ、出てきてください。			自己流の捜査							
あ、あなたがたは……マンドラーズ！？			あ、あなたがたは……マンドラーズ！？			自己流の捜査							
(-？？？？-)オオオオオオ！その紳士的なお声はまさか……			(-？？？？-)オオオオオオ！その紳士的なお声はまさか……			自己流の捜査							
お久しぶりデス、先生！昏睡状態と聞きましたが、復活したのデスネ！			お久しぶりデス、先生！昏睡状態と聞きましたが、復活したのデスネ！			自己流の捜査							
あ、歩く死体だーーーッ！			あ、歩く死体だーーーッ！			自己流の捜査							
はじめまして、私はヒルディブランド先生がザナラーンで結成した、「ゾンビー紳士団」に所属する者デス。			はじめまして、私はヒルディブランド先生がザナラーンで結成した、「ゾンビー紳士団」に所属する者デス。			自己流の捜査							
そのあなたが、ラノシアを騒がせていた、お野菜集団「マンドラーズ」と、こんなところで何を？			そのあなたが、ラノシアを騒がせていた、お野菜集団「マンドラーズ」と、こんなところで何を？			自己流の捜査							
ご説明するのデ、少しばかり貴重な寿命をクダサイ。			ご説明するのデ、少しばかり貴重な寿命をクダサイ。			自己流の捜査							
あれは、私の頭に蛆がわいた頃のコト……ボズヤ地方に強い腐乱野菜がいるとの噂を耳にし、旅の果てに「ロトンマンドラゴラ」を紳士団にスカウトしたのデス。			あれは、私の頭に蛆がわいた頃のコト……ボズヤ地方に強い腐乱野菜がいるとの噂を耳にし、旅の果てに「ロトンマンドラゴラ」を紳士団にスカウトしたのデス。			自己流の捜査							
すると、彼の同胞が腐りかけていると言うではありませんか。それならばと、マンドラーズも勧誘するため、ラノシアに向かったのデス。			すると、彼の同胞が腐りかけていると言うではありませんか。それならばと、マンドラーズも勧誘するため、ラノシアに向かったのデス。			自己流の捜査							
しかし、そんなときに彼らに一大事ガ……お仲間がUFOに拐われてしまったというのデスヨ！私は微力ながら捜索を手伝うことにしまシタ。			しかし、そんなときに彼らに一大事ガ……お仲間がUFOに拐われてしまったというのデスヨ！私は微力ながら捜索を手伝うことにしまシタ。			自己流の捜査							
そして、『オカルトファン』という雑誌を読んデ、UFOが目撃された、このサベネア島にやってきた次第デス。			そして、『オカルトファン』という雑誌を読んデ、UFOが目撃された、このサベネア島にやってきた次第デス。			自己流の捜査							
弊誌の読者とは、素晴らしい。どうやら、知的好奇心旺盛な死体のようですね。			弊誌の読者とは、素晴らしい。どうやら、知的好奇心旺盛な死体のようですね。			自己流の捜査							
なるほど、マンドラーズ誘拐(アブダクション)事件ということですか。その犯人も見つけなければなりませんな……。			なるほど、マンドラーズ誘拐(アブダクション)事件ということですか。その犯人も見つけなければなりませんな……。			自己流の捜査							
事件が増えて大変です～。			事件が増えて大変です～。			自己流の捜査							
まてよ、それってまさか……			まてよ、それってまさか……			自己流の捜査							
それなら、ボクが収集したかも……			それなら、ボクが収集したかも……			自己流の捜査							
キミたちのトモダチを拐ってしまってごめんね。この星の調査のため、いろんなサンプルを集めていたんだけど、てっきり食べ物だと思ったんだ。			キミたちのトモダチを拐ってしまってごめんね。この星の調査のため、いろんなサンプルを集めていたんだけど、てっきり食べ物だと思ったんだ。			自己流の捜査							
マンドラーズが食べ物というのハ、あながち間違いではありまセンガ……ともかく無事に戻ってきて、彼らも喜んでいるようデス。			マンドラーズが食べ物というのハ、あながち間違いではありまセンガ……ともかく無事に戻ってきて、彼らも喜んでいるようデス。			自己流の捜査							
事件は無事に解決しマシタ。熱帯の湿気で私も腐敗が進んできたのデ、そろそろ、ザナラーンに帰ることにしマス。			事件は無事に解決しマシタ。熱帯の湿気で私も腐敗が進んできたのデ、そろそろ、ザナラーンに帰ることにしマス。			自己流の捜査							
コヨコヨ殿、今回は空振りでしたが、この私が必ず、あなたのお友達を見つけてみせますぞ！			コヨコヨ殿、今回は空振りでしたが、この私が必ず、あなたのお友達を見つけてみせますぞ！			自己流の捜査							
結局、事件屋の勘というのは、チャネリングでも予知能力でもなく、単なる勘だったのですね……。もう、当てずっぽうで捜査するのは限界でしょう。			結局、事件屋の勘というのは、チャネリングでも予知能力でもなく、単なる勘だったのですね……。もう、当てずっぽうで捜査するのは限界でしょう。			自己流の捜査							
それこそ、人をたくさん動員して世界中を探すくらいしないと……。			それこそ、人をたくさん動員して世界中を探すくらいしないと……。			自己流の捜査							
人をたくさん動員……			人をたくさん動員……			自己流の捜査							
そうだ！前みたいに、ヒルディブランドをたくさん複製すればいいんだ！			そうだ！前みたいに、ヒルディブランドをたくさん複製すればいいんだ！			自己流の捜査							
いやいや、それはちょっと……			いやいや、それはちょっと……			自己流の捜査							
ダメだ……複製機能、前から調子悪かったけど、完全に壊れちゃった。今できた1体が最後で、もう作れない。			ダメだ……複製機能、前から調子悪かったけど、完全に壊れちゃった。今できた1体が最後で、もう作れない。			自己流の捜査							
(-複製失敗したヒルディブランド-)えっと……ブラディ……ヒルンド……ですぞ。			(-複製失敗したヒルディブランド-)えっと……ブラディ……ヒルンド……ですぞ。			自己流の捜査							
ブラディヒルンド……様？なんだか、見た目が粗いです～。			ブラディヒルンド……様？なんだか、見た目が粗いです～。			自己流の捜査							
どう見ても失敗作だ……すぐに消去するよ。			どう見ても失敗作だ……すぐに消去するよ。			自己流の捜査							
お待ちください……。			お待ちください……。			自己流の捜査							
この見た目なら、私と見間違われることもありません！捜索はひとりでも多い方がよい……彼にも協力してもらいましょう！			この見た目なら、私と見間違われることもありません！捜索はひとりでも多い方がよい……彼にも協力してもらいましょう！			自己流の捜査							
ブラディヒルンド殿！これから、よろしくお願いしますぞ！			ブラディヒルンド殿！これから、よろしくお願いしますぞ！			自己流の捜査							
は、はい……よろしく……お願いします……ぞ。			は、はい……よろしく……お願いします……ぞ。			自己流の捜査							
ブラディヒルンド様、かくかくしてます～。			ブラディヒルンド様、かくかくしてます～。			自己流の捜査							
複製機能、壊れかけで出力が不安定だったんだ。だから、見た目が粗くなってしまって、性格まで別物になっちゃった。			複製機能、壊れかけで出力が不安定だったんだ。だから、見た目が粗くなってしまって、性格まで別物になっちゃった。			自己流の捜査							
失敗したとはいえ、知性体を複製するとは……異星人の技術は謎に包まれてますね。			失敗したとはいえ、知性体を複製するとは……異星人の技術は謎に包まれてますね。			自己流の捜査							
ハッハッハ、相変わらず我が息子ながら愉快ですなぁ！結構、結構……。			ハッハッハ、相変わらず我が息子ながら愉快ですなぁ！結構、結構……。			自己流の捜査							
ど、どうも……。なにとぞ、よろしくお願いします……ぞ。			ど、どうも……。なにとぞ、よろしくお願いします……ぞ。			自己流の捜査							
崩れた遺跡は父上がすっかり元どおりにしてくれました。それにしても、新たな仲間はとってもチャーミングですなぁ！今後が楽しみですぞ！			崩れた遺跡は父上がすっかり元どおりにしてくれました。それにしても、新たな仲間はとってもチャーミングですなぁ！今後が楽しみですぞ！			自己流の捜査							
そ、そんな……こ、この私がチャーミングだなんて……。			そ、そんな……こ、この私がチャーミングだなんて……。			自己流の捜査							
ブラディヒルンド様、恥ずかしそうです～。照れ屋さんなんですね～。			ブラディヒルンド様、恥ずかしそうです～。照れ屋さんなんですね～。			自己流の捜査							
ラザハンのデリオンは、そわそわしているようだ。			ラザハンのデリオンは、そわそわしているようだ。			謎の犯人							
前回までの冒険録：冒険者はヒルディブランドと共に、コヨコヨの行方不明となった仲間の捜索を開始した。その過程で、ヒルディブランドの珍妙な複製、ブラディヒルンドが誕生。彼の驚異的な計算力によって、ガレマルドに墜落したUFOの破片の発見に至る。そんなとき、ルゲイエの手下にナシュ・マカラッカが拐われる。ヒルディブランドはゴッドベルトと共にルゲイエを撃破し、見事に彼女を救出するのだった。　　　　　　　　　　　　*　*　*デリオンと話し、コヨコヨの取材に協力することになった。ラザハンのカーマ区にいる「ヒルディブランド」と話そう。			前回までの冒険録：冒険者はヒルディブランドと共に、コヨコヨの行方不明となった仲間の捜索を開始した。その過程で、ヒルディブランドの珍妙な複製、ブラディヒルンドが誕生。彼の驚異的な計算力によって、ガレマルドに墜落したUFOの破片の発見に至る。そんなとき、ルゲイエの手下にナシュ・マカラッカが拐われる。ヒルディブランドはゴッドベルトと共にルゲイエを撃破し、見事に彼女を救出するのだった。　　　　　　　　　　　　*　*　*デリオンと話し、コヨコヨの取材に協力することになった。ラザハンのカーマ区にいる「ヒルディブランド」と話そう。			謎の犯人							
コヨコヨが病気になってしまったようだ。仲間の捜索は中断し、皆で薬の素材を集めることになった。サベネア島の微風の浜で「カチャパ」を討伐して「大陸亀の肝」を入手しよう。			コヨコヨが病気になってしまったようだ。仲間の捜索は中断し、皆で薬の素材を集めることになった。サベネア島の微風の浜で「カチャパ」を討伐して「大陸亀の肝」を入手しよう。			謎の犯人							
大陸亀の肝を入手した。ヒルディブランドたちの素材集めを手伝うため、サベネア島のデミールの遺烈郷にいる「ヒルディブランド」と話そう。			大陸亀の肝を入手した。ヒルディブランドたちの素材集めを手伝うため、サベネア島のデミールの遺烈郷にいる「ヒルディブランド」と話そう。			謎の犯人							
ヒルディブランドたちは、素材集めに苦戦していた。近づいてきた胡散臭い男が、ナマガワキタケを用意してくれるという。サベネア島の薫香の丘にある「指定地点」で待機しよう。			ヒルディブランドたちは、素材集めに苦戦していた。近づいてきた胡散臭い男が、ナマガワキタケを用意してくれるという。サベネア島の薫香の丘にある「指定地点」で待機しよう。			謎の犯人							
胡散臭い男に、ナマガワキタケを高額で売りつけられそうになったが、そこに捜査中の星戦士が現れ、男は詐欺容疑で逮捕された。星戦士から押収したナマガワキタケを譲ってもらい、ヴァンフディという新進気鋭の商人の噂を聞いた。薬の素材が揃ったので、カーマ区にいる「ブラディヒルンド」に「大陸亀の肝」を渡そう。			胡散臭い男に、ナマガワキタケを高額で売りつけられそうになったが、そこに捜査中の星戦士が現れ、男は詐欺容疑で逮捕された。星戦士から押収したナマガワキタケを譲ってもらい、ヴァンフディという新進気鋭の商人の噂を聞いた。薬の素材が揃ったので、カーマ区にいる「ブラディヒルンド」に「大陸亀の肝」を渡そう。			謎の犯人							
コヨコヨは調合した薬ですっかり元気になった。そんなところに、またもルゲイエが現れ冒険者が狙われる。なんやかんやでルゲイエは撃破され、空の彼方へと飛んでゆくのだった。コヨコヨの仲間の捜索を再開することになった。デリオンによると仲間とUFOを持ち去ったのは、シャーレアン人だというが、果たして……。			コヨコヨは調合した薬ですっかり元気になった。そんなところに、またもルゲイエが現れ冒険者が狙われる。なんやかんやでルゲイエは撃破され、空の彼方へと飛んでゆくのだった。コヨコヨの仲間の捜索を再開することになった。デリオンによると仲間とUFOを持ち去ったのは、シャーレアン人だというが、果たして……。			謎の犯人							
ヒルディブランドと話す			ヒルディブランドと話す			謎の犯人							
カチャパから大陸亀の肝を入手			カチャパから大陸亀の肝を入手			謎の犯人							
ヒルディブランドと話す			ヒルディブランドと話す			謎の犯人							
指定地点で待機			指定地点で待機			謎の犯人							
ラザハンのブラディヒルンドに大陸亀の肝を渡す			ラザハンのブラディヒルンドに大陸亀の肝を渡す			謎の犯人							
どうも、Forenameさん。また取材に協力していただきたく、お待ちしていたところです。			どうも、Forenameさん。また取材に協力していただきたく、お待ちしていたところです。			謎の犯人							
前回、コヨコヨの仲間のものだという、UFOの破片を発見したのを覚えていますか？			前回、コヨコヨの仲間のものだという、UFOの破片を発見したのを覚えていますか？			謎の犯人							
その破片から、ブラディヒルンドさんが、得意の計算でUFOの破損状況を予測したところ……修理をしない限り飛行は不可能との結果が出たそうです。			その破片から、ブラディヒルンドさんが、得意の計算でUFOの破損状況を予測したところ……修理をしない限り飛行は不可能との結果が出たそうです。			謎の犯人							
ということは、何者かが故障したUFOを持ち去り、コヨコヨの仲間も連れ去られたに違いありません。			ということは、何者かが故障したUFOを持ち去り、コヨコヨの仲間も連れ去られたに違いありません。			謎の犯人							
実は私、その犯人に心当たりがあるんですよ！異星人の痕跡を隠すなんて、彼らの仕業としか考えられない……！			実は私、その犯人に心当たりがあるんですよ！異星人の痕跡を隠すなんて、彼らの仕業としか考えられない……！			謎の犯人							
詳しくは、事件屋さんたちも含めてお話ししたいと思います。皆さん、カーマ区のお宅に滞在しているようですので、さっそく向かいましょう。			詳しくは、事件屋さんたちも含めてお話ししたいと思います。皆さん、カーマ区のお宅に滞在しているようですので、さっそく向かいましょう。			謎の犯人							
冒険者さん、大変です～！			冒険者さん、大変です～！			謎の犯人							
これは、取材どころじゃないかもしれませんね……。			これは、取材どころじゃないかもしれませんね……。			謎の犯人							
こ、困ったことになりました……。			こ、困ったことになりました……。			謎の犯人							
やあ、ナシュさんたちがラザハンに滞在する間、部屋の一角を貸しているんだ。今度は小さな友達が大変そうだけど……無事を祈ってるよ。			やあ、ナシュさんたちがラザハンに滞在する間、部屋の一角を貸しているんだ。今度は小さな友達が大変そうだけど……無事を祈ってるよ。			謎の犯人							
これは、Forename殿！一大事ですぞ、コヨコヨ殿が倒れてしまったのです……！			これは、Forename殿！一大事ですぞ、コヨコヨ殿が倒れてしまったのです……！			謎の犯人							
コヨコヨさん、心配です～。			コヨコヨさん、心配です～。			謎の犯人							
うーむ、先日、寒いガレマルドを連れ歩いたことで、風邪でも引いてしまったのでしょうか。			うーむ、先日、寒いガレマルドを連れ歩いたことで、風邪でも引いてしまったのでしょうか。			謎の犯人							
彼は異星人ですよ！想像もつかない未知の病気なのかもしれません……！			彼は異星人ですよ！想像もつかない未知の病気なのかもしれません……！			謎の犯人							
ナシュのお薬で治してあげます～！			ナシュのお薬で治してあげます～！			謎の犯人							
ナシュ、それではお部屋ごと吹き飛んでしまいますぞ！早くしまいなさい！			ナシュ、それではお部屋ごと吹き飛んでしまいますぞ！早くしまいなさい！			謎の犯人							
あ、あのう……よろしいでしょうか？実は私、複製される際に欠けた知識の一部を、UFOのデータから補われているんです。			あ、あのう……よろしいでしょうか？実は私、複製される際に欠けた知識の一部を、UFOのデータから補われているんです。			謎の犯人							
ですから、コヨコヨさんの身体構造も把握してまして……この症状も分析できると思います。			ですから、コヨコヨさんの身体構造も把握してまして……この症状も分析できると思います。			謎の犯人							
なるほど、あの驚異的な計算能力は、そこからきているのか……。			なるほど、あの驚異的な計算能力は、そこからきているのか……。			謎の犯人							
出ました！コヨコヨさんは……風邪を引いてます！			出ました！コヨコヨさんは……風邪を引いてます！			謎の犯人							
そ、そんなバカな……。			そ、そんなバカな……。			謎の犯人							
