ヴォロク連王宮のエレンヴィルは、冒険者たちを待っていたようだ。			ヴォロク連王宮のエレンヴィルは、冒険者たちを待っていたようだ。			継承の儀							
どうだ、うちの王子様もなかなかやるだろ？			どうだ、うちの王子様もなかなかやるだろ？			最強のトラルヴィドラール							
ヴァリガルマンダほどの存在が目覚めて、目立った被害もなく済んだのは僥倖でしたね。			ヴァリガルマンダほどの存在が目覚めて、目立った被害もなく済んだのは僥倖でしたね。			最強のトラルヴィドラール							
その様子だと、本当に倒してきたみたいだな。ここまで来れば、大げさに驚きはしないが。			その様子だと、本当に倒してきたみたいだな。ここまで来れば、大げさに驚きはしないが。			最強のトラルヴィドラール							
ゾラージャ王子は戻ってくるなり、サレージャを連れて姿を消した。馴れ合うつもりはない、という意思表示なのかもな。			ゾラージャ王子は戻ってくるなり、サレージャを連れて姿を消した。馴れ合うつもりはない、という意思表示なのかもな。			最強のトラルヴィドラール							
ま、ゾラージャ兄さんらしいぜ。			ま、ゾラージャ兄さんらしいぜ。			最強のトラルヴィドラール							
先に行った、と言えば……ヴァリガルマンダ覚醒を企てた、バクージャジャもだよな。アタシらを足止めしてる間に、どこまで先行してるやらだ。			先に行った、と言えば……ヴァリガルマンダ覚醒を企てた、バクージャジャもだよな。アタシらを足止めしてる間に、どこまで先行してるやらだ。			最強のトラルヴィドラール							
まったくあの野郎は、どこまで卑怯なんだ……！もしもアタシらがヴァリガルマンダを倒せなかったら、オルコ・パチャどころか、トラル大陸中に被害が出てたはずだぞ！			まったくあの野郎は、どこまで卑怯なんだ……！もしもアタシらがヴァリガルマンダを倒せなかったら、オルコ・パチャどころか、トラル大陸中に被害が出てたはずだぞ！			最強のトラルヴィドラール							
やっぱり、バクージャジャを王位に就けるわけにはいかねぇ。絶対に追いついて、秘石を奪い返してやる！			やっぱり、バクージャジャを王位に就けるわけにはいかねぇ。絶対に追いついて、秘石を奪い返してやる！			最強のトラルヴィドラール							
シェシェネ青燐泉のイヤーテは、思い出そうとしているようだ。			シェシェネ青燐泉のイヤーテは、思い出そうとしているようだ。			トライヨラが好きだから							
イヤーテと話す			イヤーテと話す			トライヨラが好きだから							
指定地点で見渡し、ブレイジング・セルリックアナラが現れたら討伐して高純度クリスタルを入手			指定地点で見渡し、ブレイジング・セルリックアナラが現れたら討伐して高純度クリスタルを入手			トライヨラが好きだから							
指定地点で再度見渡し、ブレイジング・セルリックアナラが現れたら討伐して高純度クリスタルを入手			指定地点で再度見渡し、ブレイジング・セルリックアナラが現れたら討伐して高純度クリスタルを入手			トライヨラが好きだから							
イヤーテに高純度クリスタルを渡す			イヤーテに高純度クリスタルを渡す			トライヨラが好きだから							
ウクラマトと話す			ウクラマトと話す			トライヨラが好きだから							
ワーリカと話す			ワーリカと話す			トライヨラが好きだから							
さて……記憶を引っ張りだしてこなくちゃな。オレの経験が役に立つなら嬉しいよ。			さて……記憶を引っ張りだしてこなくちゃな。オレの経験が役に立つなら嬉しいよ。			トライヨラが好きだから							
シェンダさんに言われた素材を確認しているの。列車の改造、頑張りましょうね！			シェンダさんに言われた素材を確認しているの。列車の改造、頑張りましょうね！			トライヨラが好きだから							
ガーロンド・アイアンワークスのみんなが居たら、空飛ぶ武装列車でも作りかねないわよね。まあ、今から彼らを呼ぶ時間はないんだけどさ。			ガーロンド・アイアンワークスのみんなが居たら、空飛ぶ武装列車でも作りかねないわよね。まあ、今から彼らを呼ぶ時間はないんだけどさ。			トライヨラが好きだから							
……今のところ、敵に動きはないようだ。何かあればすぐに知らせる。			……今のところ、敵に動きはないようだ。何かあればすぐに知らせる。			トライヨラが好きだから							
ほんとありがとう！火属性の高純度クリスタルの件、「イヤーテ」さんに相談してみて！			ほんとありがとう！火属性の高純度クリスタルの件、「イヤーテ」さんに相談してみて！			トライヨラが好きだから							
そうそう、思い出した！			そうそう、思い出した！			トライヨラが好きだから							
この町を出て南の方に現れる「セルリックアナラ」って奴が、火属性のクリスタルを体内に溜め込む習性があるって、聞いたことがあるよ。			この町を出て南の方に現れる「セルリックアナラ」って奴が、火属性のクリスタルを体内に溜め込む習性があるって、聞いたことがあるよ。			トライヨラが好きだから							
ただ高純度となると、それなりに長命で身体も大きな個体を狙わないと……。かなり手強い相手だけど……あんたなら心配いらないか！			ただ高純度となると、それなりに長命で身体も大きな個体を狙わないと……。かなり手強い相手だけど……あんたなら心配いらないか！			トライヨラが好きだから							
私が案内するから、魔物を倒す役目はお願いね。腕っぷしが強いところ見せてよ！			私が案内するから、魔物を倒す役目はお願いね。腕っぷしが強いところ見せてよ！			トライヨラが好きだから							
この辺りって、青燐水が埋まってるからなのか、火属性の力が強い魔物が湧くことがあるの。			この辺りって、青燐水が埋まってるからなのか、火属性の力が強い魔物が湧くことがあるの。			トライヨラが好きだから							
ただ、群れを率いるような長命の個体となると、なかなか出会えないから……			ただ、群れを率いるような長命の個体となると、なかなか出会えないから……			トライヨラが好きだから							
まずは、通常の個体を倒してみて。そうすれば、親玉が怒って姿を現すと思うから……！			まずは、通常の個体を倒してみて。そうすれば、親玉が怒って姿を現すと思うから……！			トライヨラが好きだから							
おお、頼もしいねぇ！じゃあ、私は行商人がうっかり近づかないように見張ってるから、「ブレイジング・セルリックアナラ」の討伐よろしくね！			おお、頼もしいねぇ！じゃあ、私は行商人がうっかり近づかないように見張ってるから、「ブレイジング・セルリックアナラ」の討伐よろしくね！			トライヨラが好きだから							
通常個体を倒せば、親玉が現れるはずだよ。がんばってね！			通常個体を倒せば、親玉が現れるはずだよ。がんばってね！			トライヨラが好きだから							
この辺りには、対象の魔物はいないようだ……。もう少し南の方へ行ってみよう。			この辺りには、対象の魔物はいないようだ……。もう少し南の方へ行ってみよう。			トライヨラが好きだから							
親玉らしき大型個体が襲い掛かってきた！			親玉らしき大型個体が襲い掛かってきた！			トライヨラが好きだから							
うわあ、あっという間に倒しちゃったね！ほんとにすごい人なんだ……！			うわあ、あっという間に倒しちゃったね！ほんとにすごい人なんだ……！			トライヨラが好きだから							
高純度クリスタルはシェンダに渡せばいいんだよね？それなら、私が渡しておくよ！			高純度クリスタルはシェンダに渡せばいいんだよね？それなら、私が渡しておくよ！			トライヨラが好きだから							
いやあ、シャトナ族の狩人たちでも、あそこまで手際よく倒せないんじゃないかな。			いやあ、シャトナ族の狩人たちでも、あそこまで手際よく倒せないんじゃないかな。			トライヨラが好きだから							
……ありがとね。このことだけじゃなくて、私たちのためにいろいろしてくれてさ。			……ありがとね。このことだけじゃなくて、私たちのためにいろいろしてくれてさ。			トライヨラが好きだから							
聞いたよ、ドームに乗り込んでいくんでしょ？本当に……あんたたちには頭が上がらないよ。			聞いたよ、ドームに乗り込んでいくんでしょ？本当に……あんたたちには頭が上がらないよ。			トライヨラが好きだから							
それから、私が言うのもなんだけど……エレネッシパのこと……よろしくね！			それから、私が言うのもなんだけど……エレネッシパのこと……よろしくね！			トライヨラが好きだから							
さて、それじゃあ後は私に任せて！さっきウクラマト様が駅に向かうのが見えたから、合流してあげるといいんじゃないかな！			さて、それじゃあ後は私に任せて！さっきウクラマト様が駅に向かうのが見えたから、合流してあげるといいんじゃないかな！			トライヨラが好きだから							
シェンダから聞いたぜ、高純度クリスタルの調達に行ってくれたんだって？ありがとよ！			シェンダから聞いたぜ、高純度クリスタルの調達に行ってくれたんだって？ありがとよ！			トライヨラが好きだから							
アタシの方も、助っ人を募集してきたところだ。誰が駆けつけてくれるかは、来てのお楽しみだな！			アタシの方も、助っ人を募集してきたところだ。誰が駆けつけてくれるかは、来てのお楽しみだな！			トライヨラが好きだから							
こっちも、準備は順調にいってる。あとはとにかく、人手がそろえばって感じだな。			こっちも、準備は順調にいってる。あとはとにかく、人手がそろえばって感じだな。			トライヨラが好きだから							
正直、故郷のことを考えると気が気じゃないが……今ばかりは待つしかない。			正直、故郷のことを考えると気が気じゃないが……今ばかりは待つしかない。			トライヨラが好きだから							
なあ、エレンヴィル……お前のおふくろも、必ず見つけだすからな。			なあ、エレンヴィル……お前のおふくろも、必ず見つけだすからな。			トライヨラが好きだから							
カフキワとは、アタシが小さいころに会ったきりだけど、80年前にオヤジと一緒に旅したときの話とか、いろいろ聞きてぇしよ！			カフキワとは、アタシが小さいころに会ったきりだけど、80年前にオヤジと一緒に旅したときの話とか、いろいろ聞きてぇしよ！			トライヨラが好きだから							
ふっ……きっと、1聞けば100は答えが返ってくる。おふくろはそんな奴だから、長話は覚悟しておけよ。			ふっ……きっと、1聞けば100は答えが返ってくる。おふくろはそんな奴だから、長話は覚悟しておけよ。			トライヨラが好きだから							
ああ、そいつは楽しみだ！			ああ、そいつは楽しみだ！			トライヨラが好きだから							
それじゃあ、手伝いに戻ろうぜ！助っ人たちがそろったら、本格的に作業開始だ！			それじゃあ、手伝いに戻ろうぜ！助っ人たちがそろったら、本格的に作業開始だ！			トライヨラが好きだから							
遠いとこまでありがとな。お前らが来てくれて大助かりだぜ！			遠いとこまでありがとな。お前らが来てくれて大助かりだぜ！			トライヨラが好きだから							
トライヨラ襲撃の一件があってから、何か力になれることはないかと思案していたのです。			トライヨラ襲撃の一件があってから、何か力になれることはないかと思案していたのです。			トライヨラが好きだから							
そんなときにお声がけいただいたものですから、まさしく渡りに船でしたよ。			そんなときにお声がけいただいたものですから、まさしく渡りに船でしたよ。			トライヨラが好きだから							
ういうい！平和を取り戻して、みんなに飲んでもらいたいからね！美味しいメスカルをさ！			ういうい！平和を取り戻して、みんなに飲んでもらいたいからね！美味しいメスカルをさ！			トライヨラが好きだから							
そのためにできることなら、何だってするよ！			そのためにできることなら、何だってするよ！			トライヨラが好きだから							
王都の方も、先の襲撃の痛手で人手が要るとのことでしたので、そちらは、祭司長グーフールーがあたっております。			王都の方も、先の襲撃の痛手で人手が要るとのことでしたので、そちらは、祭司長グーフールーがあたっております。			トライヨラが好きだから							
ありがてえ……！			ありがてえ……！			トライヨラが好きだから							
こんなにも頼もしい奴らが協力してくれてるんだ。百人力どころか、百万人力だぜ！			こんなにも頼もしい奴らが協力してくれてるんだ。百人力どころか、百万人力だぜ！			トライヨラが好きだから							
よっしゃ、アタシもこうしちゃいられねぇな！みんな、もうひと踏ん張りだ！			よっしゃ、アタシもこうしちゃいられねぇな！みんな、もうひと踏ん張りだ！			トライヨラが好きだから							
……俺も、行ってくる！			……俺も、行ってくる！			トライヨラが好きだから							
よーし、作業は一旦ここまでだ！みんなありがとう！			よーし、作業は一旦ここまでだ！みんなありがとう！			トライヨラが好きだから							
車体に取り付ける装甲や砲座の準備は完了したし、あとはあたしたちに任せて、みんなは休んどくれ。			車体に取り付ける装甲や砲座の準備は完了したし、あとはあたしたちに任せて、みんなは休んどくれ。			トライヨラが好きだから							
アタシからも改めて礼を言わせてくれ。呼びかけに応じてくれて、本当に感謝してるぜ。			アタシからも改めて礼を言わせてくれ。呼びかけに応じてくれて、本当に感謝してるぜ。			トライヨラが好きだから							
おう、いいってことよ！俺様の助けが必要な時は、いつでも呼んでくれ！			おう、いいってことよ！俺様の助けが必要な時は、いつでも呼んでくれ！			トライヨラが好きだから							
なに、自国の危機とあらば当然のことです。			なに、自国の危機とあらば当然のことです。			トライヨラが好きだから							
ういうい！みんな、大好きなんだよ！この国と、武王ウクラマトのことが！			ういうい！みんな、大好きなんだよ！この国と、武王ウクラマトのことが！			トライヨラが好きだから							
みんなの想いに、絶対に応えてみせるぜ。アタシも、トライヨラとみんなのことが大好きだからな！			みんなの想いに、絶対に応えてみせるぜ。アタシも、トライヨラとみんなのことが大好きだからな！			トライヨラが好きだから							
おつかれさん。こっちも一段落したところだ。			おつかれさん。こっちも一段落したところだ。			トライヨラが好きだから							
お前さんたちも、手伝いありがとよ！おかげでだいぶ捗ったぜ。			お前さんたちも、手伝いありがとよ！おかげでだいぶ捗ったぜ。			トライヨラが好きだから							
大半の助っ人にも帰ってもらったし、あとの作業は俺たちに任せて、お前さんも少し休んでくれよな。			大半の助っ人にも帰ってもらったし、あとの作業は俺たちに任せて、お前さんも少し休んでくれよな。			トライヨラが好きだから							
ネオンスタインのタッソスは、背後の扉を護っているようだ。			ネオンスタインのタッソスは、背後の扉を護っているようだ。			エナジードリンクでガウガウ元気に							
タッソスと話し、オブリビオンの本拠地「バックルーム」に入ることができた。バックルームの「ゲノルト」と話そう。一度外に出た場合は、ネオンスタインの「タッソス」に話しかけると案内してくれるようだ。			タッソスと話し、オブリビオンの本拠地「バックルーム」に入ることができた。バックルームの「ゲノルト」と話そう。一度外に出た場合は、ネオンスタインの「タッソス」に話しかけると案内してくれるようだ。			エナジードリンクでガウガウ元気に							
ゲノルトと話した。ソリューション・ナインのトゥルービューにいる「フィロモン」と話そう。			ゲノルトと話した。ソリューション・ナインのトゥルービューにいる「フィロモン」と話そう。			エナジードリンクでガウガウ元気に							
フィロモンと話した。トゥルービューの「フィロモン」に「ドリンク引換券」を渡そう。			フィロモンと話した。トゥルービューの「フィロモン」に「ドリンク引換券」を渡そう。			エナジードリンクでガウガウ元気に							
フィロモンからエナジードリンクを受け取った。トゥルービューのフィロモンの前で、「初心者用のエナジードリンク」を飲み干そう。			フィロモンからエナジードリンクを受け取った。トゥルービューのフィロモンの前で、「初心者用のエナジードリンク」を飲み干そう。			エナジードリンクでガウガウ元気に							
エナジードリンクを飲み干した。バックルームの「ゲノルト」に「ゲノルト用のエナジードリンク」を渡そう。			エナジードリンクを飲み干した。バックルームの「ゲノルト」に「ゲノルト用のエナジードリンク」を渡そう。			エナジードリンクでガウガウ元気に							
ゲノルトにエナジードリンクを渡した。バックルームの「ウクラマト」と話そう。			ゲノルトにエナジードリンクを渡した。バックルームの「ウクラマト」と話そう。			エナジードリンクでガウガウ元気に							
ウクラマトと話した。話を聞いてしまったグルージャを追いかけなければ……。			ウクラマトと話した。話を聞いてしまったグルージャを追いかけなければ……。			エナジードリンクでガウガウ元気に							
ゲノルトと話す			ゲノルトと話す			エナジードリンクでガウガウ元気に							
フィロモンと話す			フィロモンと話す			エナジードリンクでガウガウ元気に							
フィロモンにドリンク引換券を渡す			フィロモンにドリンク引換券を渡す			エナジードリンクでガウガウ元気に							
フィロモンの前で、初心者用のエナジードリンクを使用			フィロモンの前で、初心者用のエナジードリンクを使用			エナジードリンクでガウガウ元気に							
ゲノルトにゲノルト用のエナジードリンクを渡す			ゲノルトにゲノルト用のエナジードリンクを渡す			エナジードリンクでガウガウ元気に							
ウクラマトと話す			ウクラマトと話す			エナジードリンクでガウガウ元気に							
…………。			…………。			エナジードリンクでガウガウ元気に							
とりあえず話しかけてみようぜ……。ここの連中、カフキワのこと知ってるみてぇだしな。			とりあえず話しかけてみようぜ……。ここの連中、カフキワのこと知ってるみてぇだしな。			エナジードリンクでガウガウ元気に							
普段は立ち入り禁止だが、カフキワさんから話は聞いている。			普段は立ち入り禁止だが、カフキワさんから話は聞いている。			エナジードリンクでガウガウ元気に							
通路に出たら、奥の部屋へ進め。			通路に出たら、奥の部屋へ進め。			エナジードリンクでガウガウ元気に							
よっしゃ、行こう！もう何が来ても驚かねぇぜ！			よっしゃ、行こう！もう何が来ても驚かねぇぜ！			エナジードリンクでガウガウ元気に							
アタシが攻撃に専念するときの動き方なんだが……前に出すぎない方がいいか？			アタシが攻撃に専念するときの動き方なんだが……前に出すぎない方がいいか？			エナジードリンクでガウガウ元気に							
そうね、なるべく足並みをそろえてほしいわ。敵に囲まれたくなかったらね。			そうね、なるべく足並みをそろえてほしいわ。敵に囲まれたくなかったらね。			エナジードリンクでガウガウ元気に							
この部屋、元プリザベーションの優秀な技師が設計したらしいよ。だからこんなに機械だらけになってるのさ。			この部屋、元プリザベーションの優秀な技師が設計したらしいよ。だからこんなに機械だらけになってるのさ。			エナジードリンクでガウガウ元気に							
……俺を恨むなよ。			……俺を恨むなよ。			エナジードリンクでガウガウ元気に							
…………！			…………！			エナジードリンクでガウガウ元気に							
暑苦しいところを見せちまったな。たまに、ああやってパッションが溢れちまうンだよ。			暑苦しいところを見せちまったな。たまに、ああやってパッションが溢れちまうンだよ。			エナジードリンクでガウガウ元気に							
しかも、テメェと目があったときに感じたンだ、デジャヴュっていうか、運命みてぇな感覚をよォ……。本当に初対面だよな？			しかも、テメェと目があったときに感じたンだ、デジャヴュっていうか、運命みてぇな感覚をよォ……。本当に初対面だよな？			エナジードリンクでガウガウ元気に							
ま、それはともかく、さっそくだがテメェに頼みがある。			ま、それはともかく、さっそくだがテメェに頼みがある。			エナジードリンクでガウガウ元気に							
オレ、実はいま二徹目でよォ……さすがに限界が近くて倒れちまいそうなンだ。			オレ、実はいま二徹目でよォ……さすがに限界が近くて倒れちまいそうなンだ。			エナジードリンクでガウガウ元気に							
もちろん仕事はするぜ？だけどそのためには、必要なンだよ、オレが愛飲してるエナジードリンクがな……。			もちろん仕事はするぜ？だけどそのためには、必要なンだよ、オレが愛飲してるエナジードリンクがな……。			エナジードリンクでガウガウ元気に							
ほれ、引換券だ。オレなりの歓迎のキモチってことで、テメェの分も渡したぜ。			ほれ、引換券だ。オレなりの歓迎のキモチってことで、テメェの分も渡したぜ。			エナジードリンクでガウガウ元気に							
トゥルービューにいる「フィロモン」って露天商に、その「ドリンク引換券」を渡して、交換してきてくれや！販売機じゃ売ってない、とびきりのブツとな！			トゥルービューにいる「フィロモン」って露天商に、その「ドリンク引換券」を渡して、交換してきてくれや！販売機じゃ売ってない、とびきりのブツとな！			エナジードリンクでガウガウ元気に							
あああ、くそおおおお！イメージはあるってのに、形にできねぇえええ……！			あああ、くそおおおお！イメージはあるってのに、形にできねぇえええ……！			エナジードリンクでガウガウ元気に							
いらっしゃい、何にする？			いらっしゃい、何にする？			エナジードリンクでガウガウ元気に							
は……販売機で売ってねぇエナジードリンクだあ！？そんなやべぇモン、うちじゃ扱ってねぇよ！			は……販売機で売ってねぇエナジードリンクだあ！？そんなやべぇモン、うちじゃ扱ってねぇよ！			エナジードリンクでガウガウ元気に							
帰った、帰った……！			帰った、帰った……！			エナジードリンクでガウガウ元気に							
……ただし、例の紙切れを持ってるなら、こっそり見せてみろ。怪しまれないように素早く、な……。			……ただし、例の紙切れを持ってるなら、こっそり見せてみろ。怪しまれないように素早く、な……。			エナジードリンクでガウガウ元気に							
ほう、ゲノルトの旦那の使いだったのか。旦那用とお前さんのぶん、それぞれ1本ずつだな？			ほう、ゲノルトの旦那の使いだったのか。旦那用とお前さんのぶん、それぞれ1本ずつだな？			エナジードリンクでガウガウ元気に							
ほらよ。こっちが旦那用で、もうひとつが初心者用だ。			ほらよ。こっちが旦那用で、もうひとつが初心者用だ。			エナジードリンクでガウガウ元気に							
別に違法品ってわけじゃねぇから安心しな。ただ、ネクサスアーケードの方を牛耳ってるロディナ商会に、こいつの存在が知られるのは、いろいろマズくてな。			別に違法品ってわけじゃねぇから安心しな。ただ、ネクサスアーケードの方を牛耳ってるロディナ商会に、こいつの存在が知られるのは、いろいろマズくてな。			エナジードリンクでガウガウ元気に							
そんなわけで、飲むつもりなら俺の目の前で飲み干してくれ。あんたには「初心者用のエナジードリンク」を渡したが、それでも効きすぎることがあるし、念の為にな……。			そんなわけで、飲むつもりなら俺の目の前で飲み干してくれ。あんたには「初心者用のエナジードリンク」を渡したが、それでも効きすぎることがあるし、念の為にな……。			エナジードリンクでガウガウ元気に							
飲むつもりなら、俺の目の前で飲み干してくれ。あんたには「初心者用のエナジードリンク」を渡したが、それでも効きすぎることがあるし、念の為にな……。			飲むつもりなら、俺の目の前で飲み干してくれ。あんたには「初心者用のエナジードリンク」を渡したが、それでも効きすぎることがあるし、念の為にな……。			エナジードリンクでガウガウ元気に							
フィロモンの目の前で、「初心者用のエナジードリンク」を飲む必要がありそうだ……。			フィロモンの目の前で、「初心者用のエナジードリンク」を飲む必要がありそうだ……。			エナジードリンクでガウガウ元気に							
初心者用のエナジードリンクを、一気に飲み干した……！			初心者用のエナジードリンクを、一気に飲み干した……！			エナジードリンクでガウガウ元気に							
おっ、いい飲みっぷりだ！			おっ、いい飲みっぷりだ！			エナジードリンクでガウガウ元気に							
じきに心臓の鼓動が速まって、目が冴え渡ってくるはずだぜ。そして、身体の内側からエナジーが湧き上がるような、謎めいた感覚に包まれるんだ……！			じきに心臓の鼓動が速まって、目が冴え渡ってくるはずだぜ。そして、身体の内側からエナジーが湧き上がるような、謎めいた感覚に包まれるんだ……！			エナジードリンクでガウガウ元気に							
まるで、体中から七色のエナジーが溢れ出すかのようになぁ！			まるで、体中から七色のエナジーが溢れ出すかのようになぁ！			エナジードリンクでガウガウ元気に							
ゲノルトの旦那にも、そいつを渡してやんな……！今か今かと待ちわびてるところだろうからよ。			ゲノルトの旦那にも、そいつを渡してやんな……！今か今かと待ちわびてるところだろうからよ。			エナジードリンクでガウガウ元気に							
もう用事は済んだのか？アタシはレギュレーターについて、おさらいしてるところだぜ！			もう用事は済んだのか？アタシはレギュレーターについて、おさらいしてるところだぜ！			エナジードリンクでガウガウ元気に							
どうだい、個性的で愉快な仲間たちだろう？ゲノルトもシェールも、あたしが声をかけて組織に入れたんだよ。			どうだい、個性的で愉快な仲間たちだろう？ゲノルトもシェールも、あたしが声をかけて組織に入れたんだよ。			エナジードリンクでガウガウ元気に							
おかえりなさい。……って、なんか目がギラギラしてない？			おかえりなさい。……って、なんか目がギラギラしてない？			エナジードリンクでガウガウ元気に							
ゲノルトとかいう奴、やけに仕事熱心なんだな……。さっきから、唸ったり叫んだり忙しそうだ。			ゲノルトとかいう奴、やけに仕事熱心なんだな……。さっきから、唸ったり叫んだり忙しそうだ。			エナジードリンクでガウガウ元気に							
おお、手に入れてきてくれたか！頼む……そいつをオレにくれ……！			おお、手に入れてきてくれたか！頼む……そいつをオレにくれ……！			エナジードリンクでガウガウ元気に							
くうぅぅぅぅ！！これよ、これこれ、二徹した頭に効くぜェ……！			くうぅぅぅぅ！！これよ、これこれ、二徹した頭に効くぜェ……！			エナジードリンクでガウガウ元気に							
こいつを飲むと、オレの中の内なる何かが目覚める気がすンだよ。ガウガウ、ガウガウガウガウ……ってな！			こいつを飲むと、オレの中の内なる何かが目覚める気がすンだよ。ガウガウ、ガウガウガウガウ……ってな！			エナジードリンクでガウガウ元気に							
しょっぱなからお使いを頼んじまって悪かった！だが、オレはこいつが切れると集中力が続かなくってな……山積みの仕事が片付かねぇンだよ！			しょっぱなからお使いを頼んじまって悪かった！だが、オレはこいつが切れると集中力が続かなくってな……山積みの仕事が片付かねぇンだよ！			エナジードリンクでガウガウ元気に							
仲間の武器の改良に、ハッキング用のデバイスの修理……張り切って仕事してやンぜぇぇぇ！！			仲間の武器の改良に、ハッキング用のデバイスの修理……張り切って仕事してやンぜぇぇぇ！！			エナジードリンクでガウガウ元気に							
ダッハッハ！！ギンッギンに冴えてきたぜーーー！！			ダッハッハ！！ギンッギンに冴えてきたぜーーー！！			エナジードリンクでガウガウ元気に							
メインターミナル前のウクラマトは、悔しさを滲ませている。			メインターミナル前のウクラマトは、悔しさを滲ませている。			永久に生きる者たち							
最初に出会った永久人、コンスタンシを探すことにした。リビング・メモリーのレイノード・メモリスにある「指定地点」で見渡してみよう。			最初に出会った永久人、コンスタンシを探すことにした。リビング・メモリーのレイノード・メモリスにある「指定地点」で見渡してみよう。			永久に生きる者たち							
永久人のカフキワと会うことができた。レイノード・メモリスにいる「カナルタウンの警備員」と話そう。			永久人のカフキワと会うことができた。レイノード・メモリスにいる「カナルタウンの警備員」と話そう。			永久に生きる者たち							
ジップラインでカナルタウンに渡った。リビング・メモリーの遊水通りにいる「カフキワ」と話そう。			ジップラインでカナルタウンに渡った。リビング・メモリーの遊水通りにいる「カフキワ」と話そう。			永久に生きる者たち							
カフキワと話し、永久人を消してほしいという彼女の願いを引き受けることにした。遊水通りにいる「永久人たち」と話そう。			カフキワと話し、永久人を消してほしいという彼女の願いを引き受けることにした。遊水通りにいる「永久人たち」と話そう。			永久に生きる者たち							
永久人たちと話した。遊水通りにいる「エラスタス」という店員と話そう。			永久人たちと話した。遊水通りにいる「エラスタス」という店員と話そう。			永久に生きる者たち							
エラスタスから、永久人用のポップコーンを試食させてもらった。遊水通りにいる「グ・ラハ・ティア」と話そう。			エラスタスから、永久人用のポップコーンを試食させてもらった。遊水通りにいる「グ・ラハ・ティア」と話そう。			永久に生きる者たち							
グ・ラハ・ティアと話した。彼が見かけたという、困っている永久人を探して助けてあげよう。			グ・ラハ・ティアと話した。彼が見かけたという、困っている永久人を探して助けてあげよう。			永久に生きる者たち							
指定地点で見渡す			指定地点で見渡す			永久に生きる者たち							
カナルタウンの警備員と話す			カナルタウンの警備員と話す			永久に生きる者たち							
カフキワと話す			カフキワと話す			永久に生きる者たち							
永久人たちと話す			永久人たちと話す			永久に生きる者たち							
エラスタスと話す			エラスタスと話す			永久に生きる者たち							
グ・ラハ・ティアと話す			グ・ラハ・ティアと話す			永久に生きる者たち							
彼女に悪意がないのはわかってる……だけど、これだけは決して譲れないわ……。			彼女に悪意がないのはわかってる……だけど、これだけは決して譲れないわ……。			永久に生きる者たち							
永久人という存在そのものが、最初から破綻しているんだ……。スフェーンは、そんな立ち行かない命を背負いながら、消滅に抗おうとしてきたのか……。			永久人という存在そのものが、最初から破綻しているんだ……。スフェーンは、そんな立ち行かない命を背負いながら、消滅に抗おうとしてきたのか……。			永久に生きる者たち							
彼女が護ろうとしてる記憶は、自然の理から外れたものだ。だが、永久人たちはたしかにここに存在していて、スフェーンだけは、彼らの命を本物だと肯定している……。			彼女が護ろうとしてる記憶は、自然の理から外れたものだ。だが、永久人たちはたしかにここに存在していて、スフェーンだけは、彼らの命を本物だと肯定している……。			永久に生きる者たち							
スフェーンは消えちまったし、これ以上ここにいてもしょうがねぇ。ひとまずレイノード・メモリスに戻ろうぜ。			スフェーンは消えちまったし、これ以上ここにいてもしょうがねぇ。ひとまずレイノード・メモリスに戻ろうぜ。			永久に生きる者たち							
さっきのコンスタンシって奴、スフェーンが眠るとか何とかって言ってただろ？あいつを探して、もう少し詳しく聞いてみよう。			さっきのコンスタンシって奴、スフェーンが眠るとか何とかって言ってただろ？あいつを探して、もう少し詳しく聞いてみよう。			永久に生きる者たち							
コンスタンシさん、見当たらないわね……。どこか別の場所に行っちゃったのかしら。			コンスタンシさん、見当たらないわね……。どこか別の場所に行っちゃったのかしら。			永久に生きる者たち							
うーん……。あの人じゃ、ないよな……？			うーん……。あの人じゃ、ないよな……？			永久に生きる者たち							
近くにはいないみたいだな。			近くにはいないみたいだな。			永久に生きる者たち							
マジかよ、いなくなっちまった！？			マジかよ、いなくなっちまった！？			永久に生きる者たち							
見当たらねぇなー……。			見当たらねぇなー……。			永久に生きる者たち							
この施設のスタッフって言ってたし、別の永久人の案内でもしに行ったのかしら？			この施設のスタッフって言ってたし、別の永久人の案内でもしに行ったのかしら？			永久に生きる者たち							
(-聞き覚えのある声-)誰か探してるのかい？			(-聞き覚えのある声-)誰か探してるのかい？			永久に生きる者たち							
そうなんだよ。さっきここにいたコンスタンシって奴に話を……			そうなんだよ。さっきここにいたコンスタンシって奴に話を……			永久に生きる者たち							
って……え！？？			って……え！？？			永久に生きる者たち							
(-聞き覚えのある声-)久しぶり……ってほどでもないか。あんたたちなら来てくれるって信じてたよ。			(-聞き覚えのある声-)久しぶり……ってほどでもないか。あんたたちなら来てくれるって信じてたよ。			永久に生きる者たち							
その声……！			その声……！			永久に生きる者たち							
もしかして、カフキワか！？			もしかして、カフキワか！？			永久に生きる者たち							
ああ、この姿で会うのは初めてだったっけ。いかにも、あたしはカフキワさ！			ああ、この姿で会うのは初めてだったっけ。いかにも、あたしはカフキワさ！			永久に生きる者たち							
丸っこい機械は世を忍ぶ仮の姿、その正体は、シャトナ族きっての美女……！			丸っこい機械は世を忍ぶ仮の姿、その正体は、シャトナ族きっての美女……！			永久に生きる者たち							
