木工師ギルドのベアティヌは、相談したいことがあるようだ。			木工師ギルドのベアティヌは、相談したいことがあるようだ。			新人木工師、チェミ・ジンジャル！							
さあ、「双蛇党」統合司令部にいる「ゲイルハード」に届けてあげてください。必ず喜んでくれるはずです……！			さあ、「双蛇党」統合司令部にいる「ゲイルハード」に届けてあげてください。必ず喜んでくれるはずです……！			戦いへの備え							
おお、Forenameだな。頼んでいた「オークロングボウ」はどうだ？			おお、Forenameだな。頼んでいた「オークロングボウ」はどうだ？			戦いへの備え							
ほう……これは素晴らしい！やはり、お前に依頼してよかった。この弓があれば、部下も心強いことだろう。			ほう……これは素晴らしい！やはり、お前に依頼してよかった。この弓があれば、部下も心強いことだろう。			戦いへの備え							
近々また、大規模な遠征に出ることになっていてな、それに向けて、武器や防具を整えているところなのだ。			近々また、大規模な遠征に出ることになっていてな、それに向けて、武器や防具を整えているところなのだ。			戦いへの備え							
ああ、出発の前に、ベアティヌの奴にも顔を見せてやらないと。いつでも会えると思うと、つい後回しになってな……。			ああ、出発の前に、ベアティヌの奴にも顔を見せてやらないと。いつでも会えると思うと、つい後回しになってな……。			戦いへの備え							
あいつは、一風変わった奴だが、木工やギルドのことを何より大事に考えている。			あいつは、一風変わった奴だが、木工やギルドのことを何より大事に考えている。			戦いへの備え							
少しばかり感情的になりやすいせいでギルドマスターが務まるのか、心配していたが、お前のような、いい弟子に恵まれてよかったよ。			少しばかり感情的になりやすいせいでギルドマスターが務まるのか、心配していたが、お前のような、いい弟子に恵まれてよかったよ。			戦いへの備え							
素晴らしい弓をありがとよ。近々、顔を見せにいくと、あいつにも伝えてくれ。			素晴らしい弓をありがとよ。近々、顔を見せにいくと、あいつにも伝えてくれ。			戦いへの備え							
おかえりなさい。無事、品を納めることができたようですね……。			おかえりなさい。無事、品を納めることができたようですね……。			戦いへの備え							
え？　ゲイルハードから伝言……？			え？　ゲイルハードから伝言……？			戦いへの備え							
そうですか……近々、遠征に出ると……。もちろん、誇らしいことですが……実は少し……心配でもあるんです……。			そうですか……近々、遠征に出ると……。もちろん、誇らしいことですが……実は少し……心配でもあるんです……。			戦いへの備え							
彼の腕を疑うわけではありません……。ですが、彼は…………			彼の腕を疑うわけではありません……。ですが、彼は…………			戦いへの備え							
……すみません、やっぱり、なんでもありません。考えすぎてしまうのは、先生の悪いクセですね……。			……すみません、やっぱり、なんでもありません。考えすぎてしまうのは、先生の悪いクセですね……。			戦いへの備え							
あなたの弓が喜んでもらえたようで、なによりです……。この調子で、さらに腕を磨いてくださいね……！			あなたの弓が喜んでもらえたようで、なによりです……。この調子で、さらに腕を磨いてくださいね……！			戦いへの備え							
木工師ギルドのベアティヌは、冒険者に、双蛇党の弓術士からの依頼を任せたいようだ。			木工師ギルドのベアティヌは、冒険者に、双蛇党の弓術士からの依頼を任せたいようだ。			結ばれる想い							
冒険者を指名した依頼が入っているらしい。最高の「ウォルナットケーン」を1本調達し、「木工師ギルド」の「ベアティヌ」に見せよう。			冒険者を指名した依頼が入っているらしい。最高の「ウォルナットケーン」を1本調達し、「木工師ギルド」の「ベアティヌ」に見せよう。			結ばれる想い							
ベアティヌも大満足の出来栄えのようだ。さっそく「ウォルナットケーン」を依頼者に届けに行こう。依頼者は「双蛇党」統合司令部にいる。			ベアティヌも大満足の出来栄えのようだ。さっそく「ウォルナットケーン」を依頼者に届けに行こう。依頼者は「双蛇党」統合司令部にいる。			結ばれる想い							
依頼者のゲイルハードから話を聞いた。「ウォルナットケーン」を「碩老樹瞑想窟」の「ポネット」に届けに行こう。			依頼者のゲイルハードから話を聞いた。「ウォルナットケーン」を「碩老樹瞑想窟」の「ポネット」に届けに行こう。			結ばれる想い							
ポネットにウォルナットケーンを渡した。その出来に感銘を受けたポネットは、グリダニアにとって余所者である冒険者やゲイルハードを認めてくれたようだ。「双蛇党」統合司令部の「ゲイルハード」に報告しよう。			ポネットにウォルナットケーンを渡した。その出来に感銘を受けたポネットは、グリダニアにとって余所者である冒険者やゲイルハードを認めてくれたようだ。「双蛇党」統合司令部の「ゲイルハード」に報告しよう。			結ばれる想い							
ゲイルハードと話をすることができた。ゲイルハードは、素晴らしい杖を作った冒険者と、冒険者を育てたベアティヌへの評価を高めたようだ。「木工師ギルド」に戻り「ベアティヌ」に報告しよう。			ゲイルハードと話をすることができた。ゲイルハードは、素晴らしい杖を作った冒険者と、冒険者を育てたベアティヌへの評価を高めたようだ。「木工師ギルド」に戻り「ベアティヌ」に報告しよう。			結ばれる想い							
依頼者のゲイルハードは、ベアティヌの親友だった。ベアティヌは、ゲイルハードの帰還を知り、とても喜んでいるようだ。冒険者の更なる成長を期待するベアティヌに応えられるよう、木工の腕を磨こう。※木工師のレベルが35以上になると、ベアティヌから次の木工師クエストを受注することができます。			依頼者のゲイルハードは、ベアティヌの親友だった。ベアティヌは、ゲイルハードの帰還を知り、とても喜んでいるようだ。冒険者の更なる成長を期待するベアティヌに応えられるよう、木工の腕を磨こう。※木工師のレベルが35以上になると、ベアティヌから次の木工師クエストを受注することができます。			結ばれる想い							
ベアティヌにウォルナットケーンを見せる			ベアティヌにウォルナットケーンを見せる			結ばれる想い							
依頼者にウォルナットケーンを納品			依頼者にウォルナットケーンを納品			結ばれる想い							
碩老樹瞑想窟のポネットにウォルナットケーンを納品			碩老樹瞑想窟のポネットにウォルナットケーンを納品			結ばれる想い							
ゲイルハードと話す			ゲイルハードと話す			結ばれる想い							
ベアティヌに報告			ベアティヌに報告			結ばれる想い							
Forename Surnameさん……！フフフ……待っていましたよ……。			Forename Surnameさん……！フフフ……待っていましたよ……。			結ばれる想い							
実は、あなたに指名の依頼がきているんです。「冒険者」の木工師に、最高の「ウォルナットケーン」を是非とも作ってほしいと……！			実は、あなたに指名の依頼がきているんです。「冒険者」の木工師に、最高の「ウォルナットケーン」を是非とも作ってほしいと……！			結ばれる想い							
職人として、腕を頼られることほど嬉しいことはありませんね……！			職人として、腕を頼られることほど嬉しいことはありませんね……！			結ばれる想い							
最高の「ウォルナットケーン」を作るのは、けっして容易ではないでしょう……。でも、あなたなら必ず……！			最高の「ウォルナットケーン」を作るのは、けっして容易ではないでしょう……。でも、あなたなら必ず……！			結ばれる想い							
ああ、先生までドキドキしてきちゃいました。頑張って作って、持ってきてください。お待ちしていますよ……！			ああ、先生までドキドキしてきちゃいました。頑張って作って、持ってきてください。お待ちしていますよ……！			結ばれる想い							
最高の「ウォルナットケーン」を作るのは、けっして容易ではないでしょう……。でも、あなたなら必ず……！			最高の「ウォルナットケーン」を作るのは、けっして容易ではないでしょう……。でも、あなたなら必ず……！			結ばれる想い							
Forename Surnameさん……ハァ……これは、なんという……			Forename Surnameさん……ハァ……これは、なんという……			結ばれる想い							
なんという、見事な「ウォルナットケーン」でしょう……！			なんという、見事な「ウォルナットケーン」でしょう……！			結ばれる想い							
この杖は、年を重ねた原木のような質感を保っていますが、実は、切り出してしっかりと製材したウォルナット材から作られている……。			この杖は、年を重ねた原木のような質感を保っていますが、実は、切り出してしっかりと製材したウォルナット材から作られている……。			結ばれる想い							
これは、一度製材したものに、錬金術の産物である「グロースフォーミュラ」を使って生命力を与え、再び自然の姿を取り戻させているから……。			これは、一度製材したものに、錬金術の産物である「グロースフォーミュラ」を使って生命力を与え、再び自然の姿を取り戻させているから……。			結ばれる想い							
杖としての使いやすい形と……「自然から属性の力を借りるための依代」としての性質とを絶妙なバランスで両立させる……。			杖としての使いやすい形と……「自然から属性の力を借りるための依代」としての性質とを絶妙なバランスで両立させる……。			結ばれる想い							
木を愛し、木を熟知している者でなければ成し得ない技です……ハァ……まさに、最高のウォルナットケーン……！			木を愛し、木を熟知している者でなければ成し得ない技です……ハァ……まさに、最高のウォルナットケーン……！			結ばれる想い							
依頼者も、きっと喜んでくださるでしょう。「双蛇党」統合司令部で待っているとのこと。さあ、急いで届けてあげてください……！			依頼者も、きっと喜んでくださるでしょう。「双蛇党」統合司令部で待っているとのこと。さあ、急いで届けてあげてください……！			結ばれる想い							
木工師ギルドに依頼した品を待っているのさ。			木工師ギルドに依頼した品を待っているのさ。			結ばれる想い							
お前が木工師ギルドのForename Surnameか。俺は双蛇党「黄蛇隊」戦闘小隊の隊長、ゲイルハードだ。			お前が木工師ギルドのForename Surnameか。俺は双蛇党「黄蛇隊」戦闘小隊の隊長、ゲイルハードだ。			結ばれる想い							
なるほど……こいつは素晴らしい杖だ。幻術のことはサッパリな俺から見ても、この輝き……ほかのものとは一線を画する出来だとわかる。			なるほど……こいつは素晴らしい杖だ。幻術のことはサッパリな俺から見ても、この輝き……ほかのものとは一線を画する出来だとわかる。			結ばれる想い							
すまないが、もうひとつ頼まれてくれないか。この杖を、お前の手から俺の部下に届けてやってほしいんだ。			すまないが、もうひとつ頼まれてくれないか。この杖を、お前の手から俺の部下に届けてやってほしいんだ。			結ばれる想い							
部下の名は「ポネット」。彼女は、最近俺の隊に配属されたんだが、どうにも反りが合わなくて、俺の話を聞いてくれんのだ。			部下の名は「ポネット」。彼女は、最近俺の隊に配属されたんだが、どうにも反りが合わなくて、俺の話を聞いてくれんのだ。			結ばれる想い							
俺が「アラミゴ」という、他都市の出身だからだろう。この都市の者は、グリダニアを愛するがあまり余所者に不信感を抱いてしまうきらいがある。			俺が「アラミゴ」という、他都市の出身だからだろう。この都市の者は、グリダニアを愛するがあまり余所者に不信感を抱いてしまうきらいがある。			結ばれる想い							
この不信感を拭うために、俺たちのような「余所者」にも、素晴らしい手腕を持ち、誰かのために力を尽くせる者がいることを示してほしいのだ。			この不信感を拭うために、俺たちのような「余所者」にも、素晴らしい手腕を持ち、誰かのために力を尽くせる者がいることを示してほしいのだ。			結ばれる想い							
そのために、この素晴らしい「ウォルナットケーン」を、是非、お前から直接手渡してやってくれ。			そのために、この素晴らしい「ウォルナットケーン」を、是非、お前から直接手渡してやってくれ。			結ばれる想い							
「ポネット」は「碩老樹瞑想窟」にいる。頼んだぞ。			「ポネット」は「碩老樹瞑想窟」にいる。頼んだぞ。			結ばれる想い							
うちの隊の幻術士「ポネット」に、お前の「ウォルナットケーン」を届けてやってくれ。彼女は「碩老樹瞑想窟」にいるはずだ。			うちの隊の幻術士「ポネット」に、お前の「ウォルナットケーン」を届けてやってくれ。彼女は「碩老樹瞑想窟」にいるはずだ。			結ばれる想い							
ゲイルハード隊長が、渡すものがあるからここで待て、と。私も暇ではないというのに、迷惑なものです。			ゲイルハード隊長が、渡すものがあるからここで待て、と。私も暇ではないというのに、迷惑なものです。			結ばれる想い							
ゲイルハード隊長からの届け物？人を待たせておきながら、冒険者を寄越すなんて。まったく！　だから余所者は礼儀と言うものを……			ゲイルハード隊長からの届け物？人を待たせておきながら、冒険者を寄越すなんて。まったく！　だから余所者は礼儀と言うものを……			結ばれる想い							
…………！			…………！			結ばれる想い							
この、ウォルナットケーンは……！？あなたがこの杖を……！？			この、ウォルナットケーンは……！？あなたがこの杖を……！？			結ばれる想い							
扱いやすく加工されていながらも、原木の持っていた質感が、僅かも損なわれていない……。			扱いやすく加工されていながらも、原木の持っていた質感が、僅かも損なわれていない……。			結ばれる想い							
それに何より、杖は幻術士と自然をつなぐ存在。この杖は、自然から属性の力を借りる妨げにならぬよう、材質を活かし、ありのままの姿を美しく保っている。			それに何より、杖は幻術士と自然をつなぐ存在。この杖は、自然から属性の力を借りる妨げにならぬよう、材質を活かし、ありのままの姿を美しく保っている。			結ばれる想い							
ええ……幻術士だからこそ、よくわかります。このケーンの素晴らしさ、杖先にまで込められた製作者の心が伝わってくるようです。			ええ……幻術士だからこそ、よくわかります。このケーンの素晴らしさ、杖先にまで込められた製作者の心が伝わってくるようです。			結ばれる想い							
まさか、余所者である冒険者が、ここまでの逸品をつくり上げるとは……			まさか、余所者である冒険者が、ここまでの逸品をつくり上げるとは……			結ばれる想い							
…………。			…………。			結ばれる想い							
あなたに、謝らねばなりません。私は……余所者は、私たちのことなど考えもしないし、理解し合えるはずがないと思っていました。			あなたに、謝らねばなりません。私は……余所者は、私たちのことなど考えもしないし、理解し合えるはずがないと思っていました。			結ばれる想い							
でも、理解しなかったのは、私の方だったのですね。このケーンを受け取って、目が覚めました。			でも、理解しなかったのは、私の方だったのですね。このケーンを受け取って、目が覚めました。			結ばれる想い							
あなたと、そして、この杖の製作を依頼したゲイルハード隊長に感謝が尽きません。この杖に恥じぬよう、隊長に尽くします。			あなたと、そして、この杖の製作を依頼したゲイルハード隊長に感謝が尽きません。この杖に恥じぬよう、隊長に尽くします。			結ばれる想い							
本当にありがとうございました。ゲイルハード隊長にも、お礼をお伝えください。			本当にありがとうございました。ゲイルハード隊長にも、お礼をお伝えください。			結ばれる想い							
あなたが届けてくださった、この杖に恥じぬよう、隊長に尽くします。ゲイルハード隊長にも、お礼をお伝えください。			あなたが届けてくださった、この杖に恥じぬよう、隊長に尽くします。ゲイルハード隊長にも、お礼をお伝えください。			結ばれる想い							
ご苦労だった。幻術士を唸らせる杖の製作は容易ではなかったろうが、さすがはベアティヌの指導を受けた木工師だな。			ご苦労だった。幻術士を唸らせる杖の製作は容易ではなかったろうが、さすがはベアティヌの指導を受けた木工師だな。			結ばれる想い							
……ふふふ。あいつの腕も、まだまだ落ちちゃいないってことか。			……ふふふ。あいつの腕も、まだまだ落ちちゃいないってことか。			結ばれる想い							
よし、それじゃ俺はそろそろ行くとしよう。本当によくやってくれた。ベアティヌに、よろしく伝えておいてくれ。			よし、それじゃ俺はそろそろ行くとしよう。本当によくやってくれた。ベアティヌに、よろしく伝えておいてくれ。			結ばれる想い							
おかえりなさい。どうでした？　依頼者は喜んでくれましたか？			おかえりなさい。どうでした？　依頼者は喜んでくれましたか？			結ばれる想い							
……なるほど。幻術士のための杖の製作依頼だったんですね。			……なるほど。幻術士のための杖の製作依頼だったんですね。			結ばれる想い							
あなたの杖が、ひとりの幻術士の心に響き、彼女を「成長」させた……。ハァ……素晴らしいことです……！			あなたの杖が、ひとりの幻術士の心に響き、彼女を「成長」させた……。ハァ……素晴らしいことです……！			結ばれる想い							
そういえば、依頼人は誰だったんですか？私のところには使いの者が来ただけだったので……			そういえば、依頼人は誰だったんですか？私のところには使いの者が来ただけだったので……			結ばれる想い							
……えっ？　「ゲイルハード」？そんな、まさか……			……えっ？　「ゲイルハード」？そんな、まさか……			結ばれる想い							
彼は……私の親友です……！双蛇党の小隊長として遠征に向かっていたはずですが、グリダニアに戻ってきたのですね！			彼は……私の親友です……！双蛇党の小隊長として遠征に向かっていたはずですが、グリダニアに戻ってきたのですね！			結ばれる想い							
水くさいなぁ……顔を見せに来てくれてもいいのに……まあ、彼も多忙の身なのかもしれませんね。			水くさいなぁ……顔を見せに来てくれてもいいのに……まあ、彼も多忙の身なのかもしれませんね。			結ばれる想い							
今回はご苦労さまでした。あなたのますますの成長、楽しみにしていますよ。			今回はご苦労さまでした。あなたのますますの成長、楽しみにしていますよ。			結ばれる想い							
木工師ギルドのベアティヌが、何やら落ちこんでいるようだが……？			木工師ギルドのベアティヌが、何やら落ちこんでいるようだが……？			健やかなる若木							
悩みを抱えている様子のベアティヌから、自分の代わりに木工師ギルド裏の「どんぐり遊園」にいる子どもたちと遊んであげてくれと頼まれた。「どんぐり遊園」の子ども「ニコリオー」に話しかけてみよう。			悩みを抱えている様子のベアティヌから、自分の代わりに木工師ギルド裏の「どんぐり遊園」にいる子どもたちと遊んであげてくれと頼まれた。「どんぐり遊園」の子ども「ニコリオー」に話しかけてみよう。			健やかなる若木							
ニコリオーによれば、ベアティヌはスランプに陥っているそうだ。ベアティヌを元気づけるには質のいい木材を渡すといいらしい。「ウォルナット材」を1つ調達し、「木工師ギルド」の「ベアティヌ」に渡そう。			ニコリオーによれば、ベアティヌはスランプに陥っているそうだ。ベアティヌを元気づけるには質のいい木材を渡すといいらしい。「ウォルナット材」を1つ調達し、「木工師ギルド」の「ベアティヌ」に渡そう。			健やかなる若木							
ベアティヌにウォルナット材を渡すことができた。ベアティヌは、成長著しい冒険者を見て、彼の旧友に似ているといって喜んでくれた。冒険者のお陰で元気を取り戻し、スランプからも脱することができたようだ。※木工師のレベルが30以上になると、ベアティヌから次の木工師クエストを受注することができます。			ベアティヌにウォルナット材を渡すことができた。ベアティヌは、成長著しい冒険者を見て、彼の旧友に似ているといって喜んでくれた。冒険者のお陰で元気を取り戻し、スランプからも脱することができたようだ。※木工師のレベルが30以上になると、ベアティヌから次の木工師クエストを受注することができます。			健やかなる若木							
ニコリオーと話す			ニコリオーと話す			健やかなる若木							
ベアティヌにウォルナット材を納品			ベアティヌにウォルナット材を納品			健やかなる若木							
ハァ…………			ハァ…………			健やかなる若木							
ああ……Forename Surnameさん……。また、腕を上げたようですね……。ですが今日は……特にお願いしたい仕事がないんです……。			ああ……Forename Surnameさん……。また、腕を上げたようですね……。ですが今日は……特にお願いしたい仕事がないんです……。			健やかなる若木							
もし、お忙しくなかったら……木工師ギルドの裏の「どんぐり遊園」にいる子どもたちと……遊んであげてくれませんか……？			もし、お忙しくなかったら……木工師ギルドの裏の「どんぐり遊園」にいる子どもたちと……遊んであげてくれませんか……？			健やかなる若木							
私、新しい製品の製作にかかりっきりで……きっと退屈しているでしょうから……			私、新しい製品の製作にかかりっきりで……きっと退屈しているでしょうから……			健やかなる若木							
すみませんが、よろしくお願いしますね……。……ハァ…………。			すみませんが、よろしくお願いしますね……。……ハァ…………。			健やかなる若木							
なんだよ、冒険者が、なんの用？			なんだよ、冒険者が、なんの用？			健やかなる若木							
うーん……ベアティヌ先生、まだ落ち込んでるのかぁ。			うーん……ベアティヌ先生、まだ落ち込んでるのかぁ。			健やかなる若木							
先生、さいきん新しいアイディアが浮かばないとかで、考えこんじゃってるみたいなんだよな。			先生、さいきん新しいアイディアが浮かばないとかで、考えこんじゃってるみたいなんだよな。			健やかなる若木							
えーっと……すらんぷ、ってやつだろ？俺も、なんとか元気づけてあげたいんだけど、先生はいちど落ち込むと、当分あのまんまだからなぁ。			えーっと……すらんぷ、ってやつだろ？俺も、なんとか元気づけてあげたいんだけど、先生はいちど落ち込むと、当分あのまんまだからなぁ。			健やかなる若木							
……あ！そうだ、お前、「木工師」だよな！？			……あ！そうだ、お前、「木工師」だよな！？			健やかなる若木							
じゃあさ、すっごく上等な「ウォルナット材」を作ってベアティヌ先生に渡してあげてよ！			じゃあさ、すっごく上等な「ウォルナット材」を作ってベアティヌ先生に渡してあげてよ！			健やかなる若木							
先生は、質のいい木材を手にすると、元気になるんだ。きっと、すっごく上等な「ウォルナット材」をあげれば、いつもの変なベアティヌ先生に戻るはず！			先生は、質のいい木材を手にすると、元気になるんだ。きっと、すっごく上等な「ウォルナット材」をあげれば、いつもの変なベアティヌ先生に戻るはず！			健やかなる若木							
このままじゃ先生の周りにキノコが生えちゃうよ。そうなる前に、元気づけてあげて！			このままじゃ先生の周りにキノコが生えちゃうよ。そうなる前に、元気づけてあげて！			健やかなる若木							
「HQアイテム」を製作してみましょう。製作中に「品質」を向上させることで、HQアイテムの完成確率が高くなります。			「HQアイテム」を製作してみましょう。製作中に「品質」を向上させることで、HQアイテムの完成確率が高くなります。			健やかなる若木							
ハァ…………私のことは……放っておいてください……			ハァ…………私のことは……放っておいてください……			健やかなる若木							
どうせ私は……頑丈なランスには、なれっこない……私なんて……しなびた枯枝がお似合いです……。ハァ……			どうせ私は……頑丈なランスには、なれっこない……私なんて……しなびた枯枝がお似合いです……。ハァ……			健やかなる若木							
……え？　これを、私に……？			……え？　これを、私に……？			健やかなる若木							
これは……！すばらしく上質な……ウォルナット材ではないですか……！もしかして、あなたが製材したんですか！？			これは……！すばらしく上質な……ウォルナット材ではないですか……！もしかして、あなたが製材したんですか！？			健やかなる若木							
ウォルナット材の命、重厚さと硬さを引き出す仕上げ……そして、ほんのりと残る、ねばり気……！文句なしの出来栄えです……！			ウォルナット材の命、重厚さと硬さを引き出す仕上げ……そして、ほんのりと残る、ねばり気……！文句なしの出来栄えです……！			健やかなる若木							
そうだ……！　このウォルナット材を使って、昔、ウルダハで流行した家具を再現してみては……			そうだ……！　このウォルナット材を使って、昔、ウルダハで流行した家具を再現してみては……			健やかなる若木							
いやいやいや！新しい槍の柄に使うのもいいなぁ……！			いやいやいや！新しい槍の柄に使うのもいいなぁ……！			健やかなる若木							
ああ！　アイディアが溢れてきます！Forename Surnameさん……あなたの、この、ウォルナット材のおかげです！			ああ！　アイディアが溢れてきます！Forename Surnameさん……あなたの、この、ウォルナット材のおかげです！			健やかなる若木							
……ハァ。いつの間にか、こんなに腕をあげていたんですね……。あなたの成長を見ていると、私の古い友人を思い出します。			……ハァ。いつの間にか、こんなに腕をあげていたんですね……。あなたの成長を見ていると、私の古い友人を思い出します。			健やかなる若木							
共に競い合った、旧友に……そして、あなたにも負けないように、私もいっそう、頑張らなくてはいけませんね……！			共に競い合った、旧友に……そして、あなたにも負けないように、私もいっそう、頑張らなくてはいけませんね……！			健やかなる若木							
木工師ギルドのベアティヌは、冒険者に製作を依頼したい武器があるようだ。			木工師ギルドのベアティヌは、冒険者に製作を依頼したい武器があるようだ。			一途な意志							
ベアティヌから、マテリア付きのランスの納品を依頼された。ランスの材料は、グリダニア都市内では取り扱っていないという。「黒檀商店街」のマーケットボードなどを使って探してみよう。マテリアを装着する詳しい手順は、中央ザナラーンの「狼煙の丘」にいる職人たちが説明してくれるようだ。「ランス」を1本調達し、任意の「マテリア」を装着して、木工師ギルドの「ベアティヌ」に渡そう。			ベアティヌから、マテリア付きのランスの納品を依頼された。ランスの材料は、グリダニア都市内では取り扱っていないという。「黒檀商店街」のマーケットボードなどを使って探してみよう。マテリアを装着する詳しい手順は、中央ザナラーンの「狼煙の丘」にいる職人たちが説明してくれるようだ。「ランス」を1本調達し、任意の「マテリア」を装着して、木工師ギルドの「ベアティヌ」に渡そう。			一途な意志							
ベアティヌにマテリア付きのランスを渡すことができた。ランスのように、初心を忘れず強くありたいというベアティヌの言葉を胸に、さらに木工師としての経験を積もう。※木工師のレベルが25以上になると、ベアティヌから次の木工師クエストを受注することができます。			ベアティヌにマテリア付きのランスを渡すことができた。ランスのように、初心を忘れず強くありたいというベアティヌの言葉を胸に、さらに木工師としての経験を積もう。※木工師のレベルが25以上になると、ベアティヌから次の木工師クエストを受注することができます。			一途な意志							
ベアティヌにマテリア付きのランスを納品			ベアティヌにマテリア付きのランスを納品			一途な意志							
Forename Surnameさん……いいところに来ましたね……。			Forename Surnameさん……いいところに来ましたね……。			一途な意志							
だいぶ、腕を上げたようです……。ここでひとつ……「マテリア」の装着に挑戦してみては、いかがでしょうか。			だいぶ、腕を上げたようです……。ここでひとつ……「マテリア」の装着に挑戦してみては、いかがでしょうか。			一途な意志							
「マテリア」の装着とは……使い込んだ装備品から精製した「マテリア」を装備品に組み合わせて……性能を向上させること。			「マテリア」の装着とは……使い込んだ装備品から精製した「マテリア」を装備品に組み合わせて……性能を向上させること。			一途な意志							
今回は……「ランス」に「マテリア」をひとつ、装着していただこうと思います……。			今回は……「ランス」に「マテリア」をひとつ、装着していただこうと思います……。			一途な意志							
「マテリア」には様々な種類がありますが……どんなマテリアでも……構いません。好きなマテリアを選んで、装着してみてください……。			「マテリア」には様々な種類がありますが……どんなマテリアでも……構いません。好きなマテリアを選んで、装着してみてください……。			一途な意志							
マテリアを装着する武器、「ランス」の材料ですが……「エルム材」に「アイアンインゴット」、それから「ハードレザー」です。			マテリアを装着する武器、「ランス」の材料ですが……「エルム材」に「アイアンインゴット」、それから「ハードレザー」です。			一途な意志							
ここで気をつけなければいけないのが……「アイアンインゴット」は、グリダニア都市内では扱っていない、ということです。			ここで気をつけなければいけないのが……「アイアンインゴット」は、グリダニア都市内では扱っていない、ということです。			一途な意志							
黒鉄の塊「アイアンインゴット」は……海洋都市リムサ・ロミンサの鍛冶の技で作られるものですから……。			黒鉄の塊「アイアンインゴット」は……海洋都市リムサ・ロミンサの鍛冶の技で作られるものですから……。			一途な意志							
調達には「黒檀商店街」のマーケットボードで探したり……知り合いに、お願いしてみるといいかもしれません……。			調達には「黒檀商店街」のマーケットボードで探したり……知り合いに、お願いしてみるといいかもしれません……。			一途な意志							
まとめると……今回の課題は……素材を仕入れて、「ランス」を作り……「マテリア」を装着して、性能を高めること……。			まとめると……今回の課題は……素材を仕入れて、「ランス」を作り……「マテリア」を装着して、性能を高めること……。			一途な意志							
もし「マテリア」について、よく分からないなら……中央ザナラーンの「狼煙の丘」を訪ねるといいでしょう。あそこにいる職人たちが、説明をしてくれます……。			もし「マテリア」について、よく分からないなら……中央ザナラーンの「狼煙の丘」を訪ねるといいでしょう。あそこにいる職人たちが、説明をしてくれます……。			一途な意志							
やることが多くて、大変だと思いますが……一段と成長したあなたが作り上げる、素敵な「ランス」を、お待ちしていますよ……！			やることが多くて、大変だと思いますが……一段と成長したあなたが作り上げる、素敵な「ランス」を、お待ちしていますよ……！			一途な意志							
あなたの「ランス」の完成が……待ち遠しくて、仕方ありません……！			あなたの「ランス」の完成が……待ち遠しくて、仕方ありません……！			一途な意志							
ああ……間違いなく、「マテリア」が装着された「ランス」です……！			ああ……間違いなく、「マテリア」が装着された「ランス」です……！			一途な意志							
Forename Surnameさん……！期待以上ですよ……素晴らしい……！			Forename Surnameさん……！期待以上ですよ……素晴らしい……！			一途な意志							
「ランス」というのは……もともと……城塞都市「イシュガルド」の、チョコボ騎兵用の武器として、作られた槍なんです……。			「ランス」というのは……もともと……城塞都市「イシュガルド」の、チョコボ騎兵用の武器として、作られた槍なんです……。			一途な意志							
イシュガルドの騎兵は……高速で疾走するチョコボの勢いを利用し……すさまじい威力の突きを繰り出します……。			イシュガルドの騎兵は……高速で疾走するチョコボの勢いを利用し……すさまじい威力の突きを繰り出します……。			一途な意志							
ですが……そのぶん、反動も大きい。その衝撃に耐えるために、彼らの使う槍は、とても頑丈に作られました。			ですが……そのぶん、反動も大きい。その衝撃に耐えるために、彼らの使う槍は、とても頑丈に作られました。			一途な意志							
イシュガルドの騎兵用の武器だった槍を……グリダニアの歩兵用に、調整をしたのが、この「ランス」なのです……。			イシュガルドの騎兵用の武器だった槍を……グリダニアの歩兵用に、調整をしたのが、この「ランス」なのです……。			一途な意志							
円錐状の穂先が、末広がりになっているでしょう……？これは、騎兵用のランスについていた鍔……ヴァンプレイトの名残なのですよ。			円錐状の穂先が、末広がりになっているでしょう……？これは、騎兵用のランスについていた鍔……ヴァンプレイトの名残なのですよ。			一途な意志							
……武器ひとつにも、深い歴史があります。歴史とともに歩むのは、人だけではない……			……武器ひとつにも、深い歴史があります。歴史とともに歩むのは、人だけではない……			一途な意志							
武器や防具、森も、都市も、成長してゆく……。その装備品に「マテリア」をつけることで、さらなる一歩を踏み出す……。			武器や防具、森も、都市も、成長してゆく……。その装備品に「マテリア」をつけることで、さらなる一歩を踏み出す……。			一途な意志							
フフフ……勉強になりましたか？今回学んだことを、しっかりと心に刻んでくださいね。			フフフ……勉強になりましたか？今回学んだことを、しっかりと心に刻んでくださいね。			一途な意志							
ところで、ランスの最大の魅力は……フォルムの美しさもさることながら……シンプルでいて、とても、頑丈であることだと思うんです。			ところで、ランスの最大の魅力は……フォルムの美しさもさることながら……シンプルでいて、とても、頑丈であることだと思うんです。			一途な意志							
形状は変わっても、頑丈さは、変わらず受け継いでいる……私は「ランス」を見るたびに……木工師になったばかりの頃を思い出します。			形状は変わっても、頑丈さは、変わらず受け継いでいる……私は「ランス」を見るたびに……木工師になったばかりの頃を思い出します。			一途な意志							
どんなに辛く悲しいことがあっても……「ランス」のように、真っ直ぐと、己を貫けるよう、強くありたいものですね。			どんなに辛く悲しいことがあっても……「ランス」のように、真っ直ぐと、己を貫けるよう、強くありたいものですね。			一途な意志							
