錬金術師ギルドのセヴェリアンは、憤慨しているようだ。			錬金術師ギルドのセヴェリアンは、憤慨しているようだ。			奇怪な死体							
名前を忘れたわけではないぞ。女は盗賊団の密売人、匿名の書簡で依頼してきたのだ。ほら、早く終わらせてこい！			名前を忘れたわけではないぞ。女は盗賊団の密売人、匿名の書簡で依頼してきたのだ。ほら、早く終わらせてこい！			毒薬の愉悦							
……錬金術師ギルドからの使いね。例の薬はどうなったの？			……錬金術師ギルドからの使いね。例の薬はどうなったの？			毒薬の愉悦							
はぁ……セヴェリアンさんは止めなかったのね。盗賊団に毒薬を渡せばどうなるか、知っているはずなのに。			はぁ……セヴェリアンさんは止めなかったのね。盗賊団に毒薬を渡せばどうなるか、知っているはずなのに。			毒薬の愉悦							
私は、ワ・ブリナ。盗賊団に潜入捜査をしていて、たまたまこの依頼を知ったの。			私は、ワ・ブリナ。盗賊団に潜入捜査をしていて、たまたまこの依頼を知ったの。			毒薬の愉悦							
彼がどうするか気になって受け取り役を買って出たんだけど……ギルドマスターでありながら、疑問すら持たなかったのね。			彼がどうするか気になって受け取り役を買って出たんだけど……ギルドマスターでありながら、疑問すら持たなかったのね。			毒薬の愉悦							
……やっぱり変わってしまったんだわ。昔から研究熱心な人ではあったけど、5年前の事件を境に、研究だけが彼の全て……。			……やっぱり変わってしまったんだわ。昔から研究熱心な人ではあったけど、5年前の事件を境に、研究だけが彼の全て……。			毒薬の愉悦							
まるでこの毒薬を浴びたみたい。周りのことも、大事なことも、何ひとつ見えていないの。			まるでこの毒薬を浴びたみたい。周りのことも、大事なことも、何ひとつ見えていないの。			毒薬の愉悦							
ねえ、ギルドに戻ったら伝言をお願いできる？究極の錬金術に没頭するのはもうやめて、と。			ねえ、ギルドに戻ったら伝言をお願いできる？究極の錬金術に没頭するのはもうやめて、と。			毒薬の愉悦							
彼の気が済むならと思っていたけど、このままでは姉を……ワ・ナージャを返してもらうことになるわ。			彼の気が済むならと思っていたけど、このままでは姉を……ワ・ナージャを返してもらうことになるわ。			毒薬の愉悦							
この暗闇の毒薬は、私がどうにかしておくわ。セヴェリアンさんへの伝言、頼むわね。			この暗闇の毒薬は、私がどうにかしておくわ。セヴェリアンさんへの伝言、頼むわね。			毒薬の愉悦							
待ちわびていたぞ。それで、依頼は無事に終わったんだろうな？			待ちわびていたぞ。それで、依頼は無事に終わったんだろうな？			毒薬の愉悦							
……ワ・ナージャを返せ？さてはあの薄情な妹、ワ・ブリナが謀ったのだな！			……ワ・ナージャを返せ？さてはあの薄情な妹、ワ・ブリナが謀ったのだな！			毒薬の愉悦							
ナージャを手放すつもりはない！私は究極の錬金術を完成させ、彼女に伝えねばならんのだ……。			ナージャを手放すつもりはない！私は究極の錬金術を完成させ、彼女に伝えねばならんのだ……。			毒薬の愉悦							
……ふん、余計な言葉を聞く必要はなかろう。つまらん依頼だったが、お前の実力は十分に証明されたのだ。			……ふん、余計な言葉を聞く必要はなかろう。つまらん依頼だったが、お前の実力は十分に証明されたのだ。			毒薬の愉悦							
今日からは、小間使いではなく「助手」と呼ぶぞ。究極の錬金術に至る日は近い、それまで研鑽を積み続けるのだ！			今日からは、小間使いではなく「助手」と呼ぶぞ。究極の錬金術に至る日は近い、それまで研鑽を積み続けるのだ！			毒薬の愉悦							
錬金術師ギルドのセヴェリアンは、何やら不機嫌そうだ。			錬金術師ギルドのセヴェリアンは、何やら不機嫌そうだ。			退屈で危険な追求							
セヴェリアンは錬金術師ギルドからの依頼に気が進まないようだ。代わりに上質な「重曹」を1個製作し、セヴェリアンに渡そう。			セヴェリアンは錬金術師ギルドからの依頼に気が進まないようだ。代わりに上質な「重曹」を1個製作し、セヴェリアンに渡そう。			退屈で危険な追求							
納品された「重曹」の出来に感激するセヴェリアン。次回の課題をこなしたら、冒険者を究極の錬金術の助手にするという。それまで、腕を上げておこう。※錬金術師のレベルが30以上になると、セヴェリアンから次の錬金術師クエストを受注することができます。			納品された「重曹」の出来に感激するセヴェリアン。次回の課題をこなしたら、冒険者を究極の錬金術の助手にするという。それまで、腕を上げておこう。※錬金術師のレベルが30以上になると、セヴェリアンから次の錬金術師クエストを受注することができます。			退屈で危険な追求							
セヴェリアンに重曹を納品			セヴェリアンに重曹を納品			退屈で危険な追求							
お前……何と間の悪いことだ！だが歓迎するぞ、さすが私の小間使い！			お前……何と間の悪いことだ！だが歓迎するぞ、さすが私の小間使い！			退屈で危険な追求							
いやな、またギルドの奴らから脳みそが少しも刺激されない依頼を押し付けられたのだ。			いやな、またギルドの奴らから脳みそが少しも刺激されない依頼を押し付けられたのだ。			退屈で危険な追求							
お前は前回も、良い成果を収めただろう？故に、もっと高度な試験をしたかったのだが……この依頼があってはかなわん。			お前は前回も、良い成果を収めただろう？故に、もっと高度な試験をしたかったのだが……この依頼があってはかなわん。			退屈で危険な追求							
ということで、私に代わって依頼を終わらせてくれ。要求は、高品質の「重曹」が1個だ。			ということで、私に代わって依頼を終わらせてくれ。要求は、高品質の「重曹」が1個だ。			退屈で危険な追求							
いいか？　高品質だぞ？ひたすらに品質を求めるというのも、奥が深くて危険だぞぅ。			いいか？　高品質だぞ？ひたすらに品質を求めるというのも、奥が深くて危険だぞぅ。			退屈で危険な追求							
「HQアイテム」を製作してみましょう。製作中に「品質」を向上させることで、HQアイテムの完成確率が高くなります。			「HQアイテム」を製作してみましょう。製作中に「品質」を向上させることで、HQアイテムの完成確率が高くなります。			退屈で危険な追求							
高品質な「重曹」はできたか？品質の追求にのめり込む気持ちはわかるが、適当なところで成果物を出すのだぞ。			高品質な「重曹」はできたか？品質の追求にのめり込む気持ちはわかるが、適当なところで成果物を出すのだぞ。			退屈で危険な追求							
……重曹の中の重曹、といったところか。重曹以外の何物でもない、だが素晴らしい重曹だ！			……重曹の中の重曹、といったところか。重曹以外の何物でもない、だが素晴らしい重曹だ！			退屈で危険な追求							
これなら、どんな用途においても最高の仕事をするだろう。まずいな……他の重曹が使えなくなった客が、お前に殺到するかもしれん！			これなら、どんな用途においても最高の仕事をするだろう。まずいな……他の重曹が使えなくなった客が、お前に殺到するかもしれん！			退屈で危険な追求							
重曹は生活のあらゆる場面に登場する。ガラス製品の材料にしたり、羊毛の加工に使ったり……料理においても大活躍らしい。			重曹は生活のあらゆる場面に登場する。ガラス製品の材料にしたり、羊毛の加工に使ったり……料理においても大活躍らしい。			退屈で危険な追求							
つまるところ、錬金術における価値よりも、他の営みにおける価値が高い品なのだ。			つまるところ、錬金術における価値よりも、他の営みにおける価値が高い品なのだ。			退屈で危険な追求							
錬金術の恩恵は、今や生活の隅々に広がっている。我ら錬金術師が異端だ何だと迫害された過去など、もはや歴史のひとつに過ぎん。			錬金術の恩恵は、今や生活の隅々に広がっている。我ら錬金術師が異端だ何だと迫害された過去など、もはや歴史のひとつに過ぎん。			退屈で危険な追求							
ま、私にとっては、研究がやりやすいか、そうでないかの違いだけだ。			ま、私にとっては、研究がやりやすいか、そうでないかの違いだけだ。			退屈で危険な追求							
大事なのは研究成果であり、その活用に興味はない。他の連中のように、誰に貢献したいわけでも、一攫千金を狙うわけでもないからな。			大事なのは研究成果であり、その活用に興味はない。他の連中のように、誰に貢献したいわけでも、一攫千金を狙うわけでもないからな。			退屈で危険な追求							
目指すは、究極の錬金術ただひとつ！次の課題をこなせたら、お前をその助手にしてやろう。			目指すは、究極の錬金術ただひとつ！次の課題をこなせたら、お前をその助手にしてやろう。			退屈で危険な追求							
錬金術師ギルドのセヴェリアンは、冒険者の実力を試したいようだ。			錬金術師ギルドのセヴェリアンは、冒険者の実力を試したいようだ。			巴術士と錬金術							
ある巴術士からの依頼を任された。マテリアを装着した「ハードレザーグリモアDX」を1冊製作し、錬金術師ギルドの「セヴェリアン」に渡そう。マテリアの装着については、中央ザナラーンの「狼煙の丘」にいる職人たちが詳しいようだ。材料となるユー原木は、自力で採集するか、「サファイアアベニュー国際市場」のマーケットボードで探そう。			ある巴術士からの依頼を任された。マテリアを装着した「ハードレザーグリモアDX」を1冊製作し、錬金術師ギルドの「セヴェリアン」に渡そう。マテリアの装着については、中央ザナラーンの「狼煙の丘」にいる職人たちが詳しいようだ。材料となるユー原木は、自力で採集するか、「サファイアアベニュー国際市場」のマーケットボードで探そう。			巴術士と錬金術							
「ハードレザーグリモアDX」を納品した。セヴェリアンに呼びつけられた依頼人だったが、魔道書の出来に喜んでいるようだ。凄腕の錬金術師として、これからも製作に励んでいこう。※錬金術師のレベルが25以上になると、セヴェリアンから次の錬金術師クエストを受注することができます。			「ハードレザーグリモアDX」を納品した。セヴェリアンに呼びつけられた依頼人だったが、魔道書の出来に喜んでいるようだ。凄腕の錬金術師として、これからも製作に励んでいこう。※錬金術師のレベルが25以上になると、セヴェリアンから次の錬金術師クエストを受注することができます。			巴術士と錬金術							
セヴェリアンにマテリア付きのハードレザーグリモアDXを納品			セヴェリアンにマテリア付きのハードレザーグリモアDXを納品			巴術士と錬金術							
お前、また腕を上げたようだな。ふふふ……すっかり錬金術の沼の中ではないか！			お前、また腕を上げたようだな。ふふふ……すっかり錬金術の沼の中ではないか！			巴術士と錬金術							
私もお前の実力に興味が湧いてきたところだ。ということで、依頼をひとつ受けてもらおう。			私もお前の実力に興味が湧いてきたところだ。ということで、依頼をひとつ受けてもらおう。			巴術士と錬金術							
巴術士の……ある巴術士からの依頼だ。「ハードレザーグリモアDX」を1冊作ってこい。			巴術士の……ある巴術士からの依頼だ。「ハードレザーグリモアDX」を1冊作ってこい。			巴術士と錬金術							
ただし、一筋縄ではいかんぞ。材料である「ユー原木」はウルダハの市場には出回っていないのだ。			ただし、一筋縄ではいかんぞ。材料である「ユー原木」はウルダハの市場には出回っていないのだ。			巴術士と錬金術							
園芸師になって採集するか、「サファイアアベニュー国際市場」のマーケットボードで探すしかないだろうよ。			園芸師になって採集するか、「サファイアアベニュー国際市場」のマーケットボードで探すしかないだろうよ。			巴術士と錬金術							
更に、依頼人が求めている「ハードレザーグリモアDX」は「マテリア」付きときた。			更に、依頼人が求めている「ハードレザーグリモアDX」は「マテリア」付きときた。			巴術士と錬金術							
「マテリア」とは、使い込んだ装備品に宿る思念を、結晶として精製したもの。それを装備品に装着することで、性能を高められる。			「マテリア」とは、使い込んだ装備品に宿る思念を、結晶として精製したもの。それを装備品に装着することで、性能を高められる。			巴術士と錬金術							
詳しい説明を聞きたければ、中央ザナラーンの「狼煙の丘」に行け。そこにマテリアに詳しい職人たちがいる。			詳しい説明を聞きたければ、中央ザナラーンの「狼煙の丘」に行け。そこにマテリアに詳しい職人たちがいる。			巴術士と錬金術							
なお、装着するマテリアの種類は問わんそうだ。好き勝手に試せるぞ、やったな！			なお、装着するマテリアの種類は問わんそうだ。好き勝手に試せるぞ、やったな！			巴術士と錬金術							
では、マテリアを装着した「ハードレザーグリモアDX」を私のところに持ってくるように。その間に、依頼人の名を思い出しておく。			では、マテリアを装着した「ハードレザーグリモアDX」を私のところに持ってくるように。その間に、依頼人の名を思い出しておく。			巴術士と錬金術							
面倒な依頼内容だが、覚えているか？マテリアを装着した「ハードレザーグリモアDX」だぞ。			面倒な依頼内容だが、覚えているか？マテリアを装着した「ハードレザーグリモアDX」だぞ。			巴術士と錬金術							
……ほう、作りとげたか。ではさっそく依頼人に渡してやるとしよう。面倒なので、呼びつけておいたぞ。			……ほう、作りとげたか。ではさっそく依頼人に渡してやるとしよう。面倒なので、呼びつけておいたぞ。			巴術士と錬金術							
わあっ、これ僕の魔道書ですか！？すごいすごい、ちゃんとマテリアもついてる！			わあっ、これ僕の魔道書ですか！？すごいすごい、ちゃんとマテリアもついてる！			巴術士と錬金術							
当然だ、我が小間使い謹製なのだぞ。それよりも巴術士、ここまで出向いたからには解説のひとつでもしていけ。			当然だ、我が小間使い謹製なのだぞ。それよりも巴術士、ここまで出向いたからには解説のひとつでもしていけ。			巴術士と錬金術							
えっ、僕が！？　うーん……			えっ、僕が！？　うーん……			巴術士と錬金術							
僕ら巴術士は、魔法を使うときに、「魔紋」という特殊な図形をイメージするんです。その魔紋が記されているのが、この「魔道書」ですね。			僕ら巴術士は、魔法を使うときに、「魔紋」という特殊な図形をイメージするんです。その魔紋が記されているのが、この「魔道書」ですね。			巴術士と錬金術							
特に重要なのが、魔道書に使われるインクです。エーテル伝導率の高い特殊なインクで記された魔紋は、使い手の魔力がよく奔りますから。			特に重要なのが、魔道書に使われるインクです。エーテル伝導率の高い特殊なインクで記された魔紋は、使い手の魔力がよく奔りますから。			巴術士と錬金術							
だから新しい魔道書が必要なときは、インクを作ることができる錬金術師さんに頼むんです。幸い、僕は良い担当に当たったみたいだ。			だから新しい魔道書が必要なときは、インクを作ることができる錬金術師さんに頼むんです。幸い、僕は良い担当に当たったみたいだ。			巴術士と錬金術							
この魔道書に追記や補強を施したいときは、きっとあなたにお願いしますね。ありがとう、凄腕の錬金術師さん。			この魔道書に追記や補強を施したいときは、きっとあなたにお願いしますね。ありがとう、凄腕の錬金術師さん。			巴術士と錬金術							
凄腕……凄腕か。なるほど、お前もはたから見ればそうなるのだな。			凄腕……凄腕か。なるほど、お前もはたから見ればそうなるのだな。			巴術士と錬金術							
素直に喜べばよかろう！謙遜はいらん、ただし満足もするなよ。一生小間使いでいいなら、話は別だがな。			素直に喜べばよかろう！謙遜はいらん、ただし満足もするなよ。一生小間使いでいいなら、話は別だがな。			巴術士と錬金術							
錬金術師ギルドのセヴェリアンは、ものすごく眠そうだ。			錬金術師ギルドのセヴェリアンは、ものすごく眠そうだ。			調剤の担い手は							
眠そうなセヴェリアンから、また仕事を押し付けられた。「知力の薬」と「眼力の薬」を1個ずつ製作し、セヴェリアンに渡そう。			眠そうなセヴェリアンから、また仕事を押し付けられた。「知力の薬」と「眼力の薬」を1個ずつ製作し、セヴェリアンに渡そう。			調剤の担い手は							
ふたつの薬を納品した。駆け出しには難しい薬を見事に製作したことで、セヴェリアンも冒険者を評価しているようだ。彼に勧められ、依頼人に直接薬を渡すことに。コロセウムの「アルダラ」に薬を渡そう。			ふたつの薬を納品した。駆け出しには難しい薬を見事に製作したことで、セヴェリアンも冒険者を評価しているようだ。彼に勧められ、依頼人に直接薬を渡すことに。コロセウムの「アルダラ」に薬を渡そう。			調剤の担い手は							
アルダラに薬を納品した。怪しげなセヴェリアンではなく、冒険者が薬を作ったことに安心したようだ。錬金術師ギルドの「セヴェリアン」に報告に行こう。			アルダラに薬を納品した。怪しげなセヴェリアンではなく、冒険者が薬を作ったことに安心したようだ。錬金術師ギルドの「セヴェリアン」に報告に行こう。			調剤の担い手は							
今度こそ寝ていたセヴェリアンに報告をした。身を削るほど錬金術に没頭し、彼は何を目指すのだろうか。※錬金術師のレベルが20以上になると、セヴェリアンから次の錬金術師クエストを受注することができます。			今度こそ寝ていたセヴェリアンに報告をした。身を削るほど錬金術に没頭し、彼は何を目指すのだろうか。※錬金術師のレベルが20以上になると、セヴェリアンから次の錬金術師クエストを受注することができます。			調剤の担い手は							
セヴェリアンに依頼された薬を納品			セヴェリアンに依頼された薬を納品			調剤の担い手は							
コロセウムのアルダラに依頼された薬を納品			コロセウムのアルダラに依頼された薬を納品			調剤の担い手は							
錬金術師ギルドのセヴェリアンに報告			錬金術師ギルドのセヴェリアンに報告			調剤の担い手は							
…………を……混ぜ……失敗……。次は………………グー……。			…………を……混ぜ……失敗……。次は………………グー……。			調剤の担い手は							
……ん？　どうした小間使い。お前も錬金術師なら、寝たまま研究くらいするだろう？ま、大抵ろくなものができんがな。			……ん？　どうした小間使い。お前も錬金術師なら、寝たまま研究くらいするだろう？ま、大抵ろくなものができんがな。			調剤の担い手は							
しかし、懲りずに私を訪ねてくるとはお前の小間使い精神……いや、向上心は見上げたものだ。あるいはただの物好きか？			しかし、懲りずに私を訪ねてくるとはお前の小間使い精神……いや、向上心は見上げたものだ。あるいはただの物好きか？			調剤の担い手は							
なんにせよ、錬金術とは好奇心と探究心の賜物だ。実にお前向きといえよう。			なんにせよ、錬金術とは好奇心と探究心の賜物だ。実にお前向きといえよう。			調剤の担い手は							
ということで仕事を回すぞ。「知力の薬」と「眼力の薬」を1個ずつ作ってこい。			ということで仕事を回すぞ。「知力の薬」と「眼力の薬」を1個ずつ作ってこい。			調剤の担い手は							
私は研究が大詰めで急がしいので、説明は省略するが……お前なら、大丈夫だろう？			私は研究が大詰めで急がしいので、説明は省略するが……お前なら、大丈夫だろう？			調剤の担い手は							
「知力の薬」と「眼力の薬」はできたか？質問は一切受け付けんぞ。			「知力の薬」と「眼力の薬」はできたか？質問は一切受け付けんぞ。			調剤の担い手は							
……ふむ。押し付けておいて何だが、よくまあ完成させたものだ。			……ふむ。押し付けておいて何だが、よくまあ完成させたものだ。			調剤の担い手は							
「知力の薬」は、クァールやウルフといった百獣綱の血に宿るという生命力を利用した薬だ。血が固まると効果が失われるが、これは問題なさそうだな。			「知力の薬」は、クァールやウルフといった百獣綱の血に宿るという生命力を利用した薬だ。血が固まると効果が失われるが、これは問題なさそうだな。			調剤の担い手は							
「眼力の薬」には、粉末にしたバットの牙を用いる。魔物の牙や角を粉末にして調合にもちいるという東方由来の手法を、しっかり身に着けたようだな。			「眼力の薬」には、粉末にしたバットの牙を用いる。魔物の牙や角を粉末にして調合にもちいるという東方由来の手法を、しっかり身に着けたようだな。			調剤の担い手は							
いずれも、駆け出しの手には余る品。成し遂げた自分を称え、更なる深みに嵌るがいい！			いずれも、駆け出しの手には余る品。成し遂げた自分を称え、更なる深みに嵌るがいい！			調剤の担い手は							
そうだ、たまには依頼人に自分で薬を渡し、直々に褒められてはどうだ。私の手間も減るしな。			そうだ、たまには依頼人に自分で薬を渡し、直々に褒められてはどうだ。私の手間も減るしな。			調剤の担い手は							
依頼人は、コロセウムにいる……ああ、「アルダラ」という女だったはずだ。渡したら、もう一度報告をしにこい。			依頼人は、コロセウムにいる……ああ、「アルダラ」という女だったはずだ。渡したら、もう一度報告をしにこい。			調剤の担い手は							
あら、あなた錬金術師ギルドの方？			あら、あなた錬金術師ギルドの方？			調剤の担い手は							
待っていたのよ！「知力の薬」と「眼力の薬」はできたかしら？			待っていたのよ！「知力の薬」と「眼力の薬」はできたかしら？			調剤の担い手は							
……これが頼んでいたお薬？　ふぅん、可愛くない瓶ね。愛しの剣闘士フランツ様に贈るのだから、もっと見栄えをよくしないと！			……これが頼んでいたお薬？　ふぅん、可愛くない瓶ね。愛しの剣闘士フランツ様に贈るのだから、もっと見栄えをよくしないと！			調剤の担い手は							
まあいいわ、中身はあるのだし依頼は完了よ。ギルドマスターではなくて、あなたが担当してくれてよかったわ。			まあいいわ、中身はあるのだし依頼は完了よ。ギルドマスターではなくて、あなたが担当してくれてよかったわ。			調剤の担い手は							
ほら、錬金術師ギルドのマスターって……あの方でしょう？よい噂を聞かないから、少し心配していたの。			ほら、錬金術師ギルドのマスターって……あの方でしょう？よい噂を聞かないから、少し心配していたの。			調剤の担い手は							
家柄も資産も十分なのに、身を削る程錬金術に没頭するなんて。それだけの野望があるのかしらね？			家柄も資産も十分なのに、身を削る程錬金術に没頭するなんて。それだけの野望があるのかしらね？			調剤の担い手は							
……あら嫌だ、わたくしってば余計なことを。それよりもフランツ様だわ！　ああ、受け取ってくれるかしら……。			……あら嫌だ、わたくしってば余計なことを。それよりもフランツ様だわ！　ああ、受け取ってくれるかしら……。			調剤の担い手は							
フランツ様のファンは多いのよ。贈り物をして、他の子たちに差をつけないと！			フランツ様のファンは多いのよ。贈り物をして、他の子たちに差をつけないと！			調剤の担い手は							
………………グー……。			………………グー……。			調剤の担い手は							
あ、ああ、小間使いか。何の用だ？依頼が終わった？　お前に頼みごとをした覚えはないが……。			あ、ああ、小間使いか。何の用だ？依頼が終わった？　お前に頼みごとをした覚えはないが……。			調剤の担い手は							
言われてみれば、お前に面倒な仕事を押し付けた気もするな、うん。それで、どうだった？			言われてみれば、お前に面倒な仕事を押し付けた気もするな、うん。それで、どうだった？			調剤の担い手は							
ふむ……外装はともかく、中身はあの出来だったのだ。絶賛されて然るべきだろうよ。			ふむ……外装はともかく、中身はあの出来だったのだ。絶賛されて然るべきだろうよ。			調剤の担い手は							
お前がこのまま道を究めれば、いずれ私と共に「究極の錬金術」を……目指す…………日も…………………グー……。			お前がこのまま道を究めれば、いずれ私と共に「究極の錬金術」を……目指す…………日も…………………グー……。			調剤の担い手は							
……ハッ！？　いかん、今日はどうもいかんな。報酬を渡して、私も研究に集中するとしよう。			……ハッ！？　いかん、今日はどうもいかんな。報酬を渡して、私も研究に集中するとしよう。			調剤の担い手は							
錬金術師ギルドのセヴェリアンは、何やら憤慨しているようだ。			錬金術師ギルドのセヴェリアンは、何やら憤慨しているようだ。			働け、錬金術師ギルドマスター							
セヴェリアンから仕事を押し付けられた。「蜜蝋」を12個作って、錬金術師ギルドの「セヴェリアン」に渡そう。			セヴェリアンから仕事を押し付けられた。「蜜蝋」を12個作って、錬金術師ギルドの「セヴェリアン」に渡そう。			働け、錬金術師ギルドマスター							
「蜜蝋」を納品し、セヴェリアンから大いに褒められた。冒険者ギルドのユースタスから受けられるギルドリーヴの「製作稼業」なども活用しながら、更に腕を磨いていこう。※錬金術師のレベルが15以上になると、セヴェリアンから次の錬金術師クエストを受注することができます。			「蜜蝋」を納品し、セヴェリアンから大いに褒められた。冒険者ギルドのユースタスから受けられるギルドリーヴの「製作稼業」なども活用しながら、更に腕を磨いていこう。※錬金術師のレベルが15以上になると、セヴェリアンから次の錬金術師クエストを受注することができます。			働け、錬金術師ギルドマスター							
セヴェリアンに蜜蝋を納品			セヴェリアンに蜜蝋を納品			働け、錬金術師ギルドマスター							
おお、今度は忘れずに待っていたぞ！今こそお前に、小間使いの本領を発揮してもらいたい！			おお、今度は忘れずに待っていたぞ！今こそお前に、小間使いの本領を発揮してもらいたい！			働け、錬金術師ギルドマスター							
錬金術師ギルドの奴らめ、「たまにはギルドの運営に貢献しろ」などと言って別の錬金術師が投げ出した仕事を押し付けてきたのだ。			錬金術師ギルドの奴らめ、「たまにはギルドの運営に貢献しろ」などと言って別の錬金術師が投げ出した仕事を押し付けてきたのだ。			働け、錬金術師ギルドマスター							
馬鹿め、私にギルドマスターらしさを求めるなど愚の骨頂！不満があるなら人選からやり直せ！			馬鹿め、私にギルドマスターらしさを求めるなど愚の骨頂！不満があるなら人選からやり直せ！			働け、錬金術師ギルドマスター							
そもそも資質で選んだわけでもなしに……。砂蠍衆に通じる我が血筋を、これほど面倒に思ったことはないぞ。			そもそも資質で選んだわけでもなしに……。砂蠍衆に通じる我が血筋を、これほど面倒に思ったことはないぞ。			働け、錬金術師ギルドマスター							
というわけで、要求された「蜜蝋」12個の調達は、全てお前に任せた。			というわけで、要求された「蜜蝋」12個の調達は、全てお前に任せた。			働け、錬金術師ギルドマスター							
うむ、お前になら安心して押し付けられると思っていた。頼んだぞ！			うむ、お前になら安心して押し付けられると思っていた。頼んだぞ！			働け、錬金術師ギルドマスター							
ふはは、おかげで私の研究は滞りないぞ。そちらは「蜜蝋」を12個、用意できたか？			ふはは、おかげで私の研究は滞りないぞ。そちらは「蜜蝋」を12個、用意できたか？			働け、錬金術師ギルドマスター							
ほう……数はそろっているな。特上品とはいかんが、質も申し分ない……。			ほう……数はそろっているな。特上品とはいかんが、質も申し分ない……。			働け、錬金術師ギルドマスター							
ふふ……素晴らしい、実に素晴らしいぞ！働きに敬意を表して、ギルドマスターの座を譲りたいほどだ！			ふふ……素晴らしい、実に素晴らしいぞ！働きに敬意を表して、ギルドマスターの座を譲りたいほどだ！			働け、錬金術師ギルドマスター							
今更語るまでもないが、蜜蝋とは蜜蜂の巣を構成する蝋を純化したもの。			今更語るまでもないが、蜜蝋とは蜜蜂の巣を構成する蝋を純化したもの。			働け、錬金術師ギルドマスター							
蝋燭の材料とすることはもちろん、染料と混ぜて画材にしたり、革製品の手入れにも使う。用途も需要も多い品というわけだ。			蝋燭の材料とすることはもちろん、染料と混ぜて画材にしたり、革製品の手入れにも使う。用途も需要も多い品というわけだ。			働け、錬金術師ギルドマスター							
難易度は高くないが、これほど安定した質で大量に作れるとなると、作り手の技術は疑いようもない。			難易度は高くないが、これほど安定した質で大量に作れるとなると、作り手の技術は疑いようもない。			働け、錬金術師ギルドマスター							
せいぜい小間使いと思ってたが、もっと鍛えれば……ひょっとして……いや…………。			せいぜい小間使いと思ってたが、もっと鍛えれば……ひょっとして……いや…………。			働け、錬金術師ギルドマスター							
何はともあれ、技術を磨くことを怠るなよ。ギルドリーヴの製作稼業が研鑽にいいと聞いたが、知っているか？			何はともあれ、技術を磨くことを怠るなよ。ギルドリーヴの製作稼業が研鑽にいいと聞いたが、知っているか？			働け、錬金術師ギルドマスター							
なんでも、冒険者ギルドで受けることができるらしい。担当者はユース……なんといったかな、忘れたが。練習に報酬がつくと思えば、悪くなかろう。			なんでも、冒険者ギルドで受けることができるらしい。担当者はユース……なんといったかな、忘れたが。練習に報酬がつくと思えば、悪くなかろう。			働け、錬金術師ギルドマスター							
錬金術師ギルドのセヴェリアンは、冒険者のことを忘れかけているようだ。			錬金術師ギルドのセヴェリアンは、冒険者のことを忘れかけているようだ。			ふたつ目の基礎							
セヴェリアンは、錬金術の基礎を知るための課題を与えた。「毒消し」を3個製作し、錬金術師ギルドの「セヴェリアン」に渡そう。			セヴェリアンは、錬金術の基礎を知るための課題を与えた。「毒消し」を3個製作し、錬金術師ギルドの「セヴェリアン」に渡そう。			ふたつ目の基礎							
冒険者の納品した「毒消し」に、満足した様子のセヴェリアン。錬金術師としての経験を積み、寝食を忘れるという錬金術の楽しさを知ろう。※錬金術師のレベルが10以上になると、セヴェリアンから次の錬金術師クエストを受注することができます			冒険者の納品した「毒消し」に、満足した様子のセヴェリアン。錬金術師としての経験を積み、寝食を忘れるという錬金術の楽しさを知ろう。※錬金術師のレベルが10以上になると、セヴェリアンから次の錬金術師クエストを受注することができます			ふたつ目の基礎							
セヴェリアンに毒消しを納品			セヴェリアンに毒消しを納品			ふたつ目の基礎							
何だお前は。寄付金の懇願か、それとも依頼か？ははあ、さては小うるさい掃除係だな？			何だお前は。寄付金の懇願か、それとも依頼か？ははあ、さては小うるさい掃除係だな？			ふたつ目の基礎							
……なんだ、例の新入りではないか！名前は聞かんぞ、レシピ以外はどうせ忘れる。			……なんだ、例の新入りではないか！名前は聞かんぞ、レシピ以外はどうせ忘れる。			ふたつ目の基礎							
それよりもお前、錬金術の腕を上げたようだな。私は大変忙しいのだが……ふむ、小間使いへの投資は必要か。			それよりもお前、錬金術の腕を上げたようだな。私は大変忙しいのだが……ふむ、小間使いへの投資は必要か。			ふたつ目の基礎							
ならば今回は、ふたつ目の基礎を教えてやろう。そのために「毒消し」を3個、作ってこい。			ならば今回は、ふたつ目の基礎を教えてやろう。そのために「毒消し」を3個、作ってこい。			ふたつ目の基礎							
材料は「グラスバイパー」と「岩塩」だな。「グラスバイパー」は例の……ああそう、エスメネットから買えるだろう。			材料は「グラスバイパー」と「岩塩」だな。「グラスバイパー」は例の……ああそう、エスメネットから買えるだろう。			ふたつ目の基礎							
「岩塩」は、採掘で調達することもできるぞ。知人の採掘師に頼んでもいいしお前自身が採掘師になってもいい。自分で調達してくるのは非常に面倒だがな。			「岩塩」は、採掘で調達することもできるぞ。知人の採掘師に頼んでもいいしお前自身が採掘師になってもいい。自分で調達してくるのは非常に面倒だがな。			ふたつ目の基礎							
ともかく、素材を揃えて「毒消し」を3個作ってみろ。何が基礎なのか、考えながら作業するように。			ともかく、素材を揃えて「毒消し」を3個作ってみろ。何が基礎なのか、考えながら作業するように。			ふたつ目の基礎							
「毒消し」3個は完成したか？　したのだな？			「毒消し」3個は完成したか？　したのだな？			ふたつ目の基礎							
