ショートストップ野営地のタップクリクスは、冒険者を疑いの目で見ている。			ショートストップ野営地のタップクリクスは、冒険者を疑いの目で見ている。			冒険者はゴブの仲間							
ずばり、マトーヤ様の望みは何ですか？わたくしめは、あなた様のお役に立ってみたいケロ！			ずばり、マトーヤ様の望みは何ですか？わたくしめは、あなた様のお役に立ってみたいケロ！			役目は果たせず							
何かと思えば、サロ・ロッゴ。お前はずいぶんと馬鹿げたことを聞くんだね。……おおかた、トードに戻されるとでも思ったか。			何かと思えば、サロ・ロッゴ。お前はずいぶんと馬鹿げたことを聞くんだね。……おおかた、トードに戻されるとでも思ったか。			役目は果たせず							
いくら探っても、ワシに望みなどありはしないよ。あるのはただ、意地だけさ。			いくら探っても、ワシに望みなどありはしないよ。あるのはただ、意地だけさ。			役目は果たせず							
ワシは研究に心血を注ぎ、だからこそ周囲に反発もしてきた。その反発は、ワシをつき動かすばかりでなく、ついには世界を拒絶して、固い岩戸と成り果てた……。			ワシは研究に心血を注ぎ、だからこそ周囲に反発もしてきた。その反発は、ワシをつき動かすばかりでなく、ついには世界を拒絶して、固い岩戸と成り果てた……。			役目は果たせず							
岩戸は、じきに棺の蓋と化すだろう。ワシは誰にも知られず、一切の音も立てず、ただこの暗がりで骨となるのさ。			岩戸は、じきに棺の蓋と化すだろう。ワシは誰にも知られず、一切の音も立てず、ただこの暗がりで骨となるのさ。			役目は果たせず							
……そんな世捨て人が、今さら何を望むんだい。			……そんな世捨て人が、今さら何を望むんだい。			役目は果たせず							
ゲコゲコ、そんな捨て鉢な……！マトーヤ様は、素晴らしい知識と力をお持ちなのに！			ゲコゲコ、そんな捨て鉢な……！マトーヤ様は、素晴らしい知識と力をお持ちなのに！			役目は果たせず							
そうだ、どうぞわたくしめに命じてください。賢人マトーヤの為した偉業を、世界にふれて回るようにと。それを、あなた様の望みとするケロ……！			そうだ、どうぞわたくしめに命じてください。賢人マトーヤの為した偉業を、世界にふれて回るようにと。それを、あなた様の望みとするケロ……！			役目は果たせず							
……お前は、つくづくお馬鹿だね。そんなことを望むなら、ハナから意地など張っていないよ。			……お前は、つくづくお馬鹿だね。そんなことを望むなら、ハナから意地など張っていないよ。			役目は果たせず							
ワシの知識を求める者には、うんしょと岩戸を開けさせて、ホウキどもの謎かけに、心底うんざりしてもらう。たとえ骨となっても、それでこそのマトーヤさ。			ワシの知識を求める者には、うんしょと岩戸を開けさせて、ホウキどもの謎かけに、心底うんざりしてもらう。たとえ骨となっても、それでこそのマトーヤさ。			役目は果たせず							
で、では本当に……マトーヤ様のために、できることはないのですか……？			で、では本当に……マトーヤ様のために、できることはないのですか……？			役目は果たせず							
くどいよ。だが、それほど働きたいというのなら……いいだろう、お前に役目を授けよう。			くどいよ。だが、それほど働きたいというのなら……いいだろう、お前に役目を授けよう。			役目は果たせず							
いずれ、ワシが果てたとき。世界の一片まで見逃さんとする、この目を閉じておくれ。			いずれ、ワシが果てたとき。世界の一片まで見逃さんとする、この目を閉じておくれ。			役目は果たせず							
そして……知ってるんだろう、隠されたホウキのことを。あれをここへ呼んできて、ワシのそばに置くんだよ。			そして……知ってるんだろう、隠されたホウキのことを。あれをここへ呼んできて、ワシのそばに置くんだよ。			役目は果たせず							
ゲコゲコォ！お安いご用です、マトーヤ様！その役目、きっと完璧にこなしてみせるケロ！			ゲコゲコォ！お安いご用です、マトーヤ様！その役目、きっと完璧にこなしてみせるケロ！			役目は果たせず							
……そうかい。では、せいぜい頼んだよ。			……そうかい。では、せいぜい頼んだよ。			役目は果たせず							
お聞きになりましたか、お客人様！あなた様の応援のおかげで、大役をいただけたケロ。この役目があるかぎり、ダメポロッゴには戻らないケロッ！			お聞きになりましたか、お客人様！あなた様の応援のおかげで、大役をいただけたケロ。この役目があるかぎり、ダメポロッゴには戻らないケロッ！			役目は果たせず							
…………まだ、何かあるのかい？			…………まだ、何かあるのかい？			役目は果たせず							
いえ、しっかりお役目を果たすために、マトーヤ様が事切れる瞬間を、見逃してはならないと思いまして……。			いえ、しっかりお役目を果たすために、マトーヤ様が事切れる瞬間を、見逃してはならないと思いまして……。			役目は果たせず							
そうとっとと死んでたまるかい、この大馬鹿がっ！！突っ立ってないで、今すぐお茶を淹れてきな！！			そうとっとと死んでたまるかい、この大馬鹿がっ！！突っ立ってないで、今すぐお茶を淹れてきな！！			役目は果たせず							
ゲ、ゲコォ～～～！			ゲ、ゲコォ～～～！			役目は果たせず							
マトーヤの洞窟の一本気なホウキは、サッサカ掃除をしているようだ。			マトーヤの洞窟の一本気なホウキは、サッサカ掃除をしているようだ。			一番目の願望							
知識を望んだ冒険者は、交換条件として、一本気なホウキの望みを叶えることになった。一本気なホウキは「エーテルの旅の道標」を探しているらしい。低地ドラヴァニアで、それらしきものを探そう。			知識を望んだ冒険者は、交換条件として、一本気なホウキの望みを叶えることになった。一本気なホウキは「エーテルの旅の道標」を探しているらしい。低地ドラヴァニアで、それらしきものを探そう。			一番目の願望							
壊れたエーテライトから、エーテライトの欠片を入手した。マトーヤの洞窟の「一本気なホウキ」に「エーテライトの欠片」を渡そう。			壊れたエーテライトから、エーテライトの欠片を入手した。マトーヤの洞窟の「一本気なホウキ」に「エーテライトの欠片」を渡そう。			一番目の願望							
一本気なホウキに、エーテライトの欠片を渡した。望みが叶って喜んだ一本気なホウキは、マトーヤのエーテル研究の成果について教えてくれた。しかし、マトーヤの望みについては知らないようだ……。			一本気なホウキに、エーテライトの欠片を渡した。望みが叶って喜んだ一本気なホウキは、マトーヤのエーテル研究の成果について教えてくれた。しかし、マトーヤの望みについては知らないようだ……。			一番目の願望							
低地ドラヴァニアで一本気なホウキの望むものを探す			低地ドラヴァニアで一本気なホウキの望むものを探す			一番目の願望							
マトーヤの洞窟の一本気なホウキにエーテライトの欠片を渡す			マトーヤの洞窟の一本気なホウキにエーテライトの欠片を渡す			一番目の願望							
本クエストは「探索型クエスト」です。進行中、ジャーナルや目的リストや地図に、ヒントが表示されない場合があります。			本クエストは「探索型クエスト」です。進行中、ジャーナルや目的リストや地図に、ヒントが表示されない場合があります。			一番目の願望							
ナニカ、ゴヨウデ、サッサカサ！ボクらの知識を望むなら、ボクらの望みも叶えてヨ！			ナニカ、ゴヨウデ、サッサカサ！ボクらの知識を望むなら、ボクらの望みも叶えてヨ！			一番目の願望							
ボク、エーテルに興味シンシン！エーテルは、世界をぐるぐるしてるでショウ？流れにのって旅してみたら、いったいどこまで行けるカナ？			ボク、エーテルに興味シンシン！エーテルは、世界をぐるぐるしてるでショウ？流れにのって旅してみたら、いったいどこまで行けるカナ？			一番目の願望							
だけど、ちょっぴり怖いよネ。行き着く先に塵がなければ、ホウキの存在理由もないし。			だけど、ちょっぴり怖いよネ。行き着く先に塵がなければ、ホウキの存在理由もないし。			一番目の願望							
どこへ行っても戻れるように、道標がほしいのサ。エーテルの旅の道標。キラキラ、ゴツゴツ、ピッカピカ。			どこへ行っても戻れるように、道標がほしいのサ。エーテルの旅の道標。キラキラ、ゴツゴツ、ピッカピカ。			一番目の願望							
シャーレアンの都では、いたるところにあったらしいし、今もそのへんにあるんじゃナイ？探して持ってきてくれたら、ボクの知識をオスソワケ！			シャーレアンの都では、いたるところにあったらしいし、今もそのへんにあるんじゃナイ？探して持ってきてくれたら、ボクの知識をオスソワケ！			一番目の願望							
ボクがキミに望むのは、エーテルの旅の道標。キラキラ、ゴツゴツ、ピッカピカ。			ボクがキミに望むのは、エーテルの旅の道標。キラキラ、ゴツゴツ、ピッカピカ。			一番目の願望							
シャーレアンの都では、いたるところにあったらしいし、今もそのへんにあるんじゃナイ？探して持ってきてくれたら、ボクの知識をオスソワケ！			シャーレアンの都では、いたるところにあったらしいし、今もそのへんにあるんじゃナイ？探して持ってきてくれたら、ボクの知識をオスソワケ！			一番目の願望							
オカエリ、ナサイデ、サッサカサ！それで、サッサと見つかった？エーテルの旅の道標！			オカエリ、ナサイデ、サッサカサ！それで、サッサと見つかった？エーテルの旅の道標！			一番目の願望							
ソウソウ、コレコレ、サッサカサ！ぐるぐる渦巻くエーテルに、ここから飛び込み、飛び出すトカ。……よしよし、これで怖いものなしサ！			ソウソウ、コレコレ、サッサカサ！ぐるぐる渦巻くエーテルに、ここから飛び込み、飛び出すトカ。……よしよし、これで怖いものなしサ！			一番目の願望							
それじゃあ、サッサと教えるヨ！ボクがマトーヤ様から授かった知識……ずばり、「エーテル研究の成果」にツイテ！			それじゃあ、サッサと教えるヨ！ボクがマトーヤ様から授かった知識……ずばり、「エーテル研究の成果」にツイテ！			一番目の願望							
エーテルについて知ることは、万物の成立ちを紐解くコト。つまるところマトーヤ様は、ずーっと世界に挑んできたのサ。			エーテルについて知ることは、万物の成立ちを紐解くコト。つまるところマトーヤ様は、ずーっと世界に挑んできたのサ。			一番目の願望							
その成果ったら膨大で、ボクの穂の隙間にぎゅうぎゅう詰めても、全然おさまらないとキタ！			その成果ったら膨大で、ボクの穂の隙間にぎゅうぎゅう詰めても、全然おさまらないとキタ！			一番目の願望							
今は仕舞われているけれど、たくさんのホウキの兄さんや姉さん、親戚の本たちが、分担して成果を記憶してるヨ！			今は仕舞われているけれど、たくさんのホウキの兄さんや姉さん、親戚の本たちが、分担して成果を記憶してるヨ！			一番目の願望							
……エッ？　知りたいのは、マトーヤ様の「望み」ダッテ？あらあら残念、それはボクの知らないことサ。だって、教えられていないモノ！			……エッ？　知りたいのは、マトーヤ様の「望み」ダッテ？あらあら残念、それはボクの知らないことサ。だって、教えられていないモノ！			一番目の願望							
マトーヤの洞窟のサロ・ロッゴは、憂鬱そうにつぶやいている。			マトーヤの洞窟のサロ・ロッゴは、憂鬱そうにつぶやいている。			使い魔ポロッゴ							
サロ・ロッゴから、マトーヤの薬草についた虫の駆除を依頼された。低地ドラヴァニアのマトーヤの洞窟前にある「マトーヤの薬草」3つを調べ、「オーンフライ」を駆除しよう。			サロ・ロッゴから、マトーヤの薬草についた虫の駆除を依頼された。低地ドラヴァニアのマトーヤの洞窟前にある「マトーヤの薬草」3つを調べ、「オーンフライ」を駆除しよう。			使い魔ポロッゴ							
オーンフライを駆除した。マトーヤの洞窟の「サロ・ロッゴ」に報告しよう。			オーンフライを駆除した。マトーヤの洞窟の「サロ・ロッゴ」に報告しよう。			使い魔ポロッゴ							
サロ・ロッゴに、虫を駆除したことを伝えた。これでお茶が淹れられると喜んだサロ・ロッゴだったが、一転、ほとんどマトーヤの役に立てていないことを嘆きはじめた。マトーヤの洞窟内のホウキたちから、マトーヤの望みを聞き出してみよう。			サロ・ロッゴに、虫を駆除したことを伝えた。これでお茶が淹れられると喜んだサロ・ロッゴだったが、一転、ほとんどマトーヤの役に立てていないことを嘆きはじめた。マトーヤの洞窟内のホウキたちから、マトーヤの望みを聞き出してみよう。			使い魔ポロッゴ							
マトーヤの薬草を調べてオーンフライを討伐			マトーヤの薬草を調べてオーンフライを討伐			使い魔ポロッゴ							
マトーヤの洞窟のサロ・ロッゴに報告			マトーヤの洞窟のサロ・ロッゴに報告			使い魔ポロッゴ							
ゲコゲコォ……。なんてこった、おしまいだ……！マトーヤ様の怒りの炎で、干物にされてしまうんだケロ……。			ゲコゲコォ……。なんてこった、おしまいだ……！マトーヤ様の怒りの炎で、干物にされてしまうんだケロ……。			使い魔ポロッゴ							
ゲコッ……？お、お客人様、わたくしめに力を貸してくださるので？嬉しい……嬉しい……なんて優しいお方だケロ！			ゲコッ……？お、お客人様、わたくしめに力を貸してくださるので？嬉しい……嬉しい……なんて優しいお方だケロ！			使い魔ポロッゴ							
わたくし、「ポロッゴ」と呼ばれる使い魔トードの1匹……名を「サロ・ロッゴ」と申しますケロ。			わたくし、「ポロッゴ」と呼ばれる使い魔トードの1匹……名を「サロ・ロッゴ」と申しますケロ。			使い魔ポロッゴ							
この洞窟の前に茂る薬草をつんでは、マトーヤ様にお茶を淹れるのが、わたくしの役目……。ですが、その役目が果たせなくなり、困り果てておりますケロ。			この洞窟の前に茂る薬草をつんでは、マトーヤ様にお茶を淹れるのが、わたくしの役目……。ですが、その役目が果たせなくなり、困り果てておりますケロ。			使い魔ポロッゴ							
というのも……あの薬草は、マトーヤ様が研究を重ねた逸品なのですが、めでたき薬効を狙ってか、虫が寄りついてしまったのだケロ。			というのも……あの薬草は、マトーヤ様が研究を重ねた逸品なのですが、めでたき薬効を狙ってか、虫が寄りついてしまったのだケロ。			使い魔ポロッゴ							
虫は手ごわく、わたくしめでは、杖もベロも出ないケロ。お客人様、どうかどうか……！薬草から、憎き虫めを駆除してくださいませんか、ゲコォ！			虫は手ごわく、わたくしめでは、杖もベロも出ないケロ。お客人様、どうかどうか……！薬草から、憎き虫めを駆除してくださいませんか、ゲコォ！			使い魔ポロッゴ							
この洞窟の前に茂る薬草から、憎き虫めを追い払ってほしいケロ！どうか、よろしくおねがいしますケロ！			この洞窟の前に茂る薬草から、憎き虫めを追い払ってほしいケロ！どうか、よろしくおねがいしますケロ！			使い魔ポロッゴ							
ゲコゲーコ！ああ、強くて優しい、お客人様！憎き虫めを、ベロリと駆除してくださったのですね！			ゲコゲーコ！ああ、強くて優しい、お客人様！憎き虫めを、ベロリと駆除してくださったのですね！			使い魔ポロッゴ							
おかげさまで、お茶を淹れることができるケロ。それこそ、わたくしめの唯一の役目。そう、唯一の…………ゲコォ……。			おかげさまで、お茶を淹れることができるケロ。それこそ、わたくしめの唯一の役目。そう、唯一の…………ゲコォ……。			使い魔ポロッゴ							
……実はわたくし、使い魔としてあるまじき、ドジでグズなポロッゴなのでございますケロ。			……実はわたくし、使い魔としてあるまじき、ドジでグズなポロッゴなのでございますケロ。			使い魔ポロッゴ							
マトーヤ様に任された役目をことごとく失敗し、仕方なく命じられたのが、日に7度のお茶くみ係。それすらも、此度はお客人様の力を、お借りしたケロ……。			マトーヤ様に任された役目をことごとく失敗し、仕方なく命じられたのが、日に7度のお茶くみ係。それすらも、此度はお客人様の力を、お借りしたケロ……。			使い魔ポロッゴ							
このままでは、魔法を解かれ、物言わぬトードに戻されるのも時間の問題ケロ……。お客人様、後生ですから、再び力をお貸しくださいませんか！			このままでは、魔法を解かれ、物言わぬトードに戻されるのも時間の問題ケロ……。お客人様、後生ですから、再び力をお貸しくださいませんか！			使い魔ポロッゴ							
マトーヤ様の「望み」さえわかれば、わたくしめでも、お役に立てることがあるはずケロ……！そこらのホウキから、それを聞き出してほしいケロ。			マトーヤ様の「望み」さえわかれば、わたくしめでも、お役に立てることがあるはずケロ……！そこらのホウキから、それを聞き出してほしいケロ。			使い魔ポロッゴ							
彼らは、マトーヤ様から知識を授かった、魔法のホウキ。小難しいことを言いたがりますが、お客人様ならきっと、聞き出せると信じてますケロ！			彼らは、マトーヤ様から知識を授かった、魔法のホウキ。小難しいことを言いたがりますが、お客人様ならきっと、聞き出せると信じてますケロ！			使い魔ポロッゴ							
マトーヤの洞窟のサロ・ロッゴは、マトーヤの望みを知りたいようだ。			マトーヤの洞窟のサロ・ロッゴは、マトーヤの望みを知りたいようだ。			フシギナジュモン							
サロ・ロッゴに、ホウキたちからはマトーヤの望みについて聞き出せなかったことを報告した。最後の望みは、1本だけ洞窟の外に隠されているホウキだという。マトーヤの洞窟の「一本気なホウキ」と話し、隠されたホウキを呼び出すための呪文について聞こう。			サロ・ロッゴに、ホウキたちからはマトーヤの望みについて聞き出せなかったことを報告した。最後の望みは、1本だけ洞窟の外に隠されているホウキだという。マトーヤの洞窟の「一本気なホウキ」と話し、隠されたホウキを呼び出すための呪文について聞こう。			フシギナジュモン							
一本気なホウキと話し、隠されたホウキが、彼らの妹にあたる存在だと知った。マトーヤの洞窟の「二枚目なホウキ」からも話を聞こう。			一本気なホウキと話し、隠されたホウキが、彼らの妹にあたる存在だと知った。マトーヤの洞窟の「二枚目なホウキ」からも話を聞こう。			フシギナジュモン							
二枚目なホウキと話し、呪文はマトーヤの大事なものらしいと知った。マトーヤの洞窟の「三下りなホウキ」からも話を聞こう。			二枚目なホウキと話し、呪文はマトーヤの大事なものらしいと知った。マトーヤの洞窟の「三下りなホウキ」からも話を聞こう。			フシギナジュモン							
三下りなホウキに、マトーヤの大事なものについて聞いた。心当たりがありすぎて選べないそうだが、反対に、嫌いなものは弟子の「シュトラ」だそうだ。マトーヤの洞窟の「サロ・ロッゴ」と話そう。			三下りなホウキに、マトーヤの大事なものについて聞いた。心当たりがありすぎて選べないそうだが、反対に、嫌いなものは弟子の「シュトラ」だそうだ。マトーヤの洞窟の「サロ・ロッゴ」と話そう。			フシギナジュモン							
サロ・ロッゴと話した。これまでの証言や、サロ・ロッゴの言葉から、隠されたホウキを呼び出す呪文を推理しよう。呪文がわかったら、低地ドラヴァニアのマトーヤの洞窟東にある「指定地点」に向かい、チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで呪文を入力しよう。			サロ・ロッゴと話した。これまでの証言や、サロ・ロッゴの言葉から、隠されたホウキを呼び出す呪文を推理しよう。呪文がわかったら、低地ドラヴァニアのマトーヤの洞窟東にある「指定地点」に向かい、チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで呪文を入力しよう。			フシギナジュモン							
呪文を告げたところ、近くで物音と声がした。マトーヤの洞窟東にある橋付近で、「四つ葉なホウキ」と話そう。			呪文を告げたところ、近くで物音と声がした。マトーヤの洞窟東にある橋付近で、「四つ葉なホウキ」と話そう。			フシギナジュモン							
四つ葉なホウキと話したが、彼女が持っている知識は、シュトラにまつわる思い出だけだった。マトーヤの洞窟の「サロ・ロッゴ」に報告しよう。			四つ葉なホウキと話したが、彼女が持っている知識は、シュトラにまつわる思い出だけだった。マトーヤの洞窟の「サロ・ロッゴ」に報告しよう。			フシギナジュモン							
サロ・ロッゴに報告した。いよいよマトーヤの望みを知るすべがなくなって、サロ・ロッゴは大いに落胆しているようだ。			サロ・ロッゴに報告した。いよいよマトーヤの望みを知るすべがなくなって、サロ・ロッゴは大いに落胆しているようだ。			フシギナジュモン							
一本気なホウキと話す			一本気なホウキと話す			フシギナジュモン							
二枚目なホウキと話す			二枚目なホウキと話す			フシギナジュモン							
三下りなホウキと話す			三下りなホウキと話す			フシギナジュモン							
サロ・ロッゴと話す			サロ・ロッゴと話す			フシギナジュモン							
マトーヤの洞窟東の指定地点周辺に向かいチャットの「Say」モードで呪文を告げる			マトーヤの洞窟東の指定地点周辺に向かいチャットの「Say」モードで呪文を告げる			フシギナジュモン							
四つ葉なホウキと話す			四つ葉なホウキと話す			フシギナジュモン							
サロ・ロッゴに報告			サロ・ロッゴに報告			フシギナジュモン							
本クエストは「探索型クエスト」です。進行中、ジャーナルや目的リストや地図に、ヒントが表示されない場合があります。			本クエストは「探索型クエスト」です。進行中、ジャーナルや目的リストや地図に、ヒントが表示されない場合があります。			フシギナジュモン							
ゲコゲコォ……。いかがでしたか、お客人様。マトーヤ様の望みについて、ホウキから聞けたでしょうか？			ゲコゲコォ……。いかがでしたか、お客人様。マトーヤ様の望みについて、ホウキから聞けたでしょうか？			フシギナジュモン							
おお、なんと！まさか誰も知らないとは……。知りたがりのホウキのくせに、どうにもスカスカ頭ケロ。			おお、なんと！まさか誰も知らないとは……。知りたがりのホウキのくせに、どうにもスカスカ頭ケロ。			フシギナジュモン							
お客人様、手を煩わせてすみませんケロ。けれど、あとひとつ……最後の希望に賭けたいケロ！			お客人様、手を煩わせてすみませんケロ。けれど、あとひとつ……最後の希望に賭けたいケロ！			フシギナジュモン							
……実は、1本だけ、洞窟の外に隠されたホウキがいるケロ。以前、マトーヤ様が「呪文」を唱えて、そのホウキを呼び出しているのを見ましたケロ。			……実は、1本だけ、洞窟の外に隠されたホウキがいるケロ。以前、マトーヤ様が「呪文」を唱えて、そのホウキを呼び出しているのを見ましたケロ。			フシギナジュモン							
あれが特別なホウキなら、何でも知ってるに違いないケロ。肝心の呪文が聞き取れませんでしたが……ホウキのことなら、今度こそホウキが知ってるはずケロ！			あれが特別なホウキなら、何でも知ってるに違いないケロ。肝心の呪文が聞き取れませんでしたが……ホウキのことなら、今度こそホウキが知ってるはずケロ！			フシギナジュモン							
洞窟の外にいる、特別なホウキを呼ぶための呪文……。ホウキのことなら、今度こそホウキが知ってるはずケロ！			洞窟の外にいる、特別なホウキを呼ぶための呪文……。ホウキのことなら、今度こそホウキが知ってるはずケロ！			フシギナジュモン							
マタマタ、ゴヨウデ、サッサカサ！さっきはどうもアリガトウ。聞きたいことがあるのなら、今ならサッサと答えまショウ！			マタマタ、ゴヨウデ、サッサカサ！さっきはどうもアリガトウ。聞きたいことがあるのなら、今ならサッサと答えまショウ！			フシギナジュモン							
……ナルホド、ショウチデ、サッサカサ！呪文については知らないけれど、確かに外にもホウキはいるヨ！			……ナルホド、ショウチデ、サッサカサ！呪文については知らないけれど、確かに外にもホウキはいるヨ！			フシギナジュモン							
ボクらと同じ木から作られた、柄のツヤツヤした妹チャン。ほかの兄弟たちならば、最近会っているかもネ！			ボクらと同じ木から作られた、柄のツヤツヤした妹チャン。ほかの兄弟たちならば、最近会っているかもネ！			フシギナジュモン							
確かに外にもホウキはいるヨ！ボクらと同じ木から作られた、柄のツヤツヤした妹チャン。ほかの兄弟たちならば、最近会っているかもネ！			確かに外にもホウキはいるヨ！ボクらと同じ木から作られた、柄のツヤツヤした妹チャン。ほかの兄弟たちならば、最近会っているかもネ！			フシギナジュモン							
ボクニモ、ゴヨウデ、サッサカサ！……妹ちゃんに興味があるノ？彼女はとっても可愛いけれど、手を出さないなら教えてアゲル。			ボクニモ、ゴヨウデ、サッサカサ！……妹ちゃんに興味があるノ？彼女はとっても可愛いけれど、手を出さないなら教えてアゲル。			フシギナジュモン							
妹ちゃんは外にいて、ボクらでさえも、まず会えナイ。それでもどうにか一度だけ、穂のお手入れで会えたから、会う方法を聞いたのサ。			妹ちゃんは外にいて、ボクらでさえも、まず会えナイ。それでもどうにか一度だけ、穂のお手入れで会えたから、会う方法を聞いたのサ。			フシギナジュモン							
マトーヤ様の大事なモノ……それを告げてくれたなら、また会えるって彼女は言ッタ。ボクにはわからないけれど、ほかの兄弟はどうカシラ？			マトーヤ様の大事なモノ……それを告げてくれたなら、また会えるって彼女は言ッタ。ボクにはわからないけれど、ほかの兄弟はどうカシラ？			フシギナジュモン							
マトーヤ様の大事なモノ……それを告げてくれたなら、また会えるって彼女は言ッタ。ボクにはわからないけれど、ほかの兄弟はどうカシラ？			マトーヤ様の大事なモノ……それを告げてくれたなら、また会えるって彼女は言ッタ。ボクにはわからないけれど、ほかの兄弟はどうカシラ？			フシギナジュモン							
コンドハ、ナニカナ、サッサカサ！……マトーヤ様の大事なモノ？研究成果や、秘宝にお茶……いっぱいあって大混乱！			コンドハ、ナニカナ、サッサカサ！……マトーヤ様の大事なモノ？研究成果や、秘宝にお茶……いっぱいあって大混乱！			フシギナジュモン							
いちばん嫌いなものならば、すぐにわかるんだけれどネ。ほらほら、ご存じ、最後のお弟子……「シュトラ」のことに決まってル！			いちばん嫌いなものならば、すぐにわかるんだけれどネ。ほらほら、ご存じ、最後のお弟子……「シュトラ」のことに決まってル！			フシギナジュモン							
今でもブツクサ文句を言って、あれは相当嫌いだネ！何かにつけて、やれ「シュトラ」！まったくもって……サッサカサ！			今でもブツクサ文句を言って、あれは相当嫌いだネ！何かにつけて、やれ「シュトラ」！まったくもって……サッサカサ！			フシギナジュモン							
いちばん嫌いなものならば、すぐにわかるんだけれどネ。ほらほら、ご存じ、最後のお弟子……「シュトラ」のことに決まってル！			いちばん嫌いなものならば、すぐにわかるんだけれどネ。ほらほら、ご存じ、最後のお弟子……「シュトラ」のことに決まってル！			フシギナジュモン							
ゲコゲーコ！特別なホウキを呼ぶ呪文、無事に判明したのでしょうか……？			ゲコゲーコ！特別なホウキを呼ぶ呪文、無事に判明したのでしょうか……？			フシギナジュモン							
ふむふむ、なるほど、ケロケロケロ……。マトーヤ様の大事なもの……。「シュトラ」が嫌いで……サッ……サカサ……。			ふむふむ、なるほど、ケロケロケロ……。マトーヤ様の大事なもの……。「シュトラ」が嫌いで……サッ……サカサ……。			フシギナジュモン							
……ゲコゲゴゲコォ！ち～～～っともわからないケロ！			……ゲコゲゴゲコォ！ち～～～っともわからないケロ！			フシギナジュモン							
お客人様、もしも呪文がわかったならば、ここより東の橋のあたりで、叫んでみてほしいケロ。前に見たマトーヤ様は、そこでホウキと会っていたケロ。			お客人様、もしも呪文がわかったならば、ここより東の橋のあたりで、叫んでみてほしいケロ。前に見たマトーヤ様は、そこでホウキと会っていたケロ。			フシギナジュモン							
マトーヤの洞窟の東にある「指定地点」周辺で、呪文を唱える必要がありそうだ……。			マトーヤの洞窟の東にある「指定地点」周辺で、呪文を唱える必要がありそうだ……。			フシギナジュモン							
チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで呪文を入力しよう。			チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで呪文を入力しよう。			フシギナジュモン							
マトーヤ様の大事なもの……。「シュトラ」が嫌いで……サッ……サカサ……。…………ゲコォ、ちっともわからないケロ！			マトーヤ様の大事なもの……。「シュトラ」が嫌いで……サッ……サカサ……。…………ゲコォ、ちっともわからないケロ！			フシギナジュモン							
お客人様、もしも呪文がわかったならば、ここより東の橋のあたりで、叫んでみてほしいケロ。前に見たマトーヤ様は、そこでホウキと会っていたケロ。			お客人様、もしも呪文がわかったならば、ここより東の橋のあたりで、叫んでみてほしいケロ。前に見たマトーヤ様は、そこでホウキと会っていたケロ。			フシギナジュモン							
チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで呪文を入力しよう。			チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで呪文を入力しよう。			フシギナジュモン							
呪文を告げると、近くで物音がした……。			呪文を告げると、近くで物音がした……。			フシギナジュモン							
(-？？？？-)……フシギナ、ジュモン、サ、サッサカサ。ワタシのことを、お呼びですカ……？			(-？？？？-)……フシギナ、ジュモン、サ、サッサカサ。ワタシのことを、お呼びですカ……？			フシギナジュモン							
オヨビ、デシタカ、サッサカサ……。見たところ、旅のお方のようですネ。			オヨビ、デシタカ、サッサカサ……。見たところ、旅のお方のようですネ。			フシギナジュモン							
ワタシは何も望みませんから、どうか、ワタシに望みませんヨウ……。お役にたてる知識など、これっぽっちもないのデス。			ワタシは何も望みませんから、どうか、ワタシに望みませんヨウ……。お役にたてる知識など、これっぽっちもないのデス。			フシギナジュモン							
ワタシがマトーヤ様から授かったのは、「思い出」という名の知識……。			ワタシがマトーヤ様から授かったのは、「思い出」という名の知識……。			フシギナジュモン							
小さなシュトラのあたたかな手や、彼女の起こした失敗のコト……成長のコト……。使命を負って旅立つまでの、他愛もない会話の記録……。			小さなシュトラのあたたかな手や、彼女の起こした失敗のコト……成長のコト……。使命を負って旅立つまでの、他愛もない会話の記録……。			フシギナジュモン							
マトーヤ様は、それらを傍に置けないお方。ゆえにワタシは洞窟を出て、この知識を、ひっそり守っているのデス。			マトーヤ様は、それらを傍に置けないお方。ゆえにワタシは洞窟を出て、この知識を、ひっそり守っているのデス。			フシギナジュモン							
……わかっていただけましたでしょうカ。どうかどうか、ササッとお引き取りくださいマセ……。			……わかっていただけましたでしょうカ。どうかどうか、ササッとお引き取りくださいマセ……。			フシギナジュモン							
ワタシがマトーヤ様から授かったのは、「思い出」という名の知識……。お役にたてる知識など、これっぽっちもないのデス。			ワタシがマトーヤ様から授かったのは、「思い出」という名の知識……。お役にたてる知識など、これっぽっちもないのデス。			フシギナジュモン							
ゲ、ゲコォ！？まさか、ホウキと会えたのですか！さすがケロ……それで、そのホウキは何と？			ゲ、ゲコォ！？まさか、ホウキと会えたのですか！さすがケロ……それで、そのホウキは何と？			フシギナジュモン							
