情報屋のワイモンドは、冒険者に紹介したい仕事があるようだ。			情報屋のワイモンドは、冒険者に紹介したい仕事があるようだ。			謎の事件屋							
(-紫色のタコもどき-)せっかく今、優勝候補の剣闘士「アヴィラ」ちゃんに、事務所の案内をしとったのに～。			(-紫色のタコもどき-)せっかく今、優勝候補の剣闘士「アヴィラ」ちゃんに、事務所の案内をしとったのに～。			金色に染まるコロセウム							
ヒルディブランド様、たっ、大変です！足がいっぱいあります～！			ヒルディブランド様、たっ、大変です！足がいっぱいあります～！			金色に染まるコロセウム							
あ、あんなにたくさん！？こいつはもう、事件の香りしかしませんぞ！！			あ、あんなにたくさん！？こいつはもう、事件の香りしかしませんぞ！！			金色に染まるコロセウム							
ああ、そいつは「オルトロス」っつー奴だ。呪術士ギルドが珍しい古文書を元に妖異召喚の実験をしたら、妙な妖異が数体でてきて、その中にいたようだ。			ああ、そいつは「オルトロス」っつー奴だ。呪術士ギルドが珍しい古文書を元に妖異召喚の実験をしたら、妙な妖異が数体でてきて、その中にいたようだ。			金色に染まるコロセウム							
呪術士の連中が封印しようとしたところを、こいつは、「大人しくするからエオルゼアで生活したい」と食い下がってな。結局、コロセウム財団が引き取り、下働きに雇ったってわけだ。			呪術士の連中が封印しようとしたところを、こいつは、「大人しくするからエオルゼアで生活したい」と食い下がってな。結局、コロセウム財団が引き取り、下働きに雇ったってわけだ。			金色に染まるコロセウム							
うひょひょ、かわいい女の子はオルちゃんって呼んでね～。受付業ってのは、はじめは面倒だったけど～、やってみるとなかなか楽しいのだ。			うひょひょ、かわいい女の子はオルちゃんって呼んでね～。受付業ってのは、はじめは面倒だったけど～、やってみるとなかなか楽しいのだ。			金色に染まるコロセウム							
アヴィラちゃんみたいな、つおくて美人な剣闘士と、仲良くなれるもんね～！			アヴィラちゃんみたいな、つおくて美人な剣闘士と、仲良くなれるもんね～！			金色に染まるコロセウム							
……フン、事件屋だかなんだか知らないが、覚悟しておけ。私の剣が舞い起こす竜巻で、貴様らをあの世に送ってやる。			……フン、事件屋だかなんだか知らないが、覚悟しておけ。私の剣が舞い起こす竜巻で、貴様らをあの世に送ってやる。			金色に染まるコロセウム							
優勝賞品は、怪盗にも貴様らにも渡さない。私が勝ち取ってみせるさ。			優勝賞品は、怪盗にも貴様らにも渡さない。私が勝ち取ってみせるさ。			金色に染まるコロセウム							
……それで、大会に参加して、アヴィラちゃんに倒されたいバカちんは、どこのどいつなの～？			……それで、大会に参加して、アヴィラちゃんに倒されたいバカちんは、どこのどいつなの～？			金色に染まるコロセウム							
……フッフッフ、仕方がありません。ここはこの私、事件屋ヒルディブランドが……！			……フッフッフ、仕方がありません。ここはこの私、事件屋ヒルディブランドが……！			金色に染まるコロセウム							
Forename、頼めるか。君の実力なら、優勝は確実だろう。			Forename、頼めるか。君の実力なら、優勝は確実だろう。			金色に染まるコロセウム							
Forenameって……まさか、Forename Surname？エオルゼア同盟軍とともに帝国を退けた、光の戦士か！？			Forenameって……まさか、Forename Surname？エオルゼア同盟軍とともに帝国を退けた、光の戦士か！？			金色に染まるコロセウム							
ガッハッハ、そいつは面白ぇ！噂の英雄様が参加するっつったら、観客の財布も緩むな！そんじゃ、事件屋と英雄様を選手登録しとこうじゃねぇか！			ガッハッハ、そいつは面白ぇ！噂の英雄様が参加するっつったら、観客の財布も緩むな！そんじゃ、事件屋と英雄様を選手登録しとこうじゃねぇか！			金色に染まるコロセウム							
やれやれ……。出場するとなれば、優勝を目指さないとね。……例の「剣闘士殺し」に会わなければいいんだけど。			やれやれ……。出場するとなれば、優勝を目指さないとね。……例の「剣闘士殺し」に会わなければいいんだけど。			金色に染まるコロセウム							
先ほどの女剣士……アヴィラの異様な自信も気になる。何か「仕掛け」がないか、調べておいたほうがいいだろう。			先ほどの女剣士……アヴィラの異様な自信も気になる。何か「仕掛け」がないか、調べておいたほうがいいだろう。			金色に染まるコロセウム							
ええ、そうですな！ではさっそく、あの事件性のあるタコ足を持つ、オルちゃん殿に聞いて……！			ええ、そうですな！ではさっそく、あの事件性のあるタコ足を持つ、オルちゃん殿に聞いて……！			金色に染まるコロセウム							
あんた、オルトロスが気に入ってるだけでしょ！……いい？　コロセウムのことなら、友人の記者「ガネロン」に聞くといいわ。			あんた、オルトロスが気に入ってるだけでしょ！……いい？　コロセウムのことなら、友人の記者「ガネロン」に聞くといいわ。			金色に染まるコロセウム							
そちらは任せた、ぼくは別方面で調査を進める。何か重要な情報がわかったら、共有してくれ。			そちらは任せた、ぼくは別方面で調査を進める。何か重要な情報がわかったら、共有してくれ。			金色に染まるコロセウム							
荒れ模様の大会に参加するなんて、あんたも物好きだなぁ。噂になってる「剣闘士殺し」には気をつけろよ？			荒れ模様の大会に参加するなんて、あんたも物好きだなぁ。噂になってる「剣闘士殺し」には気をつけろよ？			金色に染まるコロセウム							
ガネロン殿とやらに、「剣闘士殺し」の情報を聞いてみましょう！			ガネロン殿とやらに、「剣闘士殺し」の情報を聞いてみましょう！			金色に染まるコロセウム							
あなたに優勝を勝ち取ってもらうためにも、できる対策はしておかないとね。			あなたに優勝を勝ち取ってもらうためにも、できる対策はしておかないとね。			金色に染まるコロセウム							
なんだよ、まだ聞きたいことがあんのか？……って、お前らも大会にエントリーしたのかよ。			なんだよ、まだ聞きたいことがあんのか？……って、お前らも大会にエントリーしたのかよ。			金色に染まるコロセウム							
それで「剣闘士殺し」について、聞きにきたってか。チッ、情報はやるから、自分の身は自分で守れよ？			それで「剣闘士殺し」について、聞きにきたってか。チッ、情報はやるから、自分の身は自分で守れよ？			金色に染まるコロセウム							
参加を辞退するまで追い込まれている闘士たちは……組み合せ的に、「アヴィラ」と戦う可能性が高い奴ばかりだった。……だから大会に出るつもりなら、アイツには近づくな。			参加を辞退するまで追い込まれている闘士たちは……組み合せ的に、「アヴィラ」と戦う可能性が高い奴ばかりだった。……だから大会に出るつもりなら、アイツには近づくな。			金色に染まるコロセウム							
アヴィラの詳しい情報が知りたいのなら、実際に彼女と戦った闘士にでも、話を聞いてみるんだな。			アヴィラの詳しい情報が知りたいのなら、実際に彼女と戦った闘士にでも、話を聞いてみるんだな。			金色に染まるコロセウム							
予選大会に出た「レイジング・ラット」って奴が、彼女に、ボロッボロのボロ雑巾みてぇに負けてるんだ。格闘士ギルドにいるはずだ、会ってみちゃどうだい？			予選大会に出た「レイジング・ラット」って奴が、彼女に、ボロッボロのボロ雑巾みてぇに負けてるんだ。格闘士ギルドにいるはずだ、会ってみちゃどうだい？			金色に染まるコロセウム							
予選大会に出た「レイジング・ラット」って奴が、アヴィラに、ボロッボロのボロ雑巾みてぇに負けてるんだ。格闘士ギルドにいるはずだ、会ってみちゃどうだい？			予選大会に出た「レイジング・ラット」って奴が、アヴィラに、ボロッボロのボロ雑巾みてぇに負けてるんだ。格闘士ギルドにいるはずだ、会ってみちゃどうだい？			金色に染まるコロセウム							
ガネロン殿が紹介してくれた選手に、会いに行きますぞ。敗戦で心を傷つけているかもしれません……できるだけ、優しく話をせねばなりませんな！			ガネロン殿が紹介してくれた選手に、会いに行きますぞ。敗戦で心を傷つけているかもしれません……できるだけ、優しく話をせねばなりませんな！			金色に染まるコロセウム							
ハァ……なんだよ……。本大会に出場できなくて落ち込んでるんだ……。俺に聞きたいことがあるなら、優しい奴にしてくれよな……。			ハァ……なんだよ……。本大会に出場できなくて落ち込んでるんだ……。俺に聞きたいことがあるなら、優しい奴にしてくれよな……。			金色に染まるコロセウム							
お任せください、私は紳士な事件屋ですぞ？アヴィラ殿に、予選大会でボロッボロのボロ雑巾みたいに負けた、ルージング・ラット殿に、ズバリ敗因を聞きたいだけです！			お任せください、私は紳士な事件屋ですぞ？アヴィラ殿に、予選大会でボロッボロのボロ雑巾みたいに負けた、ルージング・ラット殿に、ズバリ敗因を聞きたいだけです！			金色に染まるコロセウム							
おおおお、お前、気遣う気ないだろ！？お、俺はあの女に負けたなんて思ってないからな！！			おおおお、お前、気遣う気ないだろ！？お、俺はあの女に負けたなんて思ってないからな！！			金色に染まるコロセウム							
あ、あの女は汚ぇ手を使ってるに違いねぇ。あいつの得意技は、竜巻を巻き起こすほどの「剣風」……。俺は、それに十分注意してたんだ！			あ、あの女は汚ぇ手を使ってるに違いねぇ。あいつの得意技は、竜巻を巻き起こすほどの「剣風」……。俺は、それに十分注意してたんだ！			金色に染まるコロセウム							
だが、その時……俺は見たのさ。あいつが剣を振る前に、竜巻が巻き起こったのを！！あの「剣風」には、何か仕掛けがあるんだ！			だが、その時……俺は見たのさ。あいつが剣を振る前に、竜巻が巻き起こったのを！！あの「剣風」には、何か仕掛けがあるんだ！			金色に染まるコロセウム							
……アヴィラは、アラミゴの出身だ。捨てる物が何もねぇ奴は、何だってするからな！			……アヴィラは、アラミゴの出身だ。捨てる物が何もねぇ奴は、何だってするからな！			金色に染まるコロセウム							
捨てるものが何もない奴は、何だってする……？あんた、ひどいこと言うわね。			捨てるものが何もない奴は、何だってする……？あんた、ひどいこと言うわね。			金色に染まるコロセウム							
……俺は、間違ったことは言ってねぇ。			……俺は、間違ったことは言ってねぇ。			金色に染まるコロセウム							
何か、特殊な装置でも使っているんでしょうか～？それとも、誰か共犯者がいる、とか……。			何か、特殊な装置でも使っているんでしょうか～？それとも、誰か共犯者がいる、とか……。			金色に染まるコロセウム							
うーん、どちらかといえば後者じゃない？……まぁ、勘だけど。			うーん、どちらかといえば後者じゃない？……まぁ、勘だけど。			金色に染まるコロセウム							
おや、エリー殿のコジワが、事件解決の糸口をキャッチしましたかな？			おや、エリー殿のコジワが、事件解決の糸口をキャッチしましたかな？			金色に染まるコロセウム							
コジワは関係ないでしょ！フン、この人が言ってることが本当なら、大掛かりな装置を用意するお金だって無いはずでしょう？			コジワは関係ないでしょ！フン、この人が言ってることが本当なら、大掛かりな装置を用意するお金だって無いはずでしょう？			金色に染まるコロセウム							
むむ、それは一理ありますな……ハッ！私、共犯者の正体が見えてしまいました……！			むむ、それは一理ありますな……ハッ！私、共犯者の正体が見えてしまいました……！			金色に染まるコロセウム							
ズバリ……受付のオルちゃん殿！あの素敵な足で、大量の風を生み出してるに違いありません！			ズバリ……受付のオルちゃん殿！あの素敵な足で、大量の風を生み出してるに違いありません！			金色に染まるコロセウム							
さすがヒルディブランド様～！ナシュも怪しいと思っていました～！			さすがヒルディブランド様～！ナシュも怪しいと思っていました～！			金色に染まるコロセウム							
あんたたちは、オルトロスのこと気に入ってるだけでしょ！			あんたたちは、オルトロスのこと気に入ってるだけでしょ！			金色に染まるコロセウム							
では、オルちゃん殿を探してきますぞ！きっと、コロセウムあたりにいるはずでしょう！			では、オルちゃん殿を探してきますぞ！きっと、コロセウムあたりにいるはずでしょう！			金色に染まるコロセウム							
……お静かに。むこうにオルちゃん殿がいますぞ！			……お静かに。むこうにオルちゃん殿がいますぞ！			金色に染まるコロセウム							
御覧ください、あのステキなタコ足を……。じゃなくて、あの怪しい動きを！			御覧ください、あのステキなタコ足を……。じゃなくて、あの怪しい動きを！			金色に染まるコロセウム							
剣闘士の女性をずっと見つめていますぞ……次の標的を定めたのでしょうか？			剣闘士の女性をずっと見つめていますぞ……次の標的を定めたのでしょうか？			金色に染まるコロセウム							
……話しかけています！これは、本格的に怪しいですぞ！			……話しかけています！これは、本格的に怪しいですぞ！			金色に染まるコロセウム							
………………女性が逃げていってしまいましたな。			………………女性が逃げていってしまいましたな。			金色に染まるコロセウム							
心なしか、オルちゃん殿の肩が落ちている気がします。……どこが肩かわかりませんが。			心なしか、オルちゃん殿の肩が落ちている気がします。……どこが肩かわかりませんが。			金色に染まるコロセウム							
……行ってしまいましたな。ナシュ、後を追いますぞ！			……行ってしまいましたな。ナシュ、後を追いますぞ！			金色に染まるコロセウム							
オルちゃん殿を見つけましたぞ……！			オルちゃん殿を見つけましたぞ……！			金色に染まるコロセウム							
オルトロスさんを見つけました～！今度は、別のお姉さんを狙っているみたいです！			オルトロスさんを見つけました～！今度は、別のお姉さんを狙っているみたいです！			金色に染まるコロセウム							
見てください、あの美味しそうなタコ足……。じゃなくて、危険なタコ足です～。			見てください、あの美味しそうなタコ足……。じゃなくて、危険なタコ足です～。			金色に染まるコロセウム							
……やっぱり、話しかけています～！これは、ますます怪しいですね～！			……やっぱり、話しかけています～！これは、ますます怪しいですね～！			金色に染まるコロセウム							
…………おやぁ、お姉さん、怒って行っちゃいましたね～。			…………おやぁ、お姉さん、怒って行っちゃいましたね～。			金色に染まるコロセウム							
なんだか、オルトロスさんの肩が落ちている気がします。……肩もおいしそうですね～。			なんだか、オルトロスさんの肩が落ちている気がします。……肩もおいしそうですね～。			金色に染まるコロセウム							
ねぇ、オルトロスって……ただナンパしてるだけなんじゃないの……？			ねぇ、オルトロスって……ただナンパしてるだけなんじゃないの……？			金色に染まるコロセウム							
ヒルディブランドは、コスタ・デル・ソルへの移動を促しているようだ。			ヒルディブランドは、コスタ・デル・ソルへの移動を促しているようだ。			るり色の婚約者							
ヒルディブランドは、怪盗白仮面との決戦に向けて、心構えができたようだ。東ラノシアのコスタ・デル・ソルに戻り、「ブリアルディアン」と話そう。			ヒルディブランドは、怪盗白仮面との決戦に向けて、心構えができたようだ。東ラノシアのコスタ・デル・ソルに戻り、「ブリアルディアン」と話そう。			るり色の婚約者							
ブリアルディアンは、アラベラを隠してパーティーをやり過ごすべきだと主張している。アラベラを変装させるため、コスタ・デル・ソルで働く「ゲゲルジュ氏の使用人」から「質素な装束」を貸してもらおう。			ブリアルディアンは、アラベラを隠してパーティーをやり過ごすべきだと主張している。アラベラを変装させるため、コスタ・デル・ソルで働く「ゲゲルジュ氏の使用人」から「質素な装束」を貸してもらおう。			るり色の婚約者							
使用人から質素な装束を貸してもらった。コスタ・デル・ソル付近にいる「アラベラ」に渡そう。			使用人から質素な装束を貸してもらった。コスタ・デル・ソル付近にいる「アラベラ」に渡そう。			るり色の婚約者							
アラベラに質素な装束を渡した。彼女が着替えた「品の良いドレス」は、コスタ・デル・ソルの「ヒルディブランド」に預けよう。			アラベラに質素な装束を渡した。彼女が着替えた「品の良いドレス」は、コスタ・デル・ソルの「ヒルディブランド」に預けよう。			るり色の婚約者							
ヒルディブランドに「品の良いドレス」を渡した。彼は、ヴァンネスの怒りをおさめ、怪盗白仮面を見つけ出す術を思いついたようだ。コスタ・デル・ソルの指定地点で待機し、婚約発表が始まるのを待とう。			ヒルディブランドに「品の良いドレス」を渡した。彼は、ヴァンネスの怒りをおさめ、怪盗白仮面を見つけ出す術を思いついたようだ。コスタ・デル・ソルの指定地点で待機し、婚約発表が始まるのを待とう。			るり色の婚約者							
ヒルディブランドの推理も虚しく、怪盗白仮面は、アラベラが着けている「太陽の首飾り」を奪って逃げていってしまった。次の標的はコロシアムで行われる「アマジナ杯闘技会の賞品」だという。事件屋たちは、次こそ「怪盗白仮面」の予告を止めることができるのだろうか……？			ヒルディブランドの推理も虚しく、怪盗白仮面は、アラベラが着けている「太陽の首飾り」を奪って逃げていってしまった。次の標的はコロシアムで行われる「アマジナ杯闘技会の賞品」だという。事件屋たちは、次こそ「怪盗白仮面」の予告を止めることができるのだろうか……？			るり色の婚約者							
コスタ・デル・ソルのブリアルディアンと話す			コスタ・デル・ソルのブリアルディアンと話す			るり色の婚約者							
ゲゲルジュ氏の使用人から質素な装束を入手			ゲゲルジュ氏の使用人から質素な装束を入手			るり色の婚約者							
アラベラに質素な装束を渡す			アラベラに質素な装束を渡す			るり色の婚約者							
ヒルディブランドに品の良いドレスを渡す			ヒルディブランドに品の良いドレスを渡す			るり色の婚約者							
指定地点で待機			指定地点で待機			るり色の婚約者							
さて、アラベラ殿の無事も確認できたことですし、ついに、「怪盗白仮面」との対決の時ですな。			さて、アラベラ殿の無事も確認できたことですし、ついに、「怪盗白仮面」との対決の時ですな。			るり色の婚約者							
……なに、不安な顔をすることはありません。「マンダヴィル流交渉術」で鍛えあげた推理力で、私がすぐに変装を見破ってみせますからな！			……なに、不安な顔をすることはありません。「マンダヴィル流交渉術」で鍛えあげた推理力で、私がすぐに変装を見破ってみせますからな！			るり色の婚約者							
そうだ、アラベラ殿を救ったあかつきには、冒険者殿にも、この思考体操の術を教えましょう！			そうだ、アラベラ殿を救ったあかつきには、冒険者殿にも、この思考体操の術を教えましょう！			るり色の婚約者							
今後の冒険に必要……というものではありませんが、私は、毎晩就寝前に行っていましたからな！続ければ、私のような事件屋になれるかもしれませんぞ？			今後の冒険に必要……というものではありませんが、私は、毎晩就寝前に行っていましたからな！続ければ、私のような事件屋になれるかもしれませんぞ？			るり色の婚約者							
……おっと、余談が過ぎましたな。それでは、終幕の地……コスタ・デル・ソルに戻りますぞ！			……おっと、余談が過ぎましたな。それでは、終幕の地……コスタ・デル・ソルに戻りますぞ！			るり色の婚約者							
だいぶ人が増えてきましたな……。			だいぶ人が増えてきましたな……。			るり色の婚約者							
私は準備をしてから、レウェンと向かいますね。コスタ・デル・ソルでお会いしましょう。			私は準備をしてから、レウェンと向かいますね。コスタ・デル・ソルでお会いしましょう。			るり色の婚約者							
アラベラ殿は、まもなく、こちらに到着するそうですぞ。コスタ・デル・ソルの様子はいかがですかな？			アラベラ殿は、まもなく、こちらに到着するそうですぞ。コスタ・デル・ソルの様子はいかがですかな？			るり色の婚約者							
……手袋をしているような客は、今のところ見当たらない。チッ、「怪盗白仮面」は近くにいるはずなのに……！			……手袋をしているような客は、今のところ見当たらない。チッ、「怪盗白仮面」は近くにいるはずなのに……！			るり色の婚約者							
アラベラさん、そろそろ登場かしら？本物を見るのが楽しみだわ～！			アラベラさん、そろそろ登場かしら？本物を見るのが楽しみだわ～！			るり色の婚約者							
……もう時間がないな。こうなったら、アラベラを舞台にあげるのを止めるしかない。			……もう時間がないな。こうなったら、アラベラを舞台にあげるのを止めるしかない。			るり色の婚約者							
でも、そんなことをしたら、ヴァンネスやモルガントたちが怒るんじゃない？			でも、そんなことをしたら、ヴァンネスやモルガントたちが怒るんじゃない？			るり色の婚約者							
フン、知ったことか。ヴァンネスたちのことはきっと……このポンコツ事件屋がなんとかするはずだ。			フン、知ったことか。ヴァンネスたちのことはきっと……このポンコツ事件屋がなんとかするはずだ。			るり色の婚約者							
ええ～っ、私ですか～！？			ええ～っ、私ですか～！？			るり色の婚約者							
憎まれ役だが、彼女を守るための名誉ある仕事だ。「優秀な事件屋」の君にしか任せられない。ヴァンネスたちを、うまく抑えてくれ。			憎まれ役だが、彼女を守るための名誉ある仕事だ。「優秀な事件屋」の君にしか任せられない。ヴァンネスたちを、うまく抑えてくれ。			るり色の婚約者							
……ブリ殿、わかってくれたのですね！ヴァンネス殿のことは、優秀な事件屋の私にお任せあれ！			……ブリ殿、わかってくれたのですね！ヴァンネス殿のことは、優秀な事件屋の私にお任せあれ！			るり色の婚約者							
……単純なやつだ。さて、そうと決まったら、アラベラを隠したほうがいいな。変装用に、地味な服があればいいが……。			……単純なやつだ。さて、そうと決まったら、アラベラを隠したほうがいいな。変装用に、地味な服があればいいが……。			るり色の婚約者							
それなら、向こうの小屋にいる、ここの使用人に頼むと良いかもしれないわ。			それなら、向こうの小屋にいる、ここの使用人に頼むと良いかもしれないわ。			るり色の婚約者							
それでは、Forenameに頼もう。受け取った服は、到着したアラベラに渡せばいい。頼んだぞ。			それでは、Forenameに頼もう。受け取った服は、到着したアラベラに渡せばいい。頼んだぞ。			るり色の婚約者							
ヴァンネス殿は私におまかせあれ！優秀な事件屋ですから、なんとかなりますぞ！			ヴァンネス殿は私におまかせあれ！優秀な事件屋ですから、なんとかなりますぞ！			るり色の婚約者							
使用人に、変装用の服を借りてきてくれ。受け取った服は、到着したアラベラに渡せばいい。頼んだぞ。			使用人に、変装用の服を借りてきてくれ。受け取った服は、到着したアラベラに渡せばいい。頼んだぞ。			るり色の婚約者							
今日のコスタ・デル・ソルは、なんだか華やかね。お偉いさんの、婚約発表があるんでしょう？			今日のコスタ・デル・ソルは、なんだか華やかね。お偉いさんの、婚約発表があるんでしょう？			るり色の婚約者							
え？　なるべく地味な服を貸してほしいって？まぁいいけど……華やかな場で、いったい何に使うの？			え？　なるべく地味な服を貸してほしいって？まぁいいけど……華やかな場で、いったい何に使うの？			るり色の婚約者							
今日のコスタ・デル・ソルは、なんだか華やかね。お偉いさんの、婚約発表があるんでしょう？			今日のコスタ・デル・ソルは、なんだか華やかね。お偉いさんの、婚約発表があるんでしょう？			るり色の婚約者							
あら、先ほどの冒険者さん。遅れてしまってすみません。……あら、私に何か渡すものがあるのですか？			あら、先ほどの冒険者さん。遅れてしまってすみません。……あら、私に何か渡すものがあるのですか？			るり色の婚約者							
……なるほど、舞台にはあがらず、この服に着替えて隠れておくのですね。			……なるほど、舞台にはあがらず、この服に着替えて隠れておくのですね。			るり色の婚約者							
君がアラベラか？その衣装を着たら、会場に向かって構わない。だが、ぼくの目の届く所にいてくれ。			君がアラベラか？その衣装を着たら、会場に向かって構わない。だが、ぼくの目の届く所にいてくれ。			るり色の婚約者							
でも……そんなことしたら、父やヴァンネス様が怒ってしまうはずです……。			でも……そんなことしたら、父やヴァンネス様が怒ってしまうはずです……。			るり色の婚約者							
そっちは、ポンコツ事件屋が何とかするはずだ。貴方はまず「怪盗白仮面」から、自分の身を守ることを考えろ。……やつは、ぼくを殺そうとするほど危険なのだから。			そっちは、ポンコツ事件屋が何とかするはずだ。貴方はまず「怪盗白仮面」から、自分の身を守ることを考えろ。……やつは、ぼくを殺そうとするほど危険なのだから。			るり色の婚約者							
……そうでしたね。アラベラ様、彼らの指示に従いましょう。			……そうでしたね。アラベラ様、彼らの指示に従いましょう。			るり色の婚約者							
でも、そんなことをしたら、貴方だって……。			でも、そんなことをしたら、貴方だって……。			るり色の婚約者							
いいのです……いや、僕は初めから止めるべきだったんだ。それに、こうやって事件屋も動いてくれています。きっとうまくいきますよ。			いいのです……いや、僕は初めから止めるべきだったんだ。それに、こうやって事件屋も動いてくれています。きっとうまくいきますよ。			るり色の婚約者							
……わかりました。幌の中で着替えをしてきます、少しお待ちください。			……わかりました。幌の中で着替えをしてきます、少しお待ちください。			るり色の婚約者							
準備ができました。そうだ、着替えたあとの服は、どうすればよろしいでしょうか？			準備ができました。そうだ、着替えたあとの服は、どうすればよろしいでしょうか？			るり色の婚約者							
そうだな、Forename、雑用担当のポンコツ事件屋にでも渡しておいてくれ。……それでは、会場に戻ろう。			そうだな、Forename、雑用担当のポンコツ事件屋にでも渡しておいてくれ。……それでは、会場に戻ろう。			るり色の婚約者							
……なんとしてでも、「怪盗白仮面」を見つけ出すぞ。			……なんとしてでも、「怪盗白仮面」を見つけ出すぞ。			るり色の婚約者							
私は今、ヴァンネス殿をごまかすための、作戦を練っているのですが……冒険者殿、何か御用でも？			私は今、ヴァンネス殿をごまかすための、作戦を練っているのですが……冒険者殿、何か御用でも？			るり色の婚約者							
これは、アラベラ殿のドレス……？フッフッフ、なるほど……確かに預かりましたぞ！			これは、アラベラ殿のドレス……？フッフッフ、なるほど……確かに預かりましたぞ！			るり色の婚約者							
さぁ、そろそろパーティーが始まるようです。私はヴァンネス殿の元に向かいましょう。冒険者殿は、その辺りでお待ちください。			さぁ、そろそろパーティーが始まるようです。私はヴァンネス殿の元に向かいましょう。冒険者殿は、その辺りでお待ちください。			るり色の婚約者							
……大丈夫ですとも。この事件屋ヒルディブランド、必ずや「怪盗白仮面」を見つけ出してみせましょう！			……大丈夫ですとも。この事件屋ヒルディブランド、必ずや「怪盗白仮面」を見つけ出してみせましょう！			るり色の婚約者							
……チッ、右手の怪我が目印になるとはいえ、こうも人がいると、さすがに探すのが難しいな。			……チッ、右手の怪我が目印になるとはいえ、こうも人がいると、さすがに探すのが難しいな。			るり色の婚約者							
皆様、本日はブルゲール商会と東アルデナード商会の交流パーティーに、よくぞお集まりいただきました。			皆様、本日はブルゲール商会と東アルデナード商会の交流パーティーに、よくぞお集まりいただきました。			るり色の婚約者							
商談に花を咲かせている時分ではございましょうが、ここでひとつ、皆様おまちかねの、「あの発表」に移らせていただきたいと存じます。			商談に花を咲かせている時分ではございましょうが、ここでひとつ、皆様おまちかねの、「あの発表」に移らせていただきたいと存じます。			るり色の婚約者							
噂の「るり色の乙女」のご登場か！？ヴァンネス様にふわさしい美女……楽しみだなぁ！			噂の「るり色の乙女」のご登場か！？ヴァンネス様にふわさしい美女……楽しみだなぁ！			るり色の婚約者							
えー、東アルデナード商会の重役令嬢アラベラさんと、ブルゲール商会の次期会長である我が息子ヴァンネスが、正式に婚約をすることになりました。			えー、東アルデナード商会の重役令嬢アラベラさんと、ブルゲール商会の次期会長である我が息子ヴァンネスが、正式に婚約をすることになりました。			るり色の婚約者							
今日は、この場でヴァンネスが、アラベラさんとの永遠の愛を誓うと言っております。皆様、ぜひ見届けていただけますかな？			今日は、この場でヴァンネスが、アラベラさんとの永遠の愛を誓うと言っております。皆様、ぜひ見届けていただけますかな？			るり色の婚約者							
それでは、アラベラさんをお招きいたしましょう！			それでは、アラベラさんをお招きいたしましょう！			るり色の婚約者							
チッ……あのポンコツ事件屋、ヴァンネスたちを抑えることができなかったのか！？			チッ……あのポンコツ事件屋、ヴァンネスたちを抑えることができなかったのか！？			るり色の婚約者							
わ〜、アラベラさん、とっても綺麗です〜！			わ〜、アラベラさん、とっても綺麗です〜！			るり色の婚約者							
……ふん、噂の美女だからな。綺麗なのは当たり前だろう。			……ふん、噂の美女だからな。綺麗なのは当たり前だろう。			るり色の婚約者							
リムサ・ロミンサへようこそ、アラベラさん。あなたを娶ることができて、俺は幸せだ。			リムサ・ロミンサへようこそ、アラベラさん。あなたを娶ることができて、俺は幸せだ。			るり色の婚約者							
(-アラビィブランド-)ダーリン、お待たせしましたな！アラベラが到着しましたぞ！！			(-アラビィブランド-)ダーリン、お待たせしましたな！アラベラが到着しましたぞ！！			るり色の婚約者							
だだ、だだだだ、誰だこの変態は！！			だだ、だだだだ、誰だこの変態は！！			るり色の婚約者							
……ぼくは確かに、ヴァンネスは任せたといった。だが、そういう意味ではないぞ……？			……ぼくは確かに、ヴァンネスは任せたといった。だが、そういう意味ではないぞ……？			るり色の婚約者							
皆さん、落ち着いてください。この事件屋ヒルディブランドの冴え渡る第七感が、「怪盗白仮面」の正体をキャッチしましたぞ！			皆さん、落ち着いてください。この事件屋ヒルディブランドの冴え渡る第七感が、「怪盗白仮面」の正体をキャッチしましたぞ！			るり色の婚約者							
「怪盗白仮面」が変装している人物……。それは、このヴァンネス殿ですぞ！！			「怪盗白仮面」が変装している人物……。それは、このヴァンネス殿ですぞ！！			るり色の婚約者							
今この会場で「怪盗白仮面」が変装している人物……。それは、私の隣にいるヴァンネス殿ですぞ！！			今この会場で「怪盗白仮面」が変装している人物……。それは、私の隣にいるヴァンネス殿ですぞ！！			るり色の婚約者							
は……はぁ？			は……はぁ？			るり色の婚約者							
まず、今回のパーティーの参加者の中で、アラベラ殿の素顔を知っていたのは、ググレム殿とレウェンハート殿だけ。			まず、今回のパーティーの参加者の中で、アラベラ殿の素顔を知っていたのは、ググレム殿とレウェンハート殿だけ。			るり色の婚約者							
しかし、もうひとり、アラベラ殿の顔を知っている人がいます。それは、アラベラ殿を狙っている「怪盗白仮面」。標的なのですから、当然情報は集めているはず！			しかし、もうひとり、アラベラ殿の顔を知っている人がいます。それは、アラベラ殿を狙っている「怪盗白仮面」。標的なのですから、当然情報は集めているはず！			るり色の婚約者							
つまり……私の完璧な変装を前にして、「私がアラベラ殿ではない」と瞬時に見抜いたことが、ひとつの真実を示しているのです！			つまり……私の完璧な変装を前にして、「私がアラベラ殿ではない」と瞬時に見抜いたことが、ひとつの真実を示しているのです！			るり色の婚約者							
