甲冑師ギルドのハ・ナンザは、冒険者に話したいことがあるようだ。			甲冑師ギルドのハ・ナンザは、冒険者に話したいことがあるようだ。			個性を求めて							
この「スチールチェーンメイル」作りで勝負だ！無論、より優れた物を作り上げたほうこそが勝者よ！			この「スチールチェーンメイル」作りで勝負だ！無論、より優れた物を作り上げたほうこそが勝者よ！			道分つ甲冑師							
……客が求めるのは最高の物のはず。つまり品質の劣った品物になど顧みる価値はない。職人の使命とは、誰にも負けぬ物を作ること！			……客が求めるのは最高の物のはず。つまり品質の劣った品物になど顧みる価値はない。職人の使命とは、誰にも負けぬ物を作ること！			道分つ甲冑師							
評定は、互いの作りし品物を見比べようぞ。まさか己の評価に色を付けはしまい？我とて同じよ、作りし品に誇りがある。			評定は、互いの作りし品物を見比べようぞ。まさか己の評価に色を付けはしまい？我とて同じよ、作りし品に誇りがある。			道分つ甲冑師							
いざ……勝負だ！			いざ……勝負だ！			道分つ甲冑師							
どうした？　逃げるのか？違うというのなら……それを証明せよ。「スチールチェーンメイル」を1着だ！			どうした？　逃げるのか？違うというのなら……それを証明せよ。「スチールチェーンメイル」を1着だ！			道分つ甲冑師							
逃げずに来たか。ならば、カウンターでじっくり精査してやろう。			逃げずに来たか。ならば、カウンターでじっくり精査してやろう。			道分つ甲冑師							
くっ……！　こ、この高品質は！まさか、これほどの物を作りだす腕があったとは！予想外、まさしく予想外であった……！			くっ……！　こ、この高品質は！まさか、これほどの物を作りだす腕があったとは！予想外、まさしく予想外であった……！			道分つ甲冑師							
この光沢、重量感、そして強度！何人の刃も通さぬかのようだ……！			この光沢、重量感、そして強度！何人の刃も通さぬかのようだ……！			道分つ甲冑師							
ハ・ナンザ……なんという幸運に恵まれたのだ。これほどの逸材、いや化け物を手中に収めるとは！			ハ・ナンザ……なんという幸運に恵まれたのだ。これほどの逸材、いや化け物を手中に収めるとは！			道分つ甲冑師							
……くっ、潔く我の負けを認めようぞ。もはや貴様を抱き込もうとも思わぬ。			……くっ、潔く我の負けを認めようぞ。もはや貴様を抱き込もうとも思わぬ。			道分つ甲冑師							
客のほうには、我が辞退することを告げておこう。「スチールチェーンメイル」も我から先方に渡しておく。			客のほうには、我が辞退することを告げておこう。「スチールチェーンメイル」も我から先方に渡しておく。			道分つ甲冑師							
それもまた敗者のつとめ。勝者を称えるためのさらし者にならねばならぬ。			それもまた敗者のつとめ。勝者を称えるためのさらし者にならねばならぬ。			道分つ甲冑師							
……いずれ、また会おう。貴様を……我の敵として認識する！			……いずれ、また会おう。貴様を……我の敵として認識する！			道分つ甲冑師							
甲冑師ギルドのハ・ナンザは、冒険者に伝えたい話があるようだ。			甲冑師ギルドのハ・ナンザは、冒険者に伝えたい話があるようだ。			優れた甲冑師の義務							
ブランシュティルが冒険者に対して、スチールインゴットを作る依頼をしてきたと、ハ・ナンザから明かされた。彼の真意を確かめるためにも、「スチールインゴット」を1個調達し、甲冑師ギルドの「ブランシュティル」に渡そう。			ブランシュティルが冒険者に対して、スチールインゴットを作る依頼をしてきたと、ハ・ナンザから明かされた。彼の真意を確かめるためにも、「スチールインゴット」を1個調達し、甲冑師ギルドの「ブランシュティル」に渡そう。			優れた甲冑師の義務							
ブランシュティルにスチールインゴットを渡すと、彼は冒険者がハ・ナンザに利用されているのが面白くないと告げた。ハ・ナンザとブランシュティルの対立は根深いもののようだ。※甲冑師のレベルが30以上になると、ハ・ナンザから次の甲冑師クエストを受注することができます。			ブランシュティルにスチールインゴットを渡すと、彼は冒険者がハ・ナンザに利用されているのが面白くないと告げた。ハ・ナンザとブランシュティルの対立は根深いもののようだ。※甲冑師のレベルが30以上になると、ハ・ナンザから次の甲冑師クエストを受注することができます。			優れた甲冑師の義務							
ブランシュティルにスチールインゴットを納品			ブランシュティルにスチールインゴットを納品			優れた甲冑師の義務							
ブランシュティルとは話せたんだろ？あいつ、何を言ってきたんだい？			ブランシュティルとは話せたんだろ？あいつ、何を言ってきたんだい？			優れた甲冑師の義務							
「誇りと実力ある甲冑師の選別こそがギルドの使命」だって？			「誇りと実力ある甲冑師の選別こそがギルドの使命」だって？			優れた甲冑師の義務							
ふん、変わらないね。ブランシュティルのやり方じゃ駄目だってことを、わかってないし、わかろうとしないんだ。			ふん、変わらないね。ブランシュティルのやり方じゃ駄目だってことを、わかってないし、わかろうとしないんだ。			優れた甲冑師の義務							
技術を共有し、伝承していかないと、技術はすたれてしまう。それだけは、絶対に避けなければ。			技術を共有し、伝承していかないと、技術はすたれてしまう。それだけは、絶対に避けなければ。			優れた甲冑師の義務							
だから、ギルドで学ぶのは、誰もが習得できる技術、それが、私の目指すギルドの方針なのさ。あんたには、その旗手になってほしいと思ってる。			だから、ギルドで学ぶのは、誰もが習得できる技術、それが、私の目指すギルドの方針なのさ。あんたには、その旗手になってほしいと思ってる。			優れた甲冑師の義務							
とはいえ、それを押しつけるわけにはいかない。ブランシュティルも、あんたを取り込みたいようだしね。あいつから、あんたへ依頼が来たのが、その証拠さ。			とはいえ、それを押しつけるわけにはいかない。ブランシュティルも、あんたを取り込みたいようだしね。あいつから、あんたへ依頼が来たのが、その証拠さ。			優れた甲冑師の義務							
「スチールインゴット」1個……それも最高の品質で作ってよこせとさ。おまえなら、工夫をこらせば可能だろう。			「スチールインゴット」1個……それも最高の品質で作ってよこせとさ。おまえなら、工夫をこらせば可能だろう。			優れた甲冑師の義務							
さあ、依頼の品を完成させて、「ブランシュティル」に叩きつけてやりな。			さあ、依頼の品を完成させて、「ブランシュティル」に叩きつけてやりな。			優れた甲冑師の義務							
「HQアイテム」を製作してみましょう。製作中に「品質」を向上させることで、HQアイテムの完成確率が高くなります。			「HQアイテム」を製作してみましょう。製作中に「品質」を向上させることで、HQアイテムの完成確率が高くなります。			優れた甲冑師の義務							
我の所に顔を出したということは「スチールインゴット」1個の用意があるということか。			我の所に顔を出したということは「スチールインゴット」1個の用意があるということか。			優れた甲冑師の義務							
いいだろう……では見せてもらおうではないか。さあ、中に行こう。			いいだろう……では見せてもらおうではないか。さあ、中に行こう。			優れた甲冑師の義務							
フッ……流石と言うべきであろうな。強度、精度ともに文句はない。			フッ……流石と言うべきであろうな。強度、精度ともに文句はない。			優れた甲冑師の義務							
「スチールインゴット」は甲冑師としては日常的に扱う素材だ。			「スチールインゴット」は甲冑師としては日常的に扱う素材だ。			優れた甲冑師の義務							
だが、こういう基礎的な素材や部品の品質が、完成品の品質を左右する。ゆえに細部の質を上げられぬ者は、どうあがこうと二流どまり。			だが、こういう基礎的な素材や部品の品質が、完成品の品質を左右する。ゆえに細部の質を上げられぬ者は、どうあがこうと二流どまり。			優れた甲冑師の義務							
しかし、お前は違う。まるで見る度に腕を上げる。技術向上とは、こうあるべきだ！			しかし、お前は違う。まるで見る度に腕を上げる。技術向上とは、こうあるべきだ！			優れた甲冑師の義務							
それなのに！　貴様ほどの優秀な職人がギルドの未熟者たちの尻拭いにかり出され自己研鑽の時間も満足に取れぬ現状……			それなのに！　貴様ほどの優秀な職人がギルドの未熟者たちの尻拭いにかり出され自己研鑽の時間も満足に取れぬ現状……			優れた甲冑師の義務							
それが、歯がゆくてならぬ……。			それが、歯がゆくてならぬ……。			優れた甲冑師の義務							
甲冑師ギルドとは、すべての客の需要に応えねばならぬ。ゆえに、未熟者はギルドより排除すべきなのだ！			甲冑師ギルドとは、すべての客の需要に応えねばならぬ。ゆえに、未熟者はギルドより排除すべきなのだ！			優れた甲冑師の義務							
……我は貴様の技量を高く買っている。貴様は今後の甲冑師を背負って立つ存在だ。			……我は貴様の技量を高く買っている。貴様は今後の甲冑師を背負って立つ存在だ。			優れた甲冑師の義務							
ゆえに問う……貴様は本当にこのままでよいのか？			ゆえに問う……貴様は本当にこのままでよいのか？			優れた甲冑師の義務							
あの女と、ギルドという名の凡俗どもに利用され、才能の輝きを曇らせてしまっていいのか！？この答えは、今後の貴様の行動で示せ。			あの女と、ギルドという名の凡俗どもに利用され、才能の輝きを曇らせてしまっていいのか！？この答えは、今後の貴様の行動で示せ。			優れた甲冑師の義務							
甲冑師ギルドのハ・ナンザは、冒険者にブランシュティルのことについて相談があるようだ。			甲冑師ギルドのハ・ナンザは、冒険者にブランシュティルのことについて相談があるようだ。			甲冑師の誇り							
ハ・ナンザからブランシュティルの様子を窺ってくるよう頼まれた。偏屈でギルドに反抗的な彼の口を開かせるために、マテリア付きの「アイアンホプロン」を1個調達し、甲冑師ギルドの「ブランシュティル」に届けよう。アイアンホプロンの素材となるアイアンプレートは、ギルドショップのスムルウィブは取り扱っていないため、自力で採集するか、「西国際街商通り」のマーケットボードをのぞいて探す必要がある。また、マテリアを装着する詳しい手順は、中央ザナラーンの「狼煙の丘」にいる職人たちが説明してくれるそうだ。			ハ・ナンザからブランシュティルの様子を窺ってくるよう頼まれた。偏屈でギルドに反抗的な彼の口を開かせるために、マテリア付きの「アイアンホプロン」を1個調達し、甲冑師ギルドの「ブランシュティル」に届けよう。アイアンホプロンの素材となるアイアンプレートは、ギルドショップのスムルウィブは取り扱っていないため、自力で採集するか、「西国際街商通り」のマーケットボードをのぞいて探す必要がある。また、マテリアを装着する詳しい手順は、中央ザナラーンの「狼煙の丘」にいる職人たちが説明してくれるそうだ。			甲冑師の誇り							
ブランシュティルに、マテリア付きのアイアンホプロンを渡した。ブランシュティルは、冒険者の実力を認め、先日の非礼を謝罪してくれた。彼は彼なりに甲冑師の使命と甲冑師ギルドの行く末について深く考えているようだ。周囲の意見に翻弄されることなく、まずは己の腕を磨いていこう。※甲冑師のレベルが25以上になると、ハ・ナンザから次の甲冑師クエストを受注することができます。			ブランシュティルに、マテリア付きのアイアンホプロンを渡した。ブランシュティルは、冒険者の実力を認め、先日の非礼を謝罪してくれた。彼は彼なりに甲冑師の使命と甲冑師ギルドの行く末について深く考えているようだ。周囲の意見に翻弄されることなく、まずは己の腕を磨いていこう。※甲冑師のレベルが25以上になると、ハ・ナンザから次の甲冑師クエストを受注することができます。			甲冑師の誇り							
ブランシュティルにマテリア付きのアイアンホプロンを納品			ブランシュティルにマテリア付きのアイアンホプロンを納品			甲冑師の誇り							
よく来たね。あんたも、ブランシュティルのことが気になるかい？だが、私としては、あまりあいつとは関わらないでほしい。			よく来たね。あんたも、ブランシュティルのことが気になるかい？だが、私としては、あまりあいつとは関わらないでほしい。			甲冑師の誇り							
曲がりなりにも私の兄弟弟子、そりゃ実力は認めてる。だが、あいつは昔から他人を見下す悪い癖がある。			曲がりなりにも私の兄弟弟子、そりゃ実力は認めてる。だが、あいつは昔から他人を見下す悪い癖がある。			甲冑師の誇り							
あいつのせいで潰れた新人だって少なくない。結局、あいつは今のギルドに悪影響しか及ぼさないのさ。			あいつのせいで潰れた新人だって少なくない。結局、あいつは今のギルドに悪影響しか及ぼさないのさ。			甲冑師の誇り							
けど、腕が立つのは確かだからね。ギルドから除名する気はない……というかできない。そこで、あいつの様子を探ってみてほしいんだ。			けど、腕が立つのは確かだからね。ギルドから除名する気はない……というかできない。そこで、あいつの様子を探ってみてほしいんだ。			甲冑師の誇り							
お前が製作した「アイアンホプロン」を見せれば、話ぐらいはしてくれるだろう……。偏屈だが、優れた技術には敬意を払う男だからな。			お前が製作した「アイアンホプロン」を見せれば、話ぐらいはしてくれるだろう……。偏屈だが、優れた技術には敬意を払う男だからな。			甲冑師の誇り							
ただし、材料のアイアンプレートはギルドショップのスムルウィブは扱ってないんだ。			ただし、材料のアイアンプレートはギルドショップのスムルウィブは扱ってないんだ。			甲冑師の誇り							
鉄鉱を買うなり集めるなりしてインゴットから作るか、「西国際街商通り」のマーケットボードを見て、完成品が売りに出ていないか探してみてくれ。			鉄鉱を買うなり集めるなりしてインゴットから作るか、「西国際街商通り」のマーケットボードを見て、完成品が売りに出ていないか探してみてくれ。			甲冑師の誇り							
さらに、念には念を入れて、仕上げには「マテリア」を装着すれば完璧だろう。			さらに、念には念を入れて、仕上げには「マテリア」を装着すれば完璧だろう。			甲冑師の誇り							
「マテリア」とは、使い込んだ装備品から、特殊な技術によって思念を抽出し、精製した結晶。これを別の装備品に装着すると、性能を強化できるのさ。			「マテリア」とは、使い込んだ装備品から、特殊な技術によって思念を抽出し、精製した結晶。これを別の装備品に装着すると、性能を強化できるのさ。			甲冑師の誇り							
もし「マテリア」の装着方法がわからないなら中央ザナラーンの「狼煙の丘」を訪ねてみな。そこにいる職人たちが、教えてくれるはずさ。			もし「マテリア」の装着方法がわからないなら中央ザナラーンの「狼煙の丘」を訪ねてみな。そこにいる職人たちが、教えてくれるはずさ。			甲冑師の誇り							
それじゃあ、今までの鍛練のすべてをぶつけてブランシュティルをうならせてくれ。			それじゃあ、今までの鍛練のすべてをぶつけてブランシュティルをうならせてくれ。			甲冑師の誇り							
私にマテリア付きの「アイアンホプロン」を1個よこすだと？何のつもりかしらんが、面白い……！ならば見定めてやろうではないか。			私にマテリア付きの「アイアンホプロン」を1個よこすだと？何のつもりかしらんが、面白い……！ならば見定めてやろうではないか。			甲冑師の誇り							
半端な代物ならば、タダで済まないぞ。さあ、あちらで我が検分してやろう。			半端な代物ならば、タダで済まないぞ。さあ、あちらで我が検分してやろう。			甲冑師の誇り							
「アイアンホプロン」……。扱いやすい青銅ではなく、強度のある鉄を用いるこの盾の加工は当然、困難を窮める。			「アイアンホプロン」……。扱いやすい青銅ではなく、強度のある鉄を用いるこの盾の加工は当然、困難を窮める。			甲冑師の誇り							
だが、この盾の精度ときたらどうだ。鉄を打ち出した痕に、寸分の狂いも見受けられん。			だが、この盾の精度ときたらどうだ。鉄を打ち出した痕に、寸分の狂いも見受けられん。			甲冑師の誇り							
金属の厚みも見事に均一……。金属の薄い「弱点」など存在せぬ。これをやってのけられるのは、実力のある者のみ！			金属の厚みも見事に均一……。金属の薄い「弱点」など存在せぬ。これをやってのけられるのは、実力のある者のみ！			甲冑師の誇り							
……先日の非礼を詫びよう。貴様の技量に、敬意を表する。			……先日の非礼を詫びよう。貴様の技量に、敬意を表する。			甲冑師の誇り							
その腕を認め、貴様に問いたい。昨今の甲冑師ギルドを、ハ・ナンザの方針を貴様はどう見る？			その腕を認め、貴様に問いたい。昨今の甲冑師ギルドを、ハ・ナンザの方針を貴様はどう見る？			甲冑師の誇り							
……まったく嘆かわしいことに、近頃、ギルドにはハ・ナンザのかき集めた甲冑師とは名ばかりの素人が増えた。			……まったく嘆かわしいことに、近頃、ギルドにはハ・ナンザのかき集めた甲冑師とは名ばかりの素人が増えた。			甲冑師の誇り							
甲冑師とは、人の命を守る品を作る者……。高い技術なくして、その命題は果たせぬ。腕が足らぬのなら、仕事を受けるべきではないのだ。			甲冑師とは、人の命を守る品を作る者……。高い技術なくして、その命題は果たせぬ。腕が足らぬのなら、仕事を受けるべきではないのだ。			甲冑師の誇り							
未熟な甲冑師の作った製品で、万が一でも起こってみろ。甲冑師ギルドの信用は、ガタ落ちだ。			未熟な甲冑師の作った製品で、万が一でも起こってみろ。甲冑師ギルドの信用は、ガタ落ちだ。			甲冑師の誇り							
ゆえに、下っ端にも現場を任せるハ・ナンザのやり方は、認められん……！			ゆえに、下っ端にも現場を任せるハ・ナンザのやり方は、認められん……！			甲冑師の誇り							
真の才能ある者だけが現場に立ち、商品と客とに向かい合うべきだ。			真の才能ある者だけが現場に立ち、商品と客とに向かい合うべきだ。			甲冑師の誇り							
ハ・ナンザめ……。何故あやつは誇りと実力ある甲冑師の選別こそがギルドの使命の本質だと理解せんのだ……！			ハ・ナンザめ……。何故あやつは誇りと実力ある甲冑師の選別こそがギルドの使命の本質だと理解せんのだ……！			甲冑師の誇り							
甲冑師ギルドのハ・ナンザは、冒険者に新人甲冑師の相談に乗ってもらいたいようだ。			甲冑師ギルドのハ・ナンザは、冒険者に新人甲冑師の相談に乗ってもらいたいようだ。			孤高なる甲冑師							
ハ・ナンザが言うには、新人の甲冑師の仕事が遅れているらしい。甲冑師ギルドの「ディルストウィダ」から事情を聞いてみよう。			ハ・ナンザが言うには、新人の甲冑師の仕事が遅れているらしい。甲冑師ギルドの「ディルストウィダ」から事情を聞いてみよう。			孤高なる甲冑師							
新人の甲冑師ディルストウィダは先輩甲冑師ブランシュティルに叱責され、甲冑師としての自信をなくしてしまったようだ。甲冑師ギルドの「ブランシュティル」に話を聞いてみよう。			新人の甲冑師ディルストウィダは先輩甲冑師ブランシュティルに叱責され、甲冑師としての自信をなくしてしまったようだ。甲冑師ギルドの「ブランシュティル」に話を聞いてみよう。			孤高なる甲冑師							
ブランシュティルから叱責の理由を聞きだすには、彼に自分の実力を認めさせるしかなさそうだ。「バルビュートDX」と「バックラー」をひとつずつ調達し、甲冑師ギルドの「ブランシュティル」に納品しよう。			ブランシュティルから叱責の理由を聞きだすには、彼に自分の実力を認めさせるしかなさそうだ。「バルビュートDX」と「バックラー」をひとつずつ調達し、甲冑師ギルドの「ブランシュティル」に納品しよう。			孤高なる甲冑師							
ブランシュティルに指定の武具を納品し、彼に自分の実力を認めさせることができた。結果、彼の思うところを聞きだすことができたが、ディルストウィダへの指摘は辛らつなものだった。甲冑師ギルドの「ディルストウィダ」に伝えに行こう。			ブランシュティルに指定の武具を納品し、彼に自分の実力を認めさせることができた。結果、彼の思うところを聞きだすことができたが、ディルストウィダへの指摘は辛らつなものだった。甲冑師ギルドの「ディルストウィダ」に伝えに行こう。			孤高なる甲冑師							
ディルストウィダにブランシュティルの言葉を伝えたところ、彼女は、甲冑師について考えたいといいだした。甲冑師ギルドの「ハ・ナンザ」に事のあらましを報告しよう。			ディルストウィダにブランシュティルの言葉を伝えたところ、彼女は、甲冑師について考えたいといいだした。甲冑師ギルドの「ハ・ナンザ」に事のあらましを報告しよう。			孤高なる甲冑師							
ブランシュティルはハ・ナンザの兄弟弟子だが、考え方の違いで対立していた。ギルドの甲冑師を守るためにも、問題の解決を模索するハ・ナンザ。ハ・ナンザやギルドの力になれるよう、甲冑師としてさらに修練を積もう。※甲冑師のレベルが20以上になると、ハ・ナンザから次の甲冑師クエストを受注することができます。			ブランシュティルはハ・ナンザの兄弟弟子だが、考え方の違いで対立していた。ギルドの甲冑師を守るためにも、問題の解決を模索するハ・ナンザ。ハ・ナンザやギルドの力になれるよう、甲冑師としてさらに修練を積もう。※甲冑師のレベルが20以上になると、ハ・ナンザから次の甲冑師クエストを受注することができます。			孤高なる甲冑師							
ディルストウィダと話す			ディルストウィダと話す			孤高なる甲冑師							
ブランシュティルと話す			ブランシュティルと話す			孤高なる甲冑師							
ブランシュティルに依頼品を納品			ブランシュティルに依頼品を納品			孤高なる甲冑師							
ディルストウィダに報告			ディルストウィダに報告			孤高なる甲冑師							
ハ・ナンザに報告			ハ・ナンザに報告			孤高なる甲冑師							
おおっ、ちょうどいいところに！よく来てくれた、仕事だ仕事！			おおっ、ちょうどいいところに！よく来てくれた、仕事だ仕事！			孤高なる甲冑師							
毎度済まないが、また新入りの尻拭いなんだ。今度はディルストウィダっていう若い子だよ。			毎度済まないが、また新入りの尻拭いなんだ。今度はディルストウィダっていう若い子だよ。			孤高なる甲冑師							
彼女に任せたはずの「バルビュートDX」と「バックラー」が一向に仕上がってこないのさ。			彼女に任せたはずの「バルビュートDX」と「バックラー」が一向に仕上がってこないのさ。			孤高なる甲冑師							
ディルストウィダは真面目だし、しっかりしてる子でね。できない計画を立てて、仕事の安請け合いなんてするはずないんだ。			ディルストウィダは真面目だし、しっかりしてる子でね。できない計画を立てて、仕事の安請け合いなんてするはずないんだ。			孤高なる甲冑師							
ただ、彼女は図体の割りに気が弱くてね……。それで、何かのトラブルに巻き込まれて、言い出せないでいるんじゃないかと心配なのさ。			ただ、彼女は図体の割りに気が弱くてね……。それで、何かのトラブルに巻き込まれて、言い出せないでいるんじゃないかと心配なのさ。			孤高なる甲冑師							
そういうわけで、ギルドの先輩として、「ディルストウィダ」の相談にのってやってほしい。頼んだよ。			そういうわけで、ギルドの先輩として、「ディルストウィダ」の相談にのってやってほしい。頼んだよ。			孤高なる甲冑師							
あの、もしかしてあなた……ハ・ナンザ先生に頼まれた方ですか？わ、私なんかのために、わざわざすみません！			あの、もしかしてあなた……ハ・ナンザ先生に頼まれた方ですか？わ、私なんかのために、わざわざすみません！			孤高なる甲冑師							
ああ、ごめんなさい。反省するだけならば、誰だってできますよね。本当にすみません……。			ああ、ごめんなさい。反省するだけならば、誰だってできますよね。本当にすみません……。			孤高なる甲冑師							
実はその、言い訳するわけではないのですが、少々落ち込むことがありまして、仕事も手につかなくなり、こんなことに。			実はその、言い訳するわけではないのですが、少々落ち込むことがありまして、仕事も手につかなくなり、こんなことに。			孤高なる甲冑師							
……はい、恥ずかしながら先日、私が作業をしていると、ブランシュティルと名乗る甲冑師が現れました。なんでも、古参のギルド員の方だそうです。			……はい、恥ずかしながら先日、私が作業をしていると、ブランシュティルと名乗る甲冑師が現れました。なんでも、古参のギルド員の方だそうです。			孤高なる甲冑師							
ブランシュティルは私の作った武具を見るや、これが甲冑師の仕事かと怒鳴りつけたのです。			ブランシュティルは私の作った武具を見るや、これが甲冑師の仕事かと怒鳴りつけたのです。			孤高なる甲冑師							
その顔、その言葉、その姿が頭から離れず、自分の仕事がお粗末なものに思えてきて、仕事が手につかなくなってしまって……。			その顔、その言葉、その姿が頭から離れず、自分の仕事がお粗末なものに思えてきて、仕事が手につかなくなってしまって……。			孤高なる甲冑師							
もう私、どうしていいのやら……。せめて悪いところを教えてくれれば、直す努力もできるのに。			もう私、どうしていいのやら……。せめて悪いところを教えてくれれば、直す努力もできるのに。			孤高なる甲冑師							
ですが、あの人恐ろしくて……今の今まで誰かに相談もできない始末。本当に不甲斐なくて申し訳ありません。			ですが、あの人恐ろしくて……今の今まで誰かに相談もできない始末。本当に不甲斐なくて申し訳ありません。			孤高なる甲冑師							
あの……よろしければギルド周辺にいるらしい「ブランシュティル」を探して、叱責の理由を聞きだしてもらえませんか？			あの……よろしければギルド周辺にいるらしい「ブランシュティル」を探して、叱責の理由を聞きだしてもらえませんか？			孤高なる甲冑師							
いかにも、我が名はブランシュティル。真なる甲冑師の道を追い求める者である。我が元に現れた貴様は何者だ？			いかにも、我が名はブランシュティル。真なる甲冑師の道を追い求める者である。我が元に現れた貴様は何者だ？			孤高なる甲冑師							
……ディルストウィダを叱責した理由を教えろと？なるほど、あの半端者のためにやってきた甲冑師ギルドの者か。			……ディルストウィダを叱責した理由を教えろと？なるほど、あの半端者のためにやってきた甲冑師ギルドの者か。			孤高なる甲冑師							
ふん、おおかた仲間の絆などという技術に無用なものを重んじるハ・ナンザの入れ知恵だろう？			ふん、おおかた仲間の絆などという技術に無用なものを重んじるハ・ナンザの入れ知恵だろう？			孤高なる甲冑師							
あの女が指導する輩の実力など知れたもの。腕のない甲冑師とは、口をきくつもりなどない。まして、叱責の理由を明かす義理もない。			あの女が指導する輩の実力など知れたもの。腕のない甲冑師とは、口をきくつもりなどない。まして、叱責の理由を明かす義理もない。			孤高なる甲冑師							
立ち去る気もないか……？ならば、お前の行動で、そして技術で価値ある甲冑師であることを示して見せよ。			立ち去る気もないか……？ならば、お前の行動で、そして技術で価値ある甲冑師であることを示して見せよ。			孤高なる甲冑師							
そうだな、くだんのディルストウィダとかいう者が作っていた武具を、お前も作ってくるがいい。			そうだな、くだんのディルストウィダとかいう者が作っていた武具を、お前も作ってくるがいい。			孤高なる甲冑師							
「バルビュートDX」と「バックラー」を1個ずつだ。すべての話は、それを見た後だ。			「バルビュートDX」と「バックラー」を1個ずつだ。すべての話は、それを見た後だ。			孤高なる甲冑師							
そうですか、そういう意味だったのですか……。			そうですか、そういう意味だったのですか……。			孤高なる甲冑師							
い、言ってることは間違ってませんけど、でも誰もが、あの人やあなたのように、自分に厳しくなれませんよね……。			い、言ってることは間違ってませんけど、でも誰もが、あの人やあなたのように、自分に厳しくなれませんよね……。			孤高なる甲冑師							
そこまでしないと甲冑師たりえないのならば、私は甲冑師に向いてないのかもしれません……。			そこまでしないと甲冑師たりえないのならば、私は甲冑師に向いてないのかもしれません……。			孤高なる甲冑師							
……私はハ・ナンザ先生に憧れてギルドに入りました。そんな不純な理由が駄目だったのでしょうか……？			……私はハ・ナンザ先生に憧れてギルドに入りました。そんな不純な理由が駄目だったのでしょうか……？			孤高なる甲冑師							
もう少し、甲冑師について考えてみようと思います。ハ・ナンザ先生にも、そのようにお伝えください。			もう少し、甲冑師について考えてみようと思います。ハ・ナンザ先生にも、そのようにお伝えください。			孤高なる甲冑師							
なるほど、ブランシュティルのせいだったのか……。奴がちょっかいをかけてきたのなら、わかる話だ。			なるほど、ブランシュティルのせいだったのか……。奴がちょっかいをかけてきたのなら、わかる話だ。			孤高なる甲冑師							
……あいつは、私の不倶戴天の敵ってやつさ。そう、今となっちゃね……			……あいつは、私の不倶戴天の敵ってやつさ。そう、今となっちゃね……			孤高なる甲冑師							
あいつとは、同じ師匠の元で学んだ仲。いわゆる兄弟弟子ってやつなんだ。			あいつとは、同じ師匠の元で学んだ仲。いわゆる兄弟弟子ってやつなんだ。			孤高なる甲冑師							
だが師匠が引退するとき、考え方の差から対立してね。甲冑師ギルドマスターの後釜を争ったこともあって、私たちは決定的に決裂してしまったのさ。			だが師匠が引退するとき、考え方の差から対立してね。甲冑師ギルドマスターの後釜を争ったこともあって、私たちは決定的に決裂してしまったのさ。			孤高なる甲冑師							
……あいつの主張が間違ってるとは言わないが、正しいというわけでもないんだよ。			……あいつの主張が間違ってるとは言わないが、正しいというわけでもないんだよ。			孤高なる甲冑師							
なのに、ブランシュティルは自分の主張だけが唯一の絶対の真理だと思いこんで、私の言葉に耳を傾けようともしない。			なのに、ブランシュティルは自分の主張だけが唯一の絶対の真理だと思いこんで、私の言葉に耳を傾けようともしない。			孤高なる甲冑師							
だから私も、あいつの主張を認めることができないんだ。……いつか決着をつけなきゃいけないね。			だから私も、あいつの主張を認めることができないんだ。……いつか決着をつけなきゃいけないね。			孤高なる甲冑師							
ふん、まだできんのか？いつまで我を待たせるつもりだ！「バルビュートDX」と「バックラー」を1個ずつだぞ！			ふん、まだできんのか？いつまで我を待たせるつもりだ！「バルビュートDX」と「バックラー」を1個ずつだぞ！			孤高なる甲冑師							
遅いっ！ 逃げたのかと思っていたぞ。……だが逃げずに現れたことは、褒めておこう。ついてこい、品定めしてやる。			遅いっ！ 逃げたのかと思っていたぞ。……だが逃げずに現れたことは、褒めておこう。ついてこい、品定めしてやる。			孤高なる甲冑師							
こ、これはっ……！？本当に貴様がこれを作ったのか？			こ、これはっ……！？本当に貴様がこれを作ったのか？			孤高なる甲冑師							
……私に盾突くだけのことはある。ふん、ただの暗愚ではなかったようだな。認めよう、貴様を見誤っていたことを。			……私に盾突くだけのことはある。ふん、ただの暗愚ではなかったようだな。認めよう、貴様を見誤っていたことを。			孤高なる甲冑師							
この「バルビュートDX」ひとつとっても貴様の緻密かつ妥協なき仕事ぶりが、はっきりと出ている。			この「バルビュートDX」ひとつとっても貴様の緻密かつ妥協なき仕事ぶりが、はっきりと出ている。			孤高なる甲冑師							
打ち出したブロンズプレートを組み合わせて作る単純な構造だけに適当な仕上げでは防具としての用をなさない。			打ち出したブロンズプレートを組み合わせて作る単純な構造だけに適当な仕上げでは防具としての用をなさない。			孤高なる甲冑師							
「バックラー」にしてもそうだ。小さくて取り回しがしやすい分ある意味で大形の盾以上の頑丈さが求められる。			「バックラー」にしてもそうだ。小さくて取り回しがしやすい分ある意味で大形の盾以上の頑丈さが求められる。			孤高なる甲冑師							
そのような装備品の本質。それを見抜いて作り上げたこの品々は、一流と言っても過言ではあるまい。			そのような装備品の本質。それを見抜いて作り上げたこの品々は、一流と言っても過言ではあるまい。			孤高なる甲冑師							
……貴様がここまでやれるというのに、あのディルストウィダという女は……情けないことだ。奴めに、はっきりと伝えよ。			……貴様がここまでやれるというのに、あのディルストウィダという女は……情けないことだ。奴めに、はっきりと伝えよ。			孤高なる甲冑師							
