選者殿のチャ・ラカ・ティアは、協力者を探しているようだ。			選者殿のチャ・ラカ・ティアは、協力者を探しているようだ。			崖っぷち准教授の論文							
次のクエストを進行するためには、「メインクエスト：暁月のフィナーレ」を完了する必要があります。			次のクエストを進行するためには、「メインクエスト：暁月のフィナーレ」を完了する必要があります。			港の先の未来へ							
次のクエストを進行するためには、「クラスクエスト：漁師」の、「釣り道楽、雲海を目指す」を完了する必要があります。			次のクエストを進行するためには、「クラスクエスト：漁師」の、「釣り道楽、雲海を目指す」を完了する必要があります。			港の先の未来へ							
ああ……Forename……すまないな、まだ答えは出ていないんだ。			ああ……Forename……すまないな、まだ答えは出ていないんだ。			港の先の未来へ							
もちろん、学会に向けて、論文を仕上げにかかってはいるんだが……			もちろん、学会に向けて、論文を仕上げにかかってはいるんだが……			港の先の未来へ							
ネレー教授の言葉が、頭の中でぐるぐる回っちまって。			ネレー教授の言葉が、頭の中でぐるぐる回っちまって。			港の先の未来へ							
ちょっと沈思の森にでも行って、あと少しだけ考えてくるよ。ひとりでいると時間を忘れてボーッとしそうだから、少し経ったら、俺に声をかけに来てくれないか？			ちょっと沈思の森にでも行って、あと少しだけ考えてくるよ。ひとりでいると時間を忘れてボーッとしそうだから、少し経ったら、俺に声をかけに来てくれないか？			港の先の未来へ							
……来てくれたのか、ありがとな。			……来てくれたのか、ありがとな。			港の先の未来へ							
ネレー教授は、何に執着するのか考えろって言ってたよな。自分自身を、突き動かす動機を……。			ネレー教授は、何に執着するのか考えろって言ってたよな。自分自身を、突き動かす動機を……。			港の先の未来へ							
お前に出会わなければ、俺はエーテル酔いを言い訳に研究室に閉じこもったままで、きっと、期待される重圧に負けて、挫折していたと思う。			お前に出会わなければ、俺はエーテル酔いを言い訳に研究室に閉じこもったままで、きっと、期待される重圧に負けて、挫折していたと思う。			港の先の未来へ							
でも、お前が現れて、力を貸してくれたおかげで、「水脈潮汐説」の証明に十分なデータを得ることもできた。本当に、ありがとうな。			でも、お前が現れて、力を貸してくれたおかげで、「水脈潮汐説」の証明に十分なデータを得ることもできた。本当に、ありがとうな。			港の先の未来へ							
だけど、やっぱり俺、ここで終わりにしたくない。答えの先にあるものを見つけたい……！			だけど、やっぱり俺、ここで終わりにしたくない。答えの先にあるものを見つけたい……！			港の先の未来へ							
他の奴に話したら笑われるかもだが、お前なら……			他の奴に話したら笑われるかもだが、お前なら……			港の先の未来へ							
俺は、月のデータを手に入れたいんだ。それさえあれば、これまでに得てきた知識を応用して、乱れた水脈を安定させる方法を、見つけられる気がするんだ。			俺は、月のデータを手に入れたいんだ。それさえあれば、これまでに得てきた知識を応用して、乱れた水脈を安定させる方法を、見つけられる気がするんだ。			港の先の未来へ							
俺は、この謎を解き明かしたい！そしてその先にある答えを、掴んでみせるさ……！			俺は、この謎を解き明かしたい！そしてその先にある答えを、掴んでみせるさ……！			港の先の未来へ							
つまりは、そのためにはお前の協力が不可欠なんだけどぉ……その……最後まで、手伝ってくれるか？			つまりは、そのためにはお前の協力が不可欠なんだけどぉ……その……最後まで、手伝ってくれるか？			港の先の未来へ							
何と言う？			何と言う？			港の先の未来へ							
もちろん！			もちろん！			港の先の未来へ							
ダメなんて言いづらい			ダメなんて言いづらい			港の先の未来へ							
……ありがとな！これで最後の依頼にするからさ……！			……ありがとな！これで最後の依頼にするからさ……！			港の先の未来へ							
さて、月でどんな生物を見つけてくるかだけど……。さすがにヌーメノン大書院の図鑑にも月の生態系なんて、書かれていないからなぁ……。			さて、月でどんな生物を見つけてくるかだけど……。さすがにヌーメノン大書院の図鑑にも月の生態系なんて、書かれていないからなぁ……。			港の先の未来へ							
まずは、月ではどんな水棲生物が採集できるのか、「嘆きの海」の住人たちから、情報を集めてみてほしい。			まずは、月ではどんな水棲生物が採集できるのか、「嘆きの海」の住人たちから、情報を集めてみてほしい。			港の先の未来へ							
俺は俺で、論文完成に向けて執筆を進めておく。サンプルが採集できたら、選者殿に戻ってきてくれ！			俺は俺で、論文完成に向けて執筆を進めておく。サンプルが採集できたら、選者殿に戻ってきてくれ！			港の先の未来へ							
嘆きの海の「ベストウェイ・バロー」で、物知りそうなレポリットから話を聞いてみよう……。			嘆きの海の「ベストウェイ・バロー」で、物知りそうなレポリットから話を聞いてみよう……。			港の先の未来へ							
俺は俺で、論文完成に向けて執筆を進めておく。お前が月からサンプルを持ち帰ってくれるのを、待ってるからな！			俺は俺で、論文完成に向けて執筆を進めておく。お前が月からサンプルを持ち帰ってくれるのを、待ってるからな！			港の先の未来へ							
やぁやぁ、Forenameさん！今日はどんなご用件で？			やぁやぁ、Forenameさん！今日はどんなご用件で？			港の先の未来へ							
月の水脈を調べるために、最適な水棲生物を教えてほしいと……？ふむふむ、地上のヒトはおもしろいことに興味を持つんですねぇ。			月の水脈を調べるために、最適な水棲生物を教えてほしいと……？ふむふむ、地上のヒトはおもしろいことに興味を持つんですねぇ。			港の先の未来へ							
聞いた限り、その用途に適しているのは、痛みの峡谷の東に棲息して、釣り餌「グレイワーム」に食いつく、「ラメントサバイバー」だと思いますよ！			聞いた限り、その用途に適しているのは、痛みの峡谷の東に棲息して、釣り餌「グレイワーム」に食いつく、「ラメントサバイバー」だと思いますよ！			港の先の未来へ							
あなたのお求めの特徴にも合致していますし、食料を管理している仲間も、殻が固くておいしくないとばかり……。いくら捕まえていっても、我々は一向に構いませんよ！			あなたのお求めの特徴にも合致していますし、食料を管理している仲間も、殻が固くておいしくないとばかり……。いくら捕まえていっても、我々は一向に構いませんよ！			港の先の未来へ							
それにしても、ゾディアークがいなくなったことで、地上にも影響がでているなんて……。いやはや、大変なんですねぇ～！			それにしても、ゾディアークがいなくなったことで、地上にも影響がでているなんて……。いやはや、大変なんですねぇ～！			港の先の未来へ							
「ラメントサバイバー」を釣っていくといいと思いますよ！痛みの峡谷の東に棲息していて、釣り餌「グレイワーム」に食いつくはずです。			「ラメントサバイバー」を釣っていくといいと思いますよ！痛みの峡谷の東に棲息していて、釣り餌「グレイワーム」に食いつくはずです。			港の先の未来へ							
それにしても、ゾディアークがいなくなったことで、地上にも影響がでているなんて、大変ですねぇ～！			それにしても、ゾディアークがいなくなったことで、地上にも影響がでているなんて、大変ですねぇ～！			港の先の未来へ							
月からのご帰還か？月面の話も詳しく聞きたいところだけど……役立ちそうなサンプルは、無事に見つけられたか！？			月からのご帰還か？月面の話も詳しく聞きたいところだけど……役立ちそうなサンプルは、無事に見つけられたか！？			港の先の未来へ							
本当に、これが月の生き物かぁ……！！どんなデータが取れるか、楽しみだ！			本当に、これが月の生き物かぁ……！！どんなデータが取れるか、楽しみだ！			港の先の未来へ							
ここまで来たんだ、心配するなって！お前もこれだけ尽力してくれたんだし……きっと新しい理論を組み上げて、論文を完成させてみせるさ！			ここまで来たんだ、心配するなって！お前もこれだけ尽力してくれたんだし……きっと新しい理論を組み上げて、論文を完成させてみせるさ！			港の先の未来へ							
論文の講評会は、「フェノメノン大講堂」で行われる。通常、学部の者しか入室できないんだけど、来てくれるなら「大学の案内職員」に声をかけてくれ。			論文の講評会は、「フェノメノン大講堂」で行われる。通常、学部の者しか入室できないんだけど、来てくれるなら「大学の案内職員」に声をかけてくれ。			港の先の未来へ							
お前なら入れるよう、話を通しておくからさ！教授たちの前で発表しなきゃいけないから緊張するけど……きっと、いや絶対！　来てくれよな！			お前なら入れるよう、話を通しておくからさ！教授たちの前で発表しなきゃいけないから緊張するけど……きっと、いや絶対！　来てくれよな！			港の先の未来へ							
データを計測して論文にまとめて、期日までに提出……並行して講評会の準備と、クジラの経過観察と、えーっと……！			データを計測して論文にまとめて、期日までに提出……並行して講評会の準備と、クジラの経過観察と、えーっと……！			港の先の未来へ							
エーテル学部の定期学会ですか？このあと始まりますよ、中へどうぞ。			エーテル学部の定期学会ですか？このあと始まりますよ、中へどうぞ。			港の先の未来へ							
えーっ、こ、今回の論文はですね……			えーっ、こ、今回の論文はですね……			港の先の未来へ							
今回の論文は、自分が提唱する「水脈潮汐説」を証明するものです。			今回の論文は、自分が提唱する「水脈潮汐説」を証明するものです。			港の先の未来へ							
すなわち、世界各地の水脈におけるエーテル濃度が、互いに連動しながら周期的に揺らいでいるという仮説です。			すなわち、世界各地の水脈におけるエーテル濃度が、互いに連動しながら周期的に揺らいでいるという仮説です。			港の先の未来へ							
これを優秀なグリーナーの協力により、各地から生体サンプルを集めることで証明しました。			これを優秀なグリーナーの協力により、各地から生体サンプルを集めることで証明しました。			港の先の未来へ							
また、この論文では、ゾディアークという大規模エーテル塊を内在させていた月が、水脈に与えてきた影響も解明しています。			また、この論文では、ゾディアークという大規模エーテル塊を内在させていた月が、水脈に与えてきた影響も解明しています。			港の先の未来へ							
しかし、ご存知の通り、ゾディアークは消滅しました。これに伴い月からの干渉が消えた揺り戻し現象として、大規模な水脈の乱れが発生……。			しかし、ご存知の通り、ゾディアークは消滅しました。これに伴い月からの干渉が消えた揺り戻し現象として、大規模な水脈の乱れが発生……。			港の先の未来へ							
さらに、月にて採取されたサンプルを分析した結果、揺り戻し現象は、満月とともに最大化することがわかりました。			さらに、月にて採取されたサンプルを分析した結果、揺り戻し現象は、満月とともに最大化することがわかりました。			港の先の未来へ							
これが先のクジラ迷い込み事件の要因だったと考えられます。水脈のエーテル濃度急変によって、エーテル酔いに似た症状が出て迷い込んだというわけです。			これが先のクジラ迷い込み事件の要因だったと考えられます。水脈のエーテル濃度急変によって、エーテル酔いに似た症状が出て迷い込んだというわけです。			港の先の未来へ							
……では、これより、紹介した学説の証明に移りたいと思います。手元の資料に示したデータを解説しますので、14ページ、表6からご覧ください……			……では、これより、紹介した学説の証明に移りたいと思います。手元の資料に示したデータを解説しますので、14ページ、表6からご覧ください……			港の先の未来へ							
……ふむ、すばらしい成果だ。月で発生した異変にまで考察が及んでいる点も評価が高い。			……ふむ、すばらしい成果だ。月で発生した異変にまで考察が及んでいる点も評価が高い。			港の先の未来へ							
ありがとうございます……でも、論文にはまだ続きがあるんです！			ありがとうございます……でも、論文にはまだ続きがあるんです！			港の先の未来へ							
ここまで得た理論と、月で採取されたサンプルのデータ、さらに自分がサベネア島で学んだラザハン錬金術の知識を統合し、水脈を安定化するための魔法術式も編み出すことができました！			ここまで得た理論と、月で採取されたサンプルのデータ、さらに自分がサベネア島で学んだラザハン錬金術の知識を統合し、水脈を安定化するための魔法術式も編み出すことができました！			港の先の未来へ							
水脈と月との相関関係を解き明かすだけでなく、今、その影響で困難にある生物を救う方策を見いだせたこと……。自分は、それがこの論文の何よりの成果だと考えています。			水脈と月との相関関係を解き明かすだけでなく、今、その影響で困難にある生物を救う方策を見いだせたこと……。自分は、それがこの論文の何よりの成果だと考えています。			港の先の未来へ							
今は、星が新たな時代に突入する過渡期にあります。水脈のバランスが乱れやすい状況は、しばらく続くでしょうが……。			今は、星が新たな時代に突入する過渡期にあります。水脈のバランスが乱れやすい状況は、しばらく続くでしょうが……。			港の先の未来へ							
自分も、この研究で得た知識を応用し、水脈の循環が安定した形で保たれていくよう、これからも全力を注いでいくつもりです！			自分も、この研究で得た知識を応用し、水脈の循環が安定した形で保たれていくよう、これからも全力を注いでいくつもりです！			港の先の未来へ							
講評会の結果は、追って通達するとしよう。回復したクジラの海への出立が良いものとなるよう、我々も祈っているよ。			講評会の結果は、追って通達するとしよう。回復したクジラの海への出立が良いものとなるよう、我々も祈っているよ。			港の先の未来へ							
はい！　ありがとうございます！			はい！　ありがとうございます！			港の先の未来へ							
真っ先にお前に、講評会の結果を報告したかったんだ！！今回発表した論文は、教授陣からも絶賛してもらえたよ！			真っ先にお前に、講評会の結果を報告したかったんだ！！今回発表した論文は、教授陣からも絶賛してもらえたよ！			港の先の未来へ							
環境エーテル研究室も予算増で存続が決まったし、俺も晴れて、准教授から教授に昇進だ！			環境エーテル研究室も予算増で存続が決まったし、俺も晴れて、准教授から教授に昇進だ！			港の先の未来へ							
実はさ、このガウンに袖を通すのが、研究職を目指し出した頃から、ずっと夢だったんだよなぁ……。だから、なんだかすごく感慨深くてさ。			実はさ、このガウンに袖を通すのが、研究職を目指し出した頃から、ずっと夢だったんだよなぁ……。だから、なんだかすごく感慨深くてさ。			港の先の未来へ							
何と言う？			何と言う？			港の先の未来へ							
似合ってる！			似合ってる！			港の先の未来へ							
似合ってないかも……			似合ってないかも……			港の先の未来へ							
へへ、ありがとな！ガウンに着られちまわないように、ネレー教授みたいな立派な研究者を目指すつもりさ！			へへ、ありがとな！ガウンに着られちまわないように、ネレー教授みたいな立派な研究者を目指すつもりさ！			港の先の未来へ							
たしかに、まだ着慣れないかもな！誰からも似合うって言ってもらえるようになるまで、立派な教授を目指して頑張るつもりだよ。			たしかに、まだ着慣れないかもな！誰からも似合うって言ってもらえるようになるまで、立派な教授を目指して頑張るつもりだよ。			港の先の未来へ							
これも、君のチャ・ラカへの助けがあってこそだ。この学問に生涯を捧げてきたものとして、私からも礼を言わせてほしい。			これも、君のチャ・ラカへの助けがあってこそだ。この学問に生涯を捧げてきたものとして、私からも礼を言わせてほしい。			港の先の未来へ							
おまけに、これはクジラの治療に取り組んだ副産物なんだけど……もうひとつ、嬉しい報告があってさ。			おまけに、これはクジラの治療に取り組んだ副産物なんだけど……もうひとつ、嬉しい報告があってさ。			港の先の未来へ							
協力してくれていた医学部の教授が、うちから提供した研究データから、新たな発見をしたらしくてね。俺の体質にも合う、エーテル酔い止めの薬が開発できそうなんだ。			協力してくれていた医学部の教授が、うちから提供した研究データから、新たな発見をしたらしくてね。俺の体質にも合う、エーテル酔い止めの薬が開発できそうなんだ。			港の先の未来へ							
その薬さえあれば、もうグリーナーに頼りっぱなしの状態もおしまいってワケ！俺自身だって、自分で実地調査にも赴けるはずだ！			その薬さえあれば、もうグリーナーに頼りっぱなしの状態もおしまいってワケ！俺自身だって、自分で実地調査にも赴けるはずだ！			港の先の未来へ							
あのクジラたちが泳ぐ先も……それに、いつかは月にだって！自分で研究しに行ってやるさ！			あのクジラたちが泳ぐ先も……それに、いつかは月にだって！自分で研究しに行ってやるさ！			港の先の未来へ							
もう行っちまうか……元気でな！世界の海で、また会おう！			もう行っちまうか……元気でな！世界の海で、また会おう！			港の先の未来へ							
改めてこのガウンでここに立つと、なんだか気が引き締まる気がするよ。			改めてこのガウンでここに立つと、なんだか気が引き締まる気がするよ。			港の先の未来へ							
……おめでとう、本当によくやりました。			……おめでとう、本当によくやりました。			港の先の未来へ							
君の研究の成果を見届けることができて、私もようやく、先延ばしにしていた引退を決意できましたよ。			君の研究の成果を見届けることができて、私もようやく、先延ばしにしていた引退を決意できましたよ。			港の先の未来へ							
えっ、ええ！？ネレー教授、引退ってどういうことですか……！？			えっ、ええ！？ネレー教授、引退ってどういうことですか……！？			港の先の未来へ							
前々から考えていたことなんです。後進が立派に育てば、教授会の席を埋めている必要もなくなる。			前々から考えていたことなんです。後進が立派に育てば、教授会の席を埋めている必要もなくなる。			港の先の未来へ							
発想のヒントや考え方は、教えたり助言することもできますが、しかし研究への「執念」……そのものは、授けられない。研究者として歩むには、自ら掴むしかないのです。			発想のヒントや考え方は、教えたり助言することもできますが、しかし研究への「執念」……そのものは、授けられない。研究者として歩むには、自ら掴むしかないのです。			港の先の未来へ							
Forename君との出会いを通じ、研究活動の核となる執着を得られた君は、もう大丈夫です。その確信を得られたからこそ、引退を選べたんですよ。			Forename君との出会いを通じ、研究活動の核となる執着を得られた君は、もう大丈夫です。その確信を得られたからこそ、引退を選べたんですよ。			港の先の未来へ							
そんな、ネレー教授……。			そんな、ネレー教授……。			港の先の未来へ							
一人前の研究者となった君がいれば、このエーテル学の分野は、ますますの発見を得るでしょう。			一人前の研究者となった君がいれば、このエーテル学の分野は、ますますの発見を得るでしょう。			港の先の未来へ							
私は隠居暮らしをしながら、それを楽しみにしています。または、ときには友として君と、世界の謎について語らいたい。			私は隠居暮らしをしながら、それを楽しみにしています。または、ときには友として君と、世界の謎について語らいたい。			港の先の未来へ							
…………はい！俺、必ずもっと立派な研究者になってみせます！今もらえた言葉を、最後の、そして一番の支えにしながら！			…………はい！俺、必ずもっと立派な研究者になってみせます！今もらえた言葉を、最後の、そして一番の支えにしながら！			港の先の未来へ							
本当に、ここまでこれたのはお前のおかげだ！俺はここで、もっともっと研究を続けていくから、たまには会いに来てくれよな！			本当に、ここまでこれたのはお前のおかげだ！俺はここで、もっともっと研究を続けていくから、たまには会いに来てくれよな！			港の先の未来へ							
そして、この世界にどんな面白い場所があるのか、お前の旅先のこと、たくさん俺に教えてくれ！			そして、この世界にどんな面白い場所があるのか、お前の旅先のこと、たくさん俺に教えてくれ！			港の先の未来へ							
チャ・ラカ・ティアはあなたの事を、「研究室の大恩人」と感じているようです！			チャ・ラカ・ティアはあなたの事を、「研究室の大恩人」と感じているようです！			港の先の未来へ							
また、魔法大学は他にも、腕のいい職人の助けを必要としている人がいるようです。声をかけて、話を聞いてみましょう。			また、魔法大学は他にも、腕のいい職人の助けを必要としている人がいるようです。声をかけて、話を聞いてみましょう。			港の先の未来へ							
また、これにて、すべての学部の取引が完了しました！そんなあなたに、魔法大学職員の「キィ・アリアポー」は、依頼したいことがあるようです。			また、これにて、すべての学部の取引が完了しました！そんなあなたに、魔法大学職員の「キィ・アリアポー」は、依頼したいことがあるようです。			港の先の未来へ							
「選者殿」にいる彼女から、話を聞いてみましょう。			「選者殿」にいる彼女から、話を聞いてみましょう。			港の先の未来へ							
