クガネのヒルディブランドは、シグレの帰りを待っているようだ。			クガネのヒルディブランドは、シグレの帰りを待っているようだ。			薬に侵されし最強の男							
伝説の神器「アメノムラクモ」が、まさか実在していようとは……。さすがに驚きを禁じえなかったでござるよ。			伝説の神器「アメノムラクモ」が、まさか実在していようとは……。さすがに驚きを禁じえなかったでござるよ。			東の国の闇							
さて、さっそく紅玉海へ向かうとしましょうぞ。……と、その前に、ひとつだけ済ませたい用事があるゆえ、紅玉台場で落ち合うことにさせてほしいでござる。			さて、さっそく紅玉海へ向かうとしましょうぞ。……と、その前に、ひとつだけ済ませたい用事があるゆえ、紅玉台場で落ち合うことにさせてほしいでござる。			東の国の闇							
なに、大したことではござらぬ。事件屋殿が言われていた、着物の件でござるよ。			なに、大したことではござらぬ。事件屋殿が言われていた、着物の件でござるよ。			東の国の闇							
着替えが終わり次第、向かうのでご安心を。では、またのちほど！			着替えが終わり次第、向かうのでご安心を。では、またのちほど！			東の国の闇							
小金通りのシグレは、冒険者を待っていたようだ。			小金通りのシグレは、冒険者を待っていたようだ。			うわさの剣豪							
前回までの冒険録：復活したヒルディブランドと協力し、詐欺師の逮捕を手助けした冒険者。だが、こそドロ一匹オオカミを逃してしまう。シグレに、こそドロ一匹オオカミを捕らえることに協力すると言い残し、去っていったヒルディブランド。見事、こそドロ一匹オオカミを捕らえることができるのだろうか……。　　　　　　　　　　　　*　*　*つい先程、またもこそドロ一匹オオカミの犯行があり、ヒルディブランドたちが現場に向かったようだ。楽座街の「ヒルディブランド」と話そう。			前回までの冒険録：復活したヒルディブランドと協力し、詐欺師の逮捕を手助けした冒険者。だが、こそドロ一匹オオカミを逃してしまう。シグレに、こそドロ一匹オオカミを捕らえることに協力すると言い残し、去っていったヒルディブランド。見事、こそドロ一匹オオカミを捕らえることができるのだろうか……。　　　　　　　　　　　　*　*　*つい先程、またもこそドロ一匹オオカミの犯行があり、ヒルディブランドたちが現場に向かったようだ。楽座街の「ヒルディブランド」と話そう。			うわさの剣豪							
ヒルディブランドと話した。アケボノによると、こそドロ一匹オオカミはソボロ助広を盗み出そうとしたのだが、護衛として雇ったヨウジンボウのお陰で指一本触れさせなかったそうだ。だが、護衛の目は多いに越したことはないと不安がるシグレは、アケボノに改めて警護の申し出をしてみるという。三条花街にいる「アケボノの護衛」と話そう。			ヒルディブランドと話した。アケボノによると、こそドロ一匹オオカミはソボロ助広を盗み出そうとしたのだが、護衛として雇ったヨウジンボウのお陰で指一本触れさせなかったそうだ。だが、護衛の目は多いに越したことはないと不安がるシグレは、アケボノに改めて警護の申し出をしてみるという。三条花街にいる「アケボノの護衛」と話そう。			うわさの剣豪							
アケボノの護衛と話した。必死に護衛したい旨を伝えるシグレだったが、断られてしまった。そんなシグレに、妙案があるとヒルディブランドは言う。置屋の女将のもとに向かった、三条花街の「ヒルディブランド」と話そう。			アケボノの護衛と話した。必死に護衛したい旨を伝えるシグレだったが、断られてしまった。そんなシグレに、妙案があるとヒルディブランドは言う。置屋の女将のもとに向かった、三条花街の「ヒルディブランド」と話そう。			うわさの剣豪							
ヒルディブランドと話した。置屋の女将に対し、髪の毛を剃って意思表示をすると語るヒルディブランドだが、ナシュが髪を切った相手は、シグレだった。髷がなくなりショックを受けるシグレだが、置屋の女将は、面白いものを見させてもらったと、着物を貸すことを快諾してくれた。着物を着たナシュを見て、これなら芸子だと勘違いしてくれるに違いないと語り、一行は再びアケボノの護衛の元へ向かった。三条花街にいる「アケボノの護衛」と話そう。			ヒルディブランドと話した。置屋の女将に対し、髪の毛を剃って意思表示をすると語るヒルディブランドだが、ナシュが髪を切った相手は、シグレだった。髷がなくなりショックを受けるシグレだが、置屋の女将は、面白いものを見させてもらったと、着物を貸すことを快諾してくれた。着物を着たナシュを見て、これなら芸子だと勘違いしてくれるに違いないと語り、一行は再びアケボノの護衛の元へ向かった。三条花街にいる「アケボノの護衛」と話そう。			うわさの剣豪							
アケボノの護衛と話した。無事、会談へ忍び込むことに成功するナシュ。だがそこへ、芸子へ変装したヒルディブランドも現れる。騒がしくなる会談場所へ、こそドロ一匹オオカミが現れ、不覚にもソボロ助広を盗られてしまう。激怒し、取り戻せとシグレへ命じるアケボノなのであった。三条花街にいる「シグレ」と話そう。			アケボノの護衛と話した。無事、会談へ忍び込むことに成功するナシュ。だがそこへ、芸子へ変装したヒルディブランドも現れる。騒がしくなる会談場所へ、こそドロ一匹オオカミが現れ、不覚にもソボロ助広を盗られてしまう。激怒し、取り戻せとシグレへ命じるアケボノなのであった。三条花街にいる「シグレ」と話そう。			うわさの剣豪							
シグレと話した。アケボノにまぬけ坊主と言われたことに落ち込むシグレだが、ソボロ助広をなんとしても取り戻すと意気込むのであった。			シグレと話した。アケボノにまぬけ坊主と言われたことに落ち込むシグレだが、ソボロ助広をなんとしても取り戻すと意気込むのであった。			うわさの剣豪							
ヒルディブランドと話す			ヒルディブランドと話す			うわさの剣豪							
アケボノの護衛と話す			アケボノの護衛と話す			うわさの剣豪							
ヒルディブランドと話す			ヒルディブランドと話す			うわさの剣豪							
アケボノの護衛と話す			アケボノの護衛と話す			うわさの剣豪							
シグレと話す			シグレと話す			うわさの剣豪							
Forename殿、大変でござる！あれから、一匹オオカミの足取りを追っていたものの、なかなか見つからず、苦戦していたのでござるが……。			Forename殿、大変でござる！あれから、一匹オオカミの足取りを追っていたものの、なかなか見つからず、苦戦していたのでござるが……。			うわさの剣豪							
なんと、つい先ほどのこと、またもやヤツによる犯行があったとのこと！事件屋の方々は、一足先に現場へ向かったようでござる！			なんと、つい先ほどのこと、またもやヤツによる犯行があったとのこと！事件屋の方々は、一足先に現場へ向かったようでござる！			うわさの剣豪							
これより拙者も、急ぎ向かう所存でござるが、Forename殿にも、ぜひ同行をお願いしたく……！さあ、犯行現場の楽座街まで向かいましょうぞ！			これより拙者も、急ぎ向かう所存でござるが、Forename殿にも、ぜひ同行をお願いしたく……！さあ、犯行現場の楽座街まで向かいましょうぞ！			うわさの剣豪							
一匹オオカミさん、また現れたみたいです～。			一匹オオカミさん、また現れたみたいです～。			うわさの剣豪							
やれやれ、予め備えておいて大正解だったわ！			やれやれ、予め備えておいて大正解だったわ！			うわさの剣豪							
この事件屋ヒルディィィィブランド、事件の匂いをキャッチして、颯爽と参上いたしましたぞ！			この事件屋ヒルディィィィブランド、事件の匂いをキャッチして、颯爽と参上いたしましたぞ！			うわさの剣豪							
さて、いったいどのような事件が起きたのか、詳しく教えて頂けますかな？			さて、いったいどのような事件が起きたのか、詳しく教えて頂けますかな？			うわさの剣豪							
はて、お主はどこかで見かけたような……？いやそれよりも、そちらのお嬢さんは確か事件屋の……ならば、お話させていただくでごわす。			はて、お主はどこかで見かけたような……？いやそれよりも、そちらのお嬢さんは確か事件屋の……ならば、お話させていただくでごわす。			うわさの剣豪							
あの盗賊オオカミめ……わしが所有する最上大業物の名刀「ソボロ助広」を、なんと白昼堂々、盗み出そうとしおったのでごわす！			あの盗賊オオカミめ……わしが所有する最上大業物の名刀「ソボロ助広」を、なんと白昼堂々、盗み出そうとしおったのでごわす！			うわさの剣豪							
なんと！してアケボノ殿、ソボロ助広は……！？			なんと！してアケボノ殿、ソボロ助広は……！？			うわさの剣豪							
こんなこともあろうかと、巷で噂の剣豪を護衛として雇っておったのでごわす。ゆえに指一本、触れさせることもなし……ガッハッハッ！			こんなこともあろうかと、巷で噂の剣豪を護衛として雇っておったのでごわす。ゆえに指一本、触れさせることもなし……ガッハッハッ！			うわさの剣豪							
なるほど……未遂に終わったのなら、何よりですぞ！			なるほど……未遂に終わったのなら、何よりですぞ！			うわさの剣豪							
とは言え、ヤツのこと。一度目を付けた品を、そう安々と諦めはせぬはず……。			とは言え、ヤツのこと。一度目を付けた品を、そう安々と諦めはせぬはず……。			うわさの剣豪							
機を窺い、ふたたび犯行を繰り返すに違いないでござる！アケボノ殿……ソボロ助広の護衛、ぜひ我らにも手伝わせていただきたく……！			機を窺い、ふたたび犯行を繰り返すに違いないでござる！アケボノ殿……ソボロ助広の護衛、ぜひ我らにも手伝わせていただきたく……！			うわさの剣豪							
気にかけてくれるのはありがたいが、その必要は無用。護衛のヨウジンボウさえいれば、百人力でごわす！			気にかけてくれるのはありがたいが、その必要は無用。護衛のヨウジンボウさえいれば、百人力でごわす！			うわさの剣豪							
し、しかし……！			し、しかし……！			うわさの剣豪							
まったく、心配性な御仁でごわすな。そんな目つきで、始終見つめられていては、息苦しくてかなわぬでごわすぞ？			まったく、心配性な御仁でごわすな。そんな目つきで、始終見つめられていては、息苦しくてかなわぬでごわすぞ？			うわさの剣豪							
……さて、わしはこれから、三条花街で大事な会談があるので、この辺りで失敬。一匹オオカミめ、いつでもかかってくるがよいわ、ガッハッハ！			……さて、わしはこれから、三条花街で大事な会談があるので、この辺りで失敬。一匹オオカミめ、いつでもかかってくるがよいわ、ガッハッハ！			うわさの剣豪							
ううむ、申し出を断られてしまいましたな……。しかし、油断したときこそ、スキが生まれるというもの。警備の目が多いに越したことはないのでござるが……。			ううむ、申し出を断られてしまいましたな……。しかし、油断したときこそ、スキが生まれるというもの。警備の目が多いに越したことはないのでござるが……。			うわさの剣豪							
それならば、答えはひとつですぞ。改めてマケボノ殿と話をして、説得するのです！			それならば、答えはひとつですぞ。改めてマケボノ殿と話をして、説得するのです！			うわさの剣豪							
う、うむ、確かに諦めるには早いでござるな。アケボノ殿が向かわれた「三条花街」へと赴き、もう一度、警備に加えていただけぬか説得を試みましょうぞ！			う、うむ、確かに諦めるには早いでござるな。アケボノ殿が向かわれた「三条花街」へと赴き、もう一度、警備に加えていただけぬか説得を試みましょうぞ！			うわさの剣豪							
ですから、そこを何とかお目通りいただきたく……！			ですから、そこを何とかお目通りいただきたく……！			うわさの剣豪							
説得、頑張ってください～！			説得、頑張ってください～！			うわさの剣豪							
シグレ殿、大事なのは熱意を伝えることですぞ！			シグレ殿、大事なのは熱意を伝えることですぞ！			うわさの剣豪							
駄目だ、駄目だ、何度言われようと入れられぬ！関係者以外は決して誰も入れるなとのお達しなのだ！			駄目だ、駄目だ、何度言われようと入れられぬ！関係者以外は決して誰も入れるなとのお達しなのだ！			うわさの剣豪							
私たちは怪しいものではござらぬ！ただ、アケボノ殿のソボロ助広をお守りしたいだけ……なんとか、お目通りを願えないだろうか！？			私たちは怪しいものではござらぬ！ただ、アケボノ殿のソボロ助広をお守りしたいだけ……なんとか、お目通りを願えないだろうか！？			うわさの剣豪							
そのように言葉巧みに言って近づき、お主らが盗もうとしているのではないか？とにかく駄目だ！			そのように言葉巧みに言って近づき、お主らが盗もうとしているのではないか？とにかく駄目だ！			うわさの剣豪							
特に、お主らのようにむさ苦しい者を、中に入れるわけにはゆかぬのだ！			特に、お主らのようにむさ苦しい者を、中に入れるわけにはゆかぬのだ！			うわさの剣豪							
むさ苦しくなど、ありませんぞ！私は紳士な事件屋で……！			むさ苦しくなど、ありませんぞ！私は紳士な事件屋で……！			うわさの剣豪							
事件屋だろうが置屋だろうが、男では話にならん！			事件屋だろうが置屋だろうが、男では話にならん！			うわさの剣豪							
アケボノ殿の会談相手は、見目麗しい芸子が好み……お主らなどを、目に入れるわけにはいかぬのだ！さぁ、わかったらさっさと立ち去らぬか！			アケボノ殿の会談相手は、見目麗しい芸子が好み……お主らなどを、目に入れるわけにはいかぬのだ！さぁ、わかったらさっさと立ち去らぬか！			うわさの剣豪							
説得どころか、お目通りさえ叶いそうにござらぬな……。			説得どころか、お目通りさえ叶いそうにござらぬな……。			うわさの剣豪							
いえ、シグレ殿……私に妙案がありますぞ。シグレ殿には、芸子さんのお知り合いなどはおられますかな？			いえ、シグレ殿……私に妙案がありますぞ。シグレ殿には、芸子さんのお知り合いなどはおられますかな？			うわさの剣豪							
芸子が暮らす置屋の女将さんになら、心当たりがあるでござる。日銭を稼ぐため、ここの裏手にある置屋で、何度か力仕事を手伝ったことが……して、妙案とは？			芸子が暮らす置屋の女将さんになら、心当たりがあるでござる。日銭を稼ぐため、ここの裏手にある置屋で、何度か力仕事を手伝ったことが……して、妙案とは？			うわさの剣豪							
フッフッフ……この事件屋ヒルディブランドにお任せあれ！それでは、さっそく行きましょうぞ！			フッフッフ……この事件屋ヒルディブランドにお任せあれ！それでは、さっそく行きましょうぞ！			うわさの剣豪							
何度言われようと入れられぬ！わかったらさっさと立ち去らぬか！			何度言われようと入れられぬ！わかったらさっさと立ち去らぬか！			うわさの剣豪							
事件屋なんて職業があるのかい？あたいは、初めて聞いたよ。			事件屋なんて職業があるのかい？あたいは、初めて聞いたよ。			うわさの剣豪							
はじめまして、貴方がシグレ殿のお知り合いの女将殿ですかな？私は、事件屋ヒルディブランドですぞ！			はじめまして、貴方がシグレ殿のお知り合いの女将殿ですかな？私は、事件屋ヒルディブランドですぞ！			うわさの剣豪							
たしかに、あたいがそうだよ。で、未だに定職につけないシグレとつるんで、事件屋だとかが、何の用だい？			たしかに、あたいがそうだよ。で、未だに定職につけないシグレとつるんで、事件屋だとかが、何の用だい？			うわさの剣豪							
今日は折り入って相談があるのですぞ。もちろんシグレ殿の職探しなどではなく……。			今日は折り入って相談があるのですぞ。もちろんシグレ殿の職探しなどではなく……。			うわさの剣豪							
こちらの女性、ナシュに似合う、素敵な着物を貸していただきたいのです！			こちらの女性、ナシュに似合う、素敵な着物を貸していただきたいのです！			うわさの剣豪							
ほお、着物をねぇ……。事件屋さんが知ってるかわからないが、芸子にとって着物は命。悪いけど、そう安々と貸せる代物じゃあないんだ。			ほお、着物をねぇ……。事件屋さんが知ってるかわからないが、芸子にとって着物は命。悪いけど、そう安々と貸せる代物じゃあないんだ。			うわさの剣豪							
……とはいえ、何やら訳ありなようだから、交渉といこうじゃないか。			……とはいえ、何やら訳ありなようだから、交渉といこうじゃないか。			うわさの剣豪							
そうだねぇ……1万ギルくらいでどうだい？			そうだねぇ……1万ギルくらいでどうだい？			うわさの剣豪							
どうする？			どうする？			うわさの剣豪							
それくらいなら、自分が出そう			それくらいなら、自分が出そう			うわさの剣豪							
なんとかなりそう？			なんとかなりそう？			うわさの剣豪							
いや、冒険者殿の手を煩わせるわけには参りませんぞ！ここは我々にお任せあれ！			いや、冒険者殿の手を煩わせるわけには参りませんぞ！ここは我々にお任せあれ！			うわさの剣豪							
もちろんですとも！ここは我々にお任せあれ！			もちろんですとも！ここは我々にお任せあれ！			うわさの剣豪							
さぁ、ナシュ、お金を！			さぁ、ナシュ、お金を！			うわさの剣豪							
お金、すっからかんです～。			お金、すっからかんです～。			うわさの剣豪							
な、なんですと……！？			な、なんですと……！？			うわさの剣豪							
う～む、困ったことになりましたな。			う～む、困ったことになりましたな。			うわさの剣豪							
なるほど、ナシュ殿を芸子に変装させて、会談の場に忍び込ませる算段だったのでござるか……。確かに妙案でござるが、あいにく拙者にも持ち合わせが……。			なるほど、ナシュ殿を芸子に変装させて、会談の場に忍び込ませる算段だったのでござるか……。確かに妙案でござるが、あいにく拙者にも持ち合わせが……。			うわさの剣豪							
無職のシグレ殿から、お金を借りるわけにもいきませんからな！			無職のシグレ殿から、お金を借りるわけにもいきませんからな！			うわさの剣豪							
……ハッ！お金を必要としない、名案をキャッチしましたぞ！			……ハッ！お金を必要としない、名案をキャッチしましたぞ！			うわさの剣豪							
ここ東方では、硬い意思を示すために、髪の毛を剃るという文化があると、お聞きしました……。ここはひとつ、頭を丸めてみせましょうぞ！			ここ東方では、硬い意思を示すために、髪の毛を剃るという文化があると、お聞きしました……。ここはひとつ、頭を丸めてみせましょうぞ！			うわさの剣豪							
な、なんと！着物を借りるために、そこまでされると申すか！？			な、なんと！着物を借りるために、そこまでされると申すか！？			うわさの剣豪							
ナシュ、切ります～！			ナシュ、切ります～！			うわさの剣豪							
バッチリです～！			バッチリです～！			うわさの剣豪							
な、な、なんですとぉぉぉ！？拙者の自慢の髷がぁぁぁぁ！！			な、な、なんですとぉぉぉ！？拙者の自慢の髷がぁぁぁぁ！！			うわさの剣豪							
あっはっは！　こいつは傑作だ！自分じゃなくて、シグレ坊の頭を丸めるとはねぇ！			あっはっは！　こいつは傑作だ！自分じゃなくて、シグレ坊の頭を丸めるとはねぇ！			うわさの剣豪							
いっそ、そのくらいの覚悟を示したほうが、赤誠組の侍になるだなんて、大それた夢も叶いそうなもんさね。			いっそ、そのくらいの覚悟を示したほうが、赤誠組の侍になるだなんて、大それた夢も叶いそうなもんさね。			うわさの剣豪							
ひっさしぶりに面白いもん見せてもらったよ！金はいいから、どれでも好きなものを貸してやろうじゃないか！			ひっさしぶりに面白いもん見せてもらったよ！金はいいから、どれでも好きなものを貸してやろうじゃないか！			うわさの剣豪							
女将殿、感謝いたしますぞ！			女将殿、感謝いたしますぞ！			うわさの剣豪							
それではナシュ、さっそく着てみるのです！			それではナシュ、さっそく着てみるのです！			うわさの剣豪							
ナシュ、着替えてきます～！			ナシュ、着替えてきます～！			うわさの剣豪							
我々はナシュが着替えてくるまで、待つとしましょうぞ！			我々はナシュが着替えてくるまで、待つとしましょうぞ！			うわさの剣豪							
せ、拙者の髷がぁ……。			せ、拙者の髷がぁ……。			うわさの剣豪							
さぁ、そろそろナシュが来ますかな……。			さぁ、そろそろナシュが来ますかな……。			うわさの剣豪							
お待たせしました～！			お待たせしました～！			うわさの剣豪							
お似合いですぞ、ナシュ！			お似合いですぞ、ナシュ！			うわさの剣豪							
おぉ……これは、お美しい……！			おぉ……これは、お美しい……！			うわさの剣豪							
これならば、芸子だと勘違いし、警備の者も中に入れてくれるはずでござる。			これならば、芸子だと勘違いし、警備の者も中に入れてくれるはずでござる。			うわさの剣豪							
よろしい、さっそく向かいましょうぞ！			よろしい、さっそく向かいましょうぞ！			うわさの剣豪							
自分じゃなくて、シグレ坊の頭を丸めるとはねぇ。ひっさしぶりに面白いもん見せてもらったよ！			自分じゃなくて、シグレ坊の頭を丸めるとはねぇ。ひっさしぶりに面白いもん見せてもらったよ！			うわさの剣豪							
置屋の女将さんのところから、ナシュ……いえ、こちらの芸子を連れてきましたぞ！中に入れていただけますかな？			置屋の女将さんのところから、ナシュ……いえ、こちらの芸子を連れてきましたぞ！中に入れていただけますかな？			うわさの剣豪							
どれどれ……。			どれどれ……。			うわさの剣豪							
ほう、なかなかの芸子ではないか。これなら、相手の方も喜ばれるに違いない……。			ほう、なかなかの芸子ではないか。これなら、相手の方も喜ばれるに違いない……。			うわさの剣豪							
よかろう、許可しよう。ただし、入ってよいのはこの芸子のみだ！			よかろう、許可しよう。ただし、入ってよいのはこの芸子のみだ！			うわさの剣豪							
やりましたな！			やりましたな！			うわさの剣豪							
ナシュ、行ってきます～！			ナシュ、行ってきます～！			うわさの剣豪							
しかし、ナシュ殿をひとりで向かわせて大丈夫でござるか？拙者やForename殿が付いて行かなくて、大丈夫でござろうか……？			しかし、ナシュ殿をひとりで向かわせて大丈夫でござるか？拙者やForename殿が付いて行かなくて、大丈夫でござろうか……？			うわさの剣豪							
フッフッフッ……この私に、ちゃんと考えがあるのでご安心を！			フッフッフッ……この私に、ちゃんと考えがあるのでご安心を！			うわさの剣豪							
名高き名刀「ソボロ助広」に名高き芸子「チヨウメ」……。美しき刀と、美しき舞を並べて眺めれば……いやはや、酒がすすむでごわすな！			名高き名刀「ソボロ助広」に名高き芸子「チヨウメ」……。美しき刀と、美しき舞を並べて眺めれば……いやはや、酒がすすむでごわすな！			うわさの剣豪							
(-偉そうな男-)うむうむ、まったくだ！だが、この娘は頑固者でな、なかなか私になびかぬのだ。お主はソボロ助広を容易く手に入れたというのに……。			(-偉そうな男-)うむうむ、まったくだ！だが、この娘は頑固者でな、なかなか私になびかぬのだ。お主はソボロ助広を容易く手に入れたというのに……。			うわさの剣豪							
おおっと、ソボロ助広は譲れませぬが、例の品が完成すれば、もう一方は……。			おおっと、ソボロ助広は譲れませぬが、例の品が完成すれば、もう一方は……。			うわさの剣豪							
(-偉そうな男-)チヨウメや、お前も少し休んで飲むといい。ほれ、さぁさぁ。			(-偉そうな男-)チヨウメや、お前も少し休んで飲むといい。ほれ、さぁさぁ。			うわさの剣豪							
あら、よろしいんですの？それじゃあ、お言葉に甘えて……。			あら、よろしいんですの？それじゃあ、お言葉に甘えて……。			うわさの剣豪							
(-偉そうな男-)美しさも一流ならば、身持ちの堅さも一流だが……どうだチヨウメ、そろそろ観念して私の妾にならぬか？			(-偉そうな男-)美しさも一流ならば、身持ちの堅さも一流だが……どうだチヨウメ、そろそろ観念して私の妾にならぬか？			うわさの剣豪							
ご冗談を……芸は売っても身体は売らず、これが芸子の心持ちだと、何度もお伝えしましたでしょう？			ご冗談を……芸は売っても身体は売らず、これが芸子の心持ちだと、何度もお伝えしましたでしょう？			うわさの剣豪							
(-偉そうな男-)ふむ、やはり、このままでは埒が明かんか……。しかし、いずれなびかせてみせようぞ！			(-偉そうな男-)ふむ、やはり、このままでは埒が明かんか……。しかし、いずれなびかせてみせようぞ！			うわさの剣豪							
お邪魔します～！			お邪魔します～！			うわさの剣豪							
(-偉そうな男-)おぉ……これまた美しい芸子ではないか……。アケボノよ、粋な計らいをしてくれる！ほれ、くるしゅうない、ちこうよれ、ちこうよれ！			(-偉そうな男-)おぉ……これまた美しい芸子ではないか……。アケボノよ、粋な計らいをしてくれる！ほれ、くるしゅうない、ちこうよれ、ちこうよれ！			うわさの剣豪							
(-野太い声-)私も、失礼しますぞ！			(-野太い声-)私も、失礼しますぞ！			うわさの剣豪							
な、なんだ、お前は！？芸子はともかく、化け物などお呼びでないでごわす！			な、なんだ、お前は！？芸子はともかく、化け物などお呼びでないでごわす！			うわさの剣豪							
(-偉そうな男-)せっかくの気分が台無しではないか！下がれ、下がれ、今すぐ下がれ！			(-偉そうな男-)せっかくの気分が台無しではないか！下がれ、下がれ、今すぐ下がれ！			うわさの剣豪							
なんと艶やかな……。			なんと艶やかな……。			うわさの剣豪							
ええい、目障りでごわす！さっさと出ていかぬか、この化け物め！			ええい、目障りでごわす！さっさと出ていかぬか、この化け物め！			うわさの剣豪							
化け物とは失敬な！華麗な舞も披露できる、正真正銘の芸子ですぞ！			化け物とは失敬な！華麗な舞も披露できる、正真正銘の芸子ですぞ！			うわさの剣豪							
やめるでごわす！もういい、ヨウジンボウ！さっさとこいつをつまみ出すでごわす！			やめるでごわす！もういい、ヨウジンボウ！さっさとこいつをつまみ出すでごわす！			うわさの剣豪							
……このような可憐な乙女に手荒な真似はできぬ。悪いが断らせていただく。			……このような可憐な乙女に手荒な真似はできぬ。悪いが断らせていただく。			うわさの剣豪							
なっ……口答えするでごわすか！？お前を雇うのに、いったいどれだけ払ったことか……しっかり仕事をせぬか！			なっ……口答えするでごわすか！？お前を雇うのに、いったいどれだけ払ったことか……しっかり仕事をせぬか！			うわさの剣豪							
請け負ったのは、名刀「ソボロ助広」の護衛であって、女人に狼藉を働く気など毛頭ない！			請け負ったのは、名刀「ソボロ助広」の護衛であって、女人に狼藉を働く気など毛頭ない！			うわさの剣豪							
御免！屋敷に入っていく一匹オオカミを見つけ、急ぎ駆けつけた次第！			御免！屋敷に入っていく一匹オオカミを見つけ、急ぎ駆けつけた次第！			うわさの剣豪							
お、お前は……！			お、お前は……！			うわさの剣豪							
やはり現れると思っておりましたぞ、一匹オオカミ殿！ですが、私がいる限り、もう逃しませぬぞ！			やはり現れると思っておりましたぞ、一匹オオカミ殿！ですが、私がいる限り、もう逃しませぬぞ！			うわさの剣豪							
この事件屋ヒルディィィィィブランド、変幻自在に参上しましたぞ！			この事件屋ヒルディィィィィブランド、変幻自在に参上しましたぞ！			うわさの剣豪							
ううむ、どこかで見かけたような……。			ううむ、どこかで見かけたような……。			うわさの剣豪							
な、なんだとぉ！？			な、なんだとぉ！？			うわさの剣豪							
お前は、あの時の生き人形……だが、ソボロ助広はオイラが頂戴したぜ！？			お前は、あの時の生き人形……だが、ソボロ助広はオイラが頂戴したぜ！？			うわさの剣豪							
じゃあな、アバヨ～！			じゃあな、アバヨ～！			うわさの剣豪							
そうはさせぬ！			そうはさせぬ！			うわさの剣豪							
逃がすか！			逃がすか！			うわさの剣豪							
うう……なんで、こんな目に……？			うう……なんで、こんな目に……？			うわさの剣豪							
(-偉そうな男-)チヨウメよ、傷物になってはおらぬだろうな？お前はいずれ、私の妾に……			(-偉そうな男-)チヨウメよ、傷物になってはおらぬだろうな？お前はいずれ、私の妾に……			うわさの剣豪							
誰が妾だ！どさくさ紛れに触ってんじゃないよ、この助平オヤジが！			誰が妾だ！どさくさ紛れに触ってんじゃないよ、この助平オヤジが！			うわさの剣豪							
しまった、逃したかッ……！			しまった、逃したかッ……！			うわさの剣豪							
しかし、ご安心を！ソボロ助広は、このとおり取り戻したでござる！			しかし、ご安心を！ソボロ助広は、このとおり取り戻したでござる！			うわさの剣豪							
なぁぁぁにが、取り戻したでござる、でごわすか！それが、名刀ソボロ助広だと……！？この、まぬけ坊主がぁぁ！			なぁぁぁにが、取り戻したでござる、でごわすか！それが、名刀ソボロ助広だと……！？この、まぬけ坊主がぁぁ！			うわさの剣豪							
ま……まぬけ坊主……。			ま……まぬけ坊主……。			うわさの剣豪							
ええい、さっさと追いかけぬか！わしのソボロ助広を取り戻すでごわす！！			ええい、さっさと追いかけぬか！わしのソボロ助広を取り戻すでごわす！！			うわさの剣豪							
私の芸子姿、いかがでしたかな？			私の芸子姿、いかがでしたかな？			うわさの剣豪							
芸子さん、大変でした～！			芸子さん、大変でした～！			うわさの剣豪							
……ソボロ助広を取り戻さねば。			……ソボロ助広を取り戻さねば。			うわさの剣豪							
……どこかで会ったことがないか、だと？人違いだろう。			……どこかで会ったことがないか、だと？人違いだろう。			うわさの剣豪							
まんまと、ソボロ助広を盗られたばかりか、アケボノ殿から、まぬけ坊主呼ばわりされる始末……。このシグレ、一生の不覚でござる……。			まんまと、ソボロ助広を盗られたばかりか、アケボノ殿から、まぬけ坊主呼ばわりされる始末……。このシグレ、一生の不覚でござる……。			うわさの剣豪							
ヤツを追い、なんとしてもソボロ助広を、取り戻してみせなくては……！			ヤツを追い、なんとしてもソボロ助広を、取り戻してみせなくては……！			うわさの剣豪							
Forename殿と事件屋の方々にも、引き続きお力添え願いたい。また、ヨウジンボウ殿も、協力してくださるそうでござる。			Forename殿と事件屋の方々にも、引き続きお力添え願いたい。また、ヨウジンボウ殿も、協力してくださるそうでござる。			うわさの剣豪							
ヤツが向かった先について、拙者に思い当たる節があるでござる。準備が整い次第、お声がけをお願い申す。			ヤツが向かった先について、拙者に思い当たる節があるでござる。準備が整い次第、お声がけをお願い申す。			うわさの剣豪							
三条花街のシグレは、こそドロ一匹オオカミの行方に心当たりがあるようだ。			三条花街のシグレは、こそドロ一匹オオカミの行方に心当たりがあるようだ。			近接の脅威							
シグレと話した。こそドロ一匹オオカミの武器から、ヤンサへ向かったのではないかとシグレは推理する。ヤンサの七彩溝へ向かい、「ヒルディブランド」と話そう。			シグレと話した。こそドロ一匹オオカミの武器から、ヤンサへ向かったのではないかとシグレは推理する。ヤンサの七彩溝へ向かい、「ヒルディブランド」と話そう。			近接の脅威							
ヒルディブランドと話した。どのように、こそドロ一匹オオカミの在り処を探すか話していると、ヨウジンボウが、彼の愛犬ダイゴロウに短刀を嗅がせればよいと話す。シグレが嗅がせたところ、ダイゴロウはさっそくどこかへ向かっていった。門前侍町の「ヒルディブランド」と再度話そう。			ヒルディブランドと話した。どのように、こそドロ一匹オオカミの在り処を探すか話していると、ヨウジンボウが、彼の愛犬ダイゴロウに短刀を嗅がせればよいと話す。シグレが嗅がせたところ、ダイゴロウはさっそくどこかへ向かっていった。門前侍町の「ヒルディブランド」と再度話そう。			近接の脅威							
