八分儀広場の生真面目な警備兵は、冒険者に頼みたいことがあるようだ。			八分儀広場の生真面目な警備兵は、冒険者に頼みたいことがあるようだ。			青魔道士と名乗る男							
この試合に出場する猛者なら、敵役(ヒール)に相応しい人材がいるかもしれない。			この試合に出場する猛者なら、敵役(ヒール)に相応しい人材がいるかもしれない。			闘技場の鋭槍							
そうだな……上層の「ラストヴィジル」に行けば、槍術試合の観戦経験がある貴族たちが集まっているはずだ。彼らから猛者についての情報を聞き出そう。			そうだな……上層の「ラストヴィジル」に行けば、槍術試合の観戦経験がある貴族たちが集まっているはずだ。彼らから猛者についての情報を聞き出そう。			闘技場の鋭槍							
もちろん私も仕事を切り上げて向かうぞ。聞き込みを終えたら、現地で合流しよう。			もちろん私も仕事を切り上げて向かうぞ。聞き込みを終えたら、現地で合流しよう。			闘技場の鋭槍							
どうも、さっきから笑われている気がするが……きっと気のせいだろう。			どうも、さっきから笑われている気がするが……きっと気のせいだろう。			闘技場の鋭槍							
槍術試合の猛者ですって……？			槍術試合の猛者ですって……？			闘技場の鋭槍							
それなら、もちろん鋭槍のアランベール様よ。あの美しい槍さばきには惚れ惚れするわぁ……。			それなら、もちろん鋭槍のアランベール様よ。あの美しい槍さばきには惚れ惚れするわぁ……。			闘技場の鋭槍							
猛者と言えば、鋭槍のアランベール様でしょう。それに、ただお強いだけじゃありませんの。			猛者と言えば、鋭槍のアランベール様でしょう。それに、ただお強いだけじゃありませんの。			闘技場の鋭槍							
あの方は、騎士道精神を体現するような、とても優雅で上品な紳士ですのよ。			あの方は、騎士道精神を体現するような、とても優雅で上品な紳士ですのよ。			闘技場の鋭槍							
槍術試合の猛者？それだったら、鋭槍のアランベールで間違いないな。			槍術試合の猛者？それだったら、鋭槍のアランベールで間違いないな。			闘技場の鋭槍							
彼は竜騎士として、皇都防衛や西部高地の戦いで活躍したんだ。竜詩戦争の終結後も、自分を磨くことに余念がなくて、槍術試合でも負け知らずだよ。			彼は竜騎士として、皇都防衛や西部高地の戦いで活躍したんだ。竜詩戦争の終結後も、自分を磨くことに余念がなくて、槍術試合でも負け知らずだよ。			闘技場の鋭槍							
鋭槍のアランベール様は、まさしく猛者と呼べる方よ。あの美しい槍さばきには惚れ惚れするわぁ……。			鋭槍のアランベール様は、まさしく猛者と呼べる方よ。あの美しい槍さばきには惚れ惚れするわぁ……。			闘技場の鋭槍							
アランベール様は、お強いだけじゃありませんの。騎士道精神を体現するような、優雅で上品な紳士ですのよ。			アランベール様は、お強いだけじゃありませんの。騎士道精神を体現するような、優雅で上品な紳士ですのよ。			闘技場の鋭槍							
アランベールは、皇都防衛や西部高地の戦いで活躍したんだ。竜詩戦争の終結後も、自分を磨くことに余念がなくて、槍術試合でも負け知らずだよ。			アランベールは、皇都防衛や西部高地の戦いで活躍したんだ。竜詩戦争の終結後も、自分を磨くことに余念がなくて、槍術試合でも負け知らずだよ。			闘技場の鋭槍							
猛者の情報は聞けただろうか……？			猛者の情報は聞けただろうか……？			闘技場の鋭槍							
うむ、こちらも、鋭槍のアランベールの名を聞いた。誰に聞いても口々にその名が出たので、試合出場者の中では、随一の腕ではあるのだろう。			うむ、こちらも、鋭槍のアランベールの名を聞いた。誰に聞いても口々にその名が出たので、試合出場者の中では、随一の腕ではあるのだろう。			闘技場の鋭槍							
しかし、問題は私よりも強いかどうかだ。やはり直接戦って、実力を確認するよりあるまい。			しかし、問題は私よりも強いかどうかだ。やはり直接戦って、実力を確認するよりあるまい。			闘技場の鋭槍							
試合のエントリーは、ライトフェザー闘技場の前にいる、「槍術試合の係員」が受け付けているという。さっそく向かおう。			試合のエントリーは、ライトフェザー闘技場の前にいる、「槍術試合の係員」が受け付けているという。さっそく向かおう。			闘技場の鋭槍							
槍術試合に出場したいのだが……。			槍術試合に出場したいのだが……。			闘技場の鋭槍							
残念ながら、出場できるのは槍の使い手だけです。あなたの魔法の腕を疑っているわけではありませんが、アランベール卿と戦うなんて無理ですよ。			残念ながら、出場できるのは槍の使い手だけです。あなたの魔法の腕を疑っているわけではありませんが、アランベール卿と戦うなんて無理ですよ。			闘技場の鋭槍							
そ、そこをなんとか……			そ、そこをなんとか……			闘技場の鋭槍							
無理なものは、無理なんです……どうぞ、お帰りください！			無理なものは、無理なんです……どうぞ、お帰りください！			闘技場の鋭槍							
(-上品な竜騎士-)どうされました……？			(-上品な竜騎士-)どうされました……？			闘技場の鋭槍							
これは、アランベール卿……。こちらの方がね、あなたと戦いたいと言って聞かなくて、困っていたんですよ。			これは、アランベール卿……。こちらの方がね、あなたと戦いたいと言って聞かなくて、困っていたんですよ。			闘技場の鋭槍							
あなたが、アランベールさん？その実力を試したいので、どうか私と戦ってください！			あなたが、アランベールさん？その実力を試したいので、どうか私と戦ってください！			闘技場の鋭槍							
面白いじゃないですか。その挑戦……お受けしましょう。			面白いじゃないですか。その挑戦……お受けしましょう。			闘技場の鋭槍							
で、でも……			で、でも……			闘技場の鋭槍							
同じような対戦相手に退屈していたところでした……未知の挑戦者こそ、私の心を滾らせてくれるはず。			同じような対戦相手に退屈していたところでした……未知の挑戦者こそ、私の心を滾らせてくれるはず。			闘技場の鋭槍							
勝手を言って申し訳ありませんが、本戦の前に、この方との特別試合を設けてくださいませんか？			勝手を言って申し訳ありませんが、本戦の前に、この方との特別試合を設けてくださいませんか？			闘技場の鋭槍							
か、かしこまりました。アランベール卿がそう仰るなら……			か、かしこまりました。アランベール卿がそう仰るなら……			闘技場の鋭槍							
ところで……			ところで……			闘技場の鋭槍							
こんなところで、英雄殿とお会いできるなんて光栄です。是非、貴方ともお手合わせ願いたいですね。			こんなところで、英雄殿とお会いできるなんて光栄です。是非、貴方ともお手合わせ願いたいですね。			闘技場の鋭槍							
何と言う？			何と言う？			闘技場の鋭槍							
また機会があれば……			また機会があれば……			闘技場の鋭槍							
西部高地で戦ったことがある			西部高地で戦ったことがある			闘技場の鋭槍							
私は西部高地で訓練することが多いので、ぜひ、お待ちしておりますよ。			私は西部高地で訓練することが多いので、ぜひ、お待ちしておりますよ。			闘技場の鋭槍							
おお、これは失敬！なにぶん多くの方と一度に戦うもので……。			おお、これは失敬！なにぶん多くの方と一度に戦うもので……。			闘技場の鋭槍							
そういえば、あのときは途中で邪魔が入ったのでしたね。また仕切りなおして、戦いたいものです。			そういえば、あのときは途中で邪魔が入ったのでしたね。また仕切りなおして、戦いたいものです。			闘技場の鋭槍							
アランベール卿のご厚意で、特別試合を設けます。出番がきたら声をかけるので、しばらく近くでお待ちください。			アランベール卿のご厚意で、特別試合を設けます。出番がきたら声をかけるので、しばらく近くでお待ちください。			闘技場の鋭槍							
どうやら、アランベールさんは英雄である君がいたから、足を止めて話を聞いてくれたようだな。有名な弟子を持って、師である私も鼻が高いよ。			どうやら、アランベールさんは英雄である君がいたから、足を止めて話を聞いてくれたようだな。有名な弟子を持って、師である私も鼻が高いよ。			闘技場の鋭槍							
さあ、向こうで出番を待つとしよう。			さあ、向こうで出番を待つとしよう。			闘技場の鋭槍							
鋭槍のアランベール……その実力は本物のようだ。今度こそ、私は負けてしまうかもしれないな。			鋭槍のアランベール……その実力は本物のようだ。今度こそ、私は負けてしまうかもしれないな。			闘技場の鋭槍							
そうなれば、この旅の目的である、新たな敵役(ヒール)が見つかったことになるが……			そうなれば、この旅の目的である、新たな敵役(ヒール)が見つかったことになるが……			闘技場の鋭槍							
はっきりいって私は負けたくない。			はっきりいって私は負けたくない。			闘技場の鋭槍							
これまで私は、幾度も強敵との戦いに敗れ、その度に、君は私を倒した相手に打ち勝ってきた。いつもいつも、同じ繰り返しだ。			これまで私は、幾度も強敵との戦いに敗れ、その度に、君は私を倒した相手に打ち勝ってきた。いつもいつも、同じ繰り返しだ。			闘技場の鋭槍							
こんな私にだってプライドはある。もう、弟子に無様な敗北は見せたくないんだ……。			こんな私にだってプライドはある。もう、弟子に無様な敗北は見せたくないんだ……。			闘技場の鋭槍							
何と言う？			何と言う？			闘技場の鋭槍							
きっと勝てる！			きっと勝てる！			闘技場の鋭槍							
負けないで……			負けないで……			闘技場の鋭槍							
しかし、私が負けないことには、この旅の目的を果たすことができない。悩ましいところだな……。			しかし、私が負けないことには、この旅の目的を果たすことができない。悩ましいところだな……。			闘技場の鋭槍							
お待たせしました、間もなくあなたの出番です。試合前にいくつかお聞かせください。			お待たせしました、間もなくあなたの出番です。試合前にいくつかお聞かせください。			闘技場の鋭槍							
まずは、あなたのお名前を教えてもらえますか？観客たちに紹介するためのものですから、必ずしも本名でなくとも構いません。			まずは、あなたのお名前を教えてもらえますか？観客たちに紹介するためのものですから、必ずしも本名でなくとも構いません。			闘技場の鋭槍							
名前は……マスク・ザ・ブルーでお願いしたい！			名前は……マスク・ザ・ブルーでお願いしたい！			闘技場の鋭槍							
何かおかしいですか？			何かおかしいですか？			闘技場の鋭槍							
い、いえ……マスク・ザ・ブルーですね。次に、あなたの戦い方を教えてもらえますか？			い、いえ……マスク・ザ・ブルーですね。次に、あなたの戦い方を教えてもらえますか？			闘技場の鋭槍							
それはもちろん、万能なる青魔法です！			それはもちろん、万能なる青魔法です！			闘技場の鋭槍							
ダメです、ダメです！この闘技場では、青魔法の使用が禁じられているのです！			ダメです、ダメです！この闘技場では、青魔法の使用が禁じられているのです！			闘技場の鋭槍							
以前、青魔道士の冒険者を前座で出場させたことがありました。すると、口からサーディンを出したり、くさい息を吐いたり、とにかく下品だと、観客から苦情が殺到したんですよ。			以前、青魔道士の冒険者を前座で出場させたことがありました。すると、口からサーディンを出したり、くさい息を吐いたり、とにかく下品だと、観客から苦情が殺到したんですよ。			闘技場の鋭槍							
当初は「交流試合」と呼ばれていたものが、「槍術試合」に変わったのも、この事件のせいなんです。			当初は「交流試合」と呼ばれていたものが、「槍術試合」に変わったのも、この事件のせいなんです。			闘技場の鋭槍							
そ、そんな……			そ、そんな……			闘技場の鋭槍							
とはいえ、試合時間は迫っています……。とりあえず、ウルダハから来た魔道士と紹介しますから、なにか、別の手段で戦ってください。			とはいえ、試合時間は迫っています……。とりあえず、ウルダハから来た魔道士と紹介しますから、なにか、別の手段で戦ってください。			闘技場の鋭槍							
いいですか、青魔法は絶対に使わないでください！使った時点で退場してもらいますよ……！			いいですか、青魔法は絶対に使わないでください！使った時点で退場してもらいますよ……！			闘技場の鋭槍							
(-槍術試合の審判-)お集まりの皆様！今宵はご存じ、鋭槍のアランベールの一戦ですが……本戦の前に特別試合をご覧ください！			(-槍術試合の審判-)お集まりの皆様！今宵はご存じ、鋭槍のアランベールの一戦ですが……本戦の前に特別試合をご覧ください！			闘技場の鋭槍							
(-槍術試合の審判-)対する相手は、ウルダハから来た魔道士、マスク・ザ・ブルー！			(-槍術試合の審判-)対する相手は、ウルダハから来た魔道士、マスク・ザ・ブルー！			闘技場の鋭槍							
まあ、なあにあの格好？仮面舞踏会じゃないんだから……。			まあ、なあにあの格好？仮面舞踏会じゃないんだから……。			闘技場の鋭槍							
(-槍術試合の審判-)はじめ！			(-槍術試合の審判-)はじめ！			闘技場の鋭槍							
さあ、私を楽しませてくださいよ！			さあ、私を楽しませてくださいよ！			闘技場の鋭槍							
なぜ、戦おうとしないのです……？その力、見せてください。			なぜ、戦おうとしないのです……？その力、見せてください。			闘技場の鋭槍							
やれやれ、時間の無駄だったようですね……さっさと終わらせましょう。			やれやれ、時間の無駄だったようですね……さっさと終わらせましょう。			闘技場の鋭槍							
私の美技を受け取るがいい！			私の美技を受け取るがいい！			闘技場の鋭槍							
青魔法以外の魔法は使うまいと、自らに禁じてきたが……いまこそ、その封印を解くときか！			青魔法以外の魔法は使うまいと、自らに禁じてきたが……いまこそ、その封印を解くときか！			闘技場の鋭槍							
(-槍術試合の審判-)マ、マスク・ザ・ブルーの……しょ、しょ……勝利……！			(-槍術試合の審判-)マ、マスク・ザ・ブルーの……しょ、しょ……勝利……！			闘技場の鋭槍							
いやはや驚いた。青魔法が使えないと知って、諦めかけていたんだがね……。			いやはや驚いた。青魔法が使えないと知って、諦めかけていたんだがね……。			闘技場の鋭槍							
思い切って、ほかの魔法を使ってみたら、あっさりと勝ってしまったよ。			思い切って、ほかの魔法を使ってみたら、あっさりと勝ってしまったよ。			闘技場の鋭槍							
完敗でした……。こんなに強い魔法使いを相手にしたのは初めてだ。			完敗でした……。こんなに強い魔法使いを相手にしたのは初めてだ。			闘技場の鋭槍							
私もまだまだ修行が足りないということですね。これからは、より一層、訓練に励みます。			私もまだまだ修行が足りないということですね。これからは、より一層、訓練に励みます。			闘技場の鋭槍							
勝利できたことは嬉しいが……やれやれ、また敵役(ヒール)を探さないとならないな……。			勝利できたことは嬉しいが……やれやれ、また敵役(ヒール)を探さないとならないな……。			闘技場の鋭槍							
(-ロイスの声-)敵役(ヒール)なら、もう見つけたから大丈夫よ……！			(-ロイスの声-)敵役(ヒール)なら、もう見つけたから大丈夫よ……！			闘技場の鋭槍							
ろ、ロイスさん！？なんでまた、こんなところに……？			ろ、ロイスさん！？なんでまた、こんなところに……？			闘技場の鋭槍							
あなたが、なかなか敵役(ヒール)を探してこないから、しびれを切らせて、様子を見に来たのよ。さっきの試合も観戦させてもらったわ。			あなたが、なかなか敵役(ヒール)を探してこないから、しびれを切らせて、様子を見に来たのよ。さっきの試合も観戦させてもらったわ。			闘技場の鋭槍							
そうでしたか……。ところで、もう敵役(ヒール)を見つけたと仰いませんでした？			そうでしたか……。ところで、もう敵役(ヒール)を見つけたと仰いませんでした？			闘技場の鋭槍							
新たな敵役(ヒール)は、マーティンよ！			新たな敵役(ヒール)は、マーティンよ！			闘技場の鋭槍							
あなたが、青魔法以外も使えるなんて知らなかったわ！いろいろな魔法を駆使する、新たな敵役(ヒール)になって、Forenameと戦ってちょうだい！			あなたが、青魔法以外も使えるなんて知らなかったわ！いろいろな魔法を駆使する、新たな敵役(ヒール)になって、Forenameと戦ってちょうだい！			闘技場の鋭槍							
ちょ、ちょっと待ってください！それって、青魔法を使わず戦えってことですよね？			ちょ、ちょっと待ってください！それって、青魔法を使わず戦えってことですよね？			闘技場の鋭槍							
私の本業は青魔道士ですよ！さすがに、ほかの魔法だけで、Forename君と互角には渡り合えません！			私の本業は青魔道士ですよ！さすがに、ほかの魔法だけで、Forename君と互角には渡り合えません！			闘技場の鋭槍							
そこは安心して。こちらで進めていた件で、きっと何とかできるはずよ！			そこは安心して。こちらで進めていた件で、きっと何とかできるはずよ！			闘技場の鋭槍							
な、何とかできるって……			な、何とかできるって……			闘技場の鋭槍							
とにかく、新たな敵役(ヒール)が見つかったわけだから、さっさと、ウルダハに戻りましょう。			とにかく、新たな敵役(ヒール)が見つかったわけだから、さっさと、ウルダハに戻りましょう。			闘技場の鋭槍							
聞きましたよ！まさか先生が敵役(ヒール)に抜擢だなんて、面白くなってきましたね……！！			聞きましたよ！まさか先生が敵役(ヒール)に抜擢だなんて、面白くなってきましたね……！！			闘技場の鋭槍							
こんなに近くに、新たな敵役(ヒール)に相応しい者がいたなんて……灯台下暗しとはこのことね。			こんなに近くに、新たな敵役(ヒール)に相応しい者がいたなんて……灯台下暗しとはこのことね。			闘技場の鋭槍							
やれやれ、思わぬ展開となったが、ひとまず、ウルダハに戻ってこれてホッとしてるよ。			やれやれ、思わぬ展開となったが、ひとまず、ウルダハに戻ってこれてホッとしてるよ。			闘技場の鋭槍							
マーティンを新たな敵役(ヒール)にするには、まだ準備が必要だから、しばらく待っててちょうだい。それじゃあ、またね。			マーティンを新たな敵役(ヒール)にするには、まだ準備が必要だから、しばらく待っててちょうだい。それじゃあ、またね。			闘技場の鋭槍							
先生の敵役(ヒール)、楽しみですね！きっとハマると思いますよ！			先生の敵役(ヒール)、楽しみですね！きっとハマると思いますよ！			闘技場の鋭槍							
ロイスさんが何を進めているのかわからんが、まったく、どうなることやら……。			ロイスさんが何を進めているのかわからんが、まったく、どうなることやら……。			闘技場の鋭槍							
さて、君はもう青魔法の習得は十分だろう。待っている間、その腕を磨くことに費やしてくれ。			さて、君はもう青魔法の習得は十分だろう。待っている間、その腕を磨くことに費やしてくれ。			闘技場の鋭槍							
フフフ……Forenameさんに、新たな青魔法を使われると、先生が追い込まれることになりますからね。			フフフ……Forenameさんに、新たな青魔法を使われると、先生が追い込まれることになりますからね。			闘技場の鋭槍							
そ、そういうわけじゃないぞ！習得したければ、好きな青魔法をラーニングしてくるがいい。			そ、そういうわけじゃないぞ！習得したければ、好きな青魔法をラーニングしてくるがいい。			闘技場の鋭槍							
こちらは、旅の疲れを癒すため、しばらく休息させてもらうとするよ。			こちらは、旅の疲れを癒すため、しばらく休息させてもらうとするよ。			闘技場の鋭槍							
ウルダハのマーティンは、どこか不安な様子だ。			ウルダハのマーティンは、どこか不安な様子だ。			黄金闘士の誕生							
マーティンと話したところ、ロイスがやってきて新たな敵役の準備が整ったという。今回は特別な協力者がいるというので、皆で挨拶に向かうことになった。ウルダハの政庁層で「ロイス」と話そう。			マーティンと話したところ、ロイスがやってきて新たな敵役の準備が整ったという。今回は特別な協力者がいるというので、皆で挨拶に向かうことになった。ウルダハの政庁層で「ロイス」と話そう。			黄金闘士の誕生							
特別な協力者とはゴッドベルトだった。彼の技術とノウハウのおかげで、新たな敵役の衣装と舞台装置が作れたそうだ。ブルースカイで、その試着と試運転が行われ、マーティンは、黄金闘士ゴールドルとなった。どうやら、彼の守銭奴なところから、発想された敵役のようだ。ミルバネス礼拝堂付近の「マーティン」と話そう。			特別な協力者とはゴッドベルトだった。彼の技術とノウハウのおかげで、新たな敵役の衣装と舞台装置が作れたそうだ。ブルースカイで、その試着と試運転が行われ、マーティンは、黄金闘士ゴールドルとなった。どうやら、彼の守銭奴なところから、発想された敵役のようだ。ミルバネス礼拝堂付近の「マーティン」と話そう。			黄金闘士の誕生							
思わぬ形での師弟対決となったが、マスクカーニバルで黄金闘士ゴールドルの撃破に挑戦しよう！※マスクカーニバルのステージ32をクリアすると、ミルバネス礼拝堂付近のマーティンから次の青魔道士クエストを受注することができます。			思わぬ形での師弟対決となったが、マスクカーニバルで黄金闘士ゴールドルの撃破に挑戦しよう！※マスクカーニバルのステージ32をクリアすると、ミルバネス礼拝堂付近のマーティンから次の青魔道士クエストを受注することができます。			黄金闘士の誕生							
ロイスと話す			ロイスと話す			黄金闘士の誕生							
マーティンと話す			マーティンと話す			黄金闘士の誕生							
Forename君、さらに腕を磨いてきたか。その実力を、わが身を以て試すことになるのだな……。			Forename君、さらに腕を磨いてきたか。その実力を、わが身を以て試すことになるのだな……。			黄金闘士の誕生							
こちらは旅の疲れこそ癒えたものの、自分が新たな敵役(ヒール)になるということが、どうにも不安で仕方がないよ。			こちらは旅の疲れこそ癒えたものの、自分が新たな敵役(ヒール)になるということが、どうにも不安で仕方がないよ。			黄金闘士の誕生							
まあ、そう心配しないで、こちらで進めていた準備は滞りなく完了したわ。			まあ、そう心配しないで、こちらで進めていた準備は滞りなく完了したわ。			黄金闘士の誕生							
新たな敵役(ヒール)を演出する、衣装と舞台装置が完成したのよ。もちろん、Forenameの新衣装もね。			新たな敵役(ヒール)を演出する、衣装と舞台装置が完成したのよ。もちろん、Forenameの新衣装もね。			黄金闘士の誕生							
ところで、それらの製作にあたって、今回、特別に協力してもらった人がいるの。			ところで、それらの製作にあたって、今回、特別に協力してもらった人がいるの。			黄金闘士の誕生							
協力者に皆で揃って挨拶したいから、政庁層まで来てくれるかしら？			協力者に皆で揃って挨拶したいから、政庁層まで来てくれるかしら？			黄金闘士の誕生							
せ、政庁層だって？いったい、誰に協力してもらったというのだ……？			せ、政庁層だって？いったい、誰に協力してもらったというのだ……？			黄金闘士の誕生							
ここは、どうも落ち着かないな……。			ここは、どうも落ち着かないな……。			黄金闘士の誕生							
協力者って誰でしょう？何だかわくわくしますね……！			協力者って誰でしょう？何だかわくわくしますね……！			黄金闘士の誕生							
それじゃあ、特別な協力者をお呼びしてくるわね。			それじゃあ、特別な協力者をお呼びしてくるわね。			黄金闘士の誕生							
マスクカーニバルの新たな敵役(ヒール)に新風を吹き込むため、今回は特別にこの方に協力してもらったのよ！			マスクカーニバルの新たな敵役(ヒール)に新風を吹き込むため、今回は特別にこの方に協力してもらったのよ！			黄金闘士の誕生							
ホッホッホゥ！マスクカーニバルの皆さんにお会いできて光栄です！			ホッホッホゥ！マスクカーニバルの皆さんにお会いできて光栄です！			黄金闘士の誕生							
ゴ、ゴッドベルトさん！砂蠍衆のひとりにして、あのゴールドソーサーの支配人であり、マンダヴィル＆マンダヴィル社の社長……			ゴ、ゴッドベルトさん！砂蠍衆のひとりにして、あのゴールドソーサーの支配人であり、マンダヴィル＆マンダヴィル社の社長……			黄金闘士の誕生							
つまり、大金持ち……！			つまり、大金持ち……！			黄金闘士の誕生							
おや、Forename殿も、マスクカーニバルの関係者でしたか？いやはや、あなたも忙しいお方ですな。			おや、Forename殿も、マスクカーニバルの関係者でしたか？いやはや、あなたも忙しいお方ですな。			黄金闘士の誕生							
おや、あなたも、マスクカーニバルの関係者でしたか……。			おや、あなたも、マスクカーニバルの関係者でしたか……。			黄金闘士の誕生							
マスクカーニバルにテュポーン殿を出場させたりと、ブルースカイとは、以前から協力関係にありましたが……			マスクカーニバルにテュポーン殿を出場させたりと、ブルースカイとは、以前から協力関係にありましたが……			黄金闘士の誕生							
今回は、新たな敵役(ヒール)を演出するために、弊社が持つ技術とノウハウを、惜しみなく提供いたしました。			今回は、新たな敵役(ヒール)を演出するために、弊社が持つ技術とノウハウを、惜しみなく提供いたしました。			黄金闘士の誕生							
衣装、舞台装置ともに、ゴッドベルトさんの協力がなければ、実現できなかったことばかりです。この度は、本当にありがとうございました！			衣装、舞台装置ともに、ゴッドベルトさんの協力がなければ、実現できなかったことばかりです。この度は、本当にありがとうございました！			黄金闘士の誕生							
いえいえ、こちらこそマスクカーニバルからは、大いにインスピレーションを受けております。これからも、ウルダハの娯楽産業を共に盛り上げていきましょう！			いえいえ、こちらこそマスクカーニバルからは、大いにインスピレーションを受けております。これからも、ウルダハの娯楽産業を共に盛り上げていきましょう！			黄金闘士の誕生							
それでは別件の仕事がありますので、私は、これにて失礼させていただきますぞ。			それでは別件の仕事がありますので、私は、これにて失礼させていただきますぞ。			黄金闘士の誕生							
さて、挨拶も済んだことだし、さっそく衣装合わせと、舞台装置の試運転をしたいわ。ブルースカイへ向かいましょう！			さて、挨拶も済んだことだし、さっそく衣装合わせと、舞台装置の試運転をしたいわ。ブルースカイへ向かいましょう！			黄金闘士の誕生							
うん、新衣装、よく似合ってるわね！			うん、新衣装、よく似合ってるわね！			黄金闘士の誕生							
あのう……私の衣装は？			あのう……私の衣装は？			黄金闘士の誕生							
マスクカーニバルの新たな敵役(ヒール)、その名も……			マスクカーニバルの新たな敵役(ヒール)、その名も……			黄金闘士の誕生							
黄金闘士「ゴールドル」よ……！			黄金闘士「ゴールドル」よ……！			黄金闘士の誕生							
先生……なんか大きくなってないですか……？			先生……なんか大きくなってないですか……？			黄金闘士の誕生							
敵役(ヒール)は迫力がないといけないからね。ミラージュプリズムを応用して、大きく見せているの。			敵役(ヒール)は迫力がないといけないからね。ミラージュプリズムを応用して、大きく見せているの。			黄金闘士の誕生							
そして、この金のクリスタルは、魔力の増幅器としての機能を持ち合わせていて、マーティンの魔法を強化してくれるのよ。			そして、この金のクリスタルは、魔力の増幅器としての機能を持ち合わせていて、マーティンの魔法を強化してくれるのよ。			黄金闘士の誕生							
さらには、魔法人形や魔物も投入する予定だから、Forenameも、油断はしないことね！			さらには、魔法人形や魔物も投入する予定だから、Forenameも、油断はしないことね！			黄金闘士の誕生							
そ、それって、反則じゃないですか？			そ、それって、反則じゃないですか？			黄金闘士の誕生							
あら、敵役(ヒール)が卑怯な手を使って憎まれてこそ、試合は盛り上がるものでしょう？			あら、敵役(ヒール)が卑怯な手を使って憎まれてこそ、試合は盛り上がるものでしょう？			黄金闘士の誕生							
それと、ゴールドルの性格付けなんだけど、マーティンの守銭奴なところから発想して考えてみたの。あとで台本を渡すから、台詞も覚えてしっかり演じてね！			それと、ゴールドルの性格付けなんだけど、マーティンの守銭奴なところから発想して考えてみたの。あとで台本を渡すから、台詞も覚えてしっかり演じてね！			黄金闘士の誕生							
守銭奴って……そんな……。			守銭奴って……そんな……。			黄金闘士の誕生							
ひとまず、決め台詞だけでも練習してみましょう。			ひとまず、決め台詞だけでも練習してみましょう。			黄金闘士の誕生							
わしのクリスタルは渡さん！しねい！			わしのクリスタルは渡さん！しねい！			黄金闘士の誕生							
バッチリじゃない！これはきっと盛り上がるわよ……！			バッチリじゃない！これはきっと盛り上がるわよ……！			黄金闘士の誕生							
ゴールドルになった先生、とっても輝いてましたね……！			ゴールドルになった先生、とっても輝いてましたね……！			黄金闘士の誕生							
やれやれ、守銭奴のゴールドルとはね。私はそんな風に見られていたのか……。			やれやれ、守銭奴のゴールドルとはね。私はそんな風に見られていたのか……。			黄金闘士の誕生							
先生、とってもハマってましたよ！敵役(ヒール)、向いてるんじゃないですか？			先生、とってもハマってましたよ！敵役(ヒール)、向いてるんじゃないですか？			黄金闘士の誕生							
そ、それはいいことなのだろうか……？			そ、それはいいことなのだろうか……？			黄金闘士の誕生							
まあ、こうなったからには、腹をくくって、思い切って演じるしかないだろうな。			まあ、こうなったからには、腹をくくって、思い切って演じるしかないだろうな。			黄金闘士の誕生							
それに、君とはいつか師弟対決してみたかったんだ。こんな形で実現するとは思わなかったがね……。			それに、君とはいつか師弟対決してみたかったんだ。こんな形で実現するとは思わなかったがね……。			黄金闘士の誕生							
よい機会だから、お互い、手加減なしで精一杯、戦おうじゃないか！			よい機会だから、お互い、手加減なしで精一杯、戦おうじゃないか！			黄金闘士の誕生							
三代目マスク・ザ・ブルー改め、ゴールドル！わしはいつでも、お前の挑戦を待っているぞ……！			三代目マスク・ザ・ブルー改め、ゴールドル！わしはいつでも、お前の挑戦を待っているぞ……！			黄金闘士の誕生							
青魔道士コンテンツ「マスクカーニバル」に、新たなステージが追加されました。「ブルースカイの案内人」から挑戦することができます。			青魔道士コンテンツ「マスクカーニバル」に、新たなステージが追加されました。「ブルースカイの案内人」から挑戦することができます。			黄金闘士の誕生							
「青魔道士ログ」に挑戦可能なコンテンツが追加されています。メインコマンドの「青魔道書」タブから、「青魔道士ログ」のメニューを開いて挑戦することができます。			「青魔道士ログ」に挑戦可能なコンテンツが追加されています。メインコマンドの「青魔道書」タブから、「青魔道士ログ」のメニューを開いて挑戦することができます。			黄金闘士の誕生							
ウルダハのマーティンは、悔しそうにしている。			ウルダハのマーティンは、悔しそうにしている。			敵役のススメ							
皆からゴールドルを倒したことを称えられた。マーティンは悔しそうだが、案外、敵役を楽しんでいたようだ。ミルバネス礼拝堂付近の「マーティン」と話そう。			皆からゴールドルを倒したことを称えられた。マーティンは悔しそうだが、案外、敵役を楽しんでいたようだ。ミルバネス礼拝堂付近の「マーティン」と話そう。			敵役のススメ							
マーティンと話した。青魔法にはまだまだ未知の世界が広がっている。心のままに進んでゆこう。			マーティンと話した。青魔法にはまだまだ未知の世界が広がっている。心のままに進んでゆこう。			敵役のススメ							
マーティンと話す			マーティンと話す			敵役のススメ							
いやはや、負けてしまったよ。さすがは我が弟子、見事だった……。			いやはや、負けてしまったよ。さすがは我が弟子、見事だった……。			敵役のススメ							
Forenameさん、おめでとうございます！華麗な青魔法さばきに目が釘付けになりました……！			Forenameさん、おめでとうございます！華麗な青魔法さばきに目が釘付けになりました……！			敵役のススメ							
おや、ロイスさんも祝福に駆けつけてくれたようだ……。			おや、ロイスさんも祝福に駆けつけてくれたようだ……。			敵役のススメ							
Forename、素晴らしい戦いだったわ！客席も満員御礼で大盛り上がりよ！			Forename、素晴らしい戦いだったわ！客席も満員御礼で大盛り上がりよ！			敵役のススメ							
