聖ガンリオル占星院のジャンヌキナルは、冒険者に知らせたいことがあるようだ。			聖ガンリオル占星院のジャンヌキナルは、冒険者に知らせたいことがあるようだ。			東風吹き込む占星院							
アドネール占星台のジャンヌキナルは、冒険者に伝えたいことがあるようだ。			アドネール占星台のジャンヌキナルは、冒険者に伝えたいことがあるようだ。			真なる始動							
レヴェヴァたちを妨害する勢力を調べることになった。アドネール占星台で、レヴェヴァを狙う刺客について情報を集めよう。			レヴェヴァたちを妨害する勢力を調べることになった。アドネール占星台で、レヴェヴァを狙う刺客について情報を集めよう。			真なる始動							
アドネール占星台で情報を集めた。イシュガルドの聖ガンリオル占星院にいる「ジャンヌキナル」と話そう。			アドネール占星台で情報を集めた。イシュガルドの聖ガンリオル占星院にいる「ジャンヌキナル」と話そう。			真なる始動							
ジャンヌキナルと話した。これまでレヴェヴァを狙ってきた勢力は、同一だったようだ。これを伝えるため、イシュガルドの上層で「カンプラン」と話そう。			ジャンヌキナルと話した。これまでレヴェヴァを狙ってきた勢力は、同一だったようだ。これを伝えるため、イシュガルドの上層で「カンプラン」と話そう。			真なる始動							
カンプランと話した。イシュガルドのラストヴィジル方面でレヴェヴァを探そう。			カンプランと話した。イシュガルドのラストヴィジル方面でレヴェヴァを探そう。			真なる始動							
占星術師らしき女性は、レヴェヴァではなかった。ラストヴィジル方面で再びレヴェヴァを探そう。			占星術師らしき女性は、レヴェヴァではなかった。ラストヴィジル方面で再びレヴェヴァを探そう。			真なる始動							
レヴェヴァと話した。ついに教皇庁から、レヴェヴァの講話会の開催の許可を得た。聖ガンリオル占星院の「ジャンヌキナル」と話そう。			レヴェヴァと話した。ついに教皇庁から、レヴェヴァの講話会の開催の許可を得た。聖ガンリオル占星院の「ジャンヌキナル」と話そう。			真なる始動							
ジャンヌキナルと話した。レヴェヴァ師の講話会に協力するために、占星術の修練に励もう。※占星術師のレベルが52以上になると、聖ガンリオル占星院のジャンヌキナルから次の占星術師クエストを受注することができます。			ジャンヌキナルと話した。レヴェヴァ師の講話会に協力するために、占星術の修練に励もう。※占星術師のレベルが52以上になると、聖ガンリオル占星院のジャンヌキナルから次の占星術師クエストを受注することができます。			真なる始動							
アドネール占星台で情報を集める			アドネール占星台で情報を集める			真なる始動							
イシュガルドのジャンヌキナルと話す			イシュガルドのジャンヌキナルと話す			真なる始動							
カンプランと話す			カンプランと話す			真なる始動							
レヴェヴァを探す			レヴェヴァを探す			真なる始動							
再度レヴェヴァを探す			再度レヴェヴァを探す			真なる始動							
ジャンヌキナルと話す			ジャンヌキナルと話す			真なる始動							
さて、我々を悩ませていた、障害のひとつは解決しました。フォルルモル台長の妨害がなくなれば、今後、イシュガルド領内での活動が容易になるはずです。			さて、我々を悩ませていた、障害のひとつは解決しました。フォルルモル台長の妨害がなくなれば、今後、イシュガルド領内での活動が容易になるはずです。			真なる始動							
そこで私は、教皇庁に却下されていたレヴェヴァ師の講話会を、もう一度、申請してみることにします。			そこで私は、教皇庁に却下されていたレヴェヴァ師の講話会を、もう一度、申請してみることにします。			真なる始動							
頼んだぞ、ジャンヌキナル。わしの講話よりも、汝の行動した結果を見せるほうが、星の叡智をずっと理解しやすいからな。			頼んだぞ、ジャンヌキナル。わしの講話よりも、汝の行動した結果を見せるほうが、星の叡智をずっと理解しやすいからな。			真なる始動							
その間、わしらを妨害する勢力を調べてみる。フォルルモルが、シャーレアンの刺客と、どのように通じたのかが、いささか気になるのだ。			その間、わしらを妨害する勢力を調べてみる。フォルルモルが、シャーレアンの刺客と、どのように通じたのかが、いささか気になるのだ。			真なる始動							
カンプランよ、ともに来てくれ。皇都にて、異邦人が目撃されておらぬか調べてみようぞ。			カンプランよ、ともに来てくれ。皇都にて、異邦人が目撃されておらぬか調べてみようぞ。			真なる始動							
でしたら、Forenameさんは、「アドネール占星台」での聞き込みをお任せできますか？報告は、聖ガンリオル占星院までお願いしますね。			でしたら、Forenameさんは、「アドネール占星台」での聞き込みをお任せできますか？報告は、聖ガンリオル占星院までお願いしますね。			真なる始動							
Forenameさんは、「アドネール占星台」での聞き込みをお任せできますか？報告は、聖ガンリオル占星院までお願いしますね。			Forenameさんは、「アドネール占星台」での聞き込みをお任せできますか？報告は、聖ガンリオル占星院までお願いしますね。			真なる始動							
まだ、何か用か？……襲撃の実行犯について知りたいだと？			まだ、何か用か？……襲撃の実行犯について知りたいだと？			真なる始動							
レヴェヴァが、皇都に居座るようになってほどなく、シャーレアンから赴いたという人物に、あの小娘の身柄確保に協力してほしいと言われたのだ。			レヴェヴァが、皇都に居座るようになってほどなく、シャーレアンから赴いたという人物に、あの小娘の身柄確保に協力してほしいと言われたのだ。			真なる始動							
異邦の者の誘いに、安易に乗った俺が馬鹿だった……。お前が拾ったという書簡も、わざと残したものだろうよ。俺は利用されただけで、ヤツらの正体なぞ知らん。			異邦の者の誘いに、安易に乗った俺が馬鹿だった……。お前が拾ったという書簡も、わざと残したものだろうよ。俺は利用されただけで、ヤツらの正体なぞ知らん。			真なる始動							
異邦の者の誘いに、安易に乗った俺が馬鹿だった……。お前が拾ったという書簡も、わざと残したものだろうよ。俺は利用されただけで、ヤツらの正体なぞ知らん。			異邦の者の誘いに、安易に乗った俺が馬鹿だった……。お前が拾ったという書簡も、わざと残したものだろうよ。俺は利用されただけで、ヤツらの正体なぞ知らん。			真なる始動							
……フォルルモル台長の最近の様子ですか？そういえば、目の周りに刺青をした異国の方が、頻繁に訪れているようでしたね……。			……フォルルモル台長の最近の様子ですか？そういえば、目の周りに刺青をした異国の方が、頻繁に訪れているようでしたね……。			真なる始動							
……フォルルモル台長の最近の様子ですか？そういえば、目の周りに刺青をした異国の方が、頻繁に訪れているようでしたね……。			……フォルルモル台長の最近の様子ですか？そういえば、目の周りに刺青をした異国の方が、頻繁に訪れているようでしたね……。			真なる始動							
……ふむ、やはりフォルルモル台長は、利用されていたのですね。先日、レヴェヴァ師の推薦状を出したのも、後ろ盾を得て、己の利権が揺るがぬ確信ゆえの戯れだったのでしょう。			……ふむ、やはりフォルルモル台長は、利用されていたのですね。先日、レヴェヴァ師の推薦状を出したのも、後ろ盾を得て、己の利権が揺るがぬ確信ゆえの戯れだったのでしょう。			真なる始動							
しかし、顔に刺青がある異邦人というのは、有力情報ですね。黒衣森やリムサ・ロミンサでの、襲撃者と特徴が一致します。			しかし、顔に刺青がある異邦人というのは、有力情報ですね。黒衣森やリムサ・ロミンサでの、襲撃者と特徴が一致します。			真なる始動							
正体まではわかりませんが、少なくともこれまでの襲撃は、すべて同一組織による犯行の可能性が高いでしょうね……。			正体まではわかりませんが、少なくともこれまでの襲撃は、すべて同一組織による犯行の可能性が高いでしょうね……。			真なる始動							
この情報を、カンプランにも教えてあげてください。レヴェヴァ師とともに、皇都内で調査をしてるはずです。私は、教皇庁での手続きを終えたら、みなさんに合流しますね。			この情報を、カンプランにも教えてあげてください。レヴェヴァ師とともに、皇都内で調査をしてるはずです。私は、教皇庁での手続きを終えたら、みなさんに合流しますね。			真なる始動							
この情報を、カンプランにも教えてあげてください。レヴェヴァ師とともに、皇都内で調査をしてるはずです。私は、教皇庁での手続きを終えたら、みなさんに合流しますね。			この情報を、カンプランにも教えてあげてください。レヴェヴァ師とともに、皇都内で調査をしてるはずです。私は、教皇庁での手続きを終えたら、みなさんに合流しますね。			真なる始動							
おや、Forename様。もうアドネール占星台での聞き込みを、終えられたのですか？			おや、Forename様。もうアドネール占星台での聞き込みを、終えられたのですか？			真なる始動							
……なるほど、襲撃は同一組織による可能性が高いと。そうなると、レヴェヴァ様、もしや…………			……なるほど、襲撃は同一組織による可能性が高いと。そうなると、レヴェヴァ様、もしや…………			真なる始動							
……って、なにっ！　レ、レヴェヴァ様の姿がない！？つい先ほどまで、そちらで聞き込みをしていたはずなのに……。い、急いで探しましょう！			……って、なにっ！　レ、レヴェヴァ様の姿がない！？つい先ほどまで、そちらで聞き込みをしていたはずなのに……。い、急いで探しましょう！			真なる始動							
Forename様は、ラストヴィジル方面で、レヴェヴァ様を探してくださいますか？自分は、グランド・ホプロン方面を探します！			Forename様は、ラストヴィジル方面で、レヴェヴァ様を探してくださいますか？自分は、グランド・ホプロン方面を探します！			真なる始動							
……レヴェヴァですって？　人違いでは？私は急ぎますので、失礼します……。			……レヴェヴァですって？　人違いでは？私は急ぎますので、失礼します……。			真なる始動							
Forename、よくきてくれた。聞き込みの最中、わしを追う気配に気付いてな……。距離を取るうちに、カンプランとはぐれてしまったのだ。			Forename、よくきてくれた。聞き込みの最中、わしを追う気配に気付いてな……。距離を取るうちに、カンプランとはぐれてしまったのだ。			真なる始動							
……なるほど、事情はわかった。予想はしておったが、これまでの襲撃者は同一組織か。汝が見かけたという占星術師も刺客だろう……。			……なるほど、事情はわかった。予想はしておったが、これまでの襲撃者は同一組織か。汝が見かけたという占星術師も刺客だろう……。			真なる始動							
やれやれ、わしとしたことが……。北洋のシャーレアン本国から、人知れず姿を消したつもりが、最初から「奴ら」には筒抜けだったようだな……。			やれやれ、わしとしたことが……。北洋のシャーレアン本国から、人知れず姿を消したつもりが、最初から「奴ら」には筒抜けだったようだな……。			真なる始動							
……以前にも話したとおり、シャーレアン本国では、エオルゼアに占星術を広めることに反対する考え方が優勢だ。			……以前にも話したとおり、シャーレアン本国では、エオルゼアに占星術を広めることに反対する考え方が優勢だ。			真なる始動							
それでも、わしがイシュガルドに来たのは、父上が果たせなかった夢をかなえるため。わしの父上も、皇都に占星術を広めんとしておられたそうでな。			それでも、わしがイシュガルドに来たのは、父上が果たせなかった夢をかなえるため。わしの父上も、皇都に占星術を広めんとしておられたそうでな。			真なる始動							
……実はな、わしは父上の顔を知らんのだ。偉大な「占星術師」だったそうだが、夢半ばにして亡くなったと聞く……。			……実はな、わしは父上の顔を知らんのだ。偉大な「占星術師」だったそうだが、夢半ばにして亡くなったと聞く……。			真なる始動							
わしと父上との繋がりは、天に輝く星々だけ……。そう考えたからだろうか、わしは幼きころより夜空を見上げ、自然と占星術に親しんでいったのだ。			わしと父上との繋がりは、天に輝く星々だけ……。そう考えたからだろうか、わしは幼きころより夜空を見上げ、自然と占星術に親しんでいったのだ。			真なる始動							
いつしか、父の夢がわしの夢になった。それが、皇都にシャーレアン式占星術を広めること。だから……必ず、成し遂げようぞ。			いつしか、父の夢がわしの夢になった。それが、皇都にシャーレアン式占星術を広めること。だから……必ず、成し遂げようぞ。			真なる始動							
レヴェヴァ師、ご無事でしたか！カンプランとはぐれたと聞き、心配しましたよ！……聞いてください、教皇庁より講話会の許可が下りました！			レヴェヴァ師、ご無事でしたか！カンプランとはぐれたと聞き、心配しましたよ！……聞いてください、教皇庁より講話会の許可が下りました！			真なる始動							
おぉ、それは誠か……実に喜ばしい報せだ。ではさっそく、準備を始めるとしよう。			おぉ、それは誠か……実に喜ばしい報せだ。ではさっそく、準備を始めるとしよう。			真なる始動							
ふふふ、レヴェヴァ師もやる気のようですね。さて、Forenameさん、伝えたいことがありますので、一度、「聖ガンリオル占星院」にお立ち寄りください。			ふふふ、レヴェヴァ師もやる気のようですね。さて、Forenameさん、伝えたいことがありますので、一度、「聖ガンリオル占星院」にお立ち寄りください。			真なる始動							
さっそく、講話会の準備を始めるとしよう。			さっそく、講話会の準備を始めるとしよう。			真なる始動							
レヴェヴァ様のことは、お任せください。今度は見失いません！			レヴェヴァ様のことは、お任せください。今度は見失いません！			真なる始動							
Forenameさん、改めてお礼を言わせてください。数々の妨害に立ち向かい、「占星術師」としての道を、歩み続けてくれていることに……。			Forenameさん、改めてお礼を言わせてください。数々の妨害に立ち向かい、「占星術師」としての道を、歩み続けてくれていることに……。			真なる始動							
襲撃犯の存在など、未だに問題は山積みですが、ついに念願の講話会を開催できます……！私ひとりでは、とてもここまで来れなかったでしょう。			襲撃犯の存在など、未だに問題は山積みですが、ついに念願の講話会を開催できます……！私ひとりでは、とてもここまで来れなかったでしょう。			真なる始動							
本当に、ありがとうございます。そして、これからもよろしくお願いします。すべての行動が、占星術の修練にもつながることでしょう。			本当に、ありがとうございます。そして、これからもよろしくお願いします。すべての行動が、占星術の修練にもつながることでしょう。			真なる始動							
「占星術師」としての貴方は、まだまだ伸びしろがあります。さらに修練に励み、運命を切り開く力を身に付けてください。私も全力で、講話会の成功のためにがんばりますよ！			「占星術師」としての貴方は、まだまだ伸びしろがあります。さらに修練に励み、運命を切り開く力を身に付けてください。私も全力で、講話会の成功のためにがんばりますよ！			真なる始動							
次のクエストは「レベル52」以上で、聖ガンリオル占星院のジャンヌキナルから受注可能です。			次のクエストは「レベル52」以上で、聖ガンリオル占星院のジャンヌキナルから受注可能です。			真なる始動							
今後の「占星術師」のジョブクエスト受注条件は、コンプリート後のジャーナルで確認できます。			今後の「占星術師」のジョブクエスト受注条件は、コンプリート後のジャーナルで確認できます。			真なる始動							
聖ガンリオル占星院のジャンヌキナルは、冒険者の訪問を歓迎しているようだ。			聖ガンリオル占星院のジャンヌキナルは、冒険者の訪問を歓迎しているようだ。			「水瓶」知恵を得よ							
ジャンヌキナルは、レヴェヴァの講話会を教皇庁にかけあうという。クルザス中央高地のアドネール占星台にいる「フォルルモル」から「教皇庁への推薦状」を受け取ろう。			ジャンヌキナルは、レヴェヴァの講話会を教皇庁にかけあうという。クルザス中央高地のアドネール占星台にいる「フォルルモル」から「教皇庁への推薦状」を受け取ろう。			「水瓶」知恵を得よ							
フォルルモルから教皇庁への推薦状を受け取った。聖ガンリオル占星院の「ジャンヌキナル」に「教皇庁への推薦状」を渡そう。			フォルルモルから教皇庁への推薦状を受け取った。聖ガンリオル占星院の「ジャンヌキナル」に「教皇庁への推薦状」を渡そう。			「水瓶」知恵を得よ							
ジャンヌキナルに教皇庁への推薦状を渡した。モードゥナの早霜峠にいる「レヴェヴァ」と話そう。			ジャンヌキナルに教皇庁への推薦状を渡した。モードゥナの早霜峠にいる「レヴェヴァ」と話そう。			「水瓶」知恵を得よ							
レヴェヴァたちと、襲われていた占星術士を救出した。早霜峠の「指定地点」で見渡そう。			レヴェヴァたちと、襲われていた占星術士を救出した。早霜峠の「指定地点」で見渡そう。			「水瓶」知恵を得よ							
早霜峠で、「水天座」の門を開いた。聖ガンリオル占星院の「ジャンヌキナル」と話そう。			早霜峠で、「水天座」の門を開いた。聖ガンリオル占星院の「ジャンヌキナル」と話そう。			「水瓶」知恵を得よ							
ジャンヌキナルはシャーレアン式の占星術を学ぶ占星術士の存在を聞き、勇気づけられたようだ。新たに伝授された術を使いこみ、占星術の修練に励もう。※占星術師のレベルが50以上になると、聖ガンリオル占星院のジャンヌキナルから次の占星術師クエストを受注することができます。			ジャンヌキナルはシャーレアン式の占星術を学ぶ占星術士の存在を聞き、勇気づけられたようだ。新たに伝授された術を使いこみ、占星術の修練に励もう。※占星術師のレベルが50以上になると、聖ガンリオル占星院のジャンヌキナルから次の占星術師クエストを受注することができます。			「水瓶」知恵を得よ							
アドネール占星台のフォルルモルから教皇庁への推薦状を受け取る			アドネール占星台のフォルルモルから教皇庁への推薦状を受け取る			「水瓶」知恵を得よ							
聖ガンリオル占星院のジャンヌキナルに教皇庁への推薦状を渡す			聖ガンリオル占星院のジャンヌキナルに教皇庁への推薦状を渡す			「水瓶」知恵を得よ							
早霜峠のレヴェヴァと話す			早霜峠のレヴェヴァと話す			「水瓶」知恵を得よ							
指定地点で見渡す			指定地点で見渡す			「水瓶」知恵を得よ							
聖ガンリオル占星院のジャンヌキナルと話す			聖ガンリオル占星院のジャンヌキナルと話す			「水瓶」知恵を得よ							
刺客を倒せ！			刺客を倒せ！			「水瓶」知恵を得よ							
Forenameさん、修練は順調のようですね。レヴェヴァ師も、御身が狙われているというのに、次なる修練の地を精力的に探されています。			Forenameさん、修練は順調のようですね。レヴェヴァ師も、御身が狙われているというのに、次なる修練の地を精力的に探されています。			「水瓶」知恵を得よ							
本来であれば、この皇都にて、講話会を開いていただきたかったのですが、未だに教皇庁からの許可が下りておりませんからね。			本来であれば、この皇都にて、講話会を開いていただきたかったのですが、未だに教皇庁からの許可が下りておりませんからね。			「水瓶」知恵を得よ							
そこで、フォルルモル台長に、推薦していただくことにしました。彼こそが、イシュガルドの占星術界を牽引する人物ですから。			そこで、フォルルモル台長に、推薦していただくことにしました。彼こそが、イシュガルドの占星術界を牽引する人物ですから。			「水瓶」知恵を得よ							
すでに依頼はしてありますので、アドネール占星台に赴き、フォルルモル台長から、「教皇庁への推薦状」を受け取ってきてくださいませんか？			すでに依頼はしてありますので、アドネール占星台に赴き、フォルルモル台長から、「教皇庁への推薦状」を受け取ってきてくださいませんか？			「水瓶」知恵を得よ							
アドネール占星台に赴き、フォルルモル台長から、「教皇庁への推薦状」を受け取ってきてくださいませんか？			アドネール占星台に赴き、フォルルモル台長から、「教皇庁への推薦状」を受け取ってきてくださいませんか？			「水瓶」知恵を得よ							
道楽者のジャンヌキナルの使いか……。ほれ、これが依頼の品だ。			道楽者のジャンヌキナルの使いか……。ほれ、これが依頼の品だ。			「水瓶」知恵を得よ							
まったく、依頼者自身が出向かんとは、無責任にもほどがある。推薦を引き受けた手前、シャーレアン式占星術について、子細に調べてまで書状をしたためたというのに！			まったく、依頼者自身が出向かんとは、無責任にもほどがある。推薦を引き受けた手前、シャーレアン式占星術について、子細に調べてまで書状をしたためたというのに！			「水瓶」知恵を得よ							
……よいか、シャーレアン式の星図では、北極星を中心として囲むように六天座を配置しておる。「竜星」を重視する、我らの星図とはまったく異なってな。			……よいか、シャーレアン式の星図では、北極星を中心として囲むように六天座を配置しておる。「竜星」を重視する、我らの星図とはまったく異なってな。			「水瓶」知恵を得よ							
このような、竜の動向すら読めぬ術式にうつつを抜かすとは、ジャンヌキナルの道楽も困ったものだ。			このような、竜の動向すら読めぬ術式にうつつを抜かすとは、ジャンヌキナルの道楽も困ったものだ。			「水瓶」知恵を得よ							
ヤツが占星院から追い出されずにおるのは、占星台を管轄するデュランデル家の本家筋だからに過ぎぬ……。それを忘れぬようにと、お前からも釘を刺しておいてくれ。			ヤツが占星院から追い出されずにおるのは、占星台を管轄するデュランデル家の本家筋だからに過ぎぬ……。それを忘れぬようにと、お前からも釘を刺しておいてくれ。			「水瓶」知恵を得よ							
ヤツが占星院から追い出されずにおるのは、占星台を管轄するデュランデル家の本家筋だからに過ぎぬ……。それを忘れぬようにと、お前からも釘を刺しておいてくれ。			ヤツが占星院から追い出されずにおるのは、占星台を管轄するデュランデル家の本家筋だからに過ぎぬ……。それを忘れぬようにと、お前からも釘を刺しておいてくれ。			「水瓶」知恵を得よ							
アドネール占星台に赴き、フォルルモル台長から、「教皇庁への推薦状」を受け取ってきてくださいませんか？			アドネール占星台に赴き、フォルルモル台長から、「教皇庁への推薦状」を受け取ってきてくださいませんか？			「水瓶」知恵を得よ							
……これは、ありがとうございます。台長からの忠告も合わせて、受け取りました。			……これは、ありがとうございます。台長からの忠告も合わせて、受け取りました。			「水瓶」知恵を得よ							
彼は相変わらずのようですが、ここ最近、少数ながら、シャーレアン式占星術に興味を持つ者が現れています。講話会が、さらなる一押しとなることに期待しましょう。			彼は相変わらずのようですが、ここ最近、少数ながら、シャーレアン式占星術に興味を持つ者が現れています。講話会が、さらなる一押しとなることに期待しましょう。			「水瓶」知恵を得よ							
さて、レヴェヴァ師が次なる修練の地を定めて、モードゥナの「早霜峠」に旅立たれました。急ぎ、後を追ってください。			さて、レヴェヴァ師が次なる修練の地を定めて、モードゥナの「早霜峠」に旅立たれました。急ぎ、後を追ってください。			「水瓶」知恵を得よ							
レヴェヴァ師が次なる修練の地を定めて、モードゥナの「早霜峠」に旅立たれました。急ぎ、後を追ってください。			レヴェヴァ師が次なる修練の地を定めて、モードゥナの「早霜峠」に旅立たれました。急ぎ、後を追ってください。			「水瓶」知恵を得よ							
Forename様、ご注意を！			Forename様、ご注意を！			「水瓶」知恵を得よ							
突然、賊に襲われて……！			突然、賊に襲われて……！			「水瓶」知恵を得よ							
Forenameよ、心せよ！ここに到着したところ、この者が襲われておってな！			Forenameよ、心せよ！ここに到着したところ、この者が襲われておってな！			「水瓶」知恵を得よ							
……彼女は、イシュガルドの占星術士。シャーレアン式占星術の修練を見学したいと依頼され、ここで待ち合わせをしていた方です！			……彼女は、イシュガルドの占星術士。シャーレアン式占星術の修練を見学したいと依頼され、ここで待ち合わせをしていた方です！			「水瓶」知恵を得よ							
同志を襲うとは、見過ごせぬ。Forename、カンプラン、この賊を追い払うぞ！			同志を襲うとは、見過ごせぬ。Forename、カンプラン、この賊を追い払うぞ！			「水瓶」知恵を得よ							
わしはイシュガルドの占星術士を守る！汝は、カンプランの援護をせよ！			わしはイシュガルドの占星術士を守る！汝は、カンプランの援護をせよ！			「水瓶」知恵を得よ							
手強いな……者ども、かかれ！			手強いな……者ども、かかれ！			「水瓶」知恵を得よ							
増援か……ひるまず立ち向かうぞ！			増援か……ひるまず立ち向かうぞ！			「水瓶」知恵を得よ							
しぶとい連中め……だが、これならどうかな！？大地よ、仮初めの命を宿せ……出でよ、我がシモベ！			しぶとい連中め……だが、これならどうかな！？大地よ、仮初めの命を宿せ……出でよ、我がシモベ！			「水瓶」知恵を得よ							
くっ、予想以上に腕が立つ……。			くっ、予想以上に腕が立つ……。			「水瓶」知恵を得よ							
しくじった、すまんが後は頼む……。			しくじった、すまんが後は頼む……。			「水瓶」知恵を得よ							
面目ない、どうか御無事で……。			面目ない、どうか御無事で……。			「水瓶」知恵を得よ							
ああ……シャーレアン式占星術に興味を持ったばっかりに……。			ああ……シャーレアン式占星術に興味を持ったばっかりに……。			「水瓶」知恵を得よ							
危ないところを、ありがとうございました。レヴェヴァ師による修練を見学しようと、来たのですが……。			危ないところを、ありがとうございました。レヴェヴァ師による修練を見学しようと、来たのですが……。			「水瓶」知恵を得よ							
無事で何よりだ。襲撃者に心当たりはあるのか？			無事で何よりだ。襲撃者に心当たりはあるのか？			「水瓶」知恵を得よ							
はい、おそらくは私の上司に雇われた者でしょう……。シャーレアン式占星術を学ぼうと思い立った私に対し、すぐに止めるよう、圧力をかけてきていましたから。			はい、おそらくは私の上司に雇われた者でしょう……。シャーレアン式占星術を学ぼうと思い立った私に対し、すぐに止めるよう、圧力をかけてきていましたから。			「水瓶」知恵を得よ							
……どうやら、シャーレアン式占星術を、広められては困る者たちがいるようだな。わしをつけ狙う者らと、同じ勢力なのだろうか……？			……どうやら、シャーレアン式占星術を、広められては困る者たちがいるようだな。わしをつけ狙う者らと、同じ勢力なのだろうか……？			「水瓶」知恵を得よ							
……ああ。今の騒動で、自分で書きあげたシャーレアン式の星図が、ボロボロになってしまいました……。			……ああ。今の騒動で、自分で書きあげたシャーレアン式の星図が、ボロボロになってしまいました……。			「水瓶」知恵を得よ							
ならば、わしの星図を譲ろう。シャーレアンで制作されたものだ。			ならば、わしの星図を譲ろう。シャーレアンで制作されたものだ。			「水瓶」知恵を得よ							
ありがとうございます！！本場の星図が手に入るなんて、夢のようです。それでは、私は戻ります……本当にありがとうございました！			ありがとうございます！！本場の星図が手に入るなんて、夢のようです。それでは、私は戻ります……本当にありがとうございました！			「水瓶」知恵を得よ							
彼女にとっては、とんだ災難でしたね。もっと落ち着いて、修練ができればよかったのですが……。			彼女にとっては、とんだ災難でしたね。もっと落ち着いて、修練ができればよかったのですが……。			「水瓶」知恵を得よ							
では、我々も、本来の目的を果たすとしよう。さあForename。そこで「天界」の門が開くまで空を見上げよ。			では、我々も、本来の目的を果たすとしよう。さあForename。そこで「天界」の門が開くまで空を見上げよ。			「水瓶」知恵を得よ							
彼女にとっては、とんだ災難でしたね。もっと落ち着いて、修練ができればよかったのですが……。			彼女にとっては、とんだ災難でしたね。もっと落ち着いて、修練ができればよかったのですが……。			「水瓶」知恵を得よ							
さあForename。そこで「天界」の門が開くまで空を見上げよ。			さあForename。そこで「天界」の門が開くまで空を見上げよ。			「水瓶」知恵を得よ							
さあ、Forenameよ。蒼く清らかに輝く「水天座」を知り、その門を開くが良い！			さあ、Forenameよ。蒼く清らかに輝く「水天座」を知り、その門を開くが良い！			「水瓶」知恵を得よ							
水の天界である、水天(すいてん)には、星神ニメーヤが星を溶かして生み出した水で、水瓶携えし知神サリャクが、知の河を創ったという。			水の天界である、水天(すいてん)には、星神ニメーヤが星を溶かして生み出した水で、水瓶携えし知神サリャクが、知の河を創ったという。			「水瓶」知恵を得よ							
ゆえに、水天座の祝福を暗示するアルカナを「水瓶」と呼ぶ。その力を用いることで、水が溢れ出るが如く、生命力が湧き上がることだろう。			ゆえに、水天座の祝福を暗示するアルカナを「水瓶」と呼ぶ。その力を用いることで、水が溢れ出るが如く、生命力が湧き上がることだろう。			「水瓶」知恵を得よ							
水天座とは、水天の門を示す星々……。今、汝はその門を開いたのだ……。			水天座とは、水天の門を示す星々……。今、汝はその門を開いたのだ……。			「水瓶」知恵を得よ							
イシュガルドにも、占星術に興味を持つ者が現れた。我らの行動が、結果として実を結び始めたようだな。この調子で、運命を切り開こう。			イシュガルドにも、占星術に興味を持つ者が現れた。我らの行動が、結果として実を結び始めたようだな。この調子で、運命を切り開こう。			「水瓶」知恵を得よ							
Forenameさん、ご苦労さまでした。またも襲撃騒ぎがあったと聞きましたが、ご無事でなによりです。			Forenameさん、ご苦労さまでした。またも襲撃騒ぎがあったと聞きましたが、ご無事でなによりです。			「水瓶」知恵を得よ							
イシュガルドの占星術士が、修練の見学に来たそうですね。その方のためにも、レヴェヴァ師の講話会を実現させなければ。少しだけ、希望が湧いてきましたよ。			イシュガルドの占星術士が、修練の見学に来たそうですね。その方のためにも、レヴェヴァ師の講話会を実現させなければ。少しだけ、希望が湧いてきましたよ。			「水瓶」知恵を得よ							
……さて、レヴェヴァ師から「水天座」の門までも開いた貴方に、「グラビデ」を伝授するよう、仰せつかりました。今の貴方なら、きっと使いこなせるとご判断なされたのでしょう。			……さて、レヴェヴァ師から「水天座」の門までも開いた貴方に、「グラビデ」を伝授するよう、仰せつかりました。今の貴方なら、きっと使いこなせるとご判断なされたのでしょう。			「水瓶」知恵を得よ							
この術を用いて、貴方がより一層の高みへと登られることを、レヴェヴァ師……そして、この私も期待しております。			この術を用いて、貴方がより一層の高みへと登られることを、レヴェヴァ師……そして、この私も期待しております。			「水瓶」知恵を得よ							
聖ガンリオル占星院のレヴェヴァは、次なる修練に出かけたくて仕方ないようだ。			聖ガンリオル占星院のレヴェヴァは、次なる修練に出かけたくて仕方ないようだ。			「槍」試練に備えよ							
「氷天座」の門を開く修練にでることになった。聖ガンリオル占星院の「ジャンヌキナル」と話そう。			「氷天座」の門を開く修練にでることになった。聖ガンリオル占星院の「ジャンヌキナル」と話そう。			「槍」試練に備えよ							
ジャンヌキナルと話した。クルザス中央高地のキャンプ・ドラゴンヘッドにいる「レヴェヴァ」と話そう。			ジャンヌキナルと話した。クルザス中央高地のキャンプ・ドラゴンヘッドにいる「レヴェヴァ」と話そう。			「槍」試練に備えよ							
レヴェヴァを取り戻した。クルザス中央高地のスチールヴィジルにいる「レヴェヴァ」と話そう。			レヴェヴァを取り戻した。クルザス中央高地のスチールヴィジルにいる「レヴェヴァ」と話そう。			「槍」試練に備えよ							
「氷天座」の門を開いた。スチールヴィジルの「ジャンヌキナル」に「襲撃者の書簡」を渡そう。			「氷天座」の門を開いた。スチールヴィジルの「ジャンヌキナル」に「襲撃者の書簡」を渡そう。			「槍」試練に備えよ							
ジャンヌキナルに襲撃者の書簡を渡した。クルザス中央高地のアドネール占星台の「指定地点」で待機しよう。			ジャンヌキナルに襲撃者の書簡を渡した。クルザス中央高地のアドネール占星台の「指定地点」で待機しよう。			「槍」試練に備えよ							
