解放軍の将校は、冒険者を待っていたようだ。			解放軍の将校は、冒険者を待っていたようだ。			ウェポン襲来							
ですが……ですが……！いまのウェルリトの方々には、あなたという将が必要なのも事実……決して、彼らを裏切るようなことはしないでください……！！			ですが……ですが……！いまのウェルリトの方々には、あなたという将が必要なのも事実……決して、彼らを裏切るようなことはしないでください……！！			輝く命たち							
誓おう、ガイウス・ヴァン・バエサルではなく、ただのガイウス・バエサルとして……。			誓おう、ガイウス・ヴァン・バエサルではなく、ただのガイウス・バエサルとして……。			輝く命たち							
そしてもし、我の行動に疑問を抱くことあらば、その時は、我が背に剣を突き立ててもらって構わぬ。ためらわずにな……。			そしてもし、我の行動に疑問を抱くことあらば、その時は、我が背に剣を突き立ててもらって構わぬ。ためらわずにな……。			輝く命たち							
アラミゴ解放軍の方、よろしいか。物資受け取りの段取りについて相談が……。			アラミゴ解放軍の方、よろしいか。物資受け取りの段取りについて相談が……。			輝く命たち							
では、あちらで話しましょう。			では、あちらで話しましょう。			輝く命たち							
帝国軍人として、過去にウェルリトを攻め落とした我が、此度は独立のために手を貸そうとしている……貴殿にしてみれば、ずいぶん身勝手にも感じられよう。			帝国軍人として、過去にウェルリトを攻め落とした我が、此度は独立のために手を貸そうとしている……貴殿にしてみれば、ずいぶん身勝手にも感じられよう。			輝く命たち							
ゆえにこそ、我は彼らに手を貸すことを決意した……我には、果たさねばならぬ責任があるのだ。			ゆえにこそ、我は彼らに手を貸すことを決意した……我には、果たさねばならぬ責任があるのだ。			輝く命たち							
かつて我は、「強者が弱者を導く先にこそ、未来がある」と説いた。だが、この手で攻め落とした数多の属州を、すべて正しく導けたかと言うと、そうではなかった……。			かつて我は、「強者が弱者を導く先にこそ、未来がある」と説いた。だが、この手で攻め落とした数多の属州を、すべて正しく導けたかと言うと、そうではなかった……。			輝く命たち							
我は、ガレアンの血を引いてなくとも、同じ帝国民であるとして、能力主義を掲げ、公正を重んじる政策を掲げてみせた。だが、総督が変われば、いとも簡単にその方針は覆される。			我は、ガレアンの血を引いてなくとも、同じ帝国民であるとして、能力主義を掲げ、公正を重んじる政策を掲げてみせた。だが、総督が変われば、いとも簡単にその方針は覆される。			輝く命たち							
いま、第VII軍団を率い、ウェルリトを支配している男は、「ウェポン」のような外道な兵器を造る男……。かような男が「強者」として「弱者」を導けばどうなるか……			いま、第VII軍団を率い、ウェルリトを支配している男は、「ウェポン」のような外道な兵器を造る男……。かような男が「強者」として「弱者」を導けばどうなるか……			輝く命たち							
ウァレンスなる男が、我が過去のあやまちが生んだ影だと言うのなら、この手で正さねばなるまい……。			ウァレンスなる男が、我が過去のあやまちが生んだ影だと言うのなら、この手で正さねばなるまい……。			輝く命たち							
戦う理由はそれだけではないはずです。アリーやアルフォンスたちを救うため……そうでしょう？			戦う理由はそれだけではないはずです。アリーやアルフォンスたちを救うため……そうでしょう？			輝く命たち							
……………………。			……………………。			輝く命たち							
彼らについて、貴殿に伝えねばなるまいな。だが、ここで話すのは憚られる。場所を変えよう。			彼らについて、貴殿に伝えねばなるまいな。だが、ここで話すのは憚られる。場所を変えよう。			輝く命たち							
私もすぐに行きますので、ポルタ・プレトリアの「解放軍の輸送兵」と話して、ターンクリフの街に向かってください！			私もすぐに行きますので、ポルタ・プレトリアの「解放軍の輸送兵」と話して、ターンクリフの街に向かってください！			輝く命たち							
今回も、解放者殿が無事にご帰還されるよう、お祈りしております。			今回も、解放者殿が無事にご帰還されるよう、お祈りしております。			輝く命たち							
あのガイウス・バエサルを味方につけたのだ！独立は我らの目の前まで来ているぞ！			あのガイウス・バエサルを味方につけたのだ！独立は我らの目の前まで来ているぞ！			輝く命たち							
祖国の奪還のため……今こそ決起の時！			祖国の奪還のため……今こそ決起の時！			輝く命たち							
ターンクリフへ向かおうと言うんですね？それでは、私がご案内いたします！			ターンクリフへ向かおうと言うんですね？それでは、私がご案内いたします！			輝く命たち							
「ターンクリフ」へ移動しますか？			「ターンクリフ」へ移動しますか？			輝く命たち							
このあたりならば、他の者の耳に入ることはあるまい。実はな……アリーが置き手紙を残して行方をくらませたのだ。			このあたりならば、他の者の耳に入ることはあるまい。実はな……アリーが置き手紙を残して行方をくらませたのだ。			輝く命たち							
これを見てくれ。			これを見てくれ。			輝く命たち							
(-アリーの手紙-)何も告げずに去ることを、どうか赦してください。			(-アリーの手紙-)何も告げずに去ることを、どうか赦してください。			輝く命たち							
(-アリーの手紙-)これまでアルフォンス兄さんは、厳しい暮らしを強いられてきたウェルリト人を救うため、たくさんの辛い決断を迫られてきました。			(-アリーの手紙-)これまでアルフォンス兄さんは、厳しい暮らしを強いられてきたウェルリト人を救うため、たくさんの辛い決断を迫られてきました。			輝く命たち							
(-アリーの手紙-)これ以上、兄さんばかりに、すべてを背負わせたくはないのです。私には、すべてを終わらせることができる「力」があるから。兄さんも、ウェルリトのみんなも、私が救ってみせます。			(-アリーの手紙-)これ以上、兄さんばかりに、すべてを背負わせたくはないのです。私には、すべてを終わらせることができる「力」があるから。兄さんも、ウェルリトのみんなも、私が救ってみせます。			輝く命たち							
(-アリーの手紙-)だから、義父上、最後のわがままを許してくださるなら、私たち兄妹の悲願である自由な国作りに、力を貸してください。どうかお元気で、さようなら。			(-アリーの手紙-)だから、義父上、最後のわがままを許してくださるなら、私たち兄妹の悲願である自由な国作りに、力を貸してください。どうかお元気で、さようなら。			輝く命たち							
アリーは、ウェルリトの首都を押さえている第VII軍団の下へと、戻ったと見るべきであろう。			アリーは、ウェルリトの首都を押さえている第VII軍団の下へと、戻ったと見るべきであろう。			輝く命たち							
何をするつもりかまではわかりませんが、彼女は何らかの計画を実行する気でいるようです。			何をするつもりかまではわかりませんが、彼女は何らかの計画を実行する気でいるようです。			輝く命たち							
それが「ウェポン」に乗ることを意味しているのであれば、他の兄妹同様、彼女の命は……。			それが「ウェポン」に乗ることを意味しているのであれば、他の兄妹同様、彼女の命は……。			輝く命たち							
ガイウス様は……アリーとアルフォンスを救うために、暫定政府に力を貸そうとしているんですよね！？ならば、急がなければ……！			ガイウス様は……アリーとアルフォンスを救うために、暫定政府に力を貸そうとしているんですよね！？ならば、急がなければ……！			輝く命たち							
無論、ふたりの命は救いたい。だが、彼らを救い出すためだけに、抵抗軍将兵の命を危険にさらすわけにはいかぬ。			無論、ふたりの命は救いたい。だが、彼らを救い出すためだけに、抵抗軍将兵の命を危険にさらすわけにはいかぬ。			輝く命たち							
装備も訓練も十分ではない彼らが、第VII軍団と戦えば、あまりにも大きな犠牲を払うことになるであろう。			装備も訓練も十分ではない彼らが、第VII軍団と戦えば、あまりにも大きな犠牲を払うことになるであろう。			輝く命たち							
英雄についても、然りだ。この戦いの意義が変わった今、これ以上の協力を求めるわけには、いかぬだろう。			英雄についても、然りだ。この戦いの意義が変わった今、これ以上の協力を求めるわけには、いかぬだろう。			輝く命たち							
そんな……！ガイウス様は、アリーたちを見殺しにするおつもりですか！			そんな……！ガイウス様は、アリーたちを見殺しにするおつもりですか！			輝く命たち							
彼らのために、別の誰かを犠牲にはできぬ、と言っている。この手紙によって託されたアリーの想いあればこそ、な。			彼らのために、別の誰かを犠牲にはできぬ、と言っている。この手紙によって託されたアリーの想いあればこそ、な。			輝く命たち							
(-ヴァルドランの声-)こちらヴァルドラン。ウェルリト首都近郊の軍事拠点、「カストルム・コッリス」に動きがありました！			(-ヴァルドランの声-)こちらヴァルドラン。ウェルリト首都近郊の軍事拠点、「カストルム・コッリス」に動きがありました！			輝く命たち							
(-ヴァルドランの声-)突然、火の手が上がり、未知の「ウェポン」が暴れているのです！			(-ヴァルドランの声-)突然、火の手が上がり、未知の「ウェポン」が暴れているのです！			輝く命たち							
どういうことだ？新型が暴走したとでも……？			どういうことだ？新型が暴走したとでも……？			輝く命たち							
……いや、アリーの手紙には、「すべてを終わらせることができる力」と記されていた……			……いや、アリーの手紙には、「すべてを終わらせることができる力」と記されていた……			輝く命たち							
……そうか！自分たちの命を犠牲にして、完成させた究極の「ウェポン」。それを以て、第VII軍団を排除し、ウェルリトの同胞たちを救う……			……そうか！自分たちの命を犠牲にして、完成させた究極の「ウェポン」。それを以て、第VII軍団を排除し、ウェルリトの同胞たちを救う……			輝く命たち							
これが彼ら義兄妹の計画であったか！			これが彼ら義兄妹の計画であったか！			輝く命たち							
都市近郊で戦闘が発生したとなれば、抵抗軍にも、この機に乗じて戦端を開こうという動きが生じるでしょう。			都市近郊で戦闘が発生したとなれば、抵抗軍にも、この機に乗じて戦端を開こうという動きが生じるでしょう。			輝く命たち							
ですが、帝国軍と抵抗軍が戦場で入り乱れたとき、危険なシステムで動く「ウェポン」がどう反応するかは未知数……。今すぐ、私たちだけでも向かい、彼女を止めるべきです！			ですが、帝国軍と抵抗軍が戦場で入り乱れたとき、危険なシステムで動く「ウェポン」がどう反応するかは未知数……。今すぐ、私たちだけでも向かい、彼女を止めるべきです！			輝く命たち							
何と言う？			何と言う？			輝く命たち							
アリーとアルフォンスを助けに行こう！			アリーとアルフォンスを助けに行こう！			輝く命たち							
全員まとめて守ってみせる			全員まとめて守ってみせる			輝く命たち							
だが、此度の相手は、ウェポンだけではない！第VII軍団の本隊も待ち構えていよう！そのような死地に赴けば、貴殿ほどの強者とは言え……！			だが、此度の相手は、ウェポンだけではない！第VII軍団の本隊も待ち構えていよう！そのような死地に赴けば、貴殿ほどの強者とは言え……！			輝く命たち							
何と言う？			何と言う？			輝く命たち							
信じてほしい			信じてほしい			輝く命たち							
できないと思う？			できないと思う？			輝く命たち							
………………すまぬ、感謝する。信じさせてもらおう、エオルゼアの英雄という存在を……！			………………すまぬ、感謝する。信じさせてもらおう、エオルゼアの英雄という存在を……！			輝く命たち							
これより我は、暫定政府に対し、抵抗軍を都市近くへ配置するよう進言する。戦闘の動向を確認しつつ、都市民の安全確保を優先するように、とな。			これより我は、暫定政府に対し、抵抗軍を都市近くへ配置するよう進言する。戦闘の動向を確認しつつ、都市民の安全確保を優先するように、とな。			輝く命たち							
セウェラ、シドに連絡を……！Gウォリアーと、現地までの飛空艇を借りたいと……準備が整い次第、我らはふたりの救援に向かう！			セウェラ、シドに連絡を……！Gウォリアーと、現地までの飛空艇を借りたいと……準備が整い次第、我らはふたりの救援に向かう！			輝く命たち							
はいっ！			はいっ！			輝く命たち							
貴殿も、戦いの準備を済ませ、「ガーロンド社の飛空士」のところまで来てくれ……！			貴殿も、戦いの準備を済ませ、「ガーロンド社の飛空士」のところまで来てくれ……！			輝く命たち							
数時間前  ウェルリト・第VII軍団長執務室――			数時間前  ウェルリト・第VII軍団長執務室――			輝く命たち							
いやいやいやいや……戻ってきてくれると、信じていたよ。			いやいやいやいや……戻ってきてくれると、信じていたよ。			輝く命たち							
……というのは少しばかり、嘘ってものかな。実は少～しばかり、キミの兄君に八つ当たりをしてしまってね。どうか……どうか赦してもらいたい……！			……というのは少しばかり、嘘ってものかな。実は少～しばかり、キミの兄君に八つ当たりをしてしまってね。どうか……どうか赦してもらいたい……！			輝く命たち							
以前、あなたは私にこう言った。これまでの「ウェポン」は、コアに搭載されている「メモリー」に、戦闘経験を積ませるための試作機に過ぎないのだと。			以前、あなたは私にこう言った。これまでの「ウェポン」は、コアに搭載されている「メモリー」に、戦闘経験を積ませるための試作機に過ぎないのだと。			輝く命たち							
まさしく、そのとおり……！いやあ、物覚えのいい部下は気持ちがいいねぇ……！			まさしく、そのとおり……！いやあ、物覚えのいい部下は気持ちがいいねぇ……！			輝く命たち							
ルビー、サファイア、エメラルド……輝ける3機が集めた蛮神の能力と戦闘経験を喰わせることで、より美しく、より強い、至高の「ウェポン」が完成する……！			ルビー、サファイア、エメラルド……輝ける3機が集めた蛮神の能力と戦闘経験を喰わせることで、より美しく、より強い、至高の「ウェポン」が完成する……！			輝く命たち							
そう！「ダイヤウェポン」を造り上げることこそ、私の計画であり、私のアートなのだよ！			そう！「ダイヤウェポン」を造り上げることこそ、私の計画であり、私のアートなのだよ！			輝く命たち							
ルビーのメモリーは、キミたちがガイウスらに先んじて回収してきてくれたが……			ルビーのメモリーは、キミたちがガイウスらに先んじて回収してきてくれたが……			輝く命たち							
その一方で、サファイアとエメラルドに関しては、「グ・ズ・で・役・立・た・ず」のガキどもが機体を奪われたせいで、メモリーの回収が困難になってしまったがね！			その一方で、サファイアとエメラルドに関しては、「グ・ズ・で・役・立・た・ず」のガキどもが機体を奪われたせいで、メモリーの回収が困難になってしまったがね！			輝く命たち							
だからこそ、私がガイウスたちの下へ「潜入」して、サファイアとエメラルドのメモリーを回収してきた。そう報告したはず。			だからこそ、私がガイウスたちの下へ「潜入」して、サファイアとエメラルドのメモリーを回収してきた。そう報告したはず。			輝く命たち							
ああ、そうだったねェ……。すでに両機のメモリーは問題なくダイヤに実装されたと、魔導技師長から報告があったところさ。			ああ、そうだったねェ……。すでに両機のメモリーは問題なくダイヤに実装されたと、魔導技師長から報告があったところさ。			輝く命たち							
そして……あなたはかつて、こうも言った。ダイヤウェポンが完成したら、私を1人目のパイロットに任命すると。私が受け入れれば、兄さんやウェルリトの同胞を解放するともね。			そして……あなたはかつて、こうも言った。ダイヤウェポンが完成したら、私を1人目のパイロットに任命すると。私が受け入れれば、兄さんやウェルリトの同胞を解放するともね。			輝く命たち							
ああ、ああ、いかにもだ！キミは兄妹たちの中でも、群を抜いてパイロット適性が高い！			ああ、ああ、いかにもだ！キミは兄妹たちの中でも、群を抜いてパイロット適性が高い！			輝く命たち							
私の「ウェポン」は、画期的なシステムを搭載したことで、誰であっても、熟練の戦士並みに戦えるようになったんだが……だからと言って、乗り手を選ばないわけじゃあないんだ。			私の「ウェポン」は、画期的なシステムを搭載したことで、誰であっても、熟練の戦士並みに戦えるようになったんだが……だからと言って、乗り手を選ばないわけじゃあないんだ。			輝く命たち							
疑似聖石の真価を引き出すには、適性があるのさ。しかも、強力な兵器を任せるに足る忠誠心を持つ人材となると、それはもう希少でねェ……。			疑似聖石の真価を引き出すには、適性があるのさ。しかも、強力な兵器を任せるに足る忠誠心を持つ人材となると、それはもう希少でねェ……。			輝く命たち							
ダイヤウェポンには、私が乗る。でも、言葉だけの忠誠なんて、あなたは信じない。だから条件をつけさせてもらう。			ダイヤウェポンには、私が乗る。でも、言葉だけの忠誠なんて、あなたは信じない。だから条件をつけさせてもらう。			輝く命たち							
兄さんや同胞の解放に加えて、私たちに帝国市民権を付与すること。加えて、ウェルリトの自治権ももらいたい。			兄さんや同胞の解放に加えて、私たちに帝国市民権を付与すること。加えて、ウェルリトの自治権ももらいたい。			輝く命たち							
おやおやおやおや……市民権はともかく、自治権だって？そんな権利を与える権限が、この私にあると思っているのかな……？			おやおやおやおや……市民権はともかく、自治権だって？そんな権利を与える権限が、この私にあると思っているのかな……？			輝く命たち							
とぼけないで。ウェポンの開発は手段であって、目的じゃない。			とぼけないで。ウェポンの開発は手段であって、目的じゃない。			輝く命たち							
あなたの目的は、最強のウェポンを伴って、帝都ガレマルドに入城し、己の力を示すこと。			あなたの目的は、最強のウェポンを伴って、帝都ガレマルドに入城し、己の力を示すこと。			輝く命たち							
「ウァレンス・ゾス・ウァロの新たなる帝国」の建国に、この命を捧げるんだから、それくらいの見返りをもらう権利はある。そうでしょう……？			「ウァレンス・ゾス・ウァロの新たなる帝国」の建国に、この命を捧げるんだから、それくらいの見返りをもらう権利はある。そうでしょう……？			輝く命たち							
ンフ……ンフフフフフ……。			ンフ……ンフフフフフ……。			輝く命たち							
純情可憐な乙女と思っていたら、なかなかの野心家じゃないかッ！いいぞ、ウェルリトなんて牛臭い田舎街は、お前にくれてやろうッ！			純情可憐な乙女と思っていたら、なかなかの野心家じゃないかッ！いいぞ、ウェルリトなんて牛臭い田舎街は、お前にくれてやろうッ！			輝く命たち							
それで、兄さんは？			それで、兄さんは？			輝く命たち							
ああ……キミのお兄さんね、名を何と言ったか……。ともかく、すでに「安全な場所」まで送ってあるぞ。			ああ……キミのお兄さんね、名を何と言ったか……。ともかく、すでに「安全な場所」まで送ってあるぞ。			輝く命たち							
だが、もしもキミが裏切ればどうなるか……言うまでもあるまい？			だが、もしもキミが裏切ればどうなるか……言うまでもあるまい？			輝く命たち							
私は聞き分けの良い子が大好きなんだ！さあ、「ダイヤウェポン」に乗れ！			私は聞き分けの良い子が大好きなんだ！さあ、「ダイヤウェポン」に乗れ！			輝く命たち							
ウァレンス・ゾス・ウァロの戴冠式は近いぞッ……！			ウァレンス・ゾス・ウァロの戴冠式は近いぞッ……！			輝く命たち							
これで、準備は整った……。すべてを終わらせるための準備が……！！			これで、準備は整った……。すべてを終わらせるための準備が……！！			輝く命たち							
……義父上、裏切るような真似をしてごめんなさい。でもどうか、ウェルリトのこと、アルフォンス兄さんのこと、よろしくお願いします……。			……義父上、裏切るような真似をしてごめんなさい。でもどうか、ウェルリトのこと、アルフォンス兄さんのこと、よろしくお願いします……。			輝く命たち							
疑似聖石システム起動……各センサー感度良好。うん……ちゃんと動いてる。			疑似聖石システム起動……各センサー感度良好。うん……ちゃんと動いてる。			輝く命たち							
コードネーム「ゼノス・イェー・ガルヴァス」……APW-I-Z「ダイヤウェポン」、起動します。			コードネーム「ゼノス・イェー・ガルヴァス」……APW-I-Z「ダイヤウェポン」、起動します。			輝く命たち							
どうだね、私のアート……至高の「ウェポン」はッ！圧倒的な美を感じるだろう？			どうだね、私のアート……至高の「ウェポン」はッ！圧倒的な美を感じるだろう？			輝く命たち							
ここまで、長かったな……。この時のために、私たち兄妹は命を捧げてきたんだ……。			ここまで、長かったな……。この時のために、私たち兄妹は命を捧げてきたんだ……。			輝く命たち							
いつの日か、弱者を導く「強者」としての力を得るために……ッ！			いつの日か、弱者を導く「強者」としての力を得るために……ッ！			輝く命たち							
……ぐっ……システムの侵食が始まった……！			……ぐっ……システムの侵食が始まった……！			輝く命たち							
この機体に、兄さんが乗らずに済んで、本当に良かった……。どうか生きぬいて、義父上とともに理想の国を造って……。			この機体に、兄さんが乗らずに済んで、本当に良かった……。どうか生きぬいて、義父上とともに理想の国を造って……。			輝く命たち							
少し計画とは違ってしまったけど、ウェルリトを……みんなを救うために、この命を使う！			少し計画とは違ってしまったけど、ウェルリトを……みんなを救うために、この命を使う！			輝く命たち							
お～い、何をブツブツ言っておるのかね？			お～い、何をブツブツ言っておるのかね？			輝く命たち							
ダイヤ……あなたの力、私がもらう！ウァレンスのような圧政者を打ち払う、「強者」の力をッ！！			ダイヤ……あなたの力、私がもらう！ウァレンスのような圧政者を打ち払う、「強者」の力をッ！！			輝く命たち							
き、貴様……舌の根も乾かぬうちに！だが、このウァレンスを見くびってくれるなよ！属州人の裏切りごとき、想定しておらぬと思ったか！			き、貴様……舌の根も乾かぬうちに！だが、このウァレンスを見くびってくれるなよ！属州人の裏切りごとき、想定しておらぬと思ったか！			輝く命たち							
おい、強制停止だ！			おい、強制停止だ！			輝く命たち							
りょ、了解……停止コード送信！			りょ、了解……停止コード送信！			輝く命たち							
そんな……！？どうして……動いてッ……！！			そんな……！？どうして……動いてッ……！！			輝く命たち							
はっ……はははははっ！あのアバズレめ、冷や汗をかかせおって！			はっ……はははははっ！あのアバズレめ、冷や汗をかかせおって！			輝く命たち							
おい、多少なら機体を壊しても構わん！汚らわしい裏切り者を、コアから剥がして引きずり出せ！生まれたことを後悔するまで仕置きしてやる、殺すなよッ！			おい、多少なら機体を壊しても構わん！汚らわしい裏切り者を、コアから剥がして引きずり出せ！生まれたことを後悔するまで仕置きしてやる、殺すなよッ！			輝く命たち							
いま動いてくれないと、みんなの仇が討てないじゃない……！！ミリサンディア、リコン、レックス、私に力を貸して…………。			いま動いてくれないと、みんなの仇が討てないじゃない……！！ミリサンディア、リコン、レックス、私に力を貸して…………。			輝く命たち							
……お願い……助けて……兄さん！			……お願い……助けて……兄さん！			輝く命たち							
(-疑似聖石システム-)ガガ……「オーバーマインドモード」……強制起動……。機体のコントロールを……「＊＊＊＊＊＊デバイス」に移行……。			(-疑似聖石システム-)ガガ……「オーバーマインドモード」……強制起動……。機体のコントロールを……「＊＊＊＊＊＊デバイス」に移行……。			輝く命たち							
オーバーマインドモードって……！？私、そんなの知らない……！！			オーバーマインドモードって……！？私、そんなの知らない……！！			輝く命たち							
アァァァァァァァァァァァァァ！！！			アァァァァァァァァァァァァァ！！！			輝く命たち							
馬鹿な、オーバーマインドモードが起動している！？停止コードに逆らうことなど、できるはずが……！！			馬鹿な、オーバーマインドモードが起動している！？停止コードに逆らうことなど、できるはずが……！！			輝く命たち							
ええい、どうにかしろ！このままでは、我らもろとも、ダイヤウェポンに……			ええい、どうにかしろ！このままでは、我らもろとも、ダイヤウェポンに……			輝く命たち							
なぜだ、アリー……。			なぜだ、アリー……。			輝く命たち							
話は伺っています。シド会長をお呼びしますね！			話は伺っています。シド会長をお呼びしますね！			輝く命たち							
最後の「ウェポン」が現れたらしいな。			最後の「ウェポン」が現れたらしいな。			輝く命たち							
斥候に派遣したヴァルドランからの情報だ。すでに「ウェポン」は、第VII軍団の主力を基地もろとも叩き、上空へと飛び立ったとのこと。			斥候に派遣したヴァルドランからの情報だ。すでに「ウェポン」は、第VII軍団の主力を基地もろとも叩き、上空へと飛び立ったとのこと。			輝く命たち							
おそらく、搭乗しているのはアリー……彼女ら兄妹を救うため、Gウォリアーを……そして、現地までの飛空艇を借り受けたい。危険はあろうが、どうか協力を頼めぬだろうか。			おそらく、搭乗しているのはアリー……彼女ら兄妹を救うため、Gウォリアーを……そして、現地までの飛空艇を借り受けたい。危険はあろうが、どうか協力を頼めぬだろうか。			輝く命たち							
ヘッ……あんたから、誰かを救いたいと、そのために協力を求められる日が来るなんてな……。			ヘッ……あんたから、誰かを救いたいと、そのために協力を求められる日が来るなんてな……。			輝く命たち							
やってやろうじゃないか。ただし、今回提供するのは、ただの飛空艇じゃない。あんたの子どもたちを救うための、とっておきだ。			やってやろうじゃないか。ただし、今回提供するのは、ただの飛空艇じゃない。あんたの子どもたちを救うための、とっておきだ。			輝く命たち							
また、お会いできましたね。			また、お会いできましたね。			輝く命たち							
このお嬢さんは、第VII軍団の下で、「ウェポン」の調整作業に携わっていたそうでな。今回、協力を申し出てくれたんだ。			このお嬢さんは、第VII軍団の下で、「ウェポン」の調整作業に携わっていたそうでな。今回、協力を申し出てくれたんだ。			輝く命たち							
あなたとの出会いで、私は知ることができました。「ウェポン」シリーズの開発に携わった私だからこそ、この悲劇を終わらせるためにできることがあると……。			あなたとの出会いで、私は知ることができました。「ウェポン」シリーズの開発に携わった私だからこそ、この悲劇を終わらせるためにできることがあると……。			輝く命たち							
これからあなたたちが迎え撃とうとしているのは、ウェポンシリーズ最後の1体、「ダイヤウェポン」……。開発チームでは「最強のウェポン」と呼ばれていた機体です。			これからあなたたちが迎え撃とうとしているのは、ウェポンシリーズ最後の1体、「ダイヤウェポン」……。開発チームでは「最強のウェポン」と呼ばれていた機体です。			輝く命たち							
「ウェポンを喰うウェポン」と評されるダイヤウェポンは、他の「ウェポン」が集めたデータを吸収する能力を持ちます。つまり、すべての「ウェポン」の力を併せ持つということ……。			「ウェポンを喰うウェポン」と評されるダイヤウェポンは、他の「ウェポン」が集めたデータを吸収する能力を持ちます。つまり、すべての「ウェポン」の力を併せ持つということ……。			輝く命たち							
だからこそ、ダイヤウェポンを止めるためには、私たちにも新たな「力」が必要です。			だからこそ、ダイヤウェポンを止めるためには、私たちにも新たな「力」が必要です。			輝く命たち							
その力とやらは、いったい……？			その力とやらは、いったい……？			輝く命たち							
まあ、見てな。			まあ、見てな。			輝く命たち							
このお嬢ちゃんが込めた亡き友への想い……そいつを受け取ったGウォリアーが、どう進化したのかをな！			このお嬢ちゃんが込めた亡き友への想い……そいつを受け取ったGウォリアーが、どう進化したのかをな！			輝く命たち							
すでに上空に待機させている。エンタープライズで送ってやるから、すぐに出発するぞ。			すでに上空に待機させている。エンタープライズで送ってやるから、すぐに出発するぞ。			輝く命たち							
これは……！？			これは……！？			輝く命たち							
兄妹を救いたいという、あんたの想いに応えるためには、破壊ではなく、救出のための秘策が必要だと思ってな……。Gウォリアーに、ウェポン捕獲ユニットを装備させたんだ。			兄妹を救いたいという、あんたの想いに応えるためには、破壊ではなく、救出のための秘策が必要だと思ってな……。Gウォリアーに、ウェポン捕獲ユニットを装備させたんだ。			輝く命たち							
こいつは、もう戦士じゃない。命を救うための救援者……名付けて「Gセイヴァー」だ！			こいつは、もう戦士じゃない。命を救うための救援者……名付けて「Gセイヴァー」だ！			輝く命たち							
我が子らを救うため……いま一度、貴殿の力を借りたい！			我が子らを救うため……いま一度、貴殿の力を借りたい！			輝く命たち							
あなたのおかげで、ガイウス様の迷いは消えたようだ。礼を言う。			あなたのおかげで、ガイウス様の迷いは消えたようだ。礼を言う。			輝く命たち							
「Gセイヴァー戦闘甲板」までは、私がご案内します！			「Gセイヴァー戦闘甲板」までは、私がご案内します！			輝く命たち							
「Gセイヴァー戦闘甲板」へ移動しますか？			「Gセイヴァー戦闘甲板」へ移動しますか？			輝く命たち							
「Gセイヴァー戦闘甲板」までは、私がご案内します！			「Gセイヴァー戦闘甲板」までは、私がご案内します！			輝く命たち							
Gセイヴァー……よもや、このような秘策を用意していようとはな……。			Gセイヴァー……よもや、このような秘策を用意していようとはな……。			輝く命たち							
操縦はガイウス、あんたに任せる。Forenameは、この甲板で、「ウェポン」を迎撃し、捕獲できるよう力を削いでくれ！			操縦はガイウス、あんたに任せる。Forenameは、この甲板で、「ウェポン」を迎撃し、捕獲できるよう力を削いでくれ！			輝く命たち							
了解だ。			了解だ。			輝く命たち							
Forenameよ……。相手は最後の「ウェポン」、激戦になろうが、どうか、ふたりを救うため、その力を貸してくれ……！			Forenameよ……。相手は最後の「ウェポン」、激戦になろうが、どうか、ふたりを救うため、その力を貸してくれ……！			輝く命たち							
作戦が始まったら、俺はエンタープライズで移動する。万が一に備えて、もうひとつの策を用意しておきたいんでね。			作戦が始まったら、俺はエンタープライズで移動する。万が一に備えて、もうひとつの策を用意しておきたいんでね。			輝く命たち							
戦闘が始まったら、私は斥候に出たヴァルドランの帰還を支援しに向かう。あなたもどうか、生きて帰ってきてくれ。			戦闘が始まったら、私は斥候に出たヴァルドランの帰還を支援しに向かう。あなたもどうか、生きて帰ってきてくれ。			輝く命たち							
英雄さん、どうかお願いします。救ってあげてください……私の友達の、家族を……。			英雄さん、どうかお願いします。救ってあげてください……私の友達の、家族を……。			輝く命たち							
操縦方式は、Gウォリアーと同じのようだ。なに、初めての機体であっても、乗りこなしてみせよう。			操縦方式は、Gウォリアーと同じのようだ。なに、初めての機体であっても、乗りこなしてみせよう。			輝く命たち							
ダイヤウェポンは、ウェルリトの都市部に墜落したようだ。我らも降りるぞ。			ダイヤウェポンは、ウェルリトの都市部に墜落したようだ。我らも降りるぞ。			輝く命たち							
まるで我が侵攻したときのような有様だ……。第VII軍団の主力は、すでにダイヤウェポンが、壊滅させているようだが……。			まるで我が侵攻したときのような有様だ……。第VII軍団の主力は、すでにダイヤウェポンが、壊滅させているようだが……。			輝く命たち							
ここに堕ちていたか……。			ここに堕ちていたか……。			輝く命たち							
アリー、無事であったか……！			アリー、無事であったか……！			輝く命たち							
あ……う……			あ……う……			輝く命たち							
すまぬが、シドと協力し、ターンクリフまで、アリーを連れて戻ってもらえるだろうか？我には、まだ成すべきことが残されているゆえ……。			すまぬが、シドと協力し、ターンクリフまで、アリーを連れて戻ってもらえるだろうか？我には、まだ成すべきことが残されているゆえ……。			輝く命たち							
ダイヤウェポンの操縦者はアリーだった……。では、アルフォンスの行方は……？こうなれば問いただすしかあるまいな、あの男に……！			ダイヤウェポンの操縦者はアリーだった……。では、アルフォンスの行方は……？こうなれば問いただすしかあるまいな、あの男に……！			輝く命たち							
さあ、ここにいるのは我ひとりだけ……姿を現せ！			さあ、ここにいるのは我ひとりだけ……姿を現せ！			輝く命たち							
