選者殿のデブロイは、どこか気分が悪そうだ。			選者殿のデブロイは、どこか気分が悪そうだ。			激マズ完全食							
だから、これからも教授の研究室で研究を続けさせてください！今度は手間ひまがかかるメルヴィンブレッドの、製作効率を上げていきたいんです。			だから、これからも教授の研究室で研究を続けさせてください！今度は手間ひまがかかるメルヴィンブレッドの、製作効率を上げていきたいんです。			シャーレアンの食文化							
もちろん……いや、こちらからお願いしよう。ともに協力し、味と栄養価に加え、製作効率も兼ね備える、真なる完全食を開発しようではないか！			もちろん……いや、こちらからお願いしよう。ともに協力し、味と栄養価に加え、製作効率も兼ね備える、真なる完全食を開発しようではないか！			シャーレアンの食文化							
ただ、言わせてもらうが、さっきのフィッシュボールにはひとつだけ欠点があった……。			ただ、言わせてもらうが、さっきのフィッシュボールにはひとつだけ欠点があった……。			シャーレアンの食文化							
それは、量が少ないこと。学生時代にメルヴィンと食べたものは、もっと多かったぞ。あれでは足りない、おかわりはないのか？			それは、量が少ないこと。学生時代にメルヴィンと食べたものは、もっと多かったぞ。あれでは足りない、おかわりはないのか？			シャーレアンの食文化							
ガルヴロッシュ教授のあんな笑顔を見たのは初めてです。あなたにお願いしてまで、お料理を用意した甲斐がありました。			ガルヴロッシュ教授のあんな笑顔を見たのは初めてです。あなたにお願いしてまで、お料理を用意した甲斐がありました。			シャーレアンの食文化							
これからも私は、医学部の学生として、そしてラストスタンドの従業員として、シャーレアンに美食の文化を広めていこうと思います。			これからも私は、医学部の学生として、そしてラストスタンドの従業員として、シャーレアンに美食の文化を広めていこうと思います。			シャーレアンの食文化							
教授が美食を認めてくれたことで、ガルヴロッシュ研究室でも味に関する研究が始まるでしょう。その一助となれるよう、全力を尽くすつもりです。			教授が美食を認めてくれたことで、ガルヴロッシュ研究室でも味に関する研究が始まるでしょう。その一助となれるよう、全力を尽くすつもりです。			シャーレアンの食文化							
なるほど、ここなら美味しい完全食の研究にうってつけだ。			なるほど、ここなら美味しい完全食の研究にうってつけだ。			シャーレアンの食文化							
私はさっそく、メルヴィンブレッドの製作効率を上げるため、研究に着手するぞ……！			私はさっそく、メルヴィンブレッドの製作効率を上げるため、研究に着手するぞ……！			シャーレアンの食文化							
これは、忙しくなりそうですね。教授とともに、効率化の研究に取り組まないと……。			これは、忙しくなりそうですね。教授とともに、効率化の研究に取り組まないと……。			シャーレアンの食文化							
同志Forename！これまでのご協力、本当にありがとうございました！このご恩は一生忘れません。			同志Forename！これまでのご協力、本当にありがとうございました！このご恩は一生忘れません。			シャーレアンの食文化							
また、魔法大学に立ち寄る際は顔を出してくださいね。そして、ラストスタンドもどうぞ御贔屓に……！			また、魔法大学に立ち寄る際は顔を出してくださいね。そして、ラストスタンドもどうぞ御贔屓に……！			シャーレアンの食文化							
医学部の貢献ランクが上昇しました！デブロイはあなたの事を、「生涯の職人さん」と感じているようです！			医学部の貢献ランクが上昇しました！デブロイはあなたの事を、「生涯の職人さん」と感じているようです！			シャーレアンの食文化							
また、魔法大学は他にも、腕のいい職人の助けを必要としている人がいるようです。声をかけて、話を聞いてみましょう。			また、魔法大学は他にも、腕のいい職人の助けを必要としている人がいるようです。声をかけて、話を聞いてみましょう。			シャーレアンの食文化							
また、これにて、すべての学部の取引が完了しました！そんなあなたに、「キィ・アリアポー」は、依頼したいことがあるようです。			また、これにて、すべての学部の取引が完了しました！そんなあなたに、「キィ・アリアポー」は、依頼したいことがあるようです。			シャーレアンの食文化							
「魔法大学」の総合受付にいる彼女から、話を聞いてみましょう。			「魔法大学」の総合受付にいる彼女から、話を聞いてみましょう。			シャーレアンの食文化							
本クエストで製作した「NQアイテム」を所持しています。このアイテムは、使用することはありません。売却もできませんので、不用でしたら破棄してください。			本クエストで製作した「NQアイテム」を所持しています。このアイテムは、使用することはありません。売却もできませんので、不用でしたら破棄してください。			シャーレアンの食文化							
