ラストスタンドのグ・ラハ・ティアは、冒険者の返事が気になるようだ。			ラストスタンドのグ・ラハ・ティアは、冒険者の返事が気になるようだ。			明日への一歩							
極めて稀だな。私たちが取引するのは、おもに相手に何かをさせたいときだ。物を手に入れたいだけなら殺して奪えばいい。			極めて稀だな。私たちが取引するのは、おもに相手に何かをさせたいときだ。物を手に入れたいだけなら殺して奪えばいい。			光ある世界							
なるほど、あえてこちら風に言うとしたら、雇用と労働の関係でのみ、取引が成立するということか。覚えておくとしよう。			なるほど、あえてこちら風に言うとしたら、雇用と労働の関係でのみ、取引が成立するということか。覚えておくとしよう。			光ある世界							
それはさておき、次に紹介するべきは……ここからなら、アルキミヤ製薬堂が近いな。職員の「イシュウ」のところに行こう。			それはさておき、次に紹介するべきは……ここからなら、アルキミヤ製薬堂が近いな。職員の「イシュウ」のところに行こう。			光ある世界							
こんにちは、アルキミヤ製薬堂にご用かしら？太守様のところに、特別なお客様がいらしてるそうだけれど……。			こんにちは、アルキミヤ製薬堂にご用かしら？太守様のところに、特別なお客様がいらしてるそうだけれど……。			光ある世界							
これはヴリトラ様。先ほどお預かりした新しい身体は、まだ調整中となりますが……。			これはヴリトラ様。先ほどお預かりした新しい身体は、まだ調整中となりますが……。			光ある世界							
ああ、すまない、そちらは君たちの思うように進めてくれ。あの素晴らしい人形を作り上げてくれた錬金術師の皆を、何よりも信頼している。			ああ、すまない、そちらは君たちの思うように進めてくれ。あの素晴らしい人形を作り上げてくれた錬金術師の皆を、何よりも信頼している。			光ある世界							
このアルキミヤ製薬堂では、錬金薬の研究を行っている。私の身体も彼らが用意してくれているのだが、半妖である君の身体についても、診ることができるだろう。			このアルキミヤ製薬堂では、錬金薬の研究を行っている。私の身体も彼らが用意してくれているのだが、半妖である君の身体についても、診ることができるだろう。			光ある世界							
そういえば、私が少年の姿に変わっても、君はまったく驚いていないようだったな……。この身体が魂の器に過ぎないことは、初めからお見通しだったか。			そういえば、私が少年の姿に変わっても、君はまったく驚いていないようだったな……。この身体が魂の器に過ぎないことは、初めからお見通しだったか。			光ある世界							
あっちじゃ、珍しくもなんともないからな。脆い肉体を捨てて鎧に乗り移った連中なんか、山ほどいる。			あっちじゃ、珍しくもなんともないからな。脆い肉体を捨てて鎧に乗り移った連中なんか、山ほどいる。			光ある世界							
あら、そちらが例のお客様でしたのね！ここの錬金術師たちはみんな、興味津々なんですよ。			あら、そちらが例のお客様でしたのね！ここの錬金術師たちはみんな、興味津々なんですよ。			光ある世界							
どうかしら、よかったら奥でお茶でも……ついでにあれやこれやと話を聞かせていただきたく！			どうかしら、よかったら奥でお茶でも……ついでにあれやこれやと話を聞かせていただきたく！			光ある世界							
断る、取り急ぎ必要な分の食い物はもらった……メリードズメイハネに行けば、話なんぞに付き合わなくても、補給できるらしいしな。			断る、取り急ぎ必要な分の食い物はもらった……メリードズメイハネに行けば、話なんぞに付き合わなくても、補給できるらしいしな。			光ある世界							
まあまあ、いずれまたの機会に……ということにして、今回はメーガドゥータ宮の方に戻るとしよう。道すがら、気になるものがあれば言ってくれ。			まあまあ、いずれまたの機会に……ということにして、今回はメーガドゥータ宮の方に戻るとしよう。道すがら、気になるものがあれば言ってくれ。			光ある世界							
半妖だなんて、人造妖異以上の研究対象ですわ。一日でも長くラザハンに逗留なさらないかしら。			半妖だなんて、人造妖異以上の研究対象ですわ。一日でも長くラザハンに逗留なさらないかしら。			光ある世界							
……ここは、食い物を作っている場所か？こんなちっぽけな実じゃ、喰いごたえはなさそうだが。			……ここは、食い物を作っている場所か？こんなちっぽけな実じゃ、喰いごたえはなさそうだが。			光ある世界							
これは、桑の畑だ。たしかに実を食すが、より重要なのは蚕の餌となる葉だ。蚕は糸を生み、民はそれを伝統のラザハン織にする。			これは、桑の畑だ。たしかに実を食すが、より重要なのは蚕の餌となる葉だ。蚕は糸を生み、民はそれを伝統のラザハン織にする。			光ある世界							
そのほか、根皮は生薬として活用することもできる。果樹全体が余すところなく有用な植物なのだ。			そのほか、根皮は生薬として活用することもできる。果樹全体が余すところなく有用な植物なのだ。			光ある世界							
喰う以外にも利用価値があるということか。……私にはもう、考えすら及ばないことだが。			喰う以外にも利用価値があるということか。……私にはもう、考えすら及ばないことだが。			光ある世界							
(-聞き覚えのある少年の声-)あ、ヴリトラ様だ！それに、冒険者の姉ちゃん兄ちゃんも！			(-聞き覚えのある少年の声-)あ、ヴリトラ様だ！それに、冒険者の姉ちゃん兄ちゃんも！			光ある世界							
君たちは……たしかメラドと、妹のヤースラだったな。孤児院での暮らしに、不便はしていないか？			君たちは……たしかメラドと、妹のヤースラだったな。孤児院での暮らしに、不便はしていないか？			光ある世界							
はい！俺たちみたいに親を亡くした子ばっかりだから……みんなで励まし合って、仲良くやってるよ。			はい！俺たちみたいに親を亡くした子ばっかりだから……みんなで励まし合って、仲良くやってるよ。			光ある世界							
エスティニアンのお兄ちゃんも、一度来てくれたんだ！だから私たち、ちっとも寂しくないよ！			エスティニアンのお兄ちゃんも、一度来てくれたんだ！だから私たち、ちっとも寂しくないよ！			光ある世界							
エスティニアンが？			エスティニアンが？			光ある世界							
……そうか、それはなによりだ。			……そうか、それはなによりだ。			光ある世界							
そっちの人は……姉ちゃん兄ちゃんの友達？			そっちの人は……姉ちゃん兄ちゃんの友達？			光ある世界							
トモダチ……？それは、なんだ？			トモダチ……？それは、なんだ？			光ある世界							
ええっ、友達を知らないの！？			ええっ、友達を知らないの！？			光ある世界							
あ、ああ。彼女は、遠い異国から来たばかりでね。私たちの言葉や習慣に馴染みがないんだ。			あ、ああ。彼女は、遠い異国から来たばかりでね。私たちの言葉や習慣に馴染みがないんだ。			光ある世界							
じゃあ、私が教えてあげる！友達はねぇ、一緒にいて、楽しいと思う相手のことだよ！			じゃあ、私が教えてあげる！友達はねぇ、一緒にいて、楽しいと思う相手のことだよ！			光ある世界							
一緒にいて、楽しい……。			一緒にいて、楽しい……。			光ある世界							
ゼノスはお前のことを友と呼び、刃を交えているときは楽しそうだった……それと同じか？			ゼノスはお前のことを友と呼び、刃を交えているときは楽しそうだった……それと同じか？			光ある世界							
何と言う？			何と言う？			光ある世界							
きっと同じだ			きっと同じだ			光ある世界							
まったく違う！			まったく違う！			光ある世界							
なるほど……友も友達も、一緒にいて楽しい相手なんだな。だが、いっとき快楽を共有する存在が、そうも大事なものなのか？			なるほど……友も友達も、一緒にいて楽しい相手なんだな。だが、いっとき快楽を共有する存在が、そうも大事なものなのか？			光ある世界							
ほう、友と友達は違うものだと。しかし……だとしたら、わからないな。			ほう、友と友達は違うものだと。しかし……だとしたら、わからないな。			光ある世界							
ゼノスはお前と会うために星を渡り、己の命まで懸けた。それはなぜなんだ……？			ゼノスはお前と会うために星を渡り、己の命まで懸けた。それはなぜなんだ……？			光ある世界							
……なんて、気にする必要もないか。私はあいつじゃないし、あいつを理解したいわけでもないんだ。			……なんて、気にする必要もないか。私はあいつじゃないし、あいつを理解したいわけでもないんだ。			光ある世界							
うーん……私の説明、ちょっとわかりにくかったかなぁ。うまく教えてあげられなくて、ごめんね……？			うーん……私の説明、ちょっとわかりにくかったかなぁ。うまく教えてあげられなくて、ごめんね……？			光ある世界							
いや、謝らなくていい。おそらく、お前たちにとっては当たり前のものなんだろう。			いや、謝らなくていい。おそらく、お前たちにとっては当たり前のものなんだろう。			光ある世界							
じゃ、まだお使いの途中だし、そろそろ行かなくちゃな。			じゃ、まだお使いの途中だし、そろそろ行かなくちゃな。			光ある世界							
さようなら！　またねー！			さようなら！　またねー！			光ある世界							
友とは何か……改めて問われると、なかなか難しいものがある。迷わず答えられるのは、純真な子どもならではだな。			友とは何か……改めて問われると、なかなか難しいものがある。迷わず答えられるのは、純真な子どもならではだな。			光ある世界							
ゼノスを通じて見たことで、こちら側の世界を理解したつもりでいたが……			ゼノスを通じて見たことで、こちら側の世界を理解したつもりでいたが……			光ある世界							
知れば知るほどに、わからないことが増えていく。暮らしぶりも物事の見方も、あまりに多彩で目がくらむような思いだ。			知れば知るほどに、わからないことが増えていく。暮らしぶりも物事の見方も、あまりに多彩で目がくらむような思いだ。			光ある世界							
だが、悪くはない心地だ。お前とともに行けば、より鮮明に、経験という利を得られる……私の目論見は間違っていなかったらしい。			だが、悪くはない心地だ。お前とともに行けば、より鮮明に、経験という利を得られる……私の目論見は間違っていなかったらしい。			光ある世界							
メーガドゥータ宮前のヴァルシャンは、冒険者に話があるようだ。			メーガドゥータ宮前のヴァルシャンは、冒険者に話があるようだ。			今再び、ヴォイドへ							
前回までの冒険録：宝物殿に眠るヴォイドゲートの拡張に成功した冒険者一行は、ついにヴォイドへと渡った。ゲートを抜けて辿りついた先は、妖異ひしめくトロイア城。冒険者は、アジュダヤの行方に関する情報を集めていく中で、かつてゼノスが使役していたアヴァターとの再会を果たす。ハイデリンから託された光のクリスタルを以て、その身を覆う闇を掃いのけると、アヴァターはゼノスとの契約前の姿に戻るのだった。自身が半妖であると明かす彼女に「ゼロ」という名を贈ると、以後エーテルを対価として差し出すことを条件に、ヴォイド探索への協力を取り付けることに成功する。そしてゼロだけが持つ、妖異のエーテルを「メモリア」という結晶に封印する力に助けられながら、アジュダヤがゴルベーザと名乗る妖異に囚われていることを突き止める。だが、力を使い消耗したゼロが昏睡状態に陥ったことを契機に、一行は彼女を連れて原初世界へと帰還。意識を取り戻したゼロから、ヴォイドの歴史を聞いた冒険者たちは、アジュダヤの救出を目指しながら、ヴォイドを救う道があるかもしれないと考えはじめる。ゼロは、己の利のみを重視するヴォイドの住人にとって理解できない行動を取る冒険者たちに戸惑いながらも、体力が回復した暁には、再びヴォイド探索に協力することを了承するのだった。　　　　　　　　　　　　*　*　*ヴァルシャン曰く、ゼロの体力は十分に回復したらしい。ユジュ区からカーマ区へと続く回廊にいるらしい「ゼロ」と話そう。			前回までの冒険録：宝物殿に眠るヴォイドゲートの拡張に成功した冒険者一行は、ついにヴォイドへと渡った。ゲートを抜けて辿りついた先は、妖異ひしめくトロイア城。冒険者は、アジュダヤの行方に関する情報を集めていく中で、かつてゼノスが使役していたアヴァターとの再会を果たす。ハイデリンから託された光のクリスタルを以て、その身を覆う闇を掃いのけると、アヴァターはゼノスとの契約前の姿に戻るのだった。自身が半妖であると明かす彼女に「ゼロ」という名を贈ると、以後エーテルを対価として差し出すことを条件に、ヴォイド探索への協力を取り付けることに成功する。そしてゼロだけが持つ、妖異のエーテルを「メモリア」という結晶に封印する力に助けられながら、アジュダヤがゴルベーザと名乗る妖異に囚われていることを突き止める。だが、力を使い消耗したゼロが昏睡状態に陥ったことを契機に、一行は彼女を連れて原初世界へと帰還。意識を取り戻したゼロから、ヴォイドの歴史を聞いた冒険者たちは、アジュダヤの救出を目指しながら、ヴォイドを救う道があるかもしれないと考えはじめる。ゼロは、己の利のみを重視するヴォイドの住人にとって理解できない行動を取る冒険者たちに戸惑いながらも、体力が回復した暁には、再びヴォイド探索に協力することを了承するのだった。　　　　　　　　　　　　*　*　*ヴァルシャン曰く、ゼロの体力は十分に回復したらしい。ユジュ区からカーマ区へと続く回廊にいるらしい「ゼロ」と話そう。			今再び、ヴォイドへ							
ゼロは原初世界の人々の価値観について、物思いにふけっていたようだ。彼女とともにヴォイドへ向かうため、メーガドゥータ宮へと戻り、「ヴァルシャン」と合流しよう。			ゼロは原初世界の人々の価値観について、物思いにふけっていたようだ。彼女とともにヴォイドへ向かうため、メーガドゥータ宮へと戻り、「ヴァルシャン」と合流しよう。			今再び、ヴォイドへ							
皆と再びヴォイドに向かおうとしたところ、突如ヴリトラが竜の咆哮をあげ、北の方角からアジュダヤの反応を感じたと話した。エスティニアンは事情に通じているかもしれない人物に心当たりがあるようだ……。			皆と再びヴォイドに向かおうとしたところ、突如ヴリトラが竜の咆哮をあげ、北の方角からアジュダヤの反応を感じたと話した。エスティニアンは事情に通じているかもしれない人物に心当たりがあるようだ……。			今再び、ヴォイドへ							
ゼロと話す			ゼロと話す			今再び、ヴォイドへ							
ヴァルシャンと話す			ヴァルシャンと話す			今再び、ヴォイドへ							
ああ、Forename、ちょうど君に声をかけようと思っていたところだ。ゼロ絡みで報告があってね。			ああ、Forename、ちょうど君に声をかけようと思っていたところだ。ゼロ絡みで報告があってね。			今再び、ヴォイドへ							
彼女は、ヴォイドで姉さんを探すことについて、エーテルを対価として差し出すなら協力すると、言ってくれただろう？			彼女は、ヴォイドで姉さんを探すことについて、エーテルを対価として差し出すなら協力すると、言ってくれただろう？			今再び、ヴォイドへ							
ゆえに私たちは、ひとまず食事を提供した。そして彼女にはエーテルの補給を最優先として、過ごしてもらっていたのだが……			ゆえに私たちは、ひとまず食事を提供した。そして彼女にはエーテルの補給を最優先として、過ごしてもらっていたのだが……			今再び、ヴォイドへ							
本人いわく、「今必要な分は食った」とのことだ。			本人いわく、「今必要な分は食った」とのことだ。			今再び、ヴォイドへ							
そういうわけで、君たちも出られるようであれば、再びヴォイドへと向かいたい。			そういうわけで、君たちも出られるようであれば、再びヴォイドへと向かいたい。			今再び、ヴォイドへ							
よし、ならば私は探索用の身体を引き取ってこよう。併せてヤ・シュトラとエスティニアンにも声をかけてくる。			よし、ならば私は探索用の身体を引き取ってこよう。併せてヤ・シュトラとエスティニアンにも声をかけてくる。			今再び、ヴォイドへ							
すまないが、君はゼロを呼んできてくれないだろうか？			すまないが、君はゼロを呼んできてくれないだろうか？			今再び、ヴォイドへ							
先ほど、客室を覗いたときに姿はなかった。ユジュ区とカーマ区を繋ぐ渡り廊下にでも行ったのだろう。彼女は、あそこから街をよく眺めているようだから。			先ほど、客室を覗いたときに姿はなかった。ユジュ区とカーマ区を繋ぐ渡り廊下にでも行ったのだろう。彼女は、あそこから街をよく眺めているようだから。			今再び、ヴォイドへ							
ゼロと合流できたら、メーガドゥータ宮に戻ってきてくれ。手数をかけるが、よろしく頼む。			ゼロと合流できたら、メーガドゥータ宮に戻ってきてくれ。手数をかけるが、よろしく頼む。			今再び、ヴォイドへ							
私はデミールの遺烈郷で、錬金術師たちと、ヴォイドの状況について共有や分析を行っていたの。			私はデミールの遺烈郷で、錬金術師たちと、ヴォイドの状況について共有や分析を行っていたの。			今再び、ヴォイドへ							
闇の活性の力が、第十三世界から死を奪っていただなんて、皆さすがに驚いていたわ……。			闇の活性の力が、第十三世界から死を奪っていただなんて、皆さすがに驚いていたわ……。			今再び、ヴォイドへ							
準備は整っているようだな、相棒。			準備は整っているようだな、相棒。			今再び、ヴォイドへ							
身体がエーテルで満たされている感覚は久方ぶりだ。悪くない心地だな。			身体がエーテルで満たされている感覚は久方ぶりだ。悪くない心地だな。			今再び、ヴォイドへ							
筆頭神官の間のエスティニアンは、何かを訴える顔でこちらを見ている。			筆頭神官の間のエスティニアンは、何かを訴える顔でこちらを見ている。			誰かの憧憬							
水占庭園で情報を集める			水占庭園で情報を集める			誰かの憧憬							
筆頭神官の間のヴァルシャンと話す			筆頭神官の間のヴァルシャンと話す			誰かの憧憬							
水占庭園のゼロと話す			水占庭園のゼロと話す			誰かの憧憬							
ゼロと話す			ゼロと話す			誰かの憧憬							
妖異を封印したメモリア、そしてゴルベーザ四天王……疑問が増えたのは、前進している証拠でもあるわ。			妖異を封印したメモリア、そしてゴルベーザ四天王……疑問が増えたのは、前進している証拠でもあるわ。			誰かの憧憬							
アジュダヤが捕らえられている可能性があるならば、なんとしても、ゴルベーザという妖異を探し出さなければ。ゼロに心当たりがあればいいが……。			アジュダヤが捕らえられている可能性があるならば、なんとしても、ゴルベーザという妖異を探し出さなければ。ゼロに心当たりがあればいいが……。			誰かの憧憬							
やはり、生きた人間のエーテルは違うな。こちらに戻ってきてから、ろくに補給できていなかったが、久しぶりに満ち足りた気分だ。			やはり、生きた人間のエーテルは違うな。こちらに戻ってきてから、ろくに補給できていなかったが、久しぶりに満ち足りた気分だ。			誰かの憧憬							
不可解な点というなら……なあ、相棒。お前は以前にも第十三世界に来て、妖異と戦ったんだったな？			不可解な点というなら……なあ、相棒。お前は以前にも第十三世界に来て、妖異と戦ったんだったな？			誰かの憧憬							
だったら、連中が復活するということも、知っていたんじゃないのか？それを聞かされていれば、対処のしようもあったんだがな……？			だったら、連中が復活するということも、知っていたんじゃないのか？それを聞かされていれば、対処のしようもあったんだがな……？			誰かの憧憬							
何と言う？			何と言う？			誰かの憧憬							
あのときは復活なんてしなかった			あのときは復活なんてしなかった			誰かの憧憬							
急いで駆け抜けすぎた……？			急いで駆け抜けすぎた……？			誰かの憧憬							
その言葉を疑うわけじゃないが……スカルミリョーネの口ぶりからすると、この世界に死はなく、例外は存在しないらしい。			その言葉を疑うわけじゃないが……スカルミリョーネの口ぶりからすると、この世界に死はなく、例外は存在しないらしい。			誰かの憧憬							
倒した妖異が本当に復活しなかったのなら、何か特別な理由があったはずだ。さっきのように封印されたとか……思い当たらないのか？			倒した妖異が本当に復活しなかったのなら、何か特別な理由があったはずだ。さっきのように封印されたとか……思い当たらないのか？			誰かの憧憬							
そのせいで、復活したところを見ていないと？……異世界でも待ったなしの冒険者魂だな。			そのせいで、復活したところを見ていないと？……異世界でも待ったなしの冒険者魂だな。			誰かの憧憬							
お前が去ったあとに倒した妖異が復活していたなら、今回の状況と違いはなさそうだ。でなければ、復活できない特別な理由があったことになるが……。			お前が去ったあとに倒した妖異が復活していたなら、今回の状況と違いはなさそうだ。でなければ、復活できない特別な理由があったことになるが……。			誰かの憧憬							
単純に、私たちが復活できない場合もある。では、その話をするとしようか。			単純に、私たちが復活できない場合もある。では、その話をするとしようか。			誰かの憧憬							
……頼む。			……頼む。			誰かの憧憬							
強大な妖異であればあるほど、多くの妖異を喰らってきている。すると、肉体の内で多くの魂が混じりあった状態となるわけだ。			強大な妖異であればあるほど、多くの妖異を喰らってきている。すると、肉体の内で多くの魂が混じりあった状態となるわけだ。			誰かの憧憬							
そんな妖異が肉体を失ったら……？混じりあっていた魂が散り散りになり、複数の妖異に分裂する、という現象が起き得るんだ。			そんな妖異が肉体を失ったら……？混じりあっていた魂が散り散りになり、複数の妖異に分裂する、という現象が起き得るんだ。			誰かの憧憬							
あるいは復活を果たす前に、ほかの妖異が群がってきてエーテルが喰われたのかもしれない。強大な妖異ほど、復活に要する時間が長くなるからな。			あるいは復活を果たす前に、ほかの妖異が群がってきてエーテルが喰われたのかもしれない。強大な妖異ほど、復活に要する時間が長くなるからな。			誰かの憧憬							
いずれにせよ、元通りの状態で、復活できる可能性は高くない……。			いずれにせよ、元通りの状態で、復活できる可能性は高くない……。			誰かの憧憬							
スカルミリョーネが短期間で復活したのは、奴自身が語っていた、死を操る特技とやらによるものか。ほかの妖異では、そのようなことはできないのか？			スカルミリョーネが短期間で復活したのは、奴自身が語っていた、死を操る特技とやらによるものか。ほかの妖異では、そのようなことはできないのか？			誰かの憧憬							
ああ……。再生に特化した、奴だけの特殊能力と見ていい。よほど肉体に執着があったんだろうな。			ああ……。再生に特化した、奴だけの特殊能力と見ていい。よほど肉体に執着があったんだろうな。			誰かの憧憬							
死のない世界における復活の仕組みはわかったわ。次の質問に移らせて頂戴。			死のない世界における復活の仕組みはわかったわ。次の質問に移らせて頂戴。			誰かの憧憬							
ゼロ、あなたが使った能力のことよ。妖異を封印した結晶、メモリア……あれはいったい何なのかしら？			ゼロ、あなたが使った能力のことよ。妖異を封印した結晶、メモリア……あれはいったい何なのかしら？			誰かの憧憬							
見たとおりでしかないんだが……倒したことでエーテルとなった魂を結晶化したんだ。			見たとおりでしかないんだが……倒したことでエーテルとなった魂を結晶化したんだ。			誰かの憧憬							
さっき話したメモリア戦争で用いられた技術でな。当時は、それなりに使い手もいたんだが、もう私以外は残っていないだろう。			さっき話したメモリア戦争で用いられた技術でな。当時は、それなりに使い手もいたんだが、もう私以外は残っていないだろう。			誰かの憧憬							
戦争といえば……とある少年から、第十三世界の英雄たちは、蛮神を封印した「聖石」を使っていたと聞いたことがあるわ。それと同じものかしら？			戦争といえば……とある少年から、第十三世界の英雄たちは、蛮神を封印した「聖石」を使っていたと聞いたことがあるわ。それと同じものかしら？			誰かの憧憬							
聖石という言葉に聞き覚えはないが、ところによって、呼び方は様々だったからな……。きっと同じものだろう。			聖石という言葉に聞き覚えはないが、ところによって、呼び方は様々だったからな……。きっと同じものだろう。			誰かの憧憬							
その使い手たる条件は……？どうしてあなただけが、今もその力を扱えているの？			その使い手たる条件は……？どうしてあなただけが、今もその力を扱えているの？			誰かの憧憬							
さぁ、考えたこともないな。とりあえず、妖異となった者が使えないことは確かだ。私がいまだに扱えるのは、半妖だからなんだろう。			さぁ、考えたこともないな。とりあえず、妖異となった者が使えないことは確かだ。私がいまだに扱えるのは、半妖だからなんだろう。			誰かの憧憬							
……そう、わかったわ。			……そう、わかったわ。			誰かの憧憬							
すまない、私からも質問をさせてほしい。さきほどForenameが視た、ゴルベーザという存在のことだ。			すまない、私からも質問をさせてほしい。さきほどForenameが視た、ゴルベーザという存在のことだ。			誰かの憧憬							
その者が捕らえていた竜が、我が姉、アジュダヤなのかどうかはわからない。だが、もし君が彼について知っているなら教えてほしい。			その者が捕らえていた竜が、我が姉、アジュダヤなのかどうかはわからない。だが、もし君が彼について知っているなら教えてほしい。			誰かの憧憬							
ゴルベーザという名は、どこかで聞いた気がするが……生憎、噂話にはあまり興味がないんでな。			ゴルベーザという名は、どこかで聞いた気がするが……生憎、噂話にはあまり興味がないんでな。			誰かの憧憬							
それなりに手下を従えている大物だというのなら、この城の住民にも、そいつを知ってる奴がいるかもしれない。			それなりに手下を従えている大物だというのなら、この城の住民にも、そいつを知ってる奴がいるかもしれない。			誰かの憧憬							
なるほど……。では彼らにあたってみるとしよう。			なるほど……。では彼らにあたってみるとしよう。			誰かの憧憬							
そういうことなら、あなたにお願いしたいところね。「超える力」がある方が意思疎通しやすいでしょうし……			そういうことなら、あなたにお願いしたいところね。「超える力」がある方が意思疎通しやすいでしょうし……			誰かの憧憬							
何より、ヴリトラよりも、冷静に情報を吟味できそうだもの。			何より、ヴリトラよりも、冷静に情報を吟味できそうだもの。			誰かの憧憬							
……返す言葉もないな。			……返す言葉もないな。			誰かの憧憬							
手間をかけるが、さきほどの庭園に戻って、改めてゴルベーザについて聞き込みを頼めないだろうか。			手間をかけるが、さきほどの庭園に戻って、改めてゴルベーザについて聞き込みを頼めないだろうか。			誰かの憧憬							
感謝する……。私たちは、ここで細々とした確認を済ませておこう。			感謝する……。私たちは、ここで細々とした確認を済ませておこう。			誰かの憧憬							
妖異をメモリアに変える力には、スカルミリョーネも、かなり驚いた様子だった。彼女の言葉どおり、失われた技術なのでしょうね。			妖異をメモリアに変える力には、スカルミリョーネも、かなり驚いた様子だった。彼女の言葉どおり、失われた技術なのでしょうね。			誰かの憧憬							
だとすると、私たちにとってゼロは、話ができる相手だという以上に貴重な存在だわ。			だとすると、私たちにとってゼロは、話ができる相手だという以上に貴重な存在だわ。			誰かの憧憬							
他者を喰らうことで魂が混じる、か……。ニーズヘッグに身体を奪われたときのことを思えば、わからないでもない話だ。			他者を喰らうことで魂が混じる、か……。ニーズヘッグに身体を奪われたときのことを思えば、わからないでもない話だ。			誰かの憧憬							
同じ器の中で、より強大な魂が、身も心も支配する。それが次第に「俺」になっていく……。妖異は、それを幾千年も繰り返してきたわけだな。			同じ器の中で、より強大な魂が、身も心も支配する。それが次第に「俺」になっていく……。妖異は、それを幾千年も繰り返してきたわけだな。			誰かの憧憬							
君が視た過去から察するに、ゴルベーザは、竜のエーテルを妖異たちに分け与え、聖戦とやらに臨む軍勢を作り上げたのだろう。			君が視た過去から察するに、ゴルベーザは、竜のエーテルを妖異たちに分け与え、聖戦とやらに臨む軍勢を作り上げたのだろう。			誰かの憧憬							
その戦いの目的が何であるにせよ、竜の生命を、エサのように扱う非道な行い……断じて許すわけにはいかない。			その戦いの目的が何であるにせよ、竜の生命を、エサのように扱う非道な行い……断じて許すわけにはいかない。			誰かの憧憬							
「超える力」というのが何なのかは知らないが、相手の過去を覗けるとは驚きだ。			「超える力」というのが何なのかは知らないが、相手の過去を覗けるとは驚きだ。			誰かの憧憬							
闇に沈んだヴォイドには、過去から姿を留めているものは、ほとんど何もないからな。この城にしたって、城主が造り上げた虚像に過ぎないんだ。			闇に沈んだヴォイドには、過去から姿を留めているものは、ほとんど何もないからな。この城にしたって、城主が造り上げた虚像に過ぎないんだ。			誰かの憧憬							
グギギ……またきた、ウマソウなヤツ……。わかってる、ガマンするゾ。			グギギ……またきた、ウマソウなヤツ……。わかってる、ガマンするゾ。			誰かの憧憬							
……ゴルベーザは、会ったことない。けど、オレ知ってる。喰ったヤツの知ってたこと、みんな知ってるカラ。			……ゴルベーザは、会ったことない。けど、オレ知ってる。喰ったヤツの知ってたこと、みんな知ってるカラ。			誰かの憧憬							
ゴルベーザ、手下がいる。ゴルベーザの手下にも、手下がいる。だからゴルベーザ会えない、辿りつけない……。			ゴルベーザ、手下がいる。ゴルベーザの手下にも、手下がいる。だからゴルベーザ会えない、辿りつけない……。			誰かの憧憬							
ゴルベーザには、四天王を介して、さらに多くの手下がいる、ということだろうか。本人のもとに辿りつくことは難しいようだ。			ゴルベーザには、四天王を介して、さらに多くの手下がいる、ということだろうか。本人のもとに辿りつくことは難しいようだ。			誰かの憧憬							
手下たくさんのゴルベーザ、とても喰えない……。ザンネン……。			手下たくさんのゴルベーザ、とても喰えない……。ザンネン……。			誰かの憧憬							
城主様……ワタシの城主様……。喰ったヤツ死んだら、いつか戻る……？キレイな瞳……城主様の……。			城主様……ワタシの城主様……。喰ったヤツ死んだら、いつか戻る……？キレイな瞳……城主様の……。			誰かの憧憬							
いま、ゴルベーザと言った……！？アァ……城主様言ってた、ゴルベーザ！			いま、ゴルベーザと言った……！？アァ……城主様言ってた、ゴルベーザ！			誰かの憧憬							
ゴルベーザ持ってる、シテンノウ！とても強い、とても怖い！多くの領域、ヤツらに奪われた！			ゴルベーザ持ってる、シテンノウ！とても強い、とても怖い！多くの領域、ヤツらに奪われた！			誰かの憧憬							
だから城主様、命令くれた！シテンノウから、この城まもれと！そう、ワワワ、ワタシに、命令くれた！			だから城主様、命令くれた！シテンノウから、この城まもれと！そう、ワワワ、ワタシに、命令くれた！			誰かの憧憬							
どうやらゴルベーザ四天王は、ほかの妖異の領域を襲っているようだ。城主が警戒するほど、噂が広まっていたのだろう。			どうやらゴルベーザ四天王は、ほかの妖異の領域を襲っているようだ。城主が警戒するほど、噂が広まっていたのだろう。			誰かの憧憬							
シテンノウ、あちこち襲う。だからワタシ、この城まもる。城主様のくれた命令、まもるとキモチイイ……？			シテンノウ、あちこち襲う。だからワタシ、この城まもる。城主様のくれた命令、まもるとキモチイイ……？			誰かの憧憬							
賢いヤツ、まだ喰われてなかったカ？まだいたら、俺も喰いたイ……。			賢いヤツ、まだ喰われてなかったカ？まだいたら、俺も喰いたイ……。			誰かの憧憬							
……ゴルベーザ？賢くなくとも、それなら知ってル。ほかの領域で耳にしタ！			……ゴルベーザ？賢くなくとも、それなら知ってル。ほかの領域で耳にしタ！			誰かの憧憬							
ゴルベーザ、誰も見たことナイ。かわりに四天王、いつもどこかで戦ってて、役立たずの手下は、すぐ喰っちまウ。			ゴルベーザ、誰も見たことナイ。かわりに四天王、いつもどこかで戦ってて、役立たずの手下は、すぐ喰っちまウ。			誰かの憧憬							
弱いヤツ、戦えないヤツ、喰われたくなきゃ逃げるしかナイ。できるかどうかは、運次第だがナ……。			弱いヤツ、戦えないヤツ、喰われたくなきゃ逃げるしかナイ。できるかどうかは、運次第だがナ……。			誰かの憧憬							
ゴルベーザ四天王のもとでは、戦いを得意とする妖異のみが生き残れるようだ。逃げ出した手下が、どこかにいるのだろうか。			ゴルベーザ四天王のもとでは、戦いを得意とする妖異のみが生き残れるようだ。逃げ出した手下が、どこかにいるのだろうか。			誰かの憧憬							
