忘れられた騎士亭のアルドランは、冒険者に任せたい手配書があるようだ。			忘れられた騎士亭のアルドランは、冒険者に任せたい手配書があるようだ。			イシュガルドのリスキーモブ							
つまり、誘導システムの「心」を、新しいまっさらな「身体」に移してやるってことッス！			つまり、誘導システムの「心」を、新しいまっさらな「身体」に移してやるってことッス！			博物戦艦 フラクタル・コンティニアム							
ここの情報端末で調べてみたら、「フラクタル・コンティニアム」っていう名前の博物戦艦が、ここからずっと南に行ったところに、あることがわかったッス。			ここの情報端末で調べてみたら、「フラクタル・コンティニアム」っていう名前の博物戦艦が、ここからずっと南に行ったところに、あることがわかったッス。			博物戦艦 フラクタル・コンティニアム							
博物戦艦になら、新しい玉っころがあるかもしれないッス！第VI転送リング辺りから、行くことができそうッス。もし、新しい基板を見つけたら、持ち帰ってほしいッス！			博物戦艦になら、新しい玉っころがあるかもしれないッス！第VI転送リング辺りから、行くことができそうッス。もし、新しい基板を見つけたら、持ち帰ってほしいッス！			博物戦艦 フラクタル・コンティニアム							
「フラクタル・コンティニアム」っていう名前の博物戦艦が、ここからずっと南に行ったところに、あることがわかったッス。コイツに新しい身体を、持ち帰ってきてほしいッス！			「フラクタル・コンティニアム」っていう名前の博物戦艦が、ここからずっと南に行ったところに、あることがわかったッス。コイツに新しい身体を、持ち帰ってきてほしいッス！			博物戦艦 フラクタル・コンティニアム							
博物戦艦「フラクタル・コンティニアム」への移動は、こちらから転送可能です。			博物戦艦「フラクタル・コンティニアム」への移動は、こちらから転送可能です。			博物戦艦 フラクタル・コンティニアム							
艦内の見学には、三等級以上のアラグ帝国納税コード……もしくは、特別乗艦コードが必要となります。			艦内の見学には、三等級以上のアラグ帝国納税コード……もしくは、特別乗艦コードが必要となります。			博物戦艦 フラクタル・コンティニアム							
必要なコードがない状態で乗艦した場合、艦内防衛システムによる排除行動が行われますので、予め、ご了承ください……。			必要なコードがない状態で乗艦した場合、艦内防衛システムによる排除行動が行われますので、予め、ご了承ください……。			博物戦艦 フラクタル・コンティニアム							
許可無く「フラクタル・コンティニアム」に入った場合、艦内防衛システムによる排除行動が行われるようだ……。注意して乗艦しよう。			許可無く「フラクタル・コンティニアム」に入った場合、艦内防衛システムによる排除行動が行われるようだ……。注意して乗艦しよう。			博物戦艦 フラクタル・コンティニアム							
Surname、どうだったッス？新しい身体は、見つかったッス！？			Surname、どうだったッス？新しい身体は、見つかったッス！？			博物戦艦 フラクタル・コンティニアム							
新品のシステムユニット……！これなら、何とかなるかもしれないッス！			新品のシステムユニット……！これなら、何とかなるかもしれないッス！			博物戦艦 フラクタル・コンティニアム							
……………………ピピ。			……………………ピピ。			博物戦艦 フラクタル・コンティニアム							
ピピ……「誘導システム」起動……。……再起動セットアップを行いマス……。			ピピ……「誘導システム」起動……。……再起動セットアップを行いマス……。			博物戦艦 フラクタル・コンティニアム							
ウェッジ様、Surname様……。ようこそ「アジス・ラー」へ！			ウェッジ様、Surname様……。ようこそ「アジス・ラー」へ！			博物戦艦 フラクタル・コンティニアム							
……もしかして、「誘導システム」ッス！？			……もしかして、「誘導システム」ッス！？			博物戦艦 フラクタル・コンティニアム							
ピピ……はい、ウェッジ様。約5000年ぶりのメンテナンスで、「誘導システム」は、実に快適に動作しておりマス。			ピピ……はい、ウェッジ様。約5000年ぶりのメンテナンスで、「誘導システム」は、実に快適に動作しておりマス。			博物戦艦 フラクタル・コンティニアム							
やったッス！　蘇ったッス！これでもう、寂しい思いはさせなくて済むッス！			やったッス！　蘇ったッス！これでもう、寂しい思いはさせなくて済むッス！			博物戦艦 フラクタル・コンティニアム							
Surname、お願いがあるッス。「誘導システム」を、冒険に連れていってほしいッス！コイツに、世の中を見せてやってほしいッス！！			Surname、お願いがあるッス。「誘導システム」を、冒険に連れていってほしいッス！コイツに、世の中を見せてやってほしいッス！！			博物戦艦 フラクタル・コンティニアム							
今日からコイツは「追従システム」ッス！いろんな場所を、いっしょに冒険して、ひとりじゃないって、わからせてやってほしいッス！！			今日からコイツは「追従システム」ッス！いろんな場所を、いっしょに冒険して、ひとりじゃないって、わからせてやってほしいッス！！			博物戦艦 フラクタル・コンティニアム							
フォルタン伯爵邸付近のトルスフェルは、何か思い悩んでいるようだ。			フォルタン伯爵邸付近のトルスフェルは、何か思い悩んでいるようだ。			困ったヤツの文通法							
トルスフェルから、エマネランが命じた任務を代わりに完遂するよう頼まれた。アバラシア雲海のローズハウスにいる「ラニエット」に「薔薇の香りの恋文」を渡そう。			トルスフェルから、エマネランが命じた任務を代わりに完遂するよう頼まれた。アバラシア雲海のローズハウスにいる「ラニエット」に「薔薇の香りの恋文」を渡そう。			困ったヤツの文通法							
ラニエットに薔薇の香りの恋文を渡した。彼女とエマネランは、幼いころから付き合いがあったそうだ。子どもの時分から進歩のないエマネランに、ラニエットは呆れていた。			ラニエットに薔薇の香りの恋文を渡した。彼女とエマネランは、幼いころから付き合いがあったそうだ。子どもの時分から進歩のないエマネランに、ラニエットは呆れていた。			困ったヤツの文通法							
ローズハウスのラニエットに薔薇の香りの恋文を渡す			ローズハウスのラニエットに薔薇の香りの恋文を渡す			困ったヤツの文通法							
わ、私が思い悩んでいるように見えますか……？……実は、エマネラン様から任務を仰せつかっているのです。			わ、私が思い悩んでいるように見えますか……？……実は、エマネラン様から任務を仰せつかっているのです。			困ったヤツの文通法							
完遂するようにと厳命されておりまして、胃がキリキリと……こちら、代わりにお願いすることはできませんか……？			完遂するようにと厳命されておりまして、胃がキリキリと……こちら、代わりにお願いすることはできませんか……？			困ったヤツの文通法							
この「薔薇の香りの恋文」を、「ローズハウス」にいる「ラニエット」様に、届けていただきたいのです……。			この「薔薇の香りの恋文」を、「ローズハウス」にいる「ラニエット」様に、届けていただきたいのです……。			困ったヤツの文通法							
これまで数々の武勲を立ててきた貴方になら、きっと完遂できるはず！どうか、どうか、よろしくお願いします！			これまで数々の武勲を立ててきた貴方になら、きっと完遂できるはず！どうか、どうか、よろしくお願いします！			困ったヤツの文通法							
その「薔薇の香りの恋文」を、「ローズハウス」にいる「ラニエット」様に、届けていただきたいのです。			その「薔薇の香りの恋文」を、「ローズハウス」にいる「ラニエット」様に、届けていただきたいのです。			困ったヤツの文通法							
これはSurname殿。今日は、どういった用件で？力になれることがあれば、なんでも言ってほしい。			これはSurname殿。今日は、どういった用件で？力になれることがあれば、なんでも言ってほしい。			困ったヤツの文通法							
こ、これは……はぁ、エマネランめ……。まずは、謝罪をさせていただきたい。まさか貴公の手をわずらわせてしまうとは。			こ、これは……はぁ、エマネランめ……。まずは、謝罪をさせていただきたい。まさか貴公の手をわずらわせてしまうとは。			困ったヤツの文通法							
アインハルト家とフォルタン家は、古くから盟友同士……。そうした環境で育ったもので、年齢が近いヤツとは、幼少期から何かと接点があってな。			アインハルト家とフォルタン家は、古くから盟友同士……。そうした環境で育ったもので、年齢が近いヤツとは、幼少期から何かと接点があってな。			困ったヤツの文通法							
私も幼いころは、エマネランと騎士ごっこをしたものだが……。やれやれ、いくつになっても子どものままで進歩のない奴だ。……まぁ、それが良いところなのかもしれんがな。			私も幼いころは、エマネランと騎士ごっこをしたものだが……。やれやれ、いくつになっても子どものままで進歩のない奴だ。……まぁ、それが良いところなのかもしれんがな。			困ったヤツの文通法							
トルスフェルも気苦労が多いことだろう。ふふ、客人である貴公に依頼するほどにな……。さあ、謝罪の意味も込めて、謝礼を受け取ってほしい。			トルスフェルも気苦労が多いことだろう。ふふ、客人である貴公に依頼するほどにな……。さあ、謝罪の意味も込めて、謝礼を受け取ってほしい。			困ったヤツの文通法							
フォルタン伯爵邸付近の悩める騎兵は、冒険者を見ているようだ。			フォルタン伯爵邸付近の悩める騎兵は、冒険者を見ているようだ。			ハルを運ぶ							
悩める騎兵から、贈り物を届けてほしいと頼まれた。まずは、贈る品を受け取らなければ。イシュガルドの忘れられた騎士亭にいる「下層の名画家」と話そう。			悩める騎兵から、贈り物を届けてほしいと頼まれた。まずは、贈る品を受け取らなければ。イシュガルドの忘れられた騎士亭にいる「下層の名画家」と話そう。			ハルを運ぶ							
下層の名画家から「戦神の宗教画」を受け取った。クルザス西部高地のファルコンネストにいる「エムリセル」に「戦神の宗教画」を渡そう。			下層の名画家から「戦神の宗教画」を受け取った。クルザス西部高地のファルコンネストにいる「エムリセル」に「戦神の宗教画」を渡そう。			ハルを運ぶ							
エムリセルに戦神の宗教画を渡した。宗教画を見た彼は、不純な意思が見え隠れする信仰心をさらに高めたようだ……。			エムリセルに戦神の宗教画を渡した。宗教画を見た彼は、不純な意思が見え隠れする信仰心をさらに高めたようだ……。			ハルを運ぶ							
忘れられた騎士亭の下層の名画家と話す			忘れられた騎士亭の下層の名画家と話す			ハルを運ぶ							
ファルコンネストのエムリセルに戦神の宗教画を渡す			ファルコンネストのエムリセルに戦神の宗教画を渡す			ハルを運ぶ							
貴方が、外から来たという冒険者か？折り入って、頼みたいことがある。ファルコンネストの友人に、贈り物をしたいのだ。			貴方が、外から来たという冒険者か？折り入って、頼みたいことがある。ファルコンネストの友人に、贈り物をしたいのだ。			ハルを運ぶ							
事情は説明できないが、私が届けることはできなくてね……。忘れられた騎士亭にいる「下層の名画家」から品物を受け取り、ファルコンネストの「エムリセル」に届けてほしい。			事情は説明できないが、私が届けることはできなくてね……。忘れられた騎士亭にいる「下層の名画家」から品物を受け取り、ファルコンネストの「エムリセル」に届けてほしい。			ハルを運ぶ							
事情は説明できないが、私が届けることはできなくてね……。忘れられた騎士亭にいる「下層の名画家」から品物を受け取り、ファルコンネストの「エムリセル」に届けてほしい。			事情は説明できないが、私が届けることはできなくてね……。忘れられた騎士亭にいる「下層の名画家」から品物を受け取り、ファルコンネストの「エムリセル」に届けてほしい。			ハルを運ぶ							
……あんたが運搬担当か？わかるさ、外から来た冒険者だからな。何も知らないからこそ、信頼できるってもんさ。			……あんたが運搬担当か？わかるさ、外から来た冒険者だからな。何も知らないからこそ、信頼できるってもんさ。			ハルを運ぶ							
これが例の「戦神の宗教画」だ。おっと、決して人前で確認するんじゃないぞ。……「ファルコンネスト」の「エムリセル」に渡せ。			これが例の「戦神の宗教画」だ。おっと、決して人前で確認するんじゃないぞ。……「ファルコンネスト」の「エムリセル」に渡せ。			ハルを運ぶ							
じゃあ、ここからは俺たちは他人だ……。一切関知しないから、そのつもりでな。			じゃあ、ここからは俺たちは他人だ……。一切関知しないから、そのつもりでな。			ハルを運ぶ							
これが例の「戦神の宗教画」だ。おっと、決して人前で確認するんじゃないぞ。……「ファルコンネスト」の「エムリセル」に渡せ。			これが例の「戦神の宗教画」だ。おっと、決して人前で確認するんじゃないぞ。……「ファルコンネスト」の「エムリセル」に渡せ。			ハルを運ぶ							
さて、あいつは上手くやってくれてるだろうか？ただでさえ、危険な橋を渡る必要があるからな……。……ん？　な、なんでもないぞ！？			さて、あいつは上手くやってくれてるだろうか？ただでさえ、危険な橋を渡る必要があるからな……。……ん？　な、なんでもないぞ！？			ハルを運ぶ							
なんだ、お前が運び屋だったのか。少し中を確かめさせてもらうぞ……。……ぶほおっ……ゴホンッ！　ま、間違いない……。			なんだ、お前が運び屋だったのか。少し中を確かめさせてもらうぞ……。……ぶほおっ……ゴホンッ！　ま、間違いない……。			ハルを運ぶ							
この絵はまさしく逸品であり、心が洗われるようだ、うん。「イシュガルド正教」を熱心に信仰してよかったよ、うん。よ、よし、このことは秘密だぞ！			この絵はまさしく逸品であり、心が洗われるようだ、うん。「イシュガルド正教」を熱心に信仰してよかったよ、うん。よ、よし、このことは秘密だぞ！			ハルを運ぶ							
聖大厩舎の休憩所のエルミアンスは、人々を元気づけたいようだ。			聖大厩舎の休憩所のエルミアンスは、人々を元気づけたいようだ。			温かいスープ							
エルミアンスは、人々を元気づけるために、料理をふるまいたいようだ。イシュガルドの聖徒門付近の「怒れる神殿騎士」、エーテライト・プラザ付近の「悲しみの未亡人」、雲霧街の「腹を空かせた少年」、フォルタン伯爵邸付近の「フォルタン家の騎兵」に、「熱々のスープ」を見せよう。			エルミアンスは、人々を元気づけるために、料理をふるまいたいようだ。イシュガルドの聖徒門付近の「怒れる神殿騎士」、エーテライト・プラザ付近の「悲しみの未亡人」、雲霧街の「腹を空かせた少年」、フォルタン伯爵邸付近の「フォルタン家の騎兵」に、「熱々のスープ」を見せよう。			温かいスープ							
イシュガルドの人々に熱々のスープを見せ、聖大厩舎の休憩所に集まるよう伝えた。聖大厩舎の休憩所の「エルミアンス」に報告しよう。			イシュガルドの人々に熱々のスープを見せ、聖大厩舎の休憩所に集まるよう伝えた。聖大厩舎の休憩所の「エルミアンス」に報告しよう。			温かいスープ							
エルミアンスは、スープを飲んだ人々の表情がほぐれてきたのを見て、満足したようだ。怒りや悲しみに飲まれそうになったときは、エルミアンスがふるまった、温かいスープのことを思い出すといいだろう。			エルミアンスは、スープを飲んだ人々の表情がほぐれてきたのを見て、満足したようだ。怒りや悲しみに飲まれそうになったときは、エルミアンスがふるまった、温かいスープのことを思い出すといいだろう。			温かいスープ							
怒れる神殿騎士に熱々のスープを見せる			怒れる神殿騎士に熱々のスープを見せる			温かいスープ							
悲しみの未亡人に熱々のスープを見せる			悲しみの未亡人に熱々のスープを見せる			温かいスープ							
腹を空かせた少年に熱々のスープを見せる			腹を空かせた少年に熱々のスープを見せる			温かいスープ							
フォルタン伯爵邸付近のフォルタン家の騎兵に熱々のスープを見せる			フォルタン伯爵邸付近のフォルタン家の騎兵に熱々のスープを見せる			温かいスープ							
エルミアンスに報告			エルミアンスに報告			温かいスープ							
まったく、どこもかしこも暗い顔ばかりだね。そりゃ、最近は、暗い話題とか悲しい出来事が多いから、仕方ないかもしれないけどさ。			まったく、どこもかしこも暗い顔ばかりだね。そりゃ、最近は、暗い話題とか悲しい出来事が多いから、仕方ないかもしれないけどさ。			温かいスープ							
なにか、前を見るきっかけが必要かね……。仕方ない！　私が料理の腕を振るおうじゃないか！ちょいと手伝ってくれないかい？			なにか、前を見るきっかけが必要かね……。仕方ない！　私が料理の腕を振るおうじゃないか！ちょいと手伝ってくれないかい？			温かいスープ							
沈んでる人や怒ってる人に、この「熱々のスープ」を見せて、「食べたいなら、ここにこい」って、伝えまわっておくれよ。お腹がふくれれば、気持ちも前向きにもなるってもんさ！			沈んでる人や怒ってる人に、この「熱々のスープ」を見せて、「食べたいなら、ここにこい」って、伝えまわっておくれよ。お腹がふくれれば、気持ちも前向きにもなるってもんさ！			温かいスープ							
沈んでる人や怒ってる人に、この「熱々のスープ」を見せて、「食べたいなら、ここにこい」って、伝えまわっておくれよ。お腹がふくれれば、気持ちも前向きにもなるってもんさ！			沈んでる人や怒ってる人に、この「熱々のスープ」を見せて、「食べたいなら、ここにこい」って、伝えまわっておくれよ。お腹がふくれれば、気持ちも前向きにもなるってもんさ！			温かいスープ							
くそっ！この頑固者がよぉ！			くそっ！この頑固者がよぉ！			温かいスープ							
まったく……愚痴を言っても、解決はせぬだろう。			まったく……愚痴を言っても、解決はせぬだろう。			温かいスープ							
規制を守らねば、治安は守れぬであろう！！			規制を守らねば、治安は守れぬであろう！！			温かいスープ							
その規制が押しつけなんじゃねぇのかって！！わかりきったことをグチグチと……！			その規制が押しつけなんじゃねぇのかって！！わかりきったことをグチグチと……！			温かいスープ							
なにをっ……！？			なにをっ……！？			温かいスープ							
大体、そちらが……ん？　いい匂いだな……。			大体、そちらが……ん？　いい匂いだな……。			温かいスープ							
言い争ってたら、腹が減っちまったよ。休憩所に行けば食わせてもらえるのか？			言い争ってたら、腹が減っちまったよ。休憩所に行けば食わせてもらえるのか？			温かいスープ							
……私も、腹が減ったようだ。少し邪魔することにしよう。			……私も、腹が減ったようだ。少し邪魔することにしよう。			温かいスープ							
住み慣れたファルコンネストからは追い出されて……。夫は戦争で亡くしてしまって……。……どうして私は生きているのだろう。			住み慣れたファルコンネストからは追い出されて……。夫は戦争で亡くしてしまって……。……どうして私は生きているのだろう。			温かいスープ							
……あら？　いい匂いね。どんなに悲しくても、お腹は減るみたい……。ちょっと行ってみようかしら。			……あら？　いい匂いね。どんなに悲しくても、お腹は減るみたい……。ちょっと行ってみようかしら。			温かいスープ							
寒い……。……おなかすいた……。…………もう、辛い……。			寒い……。……おなかすいた……。…………もう、辛い……。			温かいスープ							
おいしそう……でも、僕、何も持ってないから。え？　休憩所にいけばもらえるの？行く！　すぐに行くよ！			おいしそう……でも、僕、何も持ってないから。え？　休憩所にいけばもらえるの？行く！　すぐに行くよ！			温かいスープ							
戦いは、いつまで続くんだろうな……。ここまでして命をかける意味があるのか？			戦いは、いつまで続くんだろうな……。ここまでして命をかける意味があるのか？			温かいスープ							
何を言ってるんだ。戦うことこそが我らの使命ではないのか。			何を言ってるんだ。戦うことこそが我らの使命ではないのか。			温かいスープ							
……それはわかっているさ。でもよ、正直、嫌になるときもあるんだ……。			……それはわかっているさ。でもよ、正直、嫌になるときもあるんだ……。			温かいスープ							
え？　スープ？……そうだな、食事ぐらい美味しいものを食べたいな。			え？　スープ？……そうだな、食事ぐらい美味しいものを食べたいな。			温かいスープ							
聖大厩舎の近くの休憩所か？わかった、行ってくる。			聖大厩舎の近くの休憩所か？わかった、行ってくる。			温かいスープ							
やぁ、おかえり。人を集めてきてくれて、ありがとうね！ご覧のとおり、みんなの顔もほぐれてきたってもんさ。			やぁ、おかえり。人を集めてきてくれて、ありがとうね！ご覧のとおり、みんなの顔もほぐれてきたってもんさ。			温かいスープ							
怒っていようが、悲しんでいようが、辛くて耐え難かろうが、最後は笑ってたほうがいいだろ？これはただのスープだけど、体と同時に、心も温めるのさ。			怒っていようが、悲しんでいようが、辛くて耐え難かろうが、最後は笑ってたほうがいいだろ？これはただのスープだけど、体と同時に、心も温めるのさ。			温かいスープ							
さて……あんたも、一杯どうだい？あんたも、いろいろ大変なことを抱え込んでいる顔だよ。たまには一息ついて、自分をいたわることも大事さ。			さて……あんたも、一杯どうだい？あんたも、いろいろ大変なことを抱え込んでいる顔だよ。たまには一息ついて、自分をいたわることも大事さ。			温かいスープ							
フォルタン伯爵邸付近のフォルタン家の騎兵は、冒険者に渡したい手紙があるようだ。			フォルタン伯爵邸付近のフォルタン家の騎兵は、冒険者に渡したい手紙があるようだ。			謎の手紙の差出人							
フォルタン家の騎兵から、冒険者宛ての手紙を受け取った。ドラヴァニア雲海のモグモグホーム付近にいる「モグール」と話そう。			フォルタン家の騎兵から、冒険者宛ての手紙を受け取った。ドラヴァニア雲海のモグモグホーム付近にいる「モグール」と話そう。			謎の手紙の差出人							
モグールは、空のモーグリ族と森のモーグリ族の歴史について知りたいようだ。モグモグホームにいる長老「モグリン」と話そう。			モグールは、空のモーグリ族と森のモーグリ族の歴史について知りたいようだ。モグモグホームにいる長老「モグリン」と話そう。			謎の手紙の差出人							
モグリンは、森のモーグリ族がモグモグホームに来たら、昔話をしてくれるという。モグールは、森のモーグリ族を迎えに戻っていった。モグモグホーム付近の「モグール」と合流しよう。			モグリンは、森のモーグリ族がモグモグホームに来たら、昔話をしてくれるという。モグールは、森のモーグリ族を迎えに戻っていった。モグモグホーム付近の「モグール」と合流しよう。			謎の手紙の差出人							
モグールは、森のモーグリ族の到着が遅れていることを気にしているようだ。もしかして、何かトラブルがあったのだろうか……？			モグールは、森のモーグリ族の到着が遅れていることを気にしているようだ。もしかして、何かトラブルがあったのだろうか……？			謎の手紙の差出人							
モグモグホーム付近のモグールと話す			モグモグホーム付近のモグールと話す			謎の手紙の差出人							
モグリンと話す			モグリンと話す			謎の手紙の差出人							
モグールと合流			モグールと合流			謎の手紙の差出人							
おぉ、ちょうどいいところに……。Forename様宛ての手紙が、屋敷に届いていたのです。何か急ぎの用件かもしれませんし、中身を確認してみては？			おぉ、ちょうどいいところに……。Forename様宛ての手紙が、屋敷に届いていたのです。何か急ぎの用件かもしれませんし、中身を確認してみては？			謎の手紙の差出人							
(-クポロ・コップ-)Forename、元気でやってるクポ～？			(-クポロ・コップ-)Forename、元気でやってるクポ～？			謎の手紙の差出人							
(-クポロ・コップ-)モグは、しっかりばっちり元気クポ！あれから、お空のモーグリたちと話し合って、今度、森のモーグリたちとの交流会を開くことになったクポ！			(-クポロ・コップ-)モグは、しっかりばっちり元気クポ！あれから、お空のモーグリたちと話し合って、今度、森のモーグリたちとの交流会を開くことになったクポ！			謎の手紙の差出人							
(-クポロ・コップ-)この会で、もっとお互いのことを知り合えたら素敵クポ！Forenameにも、ぜひぜひ立ち会ってほしいから、「モグモグホーム」に向かってほしいクポ～！			(-クポロ・コップ-)この会で、もっとお互いのことを知り合えたら素敵クポ！Forenameにも、ぜひぜひ立ち会ってほしいから、「モグモグホーム」に向かってほしいクポ～！			謎の手紙の差出人							
(-クポロ・コップ-)ちなみに、モグは用事があるので、仲間のモーグリを向かわせることになってるクポ。			(-クポロ・コップ-)ちなみに、モグは用事があるので、仲間のモーグリを向かわせることになってるクポ。			謎の手紙の差出人							
(-クポロ・コップ-)お空のモーグリの「モグール」くんが、お出迎えしてくれるはずクポ♪　よろしくクポ～！！　　　　　　　　　　　　　クポロ・コップより			(-クポロ・コップ-)お空のモーグリの「モグール」くんが、お出迎えしてくれるはずクポ♪　よろしくクポ～！！　　　　　　　　　　　　　クポロ・コップより			謎の手紙の差出人							
Forename様宛ての手紙が、屋敷に届いていたのです。何か急ぎの用件かもしれませんし、中身を確認してみては？			Forename様宛ての手紙が、屋敷に届いていたのです。何か急ぎの用件かもしれませんし、中身を確認してみては？			謎の手紙の差出人							
おぉ、冒険者さん、来てくれたくぽ！森のモーグリたちは、まだきてないくぽ。			おぉ、冒険者さん、来てくれたくぽ！森のモーグリたちは、まだきてないくぽ。			謎の手紙の差出人							
それにしても、モグはビックリくぽ！地上にもモーグリがいるなんて知らなかったくぽ！			それにしても、モグはビックリくぽ！地上にもモーグリがいるなんて知らなかったくぽ！			謎の手紙の差出人							
なんで、空にも森にもモーグリがいるのか……どうして一緒にいないのか、不思議くぽ！モグは、知りたいことだらけくぽ！			なんで、空にも森にもモーグリがいるのか……どうして一緒にいないのか、不思議くぽ！モグは、知りたいことだらけくぽ！			謎の手紙の差出人							
森のモーグリたちも、そのうち来ると思うくぽ。ひとまず一緒に、長老さまにお話を聞きにいくくぽ～♪			森のモーグリたちも、そのうち来ると思うくぽ。ひとまず一緒に、長老さまにお話を聞きにいくくぽ～♪			謎の手紙の差出人							
森のモーグリたちも、そのうち来ると思うくぽ。ひとまず一緒に、長老さまにお話を聞きにいくくぽ～♪			森のモーグリたちも、そのうち来ると思うくぽ。ひとまず一緒に、長老さまにお話を聞きにいくくぽ～♪			謎の手紙の差出人							
ダサい名前のForenameよ。モグールまで来て、いったいどうしたくぽ？			ダサい名前のForenameよ。モグールまで来て、いったいどうしたくぽ？			謎の手紙の差出人							
長老さま、長老さま！モグ、森にもモーグリがいたと知って、びっくりくぽ！なんで空と森に分かれたか、とっても気になるくぽ！			長老さま、長老さま！モグ、森にもモーグリがいたと知って、びっくりくぽ！なんで空と森に分かれたか、とっても気になるくぽ！			謎の手紙の差出人							
だから、長老さまが知っている言い伝えを、ぜひ聞かせてほしいくぽ！			だから、長老さまが知っている言い伝えを、ぜひ聞かせてほしいくぽ！			謎の手紙の差出人							
そうは言っても、この話は森のモーグリたちも、聞きたいのではないかくぽ？			そうは言っても、この話は森のモーグリたちも、聞きたいのではないかくぽ？			謎の手紙の差出人							
ハッ！　そうくぽ！森のモーグリたちも、きっと聞きたいと思うくぽ。			ハッ！　そうくぽ！森のモーグリたちも、きっと聞きたいと思うくぽ。			謎の手紙の差出人							
二回も同じ話をするのはめんど……じゃなくて、お互いを知り合うことが大切くぽ。ではでは、森のモーグリが来たら、呼んでほしいくぽ。			二回も同じ話をするのはめんど……じゃなくて、お互いを知り合うことが大切くぽ。ではでは、森のモーグリが来たら、呼んでほしいくぽ。			謎の手紙の差出人							
確かに、長老さまのおっしゃることは一理あるくぽ。じゃあ、森のモーグリたちが来たら、また来るくぽ～！			確かに、長老さまのおっしゃることは一理あるくぽ。じゃあ、森のモーグリたちが来たら、また来るくぽ～！			謎の手紙の差出人							
それじゃあ、冒険者さん、森のモーグリたちを出迎えに行くくぽ。そろそろ来ているかもしれないくぽ！			それじゃあ、冒険者さん、森のモーグリたちを出迎えに行くくぽ。そろそろ来ているかもしれないくぽ！			謎の手紙の差出人							
言い伝えは、森のモーグリたちが来たら話すくぽ。…………そうすれば、長話は一回で済むくぽ。			言い伝えは、森のモーグリたちが来たら話すくぽ。…………そうすれば、長話は一回で済むくぽ。			謎の手紙の差出人							
……おかしいくぽ。もう到着してもいい頃なのに、森のモーグリたちが来ないくぽ。			……おかしいくぽ。もう到着してもいい頃なのに、森のモーグリたちが来ないくぽ。			謎の手紙の差出人							
う～ん、心配になってきたくぽ。もしかして、迷子になっちゃったくぽ？			う～ん、心配になってきたくぽ。もしかして、迷子になっちゃったくぽ？			謎の手紙の差出人							
イシュガルドのエーテライト・プラザにいるゴンドゥランボーは、英雄の来訪を心待ちにしていたようだ。			イシュガルドのエーテライト・プラザにいるゴンドゥランボーは、英雄の来訪を心待ちにしていたようだ。			開かれしエンピレアム							
ゴンドゥランボーは、イシュガルドに冒険者居住区ができたことを教えてくれた。雲霧街の「トメリン」が案内してくれるようだ。			ゴンドゥランボーは、イシュガルドに冒険者居住区ができたことを教えてくれた。雲霧街の「トメリン」が案内してくれるようだ。			開かれしエンピレアム							
トメリンと話した。「エンピレアム」へ向かおう。			トメリンと話した。「エンピレアム」へ向かおう。			開かれしエンピレアム							
「エンピレアム」に着いた。居住区の管理人と話そう。			「エンピレアム」に着いた。居住区の管理人と話そう。			開かれしエンピレアム							
居住区の管理人に、エンピレアムについて教えてもらった。ゴンドゥランボーに報告しよう。			居住区の管理人に、エンピレアムについて教えてもらった。ゴンドゥランボーに報告しよう。			開かれしエンピレアム							
ゴンドゥランボーと話した。イシュガルドの人々は、冒険者が「エンピレアム」の土地を手に入れ、家を建てることを歓迎しているようだ。詳しいことが知りたくなったら「エンピレアム」の居住区担当官に話しかけてみるといいだろう。			ゴンドゥランボーと話した。イシュガルドの人々は、冒険者が「エンピレアム」の土地を手に入れ、家を建てることを歓迎しているようだ。詳しいことが知りたくなったら「エンピレアム」の居住区担当官に話しかけてみるといいだろう。			開かれしエンピレアム							
トメリンと話し、エンピレアムに行く			トメリンと話し、エンピレアムに行く			開かれしエンピレアム							
居住区の管理人と話す			居住区の管理人と話す			開かれしエンピレアム							
エーテライト・プラザのゴンドゥランボーに報告			エーテライト・プラザのゴンドゥランボーに報告			開かれしエンピレアム							
英雄殿！貴方の来訪をお待ちしておりました！			英雄殿！貴方の来訪をお待ちしておりました！			開かれしエンピレアム							
ええ、というのもですね……貴方のご活躍により竜詩戦争が終結し、皇都は復興に勤しんでおります。			ええ、というのもですね……貴方のご活躍により竜詩戦争が終結し、皇都は復興に勤しんでおります。			開かれしエンピレアム							
多くの職人の助力によって、特区に指定されていた「蒼天街」の復興計画が完遂。			多くの職人の助力によって、特区に指定されていた「蒼天街」の復興計画が完遂。			開かれしエンピレアム							
これを受けて、諸外国から得た技術と、ゼーメル家を筆頭とするイシュガルドの職人たちの、総力を結集し、さらなる新区画を整備いたしました。			これを受けて、諸外国から得た技術と、ゼーメル家を筆頭とするイシュガルドの職人たちの、総力を結集し、さらなる新区画を整備いたしました。			開かれしエンピレアム							
その名も「エンピレアム」！諸外国の皆様をお招きするための、冒険者居住区です。			その名も「エンピレアム」！諸外国の皆様をお招きするための、冒険者居住区です。			開かれしエンピレアム							
英雄である貴方にも、一度訪れていただきたくて。雲霧街の奥にいる「トメリン」がご案内していますので、よろしかったら、ぜひ！			英雄である貴方にも、一度訪れていただきたくて。雲霧街の奥にいる「トメリン」がご案内していますので、よろしかったら、ぜひ！			開かれしエンピレアム							
