ココブシの目撃情報が入ったため、さっそく情報を集めに行きたいようだ。			ココブシの目撃情報が入ったため、さっそく情報を集めに行きたいようだ。			臆病者の牙							
おっと、ついでにココブキ兄者からの依頼だぁ！アマルジャ族を倒したら、「アマルジャの鮮血」を採ってきてほしいっていってたぜぇ？			おっと、ついでにココブキ兄者からの依頼だぁ！アマルジャ族を倒したら、「アマルジャの鮮血」を採ってきてほしいっていってたぜぇ？			枯れ果てし危機							
テメェ、「エーテル輸送箱」と「アマルジャの鮮血」、持ってこれたんだろうなぁ？			テメェ、「エーテル輸送箱」と「アマルジャの鮮血」、持ってこれたんだろうなぁ？			枯れ果てし危機							
10、20、30……ウヒヒ、よしよし。大量のエーテルを見ると、心が落ち着くぜぇ……。			10、20、30……ウヒヒ、よしよし。大量のエーテルを見ると、心が落ち着くぜぇ……。			枯れ果てし危機							
おやおや……ココバニ。Forenameの修行は順調なようじゃないですか。			おやおや……ココバニ。Forenameの修行は順調なようじゃないですか。			枯れ果てし危機							
ククク……アマルジャの鮮血も十分あるようだ、これがあれば、ココブシも……。			ククク……アマルジャの鮮血も十分あるようだ、これがあれば、ココブシも……。			枯れ果てし危機							
ココブキ兄ちゃん！僕を呪術士ギルドに呼ぶなんて珍しいじゃん。やっと僕に呪術を教えてくれる気になったの？			ココブキ兄ちゃん！僕を呪術士ギルドに呼ぶなんて珍しいじゃん。やっと僕に呪術を教えてくれる気になったの？			枯れ果てし危機							
コッ、ココブシちゅぁ～ん！　よく来たねぇ～！ほらぁ～Forenameが、アマルジャの鮮血を持ってきてくれたんだよ？			コッ、ココブシちゅぁ～ん！　よく来たねぇ～！ほらぁ～Forenameが、アマルジャの鮮血を持ってきてくれたんだよ？			枯れ果てし危機							
知人の錬金術師に聞いたんだよぉ～。アマルジャの鮮血は、ココブシちゃんが挑んでる「魔力増幅薬」研究の実験素材に使えるって。			知人の錬金術師に聞いたんだよぉ～。アマルジャの鮮血は、ココブシちゃんが挑んでる「魔力増幅薬」研究の実験素材に使えるって。			枯れ果てし危機							
ほら、こういう風にね、錬金術師として呪術士と協力して行けば良いだろう？無理に呪術士にならなくたって、仲良くできるんだよ？			ほら、こういう風にね、錬金術師として呪術士と協力して行けば良いだろう？無理に呪術士にならなくたって、仲良くできるんだよ？			枯れ果てし危機							
そうだぜココブシぃ、戦場は危険なんだぁ。それに俺達呪術士は、人を守ることが苦手だぁ……。だから、協力することも必要だぜぇ？			そうだぜココブシぃ、戦場は危険なんだぁ。それに俺達呪術士は、人を守ることが苦手だぁ……。だから、協力することも必要だぜぇ？			枯れ果てし危機							
……はぁ、結局また説得？僕はそんな「助け合い」がしたい訳じゃない。兄ちゃんたちと一緒に、敵を倒したいんだ！			……はぁ、結局また説得？僕はそんな「助け合い」がしたい訳じゃない。兄ちゃんたちと一緒に、敵を倒したいんだ！			枯れ果てし危機							
こ、ココブシちゃぁ～ん！！お兄ちゃんは過保護をやめられないけど、嫌いにならないでぇ～！！			こ、ココブシちゃぁ～ん！！お兄ちゃんは過保護をやめられないけど、嫌いにならないでぇ～！！			枯れ果てし危機							
……ご、ごほん。Forename、あとで私のもとに来なさい。			……ご、ごほん。Forename、あとで私のもとに来なさい。			枯れ果てし危機							
……ココブシは魔力の総量が、とにかく少ない。意欲はあっても、魔法は全く使えない……。無理に魔法を使えば、命の危険さえあるでしょう。			……ココブシは魔力の総量が、とにかく少ない。意欲はあっても、魔法は全く使えない……。無理に魔法を使えば、命の危険さえあるでしょう。			枯れ果てし危機							
まぁココブシのことはお気にせず、我々の問題です。貴方をここに呼んだのは、別の理由。			まぁココブシのことはお気にせず、我々の問題です。貴方をここに呼んだのは、別の理由。			枯れ果てし危機							
ココバニが与えた試練を終えた貴方を評価し、「他のギルドにて術を学ぶこと」を許可しようと思います。			ココバニが与えた試練を終えた貴方を評価し、「他のギルドにて術を学ぶこと」を許可しようと思います。			枯れ果てし危機							
ここ、ウルダハには、偉人「拳聖のハモン」が教える格闘士ギルドや、気鋭の女性剣術士が率いる剣術士ギルドがあります。			ここ、ウルダハには、偉人「拳聖のハモン」が教える格闘士ギルドや、気鋭の女性剣術士が率いる剣術士ギルドがあります。			枯れ果てし危機							
その他、裁縫や彫金、錬金術のような製作職、採掘のような採集職のギルドもありますよ。			その他、裁縫や彫金、錬金術のような製作職、採掘のような採集職のギルドもありますよ。			枯れ果てし危機							
私としては、呪術の修行を続けることを勧めますが……まあ、いずれにせよ、すべては貴方の運命次第……。			私としては、呪術の修行を続けることを勧めますが……まあ、いずれにせよ、すべては貴方の運命次第……。			枯れ果てし危機							
「クラスチェンジ」が開放されました。他のクラスのギルドを訪れ、受付に話しかけると新たなクラスを習得するためのクエストが発行されます。			「クラスチェンジ」が開放されました。他のクラスのギルドを訪れ、受付に話しかけると新たなクラスを習得するためのクエストが発行されます。			枯れ果てし危機							
エオルゼアには、さまざまなクラスが存在します。まずは、現在学んでいる「呪術」について熟知し、そのうえで他のクラスを学ぶと、より理解が深まるでしょう。			エオルゼアには、さまざまなクラスが存在します。まずは、現在学んでいる「呪術」について熟知し、そのうえで他のクラスを学ぶと、より理解が深まるでしょう。			枯れ果てし危機							
呪術士ギルドマスターのココブキは冒険者に呪術の深淵について教えようとしている。			呪術士ギルドマスターのココブキは冒険者に呪術の深淵について教えようとしている。			迫り来る危機							
呪術士ギルドマスター、ココビゴから呪術の深淵の「迫り来る危機」を学ぼう。			呪術士ギルドマスター、ココビゴから呪術の深淵の「迫り来る危機」を学ぼう。			迫り来る危機							
「シルバーバザー」の近くに「干からびた魚」を仕掛けよう。			「シルバーバザー」の近くに「干からびた魚」を仕掛けよう。			迫り来る危機							
指定された地点で待機をし、干からびた魚を食べに来る「サークリング・ヴァルチャー」を討伐しよう。			指定された地点で待機をし、干からびた魚を食べに来る「サークリング・ヴァルチャー」を討伐しよう。			迫り来る危機							
指定された魔物の討伐を終えた。「ファファフォノ」に「ヴァルチャーの胸肉」を渡そう。			指定された魔物の討伐を終えた。「ファファフォノ」に「ヴァルチャーの胸肉」を渡そう。			迫り来る危機							
「呪術士ギルド」の「ココビゴ」に報告しよう。			「呪術士ギルド」の「ココビゴ」に報告しよう。			迫り来る危機							
戦いにおける基本の危機を教わった冒険者の前に末っ子のココブシが現れた。彼は魔法の才能がないため、呪術士は諦めるよう説得されているようだった。※呪術士のレベルが10以上になると、ココブキから　次の呪術士クエストを受注することができます。			戦いにおける基本の危機を教わった冒険者の前に末っ子のココブシが現れた。彼は魔法の才能がないため、呪術士は諦めるよう説得されているようだった。※呪術士のレベルが10以上になると、ココブキから　次の呪術士クエストを受注することができます。			迫り来る危機							
ココビゴと話す			ココビゴと話す			迫り来る危機							
指定地点に干からびた魚を仕掛ける			指定地点に干からびた魚を仕掛ける			迫り来る危機							
指定地点で待機しサークリング・ヴァルチャーを討伐			指定地点で待機しサークリング・ヴァルチャーを討伐			迫り来る危機							
ファファフォノにヴァルチャーの胸肉を渡す			ファファフォノにヴァルチャーの胸肉を渡す			迫り来る危機							
呪術士ギルドのココビゴに報告			呪術士ギルドのココビゴに報告			迫り来る危機							
クックック……貴方の魔力が解放を求めている。さっそく試練を始めましょうかねぇ。			クックック……貴方の魔力が解放を求めている。さっそく試練を始めましょうかねぇ。			迫り来る危機							
今回からは、呪術士が陥る「危機」について、古の呪術士ゾーゾーマヤが書き記した書物……「呪術の深淵」に沿った試練を受けてもらいます。			今回からは、呪術士が陥る「危機」について、古の呪術士ゾーゾーマヤが書き記した書物……「呪術の深淵」に沿った試練を受けてもらいます。			迫り来る危機							
書物を構成している四つの章で学ぶべきことは、敗北を知らぬ弟たちに伝えさせましょう。			書物を構成している四つの章で学ぶべきことは、敗北を知らぬ弟たちに伝えさせましょう。			迫り来る危機							
さあ、まずは次男のココビゴから、初めの章「迫り来る危機」を学んできなさい……。真の臆病者こそが、敗北を知らぬ者となるのだから。			さあ、まずは次男のココビゴから、初めの章「迫り来る危機」を学んできなさい……。真の臆病者こそが、敗北を知らぬ者となるのだから。			迫り来る危機							
ひゃっ！			ひゃっ！			迫り来る危機							
……な、なんだ、Forenameか。「呪術の深淵」を学びにきたんだね？よ、よし、「迫り来る危機」の章を読むからね、聞いてね。			……な、なんだ、Forenameか。「呪術の深淵」を学びにきたんだね？よ、よし、「迫り来る危機」の章を読むからね、聞いてね。			迫り来る危機							
「呪術の深淵：迫り来る危機」嗚呼、我が妙なる魔力よ、素晴らしきかな。豪炎は拳に、氷刃は剣に、雷撃は槍に勝らん。			「呪術の深淵：迫り来る危機」嗚呼、我が妙なる魔力よ、素晴らしきかな。豪炎は拳に、氷刃は剣に、雷撃は槍に勝らん。			迫り来る危機							
嗚呼、迫りし豪の者よ、恐ろしきかな。その拳我が骨を砕き、その刃我が肉を斬り、その槍は我が臓腑を貫かん。我、危機を覚えるなり。			嗚呼、迫りし豪の者よ、恐ろしきかな。その拳我が骨を砕き、その刃我が肉を斬り、その槍は我が臓腑を貫かん。我、危機を覚えるなり。			迫り来る危機							
な、何度暗唱しても、自分で怖くなっちゃう……。この章で学ぶ危機は、敵に接近されることの危機だ。			な、何度暗唱しても、自分で怖くなっちゃう……。この章で学ぶ危機は、敵に接近されることの危機だ。			迫り来る危機							
攻撃されたら痛いし……落ち着いて詠唱もできないから、遠くから敵を狙うことを学ばなきゃだめだ。こ、これは呪術の基本だよ。			攻撃されたら痛いし……落ち着いて詠唱もできないから、遠くから敵を狙うことを学ばなきゃだめだ。こ、これは呪術の基本だよ。			迫り来る危機							
さ、さっそく試練に入ろう。シルバーバザー付近に、「干からびた魚」を仕掛けるんだ。離れて待てば、サークリング・ヴァルチャーがくる……。			さ、さっそく試練に入ろう。シルバーバザー付近に、「干からびた魚」を仕掛けるんだ。離れて待てば、サークリング・ヴァルチャーがくる……。			迫り来る危機							
サークリング・ヴァルチャーを倒したら、ファファフォノさんて人に「ヴァルチャーの胸肉」を……渡してね。			サークリング・ヴァルチャーを倒したら、ファファフォノさんて人に「ヴァルチャーの胸肉」を……渡してね。			迫り来る危機							
シルバーバザーの近くで試練をしてもいいけど、必ず見返りをよこせ……って言われてるんだ。怒らせるとすっごく怖いんだよぉ……。			シルバーバザーの近くで試練をしてもいいけど、必ず見返りをよこせ……って言われてるんだ。怒らせるとすっごく怖いんだよぉ……。			迫り来る危機							
おや、あんた呪術の試練を終えたのか。そんじゃあ、シルバーバザーの近くを使った利用料、わかってるんだよね？			おや、あんた呪術の試練を終えたのか。そんじゃあ、シルバーバザーの近くを使った利用料、わかってるんだよね？			迫り来る危機							
うっしっし。これこれ、干し肉がうまいんだよねぇ。物分かりのいい呪術士だ。			うっしっし。これこれ、干し肉がうまいんだよねぇ。物分かりのいい呪術士だ。			迫り来る危機							
(-小柄な錬金術師-)……呪術士だって？その人もしかして、呪術士ギルドの試練でここに？			(-小柄な錬金術師-)……呪術士だって？その人もしかして、呪術士ギルドの試練でここに？			迫り来る危機							
おや、錬金術師の先生じゃねぇか。へへ、いつもお薬ありがとうございますねぇ。			おや、錬金術師の先生じゃねぇか。へへ、いつもお薬ありがとうございますねぇ。			迫り来る危機							
この人は、呪術士ギルドの試練できたんです。失敗して、肉を届けずに逃げる奴が多いんですがね、こいつはなかなか、できる奴みたいですぜ。			この人は、呪術士ギルドの試練できたんです。失敗して、肉を届けずに逃げる奴が多いんですがね、こいつはなかなか、できる奴みたいですぜ。			迫り来る危機							
(-小柄な錬金術師-)また、兄ちゃんか……！			(-小柄な錬金術師-)また、兄ちゃんか……！			迫り来る危機							
お、おかえり……き、君が生きて帰ってきて、よかった……。			お、おかえり……き、君が生きて帰ってきて、よかった……。			迫り来る危機							
だいたいよぉ、呪術って言うのはよぉ、詠唱中が一番こっえーんだよ！！			だいたいよぉ、呪術って言うのはよぉ、詠唱中が一番こっえーんだよ！！			迫り来る危機							
戦いにおける基本の危機……それを教えた……。ココビゴの「迫り来る危機」の試練……。			戦いにおける基本の危機……それを教えた……。ココビゴの「迫り来る危機」の試練……。			迫り来る危機							
やぁっぱ戦いは有利に進めなきゃ損だよね～！遠くから攻撃された相手の、悔しそうな目もね、とても気持ちがいいね、アハハハハハ～！			やぁっぱ戦いは有利に進めなきゃ損だよね～！遠くから攻撃された相手の、悔しそうな目もね、とても気持ちがいいね、アハハハハハ～！			迫り来る危機							
じ、呪術士は身を守るのが下手だから……「命の危機を避ける」ことが重要なんだ。た、多少卑怯だろうと、自分の命の方が大事だよ……。			じ、呪術士は身を守るのが下手だから……「命の危機を避ける」ことが重要なんだ。た、多少卑怯だろうと、自分の命の方が大事だよ……。			迫り来る危機							
クククククク……。Forenameの修行は順調なようですねぇ……。破壊の化身となれる日は、そう遠くないでしょう……。			クククククク……。Forenameの修行は順調なようですねぇ……。破壊の化身となれる日は、そう遠くないでしょう……。			迫り来る危機							
(-小柄な錬金術師-)やーーーーーっぱりココブキ兄ちゃんだ！それにココビゴ兄ちゃん、ココバニ兄ちゃん、ココベジ兄ちゃん、ココボハ兄ちゃんもだ！			(-小柄な錬金術師-)やーーーーーっぱりココブキ兄ちゃんだ！それにココビゴ兄ちゃん、ココバニ兄ちゃん、ココベジ兄ちゃん、ココボハ兄ちゃんもだ！			迫り来る危機							
コココココ、ココブシちゃん！？			コココココ、ココブシちゃん！？			迫り来る危機							
次は、僕に呪術を教えてくれるって言ってたのに！			次は、僕に呪術を教えてくれるって言ってたのに！			迫り来る危機							
そ、そうは言っても、ココブシちゃん……Forenameが、どうしてもって言うから……			そ、そうは言っても、ココブシちゃん……Forenameが、どうしてもって言うから……			迫り来る危機							
ぐすっ……どうせそうやって後回しにしてさ、僕が諦めるのを待ってるんだろう？いつもそうやって仲間はずれだ……。			ぐすっ……どうせそうやって後回しにしてさ、僕が諦めるのを待ってるんだろう？いつもそうやって仲間はずれだ……。			迫り来る危機							
兄ちゃんたちの、バカーーーーーーーーーー！			兄ちゃんたちの、バカーーーーーーーーーー！			迫り来る危機							
こ、ココブシちゃぁーん！！いい子だから、お兄ちゃんたちを嫌いにならないでぇー！！			こ、ココブシちゃぁーん！！いい子だから、お兄ちゃんたちを嫌いにならないでぇー！！			迫り来る危機							
……ゴ、ゴホン、ココブシは我らの一番下の弟です。我らと共に、呪術士になりたいというのですが……絶望的に魔力、すなわち体内のエーテル量が少ないのです。			……ゴ、ゴホン、ココブシは我らの一番下の弟です。我らと共に、呪術士になりたいというのですが……絶望的に魔力、すなわち体内のエーテル量が少ないのです。			迫り来る危機							
才能がないのだから、呪術は諦めろ……と説得し、「錬金術師ギルド」に入れたのはいいのですが、まだまだ呪術の道を諦めてはいないようですね。			才能がないのだから、呪術は諦めろ……と説得し、「錬金術師ギルド」に入れたのはいいのですが、まだまだ呪術の道を諦めてはいないようですね。			迫り来る危機							
結局、錬金術師ギルドでは「魔力増幅薬」の研究に没頭し、自分の魔力を高める方法を探しているそうです……。			結局、錬金術師ギルドでは「魔力増幅薬」の研究に没頭し、自分の魔力を高める方法を探しているそうです……。			迫り来る危機							
ま、まぁ、これは我々身内の問題です……。貴方は再び、呪術の鍛錬に励んでください……。			ま、まぁ、これは我々身内の問題です……。貴方は再び、呪術の鍛錬に励んでください……。			迫り来る危機							
敵の気配を感じた！！			敵の気配を感じた！！			迫り来る危機							
呪術士ギルドのギルドマスターココブキは、冒険者の魔力を試したいようだ。			呪術士ギルドのギルドマスターココブキは、冒険者の魔力を試したいようだ。			呪具が望む破壊							
ココブキに呪術士たる魔力を証明するため、「ヒュージ・ホーネット」「マーモット」「スナッピングシュルー」を3体ずつ倒そう。			ココブキに呪術士たる魔力を証明するため、「ヒュージ・ホーネット」「マーモット」「スナッピングシュルー」を3体ずつ倒そう。			呪具が望む破壊							
指定された魔物を倒した。「呪術士ギルド」で待つ「ココブキ」に報告しよう。			指定された魔物を倒した。「呪術士ギルド」で待つ「ココブキ」に報告しよう。			呪具が望む破壊							
ギルドマスターココブキに認められ、呪術士ギルドの一員となった冒険者。呪術士の深淵を知るため、自らの魔力をもっと磨いていこう。※呪術士のレベルが5以上になると、ココブキから　次の呪術士クエストを受注することができます。			ギルドマスターココブキに認められ、呪術士ギルドの一員となった冒険者。呪術士の深淵を知るため、自らの魔力をもっと磨いていこう。※呪術士のレベルが5以上になると、ココブキから　次の呪術士クエストを受注することができます。			呪具が望む破壊							
呪術でマーモットを討伐			呪術でマーモットを討伐			呪具が望む破壊							
呪術でヒュージ・ホーネットを討伐			呪術でヒュージ・ホーネットを討伐			呪具が望む破壊							
呪術でスナッピング・シュルーを討伐			呪術でスナッピング・シュルーを討伐			呪具が望む破壊							
呪術士ギルドのココブキに報告			呪術士ギルドのココブキに報告			呪具が望む破壊							
クックック……。破壊を求める呪術士らしい姿になりましたねぇ。			クックック……。破壊を求める呪術士らしい姿になりましたねぇ。			呪具が望む破壊							
それでは、呪術士ギルドに入るための試験として、貴方の体内に流れる、魔力を試させてもらいましょう。			それでは、呪術士ギルドに入るための試験として、貴方の体内に流れる、魔力を試させてもらいましょう。			呪具が望む破壊							
「ヒュージ・ホーネット」「マーモット」「スナッピングシュルー」それぞれ3体に、貴方の力で死をもたらしなさい……。			「ヒュージ・ホーネット」「マーモット」「スナッピングシュルー」それぞれ3体に、貴方の力で死をもたらしなさい……。			呪具が望む破壊							
クックック……。敵を全て、屠ることができたようですねぇ。Forename、貴方を呪術士ギルドに歓迎しましょう。			クックック……。敵を全て、屠ることができたようですねぇ。Forename、貴方を呪術士ギルドに歓迎しましょう。			呪具が望む破壊							
今回は、呪術士足りうる魔力の確認をさせてもらいました。魔力を決めるのは、体内に流れる「エーテル量」です……。			今回は、呪術士足りうる魔力の確認をさせてもらいました。魔力を決めるのは、体内に流れる「エーテル量」です……。			呪具が望む破壊							
その量の大小はあれど、生きとし生ける者は皆、生命の源である「エーテル」をその身に宿しています……。これは「魔法学」の基本、覚えておくといいでしょう。			その量の大小はあれど、生きとし生ける者は皆、生命の源である「エーテル」をその身に宿しています……。これは「魔法学」の基本、覚えておくといいでしょう。			呪具が望む破壊							
魔法に変換できる魔力の総量は、成長に従い増幅します。そして魔力は、恐怖と危機によっても増大する。			魔法に変換できる魔力の総量は、成長に従い増幅します。そして魔力は、恐怖と危機によっても増大する。			呪具が望む破壊							
貴方の魔力が新たな危機を欲したとき、そして、恐怖を知らねばならなくなったとき、またここに来てくださいねぇ、クックックックック……。			貴方の魔力が新たな危機を欲したとき、そして、恐怖を知らねばならなくなったとき、またここに来てくださいねぇ、クックックックック……。			呪具が望む破壊							
「呪術士」のクラスクエストが開始されました。次のクエストは「レベル5」以上で受注可能になります。レベルを上げ、再度ギルドを訪れてください。			「呪術士」のクラスクエストが開始されました。次のクエストは「レベル5」以上で受注可能になります。レベルを上げ、再度ギルドを訪れてください。			呪具が望む破壊							
呪術士ギルドの受付、ヤヤケはギルドへの入門手続きをするにあたって、冒険者の決意を確かめようとしているようだ。			呪術士ギルドの受付、ヤヤケはギルドへの入門手続きをするにあたって、冒険者の決意を確かめようとしているようだ。			深淵に臨む呪術士							
ヤヤケからココビゴを紹介された。呪術士ギルドの奥にいる「ココビゴ」に声をかけよう			ヤヤケからココビゴを紹介された。呪術士ギルドの奥にいる「ココビゴ」に声をかけよう			深淵に臨む呪術士							
ココブキに呪術士たる魔力を証明するため、「ヒュージ・ホーネット」「マーモット」「スナッピングシュルー」を3体ずつ倒そう。			ココブキに呪術士たる魔力を証明するため、「ヒュージ・ホーネット」「マーモット」「スナッピングシュルー」を3体ずつ倒そう。			深淵に臨む呪術士							
指定された魔物を倒した。「呪術士ギルド」で待つ「ココブキ」に報告しよう。			指定された魔物を倒した。「呪術士ギルド」で待つ「ココブキ」に報告しよう。			深淵に臨む呪術士							
ギルドマスターココブキに認められ、呪術士ギルドの一員となった冒険者。呪術士の深淵を知るため、自らの魔力をもっと磨いていこう。※呪術士のレベルが5以上になると、ココブキから　次の呪術士クエストを受注することができます。			ギルドマスターココブキに認められ、呪術士ギルドの一員となった冒険者。呪術士の深淵を知るため、自らの魔力をもっと磨いていこう。※呪術士のレベルが5以上になると、ココブキから　次の呪術士クエストを受注することができます。			深淵に臨む呪術士							
ココビゴと話す			ココビゴと話す			深淵に臨む呪術士							
呪術でマーモットを討伐			呪術でマーモットを討伐			深淵に臨む呪術士							
呪術でヒュージ・ホーネットを討伐			呪術でヒュージ・ホーネットを討伐			深淵に臨む呪術士							
呪術でスナッピング・シュルーを討伐			呪術でスナッピング・シュルーを討伐			深淵に臨む呪術士							
呪術士ギルドのココブキに報告			呪術士ギルドのココブキに報告			深淵に臨む呪術士							
いかがでしょう、Forenameさま。呪術士ギルドに入門する宿命にあると、ご自分で感じられませんか？			いかがでしょう、Forenameさま。呪術士ギルドに入門する宿命にあると、ご自分で感じられませんか？			深淵に臨む呪術士							
賢明な判断でございます。……それではまず、呪術の基本を記した108冊の本をお読みください。			賢明な判断でございます。……それではまず、呪術の基本を記した108冊の本をお読みください。			深淵に臨む呪術士							
……と申しますと、ほとんどの方はドン引きしますので、重要なことはギルドマスターにお聞きください。			……と申しますと、ほとんどの方はドン引きしますので、重要なことはギルドマスターにお聞きください。			深淵に臨む呪術士							
当ギルドのマスターは五兄弟の皆様。兄弟を束ねるのは長男の、ココ……ココベ……ココビゴ？様であられます、多分……。			当ギルドのマスターは五兄弟の皆様。兄弟を束ねるのは長男の、ココ……ココベ……ココビゴ？様であられます、多分……。			深淵に臨む呪術士							
……覚醒の刻は今ではない……と。しかし、いずれ自明となることです。貴方の運命が、呪術士ギルドの入門に向かっていると。			……覚醒の刻は今ではない……と。しかし、いずれ自明となることです。貴方の運命が、呪術士ギルドの入門に向かっていると。			深淵に臨む呪術士							
ひゃっ！い、いきなり話しかけないでくださいよ。怖いじゃないですか……！			ひゃっ！い、いきなり話しかけないでくださいよ。怖いじゃないですか……！			深淵に臨む呪術士							
ココビゴ兄貴よぉ！こいつ、呪術士ギルドへの入門希望者じゃねぇか！？			ココビゴ兄貴よぉ！こいつ、呪術士ギルドへの入門希望者じゃねぇか！？			深淵に臨む呪術士							
ヤヤケ導師……可憐な女人なれど、我々の名を覚えぬ方よ……。			ヤヤケ導師……可憐な女人なれど、我々の名を覚えぬ方よ……。			深淵に臨む呪術士							
アハハハハハ！入門希望だったら、ココビゴ兄ちゃんじゃなくて、ココブキ兄ちゃんに言わないとだめだよ！			アハハハハハ！入門希望だったら、ココビゴ兄ちゃんじゃなくて、ココブキ兄ちゃんに言わないとだめだよ！			深淵に臨む呪術士							
おやおや……ザル神に導かれし我らが朋が、一人やってきたようですねぇ……。			おやおや……ザル神に導かれし我らが朋が、一人やってきたようですねぇ……。			深淵に臨む呪術士							
あ、兄ちゃん！！			あ、兄ちゃん！！			深淵に臨む呪術士							
私がギルドマスター五兄弟の長男、ココブキです。「呪術」についての説明なら、私から致しましょう。			私がギルドマスター五兄弟の長男、ココブキです。「呪術」についての説明なら、私から致しましょう。			深淵に臨む呪術士							
呪術の力は、最強の火力を以て敵を屠る力です……。その一撃の威力は、他の魔法体系を遥かに凌駕します。			呪術の力は、最強の火力を以て敵を屠る力です……。その一撃の威力は、他の魔法体系を遥かに凌駕します。			深淵に臨む呪術士							
ファイア、サンダー、ブリザド、スリプル……。呪術士は状況に応じて、数々の魔法を使い分け、敵を殲滅することができるのです……。			ファイア、サンダー、ブリザド、スリプル……。呪術士は状況に応じて、数々の魔法を使い分け、敵を殲滅することができるのです……。			深淵に臨む呪術士							
ここ「呪術士ギルド」で我々の教えを受ければ、貴方は「敵を屠る最強の破壊力」を得ることができるのです。			ここ「呪術士ギルド」で我々の教えを受ければ、貴方は「敵を屠る最強の破壊力」を得ることができるのです。			深淵に臨む呪術士							
クックック……しかしそのためにはねぇ、多くの恐ろしい試練を受け、呪術の深淵を学んでもらわねばなりません。			クックック……しかしそのためにはねぇ、多くの恐ろしい試練を受け、呪術の深淵を学んでもらわねばなりません。			深淵に臨む呪術士							
さぁ問いましょう、新たなる呪術士よ。汝、最強の破壊力を得るため、呪術の深淵を知る覺悟がありしや？			さぁ問いましょう、新たなる呪術士よ。汝、最強の破壊力を得るため、呪術の深淵を知る覺悟がありしや？			深淵に臨む呪術士							
呪術の深淵を知る覺悟がある？			呪術の深淵を知る覺悟がある？			深淵に臨む呪術士							
はい			はい			深淵に臨む呪術士							
いいえ			いいえ			深淵に臨む呪術士							
クックック……良い返事です……。では、呪術士ギルドに入るための試験として、貴方の体内に流れる、魔力を試させてもらいましょう。			クックック……良い返事です……。では、呪術士ギルドに入るための試験として、貴方の体内に流れる、魔力を試させてもらいましょう。			深淵に臨む呪術士							
「ヒュージ・ホーネット」「マーモット」「スナッピングシュルー」それぞれ3体に、貴方の力で死をもたらしなさい……。			「ヒュージ・ホーネット」「マーモット」「スナッピングシュルー」それぞれ3体に、貴方の力で死をもたらしなさい……。			深淵に臨む呪術士							
おや……怖気づきましたか？焦ることはありません、決意が確かなものとなった時、またここに来ると良いでしょう……クックック……。			おや……怖気づきましたか？焦ることはありません、決意が確かなものとなった時、またここに来ると良いでしょう……クックック……。			深淵に臨む呪術士							
クックック……。敵を全て、屠ることができたようですねぇ。Forename、貴方を呪術士ギルドに歓迎しましょう。			クックック……。敵を全て、屠ることができたようですねぇ。Forename、貴方を呪術士ギルドに歓迎しましょう。			深淵に臨む呪術士							
今回は、呪術士たり得る魔力の確認をさせてもらいました。魔力を決めるのは、体内に流れる「エーテル量」です……。			今回は、呪術士たり得る魔力の確認をさせてもらいました。魔力を決めるのは、体内に流れる「エーテル量」です……。			深淵に臨む呪術士							
その量の大小はあれど、生きとし生ける者は皆、生命の源である「エーテル」をその身に宿しています……。これは「魔法学」の基本、覚えておくといいでしょう。			その量の大小はあれど、生きとし生ける者は皆、生命の源である「エーテル」をその身に宿しています……。これは「魔法学」の基本、覚えておくといいでしょう。			深淵に臨む呪術士							
さぁて、呪術士としての道を歩み出した貴方にこの「討伐手帳」を授けましょうかねぇ。			さぁて、呪術士としての道を歩み出した貴方にこの「討伐手帳」を授けましょうかねぇ。			深淵に臨む呪術士							
「討伐手帳」には、屠った敵の記録が残ります。呪術士の修行に適した敵が記載されていますから、この手帳を元に、経験を積むのも良いでしょう……。			「討伐手帳」には、屠った敵の記録が残ります。呪術士の修行に適した敵が記載されていますから、この手帳を元に、経験を積むのも良いでしょう……。			深淵に臨む呪術士							
魔法に変換できる魔力の総量は、成長に従い増幅します。そして魔力は、恐怖と危機によっても増大する。			魔法に変換できる魔力の総量は、成長に従い増幅します。そして魔力は、恐怖と危機によっても増大する。			深淵に臨む呪術士							
貴方の魔力が新たな危機を欲した時、そして、恐怖を知らねばならなくなった時、またここに来てくださいねぇ、クックックックック……。			貴方の魔力が新たな危機を欲した時、そして、恐怖を知らねばならなくなった時、またここに来てくださいねぇ、クックックックック……。			深淵に臨む呪術士							
「呪術士」のクラスクエストが開始されました。次のクエストは「レベル5」以上で受注可能になります。レベルを上げ、再度ギルドを訪れてください。			「呪術士」のクラスクエストが開始されました。次のクエストは「レベル5」以上で受注可能になります。レベルを上げ、再度ギルドを訪れてください。			深淵に臨む呪術士							
呪術士ギルドの受付、ヤヤケはギルドへの入門手続きをするにあたって、冒険者の決意を確かめようとしているようだ。			呪術士ギルドの受付、ヤヤケはギルドへの入門手続きをするにあたって、冒険者の決意を確かめようとしているようだ。			深淵に臨む呪術士							
ヤヤケからココビゴを紹介された。呪術士ギルドの奥にいる「ココビゴ」に声をかけよう。			ヤヤケからココビゴを紹介された。呪術士ギルドの奥にいる「ココビゴ」に声をかけよう。			深淵に臨む呪術士							
呪術士ギルドマスターのココブキから渡された「ウェザードセプター」を装備し「呪術士」になったら、再度「ココブキ」に声をかけよう。			呪術士ギルドマスターのココブキから渡された「ウェザードセプター」を装備し「呪術士」になったら、再度「ココブキ」に声をかけよう。			深淵に臨む呪術士							
