流星の間のリムサ・ロミンサの駐在武官は、冒険者に頼みたいことがあるようだ。			流星の間のリムサ・ロミンサの駐在武官は、冒険者に頼みたいことがあるようだ。			いざ、出航の時							
望潮のノォルと話した。海嘯派のサハギン族は、これまでは、テンパードだった頃のように、司祭の思想に従っているだけの生き方が楽だったという。しかしそんな生き方も終わりにして、偽神獣として果てた蒼茫の母のためにできることをすると、自身の心で考えて決意したようだ。ノォルは、いつか融和派も海嘯派もなくなった頃に、冒険者をもてなしたいと話し、海嘯派とともに産卵地へと帰っていった。溺れた海豚亭の「メルウィブ」と話そう。			望潮のノォルと話した。海嘯派のサハギン族は、これまでは、テンパードだった頃のように、司祭の思想に従っているだけの生き方が楽だったという。しかしそんな生き方も終わりにして、偽神獣として果てた蒼茫の母のためにできることをすると、自身の心で考えて決意したようだ。ノォルは、いつか融和派も海嘯派もなくなった頃に、冒険者をもてなしたいと話し、海嘯派とともに産卵地へと帰っていった。溺れた海豚亭の「メルウィブ」と話そう。			融和への船出							
メルウィブは、コボルド族との和議から始まった獣人たちとの融和は節目を迎えたが、人とサハギン族が互いを受け入れるまでは、まだ時間がかかるだろうと話す。両者が融和を結ぶためには、自分と違う存在に恐怖心を抱きながらも、互いに相手との違いを受け入れ、互いを知るために言葉を交わすことができれば、種の違いを超えて手を取り合っていけると確信しているようだ。そのためには、まず自国の民とじっくり時間をかけて話し合ってみるという。ラザハンの流星の間の「リムサ・ロミンサの駐在武官」と話そう。			メルウィブは、コボルド族との和議から始まった獣人たちとの融和は節目を迎えたが、人とサハギン族が互いを受け入れるまでは、まだ時間がかかるだろうと話す。両者が融和を結ぶためには、自分と違う存在に恐怖心を抱きながらも、互いに相手との違いを受け入れ、互いを知るために言葉を交わすことができれば、種の違いを超えて手を取り合っていけると確信しているようだ。そのためには、まず自国の民とじっくり時間をかけて話し合ってみるという。ラザハンの流星の間の「リムサ・ロミンサの駐在武官」と話そう。			融和への船出							
リムサ・ロミンサの駐在武官と話して、一連の出来事を報告した。彼はラノシア一帯の絶望が終わったことを喜び、すぐにその情報を他国と共有しに向かうのであった。			リムサ・ロミンサの駐在武官と話して、一連の出来事を報告した。彼はラノシア一帯の絶望が終わったことを喜び、すぐにその情報を他国と共有しに向かうのであった。			融和への船出							
メルウィブと話す			メルウィブと話す			融和への船出							
ロレンスと話す			ロレンスと話す			融和への船出							
ヴェイスケートと話す			ヴェイスケートと話す			融和への船出							
ランドゥネルと話す			ランドゥネルと話す			融和への船出							
ウ・オド・ヌンと話す			ウ・オド・ヌンと話す			融和への船出							
シャマニ・ローマニと話す			シャマニ・ローマニと話す			融和への船出							
ブレイフロクスと話す			ブレイフロクスと話す			融和への船出							
ロレンスと話す			ロレンスと話す			融和への船出							
望潮のノォルと話す			望潮のノォルと話す			融和への船出							
メルウィブと話す			メルウィブと話す			融和への船出							
流星の間のリムサ・ロミンサの駐在武官と話す			流星の間のリムサ・ロミンサの駐在武官と話す			融和への船出							
Forenameさん、すみません……まだ偽神獣の足取りは掴めておらず……			Forenameさん、すみません……まだ偽神獣の足取りは掴めておらず……			融和への船出							
失礼。ヴェイスケート副団長より、通信が届いております！			失礼。ヴェイスケート副団長より、通信が届いております！			融和への船出							
(-ヴェイスケートの声-)団長代行、聞こえるか！奴が網にかかったぞ！			(-ヴェイスケートの声-)団長代行、聞こえるか！奴が網にかかったぞ！			融和への船出							
(-ヴェイスケートの声-)元団員のリオルのお手柄ってやつだ。偽神獣が、産卵を控えたサハギン族の女王だったことから、産卵地の周辺海域に現れると踏んで、警戒していたのさ。			(-ヴェイスケートの声-)元団員のリオルのお手柄ってやつだ。偽神獣が、産卵を控えたサハギン族の女王だったことから、産卵地の周辺海域に現れると踏んで、警戒していたのさ。			融和への船出							
(-ヴェイスケートの声-)そして予測どおり、海中を移動するデカイ影を発見、シャマニ・ローマニの計算に従って黒渦団軍船から砲撃し、「サスタシャ浸食洞」に入るよう誘導した。			(-ヴェイスケートの声-)そして予測どおり、海中を移動するデカイ影を発見、シャマニ・ローマニの計算に従って黒渦団軍船から砲撃し、「サスタシャ浸食洞」に入るよう誘導した。			融和への船出							
(-ヴェイスケートの声-)あの洞窟であれば、周辺への被害を気にする必要はない。いまこそ海雄旅団に招集をかけるべき時だ！さあ、号令をかけてくれ、団長代行！			(-ヴェイスケートの声-)あの洞窟であれば、周辺への被害を気にする必要はない。いまこそ海雄旅団に招集をかけるべき時だ！さあ、号令をかけてくれ、団長代行！			融和への船出							
何と言う？			何と言う？			融和への船出							
海雄旅団、出撃だ！			海雄旅団、出撃だ！			融和への船出							
強き力は弱き者のために！			強き力は弱き者のために！			融和への船出							
(-ランドゥネルの声-)ククク……クククククク……！！今度こそ串刺しにしてやんぜェ！			(-ランドゥネルの声-)ククク……クククククク……！！今度こそ串刺しにしてやんぜェ！			融和への船出							
(-ウ・オド・ヌンの声-)せいぜい、返り討ちにならねぇように気をつけるんだな。			(-ウ・オド・ヌンの声-)せいぜい、返り討ちにならねぇように気をつけるんだな。			融和への船出							
(-ランドゥネルの声-)てめェ！　誰に言ってやがる！			(-ランドゥネルの声-)てめェ！　誰に言ってやがる！			融和への船出							
(-シャマニ・ローマニの声-)まぁまぁ、仲良くしてください。せっかくお膳立てをしたんですから、後は頼みますよ？			(-シャマニ・ローマニの声-)まぁまぁ、仲良くしてください。せっかくお膳立てをしたんですから、後は頼みますよ？			融和への船出							
(-ブレイフロクスの声-)シュコォ……　シュコォ……ゴブ……　ゴブブ……　ゴブゴブ……！！			(-ブレイフロクスの声-)シュコォ……　シュコォ……ゴブ……　ゴブブ……　ゴブゴブ……！！			融和への船出							
(-ヴェイスケートの声-)相変わらず、リンクパール越しだと、ブレイフロクスの言ってることが聞き取れねぇな……。			(-ヴェイスケートの声-)相変わらず、リンクパール越しだと、ブレイフロクスの言ってることが聞き取れねぇな……。			融和への船出							
(-メルウィブの声-)こちらメルウィブだ、話は聞いていたぞ。現在、決戦の地に向かうための軍船を準備させている。まずは「溺れた海豚亭」に集まってくれ。			(-メルウィブの声-)こちらメルウィブだ、話は聞いていたぞ。現在、決戦の地に向かうための軍船を準備させている。まずは「溺れた海豚亭」に集まってくれ。			融和への船出							
いよいよ、偽神獣との決戦ですね。どうかお気をつけて。			いよいよ、偽神獣との決戦ですね。どうかお気をつけて。			融和への船出							
来てくれたか。さて、あとは海雄旅団の連中を待つばかりだな。			来てくれたか。さて、あとは海雄旅団の連中を待つばかりだな。			融和への船出							
皆、よく集まってくれた。聞いての通り、偽神獣を追い込むことに成功した。これより、総攻撃を仕掛け、ケリを付けるぞ！			皆、よく集まってくれた。聞いての通り、偽神獣を追い込むことに成功した。これより、総攻撃を仕掛け、ケリを付けるぞ！			融和への船出							
フスィーッ、本来であれば、我らも協力すべきところ……。しかし、獣に堕ちたとはいえ元は女王であったと知った今、拙者どもは戦うことが……			フスィーッ、本来であれば、我らも協力すべきところ……。しかし、獣に堕ちたとはいえ元は女王であったと知った今、拙者どもは戦うことが……			融和への船出							
その気持ちは痛いほど、よくわかる。だが、偽神獣を放置することは断じてできない。			その気持ちは痛いほど、よくわかる。だが、偽神獣を放置することは断じてできない。			融和への船出							
現在、獣に転じた者を治す方法は見つかっておらず、捨て置けば必ず、人もサハギン族も見境なく殺すだろう。			現在、獣に転じた者を治す方法は見つかっておらず、捨て置けば必ず、人もサハギン族も見境なく殺すだろう。			融和への船出							
私は、現在対立している海嘯派の者たちにも、我らの船「巨艦バイルブランド」に、乗ってもらいたい。そのためにも、生きている者たちを護りたいのだ……！			私は、現在対立している海嘯派の者たちにも、我らの船「巨艦バイルブランド」に、乗ってもらいたい。そのためにも、生きている者たちを護りたいのだ……！			融和への船出							
そして、大切に思えばこそ、生前の想いに反して、同族殺しをさせてはならないとも思うのだ。かつての私が、そうしたように……。			そして、大切に思えばこそ、生前の想いに反して、同族殺しをさせてはならないとも思うのだ。かつての私が、そうしたように……。			融和への船出							
だが、案ずるな。君たちに親殺しの業を背負わせるつもりはない。			だが、案ずるな。君たちに親殺しの業を背負わせるつもりはない。			融和への船出							
最後は、私に任せてくれ。			最後は、私に任せてくれ。			融和への船出							
フスィーッ……メルウィブ殿……しかし……。			フスィーッ……メルウィブ殿……しかし……。			融和への船出							
(-リオルの声-)海嘯派と思われるサハギン族たちが、偽神獣を追って、サスタシャ浸食洞に入った……！急いで向かってくれッ！			(-リオルの声-)海嘯派と思われるサハギン族たちが、偽神獣を追って、サスタシャ浸食洞に入った……！急いで向かってくれッ！			融和への船出							
どうやら、ぐずぐずしている時間はなさそうだな。団長代行、気合の入る号令を頼むぞ！			どうやら、ぐずぐずしている時間はなさそうだな。団長代行、気合の入る号令を頼むぞ！			融和への船出							
何と言う？			何と言う？			融和への船出							
必ず生きて帰れ！			必ず生きて帰れ！			融和への船出							
絶対に偽神獣を倒せ！			絶対に偽神獣を倒せ！			融和への船出							
……フッ。いつかの団長と同じことを言いやがって。			……フッ。いつかの団長と同じことを言いやがって。			融和への船出							
フン、すっかり団長代行が板についたようだな。			フン、すっかり団長代行が板についたようだな。			融和への船出							
さあ、行くぞてめぇら！俺たち海雄旅団こそ、最強の傭兵であることを、この海に生きる連中に、いまいちど知らしめてやれッ！			さあ、行くぞてめぇら！俺たち海雄旅団こそ、最強の傭兵であることを、この海に生きる連中に、いまいちど知らしめてやれッ！			融和への船出							
(-海雄旅団一同-)おうッ！			(-海雄旅団一同-)おうッ！			融和への船出							
海嘯派の妨害も予想される。Forenameと私は正面から……それ以外の者は、別ルートから偽神獣を目指すぞ！			海嘯派の妨害も予想される。Forenameと私は正面から……それ以外の者は、別ルートから偽神獣を目指すぞ！			融和への船出							
総員、乗船……！これより最終決戦に向かう！			総員、乗船……！これより最終決戦に向かう！			融和への船出							
……そうか、思い出した！ロレンスという男は確か、海雄旅団の……。			……そうか、思い出した！ロレンスという男は確か、海雄旅団の……。			融和への船出							
溺れた海豚亭の「メルウィブ」提督と合流してください！			溺れた海豚亭の「メルウィブ」提督と合流してください！			融和への船出							
フスィーッ……お、おやめくだされ！蒼茫の母よ……！！			フスィーッ……お、おやめくだされ！蒼茫の母よ……！！			融和への船出							
クッ……ドォウ殿……！救えなかったか……！			クッ……ドォウ殿……！救えなかったか……！			融和への船出							
(-年老いた海嘯派のサハギン族-)フスィーッ！？蒼茫の母が、司祭様を手にかけるとは……。			(-年老いた海嘯派のサハギン族-)フスィーッ！？蒼茫の母が、司祭様を手にかけるとは……。			融和への船出							
(-若い海嘯派のサハギン族-)フスィー……！ヒトの首領の言葉とおり、あれは水神様の祝福などではなく、絶望に堕ちた異形だというのか……！			(-若い海嘯派のサハギン族-)フスィー……！ヒトの首領の言葉とおり、あれは水神様の祝福などではなく、絶望に堕ちた異形だというのか……！			融和への船出							
(-年老いた海嘯派のサハギン族-)ならば、すぐにこの場を離れようぞ！			(-年老いた海嘯派のサハギン族-)ならば、すぐにこの場を離れようぞ！			融和への船出							
(-若い海嘯派のサハギン族-)我らが母の始末を、ヒトに押しつけて逃げると？それでは、あまりに……。			(-若い海嘯派のサハギン族-)我らが母の始末を、ヒトに押しつけて逃げると？それでは、あまりに……。			融和への船出							
ここは我らに任せて退くのだ！生きてさえいれば、どんな未来もあり得よう！貴殿らと共に生きる道を歩むこととて、まだできるのだ！			ここは我らに任せて退くのだ！生きてさえいれば、どんな未来もあり得よう！貴殿らと共に生きる道を歩むこととて、まだできるのだ！			融和への船出							
(-若い海嘯派のサハギン族-)か、かたじけない……！			(-若い海嘯派のサハギン族-)か、かたじけない……！			融和への船出							
ずいぶん遅かったな。すっぽかされたのかと思ったぞ。			ずいぶん遅かったな。すっぽかされたのかと思ったぞ。			融和への船出							
そう言うなって。真打ちは遅れてやってくるもんだろ？			そう言うなって。真打ちは遅れてやってくるもんだろ？			融和への船出							
さあ、始めようぜ！			さあ、始めようぜ！			融和への船出							
許してくれとは言わない。それでも……貴女の命は、私が背負っていく。			許してくれとは言わない。それでも……貴女の命は、私が背負っていく。			融和への船出							
フスィーッ……メルウィブ殿、かたじけない……。			フスィーッ……メルウィブ殿、かたじけない……。			融和への船出							
(-年老いた海嘯派のサハギン族-)フスィーッ……我らが蒼茫の母は、海の底へと還れたのだな……。			(-年老いた海嘯派のサハギン族-)フスィーッ……我らが蒼茫の母は、海の底へと還れたのだな……。			融和への船出							
(-年老いた海嘯派のサハギン族-)ひとつ、教えてもらいたい。貴様らの力なら、我らを排することは容易かったはず。融和を進めるため、邪魔者を消そうとは思わなかったのか？			(-年老いた海嘯派のサハギン族-)ひとつ、教えてもらいたい。貴様らの力なら、我らを排することは容易かったはず。融和を進めるため、邪魔者を消そうとは思わなかったのか？			融和への船出							
……獣は、絶望に染まった心から生まれるという。だからこそ、私は希望を胸に抱いていたい。			……獣は、絶望に染まった心から生まれるという。だからこそ、私は希望を胸に抱いていたい。			融和への船出							
君たちと手を取り合って生きていく未来を、私は信じたいのだ。			君たちと手を取り合って生きていく未来を、私は信じたいのだ。			融和への船出							
女王の最期の願いは、産卵であった。故に、彼女は産卵地を目指し、そして果てた。			女王の最期の願いは、産卵であった。故に、彼女は産卵地を目指し、そして果てた。			融和への船出							
君たちが、新たな女王を立てるというならば、心安らかに産卵に臨めるよう、正式に産卵地を提供しよう。			君たちが、新たな女王を立てるというならば、心安らかに産卵に臨めるよう、正式に産卵地を提供しよう。			融和への船出							
フスィーッ……おお、それはまことでござるか！			フスィーッ……おお、それはまことでござるか！			融和への船出							
島の先住者であるコボルド族も、交渉に応じてくれると言っている。言葉を尽くして語り合えば、彼らもわかってくれるだろう。			島の先住者であるコボルド族も、交渉に応じてくれると言っている。言葉を尽くして語り合えば、彼らもわかってくれるだろう。			融和への船出							
人も、コボルド族も、サハギン族も……「このバイルブランド島で生きていきたい」という、同じ願いを抱える同胞なのだから。			人も、コボルド族も、サハギン族も……「このバイルブランド島で生きていきたい」という、同じ願いを抱える同胞なのだから。			融和への船出							
(-若い海嘯派のサハギン族-)フスィーッ……貴様らとともに偽神獣と戦っている折、私の胸の中に、これまで感じたことがない感情が生まれた。あれが、ヒトと「手を取り合って生きる」ということなのか……。			(-若い海嘯派のサハギン族-)フスィーッ……貴様らとともに偽神獣と戦っている折、私の胸の中に、これまで感じたことがない感情が生まれた。あれが、ヒトと「手を取り合って生きる」ということなのか……。			融和への船出							
フスィーッ……戦いは一族を疲弊させるだけで、得るものなどない。未来の繁栄を願うのならば、ヒトとの共存を考えていかぬか？彼女は我らの女王を救ってくれた、信ずるに値すべき相手だ。			フスィーッ……戦いは一族を疲弊させるだけで、得るものなどない。未来の繁栄を願うのならば、ヒトとの共存を考えていかぬか？彼女は我らの女王を救ってくれた、信ずるに値すべき相手だ。			融和への船出							
(-若い海嘯派のサハギン族-)そうだな……。			(-若い海嘯派のサハギン族-)そうだな……。			融和への船出							
我々の間には、互いを知るための時間がある。わかりあうための言葉がある。少しずつでいい、ともに海を見て語らおう……。			我々の間には、互いを知るための時間がある。わかりあうための言葉がある。少しずつでいい、ともに海を見て語らおう……。			融和への船出							
ロレンス団長、テメェにはいろいろと聞きてェことがある。今度は、俺たちが語り合う番だよな？			ロレンス団長、テメェにはいろいろと聞きてェことがある。今度は、俺たちが語り合う番だよな？			融和への船出							
……話せばわかってくれる……よな？			……話せばわかってくれる……よな？			融和への船出							
やれやれだな。ともかく、「溺れた海豚亭」まで戻るとしよう。			やれやれだな。ともかく、「溺れた海豚亭」まで戻るとしよう。			融和への船出							
あ、ちょうどいいところに！助けてくれよ、団長代行殿！！			あ、ちょうどいいところに！助けてくれよ、団長代行殿！！			融和への船出							
てめェ、団長！これまで散々コソコソ隠れてたくせして、急に現れやがって！最初から見てたんだったら、さっさと出てきやがれ！			てめェ、団長！これまで散々コソコソ隠れてたくせして、急に現れやがって！最初から見てたんだったら、さっさと出てきやがれ！			融和への船出							
だってよ……出たら出たで、怒るだろ、お前！			だってよ……出たら出たで、怒るだろ、お前！			融和への船出							
ったりめェだろ！俺が、旅団の解散撤回を賭けて決闘を挑んだ時、てめェがしたことを忘れたとは言わさねえぞ！			ったりめェだろ！俺が、旅団の解散撤回を賭けて決闘を挑んだ時、てめェがしたことを忘れたとは言わさねえぞ！			融和への船出							
俺はずっと、決闘の場で、てめェが来るのを待っていたんだ……なのに、待てど暮らせど、団長が現れることはなかった……！こうなりゃ、いまここで串刺しにしてやらァ！			俺はずっと、決闘の場で、てめェが来るのを待っていたんだ……なのに、待てど暮らせど、団長が現れることはなかった……！こうなりゃ、いまここで串刺しにしてやらァ！			融和への船出							
団長が絡んでいることは、予想がついちゃいたが、最後の最後まで遅刻とは、呆れ果てたぞ……。			団長が絡んでいることは、予想がついちゃいたが、最後の最後まで遅刻とは、呆れ果てたぞ……。			融和への船出							
大方、いつもみたいに道に迷っていたんでしょう。団長は、重度の方向音痴ですからね。			大方、いつもみたいに道に迷っていたんでしょう。団長は、重度の方向音痴ですからね。			融和への船出							
ランドゥネルに決闘を申し込まれた時も、本当は約束の場所へと向かってはいたんですよ。迷いに迷った挙げ句、2日遅れで到着しただけで……。			ランドゥネルに決闘を申し込まれた時も、本当は約束の場所へと向かってはいたんですよ。迷いに迷った挙げ句、2日遅れで到着しただけで……。			融和への船出							
あ、おい！それは黙ってる約束だろうが！団長の命令を無視するのか！			あ、おい！それは黙ってる約束だろうが！団長の命令を無視するのか！			融和への船出							
シュコォ……　シュコォ……ロレンス　団長　元団長～　いまの団長　ゴブたちの盟友～！			シュコォ……　シュコォ……ロレンス　団長　元団長～　いまの団長　ゴブたちの盟友～！			融和への船出							
そうだったのか、団長……。俺ァてっきり、決闘をすっぽかされたのかと……。			そうだったのか、団長……。俺ァてっきり、決闘をすっぽかされたのかと……。			融和への船出							
いや、わかってくれればいい。だからな、ランドゥネル……			いや、わかってくれればいい。だからな、ランドゥネル……			融和への船出							
なら、今！　この場で！あの日の続きといこうぜ、団長！			なら、今！　この場で！あの日の続きといこうぜ、団長！			融和への船出							
待て、落ち着け！いったん槍をしまおう……な！？			待て、落ち着け！いったん槍をしまおう……な！？			融和への船出							
ま、今更、言うまでもないことだが、このロレンスこそが、俺たち海雄旅団の団長だったのさ。			ま、今更、言うまでもないことだが、このロレンスこそが、俺たち海雄旅団の団長だったのさ。			融和への船出							
その能力は、先ほどの戦闘でよくわかっただろう？			その能力は、先ほどの戦闘でよくわかっただろう？			融和への船出							
さて、団長代行に最後の命令を下してもらわないとな。サハギン族との融和が進めば、俺たちのような蛮神専門の傭兵集団なんぞ用なしだ。			さて、団長代行に最後の命令を下してもらわないとな。サハギン族との融和が進めば、俺たちのような蛮神専門の傭兵集団なんぞ用なしだ。			融和への船出							
シュコォ……　シュコォ……海雄旅団　またなくなる？みんなと会えない　ゴブ寂しい～……			シュコォ……　シュコォ……海雄旅団　またなくなる？みんなと会えない　ゴブ寂しい～……			融和への船出							
……本当に、解散しなきゃならねェのか？やっぱてめェらと共闘すんのは悪くねェなって……思い出したところだったんだが。			……本当に、解散しなきゃならねェのか？やっぱてめェらと共闘すんのは悪くねェなって……思い出したところだったんだが。			融和への船出							
海雄旅団がなくなったって、ともに戦うことはできるさ。いつかまた、俺たちの力が世界にとって必要になった時にな。			海雄旅団がなくなったって、ともに戦うことはできるさ。いつかまた、俺たちの力が世界にとって必要になった時にな。			融和への船出							
その日が来るまで、「強き力は弱き者のために」のモットーを胸に、それぞれの道を歩んで行くんだ。			その日が来るまで、「強き力は弱き者のために」のモットーを胸に、それぞれの道を歩んで行くんだ。			融和への船出							
これで、すべてが終わった。だが、忘れてはいけないのは、救えなかった者たちも、少なからずいたということだ。			これで、すべてが終わった。だが、忘れてはいけないのは、救えなかった者たちも、少なからずいたということだ。			融和への船出							
よう、団長代行も無事で何よりだ。			よう、団長代行も無事で何よりだ。			融和への船出							
なんでこの男がここにいやがるんだッ！			なんでこの男がここにいやがるんだッ！			融和への船出							
偽神獣は、これまで相手にしたどの蛮神よりも強かった。俺もまだまだ、「技量」を磨かねぇとな……。			偽神獣は、これまで相手にしたどの蛮神よりも強かった。俺もまだまだ、「技量」を磨かねぇとな……。			融和への船出							
私が戦闘中どこにいたのか、と気になっている様子ですね。決して遊んでいたわけではなく、船を守っていたのですよ！本当ですよ！			私が戦闘中どこにいたのか、と気になっている様子ですね。決して遊んでいたわけではなく、船を守っていたのですよ！本当ですよ！			融和への船出							
シュコォ……　シュコォ……みんなで　戦う　とてとて　楽しい～！			シュコォ……　シュコォ……みんなで　戦う　とてとて　楽しい～！			融和への船出							
フスィーッ……蒼茫の母よ……安らかにお眠りくだされ……。			フスィーッ……蒼茫の母よ……安らかにお眠りくだされ……。			融和への船出							
フスィーッ……我らはいったい、何をしていたのだろうな……。			フスィーッ……我らはいったい、何をしていたのだろうな……。			融和への船出							
さて……これで任務は終わったわけだが、最後にひとつ、団長代行には仕事が残っているはずだ。もちろん頼めるよな？			さて……これで任務は終わったわけだが、最後にひとつ、団長代行には仕事が残っているはずだ。もちろん頼めるよな？			融和への船出							
何と言う？			何と言う？			融和への船出							
海雄旅団、解散！			海雄旅団、解散！			融和への船出							
ゲゲルジュのことを頼む！			ゲゲルジュのことを頼む！			融和への船出							
ふう、これでやっと平和な日々に戻ることができるな。ゲゲルジュの旦那の下働きをしてる方が、よっぽど楽ってもんだ。			ふう、これでやっと平和な日々に戻ることができるな。ゲゲルジュの旦那の下働きをしてる方が、よっぽど楽ってもんだ。			融和への船出							
だが、まぁ……お前の下で戦うのは、存外悪くなかったぜ。団長代行殿。			だが、まぁ……お前の下で戦うのは、存外悪くなかったぜ。団長代行殿。			融和への船出							
……とっととケリつけやがれ。			……とっととケリつけやがれ。			融和への船出							
何と言う？			何と言う？			融和への船出							
海雄旅団、解散！			海雄旅団、解散！			融和への船出							
鬼哭隊の原隊に復帰せよ！			鬼哭隊の原隊に復帰せよ！			融和への船出							
……ケッ。海雄旅団に未練がねェと言ったら嘘になるが、いまの俺の居場所は鬼哭隊だって、思い出したからよ。			……ケッ。海雄旅団に未練がねェと言ったら嘘になるが、いまの俺の居場所は鬼哭隊だって、思い出したからよ。			融和への船出							
じゃあな、団長代行。いつかテメェとやり合う日が来るのを、楽しみにしてるぜ。			じゃあな、団長代行。いつかテメェとやり合う日が来るのを、楽しみにしてるぜ。			融和への船出							
こっちはいつでもいいぞ。			こっちはいつでもいいぞ。			融和への船出							
何と言う？			何と言う？			融和への船出							
海雄旅団、解散！			海雄旅団、解散！			融和への船出							
ウ族のみなさんに、よろしく！			ウ族のみなさんに、よろしく！			融和への船出							
フン、いまの俺には、支えなきゃならねぇ一族がいる。こんな所で油を売ってる場合じゃねぇんだ。			フン、いまの俺には、支えなきゃならねぇ一族がいる。こんな所で油を売ってる場合じゃねぇんだ。			融和への船出							
だが、久しぶりにあいつらと暴れるのも、まぁ、悪くはなかったがな……。			だが、久しぶりにあいつらと暴れるのも、まぁ、悪くはなかったがな……。			融和への船出							
ばしっとお願いしますよ。			ばしっとお願いしますよ。			融和への船出							
何と言う？			何と言う？			融和への船出							
海雄旅団、解散！			海雄旅団、解散！			融和への船出							
美味しいワイン作りに励むべし！			美味しいワイン作りに励むべし！			融和への船出							
わかりました。傭兵としての仕事が片付いたなら、ワインポートへと戻るだけです。			わかりました。傭兵としての仕事が片付いたなら、ワインポートへと戻るだけです。			融和への船出							
長年寝かせてから飲むワインは格別です。海雄旅団も、こうしてたまに召集がかかるぐらいが、きっとちょうどいいのです。			長年寝かせてから飲むワインは格別です。海雄旅団も、こうしてたまに召集がかかるぐらいが、きっとちょうどいいのです。			融和への船出							
シュコォ……　シュコォ……団長代行　解散命令　ばっちこい～！			シュコォ……　シュコォ……団長代行　解散命令　ばっちこい～！			融和への船出							
何と言う？			何と言う？			融和への船出							
海雄旅団、解散！			海雄旅団、解散！			融和への船出							
他人に迷惑をかけないように！			他人に迷惑をかけないように！			融和への船出							
団長命令　うけたまわった～！解散　寂しいけど　仕方なし～！			団長命令　うけたまわった～！解散　寂しいけど　仕方なし～！			融和への船出							
みんなと遊べて　楽しかった！次の機会に　新兵器　お披露目できると　うれし～な！			みんなと遊べて　楽しかった！次の機会に　新兵器　お披露目できると　うれし～な！			融和への船出							
さあ、団長代行として最後の仕事だ。こいつらが、本来の居場所へと帰るための一言をかけてやってくれ。			さあ、団長代行として最後の仕事だ。こいつらが、本来の居場所へと帰るための一言をかけてやってくれ。			融和への船出							
さて、それじゃ俺も……			さて、それじゃ俺も……			融和への船出							
海雄旅団を解散した時のように、また表舞台から去るつもりか。			海雄旅団を解散した時のように、また表舞台から去るつもりか。			融和への船出							
お前が頑なに表に出ようとしないのは、力ある者が富と権力を掴む姿を見せることで、海賊時代の再到来を望む者を増やさぬためなのだろう？			お前が頑なに表に出ようとしないのは、力ある者が富と権力を掴む姿を見せることで、海賊時代の再到来を望む者を増やさぬためなのだろう？			融和への船出							
考えすぎだ。俺はただ、自由気ままに生きたいだけさ。新しい時代を切り拓くのは、若い連中に任せるぜ。			考えすぎだ。俺はただ、自由気ままに生きたいだけさ。新しい時代を切り拓くのは、若い連中に任せるぜ。			融和への船出							
サハギン族との融和が結ばれれば、蛮神問題も解決する。そうなれば、いよいよ海雄旅団のような存在は不要になる。おやっさんに託された分は、とっくに働いたしな。			サハギン族との融和が結ばれれば、蛮神問題も解決する。そうなれば、いよいよ海雄旅団のような存在は不要になる。おやっさんに託された分は、とっくに働いたしな。			融和への船出							
……デスペナルティの引き金を引いた、あの日。ともに罪を背負ってくれる友がいなければ、私の心は押し潰されていただろう。			……デスペナルティの引き金を引いた、あの日。ともに罪を背負ってくれる友がいなければ、私の心は押し潰されていただろう。			融和への船出							
感謝しているよ、ロレンス。			感謝しているよ、ロレンス。			融和への船出							
俺が、お前の罪を背負ったんじゃない。お前が、俺たちシルバーサンド一家全員の罪を背負ってくれたんだ。			俺が、お前の罪を背負ったんじゃない。お前が、俺たちシルバーサンド一家全員の罪を背負ってくれたんだ。			融和への船出							
苦労かけてすまなかったな。			苦労かけてすまなかったな。			融和への船出							
いい加減、提督なんて重荷は下ろして…………いや、これ以上は野暮ってもんだな。			いい加減、提督なんて重荷は下ろして…………いや、これ以上は野暮ってもんだな。			融和への船出							
ああ。ようやく、巨艦バイルブランドの錨を上げられそうなんだ。艦長ひとりが、先に降りるわけにはいかんさ。			ああ。ようやく、巨艦バイルブランドの錨を上げられそうなんだ。艦長ひとりが、先に降りるわけにはいかんさ。			融和への船出							
フッ……やっぱりお前は、あのおやっさんの娘だな。			フッ……やっぱりお前は、あのおやっさんの娘だな。			融和への船出							
アンタにも、ちゃんと礼を伝えてなかったな。うちの団員たちの面倒を見てくれて、ありがとな。			アンタにも、ちゃんと礼を伝えてなかったな。うちの団員たちの面倒を見てくれて、ありがとな。			融和への船出							
ともすれば、アンタとまたどこかで再会する時が来るかもしれない。だがその時、俺とアンタは初対面……ってことにしてくれ。俺の正体は、霧髭の隠し財宝並の謎にしておきたいんでね。			ともすれば、アンタとまたどこかで再会する時が来るかもしれない。だがその時、俺とアンタは初対面……ってことにしてくれ。俺の正体は、霧髭の隠し財宝並の謎にしておきたいんでね。			融和への船出							
じゃ、俺はもう行くぜ。あばよ、ふたりとも。			じゃ、俺はもう行くぜ。あばよ、ふたりとも。			融和への船出							
フスィーッ……海嘯派がヒトとの共存を受け入れられるようになれば、終末の獣に変じてしまう者もいなくなるでござろう。			フスィーッ……海嘯派がヒトとの共存を受け入れられるようになれば、終末の獣に変じてしまう者もいなくなるでござろう。			融和への船出							
同じ母から生まれた兄弟たちを説得できずして、ヒトとの融和など叶うはずもなし。			同じ母から生まれた兄弟たちを説得できずして、ヒトとの融和など叶うはずもなし。			融和への船出							
