トメラの村のジオットは、酒も呑まずに佇んでいる。			トメラの村のジオットは、酒も呑まずに佇んでいる。			誇り高き追放者							
罪喰いは生物ではない			罪喰いは生物ではない			治癒魔法の原理							
治癒魔法に罪喰いを癒やす力がない			治癒魔法に罪喰いを癒やす力がない			治癒魔法の原理							
うむ、その通りじゃ。罪喰いは、人や獣といった何らかの生物が変異した存在じゃが、生きてはいない、ということじゃな。			うむ、その通りじゃ。罪喰いは、人や獣といった何らかの生物が変異した存在じゃが、生きてはいない、ということじゃな。			治癒魔法の原理							
うむ、その通りじゃ。治癒魔法とは、方法論はどうあれ他者に生命力を分け与え、自然治癒力などを高めることで、回復へと導く術じゃからな。			うむ、その通りじゃ。治癒魔法とは、方法論はどうあれ他者に生命力を分け与え、自然治癒力などを高めることで、回復へと導く術じゃからな。			治癒魔法の原理							
すでに生命活動を止めた罪喰いは、生物ではない。光のエーテルで動く人形のようなもの……。そんな罪喰いに、治癒魔法で生命力を与えても意味はない。			すでに生命活動を止めた罪喰いは、生物ではない。光のエーテルで動く人形のようなもの……。そんな罪喰いに、治癒魔法で生命力を与えても意味はない。			治癒魔法の原理							
では、なぜソープロシュネーは、いとも簡単に、罪喰いを再生することができるのじゃ？			では、なぜソープロシュネーは、いとも簡単に、罪喰いを再生することができるのじゃ？			治癒魔法の原理							
……それにしても、今回はソープロシュネーが現れんの。罪喰いを倒してから、しばらく経つというのに……近くにおらんからなのか？			……それにしても、今回はソープロシュネーが現れんの。罪喰いを倒してから、しばらく経つというのに……近くにおらんからなのか？			治癒魔法の原理							
よくよく考えてみれば、ホルミンスターの戦いでも、やつが現れたとは聞かなかったの。数多くの罪喰いが倒されたはずなのに……。			よくよく考えてみれば、ホルミンスターの戦いでも、やつが現れたとは聞かなかったの。数多くの罪喰いが倒されたはずなのに……。			治癒魔法の原理							
何か、別の行動原理が……？			何か、別の行動原理が……？			治癒魔法の原理							
うむ、わからん！ひとまず、悩みすぎは身体に毒じゃ。クリスタリウムに戻って、一杯ひっかけるぞい！			うむ、わからん！ひとまず、悩みすぎは身体に毒じゃ。クリスタリウムに戻って、一杯ひっかけるぞい！			治癒魔法の原理							
ング、ング、ング……プハァ……。モルドの地酒も良いが、やはり、コレに限るの！			ング、ング、ング……プハァ……。モルドの地酒も良いが、やはり、コレに限るの！			治癒魔法の原理							
どうやら、ワシの身体はクリスタリウムの麦酒に、すっかり馴染んでしまったようじゃわい！			どうやら、ワシの身体はクリスタリウムの麦酒に、すっかり馴染んでしまったようじゃわい！			治癒魔法の原理							
……恐ろしいほど、どうでもいいという顔をしておるの！お前さん、もう少し、人生を楽しんだほうがいいと思うぞい？			……恐ろしいほど、どうでもいいという顔をしておるの！お前さん、もう少し、人生を楽しんだほうがいいと思うぞい？			治癒魔法の原理							
ワシが酒を呑もうが、呑むまいが、ソープロシュネーを今すぐ倒せるわけではないからの！			ワシが酒を呑もうが、呑むまいが、ソープロシュネーを今すぐ倒せるわけではないからの！			治癒魔法の原理							
とにかく、ワシは何かを見落としている気がするんじゃ！その「何か」を思い出すまで酒を呑むゆえ、お前さんは修行なり何なり、有意義に過ごすがいいぞい！			とにかく、ワシは何かを見落としている気がするんじゃ！その「何か」を思い出すまで酒を呑むゆえ、お前さんは修行なり何なり、有意義に過ごすがいいぞい！			治癒魔法の原理							
