格闘士ギルド受付のガガルナは、冒険者に依頼があるようだ。			格闘士ギルド受付のガガルナは、冒険者に依頼があるようだ。			亡国からの雷動							
へへ……アタシ、強くなれたかな？			へへ……アタシ、強くなれたかな？			何を以て何を成すか							
ハァ……ハァ……修行の疲れもそのままに、急いで来たので、息が……。			ハァ……ハァ……修行の疲れもそのままに、急いで来たので、息が……。			何を以て何を成すか							
Forename、あらためてお礼を。我々に戦い方を教えてくれて、ありがとうございます。あなたのおかげで、エリック博士を助けることができました。			Forename、あらためてお礼を。我々に戦い方を教えてくれて、ありがとうございます。あなたのおかげで、エリック博士を助けることができました。			何を以て何を成すか							
博士に大きな怪我はありませんでしたが、念のため、村の治療師に見ていただいています。			博士に大きな怪我はありませんでしたが、念のため、村の治療師に見ていただいています。			何を以て何を成すか							
エリック博士の治療が終わり次第、テオバルドに決闘を申し込みます。少しの間、待っていてください。			エリック博士の治療が終わり次第、テオバルドに決闘を申し込みます。少しの間、待っていてください。			何を以て何を成すか							
ようやくアタシらの拳が骸旅団に届いた。Forenameのキツいしごきのおかげだ。本当に……キツかった……な……。			ようやくアタシらの拳が骸旅団に届いた。Forenameのキツいしごきのおかげだ。本当に……キツかった……な……。			何を以て何を成すか							
少し休んだら、鍛錬を再開します。あなたに教えていただいた戦い方を、もっと自分のものにするために！			少し休んだら、鍛錬を再開します。あなたに教えていただいた戦い方を、もっと自分のものにするために！			何を以て何を成すか							
アラガーナのウィダルゲルトは、決意を固めたようだ。			アラガーナのウィダルゲルトは、決意を固めたようだ。			大切なものを守る力							
ウィダルゲルトは、テオバルドに決闘を申し込むようだ。ギラバニア山岳地帯のラストロックにいる「テオバルド」に、「ウィダルゲルトの挑戦状」を渡そう。			ウィダルゲルトは、テオバルドに決闘を申し込むようだ。ギラバニア山岳地帯のラストロックにいる「テオバルド」に、「ウィダルゲルトの挑戦状」を渡そう。			大切なものを守る力							
テオバルドは、ウィダルゲルトの決闘を受けるようだ。ギラバニア辺境地帯のスキズム開山堂にいる「ウィダルゲルト」と話そう。			テオバルドは、ウィダルゲルトの決闘を受けるようだ。ギラバニア辺境地帯のスキズム開山堂にいる「ウィダルゲルト」と話そう。			大切なものを守る力							
ウィダルゲルトは、テオバルドへの雪辱を果たした。ギラバニア辺境地帯にいるウィダルゲルトと勝利を分かち合おう。			ウィダルゲルトは、テオバルドへの雪辱を果たした。ギラバニア辺境地帯にいるウィダルゲルトと勝利を分かち合おう。			大切なものを守る力							
ウィダルゲルトはアラガーナの民たちにあらためて星導教の復興を宣言した。アラガーナの「ハモン」「チャクハ」「エリック」と話そう。			ウィダルゲルトはアラガーナの民たちにあらためて星導教の復興を宣言した。アラガーナの「ハモン」「チャクハ」「エリック」と話そう。			大切なものを守る力							
ハモンたち格闘士ギルドの面々は、ウィダルゲルトの演説を称えると、ウルダハへの帰路についた。ゼンツァとチャクハは、これからもウィダルゲルトの横で、星導教の復興を支えていくようだ。エリックは、ウィダルゲルトが運命に振り回されることなく歩いて来られたことに安堵したようだ。「ウィダルゲルト」と話そう。			ハモンたち格闘士ギルドの面々は、ウィダルゲルトの演説を称えると、ウルダハへの帰路についた。ゼンツァとチャクハは、これからもウィダルゲルトの横で、星導教の復興を支えていくようだ。エリックは、ウィダルゲルトが運命に振り回されることなく歩いて来られたことに安堵したようだ。「ウィダルゲルト」と話そう。			大切なものを守る力							
ウィダルゲルトは、新たな星導教の教えをギラバニア全土に広めるため、長い旅に出た。これからもモンクの心と技で、多くの人の力になろう。※以下の条件を満たすと、彫金師ギルドのエリックから、新たなジョブクエストを受注することができます。1.「漆黒のヴィランズ」のプレイ権を所有している。2.「メインクエスト：漆黒のヴィランズ」の、　「漆黒のヴィランズ」を完了する。3.ファイター系DPSロールの「ロールクエスト 漆黒編」を完了する。			ウィダルゲルトは、新たな星導教の教えをギラバニア全土に広めるため、長い旅に出た。これからもモンクの心と技で、多くの人の力になろう。※以下の条件を満たすと、彫金師ギルドのエリックから、新たなジョブクエストを受注することができます。1.「漆黒のヴィランズ」のプレイ権を所有している。2.「メインクエスト：漆黒のヴィランズ」の、　「漆黒のヴィランズ」を完了する。3.ファイター系DPSロールの「ロールクエスト 漆黒編」を完了する。			大切なものを守る力							
ラストロックにいるテオバルドにウィダルゲルトの挑戦状を渡す			ラストロックにいるテオバルドにウィダルゲルトの挑戦状を渡す			大切なものを守る力							
スキズム開山堂のウィダルゲルトと話す			スキズム開山堂のウィダルゲルトと話す			大切なものを守る力							
ハモンと話す			ハモンと話す			大切なものを守る力							
チャクハと話す			チャクハと話す			大切なものを守る力							
エリックと話す			エリックと話す			大切なものを守る力							
ウィダルゲルトと話す			ウィダルゲルトと話す			大切なものを守る力							
敵を殲滅せよ！			敵を殲滅せよ！			大切なものを守る力							
エリック博士の治療も終わったようですし、いよいよテオバルドに決闘を申し込もうと思います。			エリック博士の治療も終わったようですし、いよいよテオバルドに決闘を申し込もうと思います。			大切なものを守る力							
博士によれば、奴らはラストロックを根城にしているようです。あとは、どうやって挑戦状を届けるか、ですが……。			博士によれば、奴らはラストロックを根城にしているようです。あとは、どうやって挑戦状を届けるか、ですが……。			大切なものを守る力							
誰が挑戦状を渡す？			誰が挑戦状を渡す？			大切なものを守る力							
自分が行く			自分が行く			大切なものを守る力							
ウィダルゲルトに行かせる			ウィダルゲルトに行かせる			大切なものを守る力							
Forenameが届けてくれると？しかし、また奴らが罠を仕掛けてくるかもしれない。ここは僕が行きます。			Forenameが届けてくれると？しかし、また奴らが罠を仕掛けてくるかもしれない。ここは僕が行きます。			大切なものを守る力							
ええ、Forenameの言うとおり、やはり、ここは僕が行くべきでしょう。			ええ、Forenameの言うとおり、やはり、ここは僕が行くべきでしょう。			大切なものを守る力							
待ってください。師匠自ら行ってしまっては、その場で戦闘になりかねません。やはり、ここはForenameさんに。			待ってください。師匠自ら行ってしまっては、その場で戦闘になりかねません。やはり、ここはForenameさんに。			大切なものを守る力							
人質さえいなければ、Forenameに敵なしだろうしな！			人質さえいなければ、Forenameに敵なしだろうしな！			大切なものを守る力							
すみません、Forename……。では、この挑戦状をラストロックにいるらしい、「テオバルド」に手渡してください……頼みましたよ。			すみません、Forename……。では、この挑戦状をラストロックにいるらしい、「テオバルド」に手渡してください……頼みましたよ。			大切なものを守る力							
いよいよ決着のときか……アタシも気合入れてかねえとな！			いよいよ決着のときか……アタシも気合入れてかねえとな！			大切なものを守る力							
……大丈夫、師匠は負けません。Forenameさん直々の、地獄のような鍛錬を越えてきたんですから。			……大丈夫、師匠は負けません。Forenameさん直々の、地獄のような鍛錬を越えてきたんですから。			大切なものを守る力							
おや、貴様は確か……あの馬の骨の仲間だったか。して、何用で参った？			おや、貴様は確か……あの馬の骨の仲間だったか。して、何用で参った？			大切なものを守る力							
ふむ……挑戦状とは古風なことを……。ふたたび負けるために、決闘を望むとは大きくでたものだな！			ふむ……挑戦状とは古風なことを……。ふたたび負けるために、決闘を望むとは大きくでたものだな！			大切なものを守る力							
いいだろう。もう一度くらい叩き潰しておかねばならないだろうと、思っていたところだ。			いいだろう。もう一度くらい叩き潰しておかねばならないだろうと、思っていたところだ。			大切なものを守る力							
戦いの舞台は「スキズム開山堂」だったな？先に「ウィダルゲルト」……いや、テオドレッドに伝えておけ。己の首を埋葬するための塚を用意しておけとな！			戦いの舞台は「スキズム開山堂」だったな？先に「ウィダルゲルト」……いや、テオドレッドに伝えておけ。己の首を埋葬するための塚を用意しておけとな！			大切なものを守る力							
あなたに早く修行の成果をご覧に入れたい。			あなたに早く修行の成果をご覧に入れたい。			大切なものを守る力							
挑戦状を届けてくださったのですね？ありがとうございます……。			挑戦状を届けてくださったのですね？ありがとうございます……。			大切なものを守る力							
見てのとおり、すでにアラガーナの人々を招いてあります。あとは、テオバルドが現れるのを待つばかりですが、相手は何をしかけてくるかわかりません。			見てのとおり、すでにアラガーナの人々を招いてあります。あとは、テオバルドが現れるのを待つばかりですが、相手は何をしかけてくるかわかりません。			大切なものを守る力							
決闘は、1対1で行うつもりですが、奴らは前回、卑怯な奇襲をしかけてきた相手……。不測の事態に備えておいてくださいね。			決闘は、1対1で行うつもりですが、奴らは前回、卑怯な奇襲をしかけてきた相手……。不測の事態に備えておいてくださいね。			大切なものを守る力							
しかし、案ずることはありません。もしそうなっても、修行で身につけた新しい技があります。大切なものを守るための力を追い求めた果てに、生まれた技が。			しかし、案ずることはありません。もしそうなっても、修行で身につけた新しい技があります。大切なものを守るための力を追い求めた果てに、生まれた技が。			大切なものを守る力							
わざわざ、己の敗北を見せつけるために、観客を用意するとは、殊勝なことをしてくれる……。この者らには、星導教の消滅を見届ける証し人となってもらおう。			わざわざ、己の敗北を見せつけるために、観客を用意するとは、殊勝なことをしてくれる……。この者らには、星導教の消滅を見届ける証し人となってもらおう。			大切なものを守る力							
すべてを奪われたアラミゴの民を救うのは、絶対的な支配者による庇護である！偶像崇拝や信仰など、この国には必要ないのだ！			すべてを奪われたアラミゴの民を救うのは、絶対的な支配者による庇護である！偶像崇拝や信仰など、この国には必要ないのだ！			大切なものを守る力							
それでは帝国と同じだ！アラミゴの民は力による支配など望んではいない！彼らに必要なのは、希望そのものなんだ！			それでは帝国と同じだ！アラミゴの民は力による支配など望んではいない！彼らに必要なのは、希望そのものなんだ！			大切なものを守る力							
僕は、星導教を復興することで、彼らの心に希望を取り戻したい。			僕は、星導教を復興することで、彼らの心に希望を取り戻したい。			大切なものを守る力							
王政復古などやめて、力を貸してくれませんか。あなたには、その資格があるはずだ。			王政復古などやめて、力を貸してくれませんか。あなたには、その資格があるはずだ。			大切なものを守る力							
もう、正体を隠す必要はありません。その槍術の使い手は、僕の思い出の中にはひとりしかいない。仮面を外して、素顔を見せてください……アドリ。			もう、正体を隠す必要はありません。その槍術の使い手は、僕の思い出の中にはひとりしかいない。仮面を外して、素顔を見せてください……アドリ。			大切なものを守る力							
…………クックック。			…………クックック。			大切なものを守る力							
アドリ……その名を聞くのも久しいな。愚鈍な奴と侮っていたが、かつて共に星導山寺院で過ごした日々が、お前を思い起こさせたか。			アドリ……その名を聞くのも久しいな。愚鈍な奴と侮っていたが、かつて共に星導山寺院で過ごした日々が、お前を思い起こさせたか。			大切なものを守る力							
どうしてあなたが、自身を偽ってまで、星導教を滅ぼそうとするんです！			どうしてあなたが、自身を偽ってまで、星導教を滅ぼそうとするんです！			大切なものを守る力							
……孤児だった私にとって、居場所と呼べるものは、星導山寺院をおいてほかになかった。			……孤児だった私にとって、居場所と呼べるものは、星導山寺院をおいてほかになかった。			大切なものを守る力							
しかし、その居場所も廃王の焼き討ちによって奪われた。アラミゴ最強の闘士と謳われた星導教のモンク僧たちも、王の強大な力の前には手も足も出なかった……。			しかし、その居場所も廃王の焼き討ちによって奪われた。アラミゴ最強の闘士と謳われた星導教のモンク僧たちも、王の強大な力の前には手も足も出なかった……。			大切なものを守る力							
そのとき私は知ったのだ。人が生まれ持った血の力というのは、これほどまでに大きいのだと！			そのとき私は知ったのだ。人が生まれ持った血の力というのは、これほどまでに大きいのだと！			大切なものを守る力							
どれだけ研鑽を重ね、武を磨こうが、絶対的な力の前では無力！生まれながらに、力を持ち合わせていない私は、奪われる側でしかないのだと気づいたのだ！			どれだけ研鑽を重ね、武を磨こうが、絶対的な力の前では無力！生まれながらに、力を持ち合わせていない私は、奪われる側でしかないのだと気づいたのだ！			大切なものを守る力							
だが、貴様は生まれながらに持っていた！アラミゴ王家の血という、掛け替えのない力を！だというのに解放運動から身を引き、弱き星導教を復興するだと？			だが、貴様は生まれながらに持っていた！アラミゴ王家の血という、掛け替えのない力を！だというのに解放運動から身を引き、弱き星導教を復興するだと？			大切なものを守る力							
私は鉄仮面の影武者だった身……貴様が立ち上がらぬのなら、王の影となってこの国を救う！それを止める権利は、貴様だけにはないのだ！			私は鉄仮面の影武者だった身……貴様が立ち上がらぬのなら、王の影となってこの国を救う！それを止める権利は、貴様だけにはないのだ！			大切なものを守る力							
人が何を成すべきかは、血が決めることではない！何かを成そうとする人の意志が決めるのだ！そして僕は、大切なものを守る力になると誓った！			人が何を成すべきかは、血が決めることではない！何かを成そうとする人の意志が決めるのだ！そして僕は、大切なものを守る力になると誓った！			大切なものを守る力							
いつまでもくだらん綺麗ごとをッ！所詮、弱者に生まれた者の気持ちなど、貴様にはわかるまいな！王家の血を引く、強者になる資格を持った貴様にはなァ！			いつまでもくだらん綺麗ごとをッ！所詮、弱者に生まれた者の気持ちなど、貴様にはわかるまいな！王家の血を引く、強者になる資格を持った貴様にはなァ！			大切なものを守る力							
僕は星導教のモンク、ウィダルゲルトだ！テオドレッドなどではない！そしてそれは、これからも変わることはない！			僕は星導教のモンク、ウィダルゲルトだ！テオドレッドなどではない！そしてそれは、これからも変わることはない！			大切なものを守る力							
そして、星導教の復興を使命とする我が魂には、王家の血など一滴たりとも流れてはいないこと…………この一撃で教えてやる！			そして、星導教の復興を使命とする我が魂には、王家の血など一滴たりとも流れてはいないこと…………この一撃で教えてやる！			大切なものを守る力							
どこぞの超自然探求者から、おもしろい決闘が見られると聞いての。派手な喧嘩になるのであれば、ワシらも参加させてもらうぞい。他流試合を逃がしてから、鬱憤も溜まっておってな。			どこぞの超自然探求者から、おもしろい決闘が見られると聞いての。派手な喧嘩になるのであれば、ワシらも参加させてもらうぞい。他流試合を逃がしてから、鬱憤も溜まっておってな。			大切なものを守る力							
もうやめるんだ、アドリ！やり方に違いはあれど、目指すものは同じなはずだ！かつてともに修行した者として、星導教復興に力を貸してくれ！			もうやめるんだ、アドリ！やり方に違いはあれど、目指すものは同じなはずだ！かつてともに修行した者として、星導教復興に力を貸してくれ！			大切なものを守る力							
うるさいッ！　とうの昔に棄てた名で、私を呼ぶな！私はアラミゴを統べる次代の王、テオバルドだ！ここで貴様を殺せば、それが真実となろう！！			うるさいッ！　とうの昔に棄てた名で、私を呼ぶな！私はアラミゴを統べる次代の王、テオバルドだ！ここで貴様を殺せば、それが真実となろう！！			大切なものを守る力							
帝国を圧倒する力と言いながら、魔導兵器に頼るとは……。王政復古のためならば、手段は厭わないという決意の表れか。ならば、その歪んだ想いは、僕たちの武で正す！			帝国を圧倒する力と言いながら、魔導兵器に頼るとは……。王政復古のためならば、手段は厭わないという決意の表れか。ならば、その歪んだ想いは、僕たちの武で正す！			大切なものを守る力							
Forename、みんな！この戦いで、人々に希望を示すぞ！			Forename、みんな！この戦いで、人々に希望を示すぞ！			大切なものを守る力							
無駄な戦いはもうやめるんだ、アドリ！			無駄な戦いはもうやめるんだ、アドリ！			大切なものを守る力							
思い上がるなよ、テオドレッド！王政復古のため、私は退くわけにはいかんのだ！			思い上がるなよ、テオドレッド！王政復古のため、私は退くわけにはいかんのだ！			大切なものを守る力							
僕がアドリをひきつけます！Forename、あなたたちは骸旅団の相手を！			僕がアドリをひきつけます！Forename、あなたたちは骸旅団の相手を！			大切なものを守る力							
体力が減ったときは、僕のそばまで来てください！新たに会得した技で癒します！			体力が減ったときは、僕のそばまで来てください！新たに会得した技で癒します！			大切なものを守る力							
フハハハハハ！我が野望の前に果てろ！テオドレッドォ！			フハハハハハ！我が野望の前に果てろ！テオドレッドォ！			大切なものを守る力							
まだこれだけの戦力を残していたか……！			まだこれだけの戦力を残していたか……！			大切なものを守る力							
チュチュト、ルルクタ！ワシらは雑魚をやるぞい！			チュチュト、ルルクタ！ワシらは雑魚をやるぞい！			大切なものを守る力							
息上がってるわよ、ルルクタ！気合入れなさい！			息上がってるわよ、ルルクタ！気合入れなさい！			大切なものを守る力							
フン……どれだけ雑魚を集めたところで！			フン……どれだけ雑魚を集めたところで！			大切なものを守る力							
あの冒険者……やはり捨て置けんな。特殊兵装「動体感知ジャマー」とやらを使ってみるか！			あの冒険者……やはり捨て置けんな。特殊兵装「動体感知ジャマー」とやらを使ってみるか！			大切なものを守る力							
あの攻撃……人の動きに反応しているのか……！？Forename、注意してください！			あの攻撃……人の動きに反応しているのか……！？Forename、注意してください！			大切なものを守る力							
まだ来るの……！？			まだ来るの……！？			大切なものを守る力							
王政復古のためならば……帝国の兵器であろうが、利用させてもらう！			王政復古のためならば……帝国の兵器であろうが、利用させてもらう！			大切なものを守る力							
そんなやり方で手に入れた理想に……アラミゴの民たちがついてくると思うのか！			そんなやり方で手に入れた理想に……アラミゴの民たちがついてくると思うのか！			大切なものを守る力							
デカブツはワシに任せてもらおう！「拳聖のハモン」の力を見せるには丁度いい相手じゃわい！			デカブツはワシに任せてもらおう！「拳聖のハモン」の力を見せるには丁度いい相手じゃわい！			大切なものを守る力							
さあ、残るはお前だけだ！　アドリ！			さあ、残るはお前だけだ！　アドリ！			大切なものを守る力							
骸旅団がやられたか……情けない連中だ。所詮、奴らも時代の波に呑まれた者ということ……。			骸旅団がやられたか……情けない連中だ。所詮、奴らも時代の波に呑まれた者ということ……。			大切なものを守る力							
しかし、私は違う！貴様らごときに、私の理想を潰すことはできん！			しかし、私は違う！貴様らごときに、私の理想を潰すことはできん！			大切なものを守る力							
もうやめるんだ、アドリ！これ以上の戦いは無意味だ！			もうやめるんだ、アドリ！これ以上の戦いは無意味だ！			大切なものを守る力							
黙れ、テオドレッド！祖国を憂うこの気持ち、貴様にはわかるまい！			黙れ、テオドレッド！祖国を憂うこの気持ち、貴様にはわかるまい！			大切なものを守る力							
ならば仕方ない……！みんな！　奴の乗る魔導兵器を破壊するぞ！			ならば仕方ない……！みんな！　奴の乗る魔導兵器を破壊するぞ！			大切なものを守る力							
私の掲げる理想がわからぬ愚か者どもめ！ならば、共に七獄まで道連れにしてやろう、テオドレッド！！			私の掲げる理想がわからぬ愚か者どもめ！ならば、共に七獄まで道連れにしてやろう、テオドレッド！！			大切なものを守る力							
志半ばで……倒れるわけには……			志半ばで……倒れるわけには……			大切なものを守る力							
また……奪われるのか……私の……い……			また……奪われるのか……私の……い……			大切なものを守る力							
ぐぅ……寄る年波には勝てんのう……			ぐぅ……寄る年波には勝てんのう……			大切なものを守る力							
そんな……師匠……ルルクタ……			そんな……師匠……ルルクタ……			大切なものを守る力							
チッ……油断したか……			チッ……油断したか……			大切なものを守る力							
なんで……だよ……			なんで……だよ……			大切なものを守る力							
ごめんなさい……あとは頼みます……			ごめんなさい……あとは頼みます……			大切なものを守る力							
アタシ、信じてるんだ。師匠の拳が、必ず奴を打ち倒すってな。			アタシ、信じてるんだ。師匠の拳が、必ず奴を打ち倒すってな。			大切なものを守る力							
いよいよ、ですね……。			いよいよ、ですね……。			大切なものを守る力							
アドリ。次は、星導教の教えを受けた同志らしく、拳で語り合いたいものですね…………。			アドリ。次は、星導教の教えを受けた同志らしく、拳で語り合いたいものですね…………。			大切なものを守る力							
星導教を背負うには、僕はあまりに弱い。ですが、どんな危機が訪れようとも、僕は絶対に諦めない。何度でも立ち上がってみせる！			星導教を背負うには、僕はあまりに弱い。ですが、どんな危機が訪れようとも、僕は絶対に諦めない。何度でも立ち上がってみせる！			大切なものを守る力							
だから……みんなで作りましょう！王族も孤児もない、陰も陽もない、すべての人の居場所となる……新しいラールガー星導教を！			だから……みんなで作りましょう！王族も孤児もない、陰も陽もない、すべての人の居場所となる……新しいラールガー星導教を！			大切なものを守る力							
お前のそのひたむきな姿勢を見たアラミゴの民は、再び心に希望を取り戻し、星導教の門扉を叩くことだろう。次こそ、自分自身の力で大切なものを守るために……な。			お前のそのひたむきな姿勢を見たアラミゴの民は、再び心に希望を取り戻し、星導教の門扉を叩くことだろう。次こそ、自分自身の力で大切なものを守るために……な。			大切なものを守る力							
さて、ひとまず「アラガーナ」へと戻るとするか……。吾輩の急な要請に応えてくれた格闘士ギルドの連中に、礼を言わなければならないしな。			さて、ひとまず「アラガーナ」へと戻るとするか……。吾輩の急な要請に応えてくれた格闘士ギルドの連中に、礼を言わなければならないしな。			大切なものを守る力							
彼の演説、なかなかに立派であったのう。少々、青臭いが聴き入ってしまったわい。			彼の演説、なかなかに立派であったのう。少々、青臭いが聴き入ってしまったわい。			大切なものを守る力							
骸旅団の連中は、またしばらくの間はザナラーンに引きこもっているだろう。さんざん痛めつけてやったからな。			骸旅団の連中は、またしばらくの間はザナラーンに引きこもっているだろう。さんざん痛めつけてやったからな。			大切なものを守る力							
いやはや、久しぶりにハシャぎすぎてしまったのう。年寄りにはちと堪えるわい。			いやはや、久しぶりにハシャぎすぎてしまったのう。年寄りにはちと堪えるわい。			大切なものを守る力							
でも、久しぶりの実戦はいい修行になりましたね！			でも、久しぶりの実戦はいい修行になりましたね！			大切なものを守る力							
フン、準備運動にもならなかったがな。			フン、準備運動にもならなかったがな。			大切なものを守る力							
アンタ、そんなこと言って息上がってるじゃない！			アンタ、そんなこと言って息上がってるじゃない！			大切なものを守る力							
フォッフォッフォ、それじゃ、ワシらはウルダハに戻るかの。次はセクシーモンクのゼンツァちゃんと、チャクハちゃんに、格闘士ギルドに来てほしいもんじゃがの！			フォッフォッフォ、それじゃ、ワシらはウルダハに戻るかの。次はセクシーモンクのゼンツァちゃんと、チャクハちゃんに、格闘士ギルドに来てほしいもんじゃがの！			大切なものを守る力							
あんなことや、こんなことを、組んずほぐれつ指導したいもんじゃわい！			あんなことや、こんなことを、組んずほぐれつ指導したいもんじゃわい！			大切なものを守る力							
このくそジジイ！			このくそジジイ！			大切なものを守る力							
ではの、達者でな、Forename。久々に楽しませてもらったぞい。			ではの、達者でな、Forename。久々に楽しませてもらったぞい。			大切なものを守る力							
あ、Forenameさん。おつかれさまです。やっと一息つけますね。			あ、Forenameさん。おつかれさまです。やっと一息つけますね。			大切なものを守る力							
ったく、師匠もお人好しだよな。集落の人たちにニセ王様を手当てするように、頭を下げて頼んだんだろ？			ったく、師匠もお人好しだよな。集落の人たちにニセ王様を手当てするように、頭を下げて頼んだんだろ？			大切なものを守る力							
私たちの目的は星導教の復興で、復讐じゃないからね。			私たちの目的は星導教の復興で、復讐じゃないからね。			大切なものを守る力							
まあ……そうだけどよ。なんにせよ、これで星導教の復興を阻むものはなくなった、か？			まあ……そうだけどよ。なんにせよ、これで星導教の復興を阻むものはなくなった、か？			大切なものを守る力							
そうだね、まだ一歩を踏み出しただけだけど、いずれアラガーナだけじゃなく、都市部にも足を運んで、ギラバニアに広く星導教の教えを広めるのが、私たちの目標だよ！			そうだね、まだ一歩を踏み出しただけだけど、いずれアラガーナだけじゃなく、都市部にも足を運んで、ギラバニアに広く星導教の教えを広めるのが、私たちの目標だよ！			大切なものを守る力							
そいつは骨が折れそうだ。アタシらがしっかりと師匠を支えてやんねえとな。			そいつは骨が折れそうだ。アタシらがしっかりと師匠を支えてやんねえとな。			大切なものを守る力							
いつまでもForenameさんに頼ってばかりもいられないしね。私たちももっと強くなろう！			いつまでもForenameさんに頼ってばかりもいられないしね。私たちももっと強くなろう！			大切なものを守る力							
……んじゃ早速、鍛錬でもしに行くかな。			……んじゃ早速、鍛錬でもしに行くかな。			大切なものを守る力							
あ、待ってよゼンツァ！　私も行くってば！……それじゃあForenameさん。いろいろとありがとうございました！			あ、待ってよゼンツァ！　私も行くってば！……それじゃあForenameさん。いろいろとありがとうございました！			大切なものを守る力							
今回、星導教のために戦う君たちを見て、吾輩にも戦う力があればと……どんなに思ったことか。息子も……こんな気持ちだったのかもしれないな。			今回、星導教のために戦う君たちを見て、吾輩にも戦う力があればと……どんなに思ったことか。息子も……こんな気持ちだったのかもしれないな。			大切なものを守る力							
……いや、感傷に浸るのはよそう。吾輩は常に学者らしく、事実を観察し、事象を記録する。そして、悩める若者に必要な知識を、提示していくのだ。			……いや、感傷に浸るのはよそう。吾輩は常に学者らしく、事実を観察し、事象を記録する。そして、悩める若者に必要な知識を、提示していくのだ。			大切なものを守る力							
だがな、これだけは言わせてくれ。ウィダルゲルトが運命に振り回されることなく歩めたのは、吾輩よりも、君の力に依るところが大きい。			だがな、これだけは言わせてくれ。ウィダルゲルトが運命に振り回されることなく歩めたのは、吾輩よりも、君の力に依るところが大きい。			大切なものを守る力							
吾輩からも礼を言う。ありがとう。			吾輩からも礼を言う。ありがとう。			大切なものを守る力							
さて、それでは吾輩はウルダハへと帰るとしよう。吾輩の本業は、ウィダルゲルトの保護者などではなく、偉大なる超自然学者だからな！			さて、それでは吾輩はウルダハへと帰るとしよう。吾輩の本業は、ウィダルゲルトの保護者などではなく、偉大なる超自然学者だからな！			大切なものを守る力							
君も、何か知りたいことがあれば吾輩を訪ねるがよい。それではな。			君も、何か知りたいことがあれば吾輩を訪ねるがよい。それではな。			大切なものを守る力							
アンタのおかげで、今回は後れをとることはなかったぜ…………ありがとな、Forename。			アンタのおかげで、今回は後れをとることはなかったぜ…………ありがとな、Forename。			大切なものを守る力							
星導教の型って、私たち格闘士ギルドの型に似てるのね。……さては、あなたが何か仕込んだのね？			星導教の型って、私たち格闘士ギルドの型に似てるのね。……さては、あなたが何か仕込んだのね？			大切なものを守る力							
やはり「拳聖のハモン」は伊達ではない……今後もこの人の下で武を磨ぎ続ければ、俺もいずれは、「崑崙八象脚のルルクタ」などと呼ばれる日が……ククク。			やはり「拳聖のハモン」は伊達ではない……今後もこの人の下で武を磨ぎ続ければ、俺もいずれは、「崑崙八象脚のルルクタ」などと呼ばれる日が……ククク。			大切なものを守る力							
みんなとの話が終わったら、僕からもあなたに話したいことがあります。			みんなとの話が終わったら、僕からもあなたに話したいことがあります。			大切なものを守る力							
今回のことがあって、僕は、自分がどれだけ多くの人たちに支えられてきたのか、改めて実感しました。			今回のことがあって、僕は、自分がどれだけ多くの人たちに支えられてきたのか、改めて実感しました。			大切なものを守る力							
僕の力になってくれた人たちに報いるためにも、二度と星導教の復興を諦めたりしません。			僕の力になってくれた人たちに報いるためにも、二度と星導教の復興を諦めたりしません。			大切なものを守る力							
特にあなたには、本当にお世話になりました。Forename、あなたは僕にとって、強さと優しさを教えてくれた……師匠のような存在です。			特にあなたには、本当にお世話になりました。Forename、あなたは僕にとって、強さと優しさを教えてくれた……師匠のような存在です。			大切なものを守る力							
これからも、その清き心を以て、多くの人の力になってあげてください。			これからも、その清き心を以て、多くの人の力になってあげてください。			大切なものを守る力							
これから僕は、ふたりの弟子とともに、ギラバニア全土に教えを広めるための旅に出ます。どれほど時間がかかるかわかりませんが、やり遂げてみせますよ。			これから僕は、ふたりの弟子とともに、ギラバニア全土に教えを広めるための旅に出ます。どれほど時間がかかるかわかりませんが、やり遂げてみせますよ。			大切なものを守る力							
僕もいい加減、自分の足で歩いて行かなければ……。あなたと出会った頃と違い、僕はもう、ひとりではないのだから。			僕もいい加減、自分の足で歩いて行かなければ……。あなたと出会った頃と違い、僕はもう、ひとりではないのだから。			大切なものを守る力							
それでは、Forename。どうか、お元気で。			それでは、Forename。どうか、お元気で。			大切なものを守る力							
「モンク」の物語が、ひとつの区切りを迎えました！次の「モンク」のジョブクエストを開始するためには、以下の条件を満たす必要があります。			「モンク」の物語が、ひとつの区切りを迎えました！次の「モンク」のジョブクエストを開始するためには、以下の条件を満たす必要があります。			大切なものを守る力							
1.「漆黒のヴィランズ」のプレイ権を所有している。2.「メインクエスト：漆黒のヴィランズ」の、　「漆黒のヴィランズ」を完了する。			1.「漆黒のヴィランズ」のプレイ権を所有している。2.「メインクエスト：漆黒のヴィランズ」の、　「漆黒のヴィランズ」を完了する。			大切なものを守る力							
3.ファイター系DPSロールの、　「ロールクエスト 漆黒編」を完了する。			3.ファイター系DPSロールの、　「ロールクエスト 漆黒編」を完了する。			大切なものを守る力							
条件を満たし、彫金師ギルドの「エリック」に話しかけ、新たなジョブクエストを開始しましょう！			条件を満たし、彫金師ギルドの「エリック」に話しかけ、新たなジョブクエストを開始しましょう！			大切なものを守る力							
彫金師ギルドのエリックは、冒険者に伝えたいことがあるようだ。			彫金師ギルドのエリックは、冒険者に伝えたいことがあるようだ。			ラールガー星導教を継ぐ者として							
