レヴナンツトールのシ・ルン・ティアは、今後の修行について考えているようだ。			レヴナンツトールのシ・ルン・ティアは、今後の修行について考えているようだ。			不可避の定め							
でも、アリアは死霊の類が苦手じゃなかった？			でも、アリアは死霊の類が苦手じゃなかった？			その志、剣を通じて受け継がれん							
……はい。もう一度、弟子入りを認めてくれたんですもんね。機会を与えてくれたのなら、しっかりと答えなきゃ。			……はい。もう一度、弟子入りを認めてくれたんですもんね。機会を与えてくれたのなら、しっかりと答えなきゃ。			その志、剣を通じて受け継がれん							
こ、怖くて戸惑ったわけじゃありません！それに、師匠の仲間なら化けて出ても……き、きっと大丈夫です！			こ、怖くて戸惑ったわけじゃありません！それに、師匠の仲間なら化けて出ても……き、きっと大丈夫です！			その志、剣を通じて受け継がれん							
よし、今こそ、ここに誓い合おうじゃないか。今後も、人々のための「抗う力」であろうと！			よし、今こそ、ここに誓い合おうじゃないか。今後も、人々のための「抗う力」であろうと！			その志、剣を通じて受け継がれん							
さっそく身につけてみました……。今は重く感じるけど、いつかこの重みもなんなく背負える、一流の赤魔道士になってみせます！			さっそく身につけてみました……。今は重く感じるけど、いつかこの重みもなんなく背負える、一流の赤魔道士になってみせます！			その志、剣を通じて受け継がれん							
さて、アラミゴでの用事も済んだ。本当なら、アリアと一緒にモードゥナへ戻りたいんだが……すまないな、もう少しひとり旅を続けさせてくれ。			さて、アラミゴでの用事も済んだ。本当なら、アリアと一緒にモードゥナへ戻りたいんだが……すまないな、もう少しひとり旅を続けさせてくれ。			その志、剣を通じて受け継がれん							
帝国と開戦したことで、この国はふたたび緊張状態にある。そんな中、お前や「暁」も、苦境に陥りながらも、未来を切り開くために戦っているんだろう……？			帝国と開戦したことで、この国はふたたび緊張状態にある。そんな中、お前や「暁」も、苦境に陥りながらも、未来を切り開くために戦っているんだろう……？			その志、剣を通じて受け継がれん							
オレも微力ながら、後顧の憂いを断てるよう動くつもりだ。たとえば、帝国がどう動いても守りに駆けつけられるよう、エオルゼア諸国を警戒して回る、とかな。			オレも微力ながら、後顧の憂いを断てるよう動くつもりだ。たとえば、帝国がどう動いても守りに駆けつけられるよう、エオルゼア諸国を警戒して回る、とかな。			その志、剣を通じて受け継がれん							
というわけで、今は身軽に動けるひとり旅の方が都合がいい。つきっきりで見てやれなくて悪いが……。			というわけで、今は身軽に動けるひとり旅の方が都合がいい。つきっきりで見てやれなくて悪いが……。			その志、剣を通じて受け継がれん							
師匠の使命が、大切なことはわかっています！また修行をつけてもらえるというだけで嬉しいので……気にせず、旅を続けてください！			師匠の使命が、大切なことはわかっています！また修行をつけてもらえるというだけで嬉しいので……気にせず、旅を続けてください！			その志、剣を通じて受け継がれん							
助かる……。今後は、合間を縫ってモードゥナへ立ち寄っては、修行の成果を確認するようにするからな。			助かる……。今後は、合間を縫ってモードゥナへ立ち寄っては、修行の成果を確認するようにするからな。			その志、剣を通じて受け継がれん							
それじゃ……。Forename、次に会うとき、お前がどこまで大きくなっているか、楽しみにしておくぜ！			それじゃ……。Forename、次に会うとき、お前がどこまで大きくなっているか、楽しみにしておくぜ！			その志、剣を通じて受け継がれん							
さあ、私たちも「モードゥナ」へ戻りましょうか！			さあ、私たちも「モードゥナ」へ戻りましょうか！			その志、剣を通じて受け継がれん							
失った力を取り戻す……それが、これまでの私の目標でした。そして、いただいた剣を完璧に使いこなせるようになるのが、これからの目標です！			失った力を取り戻す……それが、これまでの私の目標でした。そして、いただいた剣を完璧に使いこなせるようになるのが、これからの目標です！			その志、剣を通じて受け継がれん							
この剣の使い手にふさわしい赤魔道士になれるよう、師匠の手を借りて修行に励みます。だから……先輩も、また顔を見せにきてくださいね！			この剣の使い手にふさわしい赤魔道士になれるよう、師匠の手を借りて修行に励みます。だから……先輩も、また顔を見せにきてくださいね！			その志、剣を通じて受け継がれん							
酒房「コッファー＆コフィン」のシ・ルン・ティアは、赤魔道士について教えてくれるという。			酒房「コッファー＆コフィン」のシ・ルン・ティアは、赤魔道士について教えてくれるという。			紅の疾風							
シ・ルンと話し、赤魔道士の歴史を聞いた。彼らの使う「赤魔法」は、黒魔法と白魔法を土台とし、世界の滅びに抗う力として生まれた独自の魔法体系だという。東ザナラーンの聖アダマ・ランダマ教会へ向かった「シ・ルン・ティア」と合流しよう。			シ・ルンと話し、赤魔道士の歴史を聞いた。彼らの使う「赤魔法」は、黒魔法と白魔法を土台とし、世界の滅びに抗う力として生まれた独自の魔法体系だという。東ザナラーンの聖アダマ・ランダマ教会へ向かった「シ・ルン・ティア」と合流しよう。			紅の疾風							
シ・ルンと合流し、幼い姉妹を襲った謎の集団についてイリュド神父から話を聞いた。シ・ルンは、何やら意味深な言葉を残して外に出ていった。戦いの準備を整えて、聖アダマ・ランダマ教会付近の「シ・ルン・ティア」と話そう。			シ・ルンと合流し、幼い姉妹を襲った謎の集団についてイリュド神父から話を聞いた。シ・ルンは、何やら意味深な言葉を残して外に出ていった。戦いの準備を整えて、聖アダマ・ランダマ教会付近の「シ・ルン・ティア」と話そう。			紅の疾風							
シ・ルンと冒険者は、謎の集団に尾行されていた。敵はみずからの命を投げだして大型の妖異を召喚するが、冒険者は新たに身につけた技でこれを撃退する。東ザナラーンのドライボーンにいる「シ・ルン・ティア」と再度話そう。			シ・ルンと冒険者は、謎の集団に尾行されていた。敵はみずからの命を投げだして大型の妖異を召喚するが、冒険者は新たに身につけた技でこれを撃退する。東ザナラーンのドライボーンにいる「シ・ルン・ティア」と再度話そう。			紅の疾風							
シ・ルンと話した。彼らは何者かに魔法の呪印を施され、操られている集団だという。聖アダマ・ランダマ教会付近の「シ・ルン・ティア」とさらに話そう。			シ・ルンと話した。彼らは何者かに魔法の呪印を施され、操られている集団だという。聖アダマ・ランダマ教会付近の「シ・ルン・ティア」とさらに話そう。			紅の疾風							
シ・ルンと話した。彼は20年前、アラミゴ王室の圧政に抗った「紅の疾風」の生き残りだった。今後も赤魔道士として彼のもとで修行を続ける決意を固めたら、再度、シ・ルンを訪ねよう。※赤魔道士のレベルが52以上になると、ドライボーンのシ・ルン・ティアから次の赤魔道士クエストを受注することができます。			シ・ルンと話した。彼は20年前、アラミゴ王室の圧政に抗った「紅の疾風」の生き残りだった。今後も赤魔道士として彼のもとで修行を続ける決意を固めたら、再度、シ・ルンを訪ねよう。※赤魔道士のレベルが52以上になると、ドライボーンのシ・ルン・ティアから次の赤魔道士クエストを受注することができます。			紅の疾風							
聖アダマ・ランダマ教会のシ・ルン・ティアと合流			聖アダマ・ランダマ教会のシ・ルン・ティアと合流			紅の疾風							
シ・ルン・ティアと話す			シ・ルン・ティアと話す			紅の疾風							
シ・ルン・ティアと再度話す			シ・ルン・ティアと再度話す			紅の疾風							
シ・ルン・ティアとさらに話す			シ・ルン・ティアとさらに話す			紅の疾風							
謎の襲撃者を倒せ！			謎の襲撃者を倒せ！			紅の疾風							
敵を排除せよ！			敵を排除せよ！			紅の疾風							
「赤魔道士の証」から、古の知識が流れ込んできたようだな？……これからはお前も、ひとりの赤魔道士だ。その歴史について、少し講釈しておこう。			「赤魔道士の証」から、古の知識が流れ込んできたようだな？……これからはお前も、ひとりの赤魔道士だ。その歴史について、少し講釈しておこう。			紅の疾風							
オレたちの使う「赤魔法」は、「抗う力」とも呼ばれる。それはこの魔法が、滅びに抗うための力として生まれたからだ。			オレたちの使う「赤魔法」は、「抗う力」とも呼ばれる。それはこの魔法が、滅びに抗うための力として生まれたからだ。			紅の疾風							
1500年以上前……世界を水の災厄が襲った。魔法文明どうしの衝突で、「第六霊災」が引き起こされたんだ。			1500年以上前……世界を水の災厄が襲った。魔法文明どうしの衝突で、「第六霊災」が引き起こされたんだ。			紅の疾風							
大洪水を逃れるため、ギラバニアの山々に身を寄せた民には、魔法都市マハの黒魔道士や、古都アムダプールの白魔道士もいた。			大洪水を逃れるため、ギラバニアの山々に身を寄せた民には、魔法都市マハの黒魔道士や、古都アムダプールの白魔道士もいた。			紅の疾風							
自然界のエーテルを濫用し、霊災の原因となった、彼らの「黒魔法」と「白魔法」は、のちに禁忌とされた。だが滅びの時代に抗い、再興を果たすために、魔法の力は不可欠。			自然界のエーテルを濫用し、霊災の原因となった、彼らの「黒魔法」と「白魔法」は、のちに禁忌とされた。だが滅びの時代に抗い、再興を果たすために、魔法の力は不可欠。			紅の疾風							
そこで誕生したのが、ふたつの魔法をもとにして編みだされた、新たな魔法体系……「赤魔法」だった、というわけさ。			そこで誕生したのが、ふたつの魔法をもとにして編みだされた、新たな魔法体系……「赤魔法」だった、というわけさ。			紅の疾風							
さて、退屈な講義はこのくらいにして……実践編といこう！オレたちの戦い方を経験してもらう。姉妹を襲った一味の件が、完全には片づいてないからな。			さて、退屈な講義はこのくらいにして……実践編といこう！オレたちの戦い方を経験してもらう。姉妹を襲った一味の件が、完全には片づいてないからな。			紅の疾風							
まずは、少し情報を仕入れておきたい。東ザナラーンの「聖アダマ・ランダマ教会」へ向かうぞ。			まずは、少し情報を仕入れておきたい。東ザナラーンの「聖アダマ・ランダマ教会」へ向かうぞ。			紅の疾風							
シ・ルン君に入門したそうですね？きっと、よい赤魔道士になれるでしょう。			シ・ルン君に入門したそうですね？きっと、よい赤魔道士になれるでしょう。			紅の疾風							
よっ、来たな！こちらはイリュド神父、オレと同じく「暁」の協力者だが……おたがい、面識はあるはずだな？			よっ、来たな！こちらはイリュド神父、オレと同じく「暁」の協力者だが……おたがい、面識はあるはずだな？			紅の疾風							
よっ、来たな！こちらはイリュド神父、オレと同じく「暁」の協力者だ。……と言っても、何のことかわからんか？			よっ、来たな！こちらはイリュド神父、オレと同じく「暁」の協力者だ。……と言っても、何のことかわからんか？			紅の疾風							
シ・ルン君から、話は伺いました。幼い姉妹を連れ去ろうとした連中について、情報を持ってないか、とのことでしたね？			シ・ルン君から、話は伺いました。幼い姉妹を連れ去ろうとした連中について、情報を持ってないか、とのことでしたね？			紅の疾風							
あいにく情報の持ちあわせはありませんが、少し調べてみましょう。何でも、かなり異様な集団だったとか……？			あいにく情報の持ちあわせはありませんが、少し調べてみましょう。何でも、かなり異様な集団だったとか……？			紅の疾風							
ああ……終始無言で、投降の勧めにも応じなかった。それと全員が、刺青のような、魔力をおびた印を施していたが……			ああ……終始無言で、投降の勧めにも応じなかった。それと全員が、刺青のような、魔力をおびた印を施していたが……			紅の疾風							
どうやら……「呪印」を施されているようですね。人格を破壊し、忠実な操り人形に変える、邪な施術です。彼らを救う手だては…………ありません。			どうやら……「呪印」を施されているようですね。人格を破壊し、忠実な操り人形に変える、邪な施術です。彼らを救う手だては…………ありません。			紅の疾風							
黒幕は、外道な魔道士ってことか。悪いが神父、ヤツらの正体を探ってもらえるか？			黒幕は、外道な魔道士ってことか。悪いが神父、ヤツらの正体を探ってもらえるか？			紅の疾風							
Forenameは、オレと来てくれ。おっと……その前に、しっかり準備運動しておくんだぞ。理由は来ればわかるさ！			Forenameは、オレと来てくれ。おっと……その前に、しっかり準備運動しておくんだぞ。理由は来ればわかるさ！			紅の疾風							
赤魔道士、レベル50までのアクションを修得済みです。メインコマンドの「アクションリスト」から、使用できるアクションを確認してみましょう。			赤魔道士、レベル50までのアクションを修得済みです。メインコマンドの「アクションリスト」から、使用できるアクションを確認してみましょう。			紅の疾風							
シ・ルン君なら、教会の外で待っていますよ。あの口ぶり……荒事の覚悟をしておいた方が、よさそうですね。			シ・ルン君なら、教会の外で待っていますよ。あの口ぶり……荒事の覚悟をしておいた方が、よさそうですね。			紅の疾風							
Forename、気づいてたか？例の集団が、オレたちをずっと尾行してる。			Forename、気づいてたか？例の集団が、オレたちをずっと尾行してる。			紅の疾風							
……隙をみて、襲撃してくるぞ。目的は口封じってところか？			……隙をみて、襲撃してくるぞ。目的は口封じってところか？			紅の疾風							
なぁに、心配すんな！新しい力を試すには、ちょうどいい相手さ。いまから言う赤魔道士の心得を、肝に銘じて戦え！			なぁに、心配すんな！新しい力を試すには、ちょうどいい相手さ。いまから言う赤魔道士の心得を、肝に銘じて戦え！			紅の疾風							
いいか……赤魔法には、古の「黒魔法」と「白魔法」に根ざした、ふたつの系統の術が存在する。これらは、オレたちの流儀の根幹をなす古の力……。			いいか……赤魔法には、古の「黒魔法」と「白魔法」に根ざした、ふたつの系統の術が存在する。これらは、オレたちの流儀の根幹をなす古の力……。			紅の疾風							
だから「黒」「白」ふたつの系統を、バランスよく使うことで、赤魔道士の力は高まってゆく。			だから「黒」「白」ふたつの系統を、バランスよく使うことで、赤魔道士の力は高まってゆく。			紅の疾風							
そこで一気に間合いをつめ、魔力を込めた「魔法剣」を叩き込む！これが、赤魔道士の戦い方の基本だ！			そこで一気に間合いをつめ、魔力を込めた「魔法剣」を叩き込む！これが、赤魔道士の戦い方の基本だ！			紅の疾風							
……隠れてないで、出てきたらどうだ！オレたちゃ、逃げも隠れもしないぜ？			……隠れてないで、出てきたらどうだ！オレたちゃ、逃げも隠れもしないぜ？			紅の疾風							
暴力は嫌いなんでね……。できれば穏便に済ませたいんだがな！			暴力は嫌いなんでね……。できれば穏便に済ませたいんだがな！			紅の疾風							
問答無用か。Forename、赤魔道士の力……たっぷり見せつけてやれ！			問答無用か。Forename、赤魔道士の力……たっぷり見せつけてやれ！			紅の疾風							
さぁて、腕慣らしといきますか！「黒」と「白」、2系統の魔法をバランスよく使うんだ。			さぁて、腕慣らしといきますか！「黒」と「白」、2系統の魔法をバランスよく使うんだ。			紅の疾風							
新手が来たか。フッ……思わぬ反撃に、泡を喰ってるな！ 			新手が来たか。フッ……思わぬ反撃に、泡を喰ってるな！ 			紅の疾風							
この先に、敵の親玉が控えてるとみた。探しだして、一気にカタをつけるぞ！ 			この先に、敵の親玉が控えてるとみた。探しだして、一気にカタをつけるぞ！ 			紅の疾風							
その前に……もうひとつ大事なことを教えておこう。赤魔道士は、一度の詠唱で、ふたつの魔法を連続で発動する、「連続魔」という高等技術をあつかうことができる。 			その前に……もうひとつ大事なことを教えておこう。赤魔道士は、一度の詠唱で、ふたつの魔法を連続で発動する、「連続魔」という高等技術をあつかうことができる。 			紅の疾風							
詠唱の長い魔法を、短い魔法のあとで放つようにしてみろ。「連続魔」で一気に手数を増やせるぜ！ 			詠唱の長い魔法を、短い魔法のあとで放つようにしてみろ。「連続魔」で一気に手数を増やせるぜ！ 			紅の疾風							
忘れるな……大事なのは「黒」と「白」のバランスだ。くわえて「連続魔」で、手数を増やしていけ！			忘れるな……大事なのは「黒」と「白」のバランスだ。くわえて「連続魔」で、手数を増やしていけ！			紅の疾風							
倒した敵から、魔力の塊が抜けていった……？あれは、いったい何だ？			倒した敵から、魔力の塊が抜けていった……？あれは、いったい何だ？			紅の疾風							
また、魔力の塊か。そうか……残った仲間に、力を送っているとみた！			また、魔力の塊か。そうか……残った仲間に、力を送っているとみた！			紅の疾風							
例の塊を追うぞ！おそらく、この先に親玉がいる……覚悟しておけよ！			例の塊を追うぞ！おそらく、この先に親玉がいる……覚悟しておけよ！			紅の疾風							
仲間の魔力を、ここに集めてたってワケか。……好きにさせるか！			仲間の魔力を、ここに集めてたってワケか。……好きにさせるか！			紅の疾風							
冥き異界の番犬よ……召喚に応じ、敵を滅せよ！我ら4人の命を、贄（にえ）として捧ぐ！			冥き異界の番犬よ……召喚に応じ、敵を滅せよ！我ら4人の命を、贄（にえ）として捧ぐ！			紅の疾風							
チッ…………まさか、みずから命を絶って召喚を遂げるとはな。強敵だ、シメてかかれ！			チッ…………まさか、みずから命を絶って召喚を遂げるとはな。強敵だ、シメてかかれ！			紅の疾風							
「黒」と「白」のバランスはバッチリだな！イッパツ、派手に魔法剣をきめてやれ！			「黒」と「白」のバランスはバッチリだな！イッパツ、派手に魔法剣をきめてやれ！			紅の疾風							
魔力のバランスが偏ってるぞ！2系統の魔法を、織り交ぜて使うんだ！			魔力のバランスが偏ってるぞ！2系統の魔法を、織り交ぜて使うんだ！			紅の疾風							
魔力のこもった、いい魔法剣だったな！なかなかサマになってたぜッ！			魔力のこもった、いい魔法剣だったな！なかなかサマになってたぜッ！			紅の疾風							
吐きだしたエーテル球に注意しろ。近づくと、こっぴどくやられるぞ！			吐きだしたエーテル球に注意しろ。近づくと、こっぴどくやられるぞ！			紅の疾風							
「黒」と「白」、いい按配で魔力が高まってるぞ！隙をみて、魔法剣を叩き込め！			「黒」と「白」、いい按配で魔力が高まってるぞ！隙をみて、魔法剣を叩き込め！			紅の疾風							
「黒」と「白」のバランスを意識して、魔法を使え！でないと、魔法剣をきめられないぞ！			「黒」と「白」のバランスを意識して、魔法を使え！でないと、魔法剣をきめられないぞ！			紅の疾風							
いまの魔法剣は、よかったぞ！その要領で、「黒」と「白」の魔力を乗せていくんだ！			いまの魔法剣は、よかったぞ！その要領で、「黒」と「白」の魔力を乗せていくんだ！			紅の疾風							
くそっ……オレとしたことが……！			くそっ……オレとしたことが……！			紅の疾風							
おつかれさん。オレが見込んだとおり……いや、それ以上の素質だ！			おつかれさん。オレが見込んだとおり……いや、それ以上の素質だ！			紅の疾風							
しかし……敵があんな大物を呼びだすとはな。命を投げだしてでも、抹殺命令を果たす……まさに操り人形だな。			しかし……敵があんな大物を呼びだすとはな。命を投げだしてでも、抹殺命令を果たす……まさに操り人形だな。			紅の疾風							
見えるか……この左頬のしるしが「呪印」だ。人の心を破壊し、操り人形に仕立てる、呪いの刻印。			見えるか……この左頬のしるしが「呪印」だ。人の心を破壊し、操り人形に仕立てる、呪いの刻印。			紅の疾風							
この女もそうだが、襲撃者はみな歳若い男女だった。陰で操っている黒幕がいるはず……。きょう戦った相手はみな、そいつの手駒にすぎない。			この女もそうだが、襲撃者はみな歳若い男女だった。陰で操っている黒幕がいるはず……。きょう戦った相手はみな、そいつの手駒にすぎない。			紅の疾風							
若者に洗脳を施し、駒のように使い捨てる集団か。このまま放ってはおけんな……。			若者に洗脳を施し、駒のように使い捨てる集団か。このまま放ってはおけんな……。			紅の疾風							
さて、と……赤魔道士としての一歩を踏みだしたお前に、伝えておきたいことがある。「聖アダマ・ランダマ教会」の前で話をしよう。			さて、と……赤魔道士としての一歩を踏みだしたお前に、伝えておきたいことがある。「聖アダマ・ランダマ教会」の前で話をしよう。			紅の疾風							
外の騒ぎは、鎮まったようですね。無茶をするなとは申しませんが、「ほどほど」程度の無茶に留めておくのが、賢明かと……。			外の騒ぎは、鎮まったようですね。無茶をするなとは申しませんが、「ほどほど」程度の無茶に留めておくのが、賢明かと……。			紅の疾風							
……来たか、Forename。			……来たか、Forename。			紅の疾風							
ここは、第七霊災の犠牲者を弔った墓地だ。オレたちの魔法も、世界が死に瀕した時代……滅びに「抗う力」として生まれた。			ここは、第七霊災の犠牲者を弔った墓地だ。オレたちの魔法も、世界が死に瀕した時代……滅びに「抗う力」として生まれた。			紅の疾風							
ちょっと、込み入った話になるがな……。赤魔道士は、己に宿る魔力のみを用いて魔法を使う。自然界のエーテルを用いる黒魔法と白魔法は、禁忌とされたからだ。			ちょっと、込み入った話になるがな……。赤魔道士は、己に宿る魔力のみを用いて魔法を使う。自然界のエーテルを用いる黒魔法と白魔法は、禁忌とされたからだ。			紅の疾風							
限られた魔力で、より強力な効果を得るために、先人は魔紋にくわえ、剣技の「型」で術式を形成する方法を採った。……いわば肉体そのものを、魔力の加速器と化すわけだ。			限られた魔力で、より強力な効果を得るために、先人は魔紋にくわえ、剣技の「型」で術式を形成する方法を採った。……いわば肉体そのものを、魔力の加速器と化すわけだ。			紅の疾風							
つまりオレたちの振るう剣は、時代の困難に立ち向かうためにある、ということさ！			つまりオレたちの振るう剣は、時代の困難に立ち向かうためにある、ということさ！			紅の疾風							
その志は、この石を手にした歴代の赤魔道士に受け継がれ……理不尽な定めや、暴力に苦しむ人々の「力」となっていった。			その志は、この石を手にした歴代の赤魔道士に受け継がれ……理不尽な定めや、暴力に苦しむ人々の「力」となっていった。			紅の疾風							
…………20年ほど前、オレはアラミゴ革命軍に身を置いていた。暴君テオドリックの圧政に抗い、「紅の疾風」として戦ったんだ。			…………20年ほど前、オレはアラミゴ革命軍に身を置いていた。暴君テオドリックの圧政に抗い、「紅の疾風」として戦ったんだ。			紅の疾風							
結局、オレたちは敗北した。「紅の疾風」はオレひとりを残して壊滅、故郷は侵略者に屈した。……お前が解放者として現れるまで、な。			結局、オレたちは敗北した。「紅の疾風」はオレひとりを残して壊滅、故郷は侵略者に屈した。……お前が解放者として現れるまで、な。			紅の疾風							
結局、オレたちは敗北した。「紅の疾風」はオレひとりを残して壊滅、故郷は侵略者に屈した。			結局、オレたちは敗北した。「紅の疾風」はオレひとりを残して壊滅、故郷は侵略者に屈した。			紅の疾風							
故郷を離れてからも、アラミゴ解放のために力を尽くしたよ。やがて霊災の危機が迫っていると知り、エオルゼアを救うために、シャーレアンの賢人たちと共闘するようになった。			故郷を離れてからも、アラミゴ解放のために力を尽くしたよ。やがて霊災の危機が迫っていると知り、エオルゼアを救うために、シャーレアンの賢人たちと共闘するようになった。			紅の疾風							
結局、故郷は守れず……霊災を止めることもできなかった。それでも、弱き者のために剣を振るい、滅びに抗う力となるという、「紅の疾風」の仲間との、誓いを忘れたことはない。			結局、故郷は守れず……霊災を止めることもできなかった。それでも、弱き者のために剣を振るい、滅びに抗う力となるという、「紅の疾風」の仲間との、誓いを忘れたことはない。			紅の疾風							
……とまあ、いまだに反抗期を続けてるオッサンが教える魔法だ。それでも修行を続けたいなら、これからも旅につきあってもらうぜ？			……とまあ、いまだに反抗期を続けてるオッサンが教える魔法だ。それでも修行を続けたいなら、これからも旅につきあってもらうぜ？			紅の疾風							
オレは、しばらく教会に厄介になる。きょうの感触を忘れないよう、復習してからまた来な！			オレは、しばらく教会に厄介になる。きょうの感触を忘れないよう、復習してからまた来な！			紅の疾風							
※本クエストは、ジョブ「赤魔道士」の修得クエストです。ザル大門に立つ、瞳をうるませた少女は、狼狽しているようだ。			※本クエストは、ジョブ「赤魔道士」の修得クエストです。ザル大門に立つ、瞳をうるませた少女は、狼狽しているようだ。			赤魔道士への道							
瞳をうるませた少女から話を聞いた。赤装束の魔道士が、姉を守って戦っているという。中央ザナラーンの刺抜盆地で「身なりのいい姉」と話そう。			瞳をうるませた少女から話を聞いた。赤装束の魔道士が、姉を守って戦っているという。中央ザナラーンの刺抜盆地で「身なりのいい姉」と話そう。			赤魔道士への道							
赤装束の魔道士は、たったひとりで敵を殲滅してしまった。刺抜盆地の「赤装束の魔道士」と話そう。			赤装束の魔道士は、たったひとりで敵を殲滅してしまった。刺抜盆地の「赤装束の魔道士」と話そう。			赤魔道士への道							
赤装束の魔道士は、シ・ルンと名乗った。姉を無事に送り届けるため、ウルダハのザル大門へ戻り、「瞳をうるませた少女」と話そう。			赤装束の魔道士は、シ・ルンと名乗った。姉を無事に送り届けるため、ウルダハのザル大門へ戻り、「瞳をうるませた少女」と話そう。			赤魔道士への道							
姉を、妹のところへ無事に送り届けた。中央ザナラーンの酒房「コッファー＆コフィン」で、「シ・ルン・ティア」と話そう。			姉を、妹のところへ無事に送り届けた。中央ザナラーンの酒房「コッファー＆コフィン」で、「シ・ルン・ティア」と話そう。			赤魔道士への道							
シ・ルンから、赤魔道士として修行をしないか、ともちかけられた。彼のもとで腕を磨く決意を固めたら、再度「シ・ルン・ティア」に話しかけて決心を伝えよう。			シ・ルンから、赤魔道士として修行をしないか、ともちかけられた。彼のもとで腕を磨く決意を固めたら、再度「シ・ルン・ティア」に話しかけて決心を伝えよう。			赤魔道士への道							
シ・ルンに決意を伝え、冒険者は赤魔道士としての一歩を踏みだした。託された「ミスライトレイピア」を装備し、さらに「シ・ルン・ティア」と話そう。			シ・ルンに決意を伝え、冒険者は赤魔道士としての一歩を踏みだした。託された「ミスライトレイピア」を装備し、さらに「シ・ルン・ティア」と話そう。			赤魔道士への道							
刺抜盆地の身なりのいい姉と話す			刺抜盆地の身なりのいい姉と話す			赤魔道士への道							
赤装束の魔道士と話す			赤装束の魔道士と話す			赤魔道士への道							
ウルダハの瞳をうるませた少女と話す			ウルダハの瞳をうるませた少女と話す			赤魔道士への道							
酒房「コッファー＆コフィン」のシ・ルン・ティアと話す			酒房「コッファー＆コフィン」のシ・ルン・ティアと話す			赤魔道士への道							
シ・ルン・ティアと再度話す			シ・ルン・ティアと再度話す			赤魔道士への道							
あっ……もしかして、冒険者の人？お願い、お姉ちゃんを助けて！			あっ……もしかして、冒険者の人？お願い、お姉ちゃんを助けて！			赤魔道士への道							
街の外で、怪しい人たちに拐われそうになったの！通りすがりの魔道士さんが助けてくれたんだけど、お姉ちゃんが逃げ遅れて……！			街の外で、怪しい人たちに拐われそうになったの！通りすがりの魔道士さんが助けてくれたんだけど、お姉ちゃんが逃げ遅れて……！			赤魔道士への道							
何と答える？			何と答える？			赤魔道士への道							
助けてあげる			助けてあげる			赤魔道士への道							
大人には知らせた？			大人には知らせた？			赤魔道士への道							
……ほんと、助けてくれるの！？ありがとう！			……ほんと、助けてくれるの！？ありがとう！			赤魔道士への道							
場所は「刺抜盆地」……ザル大門を出てすぐの街道だよ。魔道士さんが戦ってくれてるけど、相手も大勢いたし……。お願い……助けてあげて！			場所は「刺抜盆地」……ザル大門を出てすぐの街道だよ。魔道士さんが戦ってくれてるけど、相手も大勢いたし……。お願い……助けてあげて！			赤魔道士への道							
パパもママも、仕事で出かけちゃってるの！銅刃団の人はよくあるケンカだって、相手にしてくれなくて……！			パパもママも、仕事で出かけちゃってるの！銅刃団の人はよくあるケンカだって、相手にしてくれなくて……！			赤魔道士への道							
場所は、ザル大門を出てすぐの街道なの。魔道士さんが戦ってくれてるけど……相手も大勢いたし……。どうしよう……お願い、お姉ちゃんたちを助けて……。			場所は、ザル大門を出てすぐの街道なの。魔道士さんが戦ってくれてるけど……相手も大勢いたし……。どうしよう……お願い、お姉ちゃんたちを助けて……。			赤魔道士への道							
怪しい人たちに襲われたのは、「刺抜盆地」……。ザル大門を出てすぐの街道だよ。お願い……お姉ちゃんたちを、助けてあげて！			怪しい人たちに襲われたのは、「刺抜盆地」……。ザル大門を出てすぐの街道だよ。お願い……お姉ちゃんたちを、助けてあげて！			赤魔道士への道							
……えっ？お姉兄さん、助けにきてくれたの！？			……えっ？お姉兄さん、助けにきてくれたの！？			赤魔道士への道							
(-赤装束の魔道士-)……あんたは？			(-赤装束の魔道士-)……あんたは？			赤魔道士への道							
よかった……妹は無事なんですね！お姉兄さん、ありがとう！			よかった……妹は無事なんですね！お姉兄さん、ありがとう！			赤魔道士への道							
えっ、お姉ちゃんたちは無事だった……！？よかった……それで、いまどこにいるの？			えっ、お姉ちゃんたちは無事だった……！？よかった……それで、いまどこにいるの？			赤魔道士への道							
オレを助けに？悪いな……そうと知ってりゃ、あんたの獲物も残しといたんだが。			オレを助けに？悪いな……そうと知ってりゃ、あんたの獲物も残しといたんだが。			赤魔道士への道							
見ず知らずの子どもの頼みを、放っておけなかったってわけだな？気に入ったぜ！			見ず知らずの子どもの頼みを、放っておけなかったってわけだな？気に入ったぜ！			赤魔道士への道							
(-シ・ルン・ティア-)オレはシ・ルン、旅の赤魔道士だ。……あんたの名前は？			(-シ・ルン・ティア-)オレはシ・ルン、旅の赤魔道士だ。……あんたの名前は？			赤魔道士への道							
(-シ・ルン・ティア-)Forename……？聞いたことがあるな、たしか……。			(-シ・ルン・ティア-)Forename……？聞いたことがあるな、たしか……。			赤魔道士への道							
あ、あのっ……！ありがとうございました！			あ、あのっ……！ありがとうございました！			赤魔道士への道							
(-シ・ルン・ティア-)怪我はないか？			(-シ・ルン・ティア-)怪我はないか？			赤魔道士への道							
(-シ・ルン・ティア-)それじゃ、この娘(こ)を妹さんのところまで送り届けようぜ！			(-シ・ルン・ティア-)それじゃ、この娘(こ)を妹さんのところまで送り届けようぜ！			赤魔道士への道							
妹さんも無事だったようで、何よりだ！			妹さんも無事だったようで、何よりだ！			赤魔道士への道							
