シャバーブチェのラホージャは不安そうだ。			シャバーブチェのラホージャは不安そうだ。			遭遇！ 敵は盗賊団！？							
アラミゴ王宮に攻め入ろうとしたシャルトフィットたちを阻止し、祭器を取り戻した。アラミガン・クォーターの城門前に戻り、「セートジャ」と話そう。			アラミゴ王宮に攻め入ろうとしたシャルトフィットたちを阻止し、祭器を取り戻した。アラミガン・クォーターの城門前に戻り、「セートジャ」と話そう。			打倒！ シャルトフィット盗賊団							
セートジャと話し、罪を償うカクージャを見送った。帰国するセートジャとともに、トライヨラのシャバーブチェにいる「ラホージャ」に事の顛末を報告しよう。			セートジャと話し、罪を償うカクージャを見送った。帰国するセートジャとともに、トライヨラのシャバーブチェにいる「ラホージャ」に事の顛末を報告しよう。			打倒！ シャルトフィット盗賊団							
ラホージャとセートジャは、祭器を取り戻せたことを喜び、帰っていった。祭器の護りの力は再び、彼らを護っていくことだろう。			ラホージャとセートジャは、祭器を取り戻せたことを喜び、帰っていった。祭器の護りの力は再び、彼らを護っていくことだろう。			打倒！ シャルトフィット盗賊団							
セートジャと話す			セートジャと話す			打倒！ シャルトフィット盗賊団							
セートジャと再度話す			セートジャと再度話す			打倒！ シャルトフィット盗賊団							
セートジャとさらに話す			セートジャとさらに話す			打倒！ シャルトフィット盗賊団							
シャバーブチェのラホージャと話す			シャバーブチェのラホージャと話す			打倒！ シャルトフィット盗賊団							
Forenameちゃん！ついさっき、アヴェネルさんとペピンさんから連絡があったよ！進展あったみたいで、こっちに来てくれるって！			Forenameちゃん！ついさっき、アヴェネルさんとペピンさんから連絡があったよ！進展あったみたいで、こっちに来てくれるって！			打倒！ シャルトフィット盗賊団							
(-アヴェネル-)セートジャさん……！シャルトフィットたちが、ついに動き出しました！			(-アヴェネル-)セートジャさん……！シャルトフィットたちが、ついに動き出しました！			打倒！ シャルトフィット盗賊団							
(-アヴェネル-)カクージャさんに裏切られたことで、あの人、いつも以上に用心深くなっていましてね。作戦の詳細を、なかなか教えてもらえなかったんですけど……			(-アヴェネル-)カクージャさんに裏切られたことで、あの人、いつも以上に用心深くなっていましてね。作戦の詳細を、なかなか教えてもらえなかったんですけど……			打倒！ シャルトフィット盗賊団							
(-アヴェネル-)アラミゴ王宮に、キャラバンを装って侵入するつもりなんです！修復した魔導兵器をキャリッジに隠して……！			(-アヴェネル-)アラミゴ王宮に、キャラバンを装って侵入するつもりなんです！修復した魔導兵器をキャリッジに隠して……！			打倒！ シャルトフィット盗賊団							
(-ペピン-)僕たちは、どさくさに紛れて離脱してきましたが、すでに彼らは出発しています！王宮内部まで入り込んだら、きっと大混乱に……！			(-ペピン-)僕たちは、どさくさに紛れて離脱してきましたが、すでに彼らは出発しています！王宮内部まで入り込んだら、きっと大混乱に……！			打倒！ シャルトフィット盗賊団							
情報ありがと！じゃあ、ウチらが今すぐに行って止めないと！			情報ありがと！じゃあ、ウチらが今すぐに行って止めないと！			打倒！ シャルトフィット盗賊団							
シャルトフィットは絶対に抵抗してくるよね。そしたら、Forenameちゃん、戦うのはあなた任せになっちゃう……。			シャルトフィットは絶対に抵抗してくるよね。そしたら、Forenameちゃん、戦うのはあなた任せになっちゃう……。			打倒！ シャルトフィット盗賊団							
でも、祭器を取り戻すのに、人に任せっぱなしはいやだ！ウチの村のことだもん……。			でも、祭器を取り戻すのに、人に任せっぱなしはいやだ！ウチの村のことだもん……。			打倒！ シャルトフィット盗賊団							
何と言う？			何と言う？			打倒！ シャルトフィット盗賊団							
なら一緒に行こう			なら一緒に行こう			打倒！ シャルトフィット盗賊団							
しょげているのは君らしくない			しょげているのは君らしくない			打倒！ シャルトフィット盗賊団							
戦うのは任せろ！			戦うのは任せろ！			打倒！ シャルトフィット盗賊団							
(-？？？？-)そのとおりだ。			(-？？？？-)そのとおりだ。			打倒！ シャルトフィット盗賊団							
セートジャ、君のまっすぐさには本当に救われている。なんというか、こう……自分もそうありたいと思わせてくれるんだ。			セートジャ、君のまっすぐさには本当に救われている。なんというか、こう……自分もそうありたいと思わせてくれるんだ。			打倒！ シャルトフィット盗賊団							
だから、君は君のままで、できることをすれば十分だ。戦うのはForenameと……自分に任せてくれればいい。			だから、君は君のままで、できることをすれば十分だ。戦うのはForenameと……自分に任せてくれればいい。			打倒！ シャルトフィット盗賊団							
カクージャのおじさん……そう言ってくれるのはありがたいけど、ケガは大丈夫なの？			カクージャのおじさん……そう言ってくれるのはありがたいけど、ケガは大丈夫なの？			打倒！ シャルトフィット盗賊団							
ああ、彼らが方々を駆け回って、錬金薬を集めてきてくれた、おかげでな……。			ああ、彼らが方々を駆け回って、錬金薬を集めてきてくれた、おかげでな……。			打倒！ シャルトフィット盗賊団							
そうなんだ、みんなが悪いことから足を洗って、助け合ってくれてて嬉しいよ……！じゃあ、祭器を取り戻すのに力を貸して！			そうなんだ、みんなが悪いことから足を洗って、助け合ってくれてて嬉しいよ……！じゃあ、祭器を取り戻すのに力を貸して！			打倒！ シャルトフィット盗賊団							
シャルトフィットはすごく無茶な祭器の使い方をしてる。「完全なる護りの力などない、いつかは綻びが生じる」って、村の言い伝えもあるし、力を合わせれば……！			シャルトフィットはすごく無茶な祭器の使い方をしてる。「完全なる護りの力などない、いつかは綻びが生じる」って、村の言い伝えもあるし、力を合わせれば……！			打倒！ シャルトフィット盗賊団							
(-アヴェネル-)では皆さんは王宮へ向かった、シャルトフィットを追ってください！			(-アヴェネル-)では皆さんは王宮へ向かった、シャルトフィットを追ってください！			打倒！ シャルトフィット盗賊団							
(-アヴェネル-)私たちは解放軍に投降してすべての事情を話し、援軍の派遣をお願いしてきます……！			(-アヴェネル-)私たちは解放軍に投降してすべての事情を話し、援軍の派遣をお願いしてきます……！			打倒！ シャルトフィット盗賊団							
(-ペピン-)み、皆さん、どうかご無事で……！			(-ペピン-)み、皆さん、どうかご無事で……！			打倒！ シャルトフィット盗賊団							
怪我はもう大丈夫だ。セートジャのために、俺も戦わせてもらう。			怪我はもう大丈夫だ。セートジャのために、俺も戦わせてもらう。			打倒！ シャルトフィット盗賊団							
キャリッジは階段を上れないだろうから、きっと別ルートで王宮に向かったよね？ウチらはここから近道して向かお！			キャリッジは階段を上れないだろうから、きっと別ルートで王宮に向かったよね？ウチらはここから近道して向かお！			打倒！ シャルトフィット盗賊団							
シャルトフィットはアルマジロの祭器を使って、護りの力とか、解除の衝撃波とかで妨害してくるはず……！気をつけながら進まなきゃね！			シャルトフィットはアルマジロの祭器を使って、護りの力とか、解除の衝撃波とかで妨害してくるはず……！気をつけながら進まなきゃね！			打倒！ シャルトフィット盗賊団							
突入はForenameちゃんに任せる！準備ができたタイミングで声をかけてー！			突入はForenameちゃんに任せる！準備ができたタイミングで声をかけてー！			打倒！ シャルトフィット盗賊団							
準備が整ったみたいだね！よし、じゃあ……！			準備が整ったみたいだね！よし、じゃあ……！			打倒！ シャルトフィット盗賊団							
…………。			…………。			打倒！ シャルトフィット盗賊団							
……ごめん！戦いに参加するのって初めてで、ドキドキしちゃって……！でも大丈夫、足を引っ張るつもりはないよ！			……ごめん！戦いに参加するのって初めてで、ドキドキしちゃって……！でも大丈夫、足を引っ張るつもりはないよ！			打倒！ シャルトフィット盗賊団							
シャルトフィットの悪事は絶対に止めて、祭器を取り返さなくっちゃ！行こ、Forenameちゃん！			シャルトフィットの悪事は絶対に止めて、祭器を取り返さなくっちゃ！行こ、Forenameちゃん！			打倒！ シャルトフィット盗賊団							
最初の関門は抜けた、さあ進め！国家なんてものを壊して、僕たちの理想郷を作るんだ！			最初の関門は抜けた、さあ進め！国家なんてものを壊して、僕たちの理想郷を作るんだ！			打倒！ シャルトフィット盗賊団							
待ちなさーーーーい！！			待ちなさーーーーい！！			打倒！ シャルトフィット盗賊団							
くそっ、しつこい奴らだ……！			くそっ、しつこい奴らだ……！			打倒！ シャルトフィット盗賊団							
あの祭器は、戦う術を持たない弱者の武器になるもの……！それを独占して、自分の部族のためだけに使おうとする、お前たちは許しがたい悪だ！			あの祭器は、戦う術を持たない弱者の武器になるもの……！それを独占して、自分の部族のためだけに使おうとする、お前たちは許しがたい悪だ！			打倒！ シャルトフィット盗賊団							
今こそ、この歪みきった世界を正さなければならない！社会に搾取されてきた僕たち弱者が、強者をブチのめすことでな！			今こそ、この歪みきった世界を正さなければならない！社会に搾取されてきた僕たち弱者が、強者をブチのめすことでな！			打倒！ シャルトフィット盗賊団							
ウチだって戦えないけど、祭器の力で、誰かから何かを奪おうなんて考えたことない！			ウチだって戦えないけど、祭器の力で、誰かから何かを奪おうなんて考えたことない！			打倒！ シャルトフィット盗賊団							
ほかの人を騙したり、傷つけたりして、自分たちだけ楽に生きようなんて間違ってるよ！			ほかの人を騙したり、傷つけたりして、自分たちだけ楽に生きようなんて間違ってるよ！			打倒！ シャルトフィット盗賊団							
がぁああああ！！正論なんて聞きたくない！！			がぁああああ！！正論なんて聞きたくない！！			打倒！ シャルトフィット盗賊団							
ああ、そうだ！僕たちは努力が嫌いで、口先ばかりの怠惰なクズだよ！だが、それの何が悪い！？			ああ、そうだ！僕たちは努力が嫌いで、口先ばかりの怠惰なクズだよ！だが、それの何が悪い！？			打倒！ シャルトフィット盗賊団							
(-魔導兵器から響く声-)清く、正しく、信念があって、力もある、そんなまっとうなお前らみたいな奴らが……			(-魔導兵器から響く声-)清く、正しく、信念があって、力もある、そんなまっとうなお前らみたいな奴らが……			打倒！ シャルトフィット盗賊団							
(-魔導兵器から響く声-)心の底から憎たらしいんだよおおおおお！			(-魔導兵器から響く声-)心の底から憎たらしいんだよおおおおお！			打倒！ シャルトフィット盗賊団							
よかった、壊れてない……！ウチ、ついに祭器を取り戻せたんだ……！			よかった、壊れてない……！ウチ、ついに祭器を取り戻せたんだ……！			打倒！ シャルトフィット盗賊団							
マムージャ族のレディ、頼むよ……。祭器の力で、僕は幸せを掴みたい……。そのために過酷な訓練を乗り越え、「自由の扉」に参加したんだ。			マムージャ族のレディ、頼むよ……。祭器の力で、僕は幸せを掴みたい……。そのために過酷な訓練を乗り越え、「自由の扉」に参加したんだ。			打倒！ シャルトフィット盗賊団							
それがないと……なにもできない……。強い奴らに仕返ししたぁい……。			それがないと……なにもできない……。強い奴らに仕返ししたぁい……。			打倒！ シャルトフィット盗賊団							
もー！！だから、人から奪ったり悪さしたりしないでってば！！ちょっとは反省しなさーい！！			もー！！だから、人から奪ったり悪さしたりしないでってば！！ちょっとは反省しなさーい！！			打倒！ シャルトフィット盗賊団							
うわああああああーーーー！			うわああああああーーーー！			打倒！ シャルトフィット盗賊団							
大丈夫か……！			大丈夫か……！			打倒！ シャルトフィット盗賊団							
うん、なんとかなったー！			うん、なんとかなったー！			打倒！ シャルトフィット盗賊団							
(-怯えた手下たち-)参りましたぁーーーーーー！			(-怯えた手下たち-)参りましたぁーーーーーー！			打倒！ シャルトフィット盗賊団							
祭器は取り返したし、シャルトフィットも、もう悪さはできないでしょ！			祭器は取り返したし、シャルトフィットも、もう悪さはできないでしょ！			打倒！ シャルトフィット盗賊団							
あーー、よかった！Forenameちゃん、カクージャのおじさん、手伝ってくれて本当にありがと！			あーー、よかった！Forenameちゃん、カクージャのおじさん、手伝ってくれて本当にありがと！			打倒！ シャルトフィット盗賊団							
終わったんだな……。			終わったんだな……。			打倒！ シャルトフィット盗賊団							
駆けつけてくれた解放軍の人たちが、シャルトフィットも部下さんたちも連行してくれたし……これで一件落着だねー！			駆けつけてくれた解放軍の人たちが、シャルトフィットも部下さんたちも連行してくれたし……これで一件落着だねー！			打倒！ シャルトフィット盗賊団							
協力してくれて本当にありがと！Forenameちゃん、カクージャのおじさん！			協力してくれて本当にありがと！Forenameちゃん、カクージャのおじさん！			打倒！ シャルトフィット盗賊団							
初めて外つ国まで旅して……いろんな人と仲良くなれて嬉しかった！			初めて外つ国まで旅して……いろんな人と仲良くなれて嬉しかった！			打倒！ シャルトフィット盗賊団							
ウチはこれからトラル大陸に帰るけど、カクージャのおじさんはどうするの？			ウチはこれからトラル大陸に帰るけど、カクージャのおじさんはどうするの？			打倒！ シャルトフィット盗賊団							
シャルトフィットに利用されたとはいえ、俺もここアラミゴの人たちに、多大な迷惑をかけた。商人たちと同じく、自首をするつもりだ。			シャルトフィットに利用されたとはいえ、俺もここアラミゴの人たちに、多大な迷惑をかけた。商人たちと同じく、自首をするつもりだ。			打倒！ シャルトフィット盗賊団							
いつか釈放されて、帰りの船賃をまっとうに稼いだら……一番に、君の村を訪問させてもらうよ。大切な祭器を悪事に使ったことを、詫びておきたいからな。			いつか釈放されて、帰りの船賃をまっとうに稼いだら……一番に、君の村を訪問させてもらうよ。大切な祭器を悪事に使ったことを、詫びておきたいからな。			打倒！ シャルトフィット盗賊団							
そのあとは……			そのあとは……			打倒！ シャルトフィット盗賊団							
いや、今はまだ口にするときではないか。			いや、今はまだ口にするときではないか。			打倒！ シャルトフィット盗賊団							
わかった、じゃあ待ってるから！ぜーーーーったいに、ウチの村まで来てね！			わかった、じゃあ待ってるから！ぜーーーーったいに、ウチの村まで来てね！			打倒！ シャルトフィット盗賊団							
Forenameちゃんは、トライヨラまで来るよね？おじいちゃんと一緒に、お礼をさせて！			Forenameちゃんは、トライヨラまで来るよね？おじいちゃんと一緒に、お礼をさせて！			打倒！ シャルトフィット盗賊団							
おお、Forenameや……！セートジャは無事か……！？			おお、Forenameや……！セートジャは無事か……！？			打倒！ シャルトフィット盗賊団							
おじいちゃんただいまー！祭器、取り戻してきたよー！			おじいちゃんただいまー！祭器、取り戻してきたよー！			打倒！ シャルトフィット盗賊団							
ああ、セートジャ！お前さんが無事でなによりだ！			ああ、セートジャ！お前さんが無事でなによりだ！			打倒！ シャルトフィット盗賊団							
祭器が戻ってきたことも、もちろん喜ばしいが……あの小さかったセートジャがひとり外つ国まで旅して、これだけのことを為せるとは感無量じゃよ。			祭器が戻ってきたことも、もちろん喜ばしいが……あの小さかったセートジャがひとり外つ国まで旅して、これだけのことを為せるとは感無量じゃよ。			打倒！ シャルトフィット盗賊団							
Forename……祭器のこと、孫のこと、本当にありがとう。			Forename……祭器のこと、孫のこと、本当にありがとう。			打倒！ シャルトフィット盗賊団							
ウチからも改めてお礼を言わせて！本当にありがと、Forenameちゃん！			ウチからも改めてお礼を言わせて！本当にありがと、Forenameちゃん！			打倒！ シャルトフィット盗賊団							
ウチは村に戻るけど、また祭器の力を借りて、トライヨラにも遊びに来るつもりだからさ！どっかで会えたら嬉しいな！			ウチは村に戻るけど、また祭器の力を借りて、トライヨラにも遊びに来るつもりだからさ！どっかで会えたら嬉しいな！			打倒！ シャルトフィット盗賊団							
またねー！！			またねー！！			打倒！ シャルトフィット盗賊団							
