弓術士ギルドのルシアヌは、新しい技を学ぶ方法を教えようとしているようだ。			弓術士ギルドのルシアヌは、新しい技を学ぶ方法を教えようとしているようだ。			響きあうふたつの音色							
ギルド側の手配を済ませたら、一度戻ってきてくれ。敵の潜伏先を突き止め次第、双蛇党も動くだろう。そう時間はないからね……！			ギルド側の手配を済ませたら、一度戻ってきてくれ。敵の潜伏先を突き止め次第、双蛇党も動くだろう。そう時間はないからね……！			想い込められし歌							
弓術士ギルドと、槍術士ギルドのマスター、「ルシアヌ」と「イウェイン」への要請を頼めるかい？僕は、上の決定に従うふりをしつつ、情報を集めよう。			弓術士ギルドと、槍術士ギルドのマスター、「ルシアヌ」と「イウェイン」への要請を頼めるかい？僕は、上の決定に従うふりをしつつ、情報を集めよう。			想い込められし歌							
話は聞いたわ。あなたが来たということは、出発も間もなくかしら？それにしても、紅葉戦争にそんな秘密があったなんてね……。			話は聞いたわ。あなたが来たということは、出発も間もなくかしら？それにしても、紅葉戦争にそんな秘密があったなんてね……。			想い込められし歌							
弓を嗜む者として、あなただけではなく、ギドゥロやジェアンテルさんも、知らない仲ではない。すぐに出発の用意を整えるわ！			弓を嗜む者として、あなただけではなく、ギドゥロやジェアンテルさんも、知らない仲ではない。すぐに出発の用意を整えるわ！			想い込められし歌							
……ボルセルから、状況は聞いている。サンソンも、以前は我がギルドで槍術を磨いたものだが、みすみす敵に捉えられるなど、まったく情けない！			……ボルセルから、状況は聞いている。サンソンも、以前は我がギルドで槍術を磨いたものだが、みすみす敵に捉えられるなど、まったく情けない！			想い込められし歌							
旧友であるボルセルの頼みとあらば、俺たちも、かつての門下生救出に協力しよう。出発の準備も、そうかかるまい。			旧友であるボルセルの頼みとあらば、俺たちも、かつての門下生救出に協力しよう。出発の準備も、そうかかるまい。			想い込められし歌							
旧友であるボルセル……そして、お前の頼みとあらば、俺たちも、かつての門下生救出に協力しよう。出発の準備も、そうかかるまい。			旧友であるボルセル……そして、お前の頼みとあらば、俺たちも、かつての門下生救出に協力しよう。出発の準備も、そうかかるまい。			想い込められし歌							
具体的な行動については、「ボルセル大牙佐」の情報を待てばいいのね？それまでに、弓術士を率いて出発の準備を整えておくわ。			具体的な行動については、「ボルセル大牙佐」の情報を待てばいいのね？それまでに、弓術士を率いて出発の準備を整えておくわ。			想い込められし歌							
味方となる槍術士の選定は、もう済んでいる。バンシュロン様の死の真相を知っても動じぬ、冷静な者たちだ。お前は「ボルセル」のところへ戻るといい。			味方となる槍術士の選定は、もう済んでいる。バンシュロン様の死の真相を知っても動じぬ、冷静な者たちだ。お前は「ボルセル」のところへ戻るといい。			想い込められし歌							
さっそく事態が動いたよ……！双蛇党に、ヌールヴァルたちの潜伏先の情報が入った。彼らは、すでに黒衣森まで戻ってきているらしい。			さっそく事態が動いたよ……！双蛇党に、ヌールヴァルたちの潜伏先の情報が入った。彼らは、すでに黒衣森まで戻ってきているらしい。			想い込められし歌							
北部森林に落ちた、ダラガブの破片の近く……。普段は人が立ち入らぬ地で、双蛇党の決断を待っているらしい。			北部森林に落ちた、ダラガブの破片の近く……。普段は人が立ち入らぬ地で、双蛇党の決断を待っているらしい。			想い込められし歌							
ギドゥロ君や、君が手配したギルドの者たちには、僕が連絡しておくから、君も準備を整えたら向かってくれ！統合司令部が派遣する部隊よりも先に、現地に集合するんだ！			ギドゥロ君や、君が手配したギルドの者たちには、僕が連絡しておくから、君も準備を整えたら向かってくれ！統合司令部が派遣する部隊よりも先に、現地に集合するんだ！			想い込められし歌							
僕は、ここに残って双蛇党の動きを遅らせておく……。敵の潜伏先に近い「アルダースプリングス」へ向かってくれ！			僕は、ここに残って双蛇党の動きを遅らせておく……。敵の潜伏先に近い「アルダースプリングス」へ向かってくれ！			想い込められし歌							
敵は「アルダースプリングス」にいるのね……！			敵は「アルダースプリングス」にいるのね……！			想い込められし歌							
俺たちは、周囲の雑魚の相手をする。サンソンの救出は、お前たちに任せたぞ。			俺たちは、周囲の雑魚の相手をする。サンソンの救出は、お前たちに任せたぞ。			想い込められし歌							
敵の潜伏先は「アルダースプリングス」の近くだ。それじゃ、頼んだよ……！			敵の潜伏先は「アルダースプリングス」の近くだ。それじゃ、頼んだよ……！			想い込められし歌							
ふう、なんとか間に合ったな……。危うく、統合司令部の派遣部隊に、先を越されるとこだったぜ。			ふう、なんとか間に合ったな……。危うく、統合司令部の派遣部隊に、先を越されるとこだったぜ。			想い込められし歌							
周囲の雑魚は、ギルドの連中が惹きつけてくれるらしい。俺たちは、うまくヌールヴァルに近づいて、あの野郎をぶっ飛ばすぞ……！			周囲の雑魚は、ギルドの連中が惹きつけてくれるらしい。俺たちは、うまくヌールヴァルに近づいて、あの野郎をぶっ飛ばすぞ……！			想い込められし歌							
おやおや、おふたりとも何の用です……？グリダニアの伝言を伝えるよう、お使いでも頼まれましたか？			おやおや、おふたりとも何の用です……？グリダニアの伝言を伝えるよう、お使いでも頼まれましたか？			想い込められし歌							
へっ、無粋なことしかできねえトントンチキが！あいにく、お前の要求なんざ俺の知ったこっちゃねえな。			へっ、無粋なことしかできねえトントンチキが！あいにく、お前の要求なんざ俺の知ったこっちゃねえな。			想い込められし歌							
……もしや、正式な救出任務ではなく、ただの暴走ですか？もっと賢い人かと思っていましたが……人質が死にますよ？			……もしや、正式な救出任務ではなく、ただの暴走ですか？もっと賢い人かと思っていましたが……人質が死にますよ？			想い込められし歌							
お～う、やってみろよ。要求の返事も聞かねえうちにサンソンを殺しゃ、双蛇党が、お前の要求を飲む目は完全になくなるんだぜ？			お～う、やってみろよ。要求の返事も聞かねえうちにサンソンを殺しゃ、双蛇党が、お前の要求を飲む目は完全になくなるんだぜ？			想い込められし歌							
……なるほど、考えましたねえ。でも、私に勝てなければ、結局ただの暴走に過ぎない……。			……なるほど、考えましたねえ。でも、私に勝てなければ、結局ただの暴走に過ぎない……。			想い込められし歌							
もとより承知の上よぉ！お前らみてえな、根性ねじくれ曲がった無粋者どもは、一度、ぶん殴ってやらねぇと目が覚めないらしいからな！			もとより承知の上よぉ！お前らみてえな、根性ねじくれ曲がった無粋者どもは、一度、ぶん殴ってやらねぇと目が覚めないらしいからな！			想い込められし歌							
お前の考えが、根本から間違っているってこと……。お前を叩きのめした後に、俺たちふたりで狂想曲にして、たっぷりと歌い上げてやるよ！			お前の考えが、根本から間違っているってこと……。お前を叩きのめした後に、俺たちふたりで狂想曲にして、たっぷりと歌い上げてやるよ！			想い込められし歌							
くっ、何故だ……何故わからない！アラミゴなどという卑劣な国家を、何故救わねばならんのです！			くっ、何故だ……何故わからない！アラミゴなどという卑劣な国家を、何故救わねばならんのです！			想い込められし歌							
♪槍を取れ……　平和の魁となるために……♪♪弓を引け……　森を焼く者を防ぐために……♪♪最後に……　すべての者が笑むために……♪			♪槍を取れ……　平和の魁となるために……♪♪弓を引け……　森を焼く者を防ぐために……♪♪最後に……　すべての者が笑むために……♪			想い込められし歌							
そ、その歌は……。何故、あなたがその歌を知って……！			そ、その歌は……。何故、あなたがその歌を知って……！			想い込められし歌							
ジェアンテルの爺さんに協力してもらってさ……。お前の一族が守ってきた、バンシュロンの墓に行ってきたんだ。			ジェアンテルの爺さんに協力してもらってさ……。お前の一族が守ってきた、バンシュロンの墓に行ってきたんだ。			想い込められし歌							
いい歌だよな。彼の墓に刻まれていた歌だよ……。お前の先祖、バンシュロンが愛した歌……。			いい歌だよな。彼の墓に刻まれていた歌だよ……。お前の先祖、バンシュロンが愛した歌……。			想い込められし歌							
この歌……平和のために武器を取れって詩だろう？知ってるか……紅葉戦争の時代に生まれた戦歌の多くには、バンシュロンを称えて、彼が発した言葉が組み込まれてるのさ。			この歌……平和のために武器を取れって詩だろう？知ってるか……紅葉戦争の時代に生まれた戦歌の多くには、バンシュロンを称えて、彼が発した言葉が組み込まれてるのさ。			想い込められし歌							
そうして、バンシュロンの発言をもとに作られた戦歌は、ほとんどに、あるふたつの言葉が入ってるんだ……。「平和」と「協調」って言葉が、よ。			そうして、バンシュロンの発言をもとに作られた戦歌は、ほとんどに、あるふたつの言葉が入ってるんだ……。「平和」と「協調」って言葉が、よ。			想い込められし歌							
……だったら、何ですか。あなたなんかが、バンシュロン様を語るんじゃない！私の一族は、ずっとバンシュロン様の屈辱を晴らすため……！			……だったら、何ですか。あなたなんかが、バンシュロン様を語るんじゃない！私の一族は、ずっとバンシュロン様の屈辱を晴らすため……！			想い込められし歌							
ひとり暗殺の場を逃れたバンシュロン様の息子、ランドルネル様。君にとっては曽祖父様だろうと思うが……彼が何故、父の死に関する真相を公表しなかったと思う？			ひとり暗殺の場を逃れたバンシュロン様の息子、ランドルネル様。君にとっては曽祖父様だろうと思うが……彼が何故、父の死に関する真相を公表しなかったと思う？			想い込められし歌							
……彼は知っていたからだ。自分の父バンシュロンが、どれほど平和を望んでいたか……！			……彼は知っていたからだ。自分の父バンシュロンが、どれほど平和を望んでいたか……！			想い込められし歌							
英雄が暗殺されたと知れれば、森から敵を退けるに留まらず、アラミゴを滅ぼせという声すら高まるだろう。			英雄が暗殺されたと知れれば、森から敵を退けるに留まらず、アラミゴを滅ぼせという声すら高まるだろう。			想い込められし歌							
そうなれば戦争は長期化し、凄惨な結果が引き起こされる。バンシュロン様が望んだ平和の夢は、藻屑と消える。その惨事を予期したからこそ、彼は……。			そうなれば戦争は長期化し、凄惨な結果が引き起こされる。バンシュロン様が望んだ平和の夢は、藻屑と消える。その惨事を予期したからこそ、彼は……。			想い込められし歌							
……そんな、そんな見え透いた嘘はいらないんですよ！バンシュロン様は、アラミゴなど滅んでしまえと、そう願っていたに決まってる！			……そんな、そんな見え透いた嘘はいらないんですよ！バンシュロン様は、アラミゴなど滅んでしまえと、そう願っていたに決まってる！			想い込められし歌							
……わしが何故、君の一族しか知らぬはずの、バンシュロン様の墓標がある場所を知っていたと思う？会ったことがあるからだよ、ランドルネル様に……。			……わしが何故、君の一族しか知らぬはずの、バンシュロン様の墓標がある場所を知っていたと思う？会ったことがあるからだよ、ランドルネル様に……。			想い込められし歌							
彼は、君とおなじように、父であるバンシュロン様のことを誇りに思っていたよ。彼の願い、「平和」という信念も含めてね……。			彼は、君とおなじように、父であるバンシュロン様のことを誇りに思っていたよ。彼の願い、「平和」という信念も含めてね……。			想い込められし歌							
そんな……そんなの、信じられません……！いまさら、そんな馬鹿な……！			そんな……そんなの、信じられません……！いまさら、そんな馬鹿な……！			想い込められし歌							
私の先祖は、みんなアラミゴを恨んでいたんですよ。みんな……みんな、そうに決まってるんです！でなきゃ、私はいったい何を……！			私の先祖は、みんなアラミゴを恨んでいたんですよ。みんな……みんな、そうに決まってるんです！でなきゃ、私はいったい何を……！			想い込められし歌							
……彼らの父祖が犯した過ちを、許してやれとは言わない。だが、約束する……バンシュロン様の死の真相を、歴史に埋もれさせないと。			……彼らの父祖が犯した過ちを、許してやれとは言わない。だが、約束する……バンシュロン様の死の真相を、歴史に埋もれさせないと。			想い込められし歌							
バンシュロン様の意志も、あんたの悲願も、俺たちが受け継ぐ。このまま、何もなかったことになんて決してさせない。彼の死の真相は、絶対に公表してみせる……！			バンシュロン様の意志も、あんたの悲願も、俺たちが受け継ぐ。このまま、何もなかったことになんて決してさせない。彼の死の真相は、絶対に公表してみせる……！			想い込められし歌							
だから、アラミゴでもグリダニアでもなく……。どうか俺たちが創る未来を、信じてくれないか……？			だから、アラミゴでもグリダニアでもなく……。どうか俺たちが創る未来を、信じてくれないか……？			想い込められし歌							
無事に、彼を救い出せてよかったわね！			無事に、彼を救い出せてよかったわね！			想い込められし歌							
あれだけの腕を持つ槍術士だったんだ。ヌールヴァルも、いつか立ち直れるといいな。			あれだけの腕を持つ槍術士だったんだ。ヌールヴァルも、いつか立ち直れるといいな。			想い込められし歌							
サンソン大牙士は無事かい……？			サンソン大牙士は無事かい……？			想い込められし歌							
睨まれんのは、俺たちだけでいい。ほかのみんなには、先に帰ってもらったよ。			睨まれんのは、俺たちだけでいい。ほかのみんなには、先に帰ってもらったよ。			想い込められし歌							
Forenameさん、ありがとうございます。あなたのおかげで助かりました。それにギドゥロも……。			Forenameさん、ありがとうございます。あなたのおかげで助かりました。それにギドゥロも……。			想い込められし歌							
でも、まだ大仕事が残っています……。「双蛇党：統合司令部」へ戻り、今の約束を実現させないと。さあ、帰りましょうか……。			でも、まだ大仕事が残っています……。「双蛇党：統合司令部」へ戻り、今の約束を実現させないと。さあ、帰りましょうか……。			想い込められし歌							
……お待たせしてしまいましたが、紅葉戦争の秘密を記した書物を、お持ちいたしました。この書物を提出するにあたり……条件があります。			……お待たせしてしまいましたが、紅葉戦争の秘密を記した書物を、お持ちいたしました。この書物を提出するにあたり……条件があります。			想い込められし歌							
この書物の真偽をしかと検分した後、ヌールヴァルの主張と歴史の真実を認め、いずれ公表すること。それが、条件です……！			この書物の真偽をしかと検分した後、ヌールヴァルの主張と歴史の真実を認め、いずれ公表すること。それが、条件です……！			想い込められし歌							
サンソン大牙士、君の条件、確かに聞き届けた。僕が、必ずや双蛇党の上層部に伝えておこう……。……僕も、君と同意見だしね。			サンソン大牙士、君の条件、確かに聞き届けた。僕が、必ずや双蛇党の上層部に伝えておこう……。……僕も、君と同意見だしね。			想い込められし歌							
だが、僕だけでは、統合司令部の決定に、異議を唱えつづけるのは大変でね……。君には、早く昇官して僕と肩を並べてもらわないと！			だが、僕だけでは、統合司令部の決定に、異議を唱えつづけるのは大変でね……。君には、早く昇官して僕と肩を並べてもらわないと！			想い込められし歌							
……へっ？　わ、私が昇官ですか？しかし、みすみす敵に捕まるような未熟者では……。			……へっ？　わ、私が昇官ですか？しかし、みすみす敵に捕まるような未熟者では……。			想い込められし歌							
確かに、今回の任務も[GC Rank]Forenameなしには、成し遂げることはできなかっただろう……。彼女彼には、しっかりとお礼を言っておくんだね。			確かに、今回の任務も[GC Rank]Forenameなしには、成し遂げることはできなかっただろう……。彼女彼には、しっかりとお礼を言っておくんだね。			想い込められし歌							
……でも、未熟な部分は、これから成長していけばいい。それに、失敗もあったとはいえ、此度の任務……君たちは、ちゃんと達成してのけたじゃないか！			……でも、未熟な部分は、これから成長していけばいい。それに、失敗もあったとはいえ、此度の任務……君たちは、ちゃんと達成してのけたじゃないか！			想い込められし歌							
へへっ……さっすがボルさん！紅葉戦争の真実、それを記した書物を持ち帰ったんだ。確かに、俺たちはしっかり任務を果たしたぜ！			へへっ……さっすがボルさん！紅葉戦争の真実、それを記した書物を持ち帰ったんだ。確かに、俺たちはしっかり任務を果たしたぜ！			想い込められし歌							
ほれ、期待されて呆けてんじゃねえ！この国の未来を、もっと粋なものにするためにも、気張ってもらわないとなあ……サンソン隊長よぉ！			ほれ、期待されて呆けてんじゃねえ！この国の未来を、もっと粋なものにするためにも、気張ってもらわないとなあ……サンソン隊長よぉ！			想い込められし歌							
……そうだな。部隊の地位を上げるため、ヌールヴァルとの約束のため、俺は、立ち止まるわけにはいかないんだ！			……そうだな。部隊の地位を上げるため、ヌールヴァルとの約束のため、俺は、立ち止まるわけにはいかないんだ！			想い込められし歌							
Forenameさん、すみませんが、任務の報告書を作成するため、俺はここで失礼します！			Forenameさん、すみませんが、任務の報告書を作成するため、俺はここで失礼します！			想い込められし歌							
ご協力、本当にありがとうございました。あなたを見習って、俺も立派な隊長になってみせます……。俺の部隊が奏でる戦歌が、この森都を激励する力となるように！			ご協力、本当にありがとうございました。あなたを見習って、俺も立派な隊長になってみせます……。俺の部隊が奏でる戦歌が、この森都を激励する力となるように！			想い込められし歌							
焦っちゃって、まあ。……ま、あんだけ元気なら傷も大丈夫だろう。			焦っちゃって、まあ。……ま、あんだけ元気なら傷も大丈夫だろう。			想い込められし歌							
俺はサンソンを追っかけるんで、「ジェアンテル」の爺さんに、無事にグリダニアへ帰り着けたこと、伝えといてくんないか？俺らも、落ち着いたら挨拶に行くからよ。			俺はサンソンを追っかけるんで、「ジェアンテル」の爺さんに、無事にグリダニアへ帰り着けたこと、伝えといてくんないか？俺らも、落ち着いたら挨拶に行くからよ。			想い込められし歌							
……しかし、「ジェアンテル」の爺さん、バンシュロンの息子にまで会ったことあるとは……。さすが、伊達に年食ってねえよな！			……しかし、「ジェアンテル」の爺さん、バンシュロンの息子にまで会ったことあるとは……。さすが、伊達に年食ってねえよな！			想い込められし歌							
では、「ジェアンテル」さんへの連絡は頼んだよ。……しかし、ギドゥロ君、ボルさん呼びはやめてくれないのかな。一応、僕にも立場が……。			では、「ジェアンテル」さんへの連絡は頼んだよ。……しかし、ギドゥロ君、ボルさん呼びはやめてくれないのかな。一応、僕にも立場が……。			想い込められし歌							
……そうか、上層部からは疎まれるかもしれないが、サンソンたちは、かけがえのない協力者を得られたようだね。若い者たちが道を切り開いていく姿は、本当に眩しいものだ。			……そうか、上層部からは疎まれるかもしれないが、サンソンたちは、かけがえのない協力者を得られたようだね。若い者たちが道を切り開いていく姿は、本当に眩しいものだ。			想い込められし歌							
ヌールヴァルも彼らのように、未来を生きるべく、立ち直ってくれることを願うよ……。			ヌールヴァルも彼らのように、未来を生きるべく、立ち直ってくれることを願うよ……。			想い込められし歌							
わしに、弓と歌を教えてくれた好々爺……。愚直に紅葉戦争の英雄である父の墓を守りつづけていた、あの頑固爺さんには、わしも世話になったしな……。			わしに、弓と歌を教えてくれた好々爺……。愚直に紅葉戦争の英雄である父の墓を守りつづけていた、あの頑固爺さんには、わしも世話になったしな……。			想い込められし歌							
バンシュロン様、そしてランドルネル様の意志は、ヌールヴァルの代まで受け継がれず、捻れてしまったが……。此度を契機に、正確な歴史とその想いが広まることを信じよう。			バンシュロン様、そしてランドルネル様の意志は、ヌールヴァルの代まで受け継がれず、捻れてしまったが……。此度を契機に、正確な歴史とその想いが広まることを信じよう。			想い込められし歌							
「吟遊詩人」の物語が、ひとつの区切りを迎えました！次の「吟遊詩人」のジョブクエストを開始するためには、以下の条件を満たす必要があります。			「吟遊詩人」の物語が、ひとつの区切りを迎えました！次の「吟遊詩人」のジョブクエストを開始するためには、以下の条件を満たす必要があります。			想い込められし歌							
1.「漆黒のヴィランズ」のプレイ権を所有している。2.「メインクエスト：漆黒のヴィランズ」の、　「漆黒のヴィランズ」を完了する。			1.「漆黒のヴィランズ」のプレイ権を所有している。2.「メインクエスト：漆黒のヴィランズ」の、　「漆黒のヴィランズ」を完了する。			想い込められし歌							
3.ファイター系DPSロールの、　「ロールクエスト 漆黒編」を完了する。			3.ファイター系DPSロールの、　「ロールクエスト 漆黒編」を完了する。			想い込められし歌							
条件を満たし、クォーリーミルの西にいる、「ジェアンテル」に話しかけ、新たなジョブクエストを開始しましょう！			条件を満たし、クォーリーミルの西にいる、「ジェアンテル」に話しかけ、新たなジョブクエストを開始しましょう！			想い込められし歌							
容赦はしません……！我が悲願の前に立ちはだかる者は、みな沈んでもらう！！			容赦はしません……！我が悲願の前に立ちはだかる者は、みな沈んでもらう！！			想い込められし歌							
ケッ！　過去にばっか縛られやがって……！俺たちが、その目ぇ覚ましてやんよ！！			ケッ！　過去にばっか縛られやがって……！俺たちが、その目ぇ覚ましてやんよ！！			想い込められし歌							
やりますねえ……！　それでも、私は……！こんな志半ばで、倒れるわけにはいかないんですよォォ！！！			やりますねえ……！　それでも、私は……！こんな志半ばで、倒れるわけにはいかないんですよォォ！！！			想い込められし歌							
くっ、なんちゅう気迫だ。ヤツの闘志を、ビンビン感じるぜ……！			くっ、なんちゅう気迫だ。ヤツの闘志を、ビンビン感じるぜ……！			想い込められし歌							
こっちも負けてらんねえな！Forename、俺の歌で闘志を燃やしてやるぜ！！			こっちも負けてらんねえな！Forename、俺の歌で闘志を燃やしてやるぜ！！			想い込められし歌							
いい加減、耳障りなんですよ！　あなたの歌はねえ！！			いい加減、耳障りなんですよ！　あなたの歌はねえ！！			想い込められし歌							
ぐあ！　くそっ、身動きが……！すまん、Forename、この鎖を壊してくれ！！			ぐあ！　くそっ、身動きが……！すまん、Forename、この鎖を壊してくれ！！			想い込められし歌							
いつまでも、粘りますねえ……！そんなに死にたいなら、この技で地獄へ送ってあげましょう！			いつまでも、粘りますねえ……！そんなに死にたいなら、この技で地獄へ送ってあげましょう！			想い込められし歌							
気をつけろ、なーんか仕掛けてくるぞ！！			気をつけろ、なーんか仕掛けてくるぞ！！			想い込められし歌							
うおっ！？　固まってるとやばいな……。Forename、散開しながら戦うぞ！			うおっ！？　固まってるとやばいな……。Forename、散開しながら戦うぞ！			想い込められし歌							
クソッ、すまねえ……！手間かけちまう……。			クソッ、すまねえ……！手間かけちまう……。			想い込められし歌							
さあ……ギドゥロさんは限界のようですよ。あなたも、そろそろ諦めなさい！！			さあ……ギドゥロさんは限界のようですよ。あなたも、そろそろ諦めなさい！！			想い込められし歌							
（★未使用／削除予定★） 			（★未使用／削除予定★） 			想い込められし歌							
（★未使用／削除予定★） 			（★未使用／削除予定★） 			想い込められし歌							
（★未使用／削除予定★） 			（★未使用／削除予定★） 			想い込められし歌							
（★未使用／削除予定★） 			（★未使用／削除予定★） 			想い込められし歌							
（★未使用／削除予定★） 			（★未使用／削除予定★） 			想い込められし歌							
（★未使用／削除予定★） 			（★未使用／削除予定★） 			想い込められし歌							
（★未使用／削除予定★） 			（★未使用／削除予定★） 			想い込められし歌							
（★未使用／削除予定★） 			（★未使用／削除予定★） 			想い込められし歌							
（★未使用／削除予定★） 			（★未使用／削除予定★） 			想い込められし歌							
クォーリーミルの西にいるジェアンテルは、冒険者との再会を喜んでいるようだ。			クォーリーミルの西にいるジェアンテルは、冒険者との再会を喜んでいるようだ。			蒼天に響く三重奏							
前回までの冒険録：100年前、グリダニアとアラミゴの間で起きた紅葉戦争の真実を公開することで、反アラミゴ勢力を拡大させようと目論む青年ヌールヴァル。彼は、紅葉戦争でアラミゴに暗殺された名将バンシュロンの子孫だった。ヌールヴァルとその信望者を打倒し、サンソンは真相が記された書物を双蛇党に提出することを決める。しかし、双蛇党が真相を闇に葬ろうとした場合は、断固戦うつもりだと決意を語るのだった。　　　　　　　　　　　　*　*　*冒険者と会いたがっていたのは、ジェアンテルだけではないらしい。グリダニアの新市街で「サンソン大牙士」と話そう。			前回までの冒険録：100年前、グリダニアとアラミゴの間で起きた紅葉戦争の真実を公開することで、反アラミゴ勢力を拡大させようと目論む青年ヌールヴァル。彼は、紅葉戦争でアラミゴに暗殺された名将バンシュロンの子孫だった。ヌールヴァルとその信望者を打倒し、サンソンは真相が記された書物を双蛇党に提出することを決める。しかし、双蛇党が真相を闇に葬ろうとした場合は、断固戦うつもりだと決意を語るのだった。　　　　　　　　　　　　*　*　*冒険者と会いたがっていたのは、ジェアンテルだけではないらしい。グリダニアの新市街で「サンソン大牙士」と話そう。			蒼天に響く三重奏							
サンソンの部下たちに向け、ジェアンテル、ギドゥロと3人で詩歌を披露することになった。東部森林のナインアイビーで「ジェアンテル」と話そう。			サンソンの部下たちに向け、ジェアンテル、ギドゥロと3人で詩歌を披露することになった。東部森林のナインアイビーで「ジェアンテル」と話そう。			蒼天に響く三重奏							
ギドゥロが姿を現すよう呼びかけることになった。ナインアイビーの「指定地点」で、チャットの会話モードを「Say」モードにし、キーボードやソフトウェアキーボードで『ギドゥロ』を含む言葉を入力して、「ギドゥロ」に呼びかけよう。			ギドゥロが姿を現すよう呼びかけることになった。ナインアイビーの「指定地点」で、チャットの会話モードを「Say」モードにし、キーボードやソフトウェアキーボードで『ギドゥロ』を含む言葉を入力して、「ギドゥロ」に呼びかけよう。			蒼天に響く三重奏							
ギドゥロは周囲にはいないようだった。ナインアイビーをさらに奥へと進み、「指定地点」で、チャットの会話モードを「Say」モードにし、キーボードやソフトウェアキーボードで『ギドゥロ』を含む言葉を入力して、「ギドゥロ」に呼びかけよう。			ギドゥロは周囲にはいないようだった。ナインアイビーをさらに奥へと進み、「指定地点」で、チャットの会話モードを「Say」モードにし、キーボードやソフトウェアキーボードで『ギドゥロ』を含む言葉を入力して、「ギドゥロ」に呼びかけよう。			蒼天に響く三重奏							
ギドゥロも合奏を了解した。グリダニアのグリダニア・ランディングで「サンソン大牙士」と話そう。			ギドゥロも合奏を了解した。グリダニアのグリダニア・ランディングで「サンソン大牙士」と話そう。			蒼天に響く三重奏							
アバラシア雲海に、吟遊詩人による三重奏が響き渡った。グリダニア・ランディングで「サンソン大牙士」と話そう。			アバラシア雲海に、吟遊詩人による三重奏が響き渡った。グリダニア・ランディングで「サンソン大牙士」と話そう。			蒼天に響く三重奏							
サンソン大牙士の部隊の者たちは、それぞれ気持ちに変化があったようだ。若者の未来を眩しく見つめるジェアンテルだったが、彼自身も冒険者との合奏で戦場を駆けていた頃を思い出したようだ。冒険者たちの生み出した詩歌は、はるか後世まで語り継がれていくことだろう。			サンソン大牙士の部隊の者たちは、それぞれ気持ちに変化があったようだ。若者の未来を眩しく見つめるジェアンテルだったが、彼自身も冒険者との合奏で戦場を駆けていた頃を思い出したようだ。冒険者たちの生み出した詩歌は、はるか後世まで語り継がれていくことだろう。			蒼天に響く三重奏							
グリダニアのサンソン大牙士と話す			グリダニアのサンソン大牙士と話す			蒼天に響く三重奏							
東部森林のジェアンテルと話す			東部森林のジェアンテルと話す			蒼天に響く三重奏							
チャットの「Say」モードで『ギドゥロ』を含む言葉を入力し、指定地点でギドゥロに呼びかける			チャットの「Say」モードで『ギドゥロ』を含む言葉を入力し、指定地点でギドゥロに呼びかける			蒼天に響く三重奏							
チャットの「Say」モードで『ギドゥロ』を含む言葉を入力し、指定地点でもう一度ギドゥロに呼びかける			チャットの「Say」モードで『ギドゥロ』を含む言葉を入力し、指定地点でもう一度ギドゥロに呼びかける			蒼天に響く三重奏							
グリダニア・ランディングのサンソン大牙士と話す			グリダニア・ランディングのサンソン大牙士と話す			蒼天に響く三重奏							
サンソン大牙士と話す			サンソン大牙士と話す			蒼天に響く三重奏							
やあ、息災なようで何よりだよ。この老骨をわざわざ訪ねてきてくれるとは嬉しいものだ。			やあ、息災なようで何よりだよ。この老骨をわざわざ訪ねてきてくれるとは嬉しいものだ。			蒼天に響く三重奏							
再会を祝して、一曲披露したいところだが……わしと同じく……いや、わし以上にかな。お主に会いたがっていた者がいるのだ。			再会を祝して、一曲披露したいところだが……わしと同じく……いや、わし以上にかな。お主に会いたがっていた者がいるのだ。			蒼天に響く三重奏							
お察しかもしれないが……双蛇党の「サンソン」だよ。よければ「グリダニア」まで、彼に会いに行かないかい？			お察しかもしれないが……双蛇党の「サンソン」だよ。よければ「グリダニア」まで、彼に会いに行かないかい？			蒼天に響く三重奏							
双蛇党の「サンソン」も、お主にひどく会いたがっていた。「グリダニア」まで、彼に会いに行こうではないか。			双蛇党の「サンソン」も、お主にひどく会いたがっていた。「グリダニア」まで、彼に会いに行こうではないか。			蒼天に響く三重奏							
横にいる彼らも、吟遊詩人だ。サンソンの部下であり、わしの教え子でもある。			横にいる彼らも、吟遊詩人だ。サンソンの部下であり、わしの教え子でもある。			蒼天に響く三重奏							
Forenameさん、よくぞご無事で！ギムリトの前線から救い出された後、姿を消したと聞いて、もう心配でなりませんでした！			Forenameさん、よくぞご無事で！ギムリトの前線から救い出された後、姿を消したと聞いて、もう心配でなりませんでした！			蒼天に響く三重奏							
国境地帯での戦いには、俺の部隊も参加していたんです。厳しい戦いでしたから……命の危険を感じたことも、一度や二度ではありませんでした。			国境地帯での戦いには、俺の部隊も参加していたんです。厳しい戦いでしたから……命の危険を感じたことも、一度や二度ではありませんでした。			蒼天に響く三重奏							
大変な戦場だったらしいな……。みな、無事に帰還できてよかった。			大変な戦場だったらしいな……。みな、無事に帰還できてよかった。			蒼天に響く三重奏							
それもギドゥロのおかげですよ……。戦場で、幾度も友軍を救い鼓舞していましたから。			それもギドゥロのおかげですよ……。戦場で、幾度も友軍を救い鼓舞していましたから。			蒼天に響く三重奏							
