イシュガルド上層の不安げな商人は、飛空艇が帰還しないことを心配しているようだ。			イシュガルド上層の不安げな商人は、飛空艇が帰還しないことを心配しているようだ。			空賊たち							
フフンッ、泣きべそかくような女はつまらないんだろう？この空のためにできることを、アタイなりに模索したまでだよ。群れるのを嫌う空賊も、この美貌の前にはひれ伏すのさ！			フフンッ、泣きべそかくような女はつまらないんだろう？この空のためにできることを、アタイなりに模索したまでだよ。群れるのを嫌う空賊も、この美貌の前にはひれ伏すのさ！			影の国ダン・スカー							
アンタ、どうやら怪我をしちまったようだねえ？妖異の討伐とやらは、アタイとそこの冒険者に任せて、レオファードは、おとなしく引っ込んでな！			アンタ、どうやら怪我をしちまったようだねえ？妖異の討伐とやらは、アタイとそこの冒険者に任せて、レオファードは、おとなしく引っ込んでな！			影の国ダン・スカー							
……ふん、まったく大した女傑様だ。だがな、俺抜きで話を進めようなんざ、百年早い……。この程度の怪我、屁でもねえんだよ。			……ふん、まったく大した女傑様だ。だがな、俺抜きで話を進めようなんざ、百年早い……。この程度の怪我、屁でもねえんだよ。			影の国ダン・スカー							
……いや、レオファードはここに残れ。ディアボロスのもとへは、我らだけで向かう。			……いや、レオファードはここに残れ。ディアボロスのもとへは、我らだけで向かう。			影の国ダン・スカー							
事態は一刻を争う、貴様の回復を待つ時間も惜しい。そこの女……ラドリア殿が駆けつけてくれた今こそ、迅速にことを進めるべきだ！			事態は一刻を争う、貴様の回復を待つ時間も惜しい。そこの女……ラドリア殿が駆けつけてくれた今こそ、迅速にことを進めるべきだ！			影の国ダン・スカー							
……あ？　なにを抜かしてんだ、お前？お前らじゃ、Forenameの荷物になるだけだろう。第一、敵の潜伏先も不明瞭な状態で、なにが迅速にだ！			……あ？　なにを抜かしてんだ、お前？お前らじゃ、Forenameの荷物になるだけだろう。第一、敵の潜伏先も不明瞭な状態で、なにが迅速にだ！			影の国ダン・スカー							
その点も、ラドリア殿が解決してくれよう……。彼女がかつて降り立ち、マハの書物を見つけた浮島こそ、ディアボロスの潜伏先に違いないと、私は睨んでおるのだ……！			その点も、ラドリア殿が解決してくれよう……。彼女がかつて降り立ち、マハの書物を見つけた浮島こそ、ディアボロスの潜伏先に違いないと、私は睨んでおるのだ……！			影の国ダン・スカー							
どうやら、マハの書物が発見されたという浮島は、大洪水から移民するため、マハが建造した人工島だったようでな。その建造にも、妖異の知識が用いられていたらしい……。			どうやら、マハの書物が発見されたという浮島は、大洪水から移民するため、マハが建造した人工島だったようでな。その建造にも、妖異の知識が用いられていたらしい……。			影の国ダン・スカー							
だが、魔航船「アーク」が雲海に消えたことで、移民計画は頓挫し、浮島も誰も立ち入らず放置されていたようだ。ディアボロスどもが潜むには、うってつけの場所と言える。			だが、魔航船「アーク」が雲海に消えたことで、移民計画は頓挫し、浮島も誰も立ち入らず放置されていたようだ。ディアボロスどもが潜むには、うってつけの場所と言える。			影の国ダン・スカー							
「要」を奪い返したばかりで、敵も油断しているはず……。奴の配下の妖異も「大鷲連合」の助力があれば退けられよう。その隙を突いて「要」を奪取し、妖異を消滅させるのだ！			「要」を奪い返したばかりで、敵も油断しているはず……。奴の配下の妖異も「大鷲連合」の助力があれば退けられよう。その隙を突いて「要」を奪取し、妖異を消滅させるのだ！			影の国ダン・スカー							
……レオファード、貴様ほどの空賊ならわかるはず。計画の遂行には、妖異どもの虚を突く迅速さが肝要。怪我人は足手まとい……むしろ無駄死にするだけだというのが。			……レオファード、貴様ほどの空賊ならわかるはず。計画の遂行には、妖異どもの虚を突く迅速さが肝要。怪我人は足手まとい……むしろ無駄死にするだけだというのが。			影の国ダン・スカー							
……へっ、足手まといだの無駄死にだの、偉そうにペラペラと。本当に……胸糞悪い頑固ジジイだぜ。			……へっ、足手まといだの無駄死にだの、偉そうにペラペラと。本当に……胸糞悪い頑固ジジイだぜ。			影の国ダン・スカー							
そうまでコケにされて、お前に付き合う義理もねえ。俺抜きで計画を成し遂げられるってんなら、勝手にしな……。……これで「要」までたどり着けなかったら承知しねえぞ。			そうまでコケにされて、お前に付き合う義理もねえ。俺抜きで計画を成し遂げられるってんなら、勝手にしな……。……これで「要」までたどり着けなかったら承知しねえぞ。			影の国ダン・スカー							
……ラドリア殿、霊風の羅針盤が指し示す方位と、「大鷲連合」の航空記録を照らし合わせてほしい。きっと、件の浮島が指し示されるはずだ。			……ラドリア殿、霊風の羅針盤が指し示す方位と、「大鷲連合」の航空記録を照らし合わせてほしい。きっと、件の浮島が指し示されるはずだ。			影の国ダン・スカー							
……わかった、敵地への「足」も任せときな。とっておきの巨大飛空艇を用意してあるんだ。空賊の面子にかけて、アンタら冒険者部隊を送り届けてやるよ！			……わかった、敵地への「足」も任せときな。とっておきの巨大飛空艇を用意してあるんだ。空賊の面子にかけて、アンタら冒険者部隊を送り届けてやるよ！			影の国ダン・スカー							
今回は、お前との冒険はお預けだな……。安心しろ、ちゃんと大人しくしているさ……ちゃんと、な。			今回は、お前との冒険はお預けだな……。安心しろ、ちゃんと大人しくしているさ……ちゃんと、な。			影の国ダン・スカー							
……これで、良い。奴の回復を待つ時間がないのも、怪我人が足手まといなのも、すべて歴とした事実。			……これで、良い。奴の回復を待つ時間がないのも、怪我人が足手まといなのも、すべて歴とした事実。			影の国ダン・スカー							
あやつの成すべきことは、妖異と刺し違えて死ぬことではない。妖異亡き後に、この空を自由に飛ぶことのはずだ……。今回は我らのみで、ことを成しとげてみせようぞ。			あやつの成すべきことは、妖異と刺し違えて死ぬことではない。妖異亡き後に、この空を自由に飛ぶことのはずだ……。今回は我らのみで、ことを成しとげてみせようぞ。			影の国ダン・スカー							
あの怪我じゃ無駄死にするだけ……その意見が正しい。だから、珍しくレオファードも引き下がった。そう、レオファードは置いていくべき、なのよね……。			あの怪我じゃ無駄死にするだけ……その意見が正しい。だから、珍しくレオファードも引き下がった。そう、レオファードは置いていくべき、なのよね……。			影の国ダン・スカー							
みんなが出発した後、あたしが、ひとりでレオファードの相手をするんだよね……。うに～……コイツ、荒れそうだなあ……。			みんなが出発した後、あたしが、ひとりでレオファードの相手をするんだよね……。うに～……コイツ、荒れそうだなあ……。			影の国ダン・スカー							
イシュガルドが建造途中で放棄したデカブツを手に入れたんだ。連中、本気でドラゴンとの空中戦を考えてたらしくてねぇ……。要求スペックが高すぎて、計画が頓挫したらしい。			イシュガルドが建造途中で放棄したデカブツを手に入れたんだ。連中、本気でドラゴンとの空中戦を考えてたらしくてねぇ……。要求スペックが高すぎて、計画が頓挫したらしい。			影の国ダン・スカー							
そこで、アタイらは「小回り」を捨てて、「頑丈さ」だけを追求した、言わば「空飛ぶ要塞」に造り替えた。まぁ、見てなって、簡単には墜ちやしないからさ！			そこで、アタイらは「小回り」を捨てて、「頑丈さ」だけを追求した、言わば「空飛ぶ要塞」に造り替えた。まぁ、見てなって、簡単には墜ちやしないからさ！			影の国ダン・スカー							
Forename殿、まだ油断は禁物であるぞ！奴の重苦しい妖気は消えておらぬ……！			Forename殿、まだ油断は禁物であるぞ！奴の重苦しい妖気は消えておらぬ……！			影の国ダン・スカー							
おや、結局Forenameが倒しちまったのかい？なんだ、「要」とやらの出番もなかったね！			おや、結局Forenameが倒しちまったのかい？なんだ、「要」とやらの出番もなかったね！			影の国ダン・スカー							
う、うつけ者が！　迂闊に動くでない！！奴は、まだこの周囲に潜んでおるぞ！			う、うつけ者が！　迂闊に動くでない！！奴は、まだこの周囲に潜んでおるぞ！			影の国ダン・スカー							
ようやく……ようやく女王の力を奪ったというのに、まさか、貴様らごときに邪魔をされるとはな……！			ようやく……ようやく女王の力を奪ったというのに、まさか、貴様らごときに邪魔をされるとはな……！			影の国ダン・スカー							
一度、我が故郷に戻り、態勢を立て直させてもらう……。この力が、我の身体により馴染んだそのときに、此度の屈辱の礼を……貴様らを殺してやろうぞ……！			一度、我が故郷に戻り、態勢を立て直させてもらう……。この力が、我の身体により馴染んだそのときに、此度の屈辱の礼を……貴様らを殺してやろうぞ……！			影の国ダン・スカー							
(-聞き覚えのある怒声-)この……大ボケねこジジイ！　のんきに眠り込んでんじゃねえ！！こんなときに、役立たずでいる気かぁ！！！！			(-聞き覚えのある怒声-)この……大ボケねこジジイ！　のんきに眠り込んでんじゃねえ！！こんなときに、役立たずでいる気かぁ！！！！			影の国ダン・スカー							
ああ、レオファード……貴様の叱咤の通り、だ……！主の使命、古よりの因縁……今こそ……今こそ、終わらせる！！			ああ、レオファード……貴様の叱咤の通り、だ……！主の使命、古よりの因縁……今こそ……今こそ、終わらせる！！			影の国ダン・スカー							
ぐ、ぐがああああ！！！　そんな、我の力が消え、て……！1500年の宿願が……こんな、こんなぁぁぁぁぁぁぁぁ！！！！			ぐ、ぐがああああ！！！　そんな、我の力が消え、て……！1500年の宿願が……こんな、こんなぁぁぁぁぁぁぁぁ！！！！			影の国ダン・スカー							
……そうね、私たちがどう気遣おうと無駄だった。こうして勝手に無茶しちゃうのが、レオファードなのよね……。			……そうね、私たちがどう気遣おうと無駄だった。こうして勝手に無茶しちゃうのが、レオファードなのよね……。			影の国ダン・スカー							
……ふん……俺を大人しく留守番させようなんて、要らんお節介なん、だよ……。			……ふん……俺を大人しく留守番させようなんて、要らんお節介なん、だよ……。			影の国ダン・スカー							
しかし、ネコじじいめ、大口叩いたくせに気絶しちまうとは。主の無念を晴らして世界を守るっつう、その意志……。今、果たさずに、いつ果たすってんだか……。			しかし、ネコじじいめ、大口叩いたくせに気絶しちまうとは。主の無念を晴らして世界を守るっつう、その意志……。今、果たさずに、いつ果たすってんだか……。			影の国ダン・スカー							
ま、主から託された願いは、見事果たしてみせたんだ。多少は、認めてやるとするかね……。			ま、主から託された願いは、見事果たしてみせたんだ。多少は、認めてやるとするかね……。			影の国ダン・スカー							
…………作戦は成功したが、結局は、レオファードに頼ることになってしまった。Forename殿と此奴がおらねば、私は……。			…………作戦は成功したが、結局は、レオファードに頼ることになってしまった。Forename殿と此奴がおらねば、私は……。			影の国ダン・スカー							
……大丈夫、命に別状はないわ。こんな無謀なことして、もし死んじゃってたら……。もう、本当に無茶ばかりして……馬鹿……。			……大丈夫、命に別状はないわ。こんな無謀なことして、もし死んじゃってたら……。もう、本当に無茶ばかりして……馬鹿……。			影の国ダン・スカー							
また、レオファードに助けられるとはねぇ……。だいぶ満身創痍のようだが、元気になってもらわないと困るよ。……でなきゃ今後、素直に敵対できやしない。			また、レオファードに助けられるとはねぇ……。だいぶ満身創痍のようだが、元気になってもらわないと困るよ。……でなきゃ今後、素直に敵対できやしない。			影の国ダン・スカー							
……心配も説教も無用だ。お前も、本気で俺を止められるなんざ思ってなかったろう？たとえ無茶だろうが、俺は俺の思うよう自由にやるんだよ。			……心配も説教も無用だ。お前も、本気で俺を止められるなんざ思ってなかったろう？たとえ無茶だろうが、俺は俺の思うよう自由にやるんだよ。			影の国ダン・スカー							
それに、どうだ。妖異どもを消滅させ、味方には死人もなし。今回の作戦は、見事に大成功じゃねえか。			それに、どうだ。妖異どもを消滅させ、味方には死人もなし。今回の作戦は、見事に大成功じゃねえか。			影の国ダン・スカー							
…………ただ、仕方なかったとはいえ、レミーユ号……あいつには、悪いことをしたな……。あの浮島を、俺の愛機の墓場にさせちまった。			…………ただ、仕方なかったとはいえ、レミーユ号……あいつには、悪いことをしたな……。あの浮島を、俺の愛機の墓場にさせちまった。			影の国ダン・スカー							
イディルシャイアのスリップスリクスは、何かに悩んでいるようだ。			イディルシャイアのスリップスリクスは、何かに悩んでいるようだ。			いにしえの鼓動							
スリップスリクスによると、空賊たちが「影の国ダン・スカー」付近で妙な「バケモノ」を目撃したという噂が流れているらしい。「バケモノ」を探し出して一部を持ち帰ることで、その謎に近づくことができるかもしれない。「影の国ダン・スカー」を攻略しよう。※コンテンツファインダーから攻略に参加できます。			スリップスリクスによると、空賊たちが「影の国ダン・スカー」付近で妙な「バケモノ」を目撃したという噂が流れているらしい。「バケモノ」を探し出して一部を持ち帰ることで、その謎に近づくことができるかもしれない。「影の国ダン・スカー」を攻略しよう。※コンテンツファインダーから攻略に参加できます。			いにしえの鼓動							
「影の国ダン・スカー」で遭遇した飛行生物から、装甲片の一部を入手した。イディルシャイアで待つ「スリップスリクス」に渡そう。			「影の国ダン・スカー」で遭遇した飛行生物から、装甲片の一部を入手した。イディルシャイアで待つ「スリップスリクス」に渡そう。			いにしえの鼓動							
「影の国ダン・スカー」で遭遇した飛行生物は、古代アラグ帝国が造りし蛮神兵器だったようだ。なぜ蛮神兵器が「影の国ダン・スカー」に現れたのかについては、スリップスリクスの仮説によると、「影の国ダン・スカー」にひしめく妖異を、蛮神と誤認識したのではないかということだ。今回の報酬として譲り受けた、「プロトアルテマ装甲片」をスリムシクスに渡すことで、おどろく逸品を作成してもらえるらしい。			「影の国ダン・スカー」で遭遇した飛行生物は、古代アラグ帝国が造りし蛮神兵器だったようだ。なぜ蛮神兵器が「影の国ダン・スカー」に現れたのかについては、スリップスリクスの仮説によると、「影の国ダン・スカー」にひしめく妖異を、蛮神と誤認識したのではないかということだ。今回の報酬として譲り受けた、「プロトアルテマ装甲片」をスリムシクスに渡すことで、おどろく逸品を作成してもらえるらしい。			いにしえの鼓動							
「影の国ダン・スカー」を攻略			「影の国ダン・スカー」を攻略			いにしえの鼓動							
「アラグ兵器の残骸」をスリップスリクスに渡す			「アラグ兵器の残骸」をスリップスリクスに渡す			いにしえの鼓動							
シュコォ……シュコォ……ウワサに　聞いたゾ　オマエのハナシ！お客の空賊　言ってたゾ！			シュコォ……シュコォ……ウワサに　聞いたゾ　オマエのハナシ！お客の空賊　言ってたゾ！			いにしえの鼓動							
雲海果ての　「影の国ダン・スカー」オマエ　行って帰ってきたと！さすがは　腕利き冒険者　ゴブは関心　大満足！			雲海果ての　「影の国ダン・スカー」オマエ　行って帰ってきたと！さすがは　腕利き冒険者　ゴブは関心　大満足！			いにしえの鼓動							
雲海果ての　「影の国ダン・スカー」にこれから　オマエが　乗り込むと！さすがは　腕利き冒険者　ゴブは関心　大満足！			雲海果ての　「影の国ダン・スカー」にこれから　オマエが　乗り込むと！さすがは　腕利き冒険者　ゴブは関心　大満足！			いにしえの鼓動							
それから　空賊　ハナシてた！最近　「影の国ダン・スカー」　周辺空域妙な「バケモノ」飛んでるらしい！			それから　空賊　ハナシてた！最近　「影の国ダン・スカー」　周辺空域妙な「バケモノ」飛んでるらしい！			いにしえの鼓動							
ソイツは竜か　古代の兵器か　結局まったく正体不明！それでもゴブは　知りたいゾ　どうにか正体　突き止めたい！			ソイツは竜か　古代の兵器か　結局まったく正体不明！それでもゴブは　知りたいゾ　どうにか正体　突き止めたい！			いにしえの鼓動							
だから　オマエに　依頼をお願い！「影の国ダン・スカー」　出かけて　「バケモノ」探しソイツの一部をはぎ取って　ゴブに届けてくれないか？			だから　オマエに　依頼をお願い！「影の国ダン・スカー」　出かけて　「バケモノ」探しソイツの一部をはぎ取って　ゴブに届けてくれないか？			いにしえの鼓動							
だから　オマエに　依頼をお願い！「影の国ダン・スカー」　辿り着いたら　「バケモノ」探しソイツの一部をはぎ取って　ゴブに届けてくれないか？			だから　オマエに　依頼をお願い！「影の国ダン・スカー」　辿り着いたら　「バケモノ」探しソイツの一部をはぎ取って　ゴブに届けてくれないか？			いにしえの鼓動							
本クエストを受注している状態で、「影の国ダン・スカー」を最後まで攻略すると、クエストの進行に必要なアイテムを入手することが可能です。			本クエストを受注している状態で、「影の国ダン・スカー」を最後まで攻略すると、クエストの進行に必要なアイテムを入手することが可能です。			いにしえの鼓動							
シュコォ……シュコォ……再び会ったな　スゴ腕冒険者！			シュコォ……シュコォ……再び会ったな　スゴ腕冒険者！			いにしえの鼓動							
オマエがくれた　「蛮神兵器」一部　とても研究役立った！でもでも　まだまだ　足りないの！だから　オマエに　またお願い！			オマエがくれた　「蛮神兵器」一部　とても研究役立った！でもでも　まだまだ　足りないの！だから　オマエに　またお願い！			いにしえの鼓動							
「影の国ダン・スカー」　出かけて　「蛮神兵器」探し！ソイツの一部をはぎ取って　ゴブに届けてくれないか？よろしく頼むな　スゴ腕冒険者！			「影の国ダン・スカー」　出かけて　「蛮神兵器」探し！ソイツの一部をはぎ取って　ゴブに届けてくれないか？よろしく頼むな　スゴ腕冒険者！			いにしえの鼓動							
シュコォ……シュコォ……気になるゾ　調べたいゾ　あのウワサ！どこかにいないか　腕利き冒険者！			シュコォ……シュコォ……気になるゾ　調べたいゾ　あのウワサ！どこかにいないか　腕利き冒険者！			いにしえの鼓動							
本クエストを受注するには、レイドコンテンツ「影の国ダン・スカー」を、開放する必要があります。			本クエストを受注するには、レイドコンテンツ「影の国ダン・スカー」を、開放する必要があります。			いにしえの鼓動							
オマエ　「影の国ダン・スカー」まで　ひとっ飛び！「バケモノ」　やっつけ　一部をゴブまで　持ってこい！オマエに頼んだ　大仕事！			オマエ　「影の国ダン・スカー」まで　ひとっ飛び！「バケモノ」　やっつけ　一部をゴブまで　持ってこい！オマエに頼んだ　大仕事！			いにしえの鼓動							
またまた　「影の国ダン・スカー」まで　ひとっ飛び！「蛮神兵器」　やっつけ　一部をゴブまで　持ってこい！オマエに頼んだ　大仕事！			またまた　「影の国ダン・スカー」まで　ひとっ飛び！「蛮神兵器」　やっつけ　一部をゴブまで　持ってこい！オマエに頼んだ　大仕事！			いにしえの鼓動							
シュコォ……シュコォ……「影の国ダン・スカー」の　「バケモノ」　見つけたか？			シュコォ……シュコォ……「影の国ダン・スカー」の　「バケモノ」　見つけたか？			いにしえの鼓動							
こいつが　ウワサの「バケモノ」一部！？こいつは　びっくり　驚いた！			こいつが　ウワサの「バケモノ」一部！？こいつは　びっくり　驚いた！			いにしえの鼓動							
もしかして　こいつは　アラグの　「蛮神兵器」！？使われてる物質　よく似てるみたい！でもでも　どうして　「影の国ダン・スカー」に？			もしかして　こいつは　アラグの　「蛮神兵器」！？使われてる物質　よく似てるみたい！でもでも　どうして　「影の国ダン・スカー」に？			いにしえの鼓動							
そういや　あの一帯　妖異がたくさん！強い妖異　蛮神と　勘違いしたか？			そういや　あの一帯　妖異がたくさん！強い妖異　蛮神と　勘違いしたか？			いにしえの鼓動							
さっそく　とにかく　調べてみるゾ！研究　探索　大挑戦！			さっそく　とにかく　調べてみるゾ！研究　探索　大挑戦！			いにしえの鼓動							
そうそう　オマエに　お礼もするゾ！「蛮神兵器」一部　謎の金属　より分け　取り分け　お裾分け！			そうそう　オマエに　お礼もするゾ！「蛮神兵器」一部　謎の金属　より分け　取り分け　お裾分け！			いにしえの鼓動							
スリムシクス　なかなか　どうして　スゴ腕職人！コイツを渡せば　おどろく逸品　きっとバシっと　作ってくれる！それじゃ　今回おつかれさん　またまた手伝い　よろしくな！			スリムシクス　なかなか　どうして　スゴ腕職人！コイツを渡せば　おどろく逸品　きっとバシっと　作ってくれる！それじゃ　今回おつかれさん　またまた手伝い　よろしくな！			いにしえの鼓動							
シュコォ……シュコォ……「影の国ダン・スカー」の　「蛮神兵器」一部　持ってきたか？			シュコォ……シュコォ……「影の国ダン・スカー」の　「蛮神兵器」一部　持ってきたか？			いにしえの鼓動							
そうそう　これこれ　「蛮神兵器」一部！これで　研究　はかどるゾ！			そうそう　これこれ　「蛮神兵器」一部！これで　研究　はかどるゾ！			いにしえの鼓動							
オマエの　お礼は　いつものやつな！「蛮神兵器」から　取り分けた　謎の金属　お裾分け！それじゃ　今回おつかれさん　またまた手伝い　よろしくな！			オマエの　お礼は　いつものやつな！「蛮神兵器」から　取り分けた　謎の金属　お裾分け！それじゃ　今回おつかれさん　またまた手伝い　よろしくな！			いにしえの鼓動							
パロック繋留基地のレオファードは、愛機レミーユ号の喪失に思うところがあるようだ。			パロック繋留基地のレオファードは、愛機レミーユ号の喪失に思うところがあるようだ。			ひとつの冒険の終わり							
レオファードは、皆に自分の部屋に向かうように命じ、自身はひとり飛空艇発着場に残るようだ。彼がなにを想っているのか、アバラシア雲海のコールドウィンド島に立つ「レッドビル」の旗から、パロック繋留基地に向かい、レオファードの私室で「スタシア」に尋ねよう。			レオファードは、皆に自分の部屋に向かうように命じ、自身はひとり飛空艇発着場に残るようだ。彼がなにを想っているのか、アバラシア雲海のコールドウィンド島に立つ「レッドビル」の旗から、パロック繋留基地に向かい、レオファードの私室で「スタシア」に尋ねよう。			ひとつの冒険の終わり							
スタシアから、レオファードの過去を聞いた。レオファードは、「レッドビル」の一員の証であるスカーフをケット・シーに贈り、ケット・シーもそれを身につけることで、レオファードに応えた。ひとつの冒険を終え、空賊団「レッドビル」と別れるときがきたようだ。アバラシア雲海のコールドウィンド島に立つ「レッドビル」の旗から、パロック繋留基地に向かい「レオファード」と話そう。			スタシアから、レオファードの過去を聞いた。レオファードは、「レッドビル」の一員の証であるスカーフをケット・シーに贈り、ケット・シーもそれを身につけることで、レオファードに応えた。ひとつの冒険を終え、空賊団「レッドビル」と別れるときがきたようだ。アバラシア雲海のコールドウィンド島に立つ「レッドビル」の旗から、パロック繋留基地に向かい「レオファード」と話そう。			ひとつの冒険の終わり							
アバラシア雲海まで、レオファードたちが見送りに来てくれた。レオファードは、またとっておきの冒険を見つければ冒険者を連れだすつもりのようだ。いつか来るであろう、彼らとの次なる冒険のときを待とう。			アバラシア雲海まで、レオファードたちが見送りに来てくれた。レオファードは、またとっておきの冒険を見つければ冒険者を連れだすつもりのようだ。いつか来るであろう、彼らとの次なる冒険のときを待とう。			ひとつの冒険の終わり							
レオファードの私室でスタシアと話す			レオファードの私室でスタシアと話す			ひとつの冒険の終わり							
パロック繋留基地のレオファードと話す			パロック繋留基地のレオファードと話す			ひとつの冒険の終わり							
……レオファード。結局は、奴に頼ることになってしまった。Forename殿と奴がおらなければ、私は……。			……レオファード。結局は、奴に頼ることになってしまった。Forename殿と奴がおらなければ、私は……。			ひとつの冒険の終わり							
……大丈夫、命に別状はないわ。こんな無謀なことして、もし死んじゃってたら……。もう、本当に無茶ばかりして……馬鹿……。			……大丈夫、命に別状はないわ。こんな無謀なことして、もし死んじゃってたら……。もう、本当に無茶ばかりして……馬鹿……。			ひとつの冒険の終わり							
また、レオファードに助けられるとはねぇ……。だいぶ満身創痍のようだが、元気になってもらわないと困るよ。……でなきゃ今後、素直に敵対できやしない。			また、レオファードに助けられるとはねぇ……。だいぶ満身創痍のようだが、元気になってもらわないと困るよ。……でなきゃ今後、素直に敵対できやしない。			ひとつの冒険の終わり							
ったく、ゴーグルが滅茶苦茶だ……。……まあ、ゴーグルなんざ、いくらでも替えがきく。レミーユ号も含め、よくこの程度の犠牲で済んだと思うべきか。			ったく、ゴーグルが滅茶苦茶だ……。……まあ、ゴーグルなんざ、いくらでも替えがきく。レミーユ号も含め、よくこの程度の犠牲で済んだと思うべきか。			ひとつの冒険の終わり							
さて、妖異どももぶっ潰したことだし、アタイらは失礼するよ。「レッドビル」と「大鷲連合」の協力関係も、これでオシマイ。もちろん、アンタが望むならその限りじゃないけどね……。			さて、妖異どももぶっ潰したことだし、アタイらは失礼するよ。「レッドビル」と「大鷲連合」の協力関係も、これでオシマイ。もちろん、アンタが望むならその限りじゃないけどね……。			ひとつの冒険の終わり							
へっ、ケバい間抜けババアの猫なで声なんざ響かねえよ。お前との慣れ合いは最初で最後……次に会うときは敵同士だ。また、いつも通りに、な……。			へっ、ケバい間抜けババアの猫なで声なんざ響かねえよ。お前との慣れ合いは最初で最後……次に会うときは敵同士だ。また、いつも通りに、な……。			ひとつの冒険の終わり							
……ウフフフ、そうこなくっちゃね。アタイは、ほしいものは必ず手に入れる。レオファード、アタイの執念深さを覚えておいで……！			……ウフフフ、そうこなくっちゃね。アタイは、ほしいものは必ず手に入れる。レオファード、アタイの執念深さを覚えておいで……！			ひとつの冒険の終わり							
…………お前ら、先に俺の部屋に行ってろ。そこのボロねこジジイの手当ても必要だろうしな……。俺も、後から向かう。			…………お前ら、先に俺の部屋に行ってろ。そこのボロねこジジイの手当ても必要だろうしな……。俺も、後から向かう。			ひとつの冒険の終わり							
……Forename殿、私は自分が情けない。結局、レオファードに助けてもらう羽目になってしまった。Forename殿にも、迷惑を……。			……Forename殿、私は自分が情けない。結局、レオファードに助けてもらう羽目になってしまった。Forename殿にも、迷惑を……。			ひとつの冒険の終わり							
……そなたの気持ち、痛みいる。どのような言葉なら、しかと詫びることができるのか……。この、情けない「ボロねこジジイ」には見当がつかぬよ。			……そなたの気持ち、痛みいる。どのような言葉なら、しかと詫びることができるのか……。この、情けない「ボロねこジジイ」には見当がつかぬよ。			ひとつの冒険の終わり							
……なんとか、レオファードに謝罪をしたいのだが。どうやら今の奴は、その言葉を聞ける状態ではなさそうだ。あのように、ひとり佇むレオファードは、はじめて見る……。			……なんとか、レオファードに謝罪をしたいのだが。どうやら今の奴は、その言葉を聞ける状態ではなさそうだ。あのように、ひとり佇むレオファードは、はじめて見る……。			ひとつの冒険の終わり							
やはり、レミーユ号を失ったためか……？……気にはなるが、ひとまず奴をひとりにするべきであろう。今、ただ自己満足の謝罪をしても騒音にしかなるまい……。			やはり、レミーユ号を失ったためか……？……気にはなるが、ひとまず奴をひとりにするべきであろう。今、ただ自己満足の謝罪をしても騒音にしかなるまい……。			ひとつの冒険の終わり							
……………………先に、俺の部屋に行ってろ。俺も、すぐに向かう。			……………………先に、俺の部屋に行ってろ。俺も、すぐに向かう。			ひとつの冒険の終わり							
……レオファードのあの態度。スタシア殿なら、なにか知っているはず。			……レオファードのあの態度。スタシア殿なら、なにか知っているはず。			ひとつの冒険の終わり							
レミーユ号は、浮島で壊れちまったんだってね。……今まで、ずっとレオファードの強引な操舵に耐えてきて、最後まで乗り手の命を守ったんだから、立派だったよ……。			レミーユ号は、浮島で壊れちまったんだってね。……今まで、ずっとレオファードの強引な操舵に耐えてきて、最後まで乗り手の命を守ったんだから、立派だったよ……。			ひとつの冒険の終わり							
ほーら、アンタら！　キリキリ働きな！さっさと出航して、「大鷲連合」再始動の宴をあげるよ！			ほーら、アンタら！　キリキリ働きな！さっさと出航して、「大鷲連合」再始動の宴をあげるよ！			ひとつの冒険の終わり							
……スタシア殿。先ほどのレオファードの態度について、尋ねてもよいか？奴が、あのようにひとり佇むのを、私ははじめて見た……。			……スタシア殿。先ほどのレオファードの態度について、尋ねてもよいか？奴が、あのようにひとり佇むのを、私ははじめて見た……。			ひとつの冒険の終わり							
奴が苦しんでいるのは、レミーユ号を失ったからなのか？もし、レミーユ号に関係するのなら、どうか教えてほしい。レオファードが機体を失ったのは、私のせいなのだから……！			奴が苦しんでいるのは、レミーユ号を失ったからなのか？もし、レミーユ号に関係するのなら、どうか教えてほしい。レオファードが機体を失ったのは、私のせいなのだから……！			ひとつの冒険の終わり							
…………もう、ずいぶん昔の話。孤児だったレオファードは、運良く貴族の未亡人に拾われて、養子として育てられることになったの……。			…………もう、ずいぶん昔の話。孤児だったレオファードは、運良く貴族の未亡人に拾われて、養子として育てられることになったの……。			ひとつの冒険の終わり							
物静かな優しい女性だったそうよ……。ただ、病弱でほとんど外を出歩くことができず、代わりに、沢山の異国の本を彼に読み聞かせていたらしいわ。			物静かな優しい女性だったそうよ……。ただ、病弱でほとんど外を出歩くことができず、代わりに、沢山の異国の本を彼に読み聞かせていたらしいわ。			ひとつの冒険の終わり							
そんな優しい義母を、レオファードも懸命に看病した……。でも、残念ながら病を治すことはできず、亡くなってしまったの。			そんな優しい義母を、レオファードも懸命に看病した……。でも、残念ながら病を治すことはできず、亡くなってしまったの。			ひとつの冒険の終わり							
生前の彼女は、レオファードに決して多くを望まなかった。でもね、亡くなる寸前にひとつの願いを託したそうよ。「どうか、自分の望むように自由に生きてほしい」って……。			生前の彼女は、レオファードに決して多くを望まなかった。でもね、亡くなる寸前にひとつの願いを託したそうよ。「どうか、自分の望むように自由に生きてほしい」って……。			ひとつの冒険の終わり							
