オサード小大陸東岸のソロバンは、冒険者に仕事を紹介してくれるようだ。			オサード小大陸東岸のソロバンは、冒険者に仕事を紹介してくれるようだ。			鬼の棲む島							
「我らとともに行かぬか？」聞けばテンゼンたちは人助けの旅をしているという。			「我らとともに行かぬか？」聞けばテンゼンたちは人助けの旅をしているという。			群青の誓い							
居場所などとうに失っていた僕には、何よりもその一言が嬉しかった。			居場所などとうに失っていた僕には、何よりもその一言が嬉しかった。			群青の誓い							
しかし、命を助けられた上に居場所まで与えられるなんて、僕はこの大恩にどう報いたら良いかわからなかった。するとテンゼンはこう言って笑ったんだ。			しかし、命を助けられた上に居場所まで与えられるなんて、僕はこの大恩にどう報いたら良いかわからなかった。するとテンゼンはこう言って笑ったんだ。			群青の誓い							
「ならば青龍よ、強くなるでござる、このテンゼンよりも！そして、弱きものたちを助ける力となるでござる！」			「ならば青龍よ、強くなるでござる、このテンゼンよりも！そして、弱きものたちを助ける力となるでござる！」			群青の誓い							
僕は誓いを立てた。いつかテンゼンよりも強くなって、彼が守りたかったものを守れる存在になると。			僕は誓いを立てた。いつかテンゼンよりも強くなって、彼が守りたかったものを守れる存在になると。			群青の誓い							
思い出した……あの時、僕は確かにそう誓ったんだ。なぜ忘れてしまっていたのか……。			思い出した……あの時、僕は確かにそう誓ったんだ。なぜ忘れてしまっていたのか……。			群青の誓い							
キミが思い出させてくれなかったら、テンゼンから受けた恩を仇で返すところだった。ありがとう、Forename。			キミが思い出させてくれなかったら、テンゼンから受けた恩を仇で返すところだった。ありがとう、Forename。			群青の誓い							
玄武は一足先に社へ戻ったようだ。嫌な予感がするな……僕らも戻るとしよう！			玄武は一足先に社へ戻ったようだ。嫌な予感がするな……僕らも戻るとしよう！			群青の誓い							
戻ったか、Forename。青龍は一緒ではないのか？			戻ったか、Forename。青龍は一緒ではないのか？			群青の誓い							
ベッコウ島の青龍は、黄龍の復活を阻止しようと意気込んでいるようだ。			ベッコウ島の青龍は、黄龍の復活を阻止しようと意気込んでいるようだ。			ただ、春の夜の夢のごとし							
青龍と話した。紅玉海の醴泉神社にいる「玄武」と話そう。			青龍と話した。紅玉海の醴泉神社にいる「玄武」と話そう。			ただ、春の夜の夢のごとし							
玄武と話した。力を解放した四聖獣たちは再封印の儀を執り行うも、黄龍の再びの顕現を許す事態となった。暴走する黄龍の攻撃によって玄武を失い、再封印は失敗に終わったかのように思えたその時、死んだはずのテンゼンが姿を現した。テンゼンが持つ神刀「鳳凰丸」の力を受けた冒険者が、黄龍の体勢を崩すことに成功するも、玄武を失った状態では再封印の儀を執り行うことはできない。だが、ソロバンが自身を犠牲にして玄武の魂をその身に降ろしたことで、二度目の再封印の儀は成功に終わり、黄龍は再び鎮石の中に封印されたのだった。醴泉神社の「玄武」と話そう。			玄武と話した。力を解放した四聖獣たちは再封印の儀を執り行うも、黄龍の再びの顕現を許す事態となった。暴走する黄龍の攻撃によって玄武を失い、再封印は失敗に終わったかのように思えたその時、死んだはずのテンゼンが姿を現した。テンゼンが持つ神刀「鳳凰丸」の力を受けた冒険者が、黄龍の体勢を崩すことに成功するも、玄武を失った状態では再封印の儀を執り行うことはできない。だが、ソロバンが自身を犠牲にして玄武の魂をその身に降ろしたことで、二度目の再封印の儀は成功に終わり、黄龍は再び鎮石の中に封印されたのだった。醴泉神社の「玄武」と話そう。			ただ、春の夜の夢のごとし							
玄武と話した。降霊術によって消滅したと思われていたソロバンの魂は、玄武の魂と共存する形で残っていたようだ。しかし、術の効果が消えれば、ソロバンの肉体を依代としている玄武の魂は失われてしまうという。その時が来る前に、玄武はソロバンを次代の玄武に育てようとしているようだ。醴泉神社の「白虎」、「朱雀」、「青龍」と話そう。			玄武と話した。降霊術によって消滅したと思われていたソロバンの魂は、玄武の魂と共存する形で残っていたようだ。しかし、術の効果が消えれば、ソロバンの肉体を依代としている玄武の魂は失われてしまうという。その時が来る前に、玄武はソロバンを次代の玄武に育てようとしているようだ。醴泉神社の「白虎」、「朱雀」、「青龍」と話そう。			ただ、春の夜の夢のごとし							
白虎と話した。白虎は、長き年月を経て、再び黄龍が顕現することになろうとも、二代目の玄武となったソロバンが役目を果たしてくれるだろうと語った。朱雀と話した。朱雀は、これまで鳳凰に似て生まれたことを呪いながら生きてきたが、今は自身の存在を愛おしく思えるようになったという。青龍と話した。青龍は、黄龍再封印時に現れたテンゼンについて考えていたようだ。テンゼンは、過去の戦いで黄龍と相討ちになった時に、自らの魂を鎮石に封印していたという。いつか黄龍の封印が解かれた時、四聖獣の誰かがテンゼンのような英雄を連れてくることを信じていたようだ。醴泉神社の「ソロバン」と話そう。			白虎と話した。白虎は、長き年月を経て、再び黄龍が顕現することになろうとも、二代目の玄武となったソロバンが役目を果たしてくれるだろうと語った。朱雀と話した。朱雀は、これまで鳳凰に似て生まれたことを呪いながら生きてきたが、今は自身の存在を愛おしく思えるようになったという。青龍と話した。青龍は、黄龍再封印時に現れたテンゼンについて考えていたようだ。テンゼンは、過去の戦いで黄龍と相討ちになった時に、自らの魂を鎮石に封印していたという。いつか黄龍の封印が解かれた時、四聖獣の誰かがテンゼンのような英雄を連れてくることを信じていたようだ。醴泉神社の「ソロバン」と話そう。			ただ、春の夜の夢のごとし							
玄武と話した。ソロバンの降霊術の効果が切れ、玄武が消えるまでの期間は、五百年以上もあるようだ。紅玉海の碧のタマミズにいる「ブンチン」と話そう。			玄武と話した。ソロバンの降霊術の効果が切れ、玄武が消えるまでの期間は、五百年以上もあるようだ。紅玉海の碧のタマミズにいる「ブンチン」と話そう。			ただ、春の夜の夢のごとし							
ブンチンと話した。ソロバンが次代の玄武に選ばれたという話を聞いたブンチンは、碧のタマミズから仲間が減ることは寂しいが、偉大な役目に就いたソロバンを応援したいと話した。タタルは、これまでの奇妙な体験を振り返り、いつかまた冒険者とともに、ヒトの言葉を操る不思議な獣たちが暮らす醴泉神社を訪れたいと話した。			ブンチンと話した。ソロバンが次代の玄武に選ばれたという話を聞いたブンチンは、碧のタマミズから仲間が減ることは寂しいが、偉大な役目に就いたソロバンを応援したいと話した。タタルは、これまでの奇妙な体験を振り返り、いつかまた冒険者とともに、ヒトの言葉を操る不思議な獣たちが暮らす醴泉神社を訪れたいと話した。			ただ、春の夜の夢のごとし							
醴泉神社の玄武と話す			醴泉神社の玄武と話す			ただ、春の夜の夢のごとし							
玄武と話す			玄武と話す			ただ、春の夜の夢のごとし							
白虎と話す			白虎と話す			ただ、春の夜の夢のごとし							
朱雀と話す			朱雀と話す			ただ、春の夜の夢のごとし							
青龍と話す			青龍と話す			ただ、春の夜の夢のごとし							
ソロバンと話す			ソロバンと話す			ただ、春の夜の夢のごとし							
碧のタマミズのブンチンと話す			碧のタマミズのブンチンと話す			ただ、春の夜の夢のごとし							
さあ、醴泉神社に戻って「玄武」の手助けをしなくては！なんとしても黄龍復活を阻止してみせる！			さあ、醴泉神社に戻って「玄武」の手助けをしなくては！なんとしても黄龍復活を阻止してみせる！			ただ、春の夜の夢のごとし							
戻ったか、Forename。青龍は一緒ではないのか？			戻ったか、Forename。青龍は一緒ではないのか？			ただ、春の夜の夢のごとし							
封印に使う注連縄ができたのでっす！あとは青龍さんのお帰りを待つだけなのでっす！			封印に使う注連縄ができたのでっす！あとは青龍さんのお帰りを待つだけなのでっす！			ただ、春の夜の夢のごとし							
おお、戻ったか、Forename！			おお、戻ったか、Forename！			ただ、春の夜の夢のごとし							
それに……青龍、おぬしも。			それに……青龍、おぬしも。			ただ、春の夜の夢のごとし							
ああ……迷惑かけたね、玄武。			ああ……迷惑かけたね、玄武。			ただ、春の夜の夢のごとし							
長く生きていれば道を踏み外すこともある。たまたま、今回はおぬしの番であっただけのこと。			長く生きていれば道を踏み外すこともある。たまたま、今回はおぬしの番であっただけのこと。			ただ、春の夜の夢のごとし							
……すまない……。			……すまない……。			ただ、春の夜の夢のごとし							
大変でっす！注連縄の封印が今にも破れようとしているでっす！			大変でっす！注連縄の封印が今にも破れようとしているでっす！			ただ、春の夜の夢のごとし							
よし、ただちに再封印の儀を執り行う！今こそ、四聖獣の力を解放する時じゃ！			よし、ただちに再封印の儀を執り行う！今こそ、四聖獣の力を解放する時じゃ！			ただ、春の夜の夢のごとし							
これよりは我らの役目！おぬしらは紅玉海から離れるのじゃ！万が一ということがないとも限らぬ！			これよりは我らの役目！おぬしらは紅玉海から離れるのじゃ！万が一ということがないとも限らぬ！			ただ、春の夜の夢のごとし							
引き受けた仕事を途中で投げ出すのは、「暁の血盟」受付の信念に反するのでっす！			引き受けた仕事を途中で投げ出すのは、「暁の血盟」受付の信念に反するのでっす！			ただ、春の夜の夢のごとし							
ええい、ならば一蓮托生じゃ！紅玉海の存亡を懸けた儀式、おぬしらにも見届けてもらうぞ！			ええい、ならば一蓮托生じゃ！紅玉海の存亡を懸けた儀式、おぬしらにも見届けてもらうぞ！			ただ、春の夜の夢のごとし							
皆の者、あらん限りの力を以て、平穏を脅かさんとする黄龍を封じるのじゃ！			皆の者、あらん限りの力を以て、平穏を脅かさんとする黄龍を封じるのじゃ！			ただ、春の夜の夢のごとし							
鎮石の妖力が弱まっていくよぉ～。再封印は成功だぁ～！			鎮石の妖力が弱まっていくよぉ～。再封印は成功だぁ～！			ただ、春の夜の夢のごとし							
そんな……黄龍が復活するなんて……四聖獣の力を束ねてもなお、奴を再封印するには足りないというのか！？			そんな……黄龍が復活するなんて……四聖獣の力を束ねてもなお、奴を再封印するには足りないというのか！？			ただ、春の夜の夢のごとし							
オオオオオオオオオオオオオオオオオオオオ！！			オオオオオオオオオオオオオオオオオオオオ！！			ただ、春の夜の夢のごとし							
玄武さん！？			玄武さん！？			ただ、春の夜の夢のごとし							
四聖獣がひとり欠けては、再封印は諦めるほかない！急ぎ紅玉海から離れよ！お前たちが逃げる時間ぐらいは稼いでみせよう！			四聖獣がひとり欠けては、再封印は諦めるほかない！急ぎ紅玉海から離れよ！お前たちが逃げる時間ぐらいは稼いでみせよう！			ただ、春の夜の夢のごとし							
白虎になんと言う？			白虎になんと言う？			ただ、春の夜の夢のごとし							
そんなことできない！			そんなことできない！			ただ、春の夜の夢のごとし							
黄龍はここで倒す！			黄龍はここで倒す！			ただ、春の夜の夢のごとし							
よせ、Forename！いくらお前でも、復活した黄龍が相手では！！			よせ、Forename！いくらお前でも、復活した黄龍が相手では！！			ただ、春の夜の夢のごとし							
……オノ……レ…………テ……ゼ……ン………！！……ヨ……クモ……コロ………スゥ…………！！			……オノ……レ…………テ……ゼ……ン………！！……ヨ……クモ……コロ………スゥ…………！！			ただ、春の夜の夢のごとし							
そんな……まさか……テンゼン！！			そんな……まさか……テンゼン！！			ただ、春の夜の夢のごとし							
好機だ！再封印の術を！			好機だ！再封印の術を！			ただ、春の夜の夢のごとし							
無理だ！玄武が欠けていては、術は発動しない！！			無理だ！玄武が欠けていては、術は発動しない！！			ただ、春の夜の夢のごとし							
ソロバンさん、何を！？危ないでっすよ！！			ソロバンさん、何を！？危ないでっすよ！！			ただ、春の夜の夢のごとし							
危険は承知の上だよぉ～。でも、戦う力があるのに、黙って見ているなんてできないよぉ～。			危険は承知の上だよぉ～。でも、戦う力があるのに、黙って見ているなんてできないよぉ～。			ただ、春の夜の夢のごとし							
いったい何をするつもりだ！？			いったい何をするつもりだ！？			ただ、春の夜の夢のごとし							
あれは……以前、祝詞を読み間違えたソロバンが、誤って発動させた降霊術……！			あれは……以前、祝詞を読み間違えたソロバンが、誤って発動させた降霊術……！			ただ、春の夜の夢のごとし							
まさか……玄武の魂を降ろそうというのですか……！？ですが、玄武ほどの力ある霊を身に宿せば、ソロバンの自我は……！			まさか……玄武の魂を降ろそうというのですか……！？ですが、玄武ほどの力ある霊を身に宿せば、ソロバンの自我は……！			ただ、春の夜の夢のごとし							
それを聞いたら、ちょっとやめたくなるなぁ～。でも、そういうわけにもいかないよぉ～。きっとこれはオイラにしかできないことだからさぁ～。			それを聞いたら、ちょっとやめたくなるなぁ～。でも、そういうわけにもいかないよぉ～。きっとこれはオイラにしかできないことだからさぁ～。			ただ、春の夜の夢のごとし							
さよなら、みんなぁ～。碧のタマミズのみんなに、よろしく伝えてよぉ～。			さよなら、みんなぁ～。碧のタマミズのみんなに、よろしく伝えてよぉ～。			ただ、春の夜の夢のごとし							
ソロバンさんっ！！			ソロバンさんっ！！			ただ、春の夜の夢のごとし							
……ソロバン、おぬしの想い、決して無駄にはせんぞ！			……ソロバン、おぬしの想い、決して無駄にはせんぞ！			ただ、春の夜の夢のごとし							
グオオオオオオオオオオオオオオオオオオオオオオオオオ！！！！！			グオオオオオオオオオオオオオオオオオオオオオオオオオ！！！！！			ただ、春の夜の夢のごとし							
黄龍よ、また数千年後に相まみえようぞ。			黄龍よ、また数千年後に相まみえようぞ。			ただ、春の夜の夢のごとし							
もし黄龍が復活してしまったら、高額の報酬が……もらえないのでっす！なんとしてもそれだけは避けなければならないのでっす！！			もし黄龍が復活してしまったら、高額の報酬が……もらえないのでっす！なんとしてもそれだけは避けなければならないのでっす！！			ただ、春の夜の夢のごとし							
四聖獣の皆には、ずいぶんと迷惑をかけてしまった。黄龍を再封印することで、少しでも報いてみせるよ。			四聖獣の皆には、ずいぶんと迷惑をかけてしまった。黄龍を再封印することで、少しでも報いてみせるよ。			ただ、春の夜の夢のごとし							
幾星霜を経て、黄龍封印という悲願がようやく叶った。これもおぬしらが力を貸してくれたおかげじゃ。			幾星霜を経て、黄龍封印という悲願がようやく叶った。これもおぬしらが力を貸してくれたおかげじゃ。			ただ、春の夜の夢のごとし							
……でも、その代わりにソロバンさんが……。			……でも、その代わりにソロバンさんが……。			ただ、春の夜の夢のごとし							
己が消失することも顧みず、黄龍封印のために犠牲になるとは……紅玉海は、真の漢を失ってしまったようだ……。			己が消失することも顧みず、黄龍封印のために犠牲になるとは……紅玉海は、真の漢を失ってしまったようだ……。			ただ、春の夜の夢のごとし							
おぬしら何を言っておるのじゃ？ソロバンは生きておるぞ？			おぬしら何を言っておるのじゃ？ソロバンは生きておるぞ？			ただ、春の夜の夢のごとし							
こんな時に、形ばかりの慰めの言葉はやめてほしいのでっす……。			こんな時に、形ばかりの慰めの言葉はやめてほしいのでっす……。			ただ、春の夜の夢のごとし							
ひどい言われようじゃ……。ならば証拠を見せようではないか。			ひどい言われようじゃ……。ならば証拠を見せようではないか。			ただ、春の夜の夢のごとし							
あれぇ～？オイラ、消えたはずじゃぁ～？			あれぇ～？オイラ、消えたはずじゃぁ～？			ただ、春の夜の夢のごとし							
……これはいったいどういうことだい？術者よりも大きな魂を降ろそうとした場合、元の魂は消滅してしまうのが降霊術の代償だろう。			……これはいったいどういうことだい？術者よりも大きな魂を降ろそうとした場合、元の魂は消滅してしまうのが降霊術の代償だろう。			ただ、春の夜の夢のごとし							
(-玄武の声-)ワシの魂よりもソロバンの魂のほうが大きかっただけのことじゃ。厳しい修行に、風水玉手箱を用いた裏返りを経て、ワシを上回るほどの強大な妖力が備わっていたのじゃろう。			(-玄武の声-)ワシの魂よりもソロバンの魂のほうが大きかっただけのことじゃ。厳しい修行に、風水玉手箱を用いた裏返りを経て、ワシを上回るほどの強大な妖力が備わっていたのじゃろう。			ただ、春の夜の夢のごとし							
(-玄武の声-)ゆえに、降霊術の効果が切れればワシの魂も消えよう。残された時間も、そう長くはあるまい。			(-玄武の声-)ゆえに、降霊術の効果が切れればワシの魂も消えよう。残された時間も、そう長くはあるまい。			ただ、春の夜の夢のごとし							
そんな……ソロバンさんが助かったと思ったら、今度は玄武さんが消えちゃうのでっすか……。			そんな……ソロバンさんが助かったと思ったら、今度は玄武さんが消えちゃうのでっすか……。			ただ、春の夜の夢のごとし							
(-玄武の声-)気にするでない、一度は黄龍に殺された身じゃ。じゃが消え行く前に、やり残したことを片付けねばならぬ。ソロバンを次代の玄武として育てる、というな。			(-玄武の声-)気にするでない、一度は黄龍に殺された身じゃ。じゃが消え行く前に、やり残したことを片付けねばならぬ。ソロバンを次代の玄武として育てる、というな。			ただ、春の夜の夢のごとし							
オ、オイラが……次の玄武様ぁ～！？			オ、オイラが……次の玄武様ぁ～！？			ただ、春の夜の夢のごとし							
四聖獣に求められる素養は、東方の地を守らんとする心と力……。そうでしょう？			四聖獣に求められる素養は、東方の地を守らんとする心と力……。そうでしょう？			ただ、春の夜の夢のごとし							
ああ、そのどちらも備えていることを、たった今、示してくれた。僕に異存はないけど、白虎はどうだい？			ああ、そのどちらも備えていることを、たった今、示してくれた。僕に異存はないけど、白虎はどうだい？			ただ、春の夜の夢のごとし							
他者の命を救うため、自らの命をなげうつことなど、そうそうできることではない。ひとりの漢として認めよう。			他者の命を救うため、自らの命をなげうつことなど、そうそうできることではない。ひとりの漢として認めよう。			ただ、春の夜の夢のごとし							
……そう言われちゃ断りにくいなぁ～～。どこまでやれるかわからないけど、オイラやってみるよぉ～。			……そう言われちゃ断りにくいなぁ～～。どこまでやれるかわからないけど、オイラやってみるよぉ～。			ただ、春の夜の夢のごとし							
どうでもいいでっすけど、いつもいつも安請け合いしすぎじゃないでっすか……。			どうでもいいでっすけど、いつもいつも安請け合いしすぎじゃないでっすか……。			ただ、春の夜の夢のごとし							
(-玄武の声-)さて、これにておぬしらへの依頼も完了した。約定に従い、報酬を支払うぞい。			(-玄武の声-)さて、これにておぬしらへの依頼も完了した。約定に従い、報酬を支払うぞい。			ただ、春の夜の夢のごとし							
報酬！まさに私がずっと聞きたかった言葉なのでっす！			報酬！まさに私がずっと聞きたかった言葉なのでっす！			ただ、春の夜の夢のごとし							
(-玄武の声-)社の者に用意させるゆえ、白虎たちと話でもしながら待っておれ。もうしばらく会うこともないじゃろうしな。			(-玄武の声-)社の者に用意させるゆえ、白虎たちと話でもしながら待っておれ。もうしばらく会うこともないじゃろうしな。			ただ、春の夜の夢のごとし							
……終わった……んでっすよね……？			……終わった……んでっすよね……？			ただ、春の夜の夢のごとし							
黄龍の復活は阻止することができた。ソロバンという尊い犠牲のおかげでな……。			黄龍の復活は阻止することができた。ソロバンという尊い犠牲のおかげでな……。			ただ、春の夜の夢のごとし							
テンゼン、あなたは……。			テンゼン、あなたは……。			ただ、春の夜の夢のごとし							
一時は道を踏み外しもしたが、今はここにいられてよかったと思うよ。			一時は道を踏み外しもしたが、今はここにいられてよかったと思うよ。			ただ、春の夜の夢のごとし							
いやぁ～、どえらかったぁ～。			いやぁ～、どえらかったぁ～。			ただ、春の夜の夢のごとし							
あっぱれなご活躍！さすがは四聖獣とForename殿だ。そなたらこそ、真の英雄と呼ぶに相応しい！			あっぱれなご活躍！さすがは四聖獣とForename殿だ。そなたらこそ、真の英雄と呼ぶに相応しい！			ただ、春の夜の夢のごとし							
ああ、玉藻御前様……私は、いつまでもあなたの帰りをお待ちしています……。			ああ、玉藻御前様……私は、いつまでもあなたの帰りをお待ちしています……。			ただ、春の夜の夢のごとし							
クソ雑魚カマイタチが元気になってきたということは、どうやら本当に終わったようだワン。			クソ雑魚カマイタチが元気になってきたということは、どうやら本当に終わったようだワン。			ただ、春の夜の夢のごとし							
鎮石を守るという我らの役目は、これからも続いていく。			鎮石を守るという我らの役目は、これからも続いていく。			ただ、春の夜の夢のごとし							
アラミタマの呪縛から解かれ、黄龍の再封印も成したとなれば、我らはこれまでのように、この地の平穏を見守るだけよ。			アラミタマの呪縛から解かれ、黄龍の再封印も成したとなれば、我らはこれまでのように、この地の平穏を見守るだけよ。			ただ、春の夜の夢のごとし							
長き年月を経て、ふたたび封印にほころびが生じようとも、その時は二代目玄武たるソロバンが役目を果たしてくれよう。			長き年月を経て、ふたたび封印にほころびが生じようとも、その時は二代目玄武たるソロバンが役目を果たしてくれよう。			ただ、春の夜の夢のごとし							
……が、今は束の間の平和に浸ろうではないか。ソロバンが、テンゼンが、我ら四聖獣が……そしてお前が守った、この平穏な時にな。			……が、今は束の間の平和に浸ろうではないか。ソロバンが、テンゼンが、我ら四聖獣が……そしてお前が守った、この平穏な時にな。			ただ、春の夜の夢のごとし							
庇護すべきモノのために戦い続けるお前の勇気は、テンゼンのように、後の世にも語り継がれていくことだろうな。……っと、長話になってしまったな。			庇護すべきモノのために戦い続けるお前の勇気は、テンゼンのように、後の世にも語り継がれていくことだろうな。……っと、長話になってしまったな。			ただ、春の夜の夢のごとし							
いかに長く生きようとも、別れというのは慣れるものではない。人語を操る奇天烈な獣どもが見たくなったなら、また社を訪れるがよい。			いかに長く生きようとも、別れというのは慣れるものではない。人語を操る奇天烈な獣どもが見たくなったなら、また社を訪れるがよい。			ただ、春の夜の夢のごとし							
ソロバンのことは心配いりませんよ。彼が立派に次代の玄武となれるよう、私たちが手助けを行っていきますから。			ソロバンのことは心配いりませんよ。彼が立派に次代の玄武となれるよう、私たちが手助けを行っていきますから。			ただ、春の夜の夢のごとし							
それにしても……再びテンゼンの姿をこの目で見る日が来ようとは、夢にも思っていませんでした。			それにしても……再びテンゼンの姿をこの目で見る日が来ようとは、夢にも思っていませんでした。			ただ、春の夜の夢のごとし							
願わくば、一言だけ彼に伝えたかった。鳳凰に似て生まれたことを呪いながら生きてきましたが、今は、この身を愛おしく思えるようになった、と。			願わくば、一言だけ彼に伝えたかった。鳳凰に似て生まれたことを呪いながら生きてきましたが、今は、この身を愛おしく思えるようになった、と。			ただ、春の夜の夢のごとし							
朱雀になんと言う？			朱雀になんと言う？			ただ、春の夜の夢のごとし							
伝わってるよ			伝わってるよ			ただ、春の夜の夢のごとし							
その必要はない			その必要はない			ただ、春の夜の夢のごとし							
そうですか……そうだといいですね。フフフ、彼はまっすぐなヒトですが、少々鈍感ですから。			そうですか……そうだといいですね。フフフ、彼はまっすぐなヒトですが、少々鈍感ですから。			ただ、春の夜の夢のごとし							
言わずとも気づいてくれていると？そうだといいですね……。フフフ、彼はまっすぐなヒトですが、少々鈍感ですから。			言わずとも気づいてくれていると？そうだといいですね……。フフフ、彼はまっすぐなヒトですが、少々鈍感ですから。			ただ、春の夜の夢のごとし							
いずれにせよ、あなたと出会わなければ、このように笑い合うこともできなかったことでしょう。			いずれにせよ、あなたと出会わなければ、このように笑い合うこともできなかったことでしょう。			ただ、春の夜の夢のごとし							
感謝していますよ、Forename。たまには社に遊びに来てくださいね。			感謝していますよ、Forename。たまには社に遊びに来てくださいね。			ただ、春の夜の夢のごとし							
あの時現れたテンゼンがなんだったのか、僕なりに考えてみたんだ。			あの時現れたテンゼンがなんだったのか、僕なりに考えてみたんだ。			ただ、春の夜の夢のごとし							
……テンゼンは、過去の戦いで黄龍と相打ちになった時に、自らの魂を鎮石に封印していたんだろう。いつか封印が解かれ、黄龍が顕現する日に備えてね。			……テンゼンは、過去の戦いで黄龍と相打ちになった時に、自らの魂を鎮石に封印していたんだろう。いつか封印が解かれ、黄龍が顕現する日に備えてね。			ただ、春の夜の夢のごとし							
しかし、なんのために……？魂だけの存在になってしまっては、黄龍を再封印することはできないのに。			しかし、なんのために……？魂だけの存在になってしまっては、黄龍を再封印することはできないのに。			ただ、春の夜の夢のごとし							
せいぜい彼にできるのは、同じ力を持つ者に力を分け与えることぐらいしか…………			せいぜい彼にできるのは、同じ力を持つ者に力を分け与えることぐらいしか…………			ただ、春の夜の夢のごとし							
……そうか、テンゼンは信じていたんだ。僕たちが、いつかキミのような英雄を連れてくることを……数千年も前から、ずっと……。			……そうか、テンゼンは信じていたんだ。僕たちが、いつかキミのような英雄を連れてくることを……数千年も前から、ずっと……。			ただ、春の夜の夢のごとし							
……はあ、やっぱりテンゼンにはかなわないな。だけど、いつか絶対に超えてみせるよ。それが彼との誓いだからね。			……はあ、やっぱりテンゼンにはかなわないな。だけど、いつか絶対に超えてみせるよ。それが彼との誓いだからね。			ただ、春の夜の夢のごとし							
その前に、まずはキミを超えないとだな。もちろん、アラミタマの力には頼らずにね。だから、それまで長生きしてくれよ。			その前に、まずはキミを超えないとだな。もちろん、アラミタマの力には頼らずにね。だから、それまで長生きしてくれよ。			ただ、春の夜の夢のごとし							
(-玄武の声-)社の者に用意させるゆえ、白虎たちと話でもしながら待っておれ。もうしばらく会うこともないじゃろうしな。			(-玄武の声-)社の者に用意させるゆえ、白虎たちと話でもしながら待っておれ。もうしばらく会うこともないじゃろうしな。			ただ、春の夜の夢のごとし							
いかに長く生きようとも、別れというのは慣れるものではない。人語を操る奇天烈な獣どもが見たくなったなら、また社を訪れるがよい。			いかに長く生きようとも、別れというのは慣れるものではない。人語を操る奇天烈な獣どもが見たくなったなら、また社を訪れるがよい。			ただ、春の夜の夢のごとし							
……はあ、やっぱりテンゼンにはかなわないな。だけど、いつか絶対に超えてみせるよ。それが彼との誓いだからね。			……はあ、やっぱりテンゼンにはかなわないな。だけど、いつか絶対に超えてみせるよ。それが彼との誓いだからね。			ただ、春の夜の夢のごとし							
感謝していますよ、Forename。たまには社に遊びに来てくださいね。			感謝していますよ、Forename。たまには社に遊びに来てくださいね。			ただ、春の夜の夢のごとし							
報酬～報酬～楽しみなのでっす～♪			報酬～報酬～楽しみなのでっす～♪			ただ、春の夜の夢のごとし							
いや～、お前たち、どえらいなぁ～。			いや～、お前たち、どえらいなぁ～。			ただ、春の夜の夢のごとし							
そなたらと別れるのは惜しい……が、同じ空の下にいる限り、いつか再会する日も来よう。その時は、再度お手合わせ願えるだろうか？			そなたらと別れるのは惜しい……が、同じ空の下にいる限り、いつか再会する日も来よう。その時は、再度お手合わせ願えるだろうか？			ただ、春の夜の夢のごとし							
玉藻御前様のように、あなた方もこの社を去ってしまわれるのですね……。では送り出しましょう、晴れやかな気持ちで……うぅ……。			玉藻御前様のように、あなた方もこの社を去ってしまわれるのですね……。では送り出しましょう、晴れやかな気持ちで……うぅ……。			ただ、春の夜の夢のごとし							
ずっとヒトを呪い殺し続けてきたけど、キミたちのようなヒトもいると知ることができて、安心したワン。どうか呪われることなく元気でいてくれワン。			ずっとヒトを呪い殺し続けてきたけど、キミたちのようなヒトもいると知ることができて、安心したワン。どうか呪われることなく元気でいてくれワン。			ただ、春の夜の夢のごとし							
ここは醴泉神社、黄龍の封印を守る瑞獣たちが集う社。唯一、ヒトの身で立ち入りを許された例外が、汝らだ。いつでも好きな時に訪れてくれ。			ここは醴泉神社、黄龍の封印を守る瑞獣たちが集う社。唯一、ヒトの身で立ち入りを許された例外が、汝らだ。いつでも好きな時に訪れてくれ。			ただ、春の夜の夢のごとし							
(-玄武の声-)さあ、此度の報酬を受け取るがよい！			(-玄武の声-)さあ、此度の報酬を受け取るがよい！			ただ、春の夜の夢のごとし							
こ、こんなにたくさん！？これなら、アルフィノさんが無駄遣いした分を補填しても、山ほどお釣りがくるのでっす！			こ、こんなにたくさん！？これなら、アルフィノさんが無駄遣いした分を補填しても、山ほどお釣りがくるのでっす！			ただ、春の夜の夢のごとし							
(-玄武の声-)ほっほっほ。おぬしらはそれだけの働きをしたということじゃ。			(-玄武の声-)ほっほっほ。おぬしらはそれだけの働きをしたということじゃ。			ただ、春の夜の夢のごとし							
しかし、これを私たちだけで運ぶとなると、なかなか骨が折れるのでっす……。			しかし、これを私たちだけで運ぶとなると、なかなか骨が折れるのでっす……。			ただ、春の夜の夢のごとし							
(-玄武の声-)ならば、指定の場所まで届けさせよう。どこがいいかのう？			(-玄武の声-)ならば、指定の場所まで届けさせよう。どこがいいかのう？			ただ、春の夜の夢のごとし							
助かりまっす！では、クガネのウルダハ商館までお願いするのでっす！			助かりまっす！では、クガネのウルダハ商館までお願いするのでっす！			ただ、春の夜の夢のごとし							
(-玄武の声-)心得た。早速、社の者に運ばせよう。			(-玄武の声-)心得た。早速、社の者に運ばせよう。			ただ、春の夜の夢のごとし							
(-玄武の声-)さて、これでおぬしらともお別れじゃな。			(-玄武の声-)さて、これでおぬしらともお別れじゃな。			ただ、春の夜の夢のごとし							
