革細工師ギルドのゲヴァは、紹介したい依頼があるようだ。			革細工師ギルドのゲヴァは、紹介したい依頼があるようだ。			博物学者と剥製師							
……久しぶりに、大人数を相手に講義をしたものだから、熱が入っちゃったわ。でも、多くの人々が、きちんと学んでくれたみたい。			……久しぶりに、大人数を相手に講義をしたものだから、熱が入っちゃったわ。でも、多くの人々が、きちんと学んでくれたみたい。			アテルーネの教育							
アテルーネさん、素晴らしい講義でした！みなさん、すごく真剣にお話を聞いてましたよ！僕の剥製もじっくり見てもらえて……とっても満足です！			アテルーネさん、素晴らしい講義でした！みなさん、すごく真剣にお話を聞いてましたよ！僕の剥製もじっくり見てもらえて……とっても満足です！			アテルーネの教育							
これで、なんとか一段落ね。事業はまだまだ続けていくけど、当面の目的は果たされたわ。……ありがとう、ふたりとも。			これで、なんとか一段落ね。事業はまだまだ続けていくけど、当面の目的は果たされたわ。……ありがとう、ふたりとも。			アテルーネの教育							
……あら？　なんで驚くのかしら。キミ……いえ、あなたたちのような人に出会えて、よかったと伝えているのに。			……あら？　なんで驚くのかしら。キミ……いえ、あなたたちのような人に出会えて、よかったと伝えているのに。			アテルーネの教育							
私も、あんな多くの人から拍手を貰うなんて、めったにない出来事だよ。それだけ、剥製と、講義の内容がよかったんだろうね。			私も、あんな多くの人から拍手を貰うなんて、めったにない出来事だよ。それだけ、剥製と、講義の内容がよかったんだろうね。			アテルーネの教育							
Surnameさん、ありがとうございました……！たくさん支えてもらったし、本当にお世話になりました。僕のお姉さんお兄さんみたいで、大好きでした！			Surnameさん、ありがとうございました……！たくさん支えてもらったし、本当にお世話になりました。僕のお姉さんお兄さんみたいで、大好きでした！			アテルーネの教育							
僕は、このままグリダニアに残ろうと思います。剥製のよさを広めながら、革細工の技術も磨いていきたいので！			僕は、このままグリダニアに残ろうと思います。剥製のよさを広めながら、革細工の技術も磨いていきたいので！			アテルーネの教育							
あら、じゃあ革細工師ギルドに入門してみるかい？私が直々に、ビシバシ鍛えてあげるよ！			あら、じゃあ革細工師ギルドに入門してみるかい？私が直々に、ビシバシ鍛えてあげるよ！			アテルーネの教育							
アテルーネさんみたいな人が、もうひとり！？……うわぁ、これは大変だ。			アテルーネさんみたいな人が、もうひとり！？……うわぁ、これは大変だ。			アテルーネの教育							
Forename、あなたには、何から何まで、本当に世話になったわね。心から感謝するわ。			Forename、あなたには、何から何まで、本当に世話になったわね。心から感謝するわ。			アテルーネの教育							
今日を境に、少しでも多くの人が動物に興味を持ってくれれば、それは命を敬うことにも繋がっていくはずよ。			今日を境に、少しでも多くの人が動物に興味を持ってくれれば、それは命を敬うことにも繋がっていくはずよ。			アテルーネの教育							
そして、この事業成果を発表すれば、私の評価はうなぎのぼり、私の名も世界に轟くでしょう！私は、博物学の星として輝きまくるのよ！			そして、この事業成果を発表すれば、私の評価はうなぎのぼり、私の名も世界に轟くでしょう！私は、博物学の星として輝きまくるのよ！			アテルーネの教育							
……あら、言ってなかった？さっきの特別講義のあとに、私の研究をまとめた博物誌の予約が殺到してね。			……あら、言ってなかった？さっきの特別講義のあとに、私の研究をまとめた博物誌の予約が殺到してね。			アテルーネの教育							
あの道士も、博物誌を精霊評議会の推薦図書にするよう、カヌ・エ様に掛け合ってくれるって言ってくれたし。			あの道士も、博物誌を精霊評議会の推薦図書にするよう、カヌ・エ様に掛け合ってくれるって言ってくれたし。			アテルーネの教育							
ここしばらくは、剥製造りに集中していて、研究と執筆活動を、弟子のマルセットに任せきりにしていたけど。そろそろ、私も本業に専念しないとね。			ここしばらくは、剥製造りに集中していて、研究と執筆活動を、弟子のマルセットに任せきりにしていたけど。そろそろ、私も本業に専念しないとね。			アテルーネの教育							
今度はエオルゼアだけじゃない、東方にも足を伸ばして、私の研究を、より完璧なものにしてみせるわ！			今度はエオルゼアだけじゃない、東方にも足を伸ばして、私の研究を、より完璧なものにしてみせるわ！			アテルーネの教育							
……そうして、世界を飛び回ってれば、いつかまた、あなたに会う日もあるかしらね。			……そうして、世界を飛び回ってれば、いつかまた、あなたに会う日もあるかしらね。			アテルーネの教育							
そのときは、ぜひもう一度、私の研究に協力してほしいわ。ありがとう……最高の革細工師さん。			そのときは、ぜひもう一度、私の研究に協力してほしいわ。ありがとう……最高の革細工師さん。			アテルーネの教育							
Forename、「剥製用ガガナの毛皮」はどう？もう出来上がっているのなら、「エニオン」に渡してあげて。			Forename、「剥製用ガガナの毛皮」はどう？もう出来上がっているのなら、「エニオン」に渡してあげて。			アテルーネの教育							
「大物ガガナの粗皮」が追加で必要なの？……ハァ。万一に備えて、予備を用意しておいた私を褒め称えなさい。			「大物ガガナの粗皮」が追加で必要なの？……ハァ。万一に備えて、予備を用意しておいた私を褒め称えなさい。			アテルーネの教育							
貴重な素材なんだから、次は無駄にしないように気をつけなさいよ。			貴重な素材なんだから、次は無駄にしないように気をつけなさいよ。			アテルーネの教育							
革細工師ギルドのゲヴァは、冒険者に直々の依頼があるようだ。			革細工師ギルドのゲヴァは、冒険者に直々の依頼があるようだ。			師匠のお墨付き							
ゲヴァから依頼を受けた。グリダニアの革細工師ギルドにいる「ゲヴァ」に「ボアリングバンド」を1個納品しよう。			ゲヴァから依頼を受けた。グリダニアの革細工師ギルドにいる「ゲヴァ」に「ボアリングバンド」を1個納品しよう。			師匠のお墨付き							
ゲヴァにボアリングバンドを納品した。冒険者の仕事ぶりを見て、冒険者の成長を認めたゲヴァ。彼女は「品評会」の品づくりをするため、ギルドの仕事から離れるらしい。ゲヴァの期待に応えられるよう、しっかりと革細工の腕を磨いてこよう。※革細工師のレベルが40以上になると、ゲヴァから次の革細工師クエストを受注することができます。			ゲヴァにボアリングバンドを納品した。冒険者の仕事ぶりを見て、冒険者の成長を認めたゲヴァ。彼女は「品評会」の品づくりをするため、ギルドの仕事から離れるらしい。ゲヴァの期待に応えられるよう、しっかりと革細工の腕を磨いてこよう。※革細工師のレベルが40以上になると、ゲヴァから次の革細工師クエストを受注することができます。			師匠のお墨付き							
ゲヴァにボアリングバンドを納品			ゲヴァにボアリングバンドを納品			師匠のお墨付き							
ちょっと、力を貸してちょうだい。今回はアタシから、直々の依頼よ。			ちょっと、力を貸してちょうだい。今回はアタシから、直々の依頼よ。			師匠のお墨付き							
近頃どうも、ギルドの職人らが浮き足立っててね……。なに、作らせた製品を見れば、よーく分かるわ。			近頃どうも、ギルドの職人らが浮き足立っててね……。なに、作らせた製品を見れば、よーく分かるわ。			師匠のお墨付き							
縫い目が荒かったり、処理が不十分だったり。余計なことを、うだうだ考えながら作った証拠よ。			縫い目が荒かったり、処理が不十分だったり。余計なことを、うだうだ考えながら作った証拠よ。			師匠のお墨付き							
例えば……「アンクル・ボサ」のこととかね。近頃、ウチのギルドへの依頼が減っているのを新興ブランドに客が取られてるせいだって心配してるんだ。			例えば……「アンクル・ボサ」のこととかね。近頃、ウチのギルドへの依頼が減っているのを新興ブランドに客が取られてるせいだって心配してるんだ。			師匠のお墨付き							
まったく！職人が依頼の数を気に病んで、製品に迷いを縫いこむなんて、もってのほかよ。			まったく！職人が依頼の数を気に病んで、製品に迷いを縫いこむなんて、もってのほかよ。			師匠のお墨付き							
ウチのギルドは、儲けようとしてるわけじゃない。そんな無用の心配するヒマがあるなら、革の一枚でもなめして、腕を磨けってね！			ウチのギルドは、儲けようとしてるわけじゃない。そんな無用の心配するヒマがあるなら、革の一枚でもなめして、腕を磨けってね！			師匠のお墨付き							
そういうわけで、活を入れてやってほしい。最っ高の「ボアリングバンド」をひとつ、作ってくれる？			そういうわけで、活を入れてやってほしい。最っ高の「ボアリングバンド」をひとつ、作ってくれる？			師匠のお墨付き							
本当にいい製品とは、どんなものかを見れば、あいつらだって目を覚ますだろうからね、頼んだよ！			本当にいい製品とは、どんなものかを見れば、あいつらだって目を覚ますだろうからね、頼んだよ！			師匠のお墨付き							
「ボアリングバンド」は仕上がったかい？			「ボアリングバンド」は仕上がったかい？			師匠のお墨付き							
ふん、いい出来じゃない。ちゃんと必要なポイントをおさえて作れたみたいね。			ふん、いい出来じゃない。ちゃんと必要なポイントをおさえて作れたみたいね。			師匠のお墨付き							
丈夫で摩擦に強く、軽いという特性を持つボアの革と、スチール製のリングを組み合わせたのがこの「ボアリングバンド」。			丈夫で摩擦に強く、軽いという特性を持つボアの革と、スチール製のリングを組み合わせたのがこの「ボアリングバンド」。			師匠のお墨付き							
軽く、身に着けやすいことを重視した防具よ。シンプルだけど、隅々まで気を遣って作り上げないと、魔法を操るソーサラーの集中を妨げてしまうわ。			軽く、身に着けやすいことを重視した防具よ。シンプルだけど、隅々まで気を遣って作り上げないと、魔法を操るソーサラーの集中を妨げてしまうわ。			師匠のお墨付き							
あんたのボアリングバンドは、余計なものをすべて取っ払い、必要な箇所には細心の注意が払われてる……。			あんたのボアリングバンドは、余計なものをすべて取っ払い、必要な箇所には細心の注意が払われてる……。			師匠のお墨付き							
なかなかやるじゃないか。ギルドで管を巻いてるやつらも、これを見せれば心を入れ替えるだろう。			なかなかやるじゃないか。ギルドで管を巻いてるやつらも、これを見せれば心を入れ替えるだろう。			師匠のお墨付き							
あんたが初めてウチのギルドに来た時にはどうなることかと思ったけど……これだけ腕をあげれば、安心して仕事を任せられそうだ。			あんたが初めてウチのギルドに来た時にはどうなることかと思ったけど……これだけ腕をあげれば、安心して仕事を任せられそうだ。			師匠のお墨付き							
以前、グリダニアでは定期的に特産品の「品評会」が開かれるって言ったろ？ギルドが品を持ち寄って、新作や技術を披露しあう場よ。			以前、グリダニアでは定期的に特産品の「品評会」が開かれるって言ったろ？ギルドが品を持ち寄って、新作や技術を披露しあう場よ。			師匠のお墨付き							
その「品評会」の開催が近づいていてね。今年も、革細工師ギルドの代表として、アタシが品を作ることになってるんだ。			その「品評会」の開催が近づいていてね。今年も、革細工師ギルドの代表として、アタシが品を作ることになってるんだ。			師匠のお墨付き							
そんなわけで、ギルドの仕事を少し離れるつもりよ。まったくやらないって訳じゃないけど、あんたには、かなり仕事を任せたくてね。			そんなわけで、ギルドの仕事を少し離れるつもりよ。まったくやらないって訳じゃないけど、あんたには、かなり仕事を任せたくてね。			師匠のお墨付き							
言わば、ギルドマスターのアタシの代わりってわけ。覚悟して腕をよーく磨いておくこと、いいわね？			言わば、ギルドマスターのアタシの代わりってわけ。覚悟して腕をよーく磨いておくこと、いいわね？			師匠のお墨付き							
革細工師ギルドのゲヴァは、冒険者に依頼したいことがあるようだ。			革細工師ギルドのゲヴァは、冒険者に依頼したいことがあるようだ。			逸品たる使命							
革細工師ギルドにきた、急な製作依頼を断ってしまったというゲヴァ。しかし、依頼主の様子がどうにも気になるらしい。「セントールアイ」近くの「カミヤン」に話を聞こう。			革細工師ギルドにきた、急な製作依頼を断ってしまったというゲヴァ。しかし、依頼主の様子がどうにも気になるらしい。「セントールアイ」近くの「カミヤン」に話を聞こう。			逸品たる使命							
カミヤンから話を聞くことができた。息子へ贈るトードジャケットを新興ブランド「アンクル・ボサ」に注文したところ、ひどい出来のものが届いたのだという。革細工師ギルドに戻り、ゲヴァに相談しよう。			カミヤンから話を聞くことができた。息子へ贈るトードジャケットを新興ブランド「アンクル・ボサ」に注文したところ、ひどい出来のものが届いたのだという。革細工師ギルドに戻り、ゲヴァに相談しよう。			逸品たる使命							
依頼に至る経緯を聞いたゲヴァは、カミヤンの依頼を冒険者に託すことにしたようだ。「トードジャケット」を1着調達し、ゲヴァに見せよう。			依頼に至る経緯を聞いたゲヴァは、カミヤンの依頼を冒険者に託すことにしたようだ。「トードジャケット」を1着調達し、ゲヴァに見せよう。			逸品たる使命							
冒険者の調達したトードジャケットを、ゲヴァは記念の一品にふさわしいと認めてくれた。「セントールアイ」に向かい、これを「カミヤン」に渡そう。			冒険者の調達したトードジャケットを、ゲヴァは記念の一品にふさわしいと認めてくれた。「セントールアイ」に向かい、これを「カミヤン」に渡そう。			逸品たる使命							
カミヤンにトードジャケットを渡した。戦う者のことを考えて作られたトードジャケットに、カミヤンは大変喜んでくれたようだ。このことを革細工師ギルドのゲヴァに報告しよう。			カミヤンにトードジャケットを渡した。戦う者のことを考えて作られたトードジャケットに、カミヤンは大変喜んでくれたようだ。このことを革細工師ギルドのゲヴァに報告しよう。			逸品たる使命							
ゲヴァは「アンクル・ボサ」への怒りを収められないようだ。ゲヴァの予想では、近々開かれる「品評会」で「アンクル・ボサ」は痛い目を見ることになる、ということだが……。良いものを作ることを心がけ、いっそう革細工師の鍛錬に励もう。※革細工師のレベルが35以上になると、ゲヴァから次の革細工師クエストを受注することができます。			ゲヴァは「アンクル・ボサ」への怒りを収められないようだ。ゲヴァの予想では、近々開かれる「品評会」で「アンクル・ボサ」は痛い目を見ることになる、ということだが……。良いものを作ることを心がけ、いっそう革細工師の鍛錬に励もう。※革細工師のレベルが35以上になると、ゲヴァから次の革細工師クエストを受注することができます。			逸品たる使命							
カミヤンと話す			カミヤンと話す			逸品たる使命							
ゲヴァと話す			ゲヴァと話す			逸品たる使命							
ゲヴァにトードジャケットを見せる			ゲヴァにトードジャケットを見せる			逸品たる使命							
カミヤンにトードジャケットを納品			カミヤンにトードジャケットを納品			逸品たる使命							
ゲヴァに報告			ゲヴァに報告			逸品たる使命							
いいところに来たね！アンタは本当に、いい革細工師だ！			いいところに来たね！アンタは本当に、いい革細工師だ！			逸品たる使命							
……ええ、タイミングがね！			……ええ、タイミングがね！			逸品たる使命							
それはそうと、ちょっと頼みたい仕事があるのよ。			それはそうと、ちょっと頼みたい仕事があるのよ。			逸品たる使命							
ついさっき、ギルドに製作依頼がきたの。急な依頼だったから、断ってしまったんだけど、でも、なんだか思いつめた様子でね……。			ついさっき、ギルドに製作依頼がきたの。急な依頼だったから、断ってしまったんだけど、でも、なんだか思いつめた様子でね……。			逸品たる使命							
ちょっと話を聞きに行ってあげてくれない？依頼者は、「カミヤン」さん。ここから北の、「セントールアイ」の方に行ったみたいよ。			ちょっと話を聞きに行ってあげてくれない？依頼者は、「カミヤン」さん。ここから北の、「セントールアイ」の方に行ったみたいよ。			逸品たる使命							
君は……革細工師ギルドの職人か？ああ、わざわざ話を聞きに来てくれたのか。すまないな。			君は……革細工師ギルドの職人か？ああ、わざわざ話を聞きに来てくれたのか。すまないな。			逸品たる使命							
実は、「アンクル・ボサ」という新興の革細工ブランドに革鎧を注文したところ、ひどい出来の鎧が届いたんだ。			実は、「アンクル・ボサ」という新興の革細工ブランドに革鎧を注文したところ、ひどい出来の鎧が届いたんだ。			逸品たる使命							
見た目はそれらしいが、機能性に大いに問題がある。元、鬼哭隊員のワシの目はごまかせん。			見た目はそれらしいが、機能性に大いに問題がある。元、鬼哭隊員のワシの目はごまかせん。			逸品たる使命							
早くて安いという謳い文句につられてな……。こんなことになるならば、始めから革細工師ギルドに頼むべきだったよ。			早くて安いという謳い文句につられてな……。こんなことになるならば、始めから革細工師ギルドに頼むべきだったよ。			逸品たる使命							
無茶を言っているのは承知だ。だが、近々鬼哭隊に入隊する息子のために、一生の記念となる、よい品を贈ってやりたいのだ。			無茶を言っているのは承知だ。だが、近々鬼哭隊に入隊する息子のために、一生の記念となる、よい品を贈ってやりたいのだ。			逸品たる使命							
どうか、君にトードジャケットの製作を頼めないだろうか。			どうか、君にトードジャケットの製作を頼めないだろうか。			逸品たる使命							
近々鬼哭隊に入隊する息子のために、一生の記念となるトードジャケットを贈ってやりたいのだ。ああ、始めから革細工師ギルドに頼んでいれば……。			近々鬼哭隊に入隊する息子のために、一生の記念となるトードジャケットを贈ってやりたいのだ。ああ、始めから革細工師ギルドに頼んでいれば……。			逸品たる使命							
……そう、そう言うことだったのね。			……そう、そう言うことだったのね。			逸品たる使命							
親が子に、子が孫に。本物の逸品というのは、思いとともに受け継がれていくものなの。			親が子に、子が孫に。本物の逸品というのは、思いとともに受け継がれていくものなの。			逸品たる使命							
たしか、「トードジャケット」だったわね？大切な記念の品と聞いたら、断れやしないわ。			たしか、「トードジャケット」だったわね？大切な記念の品と聞いたら、断れやしないわ。			逸品たる使命							
Forename。依頼者の言葉を直に聞いたアンタに、製作を任せるわ。最高級の「トードジャケット」を1着、作ってらっしゃい。			Forename。依頼者の言葉を直に聞いたアンタに、製作を任せるわ。最高級の「トードジャケット」を1着、作ってらっしゃい。			逸品たる使命							
最高級の「トードジャケット」を1着、作ってらっしゃい。一生の記念品よ、責任と誇りをもって仕立てなさいね。			最高級の「トードジャケット」を1着、作ってらっしゃい。一生の記念品よ、責任と誇りをもって仕立てなさいね。			逸品たる使命							
どれどれ……			どれどれ……			逸品たる使命							
へぇ、腕を上げたじゃない。胴や肩当てに使われるギガントードレザーは、耐刃性と剛性が見事に引き出されているし……			へぇ、腕を上げたじゃない。胴や肩当てに使われるギガントードレザーは、耐刃性と剛性が見事に引き出されているし……			逸品たる使命							
しなやかなアルドゴートレザーを用いた、関節部の縫合も丁寧になされてる。悪くないわね。			しなやかなアルドゴートレザーを用いた、関節部の縫合も丁寧になされてる。悪くないわね。			逸品たる使命							
動きやすさと防御性能を両立したトードジャケットの性能を、最高まで高めた出来だ。これなら、一生の記念品に相応しいだろう。			動きやすさと防御性能を両立したトードジャケットの性能を、最高まで高めた出来だ。これなら、一生の記念品に相応しいだろう。			逸品たる使命							
さあ、「カミヤン」さんに届けておいで。「セントールアイ」の近くで待っているはずだ。			さあ、「カミヤン」さんに届けておいで。「セントールアイ」の近くで待っているはずだ。			逸品たる使命							
近々鬼哭隊に入隊する息子のために、一生の記念となるトードジャケットを贈ってやりたいのだ。ああ、始めから革細工師ギルドに頼んでいれば……。			近々鬼哭隊に入隊する息子のために、一生の記念となるトードジャケットを贈ってやりたいのだ。ああ、始めから革細工師ギルドに頼んでいれば……。			逸品たる使命							
これは……トードジャケットじゃないか！急な依頼だというのに、作ってくれたのか！			これは……トードジャケットじゃないか！急な依頼だというのに、作ってくれたのか！			逸品たる使命							
この出来栄えは……驚いたな。			この出来栄えは……驚いたな。			逸品たる使命							
削除ラベル			削除ラベル			逸品たる使命							
削除ラベル			削除ラベル			逸品たる使命							
間違いない。これは、私が今まで見てきた中で最高の革鎧だ。この品を息子に贈れることを、本当に嬉しく思う。			間違いない。これは、私が今まで見てきた中で最高の革鎧だ。この品を息子に贈れることを、本当に嬉しく思う。			逸品たる使命							
戦う者のことを熟知してなければ、このような品は作れないだろう。ひょっとしてこれは、君が……？			戦う者のことを熟知してなければ、このような品は作れないだろう。ひょっとしてこれは、君が……？			逸品たる使命							
なるほど、親方ゲヴァは、君のような冒険者にも技術を伝授しているんだな。			なるほど、親方ゲヴァは、君のような冒険者にも技術を伝授しているんだな。			逸品たる使命							
彼女の素晴らしい技術が広まり、このトードジャケットのような素晴らしい製品がエオルゼア中に行き渡ることを願っているよ。			彼女の素晴らしい技術が広まり、このトードジャケットのような素晴らしい製品がエオルゼア中に行き渡ることを願っているよ。			逸品たる使命							
ありがとうよ。この素晴らしいトードジャケットを息子に贈れることを、本当に嬉しく思う。			ありがとうよ。この素晴らしいトードジャケットを息子に贈れることを、本当に嬉しく思う。			逸品たる使命							
おかえり、喜んでもらえたようだね。			おかえり、喜んでもらえたようだね。			逸品たる使命							
それにしても、「アンクル・ボサ」……。前回のギガントードレザーの件と言い、まったくもって、腹立たしいブランドだね。			それにしても、「アンクル・ボサ」……。前回のギガントードレザーの件と言い、まったくもって、腹立たしいブランドだね。			逸品たる使命							
まあ、どこの馬鹿の企みかは知らないが、いくら早くて安くとも、モノが悪くちゃ買い手はつかない。すぐに痛い目を見ることになるだろう。			まあ、どこの馬鹿の企みかは知らないが、いくら早くて安くとも、モノが悪くちゃ買い手はつかない。すぐに痛い目を見ることになるだろう。			逸品たる使命							
近々開かれる「品評会」は、絶好の宣伝の場だ。ブランドを名乗るからには品を出さないわけがないのさ。			近々開かれる「品評会」は、絶好の宣伝の場だ。ブランドを名乗るからには品を出さないわけがないのさ。			逸品たる使命							
目利きの職人や商人に、こき下ろされて、アンクル・ボサの職人どもが泡を吹く様を見るのが楽しみだ。			目利きの職人や商人に、こき下ろされて、アンクル・ボサの職人どもが泡を吹く様を見るのが楽しみだ。			逸品たる使命							
革細工師ギルドのゲヴァは、何やら苛立っているようだが……？			革細工師ギルドのゲヴァは、何やら苛立っているようだが……？			偽りの革細工							
ゲヴァの怒りの原因は、ギルドに持ちこまれた粗悪なギガントードレザーだった。「ギガントードレザー」を1枚、調達し、出来栄えを「革細工師ギルド」の「ゲヴァ」に見てもらおう。			ゲヴァの怒りの原因は、ギルドに持ちこまれた粗悪なギガントードレザーだった。「ギガントードレザー」を1枚、調達し、出来栄えを「革細工師ギルド」の「ゲヴァ」に見てもらおう。			偽りの革細工							
ゲヴァから合格点を貰うことができた。「ギガントードレザー」を「カーラインカフェ」にいる商人「アイマル」に渡そう。			ゲヴァから合格点を貰うことができた。「ギガントードレザー」を「カーラインカフェ」にいる商人「アイマル」に渡そう。			偽りの革細工							
ウルダハの商人にギガントードレザーを渡した。商人は冒険者が渡したギガントードレザーの品質に驚き、ギルドへの誤解を解いてくれたようだ。革細工師ギルドの「ゲヴァ」に報告しよう。			ウルダハの商人にギガントードレザーを渡した。商人は冒険者が渡したギガントードレザーの品質に驚き、ギルドへの誤解を解いてくれたようだ。革細工師ギルドの「ゲヴァ」に報告しよう。			偽りの革細工							
ふてぶてしいウルダハの商人を唸らせた冒険者の腕前を認めてくれたゲヴァ。しかし、粗悪品を売ったグリダニアの新ブランド「アンクル・ボサ」への怒りは収まらないようだ……。※革細工師のレベルが30以上になると、ゲヴァから次の革細工師クエストを受注することができます。			ふてぶてしいウルダハの商人を唸らせた冒険者の腕前を認めてくれたゲヴァ。しかし、粗悪品を売ったグリダニアの新ブランド「アンクル・ボサ」への怒りは収まらないようだ……。※革細工師のレベルが30以上になると、ゲヴァから次の革細工師クエストを受注することができます。			偽りの革細工							
ゲヴァにギガントードレザーを見せる			ゲヴァにギガントードレザーを見せる			偽りの革細工							
カーラインカフェのアイマルにギガントードレザーを納品			カーラインカフェのアイマルにギガントードレザーを納品			偽りの革細工							
革細工師ギルドのゲヴァに報告			革細工師ギルドのゲヴァに報告			偽りの革細工							
ああ、腹が立つ！とっ捕まえて、面の皮をひん剥いて……			ああ、腹が立つ！とっ捕まえて、面の皮をひん剥いて……			偽りの革細工							
……あら、Forename。いいところに来たわ、ちょっと聞きなさいよ！			……あら、Forename。いいところに来たわ、ちょっと聞きなさいよ！			偽りの革細工							
まったく、腹立たしいったらないわ。ウルダハの商人が、ウチで買ったギガントードレザーが粗悪品だったって文句をつけてきたのよ。			まったく、腹立たしいったらないわ。ウルダハの商人が、ウチで買ったギガントードレザーが粗悪品だったって文句をつけてきたのよ。			偽りの革細工							
これが、そのギガントードレザー。……ひどい臭いがするでしょう？			これが、そのギガントードレザー。……ひどい臭いがするでしょう？			偽りの革細工							
なめしが荒いから、「ぬめり」が残ったままなの。これを作った職人は、ギガントードレザー製作の注意点を何ひとつ、わかっていない。			なめしが荒いから、「ぬめり」が残ったままなの。これを作った職人は、ギガントードレザー製作の注意点を何ひとつ、わかっていない。			偽りの革細工							
このレザーは当然、ウチの品じゃないわ。こんな品をアタシが並べさせるわけないでしょう。			このレザーは当然、ウチの品じゃないわ。こんな品をアタシが並べさせるわけないでしょう。			偽りの革細工							
こんな風に、命を粗末に扱った品なんて……！			こんな風に、命を粗末に扱った品なんて……！			偽りの革細工							
ウチの品でないにせよ、グリダニアの革細工師が、ずさんで、命に敬意を払わない仕事をすると思われたら、たまったもんじゃないわ。			ウチの品でないにせよ、グリダニアの革細工師が、ずさんで、命に敬意を払わない仕事をすると思われたら、たまったもんじゃないわ。			偽りの革細工							
というわけで……Forename。あんたの出番よ。			というわけで……Forename。あんたの出番よ。			偽りの革細工							
グリダニアの革細工師ギルドを背負う職人として、最高級の「ギガントードレザー」を1枚、作って、持っておいで！　本当の革細工ってのを教えてやるのよ！			グリダニアの革細工師ギルドを背負う職人として、最高級の「ギガントードレザー」を1枚、作って、持っておいで！　本当の革細工ってのを教えてやるのよ！			偽りの革細工							
「HQアイテム」を製作してみましょう。製作中に「品質」を向上させることで、HQアイテムの完成確率が高くなります。			「HQアイテム」を製作してみましょう。製作中に「品質」を向上させることで、HQアイテムの完成確率が高くなります。			偽りの革細工							
「ギガントードレザー」を1枚、作りあげて、持っておいで！本当の革細工ってのを教えてやるのよ！			「ギガントードレザー」を1枚、作りあげて、持っておいで！本当の革細工ってのを教えてやるのよ！			偽りの革細工							
よし、持ってきたね。どれどれ……			よし、持ってきたね。どれどれ……			偽りの革細工							
ふぅん。張り、丈夫さは申し分ないね。だけどそんなことよりも……			ふぅん。張り、丈夫さは申し分ないね。だけどそんなことよりも……			偽りの革細工							
ギガントードレザーの最大の特徴、「耐刃性」を最大に引き出す加工ができている。この性質のおかげで、防具の要所に用いられるんだ。			ギガントードレザーの最大の特徴、「耐刃性」を最大に引き出す加工ができている。この性質のおかげで、防具の要所に用いられるんだ。			偽りの革細工							
しっかりなめされてるから、臭いもしない。やるじゃないか、Forename！			しっかりなめされてるから、臭いもしない。やるじゃないか、Forename！			偽りの革細工							
それじゃ、仕上げのもうひと仕事だよ。この「ギガントードレザー」を「カーラインカフェ」の「アイマル」に届けてちょうだい。			それじゃ、仕上げのもうひと仕事だよ。この「ギガントードレザー」を「カーラインカフェ」の「アイマル」に届けてちょうだい。			偽りの革細工							
私は！　今！　猛烈に怒っているんだ！！あんな粗悪品のギガントードレザーを売りつけられるとは！			私は！　今！　猛烈に怒っているんだ！！あんな粗悪品のギガントードレザーを売りつけられるとは！			偽りの革細工							
なんだねこれは？　私は返金を求めたはずだ！まったく忌々しい石頭の……			なんだねこれは？　私は返金を求めたはずだ！まったく忌々しい石頭の……			偽りの革細工							
……！　こ、これは……！？			……！　こ、これは……！？			偽りの革細工							
素晴らしいギガントードレザーだ……！ううむ、トードの生臭さも、まったくしないぞ。これならベルトやカバンへ加工しても問題なさそうだ。			素晴らしいギガントードレザーだ……！ううむ、トードの生臭さも、まったくしないぞ。これならベルトやカバンへ加工しても問題なさそうだ。			偽りの革細工							
君は、「フェン・イル」にも出品する職人なのか？……何？　ギルドマスターのゲヴァがこれを届けろと？いったいどういうことなんだ？			君は、「フェン・イル」にも出品する職人なのか？……何？　ギルドマスターのゲヴァがこれを届けろと？いったいどういうことなんだ？			偽りの革細工							
……すまない、思い違いをしていたようだ。私がレザーを購入したのはフェン・イルではなく、「アンクル・ボサ」と名乗るブランドだ。			……すまない、思い違いをしていたようだ。私がレザーを購入したのはフェン・イルではなく、「アンクル・ボサ」と名乗るブランドだ。			偽りの革細工							
最近立ち上がった新ブランドで、激安と早納をコンセプトにしているらしい。そこで、あの酷いレザーを買わされてしまったのだ。			最近立ち上がった新ブランドで、激安と早納をコンセプトにしているらしい。そこで、あの酷いレザーを買わされてしまったのだ。			偽りの革細工							
グリダニアの革細工ブランドと聞いたので、てっきり革細工師ギルドの傘下だと思ったのだが……			グリダニアの革細工ブランドと聞いたので、てっきり革細工師ギルドの傘下だと思ったのだが……			偽りの革細工							
詳細を確認もせずに買ってしまった自分が、商人として恥ずかしい。			詳細を確認もせずに買ってしまった自分が、商人として恥ずかしい。			偽りの革細工							
本当に迷惑をお掛けした。とんだ失敗だったが、代わりにこんなに素晴らしいギガントードレザーに出会えて嬉しいよ。			本当に迷惑をお掛けした。とんだ失敗だったが、代わりにこんなに素晴らしいギガントードレザーに出会えて嬉しいよ。			偽りの革細工							
謝礼は革細工師ギルドに払っておこう。後で受け取ってくれ。			謝礼は革細工師ギルドに払っておこう。後で受け取ってくれ。			偽りの革細工							
本当に迷惑をお掛けした。だが、代わりにこんなに素晴らしいレザーに出会えるとは。仲間の商人に、いいみやげ話ができたよ。			本当に迷惑をお掛けした。だが、代わりにこんなに素晴らしいレザーに出会えるとは。仲間の商人に、いいみやげ話ができたよ。			偽りの革細工							
