クイックサンドのモモジゴは、何やら頼みごとがあるようだ。			クイックサンドのモモジゴは、何やら頼みごとがあるようだ。			凛とした女侍							
海都といえば、「リムサ・ロミンサ」だな。がってん承知！　さあ着いてきな！			海都といえば、「リムサ・ロミンサ」だな。がってん承知！　さあ着いてきな！			砂都を蝕む高利貸の罠！							
「メインクエスト：新生エオルゼア」の、「森都と砂都と海都と砂都と海都と森都と」を完了することで、「リムサ・ロミンサ」へ行くことができるようになります。			「メインクエスト：新生エオルゼア」の、「森都と砂都と海都と砂都と海都と森都と」を完了することで、「リムサ・ロミンサ」へ行くことができるようになります。			砂都を蝕む高利貸の罠！							
海はいいね～。なんかこう、心が洗われるってもんだ。			海はいいね～。なんかこう、心が洗われるってもんだ。			砂都を蝕む高利貸の罠！							
多種多様な種族が集う、活気のある港街であるな。ひんがしの国も、いつしかこのような、開けた国になることを切に願う……。			多種多様な種族が集う、活気のある港街であるな。ひんがしの国も、いつしかこのような、開けた国になることを切に願う……。			砂都を蝕む高利貸の罠！							
それではまた、この都に巣食う悪を探っておこう。お主は、さらに己で技を磨いておいてくれ。			それではまた、この都に巣食う悪を探っておこう。お主は、さらに己で技を磨いておいてくれ。			砂都を蝕む高利貸の罠！							
赤誠組屯所のマコトは、旅支度をしているようだ。			赤誠組屯所のマコトは、旅支度をしているようだ。			世直しムソウサイ伝							
前回までの冒険録：冒険者はクガネの治安維持組織、赤誠組のマコトから、ムソウサイの弟子であったウゲツ率いる、ウゲツ一派討伐の協力を頼まれる。副局長の裏切りや、局長の討ち死にを乗り越え、冒険者とマコトはウゲツを討ち果たし、ムソウサイの無念を晴らすのだった。　　　　　　　　　　　　*　*　*マコトはムソウサイの墓前にウゲツ討伐の報告に向かうというので、冒険者も同行することになった。モモジゴに声をかけるため、ウルダハのクイックサンド前で「マコト」と話そう。			前回までの冒険録：冒険者はクガネの治安維持組織、赤誠組のマコトから、ムソウサイの弟子であったウゲツ率いる、ウゲツ一派討伐の協力を頼まれる。副局長の裏切りや、局長の討ち死にを乗り越え、冒険者とマコトはウゲツを討ち果たし、ムソウサイの無念を晴らすのだった。　　　　　　　　　　　　*　*　*マコトはムソウサイの墓前にウゲツ討伐の報告に向かうというので、冒険者も同行することになった。モモジゴに声をかけるため、ウルダハのクイックサンド前で「マコト」と話そう。			世直しムソウサイ伝							
マコトと話したところ、モモジゴが不在だったので、ふたりでムソウサイの墓に向かうことになった。西ザナラーンのシルバーバザーで「マコト」と話そう。			マコトと話したところ、モモジゴが不在だったので、ふたりでムソウサイの墓に向かうことになった。西ザナラーンのシルバーバザーで「マコト」と話そう。			世直しムソウサイ伝							
マコトによると、町が以前より賑わっているという。再度、シルバーバザーの「マコト」と話そう。			マコトによると、町が以前より賑わっているという。再度、シルバーバザーの「マコト」と話そう。			世直しムソウサイ伝							
マコトと話し、ムソウサイへの報告を終えたところ、見覚えのある男が町で騒ぎを起こしていた。波止場：シルバーバザーで「見覚えのある男」と話そう。			マコトと話し、ムソウサイへの報告を終えたところ、見覚えのある男が町で騒ぎを起こしていた。波止場：シルバーバザーで「見覚えのある男」と話そう。			世直しムソウサイ伝							
見覚えのある男は、かつて冒険者が倒したエセ侍、オスティルグレインだった。彼はその後、改心して侍を目指し、ムソウサイの墓に通っていたが、世直しの旅の講談の影響で、人が押し寄せてきたことが不服だったようだ。マコトの計らいで、オスティルグレインはクガネで侍の修行をすることになり、ウルダハでモモジゴが行っていると思われる講談を聞くことになった。クイックサンド前の「マコト」と話そう。			見覚えのある男は、かつて冒険者が倒したエセ侍、オスティルグレインだった。彼はその後、改心して侍を目指し、ムソウサイの墓に通っていたが、世直しの旅の講談の影響で、人が押し寄せてきたことが不服だったようだ。マコトの計らいで、オスティルグレインはクガネで侍の修行をすることになり、ウルダハでモモジゴが行っていると思われる講談を聞くことになった。クイックサンド前の「マコト」と話そう。			世直しムソウサイ伝							
マコトと話して、モモジゴの講談を聞いた。彼はこれからも世直し旅の話を語り継いでいくようだ。			マコトと話して、モモジゴの講談を聞いた。彼はこれからも世直し旅の話を語り継いでいくようだ。			世直しムソウサイ伝							
ウルダハのマコトと話す			ウルダハのマコトと話す			世直しムソウサイ伝							
シルバーバザーのマコトと話す			シルバーバザーのマコトと話す			世直しムソウサイ伝							
マコトと話す			マコトと話す			世直しムソウサイ伝							
見覚えのある男と話す			見覚えのある男と話す			世直しムソウサイ伝							
ウルダハのマコトと話す			ウルダハのマコトと話す			世直しムソウサイ伝							
ご無沙汰しております、Forename殿。局長となってからというもの、ずっと御用繁多でしたが、この度、何とか都合をつけてもらって、休暇をいただきました。			ご無沙汰しております、Forename殿。局長となってからというもの、ずっと御用繁多でしたが、この度、何とか都合をつけてもらって、休暇をいただきました。			世直しムソウサイ伝							
そして、この機会を利用して、ムソウサイ様の墓前に、ウゲツ討伐の報告に参ろうと思っていたところです。			そして、この機会を利用して、ムソウサイ様の墓前に、ウゲツ討伐の報告に参ろうと思っていたところです。			世直しムソウサイ伝							
そんな矢先に貴方の訪問を受けるとは、これも何かの縁。よろしければ、私にご同行いただけませんか？			そんな矢先に貴方の訪問を受けるとは、これも何かの縁。よろしければ、私にご同行いただけませんか？			世直しムソウサイ伝							
ありがとうございます。せっかくなので、モモジゴさんにもお声がけしようと思います。それでは、ウルダハのクイックサンドへと参りましょう。			ありがとうございます。せっかくなので、モモジゴさんにもお声がけしようと思います。それでは、ウルダハのクイックサンドへと参りましょう。			世直しムソウサイ伝							
モモジゴさんの姿が見当たりませんでした。人に尋ねてみたところ、彼は興業の準備中だそうです。			モモジゴさんの姿が見当たりませんでした。人に尋ねてみたところ、彼は興業の準備中だそうです。			世直しムソウサイ伝							
どんな催しを行うのか気になるところですが、ムソウサイ様をこれ以上、待たせたくありません。私たちだけで墓前に向かうことにしますか……。			どんな催しを行うのか気になるところですが、ムソウサイ様をこれ以上、待たせたくありません。私たちだけで墓前に向かうことにしますか……。			世直しムソウサイ伝							
お墓の場所は、シルバーバザーという町でしたね。それでは参りましょう。			お墓の場所は、シルバーバザーという町でしたね。それでは参りましょう。			世直しムソウサイ伝							
気のせいでしょうか？以前に訪れたときより、町が賑わっているような……。			気のせいでしょうか？以前に訪れたときより、町が賑わっているような……。			世直しムソウサイ伝							
さらには、侍風のなりをした方までいるようですが、ともかく、墓前まで報告に向かいましょう。			さらには、侍風のなりをした方までいるようですが、ともかく、墓前まで報告に向かいましょう。			世直しムソウサイ伝							
ムソウサイ様……。道を踏み外した、貴方の弟子にして私の兄……逆賊のウゲツを討ち、その野望を阻止することができました。			ムソウサイ様……。道を踏み外した、貴方の弟子にして私の兄……逆賊のウゲツを討ち、その野望を阻止することができました。			世直しムソウサイ伝							
それも、貴方が遺した最後の弟子、Forename殿の、お力添えによるもの……。			それも、貴方が遺した最後の弟子、Forename殿の、お力添えによるもの……。			世直しムソウサイ伝							
ムソウサイ様の教えは、赤誠組の侍たちにも引き継がれ、その志はいまも彼らの中で生き続けています。どうぞ安らかにお眠りください……。			ムソウサイ様の教えは、赤誠組の侍たちにも引き継がれ、その志はいまも彼らの中で生き続けています。どうぞ安らかにお眠りください……。			世直しムソウサイ伝							
ご同行、ありがとうございました。これでもう、思い残すことは……			ご同行、ありがとうございました。これでもう、思い残すことは……			世直しムソウサイ伝							
(-？？？？-)侍をなめるなぁーーーッ！！			(-？？？？-)侍をなめるなぁーーーッ！！			世直しムソウサイ伝							
何やら尋常じゃないようですね……。行ってみましょう！			何やら尋常じゃないようですね……。行ってみましょう！			世直しムソウサイ伝							
(-見覚えのある男-)格好をマネたところで、侍になどなれるものかッ！貴様にムソウサイ殿の何がわかる……！			(-見覚えのある男-)格好をマネたところで、侍になどなれるものかッ！貴様にムソウサイ殿の何がわかる……！			世直しムソウサイ伝							
(-見覚えのある男-)あ、あんたはッ！？ひっ、ひええええええッ……！！			(-見覚えのある男-)あ、あんたはッ！？ひっ、ひええええええッ……！！			世直しムソウサイ伝							
どうも、貴方を見て逃げ去っていったようです。ムソウサイ様の名も口にしていましたし、ともかく、後を追いましょう！			どうも、貴方を見て逃げ去っていったようです。ムソウサイ様の名も口にしていましたし、ともかく、後を追いましょう！			世直しムソウサイ伝							
追い詰めました、もう逃がしませんよ……。			追い詰めました、もう逃がしませんよ……。			世直しムソウサイ伝							
ど、どうか、許してくれッ……！アンタに船上で負けてからというもの、俺は心を入れ替えて堅気になったんだ……。			ど、どうか、許してくれッ……！アンタに船上で負けてからというもの、俺は心を入れ替えて堅気になったんだ……。			世直しムソウサイ伝							
何と言う？			何と言う？			世直しムソウサイ伝							
いつかのエセ侍！			いつかのエセ侍！			世直しムソウサイ伝							
オスティルグレイン！			オスティルグレイン！			世直しムソウサイ伝							
(-オスティルグレイン-)そ、そうだ、俺はオスティルグレイン。人斬りの大富豪に用心棒として雇われ、侍でもないのに刀で戦って、アンタに無様に負けた男さ。			(-オスティルグレイン-)そ、そうだ、俺はオスティルグレイン。人斬りの大富豪に用心棒として雇われ、侍でもないのに刀で戦って、アンタに無様に負けた男さ。			世直しムソウサイ伝							
(-オスティルグレイン-)あれから、悪党の手下なんかやめて、ガマの脂売りをしながら、真っ当に生きてるんだ。だから、どうか……許してくれッ！			(-オスティルグレイン-)あれから、悪党の手下なんかやめて、ガマの脂売りをしながら、真っ当に生きてるんだ。だから、どうか……許してくれッ！			世直しムソウサイ伝							
どうやら、この人の中の悪は、貴方によって斬って捨てられたようですね……。			どうやら、この人の中の悪は、貴方によって斬って捨てられたようですね……。			世直しムソウサイ伝							
Forename殿は、心改めた者に追い打ちをかけるような方ではありません。どうか立ち上がって、騒ぎを起こした事情を説明してください。			Forename殿は、心改めた者に追い打ちをかけるような方ではありません。どうか立ち上がって、騒ぎを起こした事情を説明してください。			世直しムソウサイ伝							
(-オスティルグレイン-)か、かたじけない……。あれから俺は、本物の侍を目指して、ムソウサイ殿に弟子入りしようとしたんだ。			(-オスティルグレイン-)か、かたじけない……。あれから俺は、本物の侍を目指して、ムソウサイ殿に弟子入りしようとしたんだ。			世直しムソウサイ伝							
(-オスティルグレイン-)すでに亡くなったと知ってからは、毎日欠かさず墓前に通って、啓示を受けようとしていた。			(-オスティルグレイン-)すでに亡くなったと知ってからは、毎日欠かさず墓前に通って、啓示を受けようとしていた。			世直しムソウサイ伝							
(-オスティルグレイン-)だが、ウルダハでムソウサイ殿の世直し旅を題材にした講談が、評判になったとかで、墓に人が押し寄せてきやがったんだ。そんな軟派なヤツらに侍の何がわかるってんだよ……！			(-オスティルグレイン-)だが、ウルダハでムソウサイ殿の世直し旅を題材にした講談が、評判になったとかで、墓に人が押し寄せてきやがったんだ。そんな軟派なヤツらに侍の何がわかるってんだよ……！			世直しムソウサイ伝							
私はムソウサイ様と縁があった者です。あの方は世直し旅の話が人々に広まることで、ほかの誰かが、世直しに立ち上がることを望むはず。			私はムソウサイ様と縁があった者です。あの方は世直し旅の話が人々に広まることで、ほかの誰かが、世直しに立ち上がることを望むはず。			世直しムソウサイ伝							
そして、ムソウサイ様は孤高の方でしたが、決して人嫌いというわけではなかった……。多少、賑やかになったとて、笑って許してくれましょう。			そして、ムソウサイ様は孤高の方でしたが、決して人嫌いというわけではなかった……。多少、賑やかになったとて、笑って許してくれましょう。			世直しムソウサイ伝							
(-オスティルグレイン-)そ、そうなのか……。確かに俺は、ムソウサイ殿のことをよく知らずに……。そうだ……！			(-オスティルグレイン-)そ、そうなのか……。確かに俺は、ムソウサイ殿のことをよく知らずに……。そうだ……！			世直しムソウサイ伝							
(-オスティルグレイン-)ムソウサイ殿の教えを受けたアンタにお願いだ！どうか、俺を弟子にしてくれッ……！			(-オスティルグレイン-)ムソウサイ殿の教えを受けたアンタにお願いだ！どうか、俺を弟子にしてくれッ……！			世直しムソウサイ伝							
何と言う？			何と言う？			世直しムソウサイ伝							
断る！			断る！			世直しムソウサイ伝							
…………			…………			世直しムソウサイ伝							
無理を言うものではありませんよ。ですが、あなたが本気ならば、クガネに来ませんか？剣術道場を紹介することくらいなら、私にもできます。			無理を言うものではありませんよ。ですが、あなたが本気ならば、クガネに来ませんか？剣術道場を紹介することくらいなら、私にもできます。			世直しムソウサイ伝							
(-オスティルグレイン-)あの、ひんがしの国の！？侍の本場で修行できるってのか……！そいつは願ったりだ、どうかよろしく頼む！			(-オスティルグレイン-)あの、ひんがしの国の！？侍の本場で修行できるってのか……！そいつは願ったりだ、どうかよろしく頼む！			世直しムソウサイ伝							
わかりました。旅は道連れ、世は情けと申します。帰りの旅路をともにすることとしましょう……。			わかりました。旅は道連れ、世は情けと申します。帰りの旅路をともにすることとしましょう……。			世直しムソウサイ伝							
ところで、世直しの旅の講談をしている者は……ひとりしかいませんね？			ところで、世直しの旅の講談をしている者は……ひとりしかいませんね？			世直しムソウサイ伝							
せっかくですから、帰路につく前に一席聞いていきましょうか。皆さんでウルダハのクイックサンドへ向かいましょう。			せっかくですから、帰路につく前に一席聞いていきましょうか。皆さんでウルダハのクイックサンドへ向かいましょう。			世直しムソウサイ伝							
俺はムソウサイ殿の旅路の、ごく一部しか知らない。講談でその顛末を聞きたいところだ。			俺はムソウサイ殿の旅路の、ごく一部しか知らない。講談でその顛末を聞きたいところだ。			世直しムソウサイ伝							
やはり、講談はモモジゴさんによるものでした。ちょうどこれから、クイックサンドにて、一席ぶつようなので、是非とも聞かせてもらいましょう。			やはり、講談はモモジゴさんによるものでした。ちょうどこれから、クイックサンドにて、一席ぶつようなので、是非とも聞かせてもらいましょう。			世直しムソウサイ伝							
えー、それでは、私めの講談に、ひとつお付き合いください。			えー、それでは、私めの講談に、ひとつお付き合いください。			世直しムソウサイ伝							
このお話は、とある冒険者がここウルダハにて、神秘の東方からやって来た、老侍と出会ったことから始まります。			このお話は、とある冒険者がここウルダハにて、神秘の東方からやって来た、老侍と出会ったことから始まります。			世直しムソウサイ伝							
ムソウサイと名乗るその老侍は、かのコロセウムで腕試しを催し、目にもとまらぬ剣技で、次々と挑戦者を圧倒してゆきました。もはや敵う者なしと誰もが息を呑んだ……。			ムソウサイと名乗るその老侍は、かのコロセウムで腕試しを催し、目にもとまらぬ剣技で、次々と挑戦者を圧倒してゆきました。もはや敵う者なしと誰もが息を呑んだ……。			世直しムソウサイ伝							
しかし、そこに現れたのが、さすらいの冒険者。渡された刀を難なく使いこなして見せると、見事、老侍から一本とったのであります……！			しかし、そこに現れたのが、さすらいの冒険者。渡された刀を難なく使いこなして見せると、見事、老侍から一本とったのであります……！			世直しムソウサイ伝							
世直しの旅にて、数々の悪党を懲らしめてきた冒険者ですが、最後に立ちはだかったのは、なんと師であるムソウサイ！			世直しの旅にて、数々の悪党を懲らしめてきた冒険者ですが、最後に立ちはだかったのは、なんと師であるムソウサイ！			世直しムソウサイ伝							
真剣を向ける老侍を前に、冒険者は泣く泣く刀を抜いた。ついに、師弟による西紀の一戦が幕を開けたのであります！			真剣を向ける老侍を前に、冒険者は泣く泣く刀を抜いた。ついに、師弟による西紀の一戦が幕を開けたのであります！			世直しムソウサイ伝							
旅で培ってきた居合を駆使する冒険者！これでもかと言わんばかりに、数々の大技を繰り出すムソウサイ！両者一歩も譲らない攻防が続きました……。			旅で培ってきた居合を駆使する冒険者！これでもかと言わんばかりに、数々の大技を繰り出すムソウサイ！両者一歩も譲らない攻防が続きました……。			世直しムソウサイ伝							
しかし、最後には若き冒険者の力がわずかに上回り、ムソウサイは倒れてしまいました。			しかし、最後には若き冒険者の力がわずかに上回り、ムソウサイは倒れてしまいました。			世直しムソウサイ伝							
そして、老侍は己にとどめを刺すように言います。冒険者は目を閉じてそっと刀に手をかけた……。			そして、老侍は己にとどめを刺すように言います。冒険者は目を閉じてそっと刀に手をかけた……。			世直しムソウサイ伝							
シャキーーーン！！			シャキーーーン！！			世直しムソウサイ伝							
刀は空を斬って鞘に収まりました。冒険者は、ムソウサイの中の悪だけを斬って捨てたのです。			刀は空を斬って鞘に収まりました。冒険者は、ムソウサイの中の悪だけを斬って捨てたのです。			世直しムソウサイ伝							
老侍はかねての病で事切れてしまいましたが、弟子の刀によって、その魂は救われたのでありました……。いまはシルバーバザーで安らかに眠っているとか。			老侍はかねての病で事切れてしまいましたが、弟子の刀によって、その魂は救われたのでありました……。いまはシルバーバザーで安らかに眠っているとか。			世直しムソウサイ伝							
そして、師の心を引き継いだ冒険者は、いまもどこかで世直しの旅を続けているのであります。			そして、師の心を引き継いだ冒険者は、いまもどこかで世直しの旅を続けているのであります。			世直しムソウサイ伝							
以上、「世直しムソウサイ伝」でした。それでは、今日はこの辺で失礼いたします。			以上、「世直しムソウサイ伝」でした。それでは、今日はこの辺で失礼いたします。			世直しムソウサイ伝							
客席にForenameや、マコトさん、さらにはエセ侍までいると、さすがにやりにくかったぜ。			客席にForenameや、マコトさん、さらにはエセ侍までいると、さすがにやりにくかったぜ。			世直しムソウサイ伝							
以前、クガネに行ったときに「無地鼓座」で講談を見て、自分がやるべきはこれだってビビッときたんだ。口ひとつでできるこの商売は、俺にとって天職だな。			以前、クガネに行ったときに「無地鼓座」で講談を見て、自分がやるべきはこれだってビビッときたんだ。口ひとつでできるこの商売は、俺にとって天職だな。			世直しムソウサイ伝							
素晴らしかったです。これからも、Forename殿と、ムソウサイ様の世直し旅を語り継いでくださいね。			素晴らしかったです。これからも、Forename殿と、ムソウサイ様の世直し旅を語り継いでくださいね。			世直しムソウサイ伝							
任せてくれよ！だが、ずっとそれだけじゃあ、いずれ飽きられて、商売としては成り立たない……。			任せてくれよ！だが、ずっとそれだけじゃあ、いずれ飽きられて、商売としては成り立たない……。			世直しムソウサイ伝							
Forename、相変わらず冒険に勤しんでいるんだろ？新しい演目のタネにしたいんで、その話を聞かせてくれないか？			Forename、相変わらず冒険に勤しんでいるんだろ？新しい演目のタネにしたいんで、その話を聞かせてくれないか？			世直しムソウサイ伝							
何の話をする？			何の話をする？			世直しムソウサイ伝							
第一世界を救った話			第一世界を救った話			世直しムソウサイ伝							
アンドレイアを倒した話			アンドレイアを倒した話			世直しムソウサイ伝							
まったく、想像を絶する話だったぜ。アンタの世直しの旅は異世界にまで及ぶんだな……。			まったく、想像を絶する話だったぜ。アンタの世直しの旅は異世界にまで及ぶんだな……。			世直しムソウサイ伝							
ありがとよ！その話、新たな演目に加えさせてもらうぜ！			ありがとよ！その話、新たな演目に加えさせてもらうぜ！			世直しムソウサイ伝							
さて、講談も聞けたことですし、私たちはそろそろお暇させていただきます。			さて、講談も聞けたことですし、私たちはそろそろお暇させていただきます。			世直しムソウサイ伝							
よし、俺はこれからひんがしの国で、武者修行を積んで、今度こそ本物の侍になってみせるぞ！			よし、俺はこれからひんがしの国で、武者修行を積んで、今度こそ本物の侍になってみせるぞ！			世直しムソウサイ伝							
クガネにお立ち寄りの際は、是非、屯所までお越しください。それでは、また……。			クガネにお立ち寄りの際は、是非、屯所までお越しください。それでは、また……。			世直しムソウサイ伝							
まさか、あのエセ侍が改心して、侍を目指しているなんてな……。きっと、ムソウサイの爺さんも喜んでるはずだ。			まさか、あのエセ侍が改心して、侍を目指しているなんてな……。きっと、ムソウサイの爺さんも喜んでるはずだ。			世直しムソウサイ伝							
爺さんの心がForenameに継承され、アンタが斬ったヤツの心にまで、受け継がれたってことだろう。			爺さんの心がForenameに継承され、アンタが斬ったヤツの心にまで、受け継がれたってことだろう。			世直しムソウサイ伝							
これからも、風の向くまま気の向くまま、世直しの旅を続けて、また俺に新しい話を聞かせてくれよな……！			これからも、風の向くまま気の向くまま、世直しの旅を続けて、また俺に新しい話を聞かせてくれよな……！			世直しムソウサイ伝							
剣術士ギルドのムソウサイは、侍となった冒険者を眼光鋭く見つめている。			剣術士ギルドのムソウサイは、侍となった冒険者を眼光鋭く見つめている。			老剣豪ムソウサイ							
ムソウサイから、勝負に向けての身支度を勧められた。準備ができたら、「ムソウサイ」と話そう。			ムソウサイから、勝負に向けての身支度を勧められた。準備ができたら、「ムソウサイ」と話そう。			老剣豪ムソウサイ							
冒険者はムソウサイから見事に一本取り、乱入してきたベロアルドを倒した。剣術士ギルドの「ムソウサイ」と話そう。			冒険者はムソウサイから見事に一本取り、乱入してきたベロアルドを倒した。剣術士ギルドの「ムソウサイ」と話そう。			老剣豪ムソウサイ							
ムソウサイと話した。彼はひんがしの国から弟子を探しにきたという。冒険者はムソウサイの弟子として、彼の剣技の担い手となることになった。侍の心得を聞くため、ウルダハのクイックサンドにいる「ムソウサイ」と話そう。			ムソウサイと話した。彼はひんがしの国から弟子を探しにきたという。冒険者はムソウサイの弟子として、彼の剣技の担い手となることになった。侍の心得を聞くため、ウルダハのクイックサンドにいる「ムソウサイ」と話そう。			老剣豪ムソウサイ							
ムソウサイから、侍の心得を聞いた。侍とは悪を成敗し平和を護るものだという。冒険者は侍の修行として、エオルゼアの悪を懲らしめることになった。ムソウサイは興行師のモモジゴと、ウルダハの討つべき悪を探るという。しばらく技を磨いてから、またムソウサイを訪ねよう。※侍のレベルが52以上になると、クイックサンドのムソウサイから次の侍クエストを受注することができます。			ムソウサイから、侍の心得を聞いた。侍とは悪を成敗し平和を護るものだという。冒険者は侍の修行として、エオルゼアの悪を懲らしめることになった。ムソウサイは興行師のモモジゴと、ウルダハの討つべき悪を探るという。しばらく技を磨いてから、またムソウサイを訪ねよう。※侍のレベルが52以上になると、クイックサンドのムソウサイから次の侍クエストを受注することができます。			老剣豪ムソウサイ							
ムソウサイと話す			ムソウサイと話す			老剣豪ムソウサイ							
クイックサンドのムソウサイと話す			クイックサンドのムソウサイと話す			老剣豪ムソウサイ							
ムソウサイから一本取れ！			ムソウサイから一本取れ！			老剣豪ムソウサイ							
ベロアルドを倒せ！			ベロアルドを倒せ！			老剣豪ムソウサイ							
ほう、眼差しが変わったな。その様子だと、渡した「魂技石」から剣技を……いや、こっちの話じゃ。			ほう、眼差しが変わったな。その様子だと、渡した「魂技石」から剣技を……いや、こっちの話じゃ。			老剣豪ムソウサイ							
さて、ワシから一本取ることができるかのう……。勝負に向けて、身支度を整えておくがいい。覚悟が決まったら、声をかけてくれ。			さて、ワシから一本取ることができるかのう……。勝負に向けて、身支度を整えておくがいい。覚悟が決まったら、声をかけてくれ。			老剣豪ムソウサイ							
侍、レベル50までのアクションを修得済みです。メインコマンドの「アクションリスト」から、使用できるアクションを確認してみましょう。			侍、レベル50までのアクションを修得済みです。メインコマンドの「アクションリスト」から、使用できるアクションを確認してみましょう。			老剣豪ムソウサイ							
覚悟は決まったようだな……。それでは、闘技場へ向かうとしよう。			覚悟は決まったようだな……。それでは、闘技場へ向かうとしよう。			老剣豪ムソウサイ							
(-饒舌な興行師-)さあ、さあ、皆さんお立ち会い！神秘の東方からやって来た、並ぶことなき剣豪「ムソウサイ」！お次に挑戦するのは、さすらいの冒険者だ～！			(-饒舌な興行師-)さあ、さあ、皆さんお立ち会い！神秘の東方からやって来た、並ぶことなき剣豪「ムソウサイ」！お次に挑戦するのは、さすらいの冒険者だ～！			老剣豪ムソウサイ							
(-？？？？-)その勝負、ちょっと待ったァァァ！			(-？？？？-)その勝負、ちょっと待ったァァァ！			老剣豪ムソウサイ							
(-？？？？-)そこのジジイをブチのめすのは、この俺……コロセウムの覇者「滅殺のベロアルド」様だァ！			(-？？？？-)そこのジジイをブチのめすのは、この俺……コロセウムの覇者「滅殺のベロアルド」様だァ！			老剣豪ムソウサイ							
やいジジイ！　さっきは、よくもイカサマしてくれたな！あんな頼りない細身の剣を渡しやがって！いつもの剣だったら、お前なんかに負けるわけねぇんだ！			やいジジイ！　さっきは、よくもイカサマしてくれたな！あんな頼りない細身の剣を渡しやがって！いつもの剣だったら、お前なんかに負けるわけねぇんだ！			老剣豪ムソウサイ							
(-饒舌な興行師-)おっと～！先ほど、コテンパンにされたベロアルドが乱入してきたぞ～！			(-饒舌な興行師-)おっと～！先ほど、コテンパンにされたベロアルドが乱入してきたぞ～！			老剣豪ムソウサイ							
(-饒舌な興行師-)悪行がたたってコロセウムを追放された強豪剣闘士！そのプライドに火を点けてしまったか～！？			(-饒舌な興行師-)悪行がたたってコロセウムを追放された強豪剣闘士！そのプライドに火を点けてしまったか～！？			老剣豪ムソウサイ							
なにを今さら……同じ刀で勝負する、そういう決め事であったろうが……。			なにを今さら……同じ刀で勝負する、そういう決め事であったろうが……。			老剣豪ムソウサイ							
うるせぇ！小細工抜きでもう一度、俺と勝負しやがれ！			うるせぇ！小細工抜きでもう一度、俺と勝負しやがれ！			老剣豪ムソウサイ							
やれやれ……。この地の輩は、抜き身の刀そのものだ。			やれやれ……。この地の輩は、抜き身の刀そのものだ。			老剣豪ムソウサイ							
ヒィィッ！お、覚えとけよォォォ！			ヒィィッ！お、覚えとけよォォォ！			老剣豪ムソウサイ							
ふう、思わぬ邪魔が入ったが……。気を取り直して、いざ勝負じゃ。			ふう、思わぬ邪魔が入ったが……。気を取り直して、いざ勝負じゃ。			老剣豪ムソウサイ							
見事であった！魂技石から瞬く間にこれほどまで技を引出し、ワシに叩き込むとは……お主只者ではないな！			見事であった！魂技石から瞬く間にこれほどまで技を引出し、ワシに叩き込むとは……お主只者ではないな！			老剣豪ムソウサイ							
よかろう、お主に滅多に手に入らぬ「ひんがしの国のお宝」……さらなる「侍の技」を授けよう！			よかろう、お主に滅多に手に入らぬ「ひんがしの国のお宝」……さらなる「侍の技」を授けよう！			老剣豪ムソウサイ							
いかがした？侍の技は、この地ではまず手に入らぬ価値あるものだ。			いかがした？侍の技は、この地ではまず手に入らぬ価値あるものだ。			老剣豪ムソウサイ							
ワシの弟子となれば、我が生涯をかけた奥義の伝授も考えんでもないぞ……？			ワシの弟子となれば、我が生涯をかけた奥義の伝授も考えんでもないぞ……？			老剣豪ムソウサイ							
(-聞き覚えのある声-)ジジイこの野郎！　騙しやがったな！			(-聞き覚えのある声-)ジジイこの野郎！　騙しやがったな！			老剣豪ムソウサイ							
ひんがしの国のお宝って、金銀財宝じゃなかったのかよォ！			ひんがしの国のお宝って、金銀財宝じゃなかったのかよォ！			老剣豪ムソウサイ							
(-饒舌な興行師-)おおっと、ベロアルドが今度は仲間を連れて戻ってきた～！しつこい！　しつこすぎるぞ～！			(-饒舌な興行師-)おおっと、ベロアルドが今度は仲間を連れて戻ってきた～！しつこい！　しつこすぎるぞ～！			老剣豪ムソウサイ							
うるせぇ！文句のあるやつは、ブチのめしてやるぞォ！			うるせぇ！文句のあるやつは、ブチのめしてやるぞォ！			老剣豪ムソウサイ							
騙してはおらぬぞ。お宝が金目の物だとは一言も言っとらん。どっちにしろ、お主は手も足も出なかったがな……。			騙してはおらぬぞ。お宝が金目の物だとは一言も言っとらん。どっちにしろ、お主は手も足も出なかったがな……。			老剣豪ムソウサイ							
黙れ黙れ！今度こそ、俺の本当の実力を見せてやる！			黙れ黙れ！今度こそ、俺の本当の実力を見せてやる！			老剣豪ムソウサイ							
ぞろぞろ仲間を連れてきながら、よくもそんな戯言を……。まあよかろう、もう一度、痛い目を見たいようだ。だが……今度はワシではなく、我が弟子が相手になる。			ぞろぞろ仲間を連れてきながら、よくもそんな戯言を……。まあよかろう、もう一度、痛い目を見たいようだ。だが……今度はワシではなく、我が弟子が相手になる。			老剣豪ムソウサイ							
お主なら、こやつらごとき軽く捻ってくれるであろう。……のう？			お主なら、こやつらごとき軽く捻ってくれるであろう。……のう？			老剣豪ムソウサイ							
しゃらくせえ！邪魔するもんなら、コイツもやっちまえ！			しゃらくせえ！邪魔するもんなら、コイツもやっちまえ！			老剣豪ムソウサイ							
強引に任せてしまい、あいすまぬ。だが、ワシの目に狂いはなかった。お主こそ、我が弟子に相応しき逸材のようだ……。			強引に任せてしまい、あいすまぬ。だが、ワシの目に狂いはなかった。お主こそ、我が弟子に相応しき逸材のようだ……。			老剣豪ムソウサイ							
