巴術士ギルドのトゥビルゲイムは、冒険者に任せたい仕事があるようだ。			巴術士ギルドのトゥビルゲイムは、冒険者に任せたい仕事があるようだ。			業火の召喚獣							
あら、何か用？			あら、何か用？			闇に葬られた頁							
「聖コイナク財団のラムブルースより」………？ふーん……まぁ、あの財団とは取引実績も多いし、発掘品を貸しだすくらい、してあげてもいいわ。			「聖コイナク財団のラムブルースより」………？ふーん……まぁ、あの財団とは取引実績も多いし、発掘品を貸しだすくらい、してあげてもいいわ。			闇に葬られた頁							
ふふ……それに、あらかじめ中身を知っておけば、好事家どもに、より高く売りつけることもできるしね。			ふふ……それに、あらかじめ中身を知っておけば、好事家どもに、より高く売りつけることもできるしね。			闇に葬られた頁							
いいわ、商会のアラガントームストーンを預けましょう。そのかわり、なかに何が書いてあったのか、返却のときに教えてちょうだい！			いいわ、商会のアラガントームストーンを預けましょう。そのかわり、なかに何が書いてあったのか、返却のときに教えてちょうだい！			闇に葬られた頁							
感謝します、ロウェナ女史。Forename、私はさっそく解読を始めるわ。よかったら、つきあってくれるかしら？			感謝します、ロウェナ女史。Forename、私はさっそく解読を始めるわ。よかったら、つきあってくれるかしら？			闇に葬られた頁							
ロウェナ女史から、借り受けることができたって？それは僥倖……。学術的にも、貴重な発見があるかもしれないしね。			ロウェナ女史から、借り受けることができたって？それは僥倖……。学術的にも、貴重な発見があるかもしれないしね。			闇に葬られた頁							
借りてきたアラガントームストーンの内容を解読して、さっそく興味深い内容が見つかったわ。そろそろプリンクにも起きてもらって、話を聞きたいところね。			借りてきたアラガントームストーンの内容を解読して、さっそく興味深い内容が見つかったわ。そろそろプリンクにも起きてもらって、話を聞きたいところね。			闇に葬られた頁							
あら、ラムブルース。わざわざ様子を見にきてくれたのかしら？			あら、ラムブルース。わざわざ様子を見にきてくれたのかしら？			闇に葬られた頁							
この子が使い魔のプリンク……古代アラグの生き証人よ。			この子が使い魔のプリンク……古代アラグの生き証人よ。			闇に葬られた頁							
初めまして、ラムブルース様。私めは、使い魔のプリンキピアと申します。			初めまして、ラムブルース様。私めは、使い魔のプリンキピアと申します。			闇に葬られた頁							
よろしく、プリンク君。なかなか賢そうな顔の書物だね。			よろしく、プリンク君。なかなか賢そうな顔の書物だね。			闇に葬られた頁							
顔……わかるのかしら……？それはともかく、大召喚士サリに関する新たな記述を見つけて、プリンクに話を聞いていたところなの。			顔……わかるのかしら……？それはともかく、大召喚士サリに関する新たな記述を見つけて、プリンクに話を聞いていたところなの。			闇に葬られた頁							
解読したアラグ帝国軍の通信記録の中に、「大召喚士の研究成果を確保すべし」という命令があってね。つまり弾圧側の軍部が、サリの研究に関心を持っていたようなの。			解読したアラグ帝国軍の通信記録の中に、「大召喚士の研究成果を確保すべし」という命令があってね。つまり弾圧側の軍部が、サリの研究に関心を持っていたようなの。			闇に葬られた頁							
ふむ……具体的には、サリはどのような研究を？			ふむ……具体的には、サリはどのような研究を？			闇に葬られた頁							
魔科学の情報技術を応用した召喚魔法……たとえば、魔道書にかわる記録媒体や端末、高速演算による、召喚獣のより精巧な顕現といった研究です。			魔科学の情報技術を応用した召喚魔法……たとえば、魔道書にかわる記録媒体や端末、高速演算による、召喚獣のより精巧な顕現といった研究です。			闇に葬られた頁							
つまり、魔道書なしで召喚を実行したり、機械の力を借りて、本物そっくりの魔物を召喚したり……ということかな？			つまり、魔道書なしで召喚を実行したり、機械の力を借りて、本物そっくりの魔物を召喚したり……ということかな？			闇に葬られた頁							
はい、そのような理解で結構です。ただサリ様は、それらの成果を濫用する方ではございませんでした。機械には誤動作も多く、信頼が置けない……と。			はい、そのような理解で結構です。ただサリ様は、それらの成果を濫用する方ではございませんでした。機械には誤動作も多く、信頼が置けない……と。			闇に葬られた頁							
通信記録の日付からすると、これはサリの晩年のこと……。プリンクを書き上げてから、軍部が命令を実行に移すまでの間に、サリの考えを、大きく変えるようなできごとが起きていた可能性は？			通信記録の日付からすると、これはサリの晩年のこと……。プリンクを書き上げてから、軍部が命令を実行に移すまでの間に、サリの考えを、大きく変えるようなできごとが起きていた可能性は？			闇に葬られた頁							
あるとすれば、ひとつ……アラグ帝国の弾圧によって、サリ様の弟子の大部分が、命を落とすという事件がありました。たしかにその後のサリ様は、研究室にこもりがちでしたが……。			あるとすれば、ひとつ……アラグ帝国の弾圧によって、サリ様の弟子の大部分が、命を落とすという事件がありました。たしかにその後のサリ様は、研究室にこもりがちでしたが……。			闇に葬られた頁							
サリの人格が豹変してしまっても、不思議がないくらいの事件だね。プリンク君は、それから間もなく休眠状態になって、サリのその後については、知らないと考えていいのかな？			サリの人格が豹変してしまっても、不思議がないくらいの事件だね。プリンク君は、それから間もなく休眠状態になって、サリのその後については、知らないと考えていいのかな？			闇に葬られた頁							
……いまのところ、私たちが遭遇した敵の正体は、サリの研究と関係がありそうに思えるわね。			……いまのところ、私たちが遭遇した敵の正体は、サリの研究と関係がありそうに思えるわね。			闇に葬られた頁							
もっとたくさんの記録を掘り下げたいところだけど、私たちだけじゃ手が足りないわ。ダンシング・ウルフ大闘士の特務隊に、応援を要請しましょう。			もっとたくさんの記録を掘り下げたいところだけど、私たちだけじゃ手が足りないわ。ダンシング・ウルフ大闘士の特務隊に、応援を要請しましょう。			闇に葬られた頁							
それなら、私の天幕を使うといい。資料も充実しているし、アラグの専門家が集まっているからね。			それなら、私の天幕を使うといい。資料も充実しているし、アラグの専門家が集まっているからね。			闇に葬られた頁							
お言葉に甘えることにするわ！それじゃ、Forename……「聖コイナク財団の調査地」へ向かいましょう！			お言葉に甘えることにするわ！それじゃ、Forename……「聖コイナク財団の調査地」へ向かいましょう！			闇に葬られた頁							
私も暇を見つけては、天幕に顔を出しているけれど、アラガントームストーンの解読は、なかなか順調なようだね。			私も暇を見つけては、天幕に顔を出しているけれど、アラガントームストーンの解読は、なかなか順調なようだね。			闇に葬られた頁							
この手の地道な作業は、おまかせください！魔道書の解読で慣れていますから。			この手の地道な作業は、おまかせください！魔道書の解読で慣れていますから。			闇に葬られた頁							
アラグの記録を漁ってると、頭が痛くなってくるね！異なる世界への扉だの、新しい月を創るだの、たとえじゃなくて、全部本当だったりするからね……。			アラグの記録を漁ってると、頭が痛くなってくるね！異なる世界への扉だの、新しい月を創るだの、たとえじゃなくて、全部本当だったりするからね……。			闇に葬られた頁							
アラグ帝国軍の記述に絞って、集中的に解読を進めている。手あたりしだいというのは、あまりにも効率が悪いからな。			アラグ帝国軍の記述に絞って、集中的に解読を進めている。手あたりしだいというのは、あまりにも効率が悪いからな。			闇に葬られた頁							
次の目的地は、モードゥナの「聖コイナク財団の調査地」よ。ラムブルースに天幕を借りるはずだったでしょ？			次の目的地は、モードゥナの「聖コイナク財団の調査地」よ。ラムブルースに天幕を借りるはずだったでしょ？			闇に葬られた頁							
私めの知っている時代から、本当に何千年も経っているのですね。サリ様のことが、現在では記録にしか残っていないというのは、とても奇妙なことに思われます。			私めの知っている時代から、本当に何千年も経っているのですね。サリ様のことが、現在では記録にしか残っていないというのは、とても奇妙なことに思われます。			闇に葬られた頁							
Forenameのためならって、みんな、すぐに駆けつけてくれたわ！怪我はよくなったみたいで、何よりね！			Forenameのためならって、みんな、すぐに駆けつけてくれたわ！怪我はよくなったみたいで、何よりね！			闇に葬られた頁							
プリンクにも解読を手伝ってもらいましょう。何か見つかるといいけれど……。			プリンクにも解読を手伝ってもらいましょう。何か見つかるといいけれど……。			闇に葬られた頁							
これだ…………こいつが探してた記録だ！大召喚士「サリ」が発見されたときの軍部の記録。発見当時、サリはすでに何者かに殺害されていたらしい！			これだ…………こいつが探してた記録だ！大召喚士「サリ」が発見されたときの軍部の記録。発見当時、サリはすでに何者かに殺害されていたらしい！			闇に葬られた頁							
やはりサリは、何千年も前に死んでいたということですか？では、僕たちを襲ったサリは…………			やはりサリは、何千年も前に死んでいたということですか？では、僕たちを襲ったサリは…………			闇に葬られた頁							
クローンとかいう、人造生命体だった可能性が高そうだね！で……話にはまだ、つづきがあるんだろ？			クローンとかいう、人造生命体だった可能性が高そうだね！で……話にはまだ、つづきがあるんだろ？			闇に葬られた頁							
ああ……サリが遺した研究成果は、「きわめて危険ながら、潜在的な有用性を秘めている」として、アラグ帝国軍によって研究が引き継がれたらしい。			ああ……サリが遺した研究成果は、「きわめて危険ながら、潜在的な有用性を秘めている」として、アラグ帝国軍によって研究が引き継がれたらしい。			闇に葬られた頁							
まもなく海洋移動型人工島で、実地試験が始まったものの、きわめて重篤な事故が起き、実験はすぐに中止となった……。			まもなく海洋移動型人工島で、実地試験が始まったものの、きわめて重篤な事故が起き、実験はすぐに中止となった……。			闇に葬られた頁							
海洋移動型人工島……そうか、動く島「シールロック」のことね！まさしく、私たちが「サリ」と遭遇した場所だわ！			海洋移動型人工島……そうか、動く島「シールロック」のことね！まさしく、私たちが「サリ」と遭遇した場所だわ！			闇に葬られた頁							
シールロックで遭遇した敵は、同時に多数の召喚獣を呼び出し、精巧に再現された、疑似魔物を使役していました。			シールロックで遭遇した敵は、同時に多数の召喚獣を呼び出し、精巧に再現された、疑似魔物を使役していました。			闇に葬られた頁							
これらの攻撃手段は、サリ様が進めていた研究……機械の高速演算による、召喚魔法の強化と一致します。			これらの攻撃手段は、サリ様が進めていた研究……機械の高速演算による、召喚魔法の強化と一致します。			闇に葬られた頁							
……それで、おおよその説明がつきますね。軍はシールロックで、死んだサリのクローンを使って、召喚魔法と魔科学を融合する、危険な実験をしていたのでしょう。			……それで、おおよその説明がつきますね。軍はシールロックで、死んだサリのクローンを使って、召喚魔法と魔科学を融合する、危険な実験をしていたのでしょう。			闇に葬られた頁							
あたしたちがシールロックに乗り込んだとき、何らかの理由で、そのクローンが目覚めたってことだね！？			あたしたちがシールロックに乗り込んだとき、何らかの理由で、そのクローンが目覚めたってことだね！？			闇に葬られた頁							
だけど、あの「サリ」はどこへ逃げたのかしら？次に向かいそうな場所は…………どこ？			だけど、あの「サリ」はどこへ逃げたのかしら？次に向かいそうな場所は…………どこ？			闇に葬られた頁							
サリの研究成果は、ある研究施設に極秘のうちに封じられたようだ。施設の名は「魔科学研究所」というらしいが……。			サリの研究成果は、ある研究施設に極秘のうちに封じられたようだ。施設の名は「魔科学研究所」というらしいが……。			闇に葬られた頁							
あんた、知ってるのかい！？その魔科学なんとかって、どこにあるわけ？			あんた、知ってるのかい！？その魔科学なんとかって、どこにあるわけ？			闇に葬られた頁							
アバラシア雲海に浮かぶ、魔大陸アジス・ラー……！サリの研究成果が保管されているのなら、クローンが、そこへ向かった可能性は高そうですね。			アバラシア雲海に浮かぶ、魔大陸アジス・ラー……！サリの研究成果が保管されているのなら、クローンが、そこへ向かった可能性は高そうですね。			闇に葬られた頁							
特務隊で、シールロックの調査も進めておくよ。ヒントになるものが、遺されてるかもしれないしね！			特務隊で、シールロックの調査も進めておくよ。ヒントになるものが、遺されてるかもしれないしね！			闇に葬られた頁							
お願いするわ。私たちはいったん、グリダニアへ戻りましょう。			お願いするわ。私たちはいったん、グリダニアへ戻りましょう。			闇に葬られた頁							
……目的の記述が、もう見つかったのかい？人海戦術も捨てたものではないね。ロウェナ女史に借り受けた記録媒体は、私から返却しておこう。			……目的の記述が、もう見つかったのかい？人海戦術も捨てたものではないね。ロウェナ女史に借り受けた記録媒体は、私から返却しておこう。			闇に葬られた頁							
たとえ相手が、サリ様を模した存在であろうとも、容赦するつもりはございません。お嬢様ご主人様に秘法を伝えるために、全力をつくすのみです。			たとえ相手が、サリ様を模した存在であろうとも、容赦するつもりはございません。お嬢様ご主人様に秘法を伝えるために、全力をつくすのみです。			闇に葬られた頁							
ダンシング・ウルフ大闘士から、さっそく連絡があったわ。シールロックの例の場所で、廃棄されていたアラグの機器が、起動した痕跡が見つかったそうよ！			ダンシング・ウルフ大闘士から、さっそく連絡があったわ。シールロックの例の場所で、廃棄されていたアラグの機器が、起動した痕跡が見つかったそうよ！			闇に葬られた頁							
ただ機器の損傷がひどくて、それ以上の成果はなし。やはり封印を解くには、魔科学研究所を探るしかなさそうだけど……サリが「次に会うときが楽しみだ」と言っていたのが気になるわ。			ただ機器の損傷がひどくて、それ以上の成果はなし。やはり封印を解くには、魔科学研究所を探るしかなさそうだけど……サリが「次に会うときが楽しみだ」と言っていたのが気になるわ。			闇に葬られた頁							
もしかすると、私たちを待っているのかもしれません。実は、サリ様の姿をした召喚士は、私めに封印を施すとき、最上位の権能を行使しませんでした。			もしかすると、私たちを待っているのかもしれません。実は、サリ様の姿をした召喚士は、私めに封印を施すとき、最上位の権能を行使しませんでした。			闇に葬られた頁							
かわりに、術者の消滅とともに解除される封印を施したのです。すなわち彼を探しだして倒せば、封印を解除できます。			かわりに、術者の消滅とともに解除される封印を施したのです。すなわち彼を探しだして倒せば、封印を解除できます。			闇に葬られた頁							
あえて弱い封印を施したのは、「自分を倒しにこい」というメッセージ…………？罠を張って、待っているのかもしれないわね。			あえて弱い封印を施したのは、「自分を倒しにこい」というメッセージ…………？罠を張って、待っているのかもしれないわね。			闇に葬られた頁							
やっぱり、闇雲に乗り込むのは危険か……。私は魔科学研究所について、新たな情報がないか確かめてみる。あなたは決戦にそなえて、しっかり準備をしておいて！			やっぱり、闇雲に乗り込むのは危険か……。私は魔科学研究所について、新たな情報がないか確かめてみる。あなたは決戦にそなえて、しっかり準備をしておいて！			闇に葬られた頁							
アプカル滝のヤ・ミトラは、ダンシング・ウルフ大闘士の連絡を待っているようだ。			アプカル滝のヤ・ミトラは、ダンシング・ウルフ大闘士の連絡を待っているようだ。			召喚士の使命							
ヤ・ミトラと話した。アジス・ラーのポート・ヘリックスで「ヤ・ミトラ」と合流しよう。			ヤ・ミトラと話した。アジス・ラーのポート・ヘリックスで「ヤ・ミトラ」と合流しよう。			召喚士の使命							
ヤ・ミトラと合流した。アジス・ラー旗艦島の三闘神の像付近へ向かい、「魔科学研究所の情報端末」を探そう。			ヤ・ミトラと合流した。アジス・ラー旗艦島の三闘神の像付近へ向かい、「魔科学研究所の情報端末」を探そう。			召喚士の使命							
「魔科学研究所の情報端末」を守っていた敵を倒した。端末を操作しよう。			「魔科学研究所の情報端末」を守っていた敵を倒した。端末を操作しよう。			召喚士の使命							
「魔科学研究所の情報端末」を操作し、封印を解除したところ、再び大召喚士サリが現れ、冒険者を挑発していった。それを見たヤ・ミトラは、敵はサリの姿をした召喚獣ではないかと推理する。だとすると召喚した者の正体は、何者なのか……。最後の決着をつけるため、「ダンシング・ウルフ大闘士」に話しかけて、魔科学研究所へと乗り込もう。			「魔科学研究所の情報端末」を操作し、封印を解除したところ、再び大召喚士サリが現れ、冒険者を挑発していった。それを見たヤ・ミトラは、敵はサリの姿をした召喚獣ではないかと推理する。だとすると召喚した者の正体は、何者なのか……。最後の決着をつけるため、「ダンシング・ウルフ大闘士」に話しかけて、魔科学研究所へと乗り込もう。			召喚士の使命							
サリの召喚獣を操っていたのは、暴走したアラグの機械「召喚システム」だった。冒険者はヤ・ミトラ、ダンシング・ウルフ大闘士とともに、召喚システムの破壊に成功する。アジス・ラーの三闘神の像付近にいる「ヤ・ミトラ」と話そう。			サリの召喚獣を操っていたのは、暴走したアラグの機械「召喚システム」だった。冒険者はヤ・ミトラ、ダンシング・ウルフ大闘士とともに、召喚システムの破壊に成功する。アジス・ラーの三闘神の像付近にいる「ヤ・ミトラ」と話そう。			召喚士の使命							
ヤ・ミトラと話した。召喚システムを倒したことで、プリンキピアに施された秘法の封印が解かれたようだ。グリダニアへ戻り、アプカル滝の「ヤ・ミトラ」と話そう。			ヤ・ミトラと話した。召喚システムを倒したことで、プリンキピアに施された秘法の封印が解かれたようだ。グリダニアへ戻り、アプカル滝の「ヤ・ミトラ」と話そう。			召喚士の使命							
召喚システムが守ろうとしたものが明らかになった。それは、サリの弟子たちのソウルクリスタル。方法こそ誤っていたが、その目的もまた、召喚魔法をのちの世に遺すことであった。役割を終えたプリンクは、召喚の秘法とともにこの時代の平和を冒険者に託し、彼らしく淡々と眠りにつくのだった。※以下の条件を満たすと、アプカル滝のヤ・ミトラから、新たなジョブクエストを受注することができます。1.「漆黒のヴィランズ」のプレイ権を所有している。2.「メインクエスト：漆黒のヴィランズ」の、　「漆黒のヴィランズ」を完了する。3.ソーサラー系DPSロールの「ロールクエスト 漆黒編」を完了する。			召喚システムが守ろうとしたものが明らかになった。それは、サリの弟子たちのソウルクリスタル。方法こそ誤っていたが、その目的もまた、召喚魔法をのちの世に遺すことであった。役割を終えたプリンクは、召喚の秘法とともにこの時代の平和を冒険者に託し、彼らしく淡々と眠りにつくのだった。※以下の条件を満たすと、アプカル滝のヤ・ミトラから、新たなジョブクエストを受注することができます。1.「漆黒のヴィランズ」のプレイ権を所有している。2.「メインクエスト：漆黒のヴィランズ」の、　「漆黒のヴィランズ」を完了する。3.ソーサラー系DPSロールの「ロールクエスト 漆黒編」を完了する。			召喚士の使命							
ポート・ヘリックスでヤ・ミトラと合流			ポート・ヘリックスでヤ・ミトラと合流			召喚士の使命							
魔科学研究所の情報端末を探す			魔科学研究所の情報端末を探す			召喚士の使命							
魔科学研究所の情報端末を操作			魔科学研究所の情報端末を操作			召喚士の使命							
ダンシング・ウルフ大闘士と話す			ダンシング・ウルフ大闘士と話す			召喚士の使命							
ヤ・ミトラと話す			ヤ・ミトラと話す			召喚士の使命							
グリダニアのヤ・ミトラと話す			グリダニアのヤ・ミトラと話す			召喚士の使命							
召喚システムを倒せ！			召喚システムを倒せ！			召喚士の使命							
たとえ相手が、サリ様を模した存在であろうとも、容赦するつもりはございません。お嬢様ご主人様に秘法を伝えるために、全力をつくすのみです。			たとえ相手が、サリ様を模した存在であろうとも、容赦するつもりはございません。お嬢様ご主人様に秘法を伝えるために、全力をつくすのみです。			召喚士の使命							
魔科学研究所について、調べられることは調べつくしたわ。いよいよ、乗り込むときが来たみたい！			魔科学研究所について、調べられることは調べつくしたわ。いよいよ、乗り込むときが来たみたい！			召喚士の使命							
姉のつてを通じて、情報を得たの。研究所内はきわめて危険な区画もあって、長居は禁物だそうよ。目標地点まで、最短ルートでたどりつきたいところね。			姉のつてを通じて、情報を得たの。研究所内はきわめて危険な区画もあって、長居は禁物だそうよ。目標地点まで、最短ルートでたどりつきたいところね。			召喚士の使命							
現地の情報端末を使えば、どの区画にサリの研究成果が眠っているか、調べられるはずよ。アジス・ラーへ渡ったら、まず情報端末を探しましょう。			現地の情報端末を使えば、どの区画にサリの研究成果が眠っているか、調べられるはずよ。アジス・ラーへ渡ったら、まず情報端末を探しましょう。			召喚士の使命							
ダンシング・ウルフ大闘士たちにも、同行をお願いするつもり。万全の準備をして、アジス・ラーの「ポート・ヘリックス」へ、向かいましょう！			ダンシング・ウルフ大闘士たちにも、同行をお願いするつもり。万全の準備をして、アジス・ラーの「ポート・ヘリックス」へ、向かいましょう！			召喚士の使命							
これが、本当に何千年も前の遺跡なのか……？ずっといると、目がチカチカしてきやがる……！			これが、本当に何千年も前の遺跡なのか……？ずっといると、目がチカチカしてきやがる……！			召喚士の使命							
逃げだした合成生物がうろついているようですね。プリンクによると、アラグ帝国軍の施設として使用されていた、在りし日には、ここまで殺風景ではなかったはずだとか……。			逃げだした合成生物がうろついているようですね。プリンクによると、アラグ帝国軍の施設として使用されていた、在りし日には、ここまで殺風景ではなかったはずだとか……。			召喚士の使命							
ふえー……こりゃまた、すんごいところだねえ……。あたし、夢のなかにいるんじゃないかって気がしてきたよ。			ふえー……こりゃまた、すんごいところだねえ……。あたし、夢のなかにいるんじゃないかって気がしてきたよ。			召喚士の使命							
魔法と科学……そのどちらも妥協することなく、10割どうしの割合で融合させたら……こんな風景ができるのかもしれないな。			魔法と科学……そのどちらも妥協することなく、10割どうしの割合で融合させたら……こんな風景ができるのかもしれないな。			召喚士の使命							
魔大陸アジス・ラーの「魔科学研究所」……。「サリ」も、気が遠くなるような場所に逃亡してくれたものね。			魔大陸アジス・ラーの「魔科学研究所」……。「サリ」も、気が遠くなるような場所に逃亡してくれたものね。			召喚士の使命							
アジス・ラーの名は、私めも存じあげております。弾圧者であったアラグ帝国軍が築いた施設でしたので、実際に見聞したことは、ございませんでしたが……。			アジス・ラーの名は、私めも存じあげております。弾圧者であったアラグ帝国軍が築いた施設でしたので、実際に見聞したことは、ございませんでしたが……。			召喚士の使命							
何だか、すごいところに来てしまったわね……！さて、全員そろったところで、手わけして、「魔科学研究所の情報端末」を探しましょう。			何だか、すごいところに来てしまったわね……！さて、全員そろったところで、手わけして、「魔科学研究所の情報端末」を探しましょう。			召喚士の使命							
サリの研究成果とやらが、眠っている場所を特定し、最適な進入ルートを探るため……だったな？			サリの研究成果とやらが、眠っている場所を特定し、最適な進入ルートを探るため……だったな？			召喚士の使命							
そう……あとは該当する区画に乗り込んで、サリのクローンとやらを倒すだけだ。オレたちが、必ず送り届けてやるぜ！			そう……あとは該当する区画に乗り込んで、サリのクローンとやらを倒すだけだ。オレたちが、必ず送り届けてやるぜ！			召喚士の使命							
頼りにしてるわ。ただ、実はね……あの敵が本当にサリのクローンかどうかは、まだ断定できないと思っているの。			頼りにしてるわ。ただ、実はね……あの敵が本当にサリのクローンかどうかは、まだ断定できないと思っているの。			召喚士の使命							
人造生命体とはいっても、生命には違いないわけでしょう？Forenameたちが戦った相手は、何というか……もっと異質な感じがしたのよ。			人造生命体とはいっても、生命には違いないわけでしょう？Forenameたちが戦った相手は、何というか……もっと異質な感じがしたのよ。			召喚士の使命							
その点には同意するが……。あいつの正体はどうあれ、倒せばプリンクの封印は解ける。ならば、やることは同じだろう？			その点には同意するが……。あいつの正体はどうあれ、倒せばプリンクの封印は解ける。ならば、やることは同じだろう？			召喚士の使命							
そうね、まずは情報端末を見つけましょう！Forenameは、アジス・ラー旗艦島の「三闘神の像」あたりを探してみて。			そうね、まずは情報端末を見つけましょう！Forenameは、アジス・ラー旗艦島の「三闘神の像」あたりを探してみて。			召喚士の使命							
サリの偽者に妨害を受けるかもしれん……気をつけろよ！			サリの偽者に妨害を受けるかもしれん……気をつけろよ！			召喚士の使命							
不正アクセスを検知…アラート発令されました			不正アクセスを検知…アラート発令されました			召喚士の使命							
コンタクト…敵を排除します			コンタクト…敵を排除します			召喚士の使命							
ターゲット発見…撃滅します			ターゲット発見…撃滅します			召喚士の使命							
やはり、最初に見つけたのはきみだったか。さすが「サリ」を超えうる力と知性を秘めた召喚士……。			やはり、最初に見つけたのはきみだったか。さすが「サリ」を超えうる力と知性を秘めた召喚士……。			召喚士の使命							
Forename……大丈夫！？			Forename……大丈夫！？			召喚士の使命							
出たね、サリのクローン風情が！			出たね、サリのクローン風情が！			召喚士の使命							
クローン……？ふふ……そうか、きみたちはそう推理していたのか。			クローン……？ふふ……そうか、きみたちはそう推理していたのか。			召喚士の使命							
残念ながら、僕はクローンなどという不完全な存在ではないよ。間違った思い込みを持って戦えば、きっと痛い目を見るよ。			残念ながら、僕はクローンなどという不完全な存在ではないよ。間違った思い込みを持って戦えば、きっと痛い目を見るよ。			召喚士の使命							
僕は魔科学研究所の奥で、きみを待っている。……これが本当の「最後の試練」だ。越えられねば、きみは僕の正体さえ知ることなく…………死ぬ。			僕は魔科学研究所の奥で、きみを待っている。……これが本当の「最後の試練」だ。越えられねば、きみは僕の正体さえ知ることなく…………死ぬ。			召喚士の使命							
逃げやがったか……！			逃げやがったか……！			召喚士の使命							
Forename、見てた！？いまの消え方、召喚獣が帰還するときとそっくりだったわ！			Forename、見てた！？いまの消え方、召喚獣が帰還するときとそっくりだったわ！			召喚士の使命							
クローンではなく、サリの姿をした召喚獣だってのか？まるで肉体があるかのような、生々しさだったぞ？			クローンではなく、サリの姿をした召喚獣だってのか？まるで肉体があるかのような、生々しさだったぞ？			召喚士の使命							
いえ……演算機械の力を駆使すれば、本物の「人」そっくりの肉体も、理論上は再現可能です！			いえ……演算機械の力を駆使すれば、本物の「人」そっくりの肉体も、理論上は再現可能です！			召喚士の使命							
魔道書もなしで、召喚されたと……？			魔道書もなしで、召喚されたと……？			召喚士の使命							
その点も、サリ様の研究成果によって説明できます。魔道書のかわりを果たしたのは……そこにある端末そのものです！			その点も、サリ様の研究成果によって説明できます。魔道書のかわりを果たしたのは……そこにある端末そのものです！			召喚士の使命							
…………こいつか！シールロックにも、でっかいアラガントームリスがあった。情報機器のある場所なら、神出鬼没ってことかよ……！			…………こいつか！シールロックにも、でっかいアラガントームリスがあった。情報機器のある場所なら、神出鬼没ってことかよ……！			召喚士の使命							
魔科学で強化された召喚魔法……あいつは、その産物とみて間違いないわね。			魔科学で強化された召喚魔法……あいつは、その産物とみて間違いないわね。			召喚士の使命							
ただ、問題は……「召喚者」が不在だということよ。機械に「魔道書」の肩代わりをさせたとしても、召喚者が必要なことに変わりはないわ。			ただ、問題は……「召喚者」が不在だということよ。機械に「魔道書」の肩代わりをさせたとしても、召喚者が必要なことに変わりはないわ。			召喚士の使命							
そうか……いちど倒したとしても、召喚者がいるかぎり、「サリ」は何度でも復活する。……元凶を見つけだして叩くしかない。			そうか……いちど倒したとしても、召喚者がいるかぎり、「サリ」は何度でも復活する。……元凶を見つけだして叩くしかない。			召喚士の使命							
召喚者が何者にせよ、そいつはこの近くに潜んでいます。基本的に召喚獣とは、術者のかたわらに顕現するもの……。例外があるはずはありません。			召喚者が何者にせよ、そいつはこの近くに潜んでいます。基本的に召喚獣とは、術者のかたわらに顕現するもの……。例外があるはずはありません。			召喚士の使命							
これまで姿を現していないのは、召喚者本体への直接攻撃を、警戒してのことでしょう。ただ今回は、利用できる演算装置が多数……地の利は敵にあります。			これまで姿を現していないのは、召喚者本体への直接攻撃を、警戒してのことでしょう。ただ今回は、利用できる演算装置が多数……地の利は敵にあります。			召喚士の使命							
おいおい、シールロックのときより強いっていうのか？さっさとご本尊を見つけて叩かないと、ますます勝機はないぞ。			おいおい、シールロックのときより強いっていうのか？さっさとご本尊を見つけて叩かないと、ますます勝機はないぞ。			召喚士の使命							
……こちらにも、切札があるわ！こんなときのためにって、姉がエーテル測定器を貸してくれたの。それを使って、姿を隠した召喚者を探してみる。			……こちらにも、切札があるわ！こんなときのためにって、姉がエーテル測定器を貸してくれたの。それを使って、姿を隠した召喚者を探してみる。			召喚士の使命							
さすがだな……それじゃ、突入開始だ！クリスピン、デニース、ジャジャサムは、途中の露払いを頼む。			さすがだな……それじゃ、突入開始だ！クリスピン、デニース、ジャジャサムは、途中の露払いを頼む。			召喚士の使命							
まかせてくれ……恩は必ず返す！あんたたち3人は、「サリ」の本体を見つけて倒してくれ！			まかせてくれ……恩は必ず返す！あんたたち3人は、「サリ」の本体を見つけて倒してくれ！			召喚士の使命							
進入経路は、特務隊の3人が確保してくれるそうよ。彼らの献身に応えるためにも、がんばらないとね！			進入経路は、特務隊の3人が確保してくれるそうよ。彼らの献身に応えるためにも、がんばらないとね！			召喚士の使命							
ついにここまで来ましたね、お嬢様ご主人様。必ずや決戦に勝利して、大いなる秘法を手にしてください……！			ついにここまで来ましたね、お嬢様ご主人様。必ずや決戦に勝利して、大いなる秘法を手にしてください……！			召喚士の使命							
僕たちもあれから、少しは力をつけたつもりです。サポート役ぐらいは、立派に務めてみせますよ。			僕たちもあれから、少しは力をつけたつもりです。サポート役ぐらいは、立派に務めてみせますよ。			召喚士の使命							
決戦の舞台に、ふさわしい場所だね……。相手があのサリでも、あんたならきっとやれるさ！			決戦の舞台に、ふさわしい場所だね……。相手があのサリでも、あんたならきっとやれるさ！			召喚士の使命							
あんたをサポートするために、ここまで来たんだ。サリの偽者なんかブッ倒して、召喚の秘法、手に入れてくれよ！			あんたをサポートするために、ここまで来たんだ。サリの偽者なんかブッ倒して、召喚の秘法、手に入れてくれよ！			召喚士の使命							
