双剣士ギルドのジャックは、冒険者に変わった仕事を依頼したいようだ。			双剣士ギルドのジャックは、冒険者に変わった仕事を依頼したいようだ。			月影の導き							
アオサギ滝でオボロを探す			アオサギ滝でオボロを探す			開祖の密命							
ナマイ村のオボロと話す			ナマイ村のオボロと話す			開祖の密命							
梅泉郷のオボロと話す			梅泉郷のオボロと話す			開祖の密命							
ナマイ村のオボロと話す			ナマイ村のオボロと話す			開祖の密命							
ドマイタチからドマイタチの大爪を入手			ドマイタチからドマイタチの大爪を入手			開祖の密命							
ナマイ村のオボロにドマイタチの大爪を渡す			ナマイ村のオボロにドマイタチの大爪を渡す			開祖の密命							
梅泉郷のオボロと話す			梅泉郷のオボロと話す			開祖の密命							
ナマイ村のオボロと話す			ナマイ村のオボロと話す			開祖の密命							
よう、Forename。ついさっき、オボロが忍びの里から戻ってきたぞ。今のところ里に異変はなく、平穏そのものなんだとさ。			よう、Forename。ついさっき、オボロが忍びの里から戻ってきたぞ。今のところ里に異変はなく、平穏そのものなんだとさ。			開祖の密命							
だが、あいつは何やら悩んでいる様子で、フラフラと、どこかへ行っちまったんだ。そりゃもう、いつにも増して薄幸顔だったぜ。			だが、あいつは何やら悩んでいる様子で、フラフラと、どこかへ行っちまったんだ。そりゃもう、いつにも増して薄幸顔だったぜ。			開祖の密命							
付き合いの長いお前なら、オボロが悩んだとき、どういう場所へ行くか、見当がついたりしないか……？			付き合いの長いお前なら、オボロが悩んだとき、どういう場所へ行くか、見当がついたりしないか……？			開祖の密命							
オボロが行きそうな場所は？			オボロが行きそうな場所は？			開祖の密命							
忍びの里			忍びの里			開祖の密命							
船着場の平屋			船着場の平屋			開祖の密命							
滝			滝			開祖の密命							
いや、ひとりになりたそうだったから、それはないだろう。ひとけのない場所じゃないか……？			いや、ひとりになりたそうだったから、それはないだろう。ひとけのない場所じゃないか……？			開祖の密命							
おいおい、ラノシアまで戻ったってのか？それはないな、もっと近辺だろう……。			おいおい、ラノシアまで戻ったってのか？それはないな、もっと近辺だろう……。			開祖の密命							
そうか……。この近辺で滝といえば、用水池から流れる滝があったな……。			そうか……。この近辺で滝といえば、用水池から流れる滝があったな……。			開祖の密命							
それじゃ、一緒に滝の辺りでオボロを探して、あいつの悩みでも聞いてやるとするか……。まったく、世話の焼ける薄幸顔だぜ。			それじゃ、一緒に滝の辺りでオボロを探して、あいつの悩みでも聞いてやるとするか……。まったく、世話の焼ける薄幸顔だぜ。			開祖の密命							
おい、あれオボロだよな……？何やってんだ……あいつ？			おい、あれオボロだよな……？何やってんだ……あいつ？			開祖の密命							
Forenameか……？は、話は……場所を変えてからにしよう。か、身体が冷えてしまったので……た、焚火にあたりたい……。			Forenameか……？は、話は……場所を変えてからにしよう。か、身体が冷えてしまったので……た、焚火にあたりたい……。			開祖の密命							
よくあそこにいるのがわかったものだ。もっとも、Forenameにはお見通しか。			よくあそこにいるのがわかったものだ。もっとも、Forenameにはお見通しか。			開祖の密命							
滝にいるって聞いてたが、まさか、滝の中とはね……。			滝にいるって聞いてたが、まさか、滝の中とはね……。			開祖の密命							
心を静めようと、流れる滝の音を聴いていたら、それだけでは飽き足らず、滝に打たれたくなってな……。			心を静めようと、流れる滝の音を聴いていたら、それだけでは飽き足らず、滝に打たれたくなってな……。			開祖の密命							
それというのも、久々の里帰りとなり、里を欺いたことで、罰せられると覚悟していたのだが……。裏切り者のカラスを討った者として、称えられてしまったのだ。			それというのも、久々の里帰りとなり、里を欺いたことで、罰せられると覚悟していたのだが……。裏切り者のカラスを討った者として、称えられてしまったのだ。			開祖の密命							
真相は、我が師匠であるゲッカイこそが裏切り者で、カラスのおかげで、里の復讐を遂げることができたというのにな。			真相は、我が師匠であるゲッカイこそが裏切り者で、カラスのおかげで、里の復讐を遂げることができたというのにな。			開祖の密命							
私はカラスと、その真相を隠して、里の優等生として出世することを約束した。			私はカラスと、その真相を隠して、里の優等生として出世することを約束した。			開祖の密命							
しかし、それが居心地が悪くて仕方がなかった。あいつが、ハンゾウに殺されたのは自業自得だが、どうしても、死んだカラスに負い目を感じてしまうのだ……。			しかし、それが居心地が悪くて仕方がなかった。あいつが、ハンゾウに殺されたのは自業自得だが、どうしても、死んだカラスに負い目を感じてしまうのだ……。			開祖の密命							
やれやれ、相変わらずクソまじめだな、お前は……。ひとつ、いい話を聞かせてやろう……。			やれやれ、相変わらずクソまじめだな、お前は……。ひとつ、いい話を聞かせてやろう……。			開祖の密命							
ミリララという、イエロージャケットの派手な女がいるんだがな。その女は俺たちと、このForenameでとった手柄を、自分のものとして受け入れることを選んだ。			ミリララという、イエロージャケットの派手な女がいるんだがな。その女は俺たちと、このForenameでとった手柄を、自分のものとして受け入れることを選んだ。			開祖の密命							
双剣士はあくまで裏の存在だから、目立っちゃいけねぇ。俺たちとしては、そんなミリララみたいな存在も必要なんだ。			双剣士はあくまで裏の存在だから、目立っちゃいけねぇ。俺たちとしては、そんなミリララみたいな存在も必要なんだ。			開祖の密命							
ミリララもミリララで、思いがけぬ手柄をいただいたことで、それに見合う者になろうと必死になってるようだ。			ミリララもミリララで、思いがけぬ手柄をいただいたことで、それに見合う者になろうと必死になってるようだ。			開祖の密命							
カラスって奴が、どういう思いだったのか知らねぇが、貰えるもんは貰っといて、もっと頑張りゃいい話だろ……？			カラスって奴が、どういう思いだったのか知らねぇが、貰えるもんは貰っといて、もっと頑張りゃいい話だろ……？			開祖の密命							
…………なるほど。ありがとう、少し心が軽くなった気がする。			…………なるほど。ありがとう、少し心が軽くなった気がする。			開祖の密命							
オ、オボロ様、ここにいましたか。「大隼」の用意ができましたので、最長老に会いにゆきましょう。			オ、オボロ様、ここにいましたか。「大隼」の用意ができましたので、最長老に会いにゆきましょう。			開祖の密命							
実はハンゾウの言っていた、忍びの里の開祖「サスケ」が、抜け忍だということが気になっていてな。			実はハンゾウの言っていた、忍びの里の開祖「サスケ」が、抜け忍だということが気になっていてな。			開祖の密命							
サスケは密命で、このドマの地に来たとされているが、里の長老ですら、その真相が詳しくはわからぬようだ。そこで、最長老の「カムイ」様に訪ねてみることにしたのだ。			サスケは密命で、このドマの地に来たとされているが、里の長老ですら、その真相が詳しくはわからぬようだ。そこで、最長老の「カムイ」様に訪ねてみることにしたのだ。			開祖の密命							
カムイ様はとうに引退され、里を出て「梅泉郷」という、人里離れたところで、隠遁生活をされている。			カムイ様はとうに引退され、里を出て「梅泉郷」という、人里離れたところで、隠遁生活をされている。			開祖の密命							
Forenameも、自分の忍術の起源である、「サスケ」の謎を知るため、ともに来ぬか？			Forenameも、自分の忍術の起源である、「サスケ」の謎を知るため、ともに来ぬか？			開祖の密命							
よし、梅泉郷は空を飛ぶことでしか行けぬ場所にあるので、忍びの里から「大隼」を手配してある。「ナマイ村」へと向かおう。			よし、梅泉郷は空を飛ぶことでしか行けぬ場所にあるので、忍びの里から「大隼」を手配してある。「ナマイ村」へと向かおう。			開祖の密命							
もちろん、俺も行くぜ。なんせ、あの村は田んぼしかなくて退屈なもんでね……。			もちろん、俺も行くぜ。なんせ、あの村は田んぼしかなくて退屈なもんでね……。			開祖の密命							
大隼に乗るのは初めてだ。チョコボに比べて乗りにくそうだが……大丈夫なのか？			大隼に乗るのは初めてだ。チョコボに比べて乗りにくそうだが……大丈夫なのか？			開祖の密命							
カムイ様は忍術を極め、不老不死を得たとされています。もっとも……自称なので、真偽のほどはわかりませんが。			カムイ様は忍術を極め、不老不死を得たとされています。もっとも……自称なので、真偽のほどはわかりませんが。			開祖の密命							
どうも、忍びの里から参りました、大隼使いの者です。			どうも、忍びの里から参りました、大隼使いの者です。			開祖の密命							
俗世を捨てたカムイ様は、普段は隠れておられるのだが、我ら里の者が向かえば、その姿を現してくださる。			俗世を捨てたカムイ様は、普段は隠れておられるのだが、我ら里の者が向かえば、その姿を現してくださる。			開祖の密命							
もし、お主が「梅泉郷」から出てしまったときは、「大隼使いの男」に声をかけて、また来てくれ。さあ、それでは梅泉郷へと向かうとしよう。			もし、お主が「梅泉郷」から出てしまったときは、「大隼使いの男」に声をかけて、また来てくれ。さあ、それでは梅泉郷へと向かうとしよう。			開祖の密命							
こんなところにいて、退屈しねぇのかな……？			こんなところにいて、退屈しねぇのかな……？			開祖の密命							
いつ来ても、美しい……。ここは、常に梅の花が満開なんですよ。			いつ来ても、美しい……。ここは、常に梅の花が満開なんですよ。			開祖の密命							
アイタタタ……。			アイタタタ……。			開祖の密命							
大隼に乗れば、「梅泉郷」までひとっ飛びですよ。			大隼に乗れば、「梅泉郷」までひとっ飛びですよ。			開祖の密命							
「梅泉郷」へ行きますか？			「梅泉郷」へ行きますか？			開祖の密命							
「ナマイ村」へ戻りますか？			「ナマイ村」へ戻りますか？			開祖の密命							
こちらのご老人が、カムイ様だ。さっそく、「サスケ」のことを聞いてみよう。			こちらのご老人が、カムイ様だ。さっそく、「サスケ」のことを聞いてみよう。			開祖の密命							
カムイ様、ご無沙汰しております、オボロにございます。今日は忍びの里の開祖「サスケ」の密命について、お聞きしたいことがあり、お邪魔しました。			カムイ様、ご無沙汰しております、オボロにございます。今日は忍びの里の開祖「サスケ」の密命について、お聞きしたいことがあり、お邪魔しました。			開祖の密命							
オボロ……はて、誰じゃったかのう？アイタタタ……今日は腰が痛くて、話すのも億劫じゃ。			オボロ……はて、誰じゃったかのう？アイタタタ……今日は腰が痛くて、話すのも億劫じゃ。			開祖の密命							
こういうときは、生薬に限る。ヤンサトラの肝と、サイカブトの角、そしてドマイタチの大爪。それらを煎じたものを飲めば、きっとよくなるじゃろう。			こういうときは、生薬に限る。ヤンサトラの肝と、サイカブトの角、そしてドマイタチの大爪。それらを煎じたものを飲めば、きっとよくなるじゃろう。			開祖の密命							
話を聞きたければ、まずはその三つを持ってこい……。ああ、ツバメちゃんはここに残って、ワシの話し相手になってくれればいいぞい。			話を聞きたければ、まずはその三つを持ってこい……。ああ、ツバメちゃんはここに残って、ワシの話し相手になってくれればいいぞい。			開祖の密命							
おい、爺さん、話すのも億劫なんじゃなかったか……？			おい、爺さん、話すのも億劫なんじゃなかったか……？			開祖の密命							
オボロ……そういえば思い出したぞ……			オボロ……そういえば思い出したぞ……			開祖の密命							
って……無視かよ！今度は、面倒な爺さんときたか……。			って……無視かよ！今度は、面倒な爺さんときたか……。			開祖の密命							
幼い頃から、天才のカラスに追いつこうと、必死になっていた、あのオボロか……。			幼い頃から、天才のカラスに追いつこうと、必死になっていた、あのオボロか……。			開祖の密命							
……そう、そのオボロです。承知しました、それでは、お望みの物を集めてきます。			……そう、そのオボロです。承知しました、それでは、お望みの物を集めてきます。			開祖の密命							
すまぬが、カムイ様の望みの物を手分けして集めてくれないか？ひとまず、ナマイ村に戻ろう。			すまぬが、カムイ様の望みの物を手分けして集めてくれないか？ひとまず、ナマイ村に戻ろう。			開祖の密命							
まったく、面倒くさい爺さんだな……。			まったく、面倒くさい爺さんだな……。			開祖の密命							
ウフフ……カムイ様、御冗談を～。			ウフフ……カムイ様、御冗談を～。			開祖の密命							
ツバメちゃん、ワシの嫁にならんか……？			ツバメちゃん、ワシの嫁にならんか……？			開祖の密命							
私は、ヤンサトラの肝を獲ってこよう。ジャック殿には、サイカブトの角を頼む。Forenameには、「ドマイタチの大爪」を頼みたい。			私は、ヤンサトラの肝を獲ってこよう。ジャック殿には、サイカブトの角を頼む。Forenameには、「ドマイタチの大爪」を頼みたい。			開祖の密命							
こんなことまでさせて、申し訳ないが、カムイ様は、気分屋なので従うほかないのだ。それでは、またここに集合しよう。			こんなことまでさせて、申し訳ないが、カムイ様は、気分屋なので従うほかないのだ。それでは、またここに集合しよう。			開祖の密命							
こんなところで、虫取りするはめになるとはな……。			こんなところで、虫取りするはめになるとはな……。			開祖の密命							
「ドマイタチの大爪」は獲ってきてくれたか？			「ドマイタチの大爪」は獲ってきてくれたか？			開祖の密命							
かたじけない……ヤンサトラの肝はもう獲ってきたぞ。ジャック殿から、サイカブトの角も受け取っている。それでは、「梅泉郷」へと向かおう。			かたじけない……ヤンサトラの肝はもう獲ってきたぞ。ジャック殿から、サイカブトの角も受け取っている。それでは、「梅泉郷」へと向かおう。			開祖の密命							
俺はここで待っとくぜ。あの爺さんは、もうこりごりだ……。			俺はここで待っとくぜ。あの爺さんは、もうこりごりだ……。			開祖の密命							
ああ、やっぱり退屈だな……。			ああ、やっぱり退屈だな……。			開祖の密命							
カムイ様、随分と……お元気そうだが……。まあいい、お望みの品を渡すことにしよう。			カムイ様、随分と……お元気そうだが……。まあいい、お望みの品を渡すことにしよう。			開祖の密命							
ホッホッホ、やっぱり生薬じゃのう。おかげで、腰の痛みが嘘のように消えたぞい！			ホッホッホ、やっぱり生薬じゃのう。おかげで、腰の痛みが嘘のように消えたぞい！			開祖の密命							
ま、まだ飲むどころか、煎じてすらいないようですが……それは何よりでした。			ま、まだ飲むどころか、煎じてすらいないようですが……それは何よりでした。			開祖の密命							
ウォッホン……。さて、サスケの密命について聞きたいのじゃったな……。			ウォッホン……。さて、サスケの密命について聞きたいのじゃったな……。			開祖の密命							
遥か昔……ひんがしの国が戦国時代の頃、影隠の里の長である、初代ハンゾウは、強力な「口寄せの術」を編み出した。			遥か昔……ひんがしの国が戦国時代の頃、影隠の里の長である、初代ハンゾウは、強力な「口寄せの術」を編み出した。			開祖の密命							
だが、国盗りのために用いることはせず、己の里を守るためにのみ、使うことと決めた。そして、その術は一巻の巻物へと封印された……。			だが、国盗りのために用いることはせず、己の里を守るためにのみ、使うことと決めた。そして、その術は一巻の巻物へと封印された……。			開祖の密命							
しばらくして、影隠の里の者が海辺で漂流者を発見する。介抱してやると、どうやら圧政者に耐えかねて、海を越えて逃げてきたドマの民であった。			しばらくして、影隠の里の者が海辺で漂流者を発見する。介抱してやると、どうやら圧政者に耐えかねて、海を越えて逃げてきたドマの民であった。			開祖の密命							
そこで、初代ハンゾウは若手筆頭格の「サスケ」に、「口寄せの術」を封じた巻物を託し、海を渡らせた。ドマの民の力になってやるようにとな。			そこで、初代ハンゾウは若手筆頭格の「サスケ」に、「口寄せの術」を封じた巻物を託し、海を渡らせた。ドマの民の力になってやるようにとな。			開祖の密命							
結果、サスケは一度だけ「口寄せの術」を使った。その強力な力で、たちまち圧政者を倒して、ドマに平和をもたらしたのじゃ。			結果、サスケは一度だけ「口寄せの術」を使った。その強力な力で、たちまち圧政者を倒して、ドマに平和をもたらしたのじゃ。			開祖の密命							
それから、サスケはドマで忍びの里を開き、その術を「禁忌口寄せの術」として、禁ずることにした。			それから、サスケはドマで忍びの里を開き、その術を「禁忌口寄せの術」として、禁ずることにした。			開祖の密命							
サスケは、よっぽど「禁忌口寄せの術」に危険を感じたのか、巻物を厳重に保管するだけでは、飽き足らなかった。そのため、巻物は二巻に分割されることとなった。			サスケは、よっぽど「禁忌口寄せの術」に危険を感じたのか、巻物を厳重に保管するだけでは、飽き足らなかった。そのため、巻物は二巻に分割されることとなった。			開祖の密命							
そして、ひとつは、主君と定めたドマの国主一族に献上され、もうひとつは、忍びの里に隠されたのじゃ……。			そして、ひとつは、主君と定めたドマの国主一族に献上され、もうひとつは、忍びの里に隠されたのじゃ……。			開祖の密命							
……そうだったのか。やはり……サスケは抜け忍ではなかったのですね。			……そうだったのか。やはり……サスケは抜け忍ではなかったのですね。			開祖の密命							
おそらく、サスケの密命は影隠の里でも、ごく限られた者しか、知るところではなかったのじゃろう。それが長き時を経て、いつしか間違って伝わったに違いない……。			おそらく、サスケの密命は影隠の里でも、ごく限られた者しか、知るところではなかったのじゃろう。それが長き時を経て、いつしか間違って伝わったに違いない……。			開祖の密命							
カムイ様、貴重なお話、どうも、ありがとうございました。			カムイ様、貴重なお話、どうも、ありがとうございました。			開祖の密命							
ホッホッホ、もう来るなよ。ワシの平穏なる余生を妨げんでほしいわい……。ああ、ツバメちゃんだけは、またいつでも来るといいぞ。			ホッホッホ、もう来るなよ。ワシの平穏なる余生を妨げんでほしいわい……。ああ、ツバメちゃんだけは、またいつでも来るといいぞ。			開祖の密命							
お姫様がやって来て、急いで伝えたいことがあるというもんで、村の大隼を借りて来ちまったぜ。			お姫様がやって来て、急いで伝えたいことがあるというもんで、村の大隼を借りて来ちまったぜ。			開祖の密命							
影隠一族が、ドマへと向かう準備をし始めたんだよ！きっと、巻物の不足に気付いたんだ……。			影隠一族が、ドマへと向かう準備をし始めたんだよ！きっと、巻物の不足に気付いたんだ……。			開祖の密命							
やはり、そうきたか……。攻め込んでくるものは、迎え撃つしかない。さあ、村へ戻ることにしよう。			やはり、そうきたか……。攻め込んでくるものは、迎え撃つしかない。さあ、村へ戻ることにしよう。			開祖の密命							
ついに、来やがるか。ハンゾウから、あの巻物を取り返さなくちゃな……。			ついに、来やがるか。ハンゾウから、あの巻物を取り返さなくちゃな……。			開祖の密命							
ツバメは、忍びの里へと報せに行った。ユキ姫は、影隠一族の進軍を監視できるよう、紅玉海の方へと向かってくれた。			ツバメは、忍びの里へと報せに行った。ユキ姫は、影隠一族の進軍を監視できるよう、紅玉海の方へと向かってくれた。			開祖の密命							
敵はひんがしの国の忍びたち……戦力は未知数だ。奴らが進軍してきたときは、またお主の力を貸してほしい。			敵はひんがしの国の忍びたち……戦力は未知数だ。奴らが進軍してきたときは、またお主の力を貸してほしい。			開祖の密命							
船着場の平屋のオボロの下に、ジャックからの連絡が来たようだ。			船着場の平屋のオボロの下に、ジャックからの連絡が来たようだ。			凍てついた心							
オボロによると、ジャックが家宝の情報を掴んだという。リムサ・ロミンサの双剣士ギルドにいる「ジャック」と話そう。			オボロによると、ジャックが家宝の情報を掴んだという。リムサ・ロミンサの双剣士ギルドにいる「ジャック」と話そう。			凍てついた心							
ジャックによると、ユキが求める家宝が出品された略奪品オークションは灰犬一家が主催しているそうだ。詳しい情報は流れの闇商人が調べているらしい。低地ラノシアの見捨てられた廃屋付近で「流れの闇商人」を探そう。			ジャックによると、ユキが求める家宝が出品された略奪品オークションは灰犬一家が主催しているそうだ。詳しい情報は流れの闇商人が調べているらしい。低地ラノシアの見捨てられた廃屋付近で「流れの闇商人」を探そう。			凍てついた心							
現れたキキルン・ノッグビーターを倒した。見捨てられた廃屋の「流れの闇商人」に「硬貨入りの革袋」を渡そう。			現れたキキルン・ノッグビーターを倒した。見捨てられた廃屋の「流れの闇商人」に「硬貨入りの革袋」を渡そう。			凍てついた心							
流れの闇商人によると、女頭ロサリンデが率いる灰犬一家はコスタ・デル・ソルで大騒ぎしているそうだ。さらに、魔導忍衆の残党はレッドウェイという、灰犬一家が雇った傭兵らしい。東ラノシアのコスタ・デル・ソルにある「指定地点」で見渡そう。			流れの闇商人によると、女頭ロサリンデが率いる灰犬一家はコスタ・デル・ソルで大騒ぎしているそうだ。さらに、魔導忍衆の残党はレッドウェイという、灰犬一家が雇った傭兵らしい。東ラノシアのコスタ・デル・ソルにある「指定地点」で見渡そう。			凍てついた心							
レッドウェイとロサリンデの会話を盗み聞き、家宝の情報を得た。このことをユキたちに知らせなければ。船着場の平屋の「オボロ」と話そう。			レッドウェイとロサリンデの会話を盗み聞き、家宝の情報を得た。このことをユキたちに知らせなければ。船着場の平屋の「オボロ」と話そう。			凍てついた心							
ユキから、家宝奪還への協力を頼まれた。その際、任務よりも命を大事にするよう約束させられた。約束を守り、任務を果たすためにも、己の技をさらに高めていこう。※忍者のレベルが58以上になると、船着場の平屋のオボロから次の忍者クエストを受注することができます。			ユキから、家宝奪還への協力を頼まれた。その際、任務よりも命を大事にするよう約束させられた。約束を守り、任務を果たすためにも、己の技をさらに高めていこう。※忍者のレベルが58以上になると、船着場の平屋のオボロから次の忍者クエストを受注することができます。			凍てついた心							
双剣士ギルドのジャックと話す			双剣士ギルドのジャックと話す			凍てついた心							
見捨てられた廃屋付近で流れの闇商人を探す			見捨てられた廃屋付近で流れの闇商人を探す			凍てついた心							
流れの闇商人に硬貨入りの革袋を渡す			流れの闇商人に硬貨入りの革袋を渡す			凍てついた心							
コスタ・デル・ソルの指定地点で見渡す			コスタ・デル・ソルの指定地点で見渡す			凍てついた心							
船着場の平屋のオボロと話す			船着場の平屋のオボロと話す			凍てついた心							
Forename、いいところに来た。ジャック殿が「井ノ国」の家宝を売った者の情報を掴んだそうだ。これで、残る宝の在処がわかるだろう！			Forename、いいところに来た。ジャック殿が「井ノ国」の家宝を売った者の情報を掴んだそうだ。これで、残る宝の在処がわかるだろう！			凍てついた心							
先ほど、急ぎ双剣士ギルドまで来るよう文があった。Forenameよ、向かってくれないか？			先ほど、急ぎ双剣士ギルドまで来るよう文があった。Forenameよ、向かってくれないか？			凍てついた心							
私はしばらく、ここを離れられなくてな。実は、アカギ殿とユキ姫をここに呼んでいるのだ。			私はしばらく、ここを離れられなくてな。実は、アカギ殿とユキ姫をここに呼んでいるのだ。			凍てついた心							
家宝を盗んだ者の素性がわかるかもしれないと、文を送った。さすがのユキ姫も敵の情報は欲しいようでな、アカギ殿とともに、こちらに向かうそうだ。			家宝を盗んだ者の素性がわかるかもしれないと、文を送った。さすがのユキ姫も敵の情報は欲しいようでな、アカギ殿とともに、こちらに向かうそうだ。			凍てついた心							
諜報活動は、「忍び」の重要な任務……。できるかぎりの情報を持ち帰ってくるよう、頼んだぞ。			諜報活動は、「忍び」の重要な任務……。できるかぎりの情報を持ち帰ってくるよう、頼んだぞ。			凍てついた心							
諜報活動は、「忍び」の重要な任務……。できるかぎりの情報を持ち帰ってくるよう、頼んだぞ。			諜報活動は、「忍び」の重要な任務……。できるかぎりの情報を持ち帰ってくるよう、頼んだぞ。			凍てついた心							
よお、Forename。闇市場の調べに難儀するかと思ったが、前に捕まえた、商人のふたり組のおかげで、情報を仕入れることができたぜ。			よお、Forename。闇市場の調べに難儀するかと思ったが、前に捕まえた、商人のふたり組のおかげで、情報を仕入れることができたぜ。			凍てついた心							
あのおてんば姫様のお宝が、招待制の略奪品オークションで売りに出されている。……主催しているのは、「灰犬一家」って名の海賊団だ。			あのおてんば姫様のお宝が、招待制の略奪品オークションで売りに出されている。……主催しているのは、「灰犬一家」って名の海賊団だ。			凍てついた心							
表向きは、東方遠征で帝国船から奪った品って触れ込みで、出品しているようだが、「ひんがしの国」は島国だ。ガレマール帝国の支配は及んじゃいない。			表向きは、東方遠征で帝国船から奪った品って触れ込みで、出品しているようだが、「ひんがしの国」は島国だ。ガレマール帝国の支配は及んじゃいない。			凍てついた心							
……つまり、正当な私掠船を装って、「ひんがしの国」で略奪した盗品をさばいてるってわけだ。珍品が手に入るもんで、買い手側も暗黙の了解のようだぜ？			……つまり、正当な私掠船を装って、「ひんがしの国」で略奪した盗品をさばいてるってわけだ。珍品が手に入るもんで、買い手側も暗黙の了解のようだぜ？			凍てついた心							
だが、姫様の証言だけじゃ、双剣士ギルドとしては動きづらい。……だから、お前の「忍び」としての使命に託す。			だが、姫様の証言だけじゃ、双剣士ギルドとしては動きづらい。……だから、お前の「忍び」としての使命に託す。			凍てついた心							
「灰犬一家」の詳細については、「流れの闇商人」に調べてもらっている。最近、取引を始めたヤツだが、なかなかの情報通でな。			「灰犬一家」の詳細については、「流れの闇商人」に調べてもらっている。最近、取引を始めたヤツだが、なかなかの情報通でな。			凍てついた心							
今朝は、南風がリムレーンのベールを揺らした……。今ごろは、低地ラノシアの「見捨てられた廃屋」にいるはずだ。……ほら、代金も持ってけ。			今朝は、南風がリムレーンのベールを揺らした……。今ごろは、低地ラノシアの「見捨てられた廃屋」にいるはずだ。……ほら、代金も持ってけ。			凍てついた心							
今朝は、南風がリムレーンのベールを揺らした……。闇商人は、低地ラノシアの「見捨てられた廃屋」にいるはずだ。			今朝は、南風がリムレーンのベールを揺らした……。闇商人は、低地ラノシアの「見捨てられた廃屋」にいるはずだ。			凍てついた心							
なんだ、お前さん客かい？……なら、出すもんださないと、欲しいものは買えないよ？			なんだ、お前さん客かい？……なら、出すもんださないと、欲しいものは買えないよ？			凍てついた心							
ひぃふぅみぃ……十分だ。やっぱり、お金をあつめるなら裏の道ってね。……さて、「灰犬一家」についてだったかな。			ひぃふぅみぃ……十分だ。やっぱり、お金をあつめるなら裏の道ってね。……さて、「灰犬一家」についてだったかな。			凍てついた心							
かつて勢力を誇った「猟犬同盟」……。霊災の後に陸に上がったわけだけど、それに反発した団員が、女頭「ロサリンデ」の下に集まってできたのが「灰犬一家」さ。			かつて勢力を誇った「猟犬同盟」……。霊災の後に陸に上がったわけだけど、それに反発した団員が、女頭「ロサリンデ」の下に集まってできたのが「灰犬一家」さ。			凍てついた心							
「プルトー香」とかいう薬を使って、船員の力を引き出すとかで、遠洋航海にめっぽう強い……。東方の海で荒稼ぎして、ずいぶん羽振りがいいようだね。			「プルトー香」とかいう薬を使って、船員の力を引き出すとかで、遠洋航海にめっぽう強い……。東方の海で荒稼ぎして、ずいぶん羽振りがいいようだね。			凍てついた心							
今は、ハルブレーカー・アイルに海賊船を隠し、コスタ・デル・ソルで、どんちゃん騒ぎをしてるそうだよ。興味があるなら、見てくればいいんじゃない？			今は、ハルブレーカー・アイルに海賊船を隠し、コスタ・デル・ソルで、どんちゃん騒ぎをしてるそうだよ。興味があるなら、見てくればいいんじゃない？			凍てついた心							
……でも、よく注意しなよ？最近、あの海賊団は、手練れの傭兵を雇ったからね。			……でも、よく注意しなよ？最近、あの海賊団は、手練れの傭兵を雇ったからね。			凍てついた心							
そいつの名前は「レッドウェイ」……。元ガレマール帝国軍の隠密諜報部隊の一員だとかで、東方伝来の「忍術」が使えるんだ。			そいつの名前は「レッドウェイ」……。元ガレマール帝国軍の隠密諜報部隊の一員だとかで、東方伝来の「忍術」が使えるんだ。			凍てついた心							
レッドウェイは、自意識の塊みたいな奴なんだよね。執念深い鍛錬の成果は、なかなかに見ものだ。油断してると、背後を取られるよ。			レッドウェイは、自意識の塊みたいな奴なんだよね。執念深い鍛錬の成果は、なかなかに見ものだ。油断してると、背後を取られるよ。			凍てついた心							
そんじゃ、このへんでサヨナラだ……。オトモダチによろしくね、ウププ。			そんじゃ、このへんでサヨナラだ……。オトモダチによろしくね、ウププ。			凍てついた心							
……で、どこまで調べがついたわけ？「翡翠蘭」が盗まれた時から調査をさせてるんだから、そろそろ情報は出揃ってるわよね？			……で、どこまで調べがついたわけ？「翡翠蘭」が盗まれた時から調査をさせてるんだから、そろそろ情報は出揃ってるわよね？			凍てついた心							
……宝を狙っているのは、「井ノ国」からの追手の二名。ユキ・ヤツルギと、その家臣の斧使い……ウン。家臣は雑魚だが、ユキ・ヤツルギは腕が立つから要注意……。			……宝を狙っているのは、「井ノ国」からの追手の二名。ユキ・ヤツルギと、その家臣の斧使い……ウン。家臣は雑魚だが、ユキ・ヤツルギは腕が立つから要注意……。			凍てついた心							
そして、ユキ・ヤツルギが雇っている忍びがふたり。ひとりは隠れ里の上忍……名は、オボロ。いわゆる優等生……要注意だ、ウン。			そして、ユキ・ヤツルギが雇っている忍びがふたり。ひとりは隠れ里の上忍……名は、オボロ。いわゆる優等生……要注意だ、ウン。			凍てついた心							
もうひとりは、ヒューラン族エレゼン族ララフェル族ミコッテ族ルガディン族アウラ族ロスガル族ヴィエラ族の女男……。おそらく、Forenameという冒険者……ウン。名前は知ってる、一応注意。			もうひとりは、ヒューラン族エレゼン族ララフェル族ミコッテ族ルガディン族アウラ族ロスガル族ヴィエラ族の女男……。おそらく、Forenameという冒険者……ウン。名前は知ってる、一応注意。			凍てついた心							
かつての師は、このふたりに倒されている……。ユキ・ヤツルギがいくら提示したのかは不明だが、手練の忍びを雇える程度の金は、残っている模様……。			かつての師は、このふたりに倒されている……。ユキ・ヤツルギがいくら提示したのかは不明だが、手練の忍びを雇える程度の金は、残っている模様……。			凍てついた心							
