円蓋の座のチョラ・ゾイは、憧れの人物の到着を待ちかねているようだ。			円蓋の座のチョラ・ゾイは、憧れの人物の到着を待ちかねているようだ。			職人に寄り添う新道具							
実に頼もしいではないか。なれば、道具の優れた使い手である、貴殿の意見も聞かせてもらいたい。			実に頼もしいではないか。なれば、道具の優れた使い手である、貴殿の意見も聞かせてもらいたい。			澄み輝ける改良計画							
新たな姿の……至高のモーエンツールとは、いかにあるべきであろうか？			新たな姿の……至高のモーエンツールとは、いかにあるべきであろうか？			澄み輝ける改良計画							
何と言う？			何と言う？			澄み輝ける改良計画							
職人たちみんなの想いを込めよう			職人たちみんなの想いを込めよう			澄み輝ける改良計画							
道具を鍛えたこの地の想いを込めよう			道具を鍛えたこの地の想いを込めよう			澄み輝ける改良計画							
わぁ、それは素敵ですっ……！			わぁ、それは素敵ですっ……！			澄み輝ける改良計画							
実は、ミーン工芸館の科長さんや職人さんたちに、理想の道具について、いろいろ話を聞いていたんです。使い手のためにどんな改良をすべきか、参考にしたくって。			実は、ミーン工芸館の科長さんや職人さんたちに、理想の道具について、いろいろ話を聞いていたんです。使い手のためにどんな改良をすべきか、参考にしたくって。			澄み輝ける改良計画							
アドバイスとあわせ、お仕事への情熱も聞かせてもらいました。あれほどの職人さんたちの想いに沿う道具を作れたら……きっと、未来のノルヴラントを拓いていく力になると思うんです！			アドバイスとあわせ、お仕事への情熱も聞かせてもらいました。あれほどの職人さんたちの想いに沿う道具を作れたら……きっと、未来のノルヴラントを拓いていく力になると思うんです！			澄み輝ける改良計画							
モーエンツールはグレノルトさんと私たちの作品でもありますが、ご愛顧いただいている方々に馴染むものにしたいですね！			モーエンツールはグレノルトさんと私たちの作品でもありますが、ご愛顧いただいている方々に馴染むものにしたいですね！			澄み輝ける改良計画							
改良にあたって必要な品は、引き続きケシ・トラオ様にご協力いただけることになっています。今回も、稀少材料の調達をお願いできますか？			改良にあたって必要な品は、引き続きケシ・トラオ様にご協力いただけることになっています。今回も、稀少材料の調達をお願いできますか？			澄み輝ける改良計画							
「モーエンツール」の改良準備は、私の手元で進めていますっ！Forenameさんには今回も、稀少材料の調達をお願いできますか？			「モーエンツール」の改良準備は、私の手元で進めていますっ！Forenameさんには今回も、稀少材料の調達をお願いできますか？			澄み輝ける改良計画							
今回必要となる稀少材料は、「[???]」です！			今回必要となる稀少材料は、「[???]」です！			澄み輝ける改良計画							
そして新しい稀少材料に見合うよう、とびきりの取引資本としてご用意いただきたいのは、「好事家向けの竹垣好事家向けの目覚まし時計好事家向けのトランペット好事家向けのウォッシュスタンド好事家向けのタージェ好事家向けの三角帽子好事家向けの月のカーテン好事家向けのクラブケーキ」ですね。			そして新しい稀少材料に見合うよう、とびきりの取引資本としてご用意いただきたいのは、「好事家向けの竹垣好事家向けの目覚まし時計好事家向けのトランペット好事家向けのウォッシュスタンド好事家向けのタージェ好事家向けの三角帽子好事家向けの月のカーテン好事家向けのクラブケーキ」ですね。			澄み輝ける改良計画							
今回稀少材料としてご用意いただきたいのは、「[???]」と、「[???]」ですっ！			今回稀少材料としてご用意いただきたいのは、「[???]」と、「[???]」ですっ！			澄み輝ける改良計画							
稀少材料を商会から提供してもらうには、取引資本に「好事家向けの歴青好事家向けのオオミツバチの巣」を、ご調達いただければと！			稀少材料を商会から提供してもらうには、取引資本に「好事家向けの歴青好事家向けのオオミツバチの巣」を、ご調達いただければと！			澄み輝ける改良計画							
今回稀少材料としてご用意いただきたいのは、「[???]」ですっ！			今回稀少材料としてご用意いただきたいのは、「[???]」ですっ！			澄み輝ける改良計画							
それらの稀少材料を商会から提供してもらうには、取引資本に「黒き木塊」か、「ロンカブリオン」をご調達いただければ！			それらの稀少材料を商会から提供してもらうには、取引資本に「黒き木塊」か、「ロンカブリオン」をご調達いただければ！			澄み輝ける改良計画							
取引資本と稀少材料を交換いただいても構いませんし、前回に引き続き、「精選」で稀少材料を得ることも可能です。採集時の手段として、どうぞご検討ください！			取引資本と稀少材料を交換いただいても構いませんし、前回に引き続き、「精選」で稀少材料を得ることも可能です。採集時の手段として、どうぞご検討ください！			澄み輝ける改良計画							
取引資本を用意してもらう手順は、これまでと同じです。必ず改良した「モーエンツール」を使って、調達作業をお願いしますね！			取引資本を用意してもらう手順は、これまでと同じです。必ず改良した「モーエンツール」を使って、調達作業をお願いしますね！			澄み輝ける改良計画							
調達した取引資本を、テントの「キナーナ」さんに渡せば、今回も、商会取り扱いの稀少材料を用意してもらえるはずです。もし手順に迷ったら、グレノルトさんが教えてくださいますよ！			調達した取引資本を、テントの「キナーナ」さんに渡せば、今回も、商会取り扱いの稀少材料を用意してもらえるはずです。もし手順に迷ったら、グレノルトさんが教えてくださいますよ！			澄み輝ける改良計画							
引き続き、改良作業は私が行います！必要な材料をご用意いただいたら「モーエンツール」と一緒に、この「すたじお」の私のところへ持ってきてくださいね！			引き続き、改良作業は私が行います！必要な材料をご用意いただいたら「モーエンツール」と一緒に、この「すたじお」の私のところへ持ってきてくださいね！			澄み輝ける改良計画							
ミーン工芸館前の「チョラ・ゾイ」に、主道具と改良に必要となる材料を渡すことで、改良された道具が入手できます。			ミーン工芸館前の「チョラ・ゾイ」に、主道具と改良に必要となる材料を渡すことで、改良された道具が入手できます。			澄み輝ける改良計画							
主道具を改良するために必要な材料は、ミーン工芸館前の「キナーナ」に、取引資本を渡すことで手に入ります。			主道具を改良するために必要な材料は、ミーン工芸館前の「キナーナ」に、取引資本を渡すことで手に入ります。			澄み輝ける改良計画							
もしくは、もととなるアイテムを採集し、「精選」によって、直接稀少材料を入手することもできます。プレイスタイルに合わせて、稀少材料を集めていきましょう！			もしくは、もととなるアイテムを採集し、「精選」によって、直接稀少材料を入手することもできます。プレイスタイルに合わせて、稀少材料を集めていきましょう！			澄み輝ける改良計画							
「精選」をして稀少材料を得るには、クエスト「生命、精選、もうひとつの答え」を完了し、「精選」を開放しておく必要があります。			「精選」をして稀少材料を得るには、クエスト「生命、精選、もうひとつの答え」を完了し、「精選」を開放しておく必要があります。			澄み輝ける改良計画							
取引資本は、製作手帳の「スペシャルレシピ」から、「モーエンツール」の項目を選択することで製作できます。			取引資本は、製作手帳の「スペシャルレシピ」から、「モーエンツール」の項目を選択することで製作できます。			澄み輝ける改良計画							
また、取引資本を製作する際には、「モーエンツール」を装備している必要があります。加えて一部の稀少材料は「スクリップ」で入手できます。			また、取引資本を製作する際には、「モーエンツール」を装備している必要があります。加えて一部の稀少材料は「スクリップ」で入手できます。			澄み輝ける改良計画							
取引資本・精選対象となる素材は、採集手帳の「モーエンツール」の項目を選択することで、採集場所を確認できます。			取引資本・精選対象となる素材は、採集手帳の「モーエンツール」の項目を選択することで、採集場所を確認できます。			澄み輝ける改良計画							
また、対象アイテムを採集する際には、「モーエンツール」を装備している必要があります。			また、対象アイテムを採集する際には、「モーエンツール」を装備している必要があります。			澄み輝ける改良計画							
取引資本・精選対象となる魚には、専用の釣り餌が必要になります。釣り餌も「キナーナ」から入手できます。			取引資本・精選対象となる魚には、専用の釣り餌が必要になります。釣り餌も「キナーナ」から入手できます。			澄み輝ける改良計画							
また、取引資本となる魚を釣る際には、「モーエンツール」を装備している必要があります。			また、取引資本となる魚を釣る際には、「モーエンツール」を装備している必要があります。			澄み輝ける改良計画							
なお、「泳がせ釣り」で得られる取引資本は、稀少材料がより多く獲得できます。			なお、「泳がせ釣り」で得られる取引資本は、稀少材料がより多く獲得できます。			澄み輝ける改良計画							
本クエストをコンプリートする際には、改良する「モーエンツール」を装備せずに、所持品またはアーマリーチェストに入れてください。			本クエストをコンプリートする際には、改良する「モーエンツール」を装備せずに、所持品またはアーマリーチェストに入れてください。			澄み輝ける改良計画							
手順に不明点があったか？まず頼みたいことは、取引資本となる物資を、「モーエンツール」を使って用意してもらうことぞ。			手順に不明点があったか？まず頼みたいことは、取引資本となる物資を、「モーエンツール」を使って用意してもらうことぞ。			澄み輝ける改良計画							
調達した取引資本を「キナーナ」に渡せば、商会取り扱いの稀少材料を用意してもらえる手筈になっていよう。必要なものが揃ったら、チョラ・ゾイに声を掛けるとよい。			調達した取引資本を「キナーナ」に渡せば、商会取り扱いの稀少材料を用意してもらえる手筈になっていよう。必要なものが揃ったら、チョラ・ゾイに声を掛けるとよい。			澄み輝ける改良計画							
ミーン工芸館前の「チョラ・ゾイ」に、主道具と改良に必要となる稀少材料を渡すことで、改良された道具が入手できます。			ミーン工芸館前の「チョラ・ゾイ」に、主道具と改良に必要となる稀少材料を渡すことで、改良された道具が入手できます。			澄み輝ける改良計画							
なお、稀少材料は、ミーン工芸館前の「キナーナ」に、取引資本となるアイテムを納品することで入手できます。			なお、稀少材料は、ミーン工芸館前の「キナーナ」に、取引資本となるアイテムを納品することで入手できます。			澄み輝ける改良計画							
稀少材料の交換に必要な取引資本は、製作手帳の「スペシャルレシピ」から、「モーエンツール」の項目を選択することで製作できます。			稀少材料の交換に必要な取引資本は、製作手帳の「スペシャルレシピ」から、「モーエンツール」の項目を選択することで製作できます。			澄み輝ける改良計画							
また、取引資本を製作する際には、「モーエンツール」を装備している必要があります。加えて一部の稀少材料は「スクリップ」で入手できます。			また、取引資本を製作する際には、「モーエンツール」を装備している必要があります。加えて一部の稀少材料は「スクリップ」で入手できます。			澄み輝ける改良計画							
取引資本・精選して稀少材料を得られる素材は、採集手帳の「モーエンツール」の項目を選択することで、採集場所を確認できます。			取引資本・精選して稀少材料を得られる素材は、採集手帳の「モーエンツール」の項目を選択することで、採集場所を確認できます。			澄み輝ける改良計画							
また、取引資本を採集する際には、「モーエンツール」を装備している必要があります。			また、取引資本を採集する際には、「モーエンツール」を装備している必要があります。			澄み輝ける改良計画							
取引資本・精選して稀少材料を得られる魚には、専用の釣り餌が必要になります。釣り餌も「キナーナ」から入手できます。			取引資本・精選して稀少材料を得られる魚には、専用の釣り餌が必要になります。釣り餌も「キナーナ」から入手できます。			澄み輝ける改良計画							
また、取引資本・精選して稀少材料を得られる魚を釣る際には、「モーエンツール」を装備している必要があります。			また、取引資本・精選して稀少材料を得られる魚を釣る際には、「モーエンツール」を装備している必要があります。			澄み輝ける改良計画							
なお、「泳がせ釣り」で得られる取引資本は、稀少材料がより多く獲得できます。			なお、「泳がせ釣り」で得られる取引資本は、稀少材料がより多く獲得できます。			澄み輝ける改良計画							
本クエストをコンプリートする際には、改良する「モーエンツール」を装備せずに、所持品またはアーマリーチェストに入れてください。			本クエストをコンプリートする際には、改良する「モーエンツール」を装備せずに、所持品またはアーマリーチェストに入れてください。			澄み輝ける改良計画							
Forenameさん、ありがとうございますっ！今回も必要な稀少材料を揃えていただけたようですので、「モーエンツール」と一緒に、お預かりできればと！			Forenameさん、ありがとうございますっ！今回も必要な稀少材料を揃えていただけたようですので、「モーエンツール」と一緒に、お預かりできればと！			澄み輝ける改良計画							
今回もたくさんのご協力、大変助かります！Forenameさんに集めてもらっている間、グレノルトさんに新たな設計図を作っていただいていました。			今回もたくさんのご協力、大変助かります！Forenameさんに集めてもらっている間、グレノルトさんに新たな設計図を作っていただいていました。			澄み輝ける改良計画							
これは次のモーエンツールも、素晴らしい出来になりますよっ！クリスタリウムを象徴する道具となるよう、私の方でも素材を集めてきました！			これは次のモーエンツールも、素晴らしい出来になりますよっ！クリスタリウムを象徴する道具となるよう、私の方でも素材を集めてきました！			澄み輝ける改良計画							
見てください、クリスタルタワーから剥離したクリスタル片！水晶公がお持ちになっていた杖も、こうしたクリスタル片から作られていたんですって……！			見てください、クリスタルタワーから剥離したクリスタル片！水晶公がお持ちになっていた杖も、こうしたクリスタル片から作られていたんですって……！			澄み輝ける改良計画							
では、道具も稀少材料も、確かにお預かりしました！至高の姿を生み出すため……全力で取り組みますねっ！			では、道具も稀少材料も、確かにお預かりしました！至高の姿を生み出すため……全力で取り組みますねっ！			澄み輝ける改良計画							
鎚は「すてっぷ」の如くリズムを刻み……あの「だんす」の如く、すべての工程は流れるように美しく！			鎚は「すてっぷ」の如くリズムを刻み……あの「だんす」の如く、すべての工程は流れるように美しく！			澄み輝ける改良計画							
仕上げはもちろん、エキストラヴァージンの道具油！！これこそ……私たちのモーエンツールだあああっ！！			仕上げはもちろん、エキストラヴァージンの道具油！！これこそ……私たちのモーエンツールだあああっ！！			澄み輝ける改良計画							
やった……やりましたよ！見てください、この美しい水晶と鉄の調和した輝き！Forenameさん、握ってみてください！			やった……やりましたよ！見てください、この美しい水晶と鉄の調和した輝き！Forenameさん、握ってみてください！			澄み輝ける改良計画							
僭越ながら、この道具に相応しい名を名付けさせてください。「[???]」と！			僭越ながら、この道具に相応しい名を名付けさせてください。「[???]」と！			澄み輝ける改良計画							
チョラ・ゾイよ、モーエンツールとともにおぬしの力もまた、ひとつの極みに到達したようだ……！			チョラ・ゾイよ、モーエンツールとともにおぬしの力もまた、ひとつの極みに到達したようだ……！			澄み輝ける改良計画							
これならば、クリスタリウムの……そしてノルヴラントを再建するすべての職人に、長く愛顧されるものとなるであろうぞ！			これならば、クリスタリウムの……そしてノルヴラントを再建するすべての職人に、長く愛顧されるものとなるであろうぞ！			澄み輝ける改良計画							
「モーエンツール」6段階目への改良が完了しましたっ！名付けて「[???]」、さあ、掲げてみてください！			「モーエンツール」6段階目への改良が完了しましたっ！名付けて「[???]」、さあ、掲げてみてください！			澄み輝ける改良計画							
水晶の輝きが、道具を持つ手からも溢れるかのようです！こんな道具が作れて、職人冥利に尽きるというもの……。いつもありがとうございますっ！			水晶の輝きが、道具を持つ手からも溢れるかのようです！こんな道具が作れて、職人冥利に尽きるというもの……。いつもありがとうございますっ！			澄み輝ける改良計画							
特殊ルール： ジョブ・クラス固定ミーン工芸館前のチョラ・ゾイは、「モーエンツール」の至高なる改良を始めたいようだ。			特殊ルール： ジョブ・クラス固定ミーン工芸館前のチョラ・ゾイは、「モーエンツール」の至高なる改良を始めたいようだ。			至高の改良計画							
※本クエストには「 ジョブ・クラス固定」が、　設定されています。　受注時と同じクラスでのみ進行できます。「モーエンツール」の改良に必要な材料は、ミーン工芸館前の「キナーナ」に取引資本を渡すことで用意してもらえ、またギャザラーの場合は、取引資本を精選することでも得られるようだ。ミーン工芸館前の「チョラ・ゾイ」に、所持品またはアーマリーチェストに入れた「モーエンツール」と、材料を渡して、最終段階へ改良してもらおう。			※本クエストには「 ジョブ・クラス固定」が、　設定されています。　受注時と同じクラスでのみ進行できます。「モーエンツール」の改良に必要な材料は、ミーン工芸館前の「キナーナ」に取引資本を渡すことで用意してもらえ、またギャザラーの場合は、取引資本を精選することでも得られるようだ。ミーン工芸館前の「チョラ・ゾイ」に、所持品またはアーマリーチェストに入れた「モーエンツール」と、材料を渡して、最終段階へ改良してもらおう。			至高の改良計画							
「モーエンツール」がついに完成した。モーエンツールを求めるすべての職人たちに行き渡るまで、グレノルトとチョラ・ゾイの「すたじお」は続くようだ。これからも、彼らとともに道具作りに励むのも良いだろう。			「モーエンツール」がついに完成した。モーエンツールを求めるすべての職人たちに行き渡るまで、グレノルトとチョラ・ゾイの「すたじお」は続くようだ。これからも、彼らとともに道具作りに励むのも良いだろう。			至高の改良計画							
ヴランティック・ソーヴランティック・クロスペインハンマーヴランティック・レイジングハンマーヴランティック・マレットヴランティック・ラウンドナイフヴランティック・ニードルヴランティック・アレンビックヴランティック・フライパンヴランティック・ピックヴランティック・ハチェットヴランティック・フィッシングロッドを装備から外して所持しモーエンツールの六次加工部材【木工】を60個集めモーエンツールの六次加工部材【鍛冶】を60個集めモーエンツールの六次加工部材【甲冑】を60個集めモーエンツールの六次加工部材【彫金】を60個集めモーエンツールの六次加工部材【革細工】を60個集めモーエンツールの六次加工部材【裁縫】を60個集めモーエンツールの六次加工部材【錬金】を60個集めモーエンツールの六次加工部材【調理】を60個集めモーエンツールの六次加工精油【採掘】を220個とモーエンツールの六次加工精油【園芸】を220個とモーエンツールの六次加工精油【漁師】を170個集め改良用のアイスクラスターを220個集め改良用のウォータークラスターを220個集めミーン工芸館前のチョラ・ゾイに渡す			ヴランティック・ソーヴランティック・クロスペインハンマーヴランティック・レイジングハンマーヴランティック・マレットヴランティック・ラウンドナイフヴランティック・ニードルヴランティック・アレンビックヴランティック・フライパンヴランティック・ピックヴランティック・ハチェットヴランティック・フィッシングロッドを装備から外して所持しモーエンツールの六次加工部材【木工】を60個集めモーエンツールの六次加工部材【鍛冶】を60個集めモーエンツールの六次加工部材【甲冑】を60個集めモーエンツールの六次加工部材【彫金】を60個集めモーエンツールの六次加工部材【革細工】を60個集めモーエンツールの六次加工部材【裁縫】を60個集めモーエンツールの六次加工部材【錬金】を60個集めモーエンツールの六次加工部材【調理】を60個集めモーエンツールの六次加工精油【採掘】を220個とモーエンツールの六次加工精油【園芸】を220個とモーエンツールの六次加工精油【漁師】を170個集め改良用のアイスクラスターを220個集め改良用のウォータークラスターを220個集めミーン工芸館前のチョラ・ゾイに渡す			至高の改良計画							
クエスト「至高の改良計画」にて入手できる主道具は、現在のクラス「[Job]」のモーエンツールとなります。「至高の改良計画」を「[Job]」で受注しますか？			クエスト「至高の改良計画」にて入手できる主道具は、現在のクラス「[Job]」のモーエンツールとなります。「至高の改良計画」を「[Job]」で受注しますか？			至高の改良計画							
[Job]のモーエンツールを改良しますか？			[Job]のモーエンツールを改良しますか？			至高の改良計画							
もう少し悩んでみる			もう少し悩んでみる			至高の改良計画							
[Job]のモーエンツールを改良する			[Job]のモーエンツールを改良する			至高の改良計画							
「至高の改良計画」を受注した場合、クエストを完了、あるいは破棄するまで、ほかのクラスで「至高の改良計画」を受注できません。			「至高の改良計画」を受注した場合、クエストを完了、あるいは破棄するまで、ほかのクラスで「至高の改良計画」を受注できません。			至高の改良計画							
改良したいモーエンツールに応じたクラスとなり、再度、チョラ・ゾイに話しかけてください。			改良したいモーエンツールに応じたクラスとなり、再度、チョラ・ゾイに話しかけてください。			至高の改良計画							
「[???]」を、所持または装備していないと、クエスト「至高の改良計画」を受注することができません。			「[???]」を、所持または装備していないと、クエスト「至高の改良計画」を受注することができません。			至高の改良計画							
「[???]」は、すでに取得済みです。ほかのクラスとなり、再度チョラ・ゾイに話しかけてください。			「[???]」は、すでに取得済みです。ほかのクラスとなり、再度チョラ・ゾイに話しかけてください。			至高の改良計画							
Forenameさん、使い心地はいかがですか？モーエンツールを最高の形に改良できて、職人として、とっても幸せを感じています……！			Forenameさん、使い心地はいかがですか？モーエンツールを最高の形に改良できて、職人として、とっても幸せを感じています……！			至高の改良計画							
でも……この道具はまだ、もっと輝かせることができる。これまでの改良を経てきて、私にはわかるんですっ！			でも……この道具はまだ、もっと輝かせることができる。これまでの改良を経てきて、私にはわかるんですっ！			至高の改良計画							
ああ、そのとおりであるぞ。今までなら、吾が示したものだったが……自ずから気付くのなら、もはや、助言も要らぬようだ。			ああ、そのとおりであるぞ。今までなら、吾が示したものだったが……自ずから気付くのなら、もはや、助言も要らぬようだ。			至高の改良計画							
チョラ・ゾイよ……吾の持つすべての技は、おぬしに託してある。モーエンツールを真に、至高の姿へと極めようぞ！			チョラ・ゾイよ……吾の持つすべての技は、おぬしに託してある。モーエンツールを真に、至高の姿へと極めようぞ！			至高の改良計画							
はい、必ずやり遂げてみせます！私はグレノルトさんが認めてくださった職人ですからっ！			はい、必ずやり遂げてみせます！私はグレノルトさんが認めてくださった職人ですからっ！			至高の改良計画							
Forenameさん、これが最後の段階です。モーエンツールに至高の改良を施すため、必要な稀少材料の調達をお願いできますか？			Forenameさん、これが最後の段階です。モーエンツールに至高の改良を施すため、必要な稀少材料の調達をお願いできますか？			至高の改良計画							
いよいよ「モーエンツール」、最終段階への改良ですっ！Forenameさん、必要となる稀少材料の調達をお願いできますか？			いよいよ「モーエンツール」、最終段階への改良ですっ！Forenameさん、必要となる稀少材料の調達をお願いできますか？			至高の改良計画							
今回必要となる稀少材料は、「[???]」です！			今回必要となる稀少材料は、「[???]」です！			至高の改良計画							
その稀少材料に見合うよう、取引資本としてご用意いただきたいのは、「好事家向けの鹿威し好事家向けのリテイナーベル好事家向けのホルン好事家向けのマーブルファウンテン好事家向けのレザージャケット好事家向けのファットキャットソファー好事家向けの活力の幻薬好事家向けのチリクラブ」ですね！			その稀少材料に見合うよう、取引資本としてご用意いただきたいのは、「好事家向けの鹿威し好事家向けのリテイナーベル好事家向けのホルン好事家向けのマーブルファウンテン好事家向けのレザージャケット好事家向けのファットキャットソファー好事家向けの活力の幻薬好事家向けのチリクラブ」ですね！			至高の改良計画							
今回稀少材料としてご用意いただきたいのは、「[???]」と、「[???]」ですっ！			今回稀少材料としてご用意いただきたいのは、「[???]」と、「[???]」ですっ！			至高の改良計画							
それらの稀少材料を商会から提供してもらうには、取引資本に「好事家向けのオニキス原石好事家向けのトモシビダケ」を、ご調達いただければ！			それらの稀少材料を商会から提供してもらうには、取引資本に「好事家向けのオニキス原石好事家向けのトモシビダケ」を、ご調達いただければ！			至高の改良計画							
今回稀少材料としてご用意いただきたいのは、「[???]」ですっ！			今回稀少材料としてご用意いただきたいのは、「[???]」ですっ！			至高の改良計画							
それらの稀少材料を商会から提供してもらうには、取引資本に「バウンティグッピー」か、「聖ファスリクの石頭」をご調達ください！			それらの稀少材料を商会から提供してもらうには、取引資本に「バウンティグッピー」か、「聖ファスリクの石頭」をご調達ください！			至高の改良計画							
再び、ギャザラーさんには稀少材料の提供についてご案内です！採集した品を「精選」して稀少材料を得るか、取引資本をキナーナさんと交換するか、どちらも可能ですよっ！			再び、ギャザラーさんには稀少材料の提供についてご案内です！採集した品を「精選」して稀少材料を得るか、取引資本をキナーナさんと交換するか、どちらも可能ですよっ！			至高の改良計画							
取引資本を集めてもらう手順は、これまでと同じです。必ず改良した「モーエンツール」を使って、調達作業をお願いしますね！			取引資本を集めてもらう手順は、これまでと同じです。必ず改良した「モーエンツール」を使って、調達作業をお願いしますね！			至高の改良計画							
調達した取引資本を、テントの「キナーナ」さんに渡せば、今回も、商会取り扱いの稀少材料を用意してもらえるはずです。もし手順に迷ったら、グレノルトさんが教えてくださいますよ！			調達した取引資本を、テントの「キナーナ」さんに渡せば、今回も、商会取り扱いの稀少材料を用意してもらえるはずです。もし手順に迷ったら、グレノルトさんが教えてくださいますよ！			至高の改良計画							
必要な材料をご用意いただいたら「モーエンツール」と一緒に、この「すたじお」の私のところへ持ってきていただければと。この最後の段階での改良も、私にお任せくださいねっ！			必要な材料をご用意いただいたら「モーエンツール」と一緒に、この「すたじお」の私のところへ持ってきていただければと。この最後の段階での改良も、私にお任せくださいねっ！			至高の改良計画							
ミーン工芸館前の「チョラ・ゾイ」に、主道具と改良に必要となる材料を渡すことで、改良された道具が入手できます。			ミーン工芸館前の「チョラ・ゾイ」に、主道具と改良に必要となる材料を渡すことで、改良された道具が入手できます。			至高の改良計画							
主道具を改良するために必要な材料は、ミーン工芸館前の「キナーナ」に、取引資本を渡すことで手に入ります。			主道具を改良するために必要な材料は、ミーン工芸館前の「キナーナ」に、取引資本を渡すことで手に入ります。			至高の改良計画							
もしくは、もととなるアイテムを採集し、「精選」によって、直接稀少材料を入手することもできます。プレイスタイルに合わせて、稀少材料を集めていきましょう！			もしくは、もととなるアイテムを採集し、「精選」によって、直接稀少材料を入手することもできます。プレイスタイルに合わせて、稀少材料を集めていきましょう！			至高の改良計画							
「精選」をして稀少材料を得るには、クエスト「生命、精選、もうひとつの答え」を完了し、「精選」を開放しておく必要があります。			「精選」をして稀少材料を得るには、クエスト「生命、精選、もうひとつの答え」を完了し、「精選」を開放しておく必要があります。			至高の改良計画							
取引資本は、製作手帳の「スペシャルレシピ」から、「モーエンツール」の項目を選択することで製作できます。			取引資本は、製作手帳の「スペシャルレシピ」から、「モーエンツール」の項目を選択することで製作できます。			至高の改良計画							
また、取引資本を製作する際には、「モーエンツール」を装備している必要があります。加えて一部の稀少材料は「スクリップ」で入手できます。			また、取引資本を製作する際には、「モーエンツール」を装備している必要があります。加えて一部の稀少材料は「スクリップ」で入手できます。			至高の改良計画							
取引資本・精選対象となる素材は、採集手帳の「モーエンツール」の項目を選択することで、採集場所を確認できます。			取引資本・精選対象となる素材は、採集手帳の「モーエンツール」の項目を選択することで、採集場所を確認できます。			至高の改良計画							
また、対象アイテムを採集する際には、「モーエンツール」を装備している必要があります。			また、対象アイテムを採集する際には、「モーエンツール」を装備している必要があります。			至高の改良計画							
取引資本・精選対象となる魚には、専用の釣り餌が必要になります。釣り餌も「キナーナ」から入手できます。			取引資本・精選対象となる魚には、専用の釣り餌が必要になります。釣り餌も「キナーナ」から入手できます。			至高の改良計画							
また、取引資本となる魚を釣る際には、「モーエンツール」を装備している必要があります。			また、取引資本となる魚を釣る際には、「モーエンツール」を装備している必要があります。			至高の改良計画							
なお、「漁師の直感」が発動中に得られる取引資本は、稀少材料がより多く獲得できます。			なお、「漁師の直感」が発動中に得られる取引資本は、稀少材料がより多く獲得できます。			至高の改良計画							
本クエストをコンプリートする際には、改良する「モーエンツール」を装備せずに、所持品またはアーマリーチェストに入れてください。			本クエストをコンプリートする際には、改良する「モーエンツール」を装備せずに、所持品またはアーマリーチェストに入れてください。			至高の改良計画							
手順に不明点があったか？まず頼みたいことは、取引資本となる物資を、「モーエンツール」を使って用意してもらうことぞ。			手順に不明点があったか？まず頼みたいことは、取引資本となる物資を、「モーエンツール」を使って用意してもらうことぞ。			至高の改良計画							
調達した取引資本を「キナーナ」に渡せば、商会取り扱いの稀少材料を用意してもらえる手筈になっておる。必要なものが揃ったら、チョラ・ゾイに声を掛けるとよい。			調達した取引資本を「キナーナ」に渡せば、商会取り扱いの稀少材料を用意してもらえる手筈になっておる。必要なものが揃ったら、チョラ・ゾイに声を掛けるとよい。			至高の改良計画							
ミーン工芸館前の「チョラ・ゾイ」に、主道具と改良に必要となる稀少材料を渡すことで、改良された道具が入手できます。			ミーン工芸館前の「チョラ・ゾイ」に、主道具と改良に必要となる稀少材料を渡すことで、改良された道具が入手できます。			至高の改良計画							
なお、稀少材料は、ミーン工芸館前の「キナーナ」に、取引資本となるアイテムを納品することで入手できます。			なお、稀少材料は、ミーン工芸館前の「キナーナ」に、取引資本となるアイテムを納品することで入手できます。			至高の改良計画							
取引資本は、製作手帳の「スペシャルレシピ」から、「モーエンツール」の項目を選択することで製作できます。			取引資本は、製作手帳の「スペシャルレシピ」から、「モーエンツール」の項目を選択することで製作できます。			至高の改良計画							
また、取引資本を製作する際には、「モーエンツール」を装備している必要があります。加えて一部の稀少材料は「スクリップ」で入手できます。			また、取引資本を製作する際には、「モーエンツール」を装備している必要があります。加えて一部の稀少材料は「スクリップ」で入手できます。			至高の改良計画							
取引資本は、採集手帳の「モーエンツール」の項目を選択することで、採集場所を確認できます。			取引資本は、採集手帳の「モーエンツール」の項目を選択することで、採集場所を確認できます。			至高の改良計画							
また、取引資本を採集する際には、「モーエンツール」を装備している必要があります。			また、取引資本を採集する際には、「モーエンツール」を装備している必要があります。			至高の改良計画							
取引資本となる魚には、専用の釣り餌が必要になります。釣り餌も「キナーナ」から入手できます。			取引資本となる魚には、専用の釣り餌が必要になります。釣り餌も「キナーナ」から入手できます。			至高の改良計画							
また、取引資本となる魚を釣る際には、「モーエンツール」を装備している必要があります。			また、取引資本となる魚を釣る際には、「モーエンツール」を装備している必要があります。			至高の改良計画							
なお、「漁師の直感」が発動中に得られる取引資本は、稀少材料がより多く獲得できます。			なお、「漁師の直感」が発動中に得られる取引資本は、稀少材料がより多く獲得できます。			至高の改良計画							
本クエストをコンプリートする際には、改良する「モーエンツール」を装備せずに、所持品またはアーマリーチェストに入れてください。			本クエストをコンプリートする際には、改良する「モーエンツール」を装備せずに、所持品またはアーマリーチェストに入れてください。			至高の改良計画							
今回もお手伝いいただき、本当にありがとうございますっ！私の方は、すでに準備も気合も万全ですよ。			今回もお手伝いいただき、本当にありがとうございますっ！私の方は、すでに準備も気合も万全ですよ。			至高の改良計画							
