スイの里のクレナイは、碧のタマミズのインバンを心待ちにしている。			スイの里のクレナイは、碧のタマミズのインバンを心待ちにしている。			ヒスイとクレナイ							
海賊衆には頼めない用件なものでね。詳しい話は、珊瑚台の「ウミベタ」から聞いてくれ。			海賊衆には頼めない用件なものでね。詳しい話は、珊瑚台の「ウミベタ」から聞いてくれ。			見張りの覚悟							
詳しい話は、珊瑚台にいる「ウミベタ」から聞いてくれ。手間をかけるが、よろしく頼む。			詳しい話は、珊瑚台にいる「ウミベタ」から聞いてくれ。手間をかけるが、よろしく頼む。			見張りの覚悟							
アラナミに言われて、来てくれたのか。確かに、お前さんなら、頼りになりそうだ！			アラナミに言われて、来てくれたのか。確かに、お前さんなら、頼りになりそうだ！			見張りの覚悟							
実は、部下が、帆別銭を払わない異国船を、故意に見逃しているらしくってな……。反撃にびびってるのか、まったく軟弱な輩だ……。			実は、部下が、帆別銭を払わない異国船を、故意に見逃しているらしくってな……。反撃にびびってるのか、まったく軟弱な輩だ……。			見張りの覚悟							
そこで、お前さんに、異国の船乗りを装い、沖之岩の南東にいる「見張り役の海賊」を脅してみてほしい。奴が、どんな反応をするのか、確かめてみたいのでな。			そこで、お前さんに、異国の船乗りを装い、沖之岩の南東にいる「見張り役の海賊」を脅してみてほしい。奴が、どんな反応をするのか、確かめてみたいのでな。			見張りの覚悟							
ただし、下手に出たら、なめられて、襲われかねない。「戦いに備え」て見せて威嚇し、震えあがらせてやれ！			ただし、下手に出たら、なめられて、襲われかねない。「戦いに備え」て見せて威嚇し、震えあがらせてやれ！			見張りの覚悟							
沖之岩の南東にいる「見張り役の海賊」に、「戦いに備え」て見せて威嚇し、震えあがらせてやれ！			沖之岩の南東にいる「見張り役の海賊」に、「戦いに備え」て見せて威嚇し、震えあがらせてやれ！			見張りの覚悟							
ウミベタから、話は聞けたか？アンタにしかできない仕事だ、頼んだぞ。			ウミベタから、話は聞けたか？アンタにしかできない仕事だ、頼んだぞ。			見張りの覚悟							
異常な～し！む、仕事中だ、邪魔しないでくれよ。			異常な～し！む、仕事中だ、邪魔しないでくれよ。			見張りの覚悟							
や、や、や、やろうってのか！？す、す、す、すぐにみんなに知らせねえと！！			や、や、や、やろうってのか！？す、す、す、すぐにみんなに知らせねえと！！			見張りの覚悟							
なんだ、なんだ、そんなに構ってほしいのか？俺はお仕事中で、お前の相手はしてやれねえの。			なんだ、なんだ、そんなに構ってほしいのか？俺はお仕事中で、お前の相手はしてやれねえの。			見張りの覚悟							
おう、脅してきてくれたか。それで、見張り役は、どんな様子だったか？			おう、脅してきてくれたか。それで、見張り役は、どんな様子だったか？			見張りの覚悟							
なるほど、勢いよく逃げていったか……。よし、ちゃんと正しい対応をしてるようだな。			なるほど、勢いよく逃げていったか……。よし、ちゃんと正しい対応をしてるようだな。			見張りの覚悟							
おっと、すまない。実は、これはヤツの抜き打ち訓練だったのさ。			おっと、すまない。実は、これはヤツの抜き打ち訓練だったのさ。			見張りの覚悟							
珊瑚台が敵襲を受けた場合は、筋違砦に援軍を要請することになっててな。だから、その場から逃げるのは、正しい対処なんだ。			珊瑚台が敵襲を受けた場合は、筋違砦に援軍を要請することになっててな。だから、その場から逃げるのは、正しい対処なんだ。			見張りの覚悟							
本気で脅してもらいたかったんで、伏せてたんだ。おかげで訓練は大成功だったよ、ありがとな！「アラナミ」にも、この結果を伝えてくれ。			本気で脅してもらいたかったんで、伏せてたんだ。おかげで訓練は大成功だったよ、ありがとな！「アラナミ」にも、この結果を伝えてくれ。			見張りの覚悟							
本気で威嚇してもらいたかったんで、伏せてたんだ。おかげで訓練は大成功だったよ、ありがとな！「アラナミ」にも、この結果を伝えてくれ。			本気で威嚇してもらいたかったんで、伏せてたんだ。おかげで訓練は大成功だったよ、ありがとな！「アラナミ」にも、この結果を伝えてくれ。			見張りの覚悟							
お帰り、訓練はうまくいったようだな。さきほど見張り役が真っ青な顔で、駆け込んできたぞ！いったい、どんな脅かし方をしたのやら、気になるぜ。			お帰り、訓練はうまくいったようだな。さきほど見張り役が真っ青な顔で、駆け込んできたぞ！いったい、どんな脅かし方をしたのやら、気になるぜ。			見張りの覚悟							
おかげで、いい訓練ができたよ。騙す形になっちまって、申し訳なかった！思うところもあるだろうが、この礼で納めてくれ。			おかげで、いい訓練ができたよ。騙す形になっちまって、申し訳なかった！思うところもあるだろうが、この礼で納めてくれ。			見張りの覚悟							
イサリ村のアサリは、相談したいことがあるようだ。			イサリ村のアサリは、相談したいことがあるようだ。			風前の漁火							
アサリから、ナヨシの話を聞くよう依頼された。イサリ村の「ナヨシ」と話そう。			アサリから、ナヨシの話を聞くよう依頼された。イサリ村の「ナヨシ」と話そう。			風前の漁火							
ナヨシと話したところ、村の者たちへの魔物討伐の手ほどきを依頼された。イサリ村の「ナヨシ」と再度話そう。			ナヨシと話したところ、村の者たちへの魔物討伐の手ほどきを依頼された。イサリ村の「ナヨシ」と再度話そう。			風前の漁火							
ナヨシと話したところ、漁火漁に出た船が戻らないという報せが舞い込んだ。海賊衆に協力を求めるため、紅玉海の筋違砦にいる「ツキカゲ」と話そう。			ナヨシと話したところ、漁火漁に出た船が戻らないという報せが舞い込んだ。海賊衆に協力を求めるため、紅玉海の筋違砦にいる「ツキカゲ」と話そう。			風前の漁火							
ツキカゲと話し、海賊衆と協力して紅甲羅のコウジン族にさらわれた村人を救出することになった。紅玉海のゼッキ島にある「指定地点」で「海賊衆の爆竹」を使い、おびき寄せたコウジン族を討伐して、陽動しよう。			ツキカゲと話し、海賊衆と協力して紅甲羅のコウジン族にさらわれた村人を救出することになった。紅玉海のゼッキ島にある「指定地点」で「海賊衆の爆竹」を使い、おびき寄せたコウジン族を討伐して、陽動しよう。			風前の漁火							
ゼッキ島での陽動を終えた。紅玉海の獄之蓋にいる「ツキカゲ」と合流しよう。			ゼッキ島での陽動を終えた。紅玉海の獄之蓋にいる「ツキカゲ」と合流しよう。			風前の漁火							
ツキカゲを襲っていた紅甲羅のコウジン族を討伐した。「ツキカゲ」を救助しよう。			ツキカゲを襲っていた紅甲羅のコウジン族を討伐した。「ツキカゲ」を救助しよう。			風前の漁火							
ツキカゲを救助した。助けた村人の無事を確認するため、イサリ村の「ナヨシ」と話そう。			ツキカゲを救助した。助けた村人の無事を確認するため、イサリ村の「ナヨシ」と話そう。			風前の漁火							
ナヨシと話し、囚われていた村人の無事を確認した。今後は、イサリ村と海賊衆が、再び協力することになった。帝国のせいで苦難を耐えてきた紅玉海の人々は、手を取り合うことで苦境を乗り越え、力強く生きていくことだろう。			ナヨシと話し、囚われていた村人の無事を確認した。今後は、イサリ村と海賊衆が、再び協力することになった。帝国のせいで苦難を耐えてきた紅玉海の人々は、手を取り合うことで苦境を乗り越え、力強く生きていくことだろう。			風前の漁火							
ナヨシと話す			ナヨシと話す			風前の漁火							
ナヨシと再度話す			ナヨシと再度話す			風前の漁火							
筋違砦のツキカゲと話す			筋違砦のツキカゲと話す			風前の漁火							
指定地点に海賊衆の爆竹を使い、おびき寄せたコウジン族を討伐			指定地点に海賊衆の爆竹を使い、おびき寄せたコウジン族を討伐			風前の漁火							
獄之蓋のツキカゲと合流			獄之蓋のツキカゲと合流			風前の漁火							
ツキカゲを救助			ツキカゲを救助			風前の漁火							
ナヨシと話す			ナヨシと話す			風前の漁火							
旅の方、村の者たちを助けてくれて、ありがとうございます。おまけに、漁火漁を再開するきっかけまで作ってくださるとは！			旅の方、村の者たちを助けてくれて、ありがとうございます。おまけに、漁火漁を再開するきっかけまで作ってくださるとは！			風前の漁火							
私は、取れた海産物や、干物を行商してるもんでね。これからは、忙しくなりそうだって、期待してます。私だけじゃない、村じゅうが久方ぶりにやる気を出しています。			私は、取れた海産物や、干物を行商してるもんでね。これからは、忙しくなりそうだって、期待してます。私だけじゃない、村じゅうが久方ぶりにやる気を出しています。			風前の漁火							
なのに、ナヨシったら、まだ何か浮かない様子でね……。こういうときは、たいてい岩陰でウジウジしてるでしょうから、行ってみて、話を聞いてやってもらえませんか？			なのに、ナヨシったら、まだ何か浮かない様子でね……。こういうときは、たいてい岩陰でウジウジしてるでしょうから、行ってみて、話を聞いてやってもらえませんか？			風前の漁火							
村じゅうの者が、久方ぶりにやる気を出しているってのに、ナヨシったら、まだ何か浮かない様子でね……。岩陰にいると思うんで、話を聞いてやってください。			村じゅうの者が、久方ぶりにやる気を出しているってのに、ナヨシったら、まだ何か浮かない様子でね……。岩陰にいると思うんで、話を聞いてやってください。			風前の漁火							
恩人殿、漁火漁のおかげで、村に活気が戻って嬉しい限りなんだが……少しばかり気になることがあってな。			恩人殿、漁火漁のおかげで、村に活気が戻って嬉しい限りなんだが……少しばかり気になることがあってな。			風前の漁火							
村のみんなが、俺が釣り上げたハリセンボムを、協力して倒してくれてはいるが、これが危なっかしくてな。いつ怪我人が出るかと、ヒヤヒヤしてるのさ。			村のみんなが、俺が釣り上げたハリセンボムを、協力して倒してくれてはいるが、これが危なっかしくてな。いつ怪我人が出るかと、ヒヤヒヤしてるのさ。			風前の漁火							
だから、恩人殿……村人たちに、魔物退治の方法を指南しちゃくれないか？			だから、恩人殿……村人たちに、魔物退治の方法を指南しちゃくれないか？			風前の漁火							
引き受けてくれるか、ありがたい！よし、さっそく俺は、村の力自慢たちを集めてくるからよ。恩人殿、村の桟橋まで来てくれ！			引き受けてくれるか、ありがたい！よし、さっそく俺は、村の力自慢たちを集めてくるからよ。恩人殿、村の桟橋まで来てくれ！			風前の漁火							
Forenameさん、大変なの！			Forenameさん、大変なの！			風前の漁火							
せっかく漁獲量を増やせると思ったのに……。			せっかく漁獲量を増やせると思ったのに……。			風前の漁火							
うかつでした……。かつて、夜間に漁をしていたときは、こんな問題など起きたことがなかったのに……。			うかつでした……。かつて、夜間に漁をしていたときは、こんな問題など起きたことがなかったのに……。			風前の漁火							
まあ、ナヨシったら、そんなことを気に病んでいたのね。確かに、村の者たちは漁の腕はありますが、戦いは素人です。私からも、村の者たちの指南をよろしく頼みます。			まあ、ナヨシったら、そんなことを気に病んでいたのね。確かに、村の者たちは漁の腕はありますが、戦いは素人です。私からも、村の者たちの指南をよろしく頼みます。			風前の漁火							
恩人殿、指南の件だが、ちょいと後回しにしてくれ！なんでも、漁火漁に出た船が一隻戻ってきてないらしい。			恩人殿、指南の件だが、ちょいと後回しにしてくれ！なんでも、漁火漁に出た船が一隻戻ってきてないらしい。			風前の漁火							
天候も波も問題はなかったから、事故とは思えないの。村のみんなは、なにかに襲われたんじゃないかって……。			天候も波も問題はなかったから、事故とは思えないの。村のみんなは、なにかに襲われたんじゃないかって……。			風前の漁火							
魔物の類いか……あるいは、紅甲羅のコウジン族か……。戻らぬ漁師たちは、いずれも腕利きばかりゆえに、なにかあったとしか思えんのじゃ。			魔物の類いか……あるいは、紅甲羅のコウジン族か……。戻らぬ漁師たちは、いずれも腕利きばかりゆえに、なにかあったとしか思えんのじゃ。			風前の漁火							
どちらであっても、私たち漁師の力じゃ、とてもじゃないけど太刀打ちできないわ……。			どちらであっても、私たち漁師の力じゃ、とてもじゃないけど太刀打ちできないわ……。			風前の漁火							
ヨツユが追い払うまでは、この村にも海賊衆の見張小屋が置かれ、困ったときには、その力を借りることもできたんじゃが……。			ヨツユが追い払うまでは、この村にも海賊衆の見張小屋が置かれ、困ったときには、その力を借りることもできたんじゃが……。			風前の漁火							
それなら、今回も海賊衆の力を借りてみたらどう？オノコロ島まで船を出して、頼みに行けば……！			それなら、今回も海賊衆の力を借りてみたらどう？オノコロ島まで船を出して、頼みに行けば……！			風前の漁火							
うーむ、どう頼んだものか……。帝国軍が海賊衆を追い払おうとしたとき、わしらは、止めもしなかった不義理者でもある……。			うーむ、どう頼んだものか……。帝国軍が海賊衆を追い払おうとしたとき、わしらは、止めもしなかった不義理者でもある……。			風前の漁火							
なあ、恩人殿は、帝国軍と戦っているんだろう？だったら、この村からヨツユたちを蹴散らした海賊衆と、知り合いだったりしないのか？			なあ、恩人殿は、帝国軍と戦っているんだろう？だったら、この村からヨツユたちを蹴散らした海賊衆と、知り合いだったりしないのか？			風前の漁火							
海賊衆に知り合いはいる？			海賊衆に知り合いはいる？			風前の漁火							
ツキカゲという名の海賊衆を知っている			ツキカゲという名の海賊衆を知っている			風前の漁火							
…………			…………			風前の漁火							
ツキカゲ殿……。海賊衆の勘定方じゃな？この村の見張小屋にも、帆別銭の徴収でよう来とったぞ。			ツキカゲ殿……。海賊衆の勘定方じゃな？この村の見張小屋にも、帆別銭の徴収でよう来とったぞ。			風前の漁火							
訪れる度に、干物やら何やらを買ってくれてな。イサリ村のことを、とても大切にしてくれておったものだ。……うむ、ツキカゲ殿を頼ってみるのもいいかもしれん。			訪れる度に、干物やら何やらを買ってくれてな。イサリ村のことを、とても大切にしてくれておったものだ。……うむ、ツキカゲ殿を頼ってみるのもいいかもしれん。			風前の漁火							
よし、それじゃあ、恩人殿！その「ツキカゲ」っていう海賊衆を、紹介してくれ！俺が事情を説明して、協力を依頼してみるからよ！			よし、それじゃあ、恩人殿！その「ツキカゲ」っていう海賊衆を、紹介してくれ！俺が事情を説明して、協力を依頼してみるからよ！			風前の漁火							
ふむ、その顔は知り合いが多すぎて、困っておるのじゃな？であれば、海賊衆の勘定方ツキカゲ殿に繋ぎを付けてもらいたい。この村の見張小屋にも、帆別銭の徴収でようきとってな。			ふむ、その顔は知り合いが多すぎて、困っておるのじゃな？であれば、海賊衆の勘定方ツキカゲ殿に繋ぎを付けてもらいたい。この村の見張小屋にも、帆別銭の徴収でようきとってな。			風前の漁火							
訪れる度に、干物やら何やらを買ってくれてな。イサリ村のことを、とても大切にしてくれておったものだ。あの御仁であれば、我らの窮状を理解してくれるに違いない。			訪れる度に、干物やら何やらを買ってくれてな。イサリ村のことを、とても大切にしてくれておったものだ。あの御仁であれば、我らの窮状を理解してくれるに違いない。			風前の漁火							
よし、それじゃあ、恩人殿！その「ツキカゲ」っていう海賊衆を、紹介してくれ！俺が事情を説明して、協力を依頼してみるからよ！			よし、それじゃあ、恩人殿！その「ツキカゲ」っていう海賊衆を、紹介してくれ！俺が事情を説明して、協力を依頼してみるからよ！			風前の漁火							
Forenameさん、ナヨシをよろしくお願いします！			Forenameさん、ナヨシをよろしくお願いします！			風前の漁火							
海賊衆が、力を貸してくれるといいのだけど……。			海賊衆が、力を貸してくれるといいのだけど……。			風前の漁火							
海賊衆は、紅玉海を知り尽くしています。どうか、力を借りられるよう取り計らいを……。よろしくお願いいたします。			海賊衆は、紅玉海を知り尽くしています。どうか、力を借りられるよう取り計らいを……。よろしくお願いいたします。			風前の漁火							
み、見てくれ……消えちまった船に乗っていた、漁師のひとりが、ここにいたんだ！			み、見てくれ……消えちまった船に乗っていた、漁師のひとりが、ここにいたんだ！			風前の漁火							
東アルデナード商会との取引からの帰りに、海を漂っていた漁民を、ひとり拾いあげたのだ。なんでも、コウジン族に襲われたのだとか……。			東アルデナード商会との取引からの帰りに、海を漂っていた漁民を、ひとり拾いあげたのだ。なんでも、コウジン族に襲われたのだとか……。			風前の漁火							
Forename、また会えてうれしいぜ！最近、大きな仕事も任されるようになったんだ。			Forename、また会えてうれしいぜ！最近、大きな仕事も任されるようになったんだ。			風前の漁火							
おお、アンタまで来てくれたのか。漂流した俺らのために、ふたりも駆けつけてくれるとは、ありがたい話だ。			おお、アンタまで来てくれたのか。漂流した俺らのために、ふたりも駆けつけてくれるとは、ありがたい話だ。			風前の漁火							
Forename殿、息災か？漁師といっしょに来るとは、なにごとじゃ？			Forename殿、息災か？漁師といっしょに来るとは、なにごとじゃ？			風前の漁火							
お、俺は、イサリ村のナヨシ。恩人殿に、勘定方のツキカゲ殿を、紹介してもらうつもりで、来たんだ。			お、俺は、イサリ村のナヨシ。恩人殿に、勘定方のツキカゲ殿を、紹介してもらうつもりで、来たんだ。			風前の漁火							
漁に出たまま帰らない船の捜索に、力を借りたいと思ってな。だが、来てみて驚いた……すでに仲間をひとり、助けてくれていたとは！			漁に出たまま帰らない船の捜索に、力を借りたいと思ってな。だが、来てみて驚いた……すでに仲間をひとり、助けてくれていたとは！			風前の漁火							
東アルデナード商会との取引の帰りに拾ったんだ。海を眺めてたら、溺れかけている男を見つけてな。慌てて引き上げて、島に連れて来たところさ。			東アルデナード商会との取引の帰りに拾ったんだ。海を眺めてたら、溺れかけている男を見つけてな。慌てて引き上げて、島に連れて来たところさ。			風前の漁火							
ありがてえ、ありがてえ……。漁火漁の成果は、目を見張るほどだった……。だが、漁火が引き寄せたのは魚だけじゃなかったのさ……！			ありがてえ、ありがてえ……。漁火漁の成果は、目を見張るほどだった……。だが、漁火が引き寄せたのは魚だけじゃなかったのさ……！			風前の漁火							
灯りを見つけた紅甲羅のコウジン族が襲ってきてな。俺は、とっさに海に飛び込んで逃げおおせたんだが、ほかの奴らは、獄之蓋に連れて行かれちまった。			灯りを見つけた紅甲羅のコウジン族が襲ってきてな。俺は、とっさに海に飛び込んで逃げおおせたんだが、ほかの奴らは、獄之蓋に連れて行かれちまった。			風前の漁火							
近頃は、海賊衆が弱腰だったのを良いことに、紅甲羅のコウジン族が、強気に出ていたからな……。護衛なしに漁火を焚けば、奴らに襲われても仕方ない……。			近頃は、海賊衆が弱腰だったのを良いことに、紅甲羅のコウジン族が、強気に出ていたからな……。護衛なしに漁火を焚けば、奴らに襲われても仕方ない……。			風前の漁火							
紅甲羅に囚われた村人を助けに行きたい。どうか、海賊衆の力を貸してくれ！			紅甲羅に囚われた村人を助けに行きたい。どうか、海賊衆の力を貸してくれ！			風前の漁火							
海の治安を守るのは海賊衆の役目、もとよりそのつもりじゃ。その上、恩を受けたForename殿の知人とあらば、全面的に力を貸すしかあるまい。			海の治安を守るのは海賊衆の役目、もとよりそのつもりじゃ。その上、恩を受けたForename殿の知人とあらば、全面的に力を貸すしかあるまい。			風前の漁火							
おお、頼もしいお言葉、感謝するぜ！恩人殿のおかげだな！			おお、頼もしいお言葉、感謝するぜ！恩人殿のおかげだな！			風前の漁火							
サカズキ島の連中からの知らせによると、獄之蓋に、かなりのコウジン族が集まってるそうです。救助は、至難の業かもしれません……。			サカズキ島の連中からの知らせによると、獄之蓋に、かなりのコウジン族が集まってるそうです。救助は、至難の業かもしれません……。			風前の漁火							
うーむ、監視の目をそらす必要があるな。手っ取り早いのは、ゼッキ島でひと騒ぎ起こす陽動作戦じゃが……。			うーむ、監視の目をそらす必要があるな。手っ取り早いのは、ゼッキ島でひと騒ぎ起こす陽動作戦じゃが……。			風前の漁火							
ゼッキ島ってのは、紅甲羅の根拠地ですよね？あそこには海底洞窟を通じなきゃ、入れないんじゃ……？			ゼッキ島ってのは、紅甲羅の根拠地ですよね？あそこには海底洞窟を通じなきゃ、入れないんじゃ……？			風前の漁火							
あ！Forename殿は、潜水ができる！上手くすれば、ゼッキ島にも忍び込めるんじゃないか？			あ！Forename殿は、潜水ができる！上手くすれば、ゼッキ島にも忍び込めるんじゃないか？			風前の漁火							
なに、それは真か？ならば、Forename殿には、ゼッキ島に潜入し、ひと暴れしてもらいたい。			なに、それは真か？ならば、Forename殿には、ゼッキ島に潜入し、ひと暴れしてもらいたい。			風前の漁火							
獄之蓋の方は、わしとスズメが引き受ける。ハンサクは、救助した村人を速やかに搬送できるよう、海上にて船で待機じゃ。			獄之蓋の方は、わしとスズメが引き受ける。ハンサクは、救助した村人を速やかに搬送できるよう、海上にて船で待機じゃ。			風前の漁火							
(-スズメとハンサク-)合点承知！！			(-スズメとハンサク-)合点承知！！			風前の漁火							
ナヨシも、わしらに同行してもらえるか？知った顔があれば、助け出された村人たちも、少しは安心するじゃろうからな。			ナヨシも、わしらに同行してもらえるか？知った顔があれば、助け出された村人たちも、少しは安心するじゃろうからな。			風前の漁火							
もちろんだ！			もちろんだ！			風前の漁火							
じゃあ、俺は村に戻り、状況を知らせておくぜ。皆、心配しているだろうからな。			じゃあ、俺は村に戻り、状況を知らせておくぜ。皆、心配しているだろうからな。			風前の漁火							
ゼッキ島では、この「海賊衆の爆竹」を使って、紅甲羅の目を引きつけて、ぶちのめしてくれ。その後は、「獄之蓋」で合流といこう。			ゼッキ島では、この「海賊衆の爆竹」を使って、紅甲羅の目を引きつけて、ぶちのめしてくれ。その後は、「獄之蓋」で合流といこう。			風前の漁火							
曲者だァー			曲者だァー			風前の漁火							
であえェーであえェー！			であえェーであえェー！			風前の漁火							
Forename殿、いいところに駆けつけてくれた、感謝する。			Forename殿、いいところに駆けつけてくれた、感謝する。			風前の漁火							
村人は、ナヨシとスズメが助け出した。だが、コウジン族の別動隊と鉢合わせてしまってのう。わしが殿(しんがり)を務めたものの、多勢に無勢でこのザマじゃ。			村人は、ナヨシとスズメが助け出した。だが、コウジン族の別動隊と鉢合わせてしまってのう。わしが殿(しんがり)を務めたものの、多勢に無勢でこのザマじゃ。			風前の漁火							
ひと昔前なら、あの程度の数、物ともしなかったんじゃが……。歳は、取りたくないもんじゃのう。			ひと昔前なら、あの程度の数、物ともしなかったんじゃが……。歳は、取りたくないもんじゃのう。			風前の漁火							
さて、皆が我らを待ちわびているはずじゃ。急ぎ、イサリ村へ向かうとしよう。			さて、皆が我らを待ちわびているはずじゃ。急ぎ、イサリ村へ向かうとしよう。			風前の漁火							
ナヨシが、お前さんの帰りを待ちわびておるぞ。			ナヨシが、お前さんの帰りを待ちわびておるぞ。			風前の漁火							
親分に助太刀してくれたそうだな。ありがとよ！			親分に助太刀してくれたそうだな。ありがとよ！			風前の漁火							
心配したぜ！敵地潜入も難なくこなしちまうなんて、さすがだな。俺、アンタのような凄腕を目指すって決めたぜ！			心配したぜ！敵地潜入も難なくこなしちまうなんて、さすがだな。俺、アンタのような凄腕を目指すって決めたぜ！			風前の漁火							
よくぞ、ご無事で。おかげさまで、囚われた村人も全員無事でした。ツキカゲ殿とも、また会えて、感慨深いですじゃ。			よくぞ、ご無事で。おかげさまで、囚われた村人も全員無事でした。ツキカゲ殿とも、また会えて、感慨深いですじゃ。			風前の漁火							
危険な役目を果たしてくれて、ありがとうございます。それにしても襲撃されたのが漁火のせいだとすると、これから漁はどうなるのかしら……？			危険な役目を果たしてくれて、ありがとうございます。それにしても襲撃されたのが漁火のせいだとすると、これから漁はどうなるのかしら……？			風前の漁火							
お帰りなさい、無事でよかった。おかげさまで、仲間も全員無事戻ってきた！アンタは、ナヨシだけじゃなく、村の恩人様だ！！			お帰りなさい、無事でよかった。おかげさまで、仲間も全員無事戻ってきた！アンタは、ナヨシだけじゃなく、村の恩人様だ！！			風前の漁火							
おお、Forename殿の御帰還だ！おかげさまで、全員、無事に助け出せたぜ！今は、大事をとって、家で休んでもらってる。			おお、Forename殿の御帰還だ！おかげさまで、全員、無事に助け出せたぜ！今は、大事をとって、家で休んでもらってる。			風前の漁火							
Forename殿、海賊衆の皆さん、今回は、大変世話になりました。村を代表して、礼を言わせていただきます。			Forename殿、海賊衆の皆さん、今回は、大変世話になりました。村を代表して、礼を言わせていただきます。			風前の漁火							
漁火のせいで紅甲羅のコウジン族に狙われてしまうとなると、漁火漁は諦めるしかないの……？			漁火のせいで紅甲羅のコウジン族に狙われてしまうとなると、漁火漁は諦めるしかないの……？			風前の漁火							
その件について、ひとつ提案がある。ナヨシから聞いたが、漁火漁を始めたのは、魚油を大量に確保できるようになったからだそうじゃな？			その件について、ひとつ提案がある。ナヨシから聞いたが、漁火漁を始めたのは、魚油を大量に確保できるようになったからだそうじゃな？			風前の漁火							
はい、ナヨシの手柄だったのですが……これで、振出しに戻ってしまいました……。			はい、ナヨシの手柄だったのですが……これで、振出しに戻ってしまいました……。			風前の漁火							
その魚油の一部を、わしらにも提供してもらえんか？見返りに、漁火漁の船の安全は海賊衆が保証するよう、海賊衆頭領のラショウ様に、話をつけておこう。			その魚油の一部を、わしらにも提供してもらえんか？見返りに、漁火漁の船の安全は海賊衆が保証するよう、海賊衆頭領のラショウ様に、話をつけておこう。			風前の漁火							
ほ、本当によろしいのですか？海賊衆の力を借りられるならば、心強い！			ほ、本当によろしいのですか？海賊衆の力を借りられるならば、心強い！			風前の漁火							
さらに、釣られたハリセンボムを仕留めるために、うちの若い連中を貸そう。魚油の確保は、われらにとっても課題なのでな。			さらに、釣られたハリセンボムを仕留めるために、うちの若い連中を貸そう。魚油の確保は、われらにとっても課題なのでな。			風前の漁火							
そんなんでいいなら、お安い御用だ！海賊衆がついてくれるなら、心置きなく、釣って釣って、釣りまくってやるぜ！！			そんなんでいいなら、お安い御用だ！海賊衆がついてくれるなら、心置きなく、釣って釣って、釣りまくってやるぜ！！			風前の漁火							
では、契約成立だな。力を合わせ、苦境に立ち向かい、乗り越えていこう。			では、契約成立だな。力を合わせ、苦境に立ち向かい、乗り越えていこう。			風前の漁火							
Forename殿、まさか海賊衆が協力してくれるなんて！村人を指南してもらう手間も、省けたってもんさ！			Forename殿、まさか海賊衆が協力してくれるなんて！村人を指南してもらう手間も、省けたってもんさ！			風前の漁火							
わしらも、よう世話になった。おかげで海賊衆の懐にも未来にも、明るい兆しが見えてきた。なにより、お前さんと出会えたことが至高の宝じゃ。			わしらも、よう世話になった。おかげで海賊衆の懐にも未来にも、明るい兆しが見えてきた。なにより、お前さんと出会えたことが至高の宝じゃ。			風前の漁火							
これは、わしらからの餞別じゃ。お前さんのさらなる活躍と幸運を祈っておる。互いに、人生のよい航海を続けていこう！			これは、わしらからの餞別じゃ。お前さんのさらなる活躍と幸運を祈っておる。互いに、人生のよい航海を続けていこう！			風前の漁火							
イサリ村のナヨシは、打ち明けたいことがあるようだ。			イサリ村のナヨシは、打ち明けたいことがあるようだ。			希望のイサリ							
ナヨシは村を出ていくという。礼を受け取るため、イサリ村の「ナヨシ」と話そう。			ナヨシは村を出ていくという。礼を受け取るため、イサリ村の「ナヨシ」と話そう。			希望のイサリ							
ナヨシと話していたところ、コルリが溺れたという報せが入った。コルリの様子を確認するため、コルリが運び込まれた小屋の前にいる「ナヨシ」と合流しよう。			ナヨシと話していたところ、コルリが溺れたという報せが入った。コルリの様子を確認するため、コルリが運び込まれた小屋の前にいる「ナヨシ」と合流しよう。			希望のイサリ							
ナヨシと合流して、コルリの様子を確認した。コルリの体温を下げないために、燃料が必要なようだ。イサリ村の北にいる「ナヨシ」と合流して、ナヨシが釣り上げた「釣られたハリセンボム」を討伐し、「ハリセンボムの脂」を入手しよう。			ナヨシと合流して、コルリの様子を確認した。コルリの体温を下げないために、燃料が必要なようだ。イサリ村の北にいる「ナヨシ」と合流して、ナヨシが釣り上げた「釣られたハリセンボム」を討伐し、「ハリセンボムの脂」を入手しよう。			希望のイサリ							
釣られたハリセンボムを討伐してハリセンボムの脂を入手した。「ナヨシ」と話そう。			釣られたハリセンボムを討伐してハリセンボムの脂を入手した。「ナヨシ」と話そう。			希望のイサリ							
ナヨシと話した。イサリ村の「気の利く海女」に「ハリセンボムの脂」を渡そう。			ナヨシと話した。イサリ村の「気の利く海女」に「ハリセンボムの脂」を渡そう。			希望のイサリ							
気の利く海女にハリセンボムの脂を渡した。おかげで、コルリは一命を取り留めた。イサリ村の「コルリ」と話そう。			気の利く海女にハリセンボムの脂を渡した。おかげで、コルリは一命を取り留めた。イサリ村の「コルリ」と話そう。			希望のイサリ							
コルリと話した。ハリセンボムの脂を漁火漁に利用することになり、ナヨシは早速、漁に出かけた。長年夢見た目標を達成したナヨシは、ますます釣りに励むことだろう。			コルリと話した。ハリセンボムの脂を漁火漁に利用することになり、ナヨシは早速、漁に出かけた。長年夢見た目標を達成したナヨシは、ますます釣りに励むことだろう。			希望のイサリ							
ナヨシと話す			ナヨシと話す			希望のイサリ							
ナヨシと合流			ナヨシと合流			希望のイサリ							
ナヨシと合流して釣られたハリセンボムを討伐しハリセンボムの脂を入手			ナヨシと合流して釣られたハリセンボムを討伐しハリセンボムの脂を入手			希望のイサリ							
ナヨシと話す			ナヨシと話す			希望のイサリ							
