剣術士ギルドのルルツが、冒険者に耳寄りな情報を教えたいようだ。			剣術士ギルドのルルツが、冒険者に耳寄りな情報を教えたいようだ。			自由騎士の誓約							
闘技会の観戦受付に話しかけ、ウル王杯闘技会のナル・ブロックの各試合を観戦した。激闘を繰り広げた選手たちを労うため、コロセウムの「フランツ」と「コンスタン」と話そう。			闘技会の観戦受付に話しかけ、ウル王杯闘技会のナル・ブロックの各試合を観戦した。激闘を繰り広げた選手たちを労うため、コロセウムの「フランツ」と「コンスタン」と話そう。			ナル・ブロックの激闘							
フランツとコンスタンと話した。激闘を称えるため、剣術士ギルドの「ミラ」と話そう。			フランツとコンスタンと話した。激闘を称えるため、剣術士ギルドの「ミラ」と話そう。			ナル・ブロックの激闘							
ミラと話した。謎に包まれた男、ブラック・ロータスが冒険者と話をしたいと言っていたようだ。ウルダハのクイックサンドにある「指定地点」で待機しよう。			ミラと話した。謎に包まれた男、ブラック・ロータスが冒険者と話をしたいと言っていたようだ。ウルダハのクイックサンドにある「指定地点」で待機しよう。			ナル・ブロックの激闘							
指定地点で待機していると、ブラック・ロータスが口論をしている現場に遭遇した。用件があったが、また今度にしてほしいと語るブラック・ロータス。剣術士ギルドの「ミラ」に、事の経緯を報告しよう。			指定地点で待機していると、ブラック・ロータスが口論をしている現場に遭遇した。用件があったが、また今度にしてほしいと語るブラック・ロータス。剣術士ギルドの「ミラ」に、事の経緯を報告しよう。			ナル・ブロックの激闘							
ミラに報告した。どんな用件だったかはわからないままだが、ブラック・ロータスとの決勝戦まで、準備を整えておくとしよう。※ナイトのレベルが68以上になると、剣術士ギルドのミラから次のナイトクエストを受注することができます。			ミラに報告した。どんな用件だったかはわからないままだが、ブラック・ロータスとの決勝戦まで、準備を整えておくとしよう。※ナイトのレベルが68以上になると、剣術士ギルドのミラから次のナイトクエストを受注することができます。			ナル・ブロックの激闘							
コロセウムの闘技会の観戦受付と話す			コロセウムの闘技会の観戦受付と話す			ナル・ブロックの激闘							
フランツと話す			フランツと話す			ナル・ブロックの激闘							
コンスタンと話す			コンスタンと話す			ナル・ブロックの激闘							
ミラと話す			ミラと話す			ナル・ブロックの激闘							
クイックサンドの指定地点で待機する			クイックサンドの指定地点で待機する			ナル・ブロックの激闘							
剣術士ギルドのミラに報告			剣術士ギルドのミラに報告			ナル・ブロックの激闘							
Forenameじゃないか。この間、話をしたナル・ブロックの試合がいよいよ始まるんだ。			Forenameじゃないか。この間、話をしたナル・ブロックの試合がいよいよ始まるんだ。			ナル・ブロックの激闘							
ここを勝ち上がった者と決勝戦で戦うことになるから、観戦しておくのがいいだろう。			ここを勝ち上がった者と決勝戦で戦うことになるから、観戦しておくのがいいだろう。			ナル・ブロックの激闘							
……さて、そろそろ試合に向けた準備に入るとする。観戦するには、剣術士ギルドを出てすぐのところにいる、「闘技会の観戦受付」に声をかければいいぞ。			……さて、そろそろ試合に向けた準備に入るとする。観戦するには、剣術士ギルドを出てすぐのところにいる、「闘技会の観戦受付」に声をかければいいぞ。			ナル・ブロックの激闘							
さて、そろそろ試合に向けた準備に入るとする。観戦するには、剣術士ギルドを出てすぐのところにいる、「闘技会の観戦受付」に声をかければいいぞ。			さて、そろそろ試合に向けた準備に入るとする。観戦するには、剣術士ギルドを出てすぐのところにいる、「闘技会の観戦受付」に声をかければいいぞ。			ナル・ブロックの激闘							
ナル・ブロックの試合を観戦されますか？			ナル・ブロックの試合を観戦されますか？			ナル・ブロックの激闘							
試合を観戦しますか？			試合を観戦しますか？			ナル・ブロックの激闘							
さぁ、いよいよ次はナル・ブロックの最終戦だ！試合が始まるまで、これまでの結果を振り返るとしよう！			さぁ、いよいよ次はナル・ブロックの最終戦だ！試合が始まるまで、これまでの結果を振り返るとしよう！			ナル・ブロックの激闘							
まずは、人気剣闘士「麗しの剣士 フランツ」と、イシュガルド出身の自由騎士、コンスタンの一戦からだ！			まずは、人気剣闘士「麗しの剣士 フランツ」と、イシュガルド出身の自由騎士、コンスタンの一戦からだ！			ナル・ブロックの激闘							
前評判では、フランツが優勢という見方だったのですが、コンスタン選手の、若さ溢れる勇猛果敢な一撃が炸裂！予想を覆す結果となった一戦でした！			前評判では、フランツが優勢という見方だったのですが、コンスタン選手の、若さ溢れる勇猛果敢な一撃が炸裂！予想を覆す結果となった一戦でした！			ナル・ブロックの激闘							
そんな、番狂わせのコンスタン選手の次の相手は、順当に勝ち進んできた剣術士ギルドマスター、ミラ選手だったわけですが……。			そんな、番狂わせのコンスタン選手の次の相手は、順当に勝ち進んできた剣術士ギルドマスター、ミラ選手だったわけですが……。			ナル・ブロックの激闘							
1回戦での疲れが残っていたのでしょうか、いまひとつ精彩を欠いていたコンスタン選手に対し、ミラ選手は、堅実な剣さばきで対抗……。			1回戦での疲れが残っていたのでしょうか、いまひとつ精彩を欠いていたコンスタン選手に対し、ミラ選手は、堅実な剣さばきで対抗……。			ナル・ブロックの激闘							
中盤以降は、経験の差が如実に出た形となり、ミラ選手がペースを掴んだまま、勝利を収めました！			中盤以降は、経験の差が如実に出た形となり、ミラ選手がペースを掴んだまま、勝利を収めました！			ナル・ブロックの激闘							
さて、いよいよ準備が整ったようだ！ナル・ブロックの最終戦は、剣術士ギルドマスターのミラと、謎に包まれた男、ブラック・ロータスの一戦だ！			さて、いよいよ準備が整ったようだ！ナル・ブロックの最終戦は、剣術士ギルドマスターのミラと、謎に包まれた男、ブラック・ロータスの一戦だ！			ナル・ブロックの激闘							
最終戦を勝利したのは、謎に包まれた男、「ブラック・ロータス」でした！			最終戦を勝利したのは、謎に包まれた男、「ブラック・ロータス」でした！			ナル・ブロックの激闘							
剣術士ギルドマスター、さすがの腕前だったのですが、相手の見事なカウンターが決まり、勝負あり、といった試合でしたね！			剣術士ギルドマスター、さすがの腕前だったのですが、相手の見事なカウンターが決まり、勝負あり、といった試合でしたね！			ナル・ブロックの激闘							
あぁ！まるで、かつての「ナルの剣」を思い出させるような、華麗な反撃だったぜ！			あぁ！まるで、かつての「ナルの剣」を思い出させるような、華麗な反撃だったぜ！			ナル・ブロックの激闘							
そうでしたね！さて、これで決勝のカードが決まりました！			そうでしたね！さて、これで決勝のカードが決まりました！			ナル・ブロックの激闘							
「ウル王杯闘技会」の決勝戦は、Forenameとブラック・ロータスの戦いだ！大会の最後を飾る試合を、ぜひその目で見届けてくれよな！！			「ウル王杯闘技会」の決勝戦は、Forenameとブラック・ロータスの戦いだ！大会の最後を飾る試合を、ぜひその目で見届けてくれよな！！			ナル・ブロックの激闘							
お……おいおい！剣術士ギルドのミラが負けちまったぞ！？			お……おいおい！剣術士ギルドのミラが負けちまったぞ！？			ナル・ブロックの激闘							
くそッ、あの女……口ほどにもない……！			くそッ、あの女……口ほどにもない……！			ナル・ブロックの激闘							
どうするんだ！？あの、ブラック・ロータスとか言うヤツ、かなりやるじゃねぇか！			どうするんだ！？あの、ブラック・ロータスとか言うヤツ、かなりやるじゃねぇか！			ナル・ブロックの激闘							
も、もしも、無名のブラック・ロータスが、優勝するなんてことになったら、大穴中の大穴だ。とんでもない額の払い戻しになって、儲けるどころじゃ……。			も、もしも、無名のブラック・ロータスが、優勝するなんてことになったら、大穴中の大穴だ。とんでもない額の払い戻しになって、儲けるどころじゃ……。			ナル・ブロックの激闘							
そう焦るな、ブラック・ロータスとやらの弱みは調査済みだ。それどころか、すでに手も打ってある……。			そう焦るな、ブラック・ロータスとやらの弱みは調査済みだ。それどころか、すでに手も打ってある……。			ナル・ブロックの激闘							
ほ、本当か！？			ほ、本当か！？			ナル・ブロックの激闘							
もちろんだ。言うだろうよ、念には念をってな？			もちろんだ。言うだろうよ、念には念をってな？			ナル・ブロックの激闘							
ナル・ブロックの試合も、激闘ばかりでしたね！			ナル・ブロックの試合も、激闘ばかりでしたね！			ナル・ブロックの激闘							
ブラック・ロータスとかいうやつ、強かったな……！			ブラック・ロータスとかいうやつ、強かったな……！			ナル・ブロックの激闘							
くっ、あんなに強くて美しいやつが、イシュガルドにいたとはな……。俺も、もっと成長しないといけないということだな。			くっ、あんなに強くて美しいやつが、イシュガルドにいたとはな……。俺も、もっと成長しないといけないということだな。			ナル・ブロックの激闘							
そういえば、直接戦うことはなかったが、あのブラック・ロータスとか言うヤツ、どこかで見たことがあるような……気のせいだろうか？			そういえば、直接戦うことはなかったが、あのブラック・ロータスとか言うヤツ、どこかで見たことがあるような……気のせいだろうか？			ナル・ブロックの激闘							
ミラさんの動きは、基本に忠実だからこそ堅実で、攻め所を見つけることができませんでした……。剣術士ギルドを背負って立つだけはあります。			ミラさんの動きは、基本に忠実だからこそ堅実で、攻め所を見つけることができませんでした……。剣術士ギルドを背負って立つだけはあります。			ナル・ブロックの激闘							
姉さん兄さんは、決勝戦に出場されるんですよね？優勝を掴めるよう、応援しますね！			姉さん兄さんは、決勝戦に出場されるんですよね？優勝を掴めるよう、応援しますね！			ナル・ブロックの激闘							
ブラック・ロータスとかいうヤツ、技量、力、素早さ、すべてが私より一枚上手だった。あの荒々しい戦い方、どこかあいつに似ていたが……。			ブラック・ロータスとかいうヤツ、技量、力、素早さ、すべてが私より一枚上手だった。あの荒々しい戦い方、どこかあいつに似ていたが……。			ナル・ブロックの激闘							
まぁいい……敗者として、素直に勝者を褒め称えよう。Forenameと決勝で戦えないのは残念だが、剣術士ギルドの一員として、私の分まで奮戦してくれ！			まぁいい……敗者として、素直に勝者を褒め称えよう。Forenameと決勝で戦えないのは残念だが、剣術士ギルドの一員として、私の分まで奮戦してくれ！			ナル・ブロックの激闘							
そういえば、試合後にブラック・ロータスから、お前に話がしたいと伝えてくれと、頼まれてな……。ヤツとは知り合いだったのか……？			そういえば、試合後にブラック・ロータスから、お前に話がしたいと伝えてくれと、頼まれてな……。ヤツとは知り合いだったのか……？			ナル・ブロックの激闘							
「クイックサンド」で待っている、と言っていたから、時間があったら、行ってみてやってくれ。			「クイックサンド」で待っている、と言っていたから、時間があったら、行ってみてやってくれ。			ナル・ブロックの激闘							
なんでもブラック・ロータスが、お前に話があるそうだぞ。「クイックサンド」で待っている、と言っていたから、時間があったら、行ってみてやってくれ。			なんでもブラック・ロータスが、お前に話があるそうだぞ。「クイックサンド」で待っている、と言っていたから、時間があったら、行ってみてやってくれ。			ナル・ブロックの激闘							
なんだ、お前は？ケガしたくなかったら、とっとと俺の前から消え失せな……。			なんだ、お前は？ケガしたくなかったら、とっとと俺の前から消え失せな……。			ナル・ブロックの激闘							
いくら脅したって無駄だぜ。どんなことをされようが、俺は引かねェぞ？			いくら脅したって無駄だぜ。どんなことをされようが、俺は引かねェぞ？			ナル・ブロックの激闘							
そうかいそうかい、ひっひっひ……。そうだ、ひとつ大事な話があるんだ……。			そうかいそうかい、ひっひっひ……。そうだ、ひとつ大事な話があるんだ……。			ナル・ブロックの激闘							
お前ッ……！			お前ッ……！			ナル・ブロックの激闘							
どうするかは、お前さんに任せるぜ？ひっひっひ……。			どうするかは、お前さんに任せるぜ？ひっひっひ……。			ナル・ブロックの激闘							
よぉ……今のを見てたか？なんでもねェ、気にしないでくれ。			よぉ……今のを見てたか？なんでもねェ、気にしないでくれ。			ナル・ブロックの激闘							
話したいことがあったんだが、また今度でいいか？呼んだのにすまないが……。			話したいことがあったんだが、また今度でいいか？呼んだのにすまないが……。			ナル・ブロックの激闘							
話したいことがあったんだが、また今度でいいか？呼んだのにすまないが……。			話したいことがあったんだが、また今度でいいか？呼んだのにすまないが……。			ナル・ブロックの激闘							
どうだい、ブラック・ロータスには会えたかい？			どうだい、ブラック・ロータスには会えたかい？			ナル・ブロックの激闘							
ふぅん、いったい何の用だったんだか……。ともかく、ブラック・ロータスとの決勝戦を、楽しみにさせてもらうとするよ。			ふぅん、いったい何の用だったんだか……。ともかく、ブラック・ロータスとの決勝戦を、楽しみにさせてもらうとするよ。			ナル・ブロックの激闘							
良い試合になることと、Forenameの勝利を祈っているよ。私の分も頑張ってほしい！			良い試合になることと、Forenameの勝利を祈っているよ。私の分も頑張ってほしい！			ナル・ブロックの激闘							
ファルコンネストのコンスタンは、ソルクザギルの新たな情報を掴んだようだ。			ファルコンネストのコンスタンは、ソルクザギルの新たな情報を掴んだようだ。			ソウルクリスタル							
コンスタンによると、グリモルドという人物が、ソルクザギルの新たな情報を持っているそうだ。高地ドラヴァニアのテイルフェザーにいる「グリモルド」と話そう。			コンスタンによると、グリモルドという人物が、ソルクザギルの新たな情報を持っているそうだ。高地ドラヴァニアのテイルフェザーにいる「グリモルド」と話そう。			ソウルクリスタル							
グリモルドの持つ情報は、遅れて届いたソルクザギルの手紙だった。その中には、コンスタンを北の滝へ向かわせるよう書いてあったらしい。高地ドラヴァニアの悲嘆の飛泉付近にいる「コンスタン」と話そう。			グリモルドの持つ情報は、遅れて届いたソルクザギルの手紙だった。その中には、コンスタンを北の滝へ向かわせるよう書いてあったらしい。高地ドラヴァニアの悲嘆の飛泉付近にいる「コンスタン」と話そう。			ソウルクリスタル							
コンスタンと話した。悲嘆の飛泉の周辺を捜索してみよう。			コンスタンと話した。悲嘆の飛泉の周辺を捜索してみよう。			ソウルクリスタル							
ソウルクリスタルと銀冑団向けの脚衣を収めた謎めいた木箱を発見した。コンスタンは、ソルクザギルの墓参りをしながら、一連の出来事について考えてみるという。クルザス西部高地のキャンプ・リバーズミート付近にいる「コンスタン」と話そう。			ソウルクリスタルと銀冑団向けの脚衣を収めた謎めいた木箱を発見した。コンスタンは、ソルクザギルの墓参りをしながら、一連の出来事について考えてみるという。クルザス西部高地のキャンプ・リバーズミート付近にいる「コンスタン」と話そう。			ソウルクリスタル							
パパシャンから状況を聞いてやってきたジェンリンスと、コンスタン、冒険者の3人は、ジェンリンスのソウルクリスタルから放たれた光を、冒険者のソウルクリスタルが吸収したのを見た。ソウルクリスタルの発光現象に、3人を見ていたルガディン族の男、そしてソルクザギルの意図。聖剣を取り巻く謎は、深まっていくのだった……。※ナイトのレベルが58以上になると、キャンプ・リバーズミート付近のコンスタンから次のナイトクエストを受注することができます。			パパシャンから状況を聞いてやってきたジェンリンスと、コンスタン、冒険者の3人は、ジェンリンスのソウルクリスタルから放たれた光を、冒険者のソウルクリスタルが吸収したのを見た。ソウルクリスタルの発光現象に、3人を見ていたルガディン族の男、そしてソルクザギルの意図。聖剣を取り巻く謎は、深まっていくのだった……。※ナイトのレベルが58以上になると、キャンプ・リバーズミート付近のコンスタンから次のナイトクエストを受注することができます。			ソウルクリスタル							
テイルフェザーのグリモルドと話す			テイルフェザーのグリモルドと話す			ソウルクリスタル							
コンスタンと話す			コンスタンと話す			ソウルクリスタル							
周辺を捜索する			周辺を捜索する			ソウルクリスタル							
コンスタンと話す			コンスタンと話す			ソウルクリスタル							
姉さん兄さん、ちょうどいいところに！高地ドラヴァニアにいる知り合いから、ソルクザギルさんについての情報があると連絡が来たのです。			姉さん兄さん、ちょうどいいところに！高地ドラヴァニアにいる知り合いから、ソルクザギルさんについての情報があると連絡が来たのです。			ソウルクリスタル							
「聖剣」の手がかりが途絶えた今、何かきっかけになるかも……。「テイルフェザー」に行って、話を聞いてみましょう。出稼ぎ猟師の「グリモルド」さんという方です。			「聖剣」の手がかりが途絶えた今、何かきっかけになるかも……。「テイルフェザー」に行って、話を聞いてみましょう。出稼ぎ猟師の「グリモルド」さんという方です。			ソウルクリスタル							
「グリモルド」さんの話を聞いてみましょう。			「グリモルド」さんの話を聞いてみましょう。			ソウルクリスタル							
よう、コンスタン！久しぶりだな、元気だったかい。お前さんに伝えたいことがあってよ。			よう、コンスタン！久しぶりだな、元気だったかい。お前さんに伝えたいことがあってよ。			ソウルクリスタル							
先ごろ届いた荷物に、ソルクザギルからの手紙が入っていたんだ。……どうやら、ずいぶんと前に書かれたもののようだが、配送が滞っていたのだろう。			先ごろ届いた荷物に、ソルクザギルからの手紙が入っていたんだ。……どうやら、ずいぶんと前に書かれたもののようだが、配送が滞っていたのだろう。			ソウルクリスタル							
クルザス西部高地に巣食っていた野盗がいなくなり、この集落への流通が増えてきたが……酒や食料に比べて、手紙なんかは輸送順位を下げられるからな。			クルザス西部高地に巣食っていた野盗がいなくなり、この集落への流通が増えてきたが……酒や食料に比べて、手紙なんかは輸送順位を下げられるからな。			ソウルクリスタル							
レターモーグリではなく荷物に紛れ込ませるとは、奴らしい古風な事をする。フン、ウルダハにいたころから変わってないぜ。			レターモーグリではなく荷物に紛れ込ませるとは、奴らしい古風な事をする。フン、ウルダハにいたころから変わってないぜ。			ソウルクリスタル							
……それでな、その手紙に書かれていたのさ。お前さんを、北の滝までよこすようにとな。			……それでな、その手紙に書かれていたのさ。お前さんを、北の滝までよこすようにとな。			ソウルクリスタル							
……僕を？			……僕を？			ソウルクリスタル							
ああ、目的は知らねぇが、あのソルクザギルが、わざわざ手紙で知らせてるんだ。何かあるんだろう、行ってみるといいさ。			ああ、目的は知らねぇが、あのソルクザギルが、わざわざ手紙で知らせてるんだ。何かあるんだろう、行ってみるといいさ。			ソウルクリスタル							
そうですね……。ありがとう、グリモルドさん。			そうですね……。ありがとう、グリモルドさん。			ソウルクリスタル							
姉さん兄さん……。いずれにせよ、「聖剣」の手がかりはこれしかありません。指定された場所に、行ってみましょう。			姉さん兄さん……。いずれにせよ、「聖剣」の手がかりはこれしかありません。指定された場所に、行ってみましょう。			ソウルクリスタル							
ソルクザギルの手紙に書かれていた場所は、北の滝だ。コンスタンをよろしくな。			ソルクザギルの手紙に書かれていた場所は、北の滝だ。コンスタンをよろしくな。			ソウルクリスタル							
ここに何が……。付近を調べてみましょう。			ここに何が……。付近を調べてみましょう。			ソウルクリスタル							
ここに何が……。付近を調べてみましょう。			ここに何が……。付近を調べてみましょう。			ソウルクリスタル							
それは、ソウルクリスタル……。「聖剣」と何かの関係があるのでしょうか？			それは、ソウルクリスタル……。「聖剣」と何かの関係があるのでしょうか？			ソウルクリスタル							
そして、銀冑団向けの脚衣まで……なぜここに、そんなものが……。			そして、銀冑団向けの脚衣まで……なぜここに、そんなものが……。			ソウルクリスタル							
……前回の手記といい、手紙の件といい、まるで、僕に回収するよう仕向けているように感じます。			……前回の手記といい、手紙の件といい、まるで、僕に回収するよう仕向けているように感じます。			ソウルクリスタル							
この手紙だって、グリモルドさんは古風だと言っていたけど、あえて遅れて届くようにしていた感じもするし……。……わかりません、なぜ、このような事をしているのか。			この手紙だって、グリモルドさんは古風だと言っていたけど、あえて遅れて届くようにしていた感じもするし……。……わかりません、なぜ、このような事をしているのか。			ソウルクリスタル							
……帰りましょう。僕は、ソルクザギルさんの墓参りに行って、少し考えてみます。			……帰りましょう。僕は、ソルクザギルさんの墓参りに行って、少し考えてみます。			ソウルクリスタル							
ソルクザギルさん……。あなたが残してくれた装備の数々……。			ソルクザギルさん……。あなたが残してくれた装備の数々……。			ソウルクリスタル							
自分への決意として、身につければ何かわかるかと思いましたが、結局は、何もわかりませんでした。……僕は……僕は、どうすればいいのですか。			自分への決意として、身につければ何かわかるかと思いましたが、結局は、何もわかりませんでした。……僕は……僕は、どうすればいいのですか。			ソウルクリスタル							
(-？？？？-)ソルクザギル様が死んだというのは、本当だったのだな……。			(-？？？？-)ソルクザギル様が死んだというのは、本当だったのだな……。			ソウルクリスタル							
パパシャン殿が今になって「見えざる毒尾」を調べていたため、不審に思い、状況を吐かせたのだ。			パパシャン殿が今になって「見えざる毒尾」を調べていたため、不審に思い、状況を吐かせたのだ。			ソウルクリスタル							
まさか、ソルクザギル様が奴らに殺されていたとは……。くそっ……。			まさか、ソルクザギル様が奴らに殺されていたとは……。くそっ……。			ソウルクリスタル							
こ、これは……いったい、何が起こったんだ……！？			こ、これは……いったい、何が起こったんだ……！？			ソウルクリスタル							
今の気配は……我々を見ていたようだったが……。			今の気配は……我々を見ていたようだったが……。			ソウルクリスタル							
パパシャン殿の調べで、聖剣「オウスキーパー」は、確かに「見えざる毒尾」が持っていたことがわかった。……ウルダハの混乱に乗じて、上手いこと調べてくれたようだ。			パパシャン殿の調べで、聖剣「オウスキーパー」は、確かに「見えざる毒尾」が持っていたことがわかった。……ウルダハの混乱に乗じて、上手いこと調べてくれたようだ。			ソウルクリスタル							
当時、共和派は「銀冑団」の一部を掌握し、聖剣「オウスキーパー」を持ちださせたようでな。……そして、後の混乱を生んだ。			当時、共和派は「銀冑団」の一部を掌握し、聖剣「オウスキーパー」を持ちださせたようでな。……そして、後の混乱を生んだ。			ソウルクリスタル							
裏切り者は、そのまま「見えざる毒尾」に合流している。ソルクザギル様が殺されたということは、彼は「聖剣」を奪取できたか、そこに近づけたことになるが……。			裏切り者は、そのまま「見えざる毒尾」に合流している。ソルクザギル様が殺されたということは、彼は「聖剣」を奪取できたか、そこに近づけたことになるが……。			ソウルクリスタル							
Forename、あとは任せた。ソウルクリスタルには、我々の知らぬ秘密があるようだ。その少年のことも、守ってやってくれ。			Forename、あとは任せた。ソウルクリスタルには、我々の知らぬ秘密があるようだ。その少年のことも、守ってやってくれ。			ソウルクリスタル							
……私はウルダハに帰り、先ほどのソウルクリスタルの発光現象の件を探る。			……私はウルダハに帰り、先ほどのソウルクリスタルの発光現象の件を探る。			ソウルクリスタル							
ソルクザギルさん……ソウルクリスタルとは、いったい何なのです。……あなたは、僕に何を求めているのです？			ソルクザギルさん……ソウルクリスタルとは、いったい何なのです。……あなたは、僕に何を求めているのです？			ソウルクリスタル							
剣術士ギルドのミラは、冒険者に伝えたいことがあるようだ。			剣術士ギルドのミラは、冒険者に伝えたいことがあるようだ。			いざ、決勝戦へ……							
ミラと話した。決勝戦が開始されるかと思いきや、ブラック・ロータスが突然の出場辞退を申し出たため、冒険者の不戦勝が決まったという。事態を整理するため、剣術士ギルドの「ミラ」と話そう。			ミラと話した。決勝戦が開始されるかと思いきや、ブラック・ロータスが突然の出場辞退を申し出たため、冒険者の不戦勝が決まったという。事態を整理するため、剣術士ギルドの「ミラ」と話そう。			いざ、決勝戦へ……							
ミラと話し、闘技会の観戦受付から事の経緯を聞いた。辞退の背後関係を調べることになった。剣術士ギルドにいる「闘技会の受付人」に話を聞こう。			ミラと話し、闘技会の観戦受付から事の経緯を聞いた。辞退の背後関係を調べることになった。剣術士ギルドにいる「闘技会の受付人」に話を聞こう。			いざ、決勝戦へ……							
闘技会の受付人に話を聞いた。ブラック・ロータスは、棄権の理由も告げず、パールレーンの方に去っていったという。ウルダハのパールレーン付近で「ブラック・ロータス」を探そう。			闘技会の受付人に話を聞いた。ブラック・ロータスは、棄権の理由も告げず、パールレーンの方に去っていったという。ウルダハのパールレーン付近で「ブラック・ロータス」を探そう。			いざ、決勝戦へ……							
ブラック・ロータスを見つけた。彼の正体はアルディスで、行きずりで助けた子どもを人質に囚われてしまい、脅されたために棄権したことがわかった。子どもを助けるため、「パールレーン」で市民に聞き込みをしよう。			ブラック・ロータスを見つけた。彼の正体はアルディスで、行きずりで助けた子どもを人質に囚われてしまい、脅されたために棄権したことがわかった。子どもを助けるため、「パールレーン」で市民に聞き込みをしよう。			いざ、決勝戦へ……							
市民に聞き込みをし、闇賭博をしている者たちの手下の在り処と合言葉を掴んだ。チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで『真実を疑え』と入力し、ウルダハのザル大門の「怪しげな男」に合言葉を言おう。			市民に聞き込みをし、闇賭博をしている者たちの手下の在り処と合言葉を掴んだ。チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで『真実を疑え』と入力し、ウルダハのザル大門の「怪しげな男」に合言葉を言おう。			いざ、決勝戦へ……							
怪しげな男に合言葉を伝え、子どもの居場所を突き止めた。中央ザナラーンの刺抜盆地で「荒々しい男」を探そう。			怪しげな男に合言葉を伝え、子どもの居場所を突き止めた。中央ザナラーンの刺抜盆地で「荒々しい男」を探そう。			いざ、決勝戦へ……							
荒々しい男を見つけたところ、襲ってきたので倒した。刺抜盆地の「小柄な少年」を救助しよう。			荒々しい男を見つけたところ、襲ってきたので倒した。刺抜盆地の「小柄な少年」を救助しよう。			いざ、決勝戦へ……							
小柄な少年を救助した。アルディスとミラが駆けつけ、今回の件を仕組んだ黒幕が、オッドという元傭兵であるという証拠を押さえたという。また、ミラは決勝戦のやり直しをコロセウム財団に提案するという。今後のことを聞くため、ウルダハの剣術士ギルドの「ミラ」と話そう。			小柄な少年を救助した。アルディスとミラが駆けつけ、今回の件を仕組んだ黒幕が、オッドという元傭兵であるという証拠を押さえたという。また、ミラは決勝戦のやり直しをコロセウム財団に提案するという。今後のことを聞くため、ウルダハの剣術士ギルドの「ミラ」と話そう。			いざ、決勝戦へ……							
ミラと話した。決勝戦の開催に向けて主催側に掛け合うが、少し時間がかかりそうだ。来たるべき決勝戦に向けて、腕を磨いておくとしよう。※ナイトのレベルが70以上になると、剣術士ギルドのミラから次のナイトクエストを受注することができます。			ミラと話した。決勝戦の開催に向けて主催側に掛け合うが、少し時間がかかりそうだ。来たるべき決勝戦に向けて、腕を磨いておくとしよう。※ナイトのレベルが70以上になると、剣術士ギルドのミラから次のナイトクエストを受注することができます。			いざ、決勝戦へ……							
剣術士ギルドのミラと話す			剣術士ギルドのミラと話す			いざ、決勝戦へ……							
闘技会の受付人と話す			闘技会の受付人と話す			いざ、決勝戦へ……							
ブラック・ロータスを探す			ブラック・ロータスを探す			いざ、決勝戦へ……							
パールレーンで情報を集める			パールレーンで情報を集める			いざ、決勝戦へ……							
チャットの「Say」モードで『真実を疑え』と入力し怪しげな男に合言葉を言う			チャットの「Say」モードで『真実を疑え』と入力し怪しげな男に合言葉を言う			いざ、決勝戦へ……							
刺抜盆地で荒々しい男を探す			刺抜盆地で荒々しい男を探す			いざ、決勝戦へ……							
刺抜盆地で小柄な少年を救助			刺抜盆地で小柄な少年を救助			いざ、決勝戦へ……							
剣術士ギルドのミラと話す			剣術士ギルドのミラと話す			いざ、決勝戦へ……							
よく来たな、Forename。いよいよ決勝戦だ……頑張れよ、健闘を祈る！			よく来たな、Forename。いよいよ決勝戦だ……頑張れよ、健闘を祈る！			いざ、決勝戦へ……							
……お、お知らせいたします！ブラック・ロータス選手から、決勝戦の出場を辞退するとの申し出がありました！			……お、お知らせいたします！ブラック・ロータス選手から、決勝戦の出場を辞退するとの申し出がありました！			いざ、決勝戦へ……							
こ、これにより、ウル王杯闘技会の決勝戦は、Forename Surname選手の不戦勝となります……！			こ、これにより、ウル王杯闘技会の決勝戦は、Forename Surname選手の不戦勝となります……！			いざ、決勝戦へ……							
おいおい……もしかして、あの噂は本当なんじゃないか？			おいおい……もしかして、あの噂は本当なんじゃないか？			いざ、決勝戦へ……							
ブラック・ロータスが、あのコロセウムを追放された、アルディスだって話か？本当だか、にわかには信じがたいけどな……。			ブラック・ロータスが、あのコロセウムを追放された、アルディスだって話か？本当だか、にわかには信じがたいけどな……。			いざ、決勝戦へ……							
ナル・ブロックを制したブラック・ロータス選手ですが、なんと、突然の辞退とのことです……。			ナル・ブロックを制したブラック・ロータス選手ですが、なんと、突然の辞退とのことです……。			いざ、決勝戦へ……							
いったい何が起きてるってんだ！？			いったい何が起きてるってんだ！？			いざ、決勝戦へ……							
ぞ、続報が入り次第、我々もお知らせしたいと思います。各種対応もあります故、ひとまず今はこれにて……！			ぞ、続報が入り次第、我々もお知らせしたいと思います。各種対応もあります故、ひとまず今はこれにて……！			いざ、決勝戦へ……							
決勝戦を棄権とは、いったいどういうことだ……？			決勝戦を棄権とは、いったいどういうことだ……？			いざ、決勝戦へ……							
それが我々も、何がなんだかさっぱりでして……。棄権の話を聞いたのは「闘技会の受付人」なので、彼に聞けば、もう少し詳しい話が聞けるかもしれませんが……。			それが我々も、何がなんだかさっぱりでして……。棄権の話を聞いたのは「闘技会の受付人」なので、彼に聞けば、もう少し詳しい話が聞けるかもしれませんが……。			いざ、決勝戦へ……							
運営側も、事態を把握していないというのか……。			運営側も、事態を把握していないというのか……。			いざ、決勝戦へ……							
