彫金師ギルドのセレンディピティーは、わたわたしているようだ。			彫金師ギルドのセレンディピティーは、わたわたしているようだ。			ギルドへの私的な依頼							
セレンディピティーにマラカイトイヤリングを見せる			セレンディピティーにマラカイトイヤリングを見せる			孔雀石は希望の煌めき							
ルビーロード国際市場のロロトンにマラカイトイヤリングを渡す			ルビーロード国際市場のロロトンにマラカイトイヤリングを渡す			孔雀石は希望の煌めき							
彫金師ギルドのセレンディピティーに報告			彫金師ギルドのセレンディピティーに報告			孔雀石は希望の煌めき							
Forenameさん！いいところに……！少々困ったことになってしまったんです。			Forenameさん！いいところに……！少々困ったことになってしまったんです。			孔雀石は希望の煌めき							
前回、故障したネジを修理したのですが、その……また調子が悪くなってしまいまして……			前回、故障したネジを修理したのですが、その……また調子が悪くなってしまいまして……			孔雀石は希望の煌めき							
今回は発話回路の問題じゃないんです。ネジが、ギルドに来た依頼人の装飾品をボロクソに貶してしまったんです！			今回は発話回路の問題じゃないんです。ネジが、ギルドに来た依頼人の装飾品をボロクソに貶してしまったんです！			孔雀石は希望の煌めき							
ご存知の通り、ネジは出来の悪い彫金品や、半端な仕事をする職人に対し、かなり辛辣です。それが彼の「美」に対する情熱なのはわかるのですが……。			ご存知の通り、ネジは出来の悪い彫金品や、半端な仕事をする職人に対し、かなり辛辣です。それが彼の「美」に対する情熱なのはわかるのですが……。			孔雀石は希望の煌めき							
ですけど……ギルドに来たお客様を罵るなんて！全てはギルドマスターである私の監督不行き届きです……。			ですけど……ギルドに来たお客様を罵るなんて！全てはギルドマスターである私の監督不行き届きです……。			孔雀石は希望の煌めき							
Forenameさん、お願いです。ネジが罵ってしまった依頼人に謝罪し、埋め合わせをしなくてはなりません。			Forenameさん、お願いです。ネジが罵ってしまった依頼人に謝罪し、埋め合わせをしなくてはなりません。			孔雀石は希望の煌めき							
彼は、マラカイトイヤリングの注文をしに来ていました。お詫びとして、できるかぎり上質なものを……最高級の「マラカイトイヤリング」を作ってください。			彼は、マラカイトイヤリングの注文をしに来ていました。お詫びとして、できるかぎり上質なものを……最高級の「マラカイトイヤリング」を作ってください。			孔雀石は希望の煌めき							
前回、上質なシルバーインゴットを仕上げたあなたなら、十分にこなせる仕事のはず。すみませんが、よろしくお願いしますっ……！			前回、上質なシルバーインゴットを仕上げたあなたなら、十分にこなせる仕事のはず。すみませんが、よろしくお願いしますっ……！			孔雀石は希望の煌めき							
Forenameさん！「マラカイトイヤリング」は作れましたか？			Forenameさん！「マラカイトイヤリング」は作れましたか？			孔雀石は希望の煌めき							
マラカイトとは、濃い緑色に独特の縞模様が入った鉱石。東方に棲まうという「孔雀」という鳥の羽の模様に似ているため、「孔雀石」とも呼ばれます。			マラカイトとは、濃い緑色に独特の縞模様が入った鉱石。東方に棲まうという「孔雀」という鳥の羽の模様に似ているため、「孔雀石」とも呼ばれます。			孔雀石は希望の煌めき							
柔らかいため、正確には「宝石」と呼べないのですが、魅惑的な輝きから、宝石同様に宝飾品の素材として珍重されてきました。			柔らかいため、正確には「宝石」と呼べないのですが、魅惑的な輝きから、宝石同様に宝飾品の素材として珍重されてきました。			孔雀石は希望の煌めき							
風属性のエーテル伝導率が高い鉱石とされるほか、信仰心の象徴としても知られています。			風属性のエーテル伝導率が高い鉱石とされるほか、信仰心の象徴としても知られています。			孔雀石は希望の煌めき							
繊細な模様の描く魅力、ツヤを余すことなく引き出し、上品な銀で、見事に縁取られていますね……！素晴らしいイヤリングですっ！			繊細な模様の描く魅力、ツヤを余すことなく引き出し、上品な銀で、見事に縁取られていますね……！素晴らしいイヤリングですっ！			孔雀石は希望の煌めき							
これなら依頼人も、ネジの無礼を許してくれるはず！依頼人は「ルビーロード国際市場」に滞在している、「ロロトン」さんです。			これなら依頼人も、ネジの無礼を許してくれるはず！依頼人は「ルビーロード国際市場」に滞在している、「ロロトン」さんです。			孔雀石は希望の煌めき							
度々お手数をかけますが、「マラカイトイヤリング」を届けてあげてください。			度々お手数をかけますが、「マラカイトイヤリング」を届けてあげてください。			孔雀石は希望の煌めき							
はぁ……ひどい目にあいました。私はただ、イヤリングを依頼しにいっただけなのに……。			はぁ……ひどい目にあいました。私はただ、イヤリングを依頼しにいっただけなのに……。			孔雀石は希望の煌めき							
んんん、なんですか？　彫金師ギルドの？ああ、先ほどの魔法人形の件でしたら、もう……			んんん、なんですか？　彫金師ギルドの？ああ、先ほどの魔法人形の件でしたら、もう……			孔雀石は希望の煌めき							
……！こここっ……これはっ……このマラカイトイヤリングは……！？			……！こここっ……これはっ……このマラカイトイヤリングは……！？			孔雀石は希望の煌めき							
こんなイヤリングは、見たことがないです……！なんと言ったらよいものか……言葉にならない……そう、心に訴える美しさを感じる……！			こんなイヤリングは、見たことがないです……！なんと言ったらよいものか……言葉にならない……そう、心に訴える美しさを感じる……！			孔雀石は希望の煌めき							
さすがは彫金師ギルドマスターの作品……え、違う？君が用意したイヤリングですって！？			さすがは彫金師ギルドマスターの作品……え、違う？君が用意したイヤリングですって！？			孔雀石は希望の煌めき							
……！これは運命かもしれないぞ……！			……！これは運命かもしれないぞ……！			孔雀石は希望の煌めき							
申し遅れました。私の名は「ロロトン」、素晴らしい装飾品を求めてエオルゼア全土を旅をしている流しの宝石商です。			申し遅れました。私の名は「ロロトン」、素晴らしい装飾品を求めてエオルゼア全土を旅をしている流しの宝石商です。			孔雀石は希望の煌めき							
私は最高の腕を持つ彫金師を探して、長い間、エオルゼア中を旅してきました。			私は最高の腕を持つ彫金師を探して、長い間、エオルゼア中を旅してきました。			孔雀石は希望の煌めき							
そして、とうとう出会いました……ええ、そう、ズバリあなたです！			そして、とうとう出会いました……ええ、そう、ズバリあなたです！			孔雀石は希望の煌めき							
宝石商として、ぜひ、あなたの作った彫金品を扱いたい。私の夢に、協力していただけませんか！？			宝石商として、ぜひ、あなたの作った彫金品を扱いたい。私の夢に、協力していただけませんか！？			孔雀石は希望の煌めき							
やはり危険な思いをしてウルダハを訪れてよかった！罵ってくれた魔法人形に、感謝しないといけませんね……！			やはり危険な思いをしてウルダハを訪れてよかった！罵ってくれた魔法人形に、感謝しないといけませんね……！			孔雀石は希望の煌めき							
ちなみに、これは私の名刺です！それでは、また後ほど……良いお返事をお待ちしていますよ！			ちなみに、これは私の名刺です！それでは、また後ほど……良いお返事をお待ちしていますよ！			孔雀石は希望の煌めき							
おかえりなさい、Forenameさん！こちらも、やっとネジの修理が終わりました。でも、おかしいですね、悪いところなんて……。			おかえりなさい、Forenameさん！こちらも、やっとネジの修理が終わりました。でも、おかしいですね、悪いところなんて……。			孔雀石は希望の煌めき							
それよりも、いかがでした？ロロトンさんは、イヤリングを受け取ってくれたでしょうか……？			それよりも、いかがでした？ロロトンさんは、イヤリングを受け取ってくれたでしょうか……？			孔雀石は希望の煌めき							
凄い、凄いじゃないですか！Forenameさん！			凄い、凄いじゃないですか！Forenameさん！			孔雀石は希望の煌めき							
やはりネジの目に狂いはなかったですね！Forenameさんは、将来、きっと素晴らしい彫金師になると思っていました！			やはりネジの目に狂いはなかったですね！Forenameさんは、将来、きっと素晴らしい彫金師になると思っていました！			孔雀石は希望の煌めき							
私は信じていました！Forenameさんの作品には、心を動かす不思議な魅力があることを。			私は信じていました！Forenameさんの作品には、心を動かす不思議な魅力があることを。			孔雀石は希望の煌めき							
お金では買えない、彫金の持つ力。「芸術」を愛する、豊かな心……とても素晴らしいと思います！			お金では買えない、彫金の持つ力。「芸術」を愛する、豊かな心……とても素晴らしいと思います！			孔雀石は希望の煌めき							
ロロトンさんから次の依頼が来るまで、しっかりと腕を磨いておかなくちゃですねっ！応援していますっ、頑張ってください！			ロロトンさんから次の依頼が来るまで、しっかりと腕を磨いておかなくちゃですねっ！応援していますっ、頑張ってください！			孔雀石は希望の煌めき							
それでは、また後ほど……良いお返事をお待ちしていますよ！			それでは、また後ほど……良いお返事をお待ちしていますよ！			孔雀石は希望の煌めき							
彫金師ギルドのセレンディピティーは、冒険者に相談があるようだ。			彫金師ギルドのセレンディピティーは、冒険者に相談があるようだ。			銀は特別な輝き							
上等なシルバーインゴットを製作し、彫金師ギルドのセレンディピティーに「シルバーインゴット」を渡そう			上等なシルバーインゴットを製作し、彫金師ギルドのセレンディピティーに「シルバーインゴット」を渡そう			銀は特別な輝き							
ネジの「コア」にはあらゆる彫金の知識が記憶されている。彫金師ギルドにとってはとても重要な存在のようだ。※彫金師のレベルが30以上になると、セレンディピティーから次の彫金師クエストを受注することができます。			ネジの「コア」にはあらゆる彫金の知識が記憶されている。彫金師ギルドにとってはとても重要な存在のようだ。※彫金師のレベルが30以上になると、セレンディピティーから次の彫金師クエストを受注することができます。			銀は特別な輝き							
セレンディピティーにシルバーインゴットを渡す			セレンディピティーにシルバーインゴットを渡す			銀は特別な輝き							
Forenameさん、お待ちしていましたっ！実は、魔法人形のネジのことなのですが……。			Forenameさん、お待ちしていましたっ！実は、魔法人形のネジのことなのですが……。			銀は特別な輝き							
どうやら最近、少々問題がありまして……。いえ……性格に問題があるのは元からなのですが、ちょっと内部機関の調子が悪いんです……。			どうやら最近、少々問題がありまして……。いえ……性格に問題があるのは元からなのですが、ちょっと内部機関の調子が悪いんです……。			銀は特別な輝き							
原因は、パーツの老朽化です。よろしければ、交換用のパーツをつくるために、上等な「シルバーインゴット」を作ってください。			原因は、パーツの老朽化です。よろしければ、交換用のパーツをつくるために、上等な「シルバーインゴット」を作ってください。			銀は特別な輝き							
魔法人形の構造は、とても複雑でして……素材ひとつにしても、特に品質が高いものが要求されます。			魔法人形の構造は、とても複雑でして……素材ひとつにしても、特に品質が高いものが要求されます。			銀は特別な輝き							
ネジに仕事を褒められた、Forenameさんの作った素材なら、きっと、彼と相性バッチリのはずですっ！			ネジに仕事を褒められた、Forenameさんの作った素材なら、きっと、彼と相性バッチリのはずですっ！			銀は特別な輝き							
どうか、よろしくお願いしますっ！			どうか、よろしくお願いしますっ！			銀は特別な輝き							
「HQアイテム」を製作してみましょう。製作中に「品質」を向上させることで、HQアイテムの完成確率が高くなります。			「HQアイテム」を製作してみましょう。製作中に「品質」を向上させることで、HQアイテムの完成確率が高くなります。			銀は特別な輝き							
　Forenameさん！「シルバーインゴット」はできましたか？			　Forenameさん！「シルバーインゴット」はできましたか？			銀は特別な輝き							
これは！　素晴らしい品質ですっ！見事な「シルバーインゴット」です！			これは！　素晴らしい品質ですっ！見事な「シルバーインゴット」です！			銀は特別な輝き							
これを素材にして、老朽化した部品のスペアを作れば、きっとネジの調子も直ると思いますっ！			これを素材にして、老朽化した部品のスペアを作れば、きっとネジの調子も直ると思いますっ！			銀は特別な輝き							
……ネジジ……ジジ……コ　コレハ……しるばー……いんごっと…………？いんごっと　デ　ホント　ニ　良インゴット……？			……ネジジ……ジジ……コ　コレハ……しるばー……いんごっと…………？いんごっと　デ　ホント　ニ　良インゴット……？			銀は特別な輝き							
ああ、ネジ……かわいそうに。変な言葉遣いになってしまって……。			ああ、ネジ……かわいそうに。変な言葉遣いになってしまって……。			銀は特別な輝き							
えっ、前とあんまり変わらないですって？……ま、まぁ、そ、そうかもしれませんね。			えっ、前とあんまり変わらないですって？……ま、まぁ、そ、そうかもしれませんね。			銀は特別な輝き							
え～と、ご存知の通り、「銀」は身近な貴金属です。そして古来より、神秘的な力が宿ると言われていました。			え～と、ご存知の通り、「銀」は身近な貴金属です。そして古来より、神秘的な力が宿ると言われていました。			銀は特別な輝き							
それは決して迷信ではありません。現に、エーテルの伝導率がとても高いことが証明され、魔器の素材としても、かなり重宝されている物質です。			それは決して迷信ではありません。現に、エーテルの伝導率がとても高いことが証明され、魔器の素材としても、かなり重宝されている物質です。			銀は特別な輝き							
だから魔法人形のパーツにも多く使われています。今回は、発話回路の損傷だったのが不幸中の幸いでした。			だから魔法人形のパーツにも多く使われています。今回は、発話回路の損傷だったのが不幸中の幸いでした。			銀は特別な輝き							
これが「コア」の欠損だったら、ギルドマスターの私の腕をもってしても、修復前の状態を再現することは難しかったと思います。			これが「コア」の欠損だったら、ギルドマスターの私の腕をもってしても、修復前の状態を再現することは難しかったと思います。			銀は特別な輝き							
「コア」は、その魔法人形の性格や感情、そして記憶を司る、まさに魂ともいうべき機関。			「コア」は、その魔法人形の性格や感情、そして記憶を司る、まさに魂ともいうべき機関。			銀は特別な輝き							
ネジの「コア」には、百年の間、彼が歴代のギルドマスターに従い、学び、見てきた、あらゆる彫金の知識が詰まっています。			ネジの「コア」には、百年の間、彼が歴代のギルドマスターに従い、学び、見てきた、あらゆる彫金の知識が詰まっています。			銀は特別な輝き							
この「コア」を失ったら、それこそ、膨大な知識が失われてしまう……。彫金師ギルドにとって大きな損失になるでしょう。			この「コア」を失ったら、それこそ、膨大な知識が失われてしまう……。彫金師ギルドにとって大きな損失になるでしょう。			銀は特別な輝き							
……ふふ、びっくりしたでしょう？こんな風に見えても、ギルドにとって、ネジはとっても重要な存在なんですよ？			……ふふ、びっくりしたでしょう？こんな風に見えても、ギルドにとって、ネジはとっても重要な存在なんですよ？			銀は特別な輝き							
ともあれ、どうもありがとうございました！この調子で、これからもどんどん腕を磨いてくださいねっ！			ともあれ、どうもありがとうございました！この調子で、これからもどんどん腕を磨いてくださいねっ！			銀は特別な輝き							
彫金師ギルドのセレンディピティーは、冒険者に挑戦してほしいことがあるようだ。			彫金師ギルドのセレンディピティーは、冒険者に挑戦してほしいことがあるようだ。			呪術の杖はいかが？							
素材を集め、スタッグホーンスタッフを製作し、彫金師ギルドの「セレンディピティー」にマテリア付き「スタッグホーンスタッフ」を渡そう。			素材を集め、スタッグホーンスタッフを製作し、彫金師ギルドの「セレンディピティー」にマテリア付き「スタッグホーンスタッフ」を渡そう。			呪術の杖はいかが？							
素材にも意味があり、製作されるアイテムに影響する。アンテロープの角で作られた杖も、呪術士が用いる魔器として力を発揮するだろう。鍛錬をし、知識のある彫金師を目指そう。※彫金師のレベルが25以上になると、セレンディピティーから次の彫金師クエストを受注することができます。			素材にも意味があり、製作されるアイテムに影響する。アンテロープの角で作られた杖も、呪術士が用いる魔器として力を発揮するだろう。鍛錬をし、知識のある彫金師を目指そう。※彫金師のレベルが25以上になると、セレンディピティーから次の彫金師クエストを受注することができます。			呪術の杖はいかが？							
セレンディピティーにマテリア付きのスタッグホーンスタッフを渡す			セレンディピティーにマテリア付きのスタッグホーンスタッフを渡す			呪術の杖はいかが？							
Forenameさん、聞いてくださいっ！ネジったらヒドイんですよっ！			Forenameさん、聞いてくださいっ！ネジったらヒドイんですよっ！			呪術の杖はいかが？							
私のとっておきのアップルタルトを勝手に食べちゃったんです！そもそも魔法人形に味覚なんてないくせにっ！			私のとっておきのアップルタルトを勝手に食べちゃったんです！そもそも魔法人形に味覚なんてないくせにっ！			呪術の杖はいかが？							
「せれん、食ベル　ト　指ガ　太ク　ナッテ、彫金デキナクナル！　注意！」……とか言って。もう、失礼しちゃいます！　私そんなに太ってませんっ！			「せれん、食ベル　ト　指ガ　太ク　ナッテ、彫金デキナクナル！　注意！」……とか言って。もう、失礼しちゃいます！　私そんなに太ってませんっ！			呪術の杖はいかが？							
え、え～と、Forenameさん……！彫金の鍛錬は、その後いかがですか？どうやらまたひとまわり、成長したようですねっ！			え、え～と、Forenameさん……！彫金の鍛錬は、その後いかがですか？どうやらまたひとまわり、成長したようですねっ！			呪術の杖はいかが？							
そろそろ次のステップにいきましょう！今回はひとつ「マテリア」付きの装備品に挑戦してみてはいかがでしょうかっ！			そろそろ次のステップにいきましょう！今回はひとつ「マテリア」付きの装備品に挑戦してみてはいかがでしょうかっ！			呪術の杖はいかが？							
マテリアを装着できるのは私たちクラフターだけですから、冒険者としても、学んでおいて損はない技術ですよ。			マテリアを装着できるのは私たちクラフターだけですから、冒険者としても、学んでおいて損はない技術ですよ。			呪術の杖はいかが？							
マテリアを装着する品は「スタッグホーンスタッフ」です。あ、そうだ。気をつけてほしいことがひとつあります。			マテリアを装着する品は「スタッグホーンスタッフ」です。あ、そうだ。気をつけてほしいことがひとつあります。			呪術の杖はいかが？							
スタッグホーンスタッフの素材のひとつ「アンテロープの角」ですが、これは、ウルダハにある店では扱っていません。			スタッグホーンスタッフの素材のひとつ「アンテロープの角」ですが、これは、ウルダハにある店では扱っていません。			呪術の杖はいかが？							
頑張って魔物から入手するか……または「サファイアアベニュー国際市場」のマーケットボードで探すと見つかるかもしれません。			頑張って魔物から入手するか……または「サファイアアベニュー国際市場」のマーケットボードで探すと見つかるかもしれません。			呪術の杖はいかが？							
マテリアにはたくさんの種類がありますが、今回は練習ですから、装着するマテリアはなんでも構いません。			マテリアにはたくさんの種類がありますが、今回は練習ですから、装着するマテリアはなんでも構いません。			呪術の杖はいかが？							
もし、マテリアについてわからないことがあったら中央ザナラーンの「狼煙の丘」に行ってみてください。そこにマテリアに詳しい職人さんたちが住んでいます。			もし、マテリアについてわからないことがあったら中央ザナラーンの「狼煙の丘」に行ってみてください。そこにマテリアに詳しい職人さんたちが住んでいます。			呪術の杖はいかが？							
それでは「スタッグホーンスタッフ」に「マテリア」をひとつ、装着してください。お待ちしていますねっ！			それでは「スタッグホーンスタッフ」に「マテリア」をひとつ、装着してください。お待ちしていますねっ！			呪術の杖はいかが？							
Forenameさん、どうですか？「スタッグホーンスタッフ」に、「マテリア」を装着できましたか？			Forenameさん、どうですか？「スタッグホーンスタッフ」に、「マテリア」を装着できましたか？			呪術の杖はいかが？							
……ネジ……ネジジジジ……ま　まてりあ！まてりあ　ツケル　ノ　チョット　まてりあ！			……ネジ……ネジジジジ……ま　まてりあ！まてりあ　ツケル　ノ　チョット　まてりあ！			呪術の杖はいかが？							
……何ジャコリャッ　結構イイジャネェカ！頭蓋骨　叩キ割ッテ　脳ミソ　ニまてりあ　嵌メコンダロカ!?　コンガキャー！			……何ジャコリャッ　結構イイジャネェカ！頭蓋骨　叩キ割ッテ　脳ミソ　ニまてりあ　嵌メコンダロカ!?　コンガキャー！			呪術の杖はいかが？							
ちょっとネジ、暴言吐きすぎっ！き、気を悪くしないでくださいねっ！これでも褒めてるんですよ！？			ちょっとネジ、暴言吐きすぎっ！き、気を悪くしないでくださいねっ！これでも褒めてるんですよ！？			呪術の杖はいかが？							
マテリアを、きちんと付けられたようですね。そして、スタッグホーンスタッフ自体も、素晴らしい仕上がりですっ！			マテリアを、きちんと付けられたようですね。そして、スタッグホーンスタッフ自体も、素晴らしい仕上がりですっ！			呪術の杖はいかが？							
呪術とは、葬送の儀式から発達した魔法体系です。ですから、呪術士たちは死を連想させる角や骨を古くから魔器として利用してきました。			呪術とは、葬送の儀式から発達した魔法体系です。ですから、呪術士たちは死を連想させる角や骨を古くから魔器として利用してきました。			呪術の杖はいかが？							
特に齢を重ねた獣の角は、戦いで幾たびも返血を浴びることで、魔力的な力を帯びると言われています。			特に齢を重ねた獣の角は、戦いで幾たびも返血を浴びることで、魔力的な力を帯びると言われています。			呪術の杖はいかが？							
ですから、この「アンテロープの角」で作られた杖も、呪術士が用いる魔器として、十分な力を秘めているといえるでしょう。			ですから、この「アンテロープの角」で作られた杖も、呪術士が用いる魔器として、十分な力を秘めているといえるでしょう。			呪術の杖はいかが？							
素材や「マテリア」が持つ、目に見えない力……。そういったものを引き出してこそ、真に心を打つ名品を生み出せるのかもしれませんね。			素材や「マテリア」が持つ、目に見えない力……。そういったものを引き出してこそ、真に心を打つ名品を生み出せるのかもしれませんね。			呪術の杖はいかが？							
彫金師ギルドマスターのセレンディピティーが依頼を受け、冒険者の手を借りたいようだ。			彫金師ギルドマスターのセレンディピティーが依頼を受け、冒険者の手を借りたいようだ。			牙と真鍮							
「ファングイヤリング」と「ブラスゴルゲット」の製作をし、彫金師ギルドの「セレンディピティー」に見せよう。			「ファングイヤリング」と「ブラスゴルゲット」の製作をし、彫金師ギルドの「セレンディピティー」に見せよう。			牙と真鍮							
彫金師ギルドの前の広場にいるロバートに、「ファングイヤリング」と「ブラスゴルゲット」を渡そう。			彫金師ギルドの前の広場にいるロバートに、「ファングイヤリング」と「ブラスゴルゲット」を渡そう。			牙と真鍮							
ロバートに依頼の品を渡すことができた彫金師ギルドの「セレンディピティー」に報告しよう。			ロバートに依頼の品を渡すことができた彫金師ギルドの「セレンディピティー」に報告しよう。			牙と真鍮							
依頼人が満足できる品を提供することができた冒険者。また次の依頼があるまでに製作の力を磨こう。※彫金師のレベルが20以上になると、セレンディピティーから次の彫金師クエストを受注することができます。			依頼人が満足できる品を提供することができた冒険者。また次の依頼があるまでに製作の力を磨こう。※彫金師のレベルが20以上になると、セレンディピティーから次の彫金師クエストを受注することができます。			牙と真鍮							
セレンディピティーに依頼品を見せる			セレンディピティーに依頼品を見せる			牙と真鍮							
ロバートに依頼品を渡す			ロバートに依頼品を渡す			牙と真鍮							
彫金師ギルドのセレンディピティーに報告			彫金師ギルドのセレンディピティーに報告			牙と真鍮							
き、聞いてください、Forenameさんっ！ネジったらヒドイんですよっ！私のお尻を触ったんです！			き、聞いてください、Forenameさんっ！ネジったらヒドイんですよっ！私のお尻を触ったんです！			牙と真鍮							
「女体ノ神秘ハ　神ノ最高傑作！　究極ノ美！」とか何とか言って……まったく、油断も隙もないんですからっ！			「女体ノ神秘ハ　神ノ最高傑作！　究極ノ美！」とか何とか言って……まったく、油断も隙もないんですからっ！			牙と真鍮							
あ、そうそう、Forenameさんにお任せしたい仕事があるんです！			あ、そうそう、Forenameさんにお任せしたい仕事があるんです！			牙と真鍮							
先日、お仕事を依頼してきた銀冑団のロバートさんを覚えていますか？			先日、お仕事を依頼してきた銀冑団のロバートさんを覚えていますか？			牙と真鍮							
彼から「ファングイヤリング」と「ブラスゴルゲット」の製作依頼が来ているのです。前回に引き続き、お仕事、お願いできますでしょうか？			彼から「ファングイヤリング」と「ブラスゴルゲット」の製作依頼が来ているのです。前回に引き続き、お仕事、お願いできますでしょうか？			牙と真鍮							
ふたつの品を仕上げたら、見せてください。では、よろしくおねがいしますねっ！			ふたつの品を仕上げたら、見せてください。では、よろしくおねがいしますねっ！			牙と真鍮							
あっ、Forenameさんっ！「ファングイヤリング」と「ブラスゴルゲット」は仕上がりましたか？			あっ、Forenameさんっ！「ファングイヤリング」と「ブラスゴルゲット」は仕上がりましたか？			牙と真鍮							
わぁ、凄いですっ……。イヤリングとゴルゲット、どちらも細部まで、丁寧に仕上げられていますね。			わぁ、凄いですっ……。イヤリングとゴルゲット、どちらも細部まで、丁寧に仕上げられていますね。			牙と真鍮							
……ネジ……ジジジ……。ふぁんぐいやりんぐ……ぶらすごるげっと……ウ～ム、ぶらすは心ヲ揺サぶらす……。			……ネジ……ジジジ……。ふぁんぐいやりんぐ……ぶらすごるげっと……ウ～ム、ぶらすは心ヲ揺サぶらす……。			牙と真鍮							
イヤ　ナイ！　ヤッパダメ！アリエナイ……　せれん　ノ　胸グライ　ナイ！			イヤ　ナイ！　ヤッパダメ！アリエナイ……　せれん　ノ　胸グライ　ナイ！			牙と真鍮							
ちょ、　ネジ！　何いってんのっ。私は着痩せするタイプなんですっ！ちゃんと人並みくらいはありますっ！			ちょ、　ネジ！　何いってんのっ。私は着痩せするタイプなんですっ！ちゃんと人並みくらいはありますっ！			牙と真鍮							
って、チガウ！「ファングイヤリング」と「ブラスゴルゲット」の話っ！			って、チガウ！「ファングイヤリング」と「ブラスゴルゲット」の話っ！			牙と真鍮							
ご、ごめんなさい……Forenameさん。今回依頼した品は「ファング」と「ブラス」、つまり牙と真鍮を素材としています。			ご、ごめんなさい……Forenameさん。今回依頼した品は「ファング」と「ブラス」、つまり牙と真鍮を素材としています。			牙と真鍮							
「ブラス」はありふれた素材ではありますが、鉱物の配合や、磨き方次第では金と見まごう美しい輝きを放つんです。			「ブラス」はありふれた素材ではありますが、鉱物の配合や、磨き方次第では金と見まごう美しい輝きを放つんです。			牙と真鍮							
今回、作ってくださった品は、どちらも丁寧な仕事で、実に美しく仕上がっていますね。きっと依頼人も満足してくださることでしょう。			今回、作ってくださった品は、どちらも丁寧な仕事で、実に美しく仕上がっていますね。きっと依頼人も満足してくださることでしょう。			牙と真鍮							
銀冑団のロバートさんは前回同様、ギルドすぐそばの広場にいるそうです。ぜひ、あなたの手で届けてあげてください！			銀冑団のロバートさんは前回同様、ギルドすぐそばの広場にいるそうです。ぜひ、あなたの手で届けてあげてください！			牙と真鍮							
やぁやぁ、また会ったね。頼んでいた「ファングイヤリング」と「ブラスゴルゲット」は仕上がったのかな？			やぁやぁ、また会ったね。頼んでいた「ファングイヤリング」と「ブラスゴルゲット」は仕上がったのかな？			牙と真鍮							
いやはや、これは見事な品だ！やはり彫金師ギルドに依頼してよかったよ。			いやはや、これは見事な品だ！やはり彫金師ギルドに依頼してよかったよ。			牙と真鍮							
でも、ギルドマスターのセレンさんは、若いのにかなりの腕を持っている職人だね。			でも、ギルドマスターのセレンさんは、若いのにかなりの腕を持っている職人だね。			牙と真鍮							
えっ、マスターじゃなくて、君が作ったのかい！？彫金師ギルドには、熟練の職人が揃っているんだな！仕事もさぞかし景気がいいだろう。うらやましいよ。			えっ、マスターじゃなくて、君が作ったのかい！？彫金師ギルドには、熟練の職人が揃っているんだな！仕事もさぞかし景気がいいだろう。うらやましいよ。			牙と真鍮							
おかえりなさい！ロバートさんは満足してましたか？			おかえりなさい！ロバートさんは満足してましたか？			牙と真鍮							
ふふ、Forenameさんの満足そうな顔を見れば、先方の対応は想像つきますよ。お疲れ様でした！　また次の仕事をお待ちくださいっ！			ふふ、Forenameさんの満足そうな顔を見れば、先方の対応は想像つきますよ。お疲れ様でした！　また次の仕事をお待ちくださいっ！			牙と真鍮							
彫金師ギルドには、熟練の職人が揃っているんだな！仕事もさぞかし景気がいいだろう。うらやましいよ。			彫金師ギルドには、熟練の職人が揃っているんだな！仕事もさぞかし景気がいいだろう。うらやましいよ。			牙と真鍮							
彫金師ギルドのセレンディピティーから仕事の依頼があるようだ。			彫金師ギルドのセレンディピティーから仕事の依頼があるようだ。			銀冑団からの願いごと							
「カッパーリングズ」を12箱製作しセレンディピティーに見せよう。			「カッパーリングズ」を12箱製作しセレンディピティーに見せよう。			銀冑団からの願いごと							
彫金師ギルドの前の広場にいるロバートに、依頼の品、カッパーリングズを届けよう。			彫金師ギルドの前の広場にいるロバートに、依頼の品、カッパーリングズを届けよう。			銀冑団からの願いごと							
依頼の品を届けることができた。彫金師ギルドに戻り、セレンディピティーに報告しよう。			依頼の品を届けることができた。彫金師ギルドに戻り、セレンディピティーに報告しよう。			銀冑団からの願いごと							
ネジに才能を認めてもらうことができた冒険者。更なる修行のため、ギルドリーヴの製作稼業を受けるなど訓練をしよう。※彫金師のレベルが15以上になると、セレンディピティーから次の彫金師クエストを受注することができます。			ネジに才能を認めてもらうことができた冒険者。更なる修行のため、ギルドリーヴの製作稼業を受けるなど訓練をしよう。※彫金師のレベルが15以上になると、セレンディピティーから次の彫金師クエストを受注することができます。			銀冑団からの願いごと							
セレンディピティーにカッパーリングズを見せる			セレンディピティーにカッパーリングズを見せる			銀冑団からの願いごと							
ロバートにカッパーリングズを渡す			ロバートにカッパーリングズを渡す			銀冑団からの願いごと							
セレンディピティーに報告			セレンディピティーに報告			銀冑団からの願いごと							
あっ、ごめんなさい、お怪我は平気ですかっ！？……って、な～んだ、Forenameさん脅かさないでくださいよぅ。			あっ、ごめんなさい、お怪我は平気ですかっ！？……って、な～んだ、Forenameさん脅かさないでくださいよぅ。			銀冑団からの願いごと							
ネジが、採掘師のもってきた素材の質に憤慨して大喧嘩！さっきまで、それはもう阿鼻叫喚の大乱闘だったんですよぅ……。			ネジが、採掘師のもってきた素材の質に憤慨して大喧嘩！さっきまで、それはもう阿鼻叫喚の大乱闘だったんですよぅ……。			銀冑団からの願いごと							
