巴術士ギルドのムリーには、冒険者に任せたい仕事があるようだ。			巴術士ギルドのムリーには、冒険者に任せたい仕事があるようだ。			学問ノススメ							
お父さんに関係のある物ではなさそう……。置いていきましょう。			お父さんに関係のある物ではなさそう……。置いていきましょう。			たったひとつの「家族」							
魔法人形が壊されている……！？全部、この妖異がやったのか……？			魔法人形が壊されている……！？全部、この妖異がやったのか……？			たったひとつの「家族」							
これじゃ、セトトのお父さんの形見を探せないじゃないか！ちくしょう……まずはこいつを倒すぞ、相棒！			これじゃ、セトトのお父さんの形見を探せないじゃないか！ちくしょう……まずはこいつを倒すぞ、相棒！			たったひとつの「家族」							
妖異の中から宝箱が！？そうか、魔法人形ごと食べていたんだな！			妖異の中から宝箱が！？そうか、魔法人形ごと食べていたんだな！			たったひとつの「家族」							
おお！もしかして、これは……！！			おお！もしかして、これは……！！			たったひとつの「家族」							
僕の海兵魂が……足りなかったのか……。			僕の海兵魂が……足りなかったのか……。			たったひとつの「家族」							
うう……お父さん……。			うう……お父さん……。			たったひとつの「家族」							
おお！　これは、ニームの軍学書じゃないか！もしかして、これが……。			おお！　これは、ニームの軍学書じゃないか！もしかして、これが……。			たったひとつの「家族」							
間違いないわ！これは、お父さんの軍学書よ！なら、きっとほかにも……。			間違いないわ！これは、お父さんの軍学書よ！なら、きっとほかにも……。			たったひとつの「家族」							
わあ、お父さんが着ていた服だ！こんなに綺麗な状態で残っているなんて……。			わあ、お父さんが着ていた服だ！こんなに綺麗な状態で残っているなんて……。			たったひとつの「家族」							
あら、これは……。			あら、これは……。			たったひとつの「家族」							
それは……君のお父さんのソウルクリスタルかい？			それは……君のお父さんのソウルクリスタルかい？			たったひとつの「家族」							
うん……。このクリスタルには、私の家に代々仕えてきた、フェアリーが眠っているの。			うん……。このクリスタルには、私の家に代々仕えてきた、フェアリーが眠っているの。			たったひとつの「家族」							
魔大戦とトンベリ病で家族を失った私にとって、この子はたったひとりの「家族」だから……。もう一度……会いたい。			魔大戦とトンベリ病で家族を失った私にとって、この子はたったひとりの「家族」だから……。もう一度……会いたい。			たったひとつの「家族」							
お願い……出てきて……「ライラック」！			お願い……出てきて……「ライラック」！			たったひとつの「家族」							
セトト、どうしたの！？ねえ……ねえってば！			セトト、どうしたの！？ねえ……ねえってば！			たったひとつの「家族」							
Forename、手を貸してくれ！ひとまず彼女を、キャンプ・トランキルまで運ぶんだ！			Forename、手を貸してくれ！ひとまず彼女を、キャンプ・トランキルまで運ぶんだ！			たったひとつの「家族」							
Forename君、君は新生「海兵団」の軍学者、彼女を任せられるのは君しかいない。セトトを診てやってくれ！			Forename君、君は新生「海兵団」の軍学者、彼女を任せられるのは君しかいない。セトトを診てやってくれ！			たったひとつの「家族」							
セトトの体に外傷はなく、呼吸も脈も安定しているようだ。しかし、意識を取り戻す様子は見られない……。			セトトの体に外傷はなく、呼吸も脈も安定しているようだ。しかし、意識を取り戻す様子は見られない……。			たったひとつの「家族」							
そ、そんな……！いったい彼女に何が起こったんだ！？			そ、そんな……！いったい彼女に何が起こったんだ！？			たったひとつの「家族」							
騒がしいようですが、何かあったのですか？困ったことがありましたら、ぜひ私たち鬼哭隊に……			騒がしいようですが、何かあったのですか？困ったことがありましたら、ぜひ私たち鬼哭隊に……			たったひとつの「家族」							
って、なんだテメェか……。こんなところで何やってやがんだ？			って、なんだテメェか……。こんなところで何やってやがんだ？			たったひとつの「家族」							
うわ、なんだか急に態度が……Forename君の知り合い？			うわ、なんだか急に態度が……Forename君の知り合い？			たったひとつの「家族」							
そのフェアリーってのを呼ぼうとして、突然、ブッ倒れて意識を失った、ねぇ……。なら、起きるまでその辺に寝かせとけばいいじゃねぇか。			そのフェアリーってのを呼ぼうとして、突然、ブッ倒れて意識を失った、ねぇ……。なら、起きるまでその辺に寝かせとけばいいじゃねぇか。			たったひとつの「家族」							
何言ってるんだ！年頃のレディをこんなところに寝かせておけるか！			何言ってるんだ！年頃のレディをこんなところに寝かせておけるか！			たったひとつの「家族」							
……それ……「年頃のレディ」……なのか……？			……それ……「年頃のレディ」……なのか……？			たったひとつの「家族」							
ま、そういうことなら仕方ねェ。天幕をひとつ貸してやるから、意識が戻るまで寝かせとけ。くれぐれも、そいつの緑汁で汚すんじゃねェぞ。			ま、そういうことなら仕方ねェ。天幕をひとつ貸してやるから、意識が戻るまで寝かせとけ。くれぐれも、そいつの緑汁で汚すんじゃねェぞ。			たったひとつの「家族」							
なんなんだよ、緑汁って！？			なんなんだよ、緑汁って！？			たったひとつの「家族」							
けど、とても助かるよ！ありがたく、ご厚意に甘えさせてもらおう！口は悪いけど、いい人だね！			けど、とても助かるよ！ありがたく、ご厚意に甘えさせてもらおう！口は悪いけど、いい人だね！			たったひとつの「家族」							
……ふぅ。これで、ひとまずは安心だ。			……ふぅ。これで、ひとまずは安心だ。			たったひとつの「家族」							
緑の化け物の嬢ちゃんは、この鬼哭隊六番槍隊長、ランドゥネルが責任持って面倒見てやる。だから安心しな、冒険者。			緑の化け物の嬢ちゃんは、この鬼哭隊六番槍隊長、ランドゥネルが責任持って面倒見てやる。だから安心しな、冒険者。			たったひとつの「家族」							
僕は、あとでスリト・カリトさんにこのことを報告しておくよ。			僕は、あとでスリト・カリトさんにこのことを報告しておくよ。			たったひとつの「家族」							
Forename君は、セトトが回復するのを待っていてくれ。			Forename君は、セトトが回復するのを待っていてくれ。			たったひとつの「家族」							
ワンダラーパレスのスリト・カリトは、冒険者に頼みたいことがあるようだ。			ワンダラーパレスのスリト・カリトは、冒険者に頼みたいことがあるようだ。			海兵魂、海兵魂、海兵魂！							
スリト・カリトと話した。高地ラノシアのブロンズレイクにいる「ハルガ・トルガ」と話そう。			スリト・カリトと話した。高地ラノシアのブロンズレイクにいる「ハルガ・トルガ」と話そう。			海兵魂、海兵魂、海兵魂！							
ハルガ・トルガと話した。チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで『海兵魂』を含む言葉を入力し、「ハルガ・トルガ」に答えよう。			ハルガ・トルガと話した。チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで『海兵魂』を含む言葉を入力し、「ハルガ・トルガ」に答えよう。			海兵魂、海兵魂、海兵魂！							
ハルガ・トルガに答えたが、まだ声が小さいらしい。再度、チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで『海兵魂』を含む言葉を入力し、「ハルガ・トルガ」に答えよう。			ハルガ・トルガに答えたが、まだ声が小さいらしい。再度、チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで『海兵魂』を含む言葉を入力し、「ハルガ・トルガ」に答えよう。			海兵魂、海兵魂、海兵魂！							
ハルガ・トルガに答えた。ブロンズレイク東の「マムージャの隊長」に、エモート「大笑いする」をし、襲われたら討伐しよう。			ハルガ・トルガに答えた。ブロンズレイク東の「マムージャの隊長」に、エモート「大笑いする」をし、襲われたら討伐しよう。			海兵魂、海兵魂、海兵魂！							
マムージャの隊長を討伐した。ブロンズレイクの「ハルガ・トルガ」に報告しよう。			マムージャの隊長を討伐した。ブロンズレイクの「ハルガ・トルガ」に報告しよう。			海兵魂、海兵魂、海兵魂！							
ハルガ・トルガに報告した。「消えた妖異」を退治するため、訓練を思い出しながら修行に励もう。※学者のレベルが58以上になると、ワンダラーパレスのスリト・カリトから次の学者クエストを受注することができます。			ハルガ・トルガに報告した。「消えた妖異」を退治するため、訓練を思い出しながら修行に励もう。※学者のレベルが58以上になると、ワンダラーパレスのスリト・カリトから次の学者クエストを受注することができます。			海兵魂、海兵魂、海兵魂！							
ハルガ・トルガと話す			ハルガ・トルガと話す			海兵魂、海兵魂、海兵魂！							
チャットの「Say」モードで『海兵魂』を含む好きな言葉を入力しハルガ・トルガに答える			チャットの「Say」モードで『海兵魂』を含む好きな言葉を入力しハルガ・トルガに答える			海兵魂、海兵魂、海兵魂！							
再度チャットの「Say」モードで『海兵魂』を含む好きな言葉を入力しハルガ・トルガに答える			再度チャットの「Say」モードで『海兵魂』を含む好きな言葉を入力しハルガ・トルガに答える			海兵魂、海兵魂、海兵魂！							
マムージャの隊長にエモート「大笑いする」をして襲われたら討伐			マムージャの隊長にエモート「大笑いする」をして襲われたら討伐			海兵魂、海兵魂、海兵魂！							
ハルガ・トルガに報告			ハルガ・トルガに報告			海兵魂、海兵魂、海兵魂！							
よく来てくれた、ふたりとも。そして、Forenameよ……耳や鼻がそげ落ちてはおらんようだな？			よく来てくれた、ふたりとも。そして、Forenameよ……耳や鼻がそげ落ちてはおらんようだな？			海兵魂、海兵魂、海兵魂！							
……ふふふ、安心していいぞ。例の「南洋の飾り壺」と、お主が倒したという妖異の死体……どちらからも「トンベリ病」に繋がる毒素は見つからなかった。			……ふふふ、安心していいぞ。例の「南洋の飾り壺」と、お主が倒したという妖異の死体……どちらからも「トンベリ病」に繋がる毒素は見つからなかった。			海兵魂、海兵魂、海兵魂！							
だが、「バニシュ」系の隠蔽魔法を使用した痕跡が見られた。つまり、壺に封じられていた妖異が、眷属を囮に使いつつ、魔法で姿を隠して消え去ったということだ。			だが、「バニシュ」系の隠蔽魔法を使用した痕跡が見られた。つまり、壺に封じられていた妖異が、眷属を囮に使いつつ、魔法で姿を隠して消え去ったということだ。			海兵魂、海兵魂、海兵魂！							
そ、それじゃあ、その「消えた妖異」が、「トンベリ病」をバラ撒いた犯人だってことですか？			そ、それじゃあ、その「消えた妖異」が、「トンベリ病」をバラ撒いた犯人だってことですか？			海兵魂、海兵魂、海兵魂！							
断定はできないが、その可能性が極めて高い。恐らく姿を消して逃げたのは、1500年間の封印により、戦うほどの魔力が残っていなかったためだろう。			断定はできないが、その可能性が極めて高い。恐らく姿を消して逃げたのは、1500年間の封印により、戦うほどの魔力が残っていなかったためだろう。			海兵魂、海兵魂、海兵魂！							
たたたた、大変だ！奴が力を取り戻したら、「トンベリ病」が広まってしまう！かつてニームで起きた大流行のように！！			たたたた、大変だ！奴が力を取り戻したら、「トンベリ病」が広まってしまう！かつてニームで起きた大流行のように！！			海兵魂、海兵魂、海兵魂！							
うむ、これは危機だ……しかし、好機でもある！妖異を倒して調べることができれば、「トンベリ病」の秘密を、解き明かすことができるかもしれないのだから！			うむ、これは危機だ……しかし、好機でもある！妖異を倒して調べることができれば、「トンベリ病」の秘密を、解き明かすことができるかもしれないのだから！			海兵魂、海兵魂、海兵魂！							
た、確かに……。ビビってばかりはいられないぞ、Forename君！やろう、僕らで「消えた妖異」を追いかけて倒すんだ！			た、確かに……。ビビってばかりはいられないぞ、Forename君！やろう、僕らで「消えた妖異」を追いかけて倒すんだ！			海兵魂、海兵魂、海兵魂！							
だが、相手は姿を消す能力の持ち主。私が行方を捜している間に、君たちには決戦に備えてもらおう。……紹介しよう、君たちに必勝の力をもたらす教官を！			だが、相手は姿を消す能力の持ち主。私が行方を捜している間に、君たちには決戦に備えてもらおう。……紹介しよう、君たちに必勝の力をもたらす教官を！			海兵魂、海兵魂、海兵魂！							
俺の名は、ハルガ・トルガ！ニーム海兵団戦闘訓練主任、海兵軍曹だ！貴様らをシゴいてシゴいて、シゴき倒してやる、覚悟しろ！			俺の名は、ハルガ・トルガ！ニーム海兵団戦闘訓練主任、海兵軍曹だ！貴様らをシゴいてシゴいて、シゴき倒してやる、覚悟しろ！			海兵魂、海兵魂、海兵魂！							
で、で、伝説の最強軍団の訓練を僕たちが！？す、すごいぞ、Forename君！僕たちは、まだまだ強くなれるんだ！			で、で、伝説の最強軍団の訓練を僕たちが！？す、すごいぞ、Forename君！僕たちは、まだまだ強くなれるんだ！			海兵魂、海兵魂、海兵魂！							
ハルガ・トルガの訓練は厳しいぞ。しかし、成し遂げれば必ずや力となるだろう。			ハルガ・トルガの訓練は厳しいぞ。しかし、成し遂げれば必ずや力となるだろう。			海兵魂、海兵魂、海兵魂！							
うおおおおお、ぼ、僕はやるぞ！本物の海兵になるんだぁぁぁ！			うおおおおお、ぼ、僕はやるぞ！本物の海兵になるんだぁぁぁ！			海兵魂、海兵魂、海兵魂！							
貴様ら、新生「海兵団」を名乗っているそうだな！？お前のような「微笑みメガネ」が海兵だと？ハッハッハッハッ……笑わせるな！！			貴様ら、新生「海兵団」を名乗っているそうだな！？お前のような「微笑みメガネ」が海兵だと？ハッハッハッハッ……笑わせるな！！			海兵魂、海兵魂、海兵魂！							
それに、こっちが軍学を継承した「次代の学者」だと？お前のような「アホヅラガリヒョロクソチビドブネコクソデカウロコケダラケデカミミ娘野郎」が！？ふたりして、俺を笑い死にさせるつもりか！！			それに、こっちが軍学を継承した「次代の学者」だと？お前のような「アホヅラガリヒョロクソチビドブネコクソデカウロコケダラケデカミミ娘野郎」が！？ふたりして、俺を笑い死にさせるつもりか！！			海兵魂、海兵魂、海兵魂！							
だが、俺の訓練を乗り越えれば、貴様らお笑い「珍兵団」も、いっぱしの戦力になるだろう！さあ、やる気があるなら、「海兵魂」と吠えてみろ！！			だが、俺の訓練を乗り越えれば、貴様らお笑い「珍兵団」も、いっぱしの戦力になるだろう！さあ、やる気があるなら、「海兵魂」と吠えてみろ！！			海兵魂、海兵魂、海兵魂！							
チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで『海兵魂』を含む好きな言葉を入力し、ハルガ・トルガに答えましょう。			チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで『海兵魂』を含む好きな言葉を入力し、ハルガ・トルガに答えましょう。			海兵魂、海兵魂、海兵魂！							
海兵魂			海兵魂			海兵魂、海兵魂、海兵魂！							
どうした、「海兵魂」と吠えてみろ！やる気がないなら、とっとと帰って、マメット相手に学者ごっこでもしていやがれ！！			どうした、「海兵魂」と吠えてみろ！やる気がないなら、とっとと帰って、マメット相手に学者ごっこでもしていやがれ！！			海兵魂、海兵魂、海兵魂！							
チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで『海兵魂』を含む好きな言葉を入力し、ハルガ・トルガに答えましょう。			チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで『海兵魂』を含む好きな言葉を入力し、ハルガ・トルガに答えましょう。			海兵魂、海兵魂、海兵魂！							
海兵魂……！！			海兵魂……！！			海兵魂、海兵魂、海兵魂！							
なんだ貴様ら、その小さな声は！貴様らのおちょぼ口は、嘔吐するためだけのゲロ穴か！？最強軍団の一員になりたいなら、魂の叫びを上げて見ろ！！			なんだ貴様ら、その小さな声は！貴様らのおちょぼ口は、嘔吐するためだけのゲロ穴か！？最強軍団の一員になりたいなら、魂の叫びを上げて見ろ！！			海兵魂、海兵魂、海兵魂！							
再度、チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで『海兵魂』を含む好きな言葉を入力し、ハルガ・トルガに答えましょう。			再度、チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで『海兵魂』を含む好きな言葉を入力し、ハルガ・トルガに答えましょう。			海兵魂、海兵魂、海兵魂！							
海兵魂ぃぃぃぃぃぃぃぃ！！			海兵魂ぃぃぃぃぃぃぃぃ！！			海兵魂、海兵魂、海兵魂！							
そうだ、そうだ、その「海兵魂」を忘れるな！よし、今回は貴様らに別々の課題をあたえてやるぞ！！			そうだ、そうだ、その「海兵魂」を忘れるな！よし、今回は貴様らに別々の課題をあたえてやるぞ！！			海兵魂、海兵魂、海兵魂！							
おい、「アホヅラガリヒョロクソチビドブネコクソデカウロコケダラケデカミミ娘野郎」！そこらでイキがってる「マムージャ傭兵隊長」を見つけて、「大笑い」してバカにしてやれ！			おい、「アホヅラガリヒョロクソチビドブネコクソデカウロコケダラケデカミミ娘野郎」！そこらでイキがってる「マムージャ傭兵隊長」を見つけて、「大笑い」してバカにしてやれ！			海兵魂、海兵魂、海兵魂！							
奴らは、ワンダラーパレスを狙うクズ野郎だ！ブチギレた奴らが襲ってきたら、返り討ちにしてやれ！行け、早く行け、今すぐ行ってこい！！			奴らは、ワンダラーパレスを狙うクズ野郎だ！ブチギレた奴らが襲ってきたら、返り討ちにしてやれ！行け、早く行け、今すぐ行ってこい！！			海兵魂、海兵魂、海兵魂！							
奴らは、ワンダラーパレスを狙うクズ野郎だ！ブチギレた奴らが襲ってきたら、返り討ちにしてやれ！行け、早く行け、今すぐ行ってこい！！			奴らは、ワンダラーパレスを狙うクズ野郎だ！ブチギレた奴らが襲ってきたら、返り討ちにしてやれ！行け、早く行け、今すぐ行ってこい！！			海兵魂、海兵魂、海兵魂！							
なん、だ、貴様は！我ら「光鱗戦闘団」、を、バカにしているの、か？許せ、ん！　皆の者、こやつを叩きのめ、せ！			なん、だ、貴様は！我ら「光鱗戦闘団」、を、バカにしているの、か？許せ、ん！　皆の者、こやつを叩きのめ、せ！			海兵魂、海兵魂、海兵魂！							
なん、だ、貴様は！我ら、を、「光鱗戦闘団」の一員と知、り、声をかけているの、か？			なん、だ、貴様は！我ら、を、「光鱗戦闘団」の一員と知、り、声をかけているの、か？			海兵魂、海兵魂、海兵魂！							
ふたりとも、どうにかこうにか課題を達成したようだな！！「微笑みメガネ」と「アホヅラガリヒョロクソチビドブネコクソデカウロコケダラケデカミミ娘野郎」にしては、上出来だと褒めてやる……			ふたりとも、どうにかこうにか課題を達成したようだな！！「微笑みメガネ」と「アホヅラガリヒョロクソチビドブネコクソデカウロコケダラケデカミミ娘野郎」にしては、上出来だと褒めてやる……			海兵魂、海兵魂、海兵魂！							
……とでも、思ったか！この程度の課題であれば、もっと早くできたはずだ！やっぱり、貴様らはお笑い「珍兵団」だ！！			……とでも、思ったか！この程度の課題であれば、もっと早くできたはずだ！やっぱり、貴様らはお笑い「珍兵団」だ！！			海兵魂、海兵魂、海兵魂！							
そ、そんなぁ…………。たったひとりで、「サラマンダー油」を手に入れて、妙なオジサンに塗りつける訓練に、何の意味があるんですか！			そ、そんなぁ…………。たったひとりで、「サラマンダー油」を手に入れて、妙なオジサンに塗りつける訓練に、何の意味があるんですか！			海兵魂、海兵魂、海兵魂！							
だから、貴様はバカだというのだ！戦場は無慈悲だ！！　己の弱さが、仲間の命を奪う！！			だから、貴様はバカだというのだ！戦場は無慈悲だ！！　己の弱さが、仲間の命を奪う！！			海兵魂、海兵魂、海兵魂！							
弱い海兵は仲間を守れない！　弱い学者は仲間を救えない！最強軍団に、仲間の命を脅かす足手まといは不要だ！！最低限の「個の力」が必要なのだ！！			弱い海兵は仲間を守れない！　弱い学者は仲間を救えない！最強軍団に、仲間の命を脅かす足手まといは不要だ！！最低限の「個の力」が必要なのだ！！			海兵魂、海兵魂、海兵魂！							
「微笑みメガネ」は、あの肉体を見て何も感じなかったのか？「アホヅラガリヒョロクソチビドブネコクソデカウロコケダラケデカミミ娘野郎」は、多数の敵との戦いで、何も得るものがなかったとでも……！？			「微笑みメガネ」は、あの肉体を見て何も感じなかったのか？「アホヅラガリヒョロクソチビドブネコクソデカウロコケダラケデカミミ娘野郎」は、多数の敵との戦いで、何も得るものがなかったとでも……！？			海兵魂、海兵魂、海兵魂！							
それぞれ、今日の訓練を思い出し、修行し直してこい！貴様らが強くならねば、「消えた妖異」をブチのめし、人々を病の脅威から救うことなどできんのだぞ！！			それぞれ、今日の訓練を思い出し、修行し直してこい！貴様らが強くならねば、「消えた妖異」をブチのめし、人々を病の脅威から救うことなどできんのだぞ！！			海兵魂、海兵魂、海兵魂！							
う、う、うおおおおお、僕がバカでしたぁぁぁ！僕は必ず強い海兵になって、「消えた妖異」を倒してみせます！海兵魂！　海兵魂ぃぃ！　海兵魂ぃぃぃぃ！			う、う、うおおおおお、僕がバカでしたぁぁぁ！僕は必ず強い海兵になって、「消えた妖異」を倒してみせます！海兵魂！　海兵魂ぃぃ！　海兵魂ぃぃぃぃ！			海兵魂、海兵魂、海兵魂！							
ひ、ひとりで「サラマンダー油」を採取して、妙なオジサンに塗りつけてくるって課題をあたえられたんだ……。すごい、ヌメヌメで……うっ、うっ……。			ひ、ひとりで「サラマンダー油」を採取して、妙なオジサンに塗りつけてくるって課題をあたえられたんだ……。すごい、ヌメヌメで……うっ、うっ……。			海兵魂、海兵魂、海兵魂！							
キャンプ・トランキルのアルカ・ゾルカは、心配ごとがあるようだ。			キャンプ・トランキルのアルカ・ゾルカは、心配ごとがあるようだ。			フェアリーの行方							
アルカ・ゾルカと話した。未だ目を覚まさないセトトについて、高地ラノシアのワンダラーパレスにいる「スリト・カリト」に相談しよう。			アルカ・ゾルカと話した。未だ目を覚まさないセトトについて、高地ラノシアのワンダラーパレスにいる「スリト・カリト」に相談しよう。			フェアリーの行方							
スリト・カリトの見立てでは、フェアリーの不完全「ライラック」を見つけ出し、消滅させることで、セトトが目を覚ます可能性があるという。キャンプ・トランキルにいる「アルカ・ゾルカ」に報告しよう。			スリト・カリトの見立てでは、フェアリーの不完全「ライラック」を見つけ出し、消滅させることで、セトトが目を覚ます可能性があるという。キャンプ・トランキルにいる「アルカ・ゾルカ」に報告しよう。			フェアリーの行方							
アルカ・ゾルカと話した。途中で現れたランドゥネルによると、「紫色の鬼火」のような姿をした亡霊の目撃情報が相次いでいるらしい。「紫色の鬼火」を探すため、南部森林のアッパーパスにある「指定地点」で見渡そう。			アルカ・ゾルカと話した。途中で現れたランドゥネルによると、「紫色の鬼火」のような姿をした亡霊の目撃情報が相次いでいるらしい。「紫色の鬼火」を探すため、南部森林のアッパーパスにある「指定地点」で見渡そう。			フェアリーの行方							
指定地点で見渡したが、「紫色の鬼火」は見当たらなかった。再度、南部森林のアッパーパスにある「指定地点」で見渡そう。			指定地点で見渡したが、「紫色の鬼火」は見当たらなかった。再度、南部森林のアッパーパスにある「指定地点」で見渡そう。			フェアリーの行方							
指定地点で見渡したが、「紫色の鬼火」は見当たらなかった。さらに、南部森林のアッパーパスにある「指定地点」で見渡そう。			指定地点で見渡したが、「紫色の鬼火」は見当たらなかった。さらに、南部森林のアッパーパスにある「指定地点」で見渡そう。			フェアリーの行方							
指定地点で見渡して、「紫色の鬼火」を見つけた。だが、それはライラックではなく、妖異だったので討伐した。キャンプ・トランキルの「アルカ・ゾルカ」に報告しよう。			指定地点で見渡して、「紫色の鬼火」を見つけた。だが、それはライラックではなく、妖異だったので討伐した。キャンプ・トランキルの「アルカ・ゾルカ」に報告しよう。			フェアリーの行方							
アルカ・ゾルカに報告した。「紫色の鬼火」の捜索は不発に終わったが、ランドゥネルが持ってきた新たな情報によれば、「紫色の鬼火」が古アムダプール市街へと逃げ込んだという。古アムダプール市街への立ち入り許可が下りるまで、入念な準備をして待とう。※学者のレベルが70以上になると、キャンプ・トランキルのアルカ・ゾルカから次の学者クエストを受注することができます			アルカ・ゾルカに報告した。「紫色の鬼火」の捜索は不発に終わったが、ランドゥネルが持ってきた新たな情報によれば、「紫色の鬼火」が古アムダプール市街へと逃げ込んだという。古アムダプール市街への立ち入り許可が下りるまで、入念な準備をして待とう。※学者のレベルが70以上になると、キャンプ・トランキルのアルカ・ゾルカから次の学者クエストを受注することができます			フェアリーの行方							
ワンダラーパレスのスリト・カリトと話す			ワンダラーパレスのスリト・カリトと話す			フェアリーの行方							
キャンプ・トランキルのアルカ・ゾルカに報告			キャンプ・トランキルのアルカ・ゾルカに報告			フェアリーの行方							
指定地点で見渡す			指定地点で見渡す			フェアリーの行方							
指定地点で再度見渡す			指定地点で再度見渡す			フェアリーの行方							
指定地点でさらに見渡す			指定地点でさらに見渡す			フェアリーの行方							
キャンプ・トランキルのアルカ・ゾルカに報告			キャンプ・トランキルのアルカ・ゾルカに報告			フェアリーの行方							
……おかしい、おかしいよ。あれからずっと、セトトは眠ったままだ。			……おかしい、おかしいよ。あれからずっと、セトトは眠ったままだ。			フェアリーの行方							
セトトは、トンベリ病によって体内エーテルに変異が生じている。その状態で無理やりフェアリーを召喚しようとして、極度のエーテル不足に陥った……			セトトは、トンベリ病によって体内エーテルに変異が生じている。その状態で無理やりフェアリーを召喚しようとして、極度のエーテル不足に陥った……			フェアリーの行方							
……というのが、スリト・カリトさんが立てた仮説だ。			……というのが、スリト・カリトさんが立てた仮説だ。			フェアリーの行方							
通常は、休息を取ることでエーテルは回復するはずなんだ。だからしばらく様子を見ていたんだけど、そんな兆しは見えない。			通常は、休息を取ることでエーテルは回復するはずなんだ。だからしばらく様子を見ていたんだけど、そんな兆しは見えない。			フェアリーの行方							
……すまないけど、Forename君。「スリト・カリト」さんに相談してきてくれないか？僕は、ここに残ってセトトの看病をしなくちゃ。			……すまないけど、Forename君。「スリト・カリト」さんに相談してきてくれないか？僕は、ここに残ってセトトの看病をしなくちゃ。			フェアリーの行方							
緑の化け物の嬢ちゃんは、この鬼哭隊六番槍隊長、ランドゥネルが責任持って面倒見てやる。だから、安心しな。			緑の化け物の嬢ちゃんは、この鬼哭隊六番槍隊長、ランドゥネルが責任持って面倒見てやる。だから、安心しな。			フェアリーの行方							
……そうか、セトトはまだ目を覚まさないか。			……そうか、セトトはまだ目を覚まさないか。			フェアリーの行方							
通常、フェアリー召喚とは、術者である学者のエーテルを分割し、使い魔として実体化させるもの。			通常、フェアリー召喚とは、術者である学者のエーテルを分割し、使い魔として実体化させるもの。			フェアリーの行方							
召喚を解くことで、エーテルは学者自身に還るため、セトトのような昏睡状態に陥るようなことはないのだ。			召喚を解くことで、エーテルは学者自身に還るため、セトトのような昏睡状態に陥るようなことはないのだ。			フェアリーの行方							
……待て、もしかすると私は思い違いをしているのかもしれない。セトトはフェアリーの召喚に失敗したと決めつけていたが、実は、不完全ながらも成功していたんじゃないのか？			……待て、もしかすると私は思い違いをしているのかもしれない。セトトはフェアリーの召喚に失敗したと決めつけていたが、実は、不完全ながらも成功していたんじゃないのか？			フェアリーの行方							
つまり、無理に召喚しようとしたときに、意識を失うほど、大量のエーテルを放出したという仮説だ。			つまり、無理に召喚しようとしたときに、意識を失うほど、大量のエーテルを放出したという仮説だ。			フェアリーの行方							
そうして、不完全ながらも形成されたフェアリーが、古城アムダプールの外へと飛び去って行ったのかもしれない。この推論が正しければ、彼女を目覚めさせる方法はひとつしかない。			そうして、不完全ながらも形成されたフェアリーが、古城アムダプールの外へと飛び去って行ったのかもしれない。この推論が正しければ、彼女を目覚めさせる方法はひとつしかない。			フェアリーの行方							
フェアリーの不完全体「ライラック」を捜し、消滅させることだ。そうすれば、エーテルがセトトの体へと還り、目を覚ますはず。急ぎ、「アルカ・ゾルカ」君に、このことを伝えてくれ！			フェアリーの不完全体「ライラック」を捜し、消滅させることだ。そうすれば、エーテルがセトトの体へと還り、目を覚ますはず。急ぎ、「アルカ・ゾルカ」君に、このことを伝えてくれ！			フェアリーの行方							
緑の化け物の嬢ちゃんは、まだ目を覚ましてねェ。本当に眠っているだけなのか？			緑の化け物の嬢ちゃんは、まだ目を覚ましてねェ。本当に眠っているだけなのか？			フェアリーの行方							
「スリト・カリト」さんに相談すれば、何かわかるかもしれない。すまないが、ブロンズレイクに急いでくれ！			「スリト・カリト」さんに相談すれば、何かわかるかもしれない。すまないが、ブロンズレイクに急いでくれ！			フェアリーの行方							
Forename君、戻ったか。それで、スリト・カリトさんはなんと？			Forename君、戻ったか。それで、スリト・カリトさんはなんと？			フェアリーの行方							
ライラックを探して、消滅させろって？			ライラックを探して、消滅させろって？			フェアリーの行方							
確かに、セトトが倒れたとき、紫色のオーラが、城の外へと飛び去っていったような……あれは、不完全な状態で呼び出されたライラックだったのか！			確かに、セトトが倒れたとき、紫色のオーラが、城の外へと飛び去っていったような……あれは、不完全な状態で呼び出されたライラックだったのか！			フェアリーの行方							
しかし、消え去ったライラックを、いったいどうやって探せばいいんだ……。			しかし、消え去ったライラックを、いったいどうやって探せばいいんだ……。			フェアリーの行方							
テメェら、どうかしたのか？			テメェら、どうかしたのか？			フェアリーの行方							
はァ……フェアリーの不完全体ねェ……。そいつは、紫の球みてェな姿をしてやがるのか？			はァ……フェアリーの不完全体ねェ……。そいつは、紫の球みてェな姿をしてやがるのか？			フェアリーの行方							
