剣術士ギルドのミラは何やら慌てているようだ。			剣術士ギルドのミラは何やら慌てているようだ。			ナルザルの双剣							
はぁ……歩いてたら、いきなり「お前、アルディスか!?」なんて意味不明なこと言われて、襲われたんだ……こ、怖かったよォ～。			はぁ……歩いてたら、いきなり「お前、アルディスか!?」なんて意味不明なこと言われて、襲われたんだ……こ、怖かったよォ～。			剣閃は槍を折る							
襲撃犯の討伐、御苦労だったな。どうやら、犯人グループは、黒衣森から流れたシェーダー族の傭兵団らしい。			襲撃犯の討伐、御苦労だったな。どうやら、犯人グループは、黒衣森から流れたシェーダー族の傭兵団らしい。			剣閃は槍を折る							
(CUT)			(CUT)			剣閃は槍を折る							
(CUT)			(CUT)			剣閃は槍を折る							
(CUT)			(CUT)			剣閃は槍を折る							
きっと故郷で食い詰め、目先の金欲しさにザナラーンに流れてきたんだろう。傭兵団も一歩間違えれば、盗賊団と変わらんな。			きっと故郷で食い詰め、目先の金欲しさにザナラーンに流れてきたんだろう。傭兵団も一歩間違えれば、盗賊団と変わらんな。			剣閃は槍を折る							
……しかし妙な話だな。「剣術士」ばかりを狙った犯行というのが解せない。いったい奴らは何が目的なんだ？			……しかし妙な話だな。「剣術士」ばかりを狙った犯行というのが解せない。いったい奴らは何が目的なんだ？			剣閃は槍を折る							
マスター！			マスター！			剣閃は槍を折る							
どうした？			どうした？			剣閃は槍を折る							
例のシェーダー族の槍術傭兵団が、ブラックブラッシュ近郊に出現したとの報告です！			例のシェーダー族の槍術傭兵団が、ブラックブラッシュ近郊に出現したとの報告です！			剣閃は槍を折る							
……ちっ、やつら複数いたのか……。よし、Forename、乗りかけた船だ。お前にさらなる傭兵団の討伐を任じる。			……ちっ、やつら複数いたのか……。よし、Forename、乗りかけた船だ。お前にさらなる傭兵団の討伐を任じる。			剣閃は槍を折る							
(CUT)			(CUT)			剣閃は槍を折る							
(CUT)			(CUT)			剣閃は槍を折る							
おい、ブルース。今度の戦いはForenameだけでは心もとない。先輩であるお前が共に行き、討伐の手助けをしろ。			おい、ブルース。今度の戦いはForenameだけでは心もとない。先輩であるお前が共に行き、討伐の手助けをしろ。			剣閃は槍を折る							
(CUT)			(CUT)			剣閃は槍を折る							
(CUT)			(CUT)			剣閃は槍を折る							
新米のお守りってやつですか？いいでしょう。かわいがってやりますよ。			新米のお守りってやつですか？いいでしょう。かわいがってやりますよ。			剣閃は槍を折る							
いいか、Forename Surname。今回は敵味方の双方が入り乱れる集団戦になる。相手の「敵視」を引きつけること、忘れるな！			いいか、Forename Surname。今回は敵味方の双方が入り乱れる集団戦になる。相手の「敵視」を引きつけること、忘れるな！			剣閃は槍を折る							
(CUT)			(CUT)			剣閃は槍を折る							
(CUT)			(CUT)			剣閃は槍を折る							
(CUT)			(CUT)			剣閃は槍を折る							
(CUT)			(CUT)			剣閃は槍を折る							
(CUT)			(CUT)			剣閃は槍を折る							
頼んだぜ、新米！俺の背中を預けられるに足る剣術士か、戦場でじっくり見極めてやるからな。			頼んだぜ、新米！俺の背中を預けられるに足る剣術士か、戦場でじっくり見極めてやるからな。			剣閃は槍を折る							
よし、任務開始だ！シェーダー族の邪な槍を、その剣で叩き折ってこい！			よし、任務開始だ！シェーダー族の邪な槍を、その剣で叩き折ってこい！			剣閃は槍を折る							
槍術傭兵団の目撃情報はこのへんらしい。ここはじっくり「待機」して、敵が再び出現するのを待つぞ。			槍術傭兵団の目撃情報はこのへんらしい。ここはじっくり「待機」して、敵が再び出現するのを待つぞ。			剣閃は槍を折る							
よくやった！お前が敵を引きつけてくれたおかげで命拾いしたぜ。さぁ、早く帰って、お褒めの言葉を頂こうぜ。へへ。			よくやった！お前が敵を引きつけてくれたおかげで命拾いしたぜ。さぁ、早く帰って、お褒めの言葉を頂こうぜ。へへ。			剣閃は槍を折る							
見事だ。Forename Surname。お前の戦いぶり、ブルースの報告により聞き及んでいるぞ。			見事だ。Forename Surname。お前の戦いぶり、ブルースの報告により聞き及んでいるぞ。			剣閃は槍を折る							
今回の戦いで、お前は大きな実りを得た。そこでお前に、ひとつ褒美をやろう。……本意ではないのだが、取り決めだ、仕方ない。			今回の戦いで、お前は大きな実りを得た。そこでお前に、ひとつ褒美をやろう。……本意ではないのだが、取り決めだ、仕方ない。			剣閃は槍を折る							
Forename Surname。お前に「他のギルドで術を学ぶこと」を許可しよう。			Forename Surname。お前に「他のギルドで術を学ぶこと」を許可しよう。			剣閃は槍を折る							
ウルダハで戦闘技術を学ぶなら「格闘」「呪術」、生産技術を学ぶなら「裁縫」「彫金」「錬金術」、採集技術を学ぶなら「採掘」……いろいろある。			ウルダハで戦闘技術を学ぶなら「格闘」「呪術」、生産技術を学ぶなら「裁縫」「彫金」「錬金術」、採集技術を学ぶなら「採掘」……いろいろある。			剣閃は槍を折る							
Forename。お前を手放すのは……惜しい。			Forename。お前を手放すのは……惜しい。			剣閃は槍を折る							
とにかく、剣の道は一日にしてならず！精進を怠るな！			とにかく、剣の道は一日にしてならず！精進を怠るな！			剣閃は槍を折る							
「クラスチェンジ」が開放されました。他のクラスのギルドを訪れ、受付に話しかけると新たなクラスを習得するためのクエストが発行されます。			「クラスチェンジ」が開放されました。他のクラスのギルドを訪れ、受付に話しかけると新たなクラスを習得するためのクエストが発行されます。			剣閃は槍を折る							
エオルゼアには、さまざまなクラスが存在します。まずは、現在学んでいる「剣術」について熟知し、そのうえで他のクラスを学ぶと、より理解が深まるでしょう。			エオルゼアには、さまざまなクラスが存在します。まずは、現在学んでいる「剣術」について熟知し、そのうえで他のクラスを学ぶと、より理解が深まるでしょう。			剣閃は槍を折る							
そういえば、お前やブルースの報告によると、奴らは、賞金を目当てに剣術士を狙っていたんだな？賞金首の剣術士……誰なんだ……？			そういえば、お前やブルースの報告によると、奴らは、賞金を目当てに剣術士を狙っていたんだな？賞金首の剣術士……誰なんだ……？			剣閃は槍を折る							
「謎の剣術士」の正体は……？			「謎の剣術士」の正体は……？			剣閃は槍を折る							
やつらは「アルディス」と言っていた。			やつらは「アルディス」と言っていた。			剣閃は槍を折る							
やつらは「ナイディス」と言っていた。			やつらは「ナイディス」と言っていた。			剣閃は槍を折る							
アルディスだと！？おい！　Forename今、お前、「アルディス」と言ったのか！？			アルディスだと！？おい！　Forename今、お前、「アルディス」と言ったのか！？			剣閃は槍を折る							
……まさか。まさか……帰ってきたのか……ウルダハへ……。			……まさか。まさか……帰ってきたのか……ウルダハへ……。			剣閃は槍を折る							
ナイディス？知らん名前だな。まあいい……細かい話は終わりにするか。			ナイディス？知らん名前だな。まあいい……細かい話は終わりにするか。			剣閃は槍を折る							
次のクラスクエストは「レベル15」以上で受注可能になります。レベルを上げ、再度ギルドを訪れてください。			次のクラスクエストは「レベル15」以上で受注可能になります。レベルを上げ、再度ギルドを訪れてください。			剣閃は槍を折る							
敵の気配を感じた！！			敵の気配を感じた！！			剣閃は槍を折る							
クエスト「剣閃は槍を折る」のバトルを開始しますか？			クエスト「剣閃は槍を折る」のバトルを開始しますか？			剣閃は槍を折る							
はい			はい			剣閃は槍を折る							
いいえ			いいえ			剣閃は槍を折る							
シェーダー族の傭兵団を倒せ			シェーダー族の傭兵団を倒せ			剣閃は槍を折る							
ふう、なんとか片付いたか……槍術士ってのは手強いぜ			ふう、なんとか片付いたか……槍術士ってのは手強いぜ			剣閃は槍を折る							
むっ、まだいやがったか！			むっ、まだいやがったか！			剣閃は槍を折る							
その調子だ。敵の攻撃を引き受けてくれ！			その調子だ。敵の攻撃を引き受けてくれ！			剣閃は槍を折る							
槍の特殊攻撃に気をつけろ！動きを読んで避けるんだ！			槍の特殊攻撃に気をつけろ！動きを読んで避けるんだ！			剣閃は槍を折る							
敵を引きつけてくれ！受けた傷は、俺が回復してやる！			敵を引きつけてくれ！受けた傷は、俺が回復してやる！			剣閃は槍を折る							
くっ！　こいつはちょっとキツいぜ……。			くっ！　こいつはちょっとキツいぜ……。			剣閃は槍を折る							
そんな……バカなッ……。			そんな……バカなッ……。			剣閃は槍を折る							
剣術士ギルドのミラは冒険者に剣術士の役割について教えたいようだ。			剣術士ギルドのミラは冒険者に剣術士の役割について教えたいようだ。			戦斧を砕く剣風							
剣術士にとって重要な役割の「敵視」の集め方を学ぶため、「クイックサンド」前にいる「斧術士」にエモート「アピール」をして、彼らの敵視を自分に集めよう。			剣術士にとって重要な役割の「敵視」の集め方を学ぶため、「クイックサンド」前にいる「斧術士」にエモート「アピール」をして、彼らの敵視を自分に集めよう。			戦斧を砕く剣風							
クイックサンド前のごろつき斧術士を追い払った。店の中で店員に絡んでいる「斧術士」にエモート「アピール」して彼の敵視を自分に向けよう。			クイックサンド前のごろつき斧術士を追い払った。店の中で店員に絡んでいる「斧術士」にエモート「アピール」して彼の敵視を自分に向けよう。			戦斧を砕く剣風							
アルディスという剣術士の助けによって、斧術士を追い払うことができた。クイックサンドの「モモディ」に報告しよう。			アルディスという剣術士の助けによって、斧術士を追い払うことができた。クイックサンドの「モモディ」に報告しよう。			戦斧を砕く剣風							
死んだと思われていたアルディスが生きていることに驚くモモディ。彼についてはミラに伝えてはいけないようだ。「剣術士ギルド」に戻り、「ミラ」に報告しよう。			死んだと思われていたアルディスが生きていることに驚くモモディ。彼についてはミラに伝えてはいけないようだ。「剣術士ギルド」に戻り、「ミラ」に報告しよう。			戦斧を砕く剣風							
さきほど追い払った斧術士が、交易所で強盗まがいの狼藉を働いているらしい。「スコーピオン交易所」で「怯えた商人」に話しかけよう。			さきほど追い払った斧術士が、交易所で強盗まがいの狼藉を働いているらしい。「スコーピオン交易所」で「怯えた商人」に話しかけよう。			戦斧を砕く剣風							
怯えた商人は、突然襲いかかってきた斧術士のせいでチョコボが暴走し、荷物を落としてしまったらしい。「狙われた荷物」を調べ、襲ってくる「斧術士」を倒そう。			怯えた商人は、突然襲いかかってきた斧術士のせいでチョコボが暴走し、荷物を落としてしまったらしい。「狙われた荷物」を調べ、襲ってくる「斧術士」を倒そう。			戦斧を砕く剣風							
斧術士を倒すことができた。「怯えた商人」に話しかけ、彼の無事を確認しよう。			斧術士を倒すことができた。「怯えた商人」に話しかけ、彼の無事を確認しよう。			戦斧を砕く剣風							
商人と荷物は無事のようだ。「剣術士ギルド」に戻り、「ミラ」に報告しよう。			商人と荷物は無事のようだ。「剣術士ギルド」に戻り、「ミラ」に報告しよう。			戦斧を砕く剣風							
ミラに報告した。冒険者の剣の素質を認めた彼女は、これからいくつもの試練を与えるという。試練を通して「剣」こそが最強だというミラの教えを学んでいこう。※剣術士のレベルが10以上になると、ミラから次の剣術士クエストを受注することができます。			ミラに報告した。冒険者の剣の素質を認めた彼女は、これからいくつもの試練を与えるという。試練を通して「剣」こそが最強だというミラの教えを学んでいこう。※剣術士のレベルが10以上になると、ミラから次の剣術士クエストを受注することができます。			戦斧を砕く剣風							
クイックサンド前の斧術士に「アピール」する			クイックサンド前の斧術士に「アピール」する			戦斧を砕く剣風							
クイックサンドの店員に絡む斧術士に「アピール」する			クイックサンドの店員に絡む斧術士に「アピール」する			戦斧を砕く剣風							
モモディと話す			モモディと話す			戦斧を砕く剣風							
剣術士ギルドのミラに報告			剣術士ギルドのミラに報告			戦斧を砕く剣風							
スコーピオン交易所近くの怯えた商人と話す			スコーピオン交易所近くの怯えた商人と話す			戦斧を砕く剣風							
狙われた荷物を調べ斧術士を倒す			狙われた荷物を調べ斧術士を倒す			戦斧を砕く剣風							
怯えた商人に荷物をわたす			怯えた商人に荷物をわたす			戦斧を砕く剣風							
剣術士ギルドのミラに報告			剣術士ギルドのミラに報告			戦斧を砕く剣風							
よくきた。Forename。少しずつその手に剣が馴染んできたようだな。			よくきた。Forename。少しずつその手に剣が馴染んできたようだな。			戦斧を砕く剣風							
お前は「敵視」という言葉を知っているか？敵に斬りかかれば、当然、敵は反撃しようとする。この敵から受ける殺意こそが「敵視」だ。			お前は「敵視」という言葉を知っているか？敵に斬りかかれば、当然、敵は反撃しようとする。この敵から受ける殺意こそが「敵視」だ。			戦斧を砕く剣風							
剣術士の最大の目的は、この敵からの「敵視」を自分へと集中させること。自分はもちろん、仲間に向けられた「敵視」もな。			剣術士の最大の目的は、この敵からの「敵視」を自分へと集中させること。自分はもちろん、仲間に向けられた「敵視」もな。			戦斧を砕く剣風							
それにより、敵の攻撃に晒された、か弱い仲間の危機を救うことができる。つまり要約すれば「身代わり」だな。			それにより、敵の攻撃に晒された、か弱い仲間の危機を救うことができる。つまり要約すれば「身代わり」だな。			戦斧を砕く剣風							
ここまで言えば、もうわかるな？目の前の敵を倒すことだけが我々の役割ではない。「敵視」を請け負い仲間を守る、それが剣術士だ。			ここまで言えば、もうわかるな？目の前の敵を倒すことだけが我々の役割ではない。「敵視」を請け負い仲間を守る、それが剣術士だ。			戦斧を砕く剣風							
ちょうどクイックサンドのモモディから依頼があってな。近頃、ウルダハ外部からやってきた斧術士のゴロツキ集団があちこちで問題を起こしているらしい。			ちょうどクイックサンドのモモディから依頼があってな。近頃、ウルダハ外部からやってきた斧術士のゴロツキ集団があちこちで問題を起こしているらしい。			戦斧を砕く剣風							
連中を見つけて、狼藉を止めてこい。ゴロツキどもに「アピール」して、相手の「敵視」を自分へと向けるんだ。			連中を見つけて、狼藉を止めてこい。ゴロツキどもに「アピール」して、相手の「敵視」を自分へと向けるんだ。			戦斧を砕く剣風							
すべてのゴロツキの「敵視」を集めたら、クイックサンドのモモディに報告するんだ。それでは、行ってこい！			すべてのゴロツキの「敵視」を集めたら、クイックサンドのモモディに報告するんだ。それでは、行ってこい！			戦斧を砕く剣風							
何だあんた、こいつの知り合いか？この野郎、俺を騙してボッタクろうとしやがったんだぜ！？いいか！　海の男ナメんじゃねェぞ！			何だあんた、こいつの知り合いか？この野郎、俺を騙してボッタクろうとしやがったんだぜ！？いいか！　海の男ナメんじゃねェぞ！			戦斧を砕く剣風							
あんだ？　てめェ！関係ねェヤツはひっこんでろ！			あんだ？　てめェ！関係ねェヤツはひっこんでろ！			戦斧を砕く剣風							
なんだァ？　俺がなんか悪いことしたってのかァ？フン、わかったよ。消えりゃいいんだろ？　消えりゃア！			なんだァ？　俺がなんか悪いことしたってのかァ？フン、わかったよ。消えりゃいいんだろ？　消えりゃア！			戦斧を砕く剣風							
うるせェ！　横から声かけんなよ！			うるせェ！　横から声かけんなよ！			戦斧を砕く剣風							
あンだよ！　邪魔すんなよ！こいつが海の男をバカにするモンだからよォ！フン、覚えとけよ！			あンだよ！　邪魔すんなよ！こいつが海の男をバカにするモンだからよォ！フン、覚えとけよ！			戦斧を砕く剣風							
てめェ！俺をコケにするたァいい度胸じゃねェかッ！			てめェ！俺をコケにするたァいい度胸じゃねェかッ！			戦斧を砕く剣風							
なんだお前、コイツのツレかァ？何？　乱暴な男は嫌われるだとォ？チッ、お陰で興が削がれちまった。あばよ！			なんだお前、コイツのツレかァ？何？　乱暴な男は嫌われるだとォ？チッ、お陰で興が削がれちまった。あばよ！			戦斧を砕く剣風							
おい、邪魔すんな！いまいいとこなんだよッ！			おい、邪魔すんな！いまいいとこなんだよッ！			戦斧を砕く剣風							
ねェちゃん、なんだよこの酒はァ！ウルダハの酒は、ションベンよりも不味いぜ！			ねェちゃん、なんだよこの酒はァ！ウルダハの酒は、ションベンよりも不味いぜ！			戦斧を砕く剣風							
なんだァ！？　俺を誰だと思ってやがる？泣く子も黙る無敗の傭兵団、「最強戦斧破砕軍団」の切込み隊長「疾風怒濤のファルムル」たァ、俺のことよ！			なんだァ！？　俺を誰だと思ってやがる？泣く子も黙る無敗の傭兵団、「最強戦斧破砕軍団」の切込み隊長「疾風怒濤のファルムル」たァ、俺のことよ！			戦斧を砕く剣風							
ん？　なんだてめェ、その反抗的な目は？やろうってのか？　面白れェ！斧の錆にしてやらァ！			ん？　なんだてめェ、その反抗的な目は？やろうってのか？　面白れェ！斧の錆にしてやらァ！			戦斧を砕く剣風							
(-？？？？-)お～お、クイックサンドもずいぶんと賑やかになったじゃねェか。パーティでも開こうってのかい？			(-？？？？-)お～お、クイックサンドもずいぶんと賑やかになったじゃねェか。パーティでも開こうってのかい？			戦斧を砕く剣風							
なんだてめェ!?俺を誰だと思って……			なんだてめェ!?俺を誰だと思って……			戦斧を砕く剣風							
(-風格のある男-)「しっぷーどとーのナントカ」だろ？でけェ声だったからな。聞こえてたぜ。			(-風格のある男-)「しっぷーどとーのナントカ」だろ？でけェ声だったからな。聞こえてたぜ。			戦斧を砕く剣風							
だったら話は早ェ！俺の斧で頭カチ割られたくなかったら、さっさと……			だったら話は早ェ！俺の斧で頭カチ割られたくなかったら、さっさと……			戦斧を砕く剣風							
そ、そ、その剣はッ!?も、もももももしかして「フレンジー」！ま、まさかアンタ、剣術士「ナルザルの双剣」ッ！？			そ、そ、その剣はッ!?も、もももももしかして「フレンジー」！ま、まさかアンタ、剣術士「ナルザルの双剣」ッ！？			戦斧を砕く剣風							
(-風格のある男-)やめてくれよ。みっともねェ。でも、パーティの余興ってんなら、手伝ってやるぜ？			(-風格のある男-)やめてくれよ。みっともねェ。でも、パーティの余興ってんなら、手伝ってやるぜ？			戦斧を砕く剣風							
し、し、失礼しまっす…………！			し、し、失礼しまっす…………！			戦斧を砕く剣風							
(-風格のある男-)おいおい、もう終わりかよ、ったく。パーティだったらダンスのひとつも踊れってんだ。			(-風格のある男-)おいおい、もう終わりかよ、ったく。パーティだったらダンスのひとつも踊れってんだ。			戦斧を砕く剣風							
(-風格のある男-)お前、ヒヨっ子剣士ってとこか？バカだが、度胸だけはあるようだな。そういう奴は嫌いじゃない。気に入ったぜ。			(-風格のある男-)お前、ヒヨっ子剣士ってとこか？バカだが、度胸だけはあるようだな。そういう奴は嫌いじゃない。気に入ったぜ。			戦斧を砕く剣風							
(-風格のある男-)自己紹介が遅れたな、俺の名はアルディス。一杯くらいおごってやりたいところだが……ついさっきウルダハに着いたばかりで文無しでな。			(-風格のある男-)自己紹介が遅れたな、俺の名はアルディス。一杯くらいおごってやりたいところだが……ついさっきウルダハに着いたばかりで文無しでな。			戦斧を砕く剣風							
一応、お前の同業者だが、とっくに廃業さ。だから今は……探検家ってとこかな、もっとも探すのは主にカワイコちゃんだがね。			一応、お前の同業者だが、とっくに廃業さ。だから今は……探検家ってとこかな、もっとも探すのは主にカワイコちゃんだがね。			戦斧を砕く剣風							
さて、そろそろ帰って寝るとするか。清潔なシーツと、抱き心地のいい女。へへ……「ようこそウルダハ、放埒と享楽の都よ」ってやつだ。			さて、そろそろ帰って寝るとするか。清潔なシーツと、抱き心地のいい女。へへ……「ようこそウルダハ、放埒と享楽の都よ」ってやつだ。			戦斧を砕く剣風							
助けてくれてありがとう。……さっきの男「アルディス」って言ってたわよね？てっきり死んだとばかり思ってたわ……。			助けてくれてありがとう。……さっきの男「アルディス」って言ってたわよね？てっきり死んだとばかり思ってたわ……。			戦斧を砕く剣風							
ねぇ、Forename、お願いがあるの。ギルドに帰ってミラに会っても、アルディスと出会ったことは、彼女には言わないで。			ねぇ、Forename、お願いがあるの。ギルドに帰ってミラに会っても、アルディスと出会ったことは、彼女には言わないで。			戦斧を砕く剣風							
なぜって？　それは……大人の事情ってところかしら。そう、ここはウルダハ。人生が流砂のごとく、入り混じる場所なのよ……。			なぜって？　それは……大人の事情ってところかしら。そう、ここはウルダハ。人生が流砂のごとく、入り混じる場所なのよ……。			戦斧を砕く剣風							
どうだ？　「敵視」はうまく操れたか？敵の刃から仲間を守る一歩目だからな。剣術士として、努々忘れるなよ。			どうだ？　「敵視」はうまく操れたか？敵の刃から仲間を守る一歩目だからな。剣術士として、努々忘れるなよ。			戦斧を砕く剣風							
さて、次はいよいよ実戦だ。先程、お前がクイックサンドで追っ払った男が、「スコーピオン交易所」で暴れていると報告があった。			さて、次はいよいよ実戦だ。先程、お前がクイックサンドで追っ払った男が、「スコーピオン交易所」で暴れていると報告があった。			戦斧を砕く剣風							
相手はゴロツキだが、斧術士だ。治安維持のため、剣術士ギルドの名にかけて、きっちりとお灸をすえてこい！			相手はゴロツキだが、斧術士だ。治安維持のため、剣術士ギルドの名にかけて、きっちりとお灸をすえてこい！			戦斧を砕く剣風							
暴漢に襲われて……チョコボが逃げ出しちまった。追って荷物を取り戻してくれ！			暴漢に襲われて……チョコボが逃げ出しちまった。追って荷物を取り戻してくれ！			戦斧を砕く剣風							
ありがとう！　助かったぜ。まったく……最近は物騒になったもんだ。			ありがとう！　助かったぜ。まったく……最近は物騒になったもんだ。			戦斧を砕く剣風							
よーし、よく生きて帰ってきたな！まずは第一試練、合格というところか……ふふ、なかなか見込みがあるようだ。			よーし、よく生きて帰ってきたな！まずは第一試練、合格というところか……ふふ、なかなか見込みがあるようだ。			戦斧を砕く剣風							
私はギルドマスターとして、これからお前に幾つもの試練を課すだろう。			私はギルドマスターとして、これからお前に幾つもの試練を課すだろう。			戦斧を砕く剣風							
その戦いを通じて、お前に覚えてもらいたいことは、ただひとつのみ。それは「剣」こそが最強だということだ！			その戦いを通じて、お前に覚えてもらいたいことは、ただひとつのみ。それは「剣」こそが最強だということだ！			戦斧を砕く剣風							
今日の相手は「斧術士」だったが……さて……次はどんな得物の敵を相手にするかな？			今日の相手は「斧術士」だったが……さて……次はどんな得物の敵を相手にするかな？			戦斧を砕く剣風							
だが今のお前には、次の試練はまだ早すぎる。再び試練を与えるまで、もう少し自己修練を積むがいい。楽しみにしているぞ。			だが今のお前には、次の試練はまだ早すぎる。再び試練を与えるまで、もう少し自己修練を積むがいい。楽しみにしているぞ。			戦斧を砕く剣風							
よぅ。君みたいな美女に話かけられるなんて、光栄だな。邪魔しないでくれ。ひとりで呑むのが好きなんだ。二人の出会いにカンパイ、といこうか。もっとも、アンタがカワイコちゃんなら話は別だがな。			よぅ。君みたいな美女に話かけられるなんて、光栄だな。邪魔しないでくれ。ひとりで呑むのが好きなんだ。二人の出会いにカンパイ、といこうか。もっとも、アンタがカワイコちゃんなら話は別だがな。			戦斧を砕く剣風							
敵の気配を感じた！！			敵の気配を感じた！！			戦斧を砕く剣風							
剣術士ギルドへの入門を認められた冒険者。受け取った剣を装備して「ミラ」に声をかけよう。			剣術士ギルドへの入門を認められた冒険者。受け取った剣を装備して「ミラ」に声をかけよう。			汝、剣を取れ							
ミラから剣術士ギルドへの入門を認められた冒険者。剣に慣れるために「マーモット」「ヒュージ・ホーネット」「スナッピング・シュルー」を3匹ずつ討伐しよう。			ミラから剣術士ギルドへの入門を認められた冒険者。剣に慣れるために「マーモット」「ヒュージ・ホーネット」「スナッピング・シュルー」を3匹ずつ討伐しよう。			汝、剣を取れ							
指定された魔物の討伐を終えた。「剣術士ギルド」の「ミラ」に報告しよう。			指定された魔物の討伐を終えた。「剣術士ギルド」の「ミラ」に報告しよう。			汝、剣を取れ							
ミラは冒険者を認めてくれた。剣の道は果てしなく遠い。心して修行を積んでいこう。※剣術士のレベルが5以上になると、ミラから次の剣術士クエストを受注することができます。			ミラは冒険者を認めてくれた。剣の道は果てしなく遠い。心して修行を積んでいこう。※剣術士のレベルが5以上になると、ミラから次の剣術士クエストを受注することができます。			汝、剣を取れ							
剣術でマーモットを討伐			剣術でマーモットを討伐			汝、剣を取れ							
剣術でヒュージ・ホーネットを討伐			剣術でヒュージ・ホーネットを討伐			汝、剣を取れ							
剣術でスナッピング・シュルーを討伐			剣術でスナッピング・シュルーを討伐			汝、剣を取れ							
剣術士ギルドのミラと話す			剣術士ギルドのミラと話す			汝、剣を取れ							
ふむ、ちゃんと装備できたようだな。剣を吊るしただけで、顔つきも引き締まったようだ。フフ……似合っているぞ。			ふむ、ちゃんと装備できたようだな。剣を吊るしただけで、顔つきも引き締まったようだ。フフ……似合っているぞ。			汝、剣を取れ							
さて、では試練開始といくか。その勇ましく吊るした剣が飾りではないことをさっそく証明してもらうぞ。			さて、では試練開始といくか。その勇ましく吊るした剣が飾りではないことをさっそく証明してもらうぞ。			汝、剣を取れ							
街の門を出たところにいる「マーモット」「ヒュージ・ホーネット」「スナッピング・シュルー」の3種類の魔物を、3匹ずつ倒してこい。			街の門を出たところにいる「マーモット」「ヒュージ・ホーネット」「スナッピング・シュルー」の3種類の魔物を、3匹ずつ倒してこい。			汝、剣を取れ							
もちろん剣で倒すんだぞ。さあ、いってこい。私を失望させてくれるなよ。Forename Surname！			もちろん剣で倒すんだぞ。さあ、いってこい。私を失望させてくれるなよ。Forename Surname！			汝、剣を取れ							
帰ってきたか、Forename Surname。どうだ？　危うげなく魔物退治はできたか？			帰ってきたか、Forename Surname。どうだ？　危うげなく魔物退治はできたか？			汝、剣を取れ							
今回の戦いの感触を忘れることなく、これからも、ただひたむきに剣を振れ。そして場数を踏め。			今回の戦いの感触を忘れることなく、これからも、ただひたむきに剣を振れ。そして場数を踏め。			汝、剣を取れ							
そして握った剣の柄が、手に馴染んだと感じたとき、またここに来るがいい。期待しているぞ、新入り！			そして握った剣の柄が、手に馴染んだと感じたとき、またここに来るがいい。期待しているぞ、新入り！			汝、剣を取れ							
「剣術士」のクラスクエストが開始されました。次のクエストは「レベル5」以上で受注可能になります。レベルを上げ、再度ギルドを訪れてください。			「剣術士」のクラスクエストが開始されました。次のクエストは「レベル5」以上で受注可能になります。レベルを上げ、再度ギルドを訪れてください。			汝、剣を取れ							
剣術士ギルドの受付ルルツは、 ギルドへの入門手続きをするにあたって、冒険者の心を確かめようとしているようだ。			剣術士ギルドの受付ルルツは、 ギルドへの入門手続きをするにあたって、冒険者の心を確かめようとしているようだ。			最強の剣術士							
ルルツから、ギルドマスター「ミラ」に入門の意思を伝えるよう言われた。剣術士ギルドにいる「ミラ」に声をかけてみよう。			ルルツから、ギルドマスター「ミラ」に入門の意思を伝えるよう言われた。剣術士ギルドにいる「ミラ」に声をかけてみよう。			最強の剣術士							
ミラから剣術士ギルドの一員として剣術を学ぶことを認められた。剣に慣れるために「マーモット」「ヒュージ・ホーネット」「スナッピング・シュルー」を3匹ずつ討伐しよう。			ミラから剣術士ギルドの一員として剣術を学ぶことを認められた。剣に慣れるために「マーモット」「ヒュージ・ホーネット」「スナッピング・シュルー」を3匹ずつ討伐しよう。			最強の剣術士							
指定された魔物の討伐を終えた。「剣術士ギルド」の「ミラ」に報告しよう。			指定された魔物の討伐を終えた。「剣術士ギルド」の「ミラ」に報告しよう。			最強の剣術士							
ミラは冒険者を認めてくれた。剣の道は果てしなく遠い。心して修行を積んでいこう。※剣術士のレベルが5以上になると、ミラから次の剣術士クエストを受注することができます。			ミラは冒険者を認めてくれた。剣の道は果てしなく遠い。心して修行を積んでいこう。※剣術士のレベルが5以上になると、ミラから次の剣術士クエストを受注することができます。			最強の剣術士							
ミラと話す			ミラと話す			最強の剣術士							
剣術でマーモットを討伐			剣術でマーモットを討伐			最強の剣術士							
剣術でヒュージ・ホーネットを討伐			剣術でヒュージ・ホーネットを討伐			最強の剣術士							
剣術でスナッピング・シュルーを討伐			剣術でスナッピング・シュルーを討伐			最強の剣術士							
剣術士ギルドのミラに報告			剣術士ギルドのミラに報告			最強の剣術士							
はぁ～い、こんにちはぁ！「剣術士ギルド」へ、入門希望の方ですかぁ？			はぁ～い、こんにちはぁ！「剣術士ギルド」へ、入門希望の方ですかぁ？			最強の剣術士							
入門希望の方ですかぁ？			入門希望の方ですかぁ？			最強の剣術士							
はい			はい			最強の剣術士							
いいえ			いいえ			最強の剣術士							
なぁ～んだ、ただの冷やかし君かぁ。んでも～、ギルドはいつでも入門大歓迎～！気が向いたら、また声をかけてくださいねぇ～。			なぁ～んだ、ただの冷やかし君かぁ。んでも～、ギルドはいつでも入門大歓迎～！気が向いたら、また声をかけてくださいねぇ～。			最強の剣術士							
かしこまり～、新人一名様ご案内で～す！剣術士ギルドのギルドマスターは、「ミラ」さんっていうんですよぉ。			かしこまり～、新人一名様ご案内で～す！剣術士ギルドのギルドマスターは、「ミラ」さんっていうんですよぉ。			最強の剣術士							
