ゲートタウンのルー・リークは、冒険者に白状したいことがあるようだ。			ゲートタウンのルー・リークは、冒険者に白状したいことがあるようだ。			不滅なる名コンビ							
まったく、お前にはがっかりだよ……。オルヴァラにいくらか金を預けてたんで、最後の報酬はそこから渡すことにする。			まったく、お前にはがっかりだよ……。オルヴァラにいくらか金を預けてたんで、最後の報酬はそこから渡すことにする。			勇気の狩人							
リーク＆Forenameは、これにて解散だ。じゃあな……あばよ。			リーク＆Forenameは、これにて解散だ。じゃあな……あばよ。			勇気の狩人							
どうやら、ケンカしてしまったようね。お金がなくなり、お友達までなくしちゃうなんて……リーク坊ちゃんの、先行きが心配だわ。			どうやら、ケンカしてしまったようね。お金がなくなり、お友達までなくしちゃうなんて……リーク坊ちゃんの、先行きが心配だわ。			勇気の狩人							
あなたには本当に悪いんだけど、また、私のもとに来ていただけないかしら？精一杯のお礼は用意するので、どうか、よろしくお願いします……。			あなたには本当に悪いんだけど、また、私のもとに来ていただけないかしら？精一杯のお礼は用意するので、どうか、よろしくお願いします……。			勇気の狩人							
彷徨う階段亭のルー・リークは、冒険者を心待ちにしているようだ。			彷徨う階段亭のルー・リークは、冒険者を心待ちにしているようだ。			ルー・リークの出自							
ルー・リークは、また人を雇って調べたところ、アンドレイアに罪喰いにされた魔獣の情報を得たようだ。コルシア島のシャドウ・フォールトで「ルー・リーク」と話そう。			ルー・リークは、また人を雇って調べたところ、アンドレイアに罪喰いにされた魔獣の情報を得たようだ。コルシア島のシャドウ・フォールトで「ルー・リーク」と話そう。			ルー・リークの出自							
ルー・リークと話し、大熊型の罪喰いを探して倒すことになった。シャドウ・フォールトの「指定地点」で見渡して、大熊型の罪喰いが現れたら討伐しよう。			ルー・リークと話し、大熊型の罪喰いを探して倒すことになった。シャドウ・フォールトの「指定地点」で見渡して、大熊型の罪喰いが現れたら討伐しよう。			ルー・リークの出自							
指定地点で見渡したところ、大熊型の罪喰いらしき姿はなかった。再度、シャドウ・フォールトの「指定地点」で見渡して、大熊型の罪喰いが現れたら討伐しよう			指定地点で見渡したところ、大熊型の罪喰いらしき姿はなかった。再度、シャドウ・フォールトの「指定地点」で見渡して、大熊型の罪喰いが現れたら討伐しよう			ルー・リークの出自							
再度、指定地点で見渡したが、大熊型の罪喰いらしき姿はなかった。ルー・リークが倒しているかもしれないので、シャドウ・フォールトで「ルー・リーク」を探そう。			再度、指定地点で見渡したが、大熊型の罪喰いらしき姿はなかった。ルー・リークが倒しているかもしれないので、シャドウ・フォールトで「ルー・リーク」を探そう。			ルー・リークの出自							
ルー・リークを見つけた。彼のかつての仲間、ランビルドの一行が、大熊型の罪喰いを倒したようだ。ルー・リークの用事に付き合うことになった。ユールモアの「ルー・リーク」と話そう。			ルー・リークを見つけた。彼のかつての仲間、ランビルドの一行が、大熊型の罪喰いを倒したようだ。ルー・リークの用事に付き合うことになった。ユールモアの「ルー・リーク」と話そう。			ルー・リークの出自							
ルー・リークと話したところ、彼の両親を紹介された。彷徨う階段亭に戻り「ルー・リーク」と話そう。			ルー・リークと話したところ、彼の両親を紹介された。彷徨う階段亭に戻り「ルー・リーク」と話そう。			ルー・リークの出自							
ルー・リークは、ユールモアの自由市民の出身だった。彼は金がなくなったようだが、アンドレイアの討伐を狙うため、その行方を調べるという。決戦に備えて、またルー・リークを訪ねよう。※いずれかのファイター系DPSジョブのレベルが76以上になると、彷徨う階段亭のルー・リークから次のファイター系DPSロールクエストを受注することができます。			ルー・リークは、ユールモアの自由市民の出身だった。彼は金がなくなったようだが、アンドレイアの討伐を狙うため、その行方を調べるという。決戦に備えて、またルー・リークを訪ねよう。※いずれかのファイター系DPSジョブのレベルが76以上になると、彷徨う階段亭のルー・リークから次のファイター系DPSロールクエストを受注することができます。			ルー・リークの出自							
シャドウ・フォールトのルー・リークと話す			シャドウ・フォールトのルー・リークと話す			ルー・リークの出自							
指定地点で見渡し、大熊型の罪喰いが現れたら討伐			指定地点で見渡し、大熊型の罪喰いが現れたら討伐			ルー・リークの出自							
指定地点で再度見渡し、大熊型の罪喰いが現れたら討伐			指定地点で再度見渡し、大熊型の罪喰いが現れたら討伐			ルー・リークの出自							
ルー・リークを探す			ルー・リークを探す			ルー・リークの出自							
ユールモアのルー・リークと話す			ユールモアのルー・リークと話す			ルー・リークの出自							
彷徨う階段亭のルー・リークと話す			彷徨う階段亭のルー・リークと話す			ルー・リークの出自							
Forename！来てくれたか、名コンビが集結したってことだな……！			Forename！来てくれたか、名コンビが集結したってことだな……！			ルー・リークの出自							
さっそくだが、アンドレイアがコルシア島で目撃されたんだ。人を雇って調べさせたところ、モブに登録されていた大熊が、ヤツに狩られて罪喰いと化したようだ。			さっそくだが、アンドレイアがコルシア島で目撃されたんだ。人を雇って調べさせたところ、モブに登録されていた大熊が、ヤツに狩られて罪喰いと化したようだ。			ルー・リークの出自							
リーク＆Forenameの出番だぜ。今回も罪喰い化された魔獣を狩って、コンビの練度を高めるぞ！さあ、コルシア島のシャドウ・フォールトに狩りに向かおう！			リーク＆Forenameの出番だぜ。今回も罪喰い化された魔獣を狩って、コンビの練度を高めるぞ！さあ、コルシア島のシャドウ・フォールトに狩りに向かおう！			ルー・リークの出自							
よし、また前回と同じく……二手にわかれて獲物となる大熊型の罪喰いを探し、先に見つけた方が狩る手はずでいこう。			よし、また前回と同じく……二手にわかれて獲物となる大熊型の罪喰いを探し、先に見つけた方が狩る手はずでいこう。			ルー・リークの出自							
前回は後れを取っちまったが、今度は俺も少し本気を出すぜ！それじゃあ、狩猟開始だ！			前回は後れを取っちまったが、今度は俺も少し本気を出すぜ！それじゃあ、狩猟開始だ！			ルー・リークの出自							
大熊型の罪喰いらしき姿はない……。もっと先で探そう。			大熊型の罪喰いらしき姿はない……。もっと先で探そう。			ルー・リークの出自							
やはり、大熊型の罪喰いらしき姿はない……。ルー・リークが倒しているかもしれない。彼を探すことにしよう。			やはり、大熊型の罪喰いらしき姿はない……。ルー・リークが倒しているかもしれない。彼を探すことにしよう。			ルー・リークの出自							
もしかして、アンタが「アホぼん」の新しい仲間か？気の毒にな……。			もしかして、アンタが「アホぼん」の新しい仲間か？気の毒にな……。			ルー・リークの出自							
ひと足、遅かったな。噂の熊型罪喰いなら、俺たちが仕留めたぞ。			ひと足、遅かったな。噂の熊型罪喰いなら、俺たちが仕留めたぞ。			ルー・リークの出自							
悪いが、懸賞金は俺たちがいただく……。			悪いが、懸賞金は俺たちがいただく……。			ルー・リークの出自							
Forename……。残念ながら、先を越されちまったようだ。こいつは「ランビルド」……以前に俺と組んでいたヤツさ。			Forename……。残念ながら、先を越されちまったようだ。こいつは「ランビルド」……以前に俺と組んでいたヤツさ。			ルー・リークの出自							
(-ランビルド-)そうか、アンタが「アホぼん」の新しい仲間か、気の毒にな……。大熊型の罪喰いは、俺たちが仕留めさせてもらった。			(-ランビルド-)そうか、アンタが「アホぼん」の新しい仲間か、気の毒にな……。大熊型の罪喰いは、俺たちが仕留めさせてもらった。			ルー・リークの出自							
そいつは、アンドレイアに罪喰い化させられたばかりだ。いったい、どこでその情報を掴んだ……？			そいつは、アンドレイアに罪喰い化させられたばかりだ。いったい、どこでその情報を掴んだ……？			ルー・リークの出自							
(-ランビルド-)お前が雇った女を買収し、先に情報を流してもらったまでさ。金で動くヤツは、金次第でいくらでも裏切るもんだな。			(-ランビルド-)お前が雇った女を買収し、先に情報を流してもらったまでさ。金で動くヤツは、金次第でいくらでも裏切るもんだな。			ルー・リークの出自							
(-ランビルド-)今度は、そいつとアンドレイア討伐を狙っているのか？だが……おかしいなぁ……			(-ランビルド-)今度は、そいつとアンドレイア討伐を狙っているのか？だが……おかしいなぁ……			ルー・リークの出自							
(-ランビルド-)確かお前は、俺のもとを去っていったとき、「ヤツをひとりで倒す」って豪語してなかったか……？			(-ランビルド-)確かお前は、俺のもとを去っていったとき、「ヤツをひとりで倒す」って豪語してなかったか……？			ルー・リークの出自							
(-ランビルド-)まあいい……。どのみち、アンドレイアは俺たちの獲物だ。こっちはお前なんかより、ずっといい仲間を集めたからな。			(-ランビルド-)まあいい……。どのみち、アンドレイアは俺たちの獲物だ。こっちはお前なんかより、ずっといい仲間を集めたからな。			ルー・リークの出自							
(-ランビルド-)ところで、お前の新しいお仲間には……いくら払ったんだ？			(-ランビルド-)ところで、お前の新しいお仲間には……いくら払ったんだ？			ルー・リークの出自							
だ、黙れ、この野郎！とっとと、去りやがれ……！			だ、黙れ、この野郎！とっとと、去りやがれ……！			ルー・リークの出自							
(-ランビルド-)こんな「アホぼん」と組むなんて、アンタも災難だな。いいか、仲間はちゃんと選んだ方がいいぞ。ま、うすうす感づいてるだろうが……。			(-ランビルド-)こんな「アホぼん」と組むなんて、アンタも災難だな。いいか、仲間はちゃんと選んだ方がいいぞ。ま、うすうす感づいてるだろうが……。			ルー・リークの出自							
ま、まあ、ランビルドが言ったことは気にしないでくれ。アイツとは、アンドレイアの討伐を目指して、ふたりで、はぐれ罪喰いを狩って腕を磨いていたんだ。			ま、まあ、ランビルドが言ったことは気にしないでくれ。アイツとは、アンドレイアの討伐を目指して、ふたりで、はぐれ罪喰いを狩って腕を磨いていたんだ。			ルー・リークの出自							
だが、全然使えなかったもんでな。標的に挑む前に、俺からクビにしてやったのさ。それにしても、ランビルドのヤツめ、早くも仲間を……。			だが、全然使えなかったもんでな。標的に挑む前に、俺からクビにしてやったのさ。それにしても、ランビルドのヤツめ、早くも仲間を……。			ルー・リークの出自							
うかうかしていると、アンドレイアまで、アイツらに横取りされかねないな。そろそろ、腕試しも終いとするか……。			うかうかしていると、アンドレイアまで、アイツらに横取りされかねないな。そろそろ、腕試しも終いとするか……。			ルー・リークの出自							
ところで、実はこの島には、もうひとつ用事があったんだ。悪いがお前にも付きあってほしい。「ユールモア」まで来てくれ。			ところで、実はこの島には、もうひとつ用事があったんだ。悪いがお前にも付きあってほしい。「ユールモア」まで来てくれ。			ルー・リークの出自							
見てわからんか？ショーを楽しんでいるんだ、話しかけないでもらいたい。			見てわからんか？ショーを楽しんでいるんだ、話しかけないでもらいたい。			ルー・リークの出自							
これは、これは、リーク様の……まさか、お友達でしょうか？			これは、これは、リーク様の……まさか、お友達でしょうか？			ルー・リークの出自							
Forename、紹介させてくれ、俺の父さんと母さんだ……。			Forename、紹介させてくれ、俺の父さんと母さんだ……。			ルー・リークの出自							
父さん、俺の親友のForenameだ……。			父さん、俺の親友のForenameだ……。			ルー・リークの出自							
こいつはとてもいいヤツで、俺と凄く気が合うんだ。いま、ふたりで大物を狙っているところさ。			こいつはとてもいいヤツで、俺と凄く気が合うんだ。いま、ふたりで大物を狙っているところさ。			ルー・リークの出自							
その獲物は本当に危険極まりないヤツで、仕留めることができたら、俺は大きな手柄を立てられるんだぜ！			その獲物は本当に危険極まりないヤツで、仕留めることができたら、俺は大きな手柄を立てられるんだぜ！			ルー・リークの出自							
なあ……父さん……聞いてくれよ……			なあ……父さん……聞いてくれよ……			ルー・リークの出自							
それは、私の愉しみを邪魔してまで聞くことかね……？狩りごっこでも何でも、勝手にすればいい。家の名を汚すことさえなければな。			それは、私の愉しみを邪魔してまで聞くことかね……？狩りごっこでも何でも、勝手にすればいい。家の名を汚すことさえなければな。			ルー・リークの出自							
で、いくら欲しいんだ？小遣いがなくなったんだろう？使用人に渡してあるから、好きなだけ持っていけ……。			で、いくら欲しいんだ？小遣いがなくなったんだろう？使用人に渡してあるから、好きなだけ持っていけ……。			ルー・リークの出自							
君もどうせ、金目当てなんだろう？まあ、せいぜい息子に尽くしてくれたまえ……。			君もどうせ、金目当てなんだろう？まあ、せいぜい息子に尽くしてくれたまえ……。			ルー・リークの出自							
金なんかいらねえよッ！帰るぞ、Forename……！			金なんかいらねえよッ！帰るぞ、Forename……！			ルー・リークの出自							
リーク様は、去ったようですよ……。			リーク様は、去ったようですよ……。			ルー・リークの出自							
残念ながら今回は祝杯はない……。みっともないところを見せて、すまなかった。これでわかったろうが、俺はユールモアの自由市民の生まれだ。			残念ながら今回は祝杯はない……。みっともないところを見せて、すまなかった。これでわかったろうが、俺はユールモアの自由市民の生まれだ。			ルー・リークの出自							
両親が財産を投じて、自由市民になったもんで、裕福な暮らしができていたが……あの街は俺にとって退屈でね。家出して賞金稼ぎになったってわけさ。			両親が財産を投じて、自由市民になったもんで、裕福な暮らしができていたが……あの街は俺にとって退屈でね。家出して賞金稼ぎになったってわけさ。			ルー・リークの出自							
このクリスタリウムでは、ユールモアの出身と知られると、色眼鏡で見られるだろうから、隠しているんだ。			このクリスタリウムでは、ユールモアの出身と知られると、色眼鏡で見られるだろうから、隠しているんだ。			ルー・リークの出自							
Forenameは親友だから、ちゃんと知ってもらいたくて、打ち明けたんだぞ……。			Forenameは親友だから、ちゃんと知ってもらいたくて、打ち明けたんだぞ……。			ルー・リークの出自							
さて、ランビルドのヤツに先を越されたくないから、次は本命のアンドレイアの討伐といこう。神出鬼没のヤツの行方を、たくさん人を雇って……			さて、ランビルドのヤツに先を越されたくないから、次は本命のアンドレイアの討伐といこう。神出鬼没のヤツの行方を、たくさん人を雇って……			ルー・リークの出自							
そうだ……俺にはもう、その金がないんだったな。自分で調べるしかないってことか……。			そうだ……俺にはもう、その金がないんだったな。自分で調べるしかないってことか……。			ルー・リークの出自							
悪いが、お前に渡す報酬もろくにない。でも、頼むから……次も必ず来てくれ……！			悪いが、お前に渡す報酬もろくにない。でも、頼むから……次も必ず来てくれ……！			ルー・リークの出自							
何と言う？			何と言う？			ルー・リークの出自							
報酬が目当てじゃない			報酬が目当てじゃない			ルー・リークの出自							
どうしようかな……			どうしようかな……			ルー・リークの出自							
そ、そうなのか……？わかった、俺はお前を信じて待っているぞ……！			そ、そうなのか……？わかった、俺はお前を信じて待っているぞ……！			ルー・リークの出自							
そ、そんなこと言わずに、どうか頼む！アンドレイアを倒せれば、懸賞金だってかなりの額になる！俺はお前のことを、ずっとずっと待っているぞ……！			そ、そんなこと言わずに、どうか頼む！アンドレイアを倒せれば、懸賞金だってかなりの額になる！俺はお前のことを、ずっとずっと待っているぞ……！			ルー・リークの出自							
