バルデシオン分館の新顔のバルデシオン委員は、冒険者の到来を待っていたようだ。			バルデシオン分館の新顔のバルデシオン委員は、冒険者の到来を待っていたようだ。			委員会へのとある依頼							
高潔を持して、勝利のために進み続けたまえ。			高潔を持して、勝利のために進み続けたまえ。			華めく神域 タレイア							
自身を愛し、他者を愛し……そして、世界を愛して生きてくれたら、嬉しいわ。			自身を愛し、他者を愛し……そして、世界を愛して生きてくれたら、嬉しいわ。			華めく神域 タレイア							
先人から学び、己を磨き、後世へと紡ぎ……淀みない知の流れを、願っている。			先人から学び、己を磨き、後世へと紡ぎ……淀みない知の流れを、願っている。			華めく神域 タレイア							
運命を切り拓いた先に、見たこともない、素敵な世界が待っていますように。			運命を切り拓いた先に、見たこともない、素敵な世界が待っていますように。			華めく神域 タレイア							
何事も大海のように、どんと構えていれば大丈夫さ。			何事も大海のように、どんと構えていれば大丈夫さ。			華めく神域 タレイア							
何にも囚われない風が、人に吹き続けるように……。			何にも囚われない風が、人に吹き続けるように……。			華めく神域 タレイア							
(-勇ましい戦士の声-)無理をするな、オシュオン。			(-勇ましい戦士の声-)無理をするな、オシュオン。			華めく神域 タレイア							
(-陽気でおおらかな声-)あの子たちと行きたいのでしょう？			(-陽気でおおらかな声-)あの子たちと行きたいのでしょう？			華めく神域 タレイア							
だが、ともに星へ還ろうと、皆で願い、決めたことだ……！			だが、ともに星へ還ろうと、皆で願い、決めたことだ……！			華めく神域 タレイア							
神域に招き、今日この日を迎えるまでに、こんなにも離れがたくなるとは、思わなかったんだ……。			神域に招き、今日この日を迎えるまでに、こんなにも離れがたくなるとは、思わなかったんだ……。			華めく神域 タレイア							
(-重なり響く声-)オシュオンよ、我らの魂は命の巡りに合流するが……			(-重なり響く声-)オシュオンよ、我らの魂は命の巡りに合流するが……			華めく神域 タレイア							
(-静かで厳格な声-)人の生という、星からすれば瞬きのように短い時間だけでも……			(-静かで厳格な声-)人の生という、星からすれば瞬きのように短い時間だけでも……			華めく神域 タレイア							
(-聡明でたおやかな声-)人と運命をともにしてもいいんじゃないかしら。			(-聡明でたおやかな声-)人と運命をともにしてもいいんじゃないかしら。			華めく神域 タレイア							
(-壮健で勇ましい声-)お前らしく生きて、旅をして……			(-壮健で勇ましい声-)お前らしく生きて、旅をして……			華めく神域 タレイア							
(-朗らかで愛らしい声-)命が尽きたら、また会いましょう。			(-朗らかで愛らしい声-)命が尽きたら、また会いましょう。			華めく神域 タレイア							
あともう少しだけ、旅をさせてもらってもいいかな？			あともう少しだけ、旅をさせてもらってもいいかな？			華めく神域 タレイア							
まさか戻ってこられるとは……。俺もまだ驚いている。			まさか戻ってこられるとは……。俺もまだ驚いている。			華めく神域 タレイア							
決意したことを覆すのには、きっと相当の覚悟が必要だったと思う。いったい何が起こったのか、あとで教えてもらわないとな。			決意したことを覆すのには、きっと相当の覚悟が必要だったと思う。いったい何が起こったのか、あとで教えてもらわないとな。			華めく神域 タレイア							
デリックさあああああん！！戻ってきてくれて、本当に嬉しいです！！			デリックさあああああん！！戻ってきてくれて、本当に嬉しいです！！			華めく神域 タレイア							
ウキャッキャ！			ウキャッキャ！			華めく神域 タレイア							
びっくりしたわ、まさかデリックさんが戻ってきてくれるなんて……！			びっくりしたわ、まさかデリックさんが戻ってきてくれるなんて……！			華めく神域 タレイア							
まずは再会の喜びに浸りましょう。詳しい話は落ち着いてから、ね。			まずは再会の喜びに浸りましょう。詳しい話は落ち着いてから、ね。			華めく神域 タレイア							
祝福の天球のデリックは、晴れやかな様子だ。			祝福の天球のデリックは、晴れやかな様子だ。			神々に愛されし地、エオルゼア							
デリックは、十二神が消える直前に何が起こり、なぜ彼が戻ってきたのかを教えてくれた。そしてバルデシオン委員会とデリックの今後を聞き、十二神の想いを別の場所に納めることになった。東部森林の十二神大聖堂に皆で向かうために、茨の森の「指定地点」で待機しよう。			デリックは、十二神が消える直前に何が起こり、なぜ彼が戻ってきたのかを教えてくれた。そしてバルデシオン委員会とデリックの今後を聞き、十二神の想いを別の場所に納めることになった。東部森林の十二神大聖堂に皆で向かうために、茨の森の「指定地点」で待機しよう。			神々に愛されし地、エオルゼア							
デリックはオムファロスの碑文に込められた神々の想いを、十二神大聖堂の門へと納めた。そして十二神や月の監視者のオリジナルが、どんな人物であったかを語ってくれた。オールド・シャーレアンへ戻るクルルたちを見送るために、リムサ・ロミンサの西国際街商通りにいる「デリック」と話そう。			デリックはオムファロスの碑文に込められた神々の想いを、十二神大聖堂の門へと納めた。そして十二神や月の監視者のオリジナルが、どんな人物であったかを語ってくれた。オールド・シャーレアンへ戻るクルルたちを見送るために、リムサ・ロミンサの西国際街商通りにいる「デリック」と話そう。			神々に愛されし地、エオルゼア							
クルルたちを見送り、バルデシオン委員会の神域調査は完了した。低地ラノシアのテンペスト陸門の「デリック」と話し、旅立つ彼にもう少しだけ付き合おう。			クルルたちを見送り、バルデシオン委員会の神域調査は完了した。低地ラノシアのテンペスト陸門の「デリック」と話し、旅立つ彼にもう少しだけ付き合おう。			神々に愛されし地、エオルゼア							
デリックと話し、この先にあるオシュオン大橋をともに渡りたいと提案された。オシュオン大橋のたもとにいる「デリック」と話し、先導してくれる彼と一緒に橋を渡ろう。※先導状態が解除された場合、再度「デリック」に話しかけることで再開できます。			デリックと話し、この先にあるオシュオン大橋をともに渡りたいと提案された。オシュオン大橋のたもとにいる「デリック」と話し、先導してくれる彼と一緒に橋を渡ろう。※先導状態が解除された場合、再度「デリック」に話しかけることで再開できます。			神々に愛されし地、エオルゼア							
デリックとともに、橋を渡りながら話をした。オシュオン大橋を渡った先の「デリック」に再度声をかけよう。			デリックとともに、橋を渡りながら話をした。オシュオン大橋を渡った先の「デリック」に再度声をかけよう。			神々に愛されし地、エオルゼア							
デリックと語らい、彼の旅立ちを見送った。十二神の想いと祝福に満ちたアーテリスを生きるすべての旅人に、祝福を。			デリックと語らい、彼の旅立ちを見送った。十二神の想いと祝福に満ちたアーテリスを生きるすべての旅人に、祝福を。			神々に愛されし地、エオルゼア							
茨の森の指定地点で待機			茨の森の指定地点で待機			神々に愛されし地、エオルゼア							
リムサ・ロミンサのデリックと話す			リムサ・ロミンサのデリックと話す			神々に愛されし地、エオルゼア							
テンペスト陸門のデリックと話す			テンペスト陸門のデリックと話す			神々に愛されし地、エオルゼア							
デリックと話し、先導に従って移動			デリックと話し、先導に従って移動			神々に愛されし地、エオルゼア							
デリックと再度話す			デリックと再度話す			神々に愛されし地、エオルゼア							
決意したことを覆すのには、きっと相当の覚悟が必要だったと思う。いったい何が起こったのか、あとで教えてもらわないとな。			決意したことを覆すのには、きっと相当の覚悟が必要だったと思う。いったい何が起こったのか、あとで教えてもらわないとな。			神々に愛されし地、エオルゼア							
まずは再会の喜びに浸りましょう。デリックさんも、あなたと話したいんじゃないかしら？			まずは再会の喜びに浸りましょう。デリックさんも、あなたと話したいんじゃないかしら？			神々に愛されし地、エオルゼア							
デリックさあああああん！！戻ってきてくれて、本当に嬉しいです！！			デリックさあああああん！！戻ってきてくれて、本当に嬉しいです！！			神々に愛されし地、エオルゼア							
ウキャッキャ！			ウキャッキャ！			神々に愛されし地、エオルゼア							
あーー……。こういうときは何て言ったらいいんだろうな。			あーー……。こういうときは何て言ったらいいんだろうな。			神々に愛されし地、エオルゼア							
ただいま……？			ただいま……？			神々に愛されし地、エオルゼア							
ええ、おかえりなさい！			ええ、おかえりなさい！			神々に愛されし地、エオルゼア							
デリックさん！！それとも、旅神オシュオンとお呼びしたほうが……！？とにかく戻ってきてくれて嬉しいです！			デリックさん！！それとも、旅神オシュオンとお呼びしたほうが……！？とにかく戻ってきてくれて嬉しいです！			神々に愛されし地、エオルゼア							
オシュオンとしての力は、もう残っていない。ただのデリックだよ。			オシュオンとしての力は、もう残っていない。ただのデリックだよ。			神々に愛されし地、エオルゼア							
今の俺は、神として星に還元されなかった部分の寄せ集めだ。これからは人として生き、人として生を終える日がくるだろう。			今の俺は、神として星に還元されなかった部分の寄せ集めだ。これからは人として生き、人として生を終える日がくるだろう。			神々に愛されし地、エオルゼア							
なぁ、どうしてあんたが戻ってこられたのか、聞いてもいいか？オレたちからは、十二神が消えてしまったあと、すぐにあんたが現れたように見えたんだが……。			なぁ、どうしてあんたが戻ってこられたのか、聞いてもいいか？オレたちからは、十二神が消えてしまったあと、すぐにあんたが現れたように見えたんだが……。			神々に愛されし地、エオルゼア							
……最後の最後で名残惜しくなったんだ。君たちと別れるのが。			……最後の最後で名残惜しくなったんだ。君たちと別れるのが。			神々に愛されし地、エオルゼア							
君たちの想いは十二神として戦い、言葉を交わしていたときも伝わっていたよ。別れを惜しんで、それでも送り出そうとしてくれただろう。			君たちの想いは十二神として戦い、言葉を交わしていたときも伝わっていたよ。別れを惜しんで、それでも送り出そうとしてくれただろう。			神々に愛されし地、エオルゼア							
それに、こいつの呼び止める声が聞こえた気がして……			それに、こいつの呼び止める声が聞こえた気がして……			神々に愛されし地、エオルゼア							
まだこの世界を見ていたい、君たちと関わりながら生きていたいという思いが溢れた。			まだこの世界を見ていたい、君たちと関わりながら生きていたいという思いが溢れた。			神々に愛されし地、エオルゼア							
そうしたら、皆が背中を押してくれた。神として残るのではなく、人として、君たちの隣にいられるように。			そうしたら、皆が背中を押してくれた。神として残るのではなく、人として、君たちの隣にいられるように。			神々に愛されし地、エオルゼア							
この天球……祝福機構は、十二神の皆で創ったんだ。古き人の意思なくとも、もうこの星は大丈夫だと思える日が、いつか来てくれると信じて……。			この天球……祝福機構は、十二神の皆で創ったんだ。古き人の意思なくとも、もうこの星は大丈夫だと思える日が、いつか来てくれると信じて……。			神々に愛されし地、エオルゼア							
その日が本当に来るなんて……。俺たちの願いを叶えてくれて、本当にありがとう。			その日が本当に来るなんて……。俺たちの願いを叶えてくれて、本当にありがとう。			神々に愛されし地、エオルゼア							
すまない、話し込んでしまったな。さあ、オムファロスに戻ろうか。			すまない、話し込んでしまったな。さあ、オムファロスに戻ろうか。			神々に愛されし地、エオルゼア							
さて、私たちはオールド・シャーレアンに戻らなきゃね。スノーゲイムさんにも手伝ってもらいながら、一連の出来事を報告書にまとめて、哲学者議会に提出しないと。			さて、私たちはオールド・シャーレアンに戻らなきゃね。スノーゲイムさんにも手伝ってもらいながら、一連の出来事を報告書にまとめて、哲学者議会に提出しないと。			神々に愛されし地、エオルゼア							
とはいえ、私たちが知り得た真実は、エオルゼアの十二神信仰の根底を揺るがしかねないわ……。			とはいえ、私たちが知り得た真実は、エオルゼアの十二神信仰の根底を揺るがしかねないわ……。			神々に愛されし地、エオルゼア							
ああ、報告書を提出はしても、情報の公開は……哲学者議会と相談して、慎重に進めないとな。			ああ、報告書を提出はしても、情報の公開は……哲学者議会と相談して、慎重に進めないとな。			神々に愛されし地、エオルゼア							
スノーゲイムさんにも協力してもらったが、神話学の分野では秘匿すべきことも多いかもしれない。研究の方は大丈夫か……？			スノーゲイムさんにも協力してもらったが、神話学の分野では秘匿すべきことも多いかもしれない。研究の方は大丈夫か……？			神々に愛されし地、エオルゼア							
その点はご心配なく！私は今回の件を受けて、エオルゼアにおける十二神信仰の、「受容史」を追ってみようと思っています！			その点はご心配なく！私は今回の件を受けて、エオルゼアにおける十二神信仰の、「受容史」を追ってみようと思っています！			神々に愛されし地、エオルゼア							
人が神をどのような姿と捉え、どのような願いを託してきたか。人々の間で十二神がどのように受け入れられてきたか……。			人が神をどのような姿と捉え、どのような願いを託してきたか。人々の間で十二神がどのように受け入れられてきたか……。			神々に愛されし地、エオルゼア							
時代ごとや地域ごとにまとめることで、また違った視点で、十二神のことを知ることができると思うんです！			時代ごとや地域ごとにまとめることで、また違った視点で、十二神のことを知ることができると思うんです！			神々に愛されし地、エオルゼア							
受容史か……面白そうだ。いずれオールド・シャーレアンに伺うから、そのときは成果を見せてくれないか？			受容史か……面白そうだ。いずれオールド・シャーレアンに伺うから、そのときは成果を見せてくれないか？			神々に愛されし地、エオルゼア							
シャーレアンに来る際には、かつて十二神だった者だって、悟られないように気をつけてね。知に飢えた学者たちは怖いわよ？			シャーレアンに来る際には、かつて十二神だった者だって、悟られないように気をつけてね。知に飢えた学者たちは怖いわよ？			神々に愛されし地、エオルゼア							
俺はもうただの旅人だし、追いかけ回されるのは困る……。ほとぼりが冷めたら、だな……。			俺はもうただの旅人だし、追いかけ回されるのは困る……。ほとぼりが冷めたら、だな……。			神々に愛されし地、エオルゼア							
君たちを招き、身分を隠すために探検家だと名乗ったが……実際には何かを見つけるためじゃなく、ただひたすらに、この世界を放浪していただけだったんだ。			君たちを招き、身分を隠すために探検家だと名乗ったが……実際には何かを見つけるためじゃなく、ただひたすらに、この世界を放浪していただけだったんだ。			神々に愛されし地、エオルゼア							
これからは、また新しい気持ちで、世界を旅してみるよ。			これからは、また新しい気持ちで、世界を旅してみるよ。			神々に愛されし地、エオルゼア							
でも、その前に……			でも、その前に……			神々に愛されし地、エオルゼア							
皆の想いを、別の場所に納めたい。ここよりも、人の目に触れるところがいいと思うんだ。			皆の想いを、別の場所に納めたい。ここよりも、人の目に触れるところがいいと思うんだ。			神々に愛されし地、エオルゼア							
あら、素敵ね！私たちもオールド・シャーレアンに帰る前に、お供させてもらっていいかしら？			あら、素敵ね！私たちもオールド・シャーレアンに帰る前に、お供させてもらっていいかしら？			神々に愛されし地、エオルゼア							
じゃあ、黒衣森の「十二神大聖堂」に行こう。			じゃあ、黒衣森の「十二神大聖堂」に行こう。			神々に愛されし地、エオルゼア							
ああ、君は先に向かっておいてくれないか？ここにはまた時折、立ち寄るつもりではあるが……それにしても、名残惜しくて。			ああ、君は先に向かっておいてくれないか？ここにはまた時折、立ち寄るつもりではあるが……それにしても、名残惜しくて。			神々に愛されし地、エオルゼア							
碑文に刻まれたくびきは、神々が人の神であろうとした誓いであり、願いでもある。			碑文に刻まれたくびきは、神々が人の神であろうとした誓いであり、願いでもある。			神々に愛されし地、エオルゼア							
神々のその想いも、十二神の信仰も、これからも残り続けるんだな……。			神々のその想いも、十二神の信仰も、これからも残り続けるんだな……。			神々に愛されし地、エオルゼア							
思えば、調査は分担することが多かったから、こうしてみんなでゆっくりと時間をともにするのは……最初に食事をして以来ね。			思えば、調査は分担することが多かったから、こうしてみんなでゆっくりと時間をともにするのは……最初に食事をして以来ね。			神々に愛されし地、エオルゼア							
十二神大聖堂は黒衣森の東部森林に位置しますね！神々の想いを納めるのに、これ以上の場所はないと思います！			十二神大聖堂は黒衣森の東部森林に位置しますね！神々の想いを納めるのに、これ以上の場所はないと思います！			神々に愛されし地、エオルゼア							
ウキャキャ！			ウキャキャ！			神々に愛されし地、エオルゼア							
ううううううん！ここにくると、いつもワクワクします！			ううううううん！ここにくると、いつもワクワクします！			神々に愛されし地、エオルゼア							
第五星暦の初期に建造され、そののち森に埋もれてしまったものの、第七霊災後に再建された、十二神すべてを祀るこの大聖堂！			第五星暦の初期に建造され、そののち森に埋もれてしまったものの、第七霊災後に再建された、十二神すべてを祀るこの大聖堂！			神々に愛されし地、エオルゼア							
魔法文明の発達と、勃興した都市国家の影響は、今なおエオルゼアに色濃く残っていますもんね！			魔法文明の発達と、勃興した都市国家の影響は、今なおエオルゼアに色濃く残っていますもんね！			神々に愛されし地、エオルゼア							
ああ、この聖堂には人の想いが詰まってる。だからこそ、碑文に記した皆の想いも、ここに納めたかったんだ。			ああ、この聖堂には人の想いが詰まってる。だからこそ、碑文に記した皆の想いも、ここに納めたかったんだ。			神々に愛されし地、エオルゼア							
少しだけ、皆のオリジナルのことを話してもいいか？君たちには、わからない言葉も出てくるかもしれないが……。			少しだけ、皆のオリジナルのことを話してもいいか？君たちには、わからない言葉も出てくるかもしれないが……。			神々に愛されし地、エオルゼア							
ありがとう。			ありがとう。			神々に愛されし地、エオルゼア							
ビエルゴのオリジナルは、建築物など、無生物的なものの創造魔法に長けていた。			ビエルゴのオリジナルは、建築物など、無生物的なものの創造魔法に長けていた。			神々に愛されし地、エオルゼア							
その才が認められ、創造物管理局の幹部も務めていたんだが、あそこのトップは、なんというか……天真爛漫な人でね。生真面目な彼は、組織を支える支柱となっていたよ。			その才が認められ、創造物管理局の幹部も務めていたんだが、あそこのトップは、なんというか……天真爛漫な人でね。生真面目な彼は、組織を支える支柱となっていたよ。			神々に愛されし地、エオルゼア							
ラールガーのオリジナルは、ヴェーネスが旅先で意気投合した力自慢らしい。			ラールガーのオリジナルは、ヴェーネスが旅先で意気投合した力自慢らしい。			神々に愛されし地、エオルゼア							
天より飛来した隕石から星を守るため、彼女と共にこれを撃ち砕くべく、旅に同行したんだとか。壊神神話のルーツというわけだ。			天より飛来した隕石から星を守るため、彼女と共にこれを撃ち砕くべく、旅に同行したんだとか。壊神神話のルーツというわけだ。			神々に愛されし地、エオルゼア							
アーゼマのオリジナルは、人民管理局の司法部門に在籍していた上級職員だ。そのあたりは、審理の女神に相応しい経験といえるだろう。			アーゼマのオリジナルは、人民管理局の司法部門に在籍していた上級職員だ。そのあたりは、審理の女神に相応しい経験といえるだろう。			神々に愛されし地、エオルゼア							
彼女は、アゼムの座の熱烈な支持者だった。ヴェーネスや当代のアゼムに弟子入りしようと追いかけていたと、聞いたことがある。			彼女は、アゼムの座の熱烈な支持者だった。ヴェーネスや当代のアゼムに弟子入りしようと追いかけていたと、聞いたことがある。			神々に愛されし地、エオルゼア							
ナルザルのオリジナルは、俺の友人でね。普段は商人として快活に振る舞っているんだが、物静かな鉱石マニアとしての側面も持っていた。			ナルザルのオリジナルは、俺の友人でね。普段は商人として快活に振る舞っているんだが、物静かな鉱石マニアとしての側面も持っていた。			神々に愛されし地、エオルゼア							
人がそんな彼を、双子の神として受け入れ始めたときには、かつての姿を思い出して、こそばゆい想いがしたものだ。			人がそんな彼を、双子の神として受け入れ始めたときには、かつての姿を思い出して、こそばゆい想いがしたものだ。			神々に愛されし地、エオルゼア							
ノフィカのオリジナルは、偉大なる造園家。星の方々から集めた植物を育てる庭園の主だった。			ノフィカのオリジナルは、偉大なる造園家。星の方々から集めた植物を育てる庭園の主だった。			神々に愛されし地、エオルゼア							
優れた魔法の使い手でありながら、あえて創造魔法を使わず、庭を美しい花々で彩ったという。彼女の庭には多くの者が見学に赴き、癒やしを得たと聞く。			優れた魔法の使い手でありながら、あえて創造魔法を使わず、庭を美しい花々で彩ったという。彼女の庭には多くの者が見学に赴き、癒やしを得たと聞く。			神々に愛されし地、エオルゼア							
アルジクのオリジナルは、動植物を観察する天測園の職員で、寡黙だが心優しき、時魔法の名手だった。			アルジクのオリジナルは、動植物を観察する天測園の職員で、寡黙だが心優しき、時魔法の名手だった。			神々に愛されし地、エオルゼア							
アルジクのオリジナルは、動植物を観察する天測園の職員だった。			アルジクのオリジナルは、動植物を観察する天測園の職員だった。			神々に愛されし地、エオルゼア							
ヴェーネス派の会合には、妹の付き添いで来ていたらしいが……いつのまにか議論の中心にいたのが印象的だったな。			ヴェーネス派の会合には、妹の付き添いで来ていたらしいが……いつのまにか議論の中心にいたのが印象的だったな。			神々に愛されし地、エオルゼア							
ハルオーネのオリジナルは、武人として知られた人物だった。星に害を成す存在と化した創造生物を、狩る役目を担っていてね。			ハルオーネのオリジナルは、武人として知られた人物だった。星に害を成す存在と化した創造生物を、狩る役目を担っていてね。			神々に愛されし地、エオルゼア							
その腕前から、秩序の維持を司る断罪者の座、パシュタロットの次期候補者にも、名を連ねていたそうだ。			その腕前から、秩序の維持を司る断罪者の座、パシュタロットの次期候補者にも、名を連ねていたそうだ。			神々に愛されし地、エオルゼア							
メネフィナのオリジナルは、十二人の中でも最年少……。アナイダアカデミアのラハブレア院に在籍する学生だった。			メネフィナのオリジナルは、十二人の中でも最年少……。アナイダアカデミアのラハブレア院に在籍する学生だった。			神々に愛されし地、エオルゼア							
かの最高学府においても、神童と呼ばれる魔法の天才でね。ゾディアークを、星から切り離し衛星に封印する術式は、彼女が編み出したものだという。			かの最高学府においても、神童と呼ばれる魔法の天才でね。ゾディアークを、星から切り離し衛星に封印する術式は、彼女が編み出したものだという。			神々に愛されし地、エオルゼア							
サリャクのオリジナルは、アナイダアカデミアの学長だ。得意分野に特化した研究院を構える面々を束ねる、学識と人格の持ち主……。			サリャクのオリジナルは、アナイダアカデミアの学長だ。得意分野に特化した研究院を構える面々を束ねる、学識と人格の持ち主……。			神々に愛されし地、エオルゼア							
そう聞けば、どれだけの傑物かは伝わるだろうか。まさしく森羅万象に精通した生き字引といったところさ。			そう聞けば、どれだけの傑物かは伝わるだろうか。まさしく森羅万象に精通した生き字引といったところさ。			神々に愛されし地、エオルゼア							
ニメーヤのオリジナルは、アルジクとなった兄と同じ、天測園の職員だった人物だ。			ニメーヤのオリジナルは、アルジクとなった兄と同じ、天測園の職員だった人物だ。			神々に愛されし地、エオルゼア							
おおらか、かつ好奇心旺盛で……ほかの職員からの信頼も厚かったらしい。死者に花を手向けるという弔いを、最初に行ったとされている。			おおらか、かつ好奇心旺盛で……ほかの職員からの信頼も厚かったらしい。死者に花を手向けるという弔いを、最初に行ったとされている。			神々に愛されし地、エオルゼア							
おおらか、かつ好奇心旺盛で……ほかの職員からの信頼も厚かったらしい。			おおらか、かつ好奇心旺盛で……ほかの職員からの信頼も厚かったらしい。			神々に愛されし地、エオルゼア							
リムレーンのオリジナルは、メタバシス六洋院という、海洋研究所で働いていた人だ。			リムレーンのオリジナルは、メタバシス六洋院という、海洋研究所で働いていた人だ。			神々に愛されし地、エオルゼア							
とても職務に熱心で……ほかの者が不用意に観察中の海洋生物に触れようものなら、刃物を投げつけられるという噂があったくらいだ。			とても職務に熱心で……ほかの者が不用意に観察中の海洋生物に触れようものなら、刃物を投げつけられるという噂があったくらいだ。			神々に愛されし地、エオルゼア							
そしてヴェーネスと旅先で出会ったのが、俺のオリジナル。当時の記憶はあまり残っていないが、焚き火を囲みながら、自由について語らった覚えがある。			そしてヴェーネスと旅先で出会ったのが、俺のオリジナル。当時の記憶はあまり残っていないが、焚き火を囲みながら、自由について語らった覚えがある。			神々に愛されし地、エオルゼア							
オシュオンとしての想いはここに遺して、これからは人(デリック)として旅をしてみるよ。			オシュオンとしての想いはここに遺して、これからは人(デリック)として旅をしてみるよ。			神々に愛されし地、エオルゼア							
最後に、月の監視者のオリジナルは……俺たちの中でも特に、ヴェーネスを大切に想っていたよ。そうでなきゃ、あの孤独な役目は務まらない。			最後に、月の監視者のオリジナルは……俺たちの中でも特に、ヴェーネスを大切に想っていたよ。そうでなきゃ、あの孤独な役目は務まらない。			神々に愛されし地、エオルゼア							
あの人の眼はいつだって、ヴェーネスと同じ方向を見据え続けていたんだ。			あの人の眼はいつだって、ヴェーネスと同じ方向を見据え続けていたんだ。			神々に愛されし地、エオルゼア							
長々と語ってしまったが、君たちの記憶の片隅に、彼らのことが残ると嬉しい。			長々と語ってしまったが、君たちの記憶の片隅に、彼らのことが残ると嬉しい。			神々に愛されし地、エオルゼア							
こちらこそ、ハイデリンやあなたたちの、新たな一面を見られたようで嬉しいわ。			こちらこそ、ハイデリンやあなたたちの、新たな一面を見られたようで嬉しいわ。			神々に愛されし地、エオルゼア							
じゃあ、オレたちは帰ろうか。バルデシオン分館で、オジカも待ってるだろうし。			じゃあ、オレたちは帰ろうか。バルデシオン分館で、オジカも待ってるだろうし。			神々に愛されし地、エオルゼア							
ここからだと、リムサ・ロミンサを経由して、オールド・シャーレアンに向かうんだろう？それなら、送っていくよ。			ここからだと、リムサ・ロミンサを経由して、オールド・シャーレアンに向かうんだろう？それなら、送っていくよ。			神々に愛されし地、エオルゼア							
これまでは、独りあてもなく放浪してきたが……旅は道連れって言うらしいしな。			これまでは、独りあてもなく放浪してきたが……旅は道連れって言うらしいしな。			神々に愛されし地、エオルゼア							
ウキ～～～～！			ウキ～～～～！			神々に愛されし地、エオルゼア							
Forename、来たか。クルルたちならこの先で乗船手続きを進めてる。			Forename、来たか。クルルたちならこの先で乗船手続きを進めてる。			神々に愛されし地、エオルゼア							
ここにいたのか！見送りありがとうな。			ここにいたのか！見送りありがとうな。			神々に愛されし地、エオルゼア							
ちょうどよく船があったので、もう少ししたら出航みたいです！			ちょうどよく船があったので、もう少ししたら出航みたいです！			神々に愛されし地、エオルゼア							
もう、デリックさんたら、すぐに人のいるところから離れていっちゃうのね！			もう、デリックさんたら、すぐに人のいるところから離れていっちゃうのね！			神々に愛されし地、エオルゼア							
あー……長年の癖かな。人と関わりを持つことを避けていたから、必要以上に声をかけられないように、つい。			あー……長年の癖かな。人と関わりを持つことを避けていたから、必要以上に声をかけられないように、つい。			神々に愛されし地、エオルゼア							
でも、そうだよな。これからはもっと人と関わっていいんだ。			でも、そうだよな。これからはもっと人と関わっていいんだ。			神々に愛されし地、エオルゼア							
ええ、そうしてもらえると、一緒に調査をした仲間としても嬉しいわ。			ええ、そうしてもらえると、一緒に調査をした仲間としても嬉しいわ。			神々に愛されし地、エオルゼア							
デリックさんも、Forenameさんも、いつでもバルデシオン分館に顔を出してちょうだいね。			デリックさんも、Forenameさんも、いつでもバルデシオン分館に顔を出してちょうだいね。			神々に愛されし地、エオルゼア							
ああ、必ず行くよ。			ああ、必ず行くよ。			神々に愛されし地、エオルゼア							
デリックさん、私たちを頼ってくれて本当にありがとう。			デリックさん、私たちを頼ってくれて本当にありがとう。			神々に愛されし地、エオルゼア							
それに、Forenameさんも。十二神が願いを叶えることができたのは、あなたがいてくれたからこそね。			それに、Forenameさんも。十二神が願いを叶えることができたのは、あなたがいてくれたからこそね。			神々に愛されし地、エオルゼア							
じゃあ、私たちは行くわね。今回の神域の調査は、報告を残して完了とし、ここで解散とします！			じゃあ、私たちは行くわね。今回の神域の調査は、報告を残して完了とし、ここで解散とします！			神々に愛されし地、エオルゼア							
Forename、まだ時間はあるか？			Forename、まだ時間はあるか？			神々に愛されし地、エオルゼア							
俺も旅へ出る前に、この近くで寄りたいところを思いついた。最後にもう少し付き合ってほしい。			俺も旅へ出る前に、この近くで寄りたいところを思いついた。最後にもう少し付き合ってほしい。			神々に愛されし地、エオルゼア							
ありがとう。上甲板層から低地ラノシアに抜けられるから、「テンペスト陸門」を出たところで待ってるよ。			ありがとう。上甲板層から低地ラノシアに抜けられるから、「テンペスト陸門」を出たところで待ってるよ。			神々に愛されし地、エオルゼア							
ウキャ～ァ！			ウキャ～ァ！			神々に愛されし地、エオルゼア							
ここは海から、嵐のように強い風が吹き上げるが……俺にとっては心地いい場所だ。			ここは海から、嵐のように強い風が吹き上げるが……俺にとっては心地いい場所だ。			神々に愛されし地、エオルゼア							
これからの旅路は、南へ下って、船で西ラノシアへ。そこから高地や外地を巡ってみるつもりなんだが……			これからの旅路は、南へ下って、船で西ラノシアへ。そこから高地や外地を巡ってみるつもりなんだが……			神々に愛されし地、エオルゼア							
神としての存在の終わりと、新しい旅の記念に、人が俺の名前をつけてくれた「オシュオン大橋」を、君とともに見てみたいんだ。			神としての存在の終わりと、新しい旅の記念に、人が俺の名前をつけてくれた「オシュオン大橋」を、君とともに見てみたいんだ。			神々に愛されし地、エオルゼア							
見送りは渡ったところまででいいから、連れ立ってくれるかい？			見送りは渡ったところまででいいから、連れ立ってくれるかい？			神々に愛されし地、エオルゼア							
じゃあ、橋のたもとで待っているから、景色でも見ながらのんびり来てくれ。			じゃあ、橋のたもとで待っているから、景色でも見ながらのんびり来てくれ。			神々に愛されし地、エオルゼア							
ウキャッキャ！			ウキャッキャ！			神々に愛されし地、エオルゼア							
ゴッズグリップ半島は、第七霊災による津波で一部が崩落し、先端が切り離されてしまったことは知っているか？			ゴッズグリップ半島は、第七霊災による津波で一部が崩落し、先端が切り離されてしまったことは知っているか？			神々に愛されし地、エオルゼア							
