シャバーブチェのズーヘは、優れた魔道士である冒険者の知恵と力を借りたいようだ。			シャバーブチェのズーヘは、優れた魔道士である冒険者の知恵と力を借りたいようだ。			祭器の秘された力							
差出人は私の母、ズーヘ……。なんとヴィラザーンの襲撃を受けて昏睡していた父が目覚め、トライヨラまで来ているそうなんです！			差出人は私の母、ズーヘ……。なんとヴィラザーンの襲撃を受けて昏睡していた父が目覚め、トライヨラまで来ているそうなんです！			人気の裏に隠された素顔							
すぐにでも会いに戻りたいのですが……祭器の奪還を誓った身としては、そうもいきません。それに星戦士団の方と、合同調査の予定も入っていますしね。			すぐにでも会いに戻りたいのですが……祭器の奪還を誓った身としては、そうもいきません。それに星戦士団の方と、合同調査の予定も入っていますしね。			人気の裏に隠された素顔							
とはいえ、父は守護役として、故郷の誰よりも祭器について詳しい人でもあります。			とはいえ、父は守護役として、故郷の誰よりも祭器について詳しい人でもあります。			人気の裏に隠された素顔							
これまでの情報を伝えれば、私たちが見落としていることに気づいてくれるかもしれません。			これまでの情報を伝えれば、私たちが見落としていることに気づいてくれるかもしれません。			人気の裏に隠された素顔							
そこでForenameさんに、お願いです！私に代わってトライヨラに向かい、父と話してきてくれませんか？なにか助言がないか聞いてきてほしいのです。			そこでForenameさんに、お願いです！私に代わってトライヨラに向かい、父と話してきてくれませんか？なにか助言がないか聞いてきてほしいのです。			人気の裏に隠された素顔							
そして、父との話が終わりましたら、ラザハンのエーテライト・プラザまでお越しください。合流して、お互いの情報を共有しましょう！			そして、父との話が終わりましたら、ラザハンのエーテライト・プラザまでお越しください。合流して、お互いの情報を共有しましょう！			人気の裏に隠された素顔							
父なら、これまで調べた内容から、なにか思い至ることがあるかもしれません。どうか、トライヨラのシャバーブチェへ！			父なら、これまで調べた内容から、なにか思い至ることがあるかもしれません。どうか、トライヨラのシャバーブチェへ！			人気の裏に隠された素顔							
あらあら、Forenameさんではありませんか！ではテペケも……それとも、おひとりでこられたのです？			あらあら、Forenameさんではありませんか！ではテペケも……それとも、おひとりでこられたのです？			人気の裏に隠された素顔							
それでは、手紙は無事に届いたのですね！あの子も元気そうで良かった……。			それでは、手紙は無事に届いたのですね！あの子も元気そうで良かった……。			人気の裏に隠された素顔							
ただあいにく、夫は今いないのです。トライヨラまでやってきたと思ったら、使命を果たさなければと、あちこち駆け回っておりまして……。			ただあいにく、夫は今いないのです。トライヨラまでやってきたと思ったら、使命を果たさなければと、あちこち駆け回っておりまして……。			人気の裏に隠された素顔							
夫の「ネッゼ」はトライヨラで、何らかの情報を掴んだようです。「シャーローニ荒野のパリヨーナン沃野を目指す」と、言っていましたので、そちらに向かうとよいでしょう。			夫の「ネッゼ」はトライヨラで、何らかの情報を掴んだようです。「シャーローニ荒野のパリヨーナン沃野を目指す」と、言っていましたので、そちらに向かうとよいでしょう。			人気の裏に隠された素顔							
旅の方でしょうか……おかげで助かりました。病み上がりで、魔物を相手取るのは無謀だったようです。			旅の方でしょうか……おかげで助かりました。病み上がりで、魔物を相手取るのは無謀だったようです。			人気の裏に隠された素顔							
なるほど、あなたがForenameさんでしたか！祭器を追ってくださっているあなたには、どれだけ感謝しても足りません。			なるほど、あなたがForenameさんでしたか！祭器を追ってくださっているあなたには、どれだけ感謝しても足りません。			人気の裏に隠された素顔							
サベネア島での出来事を教えてくださり、ありがとうございます。祭器の能力が「落石」だというのは、私も初めて知りました……。			サベネア島での出来事を教えてくださり、ありがとうございます。祭器の能力が「落石」だというのは、私も初めて知りました……。			人気の裏に隠された素顔							
実は私もこちらで、祭器に封じられた、トラルヴィドラールのことを調べていたのですよ。			実は私もこちらで、祭器に封じられた、トラルヴィドラールのことを調べていたのですよ。			人気の裏に隠された素顔							
連王による大陸統一をきっかけに、私の故郷からもトライヨラへと移住した同胞がおりました。わずかでも情報を得られればと、彼らをあたってみたのです。			連王による大陸統一をきっかけに、私の故郷からもトライヨラへと移住した同胞がおりました。わずかでも情報を得られればと、彼らをあたってみたのです。			人気の裏に隠された素顔							
あいにく、同胞たちも祭器の能力は知りませんでしたが、この荒野で、「フクロウ」の魔物を見たという者がおりましてね。			あいにく、同胞たちも祭器の能力は知りませんでしたが、この荒野で、「フクロウ」の魔物を見たという者がおりましてね。			人気の裏に隠された素顔							
そう、あの祭器に封じられたトラルヴィドラールもまた、フクロウの魔物が転じた存在……。			そう、あの祭器に封じられたトラルヴィドラールもまた、フクロウの魔物が転じた存在……。			人気の裏に隠された素顔							
つまり、元となった魔物の生態を調べることで、能力の解明につながる手がかりが得られると考えたわけです。			つまり、元となった魔物の生態を調べることで、能力の解明につながる手がかりが得られると考えたわけです。			人気の裏に隠された素顔							
先ほど、あなた自身が戦っておられたとおり、フクロウの魔物は、岩を操るような術は持っておりませんでした。トラルヴィドラールと化したあとに、獲得した能力なのでしょう。			先ほど、あなた自身が戦っておられたとおり、フクロウの魔物は、岩を操るような術は持っておりませんでした。トラルヴィドラールと化したあとに、獲得した能力なのでしょう。			人気の裏に隠された素顔							
ですが、ひとつ気付いたことがあります。あの魔物は決して、自ら人を襲うような攻撃性はなく、むしろ遠方から私を怯えた様子で見つめていたのですよ。			ですが、ひとつ気付いたことがあります。あの魔物は決して、自ら人を襲うような攻撃性はなく、むしろ遠方から私を怯えた様子で見つめていたのですよ。			人気の裏に隠された素顔							
見知らぬ存在を警戒するのは、野生の生物として当然ですが、いざ私が近づいていくと、突然に態度を変え……襲いかかってきたのです。			見知らぬ存在を警戒するのは、野生の生物として当然ですが、いざ私が近づいていくと、突然に態度を変え……襲いかかってきたのです。			人気の裏に隠された素顔							
何と言う？			何と言う？			人気の裏に隠された素顔							
危険を感じて、先制攻撃してきたのかもしれない			危険を感じて、先制攻撃してきたのかもしれない			人気の裏に隠された素顔							
逃げるよりも戦うことを選んだ？			逃げるよりも戦うことを選んだ？			人気の裏に隠された素顔							
ええ、それほどの危険を感じながらも、決して逃げず……むしろ自分から仕掛けることによって身を守ろうとしたのです。同様の性質を、トラルヴィドラールも持っていたとすれば……			ええ、それほどの危険を感じながらも、決して逃げず……むしろ自分から仕掛けることによって身を守ろうとしたのです。同様の性質を、トラルヴィドラールも持っていたとすれば……			人気の裏に隠された素顔							
そういえば、トライヨラで会った同胞が言っていました！かつて長老から聞いた祭器にまつわる逸話には、続きがあったと……。			そういえば、トライヨラで会った同胞が言っていました！かつて長老から聞いた祭器にまつわる逸話には、続きがあったと……。			人気の裏に隠された素顔							
「トラルヴィドラールが祭器に封じられたのは、　誰かに狩られたからではなく、自滅したからである……。　心を保てず、力を用いた故のことだ」と。			「トラルヴィドラールが祭器に封じられたのは、　誰かに狩られたからではなく、自滅したからである……。　心を保てず、力を用いた故のことだ」と。			人気の裏に隠された素顔							
フクロウの魔物が見せた生態と考え合わせれば……心……つまり「危険」を感じながらも、その場に留まることが、祭器発動の条件なのやもしれません！			フクロウの魔物が見せた生態と考え合わせれば……心……つまり「危険」を感じながらも、その場に留まることが、祭器発動の条件なのやもしれません！			人気の裏に隠された素顔							
この仮説を確かめるには、ジャスティス・Ｒとやらが、祭器を使う場に居合わせ、その様子を窺う必要がありますね。このことを我が娘、テペケに伝えていただけますか？			この仮説を確かめるには、ジャスティス・Ｒとやらが、祭器を使う場に居合わせ、その様子を窺う必要がありますね。このことを我が娘、テペケに伝えていただけますか？			人気の裏に隠された素顔							
ありがとうございます。親としては、すぐに駆けつけたいところなのですが、ご覧の通りの状況では、足手まといになるだけ……。			ありがとうございます。親としては、すぐに駆けつけたいところなのですが、ご覧の通りの状況では、足手まといになるだけ……。			人気の裏に隠された素顔							
どうか、娘を頼みます。魔道士としての見識で真実を見極め、祭器と共に、テペケと戻られることを祈っております。			どうか、娘を頼みます。魔道士としての見識で真実を見極め、祭器と共に、テペケと戻られることを祈っております。			人気の裏に隠された素顔							
ラザハンへと戻り、今立てた仮説をテペケにも伝えてやってください。			ラザハンへと戻り、今立てた仮説をテペケにも伝えてやってください。			人気の裏に隠された素顔							
ああ、Forenameさん！た、大変ですよ！			ああ、Forenameさん！た、大変ですよ！			人気の裏に隠された素顔							
今さっき、ラザハンの街中に、ジャスティス・Ｒが現れたと連絡が入ったんです！トライヨラでのことは後で……急いで向かいましょう！			今さっき、ラザハンの街中に、ジャスティス・Ｒが現れたと連絡が入ったんです！トライヨラでのことは後で……急いで向かいましょう！			人気の裏に隠された素顔							
ふふふ……！英雄殿からの助言もあり、素顔を晒すことに決めたが……皆、佇まいから正体を察していることであろう。			ふふふ……！英雄殿からの助言もあり、素顔を晒すことに決めたが……皆、佇まいから正体を察していることであろう。			人気の裏に隠された素顔							
私は、ジャスティス・Ｒ改め、ヴィラザーン！サベネア島を守るため、この地に舞い降りたヒーローである！			私は、ジャスティス・Ｒ改め、ヴィラザーン！サベネア島を守るため、この地に舞い降りたヒーローである！			人気の裏に隠された素顔							
最近、私の活動を自作自演と断じている者がいる！それに関連して、ウズネアカナルで不幸な事故もあったが……この場で、はっきりと宣言しておこう。			最近、私の活動を自作自演と断じている者がいる！それに関連して、ウズネアカナルで不幸な事故もあったが……この場で、はっきりと宣言しておこう。			人気の裏に隠された素顔							
すべては、私に嫉妬する不届き者の妄言！私は、皆の尊敬と愛情を集めるヒーローを目指し、真摯に活動をしているに過ぎない！			すべては、私に嫉妬する不届き者の妄言！私は、皆の尊敬と愛情を集めるヒーローを目指し、真摯に活動をしているに過ぎない！			人気の裏に隠された素顔							
おい、どうする？大した騒ぎにはなっていないが……捕らえるか？			おい、どうする？大した騒ぎにはなっていないが……捕らえるか？			人気の裏に隠された素顔							
いや……小悪党だが、奴には岩石を降らせる力があるそうだ。いったん様子を見よう……。			いや……小悪党だが、奴には岩石を降らせる力があるそうだ。いったん様子を見よう……。			人気の裏に隠された素顔							
すべての者から尊敬され、愛されたい。そうした夢を皆、一度は思い描いたことがあるだろう？			すべての者から尊敬され、愛されたい。そうした夢を皆、一度は思い描いたことがあるだろう？			人気の裏に隠された素顔							
私は、それを決して夢では終わらせない。ヒーローとなり、皆の注目を集めるようになった今こそ、さらなる飛躍を遂げるべきだと、そう考えたのだ。			私は、それを決して夢では終わらせない。ヒーローとなり、皆の注目を集めるようになった今こそ、さらなる飛躍を遂げるべきだと、そう考えたのだ。			人気の裏に隠された素顔							
今こそ宣言しよう！私はこの国の……ラザハンの「王」になる！			今こそ宣言しよう！私はこの国の……ラザハンの「王」になる！			人気の裏に隠された素顔							
……あの野郎、正気か？			……あの野郎、正気か？			人気の裏に隠された素顔							
私は、無敵の力を持っている。この国に私が君臨すれば、もはや何も恐れるものはない！			私は、無敵の力を持っている。この国に私が君臨すれば、もはや何も恐れるものはない！			人気の裏に隠された素顔							
国民は皆、私に守られ、私を尊敬し、私への愛を叫ぶ……。それこそが、新たなるラザハンの姿なのだ！			国民は皆、私に守られ、私を尊敬し、私への愛を叫ぶ……。それこそが、新たなるラザハンの姿なのだ！			人気の裏に隠された素顔							
ヴィラザーン、勝手なことを言わないでください！あなたの力で守れるのは、自分自身のみ。その力は、周囲の人をむしろ危険に晒すでしょう！			ヴィラザーン、勝手なことを言わないでください！あなたの力で守れるのは、自分自身のみ。その力は、周囲の人をむしろ危険に晒すでしょう！			人気の裏に隠された素顔							
まあ多少の被害は出るかもしれんな。だが、戦いとなれば犠牲はつきもの……。君臨する王が無事ならば、それで国は安泰であろう！			まあ多少の被害は出るかもしれんな。だが、戦いとなれば犠牲はつきもの……。君臨する王が無事ならば、それで国は安泰であろう！			人気の裏に隠された素顔							
よりによって、民を何よりも大切に想っている、ヴリトラ様が治めるこの国で、よくもあそこまで……。その厚顔無恥さだけは、恐るべきものだな。			よりによって、民を何よりも大切に想っている、ヴリトラ様が治めるこの国で、よくもあそこまで……。その厚顔無恥さだけは、恐るべきものだな。			人気の裏に隠された素顔							
おや、どうした皆の衆！誰も私の理想についてこれないか！			おや、どうした皆の衆！誰も私の理想についてこれないか！			人気の裏に隠された素顔							
だが、私は寛大だからな。皆が私の考えを受け入れ、心を改めるまで、ヒーローとして、この国を支えてやろう！			だが、私は寛大だからな。皆が私の考えを受け入れ、心を改めるまで、ヒーローとして、この国を支えてやろう！			人気の裏に隠された素顔							
嗚呼、ヴィラザーン！それ以上、馬鹿な真似をするのはやめてくれ！			嗚呼、ヴィラザーン！それ以上、馬鹿な真似をするのはやめてくれ！			人気の裏に隠された素顔							
誰も、お前の言葉など本気にしていない。今ならまだ、大した罪にも問われないだろう。どうか己の過ちを認めて、こちらに……！			誰も、お前の言葉など本気にしていない。今ならまだ、大した罪にも問われないだろう。どうか己の過ちを認めて、こちらに……！			人気の裏に隠された素顔							
ふん、綺麗事で誤魔化しながら、私に敵意を向けるか。だがその「危険」こそ、我が能力の源だと教えてやろう！			ふん、綺麗事で誤魔化しながら、私に敵意を向けるか。だがその「危険」こそ、我が能力の源だと教えてやろう！			人気の裏に隠された素顔							
何をする気か知らぬが、やめなさい。どうか、私のもとへ……。			何をする気か知らぬが、やめなさい。どうか、私のもとへ……。			人気の裏に隠された素顔							
それ以上、近づいちゃだめです！			それ以上、近づいちゃだめです！			人気の裏に隠された素顔							
おや、あなた方は……？			おや、あなた方は……？			人気の裏に隠された素顔							
わ、わわわ……！			わ、わわわ……！			人気の裏に隠された素顔							
おい、待て！ここで戦うと、市民に被害が……！			おい、待て！ここで戦うと、市民に被害が……！			人気の裏に隠された素顔							
ふん、みっともない男だ。興が削がれたな……。			ふん、みっともない男だ。興が削がれたな……。			人気の裏に隠された素顔							
ラザハンに現れた目的……王になるという宣言も果たした。ここもまた、英雄殿との戦いに相応しい舞台とは言えぬ。決着は、次の機会とさせてもらおう。			ラザハンに現れた目的……王になるという宣言も果たした。ここもまた、英雄殿との戦いに相応しい舞台とは言えぬ。決着は、次の機会とさせてもらおう。			人気の裏に隠された素顔							
何と言う？			何と言う？			人気の裏に隠された素顔							
これ以上、街中で能力を使われてもまずい			これ以上、街中で能力を使われてもまずい			人気の裏に隠された素顔							
この場を落ち着かせることを優先しよう			この場を落ち着かせることを優先しよう			人気の裏に隠された素顔							
……わかりました。悔しいですけど、こちらの調査も終わっていませんし、今、手出しするのは避けましょう。			……わかりました。悔しいですけど、こちらの調査も終わっていませんし、今、手出しするのは避けましょう。			人気の裏に隠された素顔							
ですが、彼もずいぶんとあっさり退きましたね。もしかして……。			ですが、彼もずいぶんとあっさり退きましたね。もしかして……。			人気の裏に隠された素顔							
……ちょっと、気になることがあります。ヴィラザーンのお父さんに話を聞いてみませんか？			……ちょっと、気になることがあります。ヴィラザーンのお父さんに話を聞いてみませんか？			人気の裏に隠された素顔							
おふたりとも、ご無沙汰しておりました。この暴挙で、息子もすっかり悪人ですよ……。			おふたりとも、ご無沙汰しておりました。この暴挙で、息子もすっかり悪人ですよ……。			人気の裏に隠された素顔							
我が息子ながら、情けない。見栄えだけの装備と、中身のない大言壮語。それのどこがヒーローなのだか……。			我が息子ながら、情けない。見栄えだけの装備と、中身のない大言壮語。それのどこがヒーローなのだか……。			人気の裏に隠された素顔							
いや、ここで愚痴っていても仕方ありませんな。此度の暴挙で、星戦士団も捕縛に本腰をいれるでしょう。私も本営に向かい、改めて息子の説明を……			いや、ここで愚痴っていても仕方ありませんな。此度の暴挙で、星戦士団も捕縛に本腰をいれるでしょう。私も本営に向かい、改めて息子の説明を……			人気の裏に隠された素顔							
その前に、ひとつよろしいでしょうか。岩を降らせたあとの、ヴィラザーンの表情……お父さんからは、どのように見えました？			その前に、ひとつよろしいでしょうか。岩を降らせたあとの、ヴィラザーンの表情……お父さんからは、どのように見えました？			人気の裏に隠された素顔							
……息子がごっこ遊びに興じているとき、私が叱りつけると、よくあの目をしていましたよ。			……息子がごっこ遊びに興じているとき、私が叱りつけると、よくあの目をしていましたよ。			人気の裏に隠された素顔							
熱中しているものに、水を差されて白けた……私には、そんな表情に見えましたね。それでは……。			熱中しているものに、水を差されて白けた……私には、そんな表情に見えましたね。それでは……。			人気の裏に隠された素顔							
私も、ヴィラザーンの態度に似たような印象を受けました。あの表情と行動、なにか引っかかるものが……。			私も、ヴィラザーンの態度に似たような印象を受けました。あの表情と行動、なにか引っかかるものが……。			人気の裏に隠された素顔							
……ともあれ、一度イェドリマンに戻りましょう。トラル大陸での成果についてもお聞きしたいですし！			……ともあれ、一度イェドリマンに戻りましょう。トラル大陸での成果についてもお聞きしたいですし！			人気の裏に隠された素顔							
それでは、改めてトラル大陸での成果を教えていただけますか？父とは、いったいどんな話を……？			それでは、改めてトラル大陸での成果を教えていただけますか？父とは、いったいどんな話を……？			人気の裏に隠された素顔							
トラルヴィドラールが持っていた、岩石を降らせる力、それが発動するのは、「危険」を感じたときではないかと……。			トラルヴィドラールが持っていた、岩石を降らせる力、それが発動するのは、「危険」を感じたときではないかと……。			人気の裏に隠された素顔							
初めて祭器を使ったとき、発動に時間がかかったのは、ジャスティス・Ｒが、まだ危険を感じていなかったから。詠唱がなかったのも、条件を満たせば自動で発動するため……。			初めて祭器を使ったとき、発動に時間がかかったのは、ジャスティス・Ｒが、まだ危険を感じていなかったから。詠唱がなかったのも、条件を満たせば自動で発動するため……。			人気の裏に隠された素顔							
この仮説に基づいて、過去の出来事を振り返ると、今までの疑問にも説明がつきますね……！			この仮説に基づいて、過去の出来事を振り返ると、今までの疑問にも説明がつきますね……！			人気の裏に隠された素顔							
そういえば、先ほど星戦士が近づいたとき、ジャスティス・Ｒが「危険」という言葉を口にしていました。落石が起きたのも、その直後ですよ！			そういえば、先ほど星戦士が近づいたとき、ジャスティス・Ｒが「危険」という言葉を口にしていました。落石が起きたのも、その直後ですよ！			人気の裏に隠された素顔							
走って逃げることもなく、歩いて去っていったのも、星戦士や私たちが捕縛しようとすれば、それをきっかけに、能力を発揮できると信じていたからでしょう……！			走って逃げることもなく、歩いて去っていったのも、星戦士や私たちが捕縛しようとすれば、それをきっかけに、能力を発揮できると信じていたからでしょう……！			人気の裏に隠された素顔							
本人の言葉からも、この仮説が正しいと考えて良さそうです！そして、父が聞いた逸話から……もうひとつ推測ができるかもしれません。			本人の言葉からも、この仮説が正しいと考えて良さそうです！そして、父が聞いた逸話から……もうひとつ推測ができるかもしれません。			人気の裏に隠された素顔							
「心を保てず、力を用いたが故に自滅した」という、トラルヴィドラールの逸話を聞いて思ったんです……。この能力は、感じる危険が増すごとに強くなるんじゃないかと。			「心を保てず、力を用いたが故に自滅した」という、トラルヴィドラールの逸話を聞いて思ったんです……。この能力は、感じる危険が増すごとに強くなるんじゃないかと。			人気の裏に隠された素顔							
ウズネアカナルやラザハンの街中では、あなたや星戦士という脅威から、より強い危険を感じたはず。だからこそ、落石もこれまでのものより大きかった……。			ウズネアカナルやラザハンの街中では、あなたや星戦士という脅威から、より強い危険を感じたはず。だからこそ、落石もこれまでのものより大きかった……。			人気の裏に隠された素顔							
そう考えると、ヴィラザーンが、あなたとの戦いを望む発言をしていることも説明がつきます。			そう考えると、ヴィラザーンが、あなたとの戦いを望む発言をしていることも説明がつきます。			人気の裏に隠された素顔							
あなたほどの相手なら、感じる危険も尋常ではない。その感情から、より強く能力を引き出すことで、英雄であるあなたに勝利し、名声を得ようとしているのでしょう。			あなたほどの相手なら、感じる危険も尋常ではない。その感情から、より強く能力を引き出すことで、英雄であるあなたに勝利し、名声を得ようとしているのでしょう。			人気の裏に隠された素顔							
それなら、私たちのやることもひとつ！このふざけた考えをあえて利用し、相手を誘い出すのです！			それなら、私たちのやることもひとつ！このふざけた考えをあえて利用し、相手を誘い出すのです！			人気の裏に隠された素顔							
戦闘になれば、激しい落石が予想されますが、ヴィラザーン自身の実力は、大したものではありません。きっと正面から打ち砕くこともできるはず……！			戦闘になれば、激しい落石が予想されますが、ヴィラザーン自身の実力は、大したものではありません。きっと正面から打ち砕くこともできるはず……！			人気の裏に隠された素顔							
あなたなら、相手を魔法で眠らせたりできるかもしれません。ただ、敵も錬金薬で対抗するくらいはしてくるでしょうし……ここは強引にでも打ち負かし、気絶させるのが良いと思うんです。			あなたなら、相手を魔法で眠らせたりできるかもしれません。ただ、敵も錬金薬で対抗するくらいはしてくるでしょうし……ここは強引にでも打ち負かし、気絶させるのが良いと思うんです。			人気の裏に隠された素顔							
あなたほどの魔道士がいるからこそ、できる策です。もちろん私も、全力で護りぬいてみせますので……！			あなたほどの魔道士がいるからこそ、できる策です。もちろん私も、全力で護りぬいてみせますので……！			人気の裏に隠された素顔							
ありがとうございます……！そうと決まれば、戦いの舞台について星戦士団に相談ですね。			ありがとうございます……！そうと決まれば、戦いの舞台について星戦士団に相談ですね。			人気の裏に隠された素顔							
「戦いに相応しい舞台」とやらを用意すれば、ヴィラザーンも戦闘に臨んでくることでしょう。そこで、すべての決着をつけるんです！			「戦いに相応しい舞台」とやらを用意すれば、ヴィラザーンも戦闘に臨んでくることでしょう。そこで、すべての決着をつけるんです！			人気の裏に隠された素顔							
イェドリマンのテペケは、準備が整ったことを伝えたいようだ。			イェドリマンのテペケは、準備が整ったことを伝えたいようだ。			祭器と作られた虚像							
決戦の舞台は整ったようだ。サベネア島のギガントガル採石場の「テペケ」と話そう。			決戦の舞台は整ったようだ。サベネア島のギガントガル採石場の「テペケ」と話そう。			祭器と作られた虚像							
ヴィラザーンを倒した。サベネア島に戻ろう。			ヴィラザーンを倒した。サベネア島に戻ろう。			祭器と作られた虚像							
ヴィラザーンは落石を起こすも自滅。テペケは祭器を取り戻すことができた。ギガントガル採石場の「テペケ」と話そう。			ヴィラザーンは落石を起こすも自滅。テペケは祭器を取り戻すことができた。ギガントガル採石場の「テペケ」と話そう。			祭器と作られた虚像							
テペケと話した。トライヨラのシャバーブチェにいる「ズーヘ」と話そう。			テペケと話した。トライヨラのシャバーブチェにいる「ズーヘ」と話そう。			祭器と作られた虚像							
ズーヘとネッゼに、祭器を奪還したことを報告した。テペケは祭器の能力をあえて村民に伝えていくとともに、祭器の守護役を目指すと言う。彼女と再会したときの成長ぶりを楽しみにしよう！			ズーヘとネッゼに、祭器を奪還したことを報告した。テペケは祭器の能力をあえて村民に伝えていくとともに、祭器の守護役を目指すと言う。彼女と再会したときの成長ぶりを楽しみにしよう！			祭器と作られた虚像							
ギガントガル採石場のテペケと話す			ギガントガル採石場のテペケと話す			祭器と作られた虚像							
テペケと話す			テペケと話す			祭器と作られた虚像							
トライヨラのズーヘと話す			トライヨラのズーヘと話す			祭器と作られた虚像							
お待たせいたしました！星戦士団にも事情をお話しして、決戦に相応しい場所を選定していただきました。			お待たせいたしました！星戦士団にも事情をお話しして、決戦に相応しい場所を選定していただきました。			祭器と作られた虚像							
都市の状況なども聞いてきたんですが、ヴィラザーンを追うのが、本当のヒーロー……あなたということもあり混乱などは起きていないようです。			都市の状況なども聞いてきたんですが、ヴィラザーンを追うのが、本当のヒーロー……あなたということもあり混乱などは起きていないようです。			祭器と作られた虚像							
星戦士団も、手を借りてばかりで申し訳ないが、Forenameさんなら心強い……とのことでした！			星戦士団も、手を借りてばかりで申し訳ないが、Forenameさんなら心強い……とのことでした！			祭器と作られた虚像							
選定していただいたのは、カドガの大岩へと続く山道。巨大なクリスタルを仰ぐ絶景もさながら、普段は人の出入りもないので丁度良いだろう、と。			選定していただいたのは、カドガの大岩へと続く山道。巨大なクリスタルを仰ぐ絶景もさながら、普段は人の出入りもないので丁度良いだろう、と。			祭器と作られた虚像							
星戦士団が、島の各地で「対決求む」と呼びかけ、相手を誘い出してくれています……。私たちも山道の入口があるギガントガル採石場に向かいましょう！			星戦士団が、島の各地で「対決求む」と呼びかけ、相手を誘い出してくれています……。私たちも山道の入口があるギガントガル採石場に向かいましょう！			祭器と作られた虚像							
こちらのスラマルさんから、山道への道は聞きました。あとは、ヴィラザーンの到着を待つだけ……。あのお調子者の心を、徹底的に打ち砕いてやりましょう！			こちらのスラマルさんから、山道への道は聞きました。あとは、ヴィラザーンの到着を待つだけ……。あのお調子者の心を、徹底的に打ち砕いてやりましょう！			祭器と作られた虚像							
それでは、決戦に向けて……Forenameさんも、準備はよいでしょうか？			それでは、決戦に向けて……Forenameさんも、準備はよいでしょうか？			祭器と作られた虚像							
……来ましたね。			……来ましたね。			祭器と作られた虚像							
カドガの大岩に通ずる、無人の荒れ地……。ここが諸君らの選んだ決戦の舞台か！			カドガの大岩に通ずる、無人の荒れ地……。ここが諸君らの選んだ決戦の舞台か！			祭器と作られた虚像							
これまでは、戦いに相応しくない状況ばかりで、どうにも決着を付ける気にならなかったのだが……。この荘厳な空気、心も高ぶるというもの！			これまでは、戦いに相応しくない状況ばかりで、どうにも決着を付ける気にならなかったのだが……。この荘厳な空気、心も高ぶるというもの！			祭器と作られた虚像							
予想どおり、ここなら姿を現すと思っていましたよ。あなたは、見栄えの良さをとにかく大事にしますものね！			予想どおり、ここなら姿を現すと思っていましたよ。あなたは、見栄えの良さをとにかく大事にしますものね！			祭器と作られた虚像							
ずいぶんと強気な態度だな……。この祭器があるかぎり、私は無敵だということを、どうやら、まだ理解していないらしい。			ずいぶんと強気な態度だな……。この祭器があるかぎり、私は無敵だということを、どうやら、まだ理解していないらしい。			祭器と作られた虚像							
それは、どうでしょうか。			それは、どうでしょうか。			祭器と作られた虚像							
あなたはこれまで、調子に乗りすぎた。結果、国家に君臨するどころか、家族も信奉者も、そばを離れていったじゃないですか。			あなたはこれまで、調子に乗りすぎた。結果、国家に君臨するどころか、家族も信奉者も、そばを離れていったじゃないですか。			祭器と作られた虚像							
あなたが描くヒーロー像など、すべて虚像にすぎない。本当のあなたの小ささを、ここで思い知らせてやりますよ！			あなたが描くヒーロー像など、すべて虚像にすぎない。本当のあなたの小ささを、ここで思い知らせてやりますよ！			祭器と作られた虚像							
……面白い。その大言壮語も、英雄殿の力量すらも、私が凌駕してみせようではないか！			……面白い。その大言壮語も、英雄殿の力量すらも、私が凌駕してみせようではないか！			祭器と作られた虚像							
そうやって調子に乗った者の末路……私たちが教えてあげましょう！			そうやって調子に乗った者の末路……私たちが教えてあげましょう！			祭器と作られた虚像							
どうやら、ヴィラザーンは気絶しているようですね。今のうちに、祭器を回収し……			どうやら、ヴィラザーンは気絶しているようですね。今のうちに、祭器を回収し……			祭器と作られた虚像							
こ、これは、なにかの間違いだ……！ヒーローたる者……この程度で、倒れるわけには……。			こ、これは、なにかの間違いだ……！ヒーローたる者……この程度で、倒れるわけには……。			祭器と作られた虚像							
戦略的に……一時退却、だ……！いずれまた、私の偉大さを認めさせてやろう！			戦略的に……一時退却、だ……！いずれまた、私の偉大さを認めさせてやろう！			祭器と作られた虚像							
……ん？			……ん？			祭器と作られた虚像							
これは……祭器の暴走が、まだ完全には収まっていなかったのでしょうか。			これは……祭器の暴走が、まだ完全には収まっていなかったのでしょうか。			祭器と作られた虚像							
それで、発動後に逃げようと動いたヴィラザーンの頭上に、偶然、岩が降ってきた……？			それで、発動後に逃げようと動いたヴィラザーンの頭上に、偶然、岩が降ってきた……？			祭器と作られた虚像							
……それか、天罰があたったのかもしれませんね。			……それか、天罰があたったのかもしれませんね。			祭器と作られた虚像							
ヒーローを名乗りながら、国を混乱させていたこと、これで、少しは反省するといいんですけど……。			ヒーローを名乗りながら、国を混乱させていたこと、これで、少しは反省するといいんですけど……。			祭器と作られた虚像							
ともかく、無事に祭器も回収できました！これもすべて、Forenameさんのおかげです！			ともかく、無事に祭器も回収できました！これもすべて、Forenameさんのおかげです！			祭器と作られた虚像							
ふう……戦闘、おつかれさまでした。ヴィラザーンのことは、星戦士団に任せましょう。罪を償ったあと、同じことを繰り返さないといいけど……。			ふう……戦闘、おつかれさまでした。ヴィラザーンのことは、星戦士団に任せましょう。罪を償ったあと、同じことを繰り返さないといいけど……。			祭器と作られた虚像							
さて、これで私たちの目的は達成です！父さんと母さんにも、朗報を伝えないと！			さて、これで私たちの目的は達成です！父さんと母さんにも、朗報を伝えないと！			祭器と作られた虚像							
