トライヨラの武の院のマムージャ族は、冒険者のことを探しているようだ。			トライヨラの武の院のマムージャ族は、冒険者のことを探しているようだ。			トラル大陸のモブハント（初級）							
私は、この辺りで例の小動物を重点的に探してみます。外洋航路で、他地域から渡ってきた可能性もあるだろうか……。			私は、この辺りで例の小動物を重点的に探してみます。外洋航路で、他地域から渡ってきた可能性もあるだろうか……。			忌避すべき獣							
ガウ、ガウガウ……ガウ？			ガウ、ガウガウ……ガウ？			忌避すべき獣							
謎めいた生き物たちは、あなたに付いていきたいようだ。満ちた玄関にいる「シャーレアンの博物学者」のもとへ、この小動物を連れていってあげよう。			謎めいた生き物たちは、あなたに付いていきたいようだ。満ちた玄関にいる「シャーレアンの博物学者」のもとへ、この小動物を連れていってあげよう。			忌避すべき獣							
このクエストを進行させるには、謎めいた生き物たちが同行している状態で、さらに、プレイヤーの近くにいる必要があります。			このクエストを進行させるには、謎めいた生き物たちが同行している状態で、さらに、プレイヤーの近くにいる必要があります。			忌避すべき獣							
同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			忌避すべき獣							
何をする？			何をする？			忌避すべき獣							
話す			話す			忌避すべき獣							
同行状態を解除する			同行状態を解除する			忌避すべき獣							
キャンセル			キャンセル			忌避すべき獣							
ガウガウ、ガウガウガウガウ！！ガウガウガウ！			ガウガウ、ガウガウガウガウ！！ガウガウガウ！			忌避すべき獣							
同行状態を解除します。本当によろしいですか？			同行状態を解除します。本当によろしいですか？			忌避すべき獣							
ガウガウ……ガウ！			ガウガウ……ガウ！			忌避すべき獣							
謎めいた生き物たちは、「翼鏡の街」で、冒険者を待ち続けるつもりのようだ。用事を済ませたら、再び迎えにいこう。			謎めいた生き物たちは、「翼鏡の街」で、冒険者を待ち続けるつもりのようだ。用事を済ませたら、再び迎えにいこう。			忌避すべき獣							
ガウ、ガウガウ！			ガウ、ガウガウ！			忌避すべき獣							
謎めいた生き物たちは、再び、あなたに同行して歩いてくれるようだ。			謎めいた生き物たちは、再び、あなたに同行して歩いてくれるようだ。			忌避すべき獣							
こ、これは……！！　見つけてきてくれたんですね！？私が見たときは1匹でしたが、仲間もいたのかぁ！			こ、これは……！！　見つけてきてくれたんですね！？私が見たときは1匹でしたが、仲間もいたのかぁ！			忌避すべき獣							
ガウガウ！　ガウガウガウガウ！			ガウガウ！　ガウガウガウガウ！			忌避すべき獣							
ふふ、大人しくしてくれているみたいですね。こんなにも早く、求めていた貴重な動物を捕獲できるとは、なんて幸運でしょう、トラル大陸に来てよかったですとも！			ふふ、大人しくしてくれているみたいですね。こんなにも早く、求めていた貴重な動物を捕獲できるとは、なんて幸運でしょう、トラル大陸に来てよかったですとも！			忌避すべき獣							
この鳴き声といい、不可思議な姿といい、まさにいま学会で話題になっている新種に違いありません！もっとも、その発表をした教授が失踪してしまったのですが……。			この鳴き声といい、不可思議な姿といい、まさにいま学会で話題になっている新種に違いありません！もっとも、その発表をした教授が失踪してしまったのですが……。			忌避すべき獣							
そこで若手みんなで、次のポストを競っているところなんですよ。この子の生態をよく調べて論文にすることができたら……ふふふ、僕も名を上げて、教授の椅子に座るチャンスです！			そこで若手みんなで、次のポストを競っているところなんですよ。この子の生態をよく調べて論文にすることができたら……ふふふ、僕も名を上げて、教授の椅子に座るチャンスです！			忌避すべき獣							
実は研究室の若手で、教授ポストを競っているところなんです。新種の調査で名を上げられたら……有利に立てること間違いなし！			実は研究室の若手で、教授ポストを競っているところなんです。新種の調査で名を上げられたら……有利に立てること間違いなし！			忌避すべき獣							
この子たちは、逃げ出さないように面倒を見つつ、観察を続けながら、僕が大切に預かることにしますよ。どんな生態を見せてもらえるか……楽しみだなぁ！			この子たちは、逃げ出さないように面倒を見つつ、観察を続けながら、僕が大切に預かることにしますよ。どんな生態を見せてもらえるか……楽しみだなぁ！			忌避すべき獣							
ガウ！　ガウガウガウ！			ガウ！　ガウガウガウ！			忌避すべき獣							
特殊ルール： レベルアジャストシーフォーム農園のタピピャは、畑を愛しく見つめているようだ。			特殊ルール： レベルアジャストシーフォーム農園のタピピャは、畑を愛しく見つめているようだ。			潮風香る野菜たち							
シャバーブチェで厨房担当の従業員から色とりどりの野菜屑をもらう			シャバーブチェで厨房担当の従業員から色とりどりの野菜屑をもらう			潮風香る野菜たち							
タコスのチーちゃんでチーソジャから色とりどりの野菜屑をもらう			タコスのチーちゃんでチーソジャから色とりどりの野菜屑をもらう			潮風香る野菜たち							
タピピャに色とりどりの野菜屑を渡す			タピピャに色とりどりの野菜屑を渡す			潮風香る野菜たち							
どうしたね旅人さん、畑をじっと見て……もしかして、農業に興味でもあるのかい？			どうしたね旅人さん、畑をじっと見て……もしかして、農業に興味でもあるのかい？			潮風香る野菜たち							
よーしよしよし、ならば手を貸してくれ！我らが研鑽を重ねたトライヨラの農法についても、説明してやれるだろう。			よーしよしよし、ならば手を貸してくれ！我らが研鑽を重ねたトライヨラの農法についても、説明してやれるだろう。			潮風香る野菜たち							
なにはなくとも必要なのは堆肥！というわけで堆肥を作る材料を調達してきてほしいんじゃ。まず大事なのは……アルパカの糞じゃな！			なにはなくとも必要なのは堆肥！というわけで堆肥を作る材料を調達してきてほしいんじゃ。まず大事なのは……アルパカの糞じゃな！			潮風香る野菜たち							
……安心せい、それは後でアルパカ停留場から届けてもらうでな。お前さんには、提携しているトライヨラの飲食店から、野菜屑を回収してきてもらえたら嬉しい。			……安心せい、それは後でアルパカ停留場から届けてもらうでな。お前さんには、提携しているトライヨラの飲食店から、野菜屑を回収してきてもらえたら嬉しい。			潮風香る野菜たち							
「シャバーブチェ」と「タコスのチーちゃん」を訪ねて、野菜屑をもらってきてもらえるかの？			「シャバーブチェ」と「タコスのチーちゃん」を訪ねて、野菜屑をもらってきてもらえるかの？			潮風香る野菜たち							
「シャバーブチェ」と「タコスのチーちゃん」を訪ねて、野菜屑をもらってきてもらえるかの？			「シャバーブチェ」と「タコスのチーちゃん」を訪ねて、野菜屑をもらってきてもらえるかの？			潮風香る野菜たち							
ああ、タピピャさんからのお使いね？うちで使った野菜の残り屑なら、ちゃんと用意してあるわ。			ああ、タピピャさんからのお使いね？うちで使った野菜の残り屑なら、ちゃんと用意してあるわ。			潮風香る野菜たち							
野菜なら、ベイサイド・ベヴィーにも売ってるけどね。シーフォーム農園から新鮮な野菜をまわしてもらえるのは、うちにとってもありがたいのよ。			野菜なら、ベイサイド・ベヴィーにも売ってるけどね。シーフォーム農園から新鮮な野菜をまわしてもらえるのは、うちにとってもありがたいのよ。			潮風香る野菜たち							
はいはいはい、タピピャさんとこのね！用意してありますから、持っていってちょうだい～！			はいはいはい、タピピャさんとこのね！用意してありますから、持っていってちょうだい～！			潮風香る野菜たち							
タコスっていえばね、お肉やスパイスも大事だけど、お野菜もい～っぱい使ってるのよぉ。タピピャさんとは経営者同士、支えあわなくっちゃね！			タコスっていえばね、お肉やスパイスも大事だけど、お野菜もい～っぱい使ってるのよぉ。タピピャさんとは経営者同士、支えあわなくっちゃね！			潮風香る野菜たち							
野菜なら、ベイサイド・ベヴィーにも売ってるけどね。シーフォーム農園から新鮮な野菜をまわしてもらえるのは、うちにとってもありがたいのよ。			野菜なら、ベイサイド・ベヴィーにも売ってるけどね。シーフォーム農園から新鮮な野菜をまわしてもらえるのは、うちにとってもありがたいのよ。			潮風香る野菜たち							
タコスっていえばね、お肉やスパイスも大事だけど、お野菜もい～っぱい使ってるのよぉ。タピピャさんとは経営者同士、支えあわなくっちゃね！			タコスっていえばね、お肉やスパイスも大事だけど、お野菜もい～っぱい使ってるのよぉ。タピピャさんとは経営者同士、支えあわなくっちゃね！			潮風香る野菜たち							
よーしよしよし、ちゃんと集めてきてくれたかの！			よーしよしよし、ちゃんと集めてきてくれたかの！			潮風香る野菜たち							
おかげで助かったわい、感謝を申さねばな。この野菜屑は、熟成させて堆肥にするだけではなく、土壌に撒いて肥料にしたりもするんじゃよ。			おかげで助かったわい、感謝を申さねばな。この野菜屑は、熟成させて堆肥にするだけではなく、土壌に撒いて肥料にしたりもするんじゃよ。			潮風香る野菜たち							
かつてはそのまま、土に撒くだけだったんじゃがの。理王グルージャジャ様と、動植物に詳しいお仲間の発案から、堆肥にする手法が生まれたのじゃ。			かつてはそのまま、土に撒くだけだったんじゃがの。理王グルージャジャ様と、動植物に詳しいお仲間の発案から、堆肥にする手法が生まれたのじゃ。			潮風香る野菜たち							
名前のとおりに潮が飛んでくるような畑じゃが、そのぶん、土が多様な栄養を含んでいるでな。それを堆肥で、力を引き出してやるんじゃよ。			名前のとおりに潮が飛んでくるような畑じゃが、そのぶん、土が多様な栄養を含んでいるでな。それを堆肥で、力を引き出してやるんじゃよ。			潮風香る野菜たち							
これだけの野菜屑があれば、しばらくは保つじゃろう。おかげで、わしもひとつ仕事が片付いたし、お前さんにとっても、よき学びになったなら何よりじゃよ！			これだけの野菜屑があれば、しばらくは保つじゃろう。おかげで、わしもひとつ仕事が片付いたし、お前さんにとっても、よき学びになったなら何よりじゃよ！			潮風香る野菜たち							
特殊ルール： レベルアジャストエクワーヤ広場のシュバラール族の侍女は、なにかに思いを馳せているようだ。			特殊ルール： レベルアジャストエクワーヤ広場のシュバラール族の侍女は、なにかに思いを馳せているようだ。			幼き思い出の宝探し							
メモの入った封筒から、示された場所を探す			メモの入った封筒から、示された場所を探す			幼き思い出の宝探し							
メモの入った封筒から、次に示された場所を探す			メモの入った封筒から、次に示された場所を探す			幼き思い出の宝探し							
メモの入った封筒から、最後に示された場所を探す			メモの入った封筒から、最後に示された場所を探す			幼き思い出の宝探し							
エクワーヤ広場のシュバラール族の侍女に緑のイミテーションリングを渡す			エクワーヤ広場のシュバラール族の侍女に緑のイミテーションリングを渡す			幼き思い出の宝探し							
あら、あなたはウクラマト様のお連れの方でしたね。私は、王族の方々へお仕えする侍女をしておりまして……継承の儀へのご協力、大変感謝しております。			あら、あなたはウクラマト様のお連れの方でしたね。私は、王族の方々へお仕えする侍女をしておりまして……継承の儀へのご協力、大変感謝しております。			幼き思い出の宝探し							
……そうだわ、あなたになら、これを託しても良いかもしれません、			……そうだわ、あなたになら、これを託しても良いかもしれません、			幼き思い出の宝探し							
封筒に入っているのは、ほんの小さな紙切れなのですけれどね。これには昔、コーナ様がウクラマト様のためにと、手ずから作った、宝探し遊びの手がかりが記されているんです。			封筒に入っているのは、ほんの小さな紙切れなのですけれどね。これには昔、コーナ様がウクラマト様のためにと、手ずから作った、宝探し遊びの手がかりが記されているんです。			幼き思い出の宝探し							
ウクラマト様は、最初のひとつは自力で見つけたようなんですが、コーナ様の問題が少々難しかったようで……そのうち、飽きて私に押し付けてしまわれまして。			ウクラマト様は、最初のひとつは自力で見つけたようなんですが、コーナ様の問題が少々難しかったようで……そのうち、飽きて私に押し付けてしまわれまして。			幼き思い出の宝探し							
彼女も私も、そのまま忘れてしまったんでしょうね。最近自室を整理していたら出てきたので、なんだか懐かしくて持ち歩いていたんです。			彼女も私も、そのまま忘れてしまったんでしょうね。最近自室を整理していたら出てきたので、なんだか懐かしくて持ち歩いていたんです。			幼き思い出の宝探し							
宝物は、まだトライヨラのどこかに眠っているはず。お渡しした「メモの入った封筒」の手がかりを頼りに、隠し場所を探してみてはいかがでしょう？			宝物は、まだトライヨラのどこかに眠っているはず。お渡しした「メモの入った封筒」の手がかりを頼りに、隠し場所を探してみてはいかがでしょう？			幼き思い出の宝探し							
本クエストは「探索型クエスト」です。進行中、ジャーナルや目的リストや地図に、ヒントが表示されない場合があります。			本クエストは「探索型クエスト」です。進行中、ジャーナルや目的リストや地図に、ヒントが表示されない場合があります。			幼き思い出の宝探し							
コーナ様が隠された宝物は、まだこのトライヨラのどこかに眠っているはず。お渡ししたメモを見ながら、挑戦してみてはいかがでしょうか？			コーナ様が隠された宝物は、まだこのトライヨラのどこかに眠っているはず。お渡ししたメモを見ながら、挑戦してみてはいかがでしょうか？			幼き思い出の宝探し							
他の隠し場所のメモを見ますか？			他の隠し場所のメモを見ますか？			幼き思い出の宝探し							
「次の隠し場所のメモ」を見る			「次の隠し場所のメモ」を見る			幼き思い出の宝探し							
「次の次の隠し場所のメモ」を見る			「次の次の隠し場所のメモ」を見る			幼き思い出の宝探し							
キャンセル			キャンセル			幼き思い出の宝探し							
(-次の隠し場所のメモ-)宝の砂粒を臨む賑わいの家、太陽眠る樹のもと			(-次の隠し場所のメモ-)宝の砂粒を臨む賑わいの家、太陽眠る樹のもと			幼き思い出の宝探し							
「次の次の隠し場所のメモ」を見つけた。アイテム「メモの入った封筒」を使用することで、記されたヒントを確認できるようだ。			「次の次の隠し場所のメモ」を見つけた。アイテム「メモの入った封筒」を使用することで、記されたヒントを確認できるようだ。			幼き思い出の宝探し							
(-次の次の隠し場所のメモ-)船室連なる橋の先、憩いの緑の中			(-次の次の隠し場所のメモ-)船室連なる橋の先、憩いの緑の中			幼き思い出の宝探し							
「最後の隠し場所のメモ」を見つけた。アイテム「メモの入った封筒」を使用することで、記されたヒントを確認できるようだ。			「最後の隠し場所のメモ」を見つけた。アイテム「メモの入った封筒」を使用することで、記されたヒントを確認できるようだ。			幼き思い出の宝探し							
(-最後の隠し場所のメモ-)輝ける旅路の果て、遂に霊鳥を封印せん			(-最後の隠し場所のメモ-)輝ける旅路の果て、遂に霊鳥を封印せん			幼き思い出の宝探し							
「緑のイミテーションリング」を見つけた。エクワーヤ広場の「シュバラール族の侍女」に報告しよう。			「緑のイミテーションリング」を見つけた。エクワーヤ広場の「シュバラール族の侍女」に報告しよう。			幼き思い出の宝探し							
戻られたんですね。メモが示していた場所から、何か見つかりましたか？			戻られたんですね。メモが示していた場所から、何か見つかりましたか？			幼き思い出の宝探し							
ああ、これは……うふふ、覚えています。昔コーナ様が、ひとりで買いに行くのが恥ずかしいからと、私を伴ってベイサイド・ベヴィーで購入したものなんですよ。			ああ、これは……うふふ、覚えています。昔コーナ様が、ひとりで買いに行くのが恥ずかしいからと、私を伴ってベイサイド・ベヴィーで購入したものなんですよ。			幼き思い出の宝探し							
本当にウクラマト様のことを大事に思っておられて、宝探し遊びも、ウクラマト様にせがまれ考えてらしたんです。			本当にウクラマト様のことを大事に思っておられて、宝探し遊びも、ウクラマト様にせがまれ考えてらしたんです。			幼き思い出の宝探し							
今や、この国の未来を支えてゆかれるお立場ですが……おふたりなら、きっと互いの声を聞いて、今より素晴らしいトライヨラにしてくれると信じています。			今や、この国の未来を支えてゆかれるお立場ですが……おふたりなら、きっと互いの声を聞いて、今より素晴らしいトライヨラにしてくれると信じています。			幼き思い出の宝探し							
この指輪は……機会があれば、私がコーナ様にお渡ししますね。こんな可愛らしい贈り物、今ならどんなふうに、ウクラマト様に渡されるのかしら！			この指輪は……機会があれば、私がコーナ様にお渡ししますね。こんな可愛らしい贈り物、今ならどんなふうに、ウクラマト様に渡されるのかしら！			幼き思い出の宝探し							
それでは、私もこれで失礼いたします。この街に眠っていた大切な思い出を見つけていただき、本当に、ありがとうございました。			それでは、私もこれで失礼いたします。この街に眠っていた大切な思い出を見つけていただき、本当に、ありがとうございました。			幼き思い出の宝探し							
特殊ルール： レベルアジャストアルパカ停留場のペルペル族の獣牧士は、アルパカたちを探しているようだ。			特殊ルール： レベルアジャストアルパカ停留場のペルペル族の獣牧士は、アルパカたちを探しているようだ。			王都のアルパカたち							
脱走中のアルパカに「なだめる」をする			脱走中のアルパカに「なだめる」をする			王都のアルパカたち							
ペルペル族の獣牧士と話す			ペルペル族の獣牧士と話す			王都のアルパカたち							
あなた、もしやForenameさんでは？ワチュン・ペロの牧場で働く従兄弟から、さんざん聞かされましたよ、アルパカを扱う上手さについて。			あなた、もしやForenameさんでは？ワチュン・ペロの牧場で働く従兄弟から、さんざん聞かされましたよ、アルパカを扱う上手さについて。			王都のアルパカたち							
どうか、その腕を頼らせてもらえませんでしょうか……。実は、先日のトライヨラ襲撃の際にアルパカが逃げ出してしまい、まだ2頭ほど見つかっていないんですよ。			どうか、その腕を頼らせてもらえませんでしょうか……。実は、先日のトライヨラ襲撃の際にアルパカが逃げ出してしまい、まだ2頭ほど見つかっていないんですよ。			王都のアルパカたち							
門を出てはいないようなので、きっとまだ、トライヨラのどこかに隠れているんだと思うんです。捜索にご協力いただければ、大変ありがたく……！			門を出てはいないようなので、きっとまだ、トライヨラのどこかに隠れているんだと思うんです。捜索にご協力いただければ、大変ありがたく……！			王都のアルパカたち							
よろしくお願いします！ご存知とは思いますが……騎獣用に訓練されているとはいえ、いきなり話しかけない方が良いですよ、アルパカは臆病だから。			よろしくお願いします！ご存知とは思いますが……騎獣用に訓練されているとはいえ、いきなり話しかけない方が良いですよ、アルパカは臆病だから。			王都のアルパカたち							
トライヨラでアルパカを見つけたら、まずは「なだめ」てください。いいですね、いきなり捕まえようとしたら絶対ダメですよ！			トライヨラでアルパカを見つけたら、まずは「なだめ」てください。いいですね、いきなり捕まえようとしたら絶対ダメですよ！			王都のアルパカたち							
トライヨラで探してください、逃げ出したアルパカを！まずは「なだめ」てくださいね。いいですね、いきなり捕まえようとしたら絶対ダメですよ！			トライヨラで探してください、逃げ出したアルパカを！まずは「なだめ」てくださいね。いいですね、いきなり捕まえようとしたら絶対ダメですよ！			王都のアルパカたち							
ぷう～ぷぷぷ…………ペッ！！			ぷう～ぷぷぷ…………ペッ！！			王都のアルパカたち							
アルパカに唾を吐きかけられた！よく「なだめて」、落ち着かせてやろう。			アルパカに唾を吐きかけられた！よく「なだめて」、落ち着かせてやろう。			王都のアルパカたち							
ぷうぷう～♪			ぷうぷう～♪			王都のアルパカたち							
アルパカは、なだめられて落ち着いた様子だ。ゆっくりアルパカ停留場のほうへと戻っていったようだ。			アルパカは、なだめられて落ち着いた様子だ。ゆっくりアルパカ停留場のほうへと戻っていったようだ。			王都のアルパカたち							
どうもありがとうございます！さっき、アルパカたちが戻ってきましたよ。			どうもありがとうございます！さっき、アルパカたちが戻ってきましたよ。			王都のアルパカたち							
ういうい、お手際よくなだめてくれたようですね。さすがは継承の儀を助けられたお方！			ういうい、お手際よくなだめてくれたようですね。さすがは継承の儀を助けられたお方！			王都のアルパカたち							
このニオイ、この子たちの唾の……！！も～、だからご忠告したのに……しばらくは残りますよ、激臭が！			このニオイ、この子たちの唾の……！！も～、だからご忠告したのに……しばらくは残りますよ、激臭が！			王都のアルパカたち							
王都のアルパカは、トライヨラ建国時に、ペルペル族が友好の証として献上した子たちの子孫なんです。			王都のアルパカは、トライヨラ建国時に、ペルペル族が友好の証として献上した子たちの子孫なんです。			王都のアルパカたち							
かつてグルージャジャ様が、金色のアルパカを捕まえたって話、あなたもご存知でしょう？その子から生まれた、選りすぐりの子たちを献上したんですよ。			かつてグルージャジャ様が、金色のアルパカを捕まえたって話、あなたもご存知でしょう？その子から生まれた、選りすぐりの子たちを献上したんですよ。			王都のアルパカたち							
子孫にあたる子たちも、金色のアルパカの健脚を継いでいます。あなたのことも、ご用命ならお運びしますよ、どこまでも！			子孫にあたる子たちも、金色のアルパカの健脚を継いでいます。あなたのことも、ご用命ならお運びしますよ、どこまでも！			王都のアルパカたち							
さぁて、しばらく隠れていたぶん、たんと世話をしてやらないと。見つけてくださって、ありがとうございました！			さぁて、しばらく隠れていたぶん、たんと世話をしてやらないと。見つけてくださって、ありがとうございました！			王都のアルパカたち							
特殊ルール： レベルアジャスト羽毛広場のスラージャは、新たな施策について検討しているようだ。			特殊ルール： レベルアジャスト羽毛広場のスラージャは、新たな施策について検討しているようだ。			いつか、トラルのギルドに							
シャバーブチェでブルケブと話す			シャバーブチェでブルケブと話す			いつか、トラルのギルドに							
シャバーブチェの客たちと話す			シャバーブチェの客たちと話す			いつか、トラルのギルドに							
羽毛広場でスラージャと話す			羽毛広場でスラージャと話す			いつか、トラルのギルドに							
これはこれは、ウクラマト様の……。ちょうどよかった、冒険者であるあなたに、少々お願いをしてもよろしいでしょうか？			これはこれは、ウクラマト様の……。ちょうどよかった、冒険者であるあなたに、少々お願いをしてもよろしいでしょうか？			いつか、トラルのギルドに							
エオルゼアには「冒険者ギルド」というものがあると聞きました。実は、トライヨラにも同様のものを組織したいと、かねてより理の院にて検討してきていましてね。			エオルゼアには「冒険者ギルド」というものがあると聞きました。実は、トライヨラにも同様のものを組織したいと、かねてより理の院にて検討してきていましてね。			いつか、トラルのギルドに							
先日の襲撃事件のようなことがまた起これば、勇連隊だけでは、対応が行き届かないこともあるでしょうから。そこで、トライヨラの民に意識調査を行いたいのですよ。			先日の襲撃事件のようなことがまた起これば、勇連隊だけでは、対応が行き届かないこともあるでしょうから。そこで、トライヨラの民に意識調査を行いたいのですよ。			いつか、トラルのギルドに							
ギルドは、街を代表する酒場や飲食店を、拠点にすることが多いとも聞きました。この街では「シャバーブチェ」がそれに相当するかと思います。			ギルドは、街を代表する酒場や飲食店を、拠点にすることが多いとも聞きました。この街では「シャバーブチェ」がそれに相当するかと思います。			いつか、トラルのギルドに							
という訳で、我らがシャバーブチェへ赴いていただければ。まずは「ブルケブ」から聞き取りを、そして彼の許可を得て、ほかのお客様からも、広く話を聞いてきていただけますか？			という訳で、我らがシャバーブチェへ赴いていただければ。まずは「ブルケブ」から聞き取りを、そして彼の許可を得て、ほかのお客様からも、広く話を聞いてきていただけますか？			いつか、トラルのギルドに							
シャバーブチェへ赴いて、市民の意識調査にご協力ください。まずは「ブルケブ」から聞き取りを、そして彼の許可を得て、ほかのお客様からも、広く話を聞いてきていただけますか？			シャバーブチェへ赴いて、市民の意識調査にご協力ください。まずは「ブルケブ」から聞き取りを、そして彼の許可を得て、ほかのお客様からも、広く話を聞いてきていただけますか？			いつか、トラルのギルドに							
冒険者ギルドというものがあったら、か……。最近じゃ、外つ国からきた客も増えてきたが、みな王都の外に出る際、案内や護衛を探すのに苦労しているな。			冒険者ギルドというものがあったら、か……。最近じゃ、外つ国からきた客も増えてきたが、みな王都の外に出る際、案内や護衛を探すのに苦労しているな。			いつか、トラルのギルドに							
そういった、人と人との出会いの場になるなら良いんじゃないか。とはいえ、あんたにはお笑い草だろうが、俺は「冒険者」というものが、あまりピンと来ていなくてなぁ。			そういった、人と人との出会いの場になるなら良いんじゃないか。とはいえ、あんたにはお笑い草だろうが、俺は「冒険者」というものが、あまりピンと来ていなくてなぁ。			いつか、トラルのギルドに							
店のお客に話を聞くのも構わんぞ。ただ、連王宮がギルドを作りたがってるってのを、決まったことのようには言わないでやってくれよ。			店のお客に話を聞くのも構わんぞ。ただ、連王宮がギルドを作りたがってるってのを、決まったことのようには言わないでやってくれよ。			いつか、トラルのギルドに							
冒険者ギルド……新しい集会所のようなものかな？我々市民の困り事を解決するために、迅速に動いてくれる人に会える場所なら助かるかな。			冒険者ギルド……新しい集会所のようなものかな？我々市民の困り事を解決するために、迅速に動いてくれる人に会える場所なら助かるかな。			いつか、トラルのギルドに							
ゾラージャ様は、市井の問題にはあまり関心がなかったから、勇連隊に陳情しても、なかなか要望が通らなかったしさ。			ゾラージャ様は、市井の問題にはあまり関心がなかったから、勇連隊に陳情しても、なかなか要望が通らなかったしさ。			いつか、トラルのギルドに							
しかし、武の院や理の院の窓口もあるしなぁ……。新しい組織ってのより、いまある機関に、より積極的に動いてもらったほうがいいかもしれないね。			しかし、武の院や理の院の窓口もあるしなぁ……。新しい組織ってのより、いまある機関に、より積極的に動いてもらったほうがいいかもしれないね。			いつか、トラルのギルドに							
冒険者というのがあなたのような人なら良いけど、粗野な傭兵のような連中だらけになるなら、ゴメンだな。全員ではないけど一部の傭兵は粗っぽくて、品も無いしね……。			冒険者というのがあなたのような人なら良いけど、粗野な傭兵のような連中だらけになるなら、ゴメンだな。全員ではないけど一部の傭兵は粗っぽくて、品も無いしね……。			いつか、トラルのギルドに							
トライヨラの浜辺を眺めながら、ゆっくり酒を飲む！そんなこの店の雰囲気は、ずっと変わらないでほしいな。			トライヨラの浜辺を眺めながら、ゆっくり酒を飲む！そんなこの店の雰囲気は、ずっと変わらないでほしいな。			いつか、トラルのギルドに							
市民の声を届ける組織なんて、もう必要ないんじゃない？ウクラマト様は、よくこの店にも顔を出していたし、みんなの言葉にも耳を傾けてくださっていたから。			市民の声を届ける組織なんて、もう必要ないんじゃない？ウクラマト様は、よくこの店にも顔を出していたし、みんなの言葉にも耳を傾けてくださっていたから。			いつか、トラルのギルドに							
ブルケブさんも、この店で出会った客同士が、一緒に楽しめるような店作りをしてくれているしね。外つ国の人が来ても馴染める場所だと思うわよ。			ブルケブさんも、この店で出会った客同士が、一緒に楽しめるような店作りをしてくれているしね。外つ国の人が来ても馴染める場所だと思うわよ。			いつか、トラルのギルドに							
冒険者ギルドってのが、あっても構わんが、武の院や理の院の窓口もあるしなぁ……。			冒険者ギルドってのが、あっても構わんが、武の院や理の院の窓口もあるしなぁ……。			いつか、トラルのギルドに							
全員ではないけど一部の傭兵は粗っぽくて、品も無いしね……。この店の雰囲気は、ずっと変わらないでほしいな。			全員ではないけど一部の傭兵は粗っぽくて、品も無いしね……。この店の雰囲気は、ずっと変わらないでほしいな。			いつか、トラルのギルドに							
市民の声を届ける組織なんて、もう必要ないんじゃない？ウクラマト様は、よくこの店にも顔を出していたし、みんなの言葉にも耳を傾けてくださっていたから。			市民の声を届ける組織なんて、もう必要ないんじゃない？ウクラマト様は、よくこの店にも顔を出していたし、みんなの言葉にも耳を傾けてくださっていたから。			いつか、トラルのギルドに							
ありがとう、皆さんに話を聞いてきてくださったんですね。それで、街の人々は冒険者ギルドについて、どのように……？			ありがとう、皆さんに話を聞いてきてくださったんですね。それで、街の人々は冒険者ギルドについて、どのように……？			いつか、トラルのギルドに							
ふむ……何かあったときに迅速に動ける人員がいると助かるが、ならず者の溜まり場になる懸念があるから、あまり歓迎されていない……といったところでしょうか。			ふむ……何かあったときに迅速に動ける人員がいると助かるが、ならず者の溜まり場になる懸念があるから、あまり歓迎されていない……といったところでしょうか。			いつか、トラルのギルドに							
お話を聞いたかぎりでは、冒険者に頼らずとも、行政が改善できることもありそうです。何より、皆さん今の店の在り方をとても大切にしているようだ。			お話を聞いたかぎりでは、冒険者に頼らずとも、行政が改善できることもありそうです。何より、皆さん今の店の在り方をとても大切にしているようだ。			いつか、トラルのギルドに							
トラルの民にも「冒険者」の文化が十分根付くことがあれば、ギルドも機能するかもしれませんが……今はまだ、時期尚早なのかもしれません。			トラルの民にも「冒険者」の文化が十分根付くことがあれば、ギルドも機能するかもしれませんが……今はまだ、時期尚早なのかもしれません。			いつか、トラルのギルドに							
器ばかりを先に作っても、仕方ないですからね。早急な結論を出さず、継続して検討することとしましょう……ご協力、感謝いたしますよ。			器ばかりを先に作っても、仕方ないですからね。早急な結論を出さず、継続して検討することとしましょう……ご協力、感謝いたしますよ。			いつか、トラルのギルドに							
特殊ルール： レベルアジャスト満ちた玄関の交易船の甲板員は、問い合わせを受けて困っているようだ。			特殊ルール： レベルアジャスト満ちた玄関の交易船の甲板員は、問い合わせを受けて困っているようだ。			母の待つ、東からの手紙							
散乱した積み荷を探す			散乱した積み荷を探す			母の待つ、東からの手紙							
交易船の甲板員に散乱した積み荷を渡す			交易船の甲板員に散乱した積み荷を渡す			母の待つ、東からの手紙							
ゼービジャにゼービジャ宛ての手紙を渡す			ゼービジャにゼービジャ宛ての手紙を渡す			母の待つ、東からの手紙							
交易船の甲板員と話す			交易船の甲板員と話す			母の待つ、東からの手紙							
ああ、きっとあるはずなのに……。			ああ、きっとあるはずなのに……。			母の待つ、東からの手紙							
なあ、ゼービジャさん、頼むよ。息子さんからの手紙を、ずっと待っていたのはよくわかったが……			なあ、ゼービジャさん、頼むよ。息子さんからの手紙を、ずっと待っていたのはよくわかったが……			母の待つ、東からの手紙							
