イディルシャイアのイロアズは、冒険者に興味があるようだ。			イディルシャイアのイロアズは、冒険者に興味があるようだ。			イシュガルドのモブハント（上級）							
兄貴、ちょっと待ってほしいっす……！ここは……僕がなんとかするっす！だから、まだ行かないでほしいっす！			兄貴、ちょっと待ってほしいっす……！ここは……僕がなんとかするっす！だから、まだ行かないでほしいっす！			ふたりは仲間ゴブ！							
イディルシャイアの人たちにも声をかけてくるっす！だから、みんなで協力して、金貸しを追い出すっす！冒険者さんも手伝ってほしいっす！			イディルシャイアの人たちにも声をかけてくるっす！だから、みんなで協力して、金貸しを追い出すっす！冒険者さんも手伝ってほしいっす！			ふたりは仲間ゴブ！							
……俺さえいなければ、みんなに迷惑かけずに済むんだ。			……俺さえいなければ、みんなに迷惑かけずに済むんだ。			ふたりは仲間ゴブ！							
イディルシャイアの人たちにも声をかけてくるっす！それで、みんなで協力して、金貸しを追い出すっす！冒険者さんも手伝ってほしいっす！			イディルシャイアの人たちにも声をかけてくるっす！それで、みんなで協力して、金貸しを追い出すっす！冒険者さんも手伝ってほしいっす！			ふたりは仲間ゴブ！							
みんなに声をかけたら、快く来ていただけたっす！さあ、あの悪党金貸しを、追い返すっす！			みんなに声をかけたら、快く来ていただけたっす！さあ、あの悪党金貸しを、追い返すっす！			ふたりは仲間ゴブ！							
シュコォ……シュコォ……ノッチド・ボーン　仲間ゴブ。仲間は助ける　ルールゴブ！			シュコォ……シュコォ……ノッチド・ボーン　仲間ゴブ。仲間は助ける　ルールゴブ！			ふたりは仲間ゴブ！							
デデアンに話は聞いたぜ。金貸しは、この先の「シャーレアン選者街」に追い出した。さあ、話をつけにいこうぜ。			デデアンに話は聞いたぜ。金貸しは、この先の「シャーレアン選者街」に追い出した。さあ、話をつけにいこうぜ。			ふたりは仲間ゴブ！							
まさか、イディルシャイアであの金貸しを見るとはな。弱者相手の汚え仕事、まだ続けてやがったか。			まさか、イディルシャイアであの金貸しを見るとはな。弱者相手の汚え仕事、まだ続けてやがったか。			ふたりは仲間ゴブ！							
ひさしぶりだなあ、ノッチド・ボーンの腰巾着！ということは、ノッチド・ボーンは、やはりここにいるんだな！……さあ、金を返してもらうぜ！			ひさしぶりだなあ、ノッチド・ボーンの腰巾着！ということは、ノッチド・ボーンは、やはりここにいるんだな！……さあ、金を返してもらうぜ！			ふたりは仲間ゴブ！							
が、が、元金は返してるし、不当な利子は返せないっす！そ、そ、それに、ここに兄貴はいないっす！そうですよね、皆さん！？			が、が、元金は返してるし、不当な利子は返せないっす！そ、そ、それに、ここに兄貴はいないっす！そうですよね、皆さん！？			ふたりは仲間ゴブ！							
シュコォ……シュコォ……ノッチド・ボーンなら　都市にいるゴブ！都市民　なった　ばかりゴブ！			シュコォ……シュコォ……ノッチド・ボーンなら　都市にいるゴブ！都市民　なった　ばかりゴブ！			ふたりは仲間ゴブ！							
クックック……リーダーさんは賢いねぇ。ノッチド・ボーンを差し出すのが、都市のためだとわかってる。そうさ、厄介者は切り捨てるべきだ！			クックック……リーダーさんは賢いねぇ。ノッチド・ボーンを差し出すのが、都市のためだとわかってる。そうさ、厄介者は切り捨てるべきだ！			ふたりは仲間ゴブ！							
ゴブ？　言ってることが　わからんゴブ！「仲間に優しく」　それが都市民の　ルールゴブ！ノッチド・ボーンは仲間だから　都市民みんなで　助けるゴブ！			ゴブ？　言ってることが　わからんゴブ！「仲間に優しく」　それが都市民の　ルールゴブ！ノッチド・ボーンは仲間だから　都市民みんなで　助けるゴブ！			ふたりは仲間ゴブ！							
……ああん？　なに言ってやがる！俺は泣く子も黙る、恐怖の借金取り様だぜ！？			……ああん？　なに言ってやがる！俺は泣く子も黙る、恐怖の借金取り様だぜ！？			ふたりは仲間ゴブ！							
へぇ、「エドレッド盗賊団」の頭であるこの俺と、まともにやり合おうってか？どっちが泣きっ面になるか、楽しみじゃないか。			へぇ、「エドレッド盗賊団」の頭であるこの俺と、まともにやり合おうってか？どっちが泣きっ面になるか、楽しみじゃないか。			ふたりは仲間ゴブ！							
ハッ！　見え見えの嘘はやめるんだな！！……って、あれ……本当だ、手配書で見たことがある顔！？まさか「ザナラーンの白き雷鳴」と恐れられた、エドレッド本人？			ハッ！　見え見えの嘘はやめるんだな！！……って、あれ……本当だ、手配書で見たことがある顔！？まさか「ザナラーンの白き雷鳴」と恐れられた、エドレッド本人？			ふたりは仲間ゴブ！							
ここは自由の都市、ちょっと変わった場所でね。都市の中には、武名で知られた元傭兵から暗殺者まで、百戦錬磨の連中がそろってるぜ？			ここは自由の都市、ちょっと変わった場所でね。都市の中には、武名で知られた元傭兵から暗殺者まで、百戦錬磨の連中がそろってるぜ？			ふたりは仲間ゴブ！							
そうそう　いかにも　百戦錬磨！みんなで　都市から　追い出すゴブ！ノッチド・ボーンを　守るゴブ！			そうそう　いかにも　百戦錬磨！みんなで　都市から　追い出すゴブ！ノッチド・ボーンを　守るゴブ！			ふたりは仲間ゴブ！							
こいつもよく見ると、只者じゃねぇ気配だ……！ひ、ひぃ～！　なんなんだ、この恐ろしい都市は！			こいつもよく見ると、只者じゃねぇ気配だ……！ひ、ひぃ～！　なんなんだ、この恐ろしい都市は！			ふたりは仲間ゴブ！							
金貸しを、追い返せた……！都市のみんな……あったかいっす！ありがとう、本当にありがとうっす！			金貸しを、追い返せた……！都市のみんな……あったかいっす！ありがとう、本当にありがとうっす！			ふたりは仲間ゴブ！							
まるごと　のこらず　一件落着！そうだ　お前さん　頼みがあるゴブ！あとでゴブのところに　来てほしいゴブ！			まるごと　のこらず　一件落着！そうだ　お前さん　頼みがあるゴブ！あとでゴブのところに　来てほしいゴブ！			ふたりは仲間ゴブ！							
兄貴、やったっす！あの金貸しを、追い返したっす！！			兄貴、やったっす！あの金貸しを、追い返したっす！！			ふたりは仲間ゴブ！							
そうか、じゃあ逃げる用意は無駄になったわけだ。ちくしょう、でっけえ借りを作っちまったなあ……。			そうか、じゃあ逃げる用意は無駄になったわけだ。ちくしょう、でっけえ借りを作っちまったなあ……。			ふたりは仲間ゴブ！							
あの金貸しは、生活に困る難民を騙し、暴利を貪ってる最低な野郎でな。ノッチド・ボーンも、大変だっただろうよ。			あの金貸しは、生活に困る難民を騙し、暴利を貪ってる最低な野郎でな。ノッチド・ボーンも、大変だっただろうよ。			ふたりは仲間ゴブ！							
シュコォ……シュコォ……ゴブたち　完璧　大勝利！ノッチド・ボーンを　守ったゴブ！			シュコォ……シュコォ……ゴブたち　完璧　大勝利！ノッチド・ボーンを　守ったゴブ！			ふたりは仲間ゴブ！							
これで　安心して　渡せるゴブ！ゴブは　忙しいから　任せるゴブ！この「封筒」は　ノッチド・ボーンたちの　大切なもの！			これで　安心して　渡せるゴブ！ゴブは　忙しいから　任せるゴブ！この「封筒」は　ノッチド・ボーンたちの　大切なもの！			ふたりは仲間ゴブ！							
「ドリップウィクス」の　署名を　もらってほしいゴブ！あいつは　「大工房アーキテクトン」近く　視察中！よしなに　よろしく　頼むゴブ！			「ドリップウィクス」の　署名を　もらってほしいゴブ！あいつは　「大工房アーキテクトン」近く　視察中！よしなに　よろしく　頼むゴブ！			ふたりは仲間ゴブ！							
「ドリップウィクス」の　署名を　もらってほしいゴブ！あいつは　「大工房アーキテクトン」近く　視察中！よしなに　よろしく　頼むゴブ！			「ドリップウィクス」の　署名を　もらってほしいゴブ！あいつは　「大工房アーキテクトン」近く　視察中！よしなに　よろしく　頼むゴブ！			ふたりは仲間ゴブ！							
シュコォ……シュコォ……おやおや　命の恩人さん！ゴブに　いったい　何の用？			シュコォ……シュコォ……おやおや　命の恩人さん！ゴブに　いったい　何の用？			ふたりは仲間ゴブ！							
ふむふむ　わざわざ　ありがとさん！この「封筒」は　大切な書類　入ってる。僕が書類に署名をすれば　完成　完成　完成品！			ふむふむ　わざわざ　ありがとさん！この「封筒」は　大切な書類　入ってる。僕が書類に署名をすれば　完成　完成　完成品！			ふたりは仲間ゴブ！							
「書類入りの封筒」　「ノッチド・ボーン」に　渡してほしい。仲間のために　ゴブもいっぱい　頑張るよ～！			「書類入りの封筒」　「ノッチド・ボーン」に　渡してほしい。仲間のために　ゴブもいっぱい　頑張るよ～！			ふたりは仲間ゴブ！							
「書類入りの封筒」　「ノッチド・ボーン」に　渡してほしい。仲間のために　ゴブも　いっぱい　頑張るよ～！			「書類入りの封筒」　「ノッチド・ボーン」に　渡してほしい。仲間のために　ゴブも　いっぱい　頑張るよ～！			ふたりは仲間ゴブ！							
冒険者さんには、いっぱい世話になったっす！ありがとうっす！			冒険者さんには、いっぱい世話になったっす！ありがとうっす！			ふたりは仲間ゴブ！							
デデアンから全部聞いた、感謝の気持ちでいっぱいだよ。だが皆に迷惑をかけたのは事実、やはりここは出て……。……ん？　俺にまだ、なにかあるのかい？			デデアンから全部聞いた、感謝の気持ちでいっぱいだよ。だが皆に迷惑をかけたのは事実、やはりここは出て……。……ん？　俺にまだ、なにかあるのかい？			ふたりは仲間ゴブ！							
ド……リップウィクスの署名が入った書類？公文書みたいなもんか。どれどれ……。			ド……リップウィクスの署名が入った書類？公文書みたいなもんか。どれどれ……。			ふたりは仲間ゴブ！							
(-署名入りの書類-)「ノッチド・ボーン　デデアン　都市の仲間として　認めるゴブ　都市のルールはただひとつ　仲間に優しく　守るゴブ！　スローフィクス　ドリップウィクス			(-署名入りの書類-)「ノッチド・ボーン　デデアン　都市の仲間として　認めるゴブ　都市のルールはただひとつ　仲間に優しく　守るゴブ！　スローフィクス　ドリップウィクス			ふたりは仲間ゴブ！							
これは、都市民認定証……？ずっとあちこち逃げまわってた僕たちにも、ついに腰を落ち着けられる「故郷」ができたんっすね……ウッ。			これは、都市民認定証……？ずっとあちこち逃げまわってた僕たちにも、ついに腰を落ち着けられる「故郷」ができたんっすね……ウッ。			ふたりは仲間ゴブ！							
ば、バッキャロウ、泣くんじゃねえ！泣いてる暇あったら……あいつらに恩返しするんだよ！この都市の、仲間としてな！			ば、バッキャロウ、泣くんじゃねえ！泣いてる暇あったら……あいつらに恩返しするんだよ！この都市の、仲間としてな！			ふたりは仲間ゴブ！							
騙され、裏切られ、流れ流れてきた俺たちが、たくさん迷惑をかけたのに、仲間として受け入れてもらえた。こんなに嬉しいことはねえ！			騙され、裏切られ、流れ流れてきた俺たちが、たくさん迷惑をかけたのに、仲間として受け入れてもらえた。こんなに嬉しいことはねえ！			ふたりは仲間ゴブ！							
アンタも、また来てくれよな！次にくるときには、この都市をもっと賑やかにしてみせるぜ！			アンタも、また来てくれよな！次にくるときには、この都市をもっと賑やかにしてみせるぜ！			ふたりは仲間ゴブ！							
イディルシャイアのミッドナイト・デューは、怒りに満ちた顔をしている。			イディルシャイアのミッドナイト・デューは、怒りに満ちた顔をしている。			人の犯した所業							
ミッドナイト・デューから話を聞いた。店の売り上げや高価な品が盗まれたらしい。低地ドラヴァニアのシャーレアン学士街で「ミッドナイト・デュー」と合流しよう。			ミッドナイト・デューから話を聞いた。店の売り上げや高価な品が盗まれたらしい。低地ドラヴァニアのシャーレアン学士街で「ミッドナイト・デュー」と合流しよう。			人の犯した所業							
ミッドナイト・デューは仲間と河沿いを捜索するそうだ。シャーレアン学士街の廃墟で、「盗品の荷箱」を探そう。			ミッドナイト・デューは仲間と河沿いを捜索するそうだ。シャーレアン学士街の廃墟で、「盗品の荷箱」を探そう。			人の犯した所業							
廃墟で、犯人たちと盗品の荷箱を見つけたが、犯人たちが襲ってきた。妨害を退け、「盗品の荷箱」を取り戻そう。			廃墟で、犯人たちと盗品の荷箱を見つけたが、犯人たちが襲ってきた。妨害を退け、「盗品の荷箱」を取り戻そう。			人の犯した所業							
盗品の荷箱を取り戻した。シャーレアン学士街の「ミッドナイト・デュー」に「盗品の荷箱」を渡そう。			盗品の荷箱を取り戻した。シャーレアン学士街の「ミッドナイト・デュー」に「盗品の荷箱」を渡そう。			人の犯した所業							
ミッドナイト・デューに盗品の荷箱を渡して、盗まれたものの一部を取り戻すことができた。引き続き、ミッドナイト・デューに協力しよう。			ミッドナイト・デューに盗品の荷箱を渡して、盗まれたものの一部を取り戻すことができた。引き続き、ミッドナイト・デューに協力しよう。			人の犯した所業							
シャーレアン学士街のミッドナイト・デューと話す			シャーレアン学士街のミッドナイト・デューと話す			人の犯した所業							
盗品の荷箱を探す			盗品の荷箱を探す			人の犯した所業							
妨害を退け盗品の荷箱を回収			妨害を退け盗品の荷箱を回収			人の犯した所業							
シャーレアン学士街のミッドナイト・デューに盗品の荷箱を渡す			シャーレアン学士街のミッドナイト・デューに盗品の荷箱を渡す			人の犯した所業							
チッ……ヘマしちまったよ……。店の売り上げと高価な品を、ごっそり盗まれちまった。しかも、目撃者によれば、犯人は「人」だってのさ。			チッ……ヘマしちまったよ……。店の売り上げと高価な品を、ごっそり盗まれちまった。しかも、目撃者によれば、犯人は「人」だってのさ。			人の犯した所業							
こいつは、ただの損害じゃ済まないよ。ゴブリン族との信頼にも関わる……。……アンタ、犯人を捕まえるのに協力してくれないかい？			こいつは、ただの損害じゃ済まないよ。ゴブリン族との信頼にも関わる……。……アンタ、犯人を捕まえるのに協力してくれないかい？			人の犯した所業							
犯人は、「シャーレアン学士街」に逃げたようだ……。そこで落ち合うとしようじゃないか。			犯人は、「シャーレアン学士街」に逃げたようだ……。そこで落ち合うとしようじゃないか。			人の犯した所業							
犯人は、「シャーレアン学士街」に逃げたようだ……。そこで落ち合うとしようじゃないか。			犯人は、「シャーレアン学士街」に逃げたようだ……。そこで落ち合うとしようじゃないか。			人の犯した所業							
来てくれたね……盗まれた品は結構な量だ。それを一気に運ぶとなると、船を使う可能性が高い。アタシは仲間に連絡して、河沿いを調べてみる。			来てくれたね……盗まれた品は結構な量だ。それを一気に運ぶとなると、船を使う可能性が高い。アタシは仲間に連絡して、河沿いを調べてみる。			人の犯した所業							
アンタは、廃墟の中を調べてくれるかい？犯人どもが潜んでいるかもしれない。荷物を見つけたら、取り返しておくれ。			アンタは、廃墟の中を調べてくれるかい？犯人どもが潜んでいるかもしれない。荷物を見つけたら、取り返しておくれ。			人の犯した所業							
アンタは、廃墟の中を調べてくれるかい？犯人どもが潜んでいるかもしれない。荷物を見つけたら、取り返しておくれ。			アンタは、廃墟の中を調べてくれるかい？犯人どもが潜んでいるかもしれない。荷物を見つけたら、取り返しておくれ。			人の犯した所業							
何だ、テメェ！			何だ、テメェ！			人の犯した所業							
お宝を取り返そうってか！			お宝を取り返そうってか！			人の犯した所業							
やっちまえ！			やっちまえ！			人の犯した所業							
アンタは、廃墟の中を調べてくれるかい？犯人どもが潜んでいるかもしれない。			アンタは、廃墟の中を調べてくれるかい？犯人どもが潜んでいるかもしれない。			人の犯した所業							
これは……確かに盗まれたものだね！ふむ、全部ではないみたいだが、お手柄だ。引き続き、よろしく頼むよ！			これは……確かに盗まれたものだね！ふむ、全部ではないみたいだが、お手柄だ。引き続き、よろしく頼むよ！			人の犯した所業							
セノタフ大石碑のウールニクスは、そわそわしているようだ。			セノタフ大石碑のウールニクスは、そわそわしているようだ。			暗がりから迫る化け物							
ウールニクスは戻らない仲間を心配しているそうだ。シャーレアン学士街の「怯えた様子のゴブリン族」と話そう。			ウールニクスは戻らない仲間を心配しているそうだ。シャーレアン学士街の「怯えた様子のゴブリン族」と話そう。			暗がりから迫る化け物							
怯えた様子のゴブリン族は、廃品回収の途中で、化け物に襲われたらしい。シャーレアン学士街で化け物を討伐しよう。			怯えた様子のゴブリン族は、廃品回収の途中で、化け物に襲われたらしい。シャーレアン学士街で化け物を討伐しよう。			暗がりから迫る化け物							
化け物の正体は、防犯用と思われる魔法人形だった。シャーレアン学士街の「怯えた様子のゴブリン族」と話そう。			化け物の正体は、防犯用と思われる魔法人形だった。シャーレアン学士街の「怯えた様子のゴブリン族」と話そう。			暗がりから迫る化け物							
怯えた様子のゴブリン族は、真相に安堵し、廃品回収に戻るようだ。セノタフ大石碑の「ウールニクス」に報告しよう。			怯えた様子のゴブリン族は、真相に安堵し、廃品回収に戻るようだ。セノタフ大石碑の「ウールニクス」に報告しよう。			暗がりから迫る化け物							
ウールニクスに報告した。仲間が無事だと知り、彼もホッとしたようだ。			ウールニクスに報告した。仲間が無事だと知り、彼もホッとしたようだ。			暗がりから迫る化け物							
シャーレアン学士街で怯えた様子のゴブリン族と話す			シャーレアン学士街で怯えた様子のゴブリン族と話す			暗がりから迫る化け物							
化け物を討伐			化け物を討伐			暗がりから迫る化け物							
怯えた様子のゴブリン族と話す			怯えた様子のゴブリン族と話す			暗がりから迫る化け物							
セノタフ大石碑のウールニクスに報告			セノタフ大石碑のウールニクスに報告			暗がりから迫る化け物							
シュコォ……シュコォ……廃品回収　向かった仲間　なかなかどうして　戻らない～。とっても　とてとて　心配だ～。			シュコォ……シュコォ……廃品回収　向かった仲間　なかなかどうして　戻らない～。とっても　とてとて　心配だ～。			暗がりから迫る化け物							
強そう　やり手の冒険者　ひとつ仕事を　頼みたい～。「シャーレアン学士街」に　向かった仲間様子をしっかり　見て来てほしい～。			強そう　やり手の冒険者　ひとつ仕事を　頼みたい～。「シャーレアン学士街」に　向かった仲間様子をしっかり　見て来てほしい～。			暗がりから迫る化け物							
強そう　やり手の冒険者　ひとつ仕事を　頼みたい～。「シャーレアン学士街」に　向かった仲間様子をしっかり　見て来てほしい～。			強そう　やり手の冒険者　ひとつ仕事を　頼みたい～。「シャーレアン学士街」に　向かった仲間様子をしっかり　見て来てほしい～。			暗がりから迫る化け物							
シュコォ……シュコォ……あわあわ　大変　恐ろしい～！化け物　急に現れて　廃品回収　邪魔された～！			シュコォ……シュコォ……あわあわ　大変　恐ろしい～！化け物　急に現れて　廃品回収　邪魔された～！			暗がりから迫る化け物							
ちょいと　そこゆく　冒険者～　この近辺は危険地帯～！化け物を　見にいくなんて　やめておけ～！倒そうなんて　やめておけ～！			ちょいと　そこゆく　冒険者～　この近辺は危険地帯～！化け物を　見にいくなんて　やめておけ～！倒そうなんて　やめておけ～！			暗がりから迫る化け物							
強そう　やり手の冒険者　ひとつ仕事を　頼みたい～。「シャーレアン学士街」に　向かった仲間様子をしっかり　見て来てほしい～。			強そう　やり手の冒険者　ひとつ仕事を　頼みたい～。「シャーレアン学士街」に　向かった仲間様子をしっかり　見て来てほしい～。			暗がりから迫る化け物							
ちょいと　そこゆく　冒険者～　この近辺は危険地帯～！化け物を　見にいくなんて　やめておけ～！倒そうなんて　やめておけ～！			ちょいと　そこゆく　冒険者～　この近辺は危険地帯～！化け物を　見にいくなんて　やめておけ～！倒そうなんて　やめておけ～！			暗がりから迫る化け物							
防衛行動、開始…☆★			防衛行動、開始…☆★			暗がりから迫る化け物							
不法侵入者、発見…◇◆			不法侵入者、発見…◇◆			暗がりから迫る化け物							
強そう　やり手の冒険者　ひとつ仕事を　頼みたい～。「シャーレアン学士街」に　向かった仲間様子をしっかり　見て来てほしい～。			強そう　やり手の冒険者　ひとつ仕事を　頼みたい～。「シャーレアン学士街」に　向かった仲間様子をしっかり　見て来てほしい～。			暗がりから迫る化け物							
シュコォ……シュコォ……化け物を　全部が全部　倒したの～？しかも　化け物　正体は　シャーレアンの魔法人形？			シュコォ……シュコォ……化け物を　全部が全部　倒したの～？しかも　化け物　正体は　シャーレアンの魔法人形？			暗がりから迫る化け物							
びっくり　どきどき　損したよ～。ともかく　これで廃品回収　ざっくり　すっかり　進みそう～！「ウールニクス」にすぐ帰るって　報告よろしく頼みたい～！			びっくり　どきどき　損したよ～。ともかく　これで廃品回収　ざっくり　すっかり　進みそう～！「ウールニクス」にすぐ帰るって　報告よろしく頼みたい～！			暗がりから迫る化け物							
びっくり　どきどき　損したよ～。ともかく　これで廃品回収　ざっくり　すっかり　進みそう～！「ウールニクス」にすぐ帰るって　報告よろしく頼みたい～！			びっくり　どきどき　損したよ～。ともかく　これで廃品回収　ざっくり　すっかり　進みそう～！「ウールニクス」にすぐ帰るって　報告よろしく頼みたい～！			暗がりから迫る化け物							
シュコォ……シュコォ……報告聞いて　安心したぞ～。お礼の報酬　たんまり盛るぞ～。			シュコォ……シュコォ……報告聞いて　安心したぞ～。お礼の報酬　たんまり盛るぞ～。			暗がりから迫る化け物							
イディルシャイアのノッチド・ボーンは、ゴブリンの洗脳を解くため、冒険者の力を借りたいようだ。			イディルシャイアのノッチド・ボーンは、ゴブリンの洗脳を解くため、冒険者の力を借りたいようだ。			ひとりの疑念							
ノッチド・ボーンから、武装して選者街へ向かったゴブリン族が、なにを企んでいるか調べるよう頼まれた。低地ドラヴァニアのシャーレアン選者街にいる「武装したゴブリン族」と話そう。			ノッチド・ボーンから、武装して選者街へ向かったゴブリン族が、なにを企んでいるか調べるよう頼まれた。低地ドラヴァニアのシャーレアン選者街にいる「武装したゴブリン族」と話そう。			ひとりの疑念							
武装したゴブリン族は、選者街に侵入してきたダムゼルフライの駆除にきたそうだ。シャーレアン選者街で「エッグレイング・ダムゼルフライ」を3体討伐しよう。			武装したゴブリン族は、選者街に侵入してきたダムゼルフライの駆除にきたそうだ。シャーレアン選者街で「エッグレイング・ダムゼルフライ」を3体討伐しよう。			ひとりの疑念							
エッグレイング・ダムゼルフライをすべて駆除した。シャーレアン選者街の「武装したゴブリン族」と話そう。			エッグレイング・ダムゼルフライをすべて駆除した。シャーレアン選者街の「武装したゴブリン族」と話そう。			ひとりの疑念							
武装したゴブリン族から、お礼を言われた。イディルシャイアの「ノッチド・ボーン」に報告しよう。			武装したゴブリン族から、お礼を言われた。イディルシャイアの「ノッチド・ボーン」に報告しよう。			ひとりの疑念							
ノッチド・ボーンに報告した。彼はゴブリン族が危険な生物の駆除をしていたことを信じられないようだ……。			ノッチド・ボーンに報告した。彼はゴブリン族が危険な生物の駆除をしていたことを信じられないようだ……。			ひとりの疑念							
シャーレアン選者街の武装したゴブリン族と話す			シャーレアン選者街の武装したゴブリン族と話す			ひとりの疑念							
シャーレアン選者街でエッグレイング・ダムゼルフライを討伐			シャーレアン選者街でエッグレイング・ダムゼルフライを討伐			ひとりの疑念							
武装したゴブリン族と話す			武装したゴブリン族と話す			ひとりの疑念							
イディルシャイアのノッチド・ボーンに報告			イディルシャイアのノッチド・ボーンに報告			ひとりの疑念							
恐ろしいこった……！この都市にいる「人」は、全員ゴブリン族に洗脳されてんだ！正気に戻すには、ゴブリン族が危険だって証拠が必要だぜ！			恐ろしいこった……！この都市にいる「人」は、全員ゴブリン族に洗脳されてんだ！正気に戻すには、ゴブリン族が危険だって証拠が必要だぜ！			ひとりの疑念							
へっへっへ……だが、運よく俺は見た。ゴブリン族が武装して「選者街」へ向かったのをよぉ……！			へっへっへ……だが、運よく俺は見た。ゴブリン族が武装して「選者街」へ向かったのをよぉ……！			ひとりの疑念							
「選者街」は安全だって話なのに、武装するなんて！あくどいことを企んでいるに……決まってるぜ！			「選者街」は安全だって話なのに、武装するなんて！あくどいことを企んでいるに……決まってるぜ！			ひとりの疑念							
さあ行ってくれ、冒険者さん！街の人の洗脳を解くために、「選者街」へ向かったゴブリン族の陰謀を暴くのだ！			さあ行ってくれ、冒険者さん！街の人の洗脳を解くために、「選者街」へ向かったゴブリン族の陰謀を暴くのだ！			ひとりの疑念							
さあ行ってくれ、冒険者さん！町の人の洗脳を解くために、「選者街」へ向かったゴブリンの陰謀を暴くのだ！			さあ行ってくれ、冒険者さん！町の人の洗脳を解くために、「選者街」へ向かったゴブリンの陰謀を暴くのだ！			ひとりの疑念							
シュコォ……シュコォ……わたしが　なにを　しているか～？見てのとおり　ダムゼルフライの　駆除作業！			シュコォ……シュコォ……わたしが　なにを　しているか～？見てのとおり　ダムゼルフライの　駆除作業！			ひとりの疑念							
卵をはらんだ　ダムゼルフライ　見つけたの！ほっときゃ　産卵　大増殖！　とっても危ない　よろしくない！みんなが　怪我する　大危険！			卵をはらんだ　ダムゼルフライ　見つけたの！ほっときゃ　産卵　大増殖！　とっても危ない　よろしくない！みんなが　怪我する　大危険！			ひとりの疑念							
あなた　ちょうど　いいところ。あたりの　ダムゼルフライを　駆除するの少しお手伝い　してくれる～？			あなた　ちょうど　いいところ。あたりの　ダムゼルフライを　駆除するの少しお手伝い　してくれる～？			ひとりの疑念							
あなた　ちょうど　いいところ。あたりの　ダムゼルフライを　駆除するの少しお手伝い　してくれる～？			あなた　ちょうど　いいところ。あたりの　ダムゼルフライを　駆除するの少しお手伝い　してくれる～？			ひとりの疑念							
シュコォ……シュコォ……これで　周囲のダムゼルフライ　駆除かんりょ～。手伝ってくれて　感謝　感激　ありがとさ～ん！			シュコォ……シュコォ……これで　周囲のダムゼルフライ　駆除かんりょ～。手伝ってくれて　感謝　感激　ありがとさ～ん！			ひとりの疑念							
手伝ってくれて　感謝　感激　ありがとさ～ん！			手伝ってくれて　感謝　感激　ありがとさ～ん！			ひとりの疑念							
おお、早かったじゃねえか！ゴブリン族のやつら、どんなドス黒い陰謀を企んでいた？さぞかしえげつない殺戮が、行われていただろうよ！			おお、早かったじゃねえか！ゴブリン族のやつら、どんなドス黒い陰謀を企んでいた？さぞかしえげつない殺戮が、行われていただろうよ！			ひとりの疑念							
……はあ？　危険な生き物の駆除、だって！？そんな、まるでいいやつみたいじゃねえか！あり得なさすぎて……逆に怪しいぜ！			……はあ？　危険な生き物の駆除、だって！？そんな、まるでいいやつみたいじゃねえか！あり得なさすぎて……逆に怪しいぜ！			ひとりの疑念							
今回は、惜しくも奴らのしっぽを掴めなかったが、追い続ければ、決定的な証拠を掴めるはずだ！…………にしても、腹が減ったなあ。			今回は、惜しくも奴らのしっぽを掴めなかったが、追い続ければ、決定的な証拠を掴めるはずだ！…………にしても、腹が減ったなあ。			ひとりの疑念							
イディルシャイアのミッドナイト・デューは、新たにやって来た流民のことを気にしている。			イディルシャイアのミッドナイト・デューは、新たにやって来た流民のことを気にしている。			ふたりの新人							
ミッドナイト・デューから、新入りであるノッチド・ボーンたちが都市に馴染めるよう、手を貸してくれと頼まれた。イディルシャイアの「ノッチド・ボーン」と話そう。			ミッドナイト・デューから、新入りであるノッチド・ボーンたちが都市に馴染めるよう、手を貸してくれと頼まれた。イディルシャイアの「ノッチド・ボーン」と話そう。			ふたりの新人							
ノッチド・ボーンと話した。ゴブリン族を嫌う彼は、イディルシャイアで「人」だけを誘い、新天地を目指したいそうだ。イディルシャイアと低地ドラヴァニアのシャーレアン学士街にいる冒険者に「デデアン作のビラ」を渡そう。			ノッチド・ボーンと話した。ゴブリン族を嫌う彼は、イディルシャイアで「人」だけを誘い、新天地を目指したいそうだ。イディルシャイアと低地ドラヴァニアのシャーレアン学士街にいる冒険者に「デデアン作のビラ」を渡そう。			ふたりの新人							
冒険者たちにビラを渡したが、みんな反応が悪かった。イディルシャイアの「ノッチド・ボーン」に報告しよう。			冒険者たちにビラを渡したが、みんな反応が悪かった。イディルシャイアの「ノッチド・ボーン」に報告しよう。			ふたりの新人							
ビラ配りの顛末を報告すると、ノッチド・ボーンは反応の悪さをゴブリン族の洗脳と決めつけ、彼らの洗脳を解くことを決めた。はたして人々は、本当に洗脳されているのだろうか……？			ビラ配りの顛末を報告すると、ノッチド・ボーンは反応の悪さをゴブリン族の洗脳と決めつけ、彼らの洗脳を解くことを決めた。はたして人々は、本当に洗脳されているのだろうか……？			ふたりの新人							
ノッチド・ボーンと話す			ノッチド・ボーンと話す			ふたりの新人							
イディルシャイアの冒険者にデデアン作のビラを渡す			イディルシャイアの冒険者にデデアン作のビラを渡す			ふたりの新人							
シャーレアン学士街の冒険者にデデアン作のビラを渡す			シャーレアン学士街の冒険者にデデアン作のビラを渡す			ふたりの新人							
ノッチド・ボーンに報告			ノッチド・ボーンに報告			ふたりの新人							
さて、アイツら、どうしてやろうか……。いやなに、最近イディルシャイアに来た流民たちのことさ。			さて、アイツら、どうしてやろうか……。いやなに、最近イディルシャイアに来た流民たちのことさ。			ふたりの新人							
