トメラの村の噂好きのドワーフは、困っているようだ。			トメラの村の噂好きのドワーフは、困っているようだ。			コメラの村の事件							
何と言う？			何と言う？			村人達の心							
一緒に村を立て直す			一緒に村を立て直す			村人達の心							
仕方ないから最後まで付き合う			仕方ないから最後まで付き合う			村人達の心							
旅の人よ……感謝する……。			旅の人よ……感謝する……。			村人達の心							
(-？？？？-)あ……あの……。			(-？？？？-)あ……あの……。			村人達の心							
僕、さっきの話を聞いて……なんというか……失敗を認めることができる強さっていうか……親方の言ってること、わかるような……。			僕、さっきの話を聞いて……なんというか……失敗を認めることができる強さっていうか……親方の言ってること、わかるような……。			村人達の心							
それで、もしよかったら……今話していた、村を復興する話……僕にも手伝わせてもらえないかな……。			それで、もしよかったら……今話していた、村を復興する話……僕にも手伝わせてもらえないかな……。			村人達の心							
そうか……ありがとう。もちろん歓迎する、これから一緒に頑張ろう。			そうか……ありがとう。もちろん歓迎する、これから一緒に頑張ろう。			村人達の心							
しかし、旅の人を随分付き合わせてしまったな……いったん休息をとることにしよう。			しかし、旅の人を随分付き合わせてしまったな……いったん休息をとることにしよう。			村人達の心							
じゃ……じゃあ、僕は近くで待っているね。			じゃ……じゃあ、僕は近くで待っているね。			村人達の心							
旅の人よ、休息を終えたら声をかけてくれ。			旅の人よ、休息を終えたら声をかけてくれ。			村人達の心							
コメラの村のドワーフ族の親方は、仕事を頼みたいようだ。			コメラの村のドワーフ族の親方は、仕事を頼みたいようだ。			コメラの村の復興							
ドワーフ族の親方と話した。コルシア島のコメラの村の「弱気な村人」と話そう。			ドワーフ族の親方と話した。コルシア島のコメラの村の「弱気な村人」と話そう。			コメラの村の復興							
弱気な村人と話した。村を復興させるため、村人達に協力していこう。			弱気な村人と話した。村を復興させるため、村人達に協力していこう。			コメラの村の復興							
弱気な村人と話す			弱気な村人と話す			コメラの村の復興							
村の復興に手を貸してくれること、深く感謝する。よければ、さっそく仕事を頼みたいのだが……準備はできているか？			村の復興に手を貸してくれること、深く感謝する。よければ、さっそく仕事を頼みたいのだが……準備はできているか？			コメラの村の復興							
何と言う？			何と言う？			コメラの村の復興							
準備はできている			準備はできている			コメラの村の復興							
今は忙しい			今は忙しい			コメラの村の復興							
あんたが協力してくれて、心強いよ。			あんたが協力してくれて、心強いよ。			コメラの村の復興							
まずは協力を申し出てくれた村人に声をかけてくれ。これからどうやって村を復興させていくか、3人で話をさせてほしいんだ。			まずは協力を申し出てくれた村人に声をかけてくれ。これからどうやって村を復興させていくか、3人で話をさせてほしいんだ。			コメラの村の復興							
ありがとう。では弱気な村人の元へ先に向かってくれ。俺は少し準備をしてからそちらに向かう。			ありがとう。では弱気な村人の元へ先に向かってくれ。俺は少し準備をしてからそちらに向かう。			コメラの村の復興							
そうか……。そうしたら、手が空いたときにまた声をかけてくれ。待っているよ。			そうか……。そうしたら、手が空いたときにまた声をかけてくれ。待っているよ。			コメラの村の復興							
わぁ！　ご……ごめんなさい……突然話しかけられて驚いてしまって……。こ、これからどうぞよろしく。			わぁ！　ご……ごめんなさい……突然話しかけられて驚いてしまって……。こ、これからどうぞよろしく。			コメラの村の復興							
ふたりとも揃ってるな。それじゃあ、村をどうやって復興させていくか、俺の考えていることを説明させてくれ。			ふたりとも揃ってるな。それじゃあ、村をどうやって復興させていくか、俺の考えていることを説明させてくれ。			コメラの村の復興							
傷ついた村を復興するためには、まずは、人手や資材が必要だが……今はどちらも足りない状態だ。			傷ついた村を復興するためには、まずは、人手や資材が必要だが……今はどちらも足りない状態だ。			コメラの村の復興							
そこでなんだが、襲撃者達が用いた未知の技術を利用して、この状況を克服することはできないだろうか？			そこでなんだが、襲撃者達が用いた未知の技術を利用して、この状況を克服することはできないだろうか？			コメラの村の復興							
例えば、奴らの残していった遺物を集めるだけでも、それを利用してオートマトンを改良したり、復興のための資材にも使えるかもしれない、と思ってな。			例えば、奴らの残していった遺物を集めるだけでも、それを利用してオートマトンを改良したり、復興のための資材にも使えるかもしれない、と思ってな。			コメラの村の復興							
よければ旅の人には襲撃者達の拠点を探索し、機械の残骸や、珍しい代物を集めてきてほしいんだ。			よければ旅の人には襲撃者達の拠点を探索し、機械の残骸や、珍しい代物を集めてきてほしいんだ。			コメラの村の復興							
集めてきた物は、彼に渡してくれ。俺達が共同で、集めてもらった物を研究し、復興に役立てる方法がないかを探してみる。			集めてきた物は、彼に渡してくれ。俺達が共同で、集めてもらった物を研究し、復興に役立てる方法がないかを探してみる。			コメラの村の復興							
どうだ？　だいたいイメージはつかめたか？			どうだ？　だいたいイメージはつかめたか？			コメラの村の復興							
何と言う？			何と言う？			コメラの村の復興							
わかった			わかった			コメラの村の復興							
もう一度説明してくれ			もう一度説明してくれ			コメラの村の復興							
あぁ、それじゃあもう一度説明させてもらう。			あぁ、それじゃあもう一度説明させてもらう。			コメラの村の復興							
ありがとう、これでやっと一歩踏み出すことができる。俺達ドワーフ族が転んでもタダじゃ起きないところを、証明してやる。			ありがとう、これでやっと一歩踏み出すことができる。俺達ドワーフ族が転んでもタダじゃ起きないところを、証明してやる。			コメラの村の復興							
俺は鉱員達の仕事も立て直していかなければならなくてな……詳しい手伝いの内容は彼から聞いてくれ、よろしく頼む。			俺は鉱員達の仕事も立て直していかなければならなくてな……詳しい手伝いの内容は彼から聞いてくれ、よろしく頼む。			コメラの村の復興							
旅の人の準備がよければ、さっそく取り掛かりましょう。			旅の人の準備がよければ、さっそく取り掛かりましょう。			コメラの村の復興							
コメラの村の「弱気な村人」より、新たな物語へと繋がる「ウィークリークエスト」を、受注することができるようになりました。			コメラの村の「弱気な村人」より、新たな物語へと繋がる「ウィークリークエスト」を、受注することができるようになりました。			コメラの村の復興							
コメラの村を復興すべく、弱気な村人に力を貸してあげましょう。			コメラの村を復興すべく、弱気な村人に力を貸してあげましょう。			コメラの村の復興							
コメラの村の弱気な村人は、仕事を頼みたいようだ。			コメラの村の弱気な村人は、仕事を頼みたいようだ。			弱気な村人と未知の技術							
複製サレタ工場廃墟で未知の技術に関わる品を入手			複製サレタ工場廃墟で未知の技術に関わる品を入手			弱気な村人と未知の技術							
コメラの村の弱気な村人に未知の技術に関わる品を渡す			コメラの村の弱気な村人に未知の技術に関わる品を渡す			弱気な村人と未知の技術							
そ……それでは、僕から依頼をさせてもらいますね。よろしくお願いします。			そ……それでは、僕から依頼をさせてもらいますね。よろしくお願いします。			弱気な村人と未知の技術							
親方は襲撃者達が用いた未知の技術を利用する、と言ってました。まずはその「未知の技術」というものを、この目でじっくり見てみたいのです。			親方は襲撃者達が用いた未知の技術を利用する、と言ってました。まずはその「未知の技術」というものを、この目でじっくり見てみたいのです。			弱気な村人と未知の技術							
旅の人には未知の技術に関わる品物を、どこかで拾ってきてほしいのですが……。			旅の人には未知の技術に関わる品物を、どこかで拾ってきてほしいのですが……。			弱気な村人と未知の技術							
何と言う？			何と言う？			弱気な村人と未知の技術							
機械遺跡の坑道の奥に敵の拠点がある			機械遺跡の坑道の奥に敵の拠点がある			弱気な村人と未知の技術							
ガラクタの散乱する工場廃墟がある			ガラクタの散乱する工場廃墟がある			弱気な村人と未知の技術							
じゃあそこで拾ってくることができるのですね！			じゃあそこで拾ってくることができるのですね！			弱気な村人と未知の技術							
ありがとうございます……！そうしたら、僕は解体道具の準備をしておきます。			ありがとうございます……！そうしたら、僕は解体道具の準備をしておきます。			弱気な村人と未知の技術							
未知の技術に関わる品物を手に入れることができたら、僕に声をかけてください！			未知の技術に関わる品物を手に入れることができたら、僕に声をかけてください！			弱気な村人と未知の技術							
未知の技術に関わる品物を手に入れることができたら、僕に声をかけてください！			未知の技術に関わる品物を手に入れることができたら、僕に声をかけてください！			弱気な村人と未知の技術							
これは……これまで見たこともない技術です……い、いきなり動き出したりしないですよね……。			これは……これまで見たこともない技術です……い、いきなり動き出したりしないですよね……。			弱気な村人と未知の技術							
とにかく、さっそく解体して研究してみます。ありがとうございます！			とにかく、さっそく解体して研究してみます。ありがとうございます！			弱気な村人と未知の技術							
そういえば、親方が旅の人を探していましたよ。何やら報告があるらしいので、声をかけてあげてください。			そういえば、親方が旅の人を探していましたよ。何やら報告があるらしいので、声をかけてあげてください。			弱気な村人と未知の技術							
親方が旅の人を探していましたので、声をかけてあげてください。			親方が旅の人を探していましたので、声をかけてあげてください。			弱気な村人と未知の技術							
また手伝いを依頼させてもらえますか？その……迷惑でなければ……。			また手伝いを依頼させてもらえますか？その……迷惑でなければ……。			弱気な村人と未知の技術							
ありがとうございます！実は、前回手に入れてもらった機械なのですが、破損の度合いがまちまちで、使える部品が限られていて……。			ありがとうございます！実は、前回手に入れてもらった機械なのですが、破損の度合いがまちまちで、使える部品が限られていて……。			弱気な村人と未知の技術							
なので、もう少し使える部品を集めたいんです。また同じような機械を集めてきてもらえませんか？			なので、もう少し使える部品を集めたいんです。また同じような機械を集めてきてもらえませんか？			弱気な村人と未知の技術							
何と言う？			何と言う？			弱気な村人と未知の技術							
かまわない			かまわない			弱気な村人と未知の技術							
しかたない……			しかたない……			弱気な村人と未知の技術							
お手数おかけします……手に入れてもらった機械は、きっと有効活用してみせますので！よろしくお願いします。			お手数おかけします……手に入れてもらった機械は、きっと有効活用してみせますので！よろしくお願いします。			弱気な村人と未知の技術							
手に入れてもらった機械は、ちゃんと研究して、有効活用してみせます！			手に入れてもらった機械は、ちゃんと研究して、有効活用してみせます！			弱気な村人と未知の技術							
壊れた機械を入手してきてくれたのですね！これだけあれば十分だと思います……ありがとうございます！			壊れた機械を入手してきてくれたのですね！これだけあれば十分だと思います……ありがとうございます！			弱気な村人と未知の技術							
ここで機械の研究のために手を動かしていると、なんだか気持ちが落ち着くんです。うじうじ悩んでいるよりも、行動を起こす方がいいんですね！			ここで機械の研究のために手を動かしていると、なんだか気持ちが落ち着くんです。うじうじ悩んでいるよりも、行動を起こす方がいいんですね！			弱気な村人と未知の技術							
まぁ、たいがいは行動を起こすまでが難しいんですけどね……。			まぁ、たいがいは行動を起こすまでが難しいんですけどね……。			弱気な村人と未知の技術							
僕は引き続き、この機械の研究を続けようと思います。親方に、他に手伝ってほしいことがないか、聞いてみてください！こんな僕の作業を手伝ってくれて、ありがとうございました。			僕は引き続き、この機械の研究を続けようと思います。親方に、他に手伝ってほしいことがないか、聞いてみてください！こんな僕の作業を手伝ってくれて、ありがとうございました。			弱気な村人と未知の技術							
コメラの村の利口な村人は、仕事を頼みたいようだ。			コメラの村の利口な村人は、仕事を頼みたいようだ。			利口な村人の営業作戦							
人形タチノ軍事基地で珍しいものを入手			人形タチノ軍事基地で珍しいものを入手			利口な村人の営業作戦							
コメラの村の利口な村人に珍しいものを渡す			コメラの村の利口な村人に珍しいものを渡す			利口な村人の営業作戦							
協力してくれて、ありがとう。いままで……失礼な態度をとってたかもしれないが、何事にも行き違いはある。許してくれ。			協力してくれて、ありがとう。いままで……失礼な態度をとってたかもしれないが、何事にも行き違いはある。許してくれ。			利口な村人の営業作戦							
自分も何か役に立てることがないか考えたんだが……そこで、利口な僕の話術を活かし、商売でも始めようと思っているんだ。			自分も何か役に立てることがないか考えたんだが……そこで、利口な僕の話術を活かし、商売でも始めようと思っているんだ。			利口な村人の営業作戦							
ただ……村で使っているオートマトンの部品なんかは、いくら話術が上手くても、商品になるようなものではなくてな。どうしようかと思っていたんだが……			ただ……村で使っているオートマトンの部品なんかは、いくら話術が上手くても、商品になるようなものではなくてな。どうしようかと思っていたんだが……			利口な村人の営業作戦							
なにやら聞くところによると、クレーターの向こうに、襲撃者達が根城にしていた基地があるそうじゃないか。			なにやら聞くところによると、クレーターの向こうに、襲撃者達が根城にしていた基地があるそうじゃないか。			利口な村人の営業作戦							
もし君がそこに潜り込めるなら、何か珍しいものを手に入れることができるのではないか、と思うのだが、どうだろう？			もし君がそこに潜り込めるなら、何か珍しいものを手に入れることができるのではないか、と思うのだが、どうだろう？			利口な村人の営業作戦							
何と言う？			何と言う？			利口な村人の営業作戦							
何でもいいなら拾ってこられるが……			何でもいいなら拾ってこられるが……			利口な村人の営業作戦							
価値があるものかはわからないが……			価値があるものかはわからないが……			利口な村人の営業作戦							
あぁ、珍しいものなら何でもいいさ！例えば、ユールモアに住む裕福な人の中には、珍しいものに食いつく人もいると思ってな。			あぁ、珍しいものなら何でもいいさ！例えば、ユールモアに住む裕福な人の中には、珍しいものに食いつく人もいると思ってな。			利口な村人の営業作戦							
そうしたら、あとは僕の話術でそれを売りさばき、復興のための資金を稼ぐのさ。よーし、それで決まりだ、よろしく頼むよ！			そうしたら、あとは僕の話術でそれを売りさばき、復興のための資金を稼ぐのさ。よーし、それで決まりだ、よろしく頼むよ！			利口な村人の営業作戦							
何か珍しいものを見つけたら、僕に渡してくれ。よろしく頼むよ。			何か珍しいものを見つけたら、僕に渡してくれ。よろしく頼むよ。			利口な村人の営業作戦							
おぉ、旅の人よ戻ったか。どれどれ、何か珍しいものはあったか？			おぉ、旅の人よ戻ったか。どれどれ、何か珍しいものはあったか？			利口な村人の営業作戦							
おぉ、本当に見たことのない代物ばかりだ……。これなら、すぐに買い手がつきそうだ。もう少し調べてから売りに出してみよう。			おぉ、本当に見たことのない代物ばかりだ……。これなら、すぐに買い手がつきそうだ。もう少し調べてから売りに出してみよう。			利口な村人の営業作戦							
ありがとう、これで僕も、何かの役に立てるだろう。			ありがとう、これで僕も、何かの役に立てるだろう。			利口な村人の営業作戦							
そうだ、さっき親方が旅の人のことを探していたぞ？何か用があるみたいだったから、声をかけてやってくれ。			そうだ、さっき親方が旅の人のことを探していたぞ？何か用があるみたいだったから、声をかけてやってくれ。			利口な村人の営業作戦							
さっき親方が旅の人のことを探していたぞ？何か用があるみたいだったから、声をかけてやってくれ。			さっき親方が旅の人のことを探していたぞ？何か用があるみたいだったから、声をかけてやってくれ。			利口な村人の営業作戦							
おぉ、来てくれたか。実は、君が拾ってきてくれた物品を、ユールモアに売りに行こうとしたんだが……			おぉ、来てくれたか。実は、君が拾ってきてくれた物品を、ユールモアに売りに行こうとしたんだが……			利口な村人の営業作戦							
売りに出すには、もう少しまとまった量が必要であることがわかってな……			売りに出すには、もう少しまとまった量が必要であることがわかってな……			利口な村人の営業作戦							
悪いがもう一度、襲撃者たちの遺物を拾ってきてほしいんだ……頼めるか？			悪いがもう一度、襲撃者たちの遺物を拾ってきてほしいんだ……頼めるか？			利口な村人の営業作戦							
襲撃者たちの遺物のような、珍しいものがあったら、また拾ってきてほしいんだ。ユールモアに売りに行くには、もう少しまとまった数が必要でね。			襲撃者たちの遺物のような、珍しいものがあったら、また拾ってきてほしいんだ。ユールモアに売りに行くには、もう少しまとまった数が必要でね。			利口な村人の営業作戦							
どうだい？　何か拾ってくることはできたか？			どうだい？　何か拾ってくることはできたか？			利口な村人の営業作戦							
このくらい量があれば、ユールモアで買い取ってもらえるだろう。協力してくれて、ありがとう。			このくらい量があれば、ユールモアで買い取ってもらえるだろう。協力してくれて、ありがとう。			利口な村人の営業作戦							
ユールモアまで行くことは勇気がいるが……この村では誰よりも勉学ができた僕だ、きっと交渉だって楽にこなせるはず……。			ユールモアまで行くことは勇気がいるが……この村では誰よりも勉学ができた僕だ、きっと交渉だって楽にこなせるはず……。			利口な村人の営業作戦							
資金を稼いで、自分が有用なドワーフであることを、証明したいんだ。			資金を稼いで、自分が有用なドワーフであることを、証明したいんだ。			利口な村人の営業作戦							
僕の手伝いはもう大丈夫だと、親方に伝えてほしい。よろしく頼むよ。			僕の手伝いはもう大丈夫だと、親方に伝えてほしい。よろしく頼むよ。			利口な村人の営業作戦							
コメラの村の勇ましい村人は、仕事を頼みたいようだ。			コメラの村の勇ましい村人は、仕事を頼みたいようだ。			勇ましい村人の発見							
弱らせたドワーヴン・オートマトンに大きな麻袋を使い捕獲			弱らせたドワーヴン・オートマトンに大きな麻袋を使い捕獲			勇ましい村人の発見							
コメラの村の勇ましい村人にオートマトンが入った麻袋を渡す			コメラの村の勇ましい村人にオートマトンが入った麻袋を渡す			勇ましい村人の発見							
来てくれたのか、旅の人よ。坑道での話し合いのときは、強く言い過ぎた……申し訳ない。			来てくれたのか、旅の人よ。坑道での話し合いのときは、強く言い過ぎた……申し訳ない。			勇ましい村人の発見							
あんた達が村の復興のために働いている姿を見ていたら、色々考えさせられたよ……。			あんた達が村の復興のために働いている姿を見ていたら、色々考えさせられたよ……。			勇ましい村人の発見							
それで、自分も何か役に立てることがないだろうかと、利口な彼と弱気な彼に聞いてみたんだ。			それで、自分も何か役に立てることがないだろうかと、利口な彼と弱気な彼に聞いてみたんだ。			勇ましい村人の発見							
そうしたら、復興を手伝うオートマトンが足りないと言っていてな。ここは俺の勇ましさを活かして、防衛用に配備したオートマトンを回収しようとしたのだが……。			そうしたら、復興を手伝うオートマトンが足りないと言っていてな。ここは俺の勇ましさを活かして、防衛用に配備したオートマトンを回収しようとしたのだが……。			勇ましい村人の発見							
暴走したオートマトンに返り討ちにされてしまって……実に情けない……。			暴走したオートマトンに返り討ちにされてしまって……実に情けない……。			勇ましい村人の発見							
そこで、ここはひとつ、旅の人から学ばせてもらえたら……と思ってるんだが。オートマトンを1体停止状態で持ってきてくれないか？			そこで、ここはひとつ、旅の人から学ばせてもらえたら……と思ってるんだが。オートマトンを1体停止状態で持ってきてくれないか？			勇ましい村人の発見							
何と言う？			何と言う？			勇ましい村人の発見							
お安い御用だ			お安い御用だ			勇ましい村人の発見							
しかたないな			しかたないな			勇ましい村人の発見							
助かるよ……。ドヴェルガル山脈にいる「ドワーヴン・オートマトン」を1体、弱らせてから、この大きな麻袋を使って捕獲してきてくれ。			助かるよ……。ドヴェルガル山脈にいる「ドワーヴン・オートマトン」を1体、弱らせてから、この大きな麻袋を使って捕獲してきてくれ。			勇ましい村人の発見							
やあ、ユールモアへの売り込みは順調だよ。未知の機械に興味津々さ。やはり僕は役に立つドワーフだった。			やあ、ユールモアへの売り込みは順調だよ。未知の機械に興味津々さ。やはり僕は役に立つドワーフだった。			勇ましい村人の発見							
村人の皆と共同作業をしていると、争い合っていたことが、くだらなく感じるよ。こうやって協力し合えるのは、きっと、いいことだ。			村人の皆と共同作業をしていると、争い合っていたことが、くだらなく感じるよ。こうやって協力し合えるのは、きっと、いいことだ。			勇ましい村人の発見							
オートマトンを1体停止状態で持ってきてほしいんだ。捕まえる際の手際さえわかれば、きっと俺にだって……。			オートマトンを1体停止状態で持ってきてほしいんだ。捕まえる際の手際さえわかれば、きっと俺にだって……。			勇ましい村人の発見							
持ってきてくれてありがとう……。離れたところから様子を窺っていたが、さすがの手並みだったな……。			持ってきてくれてありがとう……。離れたところから様子を窺っていたが、さすがの手並みだったな……。			勇ましい村人の発見							
……あんたは凄いな。どうしてそこまで他人のためにできるんだ……。			……あんたは凄いな。どうしてそこまで他人のためにできるんだ……。			勇ましい村人の発見							
常に勇ましくあれ、って思ってたが、それ以外にもいろんなことを考えるべきなんだな。			常に勇ましくあれ、って思ってたが、それ以外にもいろんなことを考えるべきなんだな。			勇ましい村人の発見							
気づかせてくれてありがとう。あんたを見本に、俺は本当の勇ましさを手に入れてみせるよ……。			気づかせてくれてありがとう。あんたを見本に、俺は本当の勇ましさを手に入れてみせるよ……。			勇ましい村人の発見							
そうだ、親方があんたのことを探していたぞ。やはり、勇ましい人間は人望も厚いんだな。早く親方のもとに行ってやってくれ。			そうだ、親方があんたのことを探していたぞ。やはり、勇ましい人間は人望も厚いんだな。早く親方のもとに行ってやってくれ。			勇ましい村人の発見							
親方が呼んでいたぞ……。俺は、あんたのような人になれるよう、努力するよ。			親方が呼んでいたぞ……。俺は、あんたのような人になれるよう、努力するよ。			勇ましい村人の発見							
やあ、また来てくれたんだね。俺も手伝ってはいるけど、人手不足は相変わらずでな。オートマトンはいくらでも欲しい状況だ。			やあ、また来てくれたんだね。俺も手伝ってはいるけど、人手不足は相変わらずでな。オートマトンはいくらでも欲しい状況だ。			勇ましい村人の発見							
あんたにはまた、オートマトンを1体捕獲してほしいんだが……今回は俺も1体ぐらいは捕まえたいところだ。			あんたにはまた、オートマトンを1体捕獲してほしいんだが……今回は俺も1体ぐらいは捕まえたいところだ。			勇ましい村人の発見							
お互い上手くいったら、またここで落ち合おう！			お互い上手くいったら、またここで落ち合おう！			勇ましい村人の発見							
未だ僕達の活動に理解を示してくれない村人達もいるが、いずれこの村が元の姿を取り戻せば、また協力し合って生活できるはずさ。			未だ僕達の活動に理解を示してくれない村人達もいるが、いずれこの村が元の姿を取り戻せば、また協力し合って生活できるはずさ。			勇ましい村人の発見							
たまに、嫌がらせを受けることがあるんだ。未知の技術なんて、気味が悪いって言ってね……。			たまに、嫌がらせを受けることがあるんだ。未知の技術なんて、気味が悪いって言ってね……。			勇ましい村人の発見							
でも僕はめげないよ。自分の進むべき道は自分で決めることにしたんだ。			でも僕はめげないよ。自分の進むべき道は自分で決めることにしたんだ。			勇ましい村人の発見							
あ……足がすくんでしまった……。ハハハ……あんたは先に行ってくれ。俺も……すぐ行くさ……。			あ……足がすくんでしまった……。ハハハ……あんたは先に行ってくれ。俺も……すぐ行くさ……。			勇ましい村人の発見							
おぉ、無事にオートマトンを捕まえることができたか……！俺も、今回はなんとか回収することができた。あんたの手本を見せてもらったからな。			おぉ、無事にオートマトンを捕まえることができたか……！俺も、今回はなんとか回収することができた。あんたの手本を見せてもらったからな。			勇ましい村人の発見							
ありがとう。……最近思うんだ。親方やあんたのやってきた行動は意味があったんだ、って。			ありがとう。……最近思うんだ。親方やあんたのやってきた行動は意味があったんだ、って。			勇ましい村人の発見							
村が少しずつ活気づいてきているのがその証明だ。昔の姿を取り戻していくことが、俺も嬉しい。			村が少しずつ活気づいてきているのがその証明だ。昔の姿を取り戻していくことが、俺も嬉しい。			勇ましい村人の発見							
だが、あんたに頼りっぱなし、というわけにはいかない。これからは自分でできることを見つけて行動していくよ。			だが、あんたに頼りっぱなし、というわけにはいかない。これからは自分でできることを見つけて行動していくよ。			勇ましい村人の発見							
あんたは親方のところに行って、他に手伝うべき人がいないか、聞いてみてくれ。今までありがとう。			あんたは親方のところに行って、他に手伝うべき人がいないか、聞いてみてくれ。今までありがとう。			勇ましい村人の発見							
コメラの村のドワーフ族の親方は、復興した村の様子に満足しているようだ。			コメラの村のドワーフ族の親方は、復興した村の様子に満足しているようだ。			心の在処							
ドワーフ族の親方と話した。コノッグの行方について、有力な手がかりがあるようだ。ユールモアのスカイフロントの「商人風の男」と話そう。			ドワーフ族の親方と話した。コノッグの行方について、有力な手がかりがあるようだ。ユールモアのスカイフロントの「商人風の男」と話そう。			心の在処							
ユールモアの商人と話して、コノッグらしきドワーフ族が住んでいる場所のメモと、コノッグが注文していたという品物を受け取った。メモを頼りにコノッグの仮宿を訪ねたが、行方はわからなかった。コメラの村の「ドワーフ族の親方」と話そう。			ユールモアの商人と話して、コノッグらしきドワーフ族が住んでいる場所のメモと、コノッグが注文していたという品物を受け取った。メモを頼りにコノッグの仮宿を訪ねたが、行方はわからなかった。コメラの村の「ドワーフ族の親方」と話そう。			心の在処							
ドワーフ族の親方と話して、コノッグの蜂蜜酒を手渡した。ドワーフ族の親方は、機械生命体との遭遇から始まった一連の出来事について、何が正しかったのか、今でもわかっていないようだ。ゆえに、自分たちが間違っているということを、心に刻んで生きていくと話した。			ドワーフ族の親方と話して、コノッグの蜂蜜酒を手渡した。ドワーフ族の親方は、機械生命体との遭遇から始まった一連の出来事について、何が正しかったのか、今でもわかっていないようだ。ゆえに、自分たちが間違っているということを、心に刻んで生きていくと話した。			心の在処							
スカイフロントの商人風の男と話す			スカイフロントの商人風の男と話す			心の在処							
コメラの村のドワーフ族の親方と話す			コメラの村のドワーフ族の親方と話す			心の在処							
旅の人よ、もうすっかり、この村も活気を取り戻したよ。それもこれも、あんたのおかげだ。改めてお礼を言わせてくれ。			旅の人よ、もうすっかり、この村も活気を取り戻したよ。それもこれも、あんたのおかげだ。改めてお礼を言わせてくれ。			心の在処							
そう、あと報告したいことがあったんだ……実は最近、気になる話を耳にしてな。			そう、あと報告したいことがあったんだ……実は最近、気になる話を耳にしてな。			心の在処							
村の者がユールモアに行ったとき、俺達の作る機械にそっくりな品物を見たって言うんだ。			村の者がユールモアに行ったとき、俺達の作る機械にそっくりな品物を見たって言うんだ。			心の在処							
俺達の機械は、この村の者以外、手に入れることはできないはず……。			俺達の機械は、この村の者以外、手に入れることはできないはず……。			心の在処							
でもひとり、この村にいない者で、未知の技術について知識を持っている人間がいる……そう、コノッグだ。			でもひとり、この村にいない者で、未知の技術について知識を持っている人間がいる……そう、コノッグだ。			心の在処							
俺は、コノッグが戻ってこられるような村を作りたいと思って、これまで努力してきた。			俺は、コノッグが戻ってこられるような村を作りたいと思って、これまで努力してきた。			心の在処							
もし、コノッグと再会できたら……この村の現状を伝えたいんだ。そして…………謝りたい。			もし、コノッグと再会できたら……この村の現状を伝えたいんだ。そして…………謝りたい。			心の在処							
旅の人はユールモアにもよく出入りするのだろう？もしそこで、コノッグの行方の手掛かりを見つけたら、俺に報告してほしいんだ。			旅の人はユールモアにもよく出入りするのだろう？もしそこで、コノッグの行方の手掛かりを見つけたら、俺に報告してほしいんだ。			心の在処							
よろしく頼む。			よろしく頼む。			心の在処							
コノッグ…………。今、どこで何をしているんだろうな……。			コノッグ…………。今、どこで何をしているんだろうな……。			心の在処							
やぁ、いらっしゃい。え？　買い物に来たわけではない……？			やぁ、いらっしゃい。え？　買い物に来たわけではない……？			心の在処							
黒い服に身を包んだ、風変りなドワーフを知らないかって？……あぁ！　知っているよ！			黒い服に身を包んだ、風変りなドワーフを知らないかって？……あぁ！　知っているよ！			心の在処							
コグー一家のドワーフ達が扱う、珍しい機械を売りに来た奴だったから、記憶に残ってるよ。			コグー一家のドワーフ達が扱う、珍しい機械を売りに来た奴だったから、記憶に残ってるよ。			心の在処							
そうだ、ちょうどいい！そのドワーフが注文していた品が、届いているんだ。あんた、知り合いだったら、渡してやってくれ。			そうだ、ちょうどいい！そのドワーフが注文していた品が、届いているんだ。あんた、知り合いだったら、渡してやってくれ。			心の在処							
代金は前払いでもらっているから、届けるだけでいい。たしか、廃船街に仮宿があると言っていたな……場所のメモも渡しておこう。			代金は前払いでもらっているから、届けるだけでいい。たしか、廃船街に仮宿があると言っていたな……場所のメモも渡しておこう。			心の在処							
アノッグ……ボクは機械達の技術を利用して、目的を果たしてみせる。もう少しだ……待っていて……。			アノッグ……ボクは機械達の技術を利用して、目的を果たしてみせる。もう少しだ……待っていて……。			心の在処							
ボクが…………ボクが……消えてしまったアノッグを、再生させる。絶対にッ……！			ボクが…………ボクが……消えてしまったアノッグを、再生させる。絶対にッ……！			心の在処							
できない……できない……。			できない……できない……。			心の在処							
できない……できない……できない……できない…………。			できない……できない……できない……できない…………。			心の在処							
できない……できない……できない……できない……できない……できない……できない……できない……できない……できない……できない……できない……できない……できない……できない！！			できない……できない……できない……できない……できない……できない……できない……できない……できない……できない……できない……できない……できない……できない……できない！！			心の在処							
アノッグ……嫌だ……嫌だよ…………。			アノッグ……嫌だ……嫌だよ…………。			心の在処							
ボクがこの世界で生きる理由は……それはアノッグがいてくれたからなんだ。アノッグのいない世界なんて………………。			ボクがこの世界で生きる理由は……それはアノッグがいてくれたからなんだ。アノッグのいない世界なんて………………。			心の在処							
まったく……いくつになっても、世話のやける弟だなぁ……。			まったく……いくつになっても、世話のやける弟だなぁ……。			心の在処							
……………………アノッグ？			……………………アノッグ？			心の在処							
ハッハッハ！コノッグが努力してくれたおかげで、天才のワタシは復活を果たしたのだ！			ハッハッハ！コノッグが努力してくれたおかげで、天才のワタシは復活を果たしたのだ！			心の在処							
アノッグ……ボクにはもう、居場所がないんだ……。ずっと……ひとりで………………。			アノッグ……ボクにはもう、居場所がないんだ……。ずっと……ひとりで………………。			心の在処							
大丈夫、ワタシがついてる。			大丈夫、ワタシがついてる。			心の在処							
