ワチュメキメキ万貨街のパメカは、こちらの様子を窺っている。			ワチュメキメキ万貨街のパメカは、こちらの様子を窺っている。			不思議なお話を							
そろそろ、お店に常連のお客さんたちが集まるころです。おふたりもぜひいらしてください、特等席を用意しますよ！			そろそろ、お店に常連のお客さんたちが集まるころです。おふたりもぜひいらしてください、特等席を用意しますよ！			辿りつく故郷							
ありがとうございます。それでは私たちも「シャバーブチェ」に行きましょう！			ありがとうございます。それでは私たちも「シャバーブチェ」に行きましょう！			辿りつく故郷							
本を作ったので、一度物語の内容は聞いてしまっていますが、それをほかのお客さんたちがどう受け止めるか、楽しみですね！キミは先に「シャバーブチェ」に向かっててください。			本を作ったので、一度物語の内容は聞いてしまっていますが、それをほかのお客さんたちがどう受け止めるか、楽しみですね！キミは先に「シャバーブチェ」に向かっててください。			辿りつく故郷							
おふたりの席を用意しましたので、あちらへどうぞ。			おふたりの席を用意しましたので、あちらへどうぞ。			辿りつく故郷							
あちこちのテーブルから、いろんなお話が漏れ聞こえてきます。ここは本当に、物語が集う場所なんですね！			あちこちのテーブルから、いろんなお話が漏れ聞こえてきます。ここは本当に、物語が集う場所なんですね！			辿りつく故郷							
うちは常連客が多いけど、皆はじめて来た人を歓迎するんだ。誰も彼も、まだ知らない物語に飢えてるからね！			うちは常連客が多いけど、皆はじめて来た人を歓迎するんだ。誰も彼も、まだ知らない物語に飢えてるからね！			辿りつく故郷							
おおい、お兄さん！今日も聞かせてくれないか、ひとつ新しい、面白い話を！			おおい、お兄さん！今日も聞かせてくれないか、ひとつ新しい、面白い話を！			辿りつく故郷							
よし、来た！とっておきのお話がありますよ！			よし、来た！とっておきのお話がありますよ！			辿りつく故郷							
これからお話しするのは、この僕のご先祖様の物語！うちの一族は文字を使わないため、口伝が絶えれば、すべて歴史の闇に消えていくさだめ……。			これからお話しするのは、この僕のご先祖様の物語！うちの一族は文字を使わないため、口伝が絶えれば、すべて歴史の闇に消えていくさだめ……。			辿りつく故郷							
そこでこのたび、あちらのパメカさんと……旅の職人Forenameさんの手を借りて、一冊の本を作ったんです。			そこでこのたび、あちらのパメカさんと……旅の職人Forenameさんの手を借りて、一冊の本を作ったんです。			辿りつく故郷							
今日はそのお披露目ということで、皆さんの前で僕が朗読いたしましょう！			今日はそのお披露目ということで、皆さんの前で僕が朗読いたしましょう！			辿りつく故郷							
昼と夜とが、万の百倍も巡るほど昔のこと……。ご先祖様たちは、サカ・トラルの東の果てにあるという、土は肥え、風そよぎて種運ぶ豊穣の地で暮らしていた。			昼と夜とが、万の百倍も巡るほど昔のこと……。ご先祖様たちは、サカ・トラルの東の果てにあるという、土は肥え、風そよぎて種運ぶ豊穣の地で暮らしていた。			辿りつく故郷							
しかしある年の夏のこと、大蛇のように長雨が続き、すべての作物を腐らせ、ほどなく皆は飢えてしまった。			しかしある年の夏のこと、大蛇のように長雨が続き、すべての作物を腐らせ、ほどなく皆は飢えてしまった。			辿りつく故郷							
「太陽を呼ぼう」と誰かが叫んだ。そこで人々は空に向かって太陽を呼ぶ祈りを捧げたのだが、それを聞いた雨雲は怒り狂い、さらに雨を降らせる始末……。			「太陽を呼ぼう」と誰かが叫んだ。そこで人々は空に向かって太陽を呼ぶ祈りを捧げたのだが、それを聞いた雨雲は怒り狂い、さらに雨を降らせる始末……。			辿りつく故郷							
かくして畑を流されたご先祖様たちは、太陽を求めて旅に出た。来る日も来る日も歩き続け、空腹と渇きに倒れそうになったころ、彼らは1本のサボテンに出くわした。			かくして畑を流されたご先祖様たちは、太陽を求めて旅に出た。来る日も来る日も歩き続け、空腹と渇きに倒れそうになったころ、彼らは1本のサボテンに出くわした。			辿りつく故郷							
「太陽輝く地を目指すなら、どうか自分も連れていってほしい。　その空腹も渇きも、私の実を食べれば癒やせよう。　種を道すがらに撒いてくれれば、新たな実も得られるはずだ」			「太陽輝く地を目指すなら、どうか自分も連れていってほしい。　その空腹も渇きも、私の実を食べれば癒やせよう。　種を道すがらに撒いてくれれば、新たな実も得られるはずだ」			辿りつく故郷							
こうして彼らが行く道には多くのサボテンが育ち、その実を食べて栄養をつけては、再び西へ……。			こうして彼らが行く道には多くのサボテンが育ち、その実を食べて栄養をつけては、再び西へ……。			辿りつく故郷							
ご先祖様の太陽を求める旅は、昼と夜とが万の十倍も巡るほど続いたという。			ご先祖様の太陽を求める旅は、昼と夜とが万の十倍も巡るほど続いたという。			辿りつく故郷							
そして彼らがたどり着いたのは、太陽輝く荒野。照りつける陽射しの下でサボテンは大きく育ち、ご先祖様たちに向かって言った。			そして彼らがたどり着いたのは、太陽輝く荒野。照りつける陽射しの下でサボテンは大きく育ち、ご先祖様たちに向かって言った。			辿りつく故郷							
「ありがとう、人の子らよ！　こここそが遠き昔に願った太陽輝く地！　明日より、私は黙して語らず、人のために糧を授けよう」			「ありがとう、人の子らよ！　こここそが遠き昔に願った太陽輝く地！　明日より、私は黙して語らず、人のために糧を授けよう」			辿りつく故郷							
以来、誰一人としてサボテンの声を聞く者はいなくなった。しかし、ご先祖様たちは旅の仲間に敬意を示し、かけがえのない存在として大切に育てることにした。			以来、誰一人としてサボテンの声を聞く者はいなくなった。しかし、ご先祖様たちは旅の仲間に敬意を示し、かけがえのない存在として大切に育てることにした。			辿りつく故郷							
彼らはそこに集落を築くと、輝く太陽と壮麗なサボテンたちと共に、末永く幸せに暮らしたのだ……。			彼らはそこに集落を築くと、輝く太陽と壮麗なサボテンたちと共に、末永く幸せに暮らしたのだ……。			辿りつく故郷							
トナワータ族とは「太陽を追う者」という意味だが、実は、その由来ははっきりとしない。			トナワータ族とは「太陽を追う者」という意味だが、実は、その由来ははっきりとしない。			辿りつく故郷							
お聞きのとおり、うちの一族は、それがサボテンと共に歩んだ旅に由来すると語り継いできた。だが、まったく異なる物語を伝える人たちもいるだろう。			お聞きのとおり、うちの一族は、それがサボテンと共に歩んだ旅に由来すると語り継いできた。だが、まったく異なる物語を伝える人たちもいるだろう。			辿りつく故郷							
自分たちが正しいと主張したいわけじゃない。ただ、そう信じる者たちが、この広いトラル大陸の片隅にいるんだってこと。			自分たちが正しいと主張したいわけじゃない。ただ、そう信じる者たちが、この広いトラル大陸の片隅にいるんだってこと。			辿りつく故郷							
僕の一族の物語が、ひとりでも多くの人の記憶に残り、未来へと語り継がれることを、僕は望む。			僕の一族の物語が、ひとりでも多くの人の記憶に残り、未来へと語り継がれることを、僕は望む。			辿りつく故郷							
……以上、ご清聴ありがとうございました！			……以上、ご清聴ありがとうございました！			辿りつく故郷							
ほかのお客さんにも楽しんでいただけたようで、朗読会は大成功でしたね！			ほかのお客さんにも楽しんでいただけたようで、朗読会は大成功でしたね！			辿りつく故郷							
いかがでしたか？いつも今みたいな感じで、皆さんそれぞれに、自分たちの物語を披露しあっているんです。			いかがでしたか？いつも今みたいな感じで、皆さんそれぞれに、自分たちの物語を披露しあっているんです。			辿りつく故郷							
パメカさんは店を空けたままにしていられないので、ひと足お先に戻ったみたいですね。どうぞ、よろしくお伝えください。			パメカさんは店を空けたままにしていられないので、ひと足お先に戻ったみたいですね。どうぞ、よろしくお伝えください。			辿りつく故郷							
素敵な本をありがとうございました！パメカさんにも、よろしくお伝えください。			素敵な本をありがとうございました！パメカさんにも、よろしくお伝えください。			辿りつく故郷							
デモウェニ君のお話、とても好評でしたね！お店の雰囲気も相まって、まるで物語の世界に迷いこんだような時間を体験できましたよ。			デモウェニ君のお話、とても好評でしたね！お店の雰囲気も相まって、まるで物語の世界に迷いこんだような時間を体験できましたよ。			辿りつく故郷							
言葉って、本当に不思議です。心を込めて読みあげれば、文字が表す意味以上の印象を、受け手に届けることができるんですから。			言葉って、本当に不思議です。心を込めて読みあげれば、文字が表す意味以上の印象を、受け手に届けることができるんですから。			辿りつく故郷							
私も今回の経験を活かし、お客さんの想いを、より深く汲みとった代筆ができるようになりたいです。			私も今回の経験を活かし、お客さんの想いを、より深く汲みとった代筆ができるようになりたいです。			辿りつく故郷							
ただ文字を紙に書きつけるのではなく、想いのすべてをそこに封じ込める……キミと一緒に作った、数々の本のように。			ただ文字を紙に書きつけるのではなく、想いのすべてをそこに封じ込める……キミと一緒に作った、数々の本のように。			辿りつく故郷							
それでも、私ひとりでやれることには限界があります。また、装丁職人が必要になったら、そのときは、よろしくお願いしますね！			それでも、私ひとりでやれることには限界があります。また、装丁職人が必要になったら、そのときは、よろしくお願いしますね！			辿りつく故郷							
パメカの筆記工房のストーリーが完結しました！パメカはあなたの事を、「語り継がれるべき装丁家」と感じているようです！			パメカの筆記工房のストーリーが完結しました！パメカはあなたの事を、「語り継がれるべき装丁家」と感じているようです！			辿りつく故郷							
本クエストで製作した「NQアイテム」を所持しています。このアイテムは、使用することはありません。売却もできませんので、不用でしたら破棄してください。			本クエストで製作した「NQアイテム」を所持しています。このアイテムは、使用することはありません。売却もできませんので、不用でしたら破棄してください。			辿りつく故郷							
また、ワチュメキメキ万貨街にはほかにも、腕のいい職人の助けを必要としている人がいるようです。声をかけて、話を聞いてみましょう。			また、ワチュメキメキ万貨街にはほかにも、腕のいい職人の助けを必要としている人がいるようです。声をかけて、話を聞いてみましょう。			辿りつく故郷							
また、これにて、すべての万貨街取引が完了しました！そんなあなたに、万貨街の顔役である「ローペリ」は、依頼したいことがあるようです。			また、これにて、すべての万貨街取引が完了しました！そんなあなたに、万貨街の顔役である「ローペリ」は、依頼したいことがあるようです。			辿りつく故郷							
「ワチュメキメキ万貨街」の入口にいる彼から、話を聞いてみましょう。			「ワチュメキメキ万貨街」の入口にいる彼から、話を聞いてみましょう。			辿りつく故郷							
