先輩レターモーグリは、冒険者に敏腕美容師への手紙を託したいようだ。			先輩レターモーグリは、冒険者に敏腕美容師への手紙を託したいようだ。			敏腕美容師の華麗なる妙技							
おや君か、部下たちは、まだ戻ってきていないよ。どこかで油を売っているのかもしれないから呼び戻してくれないか？			おや君か、部下たちは、まだ戻ってきていないよ。どこかで油を売っているのかもしれないから呼び戻してくれないか？			追いたい背中							
部下たちと君がそろったら、素晴らしい贈り物があるよ。			部下たちと君がそろったら、素晴らしい贈り物があるよ。			追いたい背中							
隊長の武器は美しさニャ！隊長は、もっと美しさを伸ばすべきニャ！			隊長の武器は美しさニャ！隊長は、もっと美しさを伸ばすべきニャ！			追いたい背中							
隊長は、ありのままで十分美しいのニャ！それより、もっと強くなって、もっと活躍すべきニャ！			隊長は、ありのままで十分美しいのニャ！それより、もっと強くなって、もっと活躍すべきニャ！			追いたい背中							
エ・タージャとエ・ラームイが、激しく言い争いをしているようだ……。			エ・タージャとエ・ラームイが、激しく言い争いをしているようだ……。			追いたい背中							
隊長の武器は美しさニャ！隊長は、もっと美しさを伸ばすべきニャ！だから隊長は、私の贈り物を受け取るのニャ！			隊長の武器は美しさニャ！隊長は、もっと美しさを伸ばすべきニャ！だから隊長は、私の贈り物を受け取るのニャ！			追いたい背中							
隊長は、ありのままで十分美しいのニャ！それより、もっと強くなって、もっと活躍すべきニャ！だから隊長は、私の贈り物を受け取るのニャ！			隊長は、ありのままで十分美しいのニャ！それより、もっと強くなって、もっと活躍すべきニャ！だから隊長は、私の贈り物を受け取るのニャ！			追いたい背中							
(-フンベルクトの部下たち-)ニャニャニャニャーーーーー！！！			(-フンベルクトの部下たち-)ニャニャニャニャーーーーー！！！			追いたい背中							
隊長、隊長！私の贈り物を受け取ってほしいのニャ！隊長が、より美しくなること請け合いなのニャ！			隊長、隊長！私の贈り物を受け取ってほしいのニャ！隊長が、より美しくなること請け合いなのニャ！			追いたい背中							
隊長、隊長！私の贈り物を受け取ってほしいのニャ！隊長が、より強くなること請け合いなのニャ！			隊長、隊長！私の贈り物を受け取ってほしいのニャ！隊長が、より強くなること請け合いなのニャ！			追いたい背中							
隊長の服は、ヒラヒラしてると素敵ニャ！私の贈り物と一緒につけると、隊長はもっと美しくなるニャ！			隊長の服は、ヒラヒラしてると素敵ニャ！私の贈り物と一緒につけると、隊長はもっと美しくなるニャ！			追いたい背中							
違うニャ！ピカピカさせて、目立った方がいいニャ！さらに私の贈り物を使えば、もっと活躍できるニャ！			違うニャ！ピカピカさせて、目立った方がいいニャ！さらに私の贈り物を使えば、もっと活躍できるニャ！			追いたい背中							
こらこら、ふたりとも喧嘩はよしなさい。強くて美しいオレを見て、落ち着くがいい。……だいたい君たちは、大きな勘違いをしている！			こらこら、ふたりとも喧嘩はよしなさい。強くて美しいオレを見て、落ち着くがいい。……だいたい君たちは、大きな勘違いをしている！			追いたい背中							
アクセサリーや薬などなくても、オレは、十分に……強く美しい！			アクセサリーや薬などなくても、オレは、十分に……強く美しい！			追いたい背中							
ない知恵をしぼって選んでくれたであろう贈り物は、自分のために活用しなさい。オレは、君たちの気持ちだけで胸がいっぱいだ！			ない知恵をしぼって選んでくれたであろう贈り物は、自分のために活用しなさい。オレは、君たちの気持ちだけで胸がいっぱいだ！			追いたい背中							
……さて、冒険者も戻ってきたことだし、君たちに、オレからとっておきの贈り物をあげよう！			……さて、冒険者も戻ってきたことだし、君たちに、オレからとっておきの贈り物をあげよう！			追いたい背中							
美しいオレは誰のものでもない……そう……皆のものだ！			美しいオレは誰のものでもない……そう……皆のものだ！			追いたい背中							
ニャニャニャニャー！今回、お買い上げした服の試着会ニャ！隊長サイコーニャー！！			ニャニャニャニャー！今回、お買い上げした服の試着会ニャ！隊長サイコーニャー！！			追いたい背中							
さあ、よく見るがいい……君たちの眼に……脳裏に、オレの美しさを刻みつけるのだ！			さあ、よく見るがいい……君たちの眼に……脳裏に、オレの美しさを刻みつけるのだ！			追いたい背中							
強いオレは誰のものでもない……そう……皆のものだッ！！			強いオレは誰のものでもない……そう……皆のものだッ！！			追いたい背中							
ニャニャニャニャー！隊長サイコーニャー！！試着会が見れるなんて、冒険者さんは幸せ者ニャ！			ニャニャニャニャー！隊長サイコーニャー！！試着会が見れるなんて、冒険者さんは幸せ者ニャ！			追いたい背中							
こらこら、君たち……少しは落ち着きなさい。オレの美しさに、我を忘れるのもいたしかたないが……さっきから当たり前のことしか言ってないぞ？			こらこら、君たち……少しは落ち着きなさい。オレの美しさに、我を忘れるのもいたしかたないが……さっきから当たり前のことしか言ってないぞ？			追いたい背中							
ザナラーンの天で輝くお天道様と並ぶオレの美しさ……まばゆさに目がくらもうが、直視し続けるがいい！			ザナラーンの天で輝くお天道様と並ぶオレの美しさ……まばゆさに目がくらもうが、直視し続けるがいい！			追いたい背中							
(-フンベルクトの部下たち-)ニャニャニャニャー！隊長サイコーニャー！！隊長の部下でよかったニャーーー！！			(-フンベルクトの部下たち-)ニャニャニャニャー！隊長サイコーニャー！！隊長の部下でよかったニャーーー！！			追いたい背中							
うむ、仲直りできたようだな。君たち姉妹は、仲よくしているのが一番だ。			うむ、仲直りできたようだな。君たち姉妹は、仲よくしているのが一番だ。			追いたい背中							
さあ、楽しかった休暇も、そろそろ終わりだ。ハイブリッジが、オレたちの帰りを待っているぞ……出発の準備を整えなさい。			さあ、楽しかった休暇も、そろそろ終わりだ。ハイブリッジが、オレたちの帰りを待っているぞ……出発の準備を整えなさい。			追いたい背中							
(-フンベルクトの部下たち-)了解ニャー！やっぱり隊長は、戦ってる時が一番素敵ニャ！			(-フンベルクトの部下たち-)了解ニャー！やっぱり隊長は、戦ってる時が一番素敵ニャ！			追いたい背中							
……部下たちが世話をかけたね。彼女たちが世間知らずなところがあるのには、少しばかり理由があるのだ。			……部下たちが世話をかけたね。彼女たちが世間知らずなところがあるのには、少しばかり理由があるのだ。			追いたい背中							
幼いころ……親に売られ、まともな教育を受けていないのだ。オレの部隊が、彼女たちを仲買人から救出したのだが、その後は、物乞いをして生き抜いてきたようだ。			幼いころ……親に売られ、まともな教育を受けていないのだ。オレの部隊が、彼女たちを仲買人から救出したのだが、その後は、物乞いをして生き抜いてきたようだ。			追いたい背中							
貧しい暮らしで、悪へ染まる方が楽だったはずなのに、あの子たちは、それを踏みとどまり、オレの背中を追い求めて、人々を守る衛士になってくれた……。			貧しい暮らしで、悪へ染まる方が楽だったはずなのに、あの子たちは、それを踏みとどまり、オレの背中を追い求めて、人々を守る衛士になってくれた……。			追いたい背中							
だからオレは、あの娘たちに……「美しい背中」を見せ続けねばならんのさ。彼女たちの生き方を変えてしまった責任があるからな。			だからオレは、あの娘たちに……「美しい背中」を見せ続けねばならんのさ。彼女たちの生き方を変えてしまった責任があるからな。			追いたい背中							
君も人生に迷ったときは、美しい背中を探すがいい。助けを求める声ある限り、オレはハイブリッジに屯している。ともに悪と戦い続けようではないか！			君も人生に迷ったときは、美しい背中を探すがいい。助けを求める声ある限り、オレはハイブリッジに屯している。ともに悪と戦い続けようではないか！			追いたい背中							
先輩レターモーグリから託された手紙の配達に成功したため、「配達士」として成長しました！			先輩レターモーグリから託された手紙の配達に成功したため、「配達士」として成長しました！			追いたい背中							
先輩レターモーグリは、冒険者にコスタ・デル・ソルへの手紙を託したいようだ。			先輩レターモーグリは、冒険者にコスタ・デル・ソルへの手紙を託したいようだ。			美男の伝統舞踊							
先輩レターモーグリから、配達を依頼された。東ラノシアのコスタ・デル・ソルにいる「ゲゲルジュ」に手紙を配達しよう。			先輩レターモーグリから、配達を依頼された。東ラノシアのコスタ・デル・ソルにいる「ゲゲルジュ」に手紙を配達しよう。			美男の伝統舞踊							
ゲゲルジュに手紙を配達した。それは、舞の指導を依頼していた舞踏家ギヨーノからの断りの手紙だった。外地ラノシアにいるという、「心高める踊り手」に「舞踏指導の契約書」を渡そう。			ゲゲルジュに手紙を配達した。それは、舞の指導を依頼していた舞踏家ギヨーノからの断りの手紙だった。外地ラノシアにいるという、「心高める踊り手」に「舞踏指導の契約書」を渡そう。			美男の伝統舞踊							
心高める踊り手ブガージャに、舞踏指導の契約書を渡した。ブガージャは新たな雇用主ゲゲルジュに会う前に、身を清めたいという。外地ラノシアの隠者の庵で「ブガージャ」と合流しよう。			心高める踊り手ブガージャに、舞踏指導の契約書を渡した。ブガージャは新たな雇用主ゲゲルジュに会う前に、身を清めたいという。外地ラノシアの隠者の庵で「ブガージャ」と合流しよう。			美男の伝統舞踊							
ブガージャと合流した。マムージャ族伝統の身を清める儀式を手伝うため、隠者の庵の「ブガージャ」に「庵の湯」をかけてあげよう。			ブガージャと合流した。マムージャ族伝統の身を清める儀式を手伝うため、隠者の庵の「ブガージャ」に「庵の湯」をかけてあげよう。			美男の伝統舞踊							
ブガージャに庵の湯をかけた。さらに身を清めるべく、隠者の庵の「ブガージャ」に「庵の湯」を再度かけてあげよう。			ブガージャに庵の湯をかけた。さらに身を清めるべく、隠者の庵の「ブガージャ」に「庵の湯」を再度かけてあげよう。			美男の伝統舞踊							
ブガージャに湯をかけた。小さな温泉とはいえ、久しぶりの温泉にブガージャの心は高まり始めたようだ。隠者の庵の「ブガージャ」に「庵の湯」をもう一度かけてあげよう。			ブガージャに湯をかけた。小さな温泉とはいえ、久しぶりの温泉にブガージャの心は高まり始めたようだ。隠者の庵の「ブガージャ」に「庵の湯」をもう一度かけてあげよう。			美男の伝統舞踊							
ブガージャに湯をかけた。完全に心が高まったブガージャは、ゲゲルジュのもとに向かった。コスタ・デル・ソルの「ゲゲルジュ」に報告しよう。			ブガージャに湯をかけた。完全に心が高まったブガージャは、ゲゲルジュのもとに向かった。コスタ・デル・ソルの「ゲゲルジュ」に報告しよう。			美男の伝統舞踊							
ゲゲルジュに報告した。特別に、ブガージャの稽古を見せてもらえることになった。東ラノシアの隠れ滝にある「指定地点」で待機しよう。			ゲゲルジュに報告した。特別に、ブガージャの稽古を見せてもらえることになった。東ラノシアの隠れ滝にある「指定地点」で待機しよう。			美男の伝統舞踊							
ブガージャによる踊りの稽古が終わった。しかし、あまりの刺激の強さに、踊り子たちは逃げ出し、ゲゲルジュの護衛は卒倒してしまった。コスタ・デル・ソルの「ゲゲルジュ」と話そう。			ブガージャによる踊りの稽古が終わった。しかし、あまりの刺激の強さに、踊り子たちは逃げ出し、ゲゲルジュの護衛は卒倒してしまった。コスタ・デル・ソルの「ゲゲルジュ」と話そう。			美男の伝統舞踊							
ゲゲルジュと話した。踊り子がショックを受けて辞めてしまったため、ブガージャとの契約も終了したそうだ。今後も、ブガージャがブロンズレイクへ入ろうとしているのを見かけたら、エオルゼアの公序良俗を守るため、全力で止めよう。			ゲゲルジュと話した。踊り子がショックを受けて辞めてしまったため、ブガージャとの契約も終了したそうだ。今後も、ブガージャがブロンズレイクへ入ろうとしているのを見かけたら、エオルゼアの公序良俗を守るため、全力で止めよう。			美男の伝統舞踊							
コスタ・デル・ソルのゲゲルジュに手紙を配達			コスタ・デル・ソルのゲゲルジュに手紙を配達			美男の伝統舞踊							
外地ラノシアの心高める踊り手に舞踏指導の契約書を渡す			外地ラノシアの心高める踊り手に舞踏指導の契約書を渡す			美男の伝統舞踊							
隠者の庵のブガージャと話す			隠者の庵のブガージャと話す			美男の伝統舞踊							
ブガージャに庵の湯を使う			ブガージャに庵の湯を使う			美男の伝統舞踊							
ブガージャに庵の湯を再度使う			ブガージャに庵の湯を再度使う			美男の伝統舞踊							
ブガージャに庵の湯をもう一度使う			ブガージャに庵の湯をもう一度使う			美男の伝統舞踊							
コスタ・デル・ソルのゲゲルジュと話す			コスタ・デル・ソルのゲゲルジュと話す			美男の伝統舞踊							
指定地点で待機			指定地点で待機			美男の伝統舞踊							
ゲゲルジュに報告			ゲゲルジュに報告			美男の伝統舞踊							
今回は、豪勢な気分が味わえる仕事クポ。コスタ・デル・ソルの大富豪……「ゲゲルジュ」さんへの配達クポ！			今回は、豪勢な気分が味わえる仕事クポ。コスタ・デル・ソルの大富豪……「ゲゲルジュ」さんへの配達クポ！			美男の伝統舞踊							
送り主は、有名な舞踏家ギヨーノ先生クポ！コスタ・デル・ソルには、踊り子さんがいっぱいクポ。手紙は踊りについての話クポ？			送り主は、有名な舞踏家ギヨーノ先生クポ！コスタ・デル・ソルには、踊り子さんがいっぱいクポ。手紙は踊りについての話クポ？			美男の伝統舞踊							
コスタ・デル・ソルに配達へ行ったときは、ついでに踊りをのぞくのがモグの楽しみクポ……クポクポ……今のはゲゲルジュさんにはヒミツなのでクポ！			コスタ・デル・ソルに配達へ行ったときは、ついでに踊りをのぞくのがモグの楽しみクポ……クポクポ……今のはゲゲルジュさんにはヒミツなのでクポ！			美男の伝統舞踊							
今回は、豪勢な気分が味わえる仕事クポ。コスタ・デル・ソルの大富豪……「ゲゲルジュ」さんへの配達クポ！			今回は、豪勢な気分が味わえる仕事クポ。コスタ・デル・ソルの大富豪……「ゲゲルジュ」さんへの配達クポ！			美男の伝統舞踊							
遅いのう、まだかのう。舞踏家からの返事は、まだかのう……って、あなたはぁぁぁ！きょ、きょ、今日はどんな用件で参られたんじゃ？			遅いのう、まだかのう。舞踏家からの返事は、まだかのう……って、あなたはぁぁぁ！きょ、きょ、今日はどんな用件で参られたんじゃ？			美男の伝統舞踊							
これは待ち焦がれた舞踏家からの返事！まさか、あなたが配達してくれるとは驚きじゃ～。ここは再会を祝して、特別に教えちゃうのじゃ！			これは待ち焦がれた舞踏家からの返事！まさか、あなたが配達してくれるとは驚きじゃ～。ここは再会を祝して、特別に教えちゃうのじゃ！			美男の伝統舞踊							
実は、期待の新人踊り子ちゃんを発掘してのう。この逸材に、ワシの理想の踊りの稽古をつけてもらうため、舞踏家のギヨーノ先生に、依頼をしていたんじゃが……。			実は、期待の新人踊り子ちゃんを発掘してのう。この逸材に、ワシの理想の踊りの稽古をつけてもらうため、舞踏家のギヨーノ先生に、依頼をしていたんじゃが……。			美男の伝統舞踊							
この手紙には、「顔だけの踊り子には指導できない」と書かれているのじゃ……。う～ぬ……ザンネンじゃのう。			この手紙には、「顔だけの踊り子には指導できない」と書かれているのじゃ……。う～ぬ……ザンネンじゃのう。			美男の伝統舞踊							
しかし、ありがたいことに、ワシが望む「心が高まるような大人の踊り」を指導できる舞踏家の先生について、書かれているようじゃ！			しかし、ありがたいことに、ワシが望む「心が高まるような大人の踊り」を指導できる舞踏家の先生について、書かれているようじゃ！			美男の伝統舞踊							
どうやら、この「心高める踊り手」は、外地ラノシアのアイアンレイクにいるらしい！この踊り手に、ワシとの契約書を届けてくれんかのう？			どうやら、この「心高める踊り手」は、外地ラノシアのアイアンレイクにいるらしい！この踊り手に、ワシとの契約書を届けてくれんかのう？			美男の伝統舞踊							
ワシが望む「心高める踊り手」は、外地ラノシアのアイアンレイクにいるらしい！この踊り手に、ワシとの契約書を届けてくれんかのう？			ワシが望む「心高める踊り手」は、外地ラノシアのアイアンレイクにいるらしい！この踊り手に、ワシとの契約書を届けてくれんかのう？			美男の伝統舞踊							
嗚呼、遥か、なりブロンズレイク……。今一度、あの湯、に浸かりた、い……。			嗚呼、遥か、なりブロンズレイク……。今一度、あの湯、に浸かりた、い……。			美男の伝統舞踊							
我に、契約書、が届いたと……？ふむ……果たして、いかなる契約、か……？			我に、契約書、が届いたと……？ふむ……果たして、いかなる契約、か……？			美男の伝統舞踊							
お、お……おお、お……高まってき、た！！こんな日、が必ず来る、と信じてい、た！！我らマムージャ族、の伝統を解する者、が現れる日、を！！			お、お……おお、お……高まってき、た！！こんな日、が必ず来る、と信じてい、た！！我らマムージャ族、の伝統を解する者、が現れる日、を！！			美男の伝統舞踊							
……ひとり高ぶってしま、い申し訳ない。マムージャ族の伝統の舞、を指導するとい、うゲゲルジュ様の依頼……ありがたき、ことこの上なし。			……ひとり高ぶってしま、い申し訳ない。マムージャ族の伝統の舞、を指導するとい、うゲゲルジュ様の依頼……ありがたき、ことこの上なし。			美男の伝統舞踊							
報酬も実、に魅力的……！だが問題は報酬で、はない！喜ばしいの、は我らの伝統、が理解されたこ、と！			報酬も実、に魅力的……！だが問題は報酬で、はない！喜ばしいの、は我らの伝統、が理解されたこ、と！			美男の伝統舞踊							
我らマムージャ族、はなによ、り伝統、を重んじる民族な、り！			我らマムージャ族、はなによ、り伝統、を重んじる民族な、り！			美男の伝統舞踊							
我ら、はエオルゼア、に武を売りに来、た！これ伝統文化、を糧とする我ら、の生き方！そして踊り、もマムージャ族、が誇る伝統な、り！			我ら、はエオルゼア、に武を売りに来、た！これ伝統文化、を糧とする我ら、の生き方！そして踊り、もマムージャ族、が誇る伝統な、り！			美男の伝統舞踊							
(-ブガージャ-)ゆえに、このブガージャ、喜び勇み、て伝統の踊り、を指導すると誓お、う！ゲゲルジュ様、の恩義に報いるため、に！			(-ブガージャ-)ゆえに、このブガージャ、喜び勇み、て伝統の踊り、を指導すると誓お、う！ゲゲルジュ様、の恩義に報いるため、に！			美男の伝統舞踊							
(-ブガージャ-)今すぐ、偉大なる主のもとへ参じたいところだ、がその前に伝統に則り、なすべき儀式、がある。お主にも儀式、を手伝ってもらいたい。			(-ブガージャ-)今すぐ、偉大なる主のもとへ参じたいところだ、がその前に伝統に則り、なすべき儀式、がある。お主にも儀式、を手伝ってもらいたい。			美男の伝統舞踊							
(-ブガージャ-)本来ならば、ブロンズレイクにて行うべき儀式だ、が……かの温泉地、の衛兵、伝統の「湯浴みの踊り」を侮辱し、我の入浴、を禁じる始末！			(-ブガージャ-)本来ならば、ブロンズレイクにて行うべき儀式だ、が……かの温泉地、の衛兵、伝統の「湯浴みの踊り」を侮辱し、我の入浴、を禁じる始末！			美男の伝統舞踊							
(-ブガージャ-)別の地に、て儀式を行う、ことやむなし。ここより西の「隠者の庵」に、参られ、よ。			(-ブガージャ-)別の地に、て儀式を行う、ことやむなし。ここより西の「隠者の庵」に、参られ、よ。			美男の伝統舞踊							
良くぞ来てく、れた。ここは隠者、が住まう庵な、り。			良くぞ来てく、れた。ここは隠者、が住まう庵な、り。			美男の伝統舞踊							
しかし庵の主、は留守なること、多く……小さいながら湯、を使うことができ、る！			しかし庵の主、は留守なること、多く……小さいながら湯、を使うことができ、る！			美男の伝統舞踊							
我らマムージャ族、にとって、あまり、に狭い湯船なのは無念だ、が……この際は贅沢、を言ってはい、られない！			我らマムージャ族、にとって、あまり、に狭い湯船なのは無念だ、が……この際は贅沢、を言ってはい、られない！			美男の伝統舞踊							
さあ、この祭器、に満たした湯、を三度わが身、にかけてくれ。身体を清、めるのだ！			さあ、この祭器、に満たした湯、を三度わが身、にかけてくれ。身体を清、めるのだ！			美男の伝統舞踊							
さあ、この祭器、に満たした湯、を三度わが身、にかけてくれ。身体を清、めるのだ！			さあ、この祭器、に満たした湯、を三度わが身、にかけてくれ。身体を清、めるのだ！			美男の伝統舞踊							
……うむ！　その調子、でもっと激し、く湯をあびせる、がいい！			……うむ！　その調子、でもっと激し、く湯をあびせる、がいい！			美男の伝統舞踊							
……ま、だだ！　もっともっと激し、く！美男のブガージャ、の心を高め、るのだ！最後に念入り、に湯をあびせ、よ！			……ま、だだ！　もっともっと激し、く！美男のブガージャ、の心を高め、るのだ！最後に念入り、に湯をあびせ、よ！			美男の伝統舞踊							
お、おおお、おおおお！！美しき鱗、が湯に濡れそぼ、り、男ぶり、がいやがおうに、も増してゆく！			お、おおお、おおおお！！美しき鱗、が湯に濡れそぼ、り、男ぶり、がいやがおうに、も増してゆく！			美男の伝統舞踊							
我が心身、は清め高ま、り最高の状態！ブロンズレイクでない湯、でも儀式を終えられたの、は貴公、の献身的、働きのおかげ、よ！！			我が心身、は清め高ま、り最高の状態！ブロンズレイクでない湯、でも儀式を終えられたの、は貴公、の献身的、働きのおかげ、よ！！			美男の伝統舞踊							
さあ、準備、は整った！早速、我、新しき主、ゲゲルジュ様に目通りに赴く。貴公もゲゲルジュ様に報告、を忘れるなよ、さらば！			さあ、準備、は整った！早速、我、新しき主、ゲゲルジュ様に目通りに赴く。貴公もゲゲルジュ様に報告、を忘れるなよ、さらば！			美男の伝統舞踊							
契約書を届けてくれて、助かったんじゃよ～。おかげで、素晴らしい舞踏家と出会えた。さっそく先生に、新人ちゃんの稽古をつけてもらうんじゃ～。			契約書を届けてくれて、助かったんじゃよ～。おかげで、素晴らしい舞踏家と出会えた。さっそく先生に、新人ちゃんの稽古をつけてもらうんじゃ～。			美男の伝統舞踊							
心高まる「大人の踊り」……実に楽しみじゃのう～。稽古の内容次第では、あなたへの謝礼もはずむのじゃ～。			心高まる「大人の踊り」……実に楽しみじゃのう～。稽古の内容次第では、あなたへの謝礼もはずむのじゃ～。			美男の伝統舞踊							
どうせなら、稽古も見ていくといいんじゃよ～。稽古場は「隠れ滝」じゃから、そこで待っててほしいのじゃ～。			どうせなら、稽古も見ていくといいんじゃよ～。稽古場は「隠れ滝」じゃから、そこで待っててほしいのじゃ～。			美男の伝統舞踊							
どうせなら、稽古も見ていくといいんじゃよ～。稽古場は「隠れ滝」じゃから、そこで待っててほしいのじゃ～。			どうせなら、稽古も見ていくといいんじゃよ～。稽古場は「隠れ滝」じゃから、そこで待っててほしいのじゃ～。			美男の伝統舞踊							
……お主か、また会えると、は光栄。その節、は大変世話になった。偉大なる主と引き合わせてくれ、たこと感謝している。			……お主か、また会えると、は光栄。その節、は大変世話になった。偉大なる主と引き合わせてくれ、たこと感謝している。			美男の伝統舞踊							
……主ゲゲルジュ様のご到着次第、我らの伝統の踊り、を披露することになっている。それに向けて精神、を統一しているところ、だ……。			……主ゲゲルジュ様のご到着次第、我らの伝統の踊り、を披露することになっている。それに向けて精神、を統一しているところ、だ……。			美男の伝統舞踊							
ブガージャ先生の踊り……難しかったらどうしよう……。でも、せっかく掴んだ、おいしいお仕事だもん。必ず踊りこなしてみせるわ……！			ブガージャ先生の踊り……難しかったらどうしよう……。でも、せっかく掴んだ、おいしいお仕事だもん。必ず踊りこなしてみせるわ……！			美男の伝統舞踊							
傭兵で有名なマムージャ族が先生なんて！きっと……キレッキレの踊りに違いないわ。どうしよう……楽しみ過ぎて心が高まっちゃう！			傭兵で有名なマムージャ族が先生なんて！きっと……キレッキレの踊りに違いないわ。どうしよう……楽しみ過ぎて心が高まっちゃう！			美男の伝統舞踊							
我が主ゲゲルジュ様……我らマムージャ族の伝統の踊りに価値、を認め世に広める機会、を与えたもうた事、を感謝いた、す。			我が主ゲゲルジュ様……我らマムージャ族の伝統の踊りに価値、を認め世に広める機会、を与えたもうた事、を感謝いた、す。			美男の伝統舞踊							
マムージャ族、がもっとも、心高まるの、は湯浴みな、り！ゆえに心高まる踊り、を所望する主、に応え「湯浴みの踊り」、を披露いた、す。			マムージャ族、がもっとも、心高まるの、は湯浴みな、り！ゆえに心高まる踊り、を所望する主、に応え「湯浴みの踊り」、を披露いた、す。			美男の伝統舞踊							
さあさあ、新人ちゃん。ブガージャ先生の心高まる「大人の踊り」を、一瞬たりとも見逃さず、覚えるんじゃぞ～！			さあさあ、新人ちゃん。ブガージャ先生の心高まる「大人の踊り」を、一瞬たりとも見逃さず、覚えるんじゃぞ～！			美男の伝統舞踊							
(-新人の踊り子たち-)は、はいっ！どんなにキレッキレの難しい振り付けも、私たち、ゲゲルジュ様のために、踊りこなしてみせます！			(-新人の踊り子たち-)は、はいっ！どんなにキレッキレの難しい振り付けも、私たち、ゲゲルジュ様のために、踊りこなしてみせます！			美男の伝統舞踊							
いざ……参る！			いざ……参る！			美男の伝統舞踊							
ウーッ、ヤッ、ハッ！我　は死す！　我　は死す！			ウーッ、ヤッ、ハッ！我　は死す！　我　は死す！			美男の伝統舞踊							
ウーッ、ナッ、ハッ！我　は生きる！　我　は生きる！			ウーッ、ナッ、ハッ！我　は生きる！　我　は生きる！			美男の伝統舞踊							
ウーッ、ヤッ、ハッ、ウーッ、ナッ、ハッ！湯　に浸かりて　我　は死す！湯　より出でて　我　は生きる！			ウーッ、ヤッ、ハッ、ウーッ、ナッ、ハッ！湯　に浸かりて　我　は死す！湯　より出でて　我　は生きる！			美男の伝統舞踊							
ウーパッパッ、ウーパッパッ！　フィッ、テッ、ラッ！生まれ変わ　りし男を見　よ！太陽の元　へ昇れ　昇れ！			ウーパッパッ、ウーパッパッ！　フィッ、テッ、ラッ！生まれ変わ　りし男を見　よ！太陽の元　へ昇れ　昇れ！			美男の伝統舞踊							
(-新人の踊り子たち-)キャァァァァァーーーー！！			(-新人の踊り子たち-)キャァァァァァーーーー！！			美男の伝統舞踊							
ぬほほほほほほ！よいよい～これぞ「大人の踊り」じゃよ～！			ぬほほほほほほ！よいよい～これぞ「大人の踊り」じゃよ～！			美男の伝統舞踊							
……むむ、皆の者、どうしたんじゃ～？			……むむ、皆の者、どうしたんじゃ～？			美男の伝統舞踊							
我が主ゲゲルジュ様……いったい皆、どうされたの、か……？			我が主ゲゲルジュ様……いったい皆、どうされたの、か……？			美男の伝統舞踊							
ふむ～、ウブな新人ちゃんには、先生の「大人の踊り」は、ちと早すぎたようじゃのう～。わが護衛ですら、のぼせて倒れてしまったようじゃ……。			ふむ～、ウブな新人ちゃんには、先生の「大人の踊り」は、ちと早すぎたようじゃのう～。わが護衛ですら、のぼせて倒れてしまったようじゃ……。			美男の伝統舞踊							
ここはひとまず帰るしかないのう……。先生と冒険者殿には、お礼を用意してあるんじゃ。ワシのところに寄ってほしいんじゃよ。			ここはひとまず帰るしかないのう……。先生と冒険者殿には、お礼を用意してあるんじゃ。ワシのところに寄ってほしいんじゃよ。			美男の伝統舞踊							
心配はご無用です、あまりの刺激に鼻血が……。ゲゲルジュ様は、おひとりで戻られました。私も、動悸が鎮まれば、すぐに戻ります……。			心配はご無用です、あまりの刺激に鼻血が……。ゲゲルジュ様は、おひとりで戻られました。私も、動悸が鎮まれば、すぐに戻ります……。			美男の伝統舞踊							
ふう～、先生の「湯浴みの踊り」……想像以上に卑猥で、最高じゃったのう～。芸術が理解されないのは、悲しいことじゃのう～。			ふう～、先生の「湯浴みの踊り」……想像以上に卑猥で、最高じゃったのう～。芸術が理解されないのは、悲しいことじゃのう～。			美男の伝統舞踊							
侍従長の話では、新人ちゃんは、泣きながら辞表を出して、逃げてしまったそうじゃ……。せっかくの逸材だったのに、ザンネンじゃのう～。			侍従長の話では、新人ちゃんは、泣きながら辞表を出して、逃げてしまったそうじゃ……。せっかくの逸材だったのに、ザンネンじゃのう～。			美男の伝統舞踊							
踊り子がいなくなってしまったから、ブガージャ先生との契約も、これにておしまいじゃ。			踊り子がいなくなってしまったから、ブガージャ先生との契約も、これにておしまいじゃ。			美男の伝統舞踊							
先生には、キャンプ・ブロンズレイクの温泉を、一日貸し切る権利でガマンしてもらうことになった。			先生には、キャンプ・ブロンズレイクの温泉を、一日貸し切る権利でガマンしてもらうことになった。			美男の伝統舞踊							
ザンネンじゃのう～。……あぁ、新人ちゃんの「大人の踊り」……想像しただけで、高まってきちゃうのにのう～。			ザンネンじゃのう～。……あぁ、新人ちゃんの「大人の踊り」……想像しただけで、高まってきちゃうのにのう～。			美男の伝統舞踊							
先輩レターモーグリから託された手紙の配達に成功したため、「配達士」として成長しました！			先輩レターモーグリから託された手紙の配達に成功したため、「配達士」として成長しました！			美男の伝統舞踊							
先輩レターモーグリは、冒険者にダンスタン監視哨への小包を託したいようだ。			先輩レターモーグリは、冒険者にダンスタン監視哨への小包を託したいようだ。			モールのひみつ							
先輩レターモーグリから、配達を依頼された。中央森林のダンスタン監視哨付近にいる博物学者「マルセット」に小包を配達しよう。			先輩レターモーグリから、配達を依頼された。中央森林のダンスタン監視哨付近にいる博物学者「マルセット」に小包を配達しよう。			モールのひみつ							
