リムサ・ロミンサの下甲板層にいるナシュメラは、冒険者の成長を喜んでいるようだ。			リムサ・ロミンサの下甲板層にいるナシュメラは、冒険者の成長を喜んでいるようだ。			新天地へと舞い挑め							
小さい頃、ナシュメラ先生の舞を観たことがあるんだけど、優雅っていうか、豪奢っていうか……すごい迫力でさ。私、その姿に憧れて弟子入りしたんだ！			小さい頃、ナシュメラ先生の舞を観たことがあるんだけど、優雅っていうか、豪奢っていうか……すごい迫力でさ。私、その姿に憧れて弟子入りしたんだ！			初舞台を舞い踊れ							
あなたも一座に帯同なさるんで？ということは、座長に才能を認められたんですね！			あなたも一座に帯同なさるんで？ということは、座長に才能を認められたんですね！			初舞台を舞い踊れ							
これは……才能の為せる技かしら。「踊り子の証」から一気にここまでの技と知識を引き出し、己の力とできるなんて……！			これは……才能の為せる技かしら。「踊り子の証」から一気にここまでの技と知識を引き出し、己の力とできるなんて……！			初舞台を舞い踊れ							
私も、予想以上です……！これは、頼もしい座員が増えましたね！			私も、予想以上です……！これは、頼もしい座員が増えましたね！			初舞台を舞い踊れ							
ふふふ……嬉しい読み違いだわ。これほどの踊り子を擁した今なら、あの条件も……！			ふふふ……嬉しい読み違いだわ。これほどの踊り子を擁した今なら、あの条件も……！			初舞台を舞い踊れ							
それじゃ、新座員Forenameも増えたことだし、改めて、今回のエオルゼア興行の詳細を説明するわね。			それじゃ、新座員Forenameも増えたことだし、改めて、今回のエオルゼア興行の詳細を説明するわね。			初舞台を舞い踊れ							
Forenameにも、さっき伝えたけど、今回、私たちが興行を行おうと考えているのは、第七霊災により大きな打撃を受けた、エオルゼア五ヶ国。			Forenameにも、さっき伝えたけど、今回、私たちが興行を行おうと考えているのは、第七霊災により大きな打撃を受けた、エオルゼア五ヶ国。			初舞台を舞い踊れ							
つまり、ここリムサ・ロミンサを手始めとして、ウルダハ、グリダニア、イシュガルド……そして、アラミゴを訪れる予定よ。			つまり、ここリムサ・ロミンサを手始めとして、ウルダハ、グリダニア、イシュガルド……そして、アラミゴを訪れる予定よ。			初舞台を舞い踊れ							
ただ、最近まで竜詩戦争の真っ只中だったイシュガルド、帝国の属州だったアラミゴは、興行の後半に向かうつもり。いまだ情勢が落ち着いていない地域もあるでしょうしね。			ただ、最近まで竜詩戦争の真っ只中だったイシュガルド、帝国の属州だったアラミゴは、興行の後半に向かうつもり。いまだ情勢が落ち着いていない地域もあるでしょうしね。			初舞台を舞い踊れ							
ただ、現在も帝国属州であるアラミゴは後回しだけどね。粘り強く情勢を見守って、興行を行うチャンスを探すつもり。最近まで戦乱が続いていたイシュガルドも、少し様子見ね。			ただ、現在も帝国属州であるアラミゴは後回しだけどね。粘り強く情勢を見守って、興行を行うチャンスを探すつもり。最近まで戦乱が続いていたイシュガルドも、少し様子見ね。			初舞台を舞い踊れ							
といっても、国外に門戸を閉ざしているイシュガルド、現在も帝国属州であるアラミゴについては後回しだけどね。粘り強く情勢を見守って、興行を行うチャンスを探すつもり。			といっても、国外に門戸を閉ざしているイシュガルド、現在も帝国属州であるアラミゴについては後回しだけどね。粘り強く情勢を見守って、興行を行うチャンスを探すつもり。			初舞台を舞い踊れ							
というわけで、まずは残りの三ヶ国で興行を行いたいの。……だけど、今後、円滑な興行を行うために、ひとつ、早急に確保しておくべきものがあるわ。			というわけで、まずは残りの三ヶ国で興行を行いたいの。……だけど、今後、円滑な興行を行うために、ひとつ、早急に確保しておくべきものがあるわ。			初舞台を舞い踊れ							
興行の支援者……いわゆるパトロンですよね？			興行の支援者……いわゆるパトロンですよね？			初舞台を舞い踊れ							
そう！　一座だけでは、先ほどのようなゲリラ公演が精一杯。長期間の巡業には、各国への橋渡しや資金援助をしてくれる、パトロンが不可欠なのよ。			そう！　一座だけでは、先ほどのようなゲリラ公演が精一杯。長期間の巡業には、各国への橋渡しや資金援助をしてくれる、パトロンが不可欠なのよ。			初舞台を舞い踊れ							
幸い、エオルゼアに住む、歌い手の友人から、芸術に深い理解があるという富豪を紹介してもらえてね。活動を支援しても良いと言ってくださったんだけど……。			幸い、エオルゼアに住む、歌い手の友人から、芸術に深い理解があるという富豪を紹介してもらえてね。活動を支援しても良いと言ってくださったんだけど……。			初舞台を舞い踊れ							
条件として、件の人物の前で、「これまでにない斬新な公演」をするよう依頼されていたの。			条件として、件の人物の前で、「これまでにない斬新な公演」をするよう依頼されていたの。			初舞台を舞い踊れ							
これまでにない……斬新な公演……！？			これまでにない……斬新な公演……！？			初舞台を舞い踊れ							
ええ、芸術通ともなれば、近東風の踊りを披露した程度じゃ納得はしないはず……。だからこそ、悩んでいたんだけれど……答えが出たわ！			ええ、芸術通ともなれば、近東風の踊りを披露した程度じゃ納得はしないはず……。だからこそ、悩んでいたんだけれど……答えが出たわ！			初舞台を舞い踊れ							
Forename！あなたが、座員たちを相手に「クリークタンツ」を踊り、一人前の踊り子へと成長していく姿を、公演として披露するのよ！			Forename！あなたが、座員たちを相手に「クリークタンツ」を踊り、一人前の踊り子へと成長していく姿を、公演として披露するのよ！			初舞台を舞い踊れ							
ラナーは、舞台上で敵役として立ちはだかり、新人である彼女彼の技を引き出していく！そうして、生の臨場感と感動を溢れる公演を披露するの。			ラナーは、舞台上で敵役として立ちはだかり、新人である彼女彼の技を引き出していく！そうして、生の臨場感と感動を溢れる公演を披露するの。			初舞台を舞い踊れ							
なるほど！クリークタンツの「武舞」としての一面を強調し、ほかの舞との差を表現するんですね！　うん、とっても面白そう！			なるほど！クリークタンツの「武舞」としての一面を強調し、ほかの舞との差を表現するんですね！　うん、とっても面白そう！			初舞台を舞い踊れ							
いきなりの主演舞台で不安だろうけど……大丈夫！私やナシュメラ先生もいるし、思うがままに踊ればいいんだよ。一緒に、誰も観たことがない公演を創り上げよう！			いきなりの主演舞台で不安だろうけど……大丈夫！私やナシュメラ先生もいるし、思うがままに踊ればいいんだよ。一緒に、誰も観たことがない公演を創り上げよう！			初舞台を舞い踊れ							
私も、あなたならやり遂げられると確信しているわ！それじゃ、さっそく、その富豪に挨拶しに行きましょう。「コスタ・デル・ソル」という海岸を私有地にしているそうよ。			私も、あなたならやり遂げられると確信しているわ！それじゃ、さっそく、その富豪に挨拶しに行きましょう。「コスタ・デル・ソル」という海岸を私有地にしているそうよ。			初舞台を舞い踊れ							
支援を検討してくれている方への挨拶だからね。公演用の舞台衣装を着ているんだ！			支援を検討してくれている方への挨拶だからね。公演用の舞台衣装を着ているんだ！			初舞台を舞い踊れ							
座長とラナーは、富豪のところへ挨拶に向かいました。あなたも踊り子として、ぜひご同行をば。			座長とラナーは、富豪のところへ挨拶に向かいました。あなたも踊り子として、ぜひご同行をば。			初舞台を舞い踊れ							
次の公演の目玉となる、ふたりの踊り子が揃ったわね。じゃあ、こちらに住む富豪……ゲゲルジュ様に、ご挨拶に伺いましょう。			次の公演の目玉となる、ふたりの踊り子が揃ったわね。じゃあ、こちらに住む富豪……ゲゲルジュ様に、ご挨拶に伺いましょう。			初舞台を舞い踊れ							
ゲゲルジュ様、お初にお目にかかります。私は、ファルシャム一座の座長ナシュメラと申す者。一座の花形である踊り子を連れてまいりました。			ゲゲルジュ様、お初にお目にかかります。私は、ファルシャム一座の座長ナシュメラと申す者。一座の花形である踊り子を連れてまいりました。			初舞台を舞い踊れ							
ようこそ、歓迎しよう……と言いたいのじゃが、予想外の人物の襲来に、動揺が隠せんぞ！まさか、冒険者殿が一座の踊り子とは……！			ようこそ、歓迎しよう……と言いたいのじゃが、予想外の人物の襲来に、動揺が隠せんぞ！まさか、冒険者殿が一座の踊り子とは……！			初舞台を舞い踊れ							
ぬほ～、これは見目麗しい踊り子ちゃんじゃ！そちらのカワイコちゃんお兄さんも、かなりの逸材と見た！さすが、名うての一座が誇る踊り子だけあるの～。			ぬほ～、これは見目麗しい踊り子ちゃんじゃ！そちらのカワイコちゃんお兄さんも、かなりの逸材と見た！さすが、名うての一座が誇る踊り子だけあるの～。			初舞台を舞い踊れ							
じゃが、踊り子が精鋭でも、それだけではいかんぞ？わしが求めるのは、「これまでにない斬新な公演」じゃ。その要求に応えるアイディアは浮かんだのかね？			じゃが、踊り子が精鋭でも、それだけではいかんぞ？わしが求めるのは、「これまでにない斬新な公演」じゃ。その要求に応えるアイディアは浮かんだのかね？			初舞台を舞い踊れ							
ええ……此度の公演のテーマは「才能の開花」。ゲゲルジュ様にも、きっとご満足いただけるはずです。どうぞ、ご期待ください。			ええ……此度の公演のテーマは「才能の開花」。ゲゲルジュ様にも、きっとご満足いただけるはずです。どうぞ、ご期待ください。			初舞台を舞い踊れ							
公演では、必要に応じて私が指示を出すから安心して？大事なことは、思い切り楽しむことよ！			公演では、必要に応じて私が指示を出すから安心して？大事なことは、思い切り楽しむことよ！			初舞台を舞い踊れ							
公演を成功させて、パトロンの心を掴んでやりましょう！			公演を成功させて、パトロンの心を掴んでやりましょう！			初舞台を舞い踊れ							
いったい、どんな踊りが披露されるのか、期待で胸がはちきれそうじゃ！			いったい、どんな踊りが披露されるのか、期待で胸がはちきれそうじゃ！			初舞台を舞い踊れ							
初舞台で主演なんて、緊張するだろうけど……戦う相手も、まずは一座が用意した自走人形だから、落ち着いて、踊り子としての戦い方に慣れていけばいいよ！			初舞台で主演なんて、緊張するだろうけど……戦う相手も、まずは一座が用意した自走人形だから、落ち着いて、踊り子としての戦い方に慣れていけばいいよ！			初舞台を舞い踊れ							
クリークタンツは武の舞踏、いつも通り、戦うことを意識して。舞台は、私や楽士のみんなで、しっかり盛り立ててあげるから！			クリークタンツは武の舞踏、いつも通り、戦うことを意識して。舞台は、私や楽士のみんなで、しっかり盛り立ててあげるから！			初舞台を舞い踊れ							
それじゃあ、舞台に臨む準備ができたら教えてね！			それじゃあ、舞台に臨む準備ができたら教えてね！			初舞台を舞い踊れ							
踊り子、レベル60までのアクションを修得済みです。メインコマンドの「アクションリスト」から、使用できるアクションを確認してみましょう。			踊り子、レベル60までのアクションを修得済みです。メインコマンドの「アクションリスト」から、使用できるアクションを確認してみましょう。			初舞台を舞い踊れ							
さすが……いい目をしているね！せっかくなんだから、公演を全力で楽しもう！			さすが……いい目をしているね！せっかくなんだから、公演を全力で楽しもう！			初舞台を舞い踊れ							
さて、あなたには舞台経験なんてないでしょうけれど……今回は、それを活かした公演にしていくから安心してちょうだい。私の指示に従い、「踊り子」として戦えばいいの。			さて、あなたには舞台経験なんてないでしょうけれど……今回は、それを活かした公演にしていくから安心してちょうだい。私の指示に従い、「踊り子」として戦えばいいの。			初舞台を舞い踊れ							
それでこそ、クリークタンツの武の舞踏としての側面と、あなたという才能の開花を表現できるから……。思いっきり、暴れてらっしゃい！			それでこそ、クリークタンツの武の舞踏としての側面と、あなたという才能の開花を表現できるから……。思いっきり、暴れてらっしゃい！			初舞台を舞い踊れ							
ふぅ……。キミの踊り、私も思わず見惚れそうになっちゃった。初舞台だっていうのに、堂々たる振る舞いだったね！			ふぅ……。キミの踊り、私も思わず見惚れそうになっちゃった。初舞台だっていうのに、堂々たる振る舞いだったね！			初舞台を舞い踊れ							
私の技も、舞台に相応しい派手なものばっかりだったでしょ！アレ……実は全部、事前に地面や水中に仕込んでおいた、公演用の仕掛けなんだ！			私の技も、舞台に相応しい派手なものばっかりだったでしょ！アレ……実は全部、事前に地面や水中に仕込んでおいた、公演用の仕掛けなんだ！			初舞台を舞い踊れ							
えへへ……踊り子の技を披露するのは、今回はキミの役目。私は、強大な敵役として立ちはだかる必要があったからね。狙いは、バッチリはまったみたいだよ！			えへへ……踊り子の技を披露するのは、今回はキミの役目。私は、強大な敵役として立ちはだかる必要があったからね。狙いは、バッチリはまったみたいだよ！			初舞台を舞い踊れ							
敵と対峙するなかで、洗練されていく彼女彼の踊り……。そして、踊り子同士が技を繰り出し合う、熱き競演！実に素晴らしい公演じゃったぞ～！			敵と対峙するなかで、洗練されていく彼女彼の踊り……。そして、踊り子同士が技を繰り出し合う、熱き競演！実に素晴らしい公演じゃったぞ～！			初舞台を舞い踊れ							
公演をお褒めいただき、光栄ですわ。それでは、私どもの一座のエオルゼア巡業を、後援していただけるものと考えても……？			公演をお褒めいただき、光栄ですわ。それでは、私どもの一座のエオルゼア巡業を、後援していただけるものと考えても……？			初舞台を舞い踊れ							
うむ、その件じゃがな……。素晴らしすぎて、たった一度の公演だけで、送り出すのが惜しくなってきてのう……。			うむ、その件じゃがな……。素晴らしすぎて、たった一度の公演だけで、送り出すのが惜しくなってきてのう……。			初舞台を舞い踊れ							
特に敵役を務めた麗しき子猫、ラナーちゃん……わしと専属契約を結んではもらえんか？これからも、わしだけのために舞い踊ってほしいのじゃ～！			特に敵役を務めた麗しき子猫、ラナーちゃん……わしと専属契約を結んではもらえんか？これからも、わしだけのために舞い踊ってほしいのじゃ～！			初舞台を舞い踊れ							
えっと……そう言ってもらえるのは光栄だけど、私は、まだナシュメラ先生のもとで修行中の身だから。それに、まずはエオルゼアでの巡業を成功させないと……。			えっと……そう言ってもらえるのは光栄だけど、私は、まだナシュメラ先生のもとで修行中の身だから。それに、まずはエオルゼアでの巡業を成功させないと……。			初舞台を舞い踊れ							
ふ～む、それは困るのう～。専属契約を結んでもらえぬのであれば、残念すぎて、巡業の支援も難しくなりそうじゃのう～。			ふ～む、それは困るのう～。専属契約を結んでもらえぬのであれば、残念すぎて、巡業の支援も難しくなりそうじゃのう～。			初舞台を舞い踊れ							
そ、そんな……話が違うよ！			そ、そんな……話が違うよ！			初舞台を舞い踊れ							
Forename、どうしよう……！？			Forename、どうしよう……！？			初舞台を舞い踊れ							
ワガママなゲゲルジュに何と言う？			ワガママなゲゲルジュに何と言う？			初舞台を舞い踊れ							
約束が違うのでは？			約束が違うのでは？			初舞台を舞い踊れ							
あまり調子に乗ると……			あまり調子に乗ると……			初舞台を舞い踊れ							
……ぬ……ぬぅっ！？			……ぬ……ぬぅっ！？			初舞台を舞い踊れ							
じ、じ、じ、冗談に決まっておるじゃないか～！ついつい、願望が口に出ただけのことじゃよ～！			じ、じ、じ、冗談に決まっておるじゃないか～！ついつい、願望が口に出ただけのことじゃよ～！			初舞台を舞い踊れ							
と、ととと、とにかくファルシャム一座の公演は見事じゃった。エオルゼア巡業にあたっての支援は任せるのじゃ！			と、ととと、とにかくファルシャム一座の公演は見事じゃった。エオルゼア巡業にあたっての支援は任せるのじゃ！			初舞台を舞い踊れ							
……さすが、芸術通と名高いゲゲルジュ様。さっそく、次の公演予定地ウルダハに向かうために、旅支度を整えてきますわ。			……さすが、芸術通と名高いゲゲルジュ様。さっそく、次の公演予定地ウルダハに向かうために、旅支度を整えてきますわ。			初舞台を舞い踊れ							
あ、いや、待つのじゃ！　……じゃない、待ってはもらえぬか！			あ、いや、待つのじゃ！　……じゃない、待ってはもらえぬか！			初舞台を舞い踊れ							
専属契約は諦めるが……舞をもっと観たい気持ちは本物。どうか、今しばらく客人として滞在してはもらえぬか？そうしてもらえれば、資金援助に加え砂蠍衆へ推薦状を書こう！			専属契約は諦めるが……舞をもっと観たい気持ちは本物。どうか、今しばらく客人として滞在してはもらえぬか？そうしてもらえれば、資金援助に加え砂蠍衆へ推薦状を書こう！			初舞台を舞い踊れ							
それは、ありがたい話ですわ！冒険者でもあるForenameを除いた、ほかの座員のみの逗留でよければ可能かと思います。			それは、ありがたい話ですわ！冒険者でもあるForenameを除いた、ほかの座員のみの逗留でよければ可能かと思います。			初舞台を舞い踊れ							
それで構わんぞ～！では、砂蠍衆への根回しが済むまでの間、ぜひともラナーちゃんに、色んな舞を観せてほしいのじゃ～！			それで構わんぞ～！では、砂蠍衆への根回しが済むまでの間、ぜひともラナーちゃんに、色んな舞を観せてほしいのじゃ～！			初舞台を舞い踊れ							
あっ、じゃあ、その間こちらの踊り子さんとお話させて！エオルゼアでの舞について知りたいんだ！			あっ、じゃあ、その間こちらの踊り子さんとお話させて！エオルゼアでの舞について知りたいんだ！			初舞台を舞い踊れ							
それじゃ、私たちは決定を座員に伝えに行きましょう。みんな、エーテライトの近くで待ってくれているはずだから。			それじゃ、私たちは決定を座員に伝えに行きましょう。みんな、エーテライトの近くで待ってくれているはずだから。			初舞台を舞い踊れ							
踊り子さんの衣装、私の衣装よりさらに露出度が高いね。それとも、これはゲゲルジュさんの趣味……？……専属契約、断れてよかったよ。			踊り子さんの衣装、私の衣装よりさらに露出度が高いね。それとも、これはゲゲルジュさんの趣味……？……専属契約、断れてよかったよ。			初舞台を舞い踊れ							
先ほどの舞、お見事でしたよ！あなたの才能を、初見で見抜いた座長も流石ですが、その期待にしっかり答えてみせたあなたもアッパレですね。			先ほどの舞、お見事でしたよ！あなたの才能を、初見で見抜いた座長も流石ですが、その期待にしっかり答えてみせたあなたもアッパレですね。			初舞台を舞い踊れ							
ラナーちゃんの踊りがまだ観られる……。ぬほほほほ！　楽しい時間はまだまだ続くのじゃ！			ラナーちゃんの踊りがまだ観られる……。ぬほほほほ！　楽しい時間はまだまだ続くのじゃ！			初舞台を舞い踊れ							
いま、座員たちにも説明し終えたところよ。専属契約の話が出たときはどうしようかと思ったけど……結果的に、推薦状を書いてもらえることになって良かったわ。			いま、座員たちにも説明し終えたところよ。専属契約の話が出たときはどうしようかと思ったけど……結果的に、推薦状を書いてもらえることになって良かったわ。			初舞台を舞い踊れ							
パトロンに強く出られると、立場的に断るのが難しくて……。あなたがお話してくれたのが、効果的だったみたいね。彼が畏怖するほど、あなたの存在感が強かったのかしら。			パトロンに強く出られると、立場的に断るのが難しくて……。あなたがお話してくれたのが、効果的だったみたいね。彼が畏怖するほど、あなたの存在感が強かったのかしら。			初舞台を舞い踊れ							
というわけで、私たちはしばらくコスタ・デル・ソルに留まるわ。ラナーは、こちらの踊り子と交流して学ぶことがありそうだし、あなたも冒険の中で鍛錬を積んでおいてね！			というわけで、私たちはしばらくコスタ・デル・ソルに留まるわ。ラナーは、こちらの踊り子と交流して学ぶことがありそうだし、あなたも冒険の中で鍛錬を積んでおいてね！			初舞台を舞い踊れ							
ゲゲルジュの満足度			ゲゲルジュの満足度			初舞台を舞い踊れ							
さあ、まずは私に向かって「クローズドポジション」を！あなたのパートナーに選ぶの！			さあ、まずは私に向かって「クローズドポジション」を！あなたのパートナーに選ぶの！			初舞台を舞い踊れ							
パートナーに選んだ仲間には、あなたの踊りで力を与えられるわよ。			パートナーに選んだ仲間には、あなたの踊りで力を与えられるわよ。			初舞台を舞い踊れ							
私の指示と、あなたの踊りが合わされば、きっと、ゲゲルジュ様を満足させられるわ！			私の指示と、あなたの踊りが合わされば、きっと、ゲゲルジュ様を満足させられるわ！			初舞台を舞い踊れ							
お見事！　それじゃあ、開演といきましょう！			お見事！　それじゃあ、開演といきましょう！			初舞台を舞い踊れ							
さあ、私に向かって「クローズドポジション」を！			さあ、私に向かって「クローズドポジション」を！			初舞台を舞い踊れ							
開演はまだかの～？　はやく踊りを披露するのじゃ！			開演はまだかの～？　はやく踊りを披露するのじゃ！			初舞台を舞い踊れ							
それでは、ファルシャム一座の新作公演……。新たな踊り子が、戦いの中で才に目覚めるさまをご堪能ください！			それでは、ファルシャム一座の新作公演……。新たな踊り子が、戦いの中で才に目覚めるさまをご堪能ください！			初舞台を舞い踊れ							
おおっ、いよいよ開演か！　期待しておるぞ～！			おおっ、いよいよ開演か！　期待しておるぞ～！			初舞台を舞い踊れ							
Forename、まず、踊り子の基本的なステップを披露するわよ！			Forename、まず、踊り子の基本的なステップを披露するわよ！			初舞台を舞い踊れ							
「スタンダードステップ」から、正しいステップを2回踏んだあとに、「ダブル・スタンダードフィニッシュ」を決めてごらんなさい！			「スタンダードステップ」から、正しいステップを2回踏んだあとに、「ダブル・スタンダードフィニッシュ」を決めてごらんなさい！			初舞台を舞い踊れ							
その調子よ！　踊りによって、力が引き出されるでしょう？今度は、パートナーである私が踊るわね！			その調子よ！　踊りによって、力が引き出されるでしょう？今度は、パートナーである私が踊るわね！			初舞台を舞い踊れ							
どう？　あなたも力が湧いてきたはずよ！パートナー同士は、お互いに力を高めあうことができるの！			どう？　あなたも力が湧いてきたはずよ！パートナー同士は、お互いに力を高めあうことができるの！			初舞台を舞い踊れ							
さあ、もう一度、「スタンダードステップ」から、あなたの踊りを、ゲゲルジュ様に披露して！			さあ、もう一度、「スタンダードステップ」から、あなたの踊りを、ゲゲルジュ様に披露して！			初舞台を舞い踊れ							
おぉ～！　これが音に聞くファルシャム一座の舞か！なかなか、いい動きじゃぞ！			おぉ～！　これが音に聞くファルシャム一座の舞か！なかなか、いい動きじゃぞ！			初舞台を舞い踊れ							
うむ、さすがの美しさ……。これが東方由来の踊りというものか。			うむ、さすがの美しさ……。これが東方由来の踊りというものか。			初舞台を舞い踊れ							
ううむ……これが一座自慢の踊りか？なんだか、イマイチじゃのう……。			ううむ……これが一座自慢の踊りか？なんだか、イマイチじゃのう……。			初舞台を舞い踊れ							
何も考えずに「スタンダードステップ」を決めるだけでは駄目！途中のステップまで、しっかりと意識して！			何も考えずに「スタンダードステップ」を決めるだけでは駄目！途中のステップまで、しっかりと意識して！			初舞台を舞い踊れ							
むむ、打ち合わせは客の前で行うものではないぞ？ずいぶんと焦らすのう。			むむ、打ち合わせは客の前で行うものではないぞ？ずいぶんと焦らすのう。			初舞台を舞い踊れ							
ワシは、そなたらの踊りを待ち焦がれていたのじゃ！踊りを披露せぬなら、ワシはもう帰るぞ！			ワシは、そなたらの踊りを待ち焦がれていたのじゃ！踊りを披露せぬなら、ワシはもう帰るぞ！			初舞台を舞い踊れ							
おお、もっともっと踊りを観せておくれ！ワシも高まってきたぞ～！			おお、もっともっと踊りを観せておくれ！ワシも高まってきたぞ～！			初舞台を舞い踊れ							
ゲゲルジュ様も、興奮してきたようね……。次は公演用の魔法人形を相手に、戦う姿を観せるわよ！			ゲゲルジュ様も、興奮してきたようね……。次は公演用の魔法人形を相手に、戦う姿を観せるわよ！			初舞台を舞い踊れ							
ここからは、自由に踊ってご覧なさい！投擲武器による戦いの術も駆使して、敵を打ち倒すの！			ここからは、自由に踊ってご覧なさい！投擲武器による戦いの術も駆使して、敵を打ち倒すの！			初舞台を舞い踊れ							
さあ、次なる相手は、魔法を扱う魔法人形……。彼女彼のステップは、迫りくる魔法を凌駕できるか……ご覧あれ。			さあ、次なる相手は、魔法を扱う魔法人形……。彼女彼のステップは、迫りくる魔法を凌駕できるか……ご覧あれ。			初舞台を舞い踊れ							
おお～！　いよいよ、盛り上がってきそうじゃな！！			おお～！　いよいよ、盛り上がってきそうじゃな！！			初舞台を舞い踊れ							
むむっ……避けきれていないようじゃぞ～？			むむっ……避けきれていないようじゃぞ～？			初舞台を舞い踊れ							
いいぞ～！　敵を倒す姿も美麗じゃの！			いいぞ～！　敵を倒す姿も美麗じゃの！			初舞台を舞い踊れ							
「スタンダードステップ」を忘れずにね！その踊りで、攻撃と同時に自身や味方を強化できるわよ！			「スタンダードステップ」を忘れずにね！その踊りで、攻撃と同時に自身や味方を強化できるわよ！			初舞台を舞い踊れ							
うむ！　素晴らしい踊りじゃぞ！次は、次は……どんな踊りを観せてくれるのじゃ～！？			うむ！　素晴らしい踊りじゃぞ！次は、次は……どんな踊りを観せてくれるのじゃ～！？			初舞台を舞い踊れ							
ゲゲルジュ様の興奮も、まもなく最高潮かしら。ここで真打ち登場……ラナーとの一騎打ちよ！			ゲゲルジュ様の興奮も、まもなく最高潮かしら。ここで真打ち登場……ラナーとの一騎打ちよ！			初舞台を舞い踊れ							
最後に彼女彼の前に立ちはだかるは、おなじ「踊り子」！踊りの終いに、立っているのは果たしてどちらか……。			最後に彼女彼の前に立ちはだかるは、おなじ「踊り子」！踊りの終いに、立っているのは果たしてどちらか……。			初舞台を舞い踊れ							
踊り子同士の共演……一騎打ちとな！？胸が高まってきた……！　彼女ら彼らの美しさに目が眩みそうじゃ～！！			踊り子同士の共演……一騎打ちとな！？胸が高まってきた……！　彼女ら彼らの美しさに目が眩みそうじゃ～！！			初舞台を舞い踊れ							
キミの踊り、私まで高ぶってきたよ……。さーて、私の踊りに負けないでね……更に、更に舞い踊ろう！			キミの踊り、私まで高ぶってきたよ……。さーて、私の踊りに負けないでね……更に、更に舞い踊ろう！			初舞台を舞い踊れ							
ぬほ～～！　踊り子同士の競演が、こんなにも見事とは！			ぬほ～～！　踊り子同士の競演が、こんなにも見事とは！			初舞台を舞い踊れ							
目の肥えたワシが、思わず見惚れてしまった……。なんと華麗な踊りなのじゃ！			目の肥えたワシが、思わず見惚れてしまった……。なんと華麗な踊りなのじゃ！			初舞台を舞い踊れ							
ぬおおおぉ！　目に水があああぁ！			ぬおおおぉ！　目に水があああぁ！			初舞台を舞い踊れ							
おおおおおおお～～！！ あっぱれじゃ～～～～～！！！			おおおおおおお～～！！ あっぱれじゃ～～～～～！！！			初舞台を舞い踊れ							
踊りの技も、身体に馴染んできたかな？そこに立ちはだかる敵役……ここは観客を驚愕させないとね！			踊りの技も、身体に馴染んできたかな？そこに立ちはだかる敵役……ここは観客を驚愕させないとね！			初舞台を舞い踊れ							
公演を彩る、豪華な舞……。まだまだ行くよ！　炎とともに舞い踊る！			公演を彩る、豪華な舞……。まだまだ行くよ！　炎とともに舞い踊る！			初舞台を舞い踊れ							
さすが……キミの踊り、どんどんキレが増してるよ！こっちも、負けてられないね！			さすが……キミの踊り、どんどんキレが増してるよ！こっちも、負けてられないね！			初舞台を舞い踊れ							
もっともっと、派手にいこうか！水よ、私とともに踊り狂え！			もっともっと、派手にいこうか！水よ、私とともに踊り狂え！			初舞台を舞い踊れ							
華麗なフィニッシュを見せてあげるよ！			華麗なフィニッシュを見せてあげるよ！			初舞台を舞い踊れ							
風すらも、私の意のままに……！			風すらも、私の意のままに……！			初舞台を舞い踊れ							
キミもゲゲルジュさんも、まとめて魅了してあげる！			キミもゲゲルジュさんも、まとめて魅了してあげる！			初舞台を舞い踊れ							
私のステップを見極められるかな？			私のステップを見極められるかな？			初舞台を舞い踊れ							
※本クエストは、ジョブ「踊り子」の修得クエストです。リムサ・ロミンサの下甲板層にいる興奮した様子の海都民は、冒険者に勧めたい興行があるようだ。			※本クエストは、ジョブ「踊り子」の修得クエストです。リムサ・ロミンサの下甲板層にいる興奮した様子の海都民は、冒険者に勧めたい興行があるようだ。			踊り子の到来							
ラザハンから踊り子の一座がやってきているらしい。リムサ・ロミンサの下甲板層で、一座の花形である「踊り子」と話そう。			ラザハンから踊り子の一座がやってきているらしい。リムサ・ロミンサの下甲板層で、一座の花形である「踊り子」と話そう。			踊り子の到来							
踊り子ラナー・ミーゴは、公演に備え準備をしていた。リムサ・ロミンサの下甲板層の「指定地点」で待機して開演を待とう。			踊り子ラナー・ミーゴは、公演に備え準備をしていた。リムサ・ロミンサの下甲板層の「指定地点」で待機して開演を待とう。			踊り子の到来							
ファルシャム一座の座長ナシュメラから踊り子にスカウトされた。リムサ・ロミンサの下甲板層で「ナシュメラ」と話そう。			ファルシャム一座の座長ナシュメラから踊り子にスカウトされた。リムサ・ロミンサの下甲板層で「ナシュメラ」と話そう。			踊り子の到来							
「踊り子」としてファルシャム一座の興行に参加することになった。渡された「ハイスチールチャクラム」を装備し、もう一度「ナシュメラ」と話そう。			「踊り子」としてファルシャム一座の興行に参加することになった。渡された「ハイスチールチャクラム」を装備し、もう一度「ナシュメラ」と話そう。			踊り子の到来							
一座の踊り子と話す			一座の踊り子と話す			踊り子の到来							
指定地点で待機			指定地点で待機			踊り子の到来							
ナシュメラと話す			ナシュメラと話す			踊り子の到来							
姉ちゃん兄ちゃん！　急ぎじゃなけりゃ、必見の興行があるぜ！今、リムサ・ロミンサに近東の都市ラザハンから、「踊り子」の一座がやってきているんだ！			姉ちゃん兄ちゃん！　急ぎじゃなけりゃ、必見の興行があるぜ！今、リムサ・ロミンサに近東の都市ラザハンから、「踊り子」の一座がやってきているんだ！			踊り子の到来							
