弓術士ギルドマスター、ルシアヌの周囲で、何やら揉め事があるようだが……。			弓術士ギルドマスター、ルシアヌの周囲で、何やら揉め事があるようだが……。			迷い無き瞳							
弓術士ギルドの一員となるに相応しい力があることを証明するため、「スクウィレル」「レディバグ」「フォレストファンガー」を3体ずつ討伐してこよう。			弓術士ギルドの一員となるに相応しい力があることを証明するため、「スクウィレル」「レディバグ」「フォレストファンガー」を3体ずつ討伐してこよう。			弓術士の射抜くもの							
指定された魔物の討伐を終えた。「弓術士ギルド」で待つ「ルシアヌ」に報告しよう。			指定された魔物の討伐を終えた。「弓術士ギルド」で待つ「ルシアヌ」に報告しよう。			弓術士の射抜くもの							
ギルドマスタールシアヌに認められ、弓術士ギルドの一員となった冒険者。弓術士に求められるのは「射抜く」ことだというルシアヌ。良い弓術士となるために、まずは一矢を一歩と思い、丁寧に放つよう教えられた。弓の腕を磨き、ふたたびギルドを訪れよう。※弓術士のレベルが5以上になると、ルシアヌから次の弓術士クエストを受注することができます。			ギルドマスタールシアヌに認められ、弓術士ギルドの一員となった冒険者。弓術士に求められるのは「射抜く」ことだというルシアヌ。良い弓術士となるために、まずは一矢を一歩と思い、丁寧に放つよう教えられた。弓の腕を磨き、ふたたびギルドを訪れよう。※弓術士のレベルが5以上になると、ルシアヌから次の弓術士クエストを受注することができます。			弓術士の射抜くもの							
ルシアヌと話す			ルシアヌと話す			弓術士の射抜くもの							
弓術でスクウィレルを討伐			弓術でスクウィレルを討伐			弓術士の射抜くもの							
弓術でレディバグを討伐			弓術でレディバグを討伐			弓術士の射抜くもの							
弓術でフォレストファンガーを討伐			弓術でフォレストファンガーを討伐			弓術士の射抜くもの							
弓術士ギルドのルシアヌと話す			弓術士ギルドのルシアヌと話す			弓術士の射抜くもの							
……どう？「弓術士ギルド」へ入門する決心はついた？			……どう？「弓術士ギルド」へ入門する決心はついた？			弓術士の射抜くもの							
見かけによらず、優柔不断なのかしら？まあいいわ、ゆっくり考えてちょうだい。			見かけによらず、優柔不断なのかしら？まあいいわ、ゆっくり考えてちょうだい。			弓術士の射抜くもの							
迷いがあるうちに声をかけたら、「あの方」にはすぐ見ぬかれてしまうからね。しっかりと心が定まったら、また声をかけて。			迷いがあるうちに声をかけたら、「あの方」にはすぐ見ぬかれてしまうからね。しっかりと心が定まったら、また声をかけて。			弓術士の射抜くもの							
……迷いはない、って表情ね。じゃあ、ギルドマスター「ルシアヌ」様を紹介するわ。彼女に、あなたの決意を直接伝えるのよ。			……迷いはない、って表情ね。じゃあ、ギルドマスター「ルシアヌ」様を紹介するわ。彼女に、あなたの決意を直接伝えるのよ。			弓術士の射抜くもの							
緊張しなくても大丈夫よ。ルシアヌ様はとてもお優しい方。彼女に相談を聞いてほしくてギルドを訪ねる人もいるほどなんだから。			緊張しなくても大丈夫よ。ルシアヌ様はとてもお優しい方。彼女に相談を聞いてほしくてギルドを訪ねる人もいるほどなんだから。			弓術士の射抜くもの							
ルシアヌ様は奥の稽古場にいらっしゃるわ。さあ、行ってらっしゃい。			ルシアヌ様は奥の稽古場にいらっしゃるわ。さあ、行ってらっしゃい。			弓術士の射抜くもの							
はじめまして。弓術を学びに来た冒険者の方ね？			はじめまして。弓術を学びに来た冒険者の方ね？			弓術士の射抜くもの							
ようこそ弓術士ギルドへ。わたしはルシアヌ。弓術士ギルドのギルドマスターよ。弓術に興味を持ってくれたこと、嬉しく思うわ。			ようこそ弓術士ギルドへ。わたしはルシアヌ。弓術士ギルドのギルドマスターよ。弓術に興味を持ってくれたこと、嬉しく思うわ。			弓術士の射抜くもの							
弓術士の役割や戦い方について、それからこのギルドで教えていることについて、簡単に説明してあげるわね。			弓術士の役割や戦い方について、それからこのギルドで教えていることについて、簡単に説明してあげるわね。			弓術士の射抜くもの							
弓術士最大の長所は、その「間合い」にあるわ。剣や槍といった近接武器とは異なり、遠方から敵を射ることができるの。			弓術士最大の長所は、その「間合い」にあるわ。剣や槍といった近接武器とは異なり、遠方から敵を射ることができるの。			弓術士の射抜くもの							
確かに、一撃の強烈さは目を見張るほどではないけれど、その技を磨けば、敵の足を射抜いて足止めしたり、毒矢を用いて体力を奪ったり、多彩な立ち回りができるの。			確かに、一撃の強烈さは目を見張るほどではないけれど、その技を磨けば、敵の足を射抜いて足止めしたり、毒矢を用いて体力を奪ったり、多彩な立ち回りができるの。			弓術士の射抜くもの							
さらに、熟練の弓術士ともなれば、広範囲に雨あられと矢を降らせることもできるわ。			さらに、熟練の弓術士ともなれば、広範囲に雨あられと矢を降らせることもできるわ。			弓術士の射抜くもの							
敵と間合いを取ることで生じる広い視野を活かし、的確に戦況を判断し、最適な結果を生む矢を放つ。こうして戦場を支配していくのよ。			敵と間合いを取ることで生じる広い視野を活かし、的確に戦況を判断し、最適な結果を生む矢を放つ。こうして戦場を支配していくのよ。			弓術士の射抜くもの							
そう。弓術士の役目は、敵の隙を作り出すこと。熟達した弓術士が放つ、その一矢は、確実に戦況を揺るがすことになるでしょう。			そう。弓術士の役目は、敵の隙を作り出すこと。熟達した弓術士が放つ、その一矢は、確実に戦況を揺るがすことになるでしょう。			弓術士の射抜くもの							
私がこの「弓術士ギルド」で教えているのは、相手の隙を確実に「射抜く」ために、ものごとの本質を捉える「目」を鍛えるということ。			私がこの「弓術士ギルド」で教えているのは、相手の隙を確実に「射抜く」ために、ものごとの本質を捉える「目」を鍛えるということ。			弓術士の射抜くもの							
ギルドに入門するのならば、辛い道であっても、目をそらすことなく弓術と向きあうことを約束してほしいの。			ギルドに入門するのならば、辛い道であっても、目をそらすことなく弓術と向きあうことを約束してほしいの。			弓術士の射抜くもの							
さあ、どうかしら。あなたの答えを、聞かせてもらえる？			さあ、どうかしら。あなたの答えを、聞かせてもらえる？			弓術士の射抜くもの							
弓術と向き合うと約束する？			弓術と向き合うと約束する？			弓術士の射抜くもの							
はい			はい			弓術士の射抜くもの							
いいえ			いいえ			弓術士の射抜くもの							
……そう、残念だわ。でも、あなたは自分の心がよく見えているみたいね。			……そう、残念だわ。でも、あなたは自分の心がよく見えているみたいね。			弓術士の射抜くもの							
その姿勢があれば、きっと弓術とも向き合えるでしょう。もしも弓術士ギルドに入りたくなったらいつでも声をかけてね。待っているわ。			その姿勢があれば、きっと弓術とも向き合えるでしょう。もしも弓術士ギルドに入りたくなったらいつでも声をかけてね。待っているわ。			弓術士の射抜くもの							
……迷いはなさそうね。では、あなたを弓術士ギルドの一員として認める前に、ひとつ「試練」を与えます。			……迷いはなさそうね。では、あなたを弓術士ギルドの一員として認める前に、ひとつ「試練」を与えます。			弓術士の射抜くもの							
都市を出てすぐの場所にいる、「スクウィレル」、「レディバグ」、そして「フォレストファンガー」。これらの魔物を、3体ずつ倒してみせて。			都市を出てすぐの場所にいる、「スクウィレル」、「レディバグ」、そして「フォレストファンガー」。これらの魔物を、3体ずつ倒してみせて。			弓術士の射抜くもの							
その弓で、あなたがギルドの一員となるに相応しい力を持っていることを、証明してほしいの。			その弓で、あなたがギルドの一員となるに相応しい力を持っていることを、証明してほしいの。			弓術士の射抜くもの							
すべての魔物を倒せたら、ここへ戻ってきて。健闘を祈っているわ。			すべての魔物を倒せたら、ここへ戻ってきて。健闘を祈っているわ。			弓術士の射抜くもの							
おかえりなさい。どうやら無事、魔物を倒せたみたいね。			おかえりなさい。どうやら無事、魔物を倒せたみたいね。			弓術士の射抜くもの							
いいでしょう。あなたの力と、誠実な姿勢を認め……我が弓術士ギルドの一員となることを許します。			いいでしょう。あなたの力と、誠実な姿勢を認め……我が弓術士ギルドの一員となることを許します。			弓術士の射抜くもの							
弓術士Forename Surname、弓を引くものとして、共に高みを目指しましょう。あらためて、よろしくね。			弓術士Forename Surname、弓を引くものとして、共に高みを目指しましょう。あらためて、よろしくね。			弓術士の射抜くもの							
あなたに、この「討伐手帳」を渡すわ。この手帳には、弓術の鍛錬に適した相手が記されているの。			あなたに、この「討伐手帳」を渡すわ。この手帳には、弓術の鍛錬に適した相手が記されているの。			弓術士の射抜くもの							
鍛錬の方法は人それぞれだけど、もし迷うことがあったら参考にしてみて。			鍛錬の方法は人それぞれだけど、もし迷うことがあったら参考にしてみて。			弓術士の射抜くもの							
あなたが今すべきことは、技の意味を考えながら、丁寧に矢を放つことよ。その一矢が、あなたの一歩だと思って、大切に。			あなたが今すべきことは、技の意味を考えながら、丁寧に矢を放つことよ。その一矢が、あなたの一歩だと思って、大切に。			弓術士の射抜くもの							
鍛錬を積み、弓を引くものとして、あなたの目が開き始めた頃、また会いましょう。その時を、楽しみに待っているわね。			鍛錬を積み、弓を引くものとして、あなたの目が開き始めた頃、また会いましょう。その時を、楽しみに待っているわね。			弓術士の射抜くもの							
「弓術士」のクラスクエストが開始されました。次のクエストは「レベル5」以上で受注可能になります。レベルを上げ、再度ギルドを訪れてください。			「弓術士」のクラスクエストが開始されました。次のクエストは「レベル5」以上で受注可能になります。レベルを上げ、再度ギルドを訪れてください。			弓術士の射抜くもの							
弓術士ギルドマスター、ルシアヌは、冒険者に弓術の基本を学ばせようとしている。			弓術士ギルドマスター、ルシアヌは、冒険者に弓術の基本を学ばせようとしている。			ふたつの目と弓							
弓術の基本は「見る」ということ。練習として「グリダニア新市街」に設置された「弓術用の的」を6つ探し、「ヘヴィショット」で破壊してこよう。			弓術の基本は「見る」ということ。練習として「グリダニア新市街」に設置された「弓術用の的」を6つ探し、「ヘヴィショット」で破壊してこよう。			ふたつの目と弓							
すべての弓術用の的を破壊することができた。「弓術士ギルド」の「ルシアヌ」に報告しよう。			すべての弓術用の的を破壊することができた。「弓術士ギルド」の「ルシアヌ」に報告しよう。			ふたつの目と弓							
次の試練は、魔物の特徴を見て、有効な戦い方を探すことだと言う。北部森林に赴き、「コチュー」と「オポオポ」を8体ずつ討伐しよう。			次の試練は、魔物の特徴を見て、有効な戦い方を探すことだと言う。北部森林に赴き、「コチュー」と「オポオポ」を8体ずつ討伐しよう。			ふたつの目と弓							
指定された魔物の討伐を終えた。「弓術士ギルド」に戻り「ルシアヌ」に報告しよう。			指定された魔物の討伐を終えた。「弓術士ギルド」に戻り「ルシアヌ」に報告しよう。			ふたつの目と弓							
試練をこなした冒険者から、成長を感じられたと言うルシアヌ。先輩であるレイ、シルヴェルも紹介され、あらためて弓術士ギルドの一員として認められたようだ。今回学んだことを胸に、さらに弓の腕を磨こう。※弓術士のレベルが10以上になると、ルシアヌから次の弓術士クエストを受注することができます。			試練をこなした冒険者から、成長を感じられたと言うルシアヌ。先輩であるレイ、シルヴェルも紹介され、あらためて弓術士ギルドの一員として認められたようだ。今回学んだことを胸に、さらに弓の腕を磨こう。※弓術士のレベルが10以上になると、ルシアヌから次の弓術士クエストを受注することができます。			ふたつの目と弓							
弓術用の的をヘヴィショットで破壊			弓術用の的をヘヴィショットで破壊			ふたつの目と弓							
ルシアヌに報告			ルシアヌに報告			ふたつの目と弓							
オポオポを討伐			オポオポを討伐			ふたつの目と弓							
コチューを討伐			コチューを討伐			ふたつの目と弓							
ルシアヌに報告			ルシアヌに報告			ふたつの目と弓							
そろそろ来る頃だと思っていたわ。弓の扱いには慣れたかしら？			そろそろ来る頃だと思っていたわ。弓の扱いには慣れたかしら？			ふたつの目と弓							
今回は、弓術の基本、そして真髄である「見ること」に馴染んでもらおうと思うの。			今回は、弓術の基本、そして真髄である「見ること」に馴染んでもらおうと思うの。			ふたつの目と弓							
「見る」と言うのは、ただ視界に入れることではないわ。あなたの意思をもって、人や魔物、事象を「見る」のよ。			「見る」と言うのは、ただ視界に入れることではないわ。あなたの意思をもって、人や魔物、事象を「見る」のよ。			ふたつの目と弓							
目を凝らし、どんな小さなことも何ひとつ見逃さないように集中すること。今回はその練習として、「探す」ことをしてもらうわ。			目を凝らし、どんな小さなことも何ひとつ見逃さないように集中すること。今回はその練習として、「探す」ことをしてもらうわ。			ふたつの目と弓							
グリダニアの都市の中に「弓術用の的」を仕掛けておいたの。目を凝らして「弓術用の的」を探し、壊すことが今回の課題よ。			グリダニアの都市の中に「弓術用の的」を仕掛けておいたの。目を凝らして「弓術用の的」を探し、壊すことが今回の課題よ。			ふたつの目と弓							
弓術用の的は「ヘヴィショット」で壊せるわ。全部で6つ、見つけて壊すことができたらギルドに戻ってくるのよ。			弓術用の的は「ヘヴィショット」で壊せるわ。全部で6つ、見つけて壊すことができたらギルドに戻ってくるのよ。			ふたつの目と弓							
（仮）Eobjへのスキルアクションtodo待ちです。			（仮）Eobjへのスキルアクションtodo待ちです。			ふたつの目と弓							
弓術用の的を見つけて壊せたようね。どう？　「見ること」のコツを、掴めたかしら？			弓術用の的を見つけて壊せたようね。どう？　「見ること」のコツを、掴めたかしら？			ふたつの目と弓							
それでは、次は実戦に移ってみましょうか。北部森林へ向かい、魔物を8体ずつ倒してらっしゃい。			それでは、次は実戦に移ってみましょうか。北部森林へ向かい、魔物を8体ずつ倒してらっしゃい。			ふたつの目と弓							
討伐の対象となるのは、「コチュー」と「オポオポ」。さっきは的だったけど、今度は魔物よ。動きまわるのは勿論、反撃もしてくるでしょう。			討伐の対象となるのは、「コチュー」と「オポオポ」。さっきは的だったけど、今度は魔物よ。動きまわるのは勿論、反撃もしてくるでしょう。			ふたつの目と弓							
ただし、魔物を探すことは難しくはない。この実戦であなたが「探さなければならないもの」は、さっきの練習とは別のもの。			ただし、魔物を探すことは難しくはない。この実戦であなたが「探さなければならないもの」は、さっきの練習とは別のもの。			ふたつの目と弓							
それは魔物の「特徴」よ。例えば、コチューは体力を奪う毒を撒き散らすし、オポオポは、離れた場所から強力な一撃を繰り出すわ。			それは魔物の「特徴」よ。例えば、コチューは体力を奪う毒を撒き散らすし、オポオポは、離れた場所から強力な一撃を繰り出すわ。			ふたつの目と弓							
こういった「特徴」を持った敵とは、どうやって戦えばいいかしら？何も考えずに戦っては、苦戦することになるでしょうね。			こういった「特徴」を持った敵とは、どうやって戦えばいいかしら？何も考えずに戦っては、苦戦することになるでしょうね。			ふたつの目と弓							
次の試練は、相手がどんな技を使うのか、そして、どうしたら優位に立てるかの答えを探しながら、戦ってくることよ。			次の試練は、相手がどんな技を使うのか、そして、どうしたら優位に立てるかの答えを探しながら、戦ってくることよ。			ふたつの目と弓							
さあ、いってらっしゃい。			さあ、いってらっしゃい。			ふたつの目と弓							
（仮）ルシアヌに報告。NCutあり。			（仮）ルシアヌに報告。NCutあり。			ふたつの目と弓							
おかえりなさい、Forename。どう？　有効な戦い方を見つけられたかしら？			おかえりなさい、Forename。どう？　有効な戦い方を見つけられたかしら？			ふたつの目と弓							
今回のような、一筋縄ではいかない相手に、正面から射るだけでは、ただの「力勝負」になってしまう。そうした戦い方は、無謀というものよ。			今回のような、一筋縄ではいかない相手に、正面から射るだけでは、ただの「力勝負」になってしまう。そうした戦い方は、無謀というものよ。			ふたつの目と弓							
そんな時に、あなたの「技」が有効になるわ。慎重に狙いを定めて、強烈な一矢を放つのはもちろん、標的の目を傷つけて視界を奪い、ミスを誘うといった風にね。			そんな時に、あなたの「技」が有効になるわ。慎重に狙いを定めて、強烈な一矢を放つのはもちろん、標的の目を傷つけて視界を奪い、ミスを誘うといった風にね。			ふたつの目と弓							
効率的に敵を追い込むために、技を使い分ける。もしあなたが、そのことに気づけたのなら……今回の試験は合格ね。			効率的に敵を追い込むために、技を使い分ける。もしあなたが、そのことに気づけたのなら……今回の試験は合格ね。			ふたつの目と弓							
……レイ、……シルヴェル。あなたたちはどう思う？			……レイ、……シルヴェル。あなたたちはどう思う？			ふたつの目と弓							
アタシは悪くないと思うな。そいつの弓は、熱心で、いい弓だ。			アタシは悪くないと思うな。そいつの弓は、熱心で、いい弓だ。			ふたつの目と弓							
よ、初めまして。アタシはレイ・アリアポー。弓術士ギルドに入って2年の、アンタの姉弟子ってヤツだ。			よ、初めまして。アタシはレイ・アリアポー。弓術士ギルドに入って2年の、アンタの姉弟子ってヤツだ。			ふたつの目と弓							
弓術のセンスはあるみたいだが……集中しすぎて周りが見えなくなるってのは、ちょっとばかし、危ないぜ？			弓術のセンスはあるみたいだが……集中しすぎて周りが見えなくなるってのは、ちょっとばかし、危ないぜ？			ふたつの目と弓							
アンタが魔物を狩っているとき、すぐ近くでアタシが見てたの、気づいてなかったろ？			アンタが魔物を狩っているとき、すぐ近くでアタシが見てたの、気づいてなかったろ？			ふたつの目と弓							
……「周りが見えなくなる」？お前が言えたことじゃないだろう、偉そうに。			……「周りが見えなくなる」？お前が言えたことじゃないだろう、偉そうに。			ふたつの目と弓							
冒険者、お前の弓は無駄が多い。			冒険者、お前の弓は無駄が多い。			ふたつの目と弓							
第一に体幹が歪んでいるし、肘の位置も低い。対象の芯を捉えるまでに時間がかかりすぎているし、矢を番えてから放つまでも、迷いが多くブレすぎだ。			第一に体幹が歪んでいるし、肘の位置も低い。対象の芯を捉えるまでに時間がかかりすぎているし、矢を番えてから放つまでも、迷いが多くブレすぎだ。			ふたつの目と弓							
……つまり、すべてが駄目だな。弓術士としては致命的だ。			……つまり、すべてが駄目だな。弓術士としては致命的だ。			ふたつの目と弓							
ルシアヌ。俺は、こいつは弓術に相応しいとは思えん。今からでもギルドから除名した方が、互いの為だ。			ルシアヌ。俺は、こいつは弓術に相応しいとは思えん。今からでもギルドから除名した方が、互いの為だ。			ふたつの目と弓							
大体、「よそ者」ごときに誇り高き「弓術」が理解できる訳がなかろう。			大体、「よそ者」ごときに誇り高き「弓術」が理解できる訳がなかろう。			ふたつの目と弓							
こんなやつらに時間を割くだけ無駄だ。鍛錬に戻らせてもらう。			こんなやつらに時間を割くだけ無駄だ。鍛錬に戻らせてもらう。			ふたつの目と弓							
……とまあ、今のクッソむかつく男は「シルヴェル」。一応、アンタとアタシの兄弟子って立場のヤツ。			……とまあ、今のクッソむかつく男は「シルヴェル」。一応、アンタとアタシの兄弟子って立場のヤツ。			ふたつの目と弓							
昔は「神勇隊」にいたんだとさ。あー、あんなヤツの言うことなんて気にすんなよ？あいつは、誰にでもあんな調子だ。			昔は「神勇隊」にいたんだとさ。あー、あんなヤツの言うことなんて気にすんなよ？あいつは、誰にでもあんな調子だ。			ふたつの目と弓							
何かにつけて、森がー、精霊がー、って言う典型的なフォレスター野郎の言うことなんざ……っと……			何かにつけて、森がー、精霊がー、って言う典型的なフォレスター野郎の言うことなんざ……っと……			ふたつの目と弓							
いいのよ。フォレスターの中には、自尊心が高く他種族を好ましく思っていない者が多いのは確かだしね。			いいのよ。フォレスターの中には、自尊心が高く他種族を好ましく思っていない者が多いのは確かだしね。			ふたつの目と弓							
同じものを見るにしても、こうも沢山の意見があるの。どれが正解かではなく、自分の意思でどんな見方を選ぶのか……			同じものを見るにしても、こうも沢山の意見があるの。どれが正解かではなく、自分の意思でどんな見方を選ぶのか……			ふたつの目と弓							
……ものごとをどう捉えるか。それが大切よ。			……ものごとをどう捉えるか。それが大切よ。			ふたつの目と弓							
Forename、あなたはとても素直な、よい目をしている。ぜひ、この調子で腕を磨いてちょうだい。			Forename、あなたはとても素直な、よい目をしている。ぜひ、この調子で腕を磨いてちょうだい。			ふたつの目と弓							
あなたの「目」で、ものを見ることを忘れないでね。			あなたの「目」で、ものを見ることを忘れないでね。			ふたつの目と弓							
弓術士ギルドの受付、アセリナは、ギルドへの入門手続きをするにあたって、冒険者の決心を確かめようとしているようだ。			弓術士ギルドの受付、アセリナは、ギルドへの入門手続きをするにあたって、冒険者の決心を確かめようとしているようだ。			弓術士の射抜くもの							
弓術士ギルドの受付からギルドマスターのルシアヌを紹介された。ギルド奥にいる「ルシアヌ」に声をかけよう。			弓術士ギルドの受付からギルドマスターのルシアヌを紹介された。ギルド奥にいる「ルシアヌ」に声をかけよう。			弓術士の射抜くもの							
弓術士に求められるのは弱点を確実に「射抜く」ことであり、弓術士ギルドでは、そのための目を鍛える指導をしているという。ギルドマスター、ルシアヌから、弓術士と名乗ることを許された冒険者。彼女から受け取った「ウェザードショートボウ」を装備し、もう一度「ルシアヌ」に声をかけよう。			弓術士に求められるのは弱点を確実に「射抜く」ことであり、弓術士ギルドでは、そのための目を鍛える指導をしているという。ギルドマスター、ルシアヌから、弓術士と名乗ることを許された冒険者。彼女から受け取った「ウェザードショートボウ」を装備し、もう一度「ルシアヌ」に声をかけよう。			弓術士の射抜くもの							
ルシアヌと話す			ルシアヌと話す			弓術士の射抜くもの							
……どう？「弓術士ギルド」へ入門する決心はついた？			……どう？「弓術士ギルド」へ入門する決心はついた？			弓術士の射抜くもの							
見かけによらず、優柔不断なのかしら？まあいいわ、ゆっくり考えてちょうだい。			見かけによらず、優柔不断なのかしら？まあいいわ、ゆっくり考えてちょうだい。			弓術士の射抜くもの							
迷いがあるうちに声をかけたら、「あの方」にはすぐ見ぬかれてしまうからね。しっかりと心が定まったら、また声をかけて。			迷いがあるうちに声をかけたら、「あの方」にはすぐ見ぬかれてしまうからね。しっかりと心が定まったら、また声をかけて。			弓術士の射抜くもの							
……迷いはない、って表情ね。じゃあ、ギルドマスター「ルシアヌ」様を紹介するわ。彼女に、あなたの決意を直接伝えるのよ。			……迷いはない、って表情ね。じゃあ、ギルドマスター「ルシアヌ」様を紹介するわ。彼女に、あなたの決意を直接伝えるのよ。			弓術士の射抜くもの							
緊張しなくても大丈夫よ。ルシアヌ様はとてもお優しい方。彼女に相談を聞いてほしくてギルドを訪ねる人もいるほどなんだから。			緊張しなくても大丈夫よ。ルシアヌ様はとてもお優しい方。彼女に相談を聞いてほしくてギルドを訪ねる人もいるほどなんだから。			弓術士の射抜くもの							
ルシアヌ様は奥の稽古場にいらっしゃるわ。さあ、行ってらっしゃい。			ルシアヌ様は奥の稽古場にいらっしゃるわ。さあ、行ってらっしゃい。			弓術士の射抜くもの							
はじめまして。弓術を学びに来た冒険者の方ね？			はじめまして。弓術を学びに来た冒険者の方ね？			弓術士の射抜くもの							
ようこそ弓術士ギルドへ。わたしはルシアヌ。弓術士ギルドのギルドマスターよ。弓術に興味を持ってくれたこと、嬉しく思うわ。			ようこそ弓術士ギルドへ。わたしはルシアヌ。弓術士ギルドのギルドマスターよ。弓術に興味を持ってくれたこと、嬉しく思うわ。			弓術士の射抜くもの							
弓術士の役割や戦い方について、それからこのギルドで教えていることについて、簡単に説明してあげるわね。			弓術士の役割や戦い方について、それからこのギルドで教えていることについて、簡単に説明してあげるわね。			弓術士の射抜くもの							
弓術士最大の長所は、その「間合い」にあるわ。剣や槍といった近接武器とは異なり、遠方から敵を射ることができるの。			弓術士最大の長所は、その「間合い」にあるわ。剣や槍といった近接武器とは異なり、遠方から敵を射ることができるの。			弓術士の射抜くもの							
確かに、一撃の強烈さは目を見張るほどではないけれど、その技を磨けば、敵の足を射抜いて足止めしたり、毒矢を用いて体力を奪ったり、多彩な立ち回りができるの。			確かに、一撃の強烈さは目を見張るほどではないけれど、その技を磨けば、敵の足を射抜いて足止めしたり、毒矢を用いて体力を奪ったり、多彩な立ち回りができるの。			弓術士の射抜くもの							
さらに、熟練の弓術士ともなれば、広範囲に雨あられと矢を降らせることもできるわ。			さらに、熟練の弓術士ともなれば、広範囲に雨あられと矢を降らせることもできるわ。			弓術士の射抜くもの							
敵と間合いを取ることで生じる広い視野を活かし、的確に戦況を判断し、最適な結果を生む矢を放つ。こうして戦場を支配していくのよ。			敵と間合いを取ることで生じる広い視野を活かし、的確に戦況を判断し、最適な結果を生む矢を放つ。こうして戦場を支配していくのよ。			弓術士の射抜くもの							
そう。弓術士の役目は、敵の隙を作り出すこと。熟達した弓術士が放つ、その一矢は、確実に戦況を揺るがすことになるでしょう。			そう。弓術士の役目は、敵の隙を作り出すこと。熟達した弓術士が放つ、その一矢は、確実に戦況を揺るがすことになるでしょう。			弓術士の射抜くもの							
私がこの「弓術士ギルド」で教えているのは、相手の隙を確実に「射抜く」ために、ものごとの本質を捉える「目」を鍛えるということ。			私がこの「弓術士ギルド」で教えているのは、相手の隙を確実に「射抜く」ために、ものごとの本質を捉える「目」を鍛えるということ。			弓術士の射抜くもの							
辛い道であっても、目をそらすことなく弓術と向きあうと約束してくれるのなら……あなたを、ひとりの「弓術士」として認めましょう。			辛い道であっても、目をそらすことなく弓術と向きあうと約束してくれるのなら……あなたを、ひとりの「弓術士」として認めましょう。			弓術士の射抜くもの							
さあ、どうかしら。あなたの答えを、聞かせてもらえる？			さあ、どうかしら。あなたの答えを、聞かせてもらえる？			弓術士の射抜くもの							
弓術と向き合うと約束する？			弓術と向き合うと約束する？			弓術士の射抜くもの							
はい			はい			弓術士の射抜くもの							
いいえ			いいえ			弓術士の射抜くもの							
……そう、残念だわ。でも、あなたは自分の心がよく見えているみたいね。			……そう、残念だわ。でも、あなたは自分の心がよく見えているみたいね。			弓術士の射抜くもの							
その姿勢があれば、きっと弓術とも向き合えるでしょう。もしも弓術士ギルドに入りたくなったらいつでも声をかけてね。待っているわ。			その姿勢があれば、きっと弓術とも向き合えるでしょう。もしも弓術士ギルドに入りたくなったらいつでも声をかけてね。待っているわ。			弓術士の射抜くもの							
……いいでしょう。あなたに「弓術士」の名を、お預けします。			……いいでしょう。あなたに「弓術士」の名を、お預けします。			弓術士の射抜くもの							
あなたの討伐手帳にも、弓術の鍛錬に相応しい相手を記した項を加えてあげましょう。			あなたの討伐手帳にも、弓術の鍛錬に相応しい相手を記した項を加えてあげましょう。			弓術士の射抜くもの							
そして、弓術士としての第一歩を踏み出すあなたに、この「ウェザードショートボウ」を贈ります。			そして、弓術士としての第一歩を踏み出すあなたに、この「ウェザードショートボウ」を贈ります。			弓術士の射抜くもの							
最後にひとつだけ……あなたを弓術士ギルドの一員として認めるために、「試練」を与えさせてもらうわ。			最後にひとつだけ……あなたを弓術士ギルドの一員として認めるために、「試練」を与えさせてもらうわ。			弓術士の射抜くもの							
その弓を装備し「弓術士」となったら、もういちど、私に声をかけてくれるかしら？			その弓を装備し「弓術士」となったら、もういちど、私に声をかけてくれるかしら？			弓術士の射抜くもの							
新しいクラスを修得しました！受け取った武器を装備することで、クラスチェンジができます。			新しいクラスを修得しました！受け取った武器を装備することで、クラスチェンジができます。			弓術士の射抜くもの							
クラスチェンジしたあとには、「ギアセット」を登録してみましょう！現在の装備が記録され、即座に着替えられるようになります。			クラスチェンジしたあとには、「ギアセット」を登録してみましょう！現在の装備が記録され、即座に着替えられるようになります。			弓術士の射抜くもの							
「ギアセット」の登録は、装備変更と同じ「マイキャラクター」の画面から行えます。			「ギアセット」の登録は、装備変更と同じ「マイキャラクター」の画面から行えます。			弓術士の射抜くもの							
弓術士ギルドのルシアヌは、冒険者のギルド入門を認めるにあたり、ひとつ試練を与えるという。受け取った弓を装備してルシアヌに声をかけよう。			弓術士ギルドのルシアヌは、冒険者のギルド入門を認めるにあたり、ひとつ試練を与えるという。受け取った弓を装備してルシアヌに声をかけよう。			弛みなき弦							
弓術士ギルドの一員となるに相応しい力があることを証明するため、「スクウィレル」「レディバグ」「フォレストファンガー」を3体ずつ討伐してこよう。			弓術士ギルドの一員となるに相応しい力があることを証明するため、「スクウィレル」「レディバグ」「フォレストファンガー」を3体ずつ討伐してこよう。			弛みなき弦							
指定された魔物の討伐を終えた。「弓術士ギルド」で待つ「ルシアヌ」に報告しよう。			指定された魔物の討伐を終えた。「弓術士ギルド」で待つ「ルシアヌ」に報告しよう。			弛みなき弦							
ルシアヌから弓術士ギルドへの入門を認められた冒険者。良い弓術士となるために、まずは一矢を一歩と思い、丁寧に放つよう教えられた。弓の腕を磨き、ふたたびギルドを訪れよう。※弓術士のレベルが5以上になると、ルシアヌから次の弓術士クエストを受注することができます。			ルシアヌから弓術士ギルドへの入門を認められた冒険者。良い弓術士となるために、まずは一矢を一歩と思い、丁寧に放つよう教えられた。弓の腕を磨き、ふたたびギルドを訪れよう。※弓術士のレベルが5以上になると、ルシアヌから次の弓術士クエストを受注することができます。			弛みなき弦							
