アゴラの大繁盛商店の新人店員は、呼び込みをしているようだ。			アゴラの大繁盛商店の新人店員は、呼び込みをしているようだ。			出航！ いざ、無人島へ！							
テメェが自分の土地を手に入れたって話は本当だったんだな。ハッ、ずいぶんと立派なところじゃないか。			テメェが自分の土地を手に入れたって話は本当だったんだな。ハッ、ずいぶんと立派なところじゃないか。			珍客？ 東方からの来訪者！							
実は……少し前にリセさんから、エオルゼアを見て回らないかと、お誘いをいただいていたんです。きっと草原に負けないほどの、美しい光景が見られるからって。			実は……少し前にリセさんから、エオルゼアを見て回らないかと、お誘いをいただいていたんです。きっと草原に負けないほどの、美しい光景が見られるからって。			珍客？ 東方からの来訪者！							
とはいえ、リセさんは任務でお忙しい身。そこで私が、おふたりを今一番ホットな場所……つまり、この島にご案内した次第なのでっす！			とはいえ、リセさんは任務でお忙しい身。そこで私が、おふたりを今一番ホットな場所……つまり、この島にご案内した次第なのでっす！			珍客？ 東方からの来訪者！							
何と言う？			何と言う？			珍客？ 東方からの来訪者！							
ふたりだけで遊びに来たの？			ふたりだけで遊びに来たの？			珍客？ 東方からの来訪者！							
マグナイは……？			マグナイは……？			珍客？ 東方からの来訪者！							
これまでは、救援の任などで慌ただしく訪れるのみでしたから……一度、平時にゆっくり遊びに来てみたかったんです！			これまでは、救援の任などで慌ただしく訪れるのみでしたから……一度、平時にゆっくり遊びに来てみたかったんです！			珍客？ 東方からの来訪者！							
最初は、ひとりで行く気だったらしいが、そんな話を聞いたら、オレも黙っちゃいられねえ……。			最初は、ひとりで行く気だったらしいが、そんな話を聞いたら、オレも黙っちゃいられねえ……。			珍客？ 東方からの来訪者！							
シリナは、こんな性格だから、変な輩に絡まれやすいだろ？だから護衛としてエオルゼアに付いていけば、面白そうなケンカのひとつでも、できると思ってな！			シリナは、こんな性格だから、変な輩に絡まれやすいだろ？だから護衛としてエオルゼアに付いていけば、面白そうなケンカのひとつでも、できると思ってな！			珍客？ 東方からの来訪者！							
……えっ？マグナイさんですか……？			……えっ？マグナイさんですか……？			珍客？ 東方からの来訪者！							
ええと……あっ、お会いになりたいということですよね！マグナイさんにもお声掛けしていればよかったのですが……きっと今は、いつものように草原にいらっしゃるはずですよ！			ええと……あっ、お会いになりたいということですよね！マグナイさんにもお声掛けしていればよかったのですが……きっと今は、いつものように草原にいらっしゃるはずですよ！			珍客？ 東方からの来訪者！							
ハハハッ！あんな坊やよりも、シリナはオレと来たかったってことだ！			ハハハッ！あんな坊やよりも、シリナはオレと来たかったってことだ！			珍客？ 東方からの来訪者！							
そういえば、タタルさんから事前に伺っていたお話によると、島の開拓では、畜産もなさっているそうですね。			そういえば、タタルさんから事前に伺っていたお話によると、島の開拓では、畜産もなさっているそうですね。			珍客？ 東方からの来訪者！							
しかも、この島にも羊がいるとか！草原の羊とは、やはり毛並みも違うのでしょうか……？			しかも、この島にも羊がいるとか！草原の羊とは、やはり毛並みも違うのでしょうか……？			珍客？ 東方からの来訪者！							
そうだForenameさん、おふたりが帰られる船の時間まではまだありますので、島の羊がいる場所まで、お散歩しませんか？			そうだForenameさん、おふたりが帰られる船の時間まではまだありますので、島の羊がいる場所まで、お散歩しませんか？			珍客？ 東方からの来訪者！							
わあ……いいんですか？ではお言葉に甘えて、よろしくお願いします！			わあ……いいんですか？ではお言葉に甘えて、よろしくお願いします！			珍客？ 東方からの来訪者！							
ご案内いただき、本当にありがとうございました……！実際にこの目で島の羊を見られて感激です！			ご案内いただき、本当にありがとうございました……！実際にこの目で島の羊を見られて感激です！			珍客？ 東方からの来訪者！							
こちらの羊は、草原の羊よりも若干毛が短く、皮下脂肪が少ないのか、少し体つきが締まって見えました。牧草の違いも見られて、とっても興味深かったです……！			こちらの羊は、草原の羊よりも若干毛が短く、皮下脂肪が少ないのか、少し体つきが締まって見えました。牧草の違いも見られて、とっても興味深かったです……！			珍客？ 東方からの来訪者！							
ああ、いい土地だった。オレたちにとっては、草原に比べて暑いのが難点だが……シリナの勧めで着替えてきて正解だったな。			ああ、いい土地だった。オレたちにとっては、草原に比べて暑いのが難点だが……シリナの勧めで着替えてきて正解だったな。			珍客？ 東方からの来訪者！							
そうそう、お着替えといえば……！実は、手土産を持ってきていたのです！			そうそう、お着替えといえば……！実は、手土産を持ってきていたのです！			珍客？ 東方からの来訪者！							
私たちが普段使っている衣装を、暖かいところでも着られるように工夫したものです。気に入っていただけると嬉しいのですが……！			私たちが普段使っている衣装を、暖かいところでも着られるように工夫したものです。気に入っていただけると嬉しいのですが……！			珍客？ 東方からの来訪者！							
それではForenameさん、そろそろお暇させていただきますね。今日は本当にありがとうございました！			それではForenameさん、そろそろお暇させていただきますね。今日は本当にありがとうございました！			珍客？ 東方からの来訪者！							
また土地が豊かになったときにでも呼んでくれ。そのときは、祝いの品でも持ってきてやるよ。			また土地が豊かになったときにでも呼んでくれ。そのときは、祝いの品でも持ってきてやるよ。			珍客？ 東方からの来訪者！							
私からも、今日はありがとうございまっした！またしばらくしたら立ち寄らせてくださいでっす！			私からも、今日はありがとうございまっした！またしばらくしたら立ち寄らせてくださいでっす！			珍客？ 東方からの来訪者！							
開拓拠点のれんらくくんは、また伝えたいことがあるようだ。			開拓拠点のれんらくくんは、また伝えたいことがあるようだ。			珍客？ エンジョイ野郎ども							
れんらくくんと話した。無人島の南西の浜辺に向かい、「指定地点」でタタルを待とう。			れんらくくんと話した。無人島の南西の浜辺に向かい、「指定地点」でタタルを待とう。			珍客？ エンジョイ野郎ども							
タタルたちと合流した。浜辺の「エマネラン」と話し、同行させよう。			タタルたちと合流した。浜辺の「エマネラン」と話し、同行させよう。			珍客？ エンジョイ野郎ども							
エマネランとシカルドを連れて出発した。無人島のアイランドホール付近にある指定地点で、同行中の「シカルド」と話そう。※同行状態が解除された場合、浜辺の「シカルド」か「エマネラン」に話しかけることで同行を再開できます。			エマネランとシカルドを連れて出発した。無人島のアイランドホール付近にある指定地点で、同行中の「シカルド」と話そう。※同行状態が解除された場合、浜辺の「シカルド」か「エマネラン」に話しかけることで同行を再開できます。			珍客？ エンジョイ野郎ども							
シカルドと話した。無人島の崖上にある指定地点で、同行中の「シカルド」と話そう。			シカルドと話した。無人島の崖上にある指定地点で、同行中の「シカルド」と話そう。			珍客？ エンジョイ野郎ども							
開拓拠点を一望し、全員で楽しいひとときを過ごした。浜辺の「タタル」と話そう。			開拓拠点を一望し、全員で楽しいひとときを過ごした。浜辺の「タタル」と話そう。			珍客？ エンジョイ野郎ども							
タタルに声をかけ、エマネランたちを見送った。彼らは銘々にこの島を気に入ってくれたようだ。引き続き、島の開拓を続けてみよう。			タタルに声をかけ、エマネランたちを見送った。彼らは銘々にこの島を気に入ってくれたようだ。引き続き、島の開拓を続けてみよう。			珍客？ エンジョイ野郎ども							
指定地点で待機			指定地点で待機			珍客？ エンジョイ野郎ども							
エマネランと話して同行させる			エマネランと話して同行させる			珍客？ エンジョイ野郎ども							
同行者ふたりを連れアイランドホール付近へ向かい指定地点でシカルドと話す			同行者ふたりを連れアイランドホール付近へ向かい指定地点でシカルドと話す			珍客？ エンジョイ野郎ども							
同行者ふたりを連れ崖上へ向かい指定地点でシカルドと話す			同行者ふたりを連れ崖上へ向かい指定地点でシカルドと話す			珍客？ エンジョイ野郎ども							
タタルと話す			タタルと話す			珍客？ エンジョイ野郎ども							
ご連絡、ご連絡！タタルがまた見学希望者を連れてくるそうです！			ご連絡、ご連絡！タタルがまた見学希望者を連れてくるそうです！			珍客？ エンジョイ野郎ども							
今回はダブルブッキング……イシュガルドとリムサ・ロミンサから来た希望者を、同時にお連れする形になったとのこと。			今回はダブルブッキング……イシュガルドとリムサ・ロミンサから来た希望者を、同時にお連れする形になったとのこと。			珍客？ エンジョイ野郎ども							
間もなく到着予定時刻となりますので、いつものように、島の南西の浜辺でお待ちください！			間もなく到着予定時刻となりますので、いつものように、島の南西の浜辺でお待ちください！			珍客？ エンジョイ野郎ども							
見学希望者が、タタルに連れられて間もなくやってきます。島の南西の浜辺でお待ちください！			見学希望者が、タタルに連れられて間もなくやってきます。島の南西の浜辺でお待ちください！			珍客？ エンジョイ野郎ども							
Forenameさん！お出迎えいただき、ありがとうございまっす！			Forenameさん！お出迎えいただき、ありがとうございまっす！			珍客？ エンジョイ野郎ども							
よう、相棒！お前のがんばりを、マブダチのエマネラン様が見にきたぜ～！			よう、相棒！お前のがんばりを、マブダチのエマネラン様が見にきたぜ～！			珍客？ エンジョイ野郎ども							
ったく、急に元気いっぱいかよ……。相棒とマブダチ、どっちかにしておけってんだ。			ったく、急に元気いっぱいかよ……。相棒とマブダチ、どっちかにしておけってんだ。			珍客？ エンジョイ野郎ども							
邪魔して悪いな。ちっとばかし、お前のシマを観光させてくれや。			邪魔して悪いな。ちっとばかし、お前のシマを観光させてくれや。			珍客？ エンジョイ野郎ども							
ここから帰ってきたヒルフィルのおじきが、「余生はああいう場所で過ごすのもいい」なんて言うからよ。断罪党を代表して、どんなもんか見物させてもらいてぇ。			ここから帰ってきたヒルフィルのおじきが、「余生はああいう場所で過ごすのもいい」なんて言うからよ。断罪党を代表して、どんなもんか見物させてもらいてぇ。			珍客？ エンジョイ野郎ども							
オレはほら、イルサバード派遣団で遠征してるあいだ、オノロワに留守番をさせちゃっただろ？			オレはほら、イルサバード派遣団で遠征してるあいだ、オノロワに留守番をさせちゃっただろ？			珍客？ エンジョイ野郎ども							
その労いも兼ねつつ、さらに見聞を広めるために、小旅行を計画したってわけだ！			その労いも兼ねつつ、さらに見聞を広めるために、小旅行を計画したってわけだ！			珍客？ エンジョイ野郎ども							
向かうは海都で噂に聞いた、ひっそりこっそりホットなスポット……			向かうは海都で噂に聞いた、ひっそりこっそりホットなスポット……			珍客？ エンジョイ野郎ども							
ズバリここ、お前の島っ！			ズバリここ、お前の島っ！			珍客？ エンジョイ野郎ども							
何と言う？			何と言う？			珍客？ エンジョイ野郎ども							
確かに、景観はいいと思う			確かに、景観はいいと思う			珍客？ エンジョイ野郎ども							
島産品をずいぶん売り出したしなぁ			島産品をずいぶん売り出したしなぁ			珍客？ エンジョイ野郎ども							
いろんな動物と触れ合えるから？			いろんな動物と触れ合えるから？			珍客？ エンジョイ野郎ども							
みんなも静かに暮らしたいのか……			みんなも静かに暮らしたいのか……			珍客？ エンジョイ野郎ども							
フフッ！それもありまっすが、無人島開拓事業の中間報告に、この島が賞賛すべき事例として取り上げられたのでっす。			フフッ！それもありまっすが、無人島開拓事業の中間報告に、この島が賞賛すべき事例として取り上げられたのでっす。			珍客？ エンジョイ野郎ども							
なんと、エインザル大甲将のお墨つきで！おめでとうございまっす、Forenameさん！			なんと、エインザル大甲将のお墨つきで！おめでとうございまっす、Forenameさん！			珍客？ エンジョイ野郎ども							
そんな良さそうな場所、放っちゃおけない……ってなわけで、全身全霊で満喫しにきたぜ！			そんな良さそうな場所、放っちゃおけない……ってなわけで、全身全霊で満喫しにきたぜ！			珍客？ エンジョイ野郎ども							
その気があんなら、そんなお綺麗な格好で来るなよな。見てるだけで暑苦しいぜ。			その気があんなら、そんなお綺麗な格好で来るなよな。見てるだけで暑苦しいぜ。			珍客？ エンジョイ野郎ども							
はぁ～？こいつは皇都の流行の最先端、スカイスチール機工房のデザイナーが手掛けた旅装だぞ。			はぁ～？こいつは皇都の流行の最先端、スカイスチール機工房のデザイナーが手掛けた旅装だぞ。			珍客？ エンジョイ野郎ども							
丈夫で動きやすくて、汚れがつきにくい！何よりオレ様によく似合うところが最高だっ！			丈夫で動きやすくて、汚れがつきにくい！何よりオレ様によく似合うところが最高だっ！			珍客？ エンジョイ野郎ども							
でもエマネラン様、先ほど舟の上で、「ちょっと暑いな」とおっしゃっていた気がします、はい。			でもエマネラン様、先ほど舟の上で、「ちょっと暑いな」とおっしゃっていた気がします、はい。			珍客？ エンジョイ野郎ども							
まあ、それは……少しだけ……思わなくもなかったかもしれないが……。			まあ、それは……少しだけ……思わなくもなかったかもしれないが……。			珍客？ エンジョイ野郎ども							
っつーか、格好が合ってないのはオレよりもお前の方！			っつーか、格好が合ってないのはオレよりもお前の方！			珍客？ エンジョイ野郎ども							
この島はもともと、放棄された海賊団の補給地だったらしい。それをマブダチが精魂こめて開拓したってのに、いかにも海賊な格好でウロついたら台無しだっての！			この島はもともと、放棄された海賊団の補給地だったらしい。それをマブダチが精魂こめて開拓したってのに、いかにも海賊な格好でウロついたら台無しだっての！			珍客？ エンジョイ野郎ども							
知らねぇよ、屁理屈か！服なんて、臭ってなけりゃ十分だわ！			知らねぇよ、屁理屈か！服なんて、臭ってなけりゃ十分だわ！			珍客？ エンジョイ野郎ども							
くうううぅ、これだから海賊は～～～ッ！			くうううぅ、これだから海賊は～～～ッ！			珍客？ エンジョイ野郎ども							
オノロワ、舟から荷物を取ってきてくれ！着替えが入ってただろ、予備の分も！			オノロワ、舟から荷物を取ってきてくれ！着替えが入ってただろ、予備の分も！			珍客？ エンジョイ野郎ども							
エマネラン様がそうおっしゃるなら……すぐにお持ちしますです。			エマネラン様がそうおっしゃるなら……すぐにお持ちしますです。			珍客？ エンジョイ野郎ども							
Surname様、少々場所をお借りします。			Surname様、少々場所をお借りします。			珍客？ エンジョイ野郎ども							
よーし、準備万全だ！海辺を歩き回るなら、やっぱこうじゃないとな！			よーし、準備万全だ！海辺を歩き回るなら、やっぱこうじゃないとな！			珍客？ エンジョイ野郎ども							
いや何をやらせんだよ……！			いや何をやらせんだよ……！			珍客？ エンジョイ野郎ども							
もうこのナリで構わねぇから、早く観光に行くぞ。			もうこのナリで構わねぇから、早く観光に行くぞ。			珍客？ エンジョイ野郎ども							
あの……無人島の開拓権を手に入れるにあたっては、開拓のコンセプトをまとめた企画書を出したと伺いました。			あの……無人島の開拓権を手に入れるにあたっては、開拓のコンセプトをまとめた企画書を出したと伺いました。			珍客？ エンジョイ野郎ども							
島を見て回るのも魅力的ですが、僕、そちらにも興味があって。エマネラン様のお仕事を補佐するため、上手な書類の作り方を学びたいんです、はい。			島を見て回るのも魅力的ですが、僕、そちらにも興味があって。エマネラン様のお仕事を補佐するため、上手な書類の作り方を学びたいんです、はい。			珍客？ エンジョイ野郎ども							
さすがオノロワさんでっす！そういうことなら、タタル流企画書作成術をお教えしまっす！			さすがオノロワさんでっす！そういうことなら、タタル流企画書作成術をお教えしまっす！			珍客？ エンジョイ野郎ども							
私たちはあとから合流しますので、エマネランさんとシカルドさんを、先にご案内していただいてもいいでっすか？			私たちはあとから合流しますので、エマネランさんとシカルドさんを、先にご案内していただいてもいいでっすか？			珍客？ エンジョイ野郎ども							
嬉しいぜ、改めてよろしくな！			嬉しいぜ、改めてよろしくな！			珍客？ エンジョイ野郎ども							
せっかくだし、お前もこの美しい海に似合いの服を着てくれよ。そしたら、もっと楽しいこと間違いなしだからさ！			せっかくだし、お前もこの美しい海に似合いの服を着てくれよ。そしたら、もっと楽しいこと間違いなしだからさ！			珍客？ エンジョイ野郎ども							
本クエストに戦闘はありません。海辺に似合うおしゃれをして、来訪者たちとのひとときを楽しみましょう！			本クエストに戦闘はありません。海辺に似合うおしゃれをして、来訪者たちとのひとときを楽しみましょう！			珍客？ エンジョイ野郎ども							
この島のこと、気に入ってもらえるといいでっすね！私たちも、話を終えたら合流しまっす！			この島のこと、気に入ってもらえるといいでっすね！私たちも、話を終えたら合流しまっす！			珍客？ エンジョイ野郎ども							
エマネラン様を、よろしくお願いしますです。「Forenameの島に行くぞ！」って、大変楽しみにしていらっしゃったので……。			エマネラン様を、よろしくお願いしますです。「Forenameの島に行くぞ！」って、大変楽しみにしていらっしゃったので……。			珍客？ エンジョイ野郎ども							
エマネランといえば皇都でも洒落者で通ってる、とは聞いたが、たかだか小旅行に、どんだけ服を持ってきたんだか……。着心地も悪くねぇのが、かえって腹立つわ。			エマネランといえば皇都でも洒落者で通ってる、とは聞いたが、たかだか小旅行に、どんだけ服を持ってきたんだか……。着心地も悪くねぇのが、かえって腹立つわ。			珍客？ エンジョイ野郎ども							
おっ、その格好でいいのか？			おっ、その格好でいいのか？			珍客？ エンジョイ野郎ども							
現在の装備で、島の案内を始めますか？			現在の装備で、島の案内を始めますか？			珍客？ エンジョイ野郎ども							
よっしゃ、それじゃあ出発だな！まず初めに、この島の中心地……お前が拠点にしてる場所を見せてくれ！			よっしゃ、それじゃあ出発だな！まず初めに、この島の中心地……お前が拠点にしてる場所を見せてくれ！			珍客？ エンジョイ野郎ども							
何をする？			何をする？			珍客？ エンジョイ野郎ども							
話す			話す			珍客？ エンジョイ野郎ども							
同行状態を解除する			同行状態を解除する			珍客？ エンジョイ野郎ども							
キャンセル			キャンセル			珍客？ エンジョイ野郎ども							
「海水浴」について話す			「海水浴」について話す			珍客？ エンジョイ野郎ども							
どんな場所を作るか自分で決めて、材料も島内から集めてきたんだろ？すっげー、めちゃくちゃ楽しみだぜ！			どんな場所を作るか自分で決めて、材料も島内から集めてきたんだろ？すっげー、めちゃくちゃ楽しみだぜ！			珍客？ エンジョイ野郎ども							
シェルダレー諸島なんざ、オレたちにとって珍しい場所でも何でもねぇが……こうして物見遊山に来てみると、違って感じるもんだな。			シェルダレー諸島なんざ、オレたちにとって珍しい場所でも何でもねぇが……こうして物見遊山に来てみると、違って感じるもんだな。			珍客？ エンジョイ野郎ども							
同行状態を解除します。本当によろしいですか？			同行状態を解除します。本当によろしいですか？			珍客？ エンジョイ野郎ども							
お、休憩だな！じゃあ、オノロワたちのところへ戻ってるぜ！			お、休憩だな！じゃあ、オノロワたちのところへ戻ってるぜ！			珍客？ エンジョイ野郎ども							
へいへい。お前の都合がつくまで、最初の浜辺で待機だな。急ぐもんじゃねぇし、焦らずに来いよ？			へいへい。お前の都合がつくまで、最初の浜辺で待機だな。急ぐもんじゃねぇし、焦らずに来いよ？			珍客？ エンジョイ野郎ども							
準備はよさそうだな！いざ、目的地に向けて、しゅっぱーつ！			準備はよさそうだな！いざ、目的地に向けて、しゅっぱーつ！			珍客？ エンジョイ野郎ども							
都合つけてもらって悪いな。んじゃ、もう一回繰り出すとすっか！			都合つけてもらって悪いな。んじゃ、もう一回繰り出すとすっか！			珍客？ エンジョイ野郎ども							
同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			珍客？ エンジョイ野郎ども							
フッフーン！心配ご無用、オレ様ったら上手に泳げるんだなーこれが！			フッフーン！心配ご無用、オレ様ったら上手に泳げるんだなーこれが！			珍客？ エンジョイ野郎ども							
ガキのころ、クルザスはまだ寒冷化してなかったし、夏には家族で東部低地のダークスケール湖畔に行ってたんだよ。			ガキのころ、クルザスはまだ寒冷化してなかったし、夏には家族で東部低地のダークスケール湖畔に行ってたんだよ。			珍客？ エンジョイ野郎ども							
一番の目的は狩猟だったが、合間に湖で遊んだりしてさ。とくにあいつ……オルシュファンはひたすら泳いでたっけ……。			一番の目的は狩猟だったが、合間に湖で遊んだりしてさ。とくにあいつ……オルシュファンはひたすら泳いでたっけ……。			珍客？ エンジョイ野郎ども							
ま、そういう経緯もあって泳ぎはバッチリだ！この前だって、ウルダハのダチに誘われて、ゴブレットビュートのナイトプールに行ってきたしな！			ま、そういう経緯もあって泳ぎはバッチリだ！この前だって、ウルダハのダチに誘われて、ゴブレットビュートのナイトプールに行ってきたしな！			珍客？ エンジョイ野郎ども							
あぁ？　海水浴？海都でだって、したきゃできるが、そうは好きこのんで飛び込まねぇよ。			あぁ？　海水浴？海都でだって、したきゃできるが、そうは好きこのんで飛び込まねぇよ。			珍客？ エンジョイ野郎ども							
停泊してるアスタリシア号からよく見かけんのは、酔って海に落ちた奴、ケンカに負けて投げ込まれた奴……			停泊してるアスタリシア号からよく見かけんのは、酔って海に落ちた奴、ケンカに負けて投げ込まれた奴……			珍客？ エンジョイ野郎ども							
あとは双剣……いや、エーデルワイス商会のアホが浮かんでることもあるな。おおかた、うっかり仲間の昼飯でも食っちまったんだろ。			あとは双剣……いや、エーデルワイス商会のアホが浮かんでることもあるな。おおかた、うっかり仲間の昼飯でも食っちまったんだろ。			珍客？ エンジョイ野郎ども							
おー、ずいぶん開けた場所に出たな。ここがお前の開拓拠点ってわけか！			おー、ずいぶん開けた場所に出たな。ここがお前の開拓拠点ってわけか！			珍客？ エンジョイ野郎ども							
建物も、思ったよりずっとしっかりしてやがる。これをひとりで作るなんざ、とんでもねぇな……。			建物も、思ったよりずっとしっかりしてやがる。これをひとりで作るなんざ、とんでもねぇな……。			珍客？ エンジョイ野郎ども							
ほー、魔法人形どもも働いてくれてると。いいじゃねぇか、お前もここでは立派なオカシラってこった！			ほー、魔法人形どもも働いてくれてると。いいじゃねぇか、お前もここでは立派なオカシラってこった！			珍客？ エンジョイ野郎ども							
んじゃあオカシラさんよ、次はこの拠点が一望できる場所に連れてってくれや。ここも悪くねぇが、やっぱ特等席から見ておかねぇとな！			んじゃあオカシラさんよ、次はこの拠点が一望できる場所に連れてってくれや。ここも悪くねぇが、やっぱ特等席から見ておかねぇとな！			珍客？ エンジョイ野郎ども							
「崖上へ続く道」について話す			「崖上へ続く道」について話す			珍客？ エンジョイ野郎ども							
「崖上へ続く道」について話す			「崖上へ続く道」について話す			珍客？ エンジョイ野郎ども							
「崖上へ続く道」について話す			「崖上へ続く道」について話す			珍客？ エンジョイ野郎ども							
シカルドが言ったとおり、拠点を一望できる場所へ向かうのでいいぞ。			シカルドが言ったとおり、拠点を一望できる場所へ向かうのでいいぞ。			珍客？ エンジョイ野郎ども							
とくに動物は、遠目で愛でるにかぎる！聖大厩舎のチョコボでさえ、近づいたら鳴くわつついてくるわで、結構怖いからな……。			とくに動物は、遠目で愛でるにかぎる！聖大厩舎のチョコボでさえ、近づいたら鳴くわつついてくるわで、結構怖いからな……。			珍客？ エンジョイ野郎ども							
実際、この島は海賊の補給地にうってつけだっただろうな。船を寄せられる場所が限られてるし、歩ける道も絞られる……よそからの襲撃や物資の持ち逃げに強いってわけだ。			実際、この島は海賊の補給地にうってつけだっただろうな。船を寄せられる場所が限られてるし、歩ける道も絞られる……よそからの襲撃や物資の持ち逃げに強いってわけだ。			珍客？ エンジョイ野郎ども							
加えてこの地形なら、崖の上から海側も島内も見渡せるはず。見張り番になった気持ちで、ひとつ、お前の拠点を眺めてみようじゃねぇか。			加えてこの地形なら、崖の上から海側も島内も見渡せるはず。見張り番になった気持ちで、ひとつ、お前の拠点を眺めてみようじゃねぇか。			珍客？ エンジョイ野郎ども							
ひぃ……ふぅ……いや、結構キツくないかこの道……！？			ひぃ……ふぅ……いや、結構キツくないかこの道……！？			珍客？ エンジョイ野郎ども							
嫌だったら従者のところに戻ってたっていいんだぜ？お前も習っといた方がいいだろ、タタル流企画書作成術。			嫌だったら従者のところに戻ってたっていいんだぜ？お前も習っといた方がいいだろ、タタル流企画書作成術。			珍客？ エンジョイ野郎ども							
お生憎様！他人をその気にさせる書類とか、むしろ大得意です～ッ！実際、堅物の兄貴よりも、よっぽど上手く書いてるからな！			お生憎様！他人をその気にさせる書類とか、むしろ大得意です～ッ！実際、堅物の兄貴よりも、よっぽど上手く書いてるからな！			珍客？ エンジョイ野郎ども							
なぁ、ヒルフィルのおじきは、こっちまで来てねぇよな？あの身体でこんな道を上り下りさせてたら、エインザルのところにカチ込まなきゃならねぇ……！			なぁ、ヒルフィルのおじきは、こっちまで来てねぇよな？あの身体でこんな道を上り下りさせてたら、エインザルのところにカチ込まなきゃならねぇ……！			珍客？ エンジョイ野郎ども							
大げさな奴……。それよりも今は、隣でヘバりかけてる仲間(オレ)のことを、心配すべきだと思うぜ？			大げさな奴……。それよりも今は、隣でヘバりかけてる仲間(オレ)のことを、心配すべきだと思うぜ？			珍客？ エンジョイ野郎ども							
知ったことか！お前それでよく無人島に小旅行とか計画したな！？Forenameの開拓力をあてにしすぎだわ！			知ったことか！お前それでよく無人島に小旅行とか計画したな！？Forenameの開拓力をあてにしすぎだわ！			珍客？ エンジョイ野郎ども							
上ってくのは大変だが、こういう場所だから気持ちいいなー！潮風と緑の交じった匂いがして、大自然って感じだ。			上ってくのは大変だが、こういう場所だから気持ちいいなー！潮風と緑の交じった匂いがして、大自然って感じだ。			珍客？ エンジョイ野郎ども							
その理屈でいくと、ラノシアもド田舎ってことになるな。……やるか？　ボンクラうかれ貴族！			その理屈でいくと、ラノシアもド田舎ってことになるな。……やるか？　ボンクラうかれ貴族！			珍客？ エンジョイ野郎ども							
負けるからやりませーん。っていうか、そこは素直に地元を褒められたと思っておけよな！			負けるからやりませーん。っていうか、そこは素直に地元を褒められたと思っておけよな！			珍客？ エンジョイ野郎ども							
おわ、サンダルの隙間から砂利が入った……。いつものブーツで来た方が楽だったか……？			おわ、サンダルの隙間から砂利が入った……。いつものブーツで来た方が楽だったか……？			珍客？ エンジョイ野郎ども							
えっ、やめろよ……。その服にブーツを合わせるとか、さすがにないだろ。断罪党の風格、もっと大事にした方がいいぞ……？			えっ、やめろよ……。その服にブーツを合わせるとか、さすがにないだろ。断罪党の風格、もっと大事にした方がいいぞ……？			珍客？ エンジョイ野郎ども							
ご丁寧な忠告アリガトヨ！着替えるなら一式着替えるわ、馬鹿！			ご丁寧な忠告アリガトヨ！着替えるなら一式着替えるわ、馬鹿！			珍客？ エンジョイ野郎ども							
ぜぇ、はぁ、ぜぇ、はぁ……もうそろそろ上りは終わりか？　終わりだな！？よっしゃーー！！			ぜぇ、はぁ、ぜぇ、はぁ……もうそろそろ上りは終わりか？　終わりだな！？よっしゃーー！！			珍客？ エンジョイ野郎ども							
よかったな。んじゃこのまま下までおりて、往復あと99回。多少はたくましくなれそうじゃねぇか。			よかったな。んじゃこのまま下までおりて、往復あと99回。多少はたくましくなれそうじゃねぇか。			珍客？ エンジョイ野郎ども							
なんでだよ、嫌だよ！ぶぇぇー、助けてくれ相棒、乱暴者の海賊が小旅行を無茶苦茶にしてくる～！			なんでだよ、嫌だよ！ぶぇぇー、助けてくれ相棒、乱暴者の海賊が小旅行を無茶苦茶にしてくる～！			珍客？ エンジョイ野郎ども							
お、見渡すかぎりの水平線だな。シェルダレー諸島から南の方角っつーと……			お、見渡すかぎりの水平線だな。シェルダレー諸島から南の方角っつーと……			珍客？ エンジョイ野郎ども							
わかった、南方大陸があるんだろ！どこどこ？　どっちだ！？			わかった、南方大陸があるんだろ！どこどこ？　どっちだ！？			珍客？ エンジョイ野郎ども							
ここから見えるような場所にはねぇよ。……だからこそ、船乗りとしては、一度目指してみたいとも思うんだがな。			ここから見えるような場所にはねぇよ。……だからこそ、船乗りとしては、一度目指してみたいとも思うんだがな。			珍客？ エンジョイ野郎ども							
立派なもんだ……！こうして見下ろすとなおのこと、デカくてちゃんとした拠点じゃねぇか。			立派なもんだ……！こうして見下ろすとなおのこと、デカくてちゃんとした拠点じゃねぇか。			珍客？ エンジョイ野郎ども							
無人島を開拓するったって、せいぜい野営地を作る程度だと思ってたが……いい意味で裏切られたぜ。			無人島を開拓するったって、せいぜい野営地を作る程度だと思ってたが……いい意味で裏切られたぜ。			珍客？ エンジョイ野郎ども							
……これができるんなら、ヒルフィルのおじきの終の棲家を、どこかの陸(おか)に作るってのも悪くないかもな。			……これができるんなら、ヒルフィルのおじきの終の棲家を、どこかの陸(おか)に作るってのも悪くないかもな。			珍客？ エンジョイ野郎ども							
仮にその日を迎えたとしてさ、そしたらお前、代行じゃなくて、本物の党首になるのか？			仮にその日を迎えたとしてさ、そしたらお前、代行じゃなくて、本物の党首になるのか？			珍客？ エンジョイ野郎ども							
んだよ実力不足ってか？そんなこと、自分が一番わかってるっての。			んだよ実力不足ってか？そんなこと、自分が一番わかってるっての。			珍客？ エンジョイ野郎ども							
それでもオレは任されたんだ。略奪者じゃねぇ、新しい断罪党を作ってくことを……。			それでもオレは任されたんだ。略奪者じゃねぇ、新しい断罪党を作ってくことを……。			珍客？ エンジョイ野郎ども							
