宝杖通りの商人マスは、商品の手配に追われているようだ。			宝杖通りの商人マスは、商品の手配に追われているようだ。			聖アンダリム神学院の消えた書物							
これが、今のところ見つけた怪文書だよ。テオ君たちといっしょに、目を通してみてね。			これが、今のところ見つけた怪文書だよ。テオ君たちといっしょに、目を通してみてね。			怪文書の影に							
内容は、むちゃくちゃだったよ……。でも、恨みを募らせた神学生は、このビラが寮長を潰す好機に見えて、とびついたのかもね。			内容は、むちゃくちゃだったよ……。でも、恨みを募らせた神学生は、このビラが寮長を潰す好機に見えて、とびついたのかもね。			怪文書の影に							
恨みを募らせた神学生は、このビラが寮長を潰す好機に見えて、とびついたのかもね。			恨みを募らせた神学生は、このビラが寮長を潰す好機に見えて、とびついたのかもね。			怪文書の影に							
怪文書ですか？私も、クラムヴォワさんに言われて、手わけして、探していたところです。			怪文書ですか？私も、クラムヴォワさんに言われて、手わけして、探していたところです。			怪文書の影に							
これが、私が集めた分です。友人の寮の部屋に、いつの間にか投げ入れられていたそうです。私の部屋には、こんなものは届かなかったのですが……。			これが、私が集めた分です。友人の寮の部屋に、いつの間にか投げ入れられていたそうです。私の部屋には、こんなものは届かなかったのですが……。			怪文書の影に							
テオモサンたちも、怪文書を受け取っていないのですね……。渡された人と、そうでない人の違いは、なんでしょう……？			テオモサンたちも、怪文書を受け取っていないのですね……。渡された人と、そうでない人の違いは、なんでしょう……？			怪文書の影に							
怪文書を渡された人と、そうでない人の違いは、なんでしょう……？			怪文書を渡された人と、そうでない人の違いは、なんでしょう……？			怪文書の影に							
怪文書が見つかったって？俺もいくつかあるから、テオに集めてみようぜ。			怪文書が見つかったって？俺もいくつかあるから、テオに集めてみようぜ。			怪文書の影に							
怪文書は、見つかりましたか？			怪文書は、見つかりましたか？			怪文書の影に							
ありがとうございます。さっそく、確認してみましょう……。			ありがとうございます。さっそく、確認してみましょう……。			怪文書の影に							
見つかった文書に、ざっと目を通してみたところ、おおきく分けて、3種類の内容があるようです。順番に読み上げてみますね。			見つかった文書に、ざっと目を通してみたところ、おおきく分けて、3種類の内容があるようです。順番に読み上げてみますね。			怪文書の影に							
『アルションバダンは、不都合な存在を容赦なく消す。　このような人物が権力を握り、正教を導けば、　ふたたび自由は死に、恐怖が都市を包むだろう』			『アルションバダンは、不都合な存在を容赦なく消す。　このような人物が権力を握り、正教を導けば、　ふたたび自由は死に、恐怖が都市を包むだろう』			怪文書の影に							
『ウラーを誘拐したのは、アルションバダンだ。　貴族による支配を否定する正教法大全11巻を、　熱心に学ぶウラーを危険視したからに他ならない』			『ウラーを誘拐したのは、アルションバダンだ。　貴族による支配を否定する正教法大全11巻を、　熱心に学ぶウラーを危険視したからに他ならない』			怪文書の影に							
『ウラーが所持していた正教法大全11巻は、　寮長室から発見された。　これが、寮長が誘拐犯である動かぬ証拠だ』			『ウラーが所持していた正教法大全11巻は、　寮長室から発見された。　これが、寮長が誘拐犯である動かぬ証拠だ』			怪文書の影に							
うーん……やっぱりおかしいよね？確かに、ウラーが11巻を愛読してたのは有名だけど、それを持ってたから犯人ってのは、乱暴すぎる。			うーん……やっぱりおかしいよね？確かに、ウラーが11巻を愛読してたのは有名だけど、それを持ってたから犯人ってのは、乱暴すぎる。			怪文書の影に							
見つかった書が、ウラーのものとは限らないしな。正教法大全11巻なんて、この皇都には何冊もあるんだから。			見つかった書が、ウラーのものとは限らないしな。正教法大全11巻なんて、この皇都には何冊もあるんだから。			怪文書の影に							
ブレジーさん、ウラーは11巻について、何か言っていましたか？些細なことでもいいので、教えてください。			ブレジーさん、ウラーは11巻について、何か言っていましたか？些細なことでもいいので、教えてください。			怪文書の影に							
……そういえば、療養中のウラーが11巻を読みたがったので、彼女の部屋に取りに行ったことがあります。でも、11巻は見当たりませんでした。			……そういえば、療養中のウラーが11巻を読みたがったので、彼女の部屋に取りに行ったことがあります。でも、11巻は見当たりませんでした。			怪文書の影に							
ちょっと待て……。ウラーは、11巻が自室にあると思ってたってこと？			ちょっと待て……。ウラーは、11巻が自室にあると思ってたってこと？			怪文書の影に							
はい、彼女が誘拐されたのは、買い物帰りで、11巻も部屋に置いてでかけていたそうです。正教法大全は分厚くて、重いですからね。			はい、彼女が誘拐されたのは、買い物帰りで、11巻も部屋に置いてでかけていたそうです。正教法大全は分厚くて、重いですからね。			怪文書の影に							
なら誰かが、ウラーの部屋に忍び込み、11巻を盗んだのか？そうだとしても、腹黒寮長の部屋にあった11巻が、ウラーが借りてたものとは限らないが……。			なら誰かが、ウラーの部屋に忍び込み、11巻を盗んだのか？そうだとしても、腹黒寮長の部屋にあった11巻が、ウラーが借りてたものとは限らないが……。			怪文書の影に							
うーん、やっぱり怪文書の論理は、穴だらけだね。ウラーに11巻の在処を聞けるブレジーちゃんや、僕らのところに、怪文書が来なかったのも頷けるよ。			うーん、やっぱり怪文書の論理は、穴だらけだね。ウラーに11巻の在処を聞けるブレジーちゃんや、僕らのところに、怪文書が来なかったのも頷けるよ。			怪文書の影に							
これほどまでに手間をかけて、アルションバダンさんを排除しようとするなんて……。いったい誰の仕業なんでしょう……？			これほどまでに手間をかけて、アルションバダンさんを排除しようとするなんて……。いったい誰の仕業なんでしょう……？			怪文書の影に							
テオくんは、器が大きいね……。首席争いの相手を必死に助けようとしてるんだから。そういうところに、惹かれちゃうよね？			テオくんは、器が大きいね……。首席争いの相手を必死に助けようとしてるんだから。そういうところに、惹かれちゃうよね？			怪文書の影に							
わっ、私は、そんなつもりは……。テオモサンが立派なので、ただ尊敬を……。もう、クラムヴォワさんは意地悪ですっ！			わっ、私は、そんなつもりは……。テオモサンが立派なので、ただ尊敬を……。もう、クラムヴォワさんは意地悪ですっ！			怪文書の影に							
ブレジーさん！？急に駆けだしたりして、具合でも悪くなったんでしょうか！？			ブレジーさん！？急に駆けだしたりして、具合でも悪くなったんでしょうか！？			怪文書の影に							
まあ、そんなところかね。からかいすぎちゃったから、様子を見ておくよ。			まあ、そんなところかね。からかいすぎちゃったから、様子を見ておくよ。			怪文書の影に							
ブレジーさん、早く回復するといいですね……。おや、貴方もなんだか具合が悪そうです……。それとも、気になることでもありますか？			ブレジーさん、早く回復するといいですね……。おや、貴方もなんだか具合が悪そうです……。それとも、気になることでもありますか？			怪文書の影に							
気になることがあるのか			気になることがあるのか			怪文書の影に							
ウラーの誘拐犯について			ウラーの誘拐犯について			怪文書の影に							
…………			…………			怪文書の影に							
なるほど。ウラーを誘拐した犯人が、この怪文書騒ぎを、引き起こしたとお考えなんですね？			なるほど。ウラーを誘拐した犯人が、この怪文書騒ぎを、引き起こしたとお考えなんですね？			怪文書の影に							
つまり、ウラーの誘拐は、腹黒寮長を失脚させて、神学院から追い出すための陰謀だってことか……？これは、事件屋男爵にも伝えたほうがいいんじゃないか？			つまり、ウラーの誘拐は、腹黒寮長を失脚させて、神学院から追い出すための陰謀だってことか……？これは、事件屋男爵にも伝えたほうがいいんじゃないか？			怪文書の影に							
ブリアルディアンさんは、教皇庁にお出かけですか……。では、戻られるのを外で待ちましょう。			ブリアルディアンさんは、教皇庁にお出かけですか……。では、戻られるのを外で待ちましょう。			怪文書の影に							
証拠がそろっていない状況で、安易なことは言えないと……。			証拠がそろっていない状況で、安易なことは言えないと……。			怪文書の影に							
状況証拠から考えれば、ウラーの誘拐自体が、腹黒寮長を失脚させるためだったってことになるよな。			状況証拠から考えれば、ウラーの誘拐自体が、腹黒寮長を失脚させるためだったってことになるよな。			怪文書の影に							
なにせウラーは、監禁はされていたけど、身代金の要求もなければ、身も安全だったわけだしな。ともかく、これは事件屋男爵にも伝えたほうがよくないか？			なにせウラーは、監禁はされていたけど、身代金の要求もなければ、身も安全だったわけだしな。ともかく、これは事件屋男爵にも伝えたほうがよくないか？			怪文書の影に							
ブリアルディアンさんは、教皇庁にお出かけですか……。では、戻られるのを外で待ちましょう。			ブリアルディアンさんは、教皇庁にお出かけですか……。では、戻られるのを外で待ちましょう。			怪文書の影に							
ここだったら、教皇庁から帰ってくる事件屋男爵を、真っ先に見つけられるだろ？			ここだったら、教皇庁から帰ってくる事件屋男爵を、真っ先に見つけられるだろ？			怪文書の影に							
ブレジーちゃんの逃げ足が早すぎて、追いつけなかったんだ。そしたらテオ君たちを見かけたんで、ついてきちゃった。			ブレジーちゃんの逃げ足が早すぎて、追いつけなかったんだ。そしたらテオ君たちを見かけたんで、ついてきちゃった。			怪文書の影に							
おっ、来たぞ！よーし、事件屋男爵を呼びとめよう！			おっ、来たぞ！よーし、事件屋男爵を呼びとめよう！			怪文書の影に							
この寒空の下、勢ぞろいして、どうしたんだ？			この寒空の下、勢ぞろいして、どうしたんだ？			怪文書の影に							
……なるほど、状況は理解した。その怪文書とやらを、ぼくにも見せてくれないか？			……なるほど、状況は理解した。その怪文書とやらを、ぼくにも見せてくれないか？			怪文書の影に							
はい、こちらになります。			はい、こちらになります。			怪文書の影に							
ウラーが自室に保管していた正教法大全11巻は盗まれ、怪文書には、その11巻が寮長室から発見されたと、記されているというわけか……。			ウラーが自室に保管していた正教法大全11巻は盗まれ、怪文書には、その11巻が寮長室から発見されたと、記されているというわけか……。			怪文書の影に							
フッ、これまで点でしかなかった、いくつかの事件が、怪文書のおかげで繋がったようだ……。			フッ、これまで点でしかなかった、いくつかの事件が、怪文書のおかげで繋がったようだ……。			怪文書の影に							
君ならば、もう気付いているだろう？すべての謎を解く『鍵』は、正教法大全11巻にあると……。			君ならば、もう気付いているだろう？すべての謎を解く『鍵』は、正教法大全11巻にあると……。			怪文書の影に							
フン、やはり君を特別顧問に指名して正解だったようだな。だが、相手も姿を見せまいと必死のはず……。もし行きづまったときは、こうしてみるといい。			フン、やはり君を特別顧問に指名して正解だったようだな。だが、相手も姿を見せまいと必死のはず……。もし行きづまったときは、こうしてみるといい。			怪文書の影に							
こうして一呼吸置くと、冷静に物事を俯瞰する余裕が生まれ、新たな「閃き」も得られるだろう。さあ、黒幕を追い詰めるぞ……！			こうして一呼吸置くと、冷静に物事を俯瞰する余裕が生まれ、新たな「閃き」も得られるだろう。さあ、黒幕を追い詰めるぞ……！			怪文書の影に							
エモートアクション「眼鏡を正す」を覚えた！			エモートアクション「眼鏡を正す」を覚えた！			怪文書の影に							
イシュガルド上層のブリアルディアンは、謎を解く『鍵』を掴んだようだ。			イシュガルド上層のブリアルディアンは、謎を解く『鍵』を掴んだようだ。			戦神が導く聖戦							
これまでの調査の結果、一同はルブラソワールが怪しいと判断した。仮説を証明するため、ゼーメル伯爵邸付近の「アルションバダン」と話そう。			これまでの調査の結果、一同はルブラソワールが怪しいと判断した。仮説を証明するため、ゼーメル伯爵邸付近の「アルションバダン」と話そう。			戦神が導く聖戦							
アルションバダンと話した。テオモサンの機転により、ルブラソワールに自白させることに成功した。アルションバダンの除籍を検討する査問会にて、真実を明かすため、理事長室へ赴こう。聖レマノー大聖堂の「神学院の助祭」と話せば、理事長室に案内されるようだ。			アルションバダンと話した。テオモサンの機転により、ルブラソワールに自白させることに成功した。アルションバダンの除籍を検討する査問会にて、真実を明かすため、理事長室へ赴こう。聖レマノー大聖堂の「神学院の助祭」と話せば、理事長室に案内されるようだ。			戦神が導く聖戦							
すべての真相が明かされた。イシュガルドの真実の歴史を密かに伝える「伝承者」制度の犠牲者であるサテュールノワが、制度を支えたイシュガルド正教への復讐の第一歩として、聖アンダリム神学院を廃止するための工作だった。テオモサンは、真実を厳粛に受け止め、イシュガルド正教と聖アンダリム神学院の新生を提案した。これにて、特別顧問としての任務は完遂された。聖レマノー大聖堂の「テオモサン」と話そう。			すべての真相が明かされた。イシュガルドの真実の歴史を密かに伝える「伝承者」制度の犠牲者であるサテュールノワが、制度を支えたイシュガルド正教への復讐の第一歩として、聖アンダリム神学院を廃止するための工作だった。テオモサンは、真実を厳粛に受け止め、イシュガルド正教と聖アンダリム神学院の新生を提案した。これにて、特別顧問としての任務は完遂された。聖レマノー大聖堂の「テオモサン」と話そう。			戦神が導く聖戦							
学院関係者たちや、ブリアルディアンと別れの挨拶を済ませた。ブリアルディアンは、新たな事件を解決すべく旅立った。聖アンダリム神学院もまた、冒険者と神学生の活躍により、新たな道を踏み出した。			学院関係者たちや、ブリアルディアンと別れの挨拶を済ませた。ブリアルディアンは、新たな事件を解決すべく旅立った。聖アンダリム神学院もまた、冒険者と神学生の活躍により、新たな道を踏み出した。			戦神が導く聖戦							
アルションバダンと話す			アルションバダンと話す			戦神が導く聖戦							
神学院の助祭と話す			神学院の助祭と話す			戦神が導く聖戦							
聖レマノー大聖堂のテオモサンと話す			聖レマノー大聖堂のテオモサンと話す			戦神が導く聖戦							
真実が、明らかになるのでしょうか……？それまでは、誰を責めることもできません。			真実が、明らかになるのでしょうか……？それまでは、誰を責めることもできません。			戦神が導く聖戦							
事件屋男爵の話に、さっぱりついていけないぜ……。何がどうなってるのか、わかりやすく教えてほしいな。			事件屋男爵の話に、さっぱりついていけないぜ……。何がどうなってるのか、わかりやすく教えてほしいな。			戦神が導く聖戦							
さすがは事件屋男爵……。断片的な証拠から、何かを導きだしたようだね……。			さすがは事件屋男爵……。断片的な証拠から、何かを導きだしたようだね……。			戦神が導く聖戦							
ときに君たちは、ウラーが借りていた正教法大全11巻が、今どこにあるか知っているか？			ときに君たちは、ウラーが借りていた正教法大全11巻が、今どこにあるか知っているか？			戦神が導く聖戦							
怪文書を信じるなら、寮長室で見つかったらしいが……。ガセネタかもしれないし、今どこにあるのかなんて、さっぱりだよな……。			怪文書を信じるなら、寮長室で見つかったらしいが……。ガセネタかもしれないし、今どこにあるのかなんて、さっぱりだよな……。			戦神が導く聖戦							
どうやら、Forenameは、ルブラソワールとの約束を律儀に守っていたようだな……。			どうやら、Forenameは、ルブラソワールとの約束を律儀に守っていたようだな……。			戦神が導く聖戦							
ウラーの部屋から盗まれた11巻は、ぼくが所持している。ルブラソワールが寮長室で発見したと、密かにぼくまで届けてきたのだ。			ウラーの部屋から盗まれた11巻は、ぼくが所持している。ルブラソワールが寮長室で発見したと、密かにぼくまで届けてきたのだ。			戦神が導く聖戦							
では、君たちは、聖典をウラーの部屋から奪った者と、怪文書をまいた者の関係をどう考えるかね？			では、君たちは、聖典をウラーの部屋から奪った者と、怪文書をまいた者の関係をどう考えるかね？			戦神が導く聖戦							
聖典を盗んだ者と怪文書をまいた者の関係は？			聖典を盗んだ者と怪文書をまいた者の関係は？			戦神が導く聖戦							
同一人物だ			同一人物だ			戦神が導く聖戦							
協力関係にある			協力関係にある			戦神が導く聖戦							
無関係の別人			無関係の別人			戦神が導く聖戦							
…………			…………			戦神が導く聖戦							
そう考えるのが妥当だろう。どちらも、アルションバダンが不利になるという結果が一致する。つまり、行動の目的が一致しているからな。			そう考えるのが妥当だろう。どちらも、アルションバダンが不利になるという結果が一致する。つまり、行動の目的が一致しているからな。			戦神が導く聖戦							
すると、次に問題になるのは、犯人がウラーの部屋にいかにして忍び込んだのかということだ。			すると、次に問題になるのは、犯人がウラーの部屋にいかにして忍び込んだのかということだ。			戦神が導く聖戦							
よく考えてみるのだ。どちらの出来事も、アルションバダンが不利になるという、結果が一致している、つまり、行動の目的が一致している。			よく考えてみるのだ。どちらの出来事も、アルションバダンが不利になるという、結果が一致している、つまり、行動の目的が一致している。			戦神が導く聖戦							
ゆえに、犯人が同一人物、もしくは協力関係にあるはずだ。すると、次に問題になるのは、犯人がウラーの部屋にいかにして忍び込んだのかということだ。			ゆえに、犯人が同一人物、もしくは協力関係にあるはずだ。すると、次に問題になるのは、犯人がウラーの部屋にいかにして忍び込んだのかということだ。			戦神が導く聖戦							
寮の鍵を持つのは、管理人であるサテュールノワ司祭と、寮長アルションバダン、そして彼の補佐役ルブラソワールだけ。ちなみに寮長室だけは、例外的に司祭は鍵を持っていないそうだ。			寮の鍵を持つのは、管理人であるサテュールノワ司祭と、寮長アルションバダン、そして彼の補佐役ルブラソワールだけ。ちなみに寮長室だけは、例外的に司祭は鍵を持っていないそうだ。			戦神が導く聖戦							
じゃあ、誰かが、ウラーの部屋から11巻を盗み出して、寮長室に仕込んだとするなら、それができるのは……。			じゃあ、誰かが、ウラーの部屋から11巻を盗み出して、寮長室に仕込んだとするなら、それができるのは……。			戦神が導く聖戦							
誰が寮長室に11巻を仕込んだ？			誰が寮長室に11巻を仕込んだ？			戦神が導く聖戦							
アルションバダン			アルションバダン			戦神が導く聖戦							
ルブラソワール			ルブラソワール			戦神が導く聖戦							
…………			…………			戦神が導く聖戦							
やっぱり、アルションバダンが犯人か……？			やっぱり、アルションバダンが犯人か……？			戦神が導く聖戦							
待ってください、それはありません！自ら疑惑を招く行動をするはずがありませんから。			待ってください、それはありません！自ら疑惑を招く行動をするはずがありませんから。			戦神が導く聖戦							
……となると残る可能性は、ルブラソワールだね。でも、彼はアルションバダンの腹心だぞ？主を陥れるようなマネするかな……？			……となると残る可能性は、ルブラソワールだね。でも、彼はアルションバダンの腹心だぞ？主を陥れるようなマネするかな……？			戦神が導く聖戦							
腹心といっても、主の操り人形ではありませんし、何か深い事情や、お考えがあったのかもしれません。それさえわかれば……。			腹心といっても、主の操り人形ではありませんし、何か深い事情や、お考えがあったのかもしれません。それさえわかれば……。			戦神が導く聖戦							
ルブラソワールだって！？あいつは、アルションバダンの腹心だぞ。主を陥れるようなマネするかな……？			ルブラソワールだって！？あいつは、アルションバダンの腹心だぞ。主を陥れるようなマネするかな……？			戦神が導く聖戦							
腹心といっても、主の操り人形ではありませんし、何か深い事情や、お考えがあったのかもしれません。それさえわかれば……。			腹心といっても、主の操り人形ではありませんし、何か深い事情や、お考えがあったのかもしれません。それさえわかれば……。			戦神が導く聖戦							
やっぱり、アルションバダンが犯人だったってことか！？			やっぱり、アルションバダンが犯人だったってことか！？			戦神が導く聖戦							
待ってください、それはありません！自ら疑惑を招く行動をするはずがありませんから。			待ってください、それはありません！自ら疑惑を招く行動をするはずがありませんから。			戦神が導く聖戦							
……となると残る可能性は、ルブラソワールになるね。でも、彼はアルションバダンの腹心だよ？主への裏切りなんてしないでしょう。			……となると残る可能性は、ルブラソワールになるね。でも、彼はアルションバダンの腹心だよ？主への裏切りなんてしないでしょう。			戦神が導く聖戦							
腹心といっても、主の操り人形ではありませんし、何か深い事情や、お考えがあったのかもしれません。それさえわかれば……。			腹心といっても、主の操り人形ではありませんし、何か深い事情や、お考えがあったのかもしれません。それさえわかれば……。			戦神が導く聖戦							
……Forenameさん、貴方は、過去を視る力を使い、皇都の真実を暴いたと聞きました。その力を、貸してはもらえませんか？			……Forenameさん、貴方は、過去を視る力を使い、皇都の真実を暴いたと聞きました。その力を、貸してはもらえませんか？			戦神が導く聖戦							
なんと、自在に制御できる力ではないのですか……。でも、それは一般的には知られていない事実ですから、問題ありません。			なんと、自在に制御できる力ではないのですか……。でも、それは一般的には知られていない事実ですから、問題ありません。			戦神が導く聖戦							
実は、僕にちょっとした考えがあるのです。アルションバダンさんのところに、一緒に来てください。			実は、僕にちょっとした考えがあるのです。アルションバダンさんのところに、一緒に来てください。			戦神が導く聖戦							
おやおや、いったい何を思いついたのかな？気になるから、オレもついていっちゃおう。ふたりなら、寮を離れ、ゼーメル伯爵邸に身を寄せてるそうだよ。			おやおや、いったい何を思いついたのかな？気になるから、オレもついていっちゃおう。ふたりなら、寮を離れ、ゼーメル伯爵邸に身を寄せてるそうだよ。			戦神が導く聖戦							
果たして、純真な彼は、何を思いついたのやら？興味がそそられるところだが……そちらは君に任せたい。ぼくは、もう一度、教皇庁に出向かねばならなくなったのでね。			果たして、純真な彼は、何を思いついたのやら？興味がそそられるところだが……そちらは君に任せたい。ぼくは、もう一度、教皇庁に出向かねばならなくなったのでね。			戦神が導く聖戦							
だが、時間がないぞ。サテュールノワ司祭が、正式にアルションバダンの除籍を要求し、ほどなく査問会が理事長室で行われると聞いた。			だが、時間がないぞ。サテュールノワ司祭が、正式にアルションバダンの除籍を要求し、ほどなく査問会が理事長室で行われると聞いた。			戦神が導く聖戦							
結論が出てしまう前に、真相を突き止めなければならない！おそらく査問会が、特別顧問としての最後の戦場となるだろう。互いに刻限まで死力を尽くし、決戦の場で再会しよう！			結論が出てしまう前に、真相を突き止めなければならない！おそらく査問会が、特別顧問としての最後の戦場となるだろう。互いに刻限まで死力を尽くし、決戦の場で再会しよう！			戦神が導く聖戦							
わあ、アルションバダンさんが、またルブラソワールさんに八つ当たりを……。			わあ、アルションバダンさんが、またルブラソワールさんに八つ当たりを……。			戦神が導く聖戦							
こんな扱いをされりゃ、相手が主でも頭にくるよな……。俺だったら、一発お見舞いしてるところだぜ。			こんな扱いをされりゃ、相手が主でも頭にくるよな……。俺だったら、一発お見舞いしてるところだぜ。			戦神が導く聖戦							
さて、テオ君は、いったいどう真相を明らかにするのかな……？うまくいったら、どんな祝祭よりも興奮しちゃうよね。			さて、テオ君は、いったいどう真相を明らかにするのかな……？うまくいったら、どんな祝祭よりも興奮しちゃうよね。			戦神が導く聖戦							
調査結果の報告なら、後程受けましょう……。見てのとおり、取り込み中ですので、お引き取りを。			調査結果の報告なら、後程受けましょう……。見てのとおり、取り込み中ですので、お引き取りを。			戦神が導く聖戦							
……調査結果の報告か？ハッ、時すでに遅し……。じきに始まる査問会で、私の除籍が確定するだろう。			……調査結果の報告か？ハッ、時すでに遅し……。じきに始まる査問会で、私の除籍が確定するだろう。			戦神が導く聖戦							
諦めるなんて、貴方らしくありません。貴族の誇りに誓った貴方の言葉を、僕は信じています。査問会で、真実を明かしましょう！			諦めるなんて、貴方らしくありません。貴族の誇りに誓った貴方の言葉を、僕は信じています。査問会で、真実を明かしましょう！			戦神が導く聖戦							
真実……？これまで、あらゆる危機を回避してきたルブラソワールにさえ、手に負えぬ事案を、平民風情がどう解き明かすというのだ！？			真実……？これまで、あらゆる危機を回避してきたルブラソワールにさえ、手に負えぬ事案を、平民風情がどう解き明かすというのだ！？			戦神が導く聖戦							
心配いりません、できますよ……。なぜなら、ここにいらっしゃる特別顧問は、皇都の真実を暴いた英雄殿だからです！			心配いりません、できますよ……。なぜなら、ここにいらっしゃる特別顧問は、皇都の真実を暴いた英雄殿だからです！			戦神が導く聖戦							
それが、どういう結末につながるか……。ルブラソワールさんならば、もうおわかりですよね？			それが、どういう結末につながるか……。ルブラソワールさんならば、もうおわかりですよね？			戦神が導く聖戦							
英雄殿は、過去を視る力によって、皇都の真実を暴き、社会制度を変えてくださったのでしたね。つまり、この「聖戦」の真実も視とおしたということですか？			英雄殿は、過去を視る力によって、皇都の真実を暴き、社会制度を変えてくださったのでしたね。つまり、この「聖戦」の真実も視とおしたということですか？			戦神が導く聖戦							
ウフフフ……ならば、隠す必要はありませんね。それに、真犯人がわかったところで困ることはありません。充分に汚名を着て、泥を啜った気分を味わったことでしょう。			ウフフフ……ならば、隠す必要はありませんね。それに、真犯人がわかったところで困ることはありません。充分に汚名を着て、泥を啜った気分を味わったことでしょう。			戦神が導く聖戦							
そう、ウラーを誘拐し、彼女の部屋から聖典を奪って、主が所持していたと偽り、怪文書をばらまく……すべては、私が実行したことです。			そう、ウラーを誘拐し、彼女の部屋から聖典を奪って、主が所持していたと偽り、怪文書をばらまく……すべては、私が実行したことです。			戦神が導く聖戦							
ウフフフ……気分はいかがですか、わが主。貴方に長年憎悪を秘めつつ仕えた腹心による、渾身の報復は？			ウフフフ……気分はいかがですか、わが主。貴方に長年憎悪を秘めつつ仕えた腹心による、渾身の報復は？			戦神が導く聖戦							
聖戦……報復……？ルブラソワールよ、いったい何の話をしている……？			聖戦……報復……？ルブラソワールよ、いったい何の話をしている……？			戦神が導く聖戦							
心当たりすらありませんか……おめでたいことです。ならば、今こそ、思い知るがいいでしょう。我が一族が耐え忍んだ、ゼーメル家による不当な仕打ちの罪深さを！			心当たりすらありませんか……おめでたいことです。ならば、今こそ、思い知るがいいでしょう。我が一族が耐え忍んだ、ゼーメル家による不当な仕打ちの罪深さを！			戦神が導く聖戦							
貴族と平民を隔てる壁とは、先祖の行いか、運命か……。ならば、ゼーメルの血を引きながら、傍流というだけで、服従を強いられた我が一族と本家の壁とは？			貴族と平民を隔てる壁とは、先祖の行いか、運命か……。ならば、ゼーメルの血を引きながら、傍流というだけで、服従を強いられた我が一族と本家の壁とは？			戦神が導く聖戦							
この命題を、英雄殿が解き明かしてくれました。それは、どちらも真という絶望であり、「壁は自らの手で破壊できる」という希望……。			この命題を、英雄殿が解き明かしてくれました。それは、どちらも真という絶望であり、「壁は自らの手で破壊できる」という希望……。			戦神が導く聖戦							
ゆえに私は、己のために戦いを挑むと決意したのです。ウラーの誘拐や11巻の件、怪文書は、すべて私が手配しました。アルションバダンとゼーメル家を凋落させるためにね。			ゆえに私は、己のために戦いを挑むと決意したのです。ウラーの誘拐や11巻の件、怪文書は、すべて私が手配しました。アルションバダンとゼーメル家を凋落させるためにね。			戦神が導く聖戦							
復讐さえ果たせれば、たとえ私の罪が露見し、すべてを失っても構わない覚悟だったのです。			復讐さえ果たせれば、たとえ私の罪が露見し、すべてを失っても構わない覚悟だったのです。			戦神が導く聖戦							
必要な資金は、すべて寮長の資産を用いました。貴方は資産管理すら、私に丸投げでしたから、気付いておられなかったでしょうがね、ウフフフ……。			必要な資金は、すべて寮長の資産を用いました。貴方は資産管理すら、私に丸投げでしたから、気付いておられなかったでしょうがね、ウフフフ……。			戦神が導く聖戦							
それほどまでに憎悪をたぎらせていたなんて……。でも、その苦悩から解放されるときがきました。貴方の「告白」のおかげで、事件の全貌がわかりましたから。			それほどまでに憎悪をたぎらせていたなんて……。でも、その苦悩から解放されるときがきました。貴方の「告白」のおかげで、事件の全貌がわかりましたから。			戦神が導く聖戦							
なっ……まさか！？「聖戦」の過去を視たというのは嘘か！？			なっ……まさか！？「聖戦」の過去を視たというのは嘘か！？			戦神が導く聖戦							
おーっと、逃がさないよ。それに、テオ君を嘘つき呼ばわりするのは、いただけないな。英雄殿が過去を視ただなんて、テオ君は一言も言ってないよ？			おーっと、逃がさないよ。それに、テオ君を嘘つき呼ばわりするのは、いただけないな。英雄殿が過去を視ただなんて、テオ君は一言も言ってないよ？			戦神が導く聖戦							
はい、英雄殿が皇都の真実を暴いたと、お伝えしただけです。そもそも過去を視る力は、英雄殿の意思で、自在に使える力ではないそうですから。			はい、英雄殿が皇都の真実を暴いたと、お伝えしただけです。そもそも過去を視る力は、英雄殿の意思で、自在に使える力ではないそうですから。			戦神が導く聖戦							
それじゃあ、査問会で今の「告白」をしてもらえるかな？寮長さんも一緒に行こう、祝祭の始まりだからね～。			それじゃあ、査問会で今の「告白」をしてもらえるかな？寮長さんも一緒に行こう、祝祭の始まりだからね～。			戦神が導く聖戦							
あいつが、胸にこれほど怨念をたぎらせていたとは……。幼い頃から共にあったのに、私ときたら、あいつをなにひとつ理解していなかったのだな……。			あいつが、胸にこれほど怨念をたぎらせていたとは……。幼い頃から共にあったのに、私ときたら、あいつをなにひとつ理解していなかったのだな……。			戦神が導く聖戦							
ハッ、こんな私が世を導こうとしていたとは、とんだ茶番だ……。もっとも身近な者すら、導けやしなかったというのに……。			ハッ、こんな私が世を導こうとしていたとは、とんだ茶番だ……。もっとも身近な者すら、導けやしなかったというのに……。			戦神が導く聖戦							
いつか必ず、ルブラソワールさんとわかりあえる日が来ますよ。神の下では、すべての人が等しい存在なのです。それさえわかっていれば、きっと……。			いつか必ず、ルブラソワールさんとわかりあえる日が来ますよ。神の下では、すべての人が等しい存在なのです。それさえわかっていれば、きっと……。			戦神が導く聖戦							
神の下での平等か……。お前は、いかなる難局でも、信念を貫くのだな……。皆がお前を慕う理由……少しだけ、わかった気がするぞ。			神の下での平等か……。お前は、いかなる難局でも、信念を貫くのだな……。皆がお前を慕う理由……少しだけ、わかった気がするぞ。			戦神が導く聖戦							
