石の家のウヌクアルハイは、冒険者に蛮神問題に関する依頼をしたいようだ。			石の家のウヌクアルハイは、冒険者に蛮神問題に関する依頼をしたいようだ。			極まりし雲神ビスマルク							
ずいぶんと、身勝手な話ではなくて？あなたたちのおかげで、私たちはイゼルを喪った。それを今になって……！			ずいぶんと、身勝手な話ではなくて？あなたたちのおかげで、私たちはイゼルを喪った。それを今になって……！			永き冥路の果てに							
フン……やはり、そう出るか。しょせんは蛮族、一時の感情を超えた判断など期待できぬようだ。			フン……やはり、そう出るか。しょせんは蛮族、一時の感情を超えた判断など期待できぬようだ。			永き冥路の果てに							
氷の巫女の一件について、ここで弁明しようとは思わん。我らは我らの、貴様らは貴様らの正義をつらぬいた結果。だが、ひとつ言わせてもらうならば……			氷の巫女の一件について、ここで弁明しようとは思わん。我らは我らの、貴様らは貴様らの正義をつらぬいた結果。だが、ひとつ言わせてもらうならば……			永き冥路の果てに							
我々も貴様らに、多くの同胞を奪われているのだ！その、わだかまる思いを殺した上で、エオルゼアの英雄と呼ばれる貴様の異能……いや、理性に賭けた。			我々も貴様らに、多くの同胞を奪われているのだ！その、わだかまる思いを殺した上で、エオルゼアの英雄と呼ばれる貴様の異能……いや、理性に賭けた。			永き冥路の果てに							
蛮神討滅という一点において、我々は目的を一にする……。ならば一時の共闘関係を築くことも、できるはずだと？			蛮神討滅という一点において、我々は目的を一にする……。ならば一時の共闘関係を築くことも、できるはずだと？			永き冥路の果てに							
……ヤ・シュトラ嬢、私も素直に受け入れる気にはなれません。ただ光の戦士を頼みに義をかざすのは、それこそ身勝手というもの。決断はForenameさん自身にゆだねましょう。			……ヤ・シュトラ嬢、私も素直に受け入れる気にはなれません。ただ光の戦士を頼みに義をかざすのは、それこそ身勝手というもの。決断はForenameさん自身にゆだねましょう。			永き冥路の果てに							
なんと答える？			なんと答える？			永き冥路の果てに							
……まずは鬼神を止めよう			……まずは鬼神を止めよう			永き冥路の果てに							
帝国軍とは組めない			帝国軍とは組めない			永き冥路の果てに							
…………			…………			永き冥路の果てに							
………………仕方ないわ、ともに戦いましょう。ほかならぬ、あなた自身がそう言うのだから。			………………仕方ないわ、ともに戦いましょう。ほかならぬ、あなた自身がそう言うのだから。			永き冥路の果てに							
……僕たちもまた、蛮神に抗する異能を持つ者。最後まで、戦い抜くつもりです。			……僕たちもまた、蛮神に抗する異能を持つ者。最後まで、戦い抜くつもりです。			永き冥路の果てに							
……恩に着るぞ。			……恩に着るぞ。			永き冥路の果てに							
そうか……もとより、期待はしていなかった。すべては皇帝陛下のため、最も勝算の高い可能性に賭けたまで。邪魔したな。			そうか……もとより、期待はしていなかった。すべては皇帝陛下のため、最も勝算の高い可能性に賭けたまで。邪魔したな。			永き冥路の果てに							
僕は……同行します。			僕は……同行します。			永き冥路の果てに							
微弱ながら、僕にも蛮神に抗する異能があります。そして、事態は一刻の猶予もない……ならば……！			微弱ながら、僕にも蛮神に抗する異能があります。そして、事態は一刻の猶予もない……ならば……！			永き冥路の果てに							
……わたしも行くわ。いま何もしなかったら、一生後悔しそうだもの。Forenameさん、あとのことはよろしくね。			……わたしも行くわ。いま何もしなかったら、一生後悔しそうだもの。Forenameさん、あとのことはよろしくね。			永き冥路の果てに							
……後輩たちに、一本取られたようね。過去の因縁に囚われ、鬼神の覚醒を許しでもしたら……イゼルに顔向けできないわ。			……後輩たちに、一本取られたようね。過去の因縁に囚われ、鬼神の覚醒を許しでもしたら……イゼルに顔向けできないわ。			永き冥路の果てに							
いまならまだ、間に合います。……追いましょう、彼らを。			いまならまだ、間に合います。……追いましょう、彼らを。			永き冥路の果てに							
すぐには、答えが出せぬか……無理からぬことだ。だが返答を待つ猶予は、我にはない。こうする間にも、部下が蛮神討滅に身命を賭して戦っているのでな。			すぐには、答えが出せぬか……無理からぬことだ。だが返答を待つ猶予は、我にはない。こうする間にも、部下が蛮神討滅に身命を賭して戦っているのでな。			永き冥路の果てに							
……いいのでしょうか？彼らは、蛮神に抗する異能を持ちません。このままでは鬼神が完全に目覚め、取り返しのつかないことに……。			……いいのでしょうか？彼らは、蛮神に抗する異能を持ちません。このままでは鬼神が完全に目覚め、取り返しのつかないことに……。			永き冥路の果てに							
仇敵と手を組むべきだなんて、とても言えないけれど……このときを逃せば、事態が悪化する一方なのも事実ね。			仇敵と手を組むべきだなんて、とても言えないけれど……このときを逃せば、事態が悪化する一方なのも事実ね。			永き冥路の果てに							
その上、いまならば、厄介な帝国軍の妨害はない……。			その上、いまならば、厄介な帝国軍の妨害はない……。			永き冥路の果てに							
レグラを追って、提案を受け入れましょう。過去の因縁に囚われ、鬼神の覚醒を許した愚者……そんな汚名を着せられるのは、ごめんだわ。			レグラを追って、提案を受け入れましょう。過去の因縁に囚われ、鬼神の覚醒を許した愚者……そんな汚名を着せられるのは、ごめんだわ。			永き冥路の果てに							
ウリエンジェたちは、魔科学研究所の奥に向かいました。僕たちも続きましょう！			ウリエンジェたちは、魔科学研究所の奥に向かいました。僕たちも続きましょう！			永き冥路の果てに							
鬼神「ズルワーン」……！すでに、目を覚ましつつあるわ！			鬼神「ズルワーン」……！すでに、目を覚ましつつあるわ！			永き冥路の果てに							
アラグの装置を利用して、鬼神にエーテルを注いでいるようです。すみやかに供給源を断たねば……！			アラグの装置を利用して、鬼神にエーテルを注いでいるようです。すみやかに供給源を断たねば……！			永き冥路の果てに							
破壊すべきは…………あの4つか。			破壊すべきは…………あの4つか。			永き冥路の果てに							
待って……様子が変だわ！			待って……様子が変だわ！			永き冥路の果てに							
同士討ち……？いえ……鬼神の瘴気を浴びて、テンパードにされる者が出たんです！異能を持たぬ者が近づけば、二の舞に……！			同士討ち……？いえ……鬼神の瘴気を浴びて、テンパードにされる者が出たんです！異能を持たぬ者が近づけば、二の舞に……！			永き冥路の果てに							
……わたしたちが行くわ。Forenameさん、ウヌクアルハイくん。3人でいっせいに散開して、装置を破壊しましょう！			……わたしたちが行くわ。Forenameさん、ウヌクアルハイくん。3人でいっせいに散開して、装置を破壊しましょう！			永き冥路の果てに							
装置は4つ……3人では数が足らんな？残るひとつは、この剣で引き受けよう。要は、瘴気を浴びねばよいのだ！			装置は4つ……3人では数が足らんな？残るひとつは、この剣で引き受けよう。要は、瘴気を浴びねばよいのだ！			永き冥路の果てに							
ここに来た時点で、我々も肚(はら)は決まっています……！			ここに来た時点で、我々も肚(はら)は決まっています……！			永き冥路の果てに							
いや……この場は我にまかせてもらう。そのかわり、部下の救護を頼みたい。まだ、息のある者がいる……。			いや……この場は我にまかせてもらう。そのかわり、部下の救護を頼みたい。まだ、息のある者がいる……。			永き冥路の果てに							
……ひとりで、できるだろうか？こんなとき、もしも僕が、本当の…………			……ひとりで、できるだろうか？こんなとき、もしも僕が、本当の…………			永き冥路の果てに							
いちど戦場に立つと決めたのなら、戦い抜いてみせろ。蛮神に抗しうる異能……貴重な才を無駄にするな。			いちど戦場に立つと決めたのなら、戦い抜いてみせろ。蛮神に抗しうる異能……貴重な才を無駄にするな。			永き冥路の果てに							
……ゆくぞ！			……ゆくぞ！			永き冥路の果てに							
ズルワーンが…………！			ズルワーンが…………！			永き冥路の果てに							
ウヌクアルハイくん！			ウヌクアルハイくん！			永き冥路の果てに							
ヌォォオオッ！			ヌォォオオッ！			永き冥路の果てに							
止まってくれた……？			止まってくれた……？			永き冥路の果てに							
なぜ……僕をかばって……。			なぜ……僕をかばって……。			永き冥路の果てに							
無論……その異能ゆえだ。貴様が生きていれば、いつか皇帝陛下のお力になるやもしれん。蛮神ごときにくれてやるには、惜しい才だ……。			無論……その異能ゆえだ。貴様が生きていれば、いつか皇帝陛下のお力になるやもしれん。蛮神ごときにくれてやるには、惜しい才だ……。			永き冥路の果てに							
ヴァリス陛下は……戦しか知らぬ我を取り立て……後ろ盾となってくださった……。ゆえに我が命を、陛下に……帝国にささげることをためらいはせん。			ヴァリス陛下は……戦しか知らぬ我を取り立て……後ろ盾となってくださった……。ゆえに我が命を、陛下に……帝国にささげることをためらいはせん。			永き冥路の果てに							
グッ…………あとは貴様らに託すしかないようだ。兵たちを、頼む。そして星を蝕む、忌まわしき蛮神を……討て……。			グッ…………あとは貴様らに託すしかないようだ。兵たちを、頼む。そして星を蝕む、忌まわしき蛮神を……討て……。			永き冥路の果てに							
……いったん退いて、態勢を整えましょう。彼が、身命を賭して作った好機……逸するわけにはまいりません。			……いったん退いて、態勢を整えましょう。彼が、身命を賭して作った好機……逸するわけにはまいりません。			永き冥路の果てに							
魔大陸中枢へ向かうには、アジス・ラー旗艦島の「認証システム」に、話しかけてください。			魔大陸中枢へ向かうには、アジス・ラー旗艦島の「認証システム」に、話しかけてください。			永き冥路の果てに							
魔大陸中枢へ向かうには、アジス・ラー旗艦島の「認証システム」に、話しかけてください。			魔大陸中枢へ向かうには、アジス・ラー旗艦島の「認証システム」に、話しかけてください。			永き冥路の果てに							
「魔大陸中枢」へ移動しますか？			「魔大陸中枢」へ移動しますか？			永き冥路の果てに							
「魔大陸中枢」から退出しますか？			「魔大陸中枢」から退出しますか？			永き冥路の果てに							
レグラは相容れない思想の持ち主と思っていたけれど……敵ながら、尊敬に値する将だったわね……。			レグラは相容れない思想の持ち主と思っていたけれど……敵ながら、尊敬に値する将だったわね……。			永き冥路の果てに							
彼は皇帝にも、大いに信頼を置かれていたそうよ。蛮神の制御技術に欠陥があるという、レグラの判断は、今後、とても大きな意味を持つかもしれないわ。			彼は皇帝にも、大いに信頼を置かれていたそうよ。蛮神の制御技術に欠陥があるという、レグラの判断は、今後、とても大きな意味を持つかもしれないわ。			永き冥路の果てに							
ズルワーンを前にして、あらためて実感したわ。あなたたち「超える力」を持つ者たちは、これほどまでに危険な場所で戦っていたのだと……。			ズルワーンを前にして、あらためて実感したわ。あなたたち「超える力」を持つ者たちは、これほどまでに危険な場所で戦っていたのだと……。			永き冥路の果てに							
負傷兵たちは、命に別状こそありませんが……これ以上戦うのは無理です。本国から迎えが来るまで、ここにいてもらいましょう。			負傷兵たちは、命に別状こそありませんが……これ以上戦うのは無理です。本国から迎えが来るまで、ここにいてもらいましょう。			永き冥路の果てに							
敵に命を救われるなど……。だが、その生き恥も、軍団長閣下を本国へ送り届けるためならば、忍んで受けよう。			敵に命を救われるなど……。だが、その生き恥も、軍団長閣下を本国へ送り届けるためならば、忍んで受けよう。			永き冥路の果てに							
軍団長閣下と皇帝陛下は……年来の知友でもあった。陛下は、いたく悲しまれることだろう……。			軍団長閣下と皇帝陛下は……年来の知友でもあった。陛下は、いたく悲しまれることだろう……。			永き冥路の果てに							
頼む……ズルワーンの覚醒を止めてくれ。信者たちはまだ、研究所内に多数潜伏している。放っておけば、再び蛮神の覚醒を試みるはずだ……。			頼む……ズルワーンの覚醒を止めてくれ。信者たちはまだ、研究所内に多数潜伏している。放っておけば、再び蛮神の覚醒を試みるはずだ……。			永き冥路の果てに							
レグラ・ヴァン・ヒュドルス……。僕にもっと力があれば、彼は、死なずに済んだはずでした。			レグラ・ヴァン・ヒュドルス……。僕にもっと力があれば、彼は、死なずに済んだはずでした。			永き冥路の果てに							
その話はあと！いまはレグラのためにも、鬼神「ズルワーン」を確実に葬るのよ！			その話はあと！いまはレグラのためにも、鬼神「ズルワーン」を確実に葬るのよ！			永き冥路の果てに							
クルルの言うとおりね。レグラが命と引き換えに、拘束具を破壊したことで、ズルワーンは、半覚醒状態に戻ったけれど……			クルルの言うとおりね。レグラが命と引き換えに、拘束具を破壊したことで、ズルワーンは、半覚醒状態に戻ったけれど……			永き冥路の果てに							
生存者の話では、ほかにも信者が潜伏しているわ。残った装置で、また蛮神の覚醒を試みるはず……。			生存者の話では、ほかにも信者が潜伏しているわ。残った装置で、また蛮神の覚醒を試みるはず……。			永き冥路の果てに							
……まずは、その動きを抑えましょう。クルル嬢とウヌクアルハイとで、管制部に乗り込んで制圧。鬼神の完全覚醒を阻止してください。			……まずは、その動きを抑えましょう。クルル嬢とウヌクアルハイとで、管制部に乗り込んで制圧。鬼神の完全覚醒を阻止してください。			永き冥路の果てに							
……当然、テンパードの抵抗を受けるでしょうが、私とヤ・シュトラ嬢が先行し、これを殲滅します。			……当然、テンパードの抵抗を受けるでしょうが、私とヤ・シュトラ嬢が先行し、これを殲滅します。			永き冥路の果てに							
そして、この作戦の要は……Forenameさん、あなたです。			そして、この作戦の要は……Forenameさん、あなたです。			永き冥路の果てに							
えりすぐりの精鋭を率い、十全に準備を整えて、鬼神「ズルワーン」を、完膚なきまでに滅してください。……敵として出会い、同志として散った猛将の心に応えるためにも。			えりすぐりの精鋭を率い、十全に準備を整えて、鬼神「ズルワーン」を、完膚なきまでに滅してください。……敵として出会い、同志として散った猛将の心に応えるためにも。			永き冥路の果てに							
鬼神「ズルワーン」の討滅まで、あと、もう一歩よ！奮戦した決死隊とレグラのためにも、絶対、勝ちましょうね！			鬼神「ズルワーン」の討滅まで、あと、もう一歩よ！奮戦した決死隊とレグラのためにも、絶対、勝ちましょうね！			永き冥路の果てに							
僕には、覚悟が足りませんでした……。レグラの言葉どおり、戦場に立ったからには、次こそは一心に、自分の仕事を成しとげたいと思います。			僕には、覚悟が足りませんでした……。レグラの言葉どおり、戦場に立ったからには、次こそは一心に、自分の仕事を成しとげたいと思います。			永き冥路の果てに							
軍団長閣下の遺体は……我々の手で本国に移送する。遺品となった剣を回収できないのは、心残りだが……。			軍団長閣下の遺体は……我々の手で本国に移送する。遺品となった剣を回収できないのは、心残りだが……。			永き冥路の果てに							
決死隊に志願しながら、生き残ってしまうとは……無念至極。この怪我さえ癒えれば、まだ戦えるものを……！			決死隊に志願しながら、生き残ってしまうとは……無念至極。この怪我さえ癒えれば、まだ戦えるものを……！			永き冥路の果てに							
Forenameさん、本当におつかれさま！			Forenameさん、本当におつかれさま！			永き冥路の果てに							
最後まで抵抗を続けていたテンパードも、すべて殲滅したわ。「三闘神」討滅計画、ついに完了ね！			最後まで抵抗を続けていたテンパードも、すべて殲滅したわ。「三闘神」討滅計画、ついに完了ね！			永き冥路の果てに							
……貴方なしでは、決して成就しえなかったでしょう。			……貴方なしでは、決して成就しえなかったでしょう。			永き冥路の果てに							
そしてもうひとり、忘れてはならないのが……死地からの活路を切り拓き、散ったレグラです。			そしてもうひとり、忘れてはならないのが……死地からの活路を切り拓き、散ったレグラです。			永き冥路の果てに							
遺体は、生き残りの兵に伴われ、故国へ発ちました。彼らは神の存在を認めぬ民。自分たちなりの方法で、弔わせてほしい……と。			遺体は、生き残りの兵に伴われ、故国へ発ちました。彼らは神の存在を認めぬ民。自分たちなりの方法で、弔わせてほしい……と。			永き冥路の果てに							
休戦は、あくまで一時的なもの。次会うときは、彼らと斬り結ぶことになるかもしれない。……それでも、黙って送りだすほかなかったわ。			休戦は、あくまで一時的なもの。次会うときは、彼らと斬り結ぶことになるかもしれない。……それでも、黙って送りだすほかなかったわ。			永き冥路の果てに							
彼らの話では、実力主義で知られる現皇帝ヴァリスは、若き日からレグラと友誼を結び、その武才を高く買っていたそうよ。彼が軍団長にまで昇りつめたのも、現皇帝の推挙があったから。			彼らの話では、実力主義で知られる現皇帝ヴァリスは、若き日からレグラと友誼を結び、その武才を高く買っていたそうよ。彼が軍団長にまで昇りつめたのも、現皇帝の推挙があったから。			永き冥路の果てに							
愚直な武人を自認するレグラは、自分を取り立てた皇帝に、絶対の忠義を誓っていた……。そんな話を聞くと、少し切なくなるわね。			愚直な武人を自認するレグラは、自分を取り立てた皇帝に、絶対の忠義を誓っていた……。そんな話を聞くと、少し切なくなるわね。			永き冥路の果てに							
その最期は……間違いなく英雄的でした。レグラだけじゃありません。ためらわず渦中に飛び込んだ、クルル殿に、光の戦士……。			その最期は……間違いなく英雄的でした。レグラだけじゃありません。ためらわず渦中に飛び込んだ、クルル殿に、光の戦士……。			永き冥路の果てに							
それにひきかえ……僕は肝心なときに、何もできなかった……。光の戦士を支えて、世界を救うなど……そのような資格も、資質もない……。			それにひきかえ……僕は肝心なときに、何もできなかった……。光の戦士を支えて、世界を救うなど……そのような資格も、資質もない……。			永き冥路の果てに							
……不思議な悩み方をするのね。自分に資格があるかどうかなんて、気になるものかしら？			……不思議な悩み方をするのね。自分に資格があるかどうかなんて、気になるものかしら？			永き冥路の果てに							
それは…………僕自身の身の上が、そうさせるのかもしれません。次に「石の家」でお会いしたときに……すべてお話しします。			それは…………僕自身の身の上が、そうさせるのかもしれません。次に「石の家」でお会いしたときに……すべてお話しします。			永き冥路の果てに							
鬼神「ズルワーン」の討滅、本当におつかれさまでした。「暁」のみなさんも、もうすぐいらっしゃいます。しばし、お待ちください……。			鬼神「ズルワーン」の討滅、本当におつかれさまでした。「暁」のみなさんも、もうすぐいらっしゃいます。しばし、お待ちください……。			永き冥路の果てに							
先にお約束したとおり、包み隠さずにお話ししたいと思います。僕がいったい……何者か。			先にお約束したとおり、包み隠さずにお話ししたいと思います。僕がいったい……何者か。			永き冥路の果てに							
最初に、大切なことを言っておきます。僕は、この世界の……この次元の住人ではありません。			最初に、大切なことを言っておきます。僕は、この世界の……この次元の住人ではありません。			永き冥路の果てに							
故郷の次元で、「超える力」を持って生まれながら、滅びゆく世界を救えなかった幼き光、すなわち……			故郷の次元で、「超える力」を持って生まれながら、滅びゆく世界を救えなかった幼き光、すなわち……			永き冥路の果てに							
貴方に……「光の戦士」になれなかった存在です。			貴方に……「光の戦士」になれなかった存在です。			永き冥路の果てに							
世界が危機に瀕したとき、僕はただの幼子にすぎませんでした。長い歴史の中で、たった数年、生まれるのが遅かったために……ほかの英雄の卵たちも、孵(かえ)ることなく死んでゆきました。			世界が危機に瀕したとき、僕はただの幼子にすぎませんでした。長い歴史の中で、たった数年、生まれるのが遅かったために……ほかの英雄の卵たちも、孵(かえ)ることなく死んでゆきました。			永き冥路の果てに							
僕が救えなかった世界は…………「ヴォイド」と呼ばれています。			僕が救えなかった世界は…………「ヴォイド」と呼ばれています。			永き冥路の果てに							
滅びの原因は……やはり蛮神です。「聖石」と呼ばれる石に、蛮神の力を封じる魔法が濫用され、聖石をあやつる英雄たちは、いつしか石のしもべと化した……。			滅びの原因は……やはり蛮神です。「聖石」と呼ばれる石に、蛮神の力を封じる魔法が濫用され、聖石をあやつる英雄たちは、いつしか石のしもべと化した……。			永き冥路の果てに							
彼らは、生命の源であるエーテルを奪いあう「魔」に変貌しました。しかし「闇」に抗する「光」は、あまりにも弱く、争いを止めうる者は、どこにもいなかった……。			彼らは、生命の源であるエーテルを奪いあう「魔」に変貌しました。しかし「闇」に抗する「光」は、あまりにも弱く、争いを止めうる者は、どこにもいなかった……。			永き冥路の果てに							
魔と魔の争いは、さらなるエーテルの枯渇を呼び、ある日、「闇の氾濫」と呼ばれる世界の終焉が訪れました……。美しい世界を一瞬で「無」に帰した、霊災をも超える巨大な災厄が。			魔と魔の争いは、さらなるエーテルの枯渇を呼び、ある日、「闇の氾濫」と呼ばれる世界の終焉が訪れました……。美しい世界を一瞬で「無」に帰した、霊災をも超える巨大な災厄が。			永き冥路の果てに							
この世界で貴方がたが目にしたであろう、ヴォイドの妖異たち……彼らは、残りわずかなエーテルをむさぼる魔と化した、人や生きものの、なれの果てなのです……。			この世界で貴方がたが目にしたであろう、ヴォイドの妖異たち……彼らは、残りわずかなエーテルをむさぼる魔と化した、人や生きものの、なれの果てなのです……。			永き冥路の果てに							
戦いに敗れ、最期を迎えようとしていた僕の魂を見つけ、次元の狭間へと引き上げたのが、我が主……「エリディブス」と名乗る、白き衣のアシエンでした。			戦いに敗れ、最期を迎えようとしていた僕の魂を見つけ、次元の狭間へと引き上げたのが、我が主……「エリディブス」と名乗る、白き衣のアシエンでした。			永き冥路の果てに							
戦いに敗れ、最期を迎えようとしていた僕の魂を見つけ、次元の狭間へと引き上げたのが、我が主でした。……のちに、僕をウリエンジェに引き合わせた人物です。			戦いに敗れ、最期を迎えようとしていた僕の魂を見つけ、次元の狭間へと引き上げたのが、我が主でした。……のちに、僕をウリエンジェに引き合わせた人物です。			永き冥路の果てに							
彼は、この世界の理について、僕に講じました……。この世にはいくつもの次元が存在し、その在り方をめぐって、「闇」と「光」が争っていること。			彼は、この世界の理について、僕に講じました……。この世にはいくつもの次元が存在し、その在り方をめぐって、「闇」と「光」が争っていること。			永き冥路の果てに							
その均衡が急速に瓦解すれば、「闇の氾濫」のごとき大災厄が起き、ひとつの次元が「無」へ還る。それは、光と闇のいずれもが望まぬ、最悪の結果であること。			その均衡が急速に瓦解すれば、「闇の氾濫」のごとき大災厄が起き、ひとつの次元が「無」へ還る。それは、光と闇のいずれもが望まぬ、最悪の結果であること。			永き冥路の果てに							
「調停者」と名乗る彼は、原初世界……このハイデリンもまた、危機に瀕していると告げました。			「調停者」と名乗る彼は、原初世界……このハイデリンもまた、危機に瀕していると告げました。			永き冥路の果てに							
白き衣の調停者……。かの者がいかなる思惑を持って、そのことを告げたのか？その本性は、善か、悪か……？			白き衣の調停者……。かの者がいかなる思惑を持って、そのことを告げたのか？その本性は、善か、悪か……？			永き冥路の果てに							
それらについては、私がいつか、問いただすことにいたしましょう。いずれにせよ、ハイデリンが危地にあることは疑いなき事実。……それを知ったあなたは、どのような選択を？			それらについては、私がいつか、問いただすことにいたしましょう。いずれにせよ、ハイデリンが危地にあることは疑いなき事実。……それを知ったあなたは、どのような選択を？			永き冥路の果てに							
主の使いとなり、この世界へと送り込まれることを選びました。今度こそ世界を救いたい……故郷の惨禍を繰り返させたくない。それは間違いなく僕自身の想いであり、意思でした。			主の使いとなり、この世界へと送り込まれることを選びました。今度こそ世界を救いたい……故郷の惨禍を繰り返させたくない。それは間違いなく僕自身の想いであり、意思でした。			永き冥路の果てに							
けれど、いざという瞬間、僕は逡巡してしまった……。これでは世界を救うことなど、できそうもありません。			けれど、いざという瞬間、僕は逡巡してしまった……。これでは世界を救うことなど、できそうもありません。			永き冥路の果てに							
私の眼には、こう映ります……卵の殻を破れなかったあなたは、「英雄とは、如何にあるべきか？」という問いを前にして……信ずるに足る答えがみつけられず、立ちすくんでいる。			私の眼には、こう映ります……卵の殻を破れなかったあなたは、「英雄とは、如何にあるべきか？」という問いを前にして……信ずるに足る答えがみつけられず、立ちすくんでいる。			永き冥路の果てに							
……けれど、こう考えてはどうでしょう？英雄が世界を救うのではない。世界を救った者が、英雄と呼ばれるのだ……と。			……けれど、こう考えてはどうでしょう？英雄が世界を救うのではない。世界を救った者が、英雄と呼ばれるのだ……と。			永き冥路の果てに							
何を信じるかより、信じて行動すること自体が大事なときもあるわ。レグラは、最後まで皇帝への忠誠をつらぬいた。それが結果として、世界を救う英雄的行為となった……。			何を信じるかより、信じて行動すること自体が大事なときもあるわ。レグラは、最後まで皇帝への忠誠をつらぬいた。それが結果として、世界を救う英雄的行為となった……。			永き冥路の果てに							
わたしが信じてるのは…………たぶん、「仲間」かな？			わたしが信じてるのは…………たぶん、「仲間」かな？			永き冥路の果てに							
わたしが、迷いなく動けるのはね……もしも道を誤ったときは、Forenameさんたちが、正してくれる。……そう、信じてるから。			わたしが、迷いなく動けるのはね……もしも道を誤ったときは、Forenameさんたちが、正してくれる。……そう、信じてるから。			永き冥路の果てに							
「仲間」か……。			「仲間」か……。			永き冥路の果てに							
世界が最後の日を迎えるまで、僕はいつもひとりぼっちでした。だから仲間というのが、どういうものなのか、よく、わからなくて……。			世界が最後の日を迎えるまで、僕はいつもひとりぼっちでした。だから仲間というのが、どういうものなのか、よく、わからなくて……。			永き冥路の果てに							
たったひとりで、滅びの定めと戦いつづけてきたんだね。だけど、もう……			たったひとりで、滅びの定めと戦いつづけてきたんだね。だけど、もう……			永き冥路の果てに							
ひとりぼっちなんかじゃないよ。			ひとりぼっちなんかじゃないよ。			永き冥路の果てに							
……「暁」は、新しい仲間を歓迎するわ。			……「暁」は、新しい仲間を歓迎するわ。			永き冥路の果てに							
いつか世界を救えると信じて、僕は進みつづけようと思います。たとえ道を誤っても、正してくれる仲間がいますから。			いつか世界を救えると信じて、僕は進みつづけようと思います。たとえ道を誤っても、正してくれる仲間がいますから。			永き冥路の果てに							
…………すみません。長い時間、素顔でいるのはひさしぶりだったので……急に、恥ずかしくなってきました。			…………すみません。長い時間、素顔でいるのはひさしぶりだったので……急に、恥ずかしくなってきました。			永き冥路の果てに							
私は、素顔がいちばんと思いますけどね……。			私は、素顔がいちばんと思いますけどね……。			永き冥路の果てに							
ウリエンジェ…………その顔で言っても、まったく説得力がないわよ？			ウリエンジェ…………その顔で言っても、まったく説得力がないわよ？			永き冥路の果てに							
石の家のウヌクアルハイは、冒険者に渡したいものがあるようだ。			石の家のウヌクアルハイは、冒険者に渡したいものがあるようだ。			極まりし女神ソフィア							
ウヌクアルハイから、アラグの記録媒体を受け取った。所有者は、暴走状態に陥った女神「ソフィア」との模擬戦を体験できるという。アジス・ラー旗艦島の「認証システム」に「アラガントームストーン：女神」を渡そう。			ウヌクアルハイから、アラグの記録媒体を受け取った。所有者は、暴走状態に陥った女神「ソフィア」との模擬戦を体験できるという。アジス・ラー旗艦島の「認証システム」に「アラガントームストーン：女神」を渡そう。			極まりし女神ソフィア							
認証システムにアラガントームストーン：女神を渡し、模擬戦への参加登録が完了した。仲間とともに、暴走状態に陥った女神「ソフィア」を倒そう！※コンテンツファインダーから攻略に参加できます。			認証システムにアラガントームストーン：女神を渡し、模擬戦への参加登録が完了した。仲間とともに、暴走状態に陥った女神「ソフィア」を倒そう！※コンテンツファインダーから攻略に参加できます。			極まりし女神ソフィア							
アジス・ラー旗艦島の認証システムにアラガントームストーン：女神を渡す			アジス・ラー旗艦島の認証システムにアラガントームストーン：女神を渡す			極まりし女神ソフィア							
光の戦士よ、この品をお受け取りください。女神「ソフィア」を討った折に見つけたものです。			光の戦士よ、この品をお受け取りください。女神「ソフィア」を討った折に見つけたものです。			極まりし女神ソフィア							
お渡ししたのは、古代アラグ帝国で使われていた記録媒体です。「魔科学研究所」で使用すれば、女神が暴走状態に陥った状況を、想定した「模擬戦」に挑むことができます。			お渡ししたのは、古代アラグ帝国で使われていた記録媒体です。「魔科学研究所」で使用すれば、女神が暴走状態に陥った状況を、想定した「模擬戦」に挑むことができます。			極まりし女神ソフィア							
魔神「セフィロト」との一戦でも同様の品を手に入れましたが……それとは少し違う趣の「模擬戦」のようです。かつてアラグの闘士たちが臨んだ、大いなる「試練」の一環だとか。			魔神「セフィロト」との一戦でも同様の品を手に入れましたが……それとは少し違う趣の「模擬戦」のようです。かつてアラグの闘士たちが臨んだ、大いなる「試練」の一環だとか。			極まりし女神ソフィア							
古の猛者どもが挑んだ大いなる試練とは、どのようなものか……。その記録媒体を、アジス・ラー旗艦島の、「認証システム」に提示すれば、挑戦可能です。			古の猛者どもが挑んだ大いなる試練とは、どのようなものか……。その記録媒体を、アジス・ラー旗艦島の、「認証システム」に提示すれば、挑戦可能です。			極まりし女神ソフィア							
古の猛者どもが挑んだ大いなる試練とは、どのようなものか……。例の記録媒体を、アジス・ラー旗艦島の、「認証システム」に提示すれば、挑戦可能です。			古の猛者どもが挑んだ大いなる試練とは、どのようなものか……。例の記録媒体を、アジス・ラー旗艦島の、「認証システム」に提示すれば、挑戦可能です。			極まりし女神ソフィア							
ブゥン……「認証システム」起動……。「入隊プログラム」への参加を希望される方は、指定のアラガントームストーンを提示してください。			ブゥン……「認証システム」起動……。「入隊プログラム」への参加を希望される方は、指定のアラガントームストーンを提示してください。			極まりし女神ソフィア							
ブゥン……戦闘データ、転送完了……。「特殊選抜隊」への入隊プログラムを開始します。対女神「ソフィア」……難易度は「エクストリーム」に設定。			ブゥン……戦闘データ、転送完了……。「特殊選抜隊」への入隊プログラムを開始します。対女神「ソフィア」……難易度は「エクストリーム」に設定。			極まりし女神ソフィア							
