レヴナンツトールのラドヴァンは、新たな後継者を探しているようだ。			レヴナンツトールのラドヴァンは、新たな後継者を探しているようだ。			もうひとりのガンブレイカー							
さっそく、初仕事といきたいところだが、その前に護衛対象について、もう少し知っておきたい。エディシアさんについて、街中で情報収集しておこう。			さっそく、初仕事といきたいところだが、その前に護衛対象について、もう少し知っておきたい。エディシアさんについて、街中で情報収集しておこう。			殺害予告？ 人気演奏家を護れ！							
彼女の噂や評判を聞くことで、犯人の見当もつくかもしれない。目的地の視察もかねて、野外音楽堂の周辺で聞き込みをしよう。			彼女の噂や評判を聞くことで、犯人の見当もつくかもしれない。目的地の視察もかねて、野外音楽堂の周辺で聞き込みをしよう。			殺害予告？ 人気演奏家を護れ！							
この辺りで、エディシアさんについて聞き込みをして、私に報告を頼む。			この辺りで、エディシアさんについて聞き込みをして、私に報告を頼む。			殺害予告？ 人気演奏家を護れ！							
エディシア、すごい人気みたいだけど、かなり変わった娘らしいね……。			エディシア、すごい人気みたいだけど、かなり変わった娘らしいね……。			殺害予告？ 人気演奏家を護れ！							
エディシアは素晴らしい才能を持っているわ……			エディシアは素晴らしい才能を持っているわ……			殺害予告？ 人気演奏家を護れ！							
エディシアについて知りたいって？彼女はグリダニア音楽界に彗星のごとく現れた天才さ。とにかくその演奏力は、人間離れしているんだ。			エディシアについて知りたいって？彼女はグリダニア音楽界に彗星のごとく現れた天才さ。とにかくその演奏力は、人間離れしているんだ。			殺害予告？ 人気演奏家を護れ！							
エディシアの音楽会は常に満員御礼だよ。その演奏力もさることながら、彼女の奇抜なファッションや、個性的なキャラクターが、市民たちの人気を集めているようだね。			エディシアの音楽会は常に満員御礼だよ。その演奏力もさることながら、彼女の奇抜なファッションや、個性的なキャラクターが、市民たちの人気を集めているようだね。			殺害予告？ 人気演奏家を護れ！							
俺はエディシアに夢中なんだ！ただ、ファンの中には危険な者もいるみたいだ。彼女を独り占めしたいと考える輩がね……。			俺はエディシアに夢中なんだ！ただ、ファンの中には危険な者もいるみたいだ。彼女を独り占めしたいと考える輩がね……。			殺害予告？ 人気演奏家を護れ！							
脅迫状を送った犯人は、そういう類の奴だって、もっぱらの噂だよ。			脅迫状を送った犯人は、そういう類の奴だって、もっぱらの噂だよ。			殺害予告？ 人気演奏家を護れ！							
エディシアは、グリダニア音楽界に彗星のごとく現れた天才さ。とにかくその演奏力は、人間離れしているんだ。			エディシアは、グリダニア音楽界に彗星のごとく現れた天才さ。とにかくその演奏力は、人間離れしているんだ。			殺害予告？ 人気演奏家を護れ！							
エディシアの音楽会は常に満員御礼だよ。その演奏力もさることながら、彼女の奇抜なファッションや、個性的なキャラクターが、市民たちの人気を集めているようだね。			エディシアの音楽会は常に満員御礼だよ。その演奏力もさることながら、彼女の奇抜なファッションや、個性的なキャラクターが、市民たちの人気を集めているようだね。			殺害予告？ 人気演奏家を護れ！							
エディシアに脅迫状を送った犯人は、危険なファンだって、もっぱらの噂だよ。			エディシアに脅迫状を送った犯人は、危険なファンだって、もっぱらの噂だよ。			殺害予告？ 人気演奏家を護れ！							
聞き込みをしてくれたようだな。こちらの女性は、オンディヌさんといって、彼女もハープシコードの奏者らしい。			聞き込みをしてくれたようだな。こちらの女性は、オンディヌさんといって、彼女もハープシコードの奏者らしい。			殺害予告？ 人気演奏家を護れ！							
エディシアは素晴らしい才能を持っている娘よ。これからも、まだまだ伸びるはずなのに、活動休止に追い込まれるなんて、残念でならないの。			エディシアは素晴らしい才能を持っている娘よ。これからも、まだまだ伸びるはずなのに、活動休止に追い込まれるなんて、残念でならないの。			殺害予告？ 人気演奏家を護れ！							
脅迫状の送り主はきっと、行き過ぎたファンに違いないわ。でも、あなたたちがエディシアを護ってくれるそうでよかった。これで、彼女も安心して外に出られるわね……。			脅迫状の送り主はきっと、行き過ぎたファンに違いないわ。でも、あなたたちがエディシアを護ってくれるそうでよかった。これで、彼女も安心して外に出られるわね……。			殺害予告？ 人気演奏家を護れ！							
Forename、君が聞き込みで得た情報を教えてくれないか……？			Forename、君が聞き込みで得た情報を教えてくれないか……？			殺害予告？ 人気演奏家を護れ！							
ふむ……やはり、脅迫状を送ったのは、過激なファンである可能性が高いようだな。			ふむ……やはり、脅迫状を送ったのは、過激なファンである可能性が高いようだな。			殺害予告？ 人気演奏家を護れ！							
だとすると、本当に危害を加えるつもりというより、脅しをかけたかっただけかもしれないが、油断は禁物だ。さあ、準備を整えたらラサンシューさんのもとへ向かおう。			だとすると、本当に危害を加えるつもりというより、脅しをかけたかっただけかもしれないが、油断は禁物だ。さあ、準備を整えたらラサンシューさんのもとへ向かおう。			殺害予告？ 人気演奏家を護れ！							
ガンブレイカー、レベル60までのアクションを修得済みです。メインコマンドの「アクションリスト」から、使用できるアクションを確認してみましょう。			ガンブレイカー、レベル60までのアクションを修得済みです。メインコマンドの「アクションリスト」から、使用できるアクションを確認してみましょう。			殺害予告？ 人気演奏家を護れ！							
どうやら、ラサンシューさんの準備は万端のようだな。さて、初仕事といこう。			どうやら、ラサンシューさんの準備は万端のようだな。さて、初仕事といこう。			殺害予告？ 人気演奏家を護れ！							
エディシアって、どんな娘なんだろうね……？			エディシアって、どんな娘なんだろうね……？			殺害予告？ 人気演奏家を護れ！							
そちらも、準備ができたようですね。すみませんが、エディシアが支度に手間取っているので、もうしばらく、お待ちください。			そちらも、準備ができたようですね。すみませんが、エディシアが支度に手間取っているので、もうしばらく、お待ちください。			殺害予告？ 人気演奏家を護れ！							
おっまた～。あなたたちが、護ってくれる人？私はエディシア、どうぞよろぴくね～！			おっまた～。あなたたちが、護ってくれる人？私はエディシア、どうぞよろぴくね～！			殺害予告？ 人気演奏家を護れ！							
わ～い！おひさまてんてん、いい天気～！			わ～い！おひさまてんてん、いい天気～！			殺害予告？ 人気演奏家を護れ！							
想像以上に、変わった娘だったね……。それにしても、斬新なファッションセンスだわ……。			想像以上に、変わった娘だったね……。それにしても、斬新なファッションセンスだわ……。			殺害予告？ 人気演奏家を護れ！							
よ、よし、それでは護衛開始といこう。だが、この人数でぞろぞろ歩くと、目立ってしまい、かえって標的の到来を、犯人に報せてしまう恐れがある。			よ、よし、それでは護衛開始といこう。だが、この人数でぞろぞろ歩くと、目立ってしまい、かえって標的の到来を、犯人に報せてしまう恐れがある。			殺害予告？ 人気演奏家を護れ！							
護衛は、私とForename、このふたりに任せてくれないか……？			護衛は、私とForename、このふたりに任せてくれないか……？			殺害予告？ 人気演奏家を護れ！							
まあ、ふたりで充分そうだし、大人しく待っとくよ。			まあ、ふたりで充分そうだし、大人しく待っとくよ。			殺害予告？ 人気演奏家を護れ！							
確かに、私は足手まといにしかなりませんね……。どうか、エディシアをよろしくお願いします！			確かに、私は足手まといにしかなりませんね……。どうか、エディシアをよろしくお願いします！			殺害予告？ 人気演奏家を護れ！							
さあ、ミィ・ケット野外音楽堂まで、抜かりなくゆくぞ！			さあ、ミィ・ケット野外音楽堂まで、抜かりなくゆくぞ！			殺害予告？ 人気演奏家を護れ！							
お散歩、しゅっぱ～つ！			お散歩、しゅっぱ～つ！			殺害予告？ 人気演奏家を護れ！							
さあ、護衛開始だ！ミィ・ケット野外音楽堂まで、彼女を無事に届けるぞ！			さあ、護衛開始だ！ミィ・ケット野外音楽堂まで、彼女を無事に届けるぞ！			殺害予告？ 人気演奏家を護れ！							
その身なり、森で襲ってきた盗賊団の者か！？			その身なり、森で襲ってきた盗賊団の者か！？			殺害予告？ 人気演奏家を護れ！							
いいから、その小娘を置いていきな。さもなくば、力ずくで奪い取るまでだ！			いいから、その小娘を置いていきな。さもなくば、力ずくで奪い取るまでだ！			殺害予告？ 人気演奏家を護れ！							
そうはさせるか！Forename、エディシアさんを護るぞ！			そうはさせるか！Forename、エディシアさんを護るぞ！			殺害予告？ 人気演奏家を護れ！							
まさか、街中に盗賊団が潜んでいるとはな。しかし、なぜ奴らが彼女を……？			まさか、街中に盗賊団が潜んでいるとはな。しかし、なぜ奴らが彼女を……？			殺害予告？ 人気演奏家を護れ！							
あれは……！？人気ハープシコード奏者のエディシアじゃない！			あれは……！？人気ハープシコード奏者のエディシアじゃない！			殺害予告？ 人気演奏家を護れ！							
やれやれ、ファンに足止めされたか……。ものはついでだ、エディシアさんについて聞き込みしよう。			やれやれ、ファンに足止めされたか……。ものはついでだ、エディシアさんについて聞き込みしよう。			殺害予告？ 人気演奏家を護れ！							
(-セースリダ-)私はエディシアの大ファンなの！こんなに近くで見れるなんて感激だわ！			(-セースリダ-)私はエディシアの大ファンなの！こんなに近くで見れるなんて感激だわ！			殺害予告？ 人気演奏家を護れ！							
(-ミリス・アイアンハート-)エディシアの演奏は、探検にも劣らぬ魅力があるわ。活動休止したって聞いたけど、元気そうでなによりね。			(-ミリス・アイアンハート-)エディシアの演奏は、探検にも劣らぬ魅力があるわ。活動休止したって聞いたけど、元気そうでなによりね。			殺害予告？ 人気演奏家を護れ！							
(-ヤ・ミトラ-)エディシアが恨みを買うとしたら、行き過ぎたファンか、もしくは、彼女に嫉妬する同業者かしら……？			(-ヤ・ミトラ-)エディシアが恨みを買うとしたら、行き過ぎたファンか、もしくは、彼女に嫉妬する同業者かしら……？			殺害予告？ 人気演奏家を護れ！							
(-ジョナサス-)いまは、お前さんの体験談を聞いているときではない。とにかく、エディシアちゃんと握手を……			(-ジョナサス-)いまは、お前さんの体験談を聞いているときではない。とにかく、エディシアちゃんと握手を……			殺害予告？ 人気演奏家を護れ！							
(-ヤ・シュワエ-)エディシアの人気は本当にすごいの。彼女の登場で、ほかの演奏家がかすんじゃうくらいよ。			(-ヤ・シュワエ-)エディシアの人気は本当にすごいの。彼女の登場で、ほかの演奏家がかすんじゃうくらいよ。			殺害予告？ 人気演奏家を護れ！							
野郎ども！　うさぎ耳をつけた小娘を狙え！			野郎ども！　うさぎ耳をつけた小娘を狙え！			殺害予告？ 人気演奏家を護れ！							
事情はわからないけど、緊急事態のようね。回復は私に任せてちょうだい！			事情はわからないけど、緊急事態のようね。回復は私に任せてちょうだい！			殺害予告？ 人気演奏家を護れ！							
ほかにも敵の気配がする、よく周りに注意しておくんだ……。			ほかにも敵の気配がする、よく周りに注意しておくんだ……。			殺害予告？ 人気演奏家を護れ！							
なるほど、彼女の人気によってかすんでしまった、同業者の嫉妬という可能性もあるわけだな……。			なるほど、彼女の人気によってかすんでしまった、同業者の嫉妬という可能性もあるわけだな……。			殺害予告？ 人気演奏家を護れ！							
引き続き注意しながら進もう。奴らはどこから襲ってくるかわからないぞ。			引き続き注意しながら進もう。奴らはどこから襲ってくるかわからないぞ。			殺害予告？ 人気演奏家を護れ！							
「ロイヤルガード」の技を利用するんだ。敵を引き付けやすくなるぞ。			「ロイヤルガード」の技を利用するんだ。敵を引き付けやすくなるぞ。			殺害予告？ 人気演奏家を護れ！							
そ、そんな……わたぴは……ただ、おひさまを……			そ、そんな……わたぴは……ただ、おひさまを……			殺害予告？ 人気演奏家を護れ！							
私は右の盗賊を片付ける！Forenameは、左の奴らを頼む！			私は右の盗賊を片付ける！Forenameは、左の奴らを頼む！			殺害予告？ 人気演奏家を護れ！							
おい、何をやっている！？			おい、何をやっている！？			殺害予告？ 人気演奏家を護れ！							
加勢に感謝する！襲いくる盗賊団から、エディシアさんを護るのだ！			加勢に感謝する！襲いくる盗賊団から、エディシアさんを護るのだ！			殺害予告？ 人気演奏家を護れ！							
頭目の登場のようだな！君にソイルの使い方を教えておこう……。			頭目の登場のようだな！君にソイルの使い方を教えておこう……。			殺害予告？ 人気演奏家を護れ！							
「ソリッドバレル」でソイルに魔力を込めることができる。それによって強力な「ビートファング」を放てるぞ！			「ソリッドバレル」でソイルに魔力を込めることができる。それによって強力な「ビートファング」を放てるぞ！			殺害予告？ 人気演奏家を護れ！							
やるじゃないか！その調子で、このまま奴を片付けるぞ……！			やるじゃないか！その調子で、このまま奴を片付けるぞ……！			殺害予告？ 人気演奏家を護れ！							
クソッ、なんて強さだ。こんな手強い護衛がいるなんて、聞いてないぞ……。			クソッ、なんて強さだ。こんな手強い護衛がいるなんて、聞いてないぞ……。			殺害予告？ 人気演奏家を護れ！							
こいつらは私に任せてくれ。鬼哭隊屯所に連行し、ゆっくり話を聞いておこう。			こいつらは私に任せてくれ。鬼哭隊屯所に連行し、ゆっくり話を聞いておこう。			殺害予告？ 人気演奏家を護れ！							
さあ、ミィ・ケット野外音楽堂までもうすぐだ。最後まで抜かりなくゆこう。			さあ、ミィ・ケット野外音楽堂までもうすぐだ。最後まで抜かりなくゆこう。			殺害予告？ 人気演奏家を護れ！							
おかしい……真昼間なのにやけに静かだぞ……。			おかしい……真昼間なのにやけに静かだぞ……。			殺害予告？ 人気演奏家を護れ！							
(-仮面の女-)バカな娘ね……大人しく部屋に籠もってればいいものを……。			(-仮面の女-)バカな娘ね……大人しく部屋に籠もってればいいものを……。			殺害予告？ 人気演奏家を護れ！							
(-仮面の女-)アンタが音楽堂に来るって聞いたんで、大金をはたいて、ここを貸し切らせてもらったの。			(-仮面の女-)アンタが音楽堂に来るって聞いたんで、大金をはたいて、ここを貸し切らせてもらったの。			殺害予告？ 人気演奏家を護れ！							
(-仮面の女-)この舞台は私のものよ！もう二度と足を踏み入れられないよう、アンタには永遠に消えてもらうわ……！！			(-仮面の女-)この舞台は私のものよ！もう二度と足を踏み入れられないよう、アンタには永遠に消えてもらうわ……！！			殺害予告？ 人気演奏家を護れ！							
まったく、役に立たない奴らね。こうなったら、私のかわいい猫ちゃんの出番よ！			まったく、役に立たない奴らね。こうなったら、私のかわいい猫ちゃんの出番よ！			殺害予告？ 人気演奏家を護れ！							
どうやら、彼女が黒幕の脅迫者のようだが……まさか、魔獣をけしかける気か！？			どうやら、彼女が黒幕の脅迫者のようだが……まさか、魔獣をけしかける気か！？			殺害予告？ 人気演奏家を護れ！							
魔獣の攻撃を見極めてくれ！エディシアさんに危害が及ばないよう立ち回るんだ！			魔獣の攻撃を見極めてくれ！エディシアさんに危害が及ばないよう立ち回るんだ！			殺害予告？ 人気演奏家を護れ！							
この魔獣、魔力で紡いだ雷を誘導できるようだ！			この魔獣、魔力で紡いだ雷を誘導できるようだ！			殺害予告？ 人気演奏家を護れ！							
エディシアさんに当たる前に、体当たりして散らすんだ！			エディシアさんに当たる前に、体当たりして散らすんだ！			殺害予告？ 人気演奏家を護れ！							
アンタたち、さっさとやっちまいな！			アンタたち、さっさとやっちまいな！			殺害予告？ 人気演奏家を護れ！							
チッ、まだ盗賊が残っていたようだ！先に奴らから倒すぞ！			チッ、まだ盗賊が残っていたようだ！先に奴らから倒すぞ！			殺害予告？ 人気演奏家を護れ！							
よし、これで片付いたようだな……。			よし、これで片付いたようだな……。			殺害予告？ 人気演奏家を護れ！							
私の……かわいい……猫ちゃんが……。			私の……かわいい……猫ちゃんが……。			殺害予告？ 人気演奏家を護れ！							
紫雷の数が増えたぞ！エディシアさんに当たる前に急げ！			紫雷の数が増えたぞ！エディシアさんに当たる前に急げ！			殺害予告？ 人気演奏家を護れ！							
さあ、アンタたちには、大金を払ったんだから、ちゃんと働いてちょうだい！			さあ、アンタたちには、大金を払ったんだから、ちゃんと働いてちょうだい！			殺害予告？ 人気演奏家を護れ！							
Forename、手分けして戦うぞ！エディシアさんを必ず護り切るんだ！			Forename、手分けして戦うぞ！エディシアさんを必ず護り切るんだ！			殺害予告？ 人気演奏家を護れ！							
もう逃げられんぞ。手荒な真似はしたくない、正体を現すんだ……。			もう逃げられんぞ。手荒な真似はしたくない、正体を現すんだ……。			殺害予告？ 人気演奏家を護れ！							
あんたは……ハープシコード奏者の……なぜ、彼女を狙った……？			あんたは……ハープシコード奏者の……なぜ、彼女を狙った……？			殺害予告？ 人気演奏家を護れ！							
ふん、エディシアのおかげで、私の人気は衰え忘れ去られた……。派手な格好でひと目を引いただけの、ぽっと出の小娘に！忌々しいったら、ありゃしない！			ふん、エディシアのおかげで、私の人気は衰え忘れ去られた……。派手な格好でひと目を引いただけの、ぽっと出の小娘に！忌々しいったら、ありゃしない！			殺害予告？ 人気演奏家を護れ！							
騒ぎが聞こえたから、神勇隊の人と駆けつけたんだ。とにかく、無事なようでよかった……。			騒ぎが聞こえたから、神勇隊の人と駆けつけたんだ。とにかく、無事なようでよかった……。			殺害予告？ 人気演奏家を護れ！							
オンディヌは神勇隊が連行しておいた。まさか、彼女が盗賊団を雇ってこんなことを企てるとはね……。			オンディヌは神勇隊が連行しておいた。まさか、彼女が盗賊団を雇ってこんなことを企てるとはね……。			殺害予告？ 人気演奏家を護れ！							
オンディヌはハープシコードのベテラン奏者であり、グリダニアでは有名な富豪のひとりなんだ。そして、盗賊団の強盗に遭った被害者だった。			オンディヌはハープシコードのベテラン奏者であり、グリダニアでは有名な富豪のひとりなんだ。そして、盗賊団の強盗に遭った被害者だった。			殺害予告？ 人気演奏家を護れ！							
おそらく、そのときに盗賊団と密かに繋がり、エディシア嬢の殺害を依頼したのだろう……。			おそらく、そのときに盗賊団と密かに繋がり、エディシア嬢の殺害を依頼したのだろう……。			殺害予告？ 人気演奏家を護れ！							
よもや、奴らが街中へと侵入し、人気奏者を襲おうとしていたとは、想定外だったよ。今回のキミたちの働きには、深く感謝するッ！			よもや、奴らが街中へと侵入し、人気奏者を襲おうとしていたとは、想定外だったよ。今回のキミたちの働きには、深く感謝するッ！			殺害予告？ 人気演奏家を護れ！							
この度は、誠にありがとうございました。黒幕も捕まったことで、これからは安心して、エディシアの音楽活動を再開させることができます。			この度は、誠にありがとうございました。黒幕も捕まったことで、これからは安心して、エディシアの音楽活動を再開させることができます。			殺害予告？ 人気演奏家を護れ！							
ところで、盗賊団の狙いがエディシアなら、なんで、アタシたちは森でヤツらに襲われたんだろう……？			ところで、盗賊団の狙いがエディシアなら、なんで、アタシたちは森でヤツらに襲われたんだろう……？			殺害予告？ 人気演奏家を護れ！							
それはきっと、あなたの耳のせい。私をよく知らない盗賊団が、間違えて襲ったんだわ。			それはきっと、あなたの耳のせい。私をよく知らない盗賊団が、間違えて襲ったんだわ。			殺害予告？ 人気演奏家を護れ！							
護ってくれて、本当にありがとう。あなたたちに、ぜひともお話したいことがあるの。でも、人前では話しにくいから……場所を変えてもいい？			護ってくれて、本当にありがとう。あなたたちに、ぜひともお話したいことがあるの。でも、人前では話しにくいから……場所を変えてもいい？			殺害予告？ 人気演奏家を護れ！							
エディシア？人前で話しにくいこととは何でしょう……？			エディシア？人前で話しにくいこととは何でしょう……？			殺害予告？ 人気演奏家を護れ！							
ラサンシューはもう帰って、レディのデリケートな話だから、絶対に教えない。			ラサンシューはもう帰って、レディのデリケートな話だから、絶対に教えない。			殺害予告？ 人気演奏家を護れ！							
ええ……？そ、そんな……。			ええ……？そ、そんな……。			殺害予告？ 人気演奏家を護れ！							
それじゃあ、お手数だけど、あなたたちは、グレートローム農場までついてきて。			それじゃあ、お手数だけど、あなたたちは、グレートローム農場までついてきて。			殺害予告？ 人気演奏家を護れ！							
トホホ、なんで私だけ……。大人しく、事務所に帰ることにします。本当にお世話になりました……。			トホホ、なんで私だけ……。大人しく、事務所に帰ることにします。本当にお世話になりました……。			殺害予告？ 人気演奏家を護れ！							
さて、いったい何の話だろうか……。			さて、いったい何の話だろうか……。			殺害予告？ 人気演奏家を護れ！							
どうする？愛の告白だったら……。			どうする？愛の告白だったら……。			殺害予告？ 人気演奏家を護れ！							
手間をかけさせて、ごめんね。護ってくれたあなたたちには、本当のことを知ってほしくて……。私が外に出たいと言ったのは、単なるワガママじゃなかったの。			手間をかけさせて、ごめんね。護ってくれたあなたたちには、本当のことを知ってほしくて……。私が外に出たいと言ったのは、単なるワガママじゃなかったの。			殺害予告？ 人気演奏家を護れ！							
こ、これは、いったい……？			こ、これは、いったい……？			殺害予告？ 人気演奏家を護れ！							
シルフ族という獣人だと……？			シルフ族という獣人だと……？			殺害予告？ 人気演奏家を護れ！							
そう、わたぴの正体はシルフ族。ハープシコードの音色に魅せられ、ヒトに化けて奏者になったのでふっち。			そう、わたぴの正体はシルフ族。ハープシコードの音色に魅せられ、ヒトに化けて奏者になったのでふっち。			殺害予告？ 人気演奏家を護れ！							
シルフ族には光合成が欠かせないのでふっち。長い間、部屋に籠っていると死んでしまうから、どうしても外に出て、日光を浴びる必要があったのでふっち。			シルフ族には光合成が欠かせないのでふっち。長い間、部屋に籠っていると死んでしまうから、どうしても外に出て、日光を浴びる必要があったのでふっち。			殺害予告？ 人気演奏家を護れ！							
このことは、ラサンシューも知らない。これからも、大好きなハープシコードを演奏したいから、わたぴの正体、どうか秘密にしておいてほしいでふっち。			このことは、ラサンシューも知らない。これからも、大好きなハープシコードを演奏したいから、わたぴの正体、どうか秘密にしておいてほしいでふっち。			殺害予告？ 人気演奏家を護れ！							
もちろんだとも。ここで見たことは、墓まで持っていくことにしよう。			もちろんだとも。ここで見たことは、墓まで持っていくことにしよう。			殺害予告？ 人気演奏家を護れ！							
どうもありがとう！いつか、あなたたちも、私の演奏を聴きにきて。それじゃあまたね、バイビー！			どうもありがとう！いつか、あなたたちも、私の演奏を聴きにきて。それじゃあまたね、バイビー！			殺害予告？ 人気演奏家を護れ！							
思わぬ幕切れとなったが、初仕事を無事に終えたな。そして君は、私の見込み以上に、ガンブレイカーとしての素質を備えていたようだ。			思わぬ幕切れとなったが、初仕事を無事に終えたな。そして君は、私の見込み以上に、ガンブレイカーとしての素質を備えていたようだ。			殺害予告？ 人気演奏家を護れ！							
いまこそ、話が途中になっていた、我らガンブレイカーのルーツを教えよう……。			いまこそ、話が途中になっていた、我らガンブレイカーのルーツを教えよう……。			殺害予告？ 人気演奏家を護れ！							
古代アラグ帝国が栄華を誇っていた、第三星暦時代。少数民族だったロスガル族は、巨大帝国に虐げられ、僻地に築いた小国でひっそりと暮らしていた。			古代アラグ帝国が栄華を誇っていた、第三星暦時代。少数民族だったロスガル族は、巨大帝国に虐げられ、僻地に築いた小国でひっそりと暮らしていた。			殺害予告？ 人気演奏家を護れ！							
彼らを率いていた女王の名は「グンヒルド」。そして、女王を護る近衛たちは、特殊な剣を持っていた。武器であると同時に魔器でもある品を……。			彼らを率いていた女王の名は「グンヒルド」。そして、女王を護る近衛たちは、特殊な剣を持っていた。武器であると同時に魔器でもある品を……。			殺害予告？ 人気演奏家を護れ！							
そう、「ガン」とはグンヒルドが略されたものであり、ガンブレードとは「グンヒルドの剣」という意味なのだ。			そう、「ガン」とはグンヒルドが略されたものであり、ガンブレードとは「グンヒルドの剣」という意味なのだ。			殺害予告？ 人気演奏家を護れ！							
その後、アラグ帝国で弾丸を発射する武器が考案されたとき、形状がガンブレードに似ていたために「ガン」と呼ばれた。今に続く「銃」という言葉のルーツは、そこにある。			その後、アラグ帝国で弾丸を発射する武器が考案されたとき、形状がガンブレードに似ていたために「ガン」と呼ばれた。今に続く「銃」という言葉のルーツは、そこにある。			殺害予告？ 人気演奏家を護れ！							
親衛隊の一族はアラグ帝国の侵略に抗い続け、ことさらまがい物の「銃」を目の敵にして破壊した。そこから、彼らは「ガンブレイカー」と呼ばれるようになったのだ。			親衛隊の一族はアラグ帝国の侵略に抗い続け、ことさらまがい物の「銃」を目の敵にして破壊した。そこから、彼らは「ガンブレイカー」と呼ばれるようになったのだ。			殺害予告？ 人気演奏家を護れ！							
結局、第四霊災によって、小国はアラグ帝国もろとも滅びた。ガンブレイカーの技は、生き残った一族によって長い間、ひっそりと継承されてきたが、それがいま途絶えつつある。			結局、第四霊災によって、小国はアラグ帝国もろとも滅びた。ガンブレイカーの技は、生き残った一族によって長い間、ひっそりと継承されてきたが、それがいま途絶えつつある。			殺害予告？ 人気演奏家を護れ！							
かくいう私も、その一族の末裔。君にガンブレイカーとなってもらったのは、消えゆく技を引き継いでほしかった、という意図もあったのだ……。			かくいう私も、その一族の末裔。君にガンブレイカーとなってもらったのは、消えゆく技を引き継いでほしかった、という意図もあったのだ……。			殺害予告？ 人気演奏家を護れ！							
もう終わった……？ともかく、オッサンが言いたいのは、今後もキミに、ガンブレイカーとして精進してほしいってこと。			もう終わった……？ともかく、オッサンが言いたいのは、今後もキミに、ガンブレイカーとして精進してほしいってこと。			殺害予告？ 人気演奏家を護れ！							
ま、まあ……結論はそういうことだ。本当は一族以外の者に、技を授けるのは伝統に反するのだが、君という逸材を見つけ、いてもたってもいられなくなったんだ……。			ま、まあ……結論はそういうことだ。本当は一族以外の者に、技を授けるのは伝統に反するのだが、君という逸材を見つけ、いてもたってもいられなくなったんだ……。			殺害予告？ 人気演奏家を護れ！							
さて、エオルゼアといっても広い。グリダニアだけに留まらず、次の都市に向かおうと思う。ほかの地にも、きっと護衛を必要としている人がいるはずだ。			さて、エオルゼアといっても広い。グリダニアだけに留まらず、次の都市に向かおうと思う。ほかの地にも、きっと護衛を必要としている人がいるはずだ。			殺害予告？ 人気演奏家を護れ！							
それじゃあ、ウルダハに行こう！商人の国だから、いろんな物が売ってるらしいね！			それじゃあ、ウルダハに行こう！商人の国だから、いろんな物が売ってるらしいね！			殺害予告？ 人気演奏家を護れ！							
それでは、ウルダハへ向かおう。冒険者ギルドは各都市にあると聞いた。まずは、そこで仕事を探すことにしよう。			それでは、ウルダハへ向かおう。冒険者ギルドは各都市にあると聞いた。まずは、そこで仕事を探すことにしよう。			殺害予告？ 人気演奏家を護れ！							
いろんな物が売ってて目移りしちゃうね！さっそく、この服を買っちゃったよ……！			いろんな物が売ってて目移りしちゃうね！さっそく、この服を買っちゃったよ……！			殺害予告？ 人気演奏家を護れ！							
ウルダハとは、かくも活気に溢れた街なのだな。絶望や諦観が蔓延する帝国属州とは大違いだ。			ウルダハとは、かくも活気に溢れた街なのだな。絶望や諦観が蔓延する帝国属州とは大違いだ。			殺害予告？ 人気演奏家を護れ！							
本当に賑やかでいいもんだね！さっそく、この服を買っちゃったよ……！			本当に賑やかでいいもんだね！さっそく、この服を買っちゃったよ……！			殺害予告？ 人気演奏家を護れ！							
冒険者ギルドに、護衛の依頼がないか聞いてみたが、さすがに、そう都合よくはないようだ。仕事が入るまで、君はしばらく腕を磨いておいてくれ。			冒険者ギルドに、護衛の依頼がないか聞いてみたが、さすがに、そう都合よくはないようだ。仕事が入るまで、君はしばらく腕を磨いておいてくれ。			殺害予告？ 人気演奏家を護れ！							
※本クエストは、ジョブ「ガンブレイカー」の修得クエストです。エーテライト・プラザの実直な神勇隊士は、人を募っているようだ。			※本クエストは、ジョブ「ガンブレイカー」の修得クエストです。エーテライト・プラザの実直な神勇隊士は、人を募っているようだ。			ガンブレイカーへの誘い							
実直な神勇隊士から、盗賊団の捜索を頼まれた。東部森林の茨の森の「指定地点」で見渡そう。			実直な神勇隊士から、盗賊団の捜索を頼まれた。東部森林の茨の森の「指定地点」で見渡そう。			ガンブレイカーへの誘い							
指定地点で見渡したところ、異国風のふたりが盗賊に襲われていた。茨の森でいきり立った盗賊を討伐しよう。			指定地点で見渡したところ、異国風のふたりが盗賊に襲われていた。茨の森でいきり立った盗賊を討伐しよう。			ガンブレイカーへの誘い							
いきり立った盗賊を討伐した。茨の森の「未知の武器を持つ大男」を救助しよう。			いきり立った盗賊を討伐した。茨の森の「未知の武器を持つ大男」を救助しよう。			ガンブレイカーへの誘い							
未知の武器を持つ大男を救助した。彼らは、イルサバード大陸から護衛稼業を始めるため、エオルゼアに来たそうだ。冒険者はガンブレイカーとなり、護衛稼業を手伝うことを頼まれた。茨の森の「ラドヴァン」に返事を伝えよう。			未知の武器を持つ大男を救助した。彼らは、イルサバード大陸から護衛稼業を始めるため、エオルゼアに来たそうだ。冒険者はガンブレイカーとなり、護衛稼業を手伝うことを頼まれた。茨の森の「ラドヴァン」に返事を伝えよう。			ガンブレイカーへの誘い							
