ポルタ・プレトリアのアラミゴ解放軍の上級闘士は、冒険者を待っていたようだ。			ポルタ・プレトリアのアラミゴ解放軍の上級闘士は、冒険者を待っていたようだ。			英雄への鎮魂歌							
しかし、ヨツユが神降ろしに手を染めようとは……。ゴウセツは言葉もなく、去ってしまったが、その心中を思えば、致し方あるまい。			しかし、ヨツユが神降ろしに手を染めようとは……。ゴウセツは言葉もなく、去ってしまったが、その心中を思えば、致し方あるまい。			十六夜の月							
ゴウセツは、自ら漕いできた小舟で町人地へ帰ったようです。徴用兵らも大方は、海賊衆の関船で脱出させましたが、逃げ遅れた者たちがいたので、川岸に待たせてあります。			ゴウセツは、自ら漕いできた小舟で町人地へ帰ったようです。徴用兵らも大方は、海賊衆の関船で脱出させましたが、逃げ遅れた者たちがいたので、川岸に待たせてあります。			十六夜の月							
よし、その者たちとともに、ドマ町人地へ帰るとするか。徴用兵らが戻ってきた喜びを分かち合おうではないか。			よし、その者たちとともに、ドマ町人地へ帰るとするか。徴用兵らが戻ってきた喜びを分かち合おうではないか。			十六夜の月							
ゴウセツが去って、寂しくなるわね……。そうだ、あの海賊衆の船大工見習いのお父さんも、無事に戻ってきたみたいだから、声をかけてあげたらどう？			ゴウセツが去って、寂しくなるわね……。そうだ、あの海賊衆の船大工見習いのお父さんも、無事に戻ってきたみたいだから、声をかけてあげたらどう？			十六夜の月							
ゴウセツが頭を丸めたのには驚いたが、侍大将らしく潔い幕引きだった。奴が抜けた穴は、私が何とか埋めねばな……。			ゴウセツが頭を丸めたのには驚いたが、侍大将らしく潔い幕引きだった。奴が抜けた穴は、私が何とか埋めねばな……。			十六夜の月							
あなたは、ヒエン様と関船を点検してくれた方ですね？おかげさまで、父が無事に戻ってきたんですよ！			あなたは、ヒエン様と関船を点検してくれた方ですね？おかげさまで、父が無事に戻ってきたんですよ！			十六夜の月							
しかも、頭領が海賊から足を洗えと言ってくれて……俺はこれから、父とともにドマで暮らします！こんな日が来るなんて、夢のようです……！			しかも、頭領が海賊から足を洗えと言ってくれて……俺はこれから、父とともにドマで暮らします！こんな日が来るなんて、夢のようです……！			十六夜の月							
……ふう。行ってしまったか……ゴウセツ…………。			……ふう。行ってしまったか……ゴウセツ…………。			十六夜の月							
さぁて、そなたらには、まっこと世話になったな！改めて礼を言いたい、「帰燕館」まで来てくれ。			さぁて、そなたらには、まっこと世話になったな！改めて礼を言いたい、「帰燕館」まで来てくれ。			十六夜の月							
これで、ドマも落ち着いたわね。みんなに報告することが盛りだくさんだわ。			これで、ドマも落ち着いたわね。みんなに報告することが盛りだくさんだわ。			十六夜の月							
ヒエン様にとってゴウセツは、幼い頃よりの剣の師。笑顔で送り出してはいたが、その胸中は察して余りある。			ヒエン様にとってゴウセツは、幼い頃よりの剣の師。笑顔で送り出してはいたが、その胸中は察して余りある。			十六夜の月							
そなたらの尽力のおかげで、徴用兵たちが無事に戻ってきた。これで、復興にも追い風が吹くはずだ。まこと感謝しておる……ありがとう。			そなたらの尽力のおかげで、徴用兵たちが無事に戻ってきた。これで、復興にも追い風が吹くはずだ。まこと感謝しておる……ありがとう。			十六夜の月							
アサヒの背後にいるゼノスを騙る存在の動きが気になるが、この件に関しては、アルフィノの報告を待つよりない。しばらくはゴウセツに誇れる国造りに、励むとしよう。			アサヒの背後にいるゼノスを騙る存在の動きが気になるが、この件に関しては、アルフィノの報告を待つよりない。しばらくはゴウセツに誇れる国造りに、励むとしよう。			十六夜の月							
去った今だからこそ言うが、ゴウセツが、記憶を失ったヨツユに対して、あんなにも肩入れしたことには、事情があってな……。			去った今だからこそ言うが、ゴウセツが、記憶を失ったヨツユに対して、あんなにも肩入れしたことには、事情があってな……。			十六夜の月							
25年前……ゴウセツは、帝国の侵攻時に妻と娘を失っておるのだ。あやつは童返りしたヨツユに、亡き娘の姿を、少なからず重ねていたに違いない。			25年前……ゴウセツは、帝国の侵攻時に妻と娘を失っておるのだ。あやつは童返りしたヨツユに、亡き娘の姿を、少なからず重ねていたに違いない。			十六夜の月							
妻子を失ってからのゴウセツは、ドマという国に、人生のすべてを捧げてくれていた。知ってのとおり、精根尽き果て倒れるまでな……。			妻子を失ってからのゴウセツは、ドマという国に、人生のすべてを捧げてくれていた。知ってのとおり、精根尽き果て倒れるまでな……。			十六夜の月							
失った娘の代わりというわけにはいかんが、あやつには、ツユとともに、穏やかな余生をおくってもらいたかった……。			失った娘の代わりというわけにはいかんが、あやつには、ツユとともに、穏やかな余生をおくってもらいたかった……。			十六夜の月							
ヨツユの死が天命だったとしたら……なぜ、天は彼女を一度生かし……記憶を失わせたのでしょう……？			ヨツユの死が天命だったとしたら……なぜ、天は彼女を一度生かし……記憶を失わせたのでしょう……？			十六夜の月							
…………さて……わからんなぁ。天のさだめは知る由もない……。			…………さて……わからんなぁ。天のさだめは知る由もない……。			十六夜の月							
だが、これだけは言える。僅かな間だが、ツユという娘は確かに存在した。			だが、これだけは言える。僅かな間だが、ツユという娘は確かに存在した。			十六夜の月							
そして、ゴウセツはツユとともに、ささやかながらも、幸福なときを過ごしたのだ……。			そして、ゴウセツはツユとともに、ささやかながらも、幸福なときを過ごしたのだ……。			十六夜の月							
ウルダハ商館のアルフィノは、冒険者に報せたいことがあるようだ。			ウルダハ商館のアルフィノは、冒険者に報せたいことがあるようだ。			ゴウセツとツユ							
前回までの冒険録：冒険者たちは生還したゴウセツと再会を果たすが、彼は記憶を失ったヨツユを連れていた。そんな折、帝国から全権大使と名乗るアサヒがやって来る。ヨツユの義弟である彼は、和平交渉に来たと語り、信頼関係の構築のためと、捕虜交換を提案してくる。ヒエンはアサヒを訝しみながらも、ドマの徴用兵たちを取り戻すため、捕虜交換に合意。ヨツユは交換のときまでに記憶が戻らなければ、ドマ人として留め置く取り決めとなる。終始友好的なアサヒだが、別れの際、彼がゼノスの信奉者であり、冒険者を恨んでいるという本性を明かすのだった。　　　　　　　　　　　　*　*　*ドマと帝国の捕虜交換が迫ってきたので、冒険者も立ち会うことになった。ドマ町人地の帰燕館にいる「ヒエン」と話そう。			前回までの冒険録：冒険者たちは生還したゴウセツと再会を果たすが、彼は記憶を失ったヨツユを連れていた。そんな折、帝国から全権大使と名乗るアサヒがやって来る。ヨツユの義弟である彼は、和平交渉に来たと語り、信頼関係の構築のためと、捕虜交換を提案してくる。ヒエンはアサヒを訝しみながらも、ドマの徴用兵たちを取り戻すため、捕虜交換に合意。ヨツユは交換のときまでに記憶が戻らなければ、ドマ人として留め置く取り決めとなる。終始友好的なアサヒだが、別れの際、彼がゼノスの信奉者であり、冒険者を恨んでいるという本性を明かすのだった。　　　　　　　　　　　　*　*　*ドマと帝国の捕虜交換が迫ってきたので、冒険者も立ち会うことになった。ドマ町人地の帰燕館にいる「ヒエン」と話そう。			ゴウセツとツユ							
ヒエンと話し、倒れたゴウセツを見舞った。彼は元気そうで、ヨツユも記憶を取り戻していないようだった。捕虜交換の前にヨツユをアサヒと対面させることになった。ドマ町人地の「アルフィノ」と話そう。			ヒエンと話し、倒れたゴウセツを見舞った。彼は元気そうで、ヨツユも記憶を取り戻していないようだった。捕虜交換の前にヨツユをアサヒと対面させることになった。ドマ町人地の「アルフィノ」と話そう。			ゴウセツとツユ							
アルフィノと話したところ、ヒエンが駆けて来て、ヨツユが姿を消したことを告げられた。ドマ町人地から出てしまったようだが、果たして……。			アルフィノと話したところ、ヒエンが駆けて来て、ヨツユが姿を消したことを告げられた。ドマ町人地から出てしまったようだが、果たして……。			ゴウセツとツユ							
帰燕館のヒエンと話す			帰燕館のヒエンと話す			ゴウセツとツユ							
ドマ町人地のアルフィノと話す			ドマ町人地のアルフィノと話す			ゴウセツとツユ							
やあ、Forename。ちょうど良い折にきてくれたね。今さっき、ヒエン殿から手紙が届いたところなんだ。			やあ、Forename。ちょうど良い折にきてくれたね。今さっき、ヒエン殿から手紙が届いたところなんだ。			ゴウセツとツユ							
帝国の全権大使、アサヒが持ちかけてきた和平交渉。その条件である、蛮神スサノオの召喚を押さえ込むため、ドマは碧甲羅のコウジン族と連携し、監視体制を敷いたそうだ。			帝国の全権大使、アサヒが持ちかけてきた和平交渉。その条件である、蛮神スサノオの召喚を押さえ込むため、ドマは碧甲羅のコウジン族と連携し、監視体制を敷いたそうだ。			ゴウセツとツユ							
これで、あらたな神器や大量のクリスタルを集積しようとする、紅甲羅の動きがあれば、先手を打って対処することも可能となる。和平の条件は満たせたわけだね。			これで、あらたな神器や大量のクリスタルを集積しようとする、紅甲羅の動きがあれば、先手を打って対処することも可能となる。和平の条件は満たせたわけだね。			ゴウセツとツユ							
一方、帝国側からも準備完了の報せがあり、ほどなく、徴用兵を乗せた飛空艇がヤンサに到着するとのことだ。いよいよ、帝国との和平がかかった捕虜交換が迫ってきたんだよ。			一方、帝国側からも準備完了の報せがあり、ほどなく、徴用兵を乗せた飛空艇がヤンサに到着するとのことだ。いよいよ、帝国との和平がかかった捕虜交換が迫ってきたんだよ。			ゴウセツとツユ							
ヒエン殿たっての希望でもあるので、その重要な場には、ぜひ君にも立ち会ってもらいたい。			ヒエン殿たっての希望でもあるので、その重要な場には、ぜひ君にも立ち会ってもらいたい。			ゴウセツとツユ							
それと、ヨツユの記憶なんだけど、相変わらず戻ってないみたい。先の取り決めに従うなら、帝国に引き渡すことなく、ドマ人として生きさせることになるわ。			それと、ヨツユの記憶なんだけど、相変わらず戻ってないみたい。先の取り決めに従うなら、帝国に引き渡すことなく、ドマ人として生きさせることになるわ。			ゴウセツとツユ							
その前に、私たちの目でも真偽を確かめておきたいところね。もし、記憶が戻っているのに、ドマに置いておいたら、何をしでかすかわかったもんじゃないもの。			その前に、私たちの目でも真偽を確かめておきたいところね。もし、記憶が戻っているのに、ドマに置いておいたら、何をしでかすかわかったもんじゃないもの。			ゴウセツとツユ							
よし、それではドマ町人地の「帰燕館」へ向かおう。ヒエン殿が待っているはずだ。			よし、それではドマ町人地の「帰燕館」へ向かおう。ヒエン殿が待っているはずだ。			ゴウセツとツユ							
タタル、我々はしばらくここを空けることになる。君も何かと忙しいだろうが、留守を頼んでもいいかい？			タタル、我々はしばらくここを空けることになる。君も何かと忙しいだろうが、留守を頼んでもいいかい？			ゴウセツとツユ							
もちろんでっす！皆さん、お気をつけていってらっしゃいませ！			もちろんでっす！皆さん、お気をつけていってらっしゃいませ！			ゴウセツとツユ							
アルフィノさんは、「暁」の資金を浪費してしまったことを反省し、しばらく、質素な倹約生活を送っているようでっす。			アルフィノさんは、「暁」の資金を浪費してしまったことを反省し、しばらく、質素な倹約生活を送っているようでっす。			ゴウセツとツユ							
ドマと帝国の和平が成立することを願っていますよ。東アルデナード商会としても、自由な貿易のため、帝国には大人しくしてもらいたいのデ～ス！			ドマと帝国の和平が成立することを願っていますよ。東アルデナード商会としても、自由な貿易のため、帝国には大人しくしてもらいたいのデ～ス！			ゴウセツとツユ							
さあ、ヒエン殿から、改めてドマの近況を聞くとしよう。			さあ、ヒエン殿から、改めてドマの近況を聞くとしよう。			ゴウセツとツユ							
アルフィノったら、「暁」の資金を浪費しちゃってから、やたらとケチになって、お茶代まで出し渋るのよ。			アルフィノったら、「暁」の資金を浪費しちゃってから、やたらとケチになって、お茶代まで出し渋るのよ。			ゴウセツとツユ							
ヒエン様の館「帰燕館」へ入られますか？			ヒエン様の館「帰燕館」へ入られますか？			ゴウセツとツユ							
「帰燕館」へ入りますか？			「帰燕館」へ入りますか？			ゴウセツとツユ							
おお、来てくれたか！遠いところを、わざわざかたじけない。			おお、来てくれたか！遠いところを、わざわざかたじけない。			ゴウセツとツユ							
捕虜交換への立ち会いを含め、大方のことは、文にしたためたとおりだ。が、ひとつだけ報せていなかったことがあってな……。			捕虜交換への立ち会いを含め、大方のことは、文にしたためたとおりだ。が、ひとつだけ報せていなかったことがあってな……。			ゴウセツとツユ							
かねてより体調が思わしくなかったゴウセツが、少し前に倒れてしまい、床に臥せっておるのだ。			かねてより体調が思わしくなかったゴウセツが、少し前に倒れてしまい、床に臥せっておるのだ。			ゴウセツとツユ							
なんですって！？それで、彼の容態は……？			なんですって！？それで、彼の容態は……？			ゴウセツとツユ							
幸いなことに、快方に向かっておる。心配させたくないという、あやつの意向もあって、すぐには伝えなかったのだが……。			幸いなことに、快方に向かっておる。心配させたくないという、あやつの意向もあって、すぐには伝えなかったのだが……。			ゴウセツとツユ							
せっかくここまで来てくれたのだ、見舞ってやってはくれんか？それに、ツユも熱心に看病してくれている……。彼女の様子も、気になるところであろう？			せっかくここまで来てくれたのだ、見舞ってやってはくれんか？それに、ツユも熱心に看病してくれている……。彼女の様子も、気になるところであろう？			ゴウセツとツユ							
もちろんです。Forename、アリゼー、ゴウセツを元気付けてあげようじゃないか。			もちろんです。Forename、アリゼー、ゴウセツを元気付けてあげようじゃないか。			ゴウセツとツユ							
どうだ、傑作であったろう？あの、ゴウセツとヨツユが、まるで、祖父と孫娘の如き様相ときた。			どうだ、傑作であったろう？あの、ゴウセツとヨツユが、まるで、祖父と孫娘の如き様相ときた。			ゴウセツとツユ							
ドマ奪還以前であれば、想像すらできない光景ですね。何はともあれ、ゴウセツ殿が元気そうで安心しました。			ドマ奪還以前であれば、想像すらできない光景ですね。何はともあれ、ゴウセツ殿が元気そうで安心しました。			ゴウセツとツユ							
本来、面倒を見るべき側が、世話を焼かれちゃってまぁ……。とはいえ、つい忘れがちだけど、思えばゴウセツって、おじいちゃんと呼ばれても、おかしくない歳だものね。			本来、面倒を見るべき側が、世話を焼かれちゃってまぁ……。とはいえ、つい忘れがちだけど、思えばゴウセツって、おじいちゃんと呼ばれても、おかしくない歳だものね。			ゴウセツとツユ							
そう……あやつは老齢でありながら、ドマに忠義を尽くし、無理を重ねて戦い続けてきたのだ。			そう……あやつは老齢でありながら、ドマに忠義を尽くし、無理を重ねて戦い続けてきたのだ。			ゴウセツとツユ							
寄る年波も、気合ひとつで乗り越えてきたが、それもついに、限界がきたということだろう。おそらく快復したところで、もう以前のようには戦えん……。			寄る年波も、気合ひとつで乗り越えてきたが、それもついに、限界がきたということだろう。おそらく快復したところで、もう以前のようには戦えん……。			ゴウセツとツユ							
ゴウセツには、充分すぎるほど尽くしてもらった。これを機に、ゆっくり休んでもらいたい。			ゴウセツには、充分すぎるほど尽くしてもらった。これを機に、ゆっくり休んでもらいたい。			ゴウセツとツユ							
ヨツユの記憶の方は、どう見ても戻ってなさそうね。もし、あれで演技だったらお手上げよ。			ヨツユの記憶の方は、どう見ても戻ってなさそうね。もし、あれで演技だったらお手上げよ。			ゴウセツとツユ							
(-？？？？-)その点は、もう疑う余地はなさそうだ……。			(-？？？？-)その点は、もう疑う余地はなさそうだ……。			ゴウセツとツユ							
ユウギリ……。慎重なあなたにしては珍しいわね。そう思うに至った経緯、聞かせてくれない……？			ユウギリ……。慎重なあなたにしては珍しいわね。そう思うに至った経緯、聞かせてくれない……？			ゴウセツとツユ							
あれから私は、ヨツユのことをずっと陰から監視していた。もし、記憶喪失を装っているのであれば、そのうち、必ずあらが出るはずだと……。			あれから私は、ヨツユのことをずっと陰から監視していた。もし、記憶喪失を装っているのであれば、そのうち、必ずあらが出るはずだと……。			ゴウセツとツユ							
だが、彼女は一瞬たりとも、あの調子を崩すことはなかった。さらには、座敷でひとりになったときのこと……。			だが、彼女は一瞬たりとも、あの調子を崩すことはなかった。さらには、座敷でひとりになったときのこと……。			ゴウセツとツユ							
ヨツユは戸棚にあった食器をみつけると、畳に並べ立てて、無邪気にままごと遊びを始めたのだ。			ヨツユは戸棚にあった食器をみつけると、畳に並べ立てて、無邪気にままごと遊びを始めたのだ。			ゴウセツとツユ							
潜入工作をする忍びであっても、あれほどの芝居は打てまい。よって、本当に記憶を失っていると認めざるを得ない。			潜入工作をする忍びであっても、あれほどの芝居は打てまい。よって、本当に記憶を失っていると認めざるを得ない。			ゴウセツとツユ							
……なるほどね。あなたがそう言うのなら、確証が持てるわ。			……なるほどね。あなたがそう言うのなら、確証が持てるわ。			ゴウセツとツユ							
うむ、わしの腹も決まった。ヨツユの振る舞いは芝居にあらず、記憶なきことを認める。よって、彼女はツユとして、ドマにて新たな人生を歩ませよう。			うむ、わしの腹も決まった。ヨツユの振る舞いは芝居にあらず、記憶なきことを認める。よって、彼女はツユとして、ドマにて新たな人生を歩ませよう。			ゴウセツとツユ							
だが、帝国に彼女の記憶喪失を了承させるためには、少なくとも、もう一度、ツユとアサヒを対面させねばならん。			だが、帝国に彼女の記憶喪失を了承させるためには、少なくとも、もう一度、ツユとアサヒを対面させねばならん。			ゴウセツとツユ							
さりとて、捕虜交換の折にツユを伴えば、ドマの徴用兵たちに、かつての代理総督を見せることになる。大事な和平の場には、できるだけ混乱の種は持ち込みたくない。			さりとて、捕虜交換の折にツユを伴えば、ドマの徴用兵たちに、かつての代理総督を見せることになる。大事な和平の場には、できるだけ混乱の種は持ち込みたくない。			ゴウセツとツユ							
ヨツユの命によって徴用された彼らにとっては、人生を狂わせられた元凶そのものだものね……。			ヨツユの命によって徴用された彼らにとっては、人生を狂わせられた元凶そのものだものね……。			ゴウセツとツユ							
ゆえに、ツユとアサヒの対面を、捕虜交換に先だって済ませてしまおうと思う。すまんが秘密裏に行うためにも、同行を頼めるか？			ゆえに、ツユとアサヒの対面を、捕虜交換に先だって済ませてしまおうと思う。すまんが秘密裏に行うためにも、同行を頼めるか？			ゴウセツとツユ							
承知しました。和平のためとあれば、最善を尽くしましょう。			承知しました。和平のためとあれば、最善を尽くしましょう。			ゴウセツとツユ							
助かる……。さて、そろそろ帝国の飛空戦艦が到着する頃合いだろう。我らはツユを連れ出す準備をするので、船着場で待っていてくれ。			助かる……。さて、そろそろ帝国の飛空戦艦が到着する頃合いだろう。我らはツユを連れ出す準備をするので、船着場で待っていてくれ。			ゴウセツとツユ							
我らはツユを連れ出す準備をする。そなたらは、船着場で待っていてくれ。			我らはツユを連れ出す準備をする。そなたらは、船着場で待っていてくれ。			ゴウセツとツユ							
ヨツユの記憶喪失は認めるほかないが、ゴウセツの好々爺ぶりは……何とも受け入れがたい。			ヨツユの記憶喪失は認めるほかないが、ゴウセツの好々爺ぶりは……何とも受け入れがたい。			ゴウセツとツユ							
あの、ヨツユがままごとだなんて……。彼女はもはや、ツユという名の別人なのね。			あの、ヨツユがままごとだなんて……。彼女はもはや、ツユという名の別人なのね。			ゴウセツとツユ							
さて、ヒエン殿たちを待つとしよう。			さて、ヒエン殿たちを待つとしよう。			ゴウセツとツユ							
大変だ！ツユが……ツユが、館から姿を消してしまった！			大変だ！ツユが……ツユが、館から姿を消してしまった！			ゴウセツとツユ							
なんてことだ！一大事ではありませんか……！			なんてことだ！一大事ではありませんか……！			ゴウセツとツユ							
ま、まさか……記憶が戻って……逃げた！？			ま、まさか……記憶が戻って……逃げた！？			ゴウセツとツユ							
……わからん。いま、ユウギリが町中を捜し回っているが、ことによると、町人地から出てしまったのやもしれん。			……わからん。いま、ユウギリが町中を捜し回っているが、ことによると、町人地から出てしまったのやもしれん。			ゴウセツとツユ							
船頭、そなたに聞きたい。見慣れぬ……色白の娘を船に乗せなんだか？			船頭、そなたに聞きたい。見慣れぬ……色白の娘を船に乗せなんだか？			ゴウセツとツユ							
これは、ヒエン様。そういえば……先ほど渡した客に、見慣れぬ娘がおりました。			これは、ヒエン様。そういえば……先ほど渡した客に、見慣れぬ娘がおりました。			ゴウセツとツユ							
笠を被っていたので、顔はあまり見えませんでしたが、乗船の際に掴んだ手は、雪のように白かったです。あれはいったい、どなたでしょう……？			笠を被っていたので、顔はあまり見えませんでしたが、乗船の際に掴んだ手は、雪のように白かったです。あれはいったい、どなたでしょう……？			ゴウセツとツユ							
いや……ちょっとした客人でな、気にせんでくれ。そうか、娘は対岸に渡ったということだな。			いや……ちょっとした客人でな、気にせんでくれ。そうか、娘は対岸に渡ったということだな。			ゴウセツとツユ							
どうやら、ツユは対岸にいる可能性が高そうだ。まずいことになったぞ……。			どうやら、ツユは対岸にいる可能性が高そうだ。まずいことになったぞ……。			ゴウセツとツユ							
帰燕館のヒエンは、状況を整理したいようだ。			帰燕館のヒエンは、状況を整理したいようだ。			捕虜交換に備え							
紅玉海のラショウと話す			紅玉海のラショウと話す			捕虜交換に備え							
関船の船体を調べる			関船の船体を調べる			捕虜交換に備え							
イハナシに報告			イハナシに報告			捕虜交換に備え							
帰燕館のヒエンと話す			帰燕館のヒエンと話す			捕虜交換に備え							
ヒエン殿から何があったのか聞いたよ。ヨツユは帝国に戻ってしまったようだね。いったい、アサヒは何を企んでいるというんだ……？			ヒエン殿から何があったのか聞いたよ。ヨツユは帝国に戻ってしまったようだね。いったい、アサヒは何を企んでいるというんだ……？			捕虜交換に備え							
結局、アサヒの思惑どおり、ヨツユは記憶を取り戻したのね。そのうえ、実の両親を差し向けて殺めさせるなんて……とんでもない奴だわッ！			結局、アサヒの思惑どおり、ヨツユは記憶を取り戻したのね。そのうえ、実の両親を差し向けて殺めさせるなんて……とんでもない奴だわッ！			捕虜交換に備え							
不覚にも、ヨツユが記憶を取り戻したことに気づけなかった。やはり、両親と対面したときか……？ならばなぜ……いや、これ以上の推測は無駄というものか。			不覚にも、ヨツユが記憶を取り戻したことに気づけなかった。やはり、両親と対面したときか……？ならばなぜ……いや、これ以上の推測は無駄というものか。			捕虜交換に備え							
ヒエン様の館「帰燕館」へ入られますか？			ヒエン様の館「帰燕館」へ入られますか？			捕虜交換に備え							
「帰燕館」へ入りますか？			「帰燕館」へ入りますか？			捕虜交換に備え							
さて……皆にもすでに伝えたとおり、ヨツユは記憶を取り戻し、アサヒのもとへ去っていった。帝国側に、かつてのドマ代理総督が戻ったわけだ。			さて……皆にもすでに伝えたとおり、ヨツユは記憶を取り戻し、アサヒのもとへ去っていった。帝国側に、かつてのドマ代理総督が戻ったわけだ。			捕虜交換に備え							
さりとて、捕虜交換が白紙となったわけではない。元々、交換の日までに記憶が戻れば、ヨツユは帝国に引き渡すという取り決めであった。			さりとて、捕虜交換が白紙となったわけではない。元々、交換の日までに記憶が戻れば、ヨツユは帝国に引き渡すという取り決めであった。			捕虜交換に備え							
だが、アサヒが自らの親を犠牲にしてまで、ヨツユを取り戻したことは、どうにも理解しがたい。			だが、アサヒが自らの親を犠牲にしてまで、ヨツユを取り戻したことは、どうにも理解しがたい。			捕虜交換に備え							
アルフィノの言う、怪しげなコンテナの件も含め、大使殿が、何かよからぬことを企てておるのは確実だろう。このまま、捕虜交換が難なく済むとは思えん……。			アルフィノの言う、怪しげなコンテナの件も含め、大使殿が、何かよからぬことを企てておるのは確実だろう。このまま、捕虜交換が難なく済むとは思えん……。			捕虜交換に備え							
もし、交換の折に不測の事態が起きたときは、ドマの徴用兵たちを逃がすことを最優先としたい。それゆえ、事前に避難経路を確保しておきたいと思う。			もし、交換の折に不測の事態が起きたときは、ドマの徴用兵たちを逃がすことを最優先としたい。それゆえ、事前に避難経路を確保しておきたいと思う。			捕虜交換に備え							
確かに、今優先すべきは去ったヨツユよりも、未だ囚われの身にある徴用兵たちの奪還でしょう。となると、交換の場となる帝国の施設を調べなければ……。			確かに、今優先すべきは去ったヨツユよりも、未だ囚われの身にある徴用兵たちの奪還でしょう。となると、交換の場となる帝国の施設を調べなければ……。			捕虜交換に備え							
あの施設は、ドマ侵略後に打ち捨てられて以来、無人の状態だ。アサヒらが何らかの細工を仕掛けている可能性はある。私が忍び込み、避難経路を調べておこう。			あの施設は、ドマ侵略後に打ち捨てられて以来、無人の状態だ。アサヒらが何らかの細工を仕掛けている可能性はある。私が忍び込み、避難経路を調べておこう。			捕虜交換に備え							
私も同行しよう、帝国の基地なら潜入経験があるし、何かあったときのためにも、ふたりの方がいい。			私も同行しよう、帝国の基地なら潜入経験があるし、何かあったときのためにも、ふたりの方がいい。			捕虜交換に備え							
よし、そちらは、ユウギリとアルフィノに任せた。そして、もうひとつ……。			よし、そちらは、ユウギリとアルフィノに任せた。そして、もうひとつ……。			捕虜交換に備え							
川向こうにある施設から、捕虜を逃がすには船がいる。しかし、ドマ中から小舟を寄せ集めたところで、大勢の捕虜を運ぶには、何往復もせねばならん。			川向こうにある施設から、捕虜を逃がすには船がいる。しかし、ドマ中から小舟を寄せ集めたところで、大勢の捕虜を運ぶには、何往復もせねばならん。			捕虜交換に備え							
ここは、大型の船で一気に逃がすのが得策。となれば、海賊衆の力を借りない手はないだろう。彼らの持つ関船ならば、一度で捕虜を運べるはずだ。			ここは、大型の船で一気に逃がすのが得策。となれば、海賊衆の力を借りない手はないだろう。彼らの持つ関船ならば、一度で捕虜を運べるはずだ。			捕虜交換に備え							
海賊衆との交渉ごとだったら、彼らと渡り合った経験がある、私に任せてよ。			海賊衆との交渉ごとだったら、彼らと渡り合った経験がある、私に任せてよ。			捕虜交換に備え							
Forenameも、一緒に来てくれるわよね？			Forenameも、一緒に来てくれるわよね？			捕虜交換に備え							
何と答える？			何と答える？			捕虜交換に備え							
もちろん			もちろん			捕虜交換に備え							
面倒くさい			面倒くさい			捕虜交換に備え							
よかった……。また、海賊衆を説得することになるなんてね。ここに、リセがいないのが、やっぱり寂しいわ……。			よかった……。また、海賊衆を説得することになるなんてね。ここに、リセがいないのが、やっぱり寂しいわ……。			捕虜交換に備え							
あら、そんなこと言いながらも、あなたのことだから、きっと来てくれるんでしょうね。もしかして、アルフィノと一緒に行きたかったのかしら……？			あら、そんなこと言いながらも、あなたのことだから、きっと来てくれるんでしょうね。もしかして、アルフィノと一緒に行きたかったのかしら……？			捕虜交換に備え							
ありがたい、まっこと頼もしい。だが……交渉には、わしも赴くことにするぞ。			ありがたい、まっこと頼もしい。だが……交渉には、わしも赴くことにするぞ。			捕虜交換に備え							
ヒエン様、ドマの主君ともあろうお方が、賊との交渉ごとに出向くというのは、いかがなものかと……。			ヒエン様、ドマの主君ともあろうお方が、賊との交渉ごとに出向くというのは、いかがなものかと……。			捕虜交換に備え							
ユウギリよ、海賊衆には、ドマ城の戦で世話になっている。またも力を借りるとなれば、こちらも誠意を見せねばならん。わし自らが出向くことで、それを示したいのだ。			ユウギリよ、海賊衆には、ドマ城の戦で世話になっている。またも力を借りるとなれば、こちらも誠意を見せねばならん。わし自らが出向くことで、それを示したいのだ。			捕虜交換に備え							
ハッ……出過ぎたことを申しました。それでは、私はアルフィノ殿と帝国施設へと調査に参ります。			ハッ……出過ぎたことを申しました。それでは、私はアルフィノ殿と帝国施設へと調査に参ります。			捕虜交換に備え							
よし、わしらも紅玉海へ向かうとするか。筋違砦にいる、彼らの頭領「ラショウ」と話をつけにゆこう。			よし、わしらも紅玉海へ向かうとするか。筋違砦にいる、彼らの頭領「ラショウ」と話をつけにゆこう。			捕虜交換に備え							
これはまた、思わぬ客人が来たものだな。ドマの殿様が、俺たちのような輩に何用だ……？			これはまた、思わぬ客人が来たものだな。ドマの殿様が、俺たちのような輩に何用だ……？			捕虜交換に備え							
帝国に代わって、服従勧告でも言い渡しにきたってんなら、お断りさせてもらうぜ。			帝国に代わって、服従勧告でも言い渡しにきたってんなら、お断りさせてもらうぜ。			捕虜交換に備え							
あっはっは、それはいい！海賊衆がドマの傘下になれば、復興も大助かりだ……。			あっはっは、それはいい！海賊衆がドマの傘下になれば、復興も大助かりだ……。			捕虜交換に備え							
戯言はさておいて、ここへ参ったのはほかでもない、そなたらに折入って頼みたいことがあってな……。			戯言はさておいて、ここへ参ったのはほかでもない、そなたらに折入って頼みたいことがあってな……。			捕虜交換に備え							
……事情はわかった。だが、俺たちがドマの解放に力を貸したのは、海賊衆存続のためという、差し迫った理由があったからだ。			……事情はわかった。だが、俺たちがドマの解放に力を貸したのは、海賊衆存続のためという、差し迫った理由があったからだ。			捕虜交換に備え							
