レヴナンツトールの異国風の男は、冒険者に紹介したい仕事があるようだ。			レヴナンツトールの異国風の男は、冒険者に紹介したい仕事があるようだ。			古代アラグ文明の遺産							
この眼を引き継いできたのには、何か理由がある……そこにオレの運命が待ってるんだって、前にドーガから言われたんだ。			この眼を引き継いできたのには、何か理由がある……そこにオレの運命が待ってるんだって、前にドーガから言われたんだ。			闇の世界							
あのふたりに会ってから……クリスタルタワーにまつわる真実に近づくほど、オレ、何だかおかしいんだよ。			あのふたりに会ってから……クリスタルタワーにまつわる真実に近づくほど、オレ、何だかおかしいんだよ。			闇の世界							
……何かを思い出さなきゃいけない気がするんだ。とてもふるくて……でも大事な……何かを…………。			……何かを思い出さなきゃいけない気がするんだ。とてもふるくて……でも大事な……何かを…………。			闇の世界							
その「何か」と関係あるのかはわからねーが、親父が、魔眼の答えはアラグの歴史にあるって言ってた。代々、この眼と一緒に受け継いできた言葉だ。			その「何か」と関係あるのかはわからねーが、親父が、魔眼の答えはアラグの歴史にあるって言ってた。代々、この眼と一緒に受け継いできた言葉だ。			闇の世界							
だからオレ、今度こそ自分の眼で、あんたが歴史の真実に近づいていくのを見届けたい……。			だからオレ、今度こそ自分の眼で、あんたが歴史の真実に近づいていくのを見届けたい……。			闇の世界							
頼む……！オレも「闇の世界」へ連れていってくれ！			頼む……！オレも「闇の世界」へ連れていってくれ！			闇の世界							
……ありがとな！ウネとドーガ、そしてネロを助け出して、世界の危機ってやつを、払いのけてやろうぜ！			……ありがとな！ウネとドーガ、そしてネロを助け出して、世界の危機ってやつを、払いのけてやろうぜ！			闇の世界							
さあ、「闇の世界」へ突入だ！ウネとドーガ、そしてネロを助け出して、世界の危機ってやつを、払いのけてやろうぜ！			さあ、「闇の世界」へ突入だ！ウネとドーガ、そしてネロを助け出して、世界の危機ってやつを、払いのけてやろうぜ！			闇の世界							
くそっ、3人はどこだ！？「暗闇の雲」を倒したってのに……。			くそっ、3人はどこだ！？「暗闇の雲」を倒したってのに……。			闇の世界							
返事をしてくれ、ドーガ！　ウネ！ネロ……ッ！			返事をしてくれ、ドーガ！　ウネ！ネロ……ッ！			闇の世界							
(-？？？？-)ったく……騒がしいンだよ…………。派手に戦いをやらかしてるかと思えば……ひとの名前を吠えたくりやがって……。			(-？？？？-)ったく……騒がしいンだよ…………。派手に戦いをやらかしてるかと思えば……ひとの名前を吠えたくりやがって……。			闇の世界							
……まあ……いい道標にはなったがな…………。			……まあ……いい道標にはなったがな…………。			闇の世界							
みんな……！無事なのか！？			みんな……！無事なのか！？			闇の世界							
少なくとも、こいつは無事だぜ。気絶してるだけだ……。			少なくとも、こいつは無事だぜ。気絶してるだけだ……。			闇の世界							
ネロ……！？その姿、どうしたんだよ……！？			ネロ……！？その姿、どうしたんだよ……！？			闇の世界							
彼は、傷を受けすぎたんだ……。体内のエーテルが乱れ、この世界に侵食されている。すまない……こうなったのは、僕らのせいだ……。			彼は、傷を受けすぎたんだ……。体内のエーテルが乱れ、この世界に侵食されている。すまない……こうなったのは、僕らのせいだ……。			闇の世界							
「暗闇の雲」は、ザンデとの契約において、アラグの皇族に繁栄をもたらすことを誓っている。故に、皇族の血を持つ僕らに、手出しができない……。			「暗闇の雲」は、ザンデとの契約において、アラグの皇族に繁栄をもたらすことを誓っている。故に、皇族の血を持つ僕らに、手出しができない……。			闇の世界							
だからこそ、僕らをここへ閉じ込め、ほかの妖異たちに始末させようとした。……それを、ネロが命がけで退けてくれていたんだ。			だからこそ、僕らをここへ閉じ込め、ほかの妖異たちに始末させようとした。……それを、ネロが命がけで退けてくれていたんだ。			闇の世界							
ハッ……お前たちは、大事な「玩具」だからな……。何としてでも連れ戻して……オレの力になってもらわねぇと……。			ハッ……お前たちは、大事な「玩具」だからな……。何としてでも連れ戻して……オレの力になってもらわねぇと……。			闇の世界							
わた、し……ここは…………。			わた、し……ここは…………。			闇の世界							
ウネ、目が覚めたか。……大丈夫だ。Forenameたちが迎えにきてくれた。			ウネ、目が覚めたか。……大丈夫だ。Forenameたちが迎えにきてくれた。			闇の世界							
そう……よかった……。私たちの役目を、まだ果たすことができるんだね……。			そう……よかった……。私たちの役目を、まだ果たすことができるんだね……。			闇の世界							
おのれ……ヒトの子め……！恐れ多くも私を愚弄し、怒りに触れるか……！			おのれ……ヒトの子め……！恐れ多くも私を愚弄し、怒りに触れるか……！			闇の世界							
此処は我が胎……我が闇の満ちたる世界……。幾度その手で掃おうとも、私を消し去ることはできぬ……！その身、一切の闇に葬ってくれようぞ……！			此処は我が胎……我が闇の満ちたる世界……。幾度その手で掃おうとも、私を消し去ることはできぬ……！その身、一切の闇に葬ってくれようぞ……！			闇の世界							
……ッ！この状況、マズくねーか！？倒しても無駄ってことかよ……！			……ッ！この状況、マズくねーか！？倒しても無駄ってことかよ……！			闇の世界							
確かに、ここは「暗闇の雲」が支配する空間……。彼女を完全に消滅させることは、不可能に等しいだろう。			確かに、ここは「暗闇の雲」が支配する空間……。彼女を完全に消滅させることは、不可能に等しいだろう。			闇の世界							
だが、「暗闇の雲」は今、姿を保つことができないほどに消耗しているはず。この隙になら、ザンデとの契約を破棄することができる……！			だが、「暗闇の雲」は今、姿を保つことができないほどに消耗しているはず。この隙になら、ザンデとの契約を破棄することができる……！			闇の世界							
そうだね……契約が破棄されれば、この空間とクリスタルタワーの繋がりもなくなる。あんたたちは、急いで脱出するんだよ。			そうだね……契約が破棄されれば、この空間とクリスタルタワーの繋がりもなくなる。あんたたちは、急いで脱出するんだよ。			闇の世界							
あんたたちは……って…………まさか、ウネとドーガは残るって言うのか！？			あんたたちは……って…………まさか、ウネとドーガは残るって言うのか！？			闇の世界							
ダメだ！　ふたりには、無事に戻ってきてほしいんだよ！クリスタルタワーを制御して、世界を救えるのは、あんたたちだけなんだ……！			ダメだ！　ふたりには、無事に戻ってきてほしいんだよ！クリスタルタワーを制御して、世界を救えるのは、あんたたちだけなんだ……！			闇の世界							
我が力が及ばぬと……！？何故だ……まさかお前も、血の契約に庇護されておるのか！			我が力が及ばぬと……！？何故だ……まさかお前も、血の契約に庇護されておるのか！			闇の世界							
グ・ラハ・ティア……。やはり、その眼を宿しているのには、意味があったようだね。			グ・ラハ・ティア……。やはり、その眼を宿しているのには、意味があったようだね。			闇の世界							
あんたには、大いなる資格が受け継がれているんだ。それは、クリスタルタワーの主たりえる資格……私たちと同じ、アラグ皇族の血さ。			あんたには、大いなる資格が受け継がれているんだ。それは、クリスタルタワーの主たりえる資格……私たちと同じ、アラグ皇族の血さ。			闇の世界							
悠久の時は、すべてを押し流す。失われたはずの皇血が、未だその身を巡るのは、偶然ではありえないこと……。			悠久の時は、すべてを押し流す。失われたはずの皇血が、未だその身を巡るのは、偶然ではありえないこと……。			闇の世界							
きっと、誰かがその血に願いを込め、大いなるアラグの術を使って、未来へと託したんだ……。			きっと、誰かがその血に願いを込め、大いなるアラグの術を使って、未来へと託したんだ……。			闇の世界							
血はシルクスの塔が検知できないほどに薄れているようだが、その紅い眼こそ、お前の内にいにしえの願いが……託された一粒の希望が、いまだ輝いている証だろう。			血はシルクスの塔が検知できないほどに薄れているようだが、その紅い眼こそ、お前の内にいにしえの願いが……託された一粒の希望が、いまだ輝いている証だろう。			闇の世界							
そんな……オレにはわからない……ッ！どうしたらいい？　オレに、一体何ができる！？			そんな……オレにはわからない……ッ！どうしたらいい？　オレに、一体何ができる！？			闇の世界							
あんたに、私たちの血をわけよう。一時の間だが、薄れた血が補われる……。あんたがクリスタルタワーを制御するんだ。			あんたに、私たちの血をわけよう。一時の間だが、薄れた血が補われる……。あんたがクリスタルタワーを制御するんだ。			闇の世界							
僕らは、ザンデの野望に幕を引き、未来へと希望を託すために、「オリジナル」から心をもらった。			僕らは、ザンデの野望に幕を引き、未来へと希望を託すために、「オリジナル」から心をもらった。			闇の世界							
この希望を、お前たちが継いで進むかぎり……僕らの体はなくなっても、心は失われない。			この希望を、お前たちが継いで進むかぎり……僕らの体はなくなっても、心は失われない。			闇の世界							
ネロ、彼らとともに行くんだ。……お前の望みに応えられなくて、すまないな。			ネロ、彼らとともに行くんだ。……お前の望みに応えられなくて、すまないな。			闇の世界							
そうだ、あんたの落とし物を返さなくちゃね。気を失う前に拾ったんだ。……あんたが守ってくれたから、ちゃんと持っていられた。			そうだ、あんたの落とし物を返さなくちゃね。気を失う前に拾ったんだ。……あんたが守ってくれたから、ちゃんと持っていられた。			闇の世界							
そこに映るものだけが、可能性じゃない。進むことを……どうか諦めないで。			そこに映るものだけが、可能性じゃない。進むことを……どうか諦めないで。			闇の世界							
…………チッ。			…………チッ。			闇の世界							
帰ろう……！オレたちの、光ある世界へ！			帰ろう……！オレたちの、光ある世界へ！			闇の世界							
おのれ……ッ！こしゃくなヒトの子らめ……！			おのれ……ッ！こしゃくなヒトの子らめ……！			闇の世界							
ザンデ……。あなたの悪夢が、やっと終わるわ。			ザンデ……。あなたの悪夢が、やっと終わるわ。			闇の世界							
見ろ、出口だ！あの光に飛び込め……ッ！			見ろ、出口だ！あの光に飛び込め……ッ！			闇の世界							
光が小さくなってる……！？そうか、契約の破棄が進んで、世界の繋がりが途絶えかけてるんだ……！			光が小さくなってる……！？そうか、契約の破棄が進んで、世界の繋がりが途絶えかけてるんだ……！			闇の世界							
光が消えたら、帰れなくなるぞ！……急げッ！			光が消えたら、帰れなくなるぞ！……急げッ！			闇の世界							
ネロッ！？まさか、体が……！			ネロッ！？まさか、体が……！			闇の世界							
来ンな！お前は、とっとと行けッ！			来ンな！お前は、とっとと行けッ！			闇の世界							
いいか……仲良しごっこは、とっくに終わってンだよ……。お前なんぞに手を貸されなくても、自分の始末は自分でつける。			いいか……仲良しごっこは、とっくに終わってンだよ……。お前なんぞに手を貸されなくても、自分の始末は自分でつける。			闇の世界							
……ったく、闇の力を手に入れることもできなければ、クリスタルタワーを制御する役に選ばれたのも、青二才ときた。クソみたいな茶番に付き合ったもンだぜ……。			……ったく、闇の力を手に入れることもできなければ、クリスタルタワーを制御する役に選ばれたのも、青二才ときた。クソみたいな茶番に付き合ったもンだぜ……。			闇の世界							
封印でも何でも、あとはお前らの好きにしろ。だがな、覚えてやがれ……アラグ人……。			封印でも何でも、あとはお前らの好きにしろ。だがな、覚えてやがれ……アラグ人……。			闇の世界							
このネロ・トル・スカエウァは、必ず、アラグの魔科学が築いた高みへとたどりつく。今度こそ……あいつをも超えてな……！			このネロ・トル・スカエウァは、必ず、アラグの魔科学が築いた高みへとたどりつく。今度こそ……あいつをも超えてな……！			闇の世界							
それが、あんたの夢……希望…………？			それが、あんたの夢……希望…………？			闇の世界							
繋いで……未来へ……あの塔が……いつか再び……人々の希望になるように……			繋いで……未来へ……あの塔が……いつか再び……人々の希望になるように……			闇の世界							
もたもたしてンな！行けッ！			もたもたしてンな！行けッ！			闇の世界							
チクショウ……オレは生き残るンだ……。動けよ、何で止まってンだよ……！			チクショウ……オレは生き残るンだ……。動けよ、何で止まってンだよ……！			闇の世界							
「闇の世界」からの干渉が消えていく……？……クローンどもめ、やりとげたってのか！			「闇の世界」からの干渉が消えていく……？……クローンどもめ、やりとげたってのか！			闇の世界							
ハッ、上出来だ……。助けてやった分は、これでチャラにしてやンよ！			ハッ、上出来だ……。助けてやった分は、これでチャラにしてやンよ！			闇の世界							
うおおおおおおおおおおッ……！			うおおおおおおおおおおッ……！			闇の世界							
貸しにしとくぞ。			貸しにしとくぞ。			闇の世界							
……クソッタレが。			……クソッタレが。			闇の世界							
Surname！　みんな！おお……よくぞ無事で！			Surname！　みんな！おお……よくぞ無事で！			闇の世界							
よ、よかったッスー！ヴォイドゲートが急に閉じはじめたときは、どうしようかと思ったッス！			よ、よかったッスー！ヴォイドゲートが急に閉じはじめたときは、どうしようかと思ったッス！			闇の世界							
ああ、本気で焦ったぜ……。最後は親方まで飛び込んでいっちまうしさ！でも、どうにか全員そろって…………ん？			ああ、本気で焦ったぜ……。最後は親方まで飛び込んでいっちまうしさ！でも、どうにか全員そろって…………ん？			闇の世界							
ウネとドーガがいないッス！？た、たた、大変ッス！…………まさか、ふたりは！？			ウネとドーガがいないッス！？た、たた、大変ッス！…………まさか、ふたりは！？			闇の世界							
そうか……彼らは託された役目を果たしたのだな。ふたりにとっては、数千年越しの悲願の成就だ……。寂しくはあるが、あえて嘆くまい。			そうか……彼らは託された役目を果たしたのだな。ふたりにとっては、数千年越しの悲願の成就だ……。寂しくはあるが、あえて嘆くまい。			闇の世界							
しかし、残された我々は、どうやってクリスタルタワーを封印すれば……。			しかし、残された我々は、どうやってクリスタルタワーを封印すれば……。			闇の世界							
その役目は、オレが引き受ける。ウネとドーガから、血を託されたんだ。今のオレなら……クリスタルタワーを制御できる。			その役目は、オレが引き受ける。ウネとドーガから、血を託されたんだ。今のオレなら……クリスタルタワーを制御できる。			闇の世界							
おお、その眼は確かに……！では、クリスタルタワーを停止させることができるのですね。アラグが遺した脅威を、ついに封印することができる！			おお、その眼は確かに……！では、クリスタルタワーを停止させることができるのですね。アラグが遺した脅威を、ついに封印することができる！			闇の世界							
なあ、喜びたい気持ちはわかるが、ネロと、Forenameを休ませてやってくれねーか？ふたりとも、激闘を繰り広げてきたんだ。			なあ、喜びたい気持ちはわかるが、ネロと、Forenameを休ませてやってくれねーか？ふたりとも、激闘を繰り広げてきたんだ。			闇の世界							
これはいかん、つい先走ってしまいました。では、一度ここから撤収だ。聖コイナク財団の調査地へ戻ろう！			これはいかん、つい先走ってしまいました。では、一度ここから撤収だ。聖コイナク財団の調査地へ戻ろう！			闇の世界							
おつかれさま、Forename。今回も大活躍だったな。			おつかれさま、Forename。今回も大活躍だったな。			闇の世界							
結局オレは、あんたについていって、ウネとドーガから託されたものを受け取っただけで、何ひとつできやしなかった……。			結局オレは、あんたについていって、ウネとドーガから託されたものを受け取っただけで、何ひとつできやしなかった……。			闇の世界							
……探してた「何か」は思い出せたのかって？			……探してた「何か」は思い出せたのかって？			闇の世界							
…………ああ、思い出せたよ。ウネとドーガがくれた血と、みんなの戦う姿が、遠い祖先から受け継がれていた願いを、呼び戻したんだ。			…………ああ、思い出せたよ。ウネとドーガがくれた血と、みんなの戦う姿が、遠い祖先から受け継がれていた願いを、呼び戻したんだ。			闇の世界							
って、話は後にするんだったな！疲れてるところを引き留めて悪かった。オレは少しやることがあるから、先に戻っててくれ。			って、話は後にするんだったな！疲れてるところを引き留めて悪かった。オレは少しやることがあるから、先に戻っててくれ。			闇の世界							
……本当に、ありがとな。あんたの活躍、もっと間近で見ていたかったが、それはオレの役目じゃないみたいだ。			……本当に、ありがとな。あんたの活躍、もっと間近で見ていたかったが、それはオレの役目じゃないみたいだ。			闇の世界							
数千年前から繋がれてきた願い……。ノアのみんなのおかげで、ここまで持ってこられた。			数千年前から繋がれてきた願い……。ノアのみんなのおかげで、ここまで持ってこられた。			闇の世界							
だから、やっと……今度こそ、オレの番だよな。			だから、やっと……今度こそ、オレの番だよな。			闇の世界							
ありがとう、お前のおかげでネロを連れ帰れた。あいつも、今さら良からぬ企みはしないだろう。……「貸し」も作ったことだしな。			ありがとう、お前のおかげでネロを連れ帰れた。あいつも、今さら良からぬ企みはしないだろう。……「貸し」も作ったことだしな。			闇の世界							
「暗闇の雲」との契約が断たれたから、急にヴォイドゲートが閉じ始めたんだな。本当に、一時はどうなることかと思ったぜ……。			「暗闇の雲」との契約が断たれたから、急にヴォイドゲートが閉じ始めたんだな。本当に、一時はどうなることかと思ったぜ……。			闇の世界							
ウネ……ドーガ……やっぱりちょっとさみしいッス。クローンはほかにもいるけど、オイラたちのウネとドーガに代わりはいないッス……。			ウネ……ドーガ……やっぱりちょっとさみしいッス。クローンはほかにもいるけど、オイラたちのウネとドーガに代わりはいないッス……。			闇の世界							
改めて、よくぞ無事に戻ってきてくれた！おかげさまで、クリスタルタワーを封印することができる。大いなる脅威は、君たちの功績によって退けられるのだ！			改めて、よくぞ無事に戻ってきてくれた！おかげさまで、クリスタルタワーを封印することができる。大いなる脅威は、君たちの功績によって退けられるのだ！			闇の世界							
ひとまず、ゆっくりと身体を休めるといい。そのあとで、封印に向けて話を進めていこう。			ひとまず、ゆっくりと身体を休めるといい。そのあとで、封印に向けて話を進めていこう。			闇の世界							
調査団「ノア」のラムブルースは、冒険者に尋ねたいことがあるようだ。			調査団「ノア」のラムブルースは、冒険者に尋ねたいことがあるようだ。			輝く希望							
ラムブルースたちに、闇の世界で起きたことを説明した。その最中、グ・ラハ・ティアが、シルクスの塔から調査員を追い出しているという報告が舞い込んだ。モードゥナの八剣士の前庭にいる「聖コイナク財団の調査員」から事情を聞こう。			ラムブルースたちに、闇の世界で起きたことを説明した。その最中、グ・ラハ・ティアが、シルクスの塔から調査員を追い出しているという報告が舞い込んだ。モードゥナの八剣士の前庭にいる「聖コイナク財団の調査員」から事情を聞こう。			輝く希望							
聖コイナク財団の調査員からグ・ラハ・ティアの居場所を聞き、ノアの面々がシルクスの塔に駆けつけた。グ・ラハ・ティアは、クリスタルタワーが人々の幸せのために活躍するときまで、自分ごと塔を眠りにつかせるそうだ。こうして、クリスタルタワーは封印された。聖コイナク財団の調査地の「ラムブルース」と話そう。			聖コイナク財団の調査員からグ・ラハ・ティアの居場所を聞き、ノアの面々がシルクスの塔に駆けつけた。グ・ラハ・ティアは、クリスタルタワーが人々の幸せのために活躍するときまで、自分ごと塔を眠りにつかせるそうだ。こうして、クリスタルタワーは封印された。聖コイナク財団の調査地の「ラムブルース」と話そう。			輝く希望							
ラムブルースと話した。シドたちも、己の為すべきことを見据え、調査地を後にしたらしい。アラグ帝国に生きた人々が遺した希望が、ウネやドーガ、ノアの仲間たちの意志によって、未来へと受け継がれていく……。いつか訪れる夜明けに、クリスタルタワーの輝きが世界を照らしだすだろう。			ラムブルースと話した。シドたちも、己の為すべきことを見据え、調査地を後にしたらしい。アラグ帝国に生きた人々が遺した希望が、ウネやドーガ、ノアの仲間たちの意志によって、未来へと受け継がれていく……。いつか訪れる夜明けに、クリスタルタワーの輝きが世界を照らしだすだろう。			輝く希望							
聖コイナク財団の調査員と話す			聖コイナク財団の調査員と話す			輝く希望							
ラムブルースと話す			ラムブルースと話す			輝く希望							
さて、一息つくことはできただろうか？……では、クリスタルタワーの封印を進めるに先立って、「闇の世界」で起きたことを聞きたいんだ。			さて、一息つくことはできただろうか？……では、クリスタルタワーの封印を進めるに先立って、「闇の世界」で起きたことを聞きたいんだ。			輝く希望							
シドたちも呼ぶから、説明をお願いするよ。			シドたちも呼ぶから、説明をお願いするよ。			輝く希望							
……なるほど、グ・ラハ・ティアには、アラグ皇族の血が受け継がれていたということか。			……なるほど、グ・ラハ・ティアには、アラグ皇族の血が受け継がれていたということか。			輝く希望							
誰が、どんな願いをこめて血を託したのかはわからない……。しかし、術によって継承したものであるのなら、不自然な遺伝をしてきたというのも頷ける。			誰が、どんな願いをこめて血を託したのかはわからない……。しかし、術によって継承したものであるのなら、不自然な遺伝をしてきたというのも頷ける。			輝く希望							
彼が、ウネとドーガの血を受けたのは、まさに運命だったのかもしれないな……。			彼が、ウネとドーガの血を受けたのは、まさに運命だったのかもしれないな……。			輝く希望							
そういえば、当の本人はどこへ行ったんだ？ネロも、さっきから姿が見えないが……。			そういえば、当の本人はどこへ行ったんだ？ネロも、さっきから姿が見えないが……。			輝く希望							
ネロなら、クリスタルタワーを出るまでは一緒だったが、気づいたときには姿を消していた。			ネロなら、クリスタルタワーを出るまでは一緒だったが、気づいたときには姿を消していた。			輝く希望							
旧友としての見立てだが、何かを企んでいるようには思えなかった。あいつは多分……もう大丈夫だろう。			旧友としての見立てだが、何かを企んでいるようには思えなかった。あいつは多分……もう大丈夫だろう。			輝く希望							
……ほう、グ・ラハ・ティアは塔に残っていると？封印のための準備でもあるのだろうか……。			……ほう、グ・ラハ・ティアは塔に残っていると？封印のための準備でもあるのだろうか……。			輝く希望							
ラムブルース様、大変です！			ラムブルース様、大変です！			輝く希望							
グ・ラハ・ティア様が……シルクスの塔で、装置の後始末をしていた調査員たちを、急に外へと追い出しはじめて……！！			グ・ラハ・ティア様が……シルクスの塔で、装置の後始末をしていた調査員たちを、急に外へと追い出しはじめて……！！			輝く希望							
な、なんだって！？いったい何故だ……！			な、なんだって！？いったい何故だ……！			輝く希望							
わかりません……。理由は話していただけず、ただ、クリスタルタワーから出るように言われました。			わかりません……。理由は話していただけず、ただ、クリスタルタワーから出るように言われました。			輝く希望							
追い出された調査員たちは、八剣士の前庭で待機しています。グ・ラハ・ティア様の真意を知る者も、いるかもしれません。			追い出された調査員たちは、八剣士の前庭で待機しています。グ・ラハ・ティア様の真意を知る者も、いるかもしれません。			輝く希望							
ひとまず、状況はわかった。ほかの調査員からも、話を聞いてみるとしよう。			ひとまず、状況はわかった。ほかの調査員からも、話を聞いてみるとしよう。			輝く希望							
すまないが、君たちも付き合ってもらえるだろうか。クリスタルタワーの封印をするのだとは思うが……まさか、私たちに相談もなしとは！			すまないが、君たちも付き合ってもらえるだろうか。クリスタルタワーの封印をするのだとは思うが……まさか、私たちに相談もなしとは！			輝く希望							
ああ、Surname様……！グ・ラハ・ティア様が、クリスタルタワーから出るようにと、急に僕らにおっしゃったんです。			ああ、Surname様……！グ・ラハ・ティア様が、クリスタルタワーから出るようにと、急に僕らにおっしゃったんです。			輝く希望							
「心配するな」とは言われているのですが、誰に聞いても、それ以上の説明は受けておらず……。			「心配するな」とは言われているのですが、誰に聞いても、それ以上の説明は受けておらず……。			輝く希望							
しかし、あなたがたになら、お話しくださるかもしれません。グ・ラハ・ティア様は、まだシルクスの塔の中。どうぞ、このままお向かいください！			しかし、あなたがたになら、お話しくださるかもしれません。グ・ラハ・ティア様は、まだシルクスの塔の中。どうぞ、このままお向かいください！			輝く希望							
(-？？？？-)そこで止まれ！……間もなく、その扉は閉ざされる。			(-？？？？-)そこで止まれ！……間もなく、その扉は閉ざされる。			輝く希望							
グ・ラハ・ティア……。急に調査員たちを追い出したと聞いて、何事かと思いましたよ。……クリスタルタワーを封印するのですね？			グ・ラハ・ティア……。急に調査員たちを追い出したと聞いて、何事かと思いましたよ。……クリスタルタワーを封印するのですね？			輝く希望							
ひとこと連絡がほしかったものですが、その血が有限なものであるなら、急く気持ちもわかります。さあ、さっそくこちらへ来て、封印を…………			ひとこと連絡がほしかったものですが、その血が有限なものであるなら、急く気持ちもわかります。さあ、さっそくこちらへ来て、封印を…………			輝く希望							
……ごめん。オレ、そっちには行けねーんだ。			……ごめん。オレ、そっちには行けねーんだ。			輝く希望							
な、なぜです！まさか、封印をやめるということですか？それとも、何か別の問題が……！？			な、なぜです！まさか、封印をやめるということですか？それとも、何か別の問題が……！？			輝く希望							
ウネやドーガと同じように、オレなりのやり方で、役目をまっとうするだけだ。……血とともに受け継がれてきた願いを、思い出したからさ。			ウネやドーガと同じように、オレなりのやり方で、役目をまっとうするだけだ。……血とともに受け継がれてきた願いを、思い出したからさ。			輝く希望							
そう、親父たちから言われてきたように……答えは、アラグの歴史の中にあったんだ。			そう、親父たちから言われてきたように……答えは、アラグの歴史の中にあったんだ。			輝く希望							
ザンデによって「第四霊災」が引き起こされた後……。生き残った人々は、崩壊した大地から、クリスタルタワーが消えていることに気がついた。			ザンデによって「第四霊災」が引き起こされた後……。生き残った人々は、崩壊した大地から、クリスタルタワーが消えていることに気がついた。			輝く希望							
いつか再び、あの塔が地上に蘇るとしたら、今度こそ、人々の幸せのために使われてほしい……大戦と霊災に傷ついた彼らは、そう願ったんだ。			いつか再び、あの塔が地上に蘇るとしたら、今度こそ、人々の幸せのために使われてほしい……大戦と霊災に傷ついた彼らは、そう願ったんだ。			輝く希望							
その願いは、霊災で唯一生き残った皇族、皇女サリーナを動かした。			その願いは、霊災で唯一生き残った皇族、皇女サリーナを動かした。			輝く希望							
彼女は未来に希望を届けるべく、己の血と記憶を、皇族に伝わる術をもって、最も信頼する男へと託した。それが、オレの遠い祖先……すべてのはじまり……。			彼女は未来に希望を届けるべく、己の血と記憶を、皇族に伝わる術をもって、最も信頼する男へと託した。それが、オレの遠い祖先……すべてのはじまり……。			輝く希望							
何千年もの時を経る中で、かけられた術が弱まって、血はずいぶん薄れちゃったけどさ……。最後の一滴が消える前に、こうして思い出せたんだ。			何千年もの時を経る中で、かけられた術が弱まって、血はずいぶん薄れちゃったけどさ……。最後の一滴が消える前に、こうして思い出せたんだ。			輝く希望							
……だったら、託された願いを、ちゃんと叶えてやらないとな。			……だったら、託された願いを、ちゃんと叶えてやらないとな。			輝く希望							
だが、今のエオルゼアにとって、クリスタルタワーは過ぎたる力だ。			だが、今のエオルゼアにとって、クリスタルタワーは過ぎたる力だ。			輝く希望							
こいつを人々のために正しく使うには、古代アラグ文明に匹敵するほどの技術力がなきゃならない。それを得るまで、どれほどの年月がかかることか……。			こいつを人々のために正しく使うには、古代アラグ文明に匹敵するほどの技術力がなきゃならない。それを得るまで、どれほどの年月がかかることか……。			輝く希望							
……そう、シドの言うとおりだ。その進歩を待ってたら、ウネとドーガにもらった血も消えて、クリスタルタワーは永遠に制御できなくなるだろう。			……そう、シドの言うとおりだ。その進歩を待ってたら、ウネとドーガにもらった血も消えて、クリスタルタワーは永遠に制御できなくなるだろう。			輝く希望							
だけど、ザンデたちがそうであったように……中にいる者ごと、クリスタルタワーを眠らせられるとしたら？			だけど、ザンデたちがそうであったように……中にいる者ごと、クリスタルタワーを眠らせられるとしたら？			輝く希望							
まさか、お前……！			まさか、お前……！			輝く希望							
オレ、クリスタルタワーと眠るよ。いつか、アラグに追いついた人々が扉をこじ開ける日まで、オレごと、時を止めるんだ。			オレ、クリスタルタワーと眠るよ。いつか、アラグに追いついた人々が扉をこじ開ける日まで、オレごと、時を止めるんだ。			輝く希望							
目覚めのときがきたら、再びクリスタルタワーを動かそう。受け継がれてきた希望の証として……みんなに、光の力を届けるために！			目覚めのときがきたら、再びクリスタルタワーを動かそう。受け継がれてきた希望の証として……みんなに、光の力を届けるために！			輝く希望							
これが、オレの運命だ。……そして、ノアのみんなにも、頼みたいことがある。			これが、オレの運命だ。……そして、ノアのみんなにも、頼みたいことがある。			輝く希望							
前に進んで、未来を拓いてくれ。過ぎていった悲しみを希望に変えるのは、あんたたちだ。			前に進んで、未来を拓いてくれ。過ぎていった悲しみを希望に変えるのは、あんたたちだ。			輝く希望							
決意は、固いんだな……。			決意は、固いんだな……。			輝く希望							
未来を拓け、か。なるほど、大役を任せてくれたもんだ。……上等じゃないか。			未来を拓け、か。なるほど、大役を任せてくれたもんだ。……上等じゃないか。			輝く希望							
ア……アラグの技術なんて、すぐに追いついてやるッス！オイラたちの日進月歩を舐めないことッス！			ア……アラグの技術なんて、すぐに追いついてやるッス！オイラたちの日進月歩を舐めないことッス！			輝く希望							
ああ、そうだとも！お前がぐっすり眠っていても、容赦なく起こしにくるからな！			ああ、そうだとも！お前がぐっすり眠っていても、容赦なく起こしにくるからな！			輝く希望							
あなたは、我々の目付け役です。ノアの行く先を、最後まで見届けてください……。そして……願わくば、また会いましょう。			あなたは、我々の目付け役です。ノアの行く先を、最後まで見届けてください……。そして……願わくば、また会いましょう。			輝く希望							
Forename……。目覚めたら、真っ先にあんたの名前を探すよ。その名はきっと歴史に残って、オレを導く光になる。			Forename……。目覚めたら、真っ先にあんたの名前を探すよ。その名はきっと歴史に残って、オレを導く光になる。			輝く希望							
それじゃ、そろそろ休むとするか……。いろいろ思い出したせいで、ちょっと疲れたしな！			それじゃ、そろそろ休むとするか……。いろいろ思い出したせいで、ちょっと疲れたしな！			輝く希望							
あんたたちの作る歴史の先に……この希望を届けてくるよ。			あんたたちの作る歴史の先に……この希望を届けてくるよ。			輝く希望							
静かだな……。何もかも、すっかり眠っちまったってわけか。			静かだな……。何もかも、すっかり眠っちまったってわけか。			輝く希望							
