オールド・シャーレアンのネミングウェイは、周囲の様子を窺っているようだ。			オールド・シャーレアンのネミングウェイは、周囲の様子を窺っているようだ。			再会と、新たな計画！							
だけどきっと……問い続けるヒトがいる限り、自分では辿り着かなかった答えに、いつか辿り着ける。教え子が、後継者が、同じ志を持つ者が……誰かが！			だけどきっと……問い続けるヒトがいる限り、自分では辿り着かなかった答えに、いつか辿り着ける。教え子が、後継者が、同じ志を持つ者が……誰かが！			希望の輝き							
それこそが、ハイデリン様が残そうとしたヒトの歩みなのかも……なんてことを、この大地を巡りながら思ったんだー！			それこそが、ハイデリン様が残そうとしたヒトの歩みなのかも……なんてことを、この大地を巡りながら思ったんだー！			希望の輝き							
ボクたちが今回歩いたのは、その長い道のりの一部なんだよね。ほんの短い距離だったかもしれないけど、一歩ずつが、いつかのための価値ある一歩だったはずさっ！			ボクたちが今回歩いたのは、その長い道のりの一部なんだよね。ほんの短い距離だったかもしれないけど、一歩ずつが、いつかのための価値ある一歩だったはずさっ！			希望の輝き							
よしっ、キミと一緒に見たかった場所には来れたかな！「サーチングウェイ」が待ってるはずだから、基地のほうへ戻ることにしよー！			よしっ、キミと一緒に見たかった場所には来れたかな！「サーチングウェイ」が待ってるはずだから、基地のほうへ戻ることにしよー！			希望の輝き							
もちろん、好きなだけ眺めていってほしいな！もういいかなーってなったら、ボクに教えてねー！			もちろん、好きなだけ眺めていってほしいな！もういいかなーってなったら、ボクに教えてねー！			希望の輝き							
いっぱい眺めてくれて、嬉しいなーっ！新しく降り立った星のこと知っていくのって、とっても楽しいや！今回は、もう大丈夫そうかなー？			いっぱい眺めてくれて、嬉しいなーっ！新しく降り立った星のこと知っていくのって、とっても楽しいや！今回は、もう大丈夫そうかなー？			希望の輝き							
何と言う？			何と言う？			希望の輝き							
大丈夫かなー！			大丈夫かなー！			希望の輝き							
もっと見たいかもー！			もっと見たいかもー！			希望の輝き							
今回も、いっぱい一緒に見て回れて嬉しかったや！サーチングウェイにも教えてあげなくっちゃねっ！			今回も、いっぱい一緒に見て回れて嬉しかったや！サーチングウェイにも教えてあげなくっちゃねっ！			希望の輝き							
おかえりなさいッスー！惑星パエンナのあちこちのこと、よく知ることができたッスか？			おかえりなさいッスー！惑星パエンナのあちこちのこと、よく知ることができたッスか？			希望の輝き							
うんっ、ばっちり紹介させてもらったよー！ガラスが作る形のたくさんのワクワク……Forenameさんと見て回ったんだ！			うんっ、ばっちり紹介させてもらったよー！ガラスが作る形のたくさんのワクワク……Forenameさんと見て回ったんだ！			希望の輝き							
実りある時間になったようで、オイラも嬉しいッスよ！さぁて……オイラのほうでも、とっておきをふたりに紹介する準備ができたッス！			実りある時間になったようで、オイラも嬉しいッスよ！さぁて……オイラのほうでも、とっておきをふたりに紹介する準備ができたッス！			希望の輝き							
サーチングウェイのとっておき？それって……！			サーチングウェイのとっておき？それって……！			希望の輝き							
ふふん、もちろんこの拠点にそびえる、天体望遠鏡「パエンナ・ステラスコープ」ッスー！			ふふん、もちろんこの拠点にそびえる、天体望遠鏡「パエンナ・ステラスコープ」ッスー！			希望の輝き							
すごぉーい……！クルザスにある、アドネール占星台の望遠鏡より大きいや！			すごぉーい……！クルザスにある、アドネール占星台の望遠鏡より大きいや！			希望の輝き							
すでにこの天体望遠鏡をとおして、美しいエーテルの輝きを帯びた星々がたくさん観測されてるッス！			すでにこの天体望遠鏡をとおして、美しいエーテルの輝きを帯びた星々がたくさん観測されてるッス！			希望の輝き							
撮影した画像を出力するには、これをこうして、ピピピっと……。			撮影した画像を出力するには、これをこうして、ピピピっと……。			希望の輝き							
わぁぁ…………！！			わぁぁ…………！！			希望の輝き							
この輝きのひとつずつが、オイラたちがこれから出会える、可能性の塊ッス！			この輝きのひとつずつが、オイラたちがこれから出会える、可能性の塊ッス！			希望の輝き							
宇宙船からこの星を見たときも、とっても感動したけど……こんなに未知の天体が広がってるんだねぇ！			宇宙船からこの星を見たときも、とっても感動したけど……こんなに未知の天体が広がってるんだねぇ！			希望の輝き							
これから、画像の詳細な分析を進めていくッス！知的生命が生存可能なほど、天脈の濃い天体が見つかれば……未知の文明と出会えるかもしれないッスよ！			これから、画像の詳細な分析を進めていくッス！知的生命が生存可能なほど、天脈の濃い天体が見つかれば……未知の文明と出会えるかもしれないッスよ！			希望の輝き							
もちろん、かつてメーティオンが旅して、目にした「絶望」については伝え聞いているッス。多くの文明が滅んだということも……。			もちろん、かつてメーティオンが旅して、目にした「絶望」については伝え聞いているッス。多くの文明が滅んだということも……。			希望の輝き							
ボクもこの計画に参加して、それは聞かせてもらったよ。なかなかショッキングなお話だよね……。			ボクもこの計画に参加して、それは聞かせてもらったよ。なかなかショッキングなお話だよね……。			希望の輝き							
Forenameさんが、天の果てと呼ばれる場所を見てきたんだったよね。そこで見たものは、いったいどんなだったの？			Forenameさんが、天の果てと呼ばれる場所を見てきたんだったよね。そこで見たものは、いったいどんなだったの？			希望の輝き							
何と答える？			何と答える？			希望の輝き							
終末を迎えた文明の残滓があった			終末を迎えた文明の残滓があった			希望の輝き							
滅び去った種族の絶望を目撃した			滅び去った種族の絶望を目撃した			希望の輝き							
文明の再現体たちがカフェを楽しんでいた			文明の再現体たちがカフェを楽しんでいた			希望の輝き							
そんな姿が再現されているとは……胸が痛む、なんてひと言じゃ表しきれないッスね。そのことは事実かもしれない、けれど……			そんな姿が再現されているとは……胸が痛む、なんてひと言じゃ表しきれないッスね。そのことは事実かもしれない、けれど……			希望の輝き							
おお、ジャミングウェイの話なら聞いてるッスよ、新星エリュシオンやカフェに集まる再現体たちのことも！宇宙の「かつて」と「もしも」が交錯する場所になってるって！			おお、ジャミングウェイの話なら聞いてるッスよ、新星エリュシオンやカフェに集まる再現体たちのことも！宇宙の「かつて」と「もしも」が交錯する場所になってるって！			希望の輝き							
オイラたちが実際に星々を巡ることでも、未知の生命たちの記憶を探索していきたいッス！知って、感じて、考えるために……！			オイラたちが実際に星々を巡ることでも、未知の生命たちの記憶を探索していきたいッス！知って、感じて、考えるために……！			希望の輝き							
それに、アーテリスのヒトのように、天脈の下で、生存し続けることができた知的生命体だって、本当にいないかは、確かめに行かないとわからないッス。			それに、アーテリスのヒトのように、天脈の下で、生存し続けることができた知的生命体だって、本当にいないかは、確かめに行かないとわからないッス。			希望の輝き							
もしそんな存在を見つけられたら、対話すべきか、介入せず遠くから見守るべきなのか……。すでに計画機構の研究者間でも、議論が始まってるッスよ！			もしそんな存在を見つけられたら、対話すべきか、介入せず遠くから見守るべきなのか……。すでに計画機構の研究者間でも、議論が始まってるッスよ！			希望の輝き							
記憶を辿り、新たな希望を探す旅ってことかぁ……。なんだかそれって、とってもロマンチックだよ！			記憶を辿り、新たな希望を探す旅ってことかぁ……。なんだかそれって、とってもロマンチックだよ！			希望の輝き							
ともあれッス！これからこの天体望遠鏡でブイブイと彼方を観測して、全力で、到達可能な宙域の情報を集めていくッスよ～！			ともあれッス！これからこの天体望遠鏡でブイブイと彼方を観測して、全力で、到達可能な宙域の情報を集めていくッスよ～！			希望の輝き							
星を包む天脈が濃くて、ヒトが活動可能で、文明が誕生する可能性がある星……そんな新たな探索目標を見つけたいところッス！			星を包む天脈が濃くて、ヒトが活動可能で、文明が誕生する可能性がある星……そんな新たな探索目標を見つけたいところッス！			希望の輝き							
次に向かう星の座標が定まり次第、またお知らせするッスね！それまでふたりとも、いっぱいワクワクを高めて、備えていてほしいッス～！！			次に向かう星の座標が定まり次第、またお知らせするッスね！それまでふたりとも、いっぱいワクワクを高めて、備えていてほしいッス～！！			希望の輝き							
コスモエクスプローラー計画に積極的に参加し、計画実績の、「パエンナのコスモミッションを50回達成する」を、取得済みのため、新たなサブクエストを受注することができます。			コスモエクスプローラー計画に積極的に参加し、計画実績の、「パエンナのコスモミッションを50回達成する」を、取得済みのため、新たなサブクエストを受注することができます。			希望の輝き							
グラスブロワーズ基地にいる「ムムッコ」から、コスモエクスプローラー計画にまつわる話を聞いてみましょう！			グラスブロワーズ基地にいる「ムムッコ」から、コスモエクスプローラー計画にまつわる話を聞いてみましょう！			希望の輝き							
コスモエクスプローラー計画に積極的に参加し、計画実績の、「パエンナのコスモミッションを50回達成する」を取得すると、新たなサブクエストを受注できます。			コスモエクスプローラー計画に積極的に参加し、計画実績の、「パエンナのコスモミッションを50回達成する」を取得すると、新たなサブクエストを受注できます。			希望の輝き							
エクスプローラータブレットからミッションを確認し、計画実績の取得を目指していきましょう！			エクスプローラータブレットからミッションを確認し、計画実績の取得を目指していきましょう！			希望の輝き							
