シャバーブチェのブルケブは、冒険者に頼みがあるようだ。			シャバーブチェのブルケブは、冒険者に頼みがあるようだ。			超常の力、宿りし祭器							
本クエストを進行するためには、現在のクラス・ジョブが、レベル100以上の、ファイター、もしくはソーサラーである必要があります。			本クエストを進行するためには、現在のクラス・ジョブが、レベル100以上の、ファイター、もしくはソーサラーである必要があります。			決戦、ゾーゴー永結橋							
どうやら、私の負けのようね……。			どうやら、私の負けのようね……。			決戦、ゾーゴー永結橋							
けれど私の……「自由の扉」の理念が間違っていたとは、思っていないわ。			けれど私の……「自由の扉」の理念が間違っていたとは、思っていないわ。			決戦、ゾーゴー永結橋							
1期生たちを思い返してみて。思うがまま、自由に生きた人間の姿を！			1期生たちを思い返してみて。思うがまま、自由に生きた人間の姿を！			決戦、ゾーゴー永結橋							
あれこそが、理想の姿。けれど、超常の力を持たぬ者にそんなことはできない。			あれこそが、理想の姿。けれど、超常の力を持たぬ者にそんなことはできない。			決戦、ゾーゴー永結橋							
だから我々悪の組織が、声なき民に代わり、つまらないルールで縛る国家を倒す必要があるの！			だから我々悪の組織が、声なき民に代わり、つまらないルールで縛る国家を倒す必要があるの！			決戦、ゾーゴー永結橋							
何故そこまでルールを、国家を憎むのです？			何故そこまでルールを、国家を憎むのです？			決戦、ゾーゴー永結橋							
生まれながらに役職を強制されてきた私が、異を唱えて掟を破り、追放されたことで自由を知った。このことは、すでにあなたたちも知っているのでしょう？			生まれながらに役職を強制されてきた私が、異を唱えて掟を破り、追放されたことで自由を知った。このことは、すでにあなたたちも知っているのでしょう？			決戦、ゾーゴー永結橋							
でも、どんな場所を旅しても、必ず不自由なルールが、人を縛っていることに気づいたの。			でも、どんな場所を旅しても、必ず不自由なルールが、人を縛っていることに気づいたの。			決戦、ゾーゴー永結橋							
閉鎖的なグリダニアは言うに及ばず、ウルダハでは、商人たちが法を作り他者を支配していた。海賊たちのリムサ・ロミンサでさえ、無法者の法があったわ。			閉鎖的なグリダニアは言うに及ばず、ウルダハでは、商人たちが法を作り他者を支配していた。海賊たちのリムサ・ロミンサでさえ、無法者の法があったわ。			決戦、ゾーゴー永結橋							
イシュガルドでは正教の教えが人々を戦いに駆り立て、東方の地では、古臭い因習が人生を縛り付けていた。……どこにも自由な生き方なんてなかった！			イシュガルドでは正教の教えが人々を戦いに駆り立て、東方の地では、古臭い因習が人生を縛り付けていた。……どこにも自由な生き方なんてなかった！			決戦、ゾーゴー永結橋							
そして、海を渡ってトラル大陸まで来て、ようやく本当の自由を手に入れた……！			そして、海を渡ってトラル大陸まで来て、ようやく本当の自由を手に入れた……！			決戦、ゾーゴー永結橋							
そう思ったのに、あの陰惨な出来事で、私はふたたび居場所を奪われてしまったのよ。			そう思ったのに、あの陰惨な出来事で、私はふたたび居場所を奪われてしまったのよ。			決戦、ゾーゴー永結橋							
いったい、何があったんだ……？			いったい、何があったんだ……？			決戦、ゾーゴー永結橋							
こっちが聞きたいわよ！いきなり家賃がどうとかいって、放り出されてしまったんだから！			こっちが聞きたいわよ！いきなり家賃がどうとかいって、放り出されてしまったんだから！			決戦、ゾーゴー永結橋							
ヤチン……？お金を払ってなかったの？			ヤチン……？お金を払ってなかったの？			決戦、ゾーゴー永結橋							
どうして家にお金を払わないといけないの？私の里では、掟に従ってさえいればタダで暮らせたわよ。			どうして家にお金を払わないといけないの？私の里では、掟に従ってさえいればタダで暮らせたわよ。			決戦、ゾーゴー永結橋							
そう、私に課せられたあの忌まわしき務め……毎晩酔いつぶれる姉さんたちの介抱さえしていればね！			そう、私に課せられたあの忌まわしき務め……毎晩酔いつぶれる姉さんたちの介抱さえしていればね！			決戦、ゾーゴー永結橋							
どんな里よ……！？			どんな里よ……！？			決戦、ゾーゴー永結橋							
って違う、労働が対価の代わりってことなら、家賃のことだって、理解できるでしょうに！			って違う、労働が対価の代わりってことなら、家賃のことだって、理解できるでしょうに！			決戦、ゾーゴー永結橋							
いいえ、お金を払うことは、私にとって掟を強制されるに等しい行為……。絶対に受け容れるわけにはいかないわ！			いいえ、お金を払うことは、私にとって掟を強制されるに等しい行為……。絶対に受け容れるわけにはいかないわ！			決戦、ゾーゴー永結橋							
やむなく私は、街の一角に天幕を張り、国家の法による支配に反逆することを決意した！たったひとりで権力への抵抗活動を始めたのよ。			やむなく私は、街の一角に天幕を張り、国家の法による支配に反逆することを決意した！たったひとりで権力への抵抗活動を始めたのよ。			決戦、ゾーゴー永結橋							
けれどある日、活動を終えて戻ったら……綺麗さっぱり何もかも消えていた。そこにあったのは、立入禁止の看板ひとつだけ！			けれどある日、活動を終えて戻ったら……綺麗さっぱり何もかも消えていた。そこにあったのは、立入禁止の看板ひとつだけ！			決戦、ゾーゴー永結橋							
財産を没収されちゃったの？それはさすがに、可哀想かな……？			財産を没収されちゃったの？それはさすがに、可哀想かな……？			決戦、ゾーゴー永結橋							
お前の事情はわかったよ。けど、誰も彼もが自由に振る舞っていたらメチャクチャになる。だからこそ、法という最低限のルールがあるんだろう。			お前の事情はわかったよ。けど、誰も彼もが自由に振る舞っていたらメチャクチャになる。だからこそ、法という最低限のルールがあるんだろう。			決戦、ゾーゴー永結橋							
もちろん、時が経って古くなったものや、なんでだよって思うものも、中にはあるかもしれない。			もちろん、時が経って古くなったものや、なんでだよって思うものも、中にはあるかもしれない。			決戦、ゾーゴー永結橋							
だったら、ただ守るんじゃなくて、変えていけばいいだろ？お前の言ってることは自由じゃない、ただワガママで、身勝手なだけだ！			だったら、ただ守るんじゃなくて、変えていけばいいだろ？お前の言ってることは自由じゃない、ただワガママで、身勝手なだけだ！			決戦、ゾーゴー永結橋							
じゃあ、法を改正して、私は何をしても許されるようにしまーす！			じゃあ、法を改正して、私は何をしても許されるようにしまーす！			決戦、ゾーゴー永結橋							
真面目に話を聞いたオレたちが馬鹿だった……。			真面目に話を聞いたオレたちが馬鹿だった……。			決戦、ゾーゴー永結橋							
みんなでアパーヒを捕まえるぞ！			みんなでアパーヒを捕まえるぞ！			決戦、ゾーゴー永結橋							
貴様が首謀者だな！？手下どもは全員ひっ捕らえたぞ、観念するんだな！			貴様が首謀者だな！？手下どもは全員ひっ捕らえたぞ、観念するんだな！			決戦、ゾーゴー永結橋							
こ、今回はおとなしく負けを認めましょう。けど、この戦いをどこかで観てる残りの2期生たちが、必ずや私の遺志を継いでくれるはず……！			こ、今回はおとなしく負けを認めましょう。けど、この戦いをどこかで観てる残りの2期生たちが、必ずや私の遺志を継いでくれるはず……！			決戦、ゾーゴー永結橋							
「自由の扉」は、永遠に閉ざされることはないのよー！			「自由の扉」は、永遠に閉ざされることはないのよー！			決戦、ゾーゴー永結橋							
たとえ自由のためでも、他人を害していいわけがない。互いに迷惑かけて、それでも支え合っていくのが人間だろ？			たとえ自由のためでも、他人を害していいわけがない。互いに迷惑かけて、それでも支え合っていくのが人間だろ？			決戦、ゾーゴー永結橋							
あのエルレットと気が合うくらいだから、わかってはいたけど……なんて身勝手な人なの！？			あのエルレットと気が合うくらいだから、わかってはいたけど……なんて身勝手な人なの！？			決戦、ゾーゴー永結橋							
これで、イットカの無念も完全に晴らせたよ……。ありがとう、Forename！			これで、イットカの無念も完全に晴らせたよ……。ありがとう、Forename！			決戦、ゾーゴー永結橋							
戦力の要を魔物に頼っていたところから察するに、手下たちをあまり多くは渡航させられなかったみたいですね。ヴィラザーンの資産も底を尽きたということでしょうか。			戦力の要を魔物に頼っていたところから察するに、手下たちをあまり多くは渡航させられなかったみたいですね。ヴィラザーンの資産も底を尽きたということでしょうか。			決戦、ゾーゴー永結橋							
Forenameちゃん、それにみんなも、本当にお疲れさま！			Forenameちゃん、それにみんなも、本当にお疲れさま！			決戦、ゾーゴー永結橋							
アパーヒが勇連隊に捕まって、祭器も破壊されたから、これで一件落着だね。			アパーヒが勇連隊に捕まって、祭器も破壊されたから、これで一件落着だね。			決戦、ゾーゴー永結橋							
それじゃシャバーブチェに戻って、ラマジュンさんたちに報告しよ！			それじゃシャバーブチェに戻って、ラマジュンさんたちに報告しよ！			決戦、ゾーゴー永結橋							
アパーヒの襲撃を、阻止してくれたんですね！手下たちも全員勇連隊によって逮捕され、街への被害はまったくありませんでした。			アパーヒの襲撃を、阻止してくれたんですね！手下たちも全員勇連隊によって逮捕され、街への被害はまったくありませんでした。			決戦、ゾーゴー永結橋							
ところで……武の院の賢士が、今回、倒した魔物の遺骸を検分した結果、意外な事実が判明したそうです。			ところで……武の院の賢士が、今回、倒した魔物の遺骸を検分した結果、意外な事実が判明したそうです。			決戦、ゾーゴー永結橋							
なんと、アパーヒが従えていたのは本物の魔物ではなく、微細な菌類が集まって、魔物の形を成したものだったんだとか。			なんと、アパーヒが従えていたのは本物の魔物ではなく、微細な菌類が集まって、魔物の形を成したものだったんだとか。			決戦、ゾーゴー永結橋							
つまり、例の祭器に封印されていたのは、菌類のトラルヴィドラールだった、ということです。			つまり、例の祭器に封印されていたのは、菌類のトラルヴィドラールだった、ということです。			決戦、ゾーゴー永結橋							
アパーヒは、各地を巡って危険な魔物を探し、それを菌類で再現することで、手駒を増やしていたのでしょう。これが「魔物を手懐け、連れ去っている」という噂の真相です。			アパーヒは、各地を巡って危険な魔物を探し、それを菌類で再現することで、手駒を増やしていたのでしょう。これが「魔物を手懐け、連れ去っている」という噂の真相です。			決戦、ゾーゴー永結橋							
けれど、そんな脅威もみなさんの活躍で退けられました。労いも兼ねて、とびっきりのタコスを振る舞いますので、どうぞ食べていってください！			けれど、そんな脅威もみなさんの活躍で退けられました。労いも兼ねて、とびっきりのタコスを振る舞いますので、どうぞ食べていってください！			決戦、ゾーゴー永結橋							
あ、そうそう。テントーワさんたちは、この後、故郷に戻られるようですから、最後にご挨拶などされてはいかがでしょう？			あ、そうそう。テントーワさんたちは、この後、故郷に戻られるようですから、最後にご挨拶などされてはいかがでしょう？			決戦、ゾーゴー永結橋							
イシュガルドに行ったときも思ったけど、地域ごとに全然違うメシがあって、面白いな！オマエが旅をする理由もわかるぞ。			イシュガルドに行ったときも思ったけど、地域ごとに全然違うメシがあって、面白いな！オマエが旅をする理由もわかるぞ。			決戦、ゾーゴー永結橋							
アナタといたら、ウィスルムとゼリグのことを思い出しちゃった。元気にしているか、手紙でも出してみようかしら。			アナタといたら、ウィスルムとゼリグのことを思い出しちゃった。元気にしているか、手紙でも出してみようかしら。			決戦、ゾーゴー永結橋							
故郷に帰る前に、買い物もしておきたいな。万一のために備えて、替えの眼鏡を、ね。			故郷に帰る前に、買い物もしておきたいな。万一のために備えて、替えの眼鏡を、ね。			決戦、ゾーゴー永結橋							
シャバーブチェはいろんな人がいて、ほんと楽しい！ウチの地元にも、こういうお店ほしいよー！			シャバーブチェはいろんな人がいて、ほんと楽しい！ウチの地元にも、こういうお店ほしいよー！			決戦、ゾーゴー永結橋							
そういえば、この店で私の帰りを待っていた両親が、ここのタコスは美味しいと言ってました。お土産に持って帰ったら喜ぶでしょうか……？			そういえば、この店で私の帰りを待っていた両親が、ここのタコスは美味しいと言ってました。お土産に持って帰ったら喜ぶでしょうか……？			決戦、ゾーゴー永結橋							
実は、里に戻ってから皆と話し合って、イッカクの祭器を使うのをやめることにしたんだ。だから今のオレはもう、「眠らずの勇士」じゃない。			実は、里に戻ってから皆と話し合って、イッカクの祭器を使うのをやめることにしたんだ。だから今のオレはもう、「眠らずの勇士」じゃない。			決戦、ゾーゴー永結橋							
でさ、イシュガルドの神殿騎士団を参考に、訓練したり、交代で見張りをしたり……いろいろと新しいことを始めてみたよ。			でさ、イシュガルドの神殿騎士団を参考に、訓練したり、交代で見張りをしたり……いろいろと新しいことを始めてみたよ。			決戦、ゾーゴー永結橋							
ローデニケも眠り子の役目から解放されて自由な時間が増えた。なのに、オレにつきあって訓練してるんだから、世話ないよな。			ローデニケも眠り子の役目から解放されて自由な時間が増えた。なのに、オレにつきあって訓練してるんだから、世話ないよな。			決戦、ゾーゴー永結橋							
まぁそれも全部オマエのおかげだ。オマエが示した護り手の生き方、オレたちも貫いてみせるよ！			まぁそれも全部オマエのおかげだ。オマエが示した護り手の生き方、オレたちも貫いてみせるよ！			決戦、ゾーゴー永結橋							
ワタシの部族では、サソリの祭器が使えない状況に備えて、毒に対する耐性をつける訓練を始めたの。			ワタシの部族では、サソリの祭器が使えない状況に備えて、毒に対する耐性をつける訓練を始めたの。			決戦、ゾーゴー永結橋							
最初のうちは適切な分量がわからず、危険な状況になることもあったけど……そういうときこそ、祭器の出番よ。			最初のうちは適切な分量がわからず、危険な状況になることもあったけど……そういうときこそ、祭器の出番よ。			決戦、ゾーゴー永結橋							
元来、人間には困難を克服する力が備わっている。いつの日か、超常の力をもつ祭器に頼らず、自分たちの力だけで暮らせるようになってみせるわ。			元来、人間には困難を克服する力が備わっている。いつの日か、超常の力をもつ祭器に頼らず、自分たちの力だけで暮らせるようになってみせるわ。			決戦、ゾーゴー永結橋							
それにしても、毒のない食べ物は久々！とっても美味しいわね！			それにしても、毒のない食べ物は久々！とっても美味しいわね！			決戦、ゾーゴー永結橋							
アゲハの祭器を持ち出すことを許してくれた集落のみんなに、これで良い報告ができるよ。			アゲハの祭器を持ち出すことを許してくれた集落のみんなに、これで良い報告ができるよ。			決戦、ゾーゴー永結橋							
キミの素性は初めからアパーヒにバレてたみたいだけど……それってつまり、キミが英雄として戦い続け、名声をあげた結果でもあるんだろうね。			キミの素性は初めからアパーヒにバレてたみたいだけど……それってつまり、キミが英雄として戦い続け、名声をあげた結果でもあるんだろうね。			決戦、ゾーゴー永結橋							
アタシはイットカの遺志を継いで凄腕の狩人になりたい。でもそれは、行動の結果としてついてくるものだと思う。			アタシはイットカの遺志を継いで凄腕の狩人になりたい。でもそれは、行動の結果としてついてくるものだと思う。			決戦、ゾーゴー永結橋							
だから、いまは集落の平和を護ることだけを考える。そしていつの日か、キミのところまでアタシの名が届くといいな！			だから、いまは集落の平和を護ることだけを考える。そしていつの日か、キミのところまでアタシの名が届くといいな！			決戦、ゾーゴー永結橋							
Forenameちゃん、お疲れさま！戦いは怖かったけど、みんなのおかげで心強かったー！			Forenameちゃん、お疲れさま！戦いは怖かったけど、みんなのおかげで心強かったー！			決戦、ゾーゴー永結橋							
せっかくトライヨラまで来たから、ウチはこのあと、お土産をたっくさん買って村に帰るよ。あとそうだ、ウチの村といえばね……			せっかくトライヨラまで来たから、ウチはこのあと、お土産をたっくさん買って村に帰るよ。あとそうだ、ウチの村といえばね……			決戦、ゾーゴー永結橋							
この前、カクージャのおじさんからお手紙が届いたの！情状酌量の余地ありってことで、もうすぐ釈放されて、約束どおり、一番最初にウチの村へ来てくれるって！			この前、カクージャのおじさんからお手紙が届いたの！情状酌量の余地ありってことで、もうすぐ釈放されて、約束どおり、一番最初にウチの村へ来てくれるって！			決戦、ゾーゴー永結橋							
村のみんなも事情は知ってるし、歓迎してくれるはず！もし、おじさんが村専属の傭兵になってくれたら、護ってもらいつつ、一緒にトライヨラまで遊びに来るね！			村のみんなも事情は知ってるし、歓迎してくれるはず！もし、おじさんが村専属の傭兵になってくれたら、護ってもらいつつ、一緒にトライヨラまで遊びに来るね！			決戦、ゾーゴー永結橋							
それにしても、祭器の由来がヨカフイ族にあったとは……。大陸を支配したという強大な部族ですら、存亡の危機に瀕し、超常の力を求めたのですね。			それにしても、祭器の由来がヨカフイ族にあったとは……。大陸を支配したという強大な部族ですら、存亡の危機に瀕し、超常の力を求めたのですね。			決戦、ゾーゴー永結橋							
私の部族は、祭器にフクロウを封じました。そしてその力は、大きな危険を呼ぶ恐れがあるとして、長らく、使われることもなかったわけですが……			私の部族は、祭器にフクロウを封じました。そしてその力は、大きな危険を呼ぶ恐れがあるとして、長らく、使われることもなかったわけですが……			決戦、ゾーゴー永結橋							
村のみんなに新たな接し方を提案することもできるのではと、そうした思いを胸に、ずっと鍛錬を続けてるんですよ。少しは強くなったなって、思いませんでしたか？			村のみんなに新たな接し方を提案することもできるのではと、そうした思いを胸に、ずっと鍛錬を続けてるんですよ。少しは強くなったなって、思いませんでしたか？			決戦、ゾーゴー永結橋							
……なーんて。過ぎた力を求めれば、ヴィラザーンと同じ。私はこれからも、無欲に腕を磨いていきます！			……なーんて。過ぎた力を求めれば、ヴィラザーンと同じ。私はこれからも、無欲に腕を磨いていきます！			決戦、ゾーゴー永結橋							
さて、名残惜しいですが、そろそろ帰らないと……。最後にみんなでブルケブさんに挨拶していきましょう。			さて、名残惜しいですが、そろそろ帰らないと……。最後にみんなでブルケブさんに挨拶していきましょう。			決戦、ゾーゴー永結橋							
皆との挨拶は済んだようだな。そろそろお開きとするか。			皆との挨拶は済んだようだな。そろそろお開きとするか。			決戦、ゾーゴー永結橋							
それじゃ、また。元気でね！			それじゃ、また。元気でね！			決戦、ゾーゴー永結橋							
次は、ローデニケも連れてくるよ。アイツも、世話になった皆に会いたがってたしな。			次は、ローデニケも連れてくるよ。アイツも、世話になった皆に会いたがってたしな。			決戦、ゾーゴー永結橋							
近くまで来たら、里に顔を出してね。アタシが仕留めた、美味しいイノシシをご馳走するから！			近くまで来たら、里に顔を出してね。アタシが仕留めた、美味しいイノシシをご馳走するから！			決戦、ゾーゴー永結橋							
みんながこれからも、楽しくすごせますよーに！またねー！			みんながこれからも、楽しくすごせますよーに！またねー！			決戦、ゾーゴー永結橋							
あなたに、少しでも恩返しはできたでしょうか……私で力になれることがあれば、いつでも呼んでください！			あなたに、少しでも恩返しはできたでしょうか……私で力になれることがあれば、いつでも呼んでください！			決戦、ゾーゴー永結橋							
みなさんのおかげで……祭器による一連の騒動も、ようやく落ち着きましたね！			みなさんのおかげで……祭器による一連の騒動も、ようやく落ち着きましたね！			決戦、ゾーゴー永結橋							
首領が捕まり、組織としての体裁が保てなくなれば、残党どももデカい行動は起こせず、自然消滅するはず。これにて一件落着だな！			首領が捕まり、組織としての体裁が保てなくなれば、残党どももデカい行動は起こせず、自然消滅するはず。これにて一件落着だな！			決戦、ゾーゴー永結橋							
あ、いらっしゃいませー！			あ、いらっしゃいませー！			決戦、ゾーゴー永結橋							
ケッ、最低限のルールだなどと、説教くせぇ……。まったく虫唾が走る連中だったぜ！			ケッ、最低限のルールだなどと、説教くせぇ……。まったく虫唾が走る連中だったぜ！			決戦、ゾーゴー永結橋							
それに引き換え、アパーヒ殿のあの雄姿……心打つものがあった……！			それに引き換え、アパーヒ殿のあの雄姿……心打つものがあった……！			決戦、ゾーゴー永結橋							
首領の遺志は、あたしらが継ぐのら。祭器に代わる力をげっとして、国家をひっくり返してやるのら～！			首領の遺志は、あたしらが継ぐのら。祭器に代わる力をげっとして、国家をひっくり返してやるのら～！			決戦、ゾーゴー永結橋							
そうとも、「自由の扉」は永遠不滅。僕たち2期生で、次の作戦(ストーリー)を奏でよう！			そうとも、「自由の扉」は永遠不滅。僕たち2期生で、次の作戦(ストーリー)を奏でよう！			決戦、ゾーゴー永結橋							
こ、ここに残党がいたー！？			こ、ここに残党がいたー！？			決戦、ゾーゴー永結橋							
勇連隊さーん、早く来てー！			勇連隊さーん、早く来てー！			決戦、ゾーゴー永結橋							
クソッ、こんなところで捕まるわけには……！			クソッ、こんなところで捕まるわけには……！			決戦、ゾーゴー永結橋							
