円蓋の座の真面目そうな衛兵は、冒険者に聞きたいことがあるようだ。			円蓋の座の真面目そうな衛兵は、冒険者に聞きたいことがあるようだ。			始まりの「楽園」							
リーンと話した。ガイアの記憶が徐々に失われつつあるようだが、仲間との思い出を共有することで、互いに絆を深め合った。さらなる真実を知るため、無の大地から「エデンコア」へ向かおう。			リーンと話した。ガイアの記憶が徐々に失われつつあるようだが、仲間との思い出を共有することで、互いに絆を深め合った。さらなる真実を知るため、無の大地から「エデンコア」へ向かおう。			いにしえの記憶							
エデンコアで待ち受けていたミトロンは、ガイアの記憶を取り戻すため、光の戦士アルバートと、第一世界の闇を支配した反英雄との激戦を再現するという。一行はミトロンの甘言を跳ねのけようとするが、転移魔法によって分断されてしまった。「リーン」と話そう。			エデンコアで待ち受けていたミトロンは、ガイアの記憶を取り戻すため、光の戦士アルバートと、第一世界の闇を支配した反英雄との激戦を再現するという。一行はミトロンの甘言を跳ねのけようとするが、転移魔法によって分断されてしまった。「リーン」と話そう。			いにしえの記憶							
リーンと話した。ガイアを助けるためには、ミトロンが再現する戦いに勝利するしかない。しっかりと準備を整えて、エデンコアへと突入し、現れた反英雄を撃破しよう！※コンテンツファインダーから攻略に参加できます。			リーンと話した。ガイアを助けるためには、ミトロンが再現する戦いに勝利するしかない。しっかりと準備を整えて、エデンコアへと突入し、現れた反英雄を撃破しよう！※コンテンツファインダーから攻略に参加できます。			いにしえの記憶							
ミトロンによって再現された影の王を撃破した。捕らわれていたガイアの安否が気になる。「リーン」と話そう。			ミトロンによって再現された影の王を撃破した。捕らわれていたガイアの安否が気になる。「リーン」と話そう。			いにしえの記憶							
リーンと話した。過去の戦いの再現を目にしても、ガイアの身に変化は生じなかった。しかし、ミトロンが魂を超えて知識を共有したことによって、ガイアに受け継がれていた、アシエン・アログリフの魂が覚醒してしまった。融合したふたりのアシエンは、リーンの頭に働きかけ、彼女がイメージする最強の存在を召喚するという。リーンの容態を確認しよう。			リーンと話した。過去の戦いの再現を目にしても、ガイアの身に変化は生じなかった。しかし、ミトロンが魂を超えて知識を共有したことによって、ガイアに受け継がれていた、アシエン・アログリフの魂が覚醒してしまった。融合したふたりのアシエンは、リーンの頭に働きかけ、彼女がイメージする最強の存在を召喚するという。リーンの容態を確認しよう。			いにしえの記憶							
リーンと話す			リーンと話す			いにしえの記憶							
エデンコアに向かう			エデンコアに向かう			いにしえの記憶							
リーンと話す			リーンと話す			いにしえの記憶							
「希望の園エデン：再生編2」を攻略			「希望の園エデン：再生編2」を攻略			いにしえの記憶							
リーンと話す			リーンと話す			いにしえの記憶							
環境エーテルが、今までにない反応をしています。いったい、何が起こっているんでしょうか……！？			環境エーテルが、今までにない反応をしています。いったい、何が起こっているんでしょうか……！？			いにしえの記憶							
環境エーテルの変化が気になる。今はガイアと話そう……。			環境エーテルの変化が気になる。今はガイアと話そう……。			いにしえの記憶							
闇の励起で、光は相殺できたみたい。だけど、このイヤな感覚はなに……！？			闇の励起で、光は相殺できたみたい。だけど、このイヤな感覚はなに……！？			いにしえの記憶							
光の氾濫から100年――ずっと  このときを待っていた！			光の氾濫から100年――ずっと  このときを待っていた！			いにしえの記憶							
アンタ……やっぱり、そこから囁いていたのね？エデンッ！			アンタ……やっぱり、そこから囁いていたのね？エデンッ！			いにしえの記憶							
あの印……アシエン！？			あの印……アシエン！？			いにしえの記憶							
然り。私は戒律王の使徒、アシエン・ミトロン……！			然り。私は戒律王の使徒、アシエン・ミトロン……！			いにしえの記憶							
その声……アンタが「妖精」の正体ってわけ？			その声……アンタが「妖精」の正体ってわけ？			いにしえの記憶							
フフフ、よくぞ闇を励起させ、光の牢獄に囚われし我が魂を覚醒させてくれた！			フフフ、よくぞ闇を励起させ、光の牢獄に囚われし我が魂を覚醒させてくれた！			いにしえの記憶							
光の牢獄……。エデンがアシエンを封じていた……？			光の牢獄……。エデンがアシエンを封じていた……？			いにしえの記憶							
い、いえ、この気配はエデンそのもの……！まさか、エデンはアシエンが罪喰い化したものだったの！？			い、いえ、この気配はエデンそのもの……！まさか、エデンはアシエンが罪喰い化したものだったの！？			いにしえの記憶							
アシエンってのが何なのかは、よくわからないけど、その反応からすると、ロクなものじゃなさそうね。			アシエンってのが何なのかは、よくわからないけど、その反応からすると、ロクなものじゃなさそうね。			いにしえの記憶							
そんなヤツの囁きに乗せられて、闇属性の励起を提案してしまっただなんて、我ながら大失態だわ……。			そんなヤツの囁きに乗せられて、闇属性の励起を提案してしまっただなんて、我ながら大失態だわ……。			いにしえの記憶							
そう警戒しなくても良い。私がこうして姿を現したのは、お前と語らうためなのだから。			そう警戒しなくても良い。私がこうして姿を現したのは、お前と語らうためなのだから。			いにしえの記憶							
長きにわたる忍従の末……いまだ肉体は異形と化したままだが、幻体を形作って、こうして再び大地に立つ日が来ようとは。			長きにわたる忍従の末……いまだ肉体は異形と化したままだが、幻体を形作って、こうして再び大地に立つ日が来ようとは。			いにしえの記憶							
お前ならば、私の囁きに、必ず応えてくれると信じていたぞ、ガイア。			お前ならば、私の囁きに、必ず応えてくれると信じていたぞ、ガイア。			いにしえの記憶							
馴れ馴れしく言ってくれちゃって……！アンタと私、いったいどんな関係があるっていうの？			馴れ馴れしく言ってくれちゃって……！アンタと私、いったいどんな関係があるっていうの？			いにしえの記憶							
フッ、相も変わらず忘れッポイ娘だ……。ならばその疑問に答えてやろうではないか。その方が、お前も記憶を取り戻しやすかろう。			フッ、相も変わらず忘れッポイ娘だ……。ならばその疑問に答えてやろうではないか。その方が、お前も記憶を取り戻しやすかろう。			いにしえの記憶							
かつて、第十三世界で「闇の氾濫」が起きた……。その影響で対極に位置するここ第一世界は、つねに光の力が溢れやすい、不安定な状態に陥っていた。			かつて、第十三世界で「闇の氾濫」が起きた……。その影響で対極に位置するここ第一世界は、つねに光の力が溢れやすい、不安定な状態に陥っていた。			いにしえの記憶							
「光の氾濫」が起きれば、この世界もまた利用できぬ塵と化す。私たちは、それを阻止するための監視者であったのだ。			「光の氾濫」が起きれば、この世界もまた利用できぬ塵と化す。私たちは、それを阻止するための監視者であったのだ。			いにしえの記憶							
その後、エメトセルクが「光の氾濫」を利用し、アーダーを……世界統合を成し遂げる策を思いついてな。私たちは、その策の下で動くことになった。			その後、エメトセルクが「光の氾濫」を利用し、アーダーを……世界統合を成し遂げる策を思いついてな。私たちは、その策の下で動くことになった。			いにしえの記憶							
だが、紆余曲折の末、光の増大を崩壊の際で食い止める策は失敗……。アルバートら光の戦士との直接対決に至り……私たちは敗れた。			だが、紆余曲折の末、光の増大を崩壊の際で食い止める策は失敗……。アルバートら光の戦士との直接対決に至り……私たちは敗れた。			いにしえの記憶							
しかし、我らは不滅なる者。肉体が滅びようとも、魂を次元の狭間へと退避させ、生き延びることができるのだ。			しかし、我らは不滅なる者。肉体が滅びようとも、魂を次元の狭間へと退避させ、生き延びることができるのだ。			いにしえの記憶							
アシエンの転生……。他者の肉体に乗り移って行動するアシエンを、私も一度見たことがあります。			アシエンの転生……。他者の肉体に乗り移って行動するアシエンを、私も一度見たことがあります。			いにしえの記憶							
だが、アルバートの想いを乗せた光の一撃は、強く素早く、魂を退避させる間もなく私を撃ち抜いた。そして、強烈な光に蝕まれた私の肉体は変異を遂げ……			だが、アルバートの想いを乗せた光の一撃は、強く素早く、魂を退避させる間もなく私を撃ち抜いた。そして、強烈な光に蝕まれた私の肉体は変異を遂げ……			いにしえの記憶							
アンタは最初の罪喰い……エデンになった、と。強い光の力で異形に転じるだなんて、大罪喰いと同じね。			アンタは最初の罪喰い……エデンになった、と。強い光の力で異形に転じるだなんて、大罪喰いと同じね。			いにしえの記憶							
エデンとなった私に、もはや意思はなかった。			エデンとなった私に、もはや意思はなかった。			いにしえの記憶							
すべての闇なる存在を消滅させるという、アルバートの想いに影響されたのか、私は無意識のままに、有り余る光を発散させ、この世界全体を光に染めた。			すべての闇なる存在を消滅させるという、アルバートの想いに影響されたのか、私は無意識のままに、有り余る光を発散させ、この世界全体を光に染めた。			いにしえの記憶							
それが「光の氾濫」の発端にして、すべての罪喰いの行動原理……！？			それが「光の氾濫」の発端にして、すべての罪喰いの行動原理……！？			いにしえの記憶							
おそらくな……。だが、幸運にも私を止める者が現れた。お前たちが語るミンフィリアとかいう光の使徒だ。			おそらくな……。だが、幸運にも私を止める者が現れた。お前たちが語るミンフィリアとかいう光の使徒だ。			いにしえの記憶							
それによって、私の意識はわずかに取り戻されたが、変異した肉体を制御することはできず、大地に伏したまま。できたのは、かすかに「声」を出すことだけ……。			それによって、私の意識はわずかに取り戻されたが、変異した肉体を制御することはできず、大地に伏したまま。できたのは、かすかに「声」を出すことだけ……。			いにしえの記憶							
でも、エメトセルクなら、罪喰いになったあなたを助けることができたのでは？			でも、エメトセルクなら、罪喰いになったあなたを助けることができたのでは？			いにしえの記憶							
……彼らオリジナルにとって、転生組は替えがきく。他の鏡像世界に行けば、私と同じ魂を持って転生した存在を、見つけることができるであろう。			……彼らオリジナルにとって、転生組は替えがきく。他の鏡像世界に行けば、私と同じ魂を持って転生した存在を、見つけることができるであろう。			いにしえの記憶							
エデンに干渉してエーテルのバランスを乱すまでもない。すでに、他の者を新たなミトロンの座に就けているのではないか。			エデンに干渉してエーテルのバランスを乱すまでもない。すでに、他の者を新たなミトロンの座に就けているのではないか。			いにしえの記憶							
光の戦士に負けたアンタは、仲間に見捨てられたってわけね。			光の戦士に負けたアンタは、仲間に見捨てられたってわけね。			いにしえの記憶							
ゆえに私は数十年もの間、ひたすらに囁き続けた。ここ第一世界で唯一、私をこの牢獄から救い出してくれる者……そう、ガイア、お前の名前を。			ゆえに私は数十年もの間、ひたすらに囁き続けた。ここ第一世界で唯一、私をこの牢獄から救い出してくれる者……そう、ガイア、お前の名前を。			いにしえの記憶							
私が子どものころから聞いていたのは、アンタが助けを求める声だったってこと？			私が子どものころから聞いていたのは、アンタが助けを求める声だったってこと？			いにしえの記憶							
そうだ、しかしそれでもお前は使命を思い出すことはなく、一時的に力を発露させることしかできなかった。			そうだ、しかしそれでもお前は使命を思い出すことはなく、一時的に力を発露させることしかできなかった。			いにしえの記憶							
そしてさらに時は流れ……この世界から光が掃われ、夜闇が取り戻された。			そしてさらに時は流れ……この世界から光が掃われ、夜闇が取り戻された。			いにしえの記憶							
活性の力を得たことで我が声は強まり、遂にガイアの肉体に「接続」し、意識を乗っ取ることが可能となった！			活性の力を得たことで我が声は強まり、遂にガイアの肉体に「接続」し、意識を乗っ取ることが可能となった！			いにしえの記憶							
エデンという檻を破壊し、自分の魂を解放する……。それが、私の意識を乗っ取ってやらせた襲撃の真相ね。ま、それもForenameが阻止したけど。			エデンという檻を破壊し、自分の魂を解放する……。それが、私の意識を乗っ取ってやらせた襲撃の真相ね。ま、それもForenameが阻止したけど。			いにしえの記憶							
だが、その後お前たちが始めた属性励起とやらを通じて、大地から各属性のエーテルを吸収し、エデンに蓄積できたのは僥倖だった。			だが、その後お前たちが始めた属性励起とやらを通じて、大地から各属性のエーテルを吸収し、エデンに蓄積できたのは僥倖だった。			いにしえの記憶							
肉体を侵す光の割合は徐々に薄まっていき、最後に闇の励起が行われたことで、私は完全に覚醒し……こうして幻体を紡ぐまで立ち直ることができたのだ。			肉体を侵す光の割合は徐々に薄まっていき、最後に闇の励起が行われたことで、私は完全に覚醒し……こうして幻体を紡ぐまで立ち直ることができたのだ。			いにしえの記憶							
それじゃあ、私たちが行ってきた属性励起は、アシエンの復活を手助けしていたも、同然ってこと……！？			それじゃあ、私たちが行ってきた属性励起は、アシエンの復活を手助けしていたも、同然ってこと……！？			いにしえの記憶							
で？　アンタの話を聞いても「だからなに？」って感じ。こっちは不気味な声に悩まされたり、無意識状態で他人を襲ったり……いい迷惑。			で？　アンタの話を聞いても「だからなに？」って感じ。こっちは不気味な声に悩まされたり、無意識状態で他人を襲ったり……いい迷惑。			いにしえの記憶							
それよりも、私とアンタの関係を知りたいんだけど？			それよりも、私とアンタの関係を知りたいんだけど？			いにしえの記憶							
これ以上を知るには、もっとふさわしい場所がある。エデンの中へと入ってくるがいい……！			これ以上を知るには、もっとふさわしい場所がある。エデンの中へと入ってくるがいい……！			いにしえの記憶							
待ちなさい！			待ちなさい！			いにしえの記憶							
励起した属性のエーテルが、エデンに蓄えられているのなら、なおのこと、ミトロンを放っておくことはできないわ。世界を再生させるためにも、アイツを倒さないと！			励起した属性のエーテルが、エデンに蓄えられているのなら、なおのこと、ミトロンを放っておくことはできないわ。世界を再生させるためにも、アイツを倒さないと！			いにしえの記憶							
今はリーンと話そう……。			今はリーンと話そう……。			いにしえの記憶							
すべての属性のエーテルを蓄えたエデン……つまり、アシエン・ミトロンを倒せば、「無の大地」にも、また緑が戻るかもしれません。			すべての属性のエーテルを蓄えたエデン……つまり、アシエン・ミトロンを倒せば、「無の大地」にも、また緑が戻るかもしれません。			いにしえの記憶							
しかし、今のエデンは、私に制御できる状態ではないようです。「妖精」の誘いに乗るなと、ウリエンジェも言ってましたし……ここは慎重に行動しましょう。			しかし、今のエデンは、私に制御できる状態ではないようです。「妖精」の誘いに乗るなと、ウリエンジェも言ってましたし……ここは慎重に行動しましょう。			いにしえの記憶							
こんなとき、サンクレッドたちが、いてくれたら……。			こんなとき、サンクレッドたちが、いてくれたら……。			いにしえの記憶							
ちょっと……なに言ってるの？			ちょっと……なに言ってるの？			いにしえの記憶							
ごめん……弱音を吐いてちゃダメだよね！自分たちだけで、なんとかしないと。			ごめん……弱音を吐いてちゃダメだよね！自分たちだけで、なんとかしないと。			いにしえの記憶							
そうじゃなくて。ウリエンジェに、サンクレッドって……誰？			そうじゃなくて。ウリエンジェに、サンクレッドって……誰？			いにしえの記憶							
ウソでしょ……？私が記憶をなくしてるって言うの？意識はずっとハッキリしてるのに！？			ウソでしょ……？私が記憶をなくしてるって言うの？意識はずっとハッキリしてるのに！？			いにしえの記憶							
そういえば、さっきも、お祭りの話を覚えていないって……。ミトロンが覚醒した影響で、ガイアの意識にも変化が現れ始めているんでしょうか？			そういえば、さっきも、お祭りの話を覚えていないって……。ミトロンが覚醒した影響で、ガイアの意識にも変化が現れ始めているんでしょうか？			いにしえの記憶							
ますますのんびりしていられないわ。アイツに意識の主導権を奪われてしまう前に、早くなんとかしないと……！			ますますのんびりしていられないわ。アイツに意識の主導権を奪われてしまう前に、早くなんとかしないと……！			いにしえの記憶							
でも、考えたくはないけれど……私たちのことまで忘れてしまったら？戦いの目的すら、わからなくなってしまうかも。			でも、考えたくはないけれど……私たちのことまで忘れてしまったら？戦いの目的すら、わからなくなってしまうかも。			いにしえの記憶							
だったら……忘れてしまうよりも、もっと多く、みんなとの思い出を作っていくだけよ。			だったら……忘れてしまうよりも、もっと多く、みんなとの思い出を作っていくだけよ。			いにしえの記憶							
ねぇ、さっきのウリエンジェと……サンクレッド？ふたりのこと、私に聞かせてちょうだい。こんな状況だからこそ、前向きな、明るい話をしたいわ。			ねぇ、さっきのウリエンジェと……サンクレッド？ふたりのこと、私に聞かせてちょうだい。こんな状況だからこそ、前向きな、明るい話をしたいわ。			いにしえの記憶							
ウリエンジェは、とても物知りなんだけど……知識を知恵とするためには、本を読むだけでは足りない、必ず自分で確認しなさいって……そういう人だったな。			ウリエンジェは、とても物知りなんだけど……知識を知恵とするためには、本を読むだけでは足りない、必ず自分で確認しなさいって……そういう人だったな。			いにしえの記憶							
ああ……わかる気がするわ。自分が体験したことって、頭じゃなくて心に残るのよね。リーンと食べた、コーヒークッキーの味みたいに。			ああ……わかる気がするわ。自分が体験したことって、頭じゃなくて心に残るのよね。リーンと食べた、コーヒークッキーの味みたいに。			いにしえの記憶							
ねぇ、ウリエンジェについて、アナタからも聞かせてくれないかしら？			ねぇ、ウリエンジェについて、アナタからも聞かせてくれないかしら？			いにしえの記憶							
何と言う？			何と言う？			いにしえの記憶							
預言詩の研究者だった			預言詩の研究者だった			いにしえの記憶							
新しい術を編み出していた			新しい術を編み出していた			いにしえの記憶							
預言詩……それで世界の危機を知ったのね。けれど、人の行いで最悪の未来を変えられるんなら、預言はウソってことじゃない……バカらしいわ。			預言詩……それで世界の危機を知ったのね。けれど、人の行いで最悪の未来を変えられるんなら、預言はウソってことじゃない……バカらしいわ。			いにしえの記憶							
フフ、きっとウリエンジェは、その疑問にもちゃんと答えてくれると思う。ガイアなら、いい議論ができそうだね！			フフ、きっとウリエンジェは、その疑問にもちゃんと答えてくれると思う。ガイアなら、いい議論ができそうだね！			いにしえの記憶							
泳ぐかわりに、水の上を歩く術を！？フフッ、頭がいいんだか悪いんだか、わからないわね。……その術、教えてもらえば良かったわ。			泳ぐかわりに、水の上を歩く術を！？フフッ、頭がいいんだか悪いんだか、わからないわね。……その術、教えてもらえば良かったわ。			いにしえの記憶							
じゃあ今度、私が教えてあげる。……泳ぎ方を！			じゃあ今度、私が教えてあげる。……泳ぎ方を！			いにしえの記憶							
サンクレッドは、ユールモアに幽閉されていた私を、外の世界に連れ出してくれた……騎士みたいな人。リーンという名前も、彼がつけてくれたの！			サンクレッドは、ユールモアに幽閉されていた私を、外の世界に連れ出してくれた……騎士みたいな人。リーンという名前も、彼がつけてくれたの！			いにしえの記憶							
何と言う？			何と言う？			いにしえの記憶							
諜報のスペシャリストだった			諜報のスペシャリストだった			いにしえの記憶							
愛を語る流れの吟遊詩人だった			愛を語る流れの吟遊詩人だった			いにしえの記憶							
ふーん、それでユールモアに忍び込めたのね。囚われのお姫サマを救い出すなんて、物語みたいで、ロマンティックじゃない？			ふーん、それでユールモアに忍び込めたのね。囚われのお姫サマを救い出すなんて、物語みたいで、ロマンティックじゃない？			いにしえの記憶							
そんな、私はお姫様なんかじゃ……！サンクレッドからだって、ひとりで生きるための、剣術やサバイバル術の訓練ばかりで……。			そんな、私はお姫様なんかじゃ……！サンクレッドからだって、ひとりで生きるための、剣術やサバイバル術の訓練ばかりで……。			いにしえの記憶							
サンクレッドが……愛の詩を……！？その話は、私も初耳です。			サンクレッドが……愛の詩を……！？その話は、私も初耳です。			いにしえの記憶							
なるほど、だから言葉の選び方がいいのね。リーンって、とっても素敵な名前じゃない？			なるほど、だから言葉の選び方がいいのね。リーンって、とっても素敵な名前じゃない？			いにしえの記憶							
あそこにあるガンブレードは、彼が愛用していたものなの。			あそこにあるガンブレードは、彼が愛用していたものなの。			いにしえの記憶							
サンクレッドにはもう会えないけど、彼とともに歩んだ思い出は、こうして形を変えて、いつまでも残り続けてる。			サンクレッドにはもう会えないけど、彼とともに歩んだ思い出は、こうして形を変えて、いつまでも残り続けてる。			いにしえの記憶							
思い出は、形を変えて残る、か……。			思い出は、形を変えて残る、か……。			いにしえの記憶							
じゃあ今度から、日記でもつけて、体験したことを残すようにしてみようかしら？			じゃあ今度から、日記でもつけて、体験したことを残すようにしてみようかしら？			いにしえの記憶							
それ、いい！私も書くから、お互い交換しよう？			それ、いい！私も書くから、お互い交換しよう？			いにしえの記憶							
またここに、帰ってこなきゃね。……約束よ。			またここに、帰ってこなきゃね。……約束よ。			いにしえの記憶							
うん……約束！			うん……約束！			いにしえの記憶							
みんなと一緒なら、私は大丈夫。世界を再生させるため、ミトロンのもとに向かいましょう！			みんなと一緒なら、私は大丈夫。世界を再生させるため、ミトロンのもとに向かいましょう！			いにしえの記憶							
みんなと過ごした日々を思い返すと、不思議なくらい、些細なことばかり浮かんでくるんです。			みんなと過ごした日々を思い返すと、不思議なくらい、些細なことばかり浮かんでくるんです。			いにしえの記憶							
何気ない言葉や仕草、表情……。どれも覚えようと思って覚えていたわけじゃありません。なのに、それらが集まって、思い出を形作っている。			何気ない言葉や仕草、表情……。どれも覚えようと思って覚えていたわけじゃありません。なのに、それらが集まって、思い出を形作っている。			いにしえの記憶							
だから、何を覚えているかは重要じゃないと思うんです。過ぎ去った季節を、思い返そうとする……。その時間こそが、もっとも大事なものなのではないかと。			だから、何を覚えているかは重要じゃないと思うんです。過ぎ去った季節を、思い返そうとする……。その時間こそが、もっとも大事なものなのではないかと。			いにしえの記憶							
今の話で、忘れていたことは把握できたわ。……けれど、それは決して思い出したわけじゃない。自分が体験したことだっていう実感は、湧かないの。			今の話で、忘れていたことは把握できたわ。……けれど、それは決して思い出したわけじゃない。自分が体験したことだっていう実感は、湧かないの。			いにしえの記憶							
それと同じように、ミトロンから何を聞かされたって、それがホントかウソか、まったくわからないの。ただ、知識として新たに記憶されるだけ。			それと同じように、ミトロンから何を聞かされたって、それがホントかウソか、まったくわからないの。ただ、知識として新たに記憶されるだけ。			いにしえの記憶							
ミトロンだって、それくらいのことはわかってるでしょうに。いったい、これ以上なにを聞かせようって言うのかしら？			ミトロンだって、それくらいのことはわかってるでしょうに。いったい、これ以上なにを聞かせようって言うのかしら？			いにしえの記憶							
エデンコアへ移動しますか？			エデンコアへ移動しますか？			いにしえの記憶							
誘いに乗ってきてあげたわ。さぁ、話の続き、聞かせてもらおうじゃない。			誘いに乗ってきてあげたわ。さぁ、話の続き、聞かせてもらおうじゃない。			いにしえの記憶							
次は趣向を変え、その眼(まなこ)に見せるとしよう。貴様たちが行っていた、疑似神降ろしとやらに倣い、過去の出来事を再現する……。			次は趣向を変え、その眼(まなこ)に見せるとしよう。貴様たちが行っていた、疑似神降ろしとやらに倣い、過去の出来事を再現する……。			いにしえの記憶							
アシエンが、疑似神降ろしを……！？			アシエンが、疑似神降ろしを……！？			いにしえの記憶							
ここに再現するは、100年前の激戦。この第一世界の闇を支配した反英雄と、光の戦士アルバートとの戦いだ……！			ここに再現するは、100年前の激戦。この第一世界の闇を支配した反英雄と、光の戦士アルバートとの戦いだ……！			いにしえの記憶							
何と言う？			何と言う？			いにしえの記憶							
終末のアーモロートのような再現か			終末のアーモロートのような再現か			いにしえの記憶							
自分たちがアルバートの役割を？			自分たちがアルバートの役割を？			いにしえの記憶							
反英雄……シルヴァのことか？			反英雄……シルヴァのことか？			いにしえの記憶							
ほう、エメトセルクがそのようなことを？過去を知るには、体験するのが一番手っ取り早いからな。創造魔法の力をもってすれば、造作もないこと。			ほう、エメトセルクがそのようなことを？過去を知るには、体験するのが一番手っ取り早いからな。創造魔法の力をもってすれば、造作もないこと。			いにしえの記憶							
光の戦士アルバート……その光の強さを見誤ったことが、すべての終わりであり、始まりだった。果たして貴様たちに、彼が打ち負かした存在を倒せるかな？			光の戦士アルバート……その光の強さを見誤ったことが、すべての終わりであり、始まりだった。果たして貴様たちに、彼が打ち負かした存在を倒せるかな？			いにしえの記憶							
その名を知っているとは、驚いたぞ……！いかにも、シルヴァこそが影の王にして、混沌の使者。そして愛ゆえに敗北した、裏切りの英雄よ……！			その名を知っているとは、驚いたぞ……！いかにも、シルヴァこそが影の王にして、混沌の使者。そして愛ゆえに敗北した、裏切りの英雄よ……！			いにしえの記憶							
その戦いのことなら、私だって聞いたことくらいあるわ。今さらそんなもの見せられたって、なにかを思い出すとはとても思えないけど？			その戦いのことなら、私だって聞いたことくらいあるわ。今さらそんなもの見せられたって、なにかを思い出すとはとても思えないけど？			いにしえの記憶							
これまではそうだったかもしれない。だが、停滞していた時は、すでに動き出している。お前の魂はもう、100年前に還ろうとしているはずだ。			これまではそうだったかもしれない。だが、停滞していた時は、すでに動き出している。お前の魂はもう、100年前に還ろうとしているはずだ。			いにしえの記憶							
ガイア、言うことを聞いちゃダメ。気を抜いたら、また前みたいに操られちゃうよ？			ガイア、言うことを聞いちゃダメ。気を抜いたら、また前みたいに操られちゃうよ？			いにしえの記憶							
リーン……。			リーン……。			いにしえの記憶							
そうね、コイツがなにを言おうが関係ない。今の私はひとりじゃないんだから。			そうね、コイツがなにを言おうが関係ない。今の私はひとりじゃないんだから。			いにしえの記憶							
アンタの思い通りになんてならないわよ！			アンタの思い通りになんてならないわよ！			いにしえの記憶							
光を妄信する愚者が、ガイアを惑わしおって。そこにいるのは、私であるべきなのに……！ならば、その耳障りな声が届かぬよう、引き離すまで。			光を妄信する愚者が、ガイアを惑わしおって。そこにいるのは、私であるべきなのに……！ならば、その耳障りな声が届かぬよう、引き離すまで。			いにしえの記憶							
ガイアをどこにやったの！？			ガイアをどこにやったの！？			いにしえの記憶							
お前たちには、ガイアに記憶を取り戻させるための、演者になってもらう。彼女を取り戻したくば、反英雄と戦い、勝利するのだ。			お前たちには、ガイアに記憶を取り戻させるための、演者になってもらう。彼女を取り戻したくば、反英雄と戦い、勝利するのだ。			いにしえの記憶							
今はリーンと話そう……。			今はリーンと話そう……。			いにしえの記憶							
ああ、そんな……！ミトロンがなにかを仕掛けてくることはわかっていたのに。ガイアと離されてしまうなんて！			ああ、そんな……！ミトロンがなにかを仕掛けてくることはわかっていたのに。ガイアと離されてしまうなんて！			いにしえの記憶							
何と言う？			何と言う？			いにしえの記憶							
彼女をひとりにはしておけない			彼女をひとりにはしておけない			いにしえの記憶							
今はミトロンに従うしかない			今はミトロンに従うしかない			いにしえの記憶							
はい、きっと今ごろ、ガイアの方が苦しい状況のはずです。闇属性の励起を成功させたときのように、ふたりが一緒なら助け合ってうまくやれたけど……。			はい、きっと今ごろ、ガイアの方が苦しい状況のはずです。闇属性の励起を成功させたときのように、ふたりが一緒なら助け合ってうまくやれたけど……。			いにしえの記憶							
ふたりが離れ離れのときこそ、その分、互いを想う気持ちは強くなるはず！ミトロンの企みになんて屈しません！			ふたりが離れ離れのときこそ、その分、互いを想う気持ちは強くなるはず！ミトロンの企みになんて屈しません！			いにしえの記憶							
先ほどの励起のように、企みがあるのは間違いありません。従ったところで、ガイアを解放するとは、とても……。でも、迷っている暇はありません。			先ほどの励起のように、企みがあるのは間違いありません。従ったところで、ガイアを解放するとは、とても……。でも、迷っている暇はありません。			いにしえの記憶							
かつてアルバートが倒した相手の再現であるならば、その魂を継いだあなたにも倒せるはずです。いつもの疑似神降ろしのように、気持ちを強く持ちましょう！			かつてアルバートが倒した相手の再現であるならば、その魂を継いだあなたにも倒せるはずです。いつもの疑似神降ろしのように、気持ちを強く持ちましょう！			いにしえの記憶							
まだ、エーテルの流れは完全に途絶えてはいません。ここで私が制御すれば、Forenameさんだけは、戦いの場に送り込めそうです。			まだ、エーテルの流れは完全に途絶えてはいません。ここで私が制御すれば、Forenameさんだけは、戦いの場に送り込めそうです。			いにしえの記憶							
ミトロンの真意はわかりませんが、ガイアを救いたいという私たちの目的ははっきりしています。100年前の戦いの再現……必ず勝利してください！			ミトロンの真意はわかりませんが、ガイアを救いたいという私たちの目的ははっきりしています。100年前の戦いの再現……必ず勝利してください！			いにしえの記憶							
100年前の戦いの再現……。これまでの疑似神降ろしとは事情が異なります。十分に気をつけてください！			100年前の戦いの再現……。これまでの疑似神降ろしとは事情が異なります。十分に気をつけてください！			いにしえの記憶							
知ってる、今の戦い……どうして？うう、頭が……！			知ってる、今の戦い……どうして？うう、頭が……！			いにしえの記憶							
闘いに決着がついたら、こちらに入れるようになりました。そしたら、ガイアも転移させられてきていて……。無事のようですが、いったい何がどうなっているのか……。			闘いに決着がついたら、こちらに入れるようになりました。そしたら、ガイアも転移させられてきていて……。無事のようですが、いったい何がどうなっているのか……。			いにしえの記憶							
英雄と、影の王との戦い。私、前にも見たことが、ある……？			英雄と、影の王との戦い。私、前にも見たことが、ある……？			いにしえの記憶							
そう、お前は100年前にも目撃している。私たちふたりが力を合わせて創造した反英雄が、英雄によって敗れ去る瞬間を……。			そう、お前は100年前にも目撃している。私たちふたりが力を合わせて創造した反英雄が、英雄によって敗れ去る瞬間を……。			いにしえの記憶							
ふたりで、力を合わせて？そうか、私には、大切なトモダチが……。			ふたりで、力を合わせて？そうか、私には、大切なトモダチが……。			いにしえの記憶							
アシエンの言葉に耳を貸してはダメ！100年も前のことなんて、あなたには関係ないでしょう！？			アシエンの言葉に耳を貸してはダメ！100年も前のことなんて、あなたには関係ないでしょう！？			いにしえの記憶							
