モルド・スークのケリッグは、テイナーの様子が気にかかるようだ。			モルド・スークのケリッグは、テイナーの様子が気にかかるようだ。			やっと、また会えたね							
テイナーの過去を視た。テイナーは、過去に幼い頃のナイルベルトと知り合いだったようだ。しかし、テイナーだけが今も幼いままだ。ひとまず旅立ちの宿に戻り、「影のある少年」と話そう。			テイナーの過去を視た。テイナーは、過去に幼い頃のナイルベルトと知り合いだったようだ。しかし、テイナーだけが今も幼いままだ。ひとまず旅立ちの宿に戻り、「影のある少年」と話そう。			テイナーに秘められたもの							
少年は、テイナーの記憶が戻ったことを喜んでくれた。モルド・スークに戻り「ケリッグ」と話そう。			少年は、テイナーの記憶が戻ったことを喜んでくれた。モルド・スークに戻り「ケリッグ」と話そう。			テイナーに秘められたもの							
テイナーとナイルベルトの時間のズレについては不明のままだが、彼らは「虚ろ」を生み出すための訓練を受けていたようだ。ケリッグは、引き続きテイナーの世話をすることを決めた。テイナーの記憶が戻るのを待とう。※いずれかのソーサラー系DPSジョブのレベルが76以上になると、モルド・スークのケリッグから次のソーサラー系DPSロールクエストを受注することができます。			テイナーとナイルベルトの時間のズレについては不明のままだが、彼らは「虚ろ」を生み出すための訓練を受けていたようだ。ケリッグは、引き続きテイナーの世話をすることを決めた。テイナーの記憶が戻るのを待とう。※いずれかのソーサラー系DPSジョブのレベルが76以上になると、モルド・スークのケリッグから次のソーサラー系DPSロールクエストを受注することができます。			テイナーに秘められたもの							
テイナーと話す			テイナーと話す			テイナーに秘められたもの							
熟練の旅商と話す			熟練の旅商と話す			テイナーに秘められたもの							
旅立ちの宿で、宿の世話人と話す			旅立ちの宿で、宿の世話人と話す			テイナーに秘められたもの							
ケリッグと話す			ケリッグと話す			テイナーに秘められたもの							
テイナーを探す			テイナーを探す			テイナーに秘められたもの							
テイナーを救助			テイナーを救助			テイナーに秘められたもの							
影のある少年と話す			影のある少年と話す			テイナーに秘められたもの							
モルド・スークのケリッグと話す			モルド・スークのケリッグと話す			テイナーに秘められたもの							
待っていたぜ！　少年が目を覚ましたんだ。幸い、特に後遺症もないようなんだが、困ったことがあってな。			待っていたぜ！　少年が目を覚ましたんだ。幸い、特に後遺症もないようなんだが、困ったことがあってな。			テイナーに秘められたもの							
どうも……過去の記憶をほとんど失っているらしいんだ。自分が何故「虚ろ」の中にいたのかも含め、何もわからないと言っている。			どうも……過去の記憶をほとんど失っているらしいんだ。自分が何故「虚ろ」の中にいたのかも含め、何もわからないと言っている。			テイナーに秘められたもの							
唯一、覚えていたことと言えば、自分の名前くらいのもんでな。あの少年は……「テイナー」という名らしい。			唯一、覚えていたことと言えば、自分の名前くらいのもんでな。あの少年は……「テイナー」という名らしい。			テイナーに秘められたもの							
俺のマズいメシも文句なく食べる、いい奴だが……記憶のない状態で独りぼっちは心細かろう。さっさと保護者を見つけて引き渡してやらないとな。			俺のマズいメシも文句なく食べる、いい奴だが……記憶のない状態で独りぼっちは心細かろう。さっさと保護者を見つけて引き渡してやらないとな。			テイナーに秘められたもの							
今は、何か思い出せることはないかと、「モルド・スーク」内を見て回っている。さあ、お前も「テイナー」に会ってやってくれ。			今は、何か思い出せることはないかと、「モルド・スーク」内を見て回っている。さあ、お前も「テイナー」に会ってやってくれ。			テイナーに秘められたもの							
プロネーシス打倒という目的からは逸れちまうが……記憶喪失の子どもを放り出すわけにもいかん。さっさと保護者を見つけ出し、本来の仕事に戻ろう。			プロネーシス打倒という目的からは逸れちまうが……記憶喪失の子どもを放り出すわけにもいかん。さっさと保護者を見つけ出し、本来の仕事に戻ろう。			テイナーに秘められたもの							
この温かい感覚……真っ暗闇の中、同じエーテルを感じました。あなたが「虚ろ」の中のぼくに呼びかけてくれた人ですね？			この温かい感覚……真っ暗闇の中、同じエーテルを感じました。あなたが「虚ろ」の中のぼくに呼びかけてくれた人ですね？			テイナーに秘められたもの							
さすがだな、Forenameと会っただけで、そのことに気づくとは……。			さすがだな、Forenameと会っただけで、そのことに気づくとは……。			テイナーに秘められたもの							
治癒師に、異常はないか診てもらって判明したんだが……テイナーは、年齢に見合わぬ大量の魔力を有しているらしい。魔法の使い手として、才があるってことだな。			治癒師に、異常はないか診てもらって判明したんだが……テイナーは、年齢に見合わぬ大量の魔力を有しているらしい。魔法の使い手として、才があるってことだな。			テイナーに秘められたもの							
ただ……ごめんなさい。ぼく自身は、何も覚えていなくて……気がついたら、もう暗闇……「虚ろ」の中にいたんです。			ただ……ごめんなさい。ぼく自身は、何も覚えていなくて……気がついたら、もう暗闇……「虚ろ」の中にいたんです。			テイナーに秘められたもの							
いいさ、それほどの恐怖だったんだろう……。ところで「虚ろ」の中での出来事は覚えているのか？			いいさ、それほどの恐怖だったんだろう……。ところで「虚ろ」の中での出来事は覚えているのか？			テイナーに秘められたもの							
暗闇の中、ぼくの近くを、まるで誰かが通過するような、不思議な感覚がありました……。ぼくが目覚めたのも、その感覚のせいだと思います。			暗闇の中、ぼくの近くを、まるで誰かが通過するような、不思議な感覚がありました……。ぼくが目覚めたのも、その感覚のせいだと思います。			テイナーに秘められたもの							
ふむ、「虚ろ」の中は、この世界の外側……次元の狭間だという。そんなところを誰かが通過していったって……？最近、この世界に、よその世界の者がやってきたってか？			ふむ、「虚ろ」の中は、この世界の外側……次元の狭間だという。そんなところを誰かが通過していったって……？最近、この世界に、よその世界の者がやってきたってか？			テイナーに秘められたもの							
ケリッグに何と答える？			ケリッグに何と答える？			テイナーに秘められたもの							
そうかもしれない			そうかもしれない			テイナーに秘められたもの							
そんなわけない			そんなわけない			テイナーに秘められたもの							
ん？　なにか思い当たることがあるってか？まあ、口を濁すからには、確信のある話じゃないんだろうな。			ん？　なにか思い当たることがあるってか？まあ、口を濁すからには、確信のある話じゃないんだろうな。			テイナーに秘められたもの							
まあ、次元の狭間のことなんざ理解の範疇外だよな。「虚ろ」については、わかっていることの方が少ないんだ。			まあ、次元の狭間のことなんざ理解の範疇外だよな。「虚ろ」については、わかっていることの方が少ないんだ。			テイナーに秘められたもの							
さて、これ以上、わからない事を考えても仕方ない。今はできること……テイナーの保護者探しを優先しよう。記憶については、ゆっくり向き合うしかないさ。			さて、これ以上、わからない事を考えても仕方ない。今はできること……テイナーの保護者探しを優先しよう。記憶については、ゆっくり向き合うしかないさ。			テイナーに秘められたもの							
ふたりとも仕事があるのに、いいんですか？こうして保護してくれただけでも、ありがたいのに、ぼく、迷惑じゃ……。			ふたりとも仕事があるのに、いいんですか？こうして保護してくれただけでも、ありがたいのに、ぼく、迷惑じゃ……。			テイナーに秘められたもの							
お前は、何も悪くはないさ。それに、お前の素性のヒントが何もないわけじゃないしな。			お前は、何も悪くはないさ。それに、お前の素性のヒントが何もないわけじゃないしな。			テイナーに秘められたもの							
まず、一番最悪の可能性は、お前が身寄りのない天涯孤独の身だという場合だが……。俺は、この可能性は低いと考えている。			まず、一番最悪の可能性は、お前が身寄りのない天涯孤独の身だという場合だが……。俺は、この可能性は低いと考えている。			テイナーに秘められたもの							
根拠は、お前が有していた莫大な魔力さ。生まれ持った才だけでは、そうはなるまい。お前に魔術を教えた、師匠にあたる人物がいたはずなんだ。			根拠は、お前が有していた莫大な魔力さ。生まれ持った才だけでは、そうはなるまい。お前に魔術を教えた、師匠にあたる人物がいたはずなんだ。			テイナーに秘められたもの							
そいつが肉親かどうかはともかく、お前を保護し、教育していた奴がいたってことだな……。だから、そう沈み込むんじゃない。			そいつが肉親かどうかはともかく、お前を保護し、教育していた奴がいたってことだな……。だから、そう沈み込むんじゃない。			テイナーに秘められたもの							
はい……ぼく、家族に会いたいです……！			はい……ぼく、家族に会いたいです……！			テイナーに秘められたもの							
よし！　じゃあ、具体的な話に移るぞ。モルド・スークとクリスタリウムをざっと調べたが、テイナーと特徴が合致する行方不明者の届け出はなかった。			よし！　じゃあ、具体的な話に移るぞ。モルド・スークとクリスタリウムをざっと調べたが、テイナーと特徴が合致する行方不明者の届け出はなかった。			テイナーに秘められたもの							
となると、それ以外の場所について考えるべきだろう。モルド・スークに出入りする「熟練の旅商」にあたって、心当たりがないか聞いてみよう。			となると、それ以外の場所について考えるべきだろう。モルド・スークに出入りする「熟練の旅商」にあたって、心当たりがないか聞いてみよう。			テイナーに秘められたもの							
テイナーの奴、不安が漏れ出ちゃいるが、この歳で冷静さを保っているのは大したもんだ。			テイナーの奴、不安が漏れ出ちゃいるが、この歳で冷静さを保っているのは大したもんだ。			テイナーに秘められたもの							
ふたりとも……やさしいんですね。			ふたりとも……やさしいんですね。			テイナーに秘められたもの							
この坊っちゃんみたいな、行方不明者を捜している人物……。……ふむ、ひとり思い当たる奴がいるな。			この坊っちゃんみたいな、行方不明者を捜している人物……。……ふむ、ひとり思い当たる奴がいるな。			テイナーに秘められたもの							
ここに来る前、「旅立ちの宿」に寄ったんだがね。「罪喰いに襲われ、子どもとはぐれた」という、闘病中の魔道士の男と会ったんだ。			ここに来る前、「旅立ちの宿」に寄ったんだがね。「罪喰いに襲われ、子どもとはぐれた」という、闘病中の魔道士の男と会ったんだ。			テイナーに秘められたもの							
おお！　さっそく、ドンピシャな情報じゃないか！父親とはぐれた後に「プロネーシス」と遭遇したと考えれば、テイナーの状況と辻褄も合う。			おお！　さっそく、ドンピシャな情報じゃないか！父親とはぐれた後に「プロネーシス」と遭遇したと考えれば、テイナーの状況と辻褄も合う。			テイナーに秘められたもの							
じゃあ、その人が……ぼくのお父さん！？急いで、そこに向かいましょう！			じゃあ、その人が……ぼくのお父さん！？急いで、そこに向かいましょう！			テイナーに秘められたもの							
しかし、「旅立ちの宿」で闘病中か……。あそこにいる者たちは……いや、憶測で語るべきじゃない。まずは「宿の世話人」に話を聞いてみよう。			しかし、「旅立ちの宿」で闘病中か……。あそこにいる者たちは……いや、憶測で語るべきじゃない。まずは「宿の世話人」に話を聞いてみよう。			テイナーに秘められたもの							
「旅立ちの宿」で、息子とはぐれたという魔道士を見たぜ。闘病中だったが、症状までは知らんね。			「旅立ちの宿」で、息子とはぐれたという魔道士を見たぜ。闘病中だったが、症状までは知らんね。			テイナーに秘められたもの							
さて、テイナーを笑顔にしてやれるかどうか……。			さて、テイナーを笑顔にしてやれるかどうか……。			テイナーに秘められたもの							
ここに、ぼくの家族が？でも……ここって……。			ここに、ぼくの家族が？でも……ここって……。			テイナーに秘められたもの							
なあ、ちょいと尋ねたいんだが……子どもとはぐれた魔道士が、ここに収容されていると聞いた。そいつの子どもは、まだ見つかっていないのか？			なあ、ちょいと尋ねたいんだが……子どもとはぐれた魔道士が、ここに収容されていると聞いた。そいつの子どもは、まだ見つかっていないのか？			テイナーに秘められたもの							
いえ、その方の息子でしたら無事に保護され……ここに。			いえ、その方の息子でしたら無事に保護され……ここに。			テイナーに秘められたもの							
そ、そんな！　人違い……！？			そ、そんな！　人違い……！？			テイナーに秘められたもの							
……その子も、家族を探しているのですか？			……その子も、家族を探しているのですか？			テイナーに秘められたもの							
ああ、それで、旅立ちの宿に、保護者がいるかと期待したんだが……。			ああ、それで、旅立ちの宿に、保護者がいるかと期待したんだが……。			テイナーに秘められたもの							
あ、あの……ここには、ほかにも、多くの人がいるんですよね？その中にぼくの家族がいないか、探してもいいですか？			あ、あの……ここには、ほかにも、多くの人がいるんですよね？その中にぼくの家族がいないか、探してもいいですか？			テイナーに秘められたもの							
構いませんが、ここで闘病している人の中には、かなり……その、未来を憂いて苦しんでいる人もいます。なので、子どもがひとりで歩きまわるのは……。			構いませんが、ここで闘病している人の中には、かなり……その、未来を憂いて苦しんでいる人もいます。なので、子どもがひとりで歩きまわるのは……。			テイナーに秘められたもの							
そうだな。俺かForenameが同行すれば……。			そうだな。俺かForenameが同行すれば……。			テイナーに秘められたもの							
……なら、ボクが一緒に行くよ。ボクも、その方が気が紛れるから……。			……なら、ボクが一緒に行くよ。ボクも、その方が気が紛れるから……。			テイナーに秘められたもの							
……わかった、それがいいだろう。悪いが、頼めるかい？			……わかった、それがいいだろう。悪いが、頼めるかい？			テイナーに秘められたもの							
いま、気が紛れる、と言っていたが、あの子の父親だという魔道士は……？			いま、気が紛れる、と言っていたが、あの子の父親だという魔道士は……？			テイナーに秘められたもの							
先ほど、罪喰いと化しそうになり……旅立っていきました。			先ほど、罪喰いと化しそうになり……旅立っていきました。			テイナーに秘められたもの							
なんとか、あの子も最期を見送ることができました。ですが、あの年齢の子が、父が罪喰い化しようという姿を、目にすることが、はたして良かったのかどうか……。			なんとか、あの子も最期を見送ることができました。ですが、あの年齢の子が、父が罪喰い化しようという姿を、目にすることが、はたして良かったのかどうか……。			テイナーに秘められたもの							
幸い、彼はクリスタリウムに親族がいるそうですので、この後、私たちで送っていくつもりです。			幸い、彼はクリスタリウムに親族がいるそうですので、この後、私たちで送っていくつもりです。			テイナーに秘められたもの							
そうか……俺たちも、そろそろ、テイナーを預ける先を考えなきゃならなそうだな。			そうか……俺たちも、そろそろ、テイナーを預ける先を考えなきゃならなそうだな。			テイナーに秘められたもの							
……そんな顔をするな。保護者探しを中止しようってんじゃない。ただ、テイナーの面倒を見ながらは無理だと言っているんだ。			……そんな顔をするな。保護者探しを中止しようってんじゃない。ただ、テイナーの面倒を見ながらは無理だと言っているんだ。			テイナーに秘められたもの							
俺だって、保護者を見つけるまで面倒見るのが筋だと思うさ。しかし、本来の目的である「プロネーシス」討伐を、疎かにするわけにもいかないだろう……？			俺だって、保護者を見つけるまで面倒見るのが筋だと思うさ。しかし、本来の目的である「プロネーシス」討伐を、疎かにするわけにもいかないだろう……？			テイナーに秘められたもの							
テイナーは安全な場所に預ける。俺たちは本来の仕事を進めつつ、調査などで赴いた地で、保護者探しを続ける……それが一番いい形じゃないか？			テイナーは安全な場所に預ける。俺たちは本来の仕事を進めつつ、調査などで赴いた地で、保護者探しを続ける……それが一番いい形じゃないか？			テイナーに秘められたもの							
ケリッグに何と答える？			ケリッグに何と答える？			テイナーに秘められたもの							
もう少し、できることはないか			もう少し、できることはないか			テイナーに秘められたもの							
安全な場所のあてはあるのか？			安全な場所のあてはあるのか？			テイナーに秘められたもの							
気持ちはわかるが……それこそテイナーのような犠牲者を増やさないためにも、プロネーシスの打倒は重要なはずだろう？			気持ちはわかるが……それこそテイナーのような犠牲者を増やさないためにも、プロネーシスの打倒は重要なはずだろう？			テイナーに秘められたもの							
ああ……。彷徨う階段亭のマスターなら、情に厚いし顔も広い。里親捜しは、彼に協力してもらうつもりだ。			ああ……。彷徨う階段亭のマスターなら、情に厚いし顔も広い。里親捜しは、彼に協力してもらうつもりだ。			テイナーに秘められたもの							
不本意な結果になりそうだが……ひとまず結論は出たな。それじゃ、テイナーと合流しよう。……決めたのは俺だ、俺が話すさ。			不本意な結果になりそうだが……ひとまず結論は出たな。それじゃ、テイナーと合流しよう。……決めたのは俺だ、俺が話すさ。			テイナーに秘められたもの							
テイナーくんの力になれなくて、すみません。彼の家族が見つかるといいですね。			テイナーくんの力になれなくて、すみません。彼の家族が見つかるといいですね。			テイナーに秘められたもの							
ごめんな、さい……ボクのせいで……！			ごめんな、さい……ボクのせいで……！			テイナーに秘められたもの							
マズイことになった……。どうやら、彼とテイナーが喧嘩になったそうでな。テイナーの奴、外へ飛び出して行っちまったらしい。			マズイことになった……。どうやら、彼とテイナーが喧嘩になったそうでな。テイナーの奴、外へ飛び出して行っちまったらしい。			テイナーに秘められたもの							
テイナーが、自分が「虚ろ」から出てきたと喋っちまったらしい。それで彼は、直接テイナーが罪喰いの攻撃を受けたんだと、早合点したらしくてな……。			テイナーが、自分が「虚ろ」から出てきたと喋っちまったらしい。それで彼は、直接テイナーが罪喰いの攻撃を受けたんだと、早合点したらしくてな……。			テイナーに秘められたもの							
ボク、父さんが罪喰いに変化しようとしたみたいに、テイナーも、罪喰いになっちゃうのかもと思って……思わず、大丈夫なのか聞いちゃったんだ。			ボク、父さんが罪喰いに変化しようとしたみたいに、テイナーも、罪喰いになっちゃうのかもと思って……思わず、大丈夫なのか聞いちゃったんだ。			テイナーに秘められたもの							
そしたら、「どういうこと？」って聞き返されてさ。何も知らないくせに、必死な顔でしつこく……。それで……ついカッとなって……。			そしたら、「どういうこと？」って聞き返されてさ。何も知らないくせに、必死な顔でしつこく……。それで……ついカッとなって……。			テイナーに秘められたもの							
「お前も、罪喰いになるんじゃないか！？」って、そう、言っちゃったんだ……！			「お前も、罪喰いになるんじゃないか！？」って、そう、言っちゃったんだ……！			テイナーに秘められたもの							
テイナーは記憶を失っていて、不安でいっぱいなんだ。同じく余裕のない君に、それを伝えなかった俺の責任さ。つらい思いをさせてしまったな……。			テイナーは記憶を失っていて、不安でいっぱいなんだ。同じく余裕のない君に、それを伝えなかった俺の責任さ。つらい思いをさせてしまったな……。			テイナーに秘められたもの							
彼とテイナーのためにも、何としても探し出そう。俺は、宿の西側を探すから、お前は東側を頼む。			彼とテイナーのためにも、何としても探し出そう。俺は、宿の西側を探すから、お前は東側を頼む。			テイナーに秘められたもの							
ボク、テイナーに謝りたい。だから、どうか……お願いします……。			ボク、テイナーに謝りたい。だから、どうか……お願いします……。			テイナーに秘められたもの							
戦闘音を聞きつけて飛んできたが……ふたりとも、無事みたいだな。			戦闘音を聞きつけて飛んできたが……ふたりとも、無事みたいだな。			テイナーに秘められたもの							
すみません……。ぼくのせいで、危ない目にあわせちゃって。			すみません……。ぼくのせいで、危ない目にあわせちゃって。			テイナーに秘められたもの							
このまま記憶が戻らなかったらどうしようって不安で……そんな中、自分はもう「人」じゃないのかもって思ったら、どうしたらいいか、わからなくなっちゃったんです。			このまま記憶が戻らなかったらどうしようって不安で……そんな中、自分はもう「人」じゃないのかもって思ったら、どうしたらいいか、わからなくなっちゃったんです。			テイナーに秘められたもの							
……治癒師に診てもらったとき、聞いたんだ。お前は、直接、罪喰いに攻撃されたわけじゃない。罪喰いにはならないよ。			……治癒師に診てもらったとき、聞いたんだ。お前は、直接、罪喰いに攻撃されたわけじゃない。罪喰いにはならないよ。			テイナーに秘められたもの							
そうだったんですね……良かった。じゃあ、あの子に謝らないと……事情も知らず、罪喰い化のことをしつこく聞いてごめんって。			そうだったんですね……良かった。じゃあ、あの子に謝らないと……事情も知らず、罪喰い化のことをしつこく聞いてごめんって。			テイナーに秘められたもの							
……そうだな。でも、不安だった気持ちは本当なんだろ？あんまり、自分の本心を押し殺す必要はないと思うぜ。			……そうだな。でも、不安だった気持ちは本当なんだろ？あんまり、自分の本心を押し殺す必要はないと思うぜ。			テイナーに秘められたもの							
……ぼくは、この世界のことを、なにも知りません。ぼくのことを知っている人も見つからなかった……。このまま、ずっと、独りぼっちなんでしょうか。			……ぼくは、この世界のことを、なにも知りません。ぼくのことを知っている人も見つからなかった……。このまま、ずっと、独りぼっちなんでしょうか。			テイナーに秘められたもの							
悔しい、せめて、記憶が戻れば……！そうすれば、ぼくのことを知っている人のことも思い出せる。独りかもしれないって、不安で、寂しくて……もう嫌だ！			悔しい、せめて、記憶が戻れば……！そうすれば、ぼくのことを知っている人のことも思い出せる。独りかもしれないって、不安で、寂しくて……もう嫌だ！			テイナーに秘められたもの							
次はお前だ、テイナー。……ほら、一度の失敗くらいで、弱気になるんじゃない。			次はお前だ、テイナー。……ほら、一度の失敗くらいで、弱気になるんじゃない。			テイナーに秘められたもの							
(-利発そうな少年-)大丈夫だよ、僕も君も、持ってる魔力の量はほとんど同じなんだ。集中すれば、簡単さ。			(-利発そうな少年-)大丈夫だよ、僕も君も、持ってる魔力の量はほとんど同じなんだ。集中すれば、簡単さ。			テイナーに秘められたもの							
わかった……ナイルベルト。やってみるよ。			わかった……ナイルベルト。やってみるよ。			テイナーに秘められたもの							
おい、急にどうしたんだ……？			おい、急にどうしたんだ……？			テイナーに秘められたもの							
そうだ……ぼく、前にもこうして荒野で悔しくて立ち尽くしてた。でも、あのとき隣にいたのは、ナイルベルトで……。			そうだ……ぼく、前にもこうして荒野で悔しくて立ち尽くしてた。でも、あのとき隣にいたのは、ナイルベルトで……。			テイナーに秘められたもの							
……あれ、ナイルベルトって……？			……あれ、ナイルベルトって……？			テイナーに秘められたもの							
……何が起きたのか知らんが、ここは相談の場所には不向きだ。ひとまず、旅立ちの宿に戻ろうや。			……何が起きたのか知らんが、ここは相談の場所には不向きだ。ひとまず、旅立ちの宿に戻ろうや。			テイナーに秘められたもの							
そうだ、彼にも謝らないと……。			そうだ、彼にも謝らないと……。			テイナーに秘められたもの							
難しいことを相談する前に、子どもたち同士、話をつけさせてやろう。			難しいことを相談する前に、子どもたち同士、話をつけさせてやろう。			テイナーに秘められたもの							
テイナー、無事でよかった……。さっきはヒドイこと言って、ごめん……！			テイナー、無事でよかった……。さっきはヒドイこと言って、ごめん……！			テイナーに秘められたもの							
ぼくこそ、ごめん……。それと……外に飛び出して、少しだけ記憶が戻ったよ。			ぼくこそ、ごめん……。それと……外に飛び出して、少しだけ記憶が戻ったよ。			テイナーに秘められたもの							
本当に！？やったじゃん！　不安な気持ち……これで減ったね。			本当に！？やったじゃん！　不安な気持ち……これで減ったね。			テイナーに秘められたもの							
ボク、これからはクリスタリウムで暮らすんだ。記憶が戻って落ち着いたら、遊びにおいでよ。			ボク、これからはクリスタリウムで暮らすんだ。記憶が戻って落ち着いたら、遊びにおいでよ。			テイナーに秘められたもの							
うん、約束するよ……。きっと会いに行くから。			うん、約束するよ……。きっと会いに行くから。			テイナーに秘められたもの							
ひとつ約束も増えたところで「モルド・スーク」へ戻るぞ。整理することが、大量にあるからな。			ひとつ約束も増えたところで「モルド・スーク」へ戻るぞ。整理することが、大量にあるからな。			テイナーに秘められたもの							
記憶の中の……彼とも、さっきみたいな約束をしたりしたのかな。			記憶の中の……彼とも、さっきみたいな約束をしたりしたのかな。			テイナーに秘められたもの							
さて……。お前が目眩を起こした直後、テイナーの記憶が甦った。あのとき何が起きていたのか、しっかり話してもらおうか。			さて……。お前が目眩を起こした直後、テイナーの記憶が甦った。あのとき何が起きていたのか、しっかり話してもらおうか。			テイナーに秘められたもの							
過去を視る力、ねえ……。			過去を視る力、ねえ……。			テイナーに秘められたもの							
実際、Forenameの視た過去は、テイナーの思い出した内容と一致しているんだな？			実際、Forenameの視た過去は、テイナーの思い出した内容と一致しているんだな？			テイナーに秘められたもの							
……これは、とんでもないことだぜ。過去視の中でテイナーと一緒にいた「ナイルベルト」。			……これは、とんでもないことだぜ。過去視の中でテイナーと一緒にいた「ナイルベルト」。			テイナーに秘められたもの							
それは、かつての「光の戦士」であり、今は、はぐれ罪喰い「プロネーシス」と化している男の名だ！そいつの少年時代となると、100年以上昔ってことだぞ……！			それは、かつての「光の戦士」であり、今は、はぐれ罪喰い「プロネーシス」と化している男の名だ！そいつの少年時代となると、100年以上昔ってことだぞ……！			テイナーに秘められたもの							
同姓同名の別人だと思いたいが……そんな大罪人の名を、子どもにつける親なんざいやしない。……同一人物だと考えるしかないだろうな。			同姓同名の別人だと思いたいが……そんな大罪人の名を、子どもにつける親なんざいやしない。……同一人物だと考えるしかないだろうな。			テイナーに秘められたもの							
ここへ戻るまでに、もう少し思い出したことがあります。ぼくとナイルベルトが一緒にいた魔道士について……。			ここへ戻るまでに、もう少し思い出したことがあります。ぼくとナイルベルトが一緒にいた魔道士について……。			テイナーに秘められたもの							
魔道士は、ひとりではなく集団で……次元に穴を開ける術、つまり「虚ろ」を生み出す方法を研究していました。そして、その術者に選ばれたのが、ぼくらふたり……。			魔道士は、ひとりではなく集団で……次元に穴を開ける術、つまり「虚ろ」を生み出す方法を研究していました。そして、その術者に選ばれたのが、ぼくらふたり……。			テイナーに秘められたもの							
マジかよ……。つまり、プロネーシスが「虚ろ」を生み出せるのは、生前に修得していた術に起因していたってことか。			マジかよ……。つまり、プロネーシスが「虚ろ」を生み出せるのは、生前に修得していた術に起因していたってことか。			テイナーに秘められたもの							
そして、テイナーが「虚ろ」の中で生存できたのは、ナイルベルトと同様に、それを操る術を学んでいたから……と。……だが、なぜテイナーだけが子どものままなんだ？			そして、テイナーが「虚ろ」の中で生存できたのは、ナイルベルトと同様に、それを操る術を学んでいたから……と。……だが、なぜテイナーだけが子どものままなんだ？			テイナーに秘められたもの							
……わかりません。ですが、もっと記憶が戻れば、ふたりが求めていた、「虚ろ」を封じる方法がわかるかも……。			……わかりません。ですが、もっと記憶が戻れば、ふたりが求めていた、「虚ろ」を封じる方法がわかるかも……。			テイナーに秘められたもの							
たしかに、その可能性はあるだろうが、無理はするなよ。ゆっくり思い出せばいい……その間は俺が面倒見てやる。			たしかに、その可能性はあるだろうが、無理はするなよ。ゆっくり思い出せばいい……その間は俺が面倒見てやる。			テイナーに秘められたもの							
……ただの被害者だと思っていたテイナーが、過去にプロネーシス……いや、この場合はナイルベルトか？とにかく、奴と繋がっていたとわかったんだ。			……ただの被害者だと思っていたテイナーが、過去にプロネーシス……いや、この場合はナイルベルトか？とにかく、奴と繋がっていたとわかったんだ。			テイナーに秘められたもの							
俺たちの目的がプロネーシスの打倒である以上、関係者であるテイナーを放置しては、進められんだろう。世話は、俺たちですべきだと考え直したのさ。			俺たちの目的がプロネーシスの打倒である以上、関係者であるテイナーを放置しては、進められんだろう。世話は、俺たちですべきだと考え直したのさ。			テイナーに秘められたもの							
しかも……俺たちのため、懸命に、記憶を取り戻そうとまでしてくれているんだからよ。			しかも……俺たちのため、懸命に、記憶を取り戻そうとまでしてくれているんだからよ。			テイナーに秘められたもの							
とはいえ、あせっても仕方ない。今しばらくは、テイナーの記憶が戻るのを待ちつつ、各々、決戦に備えて修行でもしておこう……。			とはいえ、あせっても仕方ない。今しばらくは、テイナーの記憶が戻るのを待ちつつ、各々、決戦に備えて修行でもしておこう……。			テイナーに秘められたもの							
……って、勝手に話を進めちまったな。もちろん、テイナーがよければだが……。			……って、勝手に話を進めちまったな。もちろん、テイナーがよければだが……。			テイナーに秘められたもの							
えっと……あの、ごめんなさい。ぼくなんかを……。			えっと……あの、ごめんなさい。ぼくなんかを……。			テイナーに秘められたもの							
おっと……！　俺の世話を受け入れてくれるのなら、その「ごめんなさい」とか「ぼくなんか」はやめてくれ。			おっと……！　俺の世話を受け入れてくれるのなら、その「ごめんなさい」とか「ぼくなんか」はやめてくれ。			テイナーに秘められたもの							
この短い間でも、お前が年齢の割に聞き分けがよくて……内に溜め込む性格だってのは、よくわかった。			この短い間でも、お前が年齢の割に聞き分けがよくて……内に溜め込む性格だってのは、よくわかった。			テイナーに秘められたもの							
だが、俺たちだって、自分の目的のためにお前を保護するんだ。だから、ここはひとつ同盟関係だとでも思ってくれ。互いを助け合う、仲間ってわけだな。			だが、俺たちだって、自分の目的のためにお前を保護するんだ。だから、ここはひとつ同盟関係だとでも思ってくれ。互いを助け合う、仲間ってわけだな。			テイナーに秘められたもの							
えっと……じゃあ……。			えっと……じゃあ……。			テイナーに秘められたもの							
ありがとう、ございます。それと……これから、よろしくおねがいします。			ありがとう、ございます。それと……これから、よろしくおねがいします。			テイナーに秘められたもの							
上出来だ。こちらこそ、よろしく頼む。			上出来だ。こちらこそ、よろしく頼む。			テイナーに秘められたもの							
