玄水連山の無惨な死体は、手に手帳を握りしめているようだ。			玄水連山の無惨な死体は、手に手帳を握りしめているようだ。			愛しき人へ							
斯様な壮絶な稽古は、初めて目にしました……！お話したいことはありますが、まずは「烈士庵」に戻るとしましょう。			斯様な壮絶な稽古は、初めて目にしました……！お話したいことはありますが、まずは「烈士庵」に戻るとしましょう。			覚悟を決めた日							
上には上がいるということでござるな……。見事な腕でござった！			上には上がいるということでござるな……。見事な腕でござった！			覚悟を決めた日							
正直なところ、震えが止まりません……。もちろん恐ろしさではなく、武者震いです。			正直なところ、震えが止まりません……。もちろん恐ろしさではなく、武者震いです。			覚悟を決めた日							
ドマ再興のため、友とふたり、烈士のひとりとして立ち上がろうと覚悟を決めた日を、思い出したのです！			ドマ再興のため、友とふたり、烈士のひとりとして立ち上がろうと覚悟を決めた日を、思い出したのです！			覚悟を決めた日							
そう……ドマのため、我々は強くなると誓いあったでござる。そのためには心体共に、更に鍛錬を積まねばならないと、貴殿との稽古を通じ、身に沁みたでござる！			そう……ドマのため、我々は強くなると誓いあったでござる。そのためには心体共に、更に鍛錬を積まねばならないと、貴殿との稽古を通じ、身に沁みたでござる！			覚悟を決めた日							
私も、稽古相手を探している場合ではなかったと、反省しています。相手にならないのであれば、相手をできるよう、自らの腕をあげる努力をしなければいけなかった、と……。			私も、稽古相手を探している場合ではなかったと、反省しています。相手にならないのであれば、相手をできるよう、自らの腕をあげる努力をしなければいけなかった、と……。			覚悟を決めた日							
さあ、稽古に行くとしよう。今日は、とことんつきあってもらおうじゃないか！			さあ、稽古に行くとしよう。今日は、とことんつきあってもらおうじゃないか！			覚悟を決めた日							
稽古に敗れたばかりの私を、引っ張り出すとはな……。だが、我が友は確実に、一歩成長できたはずでござる。心の稽古もつけてくれて、かたじけのうござった！			稽古に敗れたばかりの私を、引っ張り出すとはな……。だが、我が友は確実に、一歩成長できたはずでござる。心の稽古もつけてくれて、かたじけのうござった！			覚悟を決めた日							
烈士庵のハナメは、冒険者に頼みたいことがあるようだ。			烈士庵のハナメは、冒険者に頼みたいことがあるようだ。			刃を持たぬ烈士のために							
サキジロ・ベニツノを討伐し、まれに得られる黄金色の胃石を入手			サキジロ・ベニツノを討伐し、まれに得られる黄金色の胃石を入手			刃を持たぬ烈士のために							
ハナメに黄金色の胃石を渡す			ハナメに黄金色の胃石を渡す			刃を持たぬ烈士のために							
Forename殿ではありませんか。これは、よいところにいらっしゃいました。申し訳ありませんが、ひとつ、頼みを聞いてはいただけませんか？			Forename殿ではありませんか。これは、よいところにいらっしゃいました。申し訳ありませんが、ひとつ、頼みを聞いてはいただけませんか？			刃を持たぬ烈士のために							
ここ烈士庵には、直接戦いに関わりはなくとも、多くの支援をしてくださっている方が、いらっしゃいます。			ここ烈士庵には、直接戦いに関わりはなくとも、多くの支援をしてくださっている方が、いらっしゃいます。			刃を持たぬ烈士のために							
その恩に報いる……というには不足ではありますが、せめて、感謝の気持ちだけでも伝えたいのです。			その恩に報いる……というには不足ではありますが、せめて、感謝の気持ちだけでも伝えたいのです。			刃を持たぬ烈士のために							
そこで、西の門前侍町にいる「サキジロ・ベニツノ」から、「黄金色の胃石」を取ってきていただけないでしょうか？			そこで、西の門前侍町にいる「サキジロ・ベニツノ」から、「黄金色の胃石」を取ってきていただけないでしょうか？			刃を持たぬ烈士のために							
本来なら、私が取りにいきたいところなのですが、この情勢では、いつ上から命令が下るかわかりません。そのため、持ち場を離れるわけにもいかず……。			本来なら、私が取りにいきたいところなのですが、この情勢では、いつ上から命令が下るかわかりません。そのため、持ち場を離れるわけにもいかず……。			刃を持たぬ烈士のために							
通常の胃石には価値がないのですが、黄金色の胃石は、縁起のよい物として重宝されているのです。どうか、よろしくお願いいたします。			通常の胃石には価値がないのですが、黄金色の胃石は、縁起のよい物として重宝されているのです。どうか、よろしくお願いいたします。			刃を持たぬ烈士のために							
Forename殿、「黄金色の胃石」は手に入ったでしょうか？			Forename殿、「黄金色の胃石」は手に入ったでしょうか？			刃を持たぬ烈士のために							
おぉ……なんと美しい、黄金の輝きでしょう。ご協力、感謝いたします！			おぉ……なんと美しい、黄金の輝きでしょう。ご協力、感謝いたします！			刃を持たぬ烈士のために							
身元は伏せさせていただきますが、この胃石を贈りたい相手とは、長年、同志たちに資金を提供してくださる、あるご老人なのです。			身元は伏せさせていただきますが、この胃石を贈りたい相手とは、長年、同志たちに資金を提供してくださる、あるご老人なのです。			刃を持たぬ烈士のために							
心身共に壮健な方ではございますが、ご高齢であるのも事実。そこで願掛けとして、縁起がよいと言われている、この胃石をお送りしたかったのです。			心身共に壮健な方ではございますが、ご高齢であるのも事実。そこで願掛けとして、縁起がよいと言われている、この胃石をお送りしたかったのです。			刃を持たぬ烈士のために							
Forename殿に力を貸していただけたこと、改めて感謝いたしますね。			Forename殿に力を貸していただけたこと、改めて感謝いたしますね。			刃を持たぬ烈士のために							
烈士庵の線の細い女烈士は、協力者を探しているようだ。			烈士庵の線の細い女烈士は、協力者を探しているようだ。			紋を探して							
線の細い女烈士と話す			線の細い女烈士と話す			紋を探して							
指定地点で見渡し、銀杏紋の屋敷を探す			指定地点で見渡し、銀杏紋の屋敷を探す			紋を探して							
線の細い女烈士に報告			線の細い女烈士に報告			紋を探して							
線の細い女烈士と話す			線の細い女烈士と話す			紋を探して							
線の細い女烈士と再度話す			線の細い女烈士と再度話す			紋を探して							
そなた、我々に協力してくれていると噂の冒険者殿か？すまぬが、頼みを聞いてはもらえぬか。			そなた、我々に協力してくれていると噂の冒険者殿か？すまぬが、頼みを聞いてはもらえぬか。			紋を探して							
帝国の占領時、我々が長年培ってきた多くの文化が、奴らの手によって、消されてしまった……。そうした文化のひとつを蘇らせるため、ある書物を探しているのだ。			帝国の占領時、我々が長年培ってきた多くの文化が、奴らの手によって、消されてしまった……。そうした文化のひとつを蘇らせるため、ある書物を探しているのだ。			紋を探して							
だが、武器や兵糧の調達ではない故、仲間の理解をなかなか得られず、困っていてな……。そこで、よければ手伝ってもらいたいのだ。			だが、武器や兵糧の調達ではない故、仲間の理解をなかなか得られず、困っていてな……。そこで、よければ手伝ってもらいたいのだ。			紋を探して							
力を貸してもらえるのであれば、「門前侍町」まで来てもらえたらと思う。			力を貸してもらえるのであれば、「門前侍町」まで来てもらえたらと思う。			紋を探して							
よくぞ来てくれた、冒険者殿。まずは、「銀杏紋」を掲げた屋敷を探したい。記録によれば、そこに探している書物があるはずなのだ。			よくぞ来てくれた、冒険者殿。まずは、「銀杏紋」を掲げた屋敷を探したい。記録によれば、そこに探している書物があるはずなのだ。			紋を探して							
一軒ずつ、しらみつぶしに巡ってみようと思う。冒険者殿も、探索してみてもらえるか？			一軒ずつ、しらみつぶしに巡ってみようと思う。冒険者殿も、探索してみてもらえるか？			紋を探して							
銀杏の紋が、門扉に掲げられている。			銀杏の紋が、門扉に掲げられている。			紋を探して							
付近に、銀杏の紋を掲げた屋敷はないようだ……。			付近に、銀杏の紋を掲げた屋敷はないようだ……。			紋を探して							
なんと、見つけたと申すか！？さっそく参るとしよう！			なんと、見つけたと申すか！？さっそく参るとしよう！			紋を探して							
冒険者殿が来るまでの間に屋敷を捜索したところ、探していた書物を見つけたぞ！			冒険者殿が来るまでの間に屋敷を捜索したところ、探していた書物を見つけたぞ！			紋を探して							
逸る気持ちを抑えるのは大変だが、一度、烈士庵まで戻ることにしよう。そなたに、きちんと礼をせねばならぬしな。			逸る気持ちを抑えるのは大変だが、一度、烈士庵まで戻ることにしよう。そなたに、きちんと礼をせねばならぬしな。			紋を探して							
あぁ、なんと礼を言えばよいのか……！この書物には、計り知れない価値があるのだ。			あぁ、なんと礼を言えばよいのか……！この書物には、計り知れない価値があるのだ。			紋を探して							
そなたは知らぬだろうが、著者は、ロクヤリ家の先々代の当主。当主の座を息子に譲った後、本草学の研究に明け暮れた人物でな。			そなたは知らぬだろうが、著者は、ロクヤリ家の先々代の当主。当主の座を息子に譲った後、本草学の研究に明け暮れた人物でな。			紋を探して							
古くから伝わる伝統的な薬草から、彼自身が発見した新種まで、これには、さまざまな植物の葉や実、種の効能が記されておる。解読すれば、ドマの再興に役立つ知識が得られるに違いない。			古くから伝わる伝統的な薬草から、彼自身が発見した新種まで、これには、さまざまな植物の葉や実、種の効能が記されておる。解読すれば、ドマの再興に役立つ知識が得られるに違いない。			紋を探して							
冒険者殿、そなたには、感謝してもしきれぬ。ありがとう……本当に、ありがとう。			冒険者殿、そなたには、感謝してもしきれぬ。ありがとう……本当に、ありがとう。			紋を探して							
烈士庵の勇猛なる烈士は、冒険者に頼みたいことがあるようだ。			烈士庵の勇猛なる烈士は、冒険者に頼みたいことがあるようだ。			旅立ちの酒							
勇猛なる烈士と話す			勇猛なる烈士と話す			旅立ちの酒							
指定地点に玄水の酒を使う			指定地点に玄水の酒を使う			旅立ちの酒							
勇猛なる烈士と話す			勇猛なる烈士と話す			旅立ちの酒							
指定地点に玄水の酒を使う			指定地点に玄水の酒を使う			旅立ちの酒							
勇猛なる烈士と話す			勇猛なる烈士と話す			旅立ちの酒							
指定地点に玄水の酒を使う			指定地点に玄水の酒を使う			旅立ちの酒							
勇猛なる烈士と話す			勇猛なる烈士と話す			旅立ちの酒							
お主、我らに協力しているという、西方の英雄だな？鋭い眼光を放っておるゆえ、傍目にもわかったぞ。ちょうどよい、ひとつ頼まれてはもらえぬか。			お主、我らに協力しているという、西方の英雄だな？鋭い眼光を放っておるゆえ、傍目にもわかったぞ。ちょうどよい、ひとつ頼まれてはもらえぬか。			旅立ちの酒							
なに、荒事とは無縁の簡単なことよ。少しばかり外に出て、散歩がてら玄水の酒を、撒いてくれればよいだけのこと。			なに、荒事とは無縁の簡単なことよ。少しばかり外に出て、散歩がてら玄水の酒を、撒いてくれればよいだけのこと。			旅立ちの酒							
何の意味があるのか、疑問に思うかもしれないが、異国の奇妙な風習とでも思ってくれればよいさ。			何の意味があるのか、疑問に思うかもしれないが、異国の奇妙な風習とでも思ってくれればよいさ。			旅立ちの酒							
この「玄水の酒」をもって、「城下船場」まで来てもらえるか？詳しいことは、現地にて話すとしよう。			この「玄水の酒」をもって、「城下船場」まで来てもらえるか？詳しいことは、現地にて話すとしよう。			旅立ちの酒							
待っていたぞ。渡した「玄水の酒」を、そこに撒いてやってくれるか？			待っていたぞ。渡した「玄水の酒」を、そこに撒いてやってくれるか？			旅立ちの酒							
渡した「玄水の酒」を、そこに撒いてやってくれるか？			渡した「玄水の酒」を、そこに撒いてやってくれるか？			旅立ちの酒							
この無二江は、ヤンサにとって、かつては重要な運河であった。往時には、多くの船乗りや荷運び人が、さまざまな荷を担いで、行き交っていたものよ。			この無二江は、ヤンサにとって、かつては重要な運河であった。往時には、多くの船乗りや荷運び人が、さまざまな荷を担いで、行き交っていたものよ。			旅立ちの酒							
さて、次は「門前侍町」へ向かうとしよう。ついて参られよ。			さて、次は「門前侍町」へ向かうとしよう。ついて参られよ。			旅立ちの酒							
かつて、この門前侍町には、武家屋敷が軒を連ねていた。ドマの先代国主、カイエン様に仕える侍たちが、暮らしていたのさ。			かつて、この門前侍町には、武家屋敷が軒を連ねていた。ドマの先代国主、カイエン様に仕える侍たちが、暮らしていたのさ。			旅立ちの酒							
特にここに建っていた、剣術指南役の屋敷には、腕を磨くため、多くの若者が集ったものだ。さあ、「玄水の酒」を、ここに撒いてくれ。			特にここに建っていた、剣術指南役の屋敷には、腕を磨くため、多くの若者が集ったものだ。さあ、「玄水の酒」を、ここに撒いてくれ。			旅立ちの酒							
さあ、「玄水の酒」を、ここに撒いてくれ。			さあ、「玄水の酒」を、ここに撒いてくれ。			旅立ちの酒							
次は、町の西側に参ろうか。			次は、町の西側に参ろうか。			旅立ちの酒							
ここは、かつて大老だった者の屋敷の跡地だ。武芸にも秀でていたが、句の名人としても知られ、句会では、カイエン様をもうならせるほどの俳人であった。			ここは、かつて大老だった者の屋敷の跡地だ。武芸にも秀でていたが、句の名人としても知られ、句会では、カイエン様をもうならせるほどの俳人であった。			旅立ちの酒							
それでは、「玄水の酒」を、ここに撒いてくれるか？			それでは、「玄水の酒」を、ここに撒いてくれるか？			旅立ちの酒							
「玄水の酒」を、ここに撒いてくれるか？			「玄水の酒」を、ここに撒いてくれるか？			旅立ちの酒							
これで、ひととおり巡り終わったな。それでは、烈士庵へ戻るとしよう。			これで、ひととおり巡り終わったな。それでは、烈士庵へ戻るとしよう。			旅立ちの酒							
付き合ってくれて、ありがとう。共に巡り、酒を撒いてもらった場所は、何処も、我が同志が帝国との戦いで散った場所なのだ。			付き合ってくれて、ありがとう。共に巡り、酒を撒いてもらった場所は、何処も、我が同志が帝国との戦いで散った場所なのだ。			旅立ちの酒							
代理総督ヨツユが、見せしめに門前侍町を破壊しようとしたとき、勇敢にも抵抗し、命を落とした仲間たちのな……。			代理総督ヨツユが、見せしめに門前侍町を破壊しようとしたとき、勇敢にも抵抗し、命を落とした仲間たちのな……。			旅立ちの酒							
西方の英雄に酒を酌んでもらえて、仲間たちも喜んでいるに違いないだろう。			西方の英雄に酒を酌んでもらえて、仲間たちも喜んでいるに違いないだろう。			旅立ちの酒							
お主のような、心強い仲間ができたことを、同志たちに知ってもらいたく、かようなことを頼んだ次第。最後まで付き合っていただき、心から感謝する。			お主のような、心強い仲間ができたことを、同志たちに知ってもらいたく、かようなことを頼んだ次第。最後まで付き合っていただき、心から感謝する。			旅立ちの酒							
烈士庵の眼光鋭い女侍は、空を飛べる武人を探しているようだ。			烈士庵の眼光鋭い女侍は、空を飛べる武人を探しているようだ。			ヤンサ捜査線							
眼光鋭い女侍と話す			眼光鋭い女侍と話す			ヤンサ捜査線							
指定地点へ向かい、望遠鏡で疑惑のある烈士を確認			指定地点へ向かい、望遠鏡で疑惑のある烈士を確認			ヤンサ捜査線							
指定地点へ向かい、望遠鏡で疑惑のある烈士を再度確認			指定地点へ向かい、望遠鏡で疑惑のある烈士を再度確認			ヤンサ捜査線							
指定地点へ向かい、望遠鏡で疑惑のある烈士をさらに確認			指定地点へ向かい、望遠鏡で疑惑のある烈士をさらに確認			ヤンサ捜査線							
眼光鋭い女侍に報告			眼光鋭い女侍に報告			ヤンサ捜査線							
……貴殿の仲間に聞いたのだが、空を飛べるというのは本当か？			……貴殿の仲間に聞いたのだが、空を飛べるというのは本当か？			ヤンサ捜査線							
それなら、協力してほしい仕事があるのだが、引き受けてはくれぬだろうか？ドマ出身者よりも、異国の出である貴殿の方が適任なことでな……。			それなら、協力してほしい仕事があるのだが、引き受けてはくれぬだろうか？ドマ出身者よりも、異国の出である貴殿の方が適任なことでな……。			ヤンサ捜査線							
ここではあれなので、場所を移すとしよう。烈士庵の外で、待っているぞ。			ここではあれなので、場所を移すとしよう。烈士庵の外で、待っているぞ。			ヤンサ捜査線							
わざわざ場所を変えてすまない。実は、私は極秘裏に裏切り者の捜査をしていてな……すでに、その者の見当もついている。			わざわざ場所を変えてすまない。実は、私は極秘裏に裏切り者の捜査をしていてな……すでに、その者の見当もついている。			ヤンサ捜査線							
だが、ヤツは現役こそ退いたものの、かつてドマの上忍だった者。尾行に慣れていない自分が後をつけようものなら、気づかれてしまうやもしれぬ……。			だが、ヤツは現役こそ退いたものの、かつてドマの上忍だった者。尾行に慣れていない自分が後をつけようものなら、気づかれてしまうやもしれぬ……。			ヤンサ捜査線							
そこで貴殿の力を、借してほしいというわけなのだ。まずは、この望遠鏡を受け取ってくれ。			そこで貴殿の力を、借してほしいというわけなのだ。まずは、この望遠鏡を受け取ってくれ。			ヤンサ捜査線							
忍びにも気づかれぬほど遠方から、監視が可能な代物だ。建物や岩山といった高い場所からであれば、見晴らしも良いだろうし、何をしているかうかがえると思う。			忍びにも気づかれぬほど遠方から、監視が可能な代物だ。建物や岩山といった高い場所からであれば、見晴らしも良いだろうし、何をしているかうかがえると思う。			ヤンサ捜査線							
見たままを報告してもらえれば、対処は我らがするので、手出しは無用だ。ヤツはこれから、大龍月亮門の調査に向かうだろう。			見たままを報告してもらえれば、対処は我らがするので、手出しは無用だ。ヤツはこれから、大龍月亮門の調査に向かうだろう。			ヤンサ捜査線							
事前に調査済みの、監視に適した場所を地図に記した。私は烈士庵に戻るので、任務が済み次第、報告を頼む。			事前に調査済みの、監視に適した場所を地図に記した。私は烈士庵に戻るので、任務が済み次第、報告を頼む。			ヤンサ捜査線							
ヤツの動きを掴めただろうか？			ヤツの動きを掴めただろうか？			ヤンサ捜査線							
何と答える？			何と答える？			ヤンサ捜査線							
人狼族と会っていた			人狼族と会っていた			ヤンサ捜査線							
なにかの取引をしていた			なにかの取引をしていた			ヤンサ捜査線							
人狼族と会っていた？興味深い情報だな……。			人狼族と会っていた？興味深い情報だな……。			ヤンサ捜査線							
取引をしていた？ふむ……渡していたものの想像はつく。			取引をしていた？ふむ……渡していたものの想像はつく。			ヤンサ捜査線							
ここ最近、各地の協力者から送られてくる、物資や支援金の一部が、忽然と消え失せてしまっていたのだ。もしや、野盗と化した人狼族に渡っているというのか……？			ここ最近、各地の協力者から送られてくる、物資や支援金の一部が、忽然と消え失せてしまっていたのだ。もしや、野盗と化した人狼族に渡っているというのか……？			ヤンサ捜査線							
ドマ再興のため、結束せねばならないというときに……。あとは、我らが引き取るとしよう。協力に感謝する。			ドマ再興のため、結束せねばならないというときに……。あとは、我らが引き取るとしよう。協力に感謝する。			ヤンサ捜査線							
烈士庵のモトジロは、冒険者にお願いしたいことがあるようだ。			烈士庵のモトジロは、冒険者にお願いしたいことがあるようだ。			鋼の心							
マガツ・キヨフサを討伐し、おびき寄せた巨体のキヨフサに酸性の秘薬を使い討伐			マガツ・キヨフサを討伐し、おびき寄せた巨体のキヨフサに酸性の秘薬を使い討伐			鋼の心							
モトジロに報告			モトジロに報告			鋼の心							
Forename様。よろしければ、私の願いを聞いていただけませんか？			Forename様。よろしければ、私の願いを聞いていただけませんか？			鋼の心							
その願いとは、ほかでもありません。我が子らを……討伐していただきたいのです。			その願いとは、ほかでもありません。我が子らを……討伐していただきたいのです。			鋼の心							
言い方が、悪うございました。我が子とは、「マガツ・キヨフサ」のこと。ドマ防衛のため、我ら人形師が造った、からくり兵でございます。			言い方が、悪うございました。我が子とは、「マガツ・キヨフサ」のこと。ドマ防衛のため、我ら人形師が造った、からくり兵でございます。			鋼の心							
からくり兵たちは、帝国軍相手に奮戦したのですが、ドマが敗れた後、武器ともども接収されてしまいました。いずれ廃棄されるのだろう……我々は、そう考えておりました。			からくり兵たちは、帝国軍相手に奮戦したのですが、ドマが敗れた後、武器ともども接収されてしまいました。いずれ廃棄されるのだろう……我々は、そう考えておりました。			鋼の心							
しかし、代理総督のヨツユめはマガツ・キヨフサを、門前侍町を破壊するために投入してきたのです……！			しかし、代理総督のヨツユめはマガツ・キヨフサを、門前侍町を破壊するために投入してきたのです……！			鋼の心							
ドマを守るために生まれた子らが、守るべき街並みの破壊を命じられる……。これ以上ない、残酷な仕打ちといえましょう。			ドマを守るために生まれた子らが、守るべき街並みの破壊を命じられる……。これ以上ない、残酷な仕打ちといえましょう。			鋼の心							
そこで貴方様に、「門前侍町」で破壊を続ける我が子らを、倒していただきたいのです。			そこで貴方様に、「門前侍町」で破壊を続ける我が子らを、倒していただきたいのです。			鋼の心							
ただ、マガツ・キヨフサを倒していると現れる、ひときわ大きな「巨体のキヨフサ」には、注意してかかってください。			ただ、マガツ・キヨフサを倒していると現れる、ひときわ大きな「巨体のキヨフサ」には、注意してかかってください。			鋼の心							
特別な鋼で鎧われているため、力押しで倒すのは骨が折れますが、この「酸性の秘薬」を使って装甲を脆くすれば、必ず破壊できるはず。どうか、よろしくお願いいたします……！			特別な鋼で鎧われているため、力押しで倒すのは骨が折れますが、この「酸性の秘薬」を使って装甲を脆くすれば、必ず破壊できるはず。どうか、よろしくお願いいたします……！			鋼の心							
我が子らを倒していただき、ありがとうございました。あの巨体のキヨフサは、今は亡き我が父の、最後の作でした。			我が子らを倒していただき、ありがとうございました。あの巨体のキヨフサは、今は亡き我が父の、最後の作でした。			鋼の心							
父が精魂込めて造ったキヨフサたちが、亡霊のように彷徨い続けている姿は忍びなかったですが、これで、気持ちにひとつの区切りがつきました。			父が精魂込めて造ったキヨフサたちが、亡霊のように彷徨い続けている姿は忍びなかったですが、これで、気持ちにひとつの区切りがつきました。			鋼の心							
人形師として、私には今、やらねばならぬことがあります。……それは、真の意味でドマを守る、からくり兵を造ること。			人形師として、私には今、やらねばならぬことがあります。……それは、真の意味でドマを守る、からくり兵を造ること。			鋼の心							
時間はかかるやもしれませぬが、必ずや成し遂げてみせます。重ね重ね、ありがとうございました。すべての人形師に代わり、お礼を申し上げます。			時間はかかるやもしれませぬが、必ずや成し遂げてみせます。重ね重ね、ありがとうございました。すべての人形師に代わり、お礼を申し上げます。			鋼の心							
玄水連山のホジョウは、力仕事に自信のある協力者を探しているようだ。			玄水連山のホジョウは、力仕事に自信のある協力者を探しているようだ。			石積みの請負人							
法面修繕用の石を回収			法面修繕用の石を回収			石積みの請負人							
指定地点に法面修繕用の石を置く			指定地点に法面修繕用の石を置く			石積みの請負人							
ホジョウに報告			ホジョウに報告			石積みの請負人							
お前さん、棚田には興味あるかい？頑丈そうに見えるが、災害だったり獣が暴れたりで、法面(のりめん)の石積みが崩れることも、珍しくない。			お前さん、棚田には興味あるかい？頑丈そうに見えるが、災害だったり獣が暴れたりで、法面(のりめん)の石積みが崩れることも、珍しくない。			石積みの請負人							
だから、こいつを日々補修しないといけないんだが、こいつはなかなか大変でな……。			だから、こいつを日々補修しないといけないんだが、こいつはなかなか大変でな……。			石積みの請負人							
見たところ、力仕事には自信がありそうな感じじゃないか。もしよかったら、手伝っておくれよ。			見たところ、力仕事には自信がありそうな感じじゃないか。もしよかったら、手伝っておくれよ。			石積みの請負人							
石積みの補修には、専門の技術がいるから俺がやる。お前さんは、南に置いてある「法面修繕用の石」を集めて、俺が指定した場所に運んでくれ。			石積みの補修には、専門の技術がいるから俺がやる。お前さんは、南に置いてある「法面修繕用の石」を集めて、俺が指定した場所に運んでくれ。			石積みの請負人							
南にある「法面修繕用の石」を集めて、俺が指定した場所に運んでくれ。			南にある「法面修繕用の石」を集めて、俺が指定した場所に運んでくれ。			石積みの請負人							
法面修繕用の石を運んでくれたか。お前さんのおかげで、助かったよ。			法面修繕用の石を運んでくれたか。お前さんのおかげで、助かったよ。			石積みの請負人							
石積みは、ただ積むだけじゃなく、しっかりとした技術が必要だ。			石積みは、ただ積むだけじゃなく、しっかりとした技術が必要だ。			石積みの請負人							
きちんと伝えていかなきゃいけない技術だってのに、鍛えてた弟子は、帝国に徴兵されちまってよ。早く無事に戻ってくるよう、祈るしかできねぇってもんでな……。			きちんと伝えていかなきゃいけない技術だってのに、鍛えてた弟子は、帝国に徴兵されちまってよ。早く無事に戻ってくるよう、祈るしかできねぇってもんでな……。			石積みの請負人							
……おっと、こんなしんみりした話は、よくないよな。手伝ってくれてありがとよ、姉ちゃん兄ちゃん！			……おっと、こんなしんみりした話は、よくないよな。手伝ってくれてありがとよ、姉ちゃん兄ちゃん！			石積みの請負人							
玄水連山のフカタは、冒険者に頼みたいことがあるそうだ。			玄水連山のフカタは、冒険者に頼みたいことがあるそうだ。			便利な悪臭							
指定地点に悪臭漂う液体を使う			指定地点に悪臭漂う液体を使う			便利な悪臭							
フカタに報告			フカタに報告			便利な悪臭							
よお、アンタが敵じゃないことはわかってるさ。オレはナマイ村の村人であると同時に、反乱軍の一員でもあってな。不信な輩が近づかないように、この泉を見張っているのさ。			よお、アンタが敵じゃないことはわかってるさ。オレはナマイ村の村人であると同時に、反乱軍の一員でもあってな。不信な輩が近づかないように、この泉を見張っているのさ。			便利な悪臭							
けど、それゆえに困ったことがあってな。ここから目を離すわけにいかないから、やっておきたい仕事ができないんだよ。			けど、それゆえに困ったことがあってな。ここから目を離すわけにいかないから、やっておきたい仕事ができないんだよ。			便利な悪臭							
そこでなんだが、オレの代わりに、この「悪臭漂う液体」を、辺りに撒いてきてほしいんだ。あとでお礼はするから、よろしくな！			そこでなんだが、オレの代わりに、この「悪臭漂う液体」を、辺りに撒いてきてほしいんだ。あとでお礼はするから、よろしくな！			便利な悪臭							
「悪臭漂う液体」を、辺りに撒いてきてほしいんだ。あとでお礼はするから、よろしくな！			「悪臭漂う液体」を、辺りに撒いてきてほしいんだ。あとでお礼はするから、よろしくな！			便利な悪臭							
おっ、もう「悪臭漂う液体」を、撒き終わったのか？助かったぜ、ありがとうな！			おっ、もう「悪臭漂う液体」を、撒き終わったのか？助かったぜ、ありがとうな！			便利な悪臭							
あの液体は、魚のハラワタや松脂、ニンニク……つまりは、くっさいものをアレコレ混ぜたお手製の液体でな。撒けば、魔物の類いが寄り付かなくなるらしいんだ。			あの液体は、魚のハラワタや松脂、ニンニク……つまりは、くっさいものをアレコレ混ぜたお手製の液体でな。撒けば、魔物の類いが寄り付かなくなるらしいんだ。			便利な悪臭							
反乱軍の仲間が教えてくれた知恵さ。……そうだ、あとで服を洗っておくといいぜ。その悪臭が、こびり付いちまったら嫌だろ！？			反乱軍の仲間が教えてくれた知恵さ。……そうだ、あとで服を洗っておくといいぜ。その悪臭が、こびり付いちまったら嫌だろ！？			便利な悪臭							
ナマイ村のアオハタは、腕っ節に自信がある者を探しているようだ。			ナマイ村のアオハタは、腕っ節に自信がある者を探しているようだ。			竹とカカシ							
指定地点で見渡して凶暴なオオイタチを討伐			指定地点で見渡して凶暴なオオイタチを討伐			竹とカカシ							
アオハタに報告			アオハタに報告			竹とカカシ							
あなた、腕っ節には自信があるかい？もしあるようなら、頼みたいことがあるんだ。			あなた、腕っ節には自信があるかい？もしあるようなら、頼みたいことがあるんだ。			竹とカカシ							
最近、川辺の竹林に「凶暴なオオイタチ」がうろつき始めてね。カカシを作るために、材料となる竹を採りに行こうにも、襲われるかもしれないから、怖くて近づけないんだよ……。			最近、川辺の竹林に「凶暴なオオイタチ」がうろつき始めてね。カカシを作るために、材料となる竹を採りに行こうにも、襲われるかもしれないから、怖くて近づけないんだよ……。			竹とカカシ							
見かけた奴の話によると、「凶暴なオオイタチ」は3匹いるそうだ。悪いんだけど、1匹残らず倒してきてくれるかい？			見かけた奴の話によると、「凶暴なオオイタチ」は3匹いるそうだ。悪いんだけど、1匹残らず倒してきてくれるかい？			竹とカカシ							
見かけた奴の話によると、「凶暴なオオイタチ」は3匹いるそうだ。悪いんだけど、1匹残らず倒してきてくれるかい？			見かけた奴の話によると、「凶暴なオオイタチ」は3匹いるそうだ。悪いんだけど、1匹残らず倒してきてくれるかい？			竹とカカシ							
もう凶暴なオオイタチを倒してきてくれたのかい？ありがとう、これで安心して竹を採りにいけるよ！			もう凶暴なオオイタチを倒してきてくれたのかい？ありがとう、これで安心して竹を採りにいけるよ！			竹とカカシ							
そうそうカカシと言えば、こんな話がある。今でこそ、竹で人形を作って、田畑に飾っているけれど、昔は獣肉を焼いて、串刺しにして鳥獣避けに使っていたそうだ。			そうそうカカシと言えば、こんな話がある。今でこそ、竹で人形を作って、田畑に飾っているけれど、昔は獣肉を焼いて、串刺しにして鳥獣避けに使っていたそうだ。			竹とカカシ							
なんでも、その焼いた獣肉というのは、オオイタチの赤子だったそうなんだ。竹林に連中がやってきたのも、何かの因縁かもしれないね……。			なんでも、その焼いた獣肉というのは、オオイタチの赤子だったそうなんだ。竹林に連中がやってきたのも、何かの因縁かもしれないね……。			竹とカカシ							
ナマイ村のホナミは、水田のよさを広めたいようだ。			ナマイ村のホナミは、水田のよさを広めたいようだ。			ナマイの野良仕事							
アゲタと話す			アゲタと話す			ナマイの野良仕事							
オモダカを抜く			オモダカを抜く			ナマイの野良仕事							
アゲタに報告			アゲタに報告			ナマイの野良仕事							
指定地点に小さな鳥かごを使いイエスズメを放す			指定地点に小さな鳥かごを使いイエスズメを放す			ナマイの野良仕事							
