マエヌは、最後にひとつ冒険者にお願いをしたいようだ。			マエヌは、最後にひとつ冒険者にお願いをしたいようだ。			歴史的邂逅							
モグプウに報告した。モグプウは、ロプケンが魚臭いため苦手だったようだ。			モグプウに報告した。モグプウは、ロプケンが魚臭いため苦手だったようだ。			モグプウの苦手なもの							
ロプケンを討伐			ロプケンを討伐			モグプウの苦手なもの							
モグプウに報告			モグプウに報告			モグプウの苦手なもの							
北東にある水場に行ったことがあるくぽ？あそこにいる魔物のおかげで近づけなくて困ってるくぽ……。「ロプケン」を3匹くらい懲らしめてほしいくぽ！			北東にある水場に行ったことがあるくぽ？あそこにいる魔物のおかげで近づけなくて困ってるくぽ……。「ロプケン」を3匹くらい懲らしめてほしいくぽ！			モグプウの苦手なもの							
北東にある水場に行ったことがあるくぽ？あそこにいる魔物のおかげで近づけなくて困ってるくぽ……。「ロプケン」を3匹くらい懲らしめてほしいくぽ！			北東にある水場に行ったことがあるくぽ？あそこにいる魔物のおかげで近づけなくて困ってるくぽ……。「ロプケン」を3匹くらい懲らしめてほしいくぽ！			モグプウの苦手なもの							
ありがとうくぽ！　おかげで水場に行けるくぽ！あいつら、ものすごく魚臭いくぽ！モグは近づくのも嫌だったくぽ！			ありがとうくぽ！　おかげで水場に行けるくぽ！あいつら、ものすごく魚臭いくぽ！モグは近づくのも嫌だったくぽ！			モグプウの苦手なもの							
モグモグホームのモグモモは、北の方角を気にしているようだ。			モグモグホームのモグモモは、北の方角を気にしているようだ。			遺構に咲く花							
モグモモからラッパの花を採ってくるように頼まれた。ドラヴァニア雲海のランドロード遺構で「ラッパの花」を探して入手しよう。			モグモモからラッパの花を採ってくるように頼まれた。ドラヴァニア雲海のランドロード遺構で「ラッパの花」を探して入手しよう。			遺構に咲く花							
ラッパの花を入手した。モグモグホームの「モグモモ」に「ラッパの花」を渡そう。			ラッパの花を入手した。モグモグホームの「モグモモ」に「ラッパの花」を渡そう。			遺構に咲く花							
モグモモにラッパの花を渡した。ラッパの花は貴重な存在のようだ。モグモモは、大切に育てると喜んでいた。			モグモモにラッパの花を渡した。ラッパの花は貴重な存在のようだ。モグモモは、大切に育てると喜んでいた。			遺構に咲く花							
ラッパの花を入手			ラッパの花を入手			遺構に咲く花							
モグモモにラッパの花を渡す			モグモモにラッパの花を渡す			遺構に咲く花							
すごい、これはすごいことだくぽ！「ランドロード遺構」に「ラッパの花」が咲いてるらしいくぽ！どうか、3つほど採ってきてくれないくぽ？			すごい、これはすごいことだくぽ！「ランドロード遺構」に「ラッパの花」が咲いてるらしいくぽ！どうか、3つほど採ってきてくれないくぽ？			遺構に咲く花							
すごい、これはすごいことだくぽ！「ランドロード遺構」に「ラッパの花」が咲いてるらしいくぽ！どうか、3つほど採ってきてくれないくぽ？			すごい、これはすごいことだくぽ！「ランドロード遺構」に「ラッパの花」が咲いてるらしいくぽ！どうか、3つほど採ってきてくれないくぽ？			遺構に咲く花							
すごい、これはすごいことだくぽ！「ランドロード遺構」に「ラッパの花」が咲いてるらしいくぽ！どうか、3つほど採ってきてくれないくぽ？			すごい、これはすごいことだくぽ！「ランドロード遺構」に「ラッパの花」が咲いてるらしいくぽ！どうか、3つほど採ってきてくれないくぽ？			遺構に咲く花							
とってもきれいで立派くぽ～！　ありがとうくぽ！「ラッパの花」は、音楽好きのモーグリに大人気くぽ！枯れたりしないように、モグモモが大切に育てるくぽ！			とってもきれいで立派くぽ～！　ありがとうくぽ！「ラッパの花」は、音楽好きのモーグリに大人気くぽ！枯れたりしないように、モグモモが大切に育てるくぽ！			遺構に咲く花							
秘密の花園をこっそりと造って、みんなを招待してあげるくぽ！　楽しみくぽ～！			秘密の花園をこっそりと造って、みんなを招待してあげるくぽ！　楽しみくぽ～！			遺構に咲く花							
モグモグホームのクプリ・クキは、モーグリの名前について考えているようだ。			モグモグホームのクプリ・クキは、モーグリの名前について考えているようだ。			名前の由来は							
クプリ・クキは、空のモーグリたちの名前が気になっているらしい。ドラヴァニア雲海のモグモグホームにいる長老「モグリン」に、彼らの名前の由来を聞いてみよう。			クプリ・クキは、空のモーグリたちの名前が気になっているらしい。ドラヴァニア雲海のモグモグホームにいる長老「モグリン」に、彼らの名前の由来を聞いてみよう。			名前の由来は							
モグモグホームの「クポの実」を狙う魔物が出現したため、長老のモグリンは忙しいようだ。魔物退治を手伝うため、まずはモグモグホームの「モグレオ」に状況を確認しよう。			モグモグホームの「クポの実」を狙う魔物が出現したため、長老のモグリンは忙しいようだ。魔物退治を手伝うため、まずはモグモグホームの「モグレオ」に状況を確認しよう。			名前の由来は							
モグレオに、クポの実を狙う魔物の討伐を頼まれた。モグモグホームの「モグール」「クプリ・クキ」「ふわふわモーグリ」「ふるふるモーグリ」と話し、大事なクポの実を狙う魔物の情報を集めよう。			モグレオに、クポの実を狙う魔物の討伐を頼まれた。モグモグホームの「モグール」「クプリ・クキ」「ふわふわモーグリ」「ふるふるモーグリ」と話し、大事なクポの実を狙う魔物の情報を集めよう。			名前の由来は							
謎の魔物は、モーグリたちの手で追い込まれたようだ。モグモグホーム南東で、クポの実を狙う魔物を討伐しよう。			謎の魔物は、モーグリたちの手で追い込まれたようだ。モグモグホーム南東で、クポの実を狙う魔物を討伐しよう。			名前の由来は							
クポの実を狙っていたゲイラキャットを討伐した。モグモグホームの「モグレオ」に報告しよう。			クポの実を狙っていたゲイラキャットを討伐した。モグモグホームの「モグレオ」に報告しよう。			名前の由来は							
モグレオに報告した。長老の「モグリン」にも報告しよう。			モグレオに報告した。長老の「モグリン」にも報告しよう。			名前の由来は							
モグリンに報告し、空のモーグリ族の名前の由来について話を聞いた。どうやら、モグリンは善王「モグル・モグXII世」の末裔であるらしい。さらに、モグレオの所属する「モグモグ護衛団」も、モグル・モグXII世に仕えていた家臣団から続いているものだという。伝説のモーグリたちと出会えたとはしゃぐクプリ・クキたちに、モグレオはクポの実をふるまい、森と空のモーグリ族は友好を深めあうのだった。			モグリンに報告し、空のモーグリ族の名前の由来について話を聞いた。どうやら、モグリンは善王「モグル・モグXII世」の末裔であるらしい。さらに、モグレオの所属する「モグモグ護衛団」も、モグル・モグXII世に仕えていた家臣団から続いているものだという。伝説のモーグリたちと出会えたとはしゃぐクプリ・クキたちに、モグレオはクポの実をふるまい、森と空のモーグリ族は友好を深めあうのだった。			名前の由来は							
モグリンと話す			モグリンと話す			名前の由来は							
モグレオと話す			モグレオと話す			名前の由来は							
クポの実を狙う魔物の情報を集める			クポの実を狙う魔物の情報を集める			名前の由来は							
モグモグホーム南東でクポの実を狙う魔物を討伐			モグモグホーム南東でクポの実を狙う魔物を討伐			名前の由来は							
モグレオに報告			モグレオに報告			名前の由来は							
モグリンに報告			モグリンに報告			名前の由来は							
いや～、まさかモグたちのご先祖様が、雲海から降りてきていたなんて、びっくりクポ！でも、モグールはいいやつだし、仲良くやっていけそうクポ♪			いや～、まさかモグたちのご先祖様が、雲海から降りてきていたなんて、びっくりクポ！でも、モグールはいいやつだし、仲良くやっていけそうクポ♪			名前の由来は							
ん、そういえば……モグールってなんだか変わった名前クポ。考えてみれば、モグリンさまの名前もそうだけど、なんで頭に「モグ」ってつけるんだろう……へんてこクポ！			ん、そういえば……モグールってなんだか変わった名前クポ。考えてみれば、モグリンさまの名前もそうだけど、なんで頭に「モグ」ってつけるんだろう……へんてこクポ！			名前の由来は							
もしかして、何か理由でもあるのかもしれないクポ。モグリンさまに聞いてみたいけど……。偉い人って、話しかけづらいクポ。			もしかして、何か理由でもあるのかもしれないクポ。モグリンさまに聞いてみたいけど……。偉い人って、話しかけづらいクポ。			名前の由来は							
ちょっと、聞きに行ってみてほしいクポ～。もし何かわかったら、教えてクポ♪			ちょっと、聞きに行ってみてほしいクポ～。もし何かわかったら、教えてクポ♪			名前の由来は							
もし何かわかったら、教えてクポ♪			もし何かわかったら、教えてクポ♪			名前の由来は							
今は、取り込み中くぽ！　緊急事態くぽ！			今は、取り込み中くぽ！　緊急事態くぽ！			名前の由来は							
ダサい名前のForenameよ。「モグリン」という名前が、やっぱり羨ましいクポ？でも、今はちょっと立て込んでるから、後にしてほしいくぽ。			ダサい名前のForenameよ。「モグリン」という名前が、やっぱり羨ましいクポ？でも、今はちょっと立て込んでるから、後にしてほしいくぽ。			名前の由来は							
……モグリン様、そうですくぽ！上層のクポの木のそばで、魔物が暴れまくりくぽ！「モグモグ護衛団」が対処していますが、苦戦中くぽ！			……モグリン様、そうですくぽ！上層のクポの木のそばで、魔物が暴れまくりくぽ！「モグモグ護衛団」が対処していますが、苦戦中くぽ！			名前の由来は							
仕方あるまい、Forenameよ。その力で、護衛団を援護してほしいくぽ！			仕方あるまい、Forenameよ。その力で、護衛団を援護してほしいくぽ！			名前の由来は							
クポの木を守るには、一刻を争うくぽ。まずは護衛団の「モグレオ」に状況を確認するくぽ。事が収まったら、名前についてのお話をしてあげるくぽ！			クポの木を守るには、一刻を争うくぽ。まずは護衛団の「モグレオ」に状況を確認するくぽ。事が収まったら、名前についてのお話をしてあげるくぽ！			名前の由来は							
クポの木を守るには、一刻を争うくぽ。まずは護衛団の「モグレオ」に状況を確認するくぽ。事が収まったら、名前についてのお話をしてあげるくぽ！			クポの木を守るには、一刻を争うくぽ。まずは護衛団の「モグレオ」に状況を確認するくぽ。事が収まったら、名前についてのお話をしてあげるくぽ！			名前の由来は							
冒険者さん、ひさしぶりくぽ！モグレオは、このとおり護衛団で立派にやっているくぽ～♪……って、今はそれどころじゃなかったくぽ！			冒険者さん、ひさしぶりくぽ！モグレオは、このとおり護衛団で立派にやっているくぽ～♪……って、今はそれどころじゃなかったくぽ！			名前の由来は							
冒険者さんも手伝ってくれるくぽ？　それは心強いくぽ！モグたちは今、クポの実を奪いに来た、魔物を追ってるくぽ。フトドキ者の魔物は、全部で2匹いたくぽ。			冒険者さんも手伝ってくれるくぽ？　それは心強いくぽ！モグたちは今、クポの実を奪いに来た、魔物を追ってるくぽ。フトドキ者の魔物は、全部で2匹いたくぽ。			名前の由来は							
片方は、モグたち護衛団が追い払っている最中くぽ。もう片方は、モグールと森のモーグリたちが追っかけてるくぽ！森のモーグリたちも、なかなかいい奴くぽ！			片方は、モグたち護衛団が追い払っている最中くぽ。もう片方は、モグールと森のモーグリたちが追っかけてるくぽ！森のモーグリたちも、なかなかいい奴くぽ！			名前の由来は							
モグは、護衛団のみんなのところに加勢に行くくぽ。だから、冒険者さんは「モグール」たちの方を頼むくぽ！			モグは、護衛団のみんなのところに加勢に行くくぽ。だから、冒険者さんは「モグール」たちの方を頼むくぽ！			名前の由来は							
モグは、護衛団のみんなのところに加勢に行くくぽ。だから、冒険者さんは「モグール」たちの方を頼むくぽ！			モグは、護衛団のみんなのところに加勢に行くくぽ。だから、冒険者さんは「モグール」たちの方を頼むくぽ！			名前の由来は							
おぉ、助けてくれるクポ？クポの実を奪いに来た魔物は、向こうに追い込んだクポ！			おぉ、助けてくれるクポ？クポの実を奪いに来た魔物は、向こうに追い込んだクポ！			名前の由来は							
ヘンな魔物は、こっちに来たクポ！あいつ、ヒョコヒョコ来たから追い返してやったクポ！			ヘンな魔物は、こっちに来たクポ！あいつ、ヒョコヒョコ来たから追い返してやったクポ！			名前の由来は							
ヘンな魔物なら、さっきこっちの方に来たクポ。たぶん、この先にいると思うクポ。追い詰めたも同然クポ！			ヘンな魔物なら、さっきこっちの方に来たクポ。たぶん、この先にいると思うクポ。追い詰めたも同然クポ！			名前の由来は							
くぽぽ～！魔物を追いかけていたのに、見逃しちゃったくぽ～！悔しいくぽ～！			くぽぽ～！魔物を追いかけていたのに、見逃しちゃったくぽ～！悔しいくぽ～！			名前の由来は							
クポの実を食べちゃう魔物は、向こうに追い込んだクポ！			クポの実を食べちゃう魔物は、向こうに追い込んだクポ！			名前の由来は							
ヘンな魔物が、ヒョコヒョコ飛んできたから、追い返してやったクポ！			ヘンな魔物が、ヒョコヒョコ飛んできたから、追い返してやったクポ！			名前の由来は							
ヘンな魔物は、たぶんこの先にいると思うクポ。追い詰めたも同然クポ！			ヘンな魔物は、たぶんこの先にいると思うクポ。追い詰めたも同然クポ！			名前の由来は							
くぽぽ～！　悔しいくぽ～！			くぽぽ～！　悔しいくぽ～！			名前の由来は							
そっちも逃げた1匹は、倒せたくぽ！？こっちも、無事に魔物を倒せたくぽ！これでクポの木は、もう安心くぽ！			そっちも逃げた1匹は、倒せたくぽ！？こっちも、無事に魔物を倒せたくぽ！これでクポの木は、もう安心くぽ！			名前の由来は							
それにしても、見たことのない魔物だったくぽ……。いったいどこから紛れ込んだくぽ？			それにしても、見たことのない魔物だったくぽ……。いったいどこから紛れ込んだくぽ？			名前の由来は							
ももも、もしかしたら、モグたちが、跡をつけられたのかもしれないクポ……。……ごめんクポ～。			ももも、もしかしたら、モグたちが、跡をつけられたのかもしれないクポ……。……ごめんクポ～。			名前の由来は							
くぽ！　しかたがないことくぽ。森の皆が、魔物討伐を手伝ってくれて、駆除できたくぽ。大団円くぽ！			くぽ！　しかたがないことくぽ。森の皆が、魔物討伐を手伝ってくれて、駆除できたくぽ。大団円くぽ！			名前の由来は							
さてと、モグリンさまのところに報告に行くくぽ。みんなも手伝ってくれたし、一緒に行くくぽ～♪			さてと、モグリンさまのところに報告に行くくぽ。みんなも手伝ってくれたし、一緒に行くくぽ～♪			名前の由来は							
さてと、モグリンさまのところに報告に行くくぽ。みんなも手伝ってくれたし、一緒に行くくぽ～♪			さてと、モグリンさまのところに報告に行くくぽ。みんなも手伝ってくれたし、一緒に行くくぽ～♪			名前の由来は							
大団円……くぽ？			大団円……くぽ？			名前の由来は							
モグリン様から、名前の話を聞けるといいクポ。			モグリン様から、名前の話を聞けるといいクポ。			名前の由来は							
魔物がついてきてたなんて、気付かなかったクポ～。			魔物がついてきてたなんて、気付かなかったクポ～。			名前の由来は							
魔物を追いかけ回すの、ちょっと楽しかったクポ！			魔物を追いかけ回すの、ちょっと楽しかったクポ！			名前の由来は							
……どうだったくぽ？クポの実を狙う魔物は、退治できたくぽ？			……どうだったくぽ？クポの実を狙う魔物は、退治できたくぽ？			名前の由来は							
無事、退治できましたくぽ！森から来たみんなが助けてくれたおかげくぽ～♪			無事、退治できましたくぽ！森から来たみんなが助けてくれたおかげくぽ～♪			名前の由来は							
それは、よかったくぽ！……そういえばForenameに、モグたちの名前について聞かれていたのだったくぽ。			それは、よかったくぽ！……そういえばForenameに、モグたちの名前について聞かれていたのだったくぽ。			名前の由来は							
モグが、冒険者さんに頼んだクポ！森のモーグリと、空のモーグリの間で、名前の付け方が違うのが気になってるクポ！			モグが、冒険者さんに頼んだクポ！森のモーグリと、空のモーグリの間で、名前の付け方が違うのが気になってるクポ！			名前の由来は							
モグたち森のモーグリの名前は、頭文字に「ク」や「プ」をつけることが多いクポ。それは「クポの実」にちなんでいると、言われているクポ。			モグたち森のモーグリの名前は、頭文字に「ク」や「プ」をつけることが多いクポ。それは「クポの実」にちなんでいると、言われているクポ。			名前の由来は							
多分、雲の上から持ってきたクポの実が、モグたちにとって大切なモノだったからクポ！でも、空のみんなの名前は違うクポ、不思議クポ！			多分、雲の上から持ってきたクポの実が、モグたちにとって大切なモノだったからクポ！でも、空のみんなの名前は違うクポ、不思議クポ！			名前の由来は							
理由など、考えたこともなかったくぽ。モーグリ族だから、自然と「モグ」をつけたんだと思うくぽ。昔からずーっと、名前には「モグ」がついてるくぽ。			理由など、考えたこともなかったくぽ。モーグリ族だから、自然と「モグ」をつけたんだと思うくぽ。昔からずーっと、名前には「モグ」がついてるくぽ。			名前の由来は							
モグのご先祖様である、初代の長老さまの名前も「モグルグ」くぽ。モグルグ様は「風の災い」の時に、一族をまとめた英雄くぽ。			モグのご先祖様である、初代の長老さまの名前も「モグルグ」くぽ。モグルグ様は「風の災い」の時に、一族をまとめた英雄くぽ。			名前の由来は							
……モグルグさまって、なんだか聞き覚えがあるクポ。モグルグさま……モグルグ……モグルグ…………モグル…………モグル・モグ！？			……モグルグさまって、なんだか聞き覚えがあるクポ。モグルグさま……モグルグ……モグルグ…………モグル…………モグル・モグ！？			名前の由来は							
モグルグさまって、もしやモグル・モグのことクポ！？ということは……モグリンさまって、善王「モグル・モグXII世」の末裔クポ！？			モグルグさまって、もしやモグル・モグのことクポ！？ということは……モグリンさまって、善王「モグル・モグXII世」の末裔クポ！？			名前の由来は							
確かに、名前の雰囲気が似てるくぽ。モグル・モグっていうのは、この間話していた……森のモーグリの伝承上の存在くぽね。			確かに、名前の雰囲気が似てるくぽ。モグル・モグっていうのは、この間話していた……森のモーグリの伝承上の存在くぽね。			名前の由来は							
……きっと、言い伝えの中で名前がちょっと変わったクポ！ああ、モグの目の前に、最後の王様の末裔が……！とっても感激クポ～～！			……きっと、言い伝えの中で名前がちょっと変わったクポ！ああ、モグの目の前に、最後の王様の末裔が……！とっても感激クポ～～！			名前の由来は							
そういえば、モグル・モグXII世は、つよ～いつよ～い家臣団を従えていたって伝説クポ……。も、もしかして、モグレオたち護衛団も……！？			そういえば、モグル・モグXII世は、つよ～いつよ～い家臣団を従えていたって伝説クポ……。も、もしかして、モグレオたち護衛団も……！？			名前の由来は							
護衛団の歴史は、と～っても古いくぽ。モグルグ様の時代から、あったと伝えられているくぽ。			護衛団の歴史は、と～っても古いくぽ。モグルグ様の時代から、あったと伝えられているくぽ。			名前の由来は							
クポポー！　善王様が従えた家臣団が、モグレオたち「モグモグ護衛団」になったのクポ！凄いクポ、歴史上のモグたちにいっぱいあってる気分クポ！			クポポー！　善王様が従えた家臣団が、モグレオたち「モグモグ護衛団」になったのクポ！凄いクポ、歴史上のモグたちにいっぱいあってる気分クポ！			名前の由来は							
くぽぽ、なんだか褒められてて、照れくさいくぽ。そ、そういえば、魔物を倒したごほうびを渡してないくぽ。			くぽぽ、なんだか褒められてて、照れくさいくぽ。そ、そういえば、魔物を倒したごほうびを渡してないくぽ。			名前の由来は							
では、森のモーグリ族との友好を祝して……モグたちが守った木のクポの実を、1個ずつ食べていいくぽ！			では、森のモーグリ族との友好を祝して……モグたちが守った木のクポの実を、1個ずつ食べていいくぽ！			名前の由来は							
クポポー！！なんて太っ腹クポー！！！みんなで、さっそく食べるクポー！！！			クポポー！！なんて太っ腹クポー！！！みんなで、さっそく食べるクポー！！！			名前の由来は							
モグモグホーム付近のモグレオは、頼れる誰かに協力してほしいことがあるようだ。			モグモグホーム付近のモグレオは、頼れる誰かに協力してほしいことがあるようだ。			入隊目指して							
モグレオは、モグモグ護衛団に入りたいようだ。ドラヴァニア雲海のモグモグホーム付近で、困っている仲間を探す「モグレオ」と合流しよう。			モグレオは、モグモグ護衛団に入りたいようだ。ドラヴァニア雲海のモグモグホーム付近で、困っている仲間を探す「モグレオ」と合流しよう。			入隊目指して							
モグレオと合流した。モグレオは、困っている仲間を見つけたようだ。一緒に、モグモグホーム付近の「むぐむぐモーグリ」から事情を聞こう。			モグレオと合流した。モグレオは、困っている仲間を見つけたようだ。一緒に、モグモグホーム付近の「むぐむぐモーグリ」から事情を聞こう。			入隊目指して							
むぐむぐモーグリは、絵飾り石をなくしてしまったらしい。絵飾り石を探すために、モグモグホームの北に向かった「モグレオ」と合流しよう。			むぐむぐモーグリは、絵飾り石をなくしてしまったらしい。絵飾り石を探すために、モグモグホームの北に向かった「モグレオ」と合流しよう。			入隊目指して							
モグレオと合流したが、忍び寄るシーベガーに気付いていないようだ。妨害を退けて、「モグレオ」と話そう。			モグレオと合流したが、忍び寄るシーベガーに気付いていないようだ。妨害を退けて、「モグレオ」と話そう。			入隊目指して							
モグレオは、絵飾り石を見つけたようだ。モグモグホーム付近に戻り、「むぐむぐモーグリ」と話そう。			モグレオは、絵飾り石を見つけたようだ。モグモグホーム付近に戻り、「むぐむぐモーグリ」と話そう。			入隊目指して							
むぐむぐモーグリは、絵飾り石が返ってきて喜んでいた。モグレオはこの調子で、どんどん困っている仲間を助けるつもりのようだが……。			むぐむぐモーグリは、絵飾り石が返ってきて喜んでいた。モグレオはこの調子で、どんどん困っている仲間を助けるつもりのようだが……。			入隊目指して							
モグレオを探す			モグレオを探す			入隊目指して							
むぐむぐモーグリと話す			むぐむぐモーグリと話す			入隊目指して							
モグレオと合流する			モグレオと合流する			入隊目指して							
妨害を退けモグレオと話す			妨害を退けモグレオと話す			入隊目指して							
むぐむぐモーグリに報告			むぐむぐモーグリに報告			入隊目指して							
むむっ……強そうだくぽ！君のような冒険者を、探していたくぽ！ちょっと、モグのお願いを聞いてほしいくぽ！			むむっ……強そうだくぽ！君のような冒険者を、探していたくぽ！ちょっと、モグのお願いを聞いてほしいくぽ！			入隊目指して							
最近、邪竜様の眷属たちが、やたらめったら、凶暴になっているくぽ。ブルブルと震えて、皆が不安そうくぽ。			最近、邪竜様の眷属たちが、やたらめったら、凶暴になっているくぽ。ブルブルと震えて、皆が不安そうくぽ。			入隊目指して							
……そこで、くぽ！モグは「モグモグ護衛団」に入って、皆のことを守りたいと思っているのくぽ！			……そこで、くぽ！モグは「モグモグ護衛団」に入って、皆のことを守りたいと思っているのくぽ！			入隊目指して							
でも、護衛団に入るには、モグが強いってことが、皆に知られないとダメくぽ。そこで、見るからに強そうな君に、協力してほしいくぽ！			でも、護衛団に入るには、モグが強いってことが、皆に知られないとダメくぽ。そこで、見るからに強そうな君に、協力してほしいくぽ！			入隊目指して							
モグの力を知ってもらうには、困ってる仲間を助けるのが一番くぽ～♪			モグの力を知ってもらうには、困ってる仲間を助けるのが一番くぽ～♪			入隊目指して							
人知れず悩みを抱えている仲間が、どこかにいるはずくぽ！さっそく、探しにいくくぽー！			人知れず悩みを抱えている仲間が、どこかにいるはずくぽ！さっそく、探しにいくくぽー！			入隊目指して							
なんだか困ってそうな仲間を見つけたくぽ！「むぐむぐモーグリ」に話しかけて、一緒に話を聞いてほしいくぽ～！			なんだか困ってそうな仲間を見つけたくぽ！「むぐむぐモーグリ」に話しかけて、一緒に話を聞いてほしいくぽ～！			入隊目指して							
うーん……どこにやっちゃったくぽ……？確かに持ってたはずくぽ……。			うーん……どこにやっちゃったくぽ……？確かに持ってたはずくぽ……。			入隊目指して							
「むぐむぐモーグリ」に話しかけて、一緒に話を聞いてほしいくぽ～！			「むぐむぐモーグリ」に話しかけて、一緒に話を聞いてほしいくぽ～！			入隊目指して							
うーん……どこにやっちゃったくぽ……？			うーん……どこにやっちゃったくぽ……？			入隊目指して							
何か困ってるくぽ？			何か困ってるくぽ？			入隊目指して							
うーん……実は、モグの絵飾り石が見当たらないのくぽ。お散歩の帰りに、落としたかもしれないくぽ……。			うーん……実は、モグの絵飾り石が見当たらないのくぽ。お散歩の帰りに、落としたかもしれないくぽ……。			入隊目指して							
フムフム……この、モグレオに任せるくぽ！その絵飾り石、モグが探してくるくぽ～！			フムフム……この、モグレオに任せるくぽ！その絵飾り石、モグが探してくるくぽ～！			入隊目指して							
本当くぽ！？モグがお散歩に行ったのは、モグモグホームの北くぽ。落としたとしたら、たぶん北の方くぽ！			本当くぽ！？モグがお散歩に行ったのは、モグモグホームの北くぽ。落としたとしたら、たぶん北の方くぽ！			入隊目指して							
わかったくぽ、さっそく探しに行くくぽ！モグは先に行って探してるくぽ！君も来るくぽ～！			わかったくぽ、さっそく探しに行くくぽ！モグは先に行って探してるくぽ！君も来るくぽ～！			入隊目指して							
モグがお散歩に行ったのは、モグモグホームの北くぽ。落としたとしたら、たぶん北の方くぽ！			モグがお散歩に行ったのは、モグモグホームの北くぽ。落としたとしたら、たぶん北の方くぽ！			入隊目指して							
ま、魔物くぽ～！			ま、魔物くぽ～！			入隊目指して							
く、くぽぽーっ！　魔物がすぐそばにいたくぽ！？絵飾り石を探すのに夢中で、魔物にまったく気付かなかったくぽ……！			く、くぽぽーっ！　魔物がすぐそばにいたくぽ！？絵飾り石を探すのに夢中で、魔物にまったく気付かなかったくぽ……！			入隊目指して							
でも、絵飾り石はみつけたくぽ！モグモグホームに戻って、届けてあげるくぽ～♪			でも、絵飾り石はみつけたくぽ！モグモグホームに戻って、届けてあげるくぽ～♪			入隊目指して							
くぽ～！一件落着くぽ～！			くぽ～！一件落着くぽ～！			入隊目指して							
モグの絵飾り石を見つけてくれて、本当にありがとうくぽー！！			モグの絵飾り石を見つけてくれて、本当にありがとうくぽー！！			入隊目指して							
これぐらい、このモグレオにかかれば朝メシ前くぽ！もうなくさないように、気をつけてくぽ～。			これぐらい、このモグレオにかかれば朝メシ前くぽ！もうなくさないように、気をつけてくぽ～。			入隊目指して							
これで今回の件は、一件落着くぽ！この調子で、困っている仲間を助けてあげるくぽ～！			これで今回の件は、一件落着くぽ！この調子で、困っている仲間を助けてあげるくぽ～！			入隊目指して							
よーし、モグモグホームの外に行って、困っている仲間を、もっともっと探してくるくぽ！またあとでくぽ～♪			よーし、モグモグホームの外に行って、困っている仲間を、もっともっと探してくるくぽ！またあとでくぽ～♪			入隊目指して							
白亜の宮殿のあくせくモーグリは、忙しそうにしている。			白亜の宮殿のあくせくモーグリは、忙しそうにしている。			忙しき庭師たち							
あくせくモーグリから、壷の中の土を運ぶよう頼まれた。白亜の宮殿で素焼きの壺から「良質な黒土」を入手しよう。			あくせくモーグリから、壷の中の土を運ぶよう頼まれた。白亜の宮殿で素焼きの壺から「良質な黒土」を入手しよう。			忙しき庭師たち							
良質な黒土を入手した。モグモグホームの「モグモモ」に「良質な黒土」を渡そう。			良質な黒土を入手した。モグモグホームの「モグモモ」に「良質な黒土」を渡そう。			忙しき庭師たち							
モグモモに良質な黒土を渡した。モーグリ族は聖竜と契約し、宮殿をきれいに保つことと引き換えに、乱暴者に対しての相談役となってもらっているようだ。			モグモモに良質な黒土を渡した。モーグリ族は聖竜と契約し、宮殿をきれいに保つことと引き換えに、乱暴者に対しての相談役となってもらっているようだ。			忙しき庭師たち							
素焼きの壺から良質な黒土を入手			素焼きの壺から良質な黒土を入手			忙しき庭師たち							
モグモモに良質な黒土を渡す			モグモモに良質な黒土を渡す			忙しき庭師たち							
あくせくモーグリに、かくれんぼで遊んでたことが、ばれちゃったくぽ～……。			あくせくモーグリに、かくれんぼで遊んでたことが、ばれちゃったくぽ～……。			忙しき庭師たち							
あくせくモーグリに、掃除するように言われたくぽ。かくれんぼしてる場合じゃなかったくぽ……。			あくせくモーグリに、掃除するように言われたくぽ。かくれんぼしてる場合じゃなかったくぽ……。			忙しき庭師たち							
う～……疲れたくぽ～。帰れると思ったのにくぽ～……。			う～……疲れたくぽ～。帰れると思ったのにくぽ～……。			忙しき庭師たち							
土を運ぶのも楽じゃないくぽ……。あくせくモーグリは真面目くぽ……。			土を運ぶのも楽じゃないくぽ……。あくせくモーグリは真面目くぽ……。			忙しき庭師たち							
んもう！　ただでさえ忙しいのに、みんな遊んでばかりくぽ！そこのヒトさん、手伝いをお願いしていいくぽ？			んもう！　ただでさえ忙しいのに、みんな遊んでばかりくぽ！そこのヒトさん、手伝いをお願いしていいくぽ？			忙しき庭師たち							
そこの素焼きの壺に「良質な黒土」が入ってるくぽ。それをモグモグホームの「モグモモ」に届けて、喜ばせてあげてほしいくぽ！			そこの素焼きの壺に「良質な黒土」が入ってるくぽ。それをモグモグホームの「モグモモ」に届けて、喜ばせてあげてほしいくぽ！			忙しき庭師たち							
素焼きの壺に「良質な黒土」が入ってるくぽ。それをモグモグホームの「モグモモ」に届けて、喜ばせてあげてほしいくぽ！			素焼きの壺に「良質な黒土」が入ってるくぽ。それをモグモグホームの「モグモモ」に届けて、喜ばせてあげてほしいくぽ！			忙しき庭師たち							
素焼きの壺に「良質な黒土」が入ってるくぽ。それをモグモグホームの「モグモモ」に届けて、喜ばせてあげてほしいくぽ！			素焼きの壺に「良質な黒土」が入ってるくぽ。それをモグモグホームの「モグモモ」に届けて、喜ばせてあげてほしいくぽ！			忙しき庭師たち							
モグモモに、なにかご用くぽ？			モグモモに、なにかご用くぽ？			忙しき庭師たち							
