シャバーブチェのニーピネは、行き交う人々を眺めているようだ。			シャバーブチェのニーピネは、行き交う人々を眺めているようだ。			海都を騒がす毒の果実							
キャンプ・ブロンズレイクの温泉で騒動が起きて以降、エルレットたちは、また姿を消したわ。でも、このまま静かにしてるとは思えない……。			キャンプ・ブロンズレイクの温泉で騒動が起きて以降、エルレットたちは、また姿を消したわ。でも、このまま静かにしてるとは思えない……。			贈り物には毒を込めて							
彼女たち、これまでバイルブランド島内を転々としてたでしょ？だから、まだ行ってない東ラノシアのコスタ・デル・ソルを、今度は探ってみようと考えたの。			彼女たち、これまでバイルブランド島内を転々としてたでしょ？だから、まだ行ってない東ラノシアのコスタ・デル・ソルを、今度は探ってみようと考えたの。			贈り物には毒を込めて							
聞いた話だと、ゲゲルジュという富豪の土地なのよね？コスタ・デル・ソルで、その人に話を聞いてみましょう。			聞いた話だと、ゲゲルジュという富豪の土地なのよね？コスタ・デル・ソルで、その人に話を聞いてみましょう。			贈り物には毒を込めて							
ここは、これまでの場所とは少し雰囲気が違うのね。			ここは、これまでの場所とは少し雰囲気が違うのね。			贈り物には毒を込めて							
それで、この先にゲゲルジュという人がいるようだけど、アナタは会ったことある？			それで、この先にゲゲルジュという人がいるようだけど、アナタは会ったことある？			贈り物には毒を込めて							
何と言う？			何と言う？			贈り物には毒を込めて							
何度か話したことがある			何度か話したことがある			贈り物には毒を込めて							
たぶん、知り合い……かも？			たぶん、知り合い……かも？			贈り物には毒を込めて							
そうなのね！なら、アナタと一緒に行けば安心だわ。			そうなのね！なら、アナタと一緒に行けば安心だわ。			贈り物には毒を込めて							
た、たぶん！？会ったことがあるなら、今のうちに思い出しておいてね……？			た、たぶん！？会ったことがあるなら、今のうちに思い出しておいてね……？			贈り物には毒を込めて							
それじゃ、さっそく行きましょう。			それじゃ、さっそく行きましょう。			贈り物には毒を込めて							
だっ、誰かと思えば、冒険者殿ではないか！その……ワシにいったい何の用じゃ？			だっ、誰かと思えば、冒険者殿ではないか！その……ワシにいったい何の用じゃ？			贈り物には毒を込めて							
ああ、ヒューラン族のカワイコちゃんなら訪ねてきたぞ！魔法人形とララフェル族の男がいたかは、さっぱり覚えとらんがのう～。			ああ、ヒューラン族のカワイコちゃんなら訪ねてきたぞ！魔法人形とララフェル族の男がいたかは、さっぱり覚えとらんがのう～。			贈り物には毒を込めて							
そのカワイコちゃんから、挨拶がわりにとワインをもらったんじゃが……それを飲んだらまぁ、ひどい幻覚を見てのう～……。			そのカワイコちゃんから、挨拶がわりにとワインをもらったんじゃが……それを飲んだらまぁ、ひどい幻覚を見てのう～……。			贈り物には毒を込めて							
子猫ちゃんたちに囲まれながらワインを飲んでおったはずが、気づけば、むさくるしい強面の男だらけ……。			子猫ちゃんたちに囲まれながらワインを飲んでおったはずが、気づけば、むさくるしい強面の男だらけ……。			贈り物には毒を込めて							
最初は、酔いがまわりすぎただけかと思ったが、あまりの迫力っぷりに怖くなって駆け出したのじゃ！			最初は、酔いがまわりすぎただけかと思ったが、あまりの迫力っぷりに怖くなって駆け出したのじゃ！			贈り物には毒を込めて							
浜辺ですっかり包囲されてワシがうろたえておると、どこからともなく聞こえてくる、女と男の笑い声！まさにこの世の終わりかと思ったぞ……。			浜辺ですっかり包囲されてワシがうろたえておると、どこからともなく聞こえてくる、女と男の笑い声！まさにこの世の終わりかと思ったぞ……。			贈り物には毒を込めて							
(-？？？？-)そんな様子のおかしいゲゲルジュの旦那を一喝して、正気を取り戻させたのが俺、というわけだ。			(-？？？？-)そんな様子のおかしいゲゲルジュの旦那を一喝して、正気を取り戻させたのが俺、というわけだ。			贈り物には毒を込めて							
状況からして、ワインに一服盛られたのは間違いない。ま、ボトル1本飲み干したあとのことだから、今となっては調べようもないがな。			状況からして、ワインに一服盛られたのは間違いない。ま、ボトル1本飲み干したあとのことだから、今となっては調べようもないがな。			贈り物には毒を込めて							
カワイコちゃんからの差し入れだったからな、ついつい油断してしまったのう～！			カワイコちゃんからの差し入れだったからな、ついつい油断してしまったのう～！			贈り物には毒を込めて							
レインキャッチャー樹林のほうで、魔法人形がうろついてたって目撃情報が入っている。探してる連中のものかはわからないがな。			レインキャッチャー樹林のほうで、魔法人形がうろついてたって目撃情報が入っている。探してる連中のものかはわからないがな。			贈り物には毒を込めて							
どうする、お前たちで調べに行ってみるか？頼めるなら、こっちとしても助かるが。			どうする、お前たちで調べに行ってみるか？頼めるなら、こっちとしても助かるが。			贈り物には毒を込めて							
情報をもらえて助かったわ。わかったことがあれば、あとで伝えにくるわね。			情報をもらえて助かったわ。わかったことがあれば、あとで伝えにくるわね。			贈り物には毒を込めて							
ああ、よろしく頼むぞ。			ああ、よろしく頼むぞ。			贈り物には毒を込めて							
それじゃあ、出発する前に、さっきの場所で、軽く打ち合わせをしましょう。			それじゃあ、出発する前に、さっきの場所で、軽く打ち合わせをしましょう。			贈り物には毒を込めて							
状況からして、エルレットたちの仕業で間違いなさそうね。キャンプ・ブロンズレイクでは幻覚で笑わせていたけど、ここでは怖がらせていたと……。			状況からして、エルレットたちの仕業で間違いなさそうね。キャンプ・ブロンズレイクでは幻覚で笑わせていたけど、ここでは怖がらせていたと……。			贈り物には毒を込めて							
同じ幻覚毒なのかと思ったけど、ワインに盛られた毒は、温泉で使われたものとは違うのかも。			同じ幻覚毒なのかと思ったけど、ワインに盛られた毒は、温泉で使われたものとは違うのかも。			贈り物には毒を込めて							
だとしたら、エルレットが祭器の力で扱える毒の種類は、どんどん増えていってる、ということになるわ。今後はより慎重に彼女たちを追わないとね。			だとしたら、エルレットが祭器の力で扱える毒の種類は、どんどん増えていってる、ということになるわ。今後はより慎重に彼女たちを追わないとね。			贈り物には毒を込めて							
ひとまずは「レインキャッチャー樹林」という場所で、魔法人形を探してみましょう。			ひとまずは「レインキャッチャー樹林」という場所で、魔法人形を探してみましょう。			贈り物には毒を込めて							
きっと襲ってくるだろうから、とっちめてやれば、何か手がかりが得られるかもしれないわ。			きっと襲ってくるだろうから、とっちめてやれば、何か手がかりが得られるかもしれないわ。			贈り物には毒を込めて							
見つけた人形を片付けてみたものの、結局ここで何をしていたのか、わからずじまいだったわ。アナタも、周辺を調べてみてもらえる？			見つけた人形を片付けてみたものの、結局ここで何をしていたのか、わからずじまいだったわ。アナタも、周辺を調べてみてもらえる？			贈り物には毒を込めて							
戦闘音を聞きつけたのか、さらに魔法人形が現れた！			戦闘音を聞きつけたのか、さらに魔法人形が現れた！			贈り物には毒を込めて							
このあたりにいる人形は、ひととおり倒せたみたい。ただ、何をしていたのか手がかりが掴めなくて……アナタのほうはどうだった？			このあたりにいる人形は、ひととおり倒せたみたい。ただ、何をしていたのか手がかりが掴めなくて……アナタのほうはどうだった？			贈り物には毒を込めて							
これは、記録……？バイルブランド島の川について、調査をしていたみたいね。			これは、記録……？バイルブランド島の川について、調査をしていたみたいね。			贈り物には毒を込めて							
たしかに、ワタシが見つけた人形も水辺をウロウロしていたわ。キャンプ・ブロンズレイクでは温泉に毒を付与していたから、今度は川に……？			たしかに、ワタシが見つけた人形も水辺をウロウロしていたわ。キャンプ・ブロンズレイクでは温泉に毒を付与していたから、今度は川に……？			贈り物には毒を込めて							
いけない、下がって！			いけない、下がって！			贈り物には毒を込めて							
お姉さん、耐えるね～！そこに隠してた魔法人形には、かなり強い麻痺毒を仕込んだのに。			お姉さん、耐えるね～！そこに隠してた魔法人形には、かなり強い麻痺毒を仕込んだのに。			贈り物には毒を込めて							
お姉さんの集落、周辺が毒まみれでしたからね。彼女も僕と同じで、耐性があるのかもしれないですよ。			お姉さんの集落、周辺が毒まみれでしたからね。彼女も僕と同じで、耐性があるのかもしれないですよ。			贈り物には毒を込めて							
まあ、それはともかく！お姉さんたち、もう祭器のことは諦めてくれないかなぁ？			まあ、それはともかく！お姉さんたち、もう祭器のことは諦めてくれないかなぁ？			贈り物には毒を込めて							
私としてもね、こんな風に怪我させたいわけじゃないの！ただ「イタズラ」を楽しみたいだけなのに、あんたたちが邪魔するのがいけないんだから。			私としてもね、こんな風に怪我させたいわけじゃないの！ただ「イタズラ」を楽しみたいだけなのに、あんたたちが邪魔するのがいけないんだから。			贈り物には毒を込めて							
せっかく僕が作った魔法人形も、もう何体潰されたか……。			せっかく僕が作った魔法人形も、もう何体潰されたか……。			贈り物には毒を込めて							
いいかげんにして、祭器を返しなさい。それは、アナタのような子が扱うべき物じゃないわ。			いいかげんにして、祭器を返しなさい。それは、アナタのような子が扱うべき物じゃないわ。			贈り物には毒を込めて							
怖い怖い、そうやってす～ぐ怒る！別に私、誰かを殺したりとかしたわけじゃないし、ただ楽しく遊んでるだけなのに。			怖い怖い、そうやってす～ぐ怒る！別に私、誰かを殺したりとかしたわけじゃないし、ただ楽しく遊んでるだけなのに。			贈り物には毒を込めて							
そうやって、「イタズラ」が趣味の私をみんなして責めるけど、ウチの首領は、私の個性として認めてくれたもん！自分も周囲から理解されなかったって、共感までしてくれたし！			そうやって、「イタズラ」が趣味の私をみんなして責めるけど、ウチの首領は、私の個性として認めてくれたもん！自分も周囲から理解されなかったって、共感までしてくれたし！			贈り物には毒を込めて							
だからね、周りに何と言われようと知ったこっちゃないわ！私の自由を、楽しい趣味を阻んでくるやつは、徹底的にオシオキしてやるんだから！			だからね、周りに何と言われようと知ったこっちゃないわ！私の自由を、楽しい趣味を阻んでくるやつは、徹底的にオシオキしてやるんだから！			贈り物には毒を込めて							
近々とびっきりの「イタズラ」を仕掛けるつもりだから、せいぜい楽しみに待っててね～！			近々とびっきりの「イタズラ」を仕掛けるつもりだから、せいぜい楽しみに待っててね～！			贈り物には毒を込めて							
ごめんなさい、もう大丈夫よ。			ごめんなさい、もう大丈夫よ。			贈り物には毒を込めて							
まさか、人形が草むらに隠れてたなんて……気づくのが遅れたけど、アナタが無事でよかった！			まさか、人形が草むらに隠れてたなんて……気づくのが遅れたけど、アナタが無事でよかった！			贈り物には毒を込めて							
それにしても、あの煙幕の酷いにおいは勘弁してほしいわ。これで3度目だけど、いいかげん鼻がおかしくなりそう。			それにしても、あの煙幕の酷いにおいは勘弁してほしいわ。これで3度目だけど、いいかげん鼻がおかしくなりそう。			贈り物には毒を込めて							
とりあえず、これ以上ここでできることはなさそうね。情報をゲゲルジュたちに共有するためにも、コスタ・デル・ソルまで戻りましょう。			とりあえず、これ以上ここでできることはなさそうね。情報をゲゲルジュたちに共有するためにも、コスタ・デル・ソルまで戻りましょう。			贈り物には毒を込めて							
それじゃあForename、ゲゲルジュのところへ行きましょうか。			それじゃあForename、ゲゲルジュのところへ行きましょうか。			贈り物には毒を込めて							
なんじゃ、もう戻ってくるとは早いのう～。			なんじゃ、もう戻ってくるとは早いのう～。			贈り物には毒を込めて							
Surname、レインキャッチャー樹林の状況はどうだった？			Surname、レインキャッチャー樹林の状況はどうだった？			贈り物には毒を込めて							
魔法人形で河川を調べていた……？			魔法人形で河川を調べていた……？			贈り物には毒を込めて							
彼女たちは、キャンプ・ブロンズレイクの温泉でも、毒を使った騒動を起こしている前例がある……今度は川に何かするつもりなのでしょうね。			彼女たちは、キャンプ・ブロンズレイクの温泉でも、毒を使った騒動を起こしている前例がある……今度は川に何かするつもりなのでしょうね。			贈り物には毒を込めて							
なるほど、そこが繋がっていたのか。キャンプ・ブロンズレイクでの一件は聞いていたが、ゲゲルジュの旦那に毒を盛ったヤツが、その犯人だったとはな。			なるほど、そこが繋がっていたのか。キャンプ・ブロンズレイクでの一件は聞いていたが、ゲゲルジュの旦那に毒を盛ったヤツが、その犯人だったとはな。			贈り物には毒を込めて							
やれやれ……どの川でやらかすつもりか読めないのは厄介だな。			やれやれ……どの川でやらかすつもりか読めないのは厄介だな。			贈り物には毒を込めて							
またあんな幻覚を見せられては、たまったものではない！ここは、黒渦団に一報入れておくかのう～。			またあんな幻覚を見せられては、たまったものではない！ここは、黒渦団に一報入れておくかのう～。			贈り物には毒を込めて							
ワタシ、彼女から……エルレットから、取り戻さなくてはならないものがあるの。			ワタシ、彼女から……エルレットから、取り戻さなくてはならないものがあるの。			贈り物には毒を込めて							
だから、もしこの東ラノシアで彼女たちの動きがあったら、連絡をもらえないかしら？			だから、もしこの東ラノシアで彼女たちの動きがあったら、連絡をもらえないかしら？			贈り物には毒を込めて							
ほう、訳アリってことか。			ほう、訳アリってことか。			贈り物には毒を込めて							
ぬほほほほ、カワイコちゃんのお願いなら、断る理由もないのう～！何かわかれば、使いの者を向かわせよう！			ぬほほほほ、カワイコちゃんのお願いなら、断る理由もないのう～！何かわかれば、使いの者を向かわせよう！			贈り物には毒を込めて							
カ、カワイコちゃん……。ええと、その……ありがとう、助かるわ。			カ、カワイコちゃん……。ええと、その……ありがとう、助かるわ。			贈り物には毒を込めて							
今度は荒事になってでも、エルレットたちを止めないと。いったんリムサ・ロミンサに戻って、準備を整えましょう。			今度は荒事になってでも、エルレットたちを止めないと。いったんリムサ・ロミンサに戻って、準備を整えましょう。			贈り物には毒を込めて							
Forenameのおかげで、情報提供のお願いも聞いてもらえて助かったわ。			Forenameのおかげで、情報提供のお願いも聞いてもらえて助かったわ。			贈り物には毒を込めて							
ただ、エルレットたちを取り押さえる好機だったのに、ワタシが油断したせいで……本当にごめんなさい。			ただ、エルレットたちを取り押さえる好機だったのに、ワタシが油断したせいで……本当にごめんなさい。			贈り物には毒を込めて							
でも、次はアナタの足を引っ張らないようにしてみせるわ。これ以上、祭器の奪還が遅れると、彼女の「イタズラ」でどんな被害が出るかわからないもの……。			でも、次はアナタの足を引っ張らないようにしてみせるわ。これ以上、祭器の奪還が遅れると、彼女の「イタズラ」でどんな被害が出るかわからないもの……。			贈り物には毒を込めて							
お互い腕を磨いて、しっかり準備を進めながら、ゲゲルジュからの連絡を待ちましょう。			お互い腕を磨いて、しっかり準備を進めながら、ゲゲルジュからの連絡を待ちましょう。			贈り物には毒を込めて							
八分儀広場南のローシュカナは、連絡を待っているようだ。			八分儀広場南のローシュカナは、連絡を待っているようだ。			毒と癒やしの頂上決戦							
ローシュカナたちと話した。ゲゲルジュの従者によると、エルレットたちがブレイフロクスの野営地に現れたという。東ラノシアのレインキャッチャー樹林で「ローシュカナ」と話そう。			ローシュカナたちと話した。ゲゲルジュの従者によると、エルレットたちがブレイフロクスの野営地に現れたという。東ラノシアのレインキャッチャー樹林で「ローシュカナ」と話そう。			毒と癒やしの頂上決戦							
ローシュカナたちと話した。ブレイフロクスによると、エルレットたちは「泥濘の水源地」へと向かっているようだ。レインキャッチャー樹林で「ローシュカナ」と再度話そう。			ローシュカナたちと話した。ブレイフロクスによると、エルレットたちは「泥濘の水源地」へと向かっているようだ。レインキャッチャー樹林で「ローシュカナ」と再度話そう。			毒と癒やしの頂上決戦							
ローシュカナと共闘し、エルレットたちを追い詰めることに成功した。彼女たちが逃亡する前に、「サソリの祭器」の奪還を急ごう。			ローシュカナと共闘し、エルレットたちを追い詰めることに成功した。彼女たちが逃亡する前に、「サソリの祭器」の奪還を急ごう。			毒と癒やしの頂上決戦							
ローシュカナとともに、エルレットたちの企みを食い止めた。レインキャッチャー樹林で「ローシュカナ」とさらに話そう。			ローシュカナとともに、エルレットたちの企みを食い止めた。レインキャッチャー樹林で「ローシュカナ」とさらに話そう。			毒と癒やしの頂上決戦							
エルレットたちを打ち倒し、祭器の奪還に成功した。再び野営地に平穏が訪れたことを、ブレイフロクスから感謝された。ローシュカナは故郷へ戻る前に、協力してくれた駆け出し冒険者たちに挨拶をしたいという。西ラノシアのエールポートで「ウィスルム」と話そう。			エルレットたちを打ち倒し、祭器の奪還に成功した。再び野営地に平穏が訪れたことを、ブレイフロクスから感謝された。ローシュカナは故郷へ戻る前に、協力してくれた駆け出し冒険者たちに挨拶をしたいという。西ラノシアのエールポートで「ウィスルム」と話そう。			毒と癒やしの頂上決戦							
ウィスルムたちと話した。再会の約束を交わし、ローシュカナは別れを惜しみながらもトライヨラへと向かった。トライヨラのシャバーブチェで「ニーピネ」と話そう。			ウィスルムたちと話した。再会の約束を交わし、ローシュカナは別れを惜しみながらもトライヨラへと向かった。トライヨラのシャバーブチェで「ニーピネ」と話そう。			毒と癒やしの頂上決戦							
ニーピネたちと話した。ローシュカナは、祭器の力の活用法や毒との付き合い方について新しい知見を得られたと、旅を振り返る。取り戻した祭器とともにそれらを故郷へと持ち帰り、今後の部族のありかたを検討したいと語るのだった。			ニーピネたちと話した。ローシュカナは、祭器の力の活用法や毒との付き合い方について新しい知見を得られたと、旅を振り返る。取り戻した祭器とともにそれらを故郷へと持ち帰り、今後の部族のありかたを検討したいと語るのだった。			毒と癒やしの頂上決戦							
レインキャッチャー樹林のローシュカナと話す			レインキャッチャー樹林のローシュカナと話す			毒と癒やしの頂上決戦							
ローシュカナと再度話す			ローシュカナと再度話す			毒と癒やしの頂上決戦							
ローシュカナとさらに話す			ローシュカナとさらに話す			毒と癒やしの頂上決戦							
エールポートのウィスルムと話す			エールポートのウィスルムと話す			毒と癒やしの頂上決戦							
トライヨラのニーピネと話す			トライヨラのニーピネと話す			毒と癒やしの頂上決戦							
あっ、Forename。今のところ、まだゲゲルジュたちから連絡はないわ。			あっ、Forename。今のところ、まだゲゲルジュたちから連絡はないわ。			毒と癒やしの頂上決戦							
身の回りの準備は終わったから、アナタさえよければ、一度コスタ・デル・ソルに……。			身の回りの準備は終わったから、アナタさえよければ、一度コスタ・デル・ソルに……。			毒と癒やしの頂上決戦							
(-？？？？-)Forename様、ローシュカナ様。			(-？？？？-)Forename様、ローシュカナ様。			毒と癒やしの頂上決戦							
わたくし、ゲゲルジュ様の使いの者でございます。例の者たちに動きがありましたので、ご連絡にまいりました。			わたくし、ゲゲルジュ様の使いの者でございます。例の者たちに動きがありましたので、ご連絡にまいりました。			毒と癒やしの頂上決戦							
危なかった、入れ違いになるところだったわ……。焦りは禁物ね。			危なかった、入れ違いになるところだったわ……。焦りは禁物ね。			毒と癒やしの頂上決戦							
ええと、連絡ありがとう。さっそく話を聞かせてもらってもいいかしら？			ええと、連絡ありがとう。さっそく話を聞かせてもらってもいいかしら？			毒と癒やしの頂上決戦							
さきほど、ヴェイスケート様のもとへ、ブレイフロクス様からご連絡があったのですが……			さきほど、ヴェイスケート様のもとへ、ブレイフロクス様からご連絡があったのですが……			毒と癒やしの頂上決戦							
現在、ブレイフロクス様の野営地に、侵入者が立ち入っているとのことです。			現在、ブレイフロクス様の野営地に、侵入者が立ち入っているとのことです。			毒と癒やしの頂上決戦							
どうやら魔法人形を数体つれていたようで、その特徴からして、エルレットらで間違いないかと。			どうやら魔法人形を数体つれていたようで、その特徴からして、エルレットらで間違いないかと。			毒と癒やしの頂上決戦							
それなら、さっそく野営地へ向かったほうがよさそうね。どこにあるのか教えてもらえる？			それなら、さっそく野営地へ向かったほうがよさそうね。どこにあるのか教えてもらえる？			毒と癒やしの頂上決戦							
レインキャッチャー樹林の北西にございます。野営地前にはブレイフロクス様がおられますので、最新の情報は直接お尋ねいただければと思います。			レインキャッチャー樹林の北西にございます。野営地前にはブレイフロクス様がおられますので、最新の情報は直接お尋ねいただければと思います。			毒と癒やしの頂上決戦							
その「ブレイフロクス」という人からも話を聞いておきたいし、ひとまずレインキャッチャー樹林の野営地前で落ち合いましょう。			その「ブレイフロクス」という人からも話を聞いておきたいし、ひとまずレインキャッチャー樹林の野営地前で落ち合いましょう。			毒と癒やしの頂上決戦							
シュコォ……シュコォ……よく来た　さすがは　ゴブの盟友～！			シュコォ……シュコォ……よく来た　さすがは　ゴブの盟友～！			毒と癒やしの頂上決戦							
彼女が「ブレイフロクス」ね。トライヨラで見かけたモブリン族と似ているって言ったら、ゴブリン族だって訂正されちゃったわ。			彼女が「ブレイフロクス」ね。トライヨラで見かけたモブリン族と似ているって言ったら、ゴブリン族だって訂正されちゃったわ。			毒と癒やしの頂上決戦							
ゴブたち　野営地　侵入された～！とてとて　いっぱい　人形連れてアイツら　水源　探してる～！			ゴブたち　野営地　侵入された～！とてとて　いっぱい　人形連れてアイツら　水源　探してる～！			毒と癒やしの頂上決戦							
エルレットたちが、水源を探している……？島の河川について調べていたのは、このためだったのね。			エルレットたちが、水源を探している……？島の河川について調べていたのは、このためだったのね。			毒と癒やしの頂上決戦							
水源地に毒を流せば、川を通じて、その水を飲む人も動物も、それに畑だって汚染される。大混乱どころか、大惨事が起きてしまうわ！			水源地に毒を流せば、川を通じて、その水を飲む人も動物も、それに畑だって汚染される。大混乱どころか、大惨事が起きてしまうわ！			毒と癒やしの頂上決戦							
シュコォ……シュコォ……水源汚染　許せん悪事　大迷惑～！			シュコォ……シュコォ……水源汚染　許せん悪事　大迷惑～！			毒と癒やしの頂上決戦							
Forename、今度こそ、彼女たちと決着をつけないといけないわ！			Forename、今度こそ、彼女たちと決着をつけないといけないわ！			毒と癒やしの頂上決戦							
荒事になれば、あちらも祭器の力を使ってくるはず。アナタの回復魔法とエスナ、頼りにしてるから、準備ができたら声をかけて！			荒事になれば、あちらも祭器の力を使ってくるはず。アナタの回復魔法とエスナ、頼りにしてるから、準備ができたら声をかけて！			毒と癒やしの頂上決戦							
シュコォ……シュコォ……蹴散らせ　吹き飛べ　悪いや～つ！			シュコォ……シュコォ……蹴散らせ　吹き飛べ　悪いや～つ！			毒と癒やしの頂上決戦							
準備ができたのね？それじゃあ、行きましょう……！			準備ができたのね？それじゃあ、行きましょう……！			毒と癒やしの頂上決戦							
見つけたわ！			見つけたわ！			毒と癒やしの頂上決戦							
あっは、来ると思って戦う準備しておいてよかった～！いらっしゃい、ほんと諦めが悪いんだから。			あっは、来ると思って戦う準備しておいてよかった～！いらっしゃい、ほんと諦めが悪いんだから。			毒と癒やしの頂上決戦							
アナタ……今度は、島の水源を毒で汚染するつもりね？			アナタ……今度は、島の水源を毒で汚染するつもりね？			毒と癒やしの頂上決戦							
うん、そうよ！じ～っくり、た～っぷりと時間をかけて鍛錬して、使えるようになった毒、ぜ～んぶばらまいてやるわ！			うん、そうよ！じ～っくり、た～っぷりと時間をかけて鍛錬して、使えるようになった毒、ぜ～んぶばらまいてやるわ！			毒と癒やしの頂上決戦							
今回の毒は、揮発しないように工夫したからね、触れただけじゃ効果はでないけど、口にしたら最後！どんな毒耐性も貫通しちゃう、超、超、強力なやつなんだから！			今回の毒は、揮発しないように工夫したからね、触れただけじゃ効果はでないけど、口にしたら最後！どんな毒耐性も貫通しちゃう、超、超、強力なやつなんだから！			毒と癒やしの頂上決戦							
実験につきあったら、酷い目に遭いましたよ。そのぶん、結果を見るのはとても楽しみですけどね。			実験につきあったら、酷い目に遭いましたよ。そのぶん、結果を見るのはとても楽しみですけどね。			毒と癒やしの頂上決戦							
水源に毒を仕込めば、川を通じて街や集落に広がるでしょ？どれだけ多くの人に影響が出るのか……			水源に毒を仕込めば、川を通じて街や集落に広がるでしょ？どれだけ多くの人に影響が出るのか……			毒と癒やしの頂上決戦							
最高の「イタズラ」だよね！くううう～、楽しみすぎるううううう！			最高の「イタズラ」だよね！くううう～、楽しみすぎるううううう！			毒と癒やしの頂上決戦							
……少量の毒なら、温泉のときのように無害化していくけど、時間をかけて付与され続けたら、まずいわ。			……少量の毒なら、温泉のときのように無害化していくけど、時間をかけて付与され続けたら、まずいわ。			毒と癒やしの頂上決戦							
何と言う？			何と言う？			毒と癒やしの頂上決戦							
これ以上、好き勝手はさせない！			これ以上、好き勝手はさせない！			毒と癒やしの頂上決戦							
楽しいのはお前たちだけだ			楽しいのはお前たちだけだ			毒と癒やしの頂上決戦							
…………			…………			毒と癒やしの頂上決戦							
この祭器で使える毒、獲物を効率的に狩るために最適化していったものなんだって？そんな強いサソリに倣って、私もこれで狩っちゃおうかなぁ～！			この祭器で使える毒、獲物を効率的に狩るために最適化していったものなんだって？そんな強いサソリに倣って、私もこれで狩っちゃおうかなぁ～！			毒と癒やしの頂上決戦							
エルレットの「イタズラ」を見るのは楽しいけど、自分が引っかかるのは勘弁なので、さがっておきますよ。			エルレットの「イタズラ」を見るのは楽しいけど、自分が引っかかるのは勘弁なので、さがっておきますよ。			毒と癒やしの頂上決戦							
いっぱい祭器を使ってきたおかげで、自分のエーテルに毒を付与することもできるようになったの！すごいでしょ～？			いっぱい祭器を使ってきたおかげで、自分のエーテルに毒を付与することもできるようになったの！すごいでしょ～？			毒と癒やしの頂上決戦							
そういうわけだからぁ……			そういうわけだからぁ……			毒と癒やしの頂上決戦							
素敵な「イタズラ」で、あんたたちを狩ってやるわ！			素敵な「イタズラ」で、あんたたちを狩ってやるわ！			毒と癒やしの頂上決戦							
エルレット、とりあえず逃げましょう！こっちはもう手持ちがないから、煙幕は頼みますよ！			エルレット、とりあえず逃げましょう！こっちはもう手持ちがないから、煙幕は頼みますよ！			毒と癒やしの頂上決戦							
も～～っ！わかってるってば！			も～～っ！わかってるってば！			毒と癒やしの頂上決戦							
あっ、ちょっ！待って、それさっき拾ったゴブリン製の……！			あっ、ちょっ！待って、それさっき拾ったゴブリン製の……！			毒と癒やしの頂上決戦							
あ～～れ～～～！あんたたち、覚えてなさいよ～～～～～～！			あ～～れ～～～！あんたたち、覚えてなさいよ～～～～～～！			毒と癒やしの頂上決戦							
あの子、ずいぶんと毒をまき散らしていたから、これを使って急いで無毒化するわ。			あの子、ずいぶんと毒をまき散らしていたから、これを使って急いで無毒化するわ。			毒と癒やしの頂上決戦							
Surname、ここにいたか。爆発音が聞こえたが、無事みたいだな。			Surname、ここにいたか。爆発音が聞こえたが、無事みたいだな。			毒と癒やしの頂上決戦							
エルレットが煙幕と間違えて、拾った爆弾を使ってね。どこかへ吹っ飛んでいっちゃったわ。			エルレットが煙幕と間違えて、拾った爆弾を使ってね。どこかへ吹っ飛んでいっちゃったわ。			毒と癒やしの頂上決戦							
シュコォ……シュコォ……それそれ　きっと　ゴブの爆弾～ぬすっと　天罰　大爆発～！			シュコォ……シュコォ……それそれ　きっと　ゴブの爆弾～ぬすっと　天罰　大爆発～！			毒と癒やしの頂上決戦							
こっちは周辺をまわって、巡回していた魔法人形は始末してある。			こっちは周辺をまわって、巡回していた魔法人形は始末してある。			毒と癒やしの頂上決戦							
……で？大事なモノは、取り返せたのか？			……で？大事なモノは、取り返せたのか？			毒と癒やしの頂上決戦							
ええ！Forenameのおかげで！			ええ！Forenameのおかげで！			毒と癒やしの頂上決戦							
となると、吹っ飛んだ連中が生きていたとしても、大きな脅威にはならないだろう。あとはイエロージャケットでも、十分対処できるはずだ。			となると、吹っ飛んだ連中が生きていたとしても、大きな脅威にはならないだろう。あとはイエロージャケットでも、十分対処できるはずだ。			毒と癒やしの頂上決戦							
そのあたりの面倒な報告やら後始末やらは、こっちでやっとくから安心してくれ。連中の相手をしてくれた、礼も兼ねてな。			そのあたりの面倒な報告やら後始末やらは、こっちでやっとくから安心してくれ。連中の相手をしてくれた、礼も兼ねてな。			毒と癒やしの頂上決戦							
シュコォ……シュコォ……悪者退治　感謝ゴブ～！			シュコォ……シュコォ……悪者退治　感謝ゴブ～！			毒と癒やしの頂上決戦							
Forename、おつかれさま。おかげさまで、無事に祭器を取り戻せたわ。			Forename、おつかれさま。おかげさまで、無事に祭器を取り戻せたわ。			毒と癒やしの頂上決戦							
ブレイフロクスも、本当にありがとう。アナタの情報があったおかげよ。			ブレイフロクスも、本当にありがとう。アナタの情報があったおかげよ。			毒と癒やしの頂上決戦							
シュコォ……シュコォ……困ったときは　お互いさまゴブ～！			シュコォ……シュコォ……困ったときは　お互いさまゴブ～！			毒と癒やしの頂上決戦							
ふふ、そう言ってもらえると嬉しいわ。			ふふ、そう言ってもらえると嬉しいわ。			毒と癒やしの頂上決戦							
さてと……さっそく祭器を持ち帰りたいところだけど、その前に、お世話になった人に挨拶をしておかないと。			さてと……さっそく祭器を持ち帰りたいところだけど、その前に、お世話になった人に挨拶をしておかないと。			毒と癒やしの頂上決戦							
