流星の間のグリダニアの駐在武官は、冒険者に話があるようだ。			流星の間のグリダニアの駐在武官は、冒険者に話があるようだ。			死に鎖された森							
スピンですって……！？それは、まさかエア・スラ・スピンですか……？彼が、ここで暮らしていた、と？			スピンですって……！？それは、まさかエア・スラ・スピンですか……？彼が、ここで暮らしていた、と？			獣の心、精霊の心							
エア・スラ……？そんな角尊風じゃなくて、エレンジアーって名乗ってましたよ。			エア・スラ……？そんな角尊風じゃなくて、エレンジアーって名乗ってましたよ。			獣の心、精霊の心							
あ、あの……その他に特徴は？年の頃や髪の色など……。			あ、あの……その他に特徴は？年の頃や髪の色など……。			獣の心、精霊の心							
20代半ばくらいの銀髪の男ですね。何年か前に、ふらりと現れた流れ者だったんですが、この村の娘と結ばれて、居着いたんです。			20代半ばくらいの銀髪の男ですね。何年か前に、ふらりと現れた流れ者だったんですが、この村の娘と結ばれて、居着いたんです。			獣の心、精霊の心							
とにかく、その嫁さんが、もともと病弱だったのが災いしたのか、鎖死病になって、特効薬も効かずに亡くなっちまって……。			とにかく、その嫁さんが、もともと病弱だったのが災いしたのか、鎖死病になって、特効薬も効かずに亡くなっちまって……。			獣の心、精霊の心							
とても重要なお話でした。これで事態は大きく前に進むことでしょう。お二人に感謝を。			とても重要なお話でした。これで事態は大きく前に進むことでしょう。お二人に感謝を。			獣の心、精霊の心							
そして、森と精霊の力を信じ、どうか皆さんを励ましてあげてください。			そして、森と精霊の力を信じ、どうか皆さんを励ましてあげてください。			獣の心、精霊の心							
エレンジアーと名乗っていた人物ですが、やはりエア・スラ・スピンで間違いないと思います。こんなにも森都の近くで暮らしていたなんて……。			エレンジアーと名乗っていた人物ですが、やはりエア・スラ・スピンで間違いないと思います。こんなにも森都の近くで暮らしていたなんて……。			獣の心、精霊の心							
でも、この村で掴んだ小さな幸せも、壊れてしまった。			でも、この村で掴んだ小さな幸せも、壊れてしまった。			獣の心、精霊の心							
角尊でなくなった彼は、かつてのようには癒しの術も使えなかったはず……。病に苦しむ妻を救えず、どれほど傷ついたことか。			角尊でなくなった彼は、かつてのようには癒しの術も使えなかったはず……。病に苦しむ妻を救えず、どれほど傷ついたことか。			獣の心、精霊の心							
そもそも特効薬が効かなかったことさえも、精霊が自分たちを見捨てたからだと考えたかもしれません。それほどまでに、深い絶望に囚われていたのでしょう……。			そもそも特効薬が効かなかったことさえも、精霊が自分たちを見捨てたからだと考えたかもしれません。それほどまでに、深い絶望に囚われていたのでしょう……。			獣の心、精霊の心							
なぜ、時が過ぎた今になって大精霊を憎むのか……その理由がはっきりしましたね。			なぜ、時が過ぎた今になって大精霊を憎むのか……その理由がはっきりしましたね。			獣の心、精霊の心							
ともあれ、これで我らの友愛を示す儀式は終わりました。大精霊と対話するため、「長老の木」へ向かいましょう！			ともあれ、これで我らの友愛を示す儀式は終わりました。大精霊と対話するため、「長老の木」へ向かいましょう！			獣の心、精霊の心							
エア・スラ殿の境遇に同情すればこそ、グレイプニルを倒し、その悲しみを終わらせましょう！			エア・スラ殿の境遇に同情すればこそ、グレイプニルを倒し、その悲しみを終わらせましょう！			獣の心、精霊の心							
我々の、言葉なき祈りは届いているはず……。今度こそ、大精霊との対話を成功させてみせます！			我々の、言葉なき祈りは届いているはず……。今度こそ、大精霊との対話を成功させてみせます！			獣の心、精霊の心							
長老の木に棲まう、清らかなる大精霊よ。私は森を敬い、慈しみ、ともに歩まんとする者。不浄なる獣に乱されし御心を鎮め、我が声に耳を傾けたまえ……！			長老の木に棲まう、清らかなる大精霊よ。私は森を敬い、慈しみ、ともに歩まんとする者。不浄なる獣に乱されし御心を鎮め、我が声に耳を傾けたまえ……！			獣の心、精霊の心							
(-森の大精霊-)……感じる……			(-森の大精霊-)……感じる……			獣の心、精霊の心							
(-森の大精霊-)森を蝕む淀みは……浄化された…………新たな緑……穢れた森の傷、埋めゆくだろう……			(-森の大精霊-)森を蝕む淀みは……浄化された…………新たな緑……穢れた森の傷、埋めゆくだろう……			獣の心、精霊の心							
(-森の大精霊-)ヒトの子らよ……汝らの行い……友愛により……我は……我らは……平穏を得たり……			(-森の大精霊-)ヒトの子らよ……汝らの行い……友愛により……我は……我らは……平穏を得たり……			獣の心、精霊の心							
おお……カヌ・エ様を通じて、森の大精霊が、我々と直接対話なさるだなんて。			おお……カヌ・エ様を通じて、森の大精霊が、我々と直接対話なさるだなんて。			獣の心、精霊の心							
ヨリンの故事に倣った儀式が、功を奏したようですね！			ヨリンの故事に倣った儀式が、功を奏したようですね！			獣の心、精霊の心							
何と言う？			何と言う？			獣の心、精霊の心							
まだ問題は解決していない			まだ問題は解決していない			獣の心、精霊の心							
グレイプニルを討つために協力してほしい			グレイプニルを討つために協力してほしい			獣の心、精霊の心							
(-森の大精霊-)凶つ獣か……我は……我らは感じる……獣の絶望……我らを……我らの祝福を受けしヒトの……終わりを願う心を……			(-森の大精霊-)凶つ獣か……我は……我らは感じる……獣の絶望……我らを……我らの祝福を受けしヒトの……終わりを願う心を……			獣の心、精霊の心							
(-森の大精霊-)その強き毒気……すべて払うには……途方もなき力が必要……我が宿りし大樹……枝を折りて……力を絞り出してなお……成しえるかどうか……			(-森の大精霊-)その強き毒気……すべて払うには……途方もなき力が必要……我が宿りし大樹……枝を折りて……力を絞り出してなお……成しえるかどうか……			獣の心、精霊の心							
そんな、この期に及んで、何を迷われる……！カヌ・エ様は、あなたの求めに従い、外敵を排除するため、ここまで必死に頑張ってきたのですよ？			そんな、この期に及んで、何を迷われる……！カヌ・エ様は、あなたの求めに従い、外敵を排除するため、ここまで必死に頑張ってきたのですよ？			獣の心、精霊の心							
救いを求める民からも多大な期待を寄せられ、それでも投げ出すことなく、使命をまっとうされてきたのです。			救いを求める民からも多大な期待を寄せられ、それでも投げ出すことなく、使命をまっとうされてきたのです。			獣の心、精霊の心							
そのカヌ・エ様の声に、あなたが応えてくださらなかったら、いったい誰が彼女を救ってくれるのですか！？どうか、力をお貸しください！			そのカヌ・エ様の声に、あなたが応えてくださらなかったら、いったい誰が彼女を救ってくれるのですか！？どうか、力をお貸しください！			獣の心、精霊の心							
(-男性の声-)俺たちからもお願いします！			(-男性の声-)俺たちからもお願いします！			獣の心、精霊の心							
皆さん……！いったい、どうして……？			皆さん……！いったい、どうして……？			獣の心、精霊の心							
俺たちは、いつもカヌ・エ様たち角尊に頼りっぱなしで、陰で文句を言うばかりでした。			俺たちは、いつもカヌ・エ様たち角尊に頼りっぱなしで、陰で文句を言うばかりでした。			獣の心、精霊の心							
でも、カヌ・エ様が頑張る姿を見て、思い知らされたんです。精霊に「助けて！」って言う言葉すら、自分の口で言わず、それで本当に、森に生きる資格があるんだろうか、って。			でも、カヌ・エ様が頑張る姿を見て、思い知らされたんです。精霊に「助けて！」って言う言葉すら、自分の口で言わず、それで本当に、森に生きる資格があるんだろうか、って。			獣の心、精霊の心							
だからこうして、皆で身を護りながら、ここまでやってきたのです。私たちの言葉を、大精霊様にお伝えするために！			だからこうして、皆で身を護りながら、ここまでやってきたのです。私たちの言葉を、大精霊様にお伝えするために！			獣の心、精霊の心							
私たち森の民にできることなら、なんでもします！だからどうか、カヌ・エ様に力を貸してください！			私たち森の民にできることなら、なんでもします！だからどうか、カヌ・エ様に力を貸してください！			獣の心、精霊の心							
(-森の大精霊-)カヌ・エ……精霊とヒトを繋ぐ者……たしかに……この娘は……古の盟約を違えなかった……ヒトは森の民として……森を護り生きると……			(-森の大精霊-)カヌ・エ……精霊とヒトを繋ぐ者……たしかに……この娘は……古の盟約を違えなかった……ヒトは森の民として……森を護り生きると……			獣の心、精霊の心							
(-森の大精霊-)ならば我らもまた……森の民たるヒトを……護るため……誓いを果たすべきか……たとえ……己の枝を折るとしても……			(-森の大精霊-)ならば我らもまた……森の民たるヒトを……護るため……誓いを果たすべきか……たとえ……己の枝を折るとしても……			獣の心、精霊の心							
それでは、我々に御力を……？			それでは、我々に御力を……？			獣の心、精霊の心							
(-森の大精霊-)我が枝……汝らに授けん……森を巡りて……大樹という大樹に……我が枝を接ぐべし……我の……我らの力を……森の隅々に……巡らせるために……			(-森の大精霊-)我が枝……汝らに授けん……森を巡りて……大樹という大樹に……我が枝を接ぐべし……我の……我らの力を……森の隅々に……巡らせるために……			獣の心、精霊の心							
(-森の大精霊-)その後、我が枝によりて作られし、この杖を用いて……いまふたたび、結界を張るべし……さすれば……毒気払う浄化の力……森に満ちるであろう……			(-森の大精霊-)その後、我が枝によりて作られし、この杖を用いて……いまふたたび、結界を張るべし……さすれば……毒気払う浄化の力……森に満ちるであろう……			獣の心、精霊の心							
……私は、角尊の使命を重んじるあまり、人が精霊と直接対話する可能性に、ついぞ思い至っておりませんでした。			……私は、角尊の使命を重んじるあまり、人が精霊と直接対話する可能性に、ついぞ思い至っておりませんでした。			獣の心、精霊の心							
皆様が、声をあげ赤心を伝えてくださったからこそ、大精霊に想いが届き、新たな道が開かれたのです。心より感謝いたします。			皆様が、声をあげ赤心を伝えてくださったからこそ、大精霊に想いが届き、新たな道が開かれたのです。心より感謝いたします。			獣の心、精霊の心							
詳しいことを説明している時間がなく、申し訳ありませんが、「結界を張るべし」という大精霊の言葉に従い、皆様の力で、この枝を森の各所に届けてくれますか？			詳しいことを説明している時間がなく、申し訳ありませんが、「結界を張るべし」という大精霊の言葉に従い、皆様の力で、この枝を森の各所に届けてくれますか？			獣の心、精霊の心							
任せてください！皆で力を合わせて森を護りましょう！			任せてください！皆で力を合わせて森を護りましょう！			獣の心、精霊の心							
接ぎ木がうまくいった暁には、浄化術に臨むことになります。そして、おそらくグレイプニルとの決戦も避けられません。態勢を整えるため、私たちは一旦街に戻りましょう。			接ぎ木がうまくいった暁には、浄化術に臨むことになります。そして、おそらくグレイプニルとの決戦も避けられません。態勢を整えるため、私たちは一旦街に戻りましょう。			獣の心、精霊の心							
まさかこのようなことになるとは、思ってもみませんでした。ご本人はああ仰っていますが、人々を、精霊を動かしたのは、カヌ・エ様の想いがあってのことでしょう！			まさかこのようなことになるとは、思ってもみませんでした。ご本人はああ仰っていますが、人々を、精霊を動かしたのは、カヌ・エ様の想いがあってのことでしょう！			獣の心、精霊の心							
ところで、精霊に示された浄化術の手順について、カヌ・エ様には、なにやら、さらなるお考えがあるそうで、それが正しいかどうか、精霊評議会で確認中だそうです。			ところで、精霊に示された浄化術の手順について、カヌ・エ様には、なにやら、さらなるお考えがあるそうで、それが正しいかどうか、精霊評議会で確認中だそうです。			獣の心、精霊の心							
その間、我々は、皆さんの協力によって、各地の接ぎ木が無事に完了するのを待ちましょう。			その間、我々は、皆さんの協力によって、各地の接ぎ木が無事に完了するのを待ちましょう。			獣の心、精霊の心							
大精霊の力を借り、森全体に結界が張られ、毒気を浄化できるようになったら……グレイプニルと、再びまみえる時です！			大精霊の力を借り、森全体に結界が張られ、毒気を浄化できるようになったら……グレイプニルと、再びまみえる時です！			獣の心、精霊の心							
英雄殿は、決戦のご準備を！			英雄殿は、決戦のご準備を！			獣の心、精霊の心							
双蛇党：統合司令部の白蛇の守人は、冒険者を待っていたようだ。			双蛇党：統合司令部の白蛇の守人は、冒険者を待っていたようだ。			開かれた道の先へ							
白蛇の守人と話した。長老の木の枝の接ぎ木は、順調に進んでいるようだ。カヌ・エ・センナから、最後の1本は冒険者の手で行うよう頼まれた。革細工師ギルド付近の「カヌ・エ・センナ」と話そう。			白蛇の守人と話した。長老の木の枝の接ぎ木は、順調に進んでいるようだ。カヌ・エ・センナから、最後の1本は冒険者の手で行うよう頼まれた。革細工師ギルド付近の「カヌ・エ・センナ」と話そう。			開かれた道の先へ							
カヌ・エ・センナと話した。大樹に長老の木の枝を接ぎ木し、六合結界を展開する準備が完了した。中央森林のエバーシェイドの「カヌ・エ・センナ」と話そう。			カヌ・エ・センナと話した。大樹に長老の木の枝を接ぎ木し、六合結界を展開する準備が完了した。中央森林のエバーシェイドの「カヌ・エ・センナ」と話そう。			開かれた道の先へ							
カヌ・エ・センナと話した。六合結界を展開する儀式に移ろうとした矢先、グレイプニルが現れた。白蛇の守人と力を合わせてカヌ・エ・センナを護りながら、グレイプニルを倒そう。			カヌ・エ・センナと話した。六合結界を展開する儀式に移ろうとした矢先、グレイプニルが現れた。白蛇の守人と力を合わせてカヌ・エ・センナを護りながら、グレイプニルを倒そう。			開かれた道の先へ							
冒険者とカヌ・エ・センナは、六合結界の術式を展開し、グレイプニルの毒気を無効化、ついに討伐に成功した。「カヌ・エ・センナ」と話そう。			冒険者とカヌ・エ・センナは、六合結界の術式を展開し、グレイプニルの毒気を無効化、ついに討伐に成功した。「カヌ・エ・センナ」と話そう。			開かれた道の先へ							
カヌ・エ・センナと話した。六合結界を展開させたことで、毒気に苦しむ人々も助かるはずだ。各地の状況を確認するため、不語仙の座卓に戻ることになった。グリダニアの豊穣神祭壇の「物静かな道士」と話そう。			カヌ・エ・センナと話した。六合結界を展開させたことで、毒気に苦しむ人々も助かるはずだ。各地の状況を確認するため、不語仙の座卓に戻ることになった。グリダニアの豊穣神祭壇の「物静かな道士」と話そう。			開かれた道の先へ							
グレイプニルが討伐され、再び静穏な森が取り戻された。カヌ・エ・センナは、かつてエア・スラから教えられた言葉を胸に、幻術皇としてグリダニアを導いていく決意を新たにした。「白蛇の守人」と話そう。			グレイプニルが討伐され、再び静穏な森が取り戻された。カヌ・エ・センナは、かつてエア・スラから教えられた言葉を胸に、幻術皇としてグリダニアを導いていく決意を新たにした。「白蛇の守人」と話そう。			開かれた道の先へ							
白蛇の守人と話した。グレイプニルを討伐したことを、ラザハンの流星の間の「グリダニアの駐在武官」に報告しよう。			白蛇の守人と話した。グレイプニルを討伐したことを、ラザハンの流星の間の「グリダニアの駐在武官」に報告しよう。			開かれた道の先へ							
グリダニアの駐在武官に作戦の完了を報告した。黒衣森を襲う危機は回避された。森都グリダニアは、これからも発展を続けていくことだろう。精霊と人々を繋ぐ、幻術皇がいる限り……。			グリダニアの駐在武官に作戦の完了を報告した。黒衣森を襲う危機は回避された。森都グリダニアは、これからも発展を続けていくことだろう。精霊と人々を繋ぐ、幻術皇がいる限り……。			開かれた道の先へ							
革細工師ギルド付近のカヌ・エ・センナと話す			革細工師ギルド付近のカヌ・エ・センナと話す			開かれた道の先へ							
エバーシェイドのカヌ・エ・センナと話す			エバーシェイドのカヌ・エ・センナと話す			開かれた道の先へ							
カヌ・エ・センナと話す			カヌ・エ・センナと話す			開かれた道の先へ							
豊穣神祭壇の物静かな道士と話す			豊穣神祭壇の物静かな道士と話す			開かれた道の先へ							
白蛇の守人と話す			白蛇の守人と話す			開かれた道の先へ							
流星の間のグリダニアの駐在武官に報告する			流星の間のグリダニアの駐在武官に報告する			開かれた道の先へ							
これは英雄殿、ちょうどよかった。実は、カヌ・エ様からご相談があるとのことです。			これは英雄殿、ちょうどよかった。実は、カヌ・エ様からご相談があるとのことです。			開かれた道の先へ							
まもなくこちらにいらっしゃいますので、詳しくはカヌ・エ様から直接お聞きください。			まもなくこちらにいらっしゃいますので、詳しくはカヌ・エ様から直接お聞きください。			開かれた道の先へ							
黒衣森中の人々、そしてモーグリ族の協力によって、長老の木の枝を用いた接ぎ木は、ほとんどの地域で完了しているようです。			黒衣森中の人々、そしてモーグリ族の協力によって、長老の木の枝を用いた接ぎ木は、ほとんどの地域で完了しているようです。			開かれた道の先へ							
皆の呼びかけにより、死を恐れる人々も、私たちを信じて、希望を捨てずにいてくれているとのこと。本当に、感謝の言葉もありません。			皆の呼びかけにより、死を恐れる人々も、私たちを信じて、希望を捨てずにいてくれているとのこと。本当に、感謝の言葉もありません。			開かれた道の先へ							
このまま長老の木の力が森全体に及んでいけば、天と地を貫き、あらゆる危機から森を護る、「六合結界」の術式を展開することができるでしょう。			このまま長老の木の力が森全体に及んでいけば、天と地を貫き、あらゆる危機から森を護る、「六合結界」の術式を展開することができるでしょう。			開かれた道の先へ							
その、結界の展開のさせ方について、精霊があのとき語った言葉を、覚えているでしょうか？「毒気払う浄化の力が、森に満ちるであろう」と言ったのです。			その、結界の展開のさせ方について、精霊があのとき語った言葉を、覚えているでしょうか？「毒気払う浄化の力が、森に満ちるであろう」と言ったのです。			開かれた道の先へ							
かつて第七霊災の折、「六合結界」を展開させた際には、異物を排除する力を外向きに使い、災いの炎を防ぎました。あのときは、そう、「森を包む」ような結界でした。			かつて第七霊災の折、「六合結界」を展開させた際には、異物を排除する力を外向きに使い、災いの炎を防ぎました。あのときは、そう、「森を包む」ような結界でした。			開かれた道の先へ							
しかし今度は、「森に満ちる」ような結界を張れ……すなわち、力を内向きに使えと言っているのではないでしょうか。			しかし今度は、「森に満ちる」ような結界を張れ……すなわち、力を内向きに使えと言っているのではないでしょうか。			開かれた道の先へ							
さすれば異物を排除する力が、グレイプニルの毒気を抑え込み、正面から渡り合うことも、苦しむ人々を癒すことすらも可能だ……。			さすれば異物を排除する力が、グレイプニルの毒気を抑え込み、正面から渡り合うことも、苦しむ人々を癒すことすらも可能だ……。			開かれた道の先へ							
精霊は、そう伝えたかったのだと解釈いたしました。			精霊は、そう伝えたかったのだと解釈いたしました。			開かれた道の先へ							
幸い、この考えは精霊評議会の賛同も得られました。そのため、私は今回の結界の展開にあたり、森全体にエーテルを行き渡らせる儀式を行いたいと思います。			幸い、この考えは精霊評議会の賛同も得られました。そのため、私は今回の結界の展開にあたり、森全体にエーテルを行き渡らせる儀式を行いたいと思います。			開かれた道の先へ							
……そしてここに、その儀式の要となる、最後の枝があります。これは、このグリダニア市街の分になりますが……是非あなたの手で接ぎ木してほしいのです。			……そしてここに、その儀式の要となる、最後の枝があります。これは、このグリダニア市街の分になりますが……是非あなたの手で接ぎ木してほしいのです。			開かれた道の先へ							
森と、グリダニアの永久なる平和への願いを込めるにあたり、多くの命を護ってきた、あなた以上の適役はいません。どうか、その想いを、私たちにも分けていただけませんか？			森と、グリダニアの永久なる平和への願いを込めるにあたり、多くの命を護ってきた、あなた以上の適役はいません。どうか、その想いを、私たちにも分けていただけませんか？			開かれた道の先へ							
ありがとうございます。接ぎ木を行う場所は、すでに目星をつけております。「革細工師ギルド」付近の大樹に向かいましょう。			ありがとうございます。接ぎ木を行う場所は、すでに目星をつけております。「革細工師ギルド」付近の大樹に向かいましょう。			開かれた道の先へ							
この位置なら、あまねく街中に、大精霊の加護が行き渡りそうですね。			この位置なら、あまねく街中に、大精霊の加護が行き渡りそうですね。			開かれた道の先へ							
少し登ったところに、樹皮が剥げているところがあるようです。長老の木の枝を接ぎ木するのは、そこが良いでしょう。			少し登ったところに、樹皮が剥げているところがあるようです。長老の木の枝を接ぎ木するのは、そこが良いでしょう。			開かれた道の先へ							
大樹をよじのぼり……長老の木の枝を接ぎ木した！			大樹をよじのぼり……長老の木の枝を接ぎ木した！			開かれた道の先へ							
ありがとうございます。これで、下準備はすべて完了しました。			ありがとうございます。これで、下準備はすべて完了しました。			開かれた道の先へ							
それでは再び「長老の木」へ行き、大精霊とともに、六合結界を張る儀式に臨みましょう！			それでは再び「長老の木」へ行き、大精霊とともに、六合結界を張る儀式に臨みましょう！			開かれた道の先へ							
いよいよですね！毒気を浄化することさえできれば、グレイプニルなどに、後れはとりません……！			いよいよですね！毒気を浄化することさえできれば、グレイプニルなどに、後れはとりません……！			開かれた道の先へ							
もし、エア・スラが本当に偽神獣であり、大精霊を憎んでいるのであれば、必ずこの儀式に姿を現すはず……。			もし、エア・スラが本当に偽神獣であり、大精霊を憎んでいるのであれば、必ずこの儀式に姿を現すはず……。			開かれた道の先へ							
声が届かぬのならば、仕方ありません。……ここで、決着をつけましょう！			声が届かぬのならば、仕方ありません。……ここで、決着をつけましょう！			開かれた道の先へ							
森に棲まう皆が力を合わせたことで、長老の木の枝を、各地の大樹に接ぎ木することができました。			森に棲まう皆が力を合わせたことで、長老の木の枝を、各地の大樹に接ぎ木することができました。			開かれた道の先へ							
あとは私が、六合結界の術式を用いて、ここに集めた大精霊の力を黒衣森に行き渡らせるのみ……。さすれば森の自浄作用が増幅され、毒気も払えるはずです。			あとは私が、六合結界の術式を用いて、ここに集めた大精霊の力を黒衣森に行き渡らせるのみ……。さすれば森の自浄作用が増幅され、毒気も払えるはずです。			開かれた道の先へ							
しかし、六合結界の術式を展開するための儀式は、かなりの時間がかかります。その途中、もしグレイプニルが襲ってきたときは……頼みますね。			しかし、六合結界の術式を展開するための儀式は、かなりの時間がかかります。その途中、もしグレイプニルが襲ってきたときは……頼みますね。			開かれた道の先へ							
……やはり来たか！英雄殿、カヌ・エ様の護りを！			……やはり来たか！英雄殿、カヌ・エ様の護りを！			開かれた道の先へ							
この角が……森の精霊の祝福が、そんなにも呪わしいのですか？私の知ってるあの人は、特別な贈り物だと言っていたのに……。			この角が……森の精霊の祝福が、そんなにも呪わしいのですか？私の知ってるあの人は、特別な贈り物だと言っていたのに……。			開かれた道の先へ							
絶望の末に手にした偽りの角で、森を、人を、死の鎖で縛ろうとするならば……私があなたを、その宿命から解放しましょう！			絶望の末に手にした偽りの角で、森を、人を、死の鎖で縛ろうとするならば……私があなたを、その宿命から解放しましょう！			開かれた道の先へ							
六合結界の儀式が完了するまで、おふたりは、時間を稼いでください！			六合結界の儀式が完了するまで、おふたりは、時間を稼いでください！			開かれた道の先へ							
六合結界の浄化作用を、黒衣森全域に行き渡らせます！			六合結界の浄化作用を、黒衣森全域に行き渡らせます！			開かれた道の先へ							
森を蝕む凶つ獣は討たれ――ふたたび  森に静謐が訪れん――			森を蝕む凶つ獣は討たれ――ふたたび  森に静謐が訪れん――			開かれた道の先へ							
――祝福を授かりし者よ――森を護らんとするヒトの子らよ――			――祝福を授かりし者よ――森を護らんとするヒトの子らよ――			開かれた道の先へ							
――その働きに――感謝を――――――			――その働きに――感謝を――――――			開かれた道の先へ							
こちらこそ、感謝を……精霊の助けなくして、この危機を乗り越えることはできませんでした。			こちらこそ、感謝を……精霊の助けなくして、この危機を乗り越えることはできませんでした。			開かれた道の先へ							
願わくは、森を愛し、人を愛し、それがゆえに道を違え、獣へと転じてしまった者へ、許しと、この先の安らぎを、どうか……。			願わくは、森を愛し、人を愛し、それがゆえに道を違え、獣へと転じてしまった者へ、許しと、この先の安らぎを、どうか……。			開かれた道の先へ							
エア・スラ……。あの時、聞かせてくれた言葉……決して忘れません。私はあなたの分まで、角尊として、幻術皇として生きていきます。			エア・スラ……。あの時、聞かせてくれた言葉……決して忘れません。私はあなたの分まで、角尊として、幻術皇として生きていきます。			開かれた道の先へ							
この命が尽きるまで……。			この命が尽きるまで……。			開かれた道の先へ							
カヌ・エ様の、友への想いを慮ると、手放しで喜ぶわけにはまいりませんが……。			カヌ・エ様の、友への想いを慮ると、手放しで喜ぶわけにはまいりませんが……。			開かれた道の先へ							
それでも、グレイプニルが討たれたのは事実。皆さんには、ようやく良い報せを届けることができますね。			それでも、グレイプニルが討たれたのは事実。皆さんには、ようやく良い報せを届けることができますね。			開かれた道の先へ							
願わくは、死んでいったすべての魂に、安らぎが与えられんことを……。			願わくは、死んでいったすべての魂に、安らぎが与えられんことを……。			開かれた道の先へ							
……グレイプニルの討伐、お疲れさまでした。あなたの助力のおかげで、儀式は無事、完了いたしました。			……グレイプニルの討伐、お疲れさまでした。あなたの助力のおかげで、儀式は無事、完了いたしました。			開かれた道の先へ							
森を蝕む毒気はすべて払われ、その源たる偽神獣も討たれました。じきに、静謐が取り戻されるはずです。			森を蝕む毒気はすべて払われ、その源たる偽神獣も討たれました。じきに、静謐が取り戻されるはずです。			開かれた道の先へ							
さぁ、グリダニアに戻りましょう。各地域の状況を確認するため、あなたも一緒に、立ち会っていただけますか？			さぁ、グリダニアに戻りましょう。各地域の状況を確認するため、あなたも一緒に、立ち会っていただけますか？			開かれた道の先へ							
ありがとうございます。それでは、不語仙の座卓までお越しください。豊穣神祭壇の「物静かな道士」が案内してくれるでしょう。			ありがとうございます。それでは、不語仙の座卓までお越しください。豊穣神祭壇の「物静かな道士」が案内してくれるでしょう。			開かれた道の先へ							
おお、お待ちしておりました。すでにカヌ・エ様もお戻りになっている。「不語仙の座卓」へ向かわれるか？			おお、お待ちしておりました。すでにカヌ・エ様もお戻りになっている。「不語仙の座卓」へ向かわれるか？			開かれた道の先へ							
「不語仙の座卓」に移動しますか？			「不語仙の座卓」に移動しますか？			開かれた道の先へ							
大精霊の浄化によって、偽神獣の毒気に苦しんでいた人々が、次々と快復しているとの報せが入ってきました。			大精霊の浄化によって、偽神獣の毒気に苦しんでいた人々が、次々と快復しているとの報せが入ってきました。			開かれた道の先へ							
それもこれも、かつてないほどに強大な敵を相手に、己の身を挺して護ってくれたあなたのおかげです。			それもこれも、かつてないほどに強大な敵を相手に、己の身を挺して護ってくれたあなたのおかげです。			開かれた道の先へ							
改めて、偽神獣の討伐に協力してくださったこと、グリダニアの民を代表して、お礼申し上げます。			改めて、偽神獣の討伐に協力してくださったこと、グリダニアの民を代表して、お礼申し上げます。			開かれた道の先へ							
僭越ながら、どうか私からも感謝を伝えさせてください。すべての命を護り抜くという、忠義を超えた強い意志。英雄殿の戦いぶりを間近で見て、多くを学ばせていただきました。			僭越ながら、どうか私からも感謝を伝えさせてください。すべての命を護り抜くという、忠義を超えた強い意志。英雄殿の戦いぶりを間近で見て、多くを学ばせていただきました。			開かれた道の先へ							
……さて、一難が去ったところで、カヌ・エ様。			……さて、一難が去ったところで、カヌ・エ様。			開かれた道の先へ							
なんでしょう？			なんでしょう？			開かれた道の先へ							
六合結界の術式構築で、お疲れのはず……。少しの間だけでも、公務を休まれてはいかがでしょうか。			六合結界の術式構築で、お疲れのはず……。少しの間だけでも、公務を休まれてはいかがでしょうか。			開かれた道の先へ							
心配は無用です。休息が必要なときには、自分の口で伝えますから。			心配は無用です。休息が必要なときには、自分の口で伝えますから。			開かれた道の先へ							
しかし……！			しかし……！			開かれた道の先へ							
此度の危難を通じて、昔のことを思い出したのですが……。			此度の危難を通じて、昔のことを思い出したのですが……。			開かれた道の先へ							
幼さ故に、まだ角尊の使命を理解できずにいたころ。私は精霊より賜りしこの角を、己を縛る鎖のように感じていたことがありました。			幼さ故に、まだ角尊の使命を理解できずにいたころ。私は精霊より賜りしこの角を、己を縛る鎖のように感じていたことがありました。			開かれた道の先へ							
ですが、友の言葉ひとつで、それは祝福へと変わりました。気の持ちようで、世界の捉え方は変わると、教えられたのです。			ですが、友の言葉ひとつで、それは祝福へと変わりました。気の持ちようで、世界の捉え方は変わると、教えられたのです。			開かれた道の先へ							
幻術皇の責務についても同じこと。三重の幻術皇として私を支えてくれる妹や弟だけでなく、頼れる仲間が大勢いるのです。			幻術皇の責務についても同じこと。三重の幻術皇として私を支えてくれる妹や弟だけでなく、頼れる仲間が大勢いるのです。			開かれた道の先へ							
これからも私は、己の心を偽ることなく、森に生きる者すべてと対話していこうと思います。皆とともに進むべき道を決める、そんな幻術皇になりたいのです。			これからも私は、己の心を偽ることなく、森に生きる者すべてと対話していこうと思います。皆とともに進むべき道を決める、そんな幻術皇になりたいのです。			開かれた道の先へ							
何と言う？			何と言う？			開かれた道の先へ							
冒険者のように自由に生きたいとは思わない？			冒険者のように自由に生きたいとは思わない？			開かれた道の先へ							
仕事以外にやりたいことはないのか？			仕事以外にやりたいことはないのか？			開かれた道の先へ							
そうですね……憧れはあります。実は、公務で各地を飛び回っているのも好きなのです。雲海を旅したときも、本当に楽しかったのですよ？			そうですね……憧れはあります。実は、公務で各地を飛び回っているのも好きなのです。雲海を旅したときも、本当に楽しかったのですよ？			開かれた道の先へ							
いつか私が幻術皇を退くことになったら、あなたの旅に加えてくださいね。			いつか私が幻術皇を退くことになったら、あなたの旅に加えてくださいね。			開かれた道の先へ							
なにを一番とするかは人それぞれ。私には、この生き方が合っているのですよ。			なにを一番とするかは人それぞれ。私には、この生き方が合っているのですよ。			開かれた道の先へ							
