鍛冶師ギルドのブリサエルは、日々穏やかに過ごしているようだ。			鍛冶師ギルドのブリサエルは、日々穏やかに過ごしているようだ。			直情娘、来たる							
鉄鉱を自力で集めて作ってもいいですし、「西国際街商通り」のマーケットボードを見て、売りに出ていないか探してみるのもいいでしょう。			鉄鉱を自力で集めて作ってもいいですし、「西国際街商通り」のマーケットボードを見て、売りに出ていないか探してみるのもいいでしょう。			商売道具と鍛冶の腕							
それから、キミは腕をだいぶ上げられたのでより高度な仕上げに挑戦してみていただきたい。「マテリア」の装着です。			それから、キミは腕をだいぶ上げられたのでより高度な仕上げに挑戦してみていただきたい。「マテリア」の装着です。			商売道具と鍛冶の腕							
「マテリア」とは、使い込んだ装備品から、特殊な技術によって思念を抽出し、精製した結晶。これを別の装備品に装着すると、性能を強化できるのです。			「マテリア」とは、使い込んだ装備品から、特殊な技術によって思念を抽出し、精製した結晶。これを別の装備品に装着すると、性能を強化できるのです。			商売道具と鍛冶の腕							
もし「マテリア」の装着方法が分からないなら中央ザナラーンの「狼煙の丘」を訪ねてみてください。そこにいる職人たちが、教えてくれますよ。			もし「マテリア」の装着方法が分からないなら中央ザナラーンの「狼煙の丘」を訪ねてみてください。そこにいる職人たちが、教えてくれますよ。			商売道具と鍛冶の腕							
それでは、早速製作に取り掛かってください。「アイアン・クロスペインハンマー」のマテリア付き、よろしくお願いしますね。			それでは、早速製作に取り掛かってください。「アイアン・クロスペインハンマー」のマテリア付き、よろしくお願いしますね。			商売道具と鍛冶の腕							
「アイアン・クロスペインハンマー」のマテリア付き、1個完成したら、見せてくださいね。			「アイアン・クロスペインハンマー」のマテリア付き、1個完成したら、見せてくださいね。			商売道具と鍛冶の腕							
うむ、素晴らしい出来です！強度、精度ともに、まったく問題ありません。僕まで欲しくなってしまいましたよ。			うむ、素晴らしい出来です！強度、精度ともに、まったく問題ありません。僕まで欲しくなってしまいましたよ。			商売道具と鍛冶の腕							
この鎚頭の重みは、鉄製ならではですよね。手首への負担は青銅製よりも大きいですが、重い分だけしっかりと金属を叩くことができる。			この鎚頭の重みは、鉄製ならではですよね。手首への負担は青銅製よりも大きいですが、重い分だけしっかりと金属を叩くことができる。			商売道具と鍛冶の腕							
滑り止めとして柄に巻かれた「綿布」もいい。掌にどれだけ汗をかこうとも、決して滑りません。熱く灼けた金属を扱うときには、心憎い気づかいですよ。			滑り止めとして柄に巻かれた「綿布」もいい。掌にどれだけ汗をかこうとも、決して滑りません。熱く灼けた金属を扱うときには、心憎い気づかいですよ。			商売道具と鍛冶の腕							
僕たち鍛冶師は、自分たちの道具を自分たちで作れます。ですから、自作の道具にこだわる人も多い。実際、この僕もそうです。			僕たち鍛冶師は、自分たちの道具を自分たちで作れます。ですから、自作の道具にこだわる人も多い。実際、この僕もそうです。			商売道具と鍛冶の腕							
そんな僕が、この道具を使ってみたいと思ったんですからこれはすごいことですよ？			そんな僕が、この道具を使ってみたいと思ったんですからこれはすごいことですよ？			商売道具と鍛冶の腕							
つくづく、キミが入ってくれてよかった。キミのおかげで、最近は胃の調子もいいんですよ。			つくづく、キミが入ってくれてよかった。キミのおかげで、最近は胃の調子もいいんですよ。			商売道具と鍛冶の腕							
キミには、我がギルドの看板職人になってほしい。ここで甘んじることなく、努力を重ねてくださいよ。			キミには、我がギルドの看板職人になってほしい。ここで甘んじることなく、努力を重ねてくださいよ。			商売道具と鍛冶の腕							
もっともこのハンマーを見るかぎり、あまり心配は要らないようですけどね。			もっともこのハンマーを見るかぎり、あまり心配は要らないようですけどね。			商売道具と鍛冶の腕							
慢心しないというのは才能です。甘えがないというのは武器です。キミには恵まれたものが、備わっていると思いますよ。			慢心しないというのは才能です。甘えがないというのは武器です。キミには恵まれたものが、備わっていると思いますよ。			商売道具と鍛冶の腕							
鍛冶師ギルドのブリサエルは、冒険者に商売の悩みの相談に乗ってもらいたいようだ。			鍛冶師ギルドのブリサエルは、冒険者に商売の悩みの相談に乗ってもらいたいようだ。			ブリサエルの野望							
気後れしているブリサエルに代わって、鍛冶師ギルドの近くにいる「フェーズアール」から市場開拓についての話を聞こう。			気後れしているブリサエルに代わって、鍛冶師ギルドの近くにいる「フェーズアール」から市場開拓についての話を聞こう。			ブリサエルの野望							
フェーズアールに勧められ、グリダニアに輸出できそうな製品を試しに製作してみることになった。「スパタ」と「スパイクドラブリュス」を製作し、「フェーズアール」に納品しよう。			フェーズアールに勧められ、グリダニアに輸出できそうな製品を試しに製作してみることになった。「スパタ」と「スパイクドラブリュス」を製作し、「フェーズアール」に納品しよう。			ブリサエルの野望							
納品したスパタとスパイクドラブリュスを、フェーズアールは絶賛する。すぐにでもグリダニアで商売できると言ってくれた、彼の期待に応えるためにも、より一層鍛冶師の腕を磨き上げよう。※鍛冶師のレベルが20以上になると、ブリサエルから次の鍛冶師クエストを受注することができます。			納品したスパタとスパイクドラブリュスを、フェーズアールは絶賛する。すぐにでもグリダニアで商売できると言ってくれた、彼の期待に応えるためにも、より一層鍛冶師の腕を磨き上げよう。※鍛冶師のレベルが20以上になると、ブリサエルから次の鍛冶師クエストを受注することができます。			ブリサエルの野望							
フェーズアールと話す			フェーズアールと話す			ブリサエルの野望							
フェーズアールに依頼品を納品			フェーズアールに依頼品を納品			ブリサエルの野望							
聞いてください、僕、少々悩みごとがありまして……。しかし良案は浮かばず、胃が痛くなるばかりで減った胃薬の量がまた増えちゃいました。			聞いてください、僕、少々悩みごとがありまして……。しかし良案は浮かばず、胃が痛くなるばかりで減った胃薬の量がまた増えちゃいました。			ブリサエルの野望							
僕はリムサ・ロミンサ最大の造船会社であるナルディク＆ヴィメリー社の副社長をやっております。			僕はリムサ・ロミンサ最大の造船会社であるナルディク＆ヴィメリー社の副社長をやっております。			ブリサエルの野望							
そこで、会社の営業戦略について、ここのところずっと悩んでいるんですよ。			そこで、会社の営業戦略について、ここのところずっと悩んでいるんですよ。			ブリサエルの野望							
モラビー造船廠での新規造船は順調なのですが、黒渦団からの発注ばかりに頼るわけにもいきません。			モラビー造船廠での新規造船は順調なのですが、黒渦団からの発注ばかりに頼るわけにもいきません。			ブリサエルの野望							
もっと仕事の受注先を広げなくてはと考えまして、今まで交流の少なかったグリダニアに、商売の手を広げていこうかと。			もっと仕事の受注先を広げなくてはと考えまして、今まで交流の少なかったグリダニアに、商売の手を広げていこうかと。			ブリサエルの野望							
しかし、生憎とあの都市については、あまり詳しくないのですよね。			しかし、生憎とあの都市については、あまり詳しくないのですよね。			ブリサエルの野望							
グリダニアで売れそうな製品について、詳しい人から話を聞きたいところなのですが……ちょっと困っているんですよ。			グリダニアで売れそうな製品について、詳しい人から話を聞きたいところなのですが……ちょっと困っているんですよ。			ブリサエルの野望							
リムサ・ロミンサで他都市に詳しい方といえば、「フェーズアール」氏という方なのですが……。ええ、取引先の交易商人です。			リムサ・ロミンサで他都市に詳しい方といえば、「フェーズアール」氏という方なのですが……。ええ、取引先の交易商人です。			ブリサエルの野望							
……実は、僕、ちょっとあの方が苦手でして。強面なんで、ビビってしまうんですよ……。そこで僕の代わりに聞いてもらえないかと。			……実は、僕、ちょっとあの方が苦手でして。強面なんで、ビビってしまうんですよ……。そこで僕の代わりに聞いてもらえないかと。			ブリサエルの野望							
……ほほう、グリダニアで商売をするためにワガハイの助言をもらいに来たと？ブリサエルの言いつけで？			……ほほう、グリダニアで商売をするためにワガハイの助言をもらいに来たと？ブリサエルの言いつけで？			ブリサエルの野望							
まったく、相変わらず気が小さく、小賢しい男よ。ワガハイに直接、声をかければ良かろうに。そんな気弱だから胃薬が手放せないんじゃ。			まったく、相変わらず気が小さく、小賢しい男よ。ワガハイに直接、声をかければ良かろうに。そんな気弱だから胃薬が手放せないんじゃ。			ブリサエルの野望							
まぁ、ええわい。ブリサエルのバカにも聞こえるよう、デカい声で教えてやるぞい。			まぁ、ええわい。ブリサエルのバカにも聞こえるよう、デカい声で教えてやるぞい。			ブリサエルの野望							
……ワガハイが改めて言うほどのことではないが需要のあるところに、需要のある品を供給すれば、商売は儲かる、これが真理じゃ。			……ワガハイが改めて言うほどのことではないが需要のあるところに、需要のある品を供給すれば、商売は儲かる、これが真理じゃ。			ブリサエルの野望							
そういう観点から考えるとグリダニアに目をつけたのは悪くない。あの都市では今、金属製品の需要が増えておる。			そういう観点から考えるとグリダニアに目をつけたのは悪くない。あの都市では今、金属製品の需要が増えておる。			ブリサエルの野望							
かの地は、革細工師ギルドと木工師ギルドを擁し、皮革や木材を使った品が主流じゃった。			かの地は、革細工師ギルドと木工師ギルドを擁し、皮革や木材を使った品が主流じゃった。			ブリサエルの野望							
そのため、ヌシら鍛冶師が得意とする金属製品はグリダニアにおいて主流足り得なかった。何せ刃にすら翡翠を使ったりする連中じゃからの。			そのため、ヌシら鍛冶師が得意とする金属製品はグリダニアにおいて主流足り得なかった。何せ刃にすら翡翠を使ったりする連中じゃからの。			ブリサエルの野望							
しかし、第七霊災の傷も癒えてきた昨今ではかの地の情勢も変わりつつある。			しかし、第七霊災の傷も癒えてきた昨今ではかの地の情勢も変わりつつある。			ブリサエルの野望							
……冒険者の流入が増えてきたのじゃよ。彼らはグリダニアの伝統にこだわることはない。純粋に品質だけを求める傾向があるんじゃ。			……冒険者の流入が増えてきたのじゃよ。彼らはグリダニアの伝統にこだわることはない。純粋に品質だけを求める傾向があるんじゃ。			ブリサエルの野望							
ならば彼らが納得いく品質の製品を送り出せば商売としては十二分に成算が見込めるはずじゃよ。どうする？　試しにやってみるか？			ならば彼らが納得いく品質の製品を送り出せば商売としては十二分に成算が見込めるはずじゃよ。どうする？　試しにやってみるか？			ブリサエルの野望							
「スパタ」と「スパイクドラブリュス」じゃ。その二つを作ってみるがいい。ヌシの腕前で商売になるか、確かめてやろう。			「スパタ」と「スパイクドラブリュス」じゃ。その二つを作ってみるがいい。ヌシの腕前で商売になるか、確かめてやろう。			ブリサエルの野望							
品物は覚えているか？「スパタ」と「スパイクドラブリュス」じゃ。両方を1個ずつじゃぞ？			品物は覚えているか？「スパタ」と「スパイクドラブリュス」じゃ。両方を1個ずつじゃぞ？			ブリサエルの野望							
待っておったぞ。では、あちらで見立てるとしようかのう……！			待っておったぞ。では、あちらで見立てるとしようかのう……！			ブリサエルの野望							
ふぅむ……なるほど、これはこれは。必要十分……以上じゃな、この出来は。			ふぅむ……なるほど、これはこれは。必要十分……以上じゃな、この出来は。			ブリサエルの野望							
ブリサエルの使いっ走りだと思っておったが、どうやら考え違いをしておったようじゃの。ワガハイ、ヌシを少々侮っておったか。			ブリサエルの使いっ走りだと思っておったが、どうやら考え違いをしておったようじゃの。ワガハイ、ヌシを少々侮っておったか。			ブリサエルの野望							
「スパタ」なる剣は、取り回しやすさが肝心。やや細身で長めに作られた刀身が、しっくりと手に馴染まねば完璧とは言えぬ。			「スパタ」なる剣は、取り回しやすさが肝心。やや細身で長めに作られた刀身が、しっくりと手に馴染まねば完璧とは言えぬ。			ブリサエルの野望							
ヌシの作った「スパタ」はその点、素晴らしい。ワシでも敵をバッタバッタと斬り倒せそうじゃわい。			ヌシの作った「スパタ」はその点、素晴らしい。ワシでも敵をバッタバッタと斬り倒せそうじゃわい。			ブリサエルの野望							
この「スパイクドラブリュス」も大したものよ。肉厚の刃には飾り気こそないが、それがまたいい。ただものではない強度と破壊力を予感させる……！			この「スパイクドラブリュス」も大したものよ。肉厚の刃には飾り気こそないが、それがまたいい。ただものではない強度と破壊力を予感させる……！			ブリサエルの野望							
保証しよう、ヌシが作った武具ならばすぐにでもグリダニアで商売ができるぞい。いや、むしろワガハイに売らせてほしい。			保証しよう、ヌシが作った武具ならばすぐにでもグリダニアで商売ができるぞい。いや、むしろワガハイに売らせてほしい。			ブリサエルの野望							
今回の品物はワガハイが預かっておくでな。何、ブリサエルも文句など言いはせんよ。			今回の品物はワガハイが預かっておくでな。何、ブリサエルも文句など言いはせんよ。			ブリサエルの野望							
これから早速、グリダニアに渡りをつけるぞい。はてさて、あちらでどれほどの儲けになるか。久しぶりに楽しみになってきたの。			これから早速、グリダニアに渡りをつけるぞい。はてさて、あちらでどれほどの儲けになるか。久しぶりに楽しみになってきたの。			ブリサエルの野望							
鍛冶師ギルドのブリサエルは、冒険者に新しい課題を与えるつもりであるようだ。			鍛冶師ギルドのブリサエルは、冒険者に新しい課題を与えるつもりであるようだ。			小さくも重要な部品							
小さな努力の積み重ねが大事だと、冒険者にブロンズリベットを製作するように言う、ブリサエル。「ブロンズリベット」を12個製作し、鍛冶師ギルドの「ブリサエル」に渡そう。			小さな努力の積み重ねが大事だと、冒険者にブロンズリベットを製作するように言う、ブリサエル。「ブロンズリベット」を12個製作し、鍛冶師ギルドの「ブリサエル」に渡そう。			小さくも重要な部品							
ブリサエルにブロンズリベットを12個渡すことができた。ブロンズリベットは小さな部品だが、ブリサエルは小さな積み重ねが製品の質を底上げし、客の満足に繋がると語る。ブリサエルに言われたように、客の存在を常に意識して鍛錬を続けるとともに、冒険者ギルドのチャ・モクリから受けられる、ギルドリーヴの「製作稼業」なども活用しながら、しっかりと腕を磨いておこう。※鍛冶師のレベルが15以上になると、ブリサエルから次の鍛冶師クエストを受注することができます。			ブリサエルにブロンズリベットを12個渡すことができた。ブロンズリベットは小さな部品だが、ブリサエルは小さな積み重ねが製品の質を底上げし、客の満足に繋がると語る。ブリサエルに言われたように、客の存在を常に意識して鍛錬を続けるとともに、冒険者ギルドのチャ・モクリから受けられる、ギルドリーヴの「製作稼業」なども活用しながら、しっかりと腕を磨いておこう。※鍛冶師のレベルが15以上になると、ブリサエルから次の鍛冶師クエストを受注することができます。			小さくも重要な部品							
ブリサエルにブロンズリベットを納品			ブリサエルにブロンズリベットを納品			小さくも重要な部品							
いやぁ、キミの活躍のおかげで最近は胃の調子が良くなりまして。胃薬の量もだいぶ減ってきましたよ。			いやぁ、キミの活躍のおかげで最近は胃の調子が良くなりまして。胃薬の量もだいぶ減ってきましたよ。			小さくも重要な部品							
何事も身体が資本ですからね。健康であればこそ、鍛錬の効果も増えるというもの。			何事も身体が資本ですからね。健康であればこそ、鍛錬の効果も増えるというもの。			小さくも重要な部品							
もっともキミは、そのくらい先刻承知のようですね。適度な努力を重ねて、また腕を上げたのが分かります。			もっともキミは、そのくらい先刻承知のようですね。適度な努力を重ねて、また腕を上げたのが分かります。			小さくも重要な部品							
しかしながら、慢心するのは早いですよ。キミは、一流という新大陸を目指し、大海原へ漕ぎ出した小舟のようなもの。			しかしながら、慢心するのは早いですよ。キミは、一流という新大陸を目指し、大海原へ漕ぎ出した小舟のようなもの。			小さくも重要な部品							
目的の境地にたどり着くまで、海原を櫂でこぎ続けるように、努力を積み重ねるのです。			目的の境地にたどり着くまで、海原を櫂でこぎ続けるように、努力を積み重ねるのです。			小さくも重要な部品							
というわけで……「ブロンズリベット」を12個作ってください。			というわけで……「ブロンズリベット」を12個作ってください。			小さくも重要な部品							
「ブロンズリベット」を12個ですよ？できましたか、Forename Surname？			「ブロンズリベット」を12個ですよ？できましたか、Forename Surname？			小さくも重要な部品							
なかなかの品質です、すばらしい。天才とは、まさにキミのことですね。			なかなかの品質です、すばらしい。天才とは、まさにキミのことですね。			小さくも重要な部品							
このブロンズリベットは、金属と金属を繋ぎとめるための大事な部品。			このブロンズリベットは、金属と金属を繋ぎとめるための大事な部品。			小さくも重要な部品							
打ちこんだリベットがガタついただけで、その製品は、即、不良品と判断されてしまうのですから。			打ちこんだリベットがガタついただけで、その製品は、即、不良品と判断されてしまうのですから。			小さくも重要な部品							
このちっぽけな部品が、製品の精度を決め、お客様の満足度を決めるのです。			このちっぽけな部品が、製品の精度を決め、お客様の満足度を決めるのです。			小さくも重要な部品							
お客様の満足を、僕たち職人は常に意識しなければなりません。求める人のために物を作るのが職人だからです。			お客様の満足を、僕たち職人は常に意識しなければなりません。求める人のために物を作るのが職人だからです。			小さくも重要な部品							
お客様のためにという真心を、品物に込めましょう。それが一流への条件です。			お客様のためにという真心を、品物に込めましょう。それが一流への条件です。			小さくも重要な部品							
しかし、真心だけでも意味がありません。場数を踏まぬことには、鍛冶の腕は磨けませんよ。			しかし、真心だけでも意味がありません。場数を踏まぬことには、鍛冶の腕は磨けませんよ。			小さくも重要な部品							
そうですね、たとえば冒険者ギルドのチャ・モクリさんから、ギルドリーヴの製作稼業を、引き受けてみては？			そうですね、たとえば冒険者ギルドのチャ・モクリさんから、ギルドリーヴの製作稼業を、引き受けてみては？			小さくも重要な部品							
鍛冶師としての腕を磨くための、いい経験になるのでは、と思いますよ。			鍛冶師としての腕を磨くための、いい経験になるのでは、と思いますよ。			小さくも重要な部品							
鍛冶師ギルドのブリサエルは、冒険者に鍛冶師の基礎を教えようとしているようだ。			鍛冶師ギルドのブリサエルは、冒険者に鍛冶師の基礎を教えようとしているようだ。			製品と精度の関係							
ブリサエルは冒険者の基礎力を磨くため、クロスペインハンマーを作らせようとしている。「クロスペインハンマー」を3個製作し、鍛冶師ギルドの「ブリサエル」に渡そう。			ブリサエルは冒険者の基礎力を磨くため、クロスペインハンマーを作らせようとしている。「クロスペインハンマー」を3個製作し、鍛冶師ギルドの「ブリサエル」に渡そう。			製品と精度の関係							
冒険者が製作した「クロスペインハンマー」を、ブリサエルは絶賛してくれた。課題が簡単過ぎたかもしれないと、ブリサエルは次はより難しい課題を用意するつもりらしい。課題につまずかぬよう、鍛冶師としての経験を積もう。※鍛冶師のレベルが10以上になると、ブリサエルから次の鍛冶師クエストを受注することができます。			冒険者が製作した「クロスペインハンマー」を、ブリサエルは絶賛してくれた。課題が簡単過ぎたかもしれないと、ブリサエルは次はより難しい課題を用意するつもりらしい。課題につまずかぬよう、鍛冶師としての経験を積もう。※鍛冶師のレベルが10以上になると、ブリサエルから次の鍛冶師クエストを受注することができます。			製品と精度の関係							
ブリサエルにクロスペインハンマーを納品			ブリサエルにクロスペインハンマーを納品			製品と精度の関係							
おおっ、キミを待ちかねていましたよ！もう来てくれないんじゃないかと心配で、胃薬の量が増える増える……。			おおっ、キミを待ちかねていましたよ！もう来てくれないんじゃないかと心配で、胃薬の量が増える増える……。			製品と精度の関係							
ですが、こうして来てくれたのですからね……。キミの才能を、必ずや磨き上げてみせましょう。			ですが、こうして来てくれたのですからね……。キミの才能を、必ずや磨き上げてみせましょう。			製品と精度の関係							
というわけで、キミの基礎をしっかり固めますよ。「クロスペインハンマー」を3個製作してみてください。これは、僕たち鍛冶師が使う道具のひとつですね。			というわけで、キミの基礎をしっかり固めますよ。「クロスペインハンマー」を3個製作してみてください。これは、僕たち鍛冶師が使う道具のひとつですね。			製品と精度の関係							
材料は「ブロンズインゴット」と「メープル材」と「草布」。ブロンズインゴットの製作は、もうお手の物ですよね？では、材料調達はいかがでしょう？			材料は「ブロンズインゴット」と「メープル材」と「草布」。ブロンズインゴットの製作は、もうお手の物ですよね？では、材料調達はいかがでしょう？			製品と精度の関係							
「採掘師」ならば、「銅鉱」や「錫鉱」のような鍛冶師がよく使う材料をザナラーン地方で採集できます。			「採掘師」ならば、「銅鉱」や「錫鉱」のような鍛冶師がよく使う材料をザナラーン地方で採集できます。			製品と精度の関係							
あるいは、鉱物を好む「コブラン」という魔物を討伐することでも、手に入れられることがありますよ。			あるいは、鉱物を好む「コブラン」という魔物を討伐することでも、手に入れられることがありますよ。			製品と精度の関係							
それでは、キミがどう青銅を加工してみせるのか……期待して待っています。頑張ってくださいね。			それでは、キミがどう青銅を加工してみせるのか……期待して待っています。頑張ってくださいね。			製品と精度の関係							
どうですか？「クロスペインハンマー」は完成しましたか？3個でいいですからね？			どうですか？「クロスペインハンマー」は完成しましたか？3個でいいですからね？			製品と精度の関係							
ほっほう、これはこれは見事なものですなぁ。いやはや感服いたしましたよ。これほどの完成度を見せていただけるとは。			ほっほう、これはこれは見事なものですなぁ。いやはや感服いたしましたよ。これほどの完成度を見せていただけるとは。			製品と精度の関係							
青銅でハンマーの頭を作り、メープル材の柄と組み合わせるだけ……。シンプルな作りですが、これがなかなか奥が深い。			青銅でハンマーの頭を作り、メープル材の柄と組み合わせるだけ……。シンプルな作りですが、これがなかなか奥が深い。			製品と精度の関係							
接合部分の精度をきっちりと出さないと、ハンマーとして使用に足る強度が出せません。			接合部分の精度をきっちりと出さないと、ハンマーとして使用に足る強度が出せません。			製品と精度の関係							
それに青銅の熱による伸縮まで計算に入れなければ、ハンマーの柄が緩み、頭がすっぽ抜けたりする事故に繋がってしまうんですよ。			それに青銅の熱による伸縮まで計算に入れなければ、ハンマーの柄が緩み、頭がすっぽ抜けたりする事故に繋がってしまうんですよ。			製品と精度の関係							
実は僕も昔、そういう失敗をしました。なかなか、最適な状態を覚えられなかったんですよ。			実は僕も昔、そういう失敗をしました。なかなか、最適な状態を覚えられなかったんですよ。			製品と精度の関係							
その点、この「クロスペインハンマー」は完璧です。微塵の欠点も見当たりませんよ。			その点、この「クロスペインハンマー」は完璧です。微塵の欠点も見当たりませんよ。			製品と精度の関係							
流石は僕の見込んだ方と言うべきかそれとも末恐ろしいと言うべきか。お見事です、としか言いようがありません。			流石は僕の見込んだ方と言うべきかそれとも末恐ろしいと言うべきか。お見事です、としか言いようがありません。			製品と精度の関係							
どうやらこんな初級、こんな初歩の課題ではキミにとっては物足りなかったみたいですね。次の機会には、もう少し上を目指していただきましょう。			どうやらこんな初級、こんな初歩の課題ではキミにとっては物足りなかったみたいですね。次の機会には、もう少し上を目指していただきましょう。			製品と精度の関係							
そのために、この「アマチュアファイル」をお持ちください。			そのために、この「アマチュアファイル」をお持ちください。			製品と精度の関係							
これは「副道具」といいまして、ハンマーのような「主道具」と併せて装備することで、作業がやりやすくなる、というものです。			これは「副道具」といいまして、ハンマーのような「主道具」と併せて装備することで、作業がやりやすくなる、というものです。			製品と精度の関係							
新しい鍛錬をお教えするのは……そうですね。そのファイルの扱いに慣れた頃にしましょうか。では、その時にまた会いましょう。			新しい鍛錬をお教えするのは……そうですね。そのファイルの扱いに慣れた頃にしましょうか。では、その時にまた会いましょう。			製品と精度の関係							
装備を変更することによって「作業精度」「加工精度」「CP」を上昇させることができます。			装備を変更することによって「作業精度」「加工精度」「CP」を上昇させることができます。			製品と精度の関係							
「作業精度」は作業の進む量がアップし、「加工精度」は品質の上がる量がアップし、「CP」はCPの最大値がアップします。			「作業精度」は作業の進む量がアップし、「加工精度」は品質の上がる量がアップし、「CP」はCPの最大値がアップします。			製品と精度の関係							
製作の目的に合わせて、装備を整えていきましょう。			製作の目的に合わせて、装備を整えていきましょう。			製品と精度の関係							
鍛冶師ギルドへの入門を認められた冒険者。受け取ったクロスペインハンマーを装備して、ブリサエルに声をかけよう。			鍛冶師ギルドへの入門を認められた冒険者。受け取ったクロスペインハンマーを装備して、ブリサエルに声をかけよう。			鍛冶師の鍛え方							
さっそくハンマーを使って、ブロンズインゴットを製作して来いと言われた。材料となる「銅鉱」と「錫鉱」は、鍛冶師ギルドにいるスミドヘームルから購入できる。「ブロンズインゴット」を1個製作し、鍛冶師ギルドの「ブリサエル」に渡そう。			さっそくハンマーを使って、ブロンズインゴットを製作して来いと言われた。材料となる「銅鉱」と「錫鉱」は、鍛冶師ギルドにいるスミドヘームルから購入できる。「ブロンズインゴット」を1個製作し、鍛冶師ギルドの「ブリサエル」に渡そう。			鍛冶師の鍛え方							
冒険者が渡したブロンズインゴットを見たブリサエルは、天才鍛冶師の誕生に立ち会ったと、興奮して大いに喜んでいた。ブロンズインゴットを作り続け、重ねた経験と流した汗が自信に変わった頃、金属の新たな加工方法を教えてくれるという。鍛冶師としての腕を鍛えるべく、更なる鍛錬に励もう。※鍛冶師のレベルが5以上になると、ブリサエルから次の鍛冶師クエストを受注することができます。			冒険者が渡したブロンズインゴットを見たブリサエルは、天才鍛冶師の誕生に立ち会ったと、興奮して大いに喜んでいた。ブロンズインゴットを作り続け、重ねた経験と流した汗が自信に変わった頃、金属の新たな加工方法を教えてくれるという。鍛冶師としての腕を鍛えるべく、更なる鍛錬に励もう。※鍛冶師のレベルが5以上になると、ブリサエルから次の鍛冶師クエストを受注することができます。			鍛冶師の鍛え方							
ブリサエルにブロンズインゴットを納品			ブリサエルにブロンズインゴットを納品			鍛冶師の鍛え方							
お、装備してくださいましたか。ハンマーは、鍛冶師にとって大切な相棒。これを、しっかり肝に銘じてくださいね。			お、装備してくださいましたか。ハンマーは、鍛冶師にとって大切な相棒。これを、しっかり肝に銘じてくださいね。			鍛冶師の鍛え方							
それにしても……とてもよくお似合いです。誰もがキミのように、鍛冶師を目指してくれれば僕の胃痛も少しは和らぐのですが……。			それにしても……とてもよくお似合いです。誰もがキミのように、鍛冶師を目指してくれれば僕の胃痛も少しは和らぐのですが……。			鍛冶師の鍛え方							
さあ、ハンマーを装備できたことですし、早速、これを使って金属を鍛えてみましょう。実作業こそ、鍛冶師の腕を鍛える近道ですから。			さあ、ハンマーを装備できたことですし、早速、これを使って金属を鍛えてみましょう。実作業こそ、鍛冶師の腕を鍛える近道ですから。			鍛冶師の鍛え方							
まずは「ブロンズインゴット」作りから始めましょう。インゴット作りは、金属加工の基礎中の基礎。これをおざなりには、できません。			まずは「ブロンズインゴット」作りから始めましょう。インゴット作りは、金属加工の基礎中の基礎。これをおざなりには、できません。			鍛冶師の鍛え方							
詳しく説明しますと、「ブロンズインゴット」とは「銅鉱」と「錫鉱」で作り上げた合金の塊です。			詳しく説明しますと、「ブロンズインゴット」とは「銅鉱」と「錫鉱」で作り上げた合金の塊です。			鍛冶師の鍛え方							
材料となる「銅鉱」と「錫鉱」は、この鍛冶師ギルドにいる「スミドヘームル」から、購入することができますよ。			材料となる「銅鉱」と「錫鉱」は、この鍛冶師ギルドにいる「スミドヘームル」から、購入することができますよ。			鍛冶師の鍛え方							
そして、金属を鍛えるのに欠かせないのが「ファイアシャード」です。			そして、金属を鍛えるのに欠かせないのが「ファイアシャード」です。			鍛冶師の鍛え方							
金属加工には高温が必須。「ファイアシャード」は加工中、炉の高温維持を助けてくれる触媒です。			金属加工には高温が必須。「ファイアシャード」は加工中、炉の高温維持を助けてくれる触媒です。			鍛冶師の鍛え方							
これら三種類の素材を揃えて、「ブロンズインゴット」を作るのです。頑張ってくださいね。			これら三種類の素材を揃えて、「ブロンズインゴット」を作るのです。頑張ってくださいね。			鍛冶師の鍛え方							
「ブロンズインゴット」を製作してみましょう。メインコマンドの「手帳」から「製作手帳」を選び、製作を開始することができます。			「ブロンズインゴット」を製作してみましょう。メインコマンドの「手帳」から「製作手帳」を選び、製作を開始することができます。			鍛冶師の鍛え方							
「ブロンズインゴット」を作ってください。材料である「銅鉱」と「錫鉱」は、鍛冶師ギルドにいるスミドヘームルから買えますからね。			「ブロンズインゴット」を作ってください。材料である「銅鉱」と「錫鉱」は、鍛冶師ギルドにいるスミドヘームルから買えますからね。			鍛冶師の鍛え方							
おおう……やりますなぁ。いや、驚きましたよ、これほどとは。			おおう……やりますなぁ。いや、驚きましたよ、これほどとは。			鍛冶師の鍛え方							
ええと、まったくの初心者なのですよね？鍛冶師の初歩の初歩を、今まさに学んでいる最中の。			ええと、まったくの初心者なのですよね？鍛冶師の初歩の初歩を、今まさに学んでいる最中の。			鍛冶師の鍛え方							
正直、信じられません。ズブの素人が、これほどまでに見事な「ブロンズインゴット」を作り上げるなんて。			正直、信じられません。ズブの素人が、これほどまでに見事な「ブロンズインゴット」を作り上げるなんて。			鍛冶師の鍛え方							
僕はもしかして、とんでもない天才の誕生する瞬間に、立ち会ってしまったのでは？			僕はもしかして、とんでもない天才の誕生する瞬間に、立ち会ってしまったのでは？			鍛冶師の鍛え方							
ブロンズインゴットは合金としては柔らかい部類です。ゆえに加工しやすく、様々な武器の素材になりますが……実用的な強度を出すことは、なかなかに難しい。			ブロンズインゴットは合金としては柔らかい部類です。ゆえに加工しやすく、様々な武器の素材になりますが……実用的な強度を出すことは、なかなかに難しい。			鍛冶師の鍛え方							
